Orthogroup	Conringia_planisiliqua	Alyssum_gmelinii
OG0000000	CP36_g50963_DN2_SP0_c.t1	Ag020G2571600, Ag013G1635500
OG0000000	CP2_g49699_DN2_SP0_c.t1	Ag067G5173700
OG0000002	CP3_g16153_DN2_SP0_c.t1	Ag027G3030200
OG0000003	CP5_g2027_DN3_SP0_c.t1, CP2_g50573_DN1_SP0_c.t1, CP36_g50971_DN3_SP0_c.t1, CP5_g3096_DN1_SP0_c.t1	Ag005G0787400
OG0000003	CP10_g44057_DN2_SP0_c.t1, CP12_g31265_DN3_SP0_c.t1, CP15_g36147_DN2_SP0_c.t1, CP3_g15821_DN1_SP0_c.t1, CP5_g1517_DN2_SP0_c.t1, CP8_g52677_DN2_SP0_c.t1, CP2_g50567_DN2_SP0_c.t1	Ag022G2672700, Ag014G2084900
OG0000003	CP50_g6563_DN2_SP0_c.t1, CP26_g51313_DN1_SP0_c.t1, CP12_g31418_DN3_SP0_c.t1, CP9_g27952_DN2_SP0_c.t1, CP15_g34583_DN2_SP0_c.t1, CP15_g34567_DN1_SP0_c.t1, CP15_g34636_DN1_SP0_c.t1, CP15_g34623_DN2_SP0_c.t1, CP3_g16075_DN1_SP0_c.t1, CP6_g8581_DN1_SP0_c.t1, CP26_g51160_DN1_SP0_c.t1, CP13_g20625_DN2_SP0_c.t1, CP3_g15709_DN2_SP0_c.t1, CP14_g22797_DN2_SP0_c.t1, CP3_g14977_DN3_SP0_c.t1, CP21_g10913_DN3_SP0_c.t1, CP15_g34654_DN1_SP0_c.t1, CP15_g34596_DN2_SP0_c.t1	Ag067G5203100
OG0000003	CP9_g27953_DN3_SP0_c.t1, CP3_g16740_DN2_SP0_c.t1, CP5_g1881_DN3_SP0_c.t1, CP26_g51312_DN2_SP0_c.t1, CP50_g6564_DN3_SP0_c.t1	Ag004G0525300
OG0000003	CP15_g34739_DN2_SP0_c.t1, CP15_g34597_DN1_SP0_c.t1, CP15_g34655_DN1_SP0_c.t1, CP3_g14978_DN3_SP0_c.t1, CP3_g15708_DN2_SP0_c.t1, CP12_g31581_DN1_SP0_c.t1, CP12_g31525_DN1_SP0_c.t1	Ag014G1978400, Ag039G4231800, Ag011G1040600, Ag016G2400500, Ag014G1921200, Ag049G4724200
OG0000003	CP13_g20572_DN1_SP0_c.t1	Ag025G2976100
OG0000003	CP4_g26010_DN1_SP0_c.t1, CP6_g7989_DN2_SP0_c.t1	Ag013G1682200, Ag011G1271000
OG0000003	CP21_g11065_DN2_SP0_c.t1, CP24_g47341_DN1_SP0_c.t1, CP18_g12232_DN3_SP0_c.t1	Ag011G1183800
OG0000004	CP17_g5889_DN1_SP0_c.t1, CP1_g39400_DN3_SP0_c.t1, CP1_g39844_DN3_SP0_c.t1	Ag014G1774700
OG0000005	CP12_g30974_DN2_SP0_c.t1	Ag025G2943500
OG0000005	CP25_g56009_DN2_SP0_c.t1	Ag011G1235500
OG0000008	CP15_g34920_DN2_SP0_c.t1	Ag027G3059500
OG0000008	CP27_g41699_DN2_SP0_c.t1, CP8_g52854_DN2_SP0_c.t1	Ag005G0786100
OG0000008	CP14_g23480_DN3_SP0_c.t1	Ag027G3054100
OG0000008	CP7_g44274_DN3_SP0_c.t1	Ag001G0025300
OG0000009	CP18_g12171_DN2_SP0_c.t1	Ag014G2149700
OG0000009	CP3_g16492_DN1_SP0_c.t1	Ag040G4348900, Ag088G5430700
OG0000009	CP4_g26233_DN2_SP0_c.t1, CP3_g15237_DN1_SP0_c.t1	Ag014G1796900, Ag018G2446400, Ag034G3932700, Ag042G4419400, Ag010G1025100
OG0000009	CP12_g31672_DN2_SP0_c.t1	Ag016G2319900, Ag025G2919200
OG0000011	CP9_g27503_DN1_SP0_c.t1, CP14_g23601_DN2_SP0_c.t1	Ag015G2211300
OG0000011	CP15_g34508_DN1_SP0_c.t1	Ag040G4344500
OG0000011	CP2_g50476_DN3_SP0_c.t1, CP26_g51199_DN3_SP0_c.t1, CP20_g3893_DN1_SP0_c.t1, CP1_g39554_DN1_SP0_c.t1, CP3_g16756_DN2_SP0_c.t1, CP3_g16698_DN2_SP0_c.t1, CP3_g16065_DN2_SP0_c.t1, CP3_g16755_DN2_SP0_c.t1, CP1_g39552_DN2_SP0_c.t1, CP17_g5859_DN2_SP0_c.t1	Ag027G3007700
OG0000015	CP12_g31767_DN3_SP0_c.t1	Ag034G3936100
OG0000015	CP25_g55897_DN3_SP0_c.t1, CP39_g21117_DN1_SP0_c.t1, CP3_g15322_DN2_SP0_c.t1	Ag048G4644700, Ag011G1263600
OG0000015	CP1_g38947_DN3_SP0_c.t1	Ag066G5170100
OG0000015	CP22_g17115_DN3_SP0_c.t1	Ag019G2552700
OG0000015	CP6_g9737_DN2_SP0_c.t1	Ag018G2438800
OG0000015	CP2_g50255_DN1_SP0_c.t1	Ag076G5308600
OG0000015	CP1_g39588_DN3_SP0_c.t1, CP9_g28055_DN1_SP0_c.t1	Ag002G0203200
OG0000015	CP7_g44209_DN2_SP0_c.t1	Ag058G4974300
OG0000015	CP12_g31541_DN2_SP0_c.t1	Ag024G2875100
OG0000020	CP17_g5482_DN2_SP0_c.t1, CP27_g41901_DN3_SP0_c.t1, CP35_g52005_DN3_SP0_c.t1, CP1_g40651_DN3_SP0_c.t1	Ag068G5227400
OG0000021	CP7_g44363_DN3_SP0_c.t1, CP14_g23481_DN3_SP0_c.t1	Ag013G1488900, Ag031G3408800
OG0000023	CP35_g52033_DN3_SP0_c.t1	Ag013G1378800, Ag039G4287100, Ag014G2100500, Ag054G4895500, Ag002G0253500, Ag004G0626900, Ag043G4432400, Ag013G1395400, Ag044G4498400, Ag010G1003500
OG0000024	CP2_g48829_DN3_SP0_c.t1	Ag050G4762100, Ag050G4762000, Ag050G4761900, Ag050G4746600, Ag050G4752600, Ag050G4752400, Ag050G4746500, Ag050G4746300, Ag022G2696300, Ag022G2696700, Ag050G4754800, Ag050G4755000, Ag050G4751800, Ag050G4752100, Ag050G4752300
OG0000024	CP3_g13494_DN2_SP0_c.t1	Ag013G1754200
OG0000026	CP13_g20815_DN3_SP0_c.t1, CP2_g49593_DN1_SP0_c.t1, CP12_g31225_DN3_SP0_c.t1, CP47_g21233_DN3_SP0_c.t1, CP6_g8604_DN1_SP0_c.t1, CP98_g41597_DN1_SP0_c.t1, CP5_g3430_DN1_SP0_c.t1, CP53_g22292_DN1_SP0_c.t1, CP3_g16558_DN3_SP0_c.t1, CP5_g2206_DN2_SP0_c.t1, CP13_g20693_DN2_SP0_c.t1, CP5_g2172_DN3_SP0_c.t1, CP30_g10047_DN2_SP0_c.t1, CP12_g31518_DN3_SP0_c.t1, CP8_g52462_DN1_SP0_c.t1, CP6_g8834_DN3_SP0_c.t1, CP2_g50599_DN2_SP0_c.t1, CP5_g2195_DN2_SP0_c.t1, CP13_g20401_DN2_SP0_c.t1, CP6_g9301_DN3_SP0_c.t1, CP13_g20788_DN2_SP0_c.t1, CP31_g46751_DN2_SP0_c.t1, CP25_g55852_DN1_SP0_c.t1, CP14_g23533_DN3_SP0_c.t1, CP14_g23215_DN1_SP0_c.t1, CP31_g46690_DN3_SP0_c.t1, CP17_g5112_DN2_SP0_c.t1, CP6_g8299_DN3_SP0_c.t1, CP13_g20402_DN3_SP0_c.t1, CP1_g38785_DN3_SP0_c.t1, CP12_g31428_DN3_SP0_c.t1, CP15_g34701_DN3_SP0_c.t1, CP16_g55448_DN1_SP0_c.t1, CP12_g31561_DN3_SP0_c.t1, CP22_g17082_DN2_SP0_c.t1, CP2_g49627_DN3_SP0_c.t1, CP5_g2181_DN1_SP0_c.t1, CP13_g20683_DN3_SP0_c.t1, CP16_g55627_DN3_SP0_c.t1, CP25_g55794_DN2_SP0_c.t1, CP5_g3238_DN1_SP0_c.t1, CP17_g5496_DN3_SP0_c.t1, CP2_g50449_DN3_SP0_c.t1, CP17_g5596_DN2_SP0_c.t1, CP14_g23436_DN1_SP0_c.t1, CP21_g11163_DN2_SP0_c.t1, CP18_g12000_DN1_SP0_c.t1, CP2_g50743_DN2_SP0_c.t1, CP17_g5983_DN2_SP0_c.t1, CP6_g8924_DN2_SP0_c.t1, CP23_g21572_DN1_SP0_c.t1, CP17_g5297_DN2_SP0_c.t1, CP6_g7636_DN2_SP0_c.t1, CP14_g23306_DN1_SP0_c.t1	Ag063G5074400, Ag063G5074600, Ag020G2577200, Ag030G3131700, Ag002G0272200, Ag055G4904800, Ag003G0347700, Ag014G2059100, Ag016G2402300, Ag016G2403500, Ag053G4869800
OG0000026	CP14_g23437_DN2_SP0_c.t1, CP12_g31707_DN3_SP0_c.t1, CP12_g31562_DN3_SP0_c.t1, CP17_g5595_DN2_SP0_c.t1	Ag287G5488300, Ag015G2272200, Ag023G2829200
OG0000026	CP17_g5856_DN1_SP0_c.t1	Ag013G1736700, Ag015G2272100
OG0000026	CP6_g7632_DN3_SP0_c.t1, CP16_g55625_DN3_SP0_c.t1, CP18_g12549_DN3_SP0_c.t1, CP5_g3431_DN3_SP0_c.t1, CP1_g41249_DN1_SP0_c.t1, CP102_g10409_DN2_SP0_c.t1, CP14_g23630_DN1_SP0_c.t1, CP13_g20685_DN1_SP0_c.t1, CP148_g19023_DN1_SP0_c.t1, CP103_g21015_DN2_SP0_c.t1, CP98_g41599_DN2_SP0_c.t1, CP3_g16126_DN1_SP0_c.t1, CP14_g23220_DN3_SP0_c.t1	Ag016G2403600, Ag025G2906900, Ag031G3406200, Ag063G5074500, Ag063G5074300, Ag016G2402400
OG0000029	CP27_g41814_DN2_SP0_c.t1, CP4_g26144_DN2_SP0_c.t1	Ag002G0180900, Ag022G2648100
OG0000030	CP11_g31940_DN3_SP0_c.t1	Ag014G1952600, Ag014G1958800, Ag014G1958700, Ag014G1965000, Ag042G4396900, Ag042G4397700, Ag042G4398200, Ag014G1952300, Ag014G1952400
OG0000030	CP10_g43630_DN1_SP0_c.t1, CP2_g49394_DN2_SP0_c.t1	Ag014G2099300, Ag027G3062200, Ag014G1975300
OG0000030	CP10_g43326_DN2_SP0_c.t1	Ag014G1840000
OG0000030	CP13_g19590_DN2_SP0_c.t1	Ag031G3271600
OG0000031	CP12_g30554_DN2_SP0_c.t1, CP2_g49958_DN1_SP0_c.t1	Ag012G1290800, Ag018G2463100, Ag012G1296200, Ag030G3133700
OG0000031	CP2_g49348_DN2_SP0_c.t1, CP26_g51323_DN1_SP0_c.t1	Ag014G2001300, Ag025G2974400, Ag067G5204400, Ag016G2379700, Ag064G5091800, Ag014G2046100, Ag002G0264600, Ag021G2582900, Ag026G3000600, Ag073G5260500, Ag034G3746100, Ag067G5192300
OG0000031	CP15_g34657_DN1_SP0_c.t1, CP15_g34638_DN1_SP0_c.t1, CP15_g34584_DN1_SP0_c.t1, CP15_g34568_DN1_SP0_c.t1	Ag030G3130300
OG0000031	CP1_g38484_DN3_SP0_c.t1	Ag057G4960600
OG0000032	CP3_g16163_DN2_SP0_c.t1, CP56_g20987_DN1_SP0_c.t1, CP25_g55997_DN1_SP0_c.t1, CP9_g27772_DN1_SP0_c.t1, CP27_g41695_DN1_SP0_c.t1, CP44_g20906_DN3_SP0_c.t1, CP8_g52855_DN2_SP0_c.t1, CP64_g21090_DN2_SP0_c.t1	Ag037G4132500
OG0000032	CP1_g40427_DN2_SP0_c.t1	Ag005G0786000
OG0000032	CP14_g22577_DN2_SP0_c.t1, CP25_g55995_DN1_SP0_c.t1, CP5_g3358_DN2_SP0_c.t1, CP64_g21088_DN3_SP0_c.t1	Ag011G1160200, Ag011G1160300, Ag011G1160400
OG0000035	CP1_g40963_DN3_SP0_c.t1, CP6_g9072_DN3_SP0_c.t1, CP1_g40962_DN3_SP0_c.t1, CP14_g23646_DN2_SP0_c.t1, CP14_g23679_DN2_SP0_c.t1, CP117_g56225_DN2_SP0_c.t1, CP103_g21003_DN2_SP0_c.t1, CP63_g12714_DN2_SP0_c.t1	Ag061G5042200, Ag007G0851700, Ag007G0851600, Ag015G2256800, Ag031G3385600
OG0000035	CP1_g40830_DN2_SP0_c.t1, CP4_g26781_DN3_SP0_c.t1, CP24_g46983_DN2_SP0_c.t1, CP3_g16137_DN3_SP0_c.t1	Ag023G2806500
OG0000035	CP1_g40829_DN2_SP0_c.t1, CP4_g26782_DN2_SP0_c.t1, CP26_g51195_DN2_SP0_c.t1	Ag023G2825000, Ag061G5042300, Ag007G0851800, Ag068G5222600
OG0000035	CP4_g26190_DN3_SP0_c.t1	Ag093G5463700
OG0000038	CP6_g8155_DN1_SP0_c.t1	Ag013G1382300, Ag066G5165400
OG0000039	CP24_g47137_DN2_SP0_c.t1	Ag033G3629500
OG0000040	CP19_g18411_DN2_SP0_c.t1, CP4_g26084_DN1_SP0_c.t1	Ag031G3415700
OG0000040	CP13_g20255_DN1_SP0_c.t1	Ag038G4173200
OG0000042	CP8_g52167_DN3_SP0_c.t1, CP5_g3067_DN2_SP0_c.t1, CP37_g11368_DN3_SP0_c.t1	Ag046G4535300, Ag066G5171000, Ag024G2870100, Ag007G0876900, Ag096G5474100
OG0000042	CP26_g51211_DN3_SP0_c.t1	Ag015G2214400
OG0000042	CP6_g9916_DN1_SP0_c.t1	Ag023G2817300, Ag039G4253700, Ag002G0154100
OG0000042	CP8_g52519_DN1_SP0_c.t1	Ag013G1471600
OG0000043	CP1_g41085_DN2_SP0_c.t1	Ag022G2736700, Ag016G2284200
OG0000043	CP5_g1995_DN2_SP0_c.t1, CP14_g22990_DN1_SP0_c.t1	Ag013G1650200
OG0000044	CP13_g19860_DN2_SP0_c.t1	Ag087G5424800
OG0000046	CP15_g34716_DN3_SP0_c.t1	Ag019G2498100
OG0000046	CP1_g39285_DN1_SP0_c.t1, CP8_g52809_DN3_SP0_c.t1	Ag004G0691700
OG0000048	CP9_g28258_DN1_SP0_c.t1, CP4_g25547_DN2_SP0_c.t1	Ag013G1657300, Ag013G1657200, Ag013G1657100, Ag013G1657000, Ag013G1657400, Ag013G1658600, Ag013G1658500, Ag013G1651500, Ag013G1657700, Ag022G2632300
OG0000048	CP4_g25641_DN3_SP0_c.t1, CP4_g25622_DN2_SP0_c.t1, CP13_g20135_DN3_SP0_c.t1	Ag034G3744100, Ag013G1648400, Ag016G2390700, Ag013G1573400, Ag013G1573000, Ag013G1626000, Ag013G1648500, Ag013G1647900
OG0000048	CP9_g29505_DN2_SP0_c.t1	Ag032G3445200, Ag048G4573000
OG0000049	CP17_g4884_DN2_SP0_c.t1, CP17_g4930_DN2_SP0_c.t1	Ag055G4909600, Ag034G3947200, Ag034G3947100
OG0000049	CP1_g38897_DN1_SP0_c.t1, CP13_g20574_DN2_SP0_c.t1	Ag061G5034500
OG0000050	CP9_g27575_DN2_SP0_c.t1	Ag002G0166000
OG0000050	CP5_g3336_DN1_SP0_c.t1	Ag019G2535000, Ag013G1454200, Ag002G0129500, Ag014G1805000, Ag002G0202200, Ag015G2221900, Ag015G2264900, Ag025G2919100, Ag014G2113900
OG0000050	CP4_g26837_DN2_SP0_c.t1, CP3_g16491_DN1_SP0_c.t1, CP15_g34543_DN2_SP0_c.t1, CP1_g39907_DN2_SP0_c.t1	Ag016G2298800, Ag034G3860900, Ag015G2213900, Ag020G2565400, Ag003G0365400, Ag022G2666500, Ag013G1429800, Ag023G2797800, Ag078G5357100, Ag088G5430600, Ag006G0803400, Ag034G3970700, Ag066G5153700
OG0000050	CP5_g3335_DN2_SP0_c.t1, CP3_g15241_DN1_SP0_c.t1, CP21_g11182_DN2_SP0_c.t1	Ag031G3328800, Ag019G2527600, Ag020G2554600
OG0000051	CP4_g24481_DN3_SP0_c.t1	Ag003G0386300, Ag003G0378700, Ag003G0386600
OG0000051	CP4_g24479_DN3_SP0_c.t1	Ag003G0385100, Ag003G0385000, Ag003G0384900
OG0000051	CP13_g20758_DN3_SP0_c.t1	Ag003G0384500
OG0000055	CP12_g30730_DN2_SP0_c.t1	Ag034G4065400
OG0000056	CP11_g31796_DN3_SP0_c.t1	Ag011G1149600, Ag011G1148500
OG0000056	CP2_g49076_DN3_SP0_c.t1	Ag039G4248400
OG0000056	CP2_g49031_DN3_SP0_c.t1	Ag002G0180000
OG0000058	CP17_g5406_DN1_SP0_c.t1	Ag010G1012100, Ag001G0033300, Ag033G3511000, Ag006G0820100
OG0000058	CP13_g20701_DN3_SP0_c.t1	Ag007G0902800, Ag002G0124000, Ag002G0117600, Ag027G3030700, Ag004G0691500
OG0000059	CP12_g31611_DN2_SP0_c.t1	Ag038G4156200
OG0000060	CP3_g14842_DN3_SP0_c.t1, CP3_g14841_DN3_SP0_c.t1	Ag034G3744900
OG0000061	CP9_g28787_DN2_SP0_c.t1	Ag025G2971300, Ag025G2971100
OG0000062	CP7_g44165_DN3_SP0_c.t1	Ag033G3580500, Ag033G3643400, Ag090G5454300
OG0000062	CP12_g31765_DN3_SP0_c.t1, CP6_g9071_DN2_SP0_c.t1	Ag023G2814500, Ag045G4510200
OG0000062	CP20_g3940_DN3_SP0_c.t1	Ag016G2329700
OG0000062	CP12_g31035_DN3_SP0_c.t1, CP36_g50953_DN2_SP0_c.t1, CP20_g4061_DN2_SP0_c.t1, CP27_g41852_DN3_SP0_c.t1, CP3_g15593_DN3_SP0_c.t1, CP5_g2505_DN3_SP0_c.t1, CP20_g4062_DN3_SP0_c.t1	Ag044G4491100, Ag016G2329800, Ag034G3892100
OG0000062	CP1_g40964_DN3_SP0_c.t1	Ag035G4080000, Ag066G5159400, Ag002G0144600, Ag003G0364100, Ag011G1174400
OG0000063	CP37_g11370_DN1_SP0_c.t1, CP5_g3265_DN3_SP0_c.t1	Ag062G5064000
OG0000063	CP4_g26225_DN1_SP0_c.t1	Ag025G2961700
OG0000063	CP12_g31118_DN1_SP0_c.t1	Ag012G1327000
OG0000065	CP9_g28234_DN3_SP0_c.t1	Ag016G2372900, Ag016G2372400
OG0000066	CP4_g25642_DN3_SP0_c.t1	Ag004G0438400
OG0000066	CP2_g49425_DN3_SP0_c.t1	Ag016G2348500, Ag034G3765900, Ag034G3780100
OG0000067	CP17_g5644_DN3_SP0_c.t1, CP17_g5532_DN2_SP0_c.t1	Ag041G4373900, Ag010G1017800, Ag011G1139500, Ag066G5128400, Ag033G3619700, Ag002G0134400, Ag022G2724600, Ag031G3235200, Ag023G2826600, Ag031G3153400, Ag034G4009600, Ag013G1533100, Ag031G3254900, Ag007G0854100, Ag013G1533000
OG0000068	CP12_g31237_DN3_SP0_c.t1	Ag011G1073300, Ag011G1073200, Ag014G1989500, Ag011G1073900
OG0000070	CP17_g5790_DN3_SP0_c.t1	Ag039G4215000
OG0000070	CP7_g45746_DN3_SP0_c.t1	Ag034G3976800
OG0000070	CP1_g38202_DN3_SP0_c.t1, CP1_g38197_DN2_SP0_c.t1	Ag025G2960200, Ag025G2959800, Ag025G2962600, Ag025G2962700, Ag025G2947000, Ag025G2946300, Ag025G2959700, Ag025G2959400, Ag025G2974100, Ag025G2973400, Ag025G2973600, Ag025G2946200, Ag025G2946900
OG0000072	CP6_g9757_DN2_SP0_c.t1	Ag051G4812200
OG0000072	CP6_g9003_DN1_SP0_c.t1, CP5_g1872_DN1_SP0_c.t1, CP13_g20359_DN3_SP0_c.t1, CP15_g35743_DN2_SP0_c.t1, CP2_g50526_DN2_SP0_c.t1, CP18_g11730_DN1_SP0_c.t1, CP20_g3870_DN2_SP0_c.t1, CP28_g33939_DN2_SP0_c.t1, CP15_g36057_DN3_SP0_c.t1, CP17_g5132_DN3_SP0_c.t1, CP4_g26050_DN2_SP0_c.t1, CP10_g43900_DN2_SP0_c.t1, CP6_g8612_DN2_SP0_c.t1, CP3_g16600_DN2_SP0_c.t1, CP35_g52086_DN1_SP0_c.t1, CP14_g22893_DN2_SP0_c.t1, CP24_g47158_DN2_SP0_c.t1	Ag039G4320700
OG0000072	CP2_g49697_DN3_SP0_c.t1	Ag067G5173800, Ag020G2570900, Ag011G1215000, Ag022G2752500, Ag011G1246100, Ag001G0081500, Ag033G3527000, Ag011G1215100, Ag039G4238000, Ag055G4918900, Ag039G4305000, Ag068G5225100
OG0000072	CP22_g17290_DN2_SP0_c.t1, CP3_g16601_DN1_SP0_c.t1, CP12_g31150_DN2_SP0_c.t1, CP17_g5883_DN3_SP0_c.t1, CP6_g9758_DN1_SP0_c.t1	Ag002G0206800
OG0000073	CP18_g11666_DN2_SP0_c.t1, CP29_g22116_DN2_SP0_c.t1, CP8_g53133_DN1_SP0_c.t1, CP4_g26011_DN1_SP0_c.t1, CP15_g35379_DN3_SP0_c.t1	Ag077G5319300
OG0000073	CP14_g23758_DN2_SP0_c.t1, CP6_g8294_DN1_SP0_c.t1	Ag048G4703300
OG0000073	CP9_g29611_DN2_SP0_c.t1, CP8_g53134_DN1_SP0_c.t1	Ag015G2190800
OG0000076	CP5_g77_DN1_SP0_c.t1	Ag011G1037000
OG0000076	CP8_g53270_DN3_SP0_c.t1, CP20_g3903_DN2_SP0_c.t1	Ag031G3285200, Ag031G3285100, Ag031G3285000, Ag011G1144200, Ag011G1144100, Ag006G0793600, Ag011G1036500, Ag011G1036300, Ag006G0792700, Ag034G3899200, Ag034G3899100
OG0000077	CP13_g20036_DN3_SP0_c.t1, CP13_g20034_DN3_SP0_c.t1	Ag033G3566700
OG0000077	CP2_g49677_DN1_SP0_c.t1	Ag002G0173900
OG0000077	CP13_g20039_DN3_SP0_c.t1	Ag006G0838600
OG0000078	CP10_g42381_DN3_SP0_c.t1, CP10_g42379_DN1_SP0_c.t1	Ag014G1809300, Ag014G1810300
OG0000078	CP10_g42380_DN2_SP0_c.t1	Ag014G1810400
OG0000081	CP6_g7780_DN3_SP0_c.t1	Ag004G0723900
OG0000081	CP1_g40914_DN2_SP0_c.t1	Ag019G2512100, Ag066G5159500, Ag002G0249600, Ag043G4447600, Ag014G2017300
OG0000082	CP15_g35761_DN3_SP0_c.t1, CP1_g38899_DN2_SP0_c.t1, CP3_g15632_DN1_SP0_c.t1, CP1_g41005_DN2_SP0_c.t1, CP2_g49995_DN3_SP0_c.t1, CP23_g21380_DN2_SP0_c.t1	Ag061G5051200
OG0000082	CP17_g6148_DN2_SP0_c.t1	Ag002G0147600, Ag016G2381700
OG0000082	CP24_g47338_DN2_SP0_c.t1, CP14_g22602_DN1_SP0_c.t1	Ag066G5133800
OG0000082	CP9_g27552_DN2_SP0_c.t1	Ag011G1180400, Ag011G1180800
OG0000083	CP14_g23213_DN2_SP0_c.t1	Ag011G1108800
OG0000084	CP14_g23878_DN3_SP0_c.t1, CP13_g20759_DN2_SP0_c.t1, CP5_g3263_DN2_SP0_c.t1, CP12_g31116_DN2_SP0_c.t1, CP22_g17338_DN1_SP0_c.t1, CP12_g31607_DN1_SP0_c.t1, CP2_g49793_DN2_SP0_c.t1, CP23_g21369_DN1_SP0_c.t1, CP5_g3262_DN3_SP0_c.t1, CP37_g11372_DN1_SP0_c.t1, CP1_g41234_DN3_SP0_c.t1, CP4_g26226_DN3_SP0_c.t1, CP6_g9671_DN1_SP0_c.t1, CP33_g3644_DN2_SP0_c.t1, CP9_g27445_DN1_SP0_c.t1	Ag087G5426100
OG0000084	CP1_g41162_DN3_SP0_c.t1	Ag039G4295400
OG0000084	CP6_g7639_DN2_SP0_c.t1, CP18_g12133_DN2_SP0_c.t1, CP3_g15353_DN1_SP0_c.t1	Ag058G4994100, Ag004G0561600
OG0000084	CP94_g6387_DN3_SP0_c.t1	Ag010G1007700
OG0000086	CP29_g21947_DN3_SP0_c.t1	Ag025G2922800
OG0000089	CP2_g48308_DN3_SP8_c.t1	Ag004G0519800
OG0000089	CP3_g14713_DN3_SP4_c.t1	Ag055G4906500, Ag004G0479400
OG0000089	CP4_g25793_DN3_SP8_c.t1	Ag013G1621300
OG0000089	CP11_g32707_DN3_SP8_c.t1	Ag013G1488000
OG0000089	CP13_g20168_DN3_SP8_c.t1	Ag016G2360800
OG0000089	CP6_g6768_DN3_SP8_c.t1	Ag033G3591100
OG0000089	CP4_g25265_DN3_SP6_c.t1	Ag023G2824600
OG0000089	CP9_g29223_DN3_SP8_c.t1	Ag048G4693300
OG0000090	CP13_g20454_DN2_SP0_c.t1	Ag007G0888700
OG0000090	CP24_g47038_DN2_SP0_c.t1, CP12_g31527_DN3_SP0_c.t1	Ag075G5298700
OG0000090	CP2_g50412_DN2_SP0_c.t1	Ag021G2604300
OG0000090	CP15_g34622_DN2_SP0_c.t1, CP15_g34582_DN1_SP0_c.t1, CP15_g34635_DN1_SP0_c.t1, CP15_g34653_DN3_SP0_c.t1, CP15_g34595_DN2_SP0_c.t1	Ag013G1401800, Ag003G0404200
OG0000090	CP12_g31417_DN2_SP0_c.t1, CP50_g6562_DN1_SP0_c.t1, CP1_g39886_DN2_SP0_c.t1, CP16_g55442_DN2_SP0_c.t1, CP12_g31580_DN1_SP0_c.t1, CP24_g47039_DN2_SP0_c.t1, CP6_g8583_DN3_SP0_c.t1, CP2_g50413_DN1_SP0_c.t1, CP12_g31050_DN2_SP0_c.t1, CP1_g40029_DN1_SP0_c.t1, CP3_g14975_DN3_SP0_c.t1, CP3_g16737_DN2_SP0_c.t1, CP1_g38486_DN2_SP0_c.t1	Ag013G1764600, Ag056G4937000, Ag003G0343600, Ag068G5212400, Ag002G0264300, Ag048G4621900, Ag019G2531000, Ag006G0823200, Ag013G1384300
OG0000095	CP16_g55163_DN2_SP0_c.t1	Ag039G4205200
OG0000096	CP12_g30984_DN3_SP0_c.t1, CP12_g30986_DN3_SP0_c.t1, CP12_g30930_DN3_SP0_c.t1	Ag002G0154900
OG0000098	CP17_g5784_DN1_SP0_c.t1	Ag011G1254000, Ag011G1253500
