Orthogroup	Conringia_planisiliqua	Camelina_sativa
OG0000000	CP2_g49699_DN2_SP0_c.t1	XP_010495165.1, XP_010495244.1
OG0000002	CP115_g10371_DN2_SP0_c.t1, CP23_g21693_DN1_SP0_c.t1	XP_019091135.1
OG0000002	CP35_g52018_DN2_SP0_c.t1	XP_019101801.1, XP_019100799.1, XP_010431635.1, XP_010456767.1
OG0000002	CP4_g26884_DN2_SP0_c.t1	XP_010475671.1, XP_010480715.1
OG0000003	CP10_g44057_DN2_SP0_c.t1, CP12_g31265_DN3_SP0_c.t1	XP_019082654.1
OG0000003	CP15_g36147_DN2_SP0_c.t1	XP_010489852.1
OG0000003	CP3_g15821_DN1_SP0_c.t1	XP_010419362.1, XP_019094392.1, XP_010507045.1, XP_010490042.1, XP_010412489.1
OG0000003	CP5_g1517_DN2_SP0_c.t1	XP_010418577.1, XP_010501871.1, XP_010501997.1
OG0000003	CP8_g52677_DN2_SP0_c.t1	XP_010445721.1
OG0000003	CP15_g36037_DN2_SP0_c.t1	XP_019094476.1
OG0000003	CP15_g34583_DN2_SP0_c.t1, CP15_g34567_DN1_SP0_c.t1, CP15_g34636_DN1_SP0_c.t1, CP15_g34623_DN2_SP0_c.t1	XP_019089122.1, XP_010436801.1, XP_010424388.1, XP_010445682.1, XP_010422568.1, XP_010445926.1
OG0000003	CP6_g8581_DN1_SP0_c.t1	XP_010475217.1
OG0000003	CP13_g20625_DN2_SP0_c.t1, CP3_g15709_DN2_SP0_c.t1, CP14_g22797_DN2_SP0_c.t1, CP3_g14977_DN3_SP0_c.t1, CP21_g10913_DN3_SP0_c.t1, CP15_g34654_DN1_SP0_c.t1, CP15_g34596_DN2_SP0_c.t1	XP_010418675.1
OG0000003	CP5_g1881_DN3_SP0_c.t1	XP_019089261.1
OG0000003	CP26_g51312_DN2_SP0_c.t1, CP50_g6564_DN3_SP0_c.t1	XP_019100972.1
OG0000003	CP5_g3316_DN2_SP0_c.t1	XP_010463164.1, XP_019090146.1, XP_010473202.1
OG0000003	CP15_g34739_DN2_SP0_c.t1, CP15_g34597_DN1_SP0_c.t1, CP15_g34655_DN1_SP0_c.t1, CP3_g14978_DN3_SP0_c.t1, CP3_g15708_DN2_SP0_c.t1	XP_019087435.1
OG0000003	CP26_g51324_DN2_SP0_c.t1	XP_019092278.1
OG0000003	CP29_g22141_DN2_SP0_c.t1	XP_010436867.1
OG0000003	CP13_g20572_DN1_SP0_c.t1	XP_019089220.1, XP_010473894.1, XP_010431475.1, XP_019095868.1
OG0000003	CP4_g26010_DN1_SP0_c.t1	XP_010446092.1
OG0000003	CP8_g52216_DN3_SP0_c.t1, CP15_g35250_DN2_SP0_c.t1	XP_019089103.1
OG0000003	CP29_g22111_DN2_SP0_c.t1, CP17_g5059_DN2_SP0_c.t1	XP_010424837.2
OG0000003	CP18_g12232_DN3_SP0_c.t1	XP_010495645.1
OG0000004	CP17_g5889_DN1_SP0_c.t1, CP1_g39400_DN3_SP0_c.t1, CP1_g39844_DN3_SP0_c.t1	XP_019096757.1
OG0000007	CP8_g52162_DN2_SP0_c.t1	XP_010431016.1, XP_010431602.1, XP_010495651.1
OG0000008	CP15_g34920_DN2_SP0_c.t1	XP_010451669.1
OG0000008	CP27_g41699_DN2_SP0_c.t1	XP_019085413.1
OG0000008	CP14_g23480_DN3_SP0_c.t1	XP_019089099.1
OG0000008	CP5_g2806_DN2_SP0_c.t1	XP_010423670.1, XP_010507012.1
OG0000009	CP3_g16492_DN1_SP0_c.t1	XP_019097316.1
OG0000009	CP15_g34443_DN2_SP0_c.t1	XP_019089129.1
OG0000009	CP4_g26233_DN2_SP0_c.t1, CP3_g15237_DN1_SP0_c.t1	XP_010462909.1, XP_010507589.1
OG0000009	CP12_g31672_DN2_SP0_c.t1	XP_010474388.1, XP_010445324.1, XP_010418625.1
OG0000009	CP8_g52568_DN1_SP0_c.t1	XP_010445906.1, XP_010473781.1
OG0000011	CP47_g21270_DN3_SP0_c.t1	XP_010506471.1, XP_010420141.1, XP_010423040.1, XP_019095544.1, XP_010481212.1, XP_010507282.1, XP_010415695.1
OG0000011	CP14_g23710_DN2_SP0_c.t1	XP_010516924.1
OG0000011	CP20_g3893_DN1_SP0_c.t1, CP1_g39554_DN1_SP0_c.t1	XP_010451589.1, XP_019094549.1, XP_010496057.1, XP_010495781.2, XP_010501777.1
OG0000011	CP3_g16756_DN2_SP0_c.t1, CP3_g16698_DN2_SP0_c.t1	XP_010441447.2, XP_010461380.2, XP_010472684.2, XP_010489801.1, XP_019082513.1, XP_019090446.1
OG0000011	CP3_g16065_DN2_SP0_c.t1, CP3_g16755_DN2_SP0_c.t1, CP1_g39552_DN2_SP0_c.t1	XP_019082656.1, XP_010424386.1, XP_010463179.1
OG0000011	CP17_g5859_DN2_SP0_c.t1	XP_010453170.1, XP_010497231.1
OG0000011	CP15_g35899_DN2_SP0_c.t1	XP_019086294.1, XP_019087453.1, XP_010471647.1
OG0000011	CP8_g52577_DN3_SP0_c.t1, CP14_g23599_DN3_SP0_c.t1	XP_010485259.1, XP_010412777.1
OG0000015	CP12_g31767_DN3_SP0_c.t1	XP_010507453.1
OG0000015	CP9_g27629_DN1_SP0_c.t1	XP_019098184.1, XP_010412474.1
OG0000015	CP1_g39589_DN1_SP0_c.t1, CP6_g9040_DN3_SP0_c.t1, CP14_g23836_DN3_SP0_c.t1, CP16_g55483_DN2_SP0_c.t1, CP27_g41927_DN1_SP0_c.t1	XP_010480818.1, XP_010497195.1, XP_010456599.1
OG0000015	CP9_g27744_DN1_SP0_c.t1	XP_010418862.1, XP_019084456.1, XP_019090265.1, XP_010497072.1, XP_010501828.1, XP_010496259.1
OG0000015	CP25_g55897_DN3_SP0_c.t1, CP39_g21117_DN1_SP0_c.t1, CP3_g15322_DN2_SP0_c.t1	XP_010445653.1
OG0000015	CP16_g55608_DN2_SP0_c.t1	XP_019101582.1, XP_010517126.1
OG0000015	CP6_g9737_DN2_SP0_c.t1	XP_010412816.1, XP_010470614.1
OG0000015	CP26_g51311_DN3_SP0_c.t1, CP4_g26055_DN1_SP0_c.t1, CP15_g34881_DN2_SP0_c.t1, CP7_g44360_DN2_SP0_c.t1, CP1_g38946_DN3_SP0_c.t1, CP15_g34909_DN3_SP0_c.t1	XP_010474544.1
OG0000016	CP14_g23708_DN3_SP0_c.t1, CP9_g27907_DN2_SP0_c.t1	XP_019084262.1
OG0000016	CP24_g47422_DN2_SP0_c.t1	XP_019094511.1, XP_019096116.1, XP_019092317.1, XP_010484717.1, XP_019101859.1, XP_010412662.1, XP_010412664.1, XP_010462765.1, XP_010496096.1, XP_019089253.1, XP_019092323.1, XP_019097462.1, XP_019089247.1, XP_010463195.1
OG0000020	CP17_g5482_DN2_SP0_c.t1, CP27_g41901_DN3_SP0_c.t1	XP_019084343.1
OG0000020	CP6_g9455_DN3_SP0_c.t1	XP_019084688.1, XP_019086950.1, XP_019092339.1, XP_019090999.1
OG0000020	CP28_g33976_DN2_SP0_c.t1, CP6_g8460_DN3_SP0_c.t1	XP_019082585.1
OG0000021	CP7_g44363_DN3_SP0_c.t1, CP14_g23481_DN3_SP0_c.t1	XP_010513446.2, XP_019086267.1, XP_010423747.1, XP_010436809.1, XP_010424537.1, XP_010506965.1, XP_010503779.1, XP_010484789.1, XP_010431203.2, XP_019096510.1, XP_019100928.1, XP_010424409.1, XP_010425747.1, XP_019097391.1, XP_019099607.1, XP_019097512.1, XP_010426045.1, XP_010490194.1, XP_010419328.1, XP_010425255.1, XP_010425129.1, XP_010518556.1, XP_010456610.1, XP_010446058.1, XP_010451363.1, XP_010431070.1, XP_019091017.1, XP_010445717.1, XP_010474695.1, XP_010507197.1, XP_010484803.1, XP_010456729.1, XP_010484820.1, XP_010496602.2, XP_019091130.1, XP_010456944.1, XP_019094396.1, XP_019100756.1, XP_019092276.1, XP_019097496.1, XP_010480828.1, XP_010445495.1, XP_010412713.1, XP_019091495.1, XP_010471217.1, XP_010434877.1, XP_019088976.1, XP_010482610.1, XP_010445118.1, XP_019086509.1, XP_010445483.1, XP_010451671.1, XP_019096477.1, XP_010511144.1, XP_010439761.1, XP_019089680.1
OG0000023	CP35_g52033_DN3_SP0_c.t1	XP_019090144.1, XP_019083197.1, XP_010506933.1, XP_010445979.1, XP_010422813.1, XP_010431119.1, XP_010425465.1, XP_010490322.1, XP_010436664.1, XP_010419027.1, XP_010422803.1, XP_019085500.1, XP_010431149.1, XP_019092394.1, XP_010451613.1, XP_010431214.1, XP_010489845.1, XP_010473334.1, XP_010412528.1, XP_019086325.1, XP_010495686.1, XP_010419111.1, XP_010484854.1, XP_010475417.1, XP_010468248.1, XP_019097497.1, XP_010431497.1, XP_010495795.1, XP_010424360.1, XP_010490106.1, XP_019092345.1, XP_010490056.1, XP_010495372.1, XP_010512916.1, XP_010424574.1, XP_010474959.1, XP_010480840.1, XP_010513121.1, XP_010428239.1, XP_019091465.1, XP_010495471.1, XP_010465658.1, XP_010460988.1, XP_010448578.1, XP_010446631.1, XP_010446264.1, XP_010485326.1, XP_010424137.1, XP_019087273.1, XP_010412821.1, XP_010419935.1, XP_010507508.1, XP_019100992.1, XP_010418572.1, XP_010513529.1, XP_010431509.1, XP_010451222.1, XP_019087083.1, XP_010445644.1, XP_010495590.1, XP_010468561.1, XP_010463429.1, XP_010436656.1, XP_010451895.1, XP_010418679.1, XP_010451825.1, XP_010468629.1, XP_019082669.1, XP_010474311.1, XP_010495350.1, XP_019100920.1, XP_010513512.1, XP_010495582.1, XP_019095592.1, XP_010490347.1, XP_010472048.1, XP_010451510.1, XP_010424636.1, XP_010417428.1, XP_010489881.1
OG0000024	CP6_g7457_DN2_SP0_c.t1, CP1_g39929_DN2_SP0_c.t1	XP_010480824.1
OG0000027	CP16_g55470_DN3_SP0_c.t1	XP_010427119.1, XP_010514748.1, XP_010503063.1
OG0000029	CP27_g41814_DN2_SP0_c.t1, CP4_g26144_DN2_SP0_c.t1	XP_019085353.1, XP_019083999.1, XP_019095330.1, XP_019088516.1, XP_019092964.1, XP_019097126.1, XP_010501650.1, XP_010484850.2, XP_019097927.1, XP_019092098.1, XP_019098406.1, XP_019093987.1, XP_010431039.1
OG0000029	CP5_g2126_DN1_SP0_c.t1, CP17_g5538_DN2_SP0_c.t1, CP1_g39690_DN3_SP0_c.t1, CP15_g35522_DN1_SP0_c.t1, CP9_g27692_DN2_SP0_c.t1, CP1_g39003_DN2_SP0_c.t1, CP22_g17657_DN2_SP0_c.t1, CP6_g8506_DN2_SP0_c.t1	XP_019101704.1, XP_010451391.1, XP_010507235.1
OG0000029	CP4_g26295_DN2_SP0_c.t1	XP_010515282.1
OG0000029	CP4_g26137_DN1_SP0_c.t1	XP_019090727.1
OG0000030	CP11_g31940_DN3_SP0_c.t1	XP_010462901.2, XP_010462898.1, XP_010462936.2, XP_010462910.2, XP_010477981.2, XP_019091238.1, XP_010499061.1, XP_010506941.1, XP_010481243.1
OG0000030	CP10_g43630_DN1_SP0_c.t1, CP2_g49394_DN2_SP0_c.t1	XP_019099946.1, XP_019099931.1, XP_010431180.1
OG0000030	CP10_g43326_DN2_SP0_c.t1	XP_010412587.1
OG0000031	CP12_g30554_DN2_SP0_c.t1, CP2_g49958_DN1_SP0_c.t1	XP_019091421.1
OG0000031	CP34_g51549_DN2_SP0_c.t1	XP_010513198.1
OG0000031	CP3_g14979_DN3_SP0_c.t1	XP_010421785.1
OG0000032	CP3_g16163_DN2_SP0_c.t1, CP56_g20987_DN1_SP0_c.t1, CP25_g55997_DN1_SP0_c.t1, CP9_g27772_DN1_SP0_c.t1, CP27_g41695_DN1_SP0_c.t1, CP44_g20906_DN3_SP0_c.t1, CP8_g52855_DN2_SP0_c.t1, CP64_g21090_DN2_SP0_c.t1	XP_010419309.1
OG0000032	CP64_g21089_DN1_SP0_c.t1, CP5_g3357_DN2_SP0_c.t1, CP18_g12571_DN2_SP0_c.t1, CP14_g23529_DN3_SP0_c.t1	XP_010457003.2, XP_010412532.1, XP_010451598.1, XP_010494552.1
OG0000032	CP15_g35839_DN1_SP0_c.t1, CP5_g2289_DN2_SP0_c.t1	XP_019100224.1
OG0000032	CP3_g16164_DN3_SP0_c.t1	XP_010431521.1, XP_010480490.1, XP_019086315.1
OG0000032	CP14_g22577_DN2_SP0_c.t1, CP25_g55995_DN1_SP0_c.t1, CP5_g3358_DN2_SP0_c.t1	XP_010445680.1, XP_010473999.1, XP_010425095.1
OG0000032	CP64_g21088_DN3_SP0_c.t1	XP_010412531.1
OG0000034	CP8_g54564_DN3_SP0_c.t1	XP_019085069.1, XP_019088752.1, XP_019084421.1, XP_010456187.1
OG0000034	CP16_g55465_DN3_SP1_c.t1	XP_010427120.1, XP_010514747.1, XP_010503062.2
OG0000036	CP23_g21756_DN1_SP0_c.t1, CP23_g21716_DN1_SP0_c.t1	XP_019082497.1
OG0000038	CP29_g22118_DN1_SP0_c.t1	XP_010419217.1, XP_010419216.1
OG0000038	CP6_g8155_DN1_SP0_c.t1	XP_019096545.1, XP_019091034.1, XP_019095603.1, XP_019085897.1
OG0000038	CP6_g7770_DN1_SP0_c.t1, CP28_g33935_DN3_SP0_c.t1	XP_019095590.1, XP_019093290.1, XP_019087432.1, XP_019084251.1, XP_019098425.1
OG0000038	CP15_g35533_DN1_SP0_c.t1	XP_019090156.1, XP_019096519.1, XP_019089825.1
OG0000038	CP29_g22117_DN1_SP0_c.t1	XP_019093331.1, XP_010513551.1, XP_019099760.1, XP_019101814.1, XP_019092402.1, XP_019086449.1, XP_019087580.1, XP_019101789.1, XP_019101883.1, XP_019095636.1, XP_019095571.1, XP_019084237.1
OG0000038	CP7_g44433_DN3_SP0_c.t1	XP_019086048.1
OG0000039	CP24_g47137_DN2_SP0_c.t1	XP_019097465.1, XP_019097412.1, XP_019094533.1, XP_019098312.1, XP_019095577.1, XP_019085510.1, XP_019089232.1, XP_019090134.1, XP_019094562.1, XP_019094561.1, XP_019097448.1, XP_019098351.1, XP_019098390.1, XP_019098326.1, XP_019099627.1, XP_019097476.1, XP_019100901.1, XP_019099563.1, XP_019089054.1, XP_019098388.1, XP_019098337.1, XP_019098135.1, XP_019085563.1, XP_019098366.1, XP_019098352.1, XP_019098360.1, XP_019096026.1, XP_019089187.1, XP_019098311.1, XP_019101966.1, XP_019082856.1, XP_019087510.1, XP_019099678.1, XP_019097467.1, XP_019100868.1, XP_019082678.1, XP_019086329.1
OG0000040	CP3_g14924_DN2_SP0_c.t1, CP5_g1518_DN1_SP0_c.t1	XP_010473876.1, XP_019084354.1, XP_010473794.1, XP_019095172.1, XP_019099587.1
OG0000040	CP13_g20255_DN1_SP0_c.t1	XP_019083342.1
OG0000041	CP1_g39386_DN1_SP0_c.t1	XP_010496670.1, XP_010420068.1
OG0000041	CP2_g50310_DN2_SP0_c.t1	XP_019087596.1, XP_010497180.1, XP_010496781.1, XP_019082552.1, XP_010490036.1, XP_010468379.1, XP_019095576.1, XP_019087652.1, XP_010479820.1, XP_019100970.1
OG0000041	CP6_g9686_DN3_SP0_c.t1, CP12_g31463_DN1_SP0_c.t1, CP15_g34935_DN3_SP0_c.t1, CP34_g51571_DN3_SP0_c.t1	XP_010466315.1
OG0000041	CP34_g51569_DN2_SP0_c.t1	XP_019099748.1
OG0000041	CP1_g39385_DN3_SP0_c.t1, CP1_g41374_DN2_SP0_c.t1	XP_010436786.1
OG0000042	CP8_g52167_DN3_SP0_c.t1, CP5_g3067_DN2_SP0_c.t1, CP37_g11368_DN3_SP0_c.t1	XP_010445645.1, XP_010462855.1, XP_010460219.1, XP_010415464.1, XP_010456305.1, XP_010424457.1
OG0000042	CP6_g9916_DN1_SP0_c.t1	XP_019101232.1, XP_010468709.1
OG0000042	CP8_g52519_DN1_SP0_c.t1	XP_019098840.1, XP_010412406.1
OG0000043	CP15_g35835_DN2_SP0_c.t1	XP_010451890.1, XP_010468194.1, XP_010462654.1
OG0000043	CP15_g35836_DN2_SP0_c.t1	XP_010507068.1
OG0000043	CP5_g1995_DN2_SP0_c.t1, CP14_g22990_DN1_SP0_c.t1	XP_019097453.1
OG0000046	CP15_g34716_DN3_SP0_c.t1	XP_019091484.1
OG0000046	CP8_g52809_DN3_SP0_c.t1	XP_019094579.1, XP_010458616.1, XP_010495787.1, XP_019087961.1
OG0000048	CP4_g25547_DN2_SP0_c.t1	XP_010418692.1, XP_010513136.1, XP_019082534.1, XP_010510111.2, XP_019099592.1, XP_010430751.1
OG0000048	CP3_g14428_DN3_SP0_c.t1	XP_019087514.1
OG0000048	CP4_g25641_DN3_SP0_c.t1, CP4_g25622_DN2_SP0_c.t1, CP13_g20135_DN3_SP0_c.t1	XP_019083013.1, XP_019083016.1, XP_019093684.1, XP_019100809.1, XP_010513158.1, XP_019082540.1, XP_010414120.1, XP_019098434.1, XP_010507693.2, XP_010512904.1, XP_019101431.1
OG0000048	CP9_g29505_DN2_SP0_c.t1	XP_010431681.1, XP_019082751.1, XP_010431684.1, XP_010431683.1, XP_010419453.1
OG0000049	CP24_g47339_DN2_SP0_c.t1	XP_010445345.1, XP_010468354.1, XP_010463092.1
OG0000049	CP3_g15633_DN2_SP0_c.t1	XP_010436765.1
OG0000049	CP21_g11009_DN3_SP0_c.t1	XP_019092233.1, XP_019095479.1, XP_019100829.1, XP_019086446.1, XP_019090068.1
OG0000049	CP17_g4884_DN2_SP0_c.t1, CP17_g4930_DN2_SP0_c.t1	XP_019089269.1
OG0000049	CP1_g38897_DN1_SP0_c.t1	XP_019087412.1, XP_019098132.1, XP_019099318.1
OG0000049	CP1_g38898_DN1_SP0_c.t1	XP_019085817.1
OG0000049	CP3_g16790_DN1_SP0_c.t1	XP_019085550.1
OG0000049	CP1_g41262_DN3_SP0_c.t1	XP_019095478.1
OG0000050	CP9_g27575_DN2_SP0_c.t1	XP_010412420.1
OG0000050	CP5_g3336_DN1_SP0_c.t1	XP_010495728.1, XP_019097515.1
OG0000051	CP9_g28198_DN3_SP0_c.t1, CP4_g24479_DN3_SP0_c.t1	XP_019100718.1, XP_019102056.1
OG0000052	CP13_g19766_DN3_SP0_c.t1	XP_010425425.1, XP_019100094.1, XP_010502638.1, XP_019100897.1, XP_010418932.1, XP_010418929.2, XP_010507020.2, XP_010502644.1, XP_019101817.1, XP_010425426.1, XP_010502642.1, XP_010514366.1, XP_010430778.1, XP_010440300.1, XP_019085462.1, XP_019085408.1
OG0000052	CP3_g14092_DN3_SP0_c.t1	XP_019099853.1, XP_010431292.1, XP_019085576.1, XP_010431289.1, XP_019100300.1
OG0000054	CP29_g22024_DN2_SP0_c.t1	XP_019093378.1, XP_010419041.1, XP_010420509.1, XP_010423961.1, XP_010485112.1, XP_010419011.1
OG0000055	CP12_g30730_DN2_SP0_c.t1	XP_019092356.1
OG0000055	CP10_g42649_DN3_SP0_c.t1	XP_019092293.1, XP_019092631.1
OG0000055	CP12_g30848_DN3_SP0_c.t1	XP_010487026.1, XP_019099114.1, XP_019092423.1, XP_019096980.1
OG0000055	CP10_g43729_DN2_SP0_c.t1	XP_019092372.1, XP_019089014.1, XP_019092647.1, XP_010490397.2, XP_010449648.2
OG0000056	CP2_g49032_DN3_SP0_c.t1, CP2_g49030_DN3_SP0_c.t1	XP_010430221.1
OG0000056	CP2_g49077_DN3_SP0_c.t1	XP_010473417.1, XP_010419451.1
OG0000056	CP2_g49067_DN3_SP0_c.t1	XP_010430223.1, XP_010418172.1, XP_010473414.1, XP_019082750.1, XP_010430231.1, XP_010473416.1, XP_010418173.1, XP_010430224.1, XP_010473415.1
OG0000056	CP2_g49031_DN3_SP0_c.t1	XP_010426146.1, XP_010503309.1, XP_019084785.1, XP_010515018.1
OG0000058	CP17_g5406_DN1_SP0_c.t1	XP_019086887.1, XP_010493433.1, XP_010496594.1
OG0000058	CP13_g20701_DN3_SP0_c.t1	XP_010412459.1, XP_019098310.1, XP_019096550.1, XP_019086270.1, XP_019101868.1, XP_019100846.1, XP_019101359.1, XP_019093349.1, XP_010507005.2, XP_019090153.1, XP_019099752.1, XP_010495718.2, XP_010457035.1, XP_010472188.1, XP_010441848.1, XP_010445492.1, XP_010430898.2, XP_019093221.1
OG0000059	CP12_g31611_DN2_SP0_c.t1	XP_010451490.1, XP_010506938.1
OG0000059	CP1_g38971_DN3_SP0_c.t1, CP20_g3949_DN2_SP0_c.t1	XP_019082768.1, XP_010424297.1, XP_010492076.1, XP_010480864.1, XP_010480807.1, XP_010421928.1, XP_019086245.1, XP_010454794.1, XP_010474415.1, XP_019093613.1, XP_019087039.1, XP_010445534.1, XP_019093612.1, XP_010483128.1, XP_010495455.1, XP_010467664.1, XP_019094598.1, XP_010513527.1, XP_010513525.1, XP_010436683.1, XP_010501879.1, XP_010444952.1, XP_010419243.1, XP_010445432.1, XP_010451388.1, XP_010451387.1, XP_010480860.1, XP_010418226.1, XP_010507751.1, XP_010418870.1, XP_010424397.1, XP_010485261.1, XP_010507491.1, XP_010501675.1, XP_010436657.1, XP_010474557.1, XP_010412778.1, XP_010501678.1, XP_010457038.1
OG0000059	CP22_g17654_DN3_SP0_c.t1, CP4_g26576_DN3_SP0_c.t1	XP_010424196.1, XP_019102427.1, XP_010456828.1, XP_010424751.1, XP_010456785.1
OG0000062	CP1_g38352_DN3_SP0_c.t1, CP6_g9070_DN1_SP0_c.t1	XP_019096831.1
OG0000062	CP18_g12167_DN3_SP0_c.t1	XP_019098324.1, XP_010445564.1
OG0000062	CP12_g31035_DN3_SP0_c.t1, CP36_g50953_DN2_SP0_c.t1, CP20_g4061_DN2_SP0_c.t1, CP27_g41852_DN3_SP0_c.t1, CP3_g15593_DN3_SP0_c.t1, CP5_g2505_DN3_SP0_c.t1, CP20_g4062_DN3_SP0_c.t1	XP_019094835.1, XP_010445890.1, XP_010424291.1, XP_019097384.1, XP_019092382.1, XP_010513205.1, XP_010513649.1
OG0000062	CP1_g40964_DN3_SP0_c.t1	XP_010430727.1, XP_010430776.1, XP_010497024.1, XP_019085507.1
OG0000063	CP14_g23881_DN1_SP0_c.t1	XP_019100825.1
OG0000063	CP1_g39921_DN2_SP0_c.t1, CP1_g40425_DN2_SP0_c.t1	XP_019089224.1
OG0000063	CP4_g26223_DN2_SP0_c.t1	XP_019100777.1, XP_019095028.1
OG0000063	CP37_g11370_DN1_SP0_c.t1, CP5_g3265_DN3_SP0_c.t1	XP_019098255.1, XP_019082506.1
OG0000063	CP14_g23889_DN2_SP0_c.t1	XP_010507647.1
OG0000063	CP4_g26225_DN1_SP0_c.t1	XP_010445567.1
OG0000063	CP3_g15486_DN2_SP0_c.t1	XP_010501984.1
OG0000063	CP21_g10523_DN3_SP0_c.t1	XP_010507459.1
OG0000063	CP14_g23887_DN2_SP0_c.t1, CP6_g8261_DN3_SP0_c.t1, CP4_g26203_DN2_SP0_c.t1	XP_019085503.1, XP_019089052.1, XP_019086237.1, XP_019096554.1, XP_019086200.1, XP_019090121.1, XP_019095484.1, XP_019095597.1, XP_019086378.1, XP_019085320.1, XP_019093329.1, XP_019096445.1, XP_019090996.1, XP_019101850.1, XP_019087326.1, XP_019087327.1
OG0000063	CP4_g26799_DN1_SP0_c.t1	XP_019088608.1, XP_019091190.1, XP_019101846.1, XP_019096222.1, XP_019086020.1, XP_019084316.1
OG0000063	CP3_g15487_DN2_SP0_c.t1	XP_019091125.1, XP_019095609.1
OG0000063	CP15_g36114_DN1_SP0_c.t1, CP18_g12288_DN1_SP0_c.t1	XP_019101863.1, XP_019082636.1, XP_019085306.1
OG0000063	CP3_g15363_DN1_SP0_c.t1	XP_010445945.1
OG0000063	CP37_g11371_DN2_SP0_c.t1	XP_019094567.1, XP_019094508.1, XP_019095608.1
OG0000063	CP12_g31694_DN2_SP0_c.t1	XP_019099614.1
OG0000064	CP18_g12051_DN1_SP0_c.t1	XP_019097464.1, XP_019095830.1, XP_010495949.1, XP_019097470.1, XP_019097730.1, XP_010494197.1, XP_010494198.1, XP_010495950.1, XP_010467928.1, XP_010484899.1, XP_019095588.1, XP_010442146.1, XP_010481977.1, XP_010481978.1, XP_010494196.1, XP_010494195.1, XP_010494194.1
OG0000065	CP5_g1580_DN2_SP0_c.t1	XP_010441031.1, XP_019089248.1, XP_010435808.1
OG0000066	CP4_g25642_DN3_SP0_c.t1, CP2_g49425_DN3_SP0_c.t1	XP_010489841.1, XP_010475747.1, XP_010484375.1, XP_010514443.1, XP_010502711.1, XP_010444536.1, XP_010425488.1, XP_010458200.1, XP_010463183.1
OG0000067	CP17_g5644_DN3_SP0_c.t1, CP17_g5532_DN2_SP0_c.t1	XP_010474142.1, XP_010462847.1, XP_010501825.1, XP_010469626.1, XP_010468532.1, XP_019085178.1, XP_010445366.1, XP_010436483.1, XP_010470520.1, XP_010507263.1, XP_010446237.1, XP_010480816.1, XP_010445762.1, XP_010497305.1, XP_010507063.1, XP_010418611.1, XP_010462653.1, XP_010495193.1, XP_010424660.1, XP_010474442.1, XP_010506977.1, XP_010445242.1
OG0000068	CP12_g31237_DN3_SP0_c.t1	XP_010423843.1, XP_019090686.1, XP_010423328.1, XP_010423367.1, XP_010452589.1, XP_019097301.1, XP_010490972.1, XP_010424780.1, XP_010452237.1, XP_019084545.1, XP_019097292.1
OG0000069	CP2_g48010_DN3_SP0_c.t1	XP_019087685.1, XP_010478135.1, XP_010444227.1, XP_010444236.1, XP_010484077.1, XP_019093841.1, XP_019093843.1, XP_010460670.1, XP_010444261.1, XP_019095680.1
