Orthogroup	Conringia_planisiliqua	Capsella_rubella
OG0000015	CP26_g51311_DN3_SP0_c.t1, CP4_g26055_DN1_SP0_c.t1, CP15_g34881_DN2_SP0_c.t1, CP7_g44360_DN2_SP0_c.t1, CP1_g38946_DN3_SP0_c.t1, CP15_g34909_DN3_SP0_c.t1	XP_023638902.1
OG0000020	CP17_g5482_DN2_SP0_c.t1, CP27_g41901_DN3_SP0_c.t1	XP_006279199.1
OG0000021	CP7_g44363_DN3_SP0_c.t1, CP14_g23481_DN3_SP0_c.t1	XP_023634269.1, XP_023637241.1, XP_023637954.1, XP_006303531.2, XP_023644562.1, XP_023641377.1, XP_023638098.1, XP_023633350.1, XP_023634149.1, XP_023640318.1, XP_023634347.1, XP_023644512.1, XP_023636053.1, XP_006285455.2, XP_023638958.1, XP_023645856.1, XP_023634319.1, XP_023641905.1, XP_023638482.1, XP_023634354.1, XP_023634431.1, XP_023644454.1, XP_023641962.1, XP_023641378.1, XP_023637243.1, XP_023642574.1
OG0000023	CP35_g52033_DN3_SP0_c.t1	XP_023633772.1, XP_023636242.1, XP_023642187.1, XP_023636237.1
OG0000024	CP6_g7457_DN2_SP0_c.t1, CP1_g39929_DN2_SP0_c.t1	XP_023633039.1
OG0000027	CP16_g55470_DN3_SP0_c.t1	XP_023638659.1
OG0000028	CP10_g43844_DN3_SP0_c.t1	XP_023633414.1
OG0000029	CP27_g41814_DN2_SP0_c.t1, CP4_g26144_DN2_SP0_c.t1	XP_023633422.1, XP_023644241.1, XP_023638860.1, XP_023634002.1, XP_023644242.1, XP_023644257.1, XP_023638123.1, XP_023633373.1, XP_023633615.1, XP_023641909.1, XP_023636106.1, XP_023644249.1, XP_023638859.1
OG0000029	CP4_g26295_DN2_SP0_c.t1	XP_023640390.1, XP_023635785.1, XP_023637682.1
OG0000030	CP11_g31940_DN3_SP0_c.t1	XP_006303634.1, XP_023632886.1, XP_023632793.1
OG0000030	CP10_g43630_DN1_SP0_c.t1, CP2_g49394_DN2_SP0_c.t1	XP_006293126.1
OG0000031	CP2_g49348_DN2_SP0_c.t1, CP26_g51323_DN1_SP0_c.t1	XP_023635342.1
OG0000032	CP1_g40427_DN2_SP0_c.t1	XP_023632591.1
OG0000034	CP8_g54564_DN3_SP0_c.t1	XP_023637378.1
OG0000034	CP16_g55465_DN3_SP1_c.t1	XP_023638280.1
OG0000035	CP14_g23646_DN2_SP0_c.t1, CP14_g23679_DN2_SP0_c.t1, CP117_g56225_DN2_SP0_c.t1, CP103_g21003_DN2_SP0_c.t1, CP63_g12714_DN2_SP0_c.t1	XP_023633542.1, XP_023633652.1, XP_023639706.1
OG0000035	CP12_g31766_DN2_SP0_c.t1, CP1_g40960_DN1_SP0_c.t1	XP_023640381.1, XP_023634177.1
OG0000040	CP13_g20255_DN1_SP0_c.t1	XP_023640353.1
OG0000042	CP8_g52167_DN3_SP0_c.t1, CP5_g3067_DN2_SP0_c.t1, CP37_g11368_DN3_SP0_c.t1, CP37_g11369_DN1_SP0_c.t1, CP6_g9833_DN1_SP0_c.t1, CP26_g51211_DN3_SP0_c.t1, CP15_g34874_DN3_SP0_c.t1	XP_023634283.1
OG0000043	CP15_g35836_DN2_SP0_c.t1	XP_006304881.2
OG0000044	CP21_g10991_DN3_SP0_c.t1	XP_023638542.1
OG0000046	CP8_g52809_DN3_SP0_c.t1	XP_023641942.1, XP_023640348.1, XP_023636067.1, XP_006289233.2, XP_023638196.1
OG0000048	CP4_g25547_DN2_SP0_c.t1	XP_023640514.1
OG0000048	CP9_g29505_DN2_SP0_c.t1	XP_023643230.1, XP_023643229.1, XP_023636083.1, XP_006289868.2
OG0000049	CP1_g38897_DN1_SP0_c.t1	XP_023634626.1
OG0000050	CP4_g26837_DN2_SP0_c.t1, CP3_g16491_DN1_SP0_c.t1, CP15_g34543_DN2_SP0_c.t1, CP1_g39907_DN2_SP0_c.t1	XP_006299955.2
OG0000051	CP9_g28198_DN3_SP0_c.t1, CP4_g24479_DN3_SP0_c.t1	XP_023640424.1
OG0000052	CP13_g19766_DN3_SP0_c.t1	XP_023639087.1, XP_023639245.1, XP_023638292.1, XP_006301891.2, XP_006301896.2, XP_023638056.1, XP_023639204.1, XP_006293172.2
OG0000052	CP3_g14092_DN3_SP0_c.t1	XP_006291114.1, XP_006291129.1, XP_006293230.1, XP_006290348.2
OG0000054	CP29_g22024_DN2_SP0_c.t1	XP_023633331.1
OG0000055	CP12_g30730_DN2_SP0_c.t1	XP_006299228.1, XP_006300113.1
OG0000055	CP10_g42516_DN3_SP0_c.t1	XP_006286657.2
OG0000055	CP10_g43729_DN2_SP0_c.t1	XP_023641561.1
OG0000056	CP2_g49032_DN3_SP0_c.t1, CP2_g49030_DN3_SP0_c.t1	XP_006301237.2
OG0000056	CP2_g49077_DN3_SP0_c.t1	XP_023643438.1
OG0000056	CP2_g49067_DN3_SP0_c.t1	XP_006301411.1, XP_006301193.1, XP_006301052.1
OG0000056	CP2_g49076_DN3_SP0_c.t1	XP_006302254.2
OG0000056	CP2_g49031_DN3_SP0_c.t1	XP_006292456.1
OG0000059	CP22_g17654_DN3_SP0_c.t1, CP4_g26576_DN3_SP0_c.t1	XP_023636099.1, XP_006290464.1
OG0000059	CP9_g27482_DN3_SP0_c.t1	XP_023633025.1
OG0000062	CP24_g46981_DN1_SP0_c.t1, CP4_g26777_DN2_SP0_c.t1, CP18_g11589_DN2_SP0_c.t1, CP1_g40826_DN1_SP0_c.t1, CP7_g44165_DN3_SP0_c.t1, CP12_g31765_DN3_SP0_c.t1, CP6_g9071_DN2_SP0_c.t1	XP_023633725.1
OG0000062	CP1_g40964_DN3_SP0_c.t1	XP_023633353.1, XP_023634169.1
OG0000064	CP18_g12051_DN1_SP0_c.t1	XP_006301177.1, XP_006279224.1, XP_006279222.1, XP_006301148.1, XP_006300412.1, XP_006279227.1, XP_006301373.1, XP_006301746.1, XP_006301302.1, XP_006279223.1, XP_006301675.1, XP_006301967.1, XP_006281741.1, XP_006301107.1, XP_006301805.1, XP_006301207.1, XP_006301336.1, XP_006301472.1, XP_006301343.1, XP_006301855.1, XP_006301176.1, XP_006306169.1
OG0000065	CP5_g1580_DN2_SP0_c.t1	XP_006286236.1
OG0000066	CP4_g25642_DN3_SP0_c.t1, CP2_g49425_DN3_SP0_c.t1	XP_006301260.2, XP_006304637.1, XP_006292533.1
OG0000067	CP17_g5644_DN3_SP0_c.t1, CP17_g5532_DN2_SP0_c.t1	XP_023638931.1, XP_023634337.1, XP_023633435.1, XP_023645924.1
OG0000068	CP12_g31237_DN3_SP0_c.t1	XP_006289028.2, XP_006289556.2, XP_023637280.1
OG0000070	CP17_g5790_DN3_SP0_c.t1	XP_006305612.2, XP_006292236.1, XP_006292951.2, XP_006290298.1, XP_006292400.1, XP_006291986.1, XP_006292823.1, XP_006292249.1, XP_006292597.1, XP_006291940.1
OG0000070	CP7_g45746_DN3_SP0_c.t1	XP_006304273.1
OG0000070	CP1_g38202_DN3_SP0_c.t1, CP1_g38197_DN2_SP0_c.t1	XP_006295429.1
OG0000073	CP18_g11666_DN2_SP0_c.t1, CP29_g22116_DN2_SP0_c.t1, CP8_g53133_DN1_SP0_c.t1, CP4_g26011_DN1_SP0_c.t1, CP15_g35379_DN3_SP0_c.t1	XP_023644828.1
OG0000073	CP18_g12305_DN2_SP0_c.t1	XP_023644311.1
OG0000074	CP12_g31536_DN1_SP0_c.t1	XP_023638088.1
OG0000076	CP5_g77_DN1_SP0_c.t1	XP_023634774.1
OG0000076	CP4_g25364_DN3_SP0_c.t1	XP_006295567.2
OG0000076	CP8_g53270_DN3_SP0_c.t1, CP20_g3903_DN2_SP0_c.t1	XP_006286831.1
OG0000077	CP13_g20085_DN3_SP0_c.t1	XP_006281971.1
OG0000077	CP13_g20036_DN3_SP0_c.t1, CP13_g20034_DN3_SP0_c.t1	XP_006280897.2
OG0000077	CP2_g49683_DN2_SP0_c.t1	XP_023643297.1
OG0000077	CP13_g19516_DN3_SP0_c.t1	XP_006292432.2, XP_006292790.1, XP_006293218.1
OG0000077	CP13_g20039_DN3_SP0_c.t1	XP_006281861.1
OG0000078	CP10_g42381_DN3_SP0_c.t1	XP_006296650.2
OG0000078	CP10_g42379_DN1_SP0_c.t1	XP_006298876.1
OG0000078	CP10_g42380_DN2_SP0_c.t1	XP_006300092.1
OG0000081	CP1_g40914_DN2_SP0_c.t1	XP_023634311.1
OG0000082	CP15_g35761_DN3_SP0_c.t1, CP1_g38899_DN2_SP0_c.t1, CP3_g15632_DN1_SP0_c.t1, CP1_g41005_DN2_SP0_c.t1, CP2_g49995_DN3_SP0_c.t1, CP23_g21380_DN2_SP0_c.t1	XP_023639594.1
OG0000082	CP18_g12600_DN2_SP0_c.t1	XP_023642613.1
OG0000083	CP66_g6455_DN1_SP0_c.t1, CP6_g7798_DN2_SP0_c.t1	XP_023633452.1
OG0000086	CP9_g28199_DN3_SP0_c.t1	XP_023644279.1, XP_023644252.1
OG0000089	CP2_g48308_DN3_SP8_c.t1	XP_006287738.1
OG0000089	CP2_g48035_DN3_SP7_c.t1, CP3_g14713_DN3_SP4_c.t1	XP_006292748.1, XP_006291122.1
OG0000089	CP4_g25793_DN3_SP8_c.t1	XP_006294210.1
OG0000089	CP11_g32707_DN3_SP8_c.t1	XP_006289933.1
OG0000089	CP13_g20168_DN3_SP8_c.t1	XP_006281513.1
OG0000089	CP6_g6768_DN3_SP8_c.t1	XP_006283733.1
OG0000089	CP9_g29223_DN3_SP8_c.t1	XP_006302256.1
OG0000095	CP16_g55159_DN2_SP0_c.t1	XP_006294389.1
OG0000095	CP16_g55090_DN3_SP0_c.t1, CP16_g55089_DN3_SP0_c.t1	XP_006294323.1
OG0000096	CP6_g7572_DN1_SP0_c.t1	XP_006289071.1, XP_006289116.1
OG0000100	CP2_g49326_DN3_SP0_c.t1	XP_006301998.2
OG0000100	CP2_g48891_DN3_SP0_c.t1	XP_023643545.1, XP_023635628.1, XP_023643962.1, XP_023643838.1
OG0000102	CP5_g1424_DN3_SP0_c.t1	XP_006288542.1
OG0000105	CP12_g31635_DN1_SP0_c.t1	XP_023639286.1
OG0000111	CP5_g1915_DN1_SP0_c.t1, CP5_g1912_DN2_SP0_c.t1, CP5_g1908_DN2_SP0_c.t1, CP5_g1919_DN2_SP0_c.t1, CP5_g1886_DN2_SP0_c.t1, CP5_g1935_DN3_SP0_c.t1, CP94_g6400_DN3_SP0_c.t1, CP5_g1897_DN2_SP0_c.t1, CP5_g1895_DN2_SP0_c.t1, CP5_g1905_DN3_SP0_c.t1	XP_006289226.1, XP_006289953.1, XP_006289914.1
OG0000114	CP1_g39948_DN1_SP0_c.t1, CP1_g40795_DN2_SP0_c.t1, CP9_g27816_DN2_SP0_c.t1, CP17_g5831_DN3_SP0_c.t1, CP3_g15173_DN3_SP0_c.t1, CP13_g20753_DN3_SP0_c.t1, CP22_g17669_DN1_SP0_c.t1, CP3_g14115_DN3_SP0_c.t1, CP74_g56236_DN3_SP0_c.t1, CP95_g12691_DN3_SP0_c.t1, CP3_g14116_DN1_SP0_c.t1, CP22_g17668_DN1_SP0_c.t1, CP8_g52209_DN3_SP0_c.t1, CP18_g12092_DN3_SP0_c.t1, CP12_g30982_DN3_SP0_c.t1, CP7_g44473_DN2_SP0_c.t1, CP8_g52212_DN3_SP0_c.t1, CP17_g6028_DN3_SP0_c.t1, CP20_g4238_DN3_SP0_c.t1, CP7_g44474_DN2_SP0_c.t1, CP9_g27817_DN2_SP0_c.t1	XP_006301152.1
OG0000115	CP18_g12126_DN1_SP0_c.t1	XP_006296361.2
OG0000115	CP25_g55878_DN2_SP0_c.t1	XP_023644425.1
OG0000117	CP7_g45432_DN3_SP0_c.t1	XP_006303770.1
OG0000117	CP7_g45431_DN3_SP0_c.t1	XP_006304583.1
OG0000117	CP7_g45420_DN3_SP0_c.t1	XP_006304377.2, XP_006306553.1
OG0000117	CP7_g45419_DN3_SP0_c.t1	XP_023632781.1
OG0000117	CP7_g45418_DN3_SP0_c.t1	XP_006304618.2, XP_023644792.1
OG0000120	CP24_g46957_DN2_SP0_c.t1, CP13_g20756_DN1_SP0_c.t1, CP2_g50772_DN3_SP0_c.t1, CP7_g44205_DN2_SP0_c.t1, CP6_g8637_DN2_SP0_c.t1, CP3_g15844_DN1_SP0_c.t1, CP22_g17665_DN2_SP0_c.t1, CP6_g8636_DN1_SP0_c.t1	XP_023640343.1, XP_023640331.1, XP_023644467.1
OG0000120	CP6_g8634_DN3_SP0_c.t1, CP3_g14120_DN3_SP0_c.t1, CP18_g12087_DN3_SP0_c.t1, CP95_g12689_DN3_SP0_c.t1, CP9_g27971_DN3_SP0_c.t1, CP13_g20555_DN3_SP0_c.t1, CP20_g4294_DN3_SP0_c.t1	XP_023644237.1, XP_023640332.1, XP_023639622.1
OG0000121	CP8_g52256_DN3_SP0_c.t1	XP_006294233.2
OG0000121	CP12_g31136_DN1_SP0_c.t1, CP17_g5913_DN2_SP0_c.t1, CP17_g5918_DN2_SP0_c.t1	XP_023638959.1
OG0000122	CP8_g53628_DN3_SP0_c.t1	XP_006281892.1
OG0000122	CP8_g53621_DN3_SP0_c.t1, CP8_g53620_DN3_SP0_c.t1, CP8_g53627_DN3_SP0_c.t1	XP_023633416.1
OG0000124	CP6_g8263_DN1_SP0_c.t1	XP_023644078.1
OG0000124	CP14_g23405_DN1_SP0_c.t1	XP_023638979.1
OG0000126	CP4_g26270_DN2_SP0_c.t1	XP_023640354.1
OG0000127	CP8_g54114_DN3_SP0_c.t1	XP_006289049.1
OG0000127	CP11_g33621_DN2_SP0_c.t1, CP10_g42910_DN3_SP0_c.t1	XP_006298831.2
OG0000127	CP8_g54018_DN3_SP0_c.t1	XP_006281264.1
OG0000127	CP3_g14833_DN3_SP0_c.t1	XP_006292010.1
OG0000128	CP3_g13458_DN3_SP0_c.t1	XP_006291045.1
OG0000129	CP10_g42426_DN3_SP0_c.t1, CP14_g22722_DN3_SP0_c.t1	XP_023644190.1
OG0000129	CP9_g27597_DN3_SP0_c.t1, CP10_g43808_DN3_SP0_c.t1	XP_023644191.1
OG0000129	CP2_g48114_DN3_SP0_c.t1	XP_023645120.1, XP_023635333.1, XP_023640860.1, XP_023640089.1
OG0000130	CP22_g17175_DN1_SP0_c.t1, CP8_g54204_DN2_SP0_c.t1	XP_006285982.2
OG0000134	CP12_g31654_DN3_SP0_c.t1	XP_023643595.1, XP_023643303.1, XP_023643420.1
OG0000141	CP1_g37531_DN2_SP0_c.t1	XP_023644396.1
OG0000141	CP1_g37530_DN3_SP0_c.t1	XP_006306386.2
OG0000143	CP3_g15651_DN3_SP0_c.t1	XP_023644225.1
OG0000148	CP1_g38394_DN3_SP0_c.t1	XP_023632926.1, XP_006279114.2, XP_006305969.2, XP_006303718.2, XP_006297855.1, XP_023634320.1, XP_006307735.2, XP_023632976.1, XP_023632977.1
OG0000148	CP8_g53130_DN2_SP0_c.t1	XP_023644303.1
OG0000148	CP1_g38017_DN2_SP0_c.t1	XP_023633110.1, XP_023644526.1, XP_006304868.2
OG0000154	CP1_g38036_DN1_SP0_c.t1, CP1_g38035_DN2_SP0_c.t1	XP_023644539.1
OG0000154	CP6_g7266_DN3_SP0_c.t1	XP_023633661.1
OG0000154	CP1_g38028_DN2_SP0_c.t1	XP_006306758.1
OG0000157	CP3_g13734_DN3_SP0_c.t1	XP_023634266.1, XP_006304655.2
OG0000158	CP4_g24795_DN1_SP0_c.t1	XP_006289701.2, XP_006289843.2
OG0000160	CP10_g43624_DN3_SP8_c.t1	XP_006296920.1
OG0000160	CP5_g984_DN3_SP8_c.t1	XP_006282542.1
OG0000160	CP8_g53733_DN3_SP8_c.t1	XP_006282289.1
OG0000160	CP17_g5850_DN3_SP8_c.t1	XP_006279406.1
OG0000160	CP9_g29643_DN3_SP8_c.t1	XP_023643729.1
OG0000160	CP16_g55126_DN3_SP8_c.t1	XP_006293643.2
OG0000161	CP2_g49800_DN1_SP0_c.t1	XP_023634397.1, XP_023636868.1, XP_023636056.1, XP_023635040.1, XP_023632737.1, XP_023642374.1, XP_023645930.1, XP_023639647.1
OG0000162	CP4_g25433_DN2_SP0_c.t1	XP_006294455.1
OG0000162	CP4_g25434_DN2_SP0_c.t1	XP_006296229.1
OG0000166	CP16_g55347_DN1_SP0_c.t1	XP_023640242.1
OG0000170	CP4_g24175_DN3_SP0_c.t1	XP_023640606.1, XP_023640163.1
OG0000171	CP8_g53294_DN3_SP8_c.t1	XP_006281266.1
OG0000171	CP19_g17855_DN3_SP6_c.t1	XP_006284706.1
OG0000171	CP10_g43893_DN3_SP8_c.t1	XP_006298751.1
OG0000171	CP8_g53599_DN3_SP8_c.t1	XP_006281239.2
OG0000171	CP10_g42832_DN3_SP8_c.t1	XP_023641832.1, XP_006298742.1
OG0000171	CP5_g1205_DN3_SP7_c.t1	XP_006284700.1
OG0000173	CP5_g175_DN2_SP0_c.t1	XP_006284898.2, XP_023644326.1
OG0000175	CP11_g32500_DN3_SP8_c.t1	XP_023635842.1
OG0000177	CP7_g45651_DN3_SP1_c.t1	XP_006306845.1
OG0000178	CP11_g31843_DN3_SP0_c.t1	XP_006289092.1, XP_006289348.1, XP_023635846.1, XP_006287233.1
OG0000179	CP2_g49418_DN3_SP0_c.t1	XP_023644030.1, XP_023643476.1, XP_006300712.1
OG0000179	CP2_g49352_DN3_SP0_c.t1	XP_006300788.1
OG0000179	CP2_g49350_DN3_SP0_c.t1, CP8_g52789_DN3_SP0_c.t1	XP_006300836.2
OG0000179	CP2_g49243_DN3_SP0_c.t1	XP_023643268.1
OG0000179	CP2_g49361_DN3_SP0_c.t1, CP2_g49359_DN3_SP0_c.t1, CP2_g49380_DN3_SP0_c.t1	XP_006300705.1
OG0000183	CP5_g1726_DN3_SP8_c.t1	XP_006302967.1, XP_006284698.1
OG0000183	CP4_g24609_DN3_SP8_c.t1	XP_023641020.1
OG0000183	CP4_g26440_DN3_SP8_c.t1	XP_006294957.1
OG0000187	CP7_g44449_DN3_SP0_c.t1	XP_023640855.1, XP_006295478.1, XP_023640375.1, XP_006296294.1, XP_023640377.1, XP_023640926.1, XP_023644474.1, XP_006295737.1
OG0000189	CP10_g43894_DN3_SP5_c.t1	XP_006282726.1
OG0000189	CP9_g29229_DN3_SP8_c.t1	XP_006302850.1
OG0000189	CP7_g45756_DN3_SP8_c.t1	XP_006305647.1
OG0000192	CP1_g37644_DN3_SP0_c.t1	XP_006306407.1
OG0000193	CP3_g15012_DN3_SP0_c.t1, CP3_g15010_DN3_SP0_c.t1, CP3_g15011_DN3_SP0_c.t1	XP_006304962.1
OG0000197	CP6_g6856_DN2_SP0_c.t1	XP_023634326.1
OG0000197	CP1_g38811_DN2_SP0_c.t1, CP1_g38769_DN2_SP0_c.t1, CP1_g38820_DN1_SP0_c.t1	XP_023633844.1
OG0000198	CP1_g37803_DN3_SP1_c.t1	XP_023632818.1
OG0000198	CP1_g37802_DN3_SP1_c.t1	XP_006306087.1
OG0000198	CP19_g18287_DN3_SP0_c.t1	XP_006291997.1, XP_023638678.1, XP_006291999.1, XP_023638990.1
OG0000199	CP5_g930_DN3_SP0_c.t1	XP_006293511.1, XP_006280936.1, XP_006294905.1
OG0000203	CP3_g13515_DN3_SP0_c.t1	XP_006292664.2
OG0000204	CP17_g5293_DN1_SP0_c.t1, CP9_g27449_DN2_SP0_c.t1, CP1_g39857_DN3_SP0_c.t1, CP13_g20698_DN2_SP0_c.t1, CP15_g34683_DN3_SP0_c.t1, CP5_g2176_DN2_SP0_c.t1, CP12_g31704_DN3_SP0_c.t1, CP7_g44319_DN2_SP0_c.t1, CP5_g3339_DN2_SP0_c.t1, CP17_g5294_DN2_SP0_c.t1, CP2_g49701_DN2_SP0_c.t1, CP9_g27465_DN2_SP0_c.t1	XP_023641349.1
OG0000205	CP18_g11804_DN1_SP0_c.t1, CP1_g40979_DN1_SP0_c.t1, CP104_g20849_DN3_SP0_c.t1	XP_023639324.1
OG0000205	CP1_g41140_DN2_SP0_c.t1	XP_023640324.1
OG0000210	CP8_g54067_DN2_SP0_c.t1	XP_006302230.1
OG0000214	CP18_g11616_DN1_SP0_c.t1	XP_023640469.1
OG0000214	CP29_g22119_DN2_SP0_c.t1	XP_023640397.1, XP_023634705.1, XP_023641965.1, XP_023638865.1, XP_023639573.1, XP_023641361.1, XP_023644322.1, XP_023634331.1, XP_023638976.1
OG0000216	CP16_g55066_DN2_SP0_c.t1	XP_023636119.1, XP_023635737.1, XP_023637283.1, XP_023635820.1, XP_006302421.1, XP_006292358.1
OG0000218	CP9_g28240_DN3_SP0_c.t1, CP3_g15993_DN3_SP0_c.t1, CP3_g15786_DN3_SP0_c.t1, CP2_g50064_DN3_SP0_c.t1, CP3_g16109_DN3_SP0_c.t1, CP14_g22737_DN3_SP0_c.t1, CP13_g20622_DN3_SP0_c.t1, CP14_g23591_DN3_SP0_c.t1, CP14_g22728_DN3_SP0_c.t1, CP21_g10505_DN2_SP0_c.t1, CP25_g55830_DN3_SP0_c.t1, CP44_g20957_DN3_SP0_c.t1, CP14_g23169_DN1_SP0_c.t1, CP31_g46658_DN2_SP0_c.t1, CP4_g26901_DN3_SP0_c.t1, CP31_g46599_DN3_SP0_c.t1, CP3_g15720_DN3_SP0_c.t1, CP1_g40732_DN2_SP0_c.t1, CP28_g33960_DN2_SP0_c.t1, CP20_g4127_DN3_SP0_c.t1, CP1_g40743_DN2_SP0_c.t1, CP14_g23090_DN3_SP0_c.t1, CP28_g33977_DN3_SP0_c.t1, CP15_g35512_DN3_SP0_c.t1, CP6_g9453_DN3_SP0_c.t1	XP_023643610.1, XP_023642575.1, XP_023632899.1, XP_023637419.1
OG0000221	CP14_g22981_DN1_SP0_c.t1	XP_023638933.1
OG0000223	CP15_g35154_DN3_SP0_c.t1	XP_023640610.1
OG0000225	CP7_g44570_DN3_SP0_c.t1	XP_023633659.1
OG0000226	CP19_g17936_DN2_SP0_c.t1	XP_006285264.2
OG0000229	CP12_g31368_DN3_SP0_c.t1, CP12_g31395_DN3_SP0_c.t1	XP_006289451.2, XP_023644307.1, XP_006282853.2, XP_006286342.2
OG0000229	CP4_g26411_DN2_SP0_c.t1, CP1_g39490_DN3_SP0_c.t1	XP_006279442.1, XP_006304782.2
OG0000232	CP3_g15926_DN2_SP0_c.t1, CP15_g35373_DN2_SP0_c.t1, CP3_g15137_DN1_SP0_c.t1, CP8_g52846_DN1_SP0_c.t1, CP3_g16664_DN3_SP0_c.t1, CP18_g12220_DN2_SP0_c.t1, CP2_g50125_DN1_SP0_c.t1	XP_023636098.1, XP_023638057.1
OG0000232	CP27_g41713_DN1_SP0_c.t1, CP2_g49667_DN3_SP0_c.t1, CP3_g16394_DN2_SP0_c.t1	XP_023641916.1, XP_023634272.1, XP_023634273.1
OG0000233	CP11_g33138_DN1_SP1_c.t1, CP11_g33137_DN2_SP1_c.t1	XP_006290020.1
OG0000233	CP11_g33136_DN2_SP0_c.t1	XP_006286767.1
OG0000233	CP11_g33143_DN2_SP0_c.t1	XP_006289542.2, XP_006289289.1
OG0000236	CP9_g28572_DN3_SP0_c.t1	XP_023644184.1
OG0000236	CP8_g52883_DN3_SP0_c.t1	XP_023642610.1
OG0000237	CP10_g43004_DN3_SP0_c.t1	XP_023641253.1, XP_006299438.1, XP_006299488.1, XP_006289972.1, XP_006289053.1, XP_006290121.1, XP_006286744.1, XP_006299227.2
OG0000237	CP12_g30628_DN3_SP0_c.t1	XP_006296746.1
OG0000237	CP12_g30499_DN2_SP0_c.t1	XP_006297875.1
OG0000238	CP9_g28708_DN2_SP0_c.t1	XP_023644384.1
OG0000239	CP12_g30938_DN2_SP0_c.t1, CP1_g39710_DN1_SP0_c.t1, CP18_g12252_DN1_SP0_c.t1	XP_023644469.1, XP_023637320.1, XP_023633734.1, XP_023633507.1
OG0000241	CP19_g18502_DN3_SP0_c.t1	XP_006284545.1
OG0000241	CP19_g18503_DN3_SP1_c.t1	XP_006279099.1, XP_023635292.1, XP_006279100.1, XP_006285919.1, XP_006279101.1
OG0000241	CP11_g31874_DN3_SP3_c.t1	XP_006289916.1, XP_006289616.1, XP_006289215.1
OG0000242	CP11_g31795_DN3_SP0_c.t1	XP_006298183.1
OG0000242	CP21_g11131_DN2_SP0_c.t1, CP17_g5035_DN1_SP0_c.t1	XP_006279117.1, XP_006286819.1, XP_006286567.1
OG0000243	CP7_g44959_DN2_SP0_c.t1	XP_006303366.2
OG0000243	CP7_g44961_DN2_SP0_c.t1, CP7_g44969_DN2_SP0_c.t1, CP7_g44967_DN2_SP0_c.t1	XP_023632637.1
OG0000244	CP11_g32001_DN3_SP0_c.t1	XP_006290182.1
OG0000245	CP14_g23751_DN3_SP0_c.t1	XP_023632652.1
OG0000248	CP13_g19328_DN2_SP0_c.t1	XP_006285772.2
OG0000250	CP11_g33683_DN3_SP0_c.t1	XP_006287939.1
OG0000250	CP3_g13893_DN3_SP0_c.t1	XP_006289516.1
OG0000250	CP6_g7930_DN3_SP0_c.t1	XP_006299908.2, XP_006288303.1, XP_006288300.1
OG0000251	CP8_g53723_DN3_SP1_c.t1	XP_006282010.1
OG0000252	CP9_g29395_DN3_SP1_c.t1	XP_006302386.1
OG0000254	CP6_g7323_DN3_SP0_c.t1	XP_006284821.1
OG0000256	CP6_g7458_DN2_SP0_c.t1	XP_023636091.1, XP_006301530.1
OG0000256	CP12_g30613_DN1_SP0_c.t1	XP_006300933.1, XP_006299501.1
