Orthogroup	Conringia_planisiliqua	Cardamine_hirsuta
OG0000026	CP12_g31706_DN3_SP0_c.t1, CP27_g41746_DN2_SP0_c.t1, CP15_g35764_DN3_SP0_c.t1, CP14_g23308_DN2_SP0_c.t1, CP13_g20783_DN2_SP0_c.t1, CP6_g7635_DN2_SP0_c.t1, CP21_g11026_DN3_SP0_c.t1, CP18_g12028_DN2_SP0_c.t1, CP2_g50380_DN1_SP0_c.t1, CP2_g49544_DN1_SP0_c.t1, CP13_g20787_DN2_SP0_c.t1, CP6_g9659_DN1_SP0_c.t1, CP1_g41239_DN2_SP0_c.t1, CP47_g21234_DN3_SP0_c.t1, CP13_g20815_DN3_SP0_c.t1, CP2_g49593_DN1_SP0_c.t1, CP12_g31225_DN3_SP0_c.t1, CP47_g21233_DN3_SP0_c.t1, CP6_g8604_DN1_SP0_c.t1, CP98_g41597_DN1_SP0_c.t1, CP5_g3430_DN1_SP0_c.t1, CP53_g22292_DN1_SP0_c.t1, CP3_g16558_DN3_SP0_c.t1, CP5_g2206_DN2_SP0_c.t1, CP13_g20693_DN2_SP0_c.t1, CP5_g2172_DN3_SP0_c.t1, CP30_g10047_DN2_SP0_c.t1, CP12_g31518_DN3_SP0_c.t1, CP8_g52462_DN1_SP0_c.t1, CP6_g8834_DN3_SP0_c.t1, CP2_g50599_DN2_SP0_c.t1, CP5_g2195_DN2_SP0_c.t1, CP13_g20401_DN2_SP0_c.t1, CP6_g9301_DN3_SP0_c.t1, CP13_g20788_DN2_SP0_c.t1, CP31_g46751_DN2_SP0_c.t1, CP25_g55852_DN1_SP0_c.t1, CP14_g23533_DN3_SP0_c.t1, CP14_g23215_DN1_SP0_c.t1, CP31_g46690_DN3_SP0_c.t1, CP17_g5112_DN2_SP0_c.t1, CP6_g8299_DN3_SP0_c.t1, CP13_g20402_DN3_SP0_c.t1, CP1_g38785_DN3_SP0_c.t1, CP12_g31428_DN3_SP0_c.t1, CP15_g34701_DN3_SP0_c.t1, CP16_g55448_DN1_SP0_c.t1, CP12_g31561_DN3_SP0_c.t1, CP22_g17082_DN2_SP0_c.t1, CP2_g49627_DN3_SP0_c.t1, CP5_g2181_DN1_SP0_c.t1, CP13_g20683_DN3_SP0_c.t1, CP16_g55627_DN3_SP0_c.t1, CP25_g55794_DN2_SP0_c.t1, CP5_g3238_DN1_SP0_c.t1, CP17_g5496_DN3_SP0_c.t1, CP2_g50449_DN3_SP0_c.t1, CP17_g5596_DN2_SP0_c.t1, CP14_g23436_DN1_SP0_c.t1, CP21_g11163_DN2_SP0_c.t1, CP18_g12000_DN1_SP0_c.t1, CP2_g50743_DN2_SP0_c.t1, CP17_g5983_DN2_SP0_c.t1, CP6_g8924_DN2_SP0_c.t1, CP23_g21572_DN1_SP0_c.t1, CP17_g5297_DN2_SP0_c.t1, CP6_g7636_DN2_SP0_c.t1, CP14_g23306_DN1_SP0_c.t1, CP14_g23437_DN2_SP0_c.t1, CP12_g31707_DN3_SP0_c.t1, CP12_g31562_DN3_SP0_c.t1, CP17_g5595_DN2_SP0_c.t1, CP17_g5495_DN1_SP0_c.t1, CP9_g28010_DN1_SP0_c.t1, CP31_g46691_DN1_SP0_c.t1, CP1_g39140_DN2_SP0_c.t1, CP3_g16124_DN3_SP0_c.t1, CP1_g38904_DN1_SP0_c.t1, CP23_g21573_DN1_SP0_c.t1, CP12_g31427_DN1_SP0_c.t1, CP24_g46950_DN2_SP0_c.t1, CP21_g11164_DN3_SP0_c.t1, CP53_g22291_DN3_SP0_c.t1, CP17_g5113_DN3_SP0_c.t1, CP13_g20400_DN2_SP0_c.t1, CP9_g27941_DN3_SP0_c.t1, CP12_g31563_DN2_SP0_c.t1, CP14_g23216_DN3_SP0_c.t1, CP4_g26168_DN3_SP0_c.t1, CP5_g3241_DN1_SP0_c.t1, CP61_g51970_DN1_SP0_c.t1, CP102_g10411_DN1_SP0_c.t1, CP6_g8923_DN1_SP0_c.t1, CP44_g20924_DN3_SP0_c.t1, CP5_g3239_DN2_SP0_c.t1, CP14_g23884_DN3_SP0_c.t1, CP1_g41098_DN3_SP0_c.t1, CP16_g55626_DN3_SP0_c.t1, CP6_g9300_DN3_SP0_c.t1, CP14_g22692_DN3_SP0_c.t1, CP1_g39991_DN2_SP0_c.t1, CP4_g26709_DN3_SP0_c.t1, CP9_g27630_DN3_SP0_c.t1, CP6_g8603_DN3_SP0_c.t1, CP6_g8921_DN2_SP0_c.t1, CP7_g44321_DN2_SP0_c.t1, CP53_g22321_DN1_SP0_c.t1, CP8_g53077_DN2_SP0_c.t1, CP24_g46949_DN1_SP0_c.t1, CP1_g41096_DN1_SP0_c.t1, CP34_g51562_DN2_SP0_c.t1, CP25_g55865_DN2_SP0_c.t1, CP15_g35112_DN3_SP0_c.t1, CP17_g5412_DN3_SP0_c.t1, CP2_g50379_DN3_SP0_c.t1, CP1_g40174_DN3_SP0_c.t1, CP44_g20923_DN3_SP0_c.t1, CP6_g8922_DN3_SP0_c.t1, CP25_g55864_DN3_SP0_c.t1, CP20_g3852_DN2_SP0_c.t1, CP23_g21578_DN3_SP0_c.t1, CP9_g27450_DN3_SP0_c.t1, CP18_g12027_DN1_SP0_c.t1, CP17_g5411_DN1_SP0_c.t1, CP13_g20495_DN3_SP0_c.t1, CP2_g50758_DN3_SP0_c.t1, CP3_g16523_DN3_SP0_c.t1, CP6_g9660_DN3_SP0_c.t1, CP98_g41598_DN3_SP0_c.t1, CP53_g22290_DN3_SP0_c.t1, CP102_g10410_DN2_SP0_c.t1, CP34_g51560_DN3_SP0_c.t1, CP103_g21016_DN3_SP0_c.t1, CP65_g4494_DN3_SP0_c.t1, CP1_g41248_DN3_SP0_c.t1, CP2_g50744_DN3_SP0_c.t1, CP14_g23307_DN2_SP0_c.t1, CP18_g12001_DN3_SP0_c.t1, CP9_g27467_DN3_SP0_c.t1, CP63_g12744_DN3_SP0_c.t1, CP14_g23665_DN3_SP0_c.t1, CP14_g23438_DN3_SP0_c.t1, CP148_g19022_DN3_SP0_c.t1, CP53_g22323_DN3_SP0_c.t1, CP12_g31519_DN3_SP0_c.t1, CP1_g38906_DN2_SP0_c.t1, CP2_g50457_DN1_SP0_c.t1, CP4_g26253_DN3_SP0_c.t1, CP17_g5296_DN3_SP0_c.t1, CP17_g5855_DN3_SP0_c.t1, CP6_g7634_DN2_SP0_c.t1, CP1_g40151_DN3_SP0_c.t1, CP28_g33946_DN3_SP0_c.t1, CP17_g5982_DN2_SP0_c.t1, CP4_g26449_DN3_SP0_c.t1, CP3_g15302_DN3_SP0_c.t1, CP31_g46692_DN3_SP0_c.t1, CP2_g49628_DN3_SP0_c.t1, CP8_g52461_DN3_SP0_c.t1, CP14_g23460_DN3_SP0_c.t1, CP7_g44312_DN3_SP0_c.t1, CP1_g38420_DN3_SP0_c.t1, CP6_g7776_DN3_SP0_c.t1, CP56_g20968_DN3_SP0_c.t1, CP12_g31174_DN3_SP0_c.t1, CP12_g31078_DN3_SP0_c.t1, CP15_g36069_DN3_SP0_c.t1, CP9_g28011_DN3_SP0_c.t1, CP31_g46752_DN3_SP0_c.t1, CP22_g17081_DN3_SP0_c.t1, CP17_g5494_DN3_SP0_c.t1, CP17_g5594_DN3_SP0_c.t1, CP1_g38838_DN2_SP0_c.t1, CP25_g55851_DN3_SP0_c.t1, CP7_g44313_DN1_SP0_c.t1, CP3_g16125_DN3_SP0_c.t1, CP5_g2173_DN3_SP0_c.t1, CP3_g16522_DN1_SP0_c.t1, CP29_g22006_DN3_SP0_c.t1, CP2_g50448_DN3_SP0_c.t1, CP30_g10046_DN3_SP0_c.t1, CP20_g3927_DN3_SP0_c.t1, CP6_g9299_DN2_SP0_c.t1, CP5_g2196_DN3_SP0_c.t1, CP6_g8835_DN3_SP0_c.t1, CP6_g9051_DN3_SP0_c.t1, CP17_g5114_DN3_SP0_c.t1, CP1_g39992_DN3_SP0_c.t1, CP2_g49594_DN3_SP0_c.t1, CP3_g16557_DN3_SP0_c.t1, CP5_g2207_DN3_SP0_c.t1, CP1_g38784_DN3_SP0_c.t1, CP2_g50600_DN3_SP0_c.t1, CP5_g2182_DN3_SP0_c.t1, CP12_g31226_DN3_SP0_c.t1, CP12_g31426_DN3_SP0_c.t1, CP13_g20684_DN3_SP0_c.t1, CP25_g55795_DN3_SP0_c.t1, CP17_g6260_DN3_SP0_c.t1, CP28_g34000_DN3_SP0_c.t1, CP1_g40282_DN3_SP0_c.t1, CP13_g20399_DN2_SP0_c.t1, CP12_g31564_DN1_SP0_c.t1, CP34_g51561_DN2_SP0_c.t1, CP9_g27944_DN3_SP0_c.t1, CP9_g27991_DN3_SP0_c.t1, CP13_g20694_DN3_SP0_c.t1, CP1_g41097_DN3_SP0_c.t1, CP53_g22289_DN2_SP0_c.t1, CP53_g22322_DN1_SP0_c.t1, CP65_g4495_DN2_SP0_c.t1, CP2_g50506_DN3_SP0_c.t1, CP47_g21235_DN3_SP0_c.t1, CP1_g41348_DN1_SP0_c.t1, CP3_g15052_DN3_SP0_c.t1, CP14_g22693_DN3_SP0_c.t1, CP6_g8602_DN3_SP0_c.t1, CP18_g12002_DN1_SP0_c.t1, CP12_g31565_DN1_SP0_c.t1, CP4_g26167_DN1_SP0_c.t1, CP1_g38907_DN1_SP0_c.t1, CP14_g23450_DN2_SP0_c.t1, CP9_g27992_DN1_SP0_c.t1, CP15_g35167_DN2_SP0_c.t1, CP8_g52460_DN2_SP0_c.t1, CP9_g27945_DN1_SP0_c.t1, CP17_g5295_DN1_SP0_c.t1, CP18_g12003_DN1_SP0_c.t1, CP14_g23883_DN1_SP0_c.t1, CP15_g34866_DN2_SP0_c.t1, CP56_g20967_DN2_SP0_c.t1, CP12_g31227_DN2_SP0_c.t1, CP6_g8601_DN2_SP0_c.t1, CP1_g41347_DN1_SP0_c.t1, CP6_g9661_DN1_SP0_c.t1, CP13_g20695_DN2_SP0_c.t1, CP25_g55850_DN1_SP0_c.t1, CP16_g55449_DN3_SP0_c.t1, CP219_g10340_DN3_SP0_c.t1, CP1_g40152_DN3_SP0_c.t1, CP1_g38419_DN3_SP0_c.t1, CP2_g49629_DN3_SP0_c.t1, CP1_g40281_DN2_SP0_c.t1, CP12_g31175_DN2_SP0_c.t1, CP17_g5981_DN2_SP0_c.t1, CP12_g31566_DN2_SP0_c.t1, CP15_g35230_DN3_SP0_c.t1, CP21_g11165_DN2_SP0_c.t1, CP4_g26254_DN2_SP0_c.t1, CP25_g55796_DN1_SP0_c.t1, CP13_g20398_DN1_SP0_c.t1, CP17_g5856_DN1_SP0_c.t1, CP6_g7632_DN3_SP0_c.t1, CP16_g55625_DN3_SP0_c.t1, CP18_g12549_DN3_SP0_c.t1, CP5_g3431_DN3_SP0_c.t1, CP1_g41249_DN1_SP0_c.t1, CP102_g10409_DN2_SP0_c.t1, CP14_g23630_DN1_SP0_c.t1, CP13_g20685_DN1_SP0_c.t1, CP148_g19023_DN1_SP0_c.t1, CP103_g21015_DN2_SP0_c.t1, CP98_g41599_DN2_SP0_c.t1, CP3_g16126_DN1_SP0_c.t1, CP14_g23220_DN3_SP0_c.t1	CARHR104160
OG0000027	CP16_g55470_DN3_SP0_c.t1	CARHR230410
OG0000028	CP10_g43844_DN3_SP0_c.t1	CARHR028780, CARHR203520
OG0000029	CP4_g26313_DN1_SP0_c.t1, CP6_g8507_DN1_SP0_c.t1, CP15_g35521_DN1_SP0_c.t1, CP3_g15880_DN1_SP0_c.t1	CARHR056480, CARHR153130
OG0000029	CP15_g35523_DN1_SP0_c.t1, CP24_g47108_DN1_SP0_c.t1	CARHR116610, CARHR153140
OG0000030	CP11_g31940_DN3_SP0_c.t1	CARHR025790, CARHR162370, CARHR260760, CARHR260790
OG0000030	CP10_g43630_DN1_SP0_c.t1, CP2_g49394_DN2_SP0_c.t1	CARHR158520, CARHR158510, CARHR158530
OG0000030	CP13_g19590_DN2_SP0_c.t1	CARHR223790
OG0000032	CP3_g16163_DN2_SP0_c.t1, CP56_g20987_DN1_SP0_c.t1, CP25_g55997_DN1_SP0_c.t1, CP9_g27772_DN1_SP0_c.t1, CP27_g41695_DN1_SP0_c.t1, CP44_g20906_DN3_SP0_c.t1, CP8_g52855_DN2_SP0_c.t1, CP64_g21090_DN2_SP0_c.t1, CP14_g23530_DN1_SP0_c.t1	CARHR158150, CARHR057520, CARHR108030, CARHR217640
OG0000032	CP64_g21089_DN1_SP0_c.t1, CP5_g3357_DN2_SP0_c.t1, CP18_g12571_DN2_SP0_c.t1, CP14_g23529_DN3_SP0_c.t1	CARHR284240
OG0000032	CP18_g12572_DN2_SP0_c.t1	CARHR159350
OG0000032	CP15_g35839_DN1_SP0_c.t1	CARHR287680, CARHR287700
OG0000032	CP5_g2289_DN2_SP0_c.t1	CARHR266450
OG0000035	CP14_g23646_DN2_SP0_c.t1, CP14_g23679_DN2_SP0_c.t1, CP117_g56225_DN2_SP0_c.t1, CP103_g21003_DN2_SP0_c.t1, CP63_g12714_DN2_SP0_c.t1	CARHR034500, CARHR120350, CARHR104490
OG0000035	CP1_g40960_DN1_SP0_c.t1	CARHR216710
OG0000038	CP6_g7770_DN1_SP0_c.t1, CP28_g33935_DN3_SP0_c.t1	CARHR187570
OG0000038	CP15_g35533_DN1_SP0_c.t1	CARHR259820
OG0000039	CP24_g47137_DN2_SP0_c.t1	CARHR184170, CARHR117850
OG0000042	CP26_g51211_DN3_SP0_c.t1	CARHR116060
OG0000043	CP15_g35837_DN2_SP0_c.t1	CARHR220690
OG0000043	CP1_g41084_DN2_SP0_c.t1	CARHR118730
OG0000043	CP5_g1995_DN2_SP0_c.t1, CP14_g22990_DN1_SP0_c.t1	CARHR216370
OG0000044	CP13_g19860_DN2_SP0_c.t1	CARHR116340
OG0000044	CP13_g20691_DN1_SP0_c.t1	CARHR223510
OG0000044	CP16_g55519_DN1_SP0_c.t1	CARHR102310
OG0000046	CP15_g34716_DN3_SP0_c.t1	CARHR159300, CARHR215510, CARHR037550, CARHR118760, CARHR104690, CARHR258020, CARHR150330
OG0000046	CP8_g52809_DN3_SP0_c.t1	CARHR273180, CARHR286710, CARHR217190
OG0000048	CP3_g14428_DN3_SP0_c.t1	CARHR261660
OG0000048	CP12_g30253_DN2_SP0_c.t1, CP12_g30252_DN1_SP0_c.t1	CARHR042940
OG0000048	CP4_g25641_DN3_SP0_c.t1, CP4_g25622_DN2_SP0_c.t1, CP13_g20135_DN3_SP0_c.t1	CARHR125110
OG0000048	CP9_g29505_DN2_SP0_c.t1	CARHR126110
OG0000049	CP3_g16790_DN1_SP0_c.t1, CP1_g41262_DN3_SP0_c.t1	CARHR220930
OG0000050	CP5_g3336_DN1_SP0_c.t1	CARHR154060
OG0000050	CP5_g3335_DN2_SP0_c.t1, CP3_g15241_DN1_SP0_c.t1, CP21_g11182_DN2_SP0_c.t1	CARHR071180, CARHR153550
OG0000051	CP2_g49248_DN2_SP0_c.t1	CARHR109310
OG0000051	CP9_g28198_DN3_SP0_c.t1	CARHR137550
OG0000051	CP4_g24479_DN3_SP0_c.t1	CARHR137540
OG0000052	CP13_g19766_DN3_SP0_c.t1	CARHR148030, CARHR148020, CARHR148060, CARHR065210, CARHR065340, CARHR278910, CARHR148040, CARHR150860
OG0000052	CP3_g14092_DN3_SP0_c.t1	CARHR162490, CARHR162550
OG0000055	CP12_g30730_DN2_SP0_c.t1	CARHR100810, CARHR107470, CARHR177430, CARHR192030
OG0000055	CP10_g42649_DN3_SP0_c.t1	CARHR098050, CARHR100840, CARHR222490, CARHR100820
OG0000055	CP10_g42516_DN3_SP0_c.t1	CARHR149840
OG0000055	CP10_g43729_DN2_SP0_c.t1	CARHR108730, CARHR108330, CARHR108320, CARHR107820, CARHR108260, CARHR135370
OG0000056	CP2_g49067_DN3_SP0_c.t1	CARHR050280, CARHR049980, CARHR050290, CARHR050160
OG0000056	CP2_g49031_DN3_SP0_c.t1	CARHR155600
OG0000059	CP12_g31611_DN2_SP0_c.t1	CARHR104020
OG0000059	CP1_g38971_DN3_SP0_c.t1, CP20_g3949_DN2_SP0_c.t1	CARHR286550
OG0000060	CP1_g37049_DN3_SP0_c.t1	CARHR007630
OG0000060	CP1_g37064_DN3_SP0_c.t1	CARHR121870
OG0000064	CP18_g12051_DN1_SP0_c.t1	CARHR050760, CARHR273290, CARHR054420, CARHR289730, CARHR289690
OG0000065	CP5_g1580_DN2_SP0_c.t1	CARHR257300, CARHR257310, CARHR263400, CARHR263410
OG0000066	CP4_g25642_DN3_SP0_c.t1	CARHR202910, CARHR279310
OG0000066	CP2_g49425_DN3_SP0_c.t1	CARHR279320, CARHR202900, CARHR009160
OG0000068	CP12_g31237_DN3_SP0_c.t1	CARHR210960
OG0000069	CP2_g48010_DN3_SP0_c.t1	CARHR264460
OG0000070	CP17_g5790_DN3_SP0_c.t1	CARHR010350, CARHR145510, CARHR145520, CARHR286680, CARHR145480, CARHR145500
OG0000070	CP7_g45746_DN3_SP0_c.t1	CARHR020650
OG0000073	CP8_g52621_DN2_SP0_c.t1	CARHR119500
OG0000075	CP8_g52237_DN3_SP0_c.t1	CARHR247180
OG0000076	CP5_g77_DN1_SP0_c.t1	CARHR247830
OG0000076	CP4_g25364_DN3_SP0_c.t1	CARHR127180
OG0000076	CP5_g2147_DN1_SP0_c.t1, CP4_g25752_DN2_SP0_c.t1	CARHR260300
OG0000077	CP13_g20036_DN3_SP0_c.t1, CP13_g20034_DN3_SP0_c.t1	CARHR176910, CARHR176920, CARHR177280, CARHR112190, CARHR254980, CARHR254940, CARHR177080
OG0000077	CP13_g19516_DN3_SP0_c.t1	CARHR145650, CARHR145640
OG0000078	CP10_g42378_DN2_SP0_c.t1	CARHR077930
OG0000078	CP10_g42381_DN3_SP0_c.t1	CARHR077940
OG0000081	CP1_g40914_DN2_SP0_c.t1	CARHR264280
OG0000082	CP5_g1772_DN1_SP0_c.t1, CP8_g52192_DN2_SP0_c.t1, CP16_g55573_DN1_SP0_c.t1, CP20_g3822_DN2_SP0_c.t1	CARHR184640
OG0000086	CP271_g11211_DN3_SP0_c.t1, CP45_g22371_DN3_SP0_c.t1, CP20_g3814_DN1_SP0_c.t1, CP45_g22369_DN3_SP0_c.t1, CP5_g1838_DN3_SP0_c.t1	CARHR214860
OG0000086	CP29_g21947_DN3_SP0_c.t1	CARHR214870
OG0000086	CP9_g28199_DN3_SP0_c.t1	CARHR058690, CARHR058660, CARHR058640, CARHR058680
OG0000089	CP2_g48308_DN3_SP8_c.t1	CARHR189700
OG0000089	CP3_g14713_DN3_SP4_c.t1	CARHR155480
OG0000089	CP4_g25793_DN3_SP8_c.t1	CARHR122890
OG0000089	CP11_g32707_DN3_SP8_c.t1	CARHR200860
OG0000089	CP13_g20168_DN3_SP8_c.t1	CARHR178800
OG0000089	CP6_g6768_DN3_SP8_c.t1	CARHR227450
OG0000089	CP4_g25265_DN3_SP6_c.t1	CARHR128920
OG0000089	CP9_g29223_DN3_SP8_c.t1	CARHR069200
OG0000090	CP6_g8583_DN3_SP0_c.t1	CARHR259920
OG0000091	CP8_g52786_DN3_SP0_c.t1	CARHR156220
OG0000095	CP16_g55090_DN3_SP0_c.t1, CP16_g55089_DN3_SP0_c.t1	CARHR116980, CARHR117870, CARHR117890, CARHR116700, CARHR116940
OG0000095	CP16_g55163_DN2_SP0_c.t1	CARHR117220
OG0000096	CP12_g30984_DN3_SP0_c.t1, CP12_g30986_DN3_SP0_c.t1, CP12_g30930_DN3_SP0_c.t1	CARHR084920
OG0000098	CP2_g48438_DN1_SP0_c.t1	CARHR253270
OG0000100	CP2_g48895_DN3_SP0_c.t1	CARHR050870
OG0000100	CP2_g48891_DN3_SP0_c.t1	CARHR047470, CARHR047430, CARHR047580, CARHR047440, CARHR261260, CARHR047450, CARHR047060
OG0000100	CP2_g48894_DN3_SP0_c.t1	CARHR047090, CARHR047300, CARHR047120
OG0000101	CP22_g17341_DN3_SP0_c.t1	CARHR154270, CARHR176810, CARHR287350, CARHR006250, CARHR183060, CARHR099970, CARHR036950
OG0000105	CP12_g31635_DN1_SP0_c.t1	CARHR077960, CARHR181190, CARHR228760, CARHR106060, CARHR104310
OG0000105	CP20_g4043_DN3_SP0_c.t1	CARHR175310, CARHR289490
OG0000105	CP20_g4448_DN2_SP0_c.t1	CARHR047550
OG0000107	CP7_g44362_DN3_SP0_c.t1, CP7_g44349_DN3_SP0_c.t1	CARHR119260, CARHR119250
OG0000111	CP6_g7513_DN2_SP0_c.t1, CP3_g14874_DN2_SP0_c.t1	CARHR155540, CARHR161910, CARHR161710, CARHR161740, CARHR161700, CARHR161720
OG0000111	CP5_g1915_DN1_SP0_c.t1, CP5_g1912_DN2_SP0_c.t1, CP5_g1908_DN2_SP0_c.t1, CP5_g1919_DN2_SP0_c.t1, CP5_g1886_DN2_SP0_c.t1, CP5_g1935_DN3_SP0_c.t1, CP94_g6400_DN3_SP0_c.t1, CP5_g1897_DN2_SP0_c.t1, CP5_g1895_DN2_SP0_c.t1, CP5_g1905_DN3_SP0_c.t1	CARHR148290
OG0000114	CP3_g15173_DN3_SP0_c.t1	CARHR283860
OG0000114	CP7_g44106_DN2_SP0_c.t1, CP3_g15174_DN1_SP0_c.t1	CARHR283870, CARHR035130
OG0000114	CP2_g49797_DN1_SP0_c.t1	CARHR286300, CARHR148220
OG0000115	CP25_g55879_DN1_SP0_c.t1, CP29_g22137_DN2_SP0_c.t1	CARHR155450
OG0000116	CP25_g55998_DN3_SP0_c.t1	CARHR217650
OG0000116	CP20_g3900_DN1_SP0_c.t1, CP2_g49406_DN2_SP0_c.t1	CARHR101930
OG0000117	CP7_g45428_DN3_SP0_c.t1	CARHR023940
OG0000117	CP7_g45431_DN3_SP0_c.t1	CARHR023950
OG0000117	CP7_g45419_DN3_SP0_c.t1	CARHR024100
OG0000121	CP12_g31136_DN1_SP0_c.t1	CARHR054680, CARHR054690, CARHR181920
OG0000121	CP17_g5913_DN2_SP0_c.t1, CP17_g5918_DN2_SP0_c.t1	CARHR054110, CARHR100990
OG0000122	CP8_g53628_DN3_SP0_c.t1	CARHR269740
OG0000122	CP8_g53619_DN3_SP0_c.t1	CARHR269760
OG0000122	CP8_g53627_DN3_SP0_c.t1	CARHR269930
OG0000124	CP92_g51792_DN1_SP0_c.t1	CARHR259840
OG0000125	CP4_g25846_DN3_SP0_c.t1	CARHR122140
OG0000126	CP4_g26270_DN2_SP0_c.t1	CARHR103200
OG0000126	CP4_g26271_DN2_SP0_c.t1	CARHR293480
OG0000127	CP8_g54114_DN3_SP0_c.t1	CARHR190650
OG0000127	CP3_g13990_DN2_SP0_c.t1	CARHR163570
OG0000127	CP8_g54018_DN3_SP0_c.t1	CARHR273520
OG0000127	CP3_g14833_DN3_SP0_c.t1	CARHR154340, CARHR154390
OG0000127	CP4_g25869_DN3_SP0_c.t1	CARHR121850
OG0000128	CP3_g13458_DN3_SP0_c.t1	CARHR169600
OG0000129	CP10_g42426_DN3_SP0_c.t1	CARHR038520, CARHR038560
OG0000129	CP2_g48114_DN3_SP0_c.t1	CARHR275720, CARHR275710, CARHR120250, CARHR120240, CARHR120610, CARHR275730
OG0000130	CP24_g47153_DN1_SP0_c.t1	CARHR158410, CARHR153220, CARHR117340, CARHR057000, CARHR036720
OG0000130	CP6_g8046_DN2_SP0_c.t1	CARHR287060, CARHR146840
OG0000130	CP13_g20268_DN3_SP0_c.t1, CP2_g50524_DN2_SP0_c.t1, CP22_g17175_DN1_SP0_c.t1, CP8_g54204_DN2_SP0_c.t1	CARHR038370, CARHR217450
OG0000130	CP1_g39867_DN1_SP0_c.t1	CARHR056860
