Orthogroup	Conringia_planisiliqua	Cochlearia_excelsa
OG0000015	CP12_g31767_DN3_SP0_c.t1	g35711, g1865, g12584, g7633, g12284, g26669, g5447, g48096, g4042, g4014, g39164, g21912, g30179, g14948, g12283, g35471, g16154, g26107, g17276, g2986, g25292, g34684, g35217, g7329, g39702
OG0000015	CP8_g52640_DN2_SP0_c.t1	g21108, g34944, g15605, g11217, g2750, g34949, g11475
OG0000015	CP9_g27629_DN1_SP0_c.t1	g36461, g634, g23355
OG0000015	CP3_g15512_DN1_SP0_c.t1	g39566, g3152, g14756, g32935
OG0000015	CP1_g39589_DN1_SP0_c.t1, CP6_g9040_DN3_SP0_c.t1, CP14_g23836_DN3_SP0_c.t1, CP16_g55483_DN2_SP0_c.t1, CP27_g41927_DN1_SP0_c.t1	g42908, g43716, g41967, g26998, g24843, g14643, g12672, g5446, g48095, g26670
OG0000015	CP9_g27744_DN1_SP0_c.t1	g31975, g2748, g23354, g15603
OG0000015	CP6_g9041_DN3_SP0_c.t1	g30476, g8572
OG0000015	CP9_g28182_DN2_SP0_c.t1	g24862
OG0000015	CP25_g55897_DN3_SP0_c.t1, CP39_g21117_DN1_SP0_c.t1, CP3_g15322_DN2_SP0_c.t1	g47632
OG0000015	CP18_g12595_DN3_SP0_c.t1	g3363
OG0000015	CP22_g17115_DN3_SP0_c.t1	g40591
OG0000015	CP16_g55608_DN2_SP0_c.t1	g43089
OG0000015	CP17_g6289_DN1_SP0_c.t1	g43577, g47913
OG0000015	CP26_g51311_DN3_SP0_c.t1	g43580
OG0000015	CP15_g34881_DN2_SP0_c.t1	g47633
OG0000015	CP7_g44360_DN2_SP0_c.t1	g11559, g47481
OG0000015	CP27_g41956_DN2_SP0_c.t1, CP27_g41954_DN2_SP0_c.t1, CP7_g44359_DN2_SP0_c.t1, CP22_g17112_DN1_SP0_c.t1	g12630, g40592, g47122
OG0000015	CP15_g34879_DN2_SP0_c.t1, CP7_g44357_DN2_SP0_c.t1, CP5_g3123_DN1_SP0_c.t1	g47121
OG0000015	CP14_g23594_DN3_SP0_c.t1	g34363
OG0000015	CP31_g46711_DN2_SP0_c.t1, CP7_g44381_DN2_SP0_c.t1	g41971, g39565, g4758, g26125, g35684, g3315, g8210, g24633, g8709, g3775, g53218, g42134, g3753, g42171, g26614
OG0000015	CP1_g39588_DN3_SP0_c.t1	g12285
OG0000015	CP9_g28055_DN1_SP0_c.t1	g43718
OG0000015	CP7_g44209_DN2_SP0_c.t1	g40286, g1778
OG0000015	CP12_g31541_DN2_SP0_c.t1	g23998, g2048, g25181, g50053, g44770, g53467, g40288, g5196, g37977
OG0000016	CP14_g23708_DN3_SP0_c.t1, CP9_g27907_DN2_SP0_c.t1	g26036
OG0000016	CP24_g47422_DN2_SP0_c.t1	g42778, g53235, g6385, g43402, g14661, g3657
OG0000018	CP3_g16393_DN1_SP0_c.t1	g11598, g33221, g14706, g33225, g52456, g35650
OG0000018	CP3_g15530_DN1_SP0_c.t1	g35203, g24985, g20288, g20299, g52791, g52787, g20292, g46456, g42075, g42793
OG0000020	CP17_g5482_DN2_SP0_c.t1, CP27_g41901_DN3_SP0_c.t1	g32689, g14805
OG0000020	CP6_g9455_DN3_SP0_c.t1	g34543
OG0000020	CP6_g8460_DN3_SP0_c.t1	g41999, g23596, g2978, g27048, g42255, g42252, g11710, g15029, g14580
OG0000021	CP7_g44363_DN3_SP0_c.t1, CP14_g23481_DN3_SP0_c.t1	g43760, g4386, g34956, g53077, g43442, g33130, g45148, g29629, g14568, g25751, g49590, g27681, g2213, g37069, g2331, g33125, g14567, g25750, g33471
OG0000023	CP35_g52033_DN3_SP0_c.t1	g3442, g26541, g3778, g4713, g35116, g35131, g35362, g42903, g35499, g15662, g32787, g14801, g15067, g15076, g42216, g42233, g26587, g42217, g52731, g52732, g53561, g9298, g15121, g32788, g15663, g15066, g14800, g3441, g44912, g15122, g3443, g34449, g34444, g34756, g6328, g34729, g21395
OG0000024	CP2_g48829_DN3_SP0_c.t1	g43450
OG0000024	CP3_g13494_DN2_SP0_c.t1	g2269
OG0000026	CP13_g20815_DN3_SP0_c.t1, CP2_g49593_DN1_SP0_c.t1, CP12_g31225_DN3_SP0_c.t1, CP47_g21233_DN3_SP0_c.t1, CP6_g8604_DN1_SP0_c.t1, CP98_g41597_DN1_SP0_c.t1, CP5_g3430_DN1_SP0_c.t1, CP53_g22292_DN1_SP0_c.t1, CP3_g16558_DN3_SP0_c.t1, CP5_g2206_DN2_SP0_c.t1, CP13_g20693_DN2_SP0_c.t1, CP5_g2172_DN3_SP0_c.t1, CP30_g10047_DN2_SP0_c.t1, CP12_g31518_DN3_SP0_c.t1, CP8_g52462_DN1_SP0_c.t1, CP6_g8834_DN3_SP0_c.t1, CP2_g50599_DN2_SP0_c.t1, CP5_g2195_DN2_SP0_c.t1, CP13_g20401_DN2_SP0_c.t1, CP6_g9301_DN3_SP0_c.t1, CP13_g20788_DN2_SP0_c.t1, CP31_g46751_DN2_SP0_c.t1, CP25_g55852_DN1_SP0_c.t1, CP14_g23533_DN3_SP0_c.t1, CP14_g23215_DN1_SP0_c.t1, CP31_g46690_DN3_SP0_c.t1, CP17_g5112_DN2_SP0_c.t1, CP6_g8299_DN3_SP0_c.t1, CP13_g20402_DN3_SP0_c.t1, CP1_g38785_DN3_SP0_c.t1, CP12_g31428_DN3_SP0_c.t1, CP15_g34701_DN3_SP0_c.t1, CP16_g55448_DN1_SP0_c.t1, CP12_g31561_DN3_SP0_c.t1, CP22_g17082_DN2_SP0_c.t1, CP2_g49627_DN3_SP0_c.t1, CP5_g2181_DN1_SP0_c.t1, CP13_g20683_DN3_SP0_c.t1, CP16_g55627_DN3_SP0_c.t1, CP25_g55794_DN2_SP0_c.t1, CP5_g3238_DN1_SP0_c.t1, CP17_g5496_DN3_SP0_c.t1, CP2_g50449_DN3_SP0_c.t1, CP17_g5596_DN2_SP0_c.t1, CP14_g23436_DN1_SP0_c.t1, CP21_g11163_DN2_SP0_c.t1, CP18_g12000_DN1_SP0_c.t1, CP2_g50743_DN2_SP0_c.t1, CP17_g5983_DN2_SP0_c.t1, CP6_g8924_DN2_SP0_c.t1, CP23_g21572_DN1_SP0_c.t1, CP17_g5297_DN2_SP0_c.t1, CP6_g7636_DN2_SP0_c.t1, CP14_g23306_DN1_SP0_c.t1	g36073
OG0000026	CP17_g5295_DN1_SP0_c.t1, CP18_g12003_DN1_SP0_c.t1, CP14_g23883_DN1_SP0_c.t1, CP15_g34866_DN2_SP0_c.t1, CP56_g20967_DN2_SP0_c.t1, CP12_g31227_DN2_SP0_c.t1, CP6_g8601_DN2_SP0_c.t1, CP1_g41347_DN1_SP0_c.t1, CP6_g9661_DN1_SP0_c.t1, CP13_g20695_DN2_SP0_c.t1, CP25_g55850_DN1_SP0_c.t1, CP16_g55449_DN3_SP0_c.t1, CP219_g10340_DN3_SP0_c.t1, CP1_g40152_DN3_SP0_c.t1, CP1_g38419_DN3_SP0_c.t1, CP2_g49629_DN3_SP0_c.t1, CP1_g40281_DN2_SP0_c.t1, CP12_g31175_DN2_SP0_c.t1, CP17_g5981_DN2_SP0_c.t1, CP12_g31566_DN2_SP0_c.t1, CP15_g35230_DN3_SP0_c.t1, CP21_g11165_DN2_SP0_c.t1, CP4_g26254_DN2_SP0_c.t1, CP25_g55796_DN1_SP0_c.t1, CP13_g20398_DN1_SP0_c.t1, CP17_g5856_DN1_SP0_c.t1, CP6_g7632_DN3_SP0_c.t1, CP16_g55625_DN3_SP0_c.t1, CP18_g12549_DN3_SP0_c.t1, CP5_g3431_DN3_SP0_c.t1, CP1_g41249_DN1_SP0_c.t1, CP102_g10409_DN2_SP0_c.t1, CP14_g23630_DN1_SP0_c.t1, CP13_g20685_DN1_SP0_c.t1, CP148_g19023_DN1_SP0_c.t1, CP103_g21015_DN2_SP0_c.t1, CP98_g41599_DN2_SP0_c.t1, CP3_g16126_DN1_SP0_c.t1, CP14_g23220_DN3_SP0_c.t1	g28599
OG0000030	CP11_g31940_DN3_SP0_c.t1	g38367, g38376, g38372, g38380
OG0000030	CP10_g43630_DN1_SP0_c.t1, CP2_g49394_DN2_SP0_c.t1	g13799, g13797
OG0000030	CP10_g43326_DN2_SP0_c.t1, CP13_g19590_DN2_SP0_c.t1	g44631
OG0000031	CP12_g30554_DN2_SP0_c.t1, CP2_g49958_DN1_SP0_c.t1	g42618, g43456
OG0000031	CP34_g51549_DN2_SP0_c.t1, CP14_g22976_DN1_SP0_c.t1, CP3_g15426_DN2_SP0_c.t1, CP12_g30550_DN3_SP0_c.t1, CP14_g22799_DN1_SP0_c.t1, CP16_g55578_DN1_SP0_c.t1, CP26_g51164_DN1_SP0_c.t1, CP16_g55250_DN2_SP0_c.t1, CP3_g14979_DN3_SP0_c.t1, CP2_g49348_DN2_SP0_c.t1, CP26_g51323_DN1_SP0_c.t1, CP15_g34657_DN1_SP0_c.t1, CP15_g34638_DN1_SP0_c.t1, CP15_g34584_DN1_SP0_c.t1, CP15_g34568_DN1_SP0_c.t1, CP1_g38484_DN3_SP0_c.t1, CP6_g7806_DN1_SP0_c.t1	g39351, g7244, g17718, g41293
OG0000032	CP44_g20906_DN3_SP0_c.t1, CP8_g52855_DN2_SP0_c.t1, CP64_g21090_DN2_SP0_c.t1	g35299
OG0000032	CP14_g23530_DN1_SP0_c.t1	g5355, g32774, g16031, g31992, g27854, g8229, g4385, g15955, g34339, g35327, g35065, g32781
OG0000032	CP64_g21089_DN1_SP0_c.t1, CP5_g3357_DN2_SP0_c.t1, CP18_g12571_DN2_SP0_c.t1, CP14_g23529_DN3_SP0_c.t1	g25263, g35283, g34310
OG0000032	CP1_g40427_DN2_SP0_c.t1	g25930, g51375
OG0000032	CP14_g22577_DN2_SP0_c.t1, CP25_g55995_DN1_SP0_c.t1, CP5_g3358_DN2_SP0_c.t1	g15953, g5354
OG0000032	CP64_g21088_DN3_SP0_c.t1	g4129, g3254, g35284
OG0000034	CP8_g54564_DN3_SP0_c.t1, CP13_g20065_DN3_SP0_c.t1	g50699
OG0000035	CP4_g26190_DN3_SP0_c.t1	g42055
OG0000036	CP23_g21756_DN1_SP0_c.t1, CP23_g21716_DN1_SP0_c.t1	g8477, g30214, g48816, g30475, g34839, g34840, g33230, g21984, g16000, g35137, g9058, g4380, g30519, g8346, g33830, g38626, g4487, g49132, g54128, g24109, g4103, g22579, g8579, g30480, g20846, g33290, g33253, g25308, g32832, g53230, g35113, g20845, g32828, g3518, g10962, g23261, g30474, g34226, g22545, g42388, g53094, g53667, g43025, g15493, g26494, g52468, g30175, g4601, g21499, g20704, g36781, g3789, g43272, g52632, g30035, g14982, g35819, g43735, g25768, g37998, g8470, g48265, g16429, g21124, g19889, g21848, g43096, g14799, g15775, g33195, g52331, g8571, g15508, g51041, g8557, g40028, g36925, g16880, g22186, g21447, g39194, g16046, g20639, g33192, g44883, g26279, g42486, g22322, g15579, g20568, g9184, g53403, g30370, g48086, g30042, g36305, g16721, g34235, g34240, g30365, g21386, g48199, g4453, g38610, g42983, g32805, g23934, g44461, g42451, g48833, g42011, g3481, g14595, g40873, g4722, g19432, g26148, g35495, g26444, g48197, g43275, g52414, g35408, g30006, g3590, g52630, g24606, g8537, g15797, g15471, g33826, g5036, g9019, g52454, g49241, g34829, g21441, g3781, g48817, g8596, g3594, g9041, g22566, g22571, g48063, g39212, g41988, g48890, g42991, g43566, g20895, g20282, g15739, g25183, g53205, g49049, g26398, g53256, g53454, g44995, g47596, g32764, g52871, g9211, g13928, g35134, g34889, g53147, g21534, g30502, g42837, g42850, g42879, g54401, g54408, g8791, g8796, g52453, g3593, g52629, g32829, g15494, g38627, g33772, g41663, g43194, g22574, g39945, g35836, g2951, g37862, g53162, g8562, g3621, g21982, g3535, g8184, g34249, g52841, g52848, g52830, g34220, g15932, g3610, g28586, g16657, g4890, g43728, g33601, g25944, g45198, g15609, g35888, g32794, g42492, g16586, g20697, g52658, g19972, g612, g15222, g3806, g3520, g556, g34922, g3531, g27040, g9162, g15745, g21617, g8325, g3516, g20638, g14983, g12232, g48263, g3592, g52628, g32830, g26399, g49242, g15472, g15738, g52327, g52413, g26495, g23262, g5035, g15613, g13929, g52872, g38592, g14944, g21981, g24110, g3517, g12231, g53212, g8538, g53668, g20928, g9042, g50317, g53093, g15610, g41989, g54129, g35835, g9210, g24605, g18471, g33294, g20894, g30377, g47597, g34830, g30174, g22565, g35939, g14834, g20844, g16430, g22578, g8597, g17427, g52829, g20553, g35138, g35135, g43276, g3589, g25945, g8347, g15842, g33387, g42569, g33158, g33161, g48659, g35581, g33616, g15846, g3497, g22573, g22570, g53862, g42491, g32843, g43273, g52466, g52473, g19971, g32806, g20847, g3534
OG0000038	CP14_g22980_DN1_SP0_c.t1	g45065
OG0000038	CP29_g22118_DN1_SP0_c.t1	g646, g17068, g32641, g23586
OG0000038	CP6_g8155_DN1_SP0_c.t1	g2497
OG0000038	CP6_g7770_DN1_SP0_c.t1, CP28_g33935_DN3_SP0_c.t1	g27140, g23925, g51223, g44428, g9976, g51224, g38104
OG0000038	CP15_g35533_DN1_SP0_c.t1	g14210, g42047, g25209, g47747, g6734, g25615, g24420, g4774, g23626, g25696, g39882, g12326, g11412, g40957, g32434, g14573, g41376, g31882, g40136, g45253, g37419, g28612, g6446, g6725, g47748, g41947, g41005, g50686, g35996, g4260, g4263, g41786, g23625, g41377, g32262, g25866
OG0000038	CP29_g22117_DN1_SP0_c.t1	g17792, g36174, g23490, g16728, g27674, g23073, g13751, g22731, g33053, g2447, g33047, g45986, g32349, g28998, g22798, g37935, g41306
OG0000039	CP24_g47137_DN2_SP0_c.t1	g9223, g15181, g22026, g34002, g33956, g21740, g33876, g20120, g34152, g33727, g33838, g34031, g38975, g39098, g38955, g38688, g33899, g33968, g21746, g49214, g9168, g8928, g33853, g21580, g21835, g33794, g34108, g48467, g9412, g21180, g20963, g29864, g34128, g42509, g20355, g20323, g33964, g8497, g34589, g9477, g21185, g20350, g34603, g48204, g15023, g26485, g26483, g26490, g42473, g21581, g42500, g33728, g21834, g21908, g30648, g9167, g30662, g34030, g33969, g33880, g33754, g20336, g42479, g16186, g20806, g20799, g20600, g33875, g33942, g9567, g9467, g20562, g30106, g20969, g48132, g8937, g14739, g15252, g15616, g38605, g48353, g38935, g20566, g34601, g9410, g9534, g15154, g8442, g26561, g33734, g30591, g9307, g48220, g16204, g15893, g15843, g15896, g16200, g21102, g9330, g9097, g48186, g48133, g8399, g42629, g26556, g39032, g35389, g34862, g8902, g20398, g15147, g49183, g20264, g15163, g20939, g15263, g21171, g20808, g30058, g19679, g3538, g30024, g34069, g15290, g33828, g33832, g48859, g33774, g26506, g34577, g38840, g15451, g8891, g35369, g30672, g20400, g20339, g8985, g8963, g9150, g33805, g8966, g21244, g20504, g33808, g15372, g33840, g8969, g49250, g21044, g9535, g21091, g42907, g30644, g34888, g35388, g48113, g34154, g9222, g21215, g9264, g52758, g49246, g8843, g9556, g20444, g34039, g34131, g21540, g15466, g38559, g9194, g34045, g8458, g21870, g34113, g8981, g20527, g34004, g21752, g9254, g21611, g39030, g34126, g9248, g22003, g33850, g22025, g30631, g22027, g34181, g21699, g33966, g21680, g33992, g9199, g9408, g21877, g20657, g30626, g8288, g15136, g34194, g20574, g8449, g48415, g8953, g38980, g39170, g39173, g48500, g33991, g21539, g34037, g33722, g43382, g8379, g26569, g20644, g42305, g15284, g48417
OG0000040	CP19_g18411_DN2_SP0_c.t1, CP4_g26084_DN1_SP0_c.t1	g49152
OG0000040	CP335_g34390_DN1_SP0_c.t1, CP11_g31841_DN1_SP0_c.t1	g52948, g41631, g41632, g25133, g49021
OG0000041	CP1_g39386_DN1_SP0_c.t1	g49411, g40677, g12224
OG0000041	CP2_g50310_DN2_SP0_c.t1	g6205
OG0000041	CP6_g9686_DN3_SP0_c.t1, CP12_g31463_DN1_SP0_c.t1, CP15_g34935_DN3_SP0_c.t1	g19447
OG0000041	CP14_g23198_DN3_SP0_c.t1, CP14_g22621_DN3_SP0_c.t1, CP3_g15154_DN3_SP0_c.t1	g46641
OG0000041	CP14_g23587_DN3_SP0_c.t1	g18721, g29231, g45388, g14428, g28413, g13757, g46775, g3861, g44857, g32168, g43896, g24458, g6376, g12068, g19448, g4749, g6871, g36846, g47037, g23483, g11656, g27986, g5166, g12226, g50226, g46640, g41551, g45877
OG0000041	CP14_g22620_DN1_SP0_c.t1, CP1_g39917_DN2_SP0_c.t1, CP2_g50284_DN2_SP0_c.t1	g11828
OG0000041	CP14_g22619_DN2_SP0_c.t1	g4882, g54105, g19084
OG0000041	CP34_g51569_DN2_SP0_c.t1	g12227
OG0000042	CP8_g52167_DN3_SP0_c.t1, CP5_g3067_DN2_SP0_c.t1, CP37_g11368_DN3_SP0_c.t1	g8825, g41465, g35926, g44522, g52187, g7355, g38829, g20859, g48552, g53555, g47921
OG0000042	CP37_g11369_DN1_SP0_c.t1	g31187, g8527, g6175
OG0000042	CP6_g9833_DN1_SP0_c.t1	g31170
OG0000042	CP15_g34874_DN3_SP0_c.t1	g50559, g3768
OG0000042	CP6_g9916_DN1_SP0_c.t1	g6307, g53556
OG0000042	CP8_g52519_DN1_SP0_c.t1	g40104, g13786, g31186, g8826, g30544
OG0000043	CP15_g35837_DN2_SP0_c.t1	g32581, g25935, g6093
OG0000043	CP15_g35835_DN2_SP0_c.t1	g7022, g9694, g49667
OG0000043	CP15_g35836_DN2_SP0_c.t1	g35546
OG0000043	CP1_g41085_DN2_SP0_c.t1	g13371
OG0000043	CP1_g41084_DN2_SP0_c.t1	g13019, g18797
OG0000043	CP5_g1995_DN2_SP0_c.t1, CP14_g22990_DN1_SP0_c.t1	g41214, g17678
OG0000046	CP15_g34716_DN3_SP0_c.t1	g3382, g2931
OG0000046	CP8_g52809_DN3_SP0_c.t1	g26196, g11589
OG0000048	CP9_g29505_DN2_SP0_c.t1	g29294, g52069, g52073, g52064
OG0000049	CP3_g15633_DN2_SP0_c.t1	g7125, g42059, g19431, g24864, g39276, g51171, g7126, g6551, g27201
OG0000049	CP17_g4884_DN2_SP0_c.t1, CP17_g4930_DN2_SP0_c.t1	g19076, g35468, g5625
OG0000049	CP13_g20574_DN2_SP0_c.t1	g10538
OG0000049	CP1_g38898_DN1_SP0_c.t1	g7127
OG0000050	CP9_g27575_DN2_SP0_c.t1, CP1_g38613_DN1_SP0_c.t1	g32289
OG0000050	CP3_g15240_DN2_SP0_c.t1, CP5_g3337_DN1_SP0_c.t1	g19665
OG0000050	CP1_g41329_DN2_SP0_c.t1	g51073
OG0000050	CP4_g26837_DN2_SP0_c.t1, CP3_g16491_DN1_SP0_c.t1, CP15_g34543_DN2_SP0_c.t1, CP1_g39907_DN2_SP0_c.t1	g44252
OG0000050	CP5_g3335_DN2_SP0_c.t1, CP3_g15241_DN1_SP0_c.t1, CP21_g11182_DN2_SP0_c.t1	g30921, g53630, g4397, g10583, g5874
OG0000051	CP9_g28198_DN3_SP0_c.t1	g53934
OG0000051	CP4_g24479_DN3_SP0_c.t1	g37450
OG0000052	CP13_g19766_DN3_SP0_c.t1	g1602, g3195, g10535
OG0000052	CP3_g14092_DN3_SP0_c.t1	g19225
OG0000052	CP7_g44259_DN3_SP0_c.t1	g36515
OG0000054	CP29_g22024_DN2_SP0_c.t1	g34524, g34533, g30257
OG0000055	CP12_g30730_DN2_SP0_c.t1	g27361
OG0000055	CP10_g42516_DN3_SP0_c.t1	g50182, g50184, g50186
OG0000056	CP2_g49077_DN3_SP0_c.t1	g40991, g44205
OG0000056	CP2_g49031_DN3_SP0_c.t1	g40901
OG0000058	CP17_g5406_DN1_SP0_c.t1	g3196
