Orthogroup	Conringia_planisiliqua	Euclidium_syriacum
OG0000015	CP7_g44209_DN2_SP0_c.t1	ESY10_g15713_DN2_SP0_c0.t1, ESY10_g14906_DN2_SP0_c0.t1, ESY4_g24528_DN1_SP0_c0.t1, ESY13_g56278_DN1_SP0_c1.t1
OG0000015	CP12_g31541_DN2_SP0_c.t1	ESY11_g53315_DN2_SP0_c0.t1
OG0000016	CP24_g47422_DN2_SP0_c.t1	ESY1_g8220_DN1_SP0_c0.t1, ESY1_g9010_DN1_SP0_c0.t1
OG0000020	CP17_g5482_DN2_SP0_c.t1, CP27_g41901_DN3_SP0_c.t1, CP35_g52005_DN3_SP0_c.t1, CP1_g40651_DN3_SP0_c.t1	ESY18_g63699_DN3_SP0_c0.t1, ESY9_g44479_DN2_SP0_c0.t1, ESY17_g39372_DN3_SP0_c44.t1, ESY11_g52417_DN3_SP0_c0.t1
OG0000021	CP7_g44363_DN3_SP0_c.t1, CP14_g23481_DN3_SP0_c.t1	ESY2_g36897_DN3_SP0_c0.t1, ESY1_g8553_DN3_SP0_c0.t1, ESY2_g36889_DN2_SP0_c0.t1, ESY5_g1040_DN3_SP0_c0.t1, ESY4_g26006_DN3_SP0_c0.t1, ESY7_g17537_DN3_SP0_c0.t1, ESY1_g9704_DN3_SP0_c0.t1, ESY6_g48613_DN3_SP0_c0.t1, ESY6_g47610_DN3_SP0_c0.t1, ESY4_g25933_DN3_SP0_c0.t1, ESY9_g43848_DN3_SP0_c0.t1, ESY10_g15845_DN3_SP0_c0.t1, ESY1_g8552_DN3_SP0_c0.t1, ESY3_g30023_DN2_SP0_c0.t1, ESY19_g41697_DN3_SP0_c0.t1, ESY6_g45922_DN3_SP0_c0.t1, ESY5_g1354_DN3_SP0_c0.t1, ESY6_g47609_DN3_SP0_c0.t1, ESY6_g48612_DN3_SP0_c0.t1, ESY11_g54587_DN3_SP0_c0.t1, ESY6_g47608_DN3_SP0_c0.t1, ESY9_g43847_DN3_SP0_c0.t1, ESY15_g65477_DN3_SP0_c0.t1, ESY9_g43840_DN2_SP0_c0.t1, ESY9_g43986_DN3_SP0_c0.t1, ESY10_g14065_DN3_SP0_c0.t1, ESY14_g21238_DN3_SP0_c0.t1
OG0000023	CP35_g52033_DN3_SP0_c.t1	ESY11_g53222_DN2_SP0_c100.t1, ESY8_g61320_DN3_SP0_c0.t1
OG0000024	CP2_g48829_DN3_SP0_c.t1	ESY7_g16494_DN2_SP0_c0.t1, ESY1_g12041_DN3_SP0_c0.t1, ESY8_g58334_DN1_SP0_c0.t1, ESY2_g33352_DN2_SP0_c0.t1, ESY2_g33350_DN2_SP0_c0.t1, ESY7_g19344_DN3_SP0_c0.t1, ESY1_g11290_DN3_SP0_c0.t1, ESY12_g51910_DN2_SP0_c0.t1, ESY12_g51907_DN2_SP0_c40.t1, ESY12_g51878_DN2_SP0_c0.t1
OG0000026	CP13_g20815_DN3_SP0_c.t1, CP2_g49593_DN1_SP0_c.t1, CP12_g31225_DN3_SP0_c.t1, CP47_g21233_DN3_SP0_c.t1, CP6_g8604_DN1_SP0_c.t1, CP98_g41597_DN1_SP0_c.t1, CP5_g3430_DN1_SP0_c.t1, CP53_g22292_DN1_SP0_c.t1, CP3_g16558_DN3_SP0_c.t1, CP5_g2206_DN2_SP0_c.t1, CP13_g20693_DN2_SP0_c.t1, CP5_g2172_DN3_SP0_c.t1, CP30_g10047_DN2_SP0_c.t1, CP12_g31518_DN3_SP0_c.t1, CP8_g52462_DN1_SP0_c.t1, CP6_g8834_DN3_SP0_c.t1, CP2_g50599_DN2_SP0_c.t1, CP5_g2195_DN2_SP0_c.t1, CP13_g20401_DN2_SP0_c.t1, CP6_g9301_DN3_SP0_c.t1, CP13_g20788_DN2_SP0_c.t1, CP31_g46751_DN2_SP0_c.t1, CP25_g55852_DN1_SP0_c.t1, CP14_g23533_DN3_SP0_c.t1, CP14_g23215_DN1_SP0_c.t1, CP31_g46690_DN3_SP0_c.t1, CP17_g5112_DN2_SP0_c.t1, CP6_g8299_DN3_SP0_c.t1, CP13_g20402_DN3_SP0_c.t1, CP1_g38785_DN3_SP0_c.t1, CP12_g31428_DN3_SP0_c.t1, CP15_g34701_DN3_SP0_c.t1, CP16_g55448_DN1_SP0_c.t1, CP12_g31561_DN3_SP0_c.t1, CP22_g17082_DN2_SP0_c.t1, CP2_g49627_DN3_SP0_c.t1, CP5_g2181_DN1_SP0_c.t1, CP13_g20683_DN3_SP0_c.t1, CP16_g55627_DN3_SP0_c.t1, CP25_g55794_DN2_SP0_c.t1, CP5_g3238_DN1_SP0_c.t1, CP17_g5496_DN3_SP0_c.t1, CP2_g50449_DN3_SP0_c.t1, CP17_g5596_DN2_SP0_c.t1, CP14_g23436_DN1_SP0_c.t1, CP21_g11163_DN2_SP0_c.t1, CP18_g12000_DN1_SP0_c.t1, CP2_g50743_DN2_SP0_c.t1, CP17_g5983_DN2_SP0_c.t1, CP6_g8924_DN2_SP0_c.t1, CP23_g21572_DN1_SP0_c.t1, CP17_g5297_DN2_SP0_c.t1, CP6_g7636_DN2_SP0_c.t1, CP14_g23306_DN1_SP0_c.t1	ESY4_g24970_DN3_SP0_c0.t1, ESY11_g52546_DN2_SP0_c0.t1, ESY15_g65549_DN2_SP0_c0.t1, ESY13_g56315_DN1_SP0_c55.t1, ESY18_g64157_DN2_SP0_c0.t1, ESY21_g55910_DN1_SP0_c17.t1, ESY13_g56316_DN1_SP0_c0.t1, ESY1_g7853_DN1_SP0_c0.t1
OG0000026	CP24_g46950_DN2_SP0_c.t1, CP21_g11164_DN3_SP0_c.t1, CP53_g22291_DN3_SP0_c.t1, CP17_g5113_DN3_SP0_c.t1, CP13_g20400_DN2_SP0_c.t1, CP9_g27941_DN3_SP0_c.t1, CP12_g31563_DN2_SP0_c.t1, CP14_g23216_DN3_SP0_c.t1, CP4_g26168_DN3_SP0_c.t1, CP5_g3241_DN1_SP0_c.t1, CP61_g51970_DN1_SP0_c.t1, CP102_g10411_DN1_SP0_c.t1, CP6_g8923_DN1_SP0_c.t1, CP44_g20924_DN3_SP0_c.t1, CP5_g3239_DN2_SP0_c.t1, CP14_g23884_DN3_SP0_c.t1, CP1_g41098_DN3_SP0_c.t1, CP16_g55626_DN3_SP0_c.t1, CP6_g9300_DN3_SP0_c.t1, CP14_g22692_DN3_SP0_c.t1, CP1_g39991_DN2_SP0_c.t1	ESY2_g36322_DN3_SP0_c0.t1, ESY1_g8855_DN3_SP0_c0.t1, ESY14_g20612_DN2_SP0_c0.t1, ESY11_g52547_DN2_SP0_c0.t1
OG0000026	CP4_g26709_DN3_SP0_c.t1, CP9_g27630_DN3_SP0_c.t1, CP6_g8603_DN3_SP0_c.t1, CP6_g8921_DN2_SP0_c.t1, CP7_g44321_DN2_SP0_c.t1, CP53_g22321_DN1_SP0_c.t1, CP8_g53077_DN2_SP0_c.t1, CP24_g46949_DN1_SP0_c.t1, CP1_g41096_DN1_SP0_c.t1, CP34_g51562_DN2_SP0_c.t1, CP25_g55865_DN2_SP0_c.t1	ESY13_g56165_DN1_SP0_c0.t1
OG0000026	CP53_g22289_DN2_SP0_c.t1, CP53_g22322_DN1_SP0_c.t1, CP65_g4495_DN2_SP0_c.t1, CP2_g50506_DN3_SP0_c.t1, CP47_g21235_DN3_SP0_c.t1, CP1_g41348_DN1_SP0_c.t1	ESY1_g9068_DN2_SP0_c0.t1
OG0000026	CP3_g15052_DN3_SP0_c.t1, CP14_g22693_DN3_SP0_c.t1, CP6_g8602_DN3_SP0_c.t1, CP18_g12002_DN1_SP0_c.t1, CP12_g31565_DN1_SP0_c.t1, CP4_g26167_DN1_SP0_c.t1, CP1_g38907_DN1_SP0_c.t1	ESY13_g56166_DN2_SP0_c0.t1
OG0000026	CP17_g5295_DN1_SP0_c.t1, CP18_g12003_DN1_SP0_c.t1, CP14_g23883_DN1_SP0_c.t1, CP15_g34866_DN2_SP0_c.t1, CP56_g20967_DN2_SP0_c.t1, CP12_g31227_DN2_SP0_c.t1, CP6_g8601_DN2_SP0_c.t1, CP1_g41347_DN1_SP0_c.t1, CP6_g9661_DN1_SP0_c.t1, CP13_g20695_DN2_SP0_c.t1, CP25_g55850_DN1_SP0_c.t1, CP16_g55449_DN3_SP0_c.t1, CP219_g10340_DN3_SP0_c.t1, CP1_g40152_DN3_SP0_c.t1, CP1_g38419_DN3_SP0_c.t1, CP2_g49629_DN3_SP0_c.t1, CP1_g40281_DN2_SP0_c.t1, CP12_g31175_DN2_SP0_c.t1, CP17_g5981_DN2_SP0_c.t1, CP12_g31566_DN2_SP0_c.t1, CP15_g35230_DN3_SP0_c.t1, CP21_g11165_DN2_SP0_c.t1, CP4_g26254_DN2_SP0_c.t1, CP25_g55796_DN1_SP0_c.t1, CP13_g20398_DN1_SP0_c.t1	ESY8_g58625_DN1_SP0_c0.t1
OG0000028	CP10_g43844_DN3_SP0_c.t1	ESY4_g24911_DN2_SP0_c50.t1, ESY7_g18156_DN1_SP0_c46.t1
OG0000029	CP27_g41814_DN2_SP0_c.t1, CP4_g26144_DN2_SP0_c.t1	ESY6_g48344_DN1_SP0_c0.t1
OG0000029	CP4_g26313_DN1_SP0_c.t1	ESY1_g6329_DN2_SP0_c0.t1
OG0000029	CP17_g5929_DN1_SP0_c.t1	ESY10_g13703_DN2_SP0_c0.t1
OG0000029	CP4_g26137_DN1_SP0_c.t1	ESY10_g14733_DN2_SP0_c0.t1
OG0000030	CP11_g31940_DN3_SP0_c.t1	ESY5_g3960_DN3_SP0_c0.t1, ESY4_g24700_DN2_SP0_c0.t1, ESY16_g62047_DN2_SP0_c0.t1, ESY5_g3539_DN1_SP0_c0.t1, ESY9_g43210_DN3_SP0_c0.t1, ESY5_g4903_DN2_SP0_c0.t1, ESY1_g12127_DN1_SP0_c0.t1, ESY11_g54038_DN2_SP0_c0.t1, ESY10_g15292_DN3_SP0_c0.t1, ESY9_g42993_DN2_SP0_c0.t1
OG0000030	CP10_g43630_DN1_SP0_c.t1, CP2_g49394_DN2_SP0_c.t1	ESY3_g29392_DN3_SP0_c0.t1
OG0000030	CP10_g43326_DN2_SP0_c.t1	ESY2_g33562_DN1_SP0_c0.t1
OG0000030	CP13_g19590_DN2_SP0_c.t1	ESY5_g4904_DN2_SP0_c0.t1, ESY9_g42497_DN1_SP0_c0.t1, ESY3_g30190_DN1_SP0_c0.t1, ESY23_g305_DN3_SP0_c0.t1, ESY9_g42524_DN2_SP0_c0.t1
OG0000031	CP12_g30554_DN2_SP0_c.t1, CP2_g49958_DN1_SP0_c.t1	ESY5_g789_DN1_SP0_c0.t1, ESY10_g14035_DN1_SP0_c44.t1, ESY10_g15212_DN1_SP0_c0.t1
OG0000031	CP21_g10560_DN2_SP0_c.t1, CP16_g55602_DN1_SP0_c.t1	ESY1_g10435_DN1_SP0_c0.t1, ESY10_g14768_DN2_SP0_c0.t1
OG0000031	CP34_g51549_DN2_SP0_c.t1, CP14_g22976_DN1_SP0_c.t1, CP3_g15426_DN2_SP0_c.t1, CP12_g30550_DN3_SP0_c.t1, CP14_g22799_DN1_SP0_c.t1	ESY23_g31_DN2_SP0_c0.t1
OG0000032	CP3_g16163_DN2_SP0_c.t1, CP56_g20987_DN1_SP0_c.t1, CP25_g55997_DN1_SP0_c.t1	ESY1_g7080_DN3_SP0_c33.t1
OG0000032	CP44_g20906_DN3_SP0_c.t1, CP8_g52855_DN2_SP0_c.t1, CP64_g21090_DN2_SP0_c.t1	ESY15_g65701_DN1_SP0_c88.t1
OG0000032	CP14_g23530_DN1_SP0_c.t1	ESY3_g28065_DN2_SP0_c0.t1
OG0000035	CP1_g40963_DN3_SP0_c.t1, CP6_g9072_DN3_SP0_c.t1, CP1_g40962_DN3_SP0_c.t1, CP14_g23646_DN2_SP0_c.t1, CP14_g23679_DN2_SP0_c.t1, CP117_g56225_DN2_SP0_c.t1, CP103_g21003_DN2_SP0_c.t1, CP63_g12714_DN2_SP0_c.t1	ESY1_g11366_DN3_SP0_c0.t1, ESY1_g8356_DN1_SP0_c0.t1, ESY2_g36091_DN2_SP0_c0.t1, ESY14_g20662_DN3_SP0_c0.t1
OG0000035	CP8_g52211_DN2_SP0_c.t1	ESY3_g27680_DN2_SP0_c0.t1
OG0000035	CP12_g31766_DN2_SP0_c.t1, CP1_g40960_DN1_SP0_c.t1	ESY1_g8357_DN3_SP0_c0.t1, ESY1_g11367_DN3_SP0_c0.t1, ESY9_g44160_DN2_SP0_c0.t1, ESY2_g36093_DN3_SP0_c0.t1
OG0000035	CP1_g40830_DN2_SP0_c.t1, CP4_g26781_DN3_SP0_c.t1, CP24_g46983_DN2_SP0_c.t1, CP3_g16137_DN3_SP0_c.t1, CP26_g51196_DN1_SP0_c.t1, CP1_g40829_DN2_SP0_c.t1, CP4_g26782_DN2_SP0_c.t1, CP26_g51195_DN2_SP0_c.t1	ESY10_g13892_DN3_SP0_c0.t1
OG0000036	CP23_g21756_DN1_SP0_c.t1, CP23_g21716_DN1_SP0_c.t1	ESY7_g17009_DN2_SP0_c60.t1
OG0000038	CP6_g7770_DN1_SP0_c.t1, CP28_g33935_DN3_SP0_c.t1	ESY21_g55792_DN2_SP0_c0.t1
OG0000040	CP19_g18411_DN2_SP0_c.t1	ESY9_g43776_DN1_SP0_c0.t1
OG0000040	CP5_g2115_DN2_SP0_c.t1	ESY7_g17207_DN1_SP0_c0.t1
OG0000040	CP13_g20255_DN1_SP0_c.t1	ESY7_g16531_DN2_SP0_c0.t1
OG0000041	CP1_g39386_DN1_SP0_c.t1	ESY6_g46303_DN3_SP0_c0.t1
OG0000041	CP14_g23198_DN3_SP0_c.t1, CP14_g22621_DN3_SP0_c.t1, CP3_g15154_DN3_SP0_c.t1	ESY8_g61336_DN1_SP0_c0.t1
OG0000041	CP7_g44255_DN1_SP0_c.t1, CP14_g23587_DN3_SP0_c.t1, CP14_g22620_DN1_SP0_c.t1, CP1_g39917_DN2_SP0_c.t1, CP2_g50284_DN2_SP0_c.t1, CP14_g22619_DN2_SP0_c.t1, CP34_g51569_DN2_SP0_c.t1, CP1_g39385_DN3_SP0_c.t1, CP1_g41374_DN2_SP0_c.t1, CP3_g15155_DN2_SP0_c.t1	ESY1_g6062_DN3_SP0_c100.t1
OG0000042	CP8_g52167_DN3_SP0_c.t1, CP5_g3067_DN2_SP0_c.t1, CP37_g11368_DN3_SP0_c.t1	ESY17_g39786_DN2_SP0_c77.t1, ESY1_g9008_DN2_SP0_c16.t1, ESY3_g28214_DN2_SP0_c7.t1
OG0000042	CP37_g11369_DN1_SP0_c.t1	ESY19_g41790_DN1_SP0_c0.t1, ESY4_g25239_DN1_SP0_c95.t1
OG0000042	CP15_g34874_DN3_SP0_c.t1	ESY17_g39785_DN1_SP0_c100.t1
OG0000042	CP6_g9916_DN1_SP0_c.t1	ESY11_g53669_DN2_SP0_c100.t1, ESY11_g52866_DN2_SP0_c100.t1
OG0000043	CP15_g35837_DN2_SP0_c.t1, CP15_g35835_DN2_SP0_c.t1, CP15_g35836_DN2_SP0_c.t1, CP1_g41085_DN2_SP0_c.t1, CP1_g41084_DN2_SP0_c.t1, CP5_g1995_DN2_SP0_c.t1, CP14_g22990_DN1_SP0_c.t1	ESY4_g23863_DN2_SP0_c100.t1
OG0000044	CP13_g19861_DN2_SP0_c.t1	ESY1_g11405_DN3_SP0_c0.t1
OG0000044	CP13_g19860_DN2_SP0_c.t1	ESY6_g50480_DN2_SP0_c0.t1
OG0000044	CP13_g20691_DN1_SP0_c.t1, CP16_g55519_DN1_SP0_c.t1	ESY10_g14634_DN3_SP0_c0.t1
OG0000044	CP2_g50531_DN2_SP0_c.t1, CP13_g19858_DN3_SP0_c.t1	ESY9_g42710_DN3_SP0_c0.t1, ESY16_g62029_DN1_SP0_c0.t1
OG0000046	CP15_g34716_DN3_SP0_c.t1	ESY14_g21426_DN1_SP0_c0.t1
OG0000046	CP1_g39285_DN1_SP0_c.t1, CP8_g52809_DN3_SP0_c.t1	ESY15_g65758_DN2_SP0_c100.t1
OG0000048	CP9_g28258_DN1_SP0_c.t1	ESY5_g5235_DN1_SP0_c0.t1, ESY5_g5227_DN1_SP0_c0.t1, ESY5_g5237_DN2_SP0_c0.t1
OG0000048	CP3_g14428_DN3_SP0_c.t1, CP12_g30253_DN2_SP0_c.t1, CP12_g30252_DN1_SP0_c.t1	ESY7_g16211_DN2_SP0_c0.t1, ESY1_g11291_DN3_SP0_c0.t1
OG0000050	CP9_g27575_DN2_SP0_c.t1	ESY7_g16182_DN3_SP0_c92.t1
OG0000050	CP1_g38613_DN1_SP0_c.t1	ESY3_g28010_DN1_SP0_c0.t1, ESY7_g19195_DN2_SP0_c0.t1, ESY4_g22483_DN2_SP0_c0.t1
OG0000050	CP5_g3336_DN1_SP0_c.t1	ESY11_g54389_DN1_SP0_c0.t1, ESY22_g40701_DN2_SP0_c0.t1
OG0000050	CP4_g26837_DN2_SP0_c.t1, CP3_g16491_DN1_SP0_c.t1, CP15_g34543_DN2_SP0_c.t1, CP1_g39907_DN2_SP0_c.t1	ESY3_g27878_DN2_SP0_c0.t1
OG0000051	CP4_g24481_DN3_SP0_c.t1	ESY5_g2704_DN3_SP0_c0.t1
OG0000051	CP1_g36582_DN3_SP0_c.t1	ESY12_g51256_DN3_SP0_c0.t1
OG0000051	CP4_g24480_DN3_SP0_c.t1	ESY5_g2705_DN3_SP0_c0.t1
OG0000051	CP4_g24479_DN3_SP0_c.t1	ESY5_g2706_DN3_SP0_c11.t1
OG0000052	CP13_g19766_DN3_SP0_c.t1	ESY2_g35343_DN2_SP0_c0.t1, ESY16_g61527_DN1_SP0_c0.t1, ESY11_g54151_DN1_SP0_c0.t1
OG0000052	CP3_g14092_DN3_SP0_c.t1	ESY1_g10445_DN3_SP0_c0.t1
OG0000055	CP12_g30730_DN2_SP0_c.t1	ESY2_g35826_DN2_SP0_c0.t1
OG0000055	CP10_g42649_DN3_SP0_c.t1	ESY9_g45399_DN1_SP0_c0.t1, ESY3_g30252_DN1_SP0_c0.t1
OG0000055	CP10_g42516_DN3_SP0_c.t1	ESY2_g35556_DN3_SP0_c0.t1
OG0000056	CP2_g49071_DN3_SP0_c.t1	ESY2_g33757_DN3_SP0_c0.t1
OG0000056	CP2_g49032_DN3_SP0_c.t1, CP2_g49030_DN3_SP0_c.t1	ESY2_g33766_DN3_SP0_c0.t1
OG0000056	CP2_g49072_DN2_SP0_c.t1	ESY2_g33759_DN3_SP0_c0.t1
OG0000056	CP2_g49077_DN3_SP0_c.t1	ESY2_g33762_DN3_SP0_c0.t1
OG0000056	CP11_g31796_DN3_SP0_c.t1	ESY2_g33767_DN3_SP0_c0.t1, ESY2_g33769_DN3_SP0_c0.t1, ESY2_g33764_DN2_SP0_c0.t1, ESY2_g33770_DN3_SP0_c0.t1, ESY2_g33763_DN2_SP0_c0.t1, ESY2_g33774_DN3_SP0_c0.t1
OG0000056	CP2_g49067_DN3_SP0_c.t1	ESY2_g33775_DN1_SP0_c0.t1
OG0000056	CP2_g49080_DN3_SP0_c.t1	ESY2_g33753_DN3_SP0_c0.t1, ESY2_g33752_DN3_SP0_c0.t1, ESY2_g33758_DN3_SP0_c0.t1, ESY2_g33773_DN1_SP0_c0.t1, ESY2_g33750_DN3_SP0_c0.t1, ESY2_g33772_DN2_SP0_c0.t1, ESY2_g33746_DN3_SP0_c0.t1
OG0000056	CP2_g49031_DN3_SP0_c.t1	ESY2_g33671_DN2_SP0_c0.t1
OG0000058	CP17_g5406_DN1_SP0_c.t1	ESY15_g65727_DN2_SP0_c85.t1
OG0000058	CP13_g20701_DN3_SP0_c.t1, CP47_g21258_DN2_SP0_c.t1, CP8_g52373_DN1_SP0_c.t1	ESY13_g56710_DN1_SP0_c0.t1
OG0000059	CP12_g31611_DN2_SP0_c.t1	ESY1_g9125_DN2_SP0_c0.t1
OG0000060	CP4_g24977_DN3_SP0_c.t1	ESY1_g11058_DN3_SP0_c0.t1
OG0000062	CP7_g44165_DN3_SP0_c.t1	ESY17_g40168_DN2_SP0_c0.t1
OG0000062	CP12_g31765_DN3_SP0_c.t1, CP6_g9071_DN2_SP0_c.t1	ESY1_g8355_DN3_SP0_c0.t1
OG0000062	CP4_g26549_DN1_SP0_c.t1	ESY7_g16267_DN1_SP0_c0.t1, ESY11_g53126_DN2_SP0_c0.t1
OG0000062	CP1_g38352_DN3_SP0_c.t1, CP6_g9070_DN1_SP0_c.t1	ESY14_g20664_DN3_SP0_c0.t1
