Orthogroup	Conringia_planisiliqua	Arabidopsis_lyrata_NCBI
OG0000026	CP12_g31706_DN3_SP0_c.t1, CP27_g41746_DN2_SP0_c.t1, CP15_g35764_DN3_SP0_c.t1, CP14_g23308_DN2_SP0_c.t1, CP13_g20783_DN2_SP0_c.t1, CP6_g7635_DN2_SP0_c.t1, CP21_g11026_DN3_SP0_c.t1, CP18_g12028_DN2_SP0_c.t1, CP2_g50380_DN1_SP0_c.t1, CP2_g49544_DN1_SP0_c.t1, CP13_g20787_DN2_SP0_c.t1, CP6_g9659_DN1_SP0_c.t1, CP1_g41239_DN2_SP0_c.t1, CP47_g21234_DN3_SP0_c.t1, CP13_g20815_DN3_SP0_c.t1, CP2_g49593_DN1_SP0_c.t1, CP12_g31225_DN3_SP0_c.t1, CP47_g21233_DN3_SP0_c.t1, CP6_g8604_DN1_SP0_c.t1, CP98_g41597_DN1_SP0_c.t1, CP5_g3430_DN1_SP0_c.t1, CP53_g22292_DN1_SP0_c.t1, CP3_g16558_DN3_SP0_c.t1, CP5_g2206_DN2_SP0_c.t1, CP13_g20693_DN2_SP0_c.t1, CP5_g2172_DN3_SP0_c.t1, CP30_g10047_DN2_SP0_c.t1, CP12_g31518_DN3_SP0_c.t1, CP8_g52462_DN1_SP0_c.t1, CP6_g8834_DN3_SP0_c.t1, CP2_g50599_DN2_SP0_c.t1, CP5_g2195_DN2_SP0_c.t1, CP13_g20401_DN2_SP0_c.t1, CP6_g9301_DN3_SP0_c.t1, CP13_g20788_DN2_SP0_c.t1, CP31_g46751_DN2_SP0_c.t1, CP25_g55852_DN1_SP0_c.t1, CP14_g23533_DN3_SP0_c.t1, CP14_g23215_DN1_SP0_c.t1, CP31_g46690_DN3_SP0_c.t1, CP17_g5112_DN2_SP0_c.t1, CP6_g8299_DN3_SP0_c.t1, CP13_g20402_DN3_SP0_c.t1, CP1_g38785_DN3_SP0_c.t1, CP12_g31428_DN3_SP0_c.t1, CP15_g34701_DN3_SP0_c.t1, CP16_g55448_DN1_SP0_c.t1, CP12_g31561_DN3_SP0_c.t1, CP22_g17082_DN2_SP0_c.t1, CP2_g49627_DN3_SP0_c.t1, CP5_g2181_DN1_SP0_c.t1, CP13_g20683_DN3_SP0_c.t1, CP16_g55627_DN3_SP0_c.t1, CP25_g55794_DN2_SP0_c.t1, CP5_g3238_DN1_SP0_c.t1, CP17_g5496_DN3_SP0_c.t1, CP2_g50449_DN3_SP0_c.t1, CP17_g5596_DN2_SP0_c.t1, CP14_g23436_DN1_SP0_c.t1, CP21_g11163_DN2_SP0_c.t1, CP18_g12000_DN1_SP0_c.t1, CP2_g50743_DN2_SP0_c.t1, CP17_g5983_DN2_SP0_c.t1, CP6_g8924_DN2_SP0_c.t1, CP23_g21572_DN1_SP0_c.t1, CP17_g5297_DN2_SP0_c.t1, CP6_g7636_DN2_SP0_c.t1, CP14_g23306_DN1_SP0_c.t1, CP14_g23437_DN2_SP0_c.t1, CP12_g31707_DN3_SP0_c.t1, CP12_g31562_DN3_SP0_c.t1, CP17_g5595_DN2_SP0_c.t1, CP17_g5495_DN1_SP0_c.t1, CP9_g28010_DN1_SP0_c.t1, CP31_g46691_DN1_SP0_c.t1, CP1_g39140_DN2_SP0_c.t1, CP3_g16124_DN3_SP0_c.t1, CP1_g38904_DN1_SP0_c.t1, CP23_g21573_DN1_SP0_c.t1, CP12_g31427_DN1_SP0_c.t1, CP24_g46950_DN2_SP0_c.t1, CP21_g11164_DN3_SP0_c.t1, CP53_g22291_DN3_SP0_c.t1, CP17_g5113_DN3_SP0_c.t1, CP13_g20400_DN2_SP0_c.t1, CP9_g27941_DN3_SP0_c.t1, CP12_g31563_DN2_SP0_c.t1, CP14_g23216_DN3_SP0_c.t1, CP4_g26168_DN3_SP0_c.t1, CP5_g3241_DN1_SP0_c.t1, CP61_g51970_DN1_SP0_c.t1, CP102_g10411_DN1_SP0_c.t1, CP6_g8923_DN1_SP0_c.t1, CP44_g20924_DN3_SP0_c.t1, CP5_g3239_DN2_SP0_c.t1, CP14_g23884_DN3_SP0_c.t1, CP1_g41098_DN3_SP0_c.t1, CP16_g55626_DN3_SP0_c.t1, CP6_g9300_DN3_SP0_c.t1, CP14_g22692_DN3_SP0_c.t1, CP1_g39991_DN2_SP0_c.t1, CP4_g26709_DN3_SP0_c.t1, CP9_g27630_DN3_SP0_c.t1, CP6_g8603_DN3_SP0_c.t1, CP6_g8921_DN2_SP0_c.t1, CP7_g44321_DN2_SP0_c.t1, CP53_g22321_DN1_SP0_c.t1, CP8_g53077_DN2_SP0_c.t1, CP24_g46949_DN1_SP0_c.t1, CP1_g41096_DN1_SP0_c.t1, CP34_g51562_DN2_SP0_c.t1, CP25_g55865_DN2_SP0_c.t1, CP15_g35112_DN3_SP0_c.t1, CP17_g5412_DN3_SP0_c.t1, CP2_g50379_DN3_SP0_c.t1, CP1_g40174_DN3_SP0_c.t1, CP44_g20923_DN3_SP0_c.t1, CP6_g8922_DN3_SP0_c.t1, CP25_g55864_DN3_SP0_c.t1, CP20_g3852_DN2_SP0_c.t1, CP23_g21578_DN3_SP0_c.t1, CP9_g27450_DN3_SP0_c.t1, CP18_g12027_DN1_SP0_c.t1, CP17_g5411_DN1_SP0_c.t1, CP13_g20495_DN3_SP0_c.t1, CP2_g50758_DN3_SP0_c.t1, CP3_g16523_DN3_SP0_c.t1, CP6_g9660_DN3_SP0_c.t1, CP98_g41598_DN3_SP0_c.t1, CP53_g22290_DN3_SP0_c.t1, CP102_g10410_DN2_SP0_c.t1, CP34_g51560_DN3_SP0_c.t1, CP103_g21016_DN3_SP0_c.t1, CP65_g4494_DN3_SP0_c.t1, CP1_g41248_DN3_SP0_c.t1, CP2_g50744_DN3_SP0_c.t1, CP14_g23307_DN2_SP0_c.t1, CP18_g12001_DN3_SP0_c.t1, CP9_g27467_DN3_SP0_c.t1, CP63_g12744_DN3_SP0_c.t1, CP14_g23665_DN3_SP0_c.t1, CP14_g23438_DN3_SP0_c.t1, CP148_g19022_DN3_SP0_c.t1, CP53_g22323_DN3_SP0_c.t1, CP12_g31519_DN3_SP0_c.t1, CP1_g38906_DN2_SP0_c.t1, CP2_g50457_DN1_SP0_c.t1, CP4_g26253_DN3_SP0_c.t1, CP17_g5296_DN3_SP0_c.t1, CP17_g5855_DN3_SP0_c.t1, CP6_g7634_DN2_SP0_c.t1, CP1_g40151_DN3_SP0_c.t1, CP28_g33946_DN3_SP0_c.t1, CP17_g5982_DN2_SP0_c.t1, CP4_g26449_DN3_SP0_c.t1, CP3_g15302_DN3_SP0_c.t1, CP31_g46692_DN3_SP0_c.t1, CP2_g49628_DN3_SP0_c.t1, CP8_g52461_DN3_SP0_c.t1, CP14_g23460_DN3_SP0_c.t1, CP7_g44312_DN3_SP0_c.t1, CP1_g38420_DN3_SP0_c.t1, CP6_g7776_DN3_SP0_c.t1, CP56_g20968_DN3_SP0_c.t1, CP12_g31174_DN3_SP0_c.t1, CP12_g31078_DN3_SP0_c.t1, CP15_g36069_DN3_SP0_c.t1, CP9_g28011_DN3_SP0_c.t1, CP31_g46752_DN3_SP0_c.t1, CP22_g17081_DN3_SP0_c.t1, CP17_g5494_DN3_SP0_c.t1, CP17_g5594_DN3_SP0_c.t1, CP1_g38838_DN2_SP0_c.t1, CP25_g55851_DN3_SP0_c.t1, CP7_g44313_DN1_SP0_c.t1, CP3_g16125_DN3_SP0_c.t1, CP5_g2173_DN3_SP0_c.t1, CP3_g16522_DN1_SP0_c.t1, CP29_g22006_DN3_SP0_c.t1, CP2_g50448_DN3_SP0_c.t1, CP30_g10046_DN3_SP0_c.t1, CP20_g3927_DN3_SP0_c.t1, CP6_g9299_DN2_SP0_c.t1, CP5_g2196_DN3_SP0_c.t1, CP6_g8835_DN3_SP0_c.t1, CP6_g9051_DN3_SP0_c.t1, CP17_g5114_DN3_SP0_c.t1, CP1_g39992_DN3_SP0_c.t1, CP2_g49594_DN3_SP0_c.t1, CP3_g16557_DN3_SP0_c.t1, CP5_g2207_DN3_SP0_c.t1, CP1_g38784_DN3_SP0_c.t1, CP2_g50600_DN3_SP0_c.t1, CP5_g2182_DN3_SP0_c.t1, CP12_g31226_DN3_SP0_c.t1, CP12_g31426_DN3_SP0_c.t1, CP13_g20684_DN3_SP0_c.t1, CP25_g55795_DN3_SP0_c.t1, CP17_g6260_DN3_SP0_c.t1, CP28_g34000_DN3_SP0_c.t1, CP1_g40282_DN3_SP0_c.t1, CP13_g20399_DN2_SP0_c.t1, CP12_g31564_DN1_SP0_c.t1, CP34_g51561_DN2_SP0_c.t1, CP9_g27944_DN3_SP0_c.t1, CP9_g27991_DN3_SP0_c.t1, CP13_g20694_DN3_SP0_c.t1, CP1_g41097_DN3_SP0_c.t1, CP53_g22289_DN2_SP0_c.t1, CP53_g22322_DN1_SP0_c.t1, CP65_g4495_DN2_SP0_c.t1, CP2_g50506_DN3_SP0_c.t1, CP47_g21235_DN3_SP0_c.t1, CP1_g41348_DN1_SP0_c.t1, CP3_g15052_DN3_SP0_c.t1, CP14_g22693_DN3_SP0_c.t1, CP6_g8602_DN3_SP0_c.t1, CP18_g12002_DN1_SP0_c.t1, CP12_g31565_DN1_SP0_c.t1, CP4_g26167_DN1_SP0_c.t1, CP1_g38907_DN1_SP0_c.t1, CP14_g23450_DN2_SP0_c.t1, CP9_g27992_DN1_SP0_c.t1, CP15_g35167_DN2_SP0_c.t1, CP8_g52460_DN2_SP0_c.t1, CP9_g27945_DN1_SP0_c.t1, CP17_g5295_DN1_SP0_c.t1, CP18_g12003_DN1_SP0_c.t1, CP14_g23883_DN1_SP0_c.t1, CP15_g34866_DN2_SP0_c.t1, CP56_g20967_DN2_SP0_c.t1, CP12_g31227_DN2_SP0_c.t1, CP6_g8601_DN2_SP0_c.t1, CP1_g41347_DN1_SP0_c.t1, CP6_g9661_DN1_SP0_c.t1, CP13_g20695_DN2_SP0_c.t1, CP25_g55850_DN1_SP0_c.t1, CP16_g55449_DN3_SP0_c.t1, CP219_g10340_DN3_SP0_c.t1, CP1_g40152_DN3_SP0_c.t1, CP1_g38419_DN3_SP0_c.t1, CP2_g49629_DN3_SP0_c.t1, CP1_g40281_DN2_SP0_c.t1, CP12_g31175_DN2_SP0_c.t1, CP17_g5981_DN2_SP0_c.t1, CP12_g31566_DN2_SP0_c.t1, CP15_g35230_DN3_SP0_c.t1, CP21_g11165_DN2_SP0_c.t1, CP4_g26254_DN2_SP0_c.t1, CP25_g55796_DN1_SP0_c.t1, CP13_g20398_DN1_SP0_c.t1, CP17_g5856_DN1_SP0_c.t1, CP6_g7632_DN3_SP0_c.t1, CP16_g55625_DN3_SP0_c.t1, CP18_g12549_DN3_SP0_c.t1, CP5_g3431_DN3_SP0_c.t1, CP1_g41249_DN1_SP0_c.t1, CP102_g10409_DN2_SP0_c.t1, CP14_g23630_DN1_SP0_c.t1, CP13_g20685_DN1_SP0_c.t1, CP148_g19023_DN1_SP0_c.t1, CP103_g21015_DN2_SP0_c.t1, CP98_g41599_DN2_SP0_c.t1, CP3_g16126_DN1_SP0_c.t1, CP14_g23220_DN3_SP0_c.t1	XP_020879791.1
OG0000029	CP27_g41814_DN2_SP0_c.t1, CP4_g26144_DN2_SP0_c.t1	XP_020869142.1, XP_020881896.1, XP_020874317.1, XP_020879925.1, XP_020871888.1
OG0000029	CP4_g26313_DN1_SP0_c.t1, CP6_g8507_DN1_SP0_c.t1, CP15_g35521_DN1_SP0_c.t1, CP3_g15880_DN1_SP0_c.t1	XP_020888389.1
OG0000029	CP15_g35523_DN1_SP0_c.t1, CP24_g47108_DN1_SP0_c.t1, CP4_g26314_DN1_SP0_c.t1, CP4_g26137_DN1_SP0_c.t1, CP18_g12498_DN1_SP0_c.t1	XP_020874443.1
OG0000030	CP11_g31940_DN3_SP0_c.t1	XP_002893415.1, XP_002890504.1, XP_002893432.1, XP_020866580.1
OG0000030	CP10_g43630_DN1_SP0_c.t1, CP2_g49394_DN2_SP0_c.t1	XP_020879678.1, XP_020881930.1, XP_020880910.1
OG0000031	CP3_g15426_DN2_SP0_c.t1, CP12_g30550_DN3_SP0_c.t1, CP14_g22799_DN1_SP0_c.t1	XP_020872075.1
OG0000031	CP15_g34657_DN1_SP0_c.t1, CP15_g34638_DN1_SP0_c.t1, CP15_g34584_DN1_SP0_c.t1, CP15_g34568_DN1_SP0_c.t1	XP_020870253.1
OG0000035	CP14_g23646_DN2_SP0_c.t1, CP14_g23679_DN2_SP0_c.t1, CP117_g56225_DN2_SP0_c.t1, CP103_g21003_DN2_SP0_c.t1, CP63_g12714_DN2_SP0_c.t1	XP_020883112.1, XP_020887195.1, XP_020871214.1, XP_020875318.1, XP_020870256.1, XP_020884941.1, XP_020875756.1, XP_020887746.1, XP_020877165.1
OG0000035	CP7_g44169_DN2_SP0_c.t1, CP4_g26175_DN2_SP0_c.t1	XP_020883599.1, XP_020884365.1, XP_020876202.1, XP_020876425.1
OG0000038	CP15_g35533_DN1_SP0_c.t1	XP_020876468.1
OG0000040	CP13_g20255_DN1_SP0_c.t1	XP_020884682.1, XP_020887780.1
OG0000042	CP8_g52167_DN3_SP0_c.t1, CP5_g3067_DN2_SP0_c.t1, CP37_g11368_DN3_SP0_c.t1	XP_020872945.1
OG0000042	CP26_g51211_DN3_SP0_c.t1	XP_020876174.1
OG0000043	CP1_g41085_DN2_SP0_c.t1	XP_020871723.1
OG0000044	CP13_g20691_DN1_SP0_c.t1	XP_020880050.1
OG0000046	CP15_g34716_DN3_SP0_c.t1	XP_020871374.1, XP_020877131.1
OG0000046	CP8_g52809_DN3_SP0_c.t1	XP_020872615.1, XP_020878672.1, XP_020882823.1, XP_020877149.1, XP_020879796.1, XP_020872313.1, XP_020883604.1, XP_020876127.1
OG0000048	CP4_g25547_DN2_SP0_c.t1	XP_002881223.2, XP_002879361.2
OG0000048	CP3_g14428_DN3_SP0_c.t1, CP12_g30253_DN2_SP0_c.t1, CP12_g30252_DN1_SP0_c.t1	XP_002894465.2
OG0000048	CP9_g29505_DN2_SP0_c.t1	XP_002886496.1, XP_002886498.2
OG0000049	CP1_g38898_DN1_SP0_c.t1	XP_020887816.1
OG0000050	CP3_g15240_DN2_SP0_c.t1, CP5_g3337_DN1_SP0_c.t1	XP_020880718.1, XP_002879393.2
OG0000051	CP4_g24481_DN3_SP0_c.t1	XP_020885498.1
OG0000051	CP9_g28198_DN3_SP0_c.t1, CP4_g24479_DN3_SP0_c.t1	XP_020883307.1
OG0000052	CP13_g19766_DN3_SP0_c.t1	XP_020882518.1, XP_020882260.1, XP_020881407.1, XP_020881410.1, XP_020881406.1, XP_002894621.2, XP_020881195.1, XP_020881409.1
OG0000052	CP3_g14092_DN3_SP0_c.t1	XP_020881215.1, XP_020881213.1
OG0000055	CP12_g30730_DN2_SP0_c.t1	XP_020889173.1
OG0000055	CP12_g30848_DN3_SP0_c.t1	XP_020886775.1, XP_020888382.1, XP_020888884.1
OG0000055	CP10_g42516_DN3_SP0_c.t1	XP_020883674.1
OG0000055	CP10_g43729_DN2_SP0_c.t1	XP_020886512.1
OG0000056	CP2_g49032_DN3_SP0_c.t1, CP2_g49030_DN3_SP0_c.t1	XP_020890625.1, XP_002888056.1
OG0000056	CP2_g49067_DN3_SP0_c.t1	XP_020891225.1, XP_002888053.1, XP_020891223.1
OG0000056	CP2_g49031_DN3_SP0_c.t1	XP_020880767.1
OG0000058	CP17_g5406_DN1_SP0_c.t1	XP_020868066.1
OG0000059	CP1_g38971_DN3_SP0_c.t1, CP20_g3949_DN2_SP0_c.t1	XP_020879890.1, XP_020878851.1, XP_020866756.1, XP_020881512.1, XP_020875242.1, XP_020886057.1, XP_020876759.1, XP_020874679.1, XP_020870695.1
OG0000059	CP22_g17654_DN3_SP0_c.t1, CP4_g26576_DN3_SP0_c.t1	XP_020875483.1, XP_020876486.1
OG0000062	CP24_g46981_DN1_SP0_c.t1, CP4_g26777_DN2_SP0_c.t1, CP18_g11589_DN2_SP0_c.t1, CP1_g40826_DN1_SP0_c.t1, CP7_g44165_DN3_SP0_c.t1, CP12_g31765_DN3_SP0_c.t1, CP6_g9071_DN2_SP0_c.t1	XP_020871212.1, XP_020876453.1
OG0000062	CP1_g38352_DN3_SP0_c.t1, CP6_g9070_DN1_SP0_c.t1	XP_020871528.1
OG0000062	CP1_g40964_DN3_SP0_c.t1	XP_020886023.1, XP_020874814.1, XP_020871169.1, XP_020878799.1
OG0000064	CP18_g12051_DN1_SP0_c.t1	XP_020865905.1, XP_020865795.1, XP_020869663.1, XP_002886749.1, XP_002886745.1, XP_002862361.1, XP_002886746.1, XP_002886752.2, XP_002886744.1, XP_020891241.1, XP_002886750.1, XP_002886748.1, XP_002862362.1, XP_002894696.1, XP_020891452.1, XP_002886747.1, XP_002862360.1, XP_002862386.1, XP_002863710.1, XP_002862438.1, XP_002862385.1, XP_002863711.1, XP_020879695.1, XP_002863799.1, XP_020885190.1, XP_002863708.1, XP_002863709.1, XP_002863706.1, XP_002863707.1, XP_002865487.1
OG0000065	CP5_g1666_DN1_SP0_c.t1	XP_002868795.2
OG0000065	CP5_g1580_DN2_SP0_c.t1	XP_020872917.1, XP_020872918.1
OG0000066	CP4_g25642_DN3_SP0_c.t1, CP2_g49425_DN3_SP0_c.t1	XP_002873454.1, XP_020867896.1, XP_002877046.2, XP_002894648.1, XP_020876762.1
OG0000067	CP17_g5644_DN3_SP0_c.t1, CP17_g5532_DN2_SP0_c.t1	XP_020891542.1, XP_020874420.1, XP_020879634.1, XP_020878809.1, XP_020889209.1, XP_020876559.1, XP_020886169.1, XP_020865924.1
OG0000068	CP12_g31237_DN3_SP0_c.t1	XP_020876030.1, XP_020876026.1, XP_020889396.1, XP_020889441.1
OG0000070	CP17_g5790_DN3_SP0_c.t1	XP_020867590.1, XP_002883942.1, XP_002875195.1, XP_002875194.1
OG0000070	CP7_g45746_DN3_SP0_c.t1	XP_020885789.1, XP_002890373.1, XP_002887052.2
OG0000072	CP2_g49697_DN3_SP0_c.t1	XP_020891624.1
OG0000073	CP18_g12305_DN2_SP0_c.t1	XP_020866212.1, XP_020881839.1
OG0000076	CP5_g77_DN1_SP0_c.t1	XP_020872718.1
OG0000076	CP4_g25364_DN3_SP0_c.t1	XP_020884728.1
OG0000076	CP8_g53270_DN3_SP0_c.t1, CP20_g3903_DN2_SP0_c.t1	XP_002886268.1
OG0000077	CP13_g20085_DN3_SP0_c.t1	XP_020884560.1
OG0000077	CP13_g20036_DN3_SP0_c.t1, CP13_g20034_DN3_SP0_c.t1	XP_020869035.1
OG0000077	CP2_g49683_DN2_SP0_c.t1	XP_020891276.1
OG0000077	CP13_g19516_DN3_SP0_c.t1	XP_020881582.1, XP_020881188.1
OG0000077	CP2_g49677_DN1_SP0_c.t1	XP_020890121.1
OG0000078	CP10_g42379_DN1_SP0_c.t1	XP_020887050.1
OG0000078	CP10_g42380_DN2_SP0_c.t1	XP_020887049.1
OG0000078	CP11_g32173_DN2_SP0_c.t1, CP11_g32163_DN2_SP0_c.t1	XP_020877805.1, XP_020877807.1
OG0000081	CP1_g40914_DN2_SP0_c.t1	XP_020879148.1, XP_020865942.1, XP_020889237.1, XP_002874062.1, XP_020882894.1
OG0000082	CP18_g12600_DN2_SP0_c.t1	XP_020881708.1, XP_020869010.1, XP_020883385.1
OG0000082	CP14_g22602_DN1_SP0_c.t1	XP_020880759.1
OG0000084	CP17_g5202_DN3_SP0_c.t1	XP_020874751.1
OG0000084	CP1_g40571_DN3_SP0_c.t1, CP3_g16299_DN1_SP0_c.t1, CP22_g17718_DN3_SP0_c.t1, CP15_g34661_DN2_SP0_c.t1	XP_020876480.1
OG0000086	CP29_g21947_DN3_SP0_c.t1	XP_002868577.1
OG0000089	CP2_g48308_DN3_SP8_c.t1	XP_020879374.1
OG0000089	CP2_g48035_DN3_SP7_c.t1	XP_020871804.1
OG0000089	CP3_g14713_DN3_SP4_c.t1	XP_020880680.1
OG0000089	CP4_g25793_DN3_SP8_c.t1	XP_020883550.1
OG0000089	CP11_g32707_DN3_SP8_c.t1	XP_002873559.1
OG0000089	CP13_g20168_DN3_SP8_c.t1	XP_002863588.1
OG0000089	CP6_g6768_DN3_SP8_c.t1	XP_020872103.1
OG0000089	CP4_g25265_DN3_SP6_c.t1	XP_002881356.1
OG0000089	CP9_g29223_DN3_SP8_c.t1	XP_020890671.1
OG0000090	CP12_g31526_DN2_SP0_c.t1, CP3_g16074_DN2_SP0_c.t1, CP23_g21807_DN1_SP0_c.t1, CP23_g21612_DN3_SP0_c.t1, CP13_g20624_DN2_SP0_c.t1	XP_020866042.1
OG0000090	CP50_g6562_DN1_SP0_c.t1, CP1_g39886_DN2_SP0_c.t1	XP_020868126.1
OG0000091	CP8_g52786_DN3_SP0_c.t1	XP_020881857.1, XP_020881860.1
OG0000095	CP16_g55159_DN2_SP0_c.t1	XP_002880754.1
OG0000095	CP16_g55090_DN3_SP0_c.t1, CP16_g55089_DN3_SP0_c.t1	XP_020883521.1, XP_020884655.1, XP_002878787.2
OG0000095	CP16_g55163_DN2_SP0_c.t1	XP_020885162.1
OG0000096	CP12_g30984_DN3_SP0_c.t1, CP12_g30986_DN3_SP0_c.t1, CP12_g30930_DN3_SP0_c.t1	XP_020866895.1, XP_002885709.2, XP_020888916.1, XP_002885705.1, XP_002885707.1
OG0000096	CP6_g7572_DN1_SP0_c.t1	XP_020888942.1
OG0000100	CP2_g49326_DN3_SP0_c.t1	XP_002886645.1
OG0000100	CP2_g48891_DN3_SP0_c.t1	XP_002887938.1, XP_020891283.1, XP_020891541.1, XP_020875192.1, XP_020890033.1, XP_020866259.1, XP_002886080.1, XP_020868270.1
OG0000101	CP22_g17341_DN3_SP0_c.t1	XP_020883425.1
OG0000102	CP5_g1424_DN3_SP0_c.t1	XP_002863972.2, XP_002874850.1
OG0000105	CP12_g31635_DN1_SP0_c.t1	XP_020875322.1, XP_020870827.1, XP_020886025.1, XP_020868736.1
OG0000111	CP6_g7513_DN2_SP0_c.t1, CP3_g14874_DN2_SP0_c.t1	XP_002874511.1, XP_002874510.1, XP_002862417.1, XP_002874973.1, XP_002874975.1, XP_002862418.1
OG0000111	CP5_g1915_DN1_SP0_c.t1, CP5_g1912_DN2_SP0_c.t1, CP5_g1908_DN2_SP0_c.t1, CP5_g1919_DN2_SP0_c.t1, CP5_g1886_DN2_SP0_c.t1, CP5_g1935_DN3_SP0_c.t1, CP94_g6400_DN3_SP0_c.t1, CP5_g1897_DN2_SP0_c.t1, CP5_g1895_DN2_SP0_c.t1, CP5_g1905_DN3_SP0_c.t1	XP_002875482.1
OG0000114	CP1_g39948_DN1_SP0_c.t1, CP1_g40795_DN2_SP0_c.t1, CP9_g27816_DN2_SP0_c.t1, CP17_g5831_DN3_SP0_c.t1, CP3_g15173_DN3_SP0_c.t1, CP13_g20753_DN3_SP0_c.t1, CP22_g17669_DN1_SP0_c.t1, CP3_g14115_DN3_SP0_c.t1, CP74_g56236_DN3_SP0_c.t1, CP95_g12691_DN3_SP0_c.t1, CP3_g14116_DN1_SP0_c.t1, CP22_g17668_DN1_SP0_c.t1, CP8_g52209_DN3_SP0_c.t1, CP18_g12092_DN3_SP0_c.t1, CP12_g30982_DN3_SP0_c.t1, CP7_g44473_DN2_SP0_c.t1, CP8_g52212_DN3_SP0_c.t1, CP17_g6028_DN3_SP0_c.t1, CP20_g4238_DN3_SP0_c.t1, CP7_g44474_DN2_SP0_c.t1, CP9_g27817_DN2_SP0_c.t1	XP_020885335.1, XP_020881794.1, XP_020882022.1
OG0000115	CP29_g22137_DN2_SP0_c.t1	XP_020889357.1
