Orthogroup	Conringia_planisiliqua	Eutrema_salsugineum
OG0000003	CP8_g52216_DN3_SP0_c.t1, CP15_g35250_DN2_SP0_c.t1	XP_024013347.1
OG0000003	CP21_g11065_DN2_SP0_c.t1	XP_024004985.1
OG0000003	CP24_g47341_DN1_SP0_c.t1, CP18_g12232_DN3_SP0_c.t1	XP_024004030.1
OG0000004	CP18_g11724_DN3_SP0_c.t1, CP17_g5889_DN1_SP0_c.t1, CP1_g39400_DN3_SP0_c.t1, CP1_g39844_DN3_SP0_c.t1	XP_024007302.1
OG0000007	CP8_g52162_DN2_SP0_c.t1	XP_024009204.1, XP_024014376.1, XP_024006867.1, XP_024007289.1, XP_024011309.1
OG0000008	CP15_g34920_DN2_SP0_c.t1	XP_024004796.1, XP_024004794.1, XP_024014490.1
OG0000008	CP27_g41699_DN2_SP0_c.t1	XP_024015912.1
OG0000008	CP8_g52854_DN2_SP0_c.t1	XP_024004048.1
OG0000008	CP14_g23480_DN3_SP0_c.t1	XP_024013171.1, XP_024010288.1, XP_024007970.1
OG0000009	CP29_g21990_DN1_SP0_c.t1	XP_024009307.1
OG0000009	CP3_g16492_DN1_SP0_c.t1	XP_024013918.1, XP_024007904.1
OG0000009	CP4_g26233_DN2_SP0_c.t1, CP3_g15237_DN1_SP0_c.t1	XP_024004860.1, XP_024010394.1
OG0000009	CP8_g52568_DN1_SP0_c.t1	XP_006404467.1, XP_024014738.1, XP_024010667.1, XP_024015832.1, XP_024006416.1
OG0000011	CP18_g11548_DN1_SP0_c.t1	XP_024003642.1, XP_024003759.1, XP_024004876.1, XP_024016548.1
OG0000011	CP2_g50477_DN1_SP0_c.t1, CP26_g51198_DN2_SP0_c.t1, CP6_g8727_DN1_SP0_c.t1, CP12_g31720_DN3_SP0_c.t1, CP3_g16438_DN3_SP0_c.t1, CP18_g11618_DN2_SP0_c.t1	XP_024007764.1
OG0000011	CP20_g3893_DN1_SP0_c.t1, CP1_g39554_DN1_SP0_c.t1	XP_024004159.1, XP_024015297.1
OG0000011	CP3_g16065_DN2_SP0_c.t1, CP3_g16755_DN2_SP0_c.t1, CP1_g39552_DN2_SP0_c.t1	XP_024004160.1
OG0000011	CP15_g35899_DN2_SP0_c.t1	XP_024013228.1
OG0000011	CP8_g52577_DN3_SP0_c.t1, CP14_g23599_DN3_SP0_c.t1	XP_024016750.1
OG0000015	CP12_g31767_DN3_SP0_c.t1	XP_024006143.1
OG0000015	CP3_g15512_DN1_SP0_c.t1	XP_024014590.1, XP_024006904.1
OG0000015	CP26_g51311_DN3_SP0_c.t1, CP4_g26055_DN1_SP0_c.t1, CP15_g34881_DN2_SP0_c.t1, CP7_g44360_DN2_SP0_c.t1, CP1_g38946_DN3_SP0_c.t1, CP15_g34909_DN3_SP0_c.t1	XP_024013064.1
OG0000016	CP24_g47422_DN2_SP0_c.t1	XP_024011334.1, XP_024013809.1
OG0000020	CP17_g5482_DN2_SP0_c.t1, CP27_g41901_DN3_SP0_c.t1	XP_024013981.1, XP_024007902.1, XP_024010205.1, XP_024010440.1, XP_024014746.1
OG0000020	CP28_g33976_DN2_SP0_c.t1	XP_024014745.1
OG0000021	CP7_g44363_DN3_SP0_c.t1, CP14_g23481_DN3_SP0_c.t1	XP_024013384.1, XP_024008232.1
OG0000022	CP2_g49169_DN2_SP0_c.t1	XP_006391829.2
OG0000023	CP35_g52033_DN3_SP0_c.t1	XP_024013410.1, XP_024013199.1, XP_024013230.1, XP_024004018.1, XP_024010417.1, XP_024010406.1, XP_024014356.1, XP_024014465.1, XP_024009473.1, XP_024004033.1, XP_024005031.1, XP_024016113.1, XP_024007959.1, XP_024005009.1, XP_024007961.1, XP_024010549.1, XP_024014546.1, XP_024015958.1, XP_024006560.1, XP_024009593.1, XP_024011315.1, XP_024016362.1, XP_024013416.1, XP_024015863.1, XP_024015862.1, XP_024013159.1, XP_024010078.1, XP_024016374.1, XP_024009936.1, XP_024006513.1, XP_024016167.1
OG0000024	CP2_g48829_DN3_SP0_c.t1	XP_006393242.1, XP_006393240.1, XP_006393292.2, XP_006393291.1, XP_006393290.1, XP_006393293.1, XP_006393224.2
OG0000024	CP7_g44485_DN2_SP0_c.t1	XP_006415371.1, XP_024007955.1, XP_024010028.1, XP_006415204.1, XP_024009297.1, XP_006415203.1, XP_006415205.2, XP_024007920.1
OG0000024	CP6_g7457_DN2_SP0_c.t1, CP1_g39929_DN2_SP0_c.t1	XP_024006555.1
OG0000024	CP3_g13494_DN2_SP0_c.t1	XP_006402766.1
OG0000029	CP27_g41814_DN2_SP0_c.t1, CP4_g26144_DN2_SP0_c.t1	XP_024015838.1, XP_024010450.1, XP_024014056.1, XP_024014403.1, XP_024004857.1, XP_024016540.1, XP_024013162.1, XP_024013053.1, XP_024009819.1, XP_024010241.1, XP_024014715.1
OG0000029	CP1_g39690_DN3_SP0_c.t1	XP_024013054.1, XP_024013055.1, XP_024004809.1
OG0000029	CP4_g26313_DN1_SP0_c.t1, CP6_g8507_DN1_SP0_c.t1, CP15_g35521_DN1_SP0_c.t1, CP3_g15880_DN1_SP0_c.t1	XP_024004858.1
OG0000029	CP2_g49681_DN3_SP0_c.t1, CP1_g38511_DN1_SP0_c.t1, CP24_g47109_DN1_SP0_c.t1	XP_024016120.1
OG0000029	CP4_g26295_DN2_SP0_c.t1	XP_024007219.1, XP_024004754.1, XP_024004102.1
OG0000029	CP15_g35523_DN1_SP0_c.t1, CP24_g47108_DN1_SP0_c.t1	XP_024013922.1
OG0000029	CP4_g26314_DN1_SP0_c.t1	XP_024013800.1
OG0000030	CP11_g31940_DN3_SP0_c.t1	XP_024008003.1
OG0000030	CP10_g43630_DN1_SP0_c.t1, CP2_g49394_DN2_SP0_c.t1	XP_024016186.1
OG0000031	CP12_g30554_DN2_SP0_c.t1, CP2_g49958_DN1_SP0_c.t1	XP_024010455.1, XP_024016318.1, XP_024006123.1, XP_024006531.1, XP_024015844.1, XP_024010635.1, XP_024009411.1, XP_024011373.1, XP_024016250.1, XP_024010150.1
OG0000031	CP21_g10560_DN2_SP0_c.t1, CP16_g55602_DN1_SP0_c.t1	XP_024013201.1
OG0000031	CP34_g51549_DN2_SP0_c.t1	XP_024007913.1
OG0000031	CP3_g15426_DN2_SP0_c.t1, CP12_g30550_DN3_SP0_c.t1, CP14_g22799_DN1_SP0_c.t1	XP_024013167.1, XP_024016245.1, XP_024012481.1
OG0000031	CP2_g49348_DN2_SP0_c.t1, CP26_g51323_DN1_SP0_c.t1	XP_024009588.1, XP_024010453.1, XP_024006101.1, XP_024007284.1
OG0000031	CP15_g34657_DN1_SP0_c.t1, CP15_g34638_DN1_SP0_c.t1, CP15_g34584_DN1_SP0_c.t1, CP15_g34568_DN1_SP0_c.t1	XP_024016129.1
OG0000032	CP64_g21089_DN1_SP0_c.t1, CP5_g3357_DN2_SP0_c.t1, CP18_g12571_DN2_SP0_c.t1, CP14_g23529_DN3_SP0_c.t1	XP_024009309.1
OG0000032	CP14_g22577_DN2_SP0_c.t1, CP25_g55995_DN1_SP0_c.t1, CP5_g3358_DN2_SP0_c.t1	XP_024007954.1
OG0000032	CP64_g21088_DN3_SP0_c.t1	XP_024004841.1, XP_024010402.1
OG0000035	CP14_g23646_DN2_SP0_c.t1, CP14_g23679_DN2_SP0_c.t1, CP117_g56225_DN2_SP0_c.t1, CP103_g21003_DN2_SP0_c.t1, CP63_g12714_DN2_SP0_c.t1	XP_024010425.1, XP_024007977.1
OG0000035	CP12_g31766_DN2_SP0_c.t1, CP1_g40960_DN1_SP0_c.t1	XP_024007976.1, XP_024016141.1
OG0000035	CP1_g40830_DN2_SP0_c.t1, CP4_g26781_DN3_SP0_c.t1, CP24_g46983_DN2_SP0_c.t1, CP3_g16137_DN3_SP0_c.t1, CP26_g51196_DN1_SP0_c.t1, CP1_g40829_DN2_SP0_c.t1, CP4_g26782_DN2_SP0_c.t1, CP26_g51195_DN2_SP0_c.t1	XP_024004785.1, XP_024005785.1, XP_024004877.1, XP_024016694.1, XP_024016229.1, XP_024011093.1, XP_024010243.1, XP_024006613.1, XP_006409421.2, XP_024009313.1, XP_024006556.1, XP_024015936.1
OG0000038	CP14_g22980_DN1_SP0_c.t1	XP_024013061.1
OG0000038	CP15_g35533_DN1_SP0_c.t1	XP_024006448.1
OG0000039	CP24_g47137_DN2_SP0_c.t1	XP_024006661.1
OG0000040	CP11_g31841_DN1_SP0_c.t1	XP_024009299.1
OG0000040	CP15_g36146_DN1_SP0_c.t1	XP_024004988.1
OG0000041	CP1_g39386_DN1_SP0_c.t1	XP_024004893.1
OG0000041	CP14_g23587_DN3_SP0_c.t1, CP14_g22620_DN1_SP0_c.t1, CP1_g39917_DN2_SP0_c.t1, CP2_g50284_DN2_SP0_c.t1, CP14_g22619_DN2_SP0_c.t1, CP34_g51569_DN2_SP0_c.t1, CP1_g39385_DN3_SP0_c.t1, CP1_g41374_DN2_SP0_c.t1	XP_024011200.1
OG0000042	CP8_g52167_DN3_SP0_c.t1, CP5_g3067_DN2_SP0_c.t1, CP37_g11368_DN3_SP0_c.t1	XP_024009659.1
OG0000042	CP6_g9916_DN1_SP0_c.t1	XP_024009944.1
OG0000043	CP15_g35835_DN2_SP0_c.t1	XP_024014240.1
OG0000046	CP15_g34716_DN3_SP0_c.t1	XP_024015030.1
OG0000048	CP9_g28258_DN1_SP0_c.t1	XP_006391498.1
OG0000048	CP4_g25547_DN2_SP0_c.t1	XP_006410338.1
OG0000048	CP12_g30253_DN2_SP0_c.t1, CP12_g30252_DN1_SP0_c.t1	XP_006406533.1
OG0000048	CP9_g29505_DN2_SP0_c.t1	XP_006407903.2
OG0000049	CP24_g47339_DN2_SP0_c.t1, CP3_g15633_DN2_SP0_c.t1	XP_024006537.1
OG0000050	CP5_g3335_DN2_SP0_c.t1, CP3_g15241_DN1_SP0_c.t1, CP21_g11182_DN2_SP0_c.t1	XP_024004962.1, XP_024006598.1
OG0000051	CP4_g24481_DN3_SP0_c.t1	XP_006411503.1
OG0000051	CP1_g36582_DN3_SP0_c.t1, CP2_g49248_DN2_SP0_c.t1	XP_006392148.1, XP_024013725.1, XP_024013699.1
OG0000051	CP4_g24480_DN3_SP0_c.t1	XP_024004231.1
OG0000051	CP4_g24479_DN3_SP0_c.t1	XP_024004184.1
OG0000052	CP13_g19766_DN3_SP0_c.t1	XP_024007553.1
OG0000054	CP29_g22024_DN2_SP0_c.t1	XP_024013594.1, XP_024009364.1
OG0000055	CP12_g30848_DN3_SP0_c.t1	XP_024012536.1
OG0000055	CP10_g43729_DN2_SP0_c.t1	XP_024016535.1
OG0000056	CP2_g49071_DN3_SP0_c.t1	XP_006391935.1
OG0000056	CP11_g31796_DN3_SP0_c.t1	XP_024016867.1
OG0000056	CP2_g49078_DN3_SP0_c.t1	XP_006391921.1, XP_006391923.1, XP_006391945.1, XP_024015433.1, XP_006391937.1, XP_006390854.1
OG0000058	CP17_g5406_DN1_SP0_c.t1	XP_024016128.1, XP_024013600.1
OG0000058	CP13_g20701_DN3_SP0_c.t1	XP_024015982.1, XP_024013356.1, XP_024006629.1, XP_024016554.1, XP_024011207.1, XP_024014435.1, XP_024009368.1, XP_024014237.1, XP_024016380.1, XP_024011251.1, XP_024003653.1, XP_024009607.1, XP_024016240.1, XP_024016319.1, XP_024013206.1, XP_024011314.1, XP_024011360.1, XP_024010368.1, XP_024012295.1, XP_024009971.1, XP_024006803.1, XP_024006792.1, XP_024011140.1, XP_024013156.1
OG0000059	CP22_g17654_DN3_SP0_c.t1	XP_024010626.1, XP_024006533.1, XP_024013675.1, XP_024009487.1
OG0000059	CP4_g26576_DN3_SP0_c.t1	XP_024006590.1, XP_024012732.1, XP_024004843.1, XP_024004842.1, XP_024004831.1, XP_024004845.1, XP_024014239.1, XP_024013302.1, XP_024010380.1, XP_024013968.1, XP_024014568.1
OG0000059	CP9_g27482_DN3_SP0_c.t1	XP_024016529.1, XP_024007942.1, XP_024010231.1, XP_024005865.1
OG0000062	CP1_g38352_DN3_SP0_c.t1, CP6_g9070_DN1_SP0_c.t1, CP18_g12167_DN3_SP0_c.t1	XP_024013032.1
OG0000062	CP20_g3940_DN3_SP0_c.t1	XP_024004127.1
OG0000062	CP12_g31035_DN3_SP0_c.t1, CP36_g50953_DN2_SP0_c.t1, CP20_g4061_DN2_SP0_c.t1, CP27_g41852_DN3_SP0_c.t1, CP3_g15593_DN3_SP0_c.t1, CP5_g2505_DN3_SP0_c.t1, CP20_g4062_DN3_SP0_c.t1	XP_024004129.1, XP_024013428.1, XP_024010363.1, XP_024010298.1, XP_024010297.1, XP_024008041.1, XP_024010226.1, XP_024010620.1, XP_024016291.1, XP_024011215.1, XP_024013963.1, XP_024009617.1, XP_024010321.1, XP_024009248.1
OG0000062	CP1_g40964_DN3_SP0_c.t1	XP_024011371.1, XP_024013346.1, XP_024010366.1, XP_024011367.1, XP_024010144.1, XP_024010551.1, XP_024009344.1, XP_024010927.1, XP_024007910.1
OG0000063	CP3_g15363_DN1_SP0_c.t1	XP_024009242.1
OG0000064	CP18_g12051_DN1_SP0_c.t1	XP_006408758.1, XP_006408757.1, XP_024015891.1, XP_006408777.1, XP_006408781.1, XP_006408759.1, XP_006408773.1, XP_006408774.1, XP_006408775.1, XP_006408779.2, XP_024016075.1, XP_006408769.1, XP_006408766.1, XP_006408780.1, XP_006408763.1, XP_006408768.1, XP_006408778.1, XP_006408765.1, XP_006408761.1, XP_006408760.1
OG0000065	CP5_g1580_DN2_SP0_c.t1	XP_024014419.1
OG0000066	CP4_g25642_DN3_SP0_c.t1, CP2_g49425_DN3_SP0_c.t1	XP_006396911.1, XP_024012002.1, XP_006394194.1, XP_006394044.1
OG0000067	CP17_g5644_DN3_SP0_c.t1, CP17_g5532_DN2_SP0_c.t1	XP_024010589.1, XP_024016354.1, XP_024016226.1, XP_024013907.1, XP_024014292.1, XP_024011136.1
OG0000068	CP12_g31237_DN3_SP0_c.t1	XP_024014925.1
OG0000070	CP17_g5790_DN3_SP0_c.t1	XP_006395735.1
OG0000070	CP7_g45746_DN3_SP0_c.t1	XP_006416426.1
OG0000071	CP3_g16619_DN1_SP0_c.t1, CP3_g16333_DN3_SP0_c.t1, CP6_g9846_DN2_SP0_c.t1, CP24_g47456_DN2_SP0_c.t1, CP3_g16462_DN1_SP0_c.t1, CP115_g10367_DN3_SP0_c.t1, CP23_g21696_DN3_SP0_c.t1, CP23_g21502_DN2_SP0_c.t1, CP23_g21555_DN3_SP0_c.t1, CP6_g9555_DN1_SP0_c.t1, CP1_g40606_DN2_SP0_c.t1, CP4_g26744_DN1_SP0_c.t1, CP3_g16695_DN3_SP0_c.t1, CP7_g44268_DN3_SP0_c.t1, CP1_g39648_DN2_SP0_c.t1, CP6_g8451_DN1_SP0_c.t1, CP1_g40521_DN1_SP0_c.t1, CP18_g11519_DN1_SP0_c.t1, CP23_g21357_DN2_SP0_c.t1, CP5_g3440_DN1_SP0_c.t1, CP15_g34513_DN2_SP0_c.t1, CP26_g51317_DN2_SP0_c.t1, CP28_g33833_DN1_SP0_c.t1, CP6_g8728_DN2_SP0_c.t1, CP4_g26876_DN1_SP0_c.t1, CP4_g26910_DN1_SP0_c.t1, CP14_g23736_DN1_SP0_c.t1, CP24_g46927_DN1_SP0_c.t1, CP1_g40605_DN1_SP0_c.t1, CP17_g6001_DN3_SP0_c.t1, CP27_g41707_DN1_SP0_c.t1, CP9_g27712_DN2_SP0_c.t1, CP23_g21843_DN2_SP0_c.t1, CP2_g50822_DN2_SP0_c.t1, CP24_g46923_DN2_SP0_c.t1, CP12_g31512_DN1_SP0_c.t1, CP1_g40873_DN3_SP0_c.t1, CP2_g49946_DN1_SP0_c.t1, CP15_g35221_DN2_SP0_c.t1, CP15_g34512_DN1_SP0_c.t1, CP26_g51155_DN2_SP0_c.t1, CP30_g10324_DN3_SP0_c.t1, CP9_g27711_DN1_SP0_c.t1, CP34_g51576_DN1_SP0_c.t1, CP17_g6347_DN1_SP0_c.t1, CP23_g21393_DN1_SP0_c.t1, CP27_g41708_DN1_SP0_c.t1, CP13_g20649_DN2_SP0_c.t1, CP17_g6051_DN2_SP0_c.t1, CP3_g16414_DN1_SP0_c.t1, CP15_g36154_DN2_SP0_c.t1, CP18_g11409_DN1_SP0_c.t1, CP54_g29791_DN2_SP0_c.t1, CP2_g50145_DN1_SP0_c.t1, CP6_g8932_DN3_SP0_c.t1, CP28_g33832_DN1_SP0_c.t1, CP15_g35840_DN1_SP0_c.t1, CP3_g16318_DN3_SP0_c.t1, CP2_g50220_DN2_SP0_c.t1, CP173_g41476_DN1_SP0_c.t1, CP3_g15436_DN1_SP0_c.t1, CP23_g21355_DN2_SP0_c.t1, CP1_g40044_DN1_SP0_c.t1, CP15_g34726_DN2_SP0_c.t1, CP6_g9484_DN3_SP0_c.t1, CP18_g11594_DN2_SP0_c.t1, CP28_g33994_DN1_SP0_c.t1, CP1_g40514_DN1_SP0_c.t1, CP1_g40977_DN1_SP0_c.t1, CP3_g16372_DN1_SP0_c.t1, CP4_g26948_DN1_SP0_c.t1, CP6_g8456_DN2_SP0_c.t1, CP17_g6236_DN2_SP0_c.t1, CP18_g11550_DN1_SP0_c.t1, CP14_g23735_DN2_SP0_c.t1, CP14_g23737_DN1_SP0_c.t1, CP6_g8872_DN2_SP0_c.t1, CP42_g27290_DN1_SP0_c.t1, CP1_g40666_DN2_SP0_c.t1, CP36_g50992_DN1_SP0_c.t1, CP31_g46786_DN1_SP0_c.t1, CP30_g10255_DN2_SP0_c.t1, CP2_g49765_DN2_SP0_c.t1, CP3_g16676_DN1_SP0_c.t1, CP17_g6346_DN1_SP0_c.t1, CP6_g9363_DN2_SP0_c.t1, CP33_g3572_DN1_SP0_c.t1, CP23_g21392_DN1_SP0_c.t1, CP8_g52307_DN1_SP0_c.t1, CP1_g39649_DN1_SP0_c.t1, CP26_g51154_DN2_SP0_c.t1, CP3_g16743_DN1_SP0_c.t1, CP2_g50219_DN1_SP0_c.t1, CP1_g40522_DN3_SP0_c.t1, CP76_g27105_DN2_SP0_c.t1, CP76_g27139_DN2_SP0_c.t1, CP14_g22971_DN2_SP0_c.t1, CP17_g6229_DN2_SP0_c.t1, CP18_g11710_DN1_SP0_c.t1, CP17_g6200_DN1_SP0_c.t1, CP35_g52041_DN1_SP0_c.t1, CP3_g16147_DN1_SP0_c.t1, CP14_g23560_DN1_SP0_c.t1, CP23_g21362_DN2_SP0_c.t1, CP29_g22023_DN2_SP0_c.t1, CP1_g40045_DN1_SP0_c.t1, CP9_g27602_DN1_SP0_c.t1, CP1_g39302_DN3_SP0_c.t1, CP3_g16309_DN3_SP0_c.t1, CP2_g50628_DN3_SP0_c.t1, CP1_g39393_DN2_SP0_c.t1, CP4_g26566_DN2_SP0_c.t1, CP28_g33789_DN3_SP0_c.t1, CP6_g9762_DN2_SP0_c.t1, CP18_g11595_DN2_SP0_c.t1, CP8_g52493_DN1_SP0_c.t1, CP3_g15514_DN2_SP0_c.t1, CP14_g23290_DN3_SP0_c.t1, CP15_g35072_DN1_SP0_c.t1, CP18_g11551_DN2_SP0_c.t1, CP7_g44105_DN2_SP0_c.t1, CP18_g12096_DN1_SP0_c.t1, CP6_g8880_DN3_SP0_c.t1, CP59_g6671_DN2_SP0_c.t1, CP33_g3690_DN2_SP0_c.t1, CP17_g6078_DN2_SP0_c.t1, CP28_g33906_DN3_SP0_c.t1, CP1_g38708_DN2_SP0_c.t1, CP17_g4943_DN2_SP0_c.t1, CP15_g34966_DN2_SP0_c.t1, CP17_g5792_DN2_SP0_c.t1, CP2_g50559_DN2_SP0_c.t1, CP27_g41904_DN3_SP0_c.t1, CP23_g21444_DN1_SP0_c.t1, CP3_g16691_DN2_SP0_c.t1, CP24_g46925_DN2_SP0_c.t1, CP8_g52481_DN1_SP0_c.t1, CP25_g56045_DN1_SP0_c.t1, CP1_g41197_DN1_SP0_c.t1, CP3_g16298_DN3_SP0_c.t1, CP12_g31246_DN1_SP0_c.t1, CP36_g50991_DN1_SP0_c.t1, CP17_g6170_DN1_SP0_c.t1, CP7_g44203_DN3_SP0_c.t1, CP42_g27289_DN1_SP0_c.t1, CP58_g46888_DN2_SP0_c.t1, CP115_g10368_DN2_SP0_c.t1, CP23_g21778_DN3_SP0_c.t1, CP23_g21695_DN2_SP0_c.t1, CP23_g21554_DN2_SP0_c.t1, CP8_g52401_DN1_SP0_c.t1, CP16_g55548_DN2_SP0_c.t1, CP12_g31381_DN1_SP0_c.t1, CP14_g23719_DN1_SP0_c.t1, CP12_g31502_DN3_SP0_c.t1, CP3_g16685_DN2_SP0_c.t1, CP35_g52067_DN2_SP0_c.t1, CP2_g50175_DN1_SP0_c.t1, CP2_g50396_DN3_SP0_c.t1, CP23_g21501_DN1_SP0_c.t1, CP4_g26743_DN3_SP0_c.t1, CP15_g35021_DN1_SP0_c.t1, CP18_g11709_DN2_SP0_c.t1, CP1_g40515_DN2_SP0_c.t1, CP3_g16620_DN1_SP0_c.t1, CP123_g34273_DN2_SP0_c.t1, CP2_g49947_DN1_SP0_c.t1, CP17_g6138_DN1_SP0_c.t1, CP17_g6088_DN2_SP0_c.t1, CP17_g6186_DN1_SP0_c.t1, CP17_g6211_DN3_SP0_c.t1, CP17_g6185_DN1_SP0_c.t1, CP24_g47238_DN2_SP0_c.t1, CP24_g47455_DN2_SP0_c.t1, CP24_g46926_DN1_SP0_c.t1, CP3_g16722_DN1_SP0_c.t1, CP5_g3439_DN1_SP0_c.t1, CP1_g40717_DN2_SP0_c.t1, CP15_g34454_DN2_SP0_c.t1, CP21_g11154_DN2_SP0_c.t1, CP24_g47303_DN2_SP0_c.t1, CP27_g41721_DN1_SP0_c.t1, CP15_g34789_DN1_SP0_c.t1, CP31_g46785_DN1_SP0_c.t1, CP17_g6169_DN2_SP0_c.t1, CP76_g27104_DN3_SP0_c.t1, CP23_g21842_DN2_SP0_c.t1, CP76_g27138_DN2_SP0_c.t1, CP23_g21658_DN2_SP0_c.t1, CP23_g21727_DN3_SP0_c.t1, CP115_g10352_DN2_SP0_c.t1, CP139_g3464_DN2_SP0_c.t1, CP3_g16297_DN3_SP0_c.t1, CP27_g41720_DN1_SP0_c.t1, CP15_g35222_DN2_SP0_c.t1, CP23_g21356_DN1_SP0_c.t1, CP27_g41717_DN2_SP0_c.t1, CP14_g23788_DN1_SP0_c.t1, CP1_g41263_DN2_SP0_c.t1, CP1_g40399_DN2_SP0_c.t1, CP17_g6199_DN1_SP0_c.t1, CP6_g9761_DN3_SP0_c.t1, CP1_g40976_DN2_SP0_c.t1, CP15_g34514_DN3_SP0_c.t1, CP1_g40947_DN2_SP0_c.t1, CP6_g8723_DN1_SP0_c.t1, CP6_g8704_DN1_SP0_c.t1, CP3_g15941_DN2_SP0_c.t1, CP69_g34229_DN2_SP0_c.t1, CP3_g16319_DN1_SP0_c.t1, CP28_g33905_DN2_SP0_c.t1, CP2_g50558_DN2_SP0_c.t1, CP3_g15933_DN1_SP0_c.t1, CP1_g39456_DN2_SP0_c.t1, CP3_g16677_DN1_SP0_c.t1, CP173_g41480_DN1_SP0_c.t1, CP2_g50118_DN3_SP0_c.t1, CP2_g50144_DN1_SP0_c.t1, CP7_g44201_DN2_SP0_c.t1, CP9_g27709_DN1_SP0_c.t1, CP23_g21441_DN1_SP0_c.t1, CP8_g52402_DN1_SP0_c.t1, CP31_g46784_DN2_SP0_c.t1, CP25_g55762_DN3_SP0_c.t1, CP2_g50629_DN2_SP0_c.t1, CP8_g52263_DN2_SP0_c.t1, CP8_g52264_DN1_SP0_c.t1, CP6_g9554_DN1_SP0_c.t1, CP27_g41706_DN1_SP0_c.t1, CP17_g6115_DN1_SP0_c.t1, CP26_g51153_DN2_SP0_c.t1, CP12_g30951_DN3_SP0_c.t1, CP17_g6302_DN3_SP0_c.t1, CP1_g39447_DN2_SP0_c.t1, CP36_g50993_DN3_SP0_c.t1, CP16_g55549_DN3_SP0_c.t1, CP18_g11756_DN2_SP0_c.t1, CP1_g40842_DN3_SP0_c.t1, CP2_g50218_DN2_SP0_c.t1, CP17_g6228_DN3_SP0_c.t1, CP24_g47239_DN2_SP0_c.t1	XP_024011528.1
OG0000072	CP9_g27806_DN2_SP0_c.t1, CP6_g8758_DN1_SP0_c.t1, CP6_g9757_DN2_SP0_c.t1	XP_024009686.1
OG0000072	CP24_g47158_DN2_SP0_c.t1	XP_024013305.1, XP_024009725.1, XP_024013046.1
OG0000072	CP2_g49697_DN3_SP0_c.t1	XP_024014710.1
OG0000073	CP15_g34957_DN1_SP0_c.t1	XP_024009376.1
OG0000073	CP6_g9731_DN1_SP0_c.t1	XP_024006136.1
OG0000073	CP6_g9730_DN1_SP0_c.t1	XP_024009769.1, XP_024016097.1
OG0000075	CP8_g52237_DN3_SP0_c.t1	XP_024009720.1, XP_024009721.1
OG0000076	CP5_g77_DN1_SP0_c.t1	XP_006411683.1
OG0000076	CP4_g25364_DN3_SP0_c.t1	XP_006410525.1
OG0000076	CP4_g25752_DN2_SP0_c.t1	XP_006410067.1, XP_024004059.1
