Orthogroup	Conringia_planisiliqua	Rorippa_islandica
OG0000000	CP6_g8147_DN1_SP0_c.t1, CP9_g27797_DN2_SP0_c.t1, CP28_g34012_DN1_SP0_c.t1, CP25_g55831_DN3_SP0_c.t1, CP9_g28197_DN3_SP0_c.t1, CP6_g7625_DN1_SP0_c.t1, CP4_g26146_DN1_SP0_c.t1, CP84_g51830_DN2_SP0_c.t1, CP1_g40809_DN2_SP0_c.t1, CP6_g8492_DN3_SP0_c.t1, CP15_g35528_DN1_SP0_c.t1, CP5_g2122_DN2_SP0_c.t1, CP12_g30577_DN2_SP0_c.t1, CP6_g9323_DN3_SP0_c.t1, CP18_g12295_DN2_SP0_c.t1, CP5_g2382_DN2_SP0_c.t1, CP24_g46940_DN2_SP0_c.t1, CP36_g50963_DN2_SP0_c.t1	Roisl.0020s0162.1.p, Roisl.0213s0727.1.p
OG0000002	CP1_g40005_DN2_SP0_c.t1	Roisl.0006s0264.1.p
OG0000002	CP3_g16174_DN2_SP0_c.t1	Roisl.0012s0025.1.p
OG0000002	CP4_g26879_DN2_SP0_c.t1	Roisl.0038s0052.1.p, Roisl.0184s0176.1.p
OG0000002	CP3_g16153_DN2_SP0_c.t1	Roisl.0213s0015.1.p, Roisl.0008s0085.1.p
OG0000003	CP5_g2027_DN3_SP0_c.t1, CP2_g50573_DN1_SP0_c.t1, CP36_g50971_DN3_SP0_c.t1, CP5_g3096_DN1_SP0_c.t1	Roisl.0058s0055.1.p
OG0000003	CP10_g44057_DN2_SP0_c.t1, CP12_g31265_DN3_SP0_c.t1, CP15_g36147_DN2_SP0_c.t1, CP3_g15821_DN1_SP0_c.t1, CP5_g1517_DN2_SP0_c.t1, CP8_g52677_DN2_SP0_c.t1, CP2_g50567_DN2_SP0_c.t1	Roisl.0075s0224.1.p, Roisl.0011s0302.1.p, Roisl.0210s0002.1.p, Roisl.0053s0016.1.p
OG0000003	CP9_g27952_DN2_SP0_c.t1	Roisl.0083s0012.1.p, Roisl.0213s0877.1.p
OG0000003	CP15_g34583_DN2_SP0_c.t1, CP15_g34567_DN1_SP0_c.t1, CP15_g34636_DN1_SP0_c.t1, CP15_g34623_DN2_SP0_c.t1	Roisl.0058s0052.1.p
OG0000003	CP3_g16075_DN1_SP0_c.t1	Roisl.0189s0151.1.p, Roisl.0214s0907.1.p
OG0000003	CP6_g8581_DN1_SP0_c.t1	Roisl.0047s0023.1.p, Roisl.0213s0678.1.p, Roisl.0005s0145.1.p, Roisl.0214s0184.1.p, Roisl.0188s0028.1.p, Roisl.0004s0406.1.p, Roisl.0053s0433.1.p, Roisl.0037s0060.1.p, Roisl.0184s0058.1.p
OG0000003	CP26_g51160_DN1_SP0_c.t1	Roisl.0053s0045.1.p
OG0000003	CP14_g22797_DN2_SP0_c.t1	Roisl.0046s0266.1.p, Roisl.0013s0148.1.p, Roisl.0184s0125.1.p, Roisl.0191s0324.1.p, Roisl.0184s0019.1.p, Roisl.0041s0045.1.p, Roisl.0209s0112.1.p, Roisl.0111s0003.1.p
OG0000003	CP3_g14977_DN3_SP0_c.t1	Roisl.0213s0710.1.p, Roisl.0213s0711.1.p, Roisl.0014s0059.1.p
OG0000003	CP21_g10913_DN3_SP0_c.t1, CP15_g34654_DN1_SP0_c.t1, CP15_g34596_DN2_SP0_c.t1	Roisl.0213s0758.1.p
OG0000003	CP15_g34739_DN2_SP0_c.t1, CP15_g34597_DN1_SP0_c.t1, CP15_g34655_DN1_SP0_c.t1, CP3_g14978_DN3_SP0_c.t1, CP3_g15708_DN2_SP0_c.t1	Roisl.0015s0133.1.p, Roisl.0017s0491.1.p, Roisl.0179s0077.1.p, Roisl.0058s0001.1.p
OG0000003	CP29_g22141_DN2_SP0_c.t1	Roisl.0061s0013.1.p, Roisl.0066s0222.1.p, Roisl.0023s0114.1.p, Roisl.0214s0241.1.p
OG0000003	CP1_g39498_DN2_SP0_c.t1	Roisl.0038s0064.1.p, Roisl.0210s2225.1.p
OG0000003	CP8_g52216_DN3_SP0_c.t1, CP15_g35250_DN2_SP0_c.t1	Roisl.0198s0065.1.p
OG0000004	CP18_g11724_DN3_SP0_c.t1, CP17_g5889_DN1_SP0_c.t1, CP1_g39400_DN3_SP0_c.t1, CP1_g39844_DN3_SP0_c.t1	Roisl.0022s0436.1.p
OG0000005	CP12_g30974_DN2_SP0_c.t1	Roisl.0046s0518.1.p
OG0000008	CP27_g41699_DN2_SP0_c.t1	Roisl.0082s0661.1.p
OG0000008	CP8_g52854_DN2_SP0_c.t1	Roisl.0036s0059.1.p
OG0000008	CP14_g23480_DN3_SP0_c.t1	Roisl.0072s0014.1.p
OG0000008	CP5_g2806_DN2_SP0_c.t1	Roisl.0066s0428.1.p, Roisl.0066s0426.1.p, Roisl.0008s0018.1.p
OG0000008	CP7_g44274_DN3_SP0_c.t1	Roisl.0208s0049.1.p, Roisl.0065s0019.1.p, Roisl.0209s0203.1.p
OG0000009	CP4_g26233_DN2_SP0_c.t1, CP3_g15237_DN1_SP0_c.t1	Roisl.0008s0348.1.p
OG0000011	CP9_g27503_DN1_SP0_c.t1, CP14_g23601_DN2_SP0_c.t1	Roisl.0008s0052.1.p
OG0000011	CP14_g23710_DN2_SP0_c.t1	Roisl.0201s0003.1.p
OG0000011	CP20_g3893_DN1_SP0_c.t1, CP1_g39554_DN1_SP0_c.t1	Roisl.0019s0018.1.p
OG0000015	CP12_g31767_DN3_SP0_c.t1	Roisl.0214s0222.1.p, Roisl.0209s0283.1.p
OG0000015	CP2_g50255_DN1_SP0_c.t1	Roisl.0006s0132.1.p
OG0000015	CP7_g44209_DN2_SP0_c.t1	Roisl.0053s0047.1.p
OG0000015	CP12_g31541_DN2_SP0_c.t1	Roisl.0032s0105.1.p
OG0000016	CP14_g23708_DN3_SP0_c.t1	Roisl.0188s0139.1.p, Roisl.0014s0105.1.p, Roisl.0022s0022.1.p, Roisl.0201s0019.1.p, Roisl.0184s0048.1.p
OG0000016	CP9_g27907_DN2_SP0_c.t1	Roisl.0041s0040.1.p, Roisl.0014s0101.1.p
OG0000016	CP24_g47422_DN2_SP0_c.t1	Roisl.0020s0190.1.p, Roisl.0015s0130.1.p, Roisl.0213s0002.1.p
OG0000020	CP17_g5482_DN2_SP0_c.t1, CP27_g41901_DN3_SP0_c.t1	Roisl.0179s0050.1.p, Roisl.0188s0045.1.p
OG0000020	CP35_g52005_DN3_SP0_c.t1, CP1_g40651_DN3_SP0_c.t1	Roisl.0004s0008.1.p, Roisl.0188s0102.1.p, Roisl.0011s0407.1.p, Roisl.0184s0238.1.p, Roisl.0214s0108.1.p, Roisl.0062s0029.1.p, Roisl.0025s0013.1.p, Roisl.0188s0101.1.p, Roisl.0022s0062.1.p, Roisl.0214s0107.1.p, Roisl.0010s0023.1.p, Roisl.0011s0406.1.p, Roisl.0010s0021.1.p, Roisl.0214s0786.1.p, Roisl.0204s0002.1.p, Roisl.0005s0155.1.p, Roisl.0214s0099.1.p, Roisl.0028s0692.1.p, Roisl.0213s0860.1.p, Roisl.0210s0466.1.p, Roisl.0007s0026.1.p, Roisl.0020s0173.1.p, Roisl.0028s0007.1.p, Roisl.0184s0237.1.p, Roisl.0046s1265.1.p, Roisl.0210s2047.1.p, Roisl.0208s0011.1.p, Roisl.0056s0045.1.p, Roisl.0213s0006.1.p, Roisl.0214s0304.1.p, Roisl.0053s0189.1.p, Roisl.0027s0142.1.p
OG0000021	CP7_g44363_DN3_SP0_c.t1, CP14_g23481_DN3_SP0_c.t1	Roisl.0082s0017.1.p, Roisl.0179s0097.1.p, Roisl.0198s0008.1.p, Roisl.0023s0095.1.p, Roisl.0046s0797.1.p, Roisl.0014s0138.1.p, Roisl.0213s0355.1.p, Roisl.0006s0361.1.p, Roisl.0046s0769.1.p, Roisl.0066s0388.1.p, Roisl.0032s0086.1.p, Roisl.0005s0191.1.p, Roisl.0214s0300.1.p, Roisl.0072s0013.1.p, Roisl.0185s0094.1.p, Roisl.0188s0063.1.p, Roisl.0011s0031.1.p, Roisl.0191s0373.1.p, Roisl.0014s0139.1.p, Roisl.0066s0257.1.p
OG0000022	CP2_g49169_DN2_SP0_c.t1	Roisl.0028s0598.1.p
OG0000024	CP2_g48829_DN3_SP0_c.t1	Roisl.0015s0178.1.p
OG0000024	CP3_g13494_DN2_SP0_c.t1	Roisl.0026s0117.1.p, Roisl.0026s0135.1.p
OG0000026	CP12_g31706_DN3_SP0_c.t1, CP27_g41746_DN2_SP0_c.t1, CP15_g35764_DN3_SP0_c.t1, CP14_g23308_DN2_SP0_c.t1, CP13_g20783_DN2_SP0_c.t1, CP6_g7635_DN2_SP0_c.t1, CP21_g11026_DN3_SP0_c.t1, CP18_g12028_DN2_SP0_c.t1, CP2_g50380_DN1_SP0_c.t1, CP2_g49544_DN1_SP0_c.t1, CP13_g20787_DN2_SP0_c.t1, CP6_g9659_DN1_SP0_c.t1, CP1_g41239_DN2_SP0_c.t1, CP47_g21234_DN3_SP0_c.t1, CP13_g20815_DN3_SP0_c.t1, CP2_g49593_DN1_SP0_c.t1, CP12_g31225_DN3_SP0_c.t1, CP47_g21233_DN3_SP0_c.t1, CP6_g8604_DN1_SP0_c.t1, CP98_g41597_DN1_SP0_c.t1, CP5_g3430_DN1_SP0_c.t1, CP53_g22292_DN1_SP0_c.t1, CP3_g16558_DN3_SP0_c.t1, CP5_g2206_DN2_SP0_c.t1, CP13_g20693_DN2_SP0_c.t1, CP5_g2172_DN3_SP0_c.t1, CP30_g10047_DN2_SP0_c.t1, CP12_g31518_DN3_SP0_c.t1, CP8_g52462_DN1_SP0_c.t1, CP6_g8834_DN3_SP0_c.t1, CP2_g50599_DN2_SP0_c.t1, CP5_g2195_DN2_SP0_c.t1, CP13_g20401_DN2_SP0_c.t1, CP6_g9301_DN3_SP0_c.t1, CP13_g20788_DN2_SP0_c.t1, CP31_g46751_DN2_SP0_c.t1, CP25_g55852_DN1_SP0_c.t1, CP14_g23533_DN3_SP0_c.t1, CP14_g23215_DN1_SP0_c.t1, CP31_g46690_DN3_SP0_c.t1, CP17_g5112_DN2_SP0_c.t1, CP6_g8299_DN3_SP0_c.t1, CP13_g20402_DN3_SP0_c.t1, CP1_g38785_DN3_SP0_c.t1, CP12_g31428_DN3_SP0_c.t1, CP15_g34701_DN3_SP0_c.t1, CP16_g55448_DN1_SP0_c.t1, CP12_g31561_DN3_SP0_c.t1, CP22_g17082_DN2_SP0_c.t1, CP2_g49627_DN3_SP0_c.t1, CP5_g2181_DN1_SP0_c.t1, CP13_g20683_DN3_SP0_c.t1, CP16_g55627_DN3_SP0_c.t1, CP25_g55794_DN2_SP0_c.t1, CP5_g3238_DN1_SP0_c.t1, CP17_g5496_DN3_SP0_c.t1, CP2_g50449_DN3_SP0_c.t1, CP17_g5596_DN2_SP0_c.t1, CP14_g23436_DN1_SP0_c.t1, CP21_g11163_DN2_SP0_c.t1, CP18_g12000_DN1_SP0_c.t1, CP2_g50743_DN2_SP0_c.t1, CP17_g5983_DN2_SP0_c.t1, CP6_g8924_DN2_SP0_c.t1, CP23_g21572_DN1_SP0_c.t1, CP17_g5297_DN2_SP0_c.t1, CP6_g7636_DN2_SP0_c.t1, CP14_g23306_DN1_SP0_c.t1, CP14_g23437_DN2_SP0_c.t1, CP12_g31707_DN3_SP0_c.t1, CP12_g31562_DN3_SP0_c.t1, CP17_g5595_DN2_SP0_c.t1, CP17_g5495_DN1_SP0_c.t1, CP9_g28010_DN1_SP0_c.t1, CP31_g46691_DN1_SP0_c.t1, CP1_g39140_DN2_SP0_c.t1, CP3_g16124_DN3_SP0_c.t1, CP1_g38904_DN1_SP0_c.t1, CP23_g21573_DN1_SP0_c.t1, CP12_g31427_DN1_SP0_c.t1, CP24_g46950_DN2_SP0_c.t1, CP21_g11164_DN3_SP0_c.t1, CP53_g22291_DN3_SP0_c.t1, CP17_g5113_DN3_SP0_c.t1, CP13_g20400_DN2_SP0_c.t1, CP9_g27941_DN3_SP0_c.t1, CP12_g31563_DN2_SP0_c.t1, CP14_g23216_DN3_SP0_c.t1, CP4_g26168_DN3_SP0_c.t1, CP5_g3241_DN1_SP0_c.t1, CP61_g51970_DN1_SP0_c.t1, CP102_g10411_DN1_SP0_c.t1, CP6_g8923_DN1_SP0_c.t1, CP44_g20924_DN3_SP0_c.t1, CP5_g3239_DN2_SP0_c.t1, CP14_g23884_DN3_SP0_c.t1, CP1_g41098_DN3_SP0_c.t1, CP16_g55626_DN3_SP0_c.t1, CP6_g9300_DN3_SP0_c.t1, CP14_g22692_DN3_SP0_c.t1, CP1_g39991_DN2_SP0_c.t1, CP4_g26709_DN3_SP0_c.t1, CP9_g27630_DN3_SP0_c.t1, CP6_g8603_DN3_SP0_c.t1, CP6_g8921_DN2_SP0_c.t1, CP7_g44321_DN2_SP0_c.t1, CP53_g22321_DN1_SP0_c.t1, CP8_g53077_DN2_SP0_c.t1, CP24_g46949_DN1_SP0_c.t1, CP1_g41096_DN1_SP0_c.t1, CP34_g51562_DN2_SP0_c.t1, CP25_g55865_DN2_SP0_c.t1, CP15_g35112_DN3_SP0_c.t1, CP17_g5412_DN3_SP0_c.t1, CP2_g50379_DN3_SP0_c.t1, CP1_g40174_DN3_SP0_c.t1, CP44_g20923_DN3_SP0_c.t1, CP6_g8922_DN3_SP0_c.t1, CP25_g55864_DN3_SP0_c.t1, CP20_g3852_DN2_SP0_c.t1, CP23_g21578_DN3_SP0_c.t1, CP9_g27450_DN3_SP0_c.t1, CP18_g12027_DN1_SP0_c.t1, CP17_g5411_DN1_SP0_c.t1, CP13_g20495_DN3_SP0_c.t1, CP2_g50758_DN3_SP0_c.t1, CP3_g16523_DN3_SP0_c.t1, CP6_g9660_DN3_SP0_c.t1, CP98_g41598_DN3_SP0_c.t1, CP53_g22290_DN3_SP0_c.t1, CP102_g10410_DN2_SP0_c.t1, CP34_g51560_DN3_SP0_c.t1, CP103_g21016_DN3_SP0_c.t1, CP65_g4494_DN3_SP0_c.t1, CP1_g41248_DN3_SP0_c.t1, CP2_g50744_DN3_SP0_c.t1, CP14_g23307_DN2_SP0_c.t1, CP18_g12001_DN3_SP0_c.t1, CP9_g27467_DN3_SP0_c.t1, CP63_g12744_DN3_SP0_c.t1, CP14_g23665_DN3_SP0_c.t1, CP14_g23438_DN3_SP0_c.t1, CP148_g19022_DN3_SP0_c.t1, CP53_g22323_DN3_SP0_c.t1, CP12_g31519_DN3_SP0_c.t1, CP1_g38906_DN2_SP0_c.t1, CP2_g50457_DN1_SP0_c.t1, CP4_g26253_DN3_SP0_c.t1, CP17_g5296_DN3_SP0_c.t1, CP17_g5855_DN3_SP0_c.t1, CP6_g7634_DN2_SP0_c.t1, CP1_g40151_DN3_SP0_c.t1, CP28_g33946_DN3_SP0_c.t1, CP17_g5982_DN2_SP0_c.t1, CP4_g26449_DN3_SP0_c.t1, CP3_g15302_DN3_SP0_c.t1, CP31_g46692_DN3_SP0_c.t1, CP2_g49628_DN3_SP0_c.t1, CP8_g52461_DN3_SP0_c.t1, CP14_g23460_DN3_SP0_c.t1, CP7_g44312_DN3_SP0_c.t1, CP1_g38420_DN3_SP0_c.t1, CP6_g7776_DN3_SP0_c.t1, CP56_g20968_DN3_SP0_c.t1, CP12_g31174_DN3_SP0_c.t1, CP12_g31078_DN3_SP0_c.t1, CP15_g36069_DN3_SP0_c.t1, CP9_g28011_DN3_SP0_c.t1, CP31_g46752_DN3_SP0_c.t1, CP22_g17081_DN3_SP0_c.t1, CP17_g5494_DN3_SP0_c.t1, CP17_g5594_DN3_SP0_c.t1, CP1_g38838_DN2_SP0_c.t1, CP25_g55851_DN3_SP0_c.t1, CP7_g44313_DN1_SP0_c.t1, CP3_g16125_DN3_SP0_c.t1, CP5_g2173_DN3_SP0_c.t1, CP3_g16522_DN1_SP0_c.t1, CP29_g22006_DN3_SP0_c.t1, CP2_g50448_DN3_SP0_c.t1, CP30_g10046_DN3_SP0_c.t1, CP20_g3927_DN3_SP0_c.t1, CP6_g9299_DN2_SP0_c.t1, CP5_g2196_DN3_SP0_c.t1, CP6_g8835_DN3_SP0_c.t1, CP6_g9051_DN3_SP0_c.t1, CP17_g5114_DN3_SP0_c.t1, CP1_g39992_DN3_SP0_c.t1, CP2_g49594_DN3_SP0_c.t1, CP3_g16557_DN3_SP0_c.t1, CP5_g2207_DN3_SP0_c.t1, CP1_g38784_DN3_SP0_c.t1, CP2_g50600_DN3_SP0_c.t1, CP5_g2182_DN3_SP0_c.t1, CP12_g31226_DN3_SP0_c.t1, CP12_g31426_DN3_SP0_c.t1, CP13_g20684_DN3_SP0_c.t1, CP25_g55795_DN3_SP0_c.t1, CP17_g6260_DN3_SP0_c.t1, CP28_g34000_DN3_SP0_c.t1, CP1_g40282_DN3_SP0_c.t1, CP13_g20399_DN2_SP0_c.t1, CP12_g31564_DN1_SP0_c.t1, CP34_g51561_DN2_SP0_c.t1, CP9_g27944_DN3_SP0_c.t1, CP9_g27991_DN3_SP0_c.t1, CP13_g20694_DN3_SP0_c.t1, CP1_g41097_DN3_SP0_c.t1, CP53_g22289_DN2_SP0_c.t1, CP53_g22322_DN1_SP0_c.t1, CP65_g4495_DN2_SP0_c.t1, CP2_g50506_DN3_SP0_c.t1, CP47_g21235_DN3_SP0_c.t1, CP1_g41348_DN1_SP0_c.t1, CP3_g15052_DN3_SP0_c.t1, CP14_g22693_DN3_SP0_c.t1, CP6_g8602_DN3_SP0_c.t1, CP18_g12002_DN1_SP0_c.t1, CP12_g31565_DN1_SP0_c.t1, CP4_g26167_DN1_SP0_c.t1, CP1_g38907_DN1_SP0_c.t1, CP14_g23450_DN2_SP0_c.t1, CP9_g27992_DN1_SP0_c.t1, CP15_g35167_DN2_SP0_c.t1, CP8_g52460_DN2_SP0_c.t1, CP9_g27945_DN1_SP0_c.t1, CP17_g5295_DN1_SP0_c.t1, CP18_g12003_DN1_SP0_c.t1, CP14_g23883_DN1_SP0_c.t1, CP15_g34866_DN2_SP0_c.t1, CP56_g20967_DN2_SP0_c.t1, CP12_g31227_DN2_SP0_c.t1, CP6_g8601_DN2_SP0_c.t1, CP1_g41347_DN1_SP0_c.t1, CP6_g9661_DN1_SP0_c.t1, CP13_g20695_DN2_SP0_c.t1, CP25_g55850_DN1_SP0_c.t1, CP16_g55449_DN3_SP0_c.t1, CP219_g10340_DN3_SP0_c.t1, CP1_g40152_DN3_SP0_c.t1, CP1_g38419_DN3_SP0_c.t1, CP2_g49629_DN3_SP0_c.t1, CP1_g40281_DN2_SP0_c.t1, CP12_g31175_DN2_SP0_c.t1, CP17_g5981_DN2_SP0_c.t1, CP12_g31566_DN2_SP0_c.t1, CP15_g35230_DN3_SP0_c.t1, CP21_g11165_DN2_SP0_c.t1, CP4_g26254_DN2_SP0_c.t1, CP25_g55796_DN1_SP0_c.t1, CP13_g20398_DN1_SP0_c.t1, CP17_g5856_DN1_SP0_c.t1, CP6_g7632_DN3_SP0_c.t1, CP16_g55625_DN3_SP0_c.t1, CP18_g12549_DN3_SP0_c.t1, CP5_g3431_DN3_SP0_c.t1, CP1_g41249_DN1_SP0_c.t1, CP102_g10409_DN2_SP0_c.t1, CP14_g23630_DN1_SP0_c.t1, CP13_g20685_DN1_SP0_c.t1, CP148_g19023_DN1_SP0_c.t1, CP103_g21015_DN2_SP0_c.t1, CP98_g41599_DN2_SP0_c.t1, CP3_g16126_DN1_SP0_c.t1, CP14_g23220_DN3_SP0_c.t1	Roisl.0213s0871.1.p
OG0000027	CP16_g55470_DN3_SP0_c.t1	Roisl.0008s0080.1.p
OG0000029	CP27_g41814_DN2_SP0_c.t1, CP4_g26144_DN2_SP0_c.t1	Roisl.0208s0029.1.p
OG0000029	CP4_g26313_DN1_SP0_c.t1, CP6_g8507_DN1_SP0_c.t1, CP15_g35521_DN1_SP0_c.t1, CP3_g15880_DN1_SP0_c.t1	Roisl.0046s0705.1.p
OG0000029	CP17_g5929_DN1_SP0_c.t1	Roisl.0082s0611.1.p
OG0000029	CP15_g35523_DN1_SP0_c.t1, CP24_g47108_DN1_SP0_c.t1	Roisl.0210s0592.1.p, Roisl.0046s0704.1.p
OG0000030	CP11_g31940_DN3_SP0_c.t1	Roisl.0056s0019.1.p, Roisl.0046s0733.1.p, Roisl.0213s0186.1.p, Roisl.0053s0027.1.p, Roisl.0060s0006.1.p
OG0000030	CP10_g43630_DN1_SP0_c.t1, CP2_g49394_DN2_SP0_c.t1	Roisl.0046s0887.1.p
OG0000030	CP10_g43326_DN2_SP0_c.t1	Roisl.0074s0641.1.p
OG0000031	CP12_g30554_DN2_SP0_c.t1, CP2_g49958_DN1_SP0_c.t1	Roisl.0204s0033.1.p, Roisl.0027s0121.1.p, Roisl.0048s0016.1.p, Roisl.0011s0486.1.p, Roisl.0056s0034.1.p, Roisl.0106s0001.1.p, Roisl.0055s0036.1.p, Roisl.0006s0260.1.p, Roisl.0189s0047.1.p, Roisl.0047s0054.1.p, Roisl.0189s0150.1.p, Roisl.0209s0447.1.p
OG0000031	CP21_g10560_DN2_SP0_c.t1, CP16_g55602_DN1_SP0_c.t1	Roisl.0184s0068.1.p, Roisl.0049s0004.1.p, Roisl.0062s0017.1.p, Roisl.0025s0030.1.p, Roisl.0009s0259.1.p, Roisl.0214s0052.1.p
OG0000031	CP34_g51549_DN2_SP0_c.t1, CP14_g22976_DN1_SP0_c.t1, CP3_g15426_DN2_SP0_c.t1, CP12_g30550_DN3_SP0_c.t1, CP14_g22799_DN1_SP0_c.t1	Roisl.0020s0186.1.p
OG0000031	CP3_g14979_DN3_SP0_c.t1	Roisl.0210s2075.1.p, Roisl.0213s0679.1.p, Roisl.0209s0419.1.p, Roisl.0082s0631.1.p, Roisl.0014s0099.1.p, Roisl.0056s0037.1.p
OG0000032	CP3_g16163_DN2_SP0_c.t1, CP56_g20987_DN1_SP0_c.t1, CP25_g55997_DN1_SP0_c.t1, CP9_g27772_DN1_SP0_c.t1, CP27_g41695_DN1_SP0_c.t1, CP44_g20906_DN3_SP0_c.t1, CP8_g52855_DN2_SP0_c.t1, CP64_g21090_DN2_SP0_c.t1	Roisl.0021s0539.1.p
OG0000032	CP14_g23530_DN1_SP0_c.t1	Roisl.0184s0186.1.p
OG0000035	CP14_g23646_DN2_SP0_c.t1, CP14_g23679_DN2_SP0_c.t1, CP117_g56225_DN2_SP0_c.t1, CP103_g21003_DN2_SP0_c.t1, CP63_g12714_DN2_SP0_c.t1	Roisl.0213s0218.1.p
OG0000035	CP1_g40960_DN1_SP0_c.t1	Roisl.0038s0018.1.p
OG0000035	CP4_g26190_DN3_SP0_c.t1	Roisl.0214s0147.1.p
OG0000038	CP6_g7770_DN1_SP0_c.t1, CP28_g33935_DN3_SP0_c.t1	Roisl.0046s1474.1.p, Roisl.0055s0039.1.p
OG0000038	CP15_g35533_DN1_SP0_c.t1	Roisl.0024s0539.1.p
OG0000040	CP15_g36146_DN1_SP0_c.t1	Roisl.0209s0055.1.p
OG0000041	CP7_g44255_DN1_SP0_c.t1, CP14_g23587_DN3_SP0_c.t1, CP14_g22620_DN1_SP0_c.t1, CP1_g39917_DN2_SP0_c.t1, CP2_g50284_DN2_SP0_c.t1, CP14_g22619_DN2_SP0_c.t1, CP34_g51569_DN2_SP0_c.t1, CP1_g39385_DN3_SP0_c.t1, CP1_g41374_DN2_SP0_c.t1	Roisl.0046s0022.1.p
OG0000042	CP8_g52167_DN3_SP0_c.t1, CP5_g3067_DN2_SP0_c.t1, CP37_g11368_DN3_SP0_c.t1	Roisl.0204s0126.1.p, Roisl.0012s0194.1.p, Roisl.0032s0094.1.p, Roisl.0009s0193.1.p, Roisl.0025s0036.1.p, Roisl.0022s0501.1.p
OG0000042	CP6_g9833_DN1_SP0_c.t1	Roisl.0214s0122.1.p
OG0000042	CP26_g51211_DN3_SP0_c.t1	Roisl.0035s0107.1.p, Roisl.0012s0035.1.p
OG0000042	CP6_g9916_DN1_SP0_c.t1	Roisl.0025s0035.1.p, Roisl.0048s0004.1.p
OG0000043	CP15_g35835_DN2_SP0_c.t1	Roisl.0082s0570.1.p, Roisl.0066s0301.1.p
OG0000043	CP1_g41085_DN2_SP0_c.t1	Roisl.0080s0178.1.p
OG0000044	CP13_g19861_DN2_SP0_c.t1	Roisl.0005s0167.1.p
OG0000046	CP15_g34716_DN3_SP0_c.t1	Roisl.0200s0033.1.p, Roisl.0006s0046.1.p, Roisl.0082s0471.1.p, Roisl.0213s0356.1.p, Roisl.0209s0778.1.p, Roisl.0210s2175.1.p, Roisl.0029s0020.1.p, Roisl.0082s0470.1.p, Roisl.0189s0032.1.p, Roisl.0028s0924.1.p, Roisl.0184s0183.1.p, Roisl.0202s0007.1.p, Roisl.0200s0032.1.p, Roisl.0184s0227.1.p, Roisl.0029s0021.1.p, Roisl.0210s2176.1.p, Roisl.0213s0357.1.p, Roisl.0209s0777.1.p, Roisl.0189s0033.1.p
OG0000046	CP8_g52809_DN3_SP0_c.t1	Roisl.0005s0079.1.p, Roisl.0056s0010.1.p, Roisl.0208s0028.1.p, Roisl.0008s0152.1.p, Roisl.0045s0045.1.p, Roisl.0062s0016.1.p, Roisl.0198s0056.1.p, Roisl.0209s0245.1.p, Roisl.0005s0329.1.p, Roisl.0015s0173.1.p
OG0000048	CP9_g28258_DN1_SP0_c.t1, CP4_g25547_DN2_SP0_c.t1	Roisl.0028s0624.1.p, Roisl.0211s0012.1.p
OG0000048	CP12_g30253_DN2_SP0_c.t1, CP12_g30252_DN1_SP0_c.t1	Roisl.0006s0337.1.p
OG0000048	CP4_g25641_DN3_SP0_c.t1, CP4_g25622_DN2_SP0_c.t1, CP13_g20135_DN3_SP0_c.t1	Roisl.0017s0510.1.p
OG0000048	CP9_g29505_DN2_SP0_c.t1	Roisl.0028s0615.1.p
OG0000050	CP9_g27575_DN2_SP0_c.t1, CP1_g38613_DN1_SP0_c.t1, CP3_g15240_DN2_SP0_c.t1, CP5_g3337_DN1_SP0_c.t1, CP21_g11184_DN1_SP0_c.t1, CP5_g3336_DN1_SP0_c.t1	Roisl.0008s0345.1.p, Roisl.0025s0047.1.p
OG0000050	CP1_g41329_DN2_SP0_c.t1	Roisl.0198s0058.1.p
OG0000050	CP5_g3335_DN2_SP0_c.t1, CP3_g15241_DN1_SP0_c.t1, CP21_g11182_DN2_SP0_c.t1	Roisl.0020s0012.1.p, Roisl.0214s0245.1.p
OG0000051	CP1_g36582_DN3_SP0_c.t1	Roisl.0210s2097.1.p
