Orthogroup	Conringia_planisiliqua	Brassica_rapa
OG0000011	CP15_g35899_DN2_SP0_c.t1	XP_033131097.1, XP_033133861.1, XP_018512770.1, XP_033128536.1
OG0000015	CP7_g44211_DN2_SP0_c.t1	XP_033146964.1
OG0000015	CP1_g39589_DN1_SP0_c.t1, CP6_g9040_DN3_SP0_c.t1, CP14_g23836_DN3_SP0_c.t1, CP16_g55483_DN2_SP0_c.t1, CP27_g41927_DN1_SP0_c.t1	XP_009113103.2, XP_033138269.1, XP_033136397.1, XP_033137014.1
OG0000015	CP9_g27744_DN1_SP0_c.t1	XP_033139829.1, XP_033146229.1
OG0000015	CP6_g9737_DN2_SP0_c.t1	XP_018509062.1, XP_009118914.1
OG0000015	CP31_g46711_DN2_SP0_c.t1, CP7_g44381_DN2_SP0_c.t1	XP_009145186.1
OG0000015	CP1_g39588_DN3_SP0_c.t1	XP_009105628.1
OG0000015	CP12_g31541_DN2_SP0_c.t1	XP_009107707.1
OG0000016	CP24_g47422_DN2_SP0_c.t1	XP_033139447.1, XP_033139193.1, XP_033134304.1, XP_033139069.1, XP_033139019.1
OG0000018	CP3_g16393_DN1_SP0_c.t1	XP_033136031.1, XP_033147168.1, XP_033137222.1, XP_033132105.1
OG0000020	CP17_g5482_DN2_SP0_c.t1, CP27_g41901_DN3_SP0_c.t1	XP_033128598.1, XP_033128603.1, XP_033141176.1, XP_033131231.1, XP_033144078.1, XP_033148833.1, XP_033139110.1, XP_033136846.1, XP_009128749.2, XP_033133948.1, XP_009138630.2, XP_009119107.3, XP_033146804.1, XP_033148581.1, XP_033133950.1, XP_033139108.1, XP_033144661.1
OG0000020	CP28_g33976_DN2_SP0_c.t1	XP_033146803.1, XP_033138241.1, XP_033134460.1, XP_033147772.1
OG0000021	CP7_g44363_DN3_SP0_c.t1, CP14_g23481_DN3_SP0_c.t1	XP_033148520.1, XP_033129353.1, XP_033131843.1, XP_009123464.1, XP_033133955.1, XP_033145227.1, XP_033136601.1, XP_033143268.1, XP_033141097.1, XP_033129522.1, XP_033141116.1, XP_033136202.1, XP_018513563.2, XP_033129361.1, XP_009119482.2, XP_009124449.2, XP_033128905.1, XP_033141768.1, XP_033139918.1, XP_033131029.1, XP_033143299.1, XP_033131754.1, XP_009113298.1, XP_033135948.1, XP_033145970.1, XP_009108738.3, XP_033145198.1, XP_033128732.1, XP_033141182.1, XP_033129326.1
OG0000022	CP2_g49169_DN2_SP0_c.t1	XP_009112701.1
OG0000023	CP35_g52033_DN3_SP0_c.t1	XP_033131374.1, XP_009107618.1, XP_033132125.1, XP_033134273.1, XP_033146615.1, XP_033128492.1, XP_009139567.2, XP_018513679.2, XP_033139160.1, XP_033139271.1, XP_018509908.2, XP_009150011.2, XP_033144175.1, XP_033139020.1, XP_033139451.1, XP_033132919.1, XP_033134299.1, XP_033130737.1, XP_033148526.1, XP_033143287.1, XP_033131417.1, XP_033140796.1, XP_033147063.1, XP_033132665.1
OG0000024	CP2_g48829_DN3_SP0_c.t1	XP_018512901.1
OG0000024	CP7_g44485_DN2_SP0_c.t1	XP_018510040.1, XP_009109039.2
OG0000024	CP3_g13494_DN2_SP0_c.t1	XP_009116539.1
OG0000026	CP13_g20815_DN3_SP0_c.t1, CP2_g49593_DN1_SP0_c.t1, CP12_g31225_DN3_SP0_c.t1, CP47_g21233_DN3_SP0_c.t1, CP6_g8604_DN1_SP0_c.t1, CP98_g41597_DN1_SP0_c.t1, CP5_g3430_DN1_SP0_c.t1, CP53_g22292_DN1_SP0_c.t1, CP3_g16558_DN3_SP0_c.t1, CP5_g2206_DN2_SP0_c.t1, CP13_g20693_DN2_SP0_c.t1, CP5_g2172_DN3_SP0_c.t1, CP30_g10047_DN2_SP0_c.t1, CP12_g31518_DN3_SP0_c.t1, CP8_g52462_DN1_SP0_c.t1, CP6_g8834_DN3_SP0_c.t1, CP2_g50599_DN2_SP0_c.t1, CP5_g2195_DN2_SP0_c.t1, CP13_g20401_DN2_SP0_c.t1, CP6_g9301_DN3_SP0_c.t1, CP13_g20788_DN2_SP0_c.t1, CP31_g46751_DN2_SP0_c.t1, CP25_g55852_DN1_SP0_c.t1, CP14_g23533_DN3_SP0_c.t1, CP14_g23215_DN1_SP0_c.t1, CP31_g46690_DN3_SP0_c.t1, CP17_g5112_DN2_SP0_c.t1, CP6_g8299_DN3_SP0_c.t1, CP13_g20402_DN3_SP0_c.t1, CP1_g38785_DN3_SP0_c.t1, CP12_g31428_DN3_SP0_c.t1, CP15_g34701_DN3_SP0_c.t1, CP16_g55448_DN1_SP0_c.t1, CP12_g31561_DN3_SP0_c.t1, CP22_g17082_DN2_SP0_c.t1, CP2_g49627_DN3_SP0_c.t1, CP5_g2181_DN1_SP0_c.t1, CP13_g20683_DN3_SP0_c.t1, CP16_g55627_DN3_SP0_c.t1, CP25_g55794_DN2_SP0_c.t1, CP5_g3238_DN1_SP0_c.t1, CP17_g5496_DN3_SP0_c.t1, CP2_g50449_DN3_SP0_c.t1, CP17_g5596_DN2_SP0_c.t1, CP14_g23436_DN1_SP0_c.t1, CP21_g11163_DN2_SP0_c.t1, CP18_g12000_DN1_SP0_c.t1, CP2_g50743_DN2_SP0_c.t1, CP17_g5983_DN2_SP0_c.t1, CP6_g8924_DN2_SP0_c.t1, CP23_g21572_DN1_SP0_c.t1, CP17_g5297_DN2_SP0_c.t1, CP6_g7636_DN2_SP0_c.t1, CP14_g23306_DN1_SP0_c.t1, CP14_g23437_DN2_SP0_c.t1, CP12_g31707_DN3_SP0_c.t1, CP12_g31562_DN3_SP0_c.t1, CP17_g5595_DN2_SP0_c.t1, CP17_g5495_DN1_SP0_c.t1, CP9_g28010_DN1_SP0_c.t1, CP31_g46691_DN1_SP0_c.t1, CP1_g39140_DN2_SP0_c.t1, CP3_g16124_DN3_SP0_c.t1, CP1_g38904_DN1_SP0_c.t1, CP23_g21573_DN1_SP0_c.t1, CP12_g31427_DN1_SP0_c.t1	XP_033135950.1, XP_033148527.1
OG0000026	CP17_g5856_DN1_SP0_c.t1	XP_033148678.1, XP_033129369.1, XP_033134260.1, XP_033138371.1, XP_033147927.1, XP_033145901.1
OG0000026	CP6_g7632_DN3_SP0_c.t1, CP16_g55625_DN3_SP0_c.t1, CP18_g12549_DN3_SP0_c.t1, CP5_g3431_DN3_SP0_c.t1, CP1_g41249_DN1_SP0_c.t1, CP102_g10409_DN2_SP0_c.t1, CP14_g23630_DN1_SP0_c.t1, CP13_g20685_DN1_SP0_c.t1, CP148_g19023_DN1_SP0_c.t1, CP103_g21015_DN2_SP0_c.t1, CP98_g41599_DN2_SP0_c.t1, CP3_g16126_DN1_SP0_c.t1, CP14_g23220_DN3_SP0_c.t1	XP_033135946.1, XP_033141290.1
OG0000029	CP27_g41814_DN2_SP0_c.t1, CP4_g26144_DN2_SP0_c.t1	XP_009103430.1, XP_009103792.1, XP_033136629.1, XP_009105534.2, XP_033129358.1, XP_009128619.2, XP_009102786.1, XP_009111952.1, XP_009106480.1, XP_009118510.1
OG0000029	CP2_g49681_DN3_SP0_c.t1, CP1_g38511_DN1_SP0_c.t1, CP24_g47109_DN1_SP0_c.t1	XP_009119478.1
OG0000029	CP4_g26295_DN2_SP0_c.t1	XP_033141711.1, XP_033144745.1, XP_009137703.2, XP_009144174.1, XP_009132264.1, XP_009123077.2, XP_009121319.1, XP_009145179.2, XP_033138742.1, XP_009150817.2, XP_009138126.1, XP_009151013.1, XP_033141106.1, XP_009145551.2, XP_009115654.1
OG0000029	CP17_g5929_DN1_SP0_c.t1	XP_033138230.1, XP_033138123.1, XP_033128758.1
OG0000029	CP15_g35523_DN1_SP0_c.t1, CP24_g47108_DN1_SP0_c.t1	XP_009150036.1
OG0000030	CP11_g31940_DN3_SP0_c.t1	XP_033129474.1, XP_033128828.1, XP_033131947.1
OG0000030	CP10_g43630_DN1_SP0_c.t1, CP2_g49394_DN2_SP0_c.t1	XP_033148474.1
OG0000030	CP10_g43326_DN2_SP0_c.t1	XP_033131797.1
OG0000031	CP12_g30554_DN2_SP0_c.t1, CP2_g49958_DN1_SP0_c.t1	XP_033148609.1, XP_018512881.1, XP_009114439.1, XP_033134208.1
OG0000031	CP3_g15426_DN2_SP0_c.t1, CP12_g30550_DN3_SP0_c.t1	XP_009144745.1
OG0000031	CP15_g34657_DN1_SP0_c.t1, CP15_g34638_DN1_SP0_c.t1, CP15_g34584_DN1_SP0_c.t1, CP15_g34568_DN1_SP0_c.t1	XP_009150829.1
OG0000031	CP1_g38484_DN3_SP0_c.t1	XP_018513795.1, XP_033141100.1, XP_009112384.1, XP_009144965.1, XP_009150353.1, XP_009124884.2, XP_033139364.1, XP_033139558.1, XP_009123947.1, XP_009120275.1, XP_009118918.2, XP_009138594.2, XP_009145102.2, XP_033138741.1, XP_009150108.2, XP_009124343.1, XP_009111088.1, XP_009113173.1, XP_009126345.2, XP_033131133.1, XP_009124322.1
OG0000031	CP6_g7806_DN1_SP0_c.t1	XP_033143302.1, XP_009148796.1
OG0000034	CP13_g20065_DN3_SP0_c.t1	XP_018509629.1
OG0000035	CP14_g23646_DN2_SP0_c.t1, CP14_g23679_DN2_SP0_c.t1, CP117_g56225_DN2_SP0_c.t1, CP103_g21003_DN2_SP0_c.t1, CP63_g12714_DN2_SP0_c.t1	XP_033148603.1, XP_033129319.1, XP_033129317.1, XP_018515237.2, XP_033129460.1
OG0000035	CP1_g40830_DN2_SP0_c.t1, CP4_g26781_DN3_SP0_c.t1, CP24_g46983_DN2_SP0_c.t1, CP3_g16137_DN3_SP0_c.t1, CP26_g51196_DN1_SP0_c.t1	XP_009144181.2, XP_009107908.2, XP_009130015.1, XP_033131299.1, XP_033138421.1, XP_033142140.1, XP_033138747.1, XP_033131849.1, XP_009145711.2, XP_009123716.1, XP_033145213.1, XP_033133960.1, XP_033138807.1, XP_033129339.1, XP_033136536.1, XP_033129338.1, XP_009120701.1, XP_033138808.1, XP_033145214.1, XP_009108653.1, XP_009111034.2, XP_033133919.1, XP_009108652.2
OG0000036	CP23_g21756_DN1_SP0_c.t1, CP23_g21716_DN1_SP0_c.t1	XP_033130947.1
OG0000038	CP6_g8155_DN1_SP0_c.t1	XP_018510911.1
OG0000038	CP6_g7770_DN1_SP0_c.t1, CP28_g33935_DN3_SP0_c.t1	XP_018509044.1
OG0000038	CP15_g35533_DN1_SP0_c.t1	XP_018509951.1, XP_009102769.1
OG0000039	CP24_g47137_DN2_SP0_c.t1	XP_033138939.1, XP_033138878.1, XP_033143373.1
OG0000040	CP11_g31841_DN1_SP0_c.t1	XP_009128563.1
OG0000040	CP15_g36146_DN1_SP0_c.t1	XP_009106788.1, XP_009113229.1, XP_009118147.1, XP_033139875.1, XP_009145177.1, XP_009102190.1, XP_033135130.1, XP_033133628.1, XP_009125764.1, XP_009111367.1, XP_009109986.2, XP_009124648.1, XP_033146213.1
OG0000041	CP14_g23587_DN3_SP0_c.t1, CP14_g22620_DN1_SP0_c.t1, CP1_g39917_DN2_SP0_c.t1, CP2_g50284_DN2_SP0_c.t1	XP_033138682.1, XP_009120440.2
OG0000041	CP14_g22619_DN2_SP0_c.t1	XP_033136843.1
OG0000042	CP8_g52167_DN3_SP0_c.t1, CP5_g3067_DN2_SP0_c.t1, CP37_g11368_DN3_SP0_c.t1	XP_033136099.1, XP_009120611.1, XP_033129992.1
OG0000042	CP26_g51211_DN3_SP0_c.t1	XP_009108258.2
OG0000042	CP6_g9916_DN1_SP0_c.t1	XP_033129573.1
OG0000042	CP8_g52519_DN1_SP0_c.t1	XP_033135352.1
OG0000043	CP1_g41084_DN2_SP0_c.t1	XP_033134364.1
OG0000044	CP21_g10991_DN3_SP0_c.t1	XP_033139620.1
OG0000048	CP9_g28258_DN1_SP0_c.t1	XP_009127532.1, XP_033139568.1
OG0000048	CP4_g25547_DN2_SP0_c.t1	XP_009123149.2
OG0000048	CP4_g25641_DN3_SP0_c.t1, CP4_g25622_DN2_SP0_c.t1, CP13_g20135_DN3_SP0_c.t1	XP_033146958.1
OG0000049	CP17_g4884_DN2_SP0_c.t1, CP17_g4930_DN2_SP0_c.t1, CP1_g38897_DN1_SP0_c.t1, CP13_g20574_DN2_SP0_c.t1	XP_033141114.1
OG0000050	CP3_g15240_DN2_SP0_c.t1, CP5_g3337_DN1_SP0_c.t1	XP_009142124.1
OG0000050	CP5_g3336_DN1_SP0_c.t1	XP_033128725.1
OG0000050	CP15_g34543_DN2_SP0_c.t1	XP_033133626.1, XP_033144846.1
OG0000050	CP1_g39907_DN2_SP0_c.t1	XP_033134003.1
OG0000050	CP5_g3335_DN2_SP0_c.t1, CP3_g15241_DN1_SP0_c.t1, CP21_g11182_DN2_SP0_c.t1	XP_009105612.1
OG0000051	CP4_g24481_DN3_SP0_c.t1	XP_009142066.1, XP_018513039.2
OG0000051	CP1_g36582_DN3_SP0_c.t1, CP2_g49248_DN2_SP0_c.t1	XP_018514205.1, XP_009113199.1
OG0000051	CP2_g49334_DN3_SP0_c.t1	XP_009103279.2
OG0000051	CP4_g24480_DN3_SP0_c.t1	XP_033148413.1, XP_033147570.1, XP_033148423.1
OG0000051	CP4_g24479_DN3_SP0_c.t1	XP_009142840.1, XP_033138797.1, XP_033138543.1, XP_033148410.1
OG0000052	CP13_g19766_DN3_SP0_c.t1	XP_009152006.1, XP_033138197.1, XP_033139477.1, XP_033135650.1
OG0000052	CP3_g14092_DN3_SP0_c.t1	XP_009115966.1, XP_033146756.1, XP_033146252.1, XP_033146757.1, XP_033145801.1
OG0000054	CP29_g22024_DN2_SP0_c.t1	XP_033142356.1
OG0000055	CP12_g30730_DN2_SP0_c.t1	XP_009131379.2, XP_033144999.1, XP_009121596.1, XP_033131219.1
OG0000055	CP10_g42516_DN3_SP0_c.t1	XP_009134817.1
OG0000056	CP2_g49071_DN3_SP0_c.t1	XP_009113105.1
OG0000056	CP2_g49032_DN3_SP0_c.t1, CP2_g49030_DN3_SP0_c.t1	XP_033135545.1
OG0000056	CP2_g49077_DN3_SP0_c.t1	XP_009113405.2
OG0000056	CP11_g31796_DN3_SP0_c.t1	XP_033135114.1, XP_009113108.1
OG0000056	CP2_g49076_DN3_SP0_c.t1	XP_009105844.1
OG0000056	CP2_g49081_DN1_SP0_c.t1	XP_033144208.1
OG0000056	CP2_g49073_DN2_SP0_c.t1	XP_018510029.1
OG0000056	CP2_g49031_DN3_SP0_c.t1	XP_009112692.1, XP_009113075.1
OG0000058	CP17_g5406_DN1_SP0_c.t1	XP_033147285.1, XP_009114424.1, XP_033140560.1, XP_033135648.1, XP_033130698.1, XP_033141279.1, XP_033138465.1, XP_033131792.1
OG0000058	CP13_g20701_DN3_SP0_c.t1	XP_033131068.1, XP_033132741.1, XP_033141134.1, XP_033146849.1
OG0000059	CP1_g38971_DN3_SP0_c.t1, CP20_g3949_DN2_SP0_c.t1	XP_033139086.1, XP_033134279.1, XP_033132002.1, XP_033139374.1
OG0000059	CP4_g26576_DN3_SP0_c.t1	XP_009150809.1, XP_009124471.1, XP_033143409.1, XP_033134211.1, XP_033133426.1, XP_009101327.1
OG0000059	CP9_g27482_DN3_SP0_c.t1	XP_033129556.1, XP_009126874.2, XP_033128849.1, XP_033130899.1, XP_009145037.2, XP_009111372.1, XP_009117179.1, XP_009103786.3
OG0000061	CP9_g28787_DN2_SP0_c.t1	XP_033141091.1, XP_009142554.1
OG0000062	CP7_g44165_DN3_SP0_c.t1	XP_018509055.1
OG0000062	CP18_g11588_DN2_SP0_c.t1	XP_009144180.2
OG0000062	CP5_g2505_DN3_SP0_c.t1, CP20_g4062_DN3_SP0_c.t1	XP_009106514.2, XP_033138783.1
OG0000063	CP4_g26799_DN1_SP0_c.t1	XP_033131783.1
OG0000063	CP21_g10524_DN1_SP0_c.t1	XP_033134130.1
OG0000064	CP18_g12051_DN1_SP0_c.t1	XP_033134282.1, XP_033134283.1, XP_033136270.1, XP_033135749.1, XP_033135748.1, XP_033135746.1, XP_033135747.1, XP_033134284.1, XP_033135687.1, XP_033136269.1, XP_033135741.1, XP_033135477.1, XP_009124650.2, XP_033136272.1, XP_033136268.1, XP_009124058.2, XP_033135744.1, XP_033136271.1, XP_009124087.2, XP_033135742.1, XP_033135743.1, XP_033135685.1, XP_033135686.1, XP_033135684.1, XP_033135688.1
OG0000065	CP9_g28234_DN3_SP0_c.t1	XP_009127499.1
OG0000065	CP5_g1666_DN1_SP0_c.t1	XP_009140168.2
OG0000065	CP5_g1580_DN2_SP0_c.t1	XP_009140101.2, XP_009151130.2
OG0000066	CP4_g25642_DN3_SP0_c.t1, CP2_g49425_DN3_SP0_c.t1	XP_009125303.1, XP_009110843.1, XP_009112178.1, XP_009129719.2, XP_009114048.1, XP_009131154.1
OG0000067	CP17_g5644_DN3_SP0_c.t1, CP17_g5532_DN2_SP0_c.t1	XP_033130353.1, XP_033133257.1, XP_009107034.2, XP_033148589.1, XP_033138226.1, XP_033139687.1, XP_033129159.1, XP_033136430.1, XP_033143282.1, XP_033136468.1, XP_033144325.1, XP_033132812.1, XP_033147465.1, XP_018508435.1, XP_033143570.1, XP_033144765.1, XP_009127952.2, XP_018508607.1, XP_033129459.1, XP_033131134.1, XP_033131135.1, XP_009113960.2, XP_033131178.1, XP_009124211.2, XP_009139668.1
OG0000068	CP12_g31237_DN3_SP0_c.t1	XP_033137765.1, XP_009122279.3, XP_033144949.1, XP_033144954.1
OG0000069	CP2_g48010_DN3_SP0_c.t1	XP_033144867.1, XP_033144865.1, XP_009137441.1, XP_033143704.1, XP_009150992.2
OG0000070	CP17_g5790_DN3_SP0_c.t1	XP_009123589.1
OG0000070	CP7_g45746_DN3_SP0_c.t1	XP_033131964.1, XP_009149503.1
OG0000070	CP1_g38202_DN3_SP0_c.t1, CP1_g38197_DN2_SP0_c.t1	XP_033128831.1
OG0000072	CP9_g27806_DN2_SP0_c.t1, CP6_g8758_DN1_SP0_c.t1, CP6_g9757_DN2_SP0_c.t1	XP_009102269.1
OG0000072	CP2_g49697_DN3_SP0_c.t1	XP_009119460.3, XP_033138069.1, XP_009111623.2
OG0000072	CP22_g17290_DN2_SP0_c.t1, CP3_g16601_DN1_SP0_c.t1, CP12_g31150_DN2_SP0_c.t1	XP_033146737.1
OG0000073	CP15_g35379_DN3_SP0_c.t1	XP_009117227.2
OG0000073	CP6_g8294_DN1_SP0_c.t1	XP_033141168.1
OG0000073	CP6_g9730_DN1_SP0_c.t1	XP_033144992.1, XP_033143312.1
OG0000075	CP8_g52237_DN3_SP0_c.t1	XP_009127369.1
OG0000076	CP5_g77_DN1_SP0_c.t1	XP_009101919.1
OG0000076	CP4_g25752_DN2_SP0_c.t1	XP_009141037.3
OG0000076	CP8_g53270_DN3_SP0_c.t1	XP_009134123.2, XP_033134012.1, XP_009126890.1, XP_033147785.1, XP_009134127.2, XP_018514362.2, XP_009134129.2, XP_009134122.2
OG0000077	CP13_g20036_DN3_SP0_c.t1, CP13_g20034_DN3_SP0_c.t1	XP_033139970.1
OG0000077	CP2_g49683_DN2_SP0_c.t1	XP_033134075.1
OG0000077	CP2_g49677_DN1_SP0_c.t1	XP_009148269.1
OG0000077	CP13_g20039_DN3_SP0_c.t1	XP_009113876.1, XP_009149053.2
OG0000078	CP11_g32164_DN3_SP0_c.t1, CP11_g32172_DN3_SP0_c.t1	XP_009131628.1
OG0000078	CP11_g32169_DN3_SP0_c.t1, CP11_g32166_DN3_SP0_c.t1	XP_009126237.2
OG0000078	CP11_g32173_DN2_SP0_c.t1, CP11_g32163_DN2_SP0_c.t1	XP_009121020.1, XP_009121026.2, XP_009121024.1, XP_009121021.2
OG0000081	CP1_g40914_DN2_SP0_c.t1	XP_018509212.1, XP_033131829.1, XP_033133259.1
OG0000082	CP24_g47338_DN2_SP0_c.t1	XP_018510014.1
OG0000082	CP14_g22602_DN1_SP0_c.t1	XP_033131405.1, XP_009110495.1
OG0000083	CP66_g6455_DN1_SP0_c.t1, CP6_g7798_DN2_SP0_c.t1	XP_033134381.1, XP_033147924.1, XP_033133989.1
OG0000083	CP2_g49795_DN1_SP0_c.t1, CP14_g23210_DN2_SP0_c.t1, CP23_g21373_DN1_SP0_c.t1	XP_033133218.1
OG0000083	CP14_g23271_DN2_SP0_c.t1	XP_033145473.1, XP_033144422.1
OG0000083	CP21_g10971_DN3_SP0_c.t1	XP_033141175.1
OG0000086	CP271_g11211_DN3_SP0_c.t1, CP45_g22371_DN3_SP0_c.t1, CP20_g3814_DN1_SP0_c.t1, CP45_g22369_DN3_SP0_c.t1, CP5_g1838_DN3_SP0_c.t1	XP_009135925.1, XP_009139756.1
OG0000086	CP29_g21947_DN3_SP0_c.t1	XP_009139752.1
OG0000086	CP9_g28199_DN3_SP0_c.t1	XP_033130821.1
OG0000089	CP2_g48308_DN3_SP8_c.t1	XP_009150907.1
OG0000089	CP2_g48035_DN3_SP7_c.t1	XP_009150241.1, XP_009151388.1
OG0000089	CP3_g14713_DN3_SP4_c.t1	XP_009150568.2, XP_009149954.2
OG0000089	CP4_g25793_DN3_SP8_c.t1	XP_009144365.1, XP_009141007.2
OG0000089	CP11_g32707_DN3_SP8_c.t1	XP_009121863.1
OG0000089	CP13_g20168_DN3_SP8_c.t1	XP_009113926.1, XP_009101721.2
OG0000089	CP6_g6768_DN3_SP8_c.t1	XP_009123590.1
OG0000089	CP4_g25265_DN3_SP6_c.t1	XP_018514901.1
OG0000089	CP9_g29223_DN3_SP8_c.t1	XP_009106234.1
OG0000090	CP13_g20454_DN2_SP0_c.t1, CP3_g15710_DN2_SP0_c.t1, CP24_g47038_DN2_SP0_c.t1, CP12_g31527_DN3_SP0_c.t1	XP_033147238.1
OG0000090	CP12_g31526_DN2_SP0_c.t1, CP3_g16074_DN2_SP0_c.t1, CP23_g21807_DN1_SP0_c.t1, CP23_g21612_DN3_SP0_c.t1, CP13_g20624_DN2_SP0_c.t1, CP5_g3314_DN2_SP0_c.t1, CP9_g27951_DN2_SP0_c.t1, CP3_g16738_DN1_SP0_c.t1, CP26_g51159_DN1_SP0_c.t1, CP3_g14976_DN2_SP0_c.t1, CP3_g15613_DN2_SP0_c.t1, CP2_g50412_DN2_SP0_c.t1, CP15_g34622_DN2_SP0_c.t1, CP15_g34582_DN1_SP0_c.t1, CP15_g34635_DN1_SP0_c.t1, CP15_g34653_DN3_SP0_c.t1, CP15_g34595_DN2_SP0_c.t1	XP_033128016.1, XP_033136189.1
OG0000090	CP12_g31417_DN2_SP0_c.t1	XP_009114438.1, XP_033147067.1
OG0000090	CP50_g6562_DN1_SP0_c.t1, CP1_g39886_DN2_SP0_c.t1	XP_009139876.1, XP_009138593.2, XP_033141256.1, XP_033148504.1
OG0000090	CP12_g31580_DN1_SP0_c.t1, CP24_g47039_DN2_SP0_c.t1	XP_033134639.1
OG0000090	CP6_g8583_DN3_SP0_c.t1	XP_033133394.1, XP_033141800.1
