	Alyssum_gmelinii	Arabidopsis_arenosa	Arabidopsis_lyrata_NCBI	Arabidopsis_lyrata_Rawat	Arabidopsis_thaliana	Arabis_alpina	Brassica_oleracea	Brassica_rapa	Camelina_sativa	Capsella_rubella	Cardamine_glauca	Cardamine_hirsuta	Cochlearia_excelsa	Conringia_planisiliqua	Euclidium_syriacum	Eutrema_salsugineum	Noccaea_praecox	Raphanus_sativus	Rorippa_islandica
'6	0.3	0.3	0.2	0.2	0.2	0.3	0.5	0.5	3.4	0.2	0.1	0.2	0.3	0.2	0.3	0.1	0.2	0.8	0.2
'7	0.2	0.2	0.1	0.2	0.1	0.2	0.2	0.2	1.0	0.1	0.1	0.1	0.3	0.1	0.2	0.1	0.1	0.4	0.1
'8	0.1	0.1	0.1	0.2	0.1	0.1	0.2	0.2	0.5	0.1	0.0	0.1	0.2	0.1	0.1	0.1	0.1	0.2	0.1
'9	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.4	0.1	0.0	0.1	0.1	0.1	0.1	0.0	0.1	0.2	0.1
'10	0.1	0.1	0.1	0.0	0.0	0.0	0.1	0.1	0.2	0.1	0.0	0.0	0.1	0.1	0.1	0.0	0.0	0.1	0.1
11-15	0.2	0.3	0.2	0.2	0.1	0.2	0.2	0.2	0.6	0.1	0.1	0.1	0.3	0.2	0.2	0.1	0.1	0.3	0.1
16-20	0.1	0.1	0.0	0.1	0.0	0.1	0.1	0.1	0.3	0.0	0.0	0.0	0.1	0.1	0.1	0.0	0.1	0.1	0.0
21-50	0.1	0.1	0.1	0.1	0.0	0.1	0.2	0.2	0.4	0.0	0.0	0.1	0.3	0.2	0.1	0.1	0.1	0.2	0.1
51-100	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes
'0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1	14501	16734	17022	17031	17046	15089	10608	10609	1890	16340	15486	16135	13636	15623	15002	16044	15698	9010	16284
'2	6394	6252	5908	6654	5252	6102	12964	12706	6820	5026	5172	5888	8178	5216	5930	4928	5998	12782	5882
'3	2361	2283	1884	2283	1500	2217	7242	6792	36177	1416	1290	1992	3123	1542	2289	1227	2064	9222	1737
'4	1216	1236	1108	1156	788	1144	2912	2520	6184	816	536	1048	1700	900	1200	588	984	5604	976
'5	865	725	535	710	390	665	1670	1515	4340	505	340	690	1100	620	730	320	650	2780	485
'6	666	552	462	438	420	570	1014	984	6996	420	246	408	642	414	624	270	330	1590	480
'7	406	399	343	371	161	420	504	469	2338	238	238	343	686	350	455	259	287	1071	294
'8	304	304	280	424	224	296	456	432	1512	264	136	304	448	272	408	200	224	624	256
'9	279	306	216	297	189	324	387	396	1287	198	126	198	405	261	261	108	252	549	216
'10	380	230	250	160	150	160	210	260	790	200	90	160	360	240	290	100	130	370	200
11-15	937	1100	719	711	301	726	858	914	2763	409	345	477	1175	675	792	294	471	1121	602
16-20	650	536	299	348	86	425	466	622	1678	252	87	311	734	678	493	312	352	814	257
21-50	1405	1007	578	798	200	874	2009	1887	4081	212	96	527	3376	2039	1093	1186	861	1831	1271
51-100	336	154	123	222	0	1183	1423	450	1376	0	0	123	3931	1098	159	441	160	690	436
101-150	107	215	0	0	0	124	265	0	592	0	0	0	2800	906	113	497	0	130	109
151-200	0	0	0	0	0	170	0	0	0	0	0	0	1413	176	177	0	0	0	0
201-500	0	0	0	0	0	612	227	0	0	0	0	0	5226	939	0	0	0	0	252
501-1000	0	0	0	0	0	0	0	0	0	0	0	0	574	690	0	0	528	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	1173	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1	45.2	49.3	57.1	51.3	61.8	44.1	23.9	25.6	2.3	61.9	63.5	54.8	25.1	44.9	45.5	59.5	51.7	18.1	53.1
'2	19.9	18.4	19.8	20.0	19.1	17.8	29.2	30.7	8.3	19.0	21.2	20.0	15.0	15.0	18.0	18.3	19.7	25.6	19.2
'3	7.4	6.7	6.3	6.9	5.4	6.5	16.3	16.4	43.8	5.4	5.3	6.8	5.7	4.4	6.9	4.6	6.8	18.5	5.7
'4	3.8	3.6	3.7	3.5	2.9	3.3	6.6	6.1	7.5	3.1	2.2	3.6	3.1	2.6	3.6	2.2	3.2	11.2	3.2
'5	2.7	2.1	1.8	2.1	1.4	1.9	3.8	3.7	5.3	1.9	1.4	2.3	2.0	1.8	2.2	1.2	2.1	5.6	1.6
'6	2.1	1.6	1.5	1.3	1.5	1.7	2.3	2.4	8.5	1.6	1.0	1.4	1.2	1.2	1.9	1.0	1.1	3.2	1.6
'7	1.3	1.2	1.2	1.1	0.6	1.2	1.1	1.1	2.8	0.9	1.0	1.2	1.3	1.0	1.4	1.0	0.9	2.1	1.0
'8	0.9	0.9	0.9	1.3	0.8	0.9	1.0	1.0	1.8	1.0	0.6	1.0	0.8	0.8	1.2	0.7	0.7	1.3	0.8
'9	0.9	0.9	0.7	0.9	0.7	0.9	0.9	1.0	1.6	0.7	0.5	0.7	0.7	0.8	0.8	0.4	0.8	1.1	0.7
'10	1.2	0.7	0.8	0.5	0.5	0.5	0.5	0.6	1.0	0.8	0.4	0.5	0.7	0.7	0.9	0.4	0.4	0.7	0.7
11-15	2.9	3.2	2.4	2.1	1.1	2.1	1.9	2.2	3.3	1.5	1.4	1.6	2.2	1.9	2.4	1.1	1.6	2.2	2.0
16-20	2.0	1.6	1.0	1.0	0.3	1.2	1.0	1.5	2.0	1.0	0.4	1.1	1.3	2.0	1.5	1.2	1.2	1.6	0.8
21-50	4.4	3.0	1.9	2.4	0.7	2.6	4.5	4.6	4.9	0.8	0.4	1.8	6.2	5.9	3.3	4.4	2.8	3.7	4.1
51-100	1.0	0.5	0.4	0.7	0.0	3.5	3.2	1.1	1.7	0.0	0.0	0.4	7.2	3.2	0.5	1.6	0.5	1.4	1.4
101-150	0.3	0.6	0.0	0.0	0.0	0.4	0.6	0.0	0.7	0.0	0.0	0.0	5.1	2.6	0.3	1.8	0.0	0.3	0.4
151-200	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	2.6	0.5	0.5	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	1.8	0.5	0.0	0.0	0.0	0.0	0.0	9.6	2.7	0.0	0.0	0.0	0.0	0.8
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	2.0	0.0	0.0	1.7	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2	0.0	0.0	0.0	0.0	0.0	0.0
