HOG	OG	Gene Tree Parent Clade	Aethionema_saxatile	Alyssum_gmelinii	Arabidopsis_arenosa	Arabidopsis_lyrata_NCBI	Arabidopsis_lyrata_Rawat	Arabidopsis_thaliana	Arabis_alpina	Brassica_napus	Brassica_oleracea	Brassica_rapa	Camelina_sativa	Capsella_rubella	Cardamine_amara	Cardamine_glauca	Cardamine_hirsuta	Cochlearia_excelsa	Conringia_planisiliqua	Erysimum_linariifolium	Euclidium_syriacum	Eutrema_salsugineum	Noccaea_praecox	Odontarrhena_muralis	Raphanus_sativus
N12.HOG0000016	OG0000000	n1337		Ag007G637890, Ag001G032720																				Om004G155370	
N12.HOG0000017	OG0000000	n1341		Ag008G692330, Ag002G155080																				Om006G261490, Om004G177230	
N12.HOG0000018	OG0000000	n1344		Ag008G696910																				Om005G216380, Om003G113470, Om007G306250	
N12.HOG0000019	OG0000000	n1373		Ag004G338120, Ag005G473460, Ag001G036200, Ag019G743060																					
N12.HOG0000020	OG0000000	n1390																						Om006G263990	
N12.HOG0000021	OG0000002	n178																						Om007G305030	
N12.HOG0000022	OG0000002	n219																						Om001G030070	
N12.HOG0000023	OG0000002	n573																						Om007G309520, Om002G043270	
N12.HOG0000024	OG0000002	n724																						Om003G105370, Om003G107650, Om008G342070, Om003G102030	
N12.HOG0000025	OG0000002	n763																						Om004G152900	
N12.HOG0000026	OG0000002	n1083		Ag005G437270, Ag005G410710																				Om005G222520, Om004G148400, Om001G016090	
N12.HOG0000027	OG0000003	n51		Ag001G024370																					
N12.HOG0000028	OG0000003	n283		Ag007G617260																				Om004G173160	
N12.HOG0000029	OG0000003	n346																						Om008G354600	
N12.HOG0000030	OG0000003	n354																						Om002G078910, Om007G310130	
N12.HOG0000031	OG0000003	n372																						Om007G309640	
N12.HOG0000032	OG0000003	n373																						Om003G107890, Om007G304830	
N12.HOG0000033	OG0000003	n391																						Om006G262960	
N12.HOG0000034	OG0000003	n421																						Om007G310100, Om005G217360, Om003G107880	
N12.HOG0000035	OG0000003	n460																						Om001G015910	
N12.HOG0000036	OG0000003	n466																						Om006G262980	
N12.HOG0000037	OG0000003	n498																						Om005G217810	
N12.HOG0000038	OG0000003	n503																						Om005G210700	
N12.HOG0000039	OG0000003	n544		Ag007G591720																					
N12.HOG0000040	OG0000003	n565		Ag005G408470																					
N12.HOG0000041	OG0000003	n614																						Om001G017050	
N12.HOG0000042	OG0000003	n624		Ag008G680570																					
N12.HOG0000043	OG0000003	n754																						Om007G309690	
N12.HOG0000044	OG0000003	n760		Ag001G046010																				Om008G345700	
N12.HOG0000045	OG0000003	n813																						Om005G217800, Om004G150180, Om001G017380	
N12.HOG0000046	OG0000003	n986																						Om007G309660	
N12.HOG0000047	OG0000004	n2		Ag004G349770																				Om008G341980	
N12.HOG0000048	OG0000004	n13		Ag002G133140																					
N12.HOG0000049	OG0000004	n22																						Om004G166890, Om008G350240, Om004G154990, Om007G295840, Om008G361070, Om003G090730	
N12.HOG0000050	OG0000004	n29		Ag006G542780, Ag002G121010, Ag006G552510																					
N12.HOG0000051	OG0000004	n32		Ag004G374310																					
N12.HOG0000052	OG0000004	n52																						Om008G333050	
N12.HOG0000053	OG0000004	n80		Ag004G314450																				Om007G317080, Om007G314040, Om006G243290, Om001G014830	
N12.HOG0000054	OG0000004	n103		Ag005G473260, Ag001G034430, Ag003G239450																				Om004G154430, Om006G235390	
N12.HOG0000055	OG0000004	n113		Ag008G684310																				Om003G099290	
N12.HOG0000056	OG0000004	n141																						Om004G151610, Om003G106990	
N12.HOG0000057	OG0000004	n167																						Om007G313270	
N12.HOG0000058	OG0000004	n279																						Om001G019850	
N12.HOG0000059	OG0000004	n869																						Om008G320930	
N12.HOG0000060	OG0000005	n18																						Om002G083130	
N12.HOG0000061	OG0000005	n25																						Om004G139040	
N12.HOG0000062	OG0000005	n31		Ag008G703520																					
N12.HOG0000063	OG0000005	n46		Ag005G473830																				Om005G219680	
N12.HOG0000064	OG0000005	n47		Ag001G076570																				Om008G356930, Om004G145060	
N12.HOG0000065	OG0000005	n72																						Om002G053280	
N12.HOG0000066	OG0000005	n79																						Om005G220370	
N12.HOG0000067	OG0000005	n96		Ag007G610690																					
N12.HOG0000068	OG0000005	n104																						Om001G028590, Om007G295980	
N12.HOG0000069	OG0000005	n119																						Om001G005070	
N12.HOG0000070	OG0000005	n165		Ag003G254660																					
N12.HOG0000071	OG0000005	n215		Ag005G434290																				Om006G268760, Om008G339970, Om008G338760, Om003G092950, Om001G028900	
N12.HOG0000072	OG0000005	n249																						Om007G300980, Om001G001060, Om006G273080	
N12.HOG0000073	OG0000005	n269																						Om005G208940	
N12.HOG0000074	OG0000005	n280																						Om003G112550	
N12.HOG0000075	OG0000005	n310																						Om003G097810	
N12.HOG0000076	OG0000005	n371																						Om006G275350	
N12.HOG0000077	OG0000005	n441																						Om004G141520	
N12.HOG0000078	OG0000005	n462																						Om007G300990	
N12.HOG0000079	OG0000005	n466																						Om008G339980	
N12.HOG0000080	OG0000005	n476																						Om005G212800, Om006G268170, Om002G071580	
N12.HOG0000081	OG0000005	n502		Ag005G414560, Ag002G110220, Ag005G402610																					
N12.HOG0000082	OG0000005	n519		Ag004G325230, Ag002G102270																				Om007G289620	
N12.HOG0000083	OG0000005	n532																						Om006G258880, Om005G188370, Om004G177200	
N12.HOG0000084	OG0000005	n555																						Om002G082890, Om008G348310	
N12.HOG0000085	OG0000005	n591		Ag007G655680																					
N12.HOG0000086	OG0000005	n592		Ag007G583430, Ag005G451500, Ag005G435920, Ag003G226760																				Om005G225270, Om004G159630, Om007G288000, Om007G313780, Om003G127510	
N12.HOG0000087	OG0000005	n625		Ag006G527380																				Om007G282810	
N12.HOG0000088	OG0000005	n660																						Om003G120090, Om004G171760, Om001G040140, Om005G219160, Om004G133100, Om007G278140, Om004G162990, Om002G061770, Om005G208920, Om001G009210, Om003G121940, Om008G357500, Om002G087060	
N12.HOG0000089	OG0000005	n681		Ag005G456210, Ag004G378640, Ag002G184410, Ag007G622960																				Om003G109540	
N12.HOG0000090	OG0000005	n685		Ag003G281680, Ag006G516620, Ag002G162490																				Om005G203430	
N12.HOG0000091	OG0000005	n739		Ag005G402580																					
N12.HOG0000092	OG0000005	n741		Ag007G622540																					
N12.HOG0000093	OG0000005	n751		Ag003G254650																					
N12.HOG0000094	OG0000005	n763		Ag008G663850																				Om003G112530	
N12.HOG0000095	OG0000005	n764		Ag004G399930																				Om008G348300	
N12.HOG0000096	OG0000005	n766		Ag002G157290, Ag001G061510																					
N12.HOG0000097	OG0000005	n771		Ag004G314920																					
N12.HOG0000098	OG0000005	n775																						Om008G358870	
N12.HOG0000099	OG0000005	n781																						Om003G121930	
N12.HOG0000100	OG0000005	n792																						Om007G313790	
N12.HOG0000101	OG0000005	n797		Ag002G157300																					
N12.HOG0000102	OG0000005	n848		Ag003G219140, Ag007G614800																				Om008G339990	
N12.HOG0000103	OG0000005	n859																						Om004G151870, Om002G089170, Om004G141530	
N12.HOG0000104	OG0000005	n875		Ag004G356110																				Om005G217130	
N12.HOG0000105	OG0000005	n879		Ag004G390840, Ag004G351220, Ag006G508910																				Om007G307980	
N12.HOG0000106	OG0000005	n888		Ag003G238120																					
N12.HOG0000107	OG0000005	n894																						Om008G344510, Om006G244070, Om002G077150, Om002G081220, Om006G266940	
N12.HOG0000108	OG0000005	n908		Ag001G040530																				Om007G309960, Om001G015550, Om009G364000	
N12.HOG0000109	OG0000005	n914																						Om003G110250	
N12.HOG0000110	OG0000005	n916																						Om003G100620	
N12.HOG0000111	OG0000005	n923		Ag004G380930, Ag002G153530, Ag002G106450, Ag002G110480, Ag004G343590, Ag005G404130																				Om006G257980	
N12.HOG0000112	OG0000005	n941																						Om005G226590, Om008G346020	
N12.HOG0000113	OG0000005	n943		Ag005G488800																				Om006G261840	
N12.HOG0000114	OG0000006	n504		Ag005G455250																				Om005G227740	
N12.HOG0000115	OG0000007	n5		Ag006G558310, Ag005G454430, Ag006G564860, Ag001G013150, Ag004G317600, Ag006G566160																				Om006G262590, Om005G223090, Om005G223110, Om005G223130, Om002G079350, Om007G294980, Om007G304460	
N12.HOG0000116	OG0000007	n17		Ag005G467300																					
N12.HOG0000117	OG0000007	n74		Ag003G244530, Ag008G714080, Ag002G134780, Ag004G397570, Ag006G558070																				Om006G253570	
N12.HOG0000118	OG0000007	n79		Ag005G410540																				Om001G035080, Om001G019950, Om007G300730	
N12.HOG0000119	OG0000007	n95		Ag007G600770, Ag006G520860, Ag004G322400																				Om004G138310, Om002G075780, Om007G295140, Om006G263650	
N12.HOG0000120	OG0000007	n101		Ag002G115840, Ag008G694060, Ag006G551070, Ag003G220220																				Om006G268070	
N12.HOG0000121	OG0000007	n105																						Om002G088480, Om002G062480	
N12.HOG0000122	OG0000007	n106		Ag003G269320																				Om001G019860	
N12.HOG0000123	OG0000007	n134		Ag001G051310																					
N12.HOG0000124	OG0000007	n142		Ag007G627650, Ag001G052980, Ag007G623070, Ag003G244540																					
N12.HOG0000125	OG0000007	n166																						Om006G249530	
N12.HOG0000126	OG0000007	n178																						Om001G011630	
N12.HOG0000127	OG0000007	n181																						Om002G079510	
N12.HOG0000128	OG0000007	n189																						Om007G283730	
N12.HOG0000129	OG0000007	n240																						Om005G219310	
N12.HOG0000130	OG0000007	n243																						Om006G244810, Om006G267880, Om011G365910, Om003G114390	
N12.HOG0000131	OG0000007	n276																						Om008G342300	
N12.HOG0000132	OG0000007	n348		Ag005G466650																				Om006G268350	
N12.HOG0000133	OG0000007	n354		Ag006G520850, Ag003G220210																				Om007G297600	
N12.HOG0000134	OG0000007	n414		Ag008G670760, Ag007G590140, Ag003G230710, Ag005G415480																				Om005G190610, Om004G164520, Om006G258000	
N12.HOG0000135	OG0000007	n431		Ag005G466840, Ag007G581080, Ag002G197150, Ag006G545890																					
N12.HOG0000136	OG0000007	n545		Ag001G006450, Ag006G516390																				Om008G348570	
N12.HOG0000137	OG0000007	n556		Ag001G011750, Ag004G330770, Ag002G136200, Ag001G003030																				Om007G299940, Om006G268360, Om002G076040	
N12.HOG0000138	OG0000007	n643																						Om007G299920	
N12.HOG0000139	OG0000007	n651		Ag007G621080																					
N12.HOG0000140	OG0000007	n654		Ag007G654560, Ag004G331620, Ag002G167090																				Om001G014950	
N12.HOG0000141	OG0000007	n657		Ag006G551560, Ag008G700460, Ag002G133570, Ag003G295790, Ag004G355850, Ag001G076690, Ag006G507940, Ag003G272760																				Om003G094710	
N12.HOG0000142	OG0000007	n665		Ag002G128050, Ag001G045970																				Om004G143180	
N12.HOG0000143	OG0000007	n667		Ag006G527340																					
N12.HOG0000144	OG0000007	n668		Ag004G393060, Ag004G376540																				Om005G227520	
N12.HOG0000145	OG0000007	n681		Ag006G574510, Ag002G195530, Ag002G132070																				Om003G110160	
N12.HOG0000146	OG0000007	n705																						Om007G308670, Om005G224350	
N12.HOG0000147	OG0000007	n742																						Om003G091350	
N12.HOG0000148	OG0000007	n748																						Om006G248820, Om006G248770	
N12.HOG0000149	OG0000008	n8																						Om007G307170	
N12.HOG0000150	OG0000008	n43		Ag007G652280																					
N12.HOG0000151	OG0000008	n87		Ag002G148400																				Om007G308850	
N12.HOG0000152	OG0000008	n113																						Om009G364060	
N12.HOG0000153	OG0000008	n120		Ag002G152740, Ag007G618090, Ag001G039140																					
N12.HOG0000154	OG0000008	n136																						Om007G284450, Om008G361640, Om007G313430	
N12.HOG0000155	OG0000008	n370																						Om007G306510	
N12.HOG0000156	OG0000008	n468																						Om004G146620	
N12.HOG0000157	OG0000008	n471		Ag007G618290																					
N12.HOG0000158	OG0000008	n472		Ag001G044380, Ag008G677680, Ag004G365860																					
N12.HOG0000159	OG0000008	n515		Ag001G065030, Ag001G070290																				Om009G364160, Om009G364180	
N12.HOG0000160	OG0000008	n548		Ag005G430580																					
N12.HOG0000161	OG0000008	n588																						Om001G012780, Om004G176570, Om001G012870, Om001G012790, Om002G085300, Om002G081720, Om001G023520, Om006G274880	
N12.HOG0000162	OG0000008	n636		Ag004G391490, Ag001G055480, Ag001G024870, Ag002G143690, Ag005G427440																				Om008G328770, Om004G146610, Om004G145690, Om006G232740, Om007G292230	
N12.HOG0000163	OG0000008	n645		Ag002G180130, Ag003G281500																				Om004G145980, Om007G313990, Om006G260180, Om002G073680	
N12.HOG0000164	OG0000008	n742		Ag005G426820																					
N12.HOG0000165	OG0000010	n2																						Om006G235910	
N12.HOG0000166	OG0000010	n183																						Om003G108840	
N12.HOG0000167	OG0000010	n592																						Om002G089070	
N12.HOG0000168	OG0000011	n14		Ag008G699310																					
N12.HOG0000169	OG0000011	n393		Ag002G108600																					
N12.HOG0000170	OG0000012	n16		Ag005G452520																					
N12.HOG0000171	OG0000012	n20		Ag007G638410																					
N12.HOG0000172	OG0000012	n48		Ag007G621260, Ag005G417190																					
N12.HOG0000173	OG0000012	n54																						Om003G105480	
N12.HOG0000174	OG0000012	n65		Ag007G633420																				Om005G215090	
N12.HOG0000175	OG0000012	n95																						Om003G105470, Om004G154660	
N12.HOG0000176	OG0000012	n101		Ag004G367750																					
N12.HOG0000177	OG0000012	n216																						Om007G305450	
N12.HOG0000178	OG0000012	n349																						Om008G343540	
N12.HOG0000179	OG0000012	n360																						Om003G106630	
N12.HOG0000180	OG0000012	n426		Ag003G250910																				Om004G153330, Om018G374000	
N12.HOG0000181	OG0000012	n445																						Om007G307770	
N12.HOG0000182	OG0000012	n470		Ag001G026980																					
N12.HOG0000183	OG0000012	n542		Ag001G058690, Ag008G683900, Ag008G670600, Ag005G428880																					
N12.HOG0000184	OG0000012	n595																						Om008G342970	
N12.HOG0000185	OG0000012	n625																						Om008G345810	
N12.HOG0000186	OG0000013	n20		Ag006G559810																				Om008G346820, Om005G224220	
N12.HOG0000187	OG0000013	n114																						Om008G350670	
N12.HOG0000188	OG0000013	n143		Ag004G396400																				Om002G088760	
N12.HOG0000189	OG0000013	n144		Ag004G380450																				Om001G031100, Om003G113450, Om006G258780	
N12.HOG0000190	OG0000013	n158		Ag008G708120, Ag001G014560																				Om001G020870	
N12.HOG0000191	OG0000013	n284		Ag001G041140																					
N12.HOG0000192	OG0000013	n533																						Om003G108850, Om006G268640	
N12.HOG0000193	OG0000014	n72		Ag008G691080																					
N12.HOG0000194	OG0000014	n87		Ag003G252810																				Om004G169570	
N12.HOG0000195	OG0000014	n269																						Om007G309000	
N12.HOG0000196	OG0000014	n538																						Om005G227750	
N12.HOG0000197	OG0000014	n546																						Om008G343700	
N12.HOG0000198	OG0000015	n62		Ag002G110750																					
N12.HOG0000199	OG0000015	n96		Ag008G676660																				Om008G350280	
N12.HOG0000200	OG0000015	n174		Ag008G687430																					
N12.HOG0000201	OG0000015	n255		Ag004G376340																					
N12.HOG0000202	OG0000015	n258																						Om003G098660	
N12.HOG0000203	OG0000015	n274																						Om005G217510	
N12.HOG0000204	OG0000015	n324		Ag008G675720																					
N12.HOG0000205	OG0000015	n373																						Om003G105790, Om004G154560	
N12.HOG0000206	OG0000015	n465																						Om006G270800	
N12.HOG0000207	OG0000017	n15		Ag005G432180, Ag001G042370																				Om003G112310	
N12.HOG0000208	OG0000017	n34		Ag001G058750																				Om004G148090	
N12.HOG0000209	OG0000017	n37		Ag004G336140, Ag001G069670																					
N12.HOG0000210	OG0000017	n160		Ag002G124100, Ag004G375560, Ag001G050140																				Om004G151020, Om004G146420, Om008G347290, Om002G079940, Om008G359420, Om007G308900	
N12.HOG0000211	OG0000017	n301																						Om003G110750, Om007G302050, Om004G150950, Om009G363620, Om007G307580, Om008G344670, Om002G080330, Om001G016040	
N12.HOG0000212	OG0000017	n327		Ag004G368420, Ag003G267410, Ag004G341270, Ag002G159510																					
N12.HOG0000213	OG0000017	n336		Ag002G182860																					
N12.HOG0000214	OG0000017	n340																						Om003G101880, Om004G153720	
N12.HOG0000215	OG0000018	n1																						Om008G335480, Om007G284460, Om008G361630	
N12.HOG0000216	OG0000018	n295		Ag007G609170																					
N12.HOG0000217	OG0000019	n38		Ag003G276070																					
N12.HOG0000218	OG0000019	n66																						Om005G222770	
N12.HOG0000219	OG0000019	n98		Ag006G545360																					
N12.HOG0000220	OG0000019	n122		Ag005G436930																					
N12.HOG0000221	OG0000019	n257																						Om004G154810	
N12.HOG0000222	OG0000019	n258																						Om003G104700	
N12.HOG0000223	OG0000019	n263		Ag003G263160, Ag006G497030																				Om002G077910	
N12.HOG0000224	OG0000019	n347		Ag007G613770, Ag002G147220, Ag003G285010																				Om006G268990	
N12.HOG0000225	OG0000019	n408		Ag007G642200, Ag006G545350																					
N12.HOG0000226	OG0000019	n409		Ag003G257300, Ag008G690690																					
N12.HOG0000227	OG0000019	n413		Ag005G447690, Ag004G361020, Ag001G055110, Ag007G635570, Ag001G073070																					
N12.HOG0000228	OG0000020	n12																						Om002G078790	
N12.HOG0000229	OG0000020	n19		Ag002G113970																					
N12.HOG0000230	OG0000020	n24																						Om007G308530, Om007G308500	
N12.HOG0000231	OG0000020	n38		Ag008G729190																					
N12.HOG0000232	OG0000020	n41		Ag005G440730																					
N12.HOG0000233	OG0000020	n83																						Om007G307160	
N12.HOG0000234	OG0000020	n104																						Om010G364780, Om008G361310	
N12.HOG0000235	OG0000020	n144																						Om002G078780	
N12.HOG0000236	OG0000020	n182																						Om008G361920	
N12.HOG0000237	OG0000020	n300		Ag003G281030, Ag003G281020																					
N12.HOG0000238	OG0000020	n423		Ag006G521270																					
N12.HOG0000239	OG0000020	n440																						Om008G361320	
N12.HOG0000240	OG0000020	n462																						Om007G309390	
N12.HOG0000241	OG0000020	n470		Ag005G441960																					
N12.HOG0000242	OG0000020	n484		Ag007G652270																					
N12.HOG0000243	OG0000021	n8																						Om005G226540, Om001G020790	
N12.HOG0000244	OG0000021	n28		Ag008G685590																					
N12.HOG0000245	OG0000021	n65		Ag008G725210																					
N12.HOG0000246	OG0000021	n67																						Om001G038730	
N12.HOG0000247	OG0000021	n93																						Om008G331340	
N12.HOG0000248	OG0000021	n121		Ag008G663740																				Om007G288300, Om001G003370	
N12.HOG0000249	OG0000021	n162																						Om007G291430, Om002G057270	
N12.HOG0000250	OG0000021	n167																						Om005G225300	
N12.HOG0000251	OG0000021	n209		Ag005G443540																					
N12.HOG0000252	OG0000021	n475		Ag002G201670																				Om001G020780, Om001G006810, Om002G059070	
N12.HOG0000253	OG0000023	n7		Ag006G545600, Ag006G549030																					
N12.HOG0000254	OG0000023	n12																						Om001G010400	
N12.HOG0000255	OG0000023	n48																						Om001G010370, Om001G010380	
N12.HOG0000256	OG0000023	n74		Ag006G569900, Ag006G545580, Ag006G549040																				Om001G010360, Om001G009290	
N12.HOG0000257	OG0000023	n164		Ag002G145570, Ag002G145600																					
N12.HOG0000258	OG0000023	n210		Ag002G145500																				Om008G351580	
N12.HOG0000259	OG0000023	n261		Ag002G145450																				Om008G351620, Om008G351630	
N12.HOG0000260	OG0000023	n295																						Om008G351640, Om008G351650	
N12.HOG0000261	OG0000023	n315		Ag006G547270																				Om001G010200	
N12.HOG0000262	OG0000023	n333		Ag006G545440																				Om001G010350	
N12.HOG0000263	OG0000023	n345		Ag006G545510, Ag006G549380, Ag006G547220, Ag004G376920																				Om001G010250	
N12.HOG0000264	OG0000023	n411		Ag006G549060, Ag006G543820																					
N12.HOG0000265	OG0000023	n434																						Om001G011570	
N12.HOG0000266	OG0000024	n181		Ag005G441710																				Om010G364470, Om004G152890	
N12.HOG0000267	OG0000024	n184																						Om005G222510, Om006G264560, Om007G307780, Om002G075540, Om006G244060, Om005G218640, Om003G113030, Om004G148120, Om007G304370, Om007G308040, Om004G155450, Om002G078360, Om007G308800, Om007G309530, Om004G152880, Om007G309380, Om005G222500, Om010G364430	
N12.HOG0000268	OG0000024	n207		Ag004G351930, Ag005G445160																					
N12.HOG0000269	OG0000024	n218		Ag002G157990, Ag002G117810, Ag003G279100																					
N12.HOG0000270	OG0000024	n339																						Om007G304730	
N12.HOG0000271	OG0000024	n355																						Om008G342080, Om001G017150	
N12.HOG0000272	OG0000024	n364																						Om001G030080, Om007G305000	
N12.HOG0000273	OG0000024	n388		Ag003G257540																					
N12.HOG0000274	OG0000025	n7																						Om002G073490, Om002G073430	
N12.HOG0000275	OG0000025	n273																						Om003G114490, Om003G114450	
N12.HOG0000276	OG0000026	n193		Ag013G741580																				Om002G080990	
N12.HOG0000277	OG0000026	n226		Ag002G192470																					
N12.HOG0000278	OG0000026	n440																						Om005G219100, Om002G081000, Om002G080320	
N12.HOG0000279	OG0000027	n49		Ag005G463660																					
N12.HOG0000280	OG0000027	n74																						Om007G316890	
N12.HOG0000281	OG0000027	n311		Ag006G546200, Ag005G439390																				Om002G070390	
N12.HOG0000282	OG0000027	n318		Ag007G580660																				Om005G224020	
N12.HOG0000283	OG0000028	n25																						Om001G022770	
N12.HOG0000284	OG0000028	n102																						Om007G314890	
N12.HOG0000285	OG0000028	n111		Ag005G466640, Ag009G736690, Ag001G053260, Ag004G352900, Ag006G577790, Ag003G259760, Ag002G132790, Ag005G466920, Ag005G466830, Ag005G466750																					
N12.HOG0000286	OG0000028	n123																						Om003G104120	
N12.HOG0000287	OG0000028	n184																						Om007G318240	
N12.HOG0000288	OG0000028	n324																						Om004G149360, Om007G299950, Om006G268370, Om001G035430, Om006G267550, Om004G151300	
N12.HOG0000289	OG0000028	n427																						Om007G308810	
N12.HOG0000290	OG0000028	n431																						Om003G104130	
N12.HOG0000291	OG0000028	n433																						Om001G019310	
N12.HOG0000292	OG0000029	n51																						Om006G261190	
N12.HOG0000293	OG0000029	n128		Ag006G523440																				Om008G343780	
N12.HOG0000294	OG0000029	n140		Ag006G532500, Ag004G401820																					
N12.HOG0000295	OG0000029	n149		Ag002G114660																					
N12.HOG0000296	OG0000029	n171		Ag004G375950																					
N12.HOG0000297	OG0000029	n176		Ag002G168100, Ag004G354120																				Om005G216790	
N12.HOG0000298	OG0000029	n212																						Om005G225700, Om001G013080	
N12.HOG0000299	OG0000029	n250																						Om001G020560, Om002G078670, Om007G309080, Om007G298320	
N12.HOG0000300	OG0000029	n274		Ag005G441680, Ag006G519730																					
N12.HOG0000301	OG0000029	n278		Ag001G067390																					
N12.HOG0000302	OG0000029	n282																						Om004G147450	
N12.HOG0000303	OG0000029	n294		Ag002G186330, Ag006G491400																				Om006G262550, Om004G151510	
N12.HOG0000304	OG0000029	n353																						Om003G119560	
N12.HOG0000305	OG0000029	n407		Ag003G216290, Ag003G216300																					
N12.HOG0000306	OG0000029	n422		Ag003G258710																				Om007G298330	
N12.HOG0000307	OG0000030	n38		Ag002G145320																					
N12.HOG0000308	OG0000030	n52																						Om004G153710	
N12.HOG0000309	OG0000030	n76		Ag008G659630, Ag006G491030																				Om020G374410, Om004G155320	
N12.HOG0000310	OG0000030	n97		Ag004G349980, Ag003G277490																				Om004G152960	
N12.HOG0000311	OG0000030	n107		Ag008G670610																					
N12.HOG0000312	OG0000030	n113		Ag002G201000, Ag003G292120																				Om001G005680	
N12.HOG0000313	OG0000030	n136		Ag007G611240																					
N12.HOG0000314	OG0000030	n139																						Om011G364950	
N12.HOG0000315	OG0000030	n144																						Om004G165220	
N12.HOG0000316	OG0000030	n171																						Om001G038800, Om006G253510	
N12.HOG0000317	OG0000030	n177																						Om004G148440, Om006G271430, Om006G263330	
N12.HOG0000318	OG0000030	n209		Ag002G133450, Ag002G134890, Ag001G003750																					
N12.HOG0000319	OG0000030	n215		Ag007G608580																					
N12.HOG0000320	OG0000030	n216		Ag005G416870																					
N12.HOG0000321	OG0000030	n217		Ag005G452160, Ag002G188880, Ag007G608590, Ag004G348700, Ag001G096020																					
N12.HOG0000322	OG0000030	n277		Ag008G691940, Ag005G407260, Ag002G169900																					
N12.HOG0000323	OG0000030	n280		Ag005G426520, Ag002G126760, Ag003G226280, Ag002G123900, Ag006G510430																				Om005G215420	
N12.HOG0000324	OG0000030	n287		Ag004G380470																				Om004G165210	
N12.HOG0000325	OG0000030	n296																						Om008G355010	
N12.HOG0000326	OG0000030	n300		Ag008G713150																					
N12.HOG0000327	OG0000030	n307		Ag002G167860, Ag004G319940																					
N12.HOG0000328	OG0000030	n320		Ag004G398140																				Om001G015000	
N12.HOG0000329	OG0000030	n321		Ag003G263120																				Om006G265800	
N12.HOG0000330	OG0000030	n354																						Om005G226380	
N12.HOG0000331	OG0000030	n421		Ag001G021090, Ag003G292130, Ag005G430740																					
N12.HOG0000332	OG0000030	n423		Ag003G292140																					
N12.HOG0000333	OG0000031	n105		Ag001G078560, Ag004G386130																					
N12.HOG0000334	OG0000031	n181		Ag004G316410, Ag004G316200, Ag004G317440, Ag004G317450, Ag004G315780, Ag004G316420																				Om005G191840, Om005G192090, Om005G192080, Om005G192190, Om005G191850	
N12.HOG0000335	OG0000031	n305																						Om006G252510	
N12.HOG0000336	OG0000031	n326		Ag002G111150, Ag002G107580																				Om007G317990	
N12.HOG0000337	OG0000031	n345																						Om002G063040	
N12.HOG0000338	OG0000031	n364																						Om001G018890	
N12.HOG0000339	OG0000032	n1																						Om008G348900	
N12.HOG0000340	OG0000032	n8																						Om007G313850	
N12.HOG0000341	OG0000032	n51																						Om008G348910	
N12.HOG0000342	OG0000032	n248																						Om008G348890	
N12.HOG0000343	OG0000033	n2		Ag006G547230, Ag006G549390																				Om001G010240	
N12.HOG0000344	OG0000033	n49		Ag006G547260, Ag006G549410																				Om001G010210	
N12.HOG0000345	OG0000033	n91		Ag006G549590, Ag006G547470																				Om001G010160, Om001G021690	
N12.HOG0000346	OG0000033	n94		Ag006G547300, Ag006G549510, Ag006G549470, Ag006G549530																				Om001G010190, Om001G010170, Om001G010150	
