HOG	OG	Gene Tree Parent Clade	Aethionema_saxatile	Alyssum_gmelinii	Arabidopsis_arenosa	Arabidopsis_lyrata_NCBI	Arabidopsis_lyrata_Rawat	Arabidopsis_thaliana	Arabis_alpina	Brassica_napus	Brassica_oleracea	Brassica_rapa	Camelina_sativa	Capsella_rubella	Cardamine_amara	Cardamine_glauca	Cardamine_hirsuta	Cochlearia_excelsa	Conringia_planisiliqua	Erysimum_linariifolium	Euclidium_syriacum	Eutrema_salsugineum	Noccaea_praecox	Odontarrhena_muralis	Raphanus_sativus
N15.HOG0000073	OG0000002	n223																	CP23_g21692_DN2_SP0_c.t1, CP115_g10372_DN3_SP0_c.t1						
N15.HOG0000074	OG0000002	n228																	CP4_g26884_DN2_SP0_c.t1						
N15.HOG0000075	OG0000002	n274								XP_048623762.1															
N15.HOG0000076	OG0000002	n282																	CP13_g20493_DN3_SP0_c.t1			XP_024004011.1			
N15.HOG0000077	OG0000002	n287																				XP_024016328.1			
N15.HOG0000078	OG0000002	n313									XP_013624531.1														
N15.HOG0000079	OG0000002	n327																	CP25_g55807_DN3_SP0_c.t1, CP1_g39210_DN2_SP0_c.t1						
N15.HOG0000080	OG0000002	n339									XP_013624816.1, XP_013617594.1, XP_013617547.1, XP_013614472.1, XP_013632700.1, XP_013639598.1														
N15.HOG0000081	OG0000002	n348																				XP_024013349.1, XP_024007240.1			
N15.HOG0000082	OG0000002	n353								XP_048601867.1	XP_013632991.1														XP_018453671.1, XP_018459832.1
N15.HOG0000083	OG0000002	n358								XP_013679867.3															
N15.HOG0000084	OG0000002	n370								XP_048615984.1, XP_048624738.1, XP_048610196.1, XP_048606838.1, XP_048600341.1, XP_048623910.1															
N15.HOG0000085	OG0000002	n386																				XP_024013327.1, XP_024006099.1, XP_024009744.1, XP_024011203.1, XP_024007922.1, XP_024014218.1			
N15.HOG0000086	OG0000002	n411																				XP_024015242.1			
N15.HOG0000087	OG0000002	n413																				XP_024014055.1, XP_024010428.1, XP_024004913.1, XP_024011113.1, XP_024016286.1, XP_024013910.1, XP_024005018.1, XP_024015965.1, XP_024004035.1, XP_024014994.1, XP_024011225.1, XP_024015835.1, XP_024009787.1, XP_024010274.1, XP_024014545.1, XP_024015894.1, XP_024010275.1, XP_024010359.1, XP_024004942.1, XP_024014437.1, XP_024014547.1, XP_024016288.1, XP_024013299.1, XP_024013567.1, XP_024010360.1, XP_024016271.1, XP_024015836.1, XP_024016289.1, XP_024016302.1			
N15.HOG0000088	OG0000002	n445																				XP_024006422.1, XP_024016543.1, XP_024005004.1, XP_024009474.1, XP_024010365.1, XP_024014482.1, XP_024016829.1, XP_024013731.1, XP_024013994.1, XP_024004771.1, XP_024016221.1, XP_024016325.1, XP_024006657.1, XP_024009437.1, XP_024011378.1, XP_024004829.1, XP_024013154.1, XP_024004145.1, XP_024004820.1, XP_024014451.1, XP_024013995.1, XP_024004949.1, XP_024009949.1, XP_024010385.1, XP_024016831.1, XP_024010916.1, XP_024012926.1, XP_024007765.1, XP_024010917.1, XP_024004042.1, XP_024004013.1, XP_024004918.1, XP_024015916.1, XP_024013252.1, XP_024016214.1, XP_024016545.1, XP_024004973.1, XP_024004934.1, XP_024010481.1, XP_024011386.1, XP_024014573.1, XP_024016544.1, XP_024004936.1, XP_024015298.1, XP_024014816.1, XP_024013904.1, XP_024016251.1, XP_024011355.1, XP_024009618.1, XP_024016832.1, XP_024015942.1, XP_024011289.1, XP_024013913.1, XP_024004935.1, XP_024016563.1, XP_024013919.1, XP_024007222.1, XP_024015214.1, XP_024014701.1, XP_024014765.1, XP_024010367.1, XP_024007242.1			
N15.HOG0000089	OG0000002	n595																	CP3_g16175_DN3_SP0_c.t1						
N15.HOG0000090	OG0000002	n602																				XP_024016294.1			
N15.HOG0000091	OG0000002	n630																	CP115_g10371_DN2_SP0_c.t1, CP23_g21693_DN1_SP0_c.t1						
N15.HOG0000092	OG0000002	n646								XP_013730849.1	XP_013589182.1														
N15.HOG0000093	OG0000002	n664								XP_013689910.2															XP_018436085.1
N15.HOG0000094	OG0000002	n724								XP_048624137.1, XP_048605110.1, XP_013678027.1, XP_013699413.2, XP_048605922.1, XP_013704005.2, XP_013705046.2, XP_013743402.2, XP_022554443.2, XP_022557545.2, XP_048602403.1, XP_048603537.1, XP_048604763.1, XP_048605599.1, XP_048606467.1, XP_048606492.1, XP_048608321.1, XP_048613262.1, XP_048614401.1, XP_048615840.1, XP_048618038.1, XP_048621685.1, XP_048622894.1, XP_048619508.1, XP_048623072.1, XP_048624199.1, XP_048624223.1, XP_048624554.1, XP_048619988.1, XP_048604876.1, XP_022564570.2, XP_022557418.2, XP_048605038.1												XP_024013294.1			
N15.HOG0000095	OG0000002	n765								XP_048599943.1, XP_013739462.1, XP_013673932.1, XP_048622631.1, XP_013669043.1, XP_048599750.1, XP_048611618.1, XP_022558122.1, XP_013689755.1, XP_013721006.1, XP_013719469.1, XP_013680020.1, XP_048604981.1, XP_013700214.1, XP_013751912.1, XP_013658791.1, XP_048622703.1, XP_013673642.1, XP_048598070.1, XP_048622695.1, XP_022568272.1, XP_048619908.1, XP_048605843.1, XP_048611539.1, XP_013704325.2, XP_013745790.2, XP_048605726.1	XP_013613929.1, XP_013629257.1, XP_013601258.1, XP_013594570.1, XP_013601542.1, XP_013617416.1, XP_013617579.1, XP_013617538.1, XP_013630563.1, XP_013613891.1, XP_013617544.1, XP_013624534.1, XP_013594480.1	XP_018511523.1, XP_033140595.1										XP_024013097.1			XP_018479529.1, XP_018461909.1, XP_018459223.1, XP_018460439.1, XP_018459136.1, XP_018465757.1, XP_018435975.1, XP_018458091.1, XP_018453716.1, XP_018459052.1, XP_018459980.1, XP_018463421.1, XP_018453822.1
N15.HOG0000096	OG0000002	n820								XP_022566326.2		XP_033148513.1										XP_024010604.1, XP_024009251.1, XP_024009451.1, XP_024010357.1, XP_024015134.1, XP_024014549.1, XP_024010591.1, XP_024011258.1, XP_024016116.1, XP_024010553.1, XP_024013954.1, XP_024013993.1, XP_024016193.1, XP_024013210.1, XP_024015869.1, XP_024009904.1, XP_024010307.1, XP_024015923.1, XP_024013058.1			
N15.HOG0000097	OG0000002	n859								XP_048611649.1, XP_048611648.1, XP_013651109.1, XP_013658793.1, XP_013709438.1, XP_013751657.3, XP_013709613.1, XP_013700185.1, XP_048630704.1, XP_022559924.1, XP_048622095.1, XP_013655273.1, XP_022549820.1, XP_013689535.2, XP_048619845.1, XP_013715871.1, XP_048604645.1, XP_048621889.1, XP_048596410.1, XP_048599727.1, XP_048626784.1, XP_013732945.1, XP_048633138.1, XP_048596393.1, XP_048599369.1, XP_013668866.2, XP_048605779.1, XP_048611520.1, XP_048627900.1, XP_048628323.1, XP_048608335.1, XP_013654120.1, XP_048627325.1, XP_013673471.3, XP_048615611.1, XP_048619891.1, XP_013665252.2, XP_013658186.1, XP_048629974.1, XP_022552341.1, XP_013739277.2, XP_048613130.1, XP_048615541.1, XP_048623567.1, XP_013720337.1, XP_013673462.1, XP_048613404.1, XP_048611643.1, XP_048623756.1, XP_048615560.1, XP_048605535.1, XP_013674344.2, XP_048608675.1, XP_048605721.1, XP_048613199.1, XP_013721281.1, XP_048605601.1, XP_048599856.1, XP_048605621.1, XP_048623642.1, XP_013731515.1, XP_048604101.1, XP_048614819.1, XP_048613396.1, XP_013738897.2, XP_013669035.2, XP_048622678.1, XP_048623931.1, XP_048607224.1, XP_048605163.1, XP_048600552.1, XP_013650953.2, XP_013673725.1, XP_048622679.1, XP_013689350.1, XP_048590889.1, XP_022575799.1, XP_048605884.1, XP_048611767.1, XP_048637575.1, XP_048596375.1, XP_013745502.1, XP_048611628.1, XP_013700006.2, XP_048622610.1, XP_013699873.2, XP_013668901.1, XP_013733765.2, XP_048613381.1	XP_013617388.1, XP_013614913.1, XP_013594575.1, XP_013632753.1, XP_013601334.1, XP_013617681.1, XP_013594565.1, XP_013617314.1, XP_013624471.1, XP_013628799.1, XP_013614663.1, XP_013614632.1, XP_013639584.1, XP_013594875.1, XP_013633334.1, XP_013617422.1, XP_013630619.1, XP_013629057.1, XP_013639563.1, XP_013617504.1, XP_013615062.1, XP_013589138.1, XP_013614638.1, XP_013589574.1, XP_013617294.1, XP_013617221.1, XP_013607692.1, XP_013617715.1, XP_013615241.1, XP_013629770.1, XP_013616926.1, XP_013608095.1, XP_013639504.1, XP_013624879.1, XP_013632894.1, XP_013601080.1, XP_013594822.1, XP_013639686.1, XP_013624189.1, XP_013614171.1, XP_013627007.1, XP_013614194.1, XP_013624889.1, XP_013617190.1, XP_013632734.1, XP_013613743.1, XP_013617774.1, XP_013614633.1, XP_013601115.1, XP_013594539.1, XP_013617626.1, XP_013589610.1, XP_013632851.1, XP_013624497.1, XP_013583360.1, XP_013632797.1	XP_033142691.1, XP_033144451.1, XP_009118913.2, XP_033131815.1, XP_033139172.1, XP_033147366.1, XP_033134169.1, XP_033148076.1, XP_033134986.1, XP_009123785.2, XP_033128755.1, XP_033148549.1, XP_033134214.1, XP_033135851.1, XP_033147588.1, XP_033138789.1, XP_033134367.1, XP_033136957.1, XP_033143541.1, XP_033148879.1, XP_033129436.1, XP_033136250.1, XP_033134280.1, XP_033139166.1, XP_033139102.1, XP_033129425.1, XP_033138881.1, XP_033129376.1, XP_033139223.1, XP_033129408.1													XP_018466031.1, XP_018463267.1, XP_018462236.1, XP_018464556.1, XP_018453727.1, XP_018459427.1, XP_018453623.1, XP_018453709.1, XP_018467472.1, XP_018465756.1, XP_018487759.1, XP_018464934.1, XP_018477393.1, XP_018463388.1, XP_018471869.1, XP_018463118.1, XP_018436080.1, XP_018435898.1, XP_018479330.1, XP_018473643.1, XP_018454115.1, XP_018464980.1, XP_018462853.1, XP_018435603.1, XP_018473782.1, XP_018443656.1, XP_018488094.1, XP_018473713.1, XP_018463380.1, XP_018463383.1, XP_018462785.1, XP_018479516.1, XP_018465012.1, XP_018453728.1, XP_018458683.1, XP_018473998.1, XP_018435987.1
N15.HOG0000098	OG0000002	n1097																				XP_024009486.1			
N15.HOG0000099	OG0000002	n1103																	CP3_g16153_DN2_SP0_c.t1						
N15.HOG0000100	OG0000002	n1114									XP_013589153.1								CP9_g27522_DN2_SP0_c.t1			XP_024006459.1			
N15.HOG0000101	OG0000003	n5																				XP_024010390.1			
N15.HOG0000102	OG0000003	n26								XP_048623031.1	XP_013632989.1, XP_013624327.1, XP_013594796.1								CP3_g15228_DN2_SP0_c.t1						XP_018448864.1
N15.HOG0000103	OG0000003	n39								XP_013694964.1	XP_013624018.1														
N15.HOG0000104	OG0000003	n48								XP_048630494.1		XP_033147287.1													
N15.HOG0000105	OG0000003	n51									XP_013626656.1, XP_013589417.1														
N15.HOG0000106	OG0000003	n57									XP_013639462.1											XP_006391417.2, XP_024011134.1			
N15.HOG0000107	OG0000003	n62									XP_013624390.1														
N15.HOG0000108	OG0000003	n70								XP_022551562.1, XP_013650516.2, XP_048611467.1, XP_048622667.1	XP_013601267.1														
N15.HOG0000109	OG0000003	n75								XP_013679209.2, XP_048613575.1, XP_013704463.1, XP_022549222.1, XP_048615663.1, XP_048596497.1, XP_013650417.1	XP_013617299.1, XP_013617697.1, XP_013607686.1, XP_013589115.1, XP_013632587.1, XP_013601292.1, XP_013624493.1														
N15.HOG0000110	OG0000003	n92								XP_048599712.1	XP_013627530.1														
N15.HOG0000111	OG0000003	n101									XP_013601768.1											XP_024010447.1			
N15.HOG0000112	OG0000003	n107								XP_048612037.1, XP_048604599.1, XP_013700336.2, XP_013709251.1		XP_033148793.1										XP_024013113.1, XP_024016241.1			XP_018463988.1, XP_018464531.1
N15.HOG0000113	OG0000003	n116										XP_033144892.1													XP_018459047.1
N15.HOG0000114	OG0000003	n118								XP_013713350.1	XP_013632538.1, XP_013624806.1											XP_024013903.1			
N15.HOG0000115	OG0000003	n121								XP_013729530.2, XP_022560082.1, XP_013729306.2, XP_022567565.1	XP_013639428.1, XP_013607867.1, XP_013615207.1	XP_018511976.2										XP_006404995.2			XP_018459385.1, XP_018453823.1, XP_018473854.1
N15.HOG0000116	OG0000003	n139								XP_013723216.2		XP_009106784.1													
N15.HOG0000117	OG0000003	n142								XP_048599891.1, XP_048621360.1		XP_033148226.1													
N15.HOG0000118	OG0000003	n145								XP_048605811.1, XP_013751647.1															
N15.HOG0000119	OG0000003	n150									XP_013633002.1														XP_018479006.1
N15.HOG0000120	OG0000003	n152								XP_048605472.1												XP_006402217.2			XP_018454154.1, XP_018436209.1
N15.HOG0000121	OG0000003	n156																							XP_018460030.1
N15.HOG0000122	OG0000003	n163								XP_022575815.1, XP_048599772.1	XP_013614810.1											XP_024016125.1			
N15.HOG0000123	OG0000003	n167																				XP_024003648.1			
N15.HOG0000124	OG0000003	n173								XP_022573072.1												XP_024013775.1			XP_018460938.1
N15.HOG0000125	OG0000003	n178									XP_013589557.1														XP_018463384.1
N15.HOG0000126	OG0000003	n189																							XP_018435851.1, XP_018435852.1
N15.HOG0000127	OG0000003	n195								XP_013745520.2		XP_033147058.1													
N15.HOG0000128	OG0000003	n226									XP_013616729.1											XP_024014856.1			
N15.HOG0000129	OG0000003	n228									XP_013614903.1														XP_018448581.1
N15.HOG0000130	OG0000003	n231																				XP_024013377.1, XP_024009240.1, XP_024009782.1, XP_024015852.1			
N15.HOG0000131	OG0000003	n245																				XP_024016242.1			
N15.HOG0000132	OG0000003	n257								XP_048623767.1, XP_048617123.1, XP_048613209.1, XP_013650755.2, XP_048629524.1, XP_048627545.1, XP_048599996.1, XP_048611684.1, XP_048604999.1, XP_048605785.1, XP_048605458.1, XP_013717832.1	XP_013614006.1, XP_013601193.1	XP_033138856.1										XP_024010582.1, XP_024013222.1, XP_024009444.1, XP_024007247.1			XP_018459978.1, XP_018463503.1, XP_018460948.1, XP_018465356.1, XP_018467176.1, XP_018462233.1
N15.HOG0000133	OG0000003	n286																				XP_024009086.1, XP_024016190.1, XP_024013070.1, XP_024016232.1, XP_024007244.1, XP_024009447.1, XP_024011359.1, XP_024009254.1, XP_024016210.1, XP_024010672.1, XP_024011237.1			
N15.HOG0000134	OG0000003	n309								XP_048628762.1, XP_048628164.1, XP_048630693.1	XP_013601450.1														XP_018460462.1, XP_018463058.1
N15.HOG0000135	OG0000003	n314								XP_048622366.1	XP_013614675.1											XP_024006599.1, XP_024006505.1, XP_024016350.1			
N15.HOG0000136	OG0000003	n321								XP_048590800.1, XP_048627572.1, XP_048627497.1, XP_048630683.1, XP_048627321.1, XP_048630695.1, XP_048628607.1, XP_048629617.1, XP_048619971.1		XP_033145199.1, XP_033139537.1										XP_024016833.1			
N15.HOG0000137	OG0000003	n346																				XP_024009759.1, XP_024009236.1, XP_024007306.1			
N15.HOG0000138	OG0000003	n354																				XP_024009771.1			
N15.HOG0000139	OG0000003	n464								XP_048611587.1												XP_024015858.1			
N15.HOG0000140	OG0000003	n496																				XP_024015845.1			
N15.HOG0000141	OG0000003	n531								XP_048626828.1									CP1_g39873_DN1_SP0_c.t1						
N15.HOG0000142	OG0000003	n544								XP_022552131.1, XP_013669317.2	XP_013617438.1, XP_013613453.1	XP_009113007.1													
N15.HOG0000143	OG0000003	n561									XP_013601099.1														XP_018460312.1
N15.HOG0000144	OG0000003	n564																							XP_018448667.1
N15.HOG0000145	OG0000003	n565									XP_013624826.1														
N15.HOG0000146	OG0000003	n580									XP_013624578.1														
N15.HOG0000147	OG0000003	n587								XP_013658381.1, XP_013751798.1	XP_013624082.1, XP_013589023.1, XP_013588872.1, XP_013583408.1, XP_013639546.1														XP_018463109.1
N15.HOG0000148	OG0000003	n600									XP_013615225.1														
N15.HOG0000149	OG0000003	n601									XP_013639656.1														
N15.HOG0000150	OG0000003	n613									XP_013590083.1														
N15.HOG0000151	OG0000003	n614								XP_048620084.1	XP_013594487.1, XP_013615216.1, XP_013589558.1, XP_013589160.1								CP12_g30974_DN2_SP0_c.t1						
N15.HOG0000152	OG0000003	n627								XP_048627106.1															
N15.HOG0000153	OG0000003	n630									XP_013599594.1											XP_024010571.1, XP_024010572.1			
N15.HOG0000154	OG0000003	n638								XP_048612100.1															
N15.HOG0000155	OG0000003	n640										XP_033139262.1, XP_033139474.1, XP_033139183.1													
N15.HOG0000156	OG0000003	n652																				XP_024009459.1, XP_024011381.1, XP_024013106.1, XP_024009610.1			
N15.HOG0000157	OG0000003	n659																				XP_024014967.1			
N15.HOG0000158	OG0000003	n661																				XP_024016386.1, XP_024014880.1			
N15.HOG0000159	OG0000003	n673								XP_048619938.1															
N15.HOG0000160	OG0000003	n690										XP_033139130.1													
N15.HOG0000161	OG0000003	n706																	CP72_g12646_DN1_SP0_c.t1			XP_024010454.1, XP_024010649.1, XP_024013240.1			
N15.HOG0000162	OG0000003	n738																				XP_024016355.1			
N15.HOG0000163	OG0000003	n742									XP_013624301.1														
N15.HOG0000164	OG0000003	n754								XP_048631220.1	XP_013601228.1	XP_033138884.1, XP_033144133.1, XP_033138943.1, XP_033138945.1													
N15.HOG0000165	OG0000003	n762								XP_048627963.1												XP_024016373.1			
