HOG	OG	Gene Tree Parent Clade	Aethionema_saxatile	Alyssum_gmelinii	Arabidopsis_arenosa	Arabidopsis_lyrata_NCBI	Arabidopsis_lyrata_Rawat	Arabidopsis_thaliana	Arabis_alpina	Brassica_napus	Brassica_oleracea	Brassica_rapa	Camelina_sativa	Capsella_rubella	Cardamine_amara	Cardamine_glauca	Cardamine_hirsuta	Cochlearia_excelsa	Conringia_planisiliqua	Erysimum_linariifolium	Euclidium_syriacum	Eutrema_salsugineum	Noccaea_praecox	Odontarrhena_muralis	Raphanus_sativus
N10.HOG0000043	OG0000003	n544													evm.model.RL_6.1194										
N10.HOG0000044	OG0000003	n630													evm.model.RL_2.548										
N10.HOG0000045	OG0000003	n640													evm.model.RL_2.709										
N10.HOG0000046	OG0000003	n648													evm.model.RL_6.630, evm.model.RL_6.635, evm.model.RL_2.683, evm.model.RL_1.2634										
N10.HOG0000047	OG0000003	n652													evm.model.RL_5.2492, evm.model.RL_3.793, evm.model.RL_6.677, evm.model.RL_3.838										
N10.HOG0000048	OG0000003	n659													evm.model.RL_6.670										
N10.HOG0000049	OG0000003	n709													evm.model.RL_6.671, evm.model.RL_8.1012										
N10.HOG0000050	OG0000003	n711													evm.model.RL_2.708										
N10.HOG0000051	OG0000003	n742													evm.model.RL_5.2504										
N10.HOG0000052	OG0000003	n750													evm.model.RL_6.652										
N10.HOG0000053	OG0000003	n813													evm.model.RL_1.2635										
N10.HOG0000054	OG0000003	n825													evm.model.RL_5.2495, evm.model.RL_5.2496, evm.model.RL_1.2659, evm.model.RL_1.2653, evm.model.RL_1.2637										
N10.HOG0000055	OG0000003	n958													evm.model.RL_1.2661, evm.model.RL_1.2660, evm.model.RL_2.686										
N10.HOG0000056	OG0000003	n975													evm.model.RL_2.668										
N10.HOG0000057	OG0000003	n979													evm.model.RL_3.810										
N10.HOG0000058	OG0000003	n986													evm.model.RL_7.2055, evm.model.RL_6.631										
N10.HOG0000059	OG0000003	n1017													evm.model.RL_7.2059, evm.model.RL_6.676										
N10.HOG0000060	OG0000003	n1041													evm.model.RL_1.2633										
N10.HOG0000061	OG0000004	n141													evm.model.RL_2.401										
N10.HOG0000062	OG0000004	n176															CARHR254290								
N10.HOG0000063	OG0000004	n193															CARHR214930								
N10.HOG0000064	OG0000004	n212															CARHR142010								
N10.HOG0000065	OG0000004	n699													evm.model.RL_2.402										
N10.HOG0000066	OG0000005	n27													evm.model.RL_2.975		CARHR034640								
N10.HOG0000067	OG0000005	n28													evm.model.RL_4.402		CARHR017910								
N10.HOG0000068	OG0000005	n31													evm.model.RL_4.816, evm.model.RL_4.229		CARHR145720								
N10.HOG0000069	OG0000005	n61															CARHR055780								
N10.HOG0000070	OG0000005	n71													evm.model.RL_8.2917										
N10.HOG0000071	OG0000005	n81															CARHR114650								
N10.HOG0000072	OG0000005	n95															CARHR153540								
N10.HOG0000073	OG0000005	n96															CARHR160220								
N10.HOG0000074	OG0000005	n113													evm.model.RL_7.1952										
N10.HOG0000075	OG0000005	n116													evm.model.RL_8.339										
N10.HOG0000076	OG0000005	n214													evm.model.RL_1.1902										
N10.HOG0000077	OG0000005	n457													evm.model.RL_2.1105										
N10.HOG0000078	OG0000005	n521													evm.model.RL_1.1903										
N10.HOG0000079	OG0000005	n660													evm.model.RL_1.1086										
N10.HOG0000080	OG0000005	n701															CARHR091740								
N10.HOG0000081	OG0000005	n704															CARHR034120, CARHR056420								
N10.HOG0000082	OG0000005	n708															CARHR077050								
N10.HOG0000083	OG0000005	n712															CARHR059740								
N10.HOG0000084	OG0000005	n741															CARHR248000								
N10.HOG0000085	OG0000005	n805													evm.model.RL_1.1904, evm.model.RL_2.461										
N10.HOG0000086	OG0000005	n923													evm.model.RL_2.1096										
N10.HOG0000087	OG0000006	n4															CARHR180980, CARHR287750								
N10.HOG0000088	OG0000006	n8													evm.model.RL_6.444		CARHR216870, CARHR256390, CARHR115290, CARHR262640								
N10.HOG0000089	OG0000006	n22															CARHR214530								
N10.HOG0000090	OG0000006	n25															CARHR052910, CARHR117490, CARHR293410, CARHR184100, CARHR216900, CARHR128840								
N10.HOG0000091	OG0000006	n139															CARHR055800								
N10.HOG0000092	OG0000006	n152															CARHR054390								
N10.HOG0000093	OG0000006	n156															CARHR099640								
N10.HOG0000094	OG0000006	n158															CARHR216040								
N10.HOG0000095	OG0000006	n161															CARHR029270, CARHR266880, CARHR156020								
N10.HOG0000096	OG0000006	n187															CARHR057030, CARHR032440								
N10.HOG0000097	OG0000006	n189															CARHR271650, CARHR060220								
N10.HOG0000098	OG0000006	n203															CARHR286510, CARHR024460								
N10.HOG0000099	OG0000006	n210															CARHR221620								
N10.HOG0000100	OG0000006	n237													evm.model.RL_1.2522										
N10.HOG0000101	OG0000006	n243															CARHR052510								
N10.HOG0000102	OG0000006	n246															CARHR150730								
N10.HOG0000103	OG0000006	n276													evm.model.RL_2.3087, evm.model.RL_5.3322										
N10.HOG0000104	OG0000006	n295															CARHR151410								
N10.HOG0000105	OG0000006	n558													evm.model.RL_1.817, evm.model.RL_2.785										
N10.HOG0000106	OG0000006	n625															CARHR183870								
N10.HOG0000107	OG0000006	n631															CARHR100700								
N10.HOG0000108	OG0000006	n640															CARHR180780								
N10.HOG0000109	OG0000006	n642													evm.model.RL_4.552		CARHR055190, CARHR182530								
N10.HOG0000110	OG0000006	n660															CARHR258710								
N10.HOG0000111	OG0000006	n676													evm.model.RL_4.553										
N10.HOG0000112	OG0000006	n677													evm.model.RL_5.578										
N10.HOG0000113	OG0000006	n679															CARHR182520								
N10.HOG0000114	OG0000006	n698															CARHR216050								
N10.HOG0000115	OG0000006	n705															CARHR096020								
N10.HOG0000116	OG0000006	n710															CARHR060330								
N10.HOG0000117	OG0000006	n719															CARHR271640, CARHR058320								
N10.HOG0000118	OG0000006	n731															CARHR257440								
N10.HOG0000119	OG0000006	n732															CARHR100290								
N10.HOG0000120	OG0000006	n734															CARHR029260								
N10.HOG0000121	OG0000006	n737															CARHR051850, CARHR156010								
N10.HOG0000122	OG0000006	n740															CARHR266890								
N10.HOG0000123	OG0000006	n885															CARHR152010								
N10.HOG0000124	OG0000006	n886															CARHR257960, CARHR154010								
N10.HOG0000125	OG0000006	n910															CARHR128850, CARHR262650, CARHR183200								
N10.HOG0000126	OG0000006	n913															CARHR214540								
N10.HOG0000127	OG0000007	n67															CARHR034550								
N10.HOG0000128	OG0000007	n85													evm.model.RL_2.1094										
N10.HOG0000129	OG0000007	n118													evm.model.RL_5.2474		CARHR166210, CARHR219900								
N10.HOG0000130	OG0000007	n120													evm.model.RL_8.1027, evm.model.RL_5.2316, evm.model.RL_1.2701		CARHR219240								
N10.HOG0000131	OG0000007	n166													evm.model.RL_3.2011										
N10.HOG0000132	OG0000007	n231													evm.model.RL_4.333, evm.model.RL_4.870, evm.model.RL_4.1691, evm.model.RL_7.1568, evm.model.RL_5.674, evm.model.RL_4.1223										
N10.HOG0000133	OG0000007	n348													evm.model.RL_1.2700, evm.model.RL_2.507										
N10.HOG0000134	OG0000007	n352													evm.model.RL_2.539										
N10.HOG0000135	OG0000007	n420													evm.model.RL_4.2369										
N10.HOG0000136	OG0000007	n426													evm.model.RL_4.557, evm.model.RL_2.1095										
N10.HOG0000137	OG0000007	n571													evm.model.RL_4.1690, evm.model.RL_7.1569										
N10.HOG0000138	OG0000007	n589													evm.model.RL_2.556										
N10.HOG0000139	OG0000008	n23															CARHR114970, CARHR117380, CARHR149870								
N10.HOG0000140	OG0000008	n37															CARHR046080, CARHR116420								
N10.HOG0000141	OG0000008	n40															CARHR284250, CARHR288670								
N10.HOG0000142	OG0000008	n52															CARHR101910								
N10.HOG0000143	OG0000008	n56													evm.model.RL_7.2148, evm.model.RL_2.761		CARHR217630								
N10.HOG0000144	OG0000008	n75															CARHR159360								
N10.HOG0000145	OG0000008	n87															CARHR111800, CARHR114980								
N10.HOG0000146	OG0000008	n426															CARHR150550								
N10.HOG0000147	OG0000008	n477															CARHR056560								
N10.HOG0000148	OG0000008	n514															CARHR103540								
N10.HOG0000149	OG0000008	n548															CARHR258310, CARHR217850, CARHR104250, CARHR181300, CARHR038360, CARHR257900, CARHR286450, CARHR035440, CARHR031010, CARHR117390, CARHR218770								
N10.HOG0000150	OG0000008	n560															CARHR259120								
N10.HOG0000151	OG0000008	n565															CARHR257810, CARHR218380								
N10.HOG0000152	OG0000008	n566															CARHR103530								
N10.HOG0000153	OG0000008	n588															CARHR115010								
N10.HOG0000154	OG0000008	n634															CARHR215020, CARHR181140, CARHR034850								
N10.HOG0000155	OG0000008	n663															CARHR216990, CARHR118910								
N10.HOG0000156	OG0000008	n671															CARHR217880, CARHR291920, CARHR221030								
N10.HOG0000157	OG0000008	n680													evm.model.RL_7.1211		CARHR161340, CARHR161350								
N10.HOG0000158	OG0000008	n695															CARHR161300, CARHR161310, CARHR161290								
N10.HOG0000159	OG0000008	n723															CARHR131120, CARHR217020, CARHR164530, CARHR288680								
N10.HOG0000160	OG0000008	n728															CARHR051890, CARHR035430, CARHR217860								
N10.HOG0000161	OG0000008	n733															CARHR286130, CARHR178960, CARHR119350, CARHR214330								
N10.HOG0000162	OG0000010	n2													evm.model.RL_7.2083, evm.model.RL_3.1061, evm.model.RL_2.724, evm.model.RL_2.751, evm.model.RL_2.615, evm.model.RL_2.220, evm.model.RL_7.2000, evm.model.RL_3.814, evm.model.RL_7.1970										
N10.HOG0000163	OG0000010	n68													evm.model.RL_6.734, evm.model.RL_8.1076										
N10.HOG0000164	OG0000010	n109													evm.model.RL_5.2592										
N10.HOG0000165	OG0000010	n114													evm.model.RL_2.396										
N10.HOG0000166	OG0000010	n121													evm.model.RL_5.2483										
N10.HOG0000167	OG0000010	n137															CARHR287490								
N10.HOG0000168	OG0000010	n160													evm.model.RL_2.723										
N10.HOG0000169	OG0000010	n163													evm.model.RL_5.2484										
N10.HOG0000170	OG0000010	n183													evm.model.RL_4.113										
N10.HOG0000171	OG0000010	n313													evm.model.RL_1.2671, evm.model.RL_2.783										
N10.HOG0000172	OG0000010	n315													evm.model.RL_8.1074										
N10.HOG0000173	OG0000010	n345													evm.model.RL_1.2848										
N10.HOG0000174	OG0000010	n346													evm.model.RL_7.2062										
N10.HOG0000175	OG0000010	n574													evm.model.RL_2.395										
N10.HOG0000176	OG0000011	n2															CARHR032720								
N10.HOG0000177	OG0000011	n63															CARHR190150, CARHR151420, CARHR057040								
N10.HOG0000178	OG0000011	n70															CARHR055810								
N10.HOG0000179	OG0000011	n73															CARHR032710								
N10.HOG0000180	OG0000011	n77															CARHR190160								
N10.HOG0000181	OG0000011	n388															CARHR256470								
N10.HOG0000182	OG0000011	n410															CARHR130420								
N10.HOG0000183	OG0000011	n589													evm.model.RL_1.2267		CARHR060340								
N10.HOG0000184	OG0000011	n602															CARHR032700								
N10.HOG0000185	OG0000012	n330													evm.model.RL_5.2583										
N10.HOG0000186	OG0000012	n349													evm.model.RL_6.730, evm.model.RL_5.2582										
N10.HOG0000187	OG0000012	n378													evm.model.RL_2.748										
N10.HOG0000188	OG0000012	n492													evm.model.RL_3.685										
N10.HOG0000189	OG0000012	n515													evm.model.RL_2.3										
N10.HOG0000190	OG0000013	n28													evm.model.RL_6.758		CARHR218430, CARHR058120								
N10.HOG0000191	OG0000013	n35													evm.model.RL_3.807, evm.model.RL_3.1357, evm.model.RL_4.820, evm.model.RL_2.791, evm.model.RL_6.523, evm.model.RL_4.704, evm.model.RL_2.641		CARHR259710, CARHR057870, CARHR288340								
N10.HOG0000192	OG0000013	n114													evm.model.RL_5.2507										
N10.HOG0000193	OG0000013	n134													evm.model.RL_2.759, evm.model.RL_7.1969										
N10.HOG0000194	OG0000013	n138													evm.model.RL_3.1358										
N10.HOG0000195	OG0000013	n172													evm.model.RL_3.673										
N10.HOG0000196	OG0000013	n184															CARHR183500, CARHR181670								
N10.HOG0000197	OG0000013	n284															CARHR116230, CARHR285000								
N10.HOG0000198	OG0000013	n289													evm.model.RL_6.609										
N10.HOG0000199	OG0000013	n293													evm.model.RL_4.752		CARHR287550								
N10.HOG0000200	OG0000013	n298													evm.model.RL_5.2591										
N10.HOG0000201	OG0000013	n313													evm.model.RL_7.2034, evm.model.RL_2.725, evm.model.RL_2.397										
N10.HOG0000202	OG0000013	n533													evm.model.RL_6.796										
N10.HOG0000203	OG0000014	n64													evm.model.RL_3.2282										
N10.HOG0000204	OG0000014	n96													evm.model.RL_1.2917										
N10.HOG0000205	OG0000014	n292													evm.model.RL_3.2283										
N10.HOG0000206	OG0000014	n459													evm.model.RL_3.2284										
N10.HOG0000207	OG0000014	n498													evm.model.RL_1.2667										
N10.HOG0000208	OG0000015	n96													evm.model.RL_1.3215		CARHR258200								
N10.HOG0000209	OG0000015	n135													evm.model.RL_7.2535										
N10.HOG0000210	OG0000015	n174													evm.model.RL_1.2713, evm.model.RL_1.2714		CARHR055900								
N10.HOG0000211	OG0000015	n307													evm.model.RL_2.1121										
N10.HOG0000212	OG0000015	n375													evm.model.RL_8.879										
N10.HOG0000213	OG0000015	n508													evm.model.RL_4.1007										
N10.HOG0000214	OG0000017	n36													evm.model.RL_7.1888										
N10.HOG0000215	OG0000017	n37													evm.model.RL_3.613										
N10.HOG0000216	OG0000017	n278													evm.model.RL_2.1821										
N10.HOG0000217	OG0000017	n301													evm.model.RL_6.717										
N10.HOG0000218	OG0000017	n340													evm.model.RL_7.1516		CARHR213120								
N10.HOG0000219	OG0000017	n365															CARHR113350								
N10.HOG0000220	OG0000017	n367															CARHR049310, CARHR034150								
N10.HOG0000221	OG0000017	n388													evm.model.RL_3.2130										
N10.HOG0000222	OG0000018	n50													evm.model.RL_4.1915										
N10.HOG0000223	OG0000018	n78													evm.model.RL_6.190										
N10.HOG0000224	OG0000018	n219															CARHR146600								
N10.HOG0000225	OG0000018	n295													evm.model.RL_7.1872										
N10.HOG0000226	OG0000019	n98													evm.model.RL_7.2531		CARHR259400								
N10.HOG0000227	OG0000019	n161													evm.model.RL_1.2654										
N10.HOG0000228	OG0000019	n180													evm.model.RL_7.2268										
N10.HOG0000229	OG0000020	n7															CARHR183140								
N10.HOG0000230	OG0000020	n24													evm.model.RL_7.2127		CARHR159320, CARHR180190								
N10.HOG0000231	OG0000020	n31															CARHR284910								
N10.HOG0000232	OG0000020	n43															CARHR159350								
N10.HOG0000233	OG0000020	n48													evm.model.RL_8.674		CARHR115000, CARHR183020, CARHR149880, CARHR103550, CARHR258320, CARHR152520, CARHR154280, CARHR217870								
N10.HOG0000234	OG0000020	n61															CARHR287070								
N10.HOG0000235	OG0000020	n108															CARHR159330, CARHR114460								
N10.HOG0000236	OG0000020	n113															CARHR266440, CARHR182600, CARHR106310, CARHR116050								
N10.HOG0000237	OG0000020	n118													evm.model.RL_8.1178		CARHR217640, CARHR108030								
N10.HOG0000238	OG0000020	n135															CARHR289940								
N10.HOG0000239	OG0000020	n141													evm.model.RL_7.1677, evm.model.RL_7.2128		CARHR154170								
N10.HOG0000240	OG0000020	n144															CARHR101900, CARHR057520, CARHR158150								
N10.HOG0000241	OG0000020	n147															CARHR284230								
N10.HOG0000242	OG0000020	n423															CARHR266450, CARHR035020, CARHR108040, CARHR158140								
N10.HOG0000243	OG0000020	n433															CARHR287680, CARHR287700								
N10.HOG0000244	OG0000020	n450															CARHR266460								
N10.HOG0000245	OG0000020	n462													evm.model.RL_7.2129										
N10.HOG0000246	OG0000020	n484															CARHR284240								
N10.HOG0000247	OG0000021	n22													evm.model.RL_7.92, evm.model.RL_2.444										
N10.HOG0000248	OG0000021	n52													evm.model.RL_5.2428										
N10.HOG0000249	OG0000021	n61													evm.model.RL_6.438										
N10.HOG0000250	OG0000021	n65													evm.model.RL_1.1304										
N10.HOG0000251	OG0000021	n124													evm.model.RL_7.2168, evm.model.RL_8.1544, evm.model.RL_6.430										
N10.HOG0000252	OG0000021	n130													evm.model.RL_5.3643, evm.model.RL_3.291, evm.model.RL_6.1178, evm.model.RL_5.2234										
N10.HOG0000253	OG0000021	n145													evm.model.RL_4.405										
N10.HOG0000254	OG0000021	n209													evm.model.RL_3.587										
N10.HOG0000255	OG0000021	n220													evm.model.RL_2.653										
N10.HOG0000256	OG0000021	n350													evm.model.RL_3.586										
N10.HOG0000257	OG0000021	n351													evm.model.RL_1.1352, evm.model.RL_3.1079										
N10.HOG0000258	OG0000021	n353													evm.model.RL_2.288, evm.model.RL_1.2419										
N10.HOG0000259	OG0000021	n366													evm.model.RL_3.2511, evm.model.RL_4.693, evm.model.RL_8.704, evm.model.RL_2.654, evm.model.RL_2.286, evm.model.RL_5.3423										
N10.HOG0000260	OG0000021	n376													evm.model.RL_4.3275, evm.model.RL_5.2792										
N10.HOG0000261	OG0000023	n12													evm.model.RL_2.1848		CARHR057450								
N10.HOG0000262	OG0000023	n30													evm.model.RL_2.1849		CARHR230660								
N10.HOG0000263	OG0000023	n43															CARHR230630								
N10.HOG0000264	OG0000023	n57															CARHR230470, CARHR230480								
N10.HOG0000265	OG0000023	n68													evm.model.RL_2.1831		CARHR230450								
N10.HOG0000266	OG0000023	n70															CARHR230460								
N10.HOG0000267	OG0000023	n96													evm.model.RL_2.1843		CARHR230510								
N10.HOG0000268	OG0000023	n117													evm.model.RL_2.1842		CARHR230500								
N10.HOG0000269	OG0000023	n152															CARHR255010								
N10.HOG0000270	OG0000023	n168															CARHR255070								
N10.HOG0000271	OG0000023	n180															CARHR255050								
N10.HOG0000272	OG0000023	n195															CARHR255080, CARHR264010								
N10.HOG0000273	OG0000023	n205													evm.model.RL_8.634, evm.model.RL_8.635, evm.model.RL_7.2085										
N10.HOG0000274	OG0000023	n210													evm.model.RL_8.636		CARHR255040								
N10.HOG0000275	OG0000023	n235													evm.model.RL_2.1840										
N10.HOG0000276	OG0000023	n242															CARHR254960, CARHR254930								
N10.HOG0000277	OG0000023	n243													evm.model.RL_2.1839		CARHR230410								
N10.HOG0000278	OG0000023	n261															CARHR254870								
N10.HOG0000279	OG0000023	n282													evm.model.RL_8.624		CARHR254920								
N10.HOG0000280	OG0000023	n290													evm.model.RL_8.626		CARHR254910								
N10.HOG0000281	OG0000023	n291													evm.model.RL_8.630		CARHR254880								
N10.HOG0000282	OG0000023	n328													evm.model.RL_2.1829		CARHR230390								
N10.HOG0000283	OG0000023	n329													evm.model.RL_2.1830		CARHR230400								
N10.HOG0000284	OG0000023	n371													evm.model.RL_2.1825.3.687c86e4		CARHR230300								
N10.HOG0000285	OG0000023	n389															CARHR230640								
N10.HOG0000286	OG0000023	n396															CARHR230340								
N10.HOG0000287	OG0000023	n403													evm.model.RL_2.1841		CARHR254990								
N10.HOG0000288	OG0000023	n411													evm.model.RL_2.1826										
N10.HOG0000289	OG0000023	n421															CARHR230440, CARHR230330								
N10.HOG0000290	OG0000023	n439															CARHR230280, CARHR230310								
N10.HOG0000291	OG0000023	n441													evm.model.RL_2.1827		CARHR230350								
N10.HOG0000292	OG0000023	n452															CARHR055330								
N10.HOG0000293	OG0000024	n355													evm.model.RL_7.2066, evm.model.RL_8.1089										
N10.HOG0000294	OG0000024	n364													evm.model.RL_5.2480										
N10.HOG0000295	OG0000025	n12													evm.model.RL_2.872										
N10.HOG0000296	OG0000025	n30															CARHR220000								
N10.HOG0000297	OG0000025	n41															CARHR100770, CARHR248330, CARHR028790								
N10.HOG0000298	OG0000025	n47															CARHR267510, CARHR104940, CARHR242960								
N10.HOG0000299	OG0000025	n126															CARHR267660								
N10.HOG0000300	OG0000025	n129															CARHR267520								
N10.HOG0000301	OG0000025	n149															CARHR030080								
N10.HOG0000302	OG0000025	n152															CARHR242590, CARHR242640, CARHR030090, CARHR030060								
N10.HOG0000303	OG0000025	n196															CARHR289300								
N10.HOG0000304	OG0000025	n197															CARHR289310								
N10.HOG0000305	OG0000025	n200															CARHR268630								
N10.HOG0000306	OG0000025	n223													evm.model.RL_8.1541		CARHR267830								
N10.HOG0000307	OG0000025	n229															CARHR267840								
N10.HOG0000308	OG0000025	n249															CARHR267700								
N10.HOG0000309	OG0000025	n294															CARHR281120								
N10.HOG0000310	OG0000025	n307															CARHR269260								
N10.HOG0000311	OG0000025	n311															CARHR269250								
N10.HOG0000312	OG0000025	n319															CARHR203510								
N10.HOG0000313	OG0000025	n344													evm.model.RL_2.3111		CARHR244240								
N10.HOG0000314	OG0000025	n376															CARHR242060								
N10.HOG0000315	OG0000025	n425															CARHR285330								
N10.HOG0000316	OG0000025	n431													evm.model.RL_8.1529		CARHR203520, CARHR028780								
N10.HOG0000317	OG0000025	n445															CARHR257940, CARHR100760								
N10.HOG0000318	OG0000026	n16															CARHR215490								
N10.HOG0000319	OG0000026	n21													evm.model.RL_2.467, evm.model.RL_1.1627, evm.model.RL_1.2710										
N10.HOG0000320	OG0000026	n226													evm.model.RL_1.193, evm.model.RL_1.2571										
N10.HOG0000321	OG0000026	n228													evm.model.RL_5.679										
N10.HOG0000322	OG0000027	n28															CARHR116780								
N10.HOG0000323	OG0000027	n39															CARHR030400								
N10.HOG0000324	OG0000027	n49															CARHR052850								
N10.HOG0000325	OG0000027	n77															CARHR030460								
N10.HOG0000326	OG0000027	n78															CARHR030420								
N10.HOG0000327	OG0000027	n83															CARHR030890, CARHR031230								
N10.HOG0000328	OG0000027	n94															CARHR126510, CARHR030870								
N10.HOG0000329	OG0000027	n122															CARHR174240								
N10.HOG0000330	OG0000027	n217													evm.model.RL_3.649, evm.model.RL_7.2276		CARHR148710								
N10.HOG0000331	OG0000027	n220															CARHR113190								
N10.HOG0000332	OG0000027	n304															CARHR031540								
N10.HOG0000333	OG0000027	n311															CARHR213730								
N10.HOG0000334	OG0000027	n318															CARHR112760								
N10.HOG0000335	OG0000027	n337													evm.model.RL_5.2839										
N10.HOG0000336	OG0000027	n339															CARHR045190								
N10.HOG0000337	OG0000027	n354															CARHR030410, CARHR030440, CARHR030470								
N10.HOG0000338	OG0000027	n358															CARHR062310								
N10.HOG0000339	OG0000027	n412													evm.model.RL_7.603										
N10.HOG0000340	OG0000027	n413													evm.model.RL_7.580		CARHR168020								
N10.HOG0000341	OG0000027	n415															CARHR167830								
N10.HOG0000342	OG0000028	n25													evm.model.RL_7.2004, evm.model.RL_7.2001, evm.model.RL_7.2002, evm.model.RL_7.4, evm.model.RL_5.3115										
N10.HOG0000343	OG0000028	n107															CARHR056480								
N10.HOG0000344	OG0000028	n432															CARHR116610, CARHR153140								
N10.HOG0000345	OG0000029	n111															CARHR176810								
N10.HOG0000346	OG0000029	n133															CARHR154270								
N10.HOG0000347	OG0000029	n134													evm.model.RL_8.656										
N10.HOG0000348	OG0000029	n171															CARHR006310								
N10.HOG0000349	OG0000029	n176													evm.model.RL_4.797										
N10.HOG0000350	OG0000029	n229															CARHR287350								
N10.HOG0000351	OG0000029	n282													evm.model.RL_2.306		CARHR287660								
N10.HOG0000352	OG0000029	n370															CARHR099970								
N10.HOG0000353	OG0000029	n380															CARHR006250								
N10.HOG0000354	OG0000029	n384													evm.model.RL_5.2382		CARHR183060								
N10.HOG0000355	OG0000029	n393													evm.model.RL_1.2704										
N10.HOG0000356	OG0000029	n415															CARHR036950								
N10.HOG0000357	OG0000029	n422															CARHR213600								
N10.HOG0000358	OG0000030	n38													evm.model.RL_7.2074										
N10.HOG0000359	OG0000030	n92															CARHR181500								
N10.HOG0000360	OG0000030	n97													evm.model.RL_5.2340, evm.model.RL_6.2259										
N10.HOG0000361	OG0000030	n107															CARHR262520								
N10.HOG0000362	OG0000030	n110															CARHR029190, CARHR119670, CARHR035080								
N10.HOG0000363	OG0000030	n115															CARHR106930, CARHR110000								
N10.HOG0000364	OG0000030	n117															CARHR102250, CARHR289810								
N10.HOG0000365	OG0000030	n122															CARHR103350								
