HOG	OG	Gene Tree Parent Clade	Aethionema_saxatile	Alyssum_gmelinii	Arabidopsis_arenosa	Arabidopsis_lyrata_NCBI	Arabidopsis_lyrata_Rawat	Arabidopsis_thaliana	Arabis_alpina	Brassica_napus	Brassica_oleracea	Brassica_rapa	Camelina_sativa	Capsella_rubella	Cardamine_amara	Cardamine_glauca	Cardamine_hirsuta	Cochlearia_excelsa	Conringia_planisiliqua	Erysimum_linariifolium	Euclidium_syriacum	Eutrema_salsugineum	Noccaea_praecox	Odontarrhena_muralis	Raphanus_sativus
N8.HOG0000105	OG0000005	n592		Ag007G583430, Ag005G451500, Ag005G435920, Ag003G226760																				Om005G225270, Om004G159630, Om007G288000, Om007G313780, Om003G127510	
N8.HOG0000106	OG0000005	n625		Ag006G527380																				Om007G282810	
N8.HOG0000107	OG0000005	n660																						Om003G120090, Om004G171760, Om001G040140, Om005G219160, Om004G133100, Om007G278140, Om004G162990, Om002G061770, Om005G208920, Om001G009210, Om003G121940, Om008G357500, Om002G087060	
N8.HOG0000108	OG0000005	n681		Ag005G456210, Ag004G378640, Ag002G184410, Ag007G622960																				Om003G109540	
N8.HOG0000109	OG0000005	n685		Ag003G281680, Ag006G516620, Ag002G162490																				Om005G203430	
N8.HOG0000110	OG0000005	n699							Aa_G430190.h1.t1																
N8.HOG0000111	OG0000005	n739		Ag005G402580																					
N8.HOG0000112	OG0000005	n741		Ag007G622540																					
N8.HOG0000113	OG0000005	n751		Ag003G254650																					
N8.HOG0000114	OG0000005	n761		Ag008G663850, Ag004G399930																				Om003G112530, Om008G348300	
N8.HOG0000115	OG0000005	n766		Ag002G157290, Ag001G061510																					
N8.HOG0000116	OG0000005	n771		Ag004G314920																					
N8.HOG0000117	OG0000005	n775																						Om008G358870	
N8.HOG0000118	OG0000005	n781																						Om003G121930	
N8.HOG0000119	OG0000005	n792																						Om007G313790	
N8.HOG0000120	OG0000005	n797		Ag002G157300																					
N8.HOG0000121	OG0000005	n848		Ag003G219140, Ag007G614800																				Om008G339990	
N8.HOG0000122	OG0000005	n859																						Om004G151870, Om002G089170, Om004G141530	
N8.HOG0000123	OG0000005	n875		Ag004G356110																				Om005G217130	
N8.HOG0000124	OG0000005	n879		Ag004G390840, Ag004G351220, Ag006G508910																				Om007G307980	
N8.HOG0000125	OG0000005	n888		Ag003G238120																					
N8.HOG0000126	OG0000005	n894																						Om008G344510, Om006G244070, Om002G077150, Om002G081220, Om006G266940	
N8.HOG0000127	OG0000005	n908		Ag001G040530																				Om007G309960, Om001G015550, Om009G364000	
N8.HOG0000128	OG0000005	n914																						Om003G110250	
N8.HOG0000129	OG0000005	n916																						Om003G100620	
N8.HOG0000130	OG0000005	n923		Ag004G380930, Ag002G153530, Ag002G106450, Ag002G110480, Ag004G343590, Ag005G404130																				Om006G257980	
N8.HOG0000131	OG0000005	n941																						Om005G226590, Om008G346020	
N8.HOG0000132	OG0000005	n943		Ag005G488800																				Om006G261840	
N8.HOG0000133	OG0000006	n170							Aa_G188000.h1.t1																
N8.HOG0000134	OG0000006	n171							Aa_G437570.h1.t1																
N8.HOG0000135	OG0000006	n504		Ag005G455250																				Om005G227740	
N8.HOG0000136	OG0000006	n586							Aa_G727680.h1.t1																
N8.HOG0000137	OG0000006	n625							Aa_G70820.h1.t1																
N8.HOG0000138	OG0000006	n732							Aa_G508230.h1.t1																
N8.HOG0000139	OG0000006	n746							Aa_G85610.h1.t1																
N8.HOG0000140	OG0000007	n4		Ag006G558310, Ag005G454430, Ag006G564860, Ag001G013150, Ag004G317600, Ag006G566160, Ag005G467300																				Om006G262590, Om005G223090, Om005G223110, Om005G223130, Om002G079350, Om007G294980, Om007G304460	
N8.HOG0000141	OG0000007	n67		Ag003G244530, Ag008G714080, Ag002G134780, Ag004G397570, Ag006G558070, Ag005G410540																				Om006G253570, Om001G035080, Om001G019950, Om007G300730	
N8.HOG0000142	OG0000007	n86		Ag007G600770, Ag006G520860, Ag004G322400, Ag002G115840, Ag008G694060, Ag006G551070, Ag003G220220																				Om004G138310, Om002G075780, Om007G295140, Om006G263650, Om006G268070, Om002G088480, Om002G062480	
N8.HOG0000143	OG0000007	n106		Ag003G269320																				Om001G019860	
N8.HOG0000144	OG0000007	n134		Ag001G051310																					
N8.HOG0000145	OG0000007	n142		Ag007G627650, Ag001G052980, Ag007G623070, Ag003G244540																					
N8.HOG0000146	OG0000007	n166																						Om006G249530	
N8.HOG0000147	OG0000007	n178																						Om001G011630	
N8.HOG0000148	OG0000007	n181																						Om002G079510	
N8.HOG0000149	OG0000007	n189							Aa_G175710.h1.t1															Om007G283730	
N8.HOG0000150	OG0000007	n240																						Om005G219310	
N8.HOG0000151	OG0000007	n243																						Om006G244810, Om006G267880, Om011G365910, Om003G114390	
N8.HOG0000152	OG0000007	n276																						Om008G342300	
N8.HOG0000153	OG0000007	n348		Ag005G466650																				Om006G268350	
N8.HOG0000154	OG0000007	n352		Ag006G520850, Ag003G220210, Ag008G670760, Ag007G590140, Ag003G230710, Ag005G415480																				Om007G297600, Om005G190610, Om004G164520, Om006G258000	
N8.HOG0000155	OG0000007	n431		Ag005G466840, Ag007G581080, Ag002G197150, Ag006G545890																					
N8.HOG0000156	OG0000007	n545		Ag001G006450, Ag006G516390																				Om008G348570	
N8.HOG0000157	OG0000007	n556		Ag001G011750, Ag004G330770, Ag002G136200, Ag001G003030																				Om007G299940, Om006G268360, Om002G076040	
N8.HOG0000158	OG0000007	n643																						Om007G299920	
N8.HOG0000159	OG0000007	n650		Ag007G621080, Ag007G654560, Ag004G331620, Ag002G167090																				Om001G014950	
N8.HOG0000160	OG0000007	n657		Ag006G551560, Ag008G700460, Ag002G133570, Ag003G295790, Ag004G355850, Ag001G076690, Ag006G507940, Ag003G272760																				Om003G094710	
N8.HOG0000161	OG0000007	n665		Ag002G128050, Ag001G045970																				Om004G143180	
N8.HOG0000162	OG0000007	n667		Ag006G527340																					
N8.HOG0000163	OG0000007	n668		Ag004G393060, Ag004G376540																				Om005G227520	
N8.HOG0000164	OG0000007	n681		Ag006G574510, Ag002G195530, Ag002G132070																				Om003G110160	
N8.HOG0000165	OG0000007	n705																						Om007G308670, Om005G224350	
N8.HOG0000166	OG0000007	n742																						Om003G091350	
N8.HOG0000167	OG0000007	n748																						Om006G248820, Om006G248770	
N8.HOG0000168	OG0000008	n8																						Om007G307170	
N8.HOG0000169	OG0000008	n43		Ag007G652280																					
N8.HOG0000170	OG0000008	n87		Ag002G148400																				Om007G308850	
N8.HOG0000171	OG0000008	n113																						Om009G364060	
N8.HOG0000172	OG0000008	n120		Ag002G152740, Ag007G618090, Ag001G039140																					
N8.HOG0000173	OG0000008	n136																						Om007G284450, Om008G361640, Om007G313430	
N8.HOG0000174	OG0000008	n370																						Om007G306510	
N8.HOG0000175	OG0000008	n468																						Om004G146620	
N8.HOG0000176	OG0000008	n471		Ag007G618290																					
N8.HOG0000177	OG0000008	n472		Ag001G044380, Ag008G677680, Ag004G365860																					
N8.HOG0000178	OG0000008	n515		Ag001G065030, Ag001G070290																				Om009G364160, Om009G364180	
N8.HOG0000179	OG0000008	n548		Ag005G430580																					
N8.HOG0000180	OG0000008	n588																						Om001G012780, Om004G176570, Om001G012870, Om001G012790, Om002G085300, Om002G081720, Om001G023520, Om006G274880	
N8.HOG0000181	OG0000008	n634		Ag004G391490, Ag001G055480, Ag001G024870, Ag002G143690, Ag005G427440, Ag002G180130, Ag003G281500																				Om008G328770, Om004G146610, Om004G145690, Om006G232740, Om007G292230, Om004G145980, Om007G313990, Om006G260180, Om002G073680	
N8.HOG0000182	OG0000008	n742		Ag005G426820																					
N8.HOG0000183	OG0000010	n2																						Om006G235910	
N8.HOG0000184	OG0000010	n50							Aa_G227980.h1.t1, Aa_G162930.h1.t1, Aa_G286860.h1.t1																
N8.HOG0000185	OG0000010	n55							Aa_G7690.h1.t1																
N8.HOG0000186	OG0000010	n68							Aa_G848940.h1.t1																
N8.HOG0000187	OG0000010	n183																						Om003G108840	
N8.HOG0000188	OG0000010	n330							Aa_G102160.h1.t1, Aa_G108660.h1.t1																
N8.HOG0000189	OG0000010	n565							Aa_G192810.h1.t1																
N8.HOG0000190	OG0000010	n592																						Om002G089070	
N8.HOG0000191	OG0000010	n620							Aa_G17450.h1.t1																
N8.HOG0000192	OG0000011	n14		Ag008G699310					Aa_G912630.h1.t1, Aa_G507370.h1.t1, Aa_G95430.h1.t1, Aa_G892370.h3.t1, Aa_G892370.h2.t1, Aa_G892370.h1.t1, Aa_G899650.h2.t1, Aa_G899650.h1.t1, Aa_G20660.h1.t1, Aa_G360660.h1.t1, Aa_G437580.h1.t1, Aa_G200180.h1.t1, Aa_G518970.h1.t1, Aa_G287610.h1.t1, Aa_G948050.h1.t1, Aa_G948050.h2.t1, Aa_G95420.h1.t1, Aa_G378160.h1.t1, Aa_G870430.h1.t1																
N8.HOG0000193	OG0000011	n77							Aa_G727670.h1.t1																
N8.HOG0000194	OG0000011	n83							Aa_G57260.h1.t1, Aa_G57270.h1.t1, Aa_G57300.h1.t1, Aa_G57280.h1.t1																
N8.HOG0000195	OG0000011	n393		Ag002G108600																					
N8.HOG0000196	OG0000012	n16		Ag005G452520																					
N8.HOG0000197	OG0000012	n20		Ag007G638410																					
N8.HOG0000198	OG0000012	n48		Ag007G621260, Ag005G417190																					
N8.HOG0000199	OG0000012	n54																						Om003G105480	
N8.HOG0000200	OG0000012	n65		Ag007G633420																				Om005G215090	
N8.HOG0000201	OG0000012	n95																						Om003G105470, Om004G154660	
N8.HOG0000202	OG0000012	n101		Ag004G367750																					
N8.HOG0000203	OG0000012	n216																						Om007G305450	
N8.HOG0000204	OG0000012	n338							Aa_G50170.h1.t1																
N8.HOG0000205	OG0000012	n349																						Om008G343540	
N8.HOG0000206	OG0000012	n360																						Om003G106630	
N8.HOG0000207	OG0000012	n426		Ag003G250910																				Om004G153330, Om018G374000	
N8.HOG0000208	OG0000012	n445																						Om007G307770	
N8.HOG0000209	OG0000012	n470		Ag001G026980																					
N8.HOG0000210	OG0000012	n542		Ag001G058690, Ag008G683900, Ag008G670600, Ag005G428880																					
N8.HOG0000211	OG0000012	n595																						Om008G342970	
N8.HOG0000212	OG0000012	n625																						Om008G345810	
N8.HOG0000213	OG0000013	n20		Ag006G559810																				Om008G346820, Om005G224220	
N8.HOG0000214	OG0000013	n27							Aa_G366470.h1.t1, Aa_G308560.h1.t1, Aa_G589080.h1.t1																
N8.HOG0000215	OG0000013	n114																						Om008G350670	
N8.HOG0000216	OG0000013	n122		Ag004G396400, Ag004G380450																				Om002G088760, Om001G031100, Om003G113450, Om006G258780	
N8.HOG0000217	OG0000013	n158		Ag008G708120, Ag001G014560																				Om001G020870	
N8.HOG0000218	OG0000013	n284		Ag001G041140																					
N8.HOG0000219	OG0000013	n533							Aa_G790.h1.t1															Om003G108850, Om006G268640	
N8.HOG0000220	OG0000014	n72		Ag008G691080																					
N8.HOG0000221	OG0000014	n87		Ag003G252810																				Om004G169570	
N8.HOG0000222	OG0000014	n269																						Om007G309000	
N8.HOG0000223	OG0000014	n389							Aa_G871750.h1.t1																
N8.HOG0000224	OG0000014	n390							Aa_G482960.h1.t1																
N8.HOG0000225	OG0000014	n538																						Om005G227750	
N8.HOG0000226	OG0000014	n546																						Om008G343700	
N8.HOG0000227	OG0000015	n62		Ag002G110750																					
N8.HOG0000228	OG0000015	n96		Ag008G676660																				Om008G350280	
N8.HOG0000229	OG0000015	n136							Aa_G1870.h1.t1, Aa_G12580.h1.t1, Aa_G564620.h1.t1, Aa_G201940.h1.t1																
N8.HOG0000230	OG0000015	n162							Aa_G367160.h1.t1, Aa_G253910.h1.t1, Aa_G1010780.h1.t1, Aa_G461040.h1.t1																
N8.HOG0000231	OG0000015	n168							Aa_G252900.h1.t1																
N8.HOG0000232	OG0000015	n170							Aa_G11720.h1.t1																
N8.HOG0000233	OG0000015	n174		Ag008G687430																					
N8.HOG0000234	OG0000015	n225							Aa_G115590.h1.t1, Aa_G564630.h1.t1, Aa_G260070.h1.t1																
N8.HOG0000235	OG0000015	n255		Ag004G376340																					
N8.HOG0000236	OG0000015	n258																						Om003G098660	
N8.HOG0000237	OG0000015	n274																						Om005G217510	
N8.HOG0000238	OG0000015	n324		Ag008G675720					Aa_G962140.h1.t1																
N8.HOG0000239	OG0000015	n373																						Om003G105790, Om004G154560	
N8.HOG0000240	OG0000015	n381							Aa_G183280.h1.t1, Aa_G533220.h1.t1																
N8.HOG0000241	OG0000015	n385							Aa_G982290.h1.t1																
N8.HOG0000242	OG0000015	n401							Aa_G737830.h1.t1, Aa_G747790.h1.t1																
N8.HOG0000243	OG0000015	n403							Aa_G592580.h1.t1, Aa_G121380.h1.t1, Aa_G411050.h1.t1																
N8.HOG0000244	OG0000015	n411							Aa_G144110.h1.t1																
N8.HOG0000245	OG0000015	n412							Aa_G76160.h1.t1, Aa_G847620.h1.t1, Aa_G384790.h1.t1, Aa_G254670.h1.t1, Aa_G133470.h1.t1, Aa_G73740.h1.t1, Aa_G227990.h1.t1, Aa_G812290.h1.t1, Aa_G811960.h1.t1, Aa_G124950.h1.t1, Aa_G433440.h1.t1, Aa_G596150.h1.t1, Aa_G325800.h1.t1, Aa_G241940.h1.t1, Aa_G11210.h1.t1, Aa_G329640.h1.t1, Aa_G516610.h1.t1, Aa_G43930.h1.t1, Aa_G569340.h1.t1, Aa_G391620.h1.t1, Aa_G57320.h1.t1, Aa_G112930.h1.t1																
N8.HOG0000246	OG0000015	n465																						Om006G270800	
N8.HOG0000247	OG0000015	n530							Aa_G212210.h1.t1																
N8.HOG0000248	OG0000017	n15		Ag005G432180, Ag001G042370					Aa_G135640.h1.t1															Om003G112310	
N8.HOG0000249	OG0000017	n34		Ag001G058750																				Om004G148090	
N8.HOG0000250	OG0000017	n37		Ag004G336140, Ag001G069670																					
N8.HOG0000251	OG0000017	n45							Aa_G917470.h1.t1																
N8.HOG0000252	OG0000017	n160		Ag002G124100, Ag004G375560, Ag001G050140																				Om004G151020, Om004G146420, Om008G347290, Om002G079940, Om008G359420, Om007G308900	
N8.HOG0000253	OG0000017	n301																						Om003G110750, Om007G302050, Om004G150950, Om009G363620, Om007G307580, Om008G344670, Om002G080330, Om001G016040	
N8.HOG0000254	OG0000017	n327		Ag004G368420, Ag003G267410, Ag004G341270, Ag002G159510					Aa_G813170.h5.t1, Aa_G813170.h4.t1, Aa_G813170.h1.t1, Aa_G813170.h3.t1, Aa_G813170.h2.t1																
N8.HOG0000255	OG0000017	n336		Ag002G182860																					
N8.HOG0000256	OG0000017	n340																						Om003G101880, Om004G153720	
N8.HOG0000257	OG0000018	n1																						Om008G335480, Om007G284460, Om008G361630	
N8.HOG0000258	OG0000018	n295		Ag007G609170																					
N8.HOG0000259	OG0000019	n22							Aa_G396980.h1.t1																
N8.HOG0000260	OG0000019	n33							Aa_G103560.h1.t1																
N8.HOG0000261	OG0000019	n38		Ag003G276070																					
N8.HOG0000262	OG0000019	n66																						Om005G222770	
N8.HOG0000263	OG0000019	n98		Ag006G545360																					
N8.HOG0000264	OG0000019	n122		Ag005G436930																					
N8.HOG0000265	OG0000019	n257																						Om004G154810	
N8.HOG0000266	OG0000019	n258																						Om003G104700	
N8.HOG0000267	OG0000019	n263		Ag003G263160, Ag006G497030																				Om002G077910	
N8.HOG0000268	OG0000019	n347		Ag007G613770, Ag002G147220, Ag003G285010																				Om006G268990	
N8.HOG0000269	OG0000019	n408		Ag007G642200, Ag006G545350																					
N8.HOG0000270	OG0000019	n409		Ag003G257300, Ag008G690690																					
N8.HOG0000271	OG0000019	n413		Ag005G447690, Ag004G361020, Ag001G055110, Ag007G635570, Ag001G073070																					
N8.HOG0000272	OG0000020	n12																						Om002G078790	
N8.HOG0000273	OG0000020	n19		Ag002G113970																					
N8.HOG0000274	OG0000020	n24																						Om007G308530, Om007G308500	
N8.HOG0000275	OG0000020	n38		Ag008G729190																					
N8.HOG0000276	OG0000020	n41		Ag005G440730																					
N8.HOG0000277	OG0000020	n43							Aa_G1000.h1.t1																
N8.HOG0000278	OG0000020	n61							Aa_G209100.h1.t1																
N8.HOG0000279	OG0000020	n83																						Om007G307160	
N8.HOG0000280	OG0000020	n104																						Om010G364780, Om008G361310	
N8.HOG0000281	OG0000020	n144																						Om002G078780	
N8.HOG0000282	OG0000020	n182																						Om008G361920	
N8.HOG0000283	OG0000020	n300		Ag003G281030, Ag003G281020																					
N8.HOG0000284	OG0000020	n423		Ag006G521270																					
N8.HOG0000285	OG0000020	n440																						Om008G361320	
N8.HOG0000286	OG0000020	n462																						Om007G309390	
N8.HOG0000287	OG0000020	n470		Ag005G441960																					
N8.HOG0000288	OG0000020	n484		Ag007G652270																					
N8.HOG0000289	OG0000021	n8																						Om005G226540, Om001G020790	
N8.HOG0000290	OG0000021	n28		Ag008G685590					Aa_G505500.h1.t1																
N8.HOG0000291	OG0000021	n65		Ag008G725210																					
N8.HOG0000292	OG0000021	n67																						Om001G038730	
N8.HOG0000293	OG0000021	n93																						Om008G331340	
N8.HOG0000294	OG0000021	n121		Ag008G663740																				Om007G288300, Om001G003370	
N8.HOG0000295	OG0000021	n162																						Om007G291430, Om002G057270	
N8.HOG0000296	OG0000021	n167																						Om005G225300	
N8.HOG0000297	OG0000021	n209		Ag005G443540																					
N8.HOG0000298	OG0000021	n475		Ag002G201670																				Om001G020780, Om001G006810, Om002G059070	
N8.HOG0000299	OG0000023	n7		Ag006G545600, Ag006G549030																					
N8.HOG0000300	OG0000023	n12																						Om001G010400	
N8.HOG0000301	OG0000023	n48																						Om001G010370, Om001G010380	
N8.HOG0000302	OG0000023	n74		Ag006G569900, Ag006G545580, Ag006G549040																				Om001G010360, Om001G009290	
N8.HOG0000303	OG0000023	n117							Aa_G92870.h1.t1, Aa_G494730.h1.t1, Aa_G92760.h1.t1																
N8.HOG0000304	OG0000023	n152							Aa_G561100.h1.t1																
N8.HOG0000305	OG0000023	n164		Ag002G145570, Ag002G145600																					
