Orthogroup	Brassica_rapa	Noccaea_praecox
OG0000009	XP_009117702.1, XP_009147334.1, XP_009135550.2, XP_033134013.1, XP_009113005.2, XP_033131870.1, XP_009102722.2, XP_009129720.1, XP_009124848.1, XP_009140864.1, XP_009139318.2, XP_018509100.1, XP_009146774.1	Np003G1663900, Np001G0129200, Np003G1783000
OG0000009	XP_009109961.2, XP_033148561.1, XP_009139324.1	Np006G3566400
OG0000009	XP_009142128.2, XP_009147176.2, XP_009152175.2, XP_018513613.1	Np002G0744000, Np002G0917100, Np003G1736600, Np001G0291400, Np001G0374300, Np001G0414900
OG0000011	XP_033128807.1	Np001G0276300
OG0000011	XP_018509279.1, XP_033141867.1	Np004G2119600
OG0000011	XP_033135200.1, XP_033139375.1	Np004G2397800
OG0000011	XP_033143559.1, XP_033143864.1, XP_033136826.1	Np002G1062300, Np003G1667700
OG0000011	XP_018511598.1, XP_009144754.1	Np001G0493800
OG0000011	XP_033131097.1, XP_033133861.1, XP_018512770.1, XP_033128536.1	Np001G0276200
OG0000012	XP_009107541.1, XP_033131678.1, XP_033147573.1, XP_009130018.2, XP_033137992.1, XP_033145249.1, XP_009133163.1, XP_018508590.1, XP_033136153.1, XP_033143315.1, XP_018515508.1, XP_033148485.1, XP_033129464.1, XP_033142991.1, XP_033143244.1, XP_018512230.2, XP_033145320.1, XP_009130444.2, XP_009139681.1, XP_033132935.1, XP_018512892.1, XP_033145505.1	Np005G2960400, Np001G0263300, Np005G2658400
OG0000012	XP_033131635.1	Np001G0263200
OG0000014	XP_033136253.1	Np002G0952400
OG0000014	XP_033134222.1	Np004G2216700
OG0000014	XP_033133348.1, XP_033133951.1, XP_033148585.1, XP_033134224.1, XP_009135775.2, XP_033141138.1, XP_033138488.1, XP_033140198.1	Np001G0275400, Np002G0982600
OG0000015	XP_033139829.1, XP_033146229.1	Np007G4026300
OG0000015	XP_033143451.1	Np008G4270200
OG0000015	XP_033143581.1, XP_018509525.1	Np008G4270300
OG0000015	XP_009145186.1	Np007G4092100, Np007G4161100
OG0000016	XP_033138989.1, XP_033129378.1, XP_033129363.1, XP_033139530.1	Np002G0990700, Np002G0970700, Np006G3586500, Np007G3998400
OG0000016	XP_033139529.1	Np003G1678900
OG0000016	XP_033136169.1, XP_033145488.1	Np002G1106400, Np002G0990200
OG0000016	XP_033143392.1	Np002G0990500
OG0000016	XP_033139397.1, XP_033138887.1, XP_033139290.1, XP_033138858.1	Np001G0355900
OG0000016	XP_033139447.1	Np002G1011300
OG0000016	XP_033139193.1, XP_033134304.1, XP_033139069.1, XP_033139019.1	Np009G4311500
OG0000018	XP_033147468.1	Np007G3967900
OG0000020	XP_033132628.1, XP_033134397.1, XP_009144112.2, XP_018510172.2, XP_033137868.1, XP_033139322.1, XP_033137097.1, XP_033131911.1, XP_033144538.1, XP_033131263.1, XP_033128364.1, XP_018511251.2, XP_033129018.1	Np005G2821900, Np005G2821200
OG0000021	XP_033148520.1, XP_033129353.1, XP_033131843.1, XP_009123464.1, XP_033133955.1, XP_033145227.1, XP_033136601.1, XP_033143268.1, XP_033141097.1, XP_033129522.1, XP_033141116.1, XP_033136202.1, XP_018513563.2, XP_033129361.1, XP_009119482.2, XP_009124449.2, XP_033128905.1, XP_033141768.1, XP_033139918.1, XP_033131029.1	Np005G2819900, Np003G1499900, Np004G2262900, Np003G1806100, Np001G0282400
OG0000021	XP_033143299.1, XP_033131754.1, XP_009113298.1, XP_033135948.1, XP_033145970.1, XP_009108738.3, XP_033145198.1, XP_033128732.1, XP_033141182.1, XP_033129326.1	Np002G1064200, Np002G0964900, Np003G1389200, Np005G3017500, Np007G3934300, Np003G1720200
OG0000022	XP_009118036.2, XP_009118081.1, XP_009110632.1, XP_033135466.1, XP_033138678.1	Np004G2449100
OG0000022	XP_009140073.1	Np005G3189900
OG0000023	XP_009139567.2, XP_018513679.2	Np002G1103400
OG0000023	XP_033139160.1, XP_033139271.1	Np004G2177800
OG0000023	XP_033148526.1, XP_033143287.1	Np003G1712400
OG0000023	XP_033131417.1, XP_033140796.1, XP_033147063.1	Np006G3415100
OG0000024	XP_018512901.1	Np004G1980700, Np004G1980500
OG0000024	XP_033133295.1	Np002G0932100
OG0000024	XP_009144063.2, XP_018514372.2, XP_033148397.1	Np004G2150800
OG0000024	XP_009116539.1	Np001G0579500, Np001G0579400
OG0000024	XP_033132209.1	Np004G2148800, Np004G2148600, Np005G2717400
OG0000026	XP_033135950.1, XP_033148527.1	Np002G1023700, Np003G1714900, Np004G2296200, Np002G1036400, Np006G3505400, Np002G0982000, Np002G0982200, Np004G2241900, Np002G1073000, Np002G1127100, Np004G2249100, Np002G1005400, Np001G0243300, Np002G0966100, Np004G2247000, Np001G0260700, Np002G1000900, Np004G2249200, Np006G3466700
OG0000026	XP_033148678.1, XP_033129369.1, XP_033134260.1, XP_033138371.1, XP_033147927.1, XP_033145901.1, XP_033148607.1, XP_033135946.1, XP_033141290.1	Np001G0460600, Np001G0205400, Np002G1009300, Np006G3527300, Np001G0460700, Np003G1715000
OG0000027	XP_033144191.1	Np005G2841300
OG0000027	XP_009136791.2	Np005G2838800
OG0000028	XP_009101849.2, XP_033129787.1, XP_033138374.1	Np003G1643200
OG0000028	XP_009119972.1	Np003G1629200, Np003G1591100, Np003G1628300, Np003G1590500
OG0000028	XP_033140818.1, XP_009127105.2, XP_009127106.1, XP_033140823.1	Np003G1814100, Np006G3583400, Np006G3684500, Np006G3583600, Np006G3583100, Np003G1813800, Np003G1813300
OG0000028	XP_009148196.2, XP_018509211.2, XP_009133872.1, XP_009102308.1, XP_009105560.1, XP_009105561.1, XP_009102299.1, XP_009133873.1	Np006G3533600, Np006G3532900, Np006G3474900, Np006G3473800, Np006G3703700, Np006G3698600, Np003G1462900, Np006G3474200, Np006G3698100, Np006G3696700
OG0000028	XP_033138713.1, XP_033140827.1, XP_033140822.1	Np003G1604900
OG0000029	XP_009130032.1, XP_033147848.1, XP_009127426.1, XP_009101982.1, XP_033133924.1, XP_009124763.2, XP_009113849.2, XP_009146105.1, XP_033129930.1, XP_009107501.2, XP_009115704.1	Np003G1708000, Np003G1897700, Np004G2071400
OG0000029	XP_009119478.1	Np002G1063900
OG0000030	XP_033129474.1, XP_033128828.1, XP_033131947.1	Np001G0090700
OG0000030	XP_033131797.1	Np004G2249500, Np004G2249800
OG0000030	XP_018510426.1	Np004G2250000
OG0000030	XP_033130762.1, XP_033145302.1, XP_033146117.1, XP_009123103.2, XP_009141585.2	Np007G4070000
OG0000031	XP_009150829.1	Np005G2850000
OG0000032	XP_033134461.1	Np008G4283700
OG0000032	XP_033143621.1	Np005G3033300, Np004G2084500, Np002G1024100
OG0000032	XP_033134901.1, XP_033128608.1	Np004G2267700
OG0000034	XP_009137321.1	Np005G2840700
OG0000034	XP_009136929.1	Np005G2840600
OG0000034	XP_009136747.2	Np005G2841400
OG0000034	XP_009137324.1, XP_033135404.1	Np005G2839700, Np005G2840900
OG0000034	XP_033143973.1, XP_033137152.1	Np005G2838300
OG0000034	XP_033143970.1	Np005G2841500
OG0000034	XP_009137317.1	Np005G2841700
OG0000035	XP_009144181.2, XP_009107908.2, XP_009130015.1, XP_033131299.1, XP_033138421.1, XP_033142140.1, XP_033138747.1, XP_033131849.1, XP_009145711.2, XP_009123716.1, XP_033145213.1, XP_033133960.1, XP_033138807.1, XP_033129339.1, XP_033136536.1, XP_033129338.1, XP_009120701.1, XP_033138808.1, XP_033145214.1, XP_009108653.1, XP_009111034.2, XP_033133919.1, XP_009108652.2	Np002G0894300
OG0000038	XP_033148503.1, XP_033136961.1, XP_033133837.1, XP_018510911.1, XP_018509044.1, XP_018509951.1, XP_009102769.1, XP_033129336.1	Np007G3978400
OG0000040	XP_009149322.1, XP_033131826.1, XP_009107588.1, XP_033134026.1, XP_009148789.1	Np006G3694800, Np006G3353400
OG0000040	XP_018513078.1	Np004G1916700, Np002G0779200
OG0000041	XP_033138682.1, XP_009120440.2	Np002G1205400
OG0000042	XP_033129992.1	Np004G2298700
OG0000042	XP_009108258.2	Np004G2161100, Np002G0961400
OG0000042	XP_009151481.2, XP_033141105.1	Np007G4027400, Np003G1737200, Np007G4178400, Np007G4238800, Np007G3908200
OG0000042	XP_033129573.1	Np003G1737100
OG0000042	XP_033134225.1, XP_033145843.1, XP_033143238.1, XP_033148584.1, XP_018515301.2, XP_033136651.1, XP_033130759.1, XP_033132456.1, XP_033130756.1, XP_033144303.1, XP_009121228.1, XP_033148072.1, XP_033135352.1	Np006G3478400
OG0000043	XP_033134364.1	Np006G3675100
OG0000044	XP_033139620.1	Np006G3308500
OG0000046	XP_009145895.1, XP_033141811.1, XP_033147696.1	Np004G2465800, Np002G1218600, Np005G2606800, Np003G1738800, Np002G0770100
OG0000046	XP_033146209.1, XP_033136827.1, XP_033146848.1, XP_033141133.1, XP_033131463.1, XP_033139854.1, XP_009129598.2, XP_033148784.1, XP_033131827.1, XP_009114167.2, XP_018512849.2, XP_033148557.1, XP_033129976.1	Np002G0812000, Np006G3271700, Np002G0901300, Np007G3942200, Np006G3533700, Np004G2173800, Np007G4037000, Np003G1635500, Np004G2079600, Np005G3093000, Np006G3271600, Np007G4080200, Np005G3032100, Np004G2183100, Np004G2290100, Np002G1005100, Np004G2334400
OG0000047	XP_009120239.1, XP_033134307.1, XP_033131812.1, XP_009124182.2, XP_009114455.1, XP_033131802.1, XP_009123813.1, XP_009123814.2, XP_009123579.2, XP_033129374.1, XP_033134308.1, XP_009123766.1, XP_033148540.1, XP_009145112.2, XP_033134303.1, XP_033134289.1, XP_009123343.2, XP_009124453.2, XP_009144635.1, XP_018511422.1, XP_033143388.1, XP_033134290.1, XP_033129373.1, XP_033134312.1, XP_033134310.1, XP_033145294.1, XP_009123666.1	Np002G1005500
OG0000048	XP_009141214.1, XP_033145357.1	Np006G3565700
OG0000049	XP_033139739.1	Np005G3022000
OG0000050	XP_033128725.1	Np005G2948800, Np006G3520600, Np001G0383900
OG0000050	XP_033134003.1	Np007G3953400
OG0000050	XP_009105612.1	Np001G0129000, Np001G0129100, Np001G0128800, Np004G2259400, Np004G2435300
OG0000051	XP_009119376.1, XP_009121616.2, XP_009118690.1	Np004G2552100, Np007G3843500, Np007G3849300, Np004G2593300, Np003G1312800, Np003G1313100, Np003G1316200, Np004G2360300
OG0000051	XP_009142066.1, XP_018513039.2	Np006G3285300, Np006G3285400
OG0000051	XP_018514205.1, XP_009113199.1	Np002G1156400, Np002G1163000, Np002G1166000, Np002G1168200, Np002G1168100, Np002G1156700, Np002G1164000, Np002G1229200, Np002G1168000, Np002G1055900, Np002G1071800, Np002G1164200, Np002G1169900, Np002G1170000, Np002G1162800, Np002G1142800, Np002G1142700, Np002G1156800, Np002G1163400, Np002G1164100
OG0000051	XP_033148413.1, XP_033147570.1, XP_033148423.1	Np006G3284900
OG0000051	XP_009142840.1, XP_033138797.1, XP_033138543.1, XP_033148410.1	Np003G1730300
OG0000052	XP_009152006.1	Np001G0218600
OG0000052	XP_033138197.1	Np002G0839600
OG0000055	XP_009131379.2, XP_033144999.1, XP_009121596.1, XP_033131219.1	Np006G3336100, Np006G3338700, Np003G1875300
OG0000055	XP_033143242.1	Np007G3923100, Np007G3922500
OG0000055	XP_009134817.1	Np007G4191600, Np007G4191200, Np005G2851900
OG0000056	XP_033135545.1	Np002G1201900, Np002G1202000, Np002G1202100
OG0000056	XP_009105844.1	Np002G1191800, Np002G1192300, Np002G1195300
OG0000056	XP_009105823.1, XP_033144208.1, XP_018510029.1	Np002G1194600, Np002G1195000, Np002G1194400, Np002G1189700, Np002G1195200, Np002G1194900, Np002G1189500, Np002G1201000, Np002G1189800, Np002G1194000, Np002G1200900
OG0000056	XP_009149950.1	Np001G0467300
OG0000058	XP_033147285.1, XP_009114424.1	Np004G2334500, Np006G3421900
OG0000058	XP_033131068.1, XP_033132741.1, XP_033141134.1, XP_033146849.1	Np006G3423100, Np006G3422500, Np004G2183000, Np007G3942100
OG0000058	XP_033131067.1, XP_033136880.1, XP_033148558.1, XP_009150325.2, XP_033133377.1	Np006G3504600, Np003G1369700, Np006G3421800, Np002G1073600, Np007G4038100
OG0000059	XP_033134217.1	Np001G0402100, Np005G3113000, Np006G3274400
OG0000059	XP_033139086.1, XP_033134279.1, XP_033132002.1, XP_033139374.1	Np006G3486400, Np005G2888900, Np005G3047300, Np007G3954600, Np003G1666900, Np003G1673900, Np005G2877500
OG0000059	XP_009150809.1, XP_009124471.1, XP_033143409.1, XP_033134211.1, XP_033133426.1, XP_009101327.1	Np003G1667800, Np001G0392300, Np001G0082700
OG0000059	XP_033129556.1, XP_009126874.2, XP_033128849.1, XP_033130899.1, XP_009145037.2, XP_009111372.1, XP_009117179.1, XP_009103786.3	Np004G2334600, Np002G1005000, Np007G3962700
OG0000060	XP_009103711.2, XP_009140937.1, XP_009150050.2, XP_009148029.2, XP_009118417.1, XP_009141673.1, XP_009131981.1, XP_009110918.2, XP_033128652.1, XP_009143480.1, XP_009133863.1, XP_009116068.1, XP_009126676.2, XP_009133191.2	Np003G1523200
OG0000061	XP_033141091.1, XP_009142554.1	Np005G2892000
OG0000061	XP_009120970.2	Np004G2504400, Np003G1460800, Np006G3212900, Np006G3217300
OG0000061	XP_033137465.1	Np003G1795500
OG0000061	XP_033145280.1	Np006G3280900
OG0000061	XP_009133838.1	Np002G1245500
OG0000061	XP_009141021.1, XP_009144344.2	Np006G3512200
OG0000061	XP_033134438.1	Np002G1245100, Np002G1245200
OG0000062	XP_009106514.2, XP_033138783.1	Np007G4021600
OG0000065	XP_033143336.1	Np002G0937300
OG0000065	XP_009140101.2, XP_009151130.2	Np005G3146600
OG0000066	XP_009125303.1, XP_009110843.1, XP_009112178.1, XP_009129719.2, XP_009114048.1, XP_009131154.1	Np004G2505200, Np003G1367100, Np001G0031500, Np004G2500100, Np003G1367200
OG0000066	XP_009104699.1, XP_009125263.1, XP_009131189.1, XP_009130061.1, XP_018511751.1	Np007G3771600
OG0000067	XP_018508435.1	Np005G2826900
OG0000068	XP_033137765.1, XP_009122279.3, XP_033144949.1, XP_033144954.1	Np005G3153500, Np005G3160300, Np005G3160400, Np005G3152300, Np005G3152600
OG0000068	XP_009141809.2, XP_033145607.1, XP_033145605.1, XP_033145608.1, XP_009106287.1, XP_009106290.2	Np001G0604000, Np001G0601600, Np001G0591700, Np001G0569900, Np001G0618200
OG0000068	XP_033144956.1, XP_009131006.1, XP_033136756.1, XP_009130957.1, XP_009130959.2, XP_033144664.1	Np003G1442200, Np003G1442100
OG0000068	XP_009118007.2, XP_009117917.2, XP_033134926.1, XP_033134927.1, XP_009117999.2	Np001G0556100, Np001G0557000, Np001G0558400
OG0000069	XP_018512413.1, XP_009105410.1	Np006G3706900, Np006G3707500
OG0000069	XP_033144867.1, XP_033144865.1, XP_009137441.1, XP_033143704.1, XP_009150992.2	Np006G3679100, Np006G3678800, Np004G1971900
OG0000069	XP_009142475.1	Np005G2913000, Np005G2913300, Np005G2926900, Np005G2926800
OG0000070	XP_009123589.1	Np007G3899300
OG0000070	XP_033136464.1	Np001G0248800
OG0000070	XP_009149503.1	Np004G2353400
OG0000070	XP_009104691.1, XP_009106248.2, XP_009128146.1	Np001G0364300, Np001G0366000, Np001G0526100, Np001G0525900, Np002G0771400
OG0000070	XP_033128831.1, XP_009147939.1, XP_033133669.1	Np004G1989200, Np004G1988600, Np004G2059200, Np001G0355800, Np001G0356100, Np001G0356000
OG0000072	XP_009102269.1	Np007G4041200, Np001G0368400, Np003G1731700, Np006G3587200, Np009G4327500, Np006G3447100, Np003G1510900, Np006G3565200
OG0000072	XP_009119460.3, XP_033138069.1, XP_009111623.2	Np002G0772500, Np004G2176900, Np006G3362700, Np002G0796100, Np001G0490300, Np008G4256100, Np001G0651800, Np002G1002300, Np005G3189400, Np007G3836600, Np006G3485300, Np004G2112600
OG0000072	XP_033146737.1	Np003G1588900, Np007G4122700, Np005G2824400
OG0000073	XP_033144992.1, XP_033143312.1, XP_009108668.2, XP_009139306.1, XP_009122924.1, XP_009132645.2	Np003G1524100
OG0000074	XP_033141144.1, XP_009115282.1, XP_018515120.1, XP_009124283.2, XP_033148537.1, XP_033138826.1, XP_009150337.1, XP_033143354.1, XP_033139002.1, XP_033145286.1, XP_033138837.1, XP_009124358.2, XP_009119511.1, XP_033131958.1, XP_009144677.1, XP_009150440.1, XP_009117211.1, XP_009150341.1	Np001G0425700, Np002G0733000
OG0000075	XP_009101861.1	Np006G3607400
OG0000075	XP_009127369.1	Np003G1743500, Np003G1743600, Np003G1743200
OG0000075	XP_009101862.1	Np005G2617300
OG0000075	XP_033144015.1	Np004G2247300
OG0000076	XP_009101919.1	Np005G2608900
OG0000077	XP_033139970.1	Np001G0381300
OG0000077	XP_033134075.1	Np002G1121700
OG0000077	XP_033141183.1	Np001G0247700
OG0000077	XP_009148269.1	Np002G1126100
OG0000077	XP_009113876.1, XP_009149053.2	Np001G0381400
OG0000078	XP_009126237.2	Np003G1455000, Np003G1454200
OG0000078	XP_009121020.1, XP_009121026.2, XP_009121024.1, XP_009121021.2	Np003G1454100, Np003G1455600
OG0000079	XP_033139099.1, XP_033129128.1, XP_033129127.1, XP_033147269.1, XP_033136406.1, XP_033148881.1, XP_033133874.1, XP_033130432.1, XP_033131180.1, XP_033147836.1, XP_009121263.2, XP_033146531.1, XP_009122926.1, XP_033143107.1, XP_033143236.1, XP_033136497.1, XP_033134319.1, XP_033147267.1, XP_009108250.2, XP_033148205.1, XP_033131034.1, XP_033129991.1, XP_033134219.1, XP_033145242.1, XP_033131468.1, XP_033139661.1, XP_033129913.1, XP_033128795.1, XP_033130871.1, XP_033146432.1, XP_033128838.1, XP_033133429.1, XP_033146434.1, XP_033128695.1, XP_033129645.1	Np004G2051400
OG0000080	XP_009148191.1, XP_009150004.1, XP_009151077.1, XP_009102487.2, XP_033130157.1, XP_033145284.1, XP_009106504.1, XP_033131941.1, XP_033133427.1, XP_033145641.1, XP_033129458.1, XP_033129334.1, XP_033136494.1, XP_009150329.2, XP_018509861.2, XP_033143233.1, XP_033134320.1, XP_033134265.1, XP_009108248.2, XP_018514427.2, XP_009103023.3, XP_033134335.1, XP_033136291.1, XP_033143341.1	Np005G2892700, Np005G3091900, Np003G1699700, Np005G2976700, Np009G4324800, Np002G1006200, Np003G1668800, Np002G1054600
OG0000081	XP_018509212.1, XP_033131829.1, XP_033133259.1	Np005G2602400
OG0000082	XP_033131405.1, XP_009110495.1	Np001G0452000
OG0000086	XP_009135925.1, XP_009139756.1	Np005G3022400
OG0000086	XP_033147599.1	Np005G3127100
OG0000086	XP_009132807.1	Np002G0867100
OG0000089	XP_009150907.1	Np001G0109800
OG0000089	XP_009150241.1, XP_009151388.1	Np005G2870600
OG0000089	XP_009150568.2, XP_009149954.2	Np001G0070200
OG0000089	XP_009144365.1, XP_009141007.2	Np006G3501600, Np008G4281600
OG0000089	XP_009121863.1	Np003G1391100
OG0000089	XP_009113926.1, XP_009101721.2	Np001G0399300
OG0000089	XP_009123590.1	Np005G2871200
OG0000089	XP_009106234.1	Np002G0774400
OG0000090	XP_033128016.1, XP_033136189.1	Np004G2177700, Np003G1831100, Np005G2971200, Np007G4113900, Np006G3546200, Np003G1792600, Np004G1961100, Np002G0878100, Np007G3883300
OG0000090	XP_009114438.1, XP_033147067.1, XP_009139876.1, XP_009138593.2, XP_033141256.1, XP_033148504.1	Np006G3523700
OG0000090	XP_033133394.1, XP_033141800.1	Np004G2304300
OG0000091	XP_009113892.3, XP_009131995.2, XP_033142283.1, XP_009116363.1	Np001G0389100, Np001G0389700
OG0000091	XP_009120802.1	Np003G1487100
OG0000091	XP_009143939.1, XP_033147614.1	Np001G0528700
OG0000095	XP_009134223.1, XP_009140586.1	Np006G3650600, Np006G3650500, Np006G3650700
OG0000095	XP_033145266.1, XP_033145760.1	Np006G3649600
OG0000095	XP_033146353.1, XP_033146352.1	Np006G3660300
OG0000095	XP_009151921.1, XP_009133951.1	Np006G3649400
OG0000095	XP_033145265.1	Np006G3650300
OG0000095	XP_033145267.1, XP_033145730.1	Np006G3650400, Np006G3654500, Np006G3650200, Np006G3660600
OG0000098	XP_033144223.1, XP_009137095.2, XP_033143042.1	Np004G2594800
OG0000098	XP_009150964.1, XP_009130073.1	Np001G0116500, Np001G0115500
OG0000100	XP_009113265.2	Np004G2064500
OG0000100	XP_009140612.2, XP_018509586.1, XP_018513710.2	Np002G1231900
OG0000100	XP_009112782.1	Np002G1113500
OG0000101	XP_033135654.1	Np002G0736300
OG0000101	XP_009123725.2	Np001G0306500
OG0000101	XP_033143361.1, XP_033133927.1	Np001G0036300
OG0000101	XP_033146383.1, XP_033140589.1, XP_033145942.1, XP_033134398.1, XP_033133647.1, XP_033135195.1	Np007G3942800
OG0000102	XP_009121666.1	Np003G1850200
OG0000102	XP_009134336.2	Np003G1849500
OG0000102	XP_009110937.1, XP_033135887.1	Np003G1850000
OG0000105	XP_033134179.1	Np002G1232000
OG0000106	XP_033134365.1, XP_009106472.1, XP_033138832.1, XP_033136535.1, XP_009129265.1	Np001G0133000
OG0000107	XP_033131954.1, XP_009113964.1	Np007G3984500
OG0000107	XP_009140112.1, XP_033142636.1	Np007G3984300
OG0000107	XP_009107347.1, XP_009117328.1	Np007G3806900, Np007G4184500
OG0000108	XP_009133195.1, XP_009141678.2	Np006G3369500, Np001G0565800
OG0000108	XP_009146646.1	Np007G4093400
OG0000108	XP_033138402.1, XP_009131124.2, XP_009125344.2	Np003G1360400
OG0000108	XP_009145858.2, XP_018513774.1	Np007G3950400
OG0000109	XP_018511390.2, XP_033129946.1, XP_033140615.1, XP_033134038.1	Np001G0341500
OG0000109	XP_033129717.1, XP_033139404.1, XP_033133988.1, XP_033135850.1, XP_033142467.1, XP_033139430.1, XP_033138987.1, XP_033134841.1	Np002G1184600, Np005G2935200, Np007G4014300, Np005G2978600, Np006G3449000, Np003G1723900, Np003G1723300, Np003G1723600, Np011G4357100, Np002G1174400, Np008G4281000, Np002G1033400
OG0000110	XP_033143194.1, XP_033144149.1, XP_033135355.1, XP_033142711.1, XP_033140785.1, XP_009119775.3, XP_033143375.1, XP_033148618.1, XP_033148616.1, XP_033147279.1, XP_018512940.2, XP_033143619.1	Np002G0928100
OG0000110	XP_033138831.1, XP_033148565.1	Np002G0972400
OG0000110	XP_033147814.1	Np002G1086700, Np005G2909800, Np002G1161200, Np004G2113400, Np005G3033600, Np002G0891500, Np007G4015500, Np008G4289300
OG0000111	XP_009102969.1, XP_009104069.1, XP_009121559.1, XP_009119630.1, XP_009116825.1	Np005G3154700
