Orthogroup	Brassica_rapa	Raphanus_sativus
OG0000000	XP_033134838.1	XP_018479791.1
OG0000000	XP_033130352.1	XP_018435819.1
OG0000000	XP_033142250.1	XP_018463807.1, XP_018479254.1, XP_018474361.1, XP_018458945.1, XP_018463519.1
OG0000000	XP_009138592.1	XP_018479550.1
OG0000000	XP_009103531.2	XP_018473616.1
OG0000000	XP_009124577.2	XP_018462059.1
OG0000002	XP_033140595.1	XP_018453716.1
OG0000002	XP_018511523.1	XP_018465757.1, XP_018435975.1
OG0000002	XP_033138881.1, XP_033139102.1, XP_033129425.1	XP_018461761.1, XP_018479516.1
OG0000002	XP_033129408.1	XP_018462785.1
OG0000002	XP_033134986.1, XP_033128755.1, XP_033148549.1	XP_018473643.1, XP_018453727.1, XP_018453623.1, XP_018435898.1, XP_018459427.1, XP_018436080.1, XP_018479330.1, XP_018454115.1, XP_018464980.1, XP_018462853.1, XP_018463118.1, XP_018471869.1
OG0000002	XP_033148076.1, XP_033134169.1	XP_018466031.1
OG0000003	XP_033145314.1, XP_009145336.1	XP_018473970.1
OG0000003	XP_009106506.2	XP_018460019.1
OG0000003	XP_033147757.1, XP_018509111.1, XP_033133957.1	XP_018467689.1, XP_018453433.1, XP_018453884.1
OG0000003	XP_033145281.1, XP_033134016.1	XP_018461971.1
OG0000003	XP_009123480.1	XP_018453894.1
OG0000003	XP_033129481.1, XP_033134448.1	XP_018487877.1
OG0000003	XP_033143250.1	XP_018473660.1, XP_018436223.1, XP_018464826.1, XP_018464837.1, XP_018463488.1, XP_018473840.1
OG0000003	XP_018510870.2	XP_018435394.1
OG0000003	XP_033131784.1	XP_018436038.1
OG0000003	XP_033129527.1	XP_018460607.1
OG0000003	XP_033134345.1	XP_018435481.1
OG0000003	XP_009132643.2	XP_018443265.1
OG0000003	XP_033133942.1	XP_018453463.1
OG0000003	XP_033143345.1	XP_018436097.1
OG0000003	XP_033148588.1	XP_018443770.1
OG0000003	XP_033129372.1	XP_018462893.1
OG0000003	XP_033131787.1	XP_018461119.1, XP_018459248.1
OG0000003	XP_033129393.1	XP_018443742.1
OG0000003	XP_009138649.2	XP_018459621.1, XP_018473790.1
OG0000003	XP_009102097.1	XP_018443595.1
OG0000003	XP_033129452.1, XP_018512128.2	XP_018467635.1
OG0000003	XP_009118886.2	XP_018479294.1
OG0000003	XP_033141698.1	XP_018448761.1, XP_018448579.1, XP_018474183.1, XP_018474353.1
OG0000003	XP_033136094.1	XP_018448722.1, XP_018487950.1, XP_018479095.1, XP_018435818.1
OG0000003	XP_033129442.1	XP_018435547.1
OG0000003	XP_033146211.1, XP_033142170.1, XP_033143214.1, XP_033131873.1	XP_018473666.1
OG0000003	XP_009113517.1	XP_018436465.1
OG0000004	XP_033132866.1, XP_033139421.1, XP_033146851.1, XP_033143942.1, XP_033137068.1, XP_033132321.1, XP_033132255.1, XP_033128096.1, XP_033139470.1, XP_033139367.1	XP_018466160.1, XP_018473944.1
OG0000004	XP_033138950.1, XP_033130324.1	XP_018467378.1
OG0000004	XP_033136136.1, XP_033145979.1, XP_033148872.1, XP_033133487.1	XP_018458452.1
OG0000004	XP_033132457.1, XP_033132962.1	XP_018479562.1
OG0000004	XP_033138897.1	XP_018435922.1
OG0000004	XP_033142456.1	XP_018459921.1, XP_018454350.1
OG0000004	XP_033129935.1	XP_018470557.1
OG0000004	XP_033139196.1	XP_018479771.1
OG0000004	XP_033129968.1, XP_033131705.1, XP_033129977.1, XP_033146608.1	XP_018459208.1, XP_018459207.1
OG0000004	XP_033139092.1, XP_033132083.1	XP_018474229.1, XP_018448799.1
OG0000004	XP_033139378.1, XP_033139209.1	XP_018462320.1, XP_018465985.1
OG0000005	XP_033147058.1	XP_018435852.1, XP_018435851.1
OG0000005	XP_033144892.1	XP_018453890.1, XP_018463384.1
OG0000005	XP_033148793.1	XP_018464531.1
OG0000005	XP_018511976.2	XP_018459047.1
OG0000005	XP_009113007.1	XP_018436209.1, XP_018454154.1
OG0000005	XP_033131673.1, XP_033139087.1	XP_018443683.1
OG0000005	XP_033145199.1, XP_033138856.1, XP_033139537.1	XP_018448581.1
OG0000005	XP_033138922.1	XP_018462024.1
OG0000005	XP_033139286.1	XP_018460386.1, XP_018463188.1
OG0000005	XP_033142139.1, XP_033141152.1	XP_018463010.1
OG0000005	XP_033139330.1, XP_033134418.1, XP_033139316.1, XP_033131095.1, XP_033139207.1, XP_033139380.1, XP_033139140.1	XP_018458503.1
OG0000005	XP_033139222.1, XP_033139526.1, XP_033139499.1, XP_033139354.1, XP_033139287.1, XP_033139242.1, XP_033138902.1, XP_033139528.1, XP_033141136.1, XP_033139289.1, XP_033139427.1, XP_033139424.1, XP_033139498.1, XP_033139368.1	XP_018479521.1
OG0000005	XP_033134337.1	XP_018458647.1
OG0000007	XP_033140542.1	XP_018455976.1, XP_018466179.1, XP_018462223.1
OG0000007	XP_033132504.1	XP_018462910.1, XP_018443719.1, XP_018463971.1, XP_018453920.1, XP_018453600.1, XP_018453608.1
OG0000007	XP_033131877.1	XP_018487693.1
OG0000007	XP_033134391.1, XP_009103805.2	XP_018487830.1, XP_018436238.1
OG0000007	XP_009129528.2, XP_033133945.1	XP_018454081.1, XP_018453629.1
OG0000007	XP_033137354.1, XP_033148175.1, XP_009151426.1	XP_018471975.1
OG0000007	XP_033148049.1	XP_018453972.1, XP_018463970.1, XP_018455359.1, XP_018459674.1
OG0000007	XP_018513873.2, XP_033139229.1, XP_009127425.2, XP_033140897.1, XP_009103747.2, XP_033133217.1, XP_033138322.1, XP_009128548.2, XP_009107586.3, XP_033137263.1, XP_009128533.2, XP_033145152.1, XP_033129678.1, XP_009144141.2, XP_033140024.1, XP_033134787.1, XP_033141430.1, XP_009140704.1	XP_018448282.1
OG0000007	XP_033146627.1	XP_018473323.1, XP_018436427.1, XP_018478071.1, XP_018478058.1, XP_018487797.1, XP_018462285.1, XP_018460028.1, XP_018443641.1, XP_018458760.1, XP_018487899.1, XP_018487674.1, XP_018479784.1, XP_018459734.1, XP_018436126.1, XP_018461127.1, XP_018465497.1, XP_018487572.1
OG0000007	XP_033132046.1	XP_018452687.1, XP_018464104.1
OG0000007	XP_018509717.2, XP_033143434.1, XP_033144206.1, XP_009107562.2, XP_033134788.1, XP_033131027.1, XP_033132428.1, XP_033133980.1, XP_033134568.1, XP_009120419.2, XP_033138143.1, XP_009113464.2, XP_009130602.2, XP_033133922.1, XP_009110769.2, XP_033148269.1, XP_033135997.1, XP_033135405.1	XP_018466855.1, XP_018436374.1, XP_018473843.1, XP_018462108.1, XP_018479202.1
OG0000007	XP_033142256.1, XP_033131850.1, XP_033132443.1, XP_033141204.1, XP_033141185.1, XP_033143314.1, XP_033128723.1	XP_018458777.1
OG0000007	XP_033136688.1, XP_033147435.1, XP_009108642.2, XP_018512011.2	XP_018466130.1, XP_018467308.1, XP_018464921.1
OG0000008	XP_033147955.1	XP_018463808.1, XP_018464542.1, XP_018460436.1, XP_018467327.1, XP_018436091.1
OG0000008	XP_033147295.1	XP_018467574.1, XP_018473874.1
OG0000008	XP_033148559.1	XP_018487389.1, XP_018453621.1
OG0000008	XP_033138365.1	XP_018473912.1, XP_018435954.1, XP_018443581.1
OG0000008	XP_033147243.1	XP_018462957.1
OG0000008	XP_033145226.1	XP_018454207.1
OG0000008	XP_033139890.1, XP_033129084.1, XP_033145197.1	XP_018488090.1, XP_018458139.1, XP_018489767.1
OG0000008	XP_018513989.2	XP_018444644.1
OG0000008	XP_033129879.1	XP_018448882.1, XP_018448884.1, XP_018464317.1, XP_018448605.1, XP_018463041.1, XP_018455757.1
OG0000008	XP_033140569.1, XP_033140184.1	XP_018458111.1, XP_018463415.1, XP_018453388.1
OG0000008	XP_033142381.1	XP_018467440.1, XP_018464167.1, XP_018487483.1
OG0000008	XP_033143622.1	XP_018453589.1
OG0000008	XP_009115858.3	XP_018438736.1
OG0000008	XP_033138353.1	XP_018473385.1
OG0000009	XP_033139461.1	XP_018463485.1, XP_018435713.1
OG0000009	XP_009142536.1, XP_009111228.2	XP_018458816.1
OG0000009	XP_033141066.1	XP_018435786.1
OG0000009	XP_033146099.1, XP_009137100.1, XP_018515469.2, XP_033140104.1	XP_018461258.1
OG0000009	XP_009112590.1	XP_018436049.1
OG0000009	XP_018510720.2	XP_018479971.1, XP_018453423.1
OG0000009	XP_009148188.2	XP_018487838.1, XP_018479007.1
OG0000009	XP_009105597.2, XP_033130816.1	XP_018479482.1
OG0000009	XP_033134456.1	XP_018458174.1
OG0000009	XP_033146265.1	XP_018474243.1
OG0000009	XP_009107743.1	XP_018479430.1
OG0000009	XP_009127063.3	XP_018448431.1
OG0000009	XP_009135908.2	XP_018487451.1, XP_018479585.1
OG0000009	XP_033138834.1, XP_009121250.1, XP_033145276.1	XP_018453761.1
OG0000009	XP_033128722.1	XP_018465007.1, XP_018465000.1
OG0000009	XP_033141202.1	XP_018479302.1, XP_018443348.1
OG0000009	XP_009102787.1	XP_018464274.1, XP_018488051.1, XP_018467672.1
OG0000009	XP_033131910.1	XP_018435806.1
OG0000009	XP_009117702.1, XP_009147334.1	XP_018467418.1
OG0000009	XP_009135550.2, XP_033134013.1, XP_009113005.2, XP_033131870.1, XP_009102722.2	XP_018443533.1
OG0000009	XP_009124848.1, XP_009140864.1, XP_009139318.2, XP_018509100.1, XP_009146774.1	XP_018481184.1
OG0000009	XP_009139341.2	XP_018463890.1
OG0000009	XP_009103764.1	XP_018466227.1
OG0000009	XP_009152173.2	XP_018479847.1, XP_018473842.1
OG0000009	XP_009117699.2	XP_018435552.1
OG0000009	XP_033144437.1	XP_018443423.1
OG0000009	XP_009103820.1	XP_018454182.1
OG0000009	XP_018512871.2, XP_033143266.1	XP_018466744.1
OG0000009	XP_009147176.2, XP_009152175.2, XP_018513613.1	XP_018459193.1
OG0000011	XP_033144009.1	XP_018448673.1, XP_018475002.1
OG0000011	XP_009124475.1, XP_009117181.1, XP_018509802.2, XP_033148528.1	XP_018465525.1, XP_018487710.1
OG0000011	XP_033144190.1	XP_018479350.1
OG0000011	XP_033143559.1	XP_018465398.1
OG0000011	XP_033143864.1	XP_018435783.1
OG0000011	XP_033143497.1, XP_033129499.1, XP_018513221.2	XP_018463028.1
OG0000011	XP_033148218.1	XP_018463180.1
OG0000011	XP_009121335.1	XP_018453737.1
OG0000011	XP_009119519.1	XP_018450169.1
OG0000011	XP_033143848.1, XP_033134783.1	XP_018453517.1
OG0000011	XP_033132530.1	XP_018444097.1
OG0000011	XP_033131097.1	XP_018448643.1
OG0000011	XP_033133861.1, XP_018512770.1	XP_018436024.1
OG0000012	XP_033147573.1	XP_018479747.1, XP_018479745.1
OG0000012	XP_009133163.1	XP_018450842.1
OG0000012	XP_033136153.1, XP_033143315.1	XP_018479316.1, XP_018481586.1, XP_018466155.1
OG0000012	XP_018515508.1	XP_018436044.1, XP_018465050.1
OG0000012	XP_033148485.1, XP_033129464.1, XP_033142991.1, XP_033143244.1, XP_018512230.2, XP_033145320.1	XP_018479889.1
OG0000012	XP_009130444.2	XP_018471963.1
OG0000012	XP_033132935.1, XP_018512892.1, XP_033145505.1	XP_018459024.1, XP_018462958.1
OG0000012	XP_033131837.1	XP_018463968.1, XP_018477654.1
OG0000012	XP_009150017.2	XP_018458558.1
OG0000014	XP_033138101.1	XP_018487321.1
OG0000014	XP_033133951.1, XP_033148585.1	XP_018443681.1
OG0000014	XP_033137204.1, XP_033143861.1	XP_018461000.1
OG0000015	XP_033131600.1	XP_018454014.1
OG0000016	XP_033139070.1, XP_033138857.1	XP_018459795.1, XP_018459797.1, XP_018460985.1, XP_018479528.1, XP_018461947.1, XP_018443753.1, XP_018443752.1, XP_018436039.1, XP_018460155.1, XP_018465034.1, XP_018458440.1
OG0000016	XP_033143392.1	XP_018466545.1, XP_018464905.1, XP_018465409.1, XP_018443351.1
OG0000016	XP_033139447.1	XP_018459313.1
OG0000016	XP_033139193.1, XP_033134304.1	XP_018473920.1
OG0000016	XP_033139069.1, XP_033139019.1	XP_018473934.1, XP_018487853.1
OG0000018	XP_033139921.1	XP_018467280.1
OG0000018	XP_033141158.1	XP_018487785.1
OG0000018	XP_033130747.1, XP_033133265.1, XP_033133430.1, XP_009141157.3, XP_033132402.1, XP_033137411.1, XP_033131545.1, XP_033137005.1, XP_033142695.1, XP_033131712.1, XP_033146991.1, XP_033132383.1, XP_033131381.1, XP_033140368.1, XP_033132262.1, XP_033134168.1, XP_033135138.1, XP_033147160.1, XP_033132417.1, XP_033145919.1, XP_033128118.1, XP_009113453.2, XP_033131412.1, XP_033144201.1, XP_033147268.1, XP_033144627.1, XP_033132260.1, XP_009151556.2	XP_018448678.1
OG0000018	XP_033147468.1	XP_018458644.1, XP_018474819.1
OG0000018	XP_033136031.1, XP_033147168.1, XP_033137222.1, XP_033132105.1	XP_018458866.1
OG0000020	XP_033128598.1, XP_033128603.1, XP_033141176.1, XP_033131231.1, XP_033144078.1, XP_033148833.1, XP_033139110.1, XP_033136846.1, XP_009128749.2, XP_033133948.1	XP_018487868.1, XP_018435883.1
OG0000020	XP_033146804.1	XP_018466125.1
OG0000020	XP_033132628.1	XP_018464215.1
OG0000020	XP_033134397.1, XP_009144112.2, XP_018510172.2, XP_033137868.1, XP_033139322.1, XP_033137097.1, XP_033131911.1, XP_033144538.1, XP_033131263.1, XP_033128364.1, XP_018511251.2, XP_033129018.1	XP_018448670.1, XP_018448669.1
OG0000021	XP_033148520.1	XP_018487788.1, XP_018463527.1, XP_018454070.1, XP_018459374.1, XP_018435524.1, XP_018442989.1
OG0000021	XP_033129353.1	XP_018473760.1, XP_018479172.1, XP_018473906.1
OG0000021	XP_033131843.1	XP_018489333.1, XP_018490274.1
OG0000021	XP_033133955.1, XP_033145227.1, XP_033136601.1	XP_018479751.1
OG0000021	XP_033129522.1	XP_018477832.1
OG0000021	XP_033141116.1	XP_018435707.1, XP_018435708.1
OG0000021	XP_033136202.1	XP_018458112.1, XP_018462856.1
OG0000021	XP_018513563.2	XP_018480047.1
OG0000021	XP_033141768.1	XP_018454082.1, XP_018489964.1
OG0000021	XP_033139918.1	XP_018464618.1, XP_018461870.1, XP_018463351.1
OG0000021	XP_033143299.1	XP_018473966.1, XP_018462293.1, XP_018435614.1
OG0000021	XP_033131754.1	XP_018470860.1, XP_018437387.1
OG0000021	XP_009113298.1	XP_018443708.1
OG0000021	XP_033145970.1	XP_018460228.1, XP_018463561.1, XP_018444645.1, XP_018443745.1, XP_018443744.1, XP_018479594.1, XP_018486634.1
OG0000021	XP_009108738.3, XP_033145198.1, XP_033128732.1, XP_033141182.1	XP_018463665.1, XP_018463095.1
OG0000021	XP_033129326.1	XP_018479103.1
OG0000022	XP_009142868.1	XP_018467852.1
OG0000022	XP_009121467.1	XP_018446660.1
OG0000022	XP_009112950.1	XP_018456474.1
OG0000022	XP_009112698.1	XP_018452507.1
OG0000022	XP_009112701.1	XP_018456914.1, XP_018456330.1
OG0000022	XP_033134453.1	XP_018439379.1
OG0000022	XP_009118036.2	XP_018490861.1, XP_018490862.1
OG0000022	XP_009118081.1	XP_018491224.1, XP_018491225.1, XP_018485652.1
OG0000022	XP_009110632.1	XP_018451491.1
OG0000022	XP_033135466.1	XP_018438507.1, XP_018440496.1
OG0000022	XP_033138678.1	XP_018463937.1, XP_018451058.1, XP_018448229.1
OG0000022	XP_009118532.1	XP_018493478.1, XP_018487942.1
OG0000022	XP_009140073.1	XP_018478989.1
OG0000022	XP_009114567.1	XP_018437843.1
OG0000023	XP_009107618.1	XP_018479707.1, XP_018435914.1
OG0000023	XP_033132125.1	XP_018484156.1
OG0000023	XP_033134273.1	XP_018458661.1, XP_018448717.1
OG0000023	XP_009139567.2, XP_018513679.2	XP_018459712.1, XP_018466264.1
OG0000023	XP_033139160.1, XP_033139271.1	XP_018443761.1
OG0000023	XP_033134299.1	XP_018443767.1
OG0000023	XP_033148526.1	XP_018453504.1
OG0000023	XP_033132665.1	XP_018473834.1, XP_018464886.1, XP_018479565.1
OG0000024	XP_018512901.1	XP_018485466.1, XP_018482596.1
OG0000024	XP_018510040.1	XP_018489860.1
OG0000024	XP_009109039.2	XP_018448249.1, XP_018448253.1, XP_018448250.1, XP_018448247.1, XP_018450273.1
OG0000024	XP_009144063.2, XP_018514372.2, XP_033148397.1	XP_018436387.1
OG0000024	XP_009116539.1	XP_018487153.1
OG0000024	XP_033132209.1	XP_018448575.1, XP_018448576.1
OG0000025	XP_033129969.1	XP_018487947.1
OG0000025	XP_033137033.1, XP_009110149.2, XP_033131742.1, XP_033137869.1, XP_009130346.2, XP_009115087.2, XP_009132281.2	XP_018448435.1, XP_018443587.1
OG0000025	XP_009104408.1, XP_033147758.1, XP_033139323.1, XP_033138425.1	XP_018483551.1
OG0000025	XP_033134215.1, XP_033145240.1, XP_009131311.3, XP_033130741.1, XP_033133225.1, XP_033134481.1, XP_033135508.1, XP_033129465.1, XP_033128962.1	XP_018436457.1
OG0000025	XP_033130697.1, XP_009113561.2	XP_018436069.1, XP_018453740.1, XP_018448718.1, XP_018463452.1
OG0000025	XP_033131820.1	XP_018435935.1
OG0000025	XP_033134331.1, XP_033135247.1	XP_018448760.1
OG0000025	XP_009150041.2	XP_018471288.1
OG0000025	XP_009149632.2	XP_018462638.1
OG0000025	XP_033133949.1, XP_009113566.2	XP_018443466.1
OG0000025	XP_033141177.1	XP_018487867.1
OG0000025	XP_033134459.1	XP_018463331.1
OG0000025	XP_033130671.1, XP_033136819.1	XP_018480029.1, XP_018487802.1
OG0000025	XP_009108648.2, XP_033129312.1	XP_018475505.1, XP_018475511.1
OG0000026	XP_033135950.1, XP_033148527.1	XP_018461685.1, XP_018479510.1, XP_018487597.1, XP_018480090.1, XP_018462643.1, XP_018487821.1, XP_018475107.1, XP_018456285.1, XP_018433777.1, XP_018448780.1, XP_018467220.1, XP_018487563.1, XP_018463237.1, XP_018470316.1
OG0000026	XP_033148678.1, XP_033129369.1, XP_033134260.1, XP_033138371.1, XP_033147927.1, XP_033145901.1	XP_018465470.1, XP_018487975.1, XP_018487976.1, XP_018448492.1
OG0000026	XP_033148607.1	XP_018487480.1
OG0000026	XP_033135946.1	XP_018440445.1, XP_018458044.1, XP_018462689.1, XP_018458371.1, XP_018479432.1, XP_018432616.1, XP_018489035.1
OG0000026	XP_033141290.1	XP_018448499.1, XP_018463920.1
OG0000027	XP_009134240.1	XP_018472886.1, XP_018472884.1
OG0000027	XP_033142038.1	XP_018476504.1, XP_018476512.1, XP_018454315.1
OG0000027	XP_009136778.1	XP_018468520.1
OG0000027	XP_009136797.2	XP_018468522.1
OG0000027	XP_033143898.1	XP_018468514.1, XP_018468509.1, XP_018468512.1
OG0000027	XP_009137327.1	XP_018483343.1
OG0000027	XP_009137326.1	XP_018483347.1
OG0000027	XP_009139620.1	XP_018478194.1, XP_018483533.1
OG0000027	XP_033132923.1	XP_018451933.1, XP_018448914.1
OG0000027	XP_009108600.1	XP_018451939.1, XP_018448955.1
OG0000027	XP_009137325.1	XP_018468502.1
OG0000027	XP_033144191.1	XP_018448923.1, XP_018448922.1
OG0000027	XP_009108162.1	XP_018454312.1
OG0000027	XP_009108168.1	XP_018454316.1
OG0000027	XP_009136374.2	XP_018445519.1
OG0000027	XP_033143803.1	XP_018445500.1
OG0000027	XP_033132924.1	XP_018448956.1
OG0000027	XP_009108593.2	XP_018448918.1
OG0000027	XP_009114807.1	XP_018439285.1
OG0000027	XP_009136791.2	XP_018463400.1, XP_018480408.1
OG0000028	XP_009101849.2, XP_033129787.1, XP_033138374.1	XP_018467289.1, XP_018480012.1
OG0000028	XP_009119972.1	XP_018455417.1
OG0000028	XP_033132412.1, XP_033132404.1, XP_009107001.1	XP_018474154.1, XP_018475339.1
OG0000028	XP_033136215.1	XP_018461874.1, XP_018469470.1, XP_018469464.1
OG0000028	XP_033140818.1	XP_018466632.1, XP_018466593.1
OG0000028	XP_009127105.2	XP_018466641.1, XP_018466603.1
OG0000028	XP_009127106.1	XP_018466579.1, XP_018466613.1, XP_018469209.1
OG0000028	XP_033140823.1	XP_018469254.1, XP_018440554.1, XP_018440555.1, XP_018469276.1
OG0000028	XP_009148196.2	XP_018465681.1, XP_018448362.1
OG0000028	XP_018509211.2	XP_018448364.1
OG0000028	XP_009133872.1	XP_018475375.1, XP_018475377.1
OG0000028	XP_009105561.1, XP_009102299.1, XP_009133873.1	XP_018475791.1, XP_018475795.1
OG0000028	XP_033138713.1	XP_018455496.1, XP_018454205.1
OG0000029	XP_009103430.1, XP_009103792.1, XP_033136629.1	XP_018478239.1, XP_018461350.1, XP_018473938.1, XP_018479503.1, XP_018453702.1, XP_018435877.1, XP_018463848.1, XP_018463679.1, XP_018479419.1, XP_018462971.1
OG0000029	XP_009105534.2	XP_018459455.1
OG0000029	XP_033129358.1	XP_018479546.1, XP_018443548.1, XP_018473650.1, XP_018435416.1, XP_018473647.1
OG0000029	XP_009128619.2	XP_018475894.1, XP_018478725.1, XP_018460863.1, XP_018479047.1
OG0000029	XP_009102786.1	XP_018472293.1
OG0000029	XP_009106480.1	XP_018459873.1, XP_018488169.1
OG0000029	XP_009130032.1	XP_018435280.1, XP_018435285.1
OG0000029	XP_009127426.1	XP_018443706.1, XP_018443735.1
OG0000029	XP_009101982.1	XP_018448537.1
OG0000029	XP_033133924.1	XP_018443698.1
OG0000029	XP_009124763.2, XP_009113849.2, XP_009146105.1	XP_018464762.1, XP_018453707.1, XP_018454030.1, XP_018473621.1, XP_018466148.1, XP_018466182.1, XP_018474041.1
OG0000029	XP_033129930.1, XP_009107501.2	XP_018448515.1
OG0000029	XP_009115704.1	XP_018436232.1
OG0000029	XP_009119478.1	XP_018463159.1
OG0000029	XP_033144745.1	XP_018487478.1
OG0000029	XP_009137703.2	XP_018460550.1
OG0000029	XP_009144174.1, XP_009132264.1, XP_009123077.2, XP_009121319.1, XP_009145179.2, XP_033138742.1, XP_009150817.2, XP_009138126.1, XP_009151013.1, XP_033141106.1, XP_009145551.2, XP_009115654.1	XP_018464271.1, XP_018465399.1, XP_018473758.1
OG0000029	XP_009150036.1	XP_018492516.1
OG0000030	XP_033144643.1, XP_033142641.1	XP_018443694.1
OG0000030	XP_009145735.1	XP_018488539.1
OG0000030	XP_033138328.1, XP_033137984.1	XP_018481995.1
OG0000030	XP_009141814.1	XP_018492454.1
OG0000030	XP_033129474.1, XP_033128828.1	XP_018479424.1, XP_018466469.1, XP_018462013.1
OG0000030	XP_033134242.1	XP_018453812.1, XP_018462162.1
OG0000030	XP_033148474.1	XP_018453970.1
OG0000030	XP_033143643.1	XP_018488225.1
OG0000030	XP_033131797.1	XP_018454017.1
OG0000030	XP_018510426.1	XP_018435374.1, XP_018435377.1, XP_018435375.1, XP_018435378.1
OG0000030	XP_033146117.1	XP_018471303.1
OG0000030	XP_009123103.2	XP_018481495.1, XP_018480537.1, XP_018481681.1
OG0000030	XP_009141585.2	XP_018479916.1
OG0000031	XP_033148609.1	XP_018459624.1
OG0000031	XP_033134208.1	XP_018448790.1, XP_018466792.1
OG0000031	XP_033148599.1	XP_018479461.1, XP_018466777.1, XP_018473377.1, XP_018436087.1, XP_018453832.1, XP_018467329.1, XP_018435496.1
OG0000031	XP_009144745.1	XP_018461346.1
OG0000031	XP_033129467.1, XP_009111364.2, XP_009109995.2	XP_018479743.1
OG0000031	XP_033128785.1	XP_018443765.1
OG0000031	XP_033134480.1, XP_009103830.2	XP_018474115.1
OG0000031	XP_033141110.1	XP_018459816.1, XP_018465887.1
OG0000031	XP_009114691.2, XP_009151526.1	XP_018453952.1, XP_018466560.1
OG0000031	XP_033131640.1	XP_018461533.1, XP_018453567.1
OG0000031	XP_009128527.1, XP_009128535.1	XP_018459998.1
OG0000031	XP_033141100.1	XP_018460440.1
OG0000031	XP_009112384.1, XP_009144965.1	XP_018467136.1
OG0000031	XP_009150353.1	XP_018473845.1
OG0000031	XP_009124884.2, XP_033139364.1, XP_033139558.1	XP_018435693.1
OG0000031	XP_009113173.1	XP_018462082.1, XP_018458803.1, XP_018458802.1
OG0000031	XP_009126345.2, XP_033131133.1, XP_009124322.1	XP_018463234.1
OG0000031	XP_033129314.1	XP_018461195.1
OG0000031	XP_033143295.1, XP_033144628.1	XP_018454095.1, XP_018465810.1
OG0000032	XP_033135776.1	XP_018463603.1
OG0000032	XP_033134461.1	XP_018487719.1
OG0000032	XP_009135997.2, XP_009150787.2, XP_033140358.1, XP_033144111.1, XP_033128356.1, XP_033135162.1, XP_033143832.1	XP_018467787.1
OG0000032	XP_033143621.1	XP_018482431.1
OG0000032	XP_033134268.1	XP_018460966.1
OG0000032	XP_033143202.1, XP_033142724.1	XP_018461981.1
OG0000034	XP_009137321.1	XP_018483350.1
OG0000034	XP_009136929.1	XP_018468503.1
OG0000034	XP_009136747.2	XP_018468517.1
OG0000034	XP_033135404.1	XP_018436206.1
OG0000034	XP_009137188.1	XP_018484117.1, XP_018484118.1
OG0000034	XP_009128507.1	XP_018460473.1
OG0000034	XP_018509629.1	XP_018455179.1
OG0000034	XP_009137319.1	XP_018449405.1, XP_018478765.1
OG0000034	XP_009124034.1	XP_018483529.1
OG0000034	XP_033143973.1, XP_033137152.1	XP_018463090.1
OG0000034	XP_033143970.1	XP_018483344.1
