Orthogroup	Brassica_rapa	Cochlearia_excelsa
OG0000015	XP_009107707.1	g2048, g25181, g50053, g44770, g53467, g40288, g5196, g37977
OG0000016	XP_033140973.1	g26414, g33049, g43980, g16018, g33075, g33082, g6383, g33103, g41983, g4182, g14664
OG0000016	XP_033138989.1, XP_033129378.1, XP_033129363.1, XP_033139530.1	g20467, g34722, g30434, g30429, g21277, g25157
OG0000016	XP_033136169.1, XP_033145488.1	g43401, g3658, g38750, g11415
OG0000016	XP_033143392.1	g4159
OG0000016	XP_033139397.1, XP_033138887.1, XP_033139290.1, XP_033138858.1	g14663
OG0000018	XP_033139921.1	g30241, g22178, g22177, g42074, g15587, g26133, g49000, g33242, g48916, g46455, g52653, g21880, g41722, g34939, g34229, g43876
OG0000018	XP_033141158.1	g33005, g53278, g19683, g22234, g51731, g34890, g3864, g10611, g28170, g22394, g33570, g53344, g35609, g51672, g49114, g49115, g30157, g43714, g28244, g43633, g17767, g35905, g2894, g43959, g41522, g3546, g48225, g53242, g30072
OG0000018	XP_033132262.1, XP_033134168.1, XP_033135138.1, XP_033147160.1, XP_033132417.1, XP_033145919.1	g17238
OG0000018	XP_033144627.1	g26234, g3502, g26941
OG0000018	XP_033147468.1	g22151, g4429, g25015, g53118, g3760, g25775, g17839
OG0000018	XP_033136031.1, XP_033147168.1, XP_033137222.1, XP_033132105.1	g11598, g33221, g14706, g33225, g52456, g35650
OG0000020	XP_033134397.1, XP_009144112.2, XP_018510172.2, XP_033137868.1, XP_033139322.1, XP_033137097.1, XP_033131911.1, XP_033144538.1, XP_033131263.1, XP_033128364.1, XP_018511251.2, XP_033129018.1	g33390, g4583, g39315, g14557, g17020, g24610, g21115, g9914, g35675, g23910, g6802, g46328, g31759, g51013, g17279, g1555, g19143, g35267, g34284, g46224, g6170, g31341, g4158, g25001, g4232, g46949, g53154, g2974, g49408, g25430, g25192, g31804, g43284, g49587, g36899, g2975, g3672, g27829, g32994, g1556, g34853, g4345, g51012, g19142, g14558, g53153, g29187, g49407, g42003
OG0000021	XP_033143299.1, XP_033131754.1, XP_009113298.1, XP_033135948.1, XP_033145970.1, XP_009108738.3, XP_033145198.1, XP_033128732.1, XP_033141182.1, XP_033129326.1	g43760, g4386, g34956, g53077, g43442, g33130, g45148, g29629, g14568, g25751, g49590, g27681, g2213, g37069, g2331
OG0000022	XP_009142868.1	g17118
OG0000022	XP_009121467.1	g5030
OG0000022	XP_009112698.1	g40889
OG0000022	XP_009112701.1	g40888
OG0000022	XP_009112843.1	g40751, g40752
OG0000022	XP_009140073.1, XP_009114567.1	g13269
OG0000023	XP_033134273.1	g42233, g26587
OG0000023	XP_033134299.1	g53561
OG0000024	XP_018512901.1	g43450
OG0000024	XP_033133295.1	g22601
OG0000024	XP_009116539.1	g2269
OG0000024	XP_033132209.1	g28294
OG0000025	XP_033129969.1	g17280, g46637, g25246, g50791
OG0000025	XP_033130697.1, XP_009113561.2	g41992, g4231, g43283, g2973, g25191, g33391, g33119
OG0000025	XP_033140694.1, XP_033139907.1, XP_033141132.1, XP_033139909.1	g51053, g2954, g3058, g11709, g27047, g32656, g47798, g43478, g23597, g14579, g3360, g43692, g7899, g4344, g49586, g31803, g4274, g46948
OG0000025	XP_033131820.1, XP_033134321.1, XP_033134331.1, XP_033135247.1, XP_009150041.2, XP_018513355.1, XP_033128551.1, XP_018515043.1, XP_009149632.2, XP_033129389.1, XP_033133949.1, XP_009113566.2, XP_033141177.1, XP_033133947.1, XP_033131885.1, XP_033143428.1, XP_033139107.1, XP_009115887.2, XP_033134459.1, XP_033130671.1, XP_033136819.1, XP_009108648.2, XP_033129312.1	g14806, g32688
OG0000026	XP_033135950.1, XP_033148527.1	g36073
OG0000026	XP_033148678.1, XP_033129369.1, XP_033134260.1, XP_033138371.1, XP_033147927.1, XP_033145901.1, XP_033148607.1, XP_033135946.1, XP_033141290.1	g28599
OG0000027	XP_033142038.1	g25723
OG0000027	XP_033142132.1	g25717, g25713, g48941, g48949
OG0000027	XP_009139620.1	g47441
OG0000027	XP_009108162.1	g40374
OG0000027	XP_009108168.1	g25720
OG0000030	XP_033129474.1, XP_033128828.1, XP_033131947.1	g38367, g38376, g38372, g38380
OG0000030	XP_033148474.1	g13799, g13797
OG0000030	XP_033143643.1	g13193, g13194
OG0000030	XP_033131797.1	g44631
OG0000031	XP_033148609.1	g42618
OG0000031	XP_033148599.1, XP_009144745.1, XP_033141109.1, XP_009125375.2, XP_009150829.1, XP_033129467.1, XP_009111364.2, XP_009109995.2, XP_033128785.1, XP_033134480.1, XP_009103830.2, XP_033141110.1, XP_009114691.2, XP_009151526.1, XP_033131640.1, XP_009128527.1, XP_009128535.1, XP_018513795.1, XP_033141100.1, XP_009112384.1, XP_009144965.1, XP_009150353.1, XP_009124884.2, XP_033139364.1, XP_033139558.1, XP_009123947.1, XP_009120275.1, XP_009118918.2, XP_009138594.2, XP_009145102.2, XP_033138741.1, XP_009150108.2, XP_009124343.1, XP_009111088.1, XP_009113173.1, XP_009126345.2, XP_033131133.1, XP_009124322.1, XP_009121360.1, XP_033129314.1, XP_033143295.1, XP_033144628.1, XP_033143302.1, XP_009148796.1	g39351, g7244, g17718, g41293
OG0000032	XP_033135776.1	g35344, g3253
OG0000032	XP_033134461.1	g29531
OG0000032	XP_033143621.1	g49592
OG0000032	XP_033134901.1, XP_033128608.1	g4129, g3254, g35284
OG0000032	XP_033138010.1, XP_033148490.1, XP_009121348.3, XP_033133939.1, XP_033143197.1, XP_033131889.1, XP_033134268.1, XP_033143189.1, XP_033139131.1, XP_033134440.1, XP_009126581.2, XP_033143500.1, XP_033134407.1, XP_033137139.1, XP_033131579.1, XP_033131448.1, XP_033147249.1, XP_018509024.2, XP_033148489.1	g43260, g33493
OG0000032	XP_033142724.1	g4751, g15963, g26227, g35298, g34338, g27173, g8228, g4384, g32773, g27855, g31991, g16029, g32780, g16316, g32772, g4383, g14852
OG0000034	XP_009136929.1	g23911
OG0000034	XP_009137188.1, XP_009134716.1	g24014
OG0000034	XP_009128507.1, XP_018509629.1	g50699
OG0000034	XP_009137317.1	g23912
OG0000034	XP_033143795.1	g23905
OG0000036	XP_033130947.1	g41663, g43194, g22574, g39945, g35836, g2951, g37862, g53162, g8562, g3621, g21982, g3535, g8184
OG0000037	XP_018511578.1	g3475, g46296
OG0000037	XP_009123662.2, XP_033134281.1	g33025, g28223, g45161, g32925, g53506, g43598, g4290, g53623, g26098, g52826, g3339, g15807, g33280, g29253, g51892, g17442, g40615, g44945, g17253, g3180, g32922, g24199, g13885, g26768, g40614, g19403, g36207, g2577, g23371, g42782, g53291, g31365, g6962, g4621, g53869, g24198, g22174, g3474, g36947, g51893, g45164, g3740, g32978, g53250, g43236, g39940, g28210, g53508, g36730, g41618, g27901
OG0000037	XP_033134309.1	g42746, g53293
OG0000037	XP_033143381.1, XP_033138071.1, XP_018511626.2	g7213, g53871, g3476, g35300, g36731, g39939, g43484, g3122, g42447, g53622, g33284, g26681, g3179, g52391, g52375, g52825, g16753, g36949
OG0000038	XP_018510911.1	g2497
OG0000038	XP_018509044.1	g15804, g27140, g23925, g51223, g44428, g9976, g51224, g38104
OG0000038	XP_018509951.1, XP_009102769.1	g14210, g42047, g25209, g47747, g6734, g25615, g24420, g4774, g23626, g25696, g39882, g12326, g11412, g40957, g32434, g14573, g41376, g31882, g40136, g45253, g37419, g28612, g6446, g6725, g47748, g41947, g41005, g50686, g35996, g4260, g4263, g41786, g23625, g41377, g32262, g25866
OG0000039	XP_033138939.1	g9477, g21185, g20350, g34603, g48204, g15023, g26485, g26483, g26490, g42473, g21581, g42500, g33728, g21834, g21908, g30648, g9167, g30662, g34030, g33969, g33880, g33754, g20336, g42479, g16186, g20806, g20799, g20600, g33875, g33942, g9567, g9467, g20562, g30106, g20969, g48132, g8937, g14739, g15252
OG0000039	XP_033143373.1	g33991, g21539
OG0000040	XP_033148631.1	g49152
OG0000040	XP_009112224.1, XP_033142288.1, XP_033128760.1, XP_009128563.1, XP_009150818.1	g52948, g41631, g41632, g25133, g49021
OG0000041	XP_033138682.1, XP_009120440.2	g44112, g376, g47861, g12095, g19466, g36505, g6602, g22934, g32343, g7174, g919, g27324, g24163, g3137, g46399, g49352, g50524, g46729, g28511, g1087, g47181, g54100, g829, g18721, g29231, g45388, g14428, g28413, g13757, g46775, g3861, g44857, g32168, g43896, g24458, g6376, g12068, g19448, g4749, g6871, g36846, g47037, g23483, g11656, g27986, g5166, g12226, g50226, g46640, g41551, g45877, g11828
OG0000041	XP_033136843.1	g4882, g54105, g19084
OG0000041	XP_018511312.1	g51517, g45168, g27877
OG0000041	XP_033142750.1	g36235
OG0000041	XP_033147559.1	g49353, g43914, g11652
OG0000042	XP_033136099.1	g8825
OG0000042	XP_033129992.1	g41465, g35926, g44522, g52187, g7355, g38829, g20859, g48552, g53555, g47921
OG0000042	XP_009108258.2	g44909, g43791
OG0000042	XP_009138234.2, XP_033131226.1	g6340, g16111, g37181
OG0000042	XP_033129573.1	g6307, g53556
OG0000042	XP_033131887.1	g54342, g16927, g32521
OG0000042	XP_033134225.1, XP_033145843.1, XP_033143238.1, XP_033148584.1, XP_018515301.2, XP_033136651.1, XP_033130759.1, XP_033132456.1, XP_033130756.1, XP_033144303.1, XP_009121228.1, XP_033148072.1, XP_033135352.1	g40104, g13786, g31186, g8826, g30544
OG0000043	XP_033134364.1	g18797
OG0000044	XP_009114345.1	g10942
OG0000044	XP_009128863.1, XP_009128859.1	g18482
OG0000044	XP_009123255.2, XP_018513381.1, XP_009136811.1, XP_009122186.1	g28154
OG0000045	XP_033142708.1, XP_009103472.2	g15276, g3641, g54416, g42868, g8806, g33595, g15872, g16444, g19680, g30152, g9227, g52458, g8656, g43871, g24840, g48944, g14352, g42105, g8518, g15443, g30148, g33634, g16706, g16370, g20303, g30100, g16191, g50737, g4712, g43115, g16130, g48999, g21851, g34823, g34846, g19966, g43691, g48829, g8196, g8700, g35485, g42514, g15756, g30099, g7997, g14476, g3638, g32912, g33525, g4269, g8610, g38805, g26060, g8654, g26153, g26630, g38667, g43118, g15010, g19894, g15755, g15752, g29946, g34505, g19845, g34759, g30266, g33573, g9278, g14658, g22030, g22022, g9143, g14974, g42775, g7974, g48881, g26499, g52321, g7996, g24685, g33357, g52343, g25917, g43689, g9220, g16210, g14986, g16126, g53537, g48830, g29977, g8635, g4105, g14622, g48563, g8756, g48694, g34903, g25105, g3949, g15665, g43496, g34821, g15737, g53619, g42900, g9014, g22086, g52729, g4681, g53618, g3793, g22087, g19844, g9015, g33574, g9219, g34506, g15444, g52342, g4251, g8901, g42033, g34222, g30190, g25916, g33347, g53202, g3352, g22093, g16372, g36995, g20843, g7973, g14729, g29947, g9144, g22088, g14336, g22089, g20490, g42855, g42882, g54410, g33348, g35933, g4047, g8758, g14727, g14989, g42899, g53007, g19895, g48693, g51451, g24910, g43257, g53536, g49120, g42107, g30583, g16193, g42018, g53979, g8609, g16708, g35497, g42884, g54411, g8810, g42540, g49119, g42573, g52716, g21117, g33613, g16327, g30189, g8811, g43188, g20302, g48305, g16125, g19914, g34986, g42894, g52900, g49036, g30150, g52471, g36996, g14730, g54205, g52743, g35202, g42897, g42904, g14818, g16132, g53612, g14991, g34867, g15102, g15753, g21249, g43117, g26540, g52720
OG0000045	XP_033139399.1, XP_033130736.1	g8611, g24684, g52996, g33254, g33228, g14972, g14985, g34760, g26589
OG0000047	XP_009120239.1, XP_033134307.1, XP_033131812.1, XP_009124182.2, XP_009114455.1, XP_033131802.1, XP_009123813.1, XP_009123814.2, XP_009123579.2, XP_033129374.1, XP_033134308.1, XP_009123766.1, XP_033148540.1, XP_009145112.2, XP_033134303.1, XP_033134289.1, XP_009123343.2, XP_009124453.2, XP_009144635.1, XP_018511422.1, XP_033143388.1	g26172, g9204, g7013, g46294, g36204
OG0000047	XP_033134290.1	g20823, g3147
OG0000047	XP_033134310.1	g52846, g52828, g52839, g3624
OG0000047	XP_033145294.1	g13890, g6966, g4624, g32714, g53873, g44165
OG0000048	XP_009125775.1	g51285
OG0000048	XP_033137775.1, XP_033137778.1	g39852, g39841
OG0000049	XP_033141114.1	g19076, g35468, g5625, g10538
OG0000049	XP_033131392.1	g53974, g25438, g24922, g41976, g18240
OG0000049	XP_033139739.1	g10090
OG0000050	XP_009142124.1	g19665
OG0000050	XP_033146215.1, XP_033146249.1, XP_033133626.1, XP_033144846.1, XP_033134003.1	g44252
OG0000050	XP_009105612.1	g30921, g53630, g4397, g10583
OG0000050	XP_009138599.2, XP_033138839.1, XP_033145680.1	g182
OG0000051	XP_009142840.1, XP_033138797.1, XP_033138543.1, XP_033148410.1	g37450
OG0000052	XP_033138197.1	g1602, g3195
OG0000052	XP_033139477.1, XP_033135650.1	g10535
OG0000052	XP_009115966.1, XP_033146756.1, XP_033146252.1, XP_033146757.1, XP_033145801.1	g19225
OG0000052	XP_009114878.1	g2410
OG0000052	XP_009140762.1	g11017
OG0000054	XP_033138762.1, XP_033148514.1, XP_033138743.1, XP_033129392.1, XP_033138981.1, XP_033139074.1, XP_033129466.1, XP_033133928.1	g14843
OG0000054	XP_033138761.1	g35421
OG0000054	XP_033141137.1, XP_033148483.1, XP_033133347.1	g53889, g53885, g42037, g49166, g4254
OG0000054	XP_033143415.1	g14371, g30404
OG0000055	XP_009131379.2, XP_033144999.1, XP_009121596.1, XP_033131219.1	g27361
OG0000055	XP_009134817.1	g50182, g50184, g50186
OG0000055	XP_033128815.1	g48153, g33340, g33319, g33329, g48170, g15766
OG0000056	XP_009113405.2	g44205
OG0000056	XP_009112692.1, XP_009113075.1	g40901
OG0000058	XP_033147285.1, XP_009114424.1, XP_033140560.1, XP_033135648.1, XP_033130698.1, XP_033141279.1, XP_033138465.1, XP_033131792.1	g3196
OG0000058	XP_033131067.1, XP_033136880.1, XP_033148558.1, XP_009150325.2, XP_033133377.1	g33000, g41178, g43966, g49100
OG0000059	XP_033134217.1	g2480, g46139, g19260, g24166, g14493, g2184, g16902, g51200, g2153, g3380, g49418, g1735, g51079, g36530, g42562, g2712, g50347
OG0000059	XP_033143368.1, XP_033129455.1, XP_033134209.1, XP_033128794.1, XP_033131162.1, XP_033139340.1, XP_009139344.2	g1329
OG0000060	XP_009103711.2, XP_009140937.1, XP_009150050.2, XP_009148029.2, XP_009118417.1, XP_009141673.1, XP_009131981.1, XP_009110918.2, XP_033128652.1, XP_009143480.1, XP_009133863.1, XP_009116068.1, XP_009126676.2, XP_009133191.2	g37221, g2918, g28784, g49595, g27015, g1296, g28756, g31080, g39226, g51647
OG0000061	XP_009120970.2	g41322
OG0000061	XP_033145280.1	g50013
OG0000061	XP_009133838.1	g23667
OG0000063	XP_033144322.1	g34381, g32907, g19812, g42270
OG0000063	XP_033129771.1	g45814
OG0000063	XP_033147108.1	g2810
OG0000063	XP_033131783.1	g14688, g53170
OG0000063	XP_033134130.1	g18404, g25742, g50268, g46262, g45401, g3397, g46693, g52815, g32214, g16019, g49776
OG0000065	XP_033134366.1, XP_009125066.1	g17485
OG0000065	XP_009140101.2, XP_009151130.2	g46717
OG0000066	XP_009125303.1, XP_009110843.1, XP_009112178.1, XP_009129719.2, XP_009114048.1, XP_009131154.1	g31166, g49660, g5416, g9719, g156, g29501, g45535
OG0000066	XP_009104699.1, XP_009125263.1, XP_009131189.1, XP_009130061.1, XP_018511751.1	g5393
OG0000067	XP_018508435.1	g53765, g43703, g25474, g28245, g45296, g49160, g47659
OG0000067	XP_033143570.1, XP_033144765.1	g12886
OG0000067	XP_018508607.1	g7910, g3384, g17624, g3851
OG0000067	XP_033129459.1, XP_033131134.1, XP_033131135.1, XP_009113960.2, XP_033131178.1	g3852, g51126, g3385, g51838
OG0000067	XP_009124211.2, XP_009139668.1	g1262, g51839, g3386, g46383, g48919
OG0000068	XP_033137765.1, XP_009122279.3, XP_033144949.1, XP_033144954.1, XP_009141809.2, XP_033145607.1, XP_033145605.1, XP_033145608.1, XP_009106287.1, XP_009106290.2, XP_033144956.1, XP_009131006.1, XP_033136756.1, XP_009130957.1, XP_009130959.2, XP_033144664.1, XP_009118007.2, XP_009117917.2, XP_033134926.1, XP_033134927.1, XP_009117999.2	g27956, g25385, g25390, g46783
OG0000069	XP_018512413.1, XP_009105410.1	g13531
OG0000069	XP_033144867.1, XP_033144865.1, XP_009137441.1, XP_033143704.1, XP_009150992.2	g1465, g1180, g34298
OG0000069	XP_033146576.1	g39973
OG0000070	XP_009123589.1, XP_033136464.1	g10675
OG0000070	XP_009149503.1	g50123
OG0000070	XP_009104691.1, XP_009106248.2, XP_009128146.1	g46242
OG0000073	XP_033131948.1, XP_033141112.1	g4931
OG0000073	XP_009123855.2, XP_009151176.1, XP_009146107.2, XP_009145290.1, XP_033134421.1, XP_018512867.1, XP_018509809.1, XP_009140644.2	g37235, g35439
OG0000073	XP_033148459.1, XP_009128591.1	g44257, g24808, g26746
OG0000073	XP_033133929.1, XP_009127653.1	g10624, g41852
OG0000073	XP_033141168.1	g41608
OG0000074	XP_033139578.1	g10989
OG0000074	XP_009107741.1	g22865, g25239
OG0000074	XP_009115282.1, XP_018515120.1, XP_009124283.2	g50927, g53476, g50930, g43482
OG0000074	XP_009150337.1, XP_033143354.1, XP_033139002.1, XP_033145286.1, XP_033138837.1	g14513, g14502, g14522
OG0000074	XP_009119511.1, XP_033131958.1	g48940
OG0000074	XP_009150440.1, XP_009117211.1	g17909, g17916, g44092, g34969
OG0000075	XP_009101861.1, XP_033141207.1, XP_009124954.2, XP_009127369.1	g1450
OG0000075	XP_009101862.1	g25975, g22716
OG0000075	XP_033144015.1	g46525
OG0000076	XP_009141037.3, XP_009132713.2, XP_009132712.2, XP_009141118.1, XP_033146437.1, XP_018512826.1, XP_009132724.1, XP_009141423.1, XP_009141039.2, XP_009141424.2, XP_009105095.1, XP_009127648.2	g32307, g51190
OG0000077	XP_033139970.1	g18408
OG0000077	XP_033134075.1, XP_033136168.1, XP_033134192.1, XP_033139877.1, XP_033136459.1, XP_033141183.1	g1538, g1535
OG0000077	XP_018512146.1	g1569
OG0000077	XP_009148269.1	g44008, g44007, g44009
OG0000078	XP_009131628.1, XP_009126232.1, XP_009126237.2, XP_009126238.1, XP_009126228.2, XP_009126235.1	g4944
OG0000081	XP_009124209.1	g1261, g46382, g48920, g25951, g17623, g1599, g35530, g48295, g34935
