Orthogroup	Brassica_rapa	Cardamine_glauca
OG0000009	XP_033139461.1	Cg003G0834900
OG0000009	XP_009117702.1, XP_009147334.1, XP_009135550.2, XP_033134013.1, XP_009113005.2, XP_033131870.1, XP_009102722.2, XP_009129720.1, XP_009124848.1, XP_009140864.1, XP_009139318.2, XP_018509100.1, XP_009146774.1	Cg005G1717900, Cg003G0717800, Cg005G1769300
OG0000009	XP_009109961.2, XP_033148561.1, XP_009139324.1	Cg008G2845600
OG0000011	XP_033128807.1	Cg003G0778000
OG0000011	XP_009138607.1, XP_033134171.1, XP_018511598.1, XP_009144754.1, XP_009121335.1, XP_009119519.1, XP_009152174.1, XP_033146667.1, XP_033143848.1, XP_033134783.1, XP_033132530.1	Cg005G1679200
OG0000011	XP_033131097.1, XP_033133861.1, XP_018512770.1, XP_033128536.1	Cg005G1679100
OG0000012	XP_009107541.1, XP_033131678.1, XP_033147573.1, XP_009130018.2, XP_033137992.1, XP_033145249.1, XP_009133163.1, XP_018508590.1, XP_033136153.1, XP_033143315.1, XP_018515508.1, XP_033148485.1, XP_033129464.1, XP_033142991.1, XP_033143244.1, XP_018512230.2, XP_033145320.1, XP_009130444.2, XP_009139681.1, XP_033132935.1, XP_018512892.1, XP_033145505.1	Cg005G1703300
OG0000014	XP_033137204.1, XP_033143861.1	Cg001G0103300
OG0000015	XP_033143221.1	Cg007G2289100
OG0000016	XP_033140973.1, XP_033138989.1, XP_033129378.1, XP_033129363.1, XP_033139530.1	Cg002G0591300
OG0000018	XP_033139921.1, XP_033141158.1, XP_033130747.1, XP_033133265.1, XP_033133430.1, XP_009141157.3, XP_033132402.1, XP_033137411.1, XP_033131545.1, XP_033137005.1, XP_033142695.1, XP_033131712.1, XP_033146991.1, XP_033132383.1, XP_033131381.1, XP_033140368.1, XP_033132262.1, XP_033134168.1, XP_033135138.1, XP_033147160.1, XP_033132417.1, XP_033145919.1, XP_033128118.1, XP_009113453.2, XP_033131412.1, XP_033144201.1, XP_033147268.1, XP_033144627.1, XP_033132260.1, XP_009151556.2, XP_033147468.1, XP_033136031.1, XP_033147168.1, XP_033137222.1, XP_033132105.1	Cg003G0814300
OG0000020	XP_033128598.1, XP_033128603.1, XP_033141176.1, XP_033131231.1, XP_033144078.1, XP_033148833.1, XP_033139110.1, XP_033136846.1, XP_009128749.2, XP_033133948.1, XP_009138630.2, XP_009119107.3, XP_033146804.1, XP_033148581.1, XP_033133950.1, XP_033139108.1, XP_033144661.1	Cg004G1313600
OG0000021	XP_033143299.1, XP_033131754.1, XP_009113298.1, XP_033135948.1, XP_033145970.1, XP_009108738.3, XP_033145198.1, XP_033128732.1, XP_033141182.1, XP_033129326.1	Cg006G1871200, Cg003G0793000, Cg001G0263700, Cg003G0871900, Cg005G1666000
OG0000022	XP_009142868.1	Cg001G0134600
OG0000022	XP_009112698.1	Cg007G2277400
OG0000022	XP_009112843.1	Cg007G2258400
OG0000022	XP_009140073.1	Cg001G0385000
OG0000022	XP_009114567.1	Cg004G1232100
OG0000023	XP_033139160.1, XP_033139271.1	Cg003G1048300, Cg006G1990600, Cg003G0860500, Cg007G2541200, Cg014G3040300
OG0000024	XP_009144063.2, XP_018514372.2, XP_033148397.1	Cg006G1963900, Cg006G1963800
OG0000024	XP_009116539.1	Cg002G0447000, Cg002G0448700
OG0000025	XP_033129969.1	Cg007G2444400
OG0000027	XP_033142038.1	Cg003G0758500
OG0000027	XP_009136778.1, XP_009136797.2	Cg001G0170600
OG0000027	XP_009108600.1	Cg001G0171100
OG0000027	XP_033144191.1	Cg001G0172400
OG0000027	XP_009108162.1	Cg003G0757800
OG0000027	XP_009136791.2	Cg001G0171700
OG0000028	XP_009148196.2	Cg007G2581000
OG0000028	XP_009133872.1, XP_009102308.1, XP_009105560.1, XP_009105561.1, XP_009102299.1, XP_009133873.1	Cg001G0051700
OG0000029	XP_009103430.1, XP_009103792.1, XP_033136629.1, XP_009105534.2, XP_033129358.1, XP_009128619.2, XP_009102786.1, XP_009111952.1, XP_009106480.1, XP_009118510.1	Cg007G2405400, Cg007G2364600, Cg001G0384100
OG0000030	XP_033144643.1, XP_033142641.1	Cg004G1270000
OG0000030	XP_033138328.1, XP_033137984.1, XP_009141814.1	Cg004G1264800
OG0000030	XP_033129474.1, XP_033128828.1, XP_033131947.1	Cg006G1982700, Cg001G0286900
OG0000030	XP_033148474.1	Cg002G0532900
OG0000031	XP_033148599.1, XP_009144745.1, XP_033141109.1, XP_009125375.2, XP_009150829.1, XP_033129467.1, XP_009111364.2, XP_009109995.2, XP_033128785.1, XP_033134480.1, XP_009103830.2, XP_033141110.1, XP_009114691.2, XP_009151526.1, XP_033131640.1, XP_009128527.1, XP_009128535.1	Cg003G0842000
OG0000032	XP_033143621.1	Cg001G0339700
OG0000034	XP_009137321.1, XP_009136929.1	Cg001G0172000
OG0000034	XP_009136747.2	Cg001G0172200, Cg001G0172300
OG0000034	XP_009137324.1, XP_033135404.1	Cg001G0172500
OG0000034	XP_009137188.1	Cg001G0190400
OG0000034	XP_009134716.1	Cg001G0190500
OG0000034	XP_009124034.1	Cg001G0222900
OG0000034	XP_009137317.1, XP_009108599.1	Cg001G0172700
OG0000038	XP_018510911.1	Cg007G2341500, Cg007G2278200
OG0000040	XP_018512880.1	Cg001G0375200
OG0000040	XP_033131826.1, XP_009107588.1, XP_033134026.1, XP_009148789.1	Cg003G0770800, Cg006G1822500, Cg003G0954000
OG0000042	XP_033129573.1	Cg013G3025700
OG0000042	XP_033130756.1, XP_033144303.1, XP_009121228.1, XP_033148072.1, XP_033135352.1	Cg007G2325300
OG0000044	XP_033136809.1	Cg008G2897600
OG0000044	XP_009128863.1, XP_009128859.1	Cg008G2973900
OG0000044	XP_009123255.2	Cg004G1380900
OG0000050	XP_033128725.1	Cg007G2389100, Cg006G1872200
OG0000050	XP_033146215.1, XP_033146249.1, XP_033133626.1, XP_033144846.1	Cg001G0215700
OG0000050	XP_009105612.1	Cg006G1961200, Cg003G0717600
OG0000051	XP_009119376.1, XP_009121616.2, XP_009118690.1	Cg006G2232100
OG0000051	XP_009142840.1, XP_033138797.1, XP_033138543.1, XP_033148410.1	Cg005G1723400
OG0000052	XP_009152006.1	Cg002G0657800
OG0000052	XP_033139477.1, XP_033135650.1	Cg007G2494300
OG0000052	XP_009115966.1, XP_033146756.1, XP_033146252.1, XP_033146757.1, XP_033145801.1	Cg002G0501500
OG0000054	XP_033138761.1	Cg008G2918900
OG0000056	XP_009112692.1, XP_009113075.1, XP_009149950.1	Cg002G0557700
OG0000058	XP_033139240.1	Cg005G1680800, Cg005G1670600
OG0000058	XP_033131195.1, XP_033139143.1, XP_033131918.1, XP_033131462.1, XP_033134234.1, XP_033134349.1, XP_033130753.1, XP_033145221.1, XP_033141098.1, XP_033139492.1, XP_033137200.1, XP_033134400.1, XP_033139188.1, XP_033148815.1	Cg002G0582900, Cg004G1300700, Cg006G1919800
OG0000058	XP_033131068.1, XP_033132741.1, XP_033141134.1, XP_033146849.1	Cg005G1665800, Cg002G0608700, Cg004G1336800, Cg005G1744500, Cg008G2877000, Cg001G0339300
OG0000058	XP_033131067.1, XP_033136880.1, XP_033148558.1, XP_009150325.2, XP_033133377.1	Cg007G2347400, Cg004G1359500, Cg004G1359600, Cg007G2327500
OG0000059	XP_033139086.1, XP_033134279.1, XP_033132002.1, XP_033139374.1	Cg008G2824900, Cg001G0300100, Cg001G0266200, Cg004G1243400, Cg007G2336400
OG0000059	XP_009150809.1, XP_009124471.1, XP_033143409.1, XP_033134211.1, XP_033133426.1, XP_009101327.1	Cg003G0778100
OG0000061	XP_033145824.1, XP_009140814.1	Cg004G1382400, Cg004G1390200
OG0000061	XP_033145280.1	Cg005G1634900
OG0000061	XP_009133838.1	Cg005G1631000
OG0000064	XP_033134282.1, XP_033134283.1, XP_033136270.1, XP_033135749.1, XP_033135748.1, XP_033135746.1, XP_033135747.1, XP_033134284.1, XP_033135687.1, XP_033136269.1, XP_033135741.1, XP_033135477.1, XP_009124650.2, XP_033136272.1, XP_033136268.1, XP_009124058.2, XP_033135744.1, XP_033136271.1, XP_009124087.2, XP_033135742.1, XP_033135743.1, XP_033135685.1, XP_033135686.1, XP_033135684.1, XP_033135688.1, XP_033134285.1	Cg003G0987600
OG0000065	XP_009127499.1	Cg007G2434500
OG0000065	XP_009105243.1	Cg007G2434600
OG0000065	XP_033143336.1	Cg007G2435300
OG0000066	XP_009125303.1, XP_009110843.1, XP_009112178.1, XP_009129719.2, XP_009114048.1, XP_009131154.1	Cg006G2172200, Cg008G2671100, Cg003G1045600, Cg003G1045700, Cg008G2671000
OG0000066	XP_009104699.1, XP_009125263.1, XP_009131189.1, XP_009130061.1, XP_018511751.1	Cg001G0018800
OG0000067	XP_009127952.2	Cg004G1439200
OG0000068	XP_033137765.1, XP_009122279.3, XP_033144949.1, XP_033144954.1	Cg008G2597800, Cg002G0415500, Cg008G2596900, Cg004G1419400
OG0000068	XP_033144956.1, XP_009131006.1, XP_033136756.1, XP_009130957.1, XP_009130959.2, XP_033144664.1	Cg008G2928700
OG0000069	XP_033144869.1	Cg007G2462800
OG0000069	XP_018512413.1, XP_009105410.1	Cg007G2571800, Cg001G0395000
OG0000070	XP_009123589.1, XP_033136464.1	Cg006G2161100, Cg002G0680500
OG0000070	XP_009149503.1	Cg006G2064200
OG0000070	XP_009104691.1, XP_009106248.2, XP_009128146.1	Cg001G0322900, Cg001G0323200, Cg007G2530800
OG0000070	XP_033128831.1	Cg006G1844100, Cg006G1844000, Cg006G1844200, Cg006G1840200, Cg006G1844300
OG0000072	XP_009102269.1	Cg006G1870600, Cg007G2425100
OG0000072	XP_009119460.3, XP_033138069.1, XP_009111623.2	Cg007G2400700, Cg007G2408800
OG0000072	XP_033146737.1	Cg005G1665600
OG0000074	XP_033139578.1	Cg007G2575700
OG0000074	XP_009115282.1, XP_018515120.1, XP_009124283.2, XP_033148537.1, XP_033138826.1	Cg007G2434800
OG0000075	XP_009101862.1	Cg001G0013900
OG0000076	XP_009101919.1	Cg001G0007600
OG0000076	XP_009134123.2, XP_033134012.1, XP_009126890.1, XP_033147785.1, XP_009134127.2, XP_018514362.2, XP_009134129.2, XP_009134122.2	Cg008G2983800
OG0000077	XP_033139970.1	Cg005G1775900, Cg003G0758200
OG0000077	XP_033134075.1	Cg007G2324000
OG0000077	XP_033141183.1	Cg002G0678300
OG0000077	XP_009113876.1, XP_009149053.2	Cg008G2956300
OG0000078	XP_009126231.2, XP_009131624.1, XP_009121025.2, XP_009131630.2, XP_009126229.1, XP_009131627.1	Cg008G2744900, Cg008G2744200, Cg008G2744500
OG0000079	XP_009128331.1, XP_033137616.1, XP_033144013.1, XP_033145947.1, XP_033147003.1, XP_033133869.1, XP_033132648.1, XP_009104162.1, XP_009128728.2, XP_033145258.1, XP_033141181.1, XP_033141130.1, XP_033129223.1, XP_033139099.1, XP_033129128.1, XP_033129127.1, XP_033147269.1, XP_033136406.1, XP_033148881.1, XP_033133874.1, XP_033130432.1, XP_033131180.1, XP_033147836.1, XP_009121263.2, XP_033146531.1, XP_009122926.1, XP_033143107.1, XP_033143236.1, XP_033136497.1, XP_033134319.1, XP_033147267.1, XP_009108250.2, XP_033148205.1, XP_033131034.1, XP_033129991.1, XP_033134219.1, XP_033145242.1, XP_033131468.1, XP_033139661.1, XP_033129913.1, XP_033128795.1, XP_033130871.1, XP_033146432.1, XP_033128838.1, XP_033133429.1, XP_033146434.1, XP_033128695.1, XP_033129645.1	Cg004G1172300, Cg002G0672800
OG0000081	XP_009136781.1, XP_009107885.2, XP_033142712.1, XP_033132815.1, XP_033139711.1, XP_033129160.1, XP_009107884.2	Cg007G2409600, Cg007G2443800
OG0000083	XP_033133218.1, XP_033145473.1, XP_033144422.1	Cg002G0678700
OG0000083	XP_033146873.1	Cg005G1676000
OG0000086	XP_009135925.1, XP_009139756.1	Cg001G0341500
OG0000086	XP_033147599.1	Cg001G0342600
OG0000089	XP_009150907.1	Cg008G2794800
OG0000089	XP_009150241.1, XP_009151388.1	Cg003G1017300
OG0000089	XP_009150568.2, XP_009149954.2	Cg002G0558400
OG0000089	XP_009144365.1, XP_009141007.2	Cg005G1638200
OG0000089	XP_009121863.1	Cg008G2689500
OG0000089	XP_009113926.1, XP_009101721.2	Cg008G2943700
OG0000089	XP_009123590.1	Cg001G0195600
OG0000089	XP_018514901.1	Cg005G1585200
OG0000089	XP_009106234.1	Cg007G2528700
OG0000090	XP_033128016.1, XP_033136189.1	Cg002G0596500, Cg005G1668200, Cg005G1727600, Cg004G1388300, Cg006G1926600
OG0000090	XP_009114438.1, XP_033147067.1	Cg008G2920500
OG0000090	XP_033147237.1	Cg005G1727500
OG0000091	XP_009149894.1, XP_009113892.3, XP_009131995.2, XP_033142283.1, XP_009116363.1	Cg005G1672400
OG0000091	XP_009131797.1, XP_009120802.1	Cg001G0362300, Cg008G2769400
OG0000091	XP_009143939.1, XP_033147614.1	Cg003G0829200, Cg003G0877100
OG0000095	XP_033145266.1, XP_033145760.1	Cg005G1739100
OG0000095	XP_033145265.1	Cg005G1739400
OG0000096	XP_009136113.1	Cg001G0384700
OG0000098	XP_033144223.1, XP_009137095.2, XP_033143042.1	Cg007G2258600, Cg007G2258500
OG0000098	XP_009150964.1, XP_009130073.1	Cg008G2823500
OG0000100	XP_033135321.1	Cg007G2290800
OG0000101	XP_009108043.1, XP_033129024.1, XP_033129539.1, XP_033135654.1, XP_009123725.2, XP_033143361.1, XP_033133927.1, XP_033145957.1, XP_033146383.1, XP_033140589.1, XP_033145942.1, XP_033134398.1, XP_033133647.1, XP_033135195.1	Cg007G2332400
OG0000102	XP_009121666.1	Cg003G0863700, Cg003G0734700, Cg003G0734400, Cg003G0864000
OG0000102	XP_009134336.2, XP_009110937.1, XP_033135887.1	Cg003G0863600, Cg003G0734800
OG0000105	XP_033134179.1	Cg007G2307400, Cg007G2331800
OG0000107	XP_033131954.1, XP_009113964.1	Cg005G1681600
OG0000107	XP_018514730.2	Cg004G1267700
OG0000107	XP_009140112.1, XP_033142636.1	Cg004G1267500
OG0000107	XP_033147102.1	Cg004G1267200
OG0000108	XP_009133195.1, XP_009141678.2	Cg005G1557400
OG0000108	XP_009146646.1	Cg004G1180800
OG0000108	XP_033138402.1, XP_009131124.2, XP_009125344.2	Cg008G2664600
OG0000108	XP_009145858.2, XP_018513774.1	Cg004G1253800
OG0000110	XP_033143194.1, XP_033144149.1, XP_033135355.1, XP_033142711.1, XP_033140785.1, XP_009119775.3, XP_033143375.1, XP_033148618.1, XP_033148616.1, XP_033147279.1, XP_018512940.2, XP_033143619.1	Cg002G0653700
OG0000115	XP_009133161.1	Cg006G1927900, Cg008G2910800
OG0000115	XP_009137698.1	Cg008G2923300, Cg005G1716600
OG0000117	XP_009115511.1	Cg006G2029700
OG0000117	XP_033130333.1	Cg006G2029400
OG0000117	XP_033132544.1, XP_033132543.1, XP_009110093.1, XP_033132540.1, XP_009112003.1	Cg006G2030600
OG0000119	XP_009140726.1	Cg005G1714200, Cg002G0596700, Cg002G0574300, Cg001G0041500, Cg002G0574600, Cg002G0574700
OG0000120	XP_009101979.1	Cg008G2916400, Cg008G2816800, Cg007G2484100, Cg006G2020800, Cg004G1078700, Cg007G2342500
OG0000121	XP_033141060.1	Cg008G2905000
OG0000122	XP_033139821.1	Cg003G0800700
OG0000123	XP_033133176.1, XP_033133177.1, XP_033132773.1, XP_033132770.1, XP_033132771.1, XP_033132772.1, XP_033132774.1, XP_033133179.1, XP_033133178.1	Cg008G2893000, Cg008G2892800, Cg008G2892300, Cg008G2892200, Cg008G2892500, Cg008G2892400, Cg008G2892600, Cg008G2892100, Cg008G2892000, Cg008G2892700, Cg008G2892900
OG0000124	XP_033145235.1	Cg001G0378100
OG0000124	XP_009145189.1, XP_033139475.1, XP_009150285.1, XP_033144074.1, XP_009103633.1, XP_009139448.1, XP_009144927.1, XP_033128191.1, XP_033146613.1, XP_009144615.1	Cg001G0298900
OG0000125	XP_033145187.1, XP_033131572.1	Cg005G1643500
OG0000125	XP_009118428.1	Cg006G2188500
OG0000125	XP_033146903.1	Cg006G1841400
OG0000125	XP_009144873.1	Cg006G1817000, Cg006G1816500, Cg006G1816900, Cg006G1816400
OG0000125	XP_009135746.2, XP_018514690.2	Cg004G1281100
OG0000127	XP_009120626.1, XP_009131894.1	Cg008G2786000
OG0000127	XP_009103877.2, XP_009139383.1, XP_009116061.1	Cg002G0489900
OG0000127	XP_009120513.1	Cg003G0989900
OG0000127	XP_009133865.1, XP_009140934.1, XP_009103710.2	Cg005G1647800
OG0000128	XP_009104190.1	Cg007G2459200
OG0000128	XP_009116587.1, XP_018508692.1	Cg002G0434700
OG0000128	XP_009104193.2	Cg002G0434600
OG0000129	XP_033146831.1, XP_033146830.1	Cg007G2357000
OG0000129	XP_033145048.1	Cg007G2393300, Cg007G2412500, Cg007G2396400
OG0000129	XP_009127389.1	Cg007G2390100
OG0000129	XP_009130179.2, XP_009130183.1	Cg003G1010100, Cg003G1010200, Cg003G1010000, Cg005G1662800, Cg005G1661800, Cg005G1660700, Cg005G1661700, Cg003G0897000
OG0000130	XP_033138416.1	Cg003G0796500, Cg002G0592800
OG0000132	XP_009116244.2, XP_009116245.1, XP_009116184.2, XP_033137144.1, XP_018510613.1	Cg002G0477500
OG0000137	XP_033144579.1, XP_009127007.2, XP_033139637.1	Cg003G0942200
OG0000137	XP_009111746.1, XP_009127005.1	Cg003G0942300
OG0000137	XP_033138715.1	Cg003G0942100
OG0000137	XP_009132393.1	Cg003G0942000
OG0000137	XP_009132642.1, XP_009120051.1	Cg003G0941900
OG0000138	XP_033146362.1	Cg002G0558300, Cg002G0563500
OG0000140	XP_009145081.1	Cg003G0904200, Cg002G0686900
OG0000140	XP_009114858.1	Cg006G2087500, Cg006G1824700
OG0000143	XP_033134274.1, XP_033135796.1	Cg002G0608200
OG0000151	XP_009124228.1	Cg002G0579800
OG0000151	XP_009116212.1, XP_009103951.1, XP_033146519.1	Cg002G0475200
OG0000151	XP_009139199.2	Cg002G0475300
OG0000151	XP_033148760.1	Cg005G1538800
OG0000151	XP_009139200.1	Cg002G0475400
OG0000151	XP_009141649.1	Cg005G1560100
OG0000151	XP_009121752.1	Cg008G2699500
OG0000153	XP_009140992.3, XP_009140985.1, XP_033147950.1, XP_018514500.2	Cg005G1625900
OG0000153	XP_033145172.1	Cg005G1641100
OG0000153	XP_009123600.1	Cg005G1641000
OG0000153	XP_009110944.1	Cg006G2190200
OG0000153	XP_009140988.2, XP_009144387.2	Cg005G1640700
OG0000154	XP_009107881.1	Cg001G0245400
OG0000154	XP_018515541.1	Cg006G1826000
OG0000154	XP_033128714.1	Cg006G1826400
OG0000155	XP_033137724.1, XP_018515086.1	Cg004G1360400, Cg001G0323500
OG0000159	XP_033130755.1, XP_033139533.1, XP_009115089.3, XP_033137203.1, XP_033128569.1, XP_033147093.1	Cg003G0778900, Cg005G1705200
OG0000160	XP_009112568.1, XP_009102205.2	Cg004G1426700
OG0000160	XP_009137896.1, XP_009137895.2, XP_009128001.1, XP_009109000.1	Cg001G0100800
OG0000160	XP_033141904.1, XP_009120261.2	Cg003G0963700
OG0000160	XP_018513014.1	Cg004G1353700
OG0000160	XP_018508569.2, XP_009106729.2	Cg007G2573400
OG0000160	XP_009117122.1	Cg005G1742100
OG0000162	XP_009132915.1	Cg005G1601500
OG0000162	XP_009143883.1	Cg005G1601600
OG0000163	XP_033146993.1, XP_033139051.1, XP_033143261.1, XP_009116255.2, XP_033131808.1, XP_009123338.2, XP_009113507.1, XP_033129441.1, XP_033133991.1, XP_033147620.1, XP_033134223.1, XP_033131108.1, XP_033139571.1, XP_033129945.1, XP_033143385.1	Cg005G1702000
OG0000165	XP_009134335.1	Cg006G1858300
OG0000166	XP_009140600.1	Cg036G3082400
OG0000167	XP_033131842.1	Cg004G1301000
OG0000169	XP_033132763.1	Cg003G0905500, Cg003G0905700
OG0000170	XP_033146706.1	Cg002G0419600
OG0000170	XP_009142347.1	Cg005G1474000
OG0000171	XP_009119874.1	Cg003G0916500
OG0000171	XP_009112891.1	Cg007G2262400
OG0000171	XP_009121200.1	Cg004G1402700
OG0000171	XP_018512593.2	Cg003G0949800
OG0000171	XP_009123804.1, XP_009146989.1, XP_009135093.1	Cg004G1146700
OG0000171	XP_009109116.1, XP_009144093.1	Cg001G0123300
OG0000173	XP_033143369.1, XP_009109432.1	Cg008G2861400, Cg008G2846800
OG0000173	XP_033143325.1, XP_033133045.1, XP_018509102.1, XP_009127593.1	Cg001G0073600
OG0000173	XP_009120076.1, XP_009110381.2	Cg002G0675000
OG0000175	XP_033134622.1, XP_009103171.1, XP_009127800.1	Cg006G2031400, Cg007G2474600
OG0000175	XP_033137829.1	Cg008G2710700
OG0000175	XP_033146739.1	Cg002G0406800, Cg005G1457900
OG0000177	XP_009149600.1	Cg006G2054300, Cg006G2054100
OG0000177	XP_009103302.2	Cg006G2054700
OG0000178	XP_033136390.1	Cg003G0742900, Cg003G0743000
OG0000178	XP_009134310.1	Cg006G1925200
OG0000178	XP_009134313.1	Cg006G1925100
OG0000178	XP_009114566.2, XP_009144506.1, XP_009144502.1	Cg003G0802700, Cg003G0803500
OG0000182	XP_009122203.1	Cg002G0405500, Cg002G0498500
OG0000183	XP_009105204.1	Cg001G0339800, Cg007G2426600
OG0000183	XP_009140755.1	Cg005G1681400
OG0000185	XP_009129754.1	Cg003G1044200
OG0000185	XP_033131216.1, XP_018508547.1	Cg004G1189300
OG0000186	XP_009133030.1, XP_033142532.1	Cg005G1766900, Cg007G2287600
OG0000188	XP_033134665.1, XP_033135894.1, XP_009124984.2, XP_033137619.1, XP_033136539.1	Cg004G1107000
OG0000189	XP_009112460.1, XP_009121076.1, XP_009124572.1, XP_009115809.1, XP_009138399.1, XP_009148517.1	Cg004G1414100
OG0000189	XP_009107160.1	Cg001G0051000
OG0000189	XP_009110241.1	Cg006G2064800
OG0000191	XP_033133384.1, XP_033131339.1, XP_009110851.3, XP_033133909.1, XP_009123000.1, XP_033138772.1, XP_009114814.1, XP_018509101.1, XP_018509033.1, XP_033134390.1, XP_009138632.1, XP_009110955.2, XP_009138088.1	Cg007G2389300, Cg007G2329300
OG0000192	XP_009124814.1	Cg006G2127500
OG0000193	XP_033134338.1, XP_033147866.1	Cg006G1859600, Cg006G1859800, Cg006G1859900, Cg006G1859400
OG0000193	XP_033147857.1	Cg006G1948300
OG0000195	XP_033136721.1	Cg004G1434800, Cg004G1435000, Cg004G1433700, Cg004G1435100, Cg004G1434700
OG0000195	XP_009131959.1	Cg003G0990000, Cg002G0555700
OG0000195	XP_033143217.1	Cg003G0787800
OG0000196	XP_009140116.1	Cg001G0390600
OG0000196	XP_033141524.1	Cg001G0388500
OG0000197	XP_033133256.1	Cg001G0339500
OG0000197	XP_033138466.1	Cg001G0205400
OG0000197	XP_033133253.1	Cg001G0205300, Cg001G0205200
OG0000198	XP_009117861.2	Cg006G2113800, Cg006G2113700
OG0000198	XP_009137379.1	Cg002G0664200
OG0000199	XP_009127652.1, XP_009108973.2, XP_009102300.2, XP_009108976.2	Cg014G3034400, Cg008G2903900, Cg014G3034300, Cg003G0721100, Cg003G0721200, Cg014G3034200
OG0000200	XP_009119144.1, XP_009111048.2	Cg006G2210500
OG0000200	XP_033136326.1	Cg006G1985400
OG0000200	XP_009111047.1, XP_009119146.1	Cg006G2210600
OG0000200	XP_009115266.1	Cg006G1985500
OG0000200	XP_009109613.1	Cg006G1857600
OG0000200	XP_009109611.1	Cg006G1857700
OG0000203	XP_033131129.1	Cg002G0442000
OG0000203	XP_033136042.1, XP_009116516.1, XP_033136014.1	Cg002G0441200
OG0000203	XP_009138966.1, XP_009138965.1	Cg002G0441400
OG0000203	XP_009104131.1	Cg002G0441500
OG0000205	XP_033131805.1, XP_033131844.1, XP_033128516.1, XP_033138985.1	Cg006G1892500
OG0000209	XP_033134010.1	Cg006G2154400, Cg006G2158500, Cg006G1924600, Cg006G2158400
OG0000209	XP_018509924.1, XP_033135419.1	Cg008G2670300, Cg008G2670600, Cg008G2677700
OG0000209	XP_009151204.1, XP_009151202.1	Cg008G2772200
OG0000210	XP_009143082.1	Cg005G1646400, Cg005G1480200
OG0000210	XP_009104263.2	Cg002G0423700
OG0000210	XP_009138832.1, XP_033145512.1, XP_009138923.1	Cg002G0423600
OG0000215	XP_009144753.2, XP_033143272.1, XP_018514409.1, XP_033139809.1, XP_033144986.1, XP_033139775.1, XP_033142243.1	Cg005G1678900, Cg002G0563200
OG0000216	XP_033134839.1, XP_009144491.1	Cg003G0750300, Cg003G0750200
OG0000216	XP_033142073.1, XP_033142074.1	Cg003G0750000
OG0000216	XP_009102525.1	Cg007G2323800
OG0000216	XP_009116349.1	Cg001G0324000
OG0000216	XP_033134160.1, XP_033141123.1, XP_033142084.1, XP_009135947.1	Cg001G0323300
OG0000222	XP_033139183.1, XP_033139474.1, XP_033139262.1	Cg005G1700400
OG0000227	XP_009136266.2, XP_033138822.1	Cg004G1376700, Cg004G1376500, Cg004G1376400, Cg004G1385200, Cg004G1377200
OG0000227	XP_033148568.1	Cg004G1376900
OG0000229	XP_009151331.2, XP_033145123.1, XP_033134005.1, XP_033141396.1	Cg001G0315200
OG0000229	XP_033137486.1	Cg005G1664500
OG0000230	XP_009116566.1	Cg007G2290400
