Orthogroup	Brassica_rapa	Rorippa_islandica
OG0000016	XP_033136169.1, XP_033145488.1	Roisl.0037s0053.1.p, Roisl.0037s0074.1.p, Roisl.0056s0025.1.p, Roisl.0075s0107.1.p, Roisl.0189s0090.1.p, Roisl.0201s0011.1.p, Roisl.0210s2149.1.p, Roisl.0194s0080.1.p
OG0000016	XP_033139070.1, XP_033138857.1	Roisl.0066s0398.1.p, Roisl.0045s0086.1.p, Roisl.0124s0004.1.p
OG0000016	XP_033143392.1	Roisl.0214s0061.1.p, Roisl.0031s0055.1.p, Roisl.0213s0004.1.p, Roisl.0194s0052.1.p
OG0000016	XP_033138882.1, XP_033138921.1, XP_033138905.1	Roisl.0204s0199.1.p, Roisl.0013s0225.1.p, Roisl.0056s0014.1.p, Roisl.0058s0088.1.p
OG0000016	XP_033139397.1, XP_033138887.1, XP_033139290.1	Roisl.0059s0003.1.p, Roisl.0184s0029.1.p
OG0000016	XP_033138858.1	Roisl.0075s0211.1.p, Roisl.0022s0020.1.p
OG0000020	XP_033132628.1, XP_033134397.1, XP_009144112.2, XP_018510172.2, XP_033137868.1, XP_033139322.1, XP_033137097.1, XP_033131911.1, XP_033144538.1, XP_033131263.1, XP_033128364.1, XP_018511251.2, XP_033129018.1	Roisl.0025s0020.1.p, Roisl.0204s0053.1.p, Roisl.0066s0088.1.p, Roisl.0036s0054.1.p, Roisl.0040s0004.1.p, Roisl.0214s0552.1.p, Roisl.0194s0048.1.p
OG0000021	XP_033143299.1, XP_033131754.1, XP_009113298.1, XP_033135948.1, XP_033145970.1, XP_009108738.3, XP_033145198.1, XP_033128732.1, XP_033141182.1, XP_033129326.1	Roisl.0082s0017.1.p, Roisl.0179s0097.1.p, Roisl.0198s0008.1.p, Roisl.0023s0095.1.p, Roisl.0046s0797.1.p, Roisl.0014s0138.1.p, Roisl.0213s0355.1.p, Roisl.0006s0361.1.p, Roisl.0046s0769.1.p, Roisl.0066s0388.1.p, Roisl.0032s0086.1.p, Roisl.0005s0191.1.p, Roisl.0214s0300.1.p, Roisl.0072s0013.1.p, Roisl.0185s0094.1.p, Roisl.0188s0063.1.p, Roisl.0011s0031.1.p, Roisl.0191s0373.1.p
OG0000022	XP_009142868.1	Roisl.0022s0346.1.p
OG0000022	XP_009121467.1	Roisl.0210s1365.1.p
OG0000022	XP_009112698.1	Roisl.0010s0065.1.p
OG0000022	XP_009112701.1	Roisl.0028s0598.1.p, Roisl.0010s0069.1.p
OG0000022	XP_033134453.1	Roisl.0021s0361.1.p
OG0000022	XP_009118532.1	Roisl.0091s0926.1.p
OG0000022	XP_009112843.1	Roisl.0050s0030.1.p, Roisl.0050s0031.1.p
OG0000022	XP_009140073.1	Roisl.0009s0109.1.p
OG0000022	XP_009114567.1	Roisl.0074s0275.1.p
OG0000024	XP_018512901.1	Roisl.0015s0178.1.p
OG0000024	XP_009144063.2, XP_018514372.2, XP_033148397.1	Roisl.0213s0365.1.p, Roisl.0213s0382.1.p, Roisl.0213s0370.1.p, Roisl.0213s0366.1.p, Roisl.0213s0367.1.p
OG0000024	XP_009116539.1	Roisl.0026s0117.1.p, Roisl.0026s0135.1.p
OG0000024	XP_033132209.1	Roisl.0011s0535.1.p, Roisl.0011s0534.1.p, Roisl.0006s0183.1.p
OG0000025	XP_033129969.1	Roisl.0002s0230.1.p, Roisl.0062s0001.1.p, Roisl.0020s0076.1.p
OG0000026	XP_033135950.1, XP_033148527.1, XP_033148678.1, XP_033129369.1, XP_033134260.1, XP_033138371.1, XP_033147927.1, XP_033145901.1, XP_033148607.1, XP_033135946.1, XP_033141290.1	Roisl.0213s0871.1.p
OG0000027	XP_033142132.1	Roisl.0213s0590.1.p, Roisl.0213s0588.1.p, Roisl.0213s0583.1.p
OG0000027	XP_009136778.1, XP_009136797.2	Roisl.0008s0130.1.p
OG0000027	XP_033143898.1	Roisl.0008s0132.1.p
OG0000027	XP_033143991.1, XP_009136911.1	Roisl.0184s0131.1.p
OG0000027	XP_009108600.1	Roisl.0184s0126.1.p
OG0000027	XP_009137325.1	Roisl.0184s0127.1.p
OG0000027	XP_033144191.1	Roisl.0214s0896.1.p, Roisl.0008s0079.1.p
OG0000028	XP_009101849.2, XP_033129787.1, XP_033138374.1	Roisl.0075s0121.1.p
OG0000028	XP_033132412.1, XP_033132404.1, XP_009107001.1	Roisl.0210s1185.1.p
OG0000028	XP_009148196.2	Roisl.0008s0342.1.p
OG0000029	XP_009103430.1, XP_009103792.1, XP_033136629.1, XP_009105534.2, XP_033129358.1, XP_009128619.2, XP_009102786.1, XP_009111952.1, XP_009106480.1, XP_009118510.1	Roisl.0208s0029.1.p
OG0000029	XP_033138230.1, XP_033138123.1, XP_033128758.1	Roisl.0082s0611.1.p
OG0000029	XP_009150036.1	Roisl.0210s0592.1.p, Roisl.0046s0704.1.p
OG0000030	XP_033144643.1, XP_033142641.1	Roisl.0115s0348.1.p, Roisl.0115s0350.1.p, Roisl.0115s0351.1.p
OG0000030	XP_033138328.1, XP_033137984.1, XP_009141814.1	Roisl.0115s0300.1.p
OG0000030	XP_033129474.1, XP_033128828.1, XP_033131947.1	Roisl.0056s0019.1.p, Roisl.0046s0733.1.p, Roisl.0213s0186.1.p, Roisl.0053s0027.1.p, Roisl.0060s0006.1.p
OG0000030	XP_033148474.1	Roisl.0046s0887.1.p
OG0000030	XP_033143643.1	Roisl.0042s0059.1.p
OG0000030	XP_033131797.1	Roisl.0074s0641.1.p
OG0000030	XP_018510426.1	Roisl.0046s0886.1.p
OG0000030	XP_033130762.1, XP_033145302.1, XP_033146117.1, XP_009123103.2, XP_009141585.2	Roisl.0074s0618.1.p
OG0000031	XP_033148609.1	Roisl.0048s0016.1.p
OG0000031	XP_033148599.1, XP_009144745.1	Roisl.0020s0186.1.p
OG0000031	XP_033128785.1, XP_033134480.1, XP_009103830.2, XP_033141110.1, XP_009114691.2, XP_009151526.1, XP_033131640.1, XP_009128527.1, XP_009128535.1	Roisl.0188s0032.1.p, Roisl.0036s0104.1.p
OG0000032	XP_033143621.1	Roisl.0005s0192.1.p
OG0000032	XP_033143202.1, XP_033142724.1	Roisl.0188s0018.1.p
OG0000034	XP_009137321.1, XP_009136929.1	Roisl.0008s0068.1.p
OG0000034	XP_009136747.2	Roisl.0214s0895.1.p
OG0000034	XP_009137188.1	Roisl.0091s0192.1.p, Roisl.0091s0193.1.p, Roisl.0091s0191.1.p
OG0000034	XP_009134716.1	Roisl.0091s0190.1.p
OG0000034	XP_009128507.1	Roisl.0191s0566.1.p
OG0000034	XP_033143970.1	Roisl.0019s0659.1.p
OG0000034	XP_009137317.1, XP_009108599.1	Roisl.0214s0905.1.p
OG0000035	XP_033148603.1, XP_033129319.1, XP_033129317.1, XP_018515237.2, XP_033129460.1	Roisl.0213s0218.1.p
OG0000038	XP_033136961.1	Roisl.0046s1475.1.p, Roisl.0209s0432.1.p
OG0000038	XP_018509044.1	Roisl.0046s1474.1.p, Roisl.0055s0039.1.p
OG0000038	XP_018509951.1, XP_009102769.1	Roisl.0024s0539.1.p
OG0000040	XP_033148631.1	Roisl.0066s0406.1.p, Roisl.0184s0161.1.p
OG0000040	XP_009126331.2, XP_009106788.1, XP_009113229.1, XP_009118147.1, XP_033139875.1, XP_009145177.1, XP_009102190.1, XP_033135130.1, XP_033133628.1, XP_009125764.1, XP_009111367.1, XP_009109986.2, XP_009124648.1, XP_033146213.1, XP_009149322.1, XP_033131826.1, XP_009107588.1, XP_033134026.1, XP_009148789.1	Roisl.0209s0055.1.p
OG0000040	XP_018513078.1	Roisl.0008s0099.1.p, Roisl.0188s0108.1.p
OG0000041	XP_033138682.1, XP_009120440.2, XP_033136843.1, XP_018511312.1, XP_033142750.1, XP_018509814.1, XP_033143560.1, XP_033147559.1, XP_018511953.2	Roisl.0046s0022.1.p
OG0000042	XP_033136099.1	Roisl.0032s0094.1.p
OG0000042	XP_009120611.1	Roisl.0009s0193.1.p
OG0000042	XP_033129992.1	Roisl.0025s0036.1.p, Roisl.0022s0501.1.p
OG0000042	XP_009108258.2	Roisl.0035s0107.1.p, Roisl.0012s0035.1.p
OG0000042	XP_033129573.1	Roisl.0025s0035.1.p, Roisl.0048s0004.1.p
OG0000044	XP_018510070.1	Roisl.0005s0161.1.p
OG0000044	XP_033136809.1	Roisl.0055s0047.1.p, Roisl.0055s0046.1.p, Roisl.0012s0357.1.p
OG0000044	XP_018512047.1, XP_009134864.2	Roisl.0005s0157.1.p, Roisl.0005s0158.1.p, Roisl.0005s0160.1.p, Roisl.0005s0126.1.p, Roisl.0005s0170.1.p, Roisl.0005s0128.1.p, Roisl.0005s0129.1.p
OG0000044	XP_009128863.1	Roisl.0005s0150.1.p
OG0000044	XP_009123255.2	Roisl.0079s0325.1.p
OG0000044	XP_009136811.1	Roisl.0005s0218.1.p, Roisl.0091s0682.1.p, Roisl.0091s0647.1.p
OG0000047	XP_033134290.1	Roisl.0029s0050.1.p, Roisl.0066s0352.1.p
OG0000048	XP_009141214.1, XP_033145357.1	Roisl.0214s0362.1.p
OG0000048	XP_009125775.1	Roisl.0017s0448.1.p, Roisl.0017s0447.1.p
OG0000048	XP_009127532.1, XP_033139568.1, XP_009123149.2	Roisl.0028s0624.1.p, Roisl.0211s0012.1.p
OG0000048	XP_033137775.1, XP_033137778.1, XP_033146467.1, XP_033145502.1, XP_033148635.1, XP_033147829.1, XP_033146958.1, XP_009142442.1	Roisl.0017s0510.1.p
OG0000048	XP_009141452.3, XP_009141229.2, XP_033145293.1, XP_033145288.1, XP_009141227.2, XP_009146516.2, XP_018513390.1, XP_033145756.1, XP_033145751.1, XP_033145292.1, XP_018514111.1, XP_033145356.1, XP_009141011.2, XP_033145355.1, XP_009142302.1, XP_018513876.1	Roisl.0074s0908.1.p
OG0000050	XP_009142124.1, XP_033128725.1, XP_009138627.1	Roisl.0008s0345.1.p, Roisl.0025s0047.1.p
OG0000050	XP_009105612.1	Roisl.0020s0012.1.p, Roisl.0214s0245.1.p
OG0000051	XP_018514205.1, XP_009113199.1	Roisl.0210s2097.1.p, Roisl.0082s0147.1.p
OG0000051	XP_009142068.2	Roisl.0020s0125.1.p, Roisl.0020s0130.1.p, Roisl.0020s0124.1.p
OG0000051	XP_009142840.1, XP_033138797.1, XP_033138543.1, XP_033148410.1	Roisl.0189s0079.1.p
OG0000052	XP_033139477.1, XP_033135650.1	Roisl.0019s0256.1.p, Roisl.0019s0270.1.p, Roisl.0011s0480.1.p
OG0000054	XP_033138743.1	Roisl.0055s0018.1.p, Roisl.0184s0210.1.p
OG0000054	XP_033129392.1, XP_033138981.1, XP_033139074.1, XP_033129466.1, XP_033133928.1	Roisl.0210s2114.1.p
OG0000055	XP_009131379.2, XP_033144999.1, XP_009121596.1, XP_033131219.1	Roisl.0053s0213.1.p, Roisl.0001s0543.1.p, Roisl.0210s1750.1.p, Roisl.0210s1827.1.p
OG0000055	XP_033143242.1	Roisl.0053s0284.1.p
OG0000056	XP_033135114.1, XP_009113108.1	Roisl.0209s0603.1.p, Roisl.0209s0629.1.p
OG0000056	XP_009112692.1, XP_009113075.1, XP_009149950.1	Roisl.0209s0402.1.p
OG0000059	XP_033134217.1	Roisl.0019s0251.1.p
OG0000059	XP_033139086.1, XP_033134279.1, XP_033132002.1, XP_033139374.1	Roisl.0209s0123.1.p, Roisl.0214s0002.1.p
OG0000059	XP_009150809.1, XP_009124471.1, XP_033143409.1, XP_033134211.1, XP_033133426.1, XP_009101327.1	Roisl.0019s0008.1.p, Roisl.0027s0012.1.p, Roisl.0214s0427.1.p, Roisl.0018s0107.1.p, Roisl.0010s0148.1.p, Roisl.0214s0190.1.p
OG0000061	XP_009133838.1	Roisl.0033s0004.1.p
OG0000064	XP_033134282.1, XP_033134283.1, XP_033136270.1, XP_033135749.1, XP_033135748.1, XP_033135746.1, XP_033135747.1, XP_033134284.1, XP_033135687.1, XP_033136269.1, XP_033135741.1, XP_033135477.1, XP_009124650.2, XP_033136272.1, XP_033136268.1, XP_009124058.2, XP_033135744.1, XP_033136271.1, XP_009124087.2, XP_033135742.1, XP_033135743.1, XP_033135685.1, XP_033135686.1, XP_033135684.1, XP_033135688.1	Roisl.0214s0881.1.p, Roisl.0214s0876.1.p, Roisl.0214s0874.1.p, Roisl.0214s0875.1.p, Roisl.0214s0873.1.p, Roisl.0214s0877.1.p, Roisl.0214s0880.1.p, Roisl.0214s0867.1.p, Roisl.0214s0869.1.p, Roisl.0214s0872.1.p, Roisl.0214s0870.1.p, Roisl.0214s0868.1.p, Roisl.0214s0871.1.p, Roisl.0214s0879.1.p, Roisl.0214s0878.1.p, Roisl.0214s0820.1.p, Roisl.0214s0819.1.p, Roisl.0214s0817.1.p, Roisl.0214s0816.1.p, Roisl.0214s0823.1.p, Roisl.0214s0812.1.p, Roisl.0214s0814.1.p, Roisl.0214s0818.1.p, Roisl.0214s0822.1.p, Roisl.0214s0824.1.p, Roisl.0214s0825.1.p, Roisl.0214s0821.1.p, Roisl.0214s0815.1.p, Roisl.0214s0826.1.p
OG0000065	XP_009127504.1, XP_018509397.2	Roisl.0024s0085.1.p
OG0000065	XP_009127499.1	Roisl.0024s0064.1.p
OG0000065	XP_009105243.1	Roisl.0024s0067.1.p, Roisl.0024s0060.1.p
OG0000065	XP_009127512.1	Roisl.0024s0071.1.p
OG0000065	XP_033143336.1	Roisl.0024s0070.1.p
OG0000065	XP_009125065.1	Roisl.0046s0037.1.p, Roisl.0046s0036.1.p, Roisl.0046s0034.1.p
OG0000065	XP_009140044.1	Roisl.0046s0029.1.p, Roisl.0046s0026.1.p
OG0000065	XP_009140168.2	Roisl.0046s0032.1.p
OG0000065	XP_009140101.2, XP_009151130.2	Roisl.0213s0852.1.p
OG0000066	XP_009125303.1, XP_009110843.1, XP_009112178.1, XP_009129719.2, XP_009114048.1, XP_009131154.1	Roisl.0210s0757.1.p, Roisl.0091s1203.1.p, Roisl.0024s0429.1.p, Roisl.0210s0756.1.p, Roisl.0024s0428.1.p
OG0000066	XP_009104699.1, XP_009125263.1, XP_009131189.1, XP_009130061.1, XP_018511751.1	Roisl.0001s0457.1.p
OG0000067	XP_018508435.1	Roisl.0214s0162.1.p
OG0000067	XP_033143570.1, XP_033144765.1	Roisl.0046s0696.1.p
OG0000068	XP_033137765.1, XP_009122279.3, XP_033144949.1, XP_033144954.1	Roisl.0034s0163.1.p
OG0000069	XP_033144869.1	Roisl.0035s0070.1.p, Roisl.0115s0262.1.p
OG0000069	XP_018512413.1, XP_009105410.1	Roisl.0209s0754.1.p, Roisl.0004s0031.1.p, Roisl.0209s0663.1.p, Roisl.0115s0002.1.p
OG0000069	XP_033146576.1	Roisl.0046s1591.1.p, Roisl.0046s1592.1.p
OG0000069	XP_033128537.1, XP_009102077.1, XP_018511249.1	Roisl.0019s0342.1.p
OG0000069	XP_009142475.1	Roisl.0055s0038.1.p
OG0000070	XP_009123589.1, XP_033136464.1	Roisl.0021s0078.1.p, Roisl.0011s0203.1.p, Roisl.0011s0205.1.p
OG0000070	XP_009149503.1	Roisl.0007s0115.1.p
OG0000070	XP_009104691.1, XP_009106248.2, XP_009128146.1	Roisl.0004s0297.1.p
OG0000073	XP_009117227.2	Roisl.0045s0095.1.p, Roisl.0005s0073.1.p
OG0000074	XP_009119511.1, XP_033131958.1	Roisl.0054s0034.1.p
OG0000075	XP_009101861.1, XP_033141207.1, XP_009124954.2, XP_009127369.1	Roisl.0214s0076.1.p
OG0000075	XP_009101862.1	Roisl.0001s0515.1.p, Roisl.0002s0267.1.p, Roisl.0002s0266.1.p, Roisl.0001s0513.1.p
OG0000075	XP_033144015.1	Roisl.0046s0019.1.p
OG0000076	XP_009101919.1	Roisl.0115s0707.1.p
OG0000077	XP_033139970.1	Roisl.0005s0356.1.p, Roisl.0005s0357.1.p, Roisl.0005s0358.1.p, Roisl.0005s0330.1.p, Roisl.0213s0591.1.p, Roisl.0213s0589.1.p
OG0000077	XP_033134075.1	Roisl.0214s0808.1.p
OG0000077	XP_033141183.1	Roisl.0011s0232.1.p, Roisl.0011s0236.1.p, Roisl.0011s0227.1.p, Roisl.0011s0212.1.p, Roisl.0011s0224.1.p, Roisl.0011s0218.1.p
OG0000077	XP_009148269.1	Roisl.0214s0806.1.p
OG0000077	XP_009113876.1, XP_009149053.2	Roisl.0005s0364.1.p
OG0000078	XP_009126231.2, XP_009131624.1, XP_009121025.2, XP_009131630.2, XP_009126229.1, XP_009131627.1	Roisl.0210s1509.1.p, Roisl.0210s1512.1.p, Roisl.0210s1510.1.p, Roisl.0210s1507.1.p, Roisl.0210s1503.1.p, Roisl.0210s1513.1.p
OG0000081	XP_018509212.1, XP_033131829.1, XP_033133259.1	Roisl.0206s0028.1.p, Roisl.0036s0071.1.p, Roisl.0209s0160.1.p, Roisl.0038s0020.1.p, Roisl.0020s0165.1.p
OG0000081	XP_009136781.1, XP_009107885.2, XP_033142712.1, XP_033132815.1, XP_033139711.1, XP_033129160.1, XP_009107884.2	Roisl.0184s0010.1.p, Roisl.0010s0050.1.p, Roisl.0003s0246.1.p, Roisl.0031s0106.1.p, Roisl.0001s0536.1.p, Roisl.0050s0003.1.p
OG0000081	XP_009149633.1	Roisl.0046s0697.1.p
OG0000082	XP_033144158.1	Roisl.0020s0102.1.p
OG0000083	XP_033133218.1, XP_033145473.1, XP_033144422.1	Roisl.0209s0532.1.p
OG0000086	XP_033147599.1	Roisl.0032s0015.1.p
OG0000086	XP_033130821.1	Roisl.0024s0030.1.p, Roisl.0209s0075.1.p
OG0000089	XP_009150907.1	Roisl.0210s2052.1.p
OG0000089	XP_009150241.1, XP_009151388.1	Roisl.0024s0139.1.p
OG0000089	XP_009150568.2, XP_009149954.2	Roisl.0209s0395.1.p
OG0000089	XP_009144365.1, XP_009141007.2	Roisl.0082s0748.1.p
OG0000089	XP_009121863.1	Roisl.0210s0950.1.p
OG0000089	XP_009113926.1, XP_009101721.2	Roisl.0012s0263.1.p
OG0000089	XP_009123590.1	Roisl.0091s0246.1.p
OG0000089	XP_009106234.1	Roisl.0004s0314.1.p
OG0000090	XP_033147238.1	Roisl.0184s0229.1.p
OG0000090	XP_033128016.1, XP_033136189.1	Roisl.0185s0052.1.p, Roisl.0046s0056.1.p, Roisl.0083s0014.1.p, Roisl.0213s0386.1.p, Roisl.0214s0614.1.p, Roisl.0028s0652.1.p, Roisl.0055s0065.1.p, Roisl.0184s0150.1.p, Roisl.0072s0004.1.p, Roisl.0082s0485.1.p, Roisl.0204s0185.1.p, Roisl.0188s0033.1.p, Roisl.0185s0066.1.p, Roisl.0214s0111.1.p, Roisl.0195s0023.1.p, Roisl.0020s0036.1.p
OG0000090	XP_033133394.1, XP_033141800.1	Roisl.0053s0434.1.p, Roisl.0115s0613.1.p, Roisl.0013s0212.1.p, Roisl.0005s0146.1.p, Roisl.0213s0677.1.p, Roisl.0055s0040.1.p, Roisl.0184s0124.1.p, Roisl.0209s0078.1.p, Roisl.0188s0027.1.p, Roisl.0210s2141.1.p, Roisl.0189s0077.1.p, Roisl.0048s0025.1.p, Roisl.0214s0266.1.p, Roisl.0037s0059.1.p, Roisl.0189s0230.1.p, Roisl.0029s0078.1.p, Roisl.0209s0509.1.p, Roisl.0214s0183.1.p, Roisl.0045s0052.1.p, Roisl.0214s0234.1.p, Roisl.0214s0277.1.p, Roisl.0209s0077.1.p
OG0000090	XP_033147237.1	Roisl.0111s0002.1.p
OG0000091	XP_009119422.1	Roisl.0209s0467.1.p
OG0000091	XP_009150032.2	Roisl.0209s0427.1.p
OG0000091	XP_009131797.1, XP_009120802.1	Roisl.0070s0019.1.p, Roisl.0210s1772.1.p, Roisl.0210s1773.1.p
OG0000091	XP_009143939.1, XP_033147614.1	Roisl.0214s0193.1.p
OG0000091	XP_018508112.1	Roisl.0209s0428.1.p
OG0000092	XP_033148640.1	Roisl.0189s0186.1.p
OG0000092	XP_009145085.2	Roisl.0066s0385.1.p, Roisl.0204s0106.1.p
OG0000092	XP_033131411.1, XP_033143949.1, XP_033143950.1, XP_009137270.1, XP_033140197.1	Roisl.0210s0404.1.p
OG0000092	XP_033136537.1	Roisl.0056s0047.1.p, Roisl.0056s0055.1.p, Roisl.0115s0570.1.p
OG0000092	XP_033132217.1, XP_033128174.1	Roisl.0004s0347.1.p, Roisl.0015s0053.1.p, Roisl.0191s0468.1.p, Roisl.0032s0098.1.p
OG0000095	XP_009134223.1, XP_009140586.1	Roisl.0214s0044.1.p, Roisl.0214s0043.1.p
OG0000095	XP_033145266.1, XP_033145760.1	Roisl.0214s0042.1.p
