Orthogroup	Brassica_rapa	Cardamine_hirsuta
OG0000020	XP_033132628.1, XP_033134397.1, XP_009144112.2, XP_018510172.2, XP_033137868.1, XP_033139322.1, XP_033137097.1, XP_033131911.1, XP_033144538.1, XP_033131263.1, XP_033128364.1, XP_018511251.2, XP_033129018.1	CARHR113350, CARHR034150, CARHR049310
OG0000021	XP_033143299.1, XP_033131754.1, XP_009113298.1, XP_033135948.1, XP_033145970.1, XP_009108738.3, XP_033145198.1, XP_033128732.1, XP_033141182.1, XP_033129326.1	CARHR146600
OG0000022	XP_009142868.1	CARHR234420
OG0000022	XP_009121467.1	CARHR196550
OG0000022	XP_009112698.1	CARHR049170
OG0000022	XP_009112701.1	CARHR045470, CARHR051030, CARHR048220, CARHR049120
OG0000022	XP_033134453.1	CARHR013000
OG0000022	XP_009112843.1	CARHR046360, CARHR046370
OG0000022	XP_009140073.1	CARHR213210
OG0000022	XP_009114567.1	CARHR091960
OG0000024	XP_033133295.1	CARHR030400
OG0000024	XP_009144063.2, XP_018514372.2, XP_033148397.1	CARHR062310
OG0000024	XP_009116539.1	CARHR168020, CARHR167830
OG0000024	XP_033132209.1	CARHR030470, CARHR148710, CARHR030440, CARHR030410, CARHR045190
OG0000025	XP_033129969.1	CARHR288360
OG0000026	XP_033135950.1, XP_033148527.1, XP_033148678.1, XP_033129369.1, XP_033134260.1, XP_033138371.1, XP_033147927.1, XP_033145901.1, XP_033148607.1, XP_033135946.1, XP_033141290.1	CARHR104160
OG0000027	XP_033142038.1	CARHR255040
OG0000027	XP_033142132.1	CARHR255010, CARHR263990, CARHR255060, CARHR254990
OG0000027	XP_009136778.1, XP_009136797.2	CARHR057450
OG0000027	XP_033143898.1	CARHR230660
OG0000027	XP_009137329.1	CARHR230630
OG0000027	XP_033143991.1	CARHR230460
OG0000027	XP_009136911.1	CARHR230450
OG0000027	XP_033132923.1	CARHR230510
OG0000027	XP_009108600.1	CARHR230500
OG0000027	XP_033144191.1	CARHR230400, CARHR230390
OG0000027	XP_009108162.1	CARHR254870
OG0000027	XP_009136791.2	CARHR230440
OG0000027	XP_009137330.1	CARHR230580
OG0000028	XP_009101849.2, XP_033129787.1, XP_033138374.1	CARHR220000, CARHR100780
OG0000028	XP_033132412.1, XP_033132404.1, XP_009107001.1	CARHR030090, CARHR289310
OG0000028	XP_033140818.1, XP_009127105.2, XP_009127106.1, XP_033140823.1	CARHR267520, CARHR267660
OG0000028	XP_009148196.2	CARHR242050
OG0000028	XP_018509211.2	CARHR244240
OG0000028	XP_033140827.1, XP_033140822.1	CARHR267700
OG0000029	XP_009150036.1	CARHR116610, CARHR153140
OG0000030	XP_033138328.1, XP_033137984.1, XP_009141814.1	CARHR134370
OG0000030	XP_033129474.1, XP_033128828.1, XP_033131947.1	CARHR025790, CARHR162370, CARHR260760, CARHR260790
OG0000030	XP_033148474.1	CARHR158520, CARHR158510, CARHR158530
OG0000030	XP_018510426.1	CARHR088860, CARHR095910, CARHR026350
OG0000032	XP_033134461.1	CARHR289940
OG0000032	XP_033143621.1	CARHR287070, CARHR115000, CARHR258320, CARHR152520, CARHR154280, CARHR217870, CARHR103550, CARHR183020, CARHR149880
OG0000034	XP_009137321.1, XP_009136929.1	CARHR230270, CARHR230290
OG0000034	XP_033135404.1	CARHR230240
OG0000034	XP_009137188.1	CARHR228050, CARHR228010, CARHR228060, CARHR228080, CARHR228070
OG0000034	XP_009134716.1	CARHR289950
OG0000034	XP_009128507.1	CARHR106160
OG0000034	XP_009137317.1, XP_009108599.1	CARHR230230, CARHR230200
OG0000034	XP_033143795.1	CARHR230540, CARHR230590, CARHR230570, CARHR230620, CARHR230650
OG0000035	XP_033148603.1, XP_033129319.1, XP_033129317.1, XP_018515237.2, XP_033129460.1	CARHR034500, CARHR120350, CARHR104490
OG0000038	XP_018509044.1	CARHR187570
OG0000038	XP_018509951.1, XP_009102769.1	CARHR259820
OG0000042	XP_009108258.2	CARHR116060, CARHR260310
OG0000044	XP_033128241.1	CARHR175840, CARHR175230
OG0000044	XP_018510070.1	CARHR292230
OG0000044	XP_033136809.1	CARHR175260
OG0000044	XP_018512047.1, XP_009134864.2	CARHR174840
OG0000044	XP_009136811.1	CARHR222980, CARHR290490, CARHR223500
OG0000047	XP_009120239.1, XP_033134307.1, XP_033131812.1, XP_009124182.2, XP_009114455.1, XP_033131802.1, XP_009123813.1, XP_009123814.2, XP_009123579.2, XP_033129374.1, XP_033134308.1, XP_009123766.1, XP_033148540.1, XP_009145112.2, XP_033134303.1, XP_033134289.1, XP_009123343.2, XP_009124453.2, XP_009144635.1, XP_018511422.1, XP_033143388.1, XP_033134290.1, XP_033129373.1, XP_033134312.1, XP_033134310.1, XP_033145294.1, XP_009123666.1	CARHR257880
OG0000048	XP_009125775.1	CARHR054750
OG0000048	XP_033137775.1, XP_033137778.1, XP_033146467.1, XP_033145502.1, XP_033148635.1, XP_033147829.1, XP_033146958.1, XP_009142442.1	CARHR125110
OG0000048	XP_033147664.1	CARHR125800
OG0000050	XP_033128725.1	CARHR154060
OG0000050	XP_018509860.1, XP_009144631.1, XP_033148671.1, XP_009125369.1, XP_033136840.1, XP_009133671.1, XP_009105612.1	CARHR071180, CARHR153550
OG0000051	XP_009119376.1, XP_009121616.2, XP_009118690.1	CARHR002800
OG0000051	XP_018514205.1, XP_009113199.1	CARHR109310
OG0000051	XP_009142068.2	CARHR256260
OG0000051	XP_009142840.1, XP_033138797.1, XP_033138543.1, XP_033148410.1	CARHR137540
OG0000052	XP_009152006.1	CARHR148060
OG0000052	XP_033139477.1, XP_033135650.1	CARHR065210, CARHR065340, CARHR278910, CARHR148040, CARHR150860
OG0000052	XP_009115966.1, XP_033146756.1, XP_033146252.1, XP_033146757.1, XP_033145801.1	CARHR162490, CARHR162550
OG0000052	XP_033146405.1	CARHR162520, CARHR162530, CARHR292090
OG0000054	XP_033138761.1	CARHR259190
OG0000055	XP_009131379.2, XP_033144999.1, XP_009121596.1, XP_033131219.1	CARHR100810, CARHR107470, CARHR177430, CARHR192030
OG0000055	XP_033143242.1	CARHR094260, CARHR107830, CARHR149830, CARHR108270
OG0000055	XP_009134817.1	CARHR149840
OG0000055	XP_033128815.1	CARHR111010
OG0000056	XP_009112692.1, XP_009113075.1, XP_009149950.1	CARHR155600
OG0000059	XP_033134217.1	CARHR044830
OG0000059	XP_033143368.1, XP_033129455.1, XP_033134209.1, XP_033128794.1, XP_033131162.1, XP_033139340.1, XP_009139344.2	CARHR293330, CARHR148640, CARHR151940, CARHR118340
OG0000059	XP_033139086.1, XP_033134279.1, XP_033132002.1, XP_033139374.1	CARHR286550, CARHR102470, CARHR152130
OG0000061	XP_009133988.1	CARHR270010
OG0000061	XP_033137465.1	CARHR039590
OG0000061	XP_009128582.1	CARHR098800, CARHR037540
OG0000061	XP_033145280.1	CARHR123140
OG0000061	XP_009133838.1	CARHR123070
OG0000061	XP_033134438.1	CARHR151510, CARHR219570
OG0000064	XP_033134282.1, XP_033134283.1, XP_033136270.1, XP_033135749.1, XP_033135748.1, XP_033135746.1, XP_033135747.1, XP_033134284.1, XP_033135687.1, XP_033136269.1, XP_033135741.1, XP_033135477.1, XP_009124650.2, XP_033136272.1, XP_033136268.1, XP_009124058.2, XP_033135744.1, XP_033136271.1, XP_009124087.2, XP_033135742.1, XP_033135743.1, XP_033135685.1, XP_033135686.1, XP_033135684.1, XP_033135688.1	CARHR050760, CARHR273290, CARHR054420, CARHR289730, CARHR289690
OG0000065	XP_033134366.1, XP_009125066.1	CARHR214320
OG0000065	XP_009127504.1	CARHR059230, CARHR059320, CARHR124320
OG0000065	XP_009105243.1	CARHR059130, CARHR059070, CARHR059140
OG0000065	XP_009127507.1	CARHR059150
OG0000065	XP_033143336.1	CARHR059200
OG0000065	XP_009125065.1	CARHR214430, CARHR214400
OG0000065	XP_009140101.2, XP_009151130.2	CARHR263400, CARHR263410
OG0000066	XP_009125303.1, XP_009110843.1, XP_009112178.1, XP_009129719.2, XP_009114048.1, XP_009131154.1	CARHR202910, CARHR279310, CARHR279320, CARHR202900, CARHR009160
OG0000066	XP_009104699.1, XP_009125263.1, XP_009131189.1, XP_009130061.1, XP_018511751.1	CARHR202310
OG0000068	XP_033137765.1, XP_009122279.3, XP_033144949.1, XP_033144954.1	CARHR210960
OG0000069	XP_033144869.1	CARHR264470
OG0000069	XP_033144867.1, XP_033144865.1, XP_009137441.1, XP_033143704.1, XP_009150992.2	CARHR264460
OG0000069	XP_033128537.1, XP_009102077.1, XP_018511249.1	CARHR070150
OG0000070	XP_009123589.1, XP_033136464.1	CARHR010350, CARHR145510, CARHR145520, CARHR286680, CARHR145480, CARHR145500
OG0000070	XP_009149503.1	CARHR020650
OG0000070	XP_009104691.1, XP_009106248.2, XP_009128146.1	CARHR069500
OG0000072	XP_033148496.1, XP_033146751.1, XP_009145557.2, XP_033128162.1, XP_033129519.1, XP_033134361.1, XP_033128616.1	CARHR292290
OG0000075	XP_009101861.1, XP_033141207.1, XP_009124954.2, XP_009127369.1	CARHR247180
OG0000075	XP_009101862.1	CARHR247150, CARHR221070, CARHR247140
OG0000076	XP_009101919.1	CARHR247830
OG0000076	XP_009141037.3, XP_009132713.2, XP_009132712.2, XP_009141118.1, XP_033146437.1, XP_018512826.1, XP_009132724.1, XP_009141423.1, XP_009141039.2, XP_009141424.2, XP_009105095.1, XP_009127648.2	CARHR260300
OG0000077	XP_033139970.1	CARHR176910, CARHR176920, CARHR177280, CARHR112190, CARHR254980, CARHR254940, CARHR177080
OG0000077	XP_033141183.1	CARHR288740, CARHR145630
OG0000077	XP_018512146.1	CARHR145620
OG0000078	XP_009126231.2, XP_009131624.1, XP_009121025.2, XP_009131630.2, XP_009126229.1, XP_009131627.1	CARHR194990, CARHR195030, CARHR195060, CARHR195010
OG0000081	XP_018509212.1, XP_033131829.1, XP_033133259.1	CARHR264280
OG0000081	XP_009136781.1, XP_009107885.2, XP_033142712.1, XP_033132815.1, XP_033139711.1, XP_033129160.1, XP_009107884.2	CARHR258030
OG0000086	XP_009135925.1, XP_009139756.1	CARHR214860
OG0000086	XP_009139752.1	CARHR214870
OG0000086	XP_033147599.1	CARHR214790, CARHR214760
OG0000086	XP_033130821.1	CARHR058690, CARHR058660, CARHR058640, CARHR058680
OG0000089	XP_009150907.1	CARHR189700
OG0000089	XP_009150568.2, XP_009149954.2	CARHR155480
OG0000089	XP_009144365.1, XP_009141007.2	CARHR122890
OG0000089	XP_009121863.1	CARHR200860
OG0000089	XP_009113926.1, XP_009101721.2	CARHR178800
OG0000089	XP_009123590.1	CARHR227450
OG0000089	XP_018514901.1	CARHR128920
OG0000089	XP_009106234.1	CARHR069200
OG0000090	XP_033133394.1, XP_033141800.1	CARHR116840, CARHR259920
OG0000091	XP_009150032.2	CARHR155720
OG0000091	XP_009131797.1, XP_009120802.1	CARHR192340, CARHR192330
OG0000091	XP_009143939.1, XP_033147614.1	CARHR262970
OG0000092	XP_033147154.1	CARHR180580
OG0000092	XP_009145085.2	CARHR152920, CARHR180590, CARHR261190
OG0000092	XP_033136537.1	CARHR293270
OG0000095	XP_009134223.1, XP_009140586.1	CARHR117030, CARHR118620
OG0000095	XP_033145266.1, XP_033145760.1	CARHR117020
OG0000095	XP_033146353.1, XP_033146352.1	CARHR116980, CARHR117870, CARHR117890, CARHR116700, CARHR116940
OG0000095	XP_033145265.1	CARHR117880, CARHR117220
OG0000096	XP_009136113.1	CARHR084920
OG0000096	XP_033148466.1	CARHR159080
OG0000098	XP_033141220.1	CARHR103960
OG0000098	XP_033144223.1, XP_009137095.2, XP_033143042.1	CARHR046250
OG0000098	XP_009150964.1, XP_009130073.1	CARHR174970
OG0000100	XP_018509586.1	CARHR047470, CARHR047430, CARHR047580, CARHR047440, CARHR261260, CARHR047450
OG0000100	XP_033135340.1	CARHR048000, CARHR048030, CARHR048060, CARHR048070, CARHR048510
OG0000100	XP_033135321.1	CARHR051270, CARHR051280, CARHR051250
OG0000100	XP_009112782.1	CARHR047090, CARHR047300, CARHR047120
OG0000101	XP_009123725.2	CARHR287350
OG0000102	XP_009121666.1	CARHR252110, CARHR252090, CARHR252060
OG0000102	XP_033136290.1, XP_033140146.1	CARHR252130
OG0000105	XP_033134179.1	CARHR047220
OG0000106	XP_033141352.1, XP_033135598.1, XP_033135708.1, XP_033132990.1, XP_009119936.1, XP_009138559.1, XP_033134634.1	CARHR183910
OG0000107	XP_033131954.1, XP_009113964.1	CARHR119260, CARHR119250
OG0000107	XP_018514730.2	CARHR095660
OG0000107	XP_009140112.1, XP_033142636.1	CARHR095650
OG0000107	XP_033147102.1	CARHR095610
OG0000107	XP_009111243.1	CARHR096820, CARHR096830, CARHR097220, CARHR095680, CARHR095690, CARHR095670
OG0000108	XP_009133195.1, XP_009141678.2	CARHR131960
OG0000108	XP_009150245.1	CARHR155270
OG0000108	XP_009146646.1	CARHR086670
OG0000108	XP_033138402.1, XP_009131124.2, XP_009125344.2	CARHR203590
OG0000108	XP_009145858.2, XP_018513774.1	CARHR094190
OG0000110	XP_033134264.1, XP_033148525.1, XP_033147962.1, XP_018511583.2, XP_018512883.1, XP_033145191.1, XP_033134317.1	CARHR151660
OG0000111	XP_009102969.1, XP_009104069.1, XP_009121559.1, XP_009119630.1, XP_009116825.1, XP_033128640.1, XP_033129028.1, XP_033146399.1, XP_033146035.1, XP_009133886.1	CARHR148290
OG0000114	XP_033145921.1	CARHR258830, CARHR283860
OG0000115	XP_009133161.1	CARHR155450
OG0000117	XP_033130333.1	CARHR024100
OG0000118	XP_009113644.3, XP_009115539.2, XP_033135170.1, XP_033135169.1, XP_033135012.1, XP_009135990.1, XP_033135900.1	CARHR101240, CARHR101220, CARHR133050, CARHR115930, CARHR115940, CARHR115970, CARHR133070, CARHR133060
OG0000119	XP_033138816.1	CARHR150070, CARHR118170
OG0000119	XP_033138803.1	CARHR118700, CARHR273840
OG0000119	XP_033139673.1	CARHR059580, CARHR150110
OG0000119	XP_009140726.1	CARHR114860, CARHR256190, CARHR263010, CARHR150080, CARHR150140, CARHR143200, CARHR207890, CARHR150200
OG0000119	XP_033143911.1	CARHR114850
OG0000121	XP_009144746.3	CARHR101000
OG0000121	XP_033141060.1	CARHR054680, CARHR054690, CARHR181920, CARHR054110, CARHR100990, CARHR102670
OG0000122	XP_033139826.1, XP_033139827.1	CARHR269740
OG0000122	XP_033142107.1	CARHR129080, CARHR031770, CARHR269910, CARHR269890
OG0000122	XP_033137394.1, XP_033142009.1, XP_018512820.2	CARHR033520, CARHR033430
OG0000122	XP_033139821.1	CARHR269930
OG0000123	XP_033133176.1, XP_033133177.1, XP_033132773.1, XP_033132770.1, XP_033132771.1, XP_033132772.1, XP_033132774.1, XP_033133179.1, XP_033133178.1	CARHR181480, CARHR181490
OG0000124	XP_033145235.1	CARHR261370
OG0000124	XP_009145189.1	CARHR153360, CARHR119160, CARHR259840
OG0000125	XP_033145187.1, XP_033131572.1	CARHR122240
OG0000125	XP_009118428.1	CARHR007350
OG0000125	XP_033146903.1	CARHR039100
OG0000125	XP_009144873.1	CARHR041970, CARHR041980
OG0000125	XP_009135746.2, XP_018514690.2	CARHR097260
OG0000126	XP_033134231.1	CARHR103200
OG0000126	XP_033136403.1	CARHR217430, CARHR184740
OG0000126	XP_033133742.1	CARHR252010
OG0000127	XP_009120626.1, XP_009131894.1	CARHR190650
OG0000127	XP_009139383.1, XP_009116061.1	CARHR163570
OG0000127	XP_009120513.1	CARHR273520
OG0000127	XP_009133865.1, XP_009140934.1, XP_009103710.2	CARHR121850
OG0000128	XP_009104190.1	CARHR061850
OG0000128	XP_033134414.1	CARHR104600
OG0000128	XP_009116587.1, XP_018508692.1	CARHR169580
OG0000128	XP_009104193.2	CARHR169600
OG0000129	XP_033146831.1, XP_033146830.1	CARHR038520, CARHR038560
OG0000129	XP_033145048.1	CARHR056680, CARHR056760, CARHR056690
OG0000129	XP_009130179.2, XP_009130183.1	CARHR275720, CARHR275710, CARHR120250, CARHR120240, CARHR120610, CARHR275730
OG0000130	XP_033147807.1	CARHR287060, CARHR146840
OG0000130	XP_009107043.1, XP_033130441.1	CARHR183650, CARHR123710, CARHR043800
OG0000132	XP_009116244.2, XP_009116245.1, XP_009116184.2, XP_033137144.1, XP_018510613.1	CARHR164880
OG0000132	XP_033136550.1	CARHR277270
OG0000132	XP_033141227.1	CARHR277260
OG0000132	XP_009144883.2	CARHR214020
OG0000134	XP_018508210.2	CARHR054550, CARHR054640, CARHR054580, CARHR151520
OG0000134	XP_033142785.1, XP_033142547.1, XP_009113973.2, XP_033142504.1	CARHR202050
OG0000136	XP_033133938.1	CARHR186370
OG0000137	XP_033144579.1, XP_009127007.2, XP_033139637.1	CARHR268710
OG0000137	XP_009111746.1, XP_009127005.1	CARHR268720
OG0000137	XP_033138715.1	CARHR268700
OG0000137	XP_009132393.1	CARHR268690
OG0000137	XP_009132642.1, XP_009120051.1	CARHR268680
OG0000138	XP_033146362.1	CARHR169390
OG0000140	XP_009145081.1	CARHR116590
OG0000141	XP_033133736.1	CARHR220970, CARHR220990
OG0000141	XP_033135443.1	CARHR012600
OG0000141	XP_009118104.3	CARHR255820
OG0000141	XP_018510931.2	CARHR012590
OG0000141	XP_009110666.1	CARHR012520, CARHR220850
OG0000141	XP_009118092.2, XP_033134902.1	CARHR013070
OG0000143	XP_033134274.1, XP_033135796.1	CARHR181670, CARHR183500
OG0000148	XP_033144403.1, XP_009132885.2	CARHR037410
OG0000150	XP_033138999.1	CARHR288220
OG0000150	XP_033139048.1, XP_033139149.1, XP_033139478.1, XP_033139494.1, XP_033139194.1, XP_033139164.1, XP_033138880.1, XP_033139010.1, XP_033139244.1, XP_033138885.1	CARHR217380, CARHR294480
OG0000151	XP_009124228.1	CARHR151000
OG0000151	XP_009116212.1, XP_009103951.1, XP_033146519.1	CARHR165130
OG0000151	XP_009139199.2	CARHR165120
OG0000151	XP_033148760.1	CARHR134140
OG0000151	XP_009139200.1	CARHR165110
OG0000151	XP_009141649.1	CARHR132240
OG0000151	XP_009121752.1	CARHR199860
OG0000153	XP_009140992.3, XP_009140985.1, XP_033147950.1, XP_018514500.2	CARHR124170, CARHR124160, CARHR124140
OG0000153	XP_033145172.1	CARHR122600, CARHR122610
OG0000153	XP_009110944.1	CARHR007210
OG0000153	XP_009118438.1	CARHR007190
OG0000153	XP_009140988.2, XP_009144387.2	CARHR122550
OG0000154	XP_009107881.1	CARHR290670
OG0000154	XP_018515541.1	CARHR040880, CARHR041470
OG0000154	XP_033128714.1	CARHR041490, CARHR040850
OG0000157	XP_033130702.1, XP_033139818.1, XP_009140642.2, XP_009129819.1, XP_009129831.2	CARHR029970
OG0000158	XP_033136525.1	CARHR113640
OG0000158	XP_009104904.1	CARHR245230
OG0000158	XP_033141607.1	CARHR150520
OG0000159	XP_033130755.1, XP_033139533.1, XP_009115089.3, XP_033137203.1, XP_033128569.1, XP_033147093.1	CARHR184120
OG0000160	XP_009112568.1, XP_009102205.2	CARHR109500
OG0000160	XP_009137896.1, XP_009137895.2, XP_009128001.1, XP_009109000.1	CARHR238090
OG0000160	XP_033141904.1, XP_009120261.2	CARHR271150
OG0000160	XP_018513014.1	CARHR104060
OG0000160	XP_009128205.1	CARHR153650
OG0000160	XP_018508569.2, XP_009106729.2	CARHR073860
OG0000160	XP_009117122.1	CARHR117520
OG0000162	XP_009113251.2	CARHR162850
OG0000162	XP_009143883.1	CARHR127170
OG0000162	XP_033129079.1	CARHR102790, CARHR102800, CARHR102820, CARHR145920
OG0000163	XP_033139285.1, XP_033146254.1, XP_009108251.2, XP_033131804.1, XP_033131809.1	CARHR259710, CARHR057870, CARHR288340
OG0000165	XP_009127572.1	CARHR085710, CARHR085700, CARHR085180
OG0000166	XP_009140600.1	CARHR115420
OG0000166	XP_033131489.1, XP_033141680.1	CARHR067380
OG0000166	XP_033128105.1, XP_033128100.1	CARHR019250
OG0000167	XP_033147121.1	CARHR096970
OG0000167	XP_033131842.1	CARHR099220
OG0000169	XP_033132763.1	CARHR148260, CARHR265180, CARHR265400, CARHR149520, CARHR149530, CARHR116790, CARHR043210, CARHR041580, CARHR040020, CARHR042890, CARHR042510, CARHR043190, CARHR260050, CARHR042900, CARHR041590, CARHR042520, CARHR043200, CARHR263740, CARHR037920
OG0000170	XP_009116769.1	CARHR171350
OG0000170	XP_018514087.1	CARHR140750
OG0000170	XP_009142347.1	CARHR186310, CARHR140760
OG0000170	XP_018514178.1	CARHR140770, CARHR103320
OG0000171	XP_009119874.1	CARHR266340
OG0000171	XP_009112891.1	CARHR046700
OG0000171	XP_009121200.1	CARHR107000
OG0000171	XP_018512593.2	CARHR269520
OG0000171	XP_009123804.1, XP_009146989.1, XP_009135093.1	CARHR083000, CARHR082990
OG0000171	XP_009109116.1, XP_009144093.1	CARHR235660
OG0000173	XP_009109432.1	CARHR246590
OG0000173	XP_033128749.1, XP_033129164.1	CARHR100900
OG0000173	XP_009138208.2	CARHR146050
OG0000174	XP_009139373.1, XP_009111365.1, XP_009123003.1, XP_009130013.1	CARHR115250
OG0000175	XP_033134622.1, XP_009103171.1, XP_009127800.1	CARHR023910
OG0000175	XP_009110099.1	CARHR063650
OG0000175	XP_033137829.1	CARHR198650
OG0000175	XP_009113207.1	CARHR052550
OG0000175	XP_033146739.1	CARHR142560, CARHR172630
OG0000177	XP_009149600.1	CARHR256500, CARHR181980
OG0000177	XP_033132885.1	CARHR021660, CARHR054130, CARHR287770
OG0000177	XP_009149598.1, XP_009149599.2	CARHR146970, CARHR021690, CARHR021680, CARHR116570
OG0000177	XP_009124585.1, XP_033147925.1	CARHR021670, CARHR181970
OG0000178	XP_033136390.1	CARHR253020
OG0000178	XP_009134310.1	CARHR250370
OG0000178	XP_009134313.1	CARHR250360
OG0000178	XP_009114346.2, XP_009134304.1, XP_033142043.1, XP_033142131.1, XP_033136829.1, XP_009134308.2	CARHR252970, CARHR263930
OG0000178	XP_033141427.1, XP_009144510.1	CARHR252960
OG0000179	XP_033143525.1	CARHR053290, CARHR283710, CARHR053930
OG0000182	XP_009122203.1	CARHR167770
OG0000183	XP_009105204.1	CARHR215030, CARHR058380
OG0000183	XP_009140755.1	CARHR119300
OG0000185	XP_033131216.1, XP_018508547.1	CARHR087540, CARHR087530
OG0000186	XP_009133030.1, XP_033142532.1	CARHR113370, CARHR050630
OG0000188	XP_033136263.1, XP_033135940.1	CARHR201470
OG0000188	XP_033134665.1, XP_033135894.1, XP_009124984.2, XP_033137619.1, XP_033136539.1	CARHR078870
OG0000189	XP_009112460.1, XP_009121076.1, XP_009124572.1, XP_009115809.1, XP_009138399.1, XP_009148517.1	CARHR108220
OG0000189	XP_009107160.1	CARHR243300
OG0000189	XP_009110241.1	CARHR020570
OG0000191	XP_009114469.1, XP_009135913.1, XP_033133384.1, XP_033131339.1, XP_009110851.3, XP_033133909.1, XP_009123000.1, XP_033138772.1, XP_009114814.1, XP_018509101.1, XP_018509033.1, XP_033134390.1, XP_009138632.1, XP_009110955.2, XP_009138088.1, XP_009137132.1	CARHR150970
OG0000192	XP_033137383.1	CARHR014030
OG0000192	XP_033135368.1, XP_033143576.1, XP_033143410.1	CARHR049240
OG0000193	XP_033134338.1, XP_033147866.1	CARHR036380, CARHR036970
OG0000193	XP_033147857.1	CARHR031880, CARHR091810, CARHR031310
OG0000195	XP_033136721.1	CARHR175680
OG0000195	XP_009131959.1	CARHR273530, CARHR273550, CARHR273540
OG0000195	XP_033143217.1	CARHR273560
OG0000196	XP_033131243.1, XP_009140116.1, XP_009125379.2	CARHR272920
OG0000196	XP_033141524.1	CARHR213580, CARHR272900, CARHR287600, CARHR287570, CARHR212840, CARHR289150
OG0000197	XP_033133256.1	CARHR215070, CARHR051370, CARHR215060, CARHR215050, CARHR215370, CARHR226280, CARHR226370
OG0000198	XP_009117861.2	CARHR015480
OG0000198	XP_009137379.1	CARHR147290
OG0000199	XP_009127652.1, XP_009108973.2, XP_009102300.2, XP_009108976.2	CARHR251110, CARHR215270
OG0000200	XP_033136326.1	CARHR028490
OG0000200	XP_009109613.1	CARHR028750, CARHR037140
OG0000200	XP_009109611.1	CARHR037150
OG0000203	XP_033131129.1	CARHR168640
OG0000203	XP_033136042.1, XP_009116516.1, XP_033136014.1	CARHR168590, CARHR259860
OG0000203	XP_009138966.1, XP_009138965.1	CARHR168740
OG0000203	XP_009104131.1	CARHR168690, CARHR168710
OG0000205	XP_033131805.1, XP_033131844.1, XP_033128516.1, XP_033138985.1	CARHR286250, CARHR105060, CARHR218440
OG0000209	XP_033134010.1	CARHR014880, CARHR035940, CARHR010330
OG0000209	XP_018509924.1, XP_033135419.1	CARHR202500
OG0000210	XP_009143082.1	CARHR121990, CARHR140170
OG0000210	XP_009104263.2	CARHR170840
OG0000210	XP_033134420.1	CARHR170820
OG0000215	XP_009144753.2, XP_033143272.1, XP_018514409.1, XP_033139809.1, XP_033144986.1, XP_033139775.1, XP_033142243.1	CARHR284710
OG0000216	XP_033134839.1, XP_009144491.1	CARHR253870
OG0000216	XP_033142073.1, XP_033142074.1	CARHR253840
OG0000216	XP_009102525.1	CARHR054340
OG0000216	XP_009116349.1	CARHR166590
OG0000216	XP_033134160.1, XP_033141123.1, XP_033142084.1, XP_009135947.1	CARHR216300
OG0000219	XP_033144576.1, XP_009145945.1	CARHR065380
OG0000225	XP_009106592.3	CARHR072270, CARHR141370
OG0000227	XP_009136266.2, XP_033138822.1	CARHR105520
OG0000229	XP_009151331.2, XP_033145123.1, XP_033134005.1, XP_033141396.1	CARHR062190
OG0000229	XP_009124766.1, XP_033129354.1, XP_033137486.1, XP_009108848.1, XP_009113706.2, XP_033128874.1	CARHR004570
OG0000230	XP_009104177.1, XP_033130624.1	CARHR169340
OG0000230	XP_009116566.1	CARHR051200
OG0000233	XP_009122326.1	CARHR205610
OG0000233	XP_018511882.1, XP_009125692.3, XP_033144506.1, NP_001288906.1	CARHR205600, CARHR205590, CARHR205580
