Orthogroup	Brassica_rapa	Arabis_alpina
OG0000048	XP_009141452.3, XP_009141229.2, XP_033145293.1, XP_033145288.1, XP_009141227.2, XP_009146516.2, XP_018513390.1, XP_033145756.1, XP_033145751.1, XP_033145292.1, XP_018514111.1, XP_033145356.1, XP_009141011.2, XP_033145355.1, XP_009142302.1, XP_018513876.1, XP_033147664.1	Aa_G312310.h1.t1
OG0000050	XP_009142124.1	Aa_G560070.h1.t1, Aa_G559960.h1.t1, Aa_G637230.h1.t1
OG0000050	XP_009105612.1	Aa_G263310.h1.t1, Aa_G634370.h1.t1, Aa_G7430.h1.t1
OG0000051	XP_009119376.1, XP_009121616.2, XP_009118690.1	Aa_G217710.h1.t1, Aa_G818500.h2.t1, Aa_G818500.h1.t1, Aa_G18920.h1.t1
OG0000051	XP_009142066.1, XP_018513039.2	Aa_G399340.h1.t1
OG0000051	XP_018514205.1, XP_009113199.1	Aa_G592860.h1.t1, Aa_G678670.h1.t1
OG0000052	XP_033138197.1	Aa_G465260.h1.t1, Aa_G247990.h1.t1, Aa_G247980.h1.t1, Aa_G247970.h1.t1
OG0000052	XP_033139477.1, XP_033135650.1	Aa_G696490.h1.t1
OG0000052	XP_009115966.1, XP_033146756.1, XP_033146252.1, XP_033146757.1, XP_033145801.1	Aa_G521750.h1.t1
OG0000052	XP_009114878.1	Aa_G555640.h1.t1, Aa_G207450.h1.t1, Aa_G61370.h1.t1
OG0000052	XP_009140762.1	Aa_G712070.h1.t1
OG0000052	XP_033146405.1	Aa_G521780.h1.t1, Aa_G61380.h1.t1
OG0000055	XP_033143242.1	Aa_G659190.h1.t1
OG0000055	XP_009134817.1	Aa_G5070.h1.t1, Aa_G432690.h1.t1
OG0000055	XP_033128815.1	Aa_G253800.h1.t1
OG0000056	XP_033135545.1	Aa_G615090.h1.t1
OG0000056	XP_009113405.2, XP_033135114.1, XP_009113108.1, XP_009105844.1, XP_009105823.1, XP_033144208.1, XP_018510029.1	Aa_G643840.h1.t1, Aa_G487430.h1.t1, Aa_G594110.h1.t1, Aa_G488310.h1.t1, Aa_G643830.h1.t1, Aa_G594100.h1.t1
OG0000056	XP_009112692.1, XP_009113075.1	Aa_G162440.h1.t1
OG0000058	XP_033147285.1, XP_009114424.1	Aa_G444220.h1.t1
OG0000058	XP_033143352.1, XP_033141140.1, XP_033131591.1, XP_009145099.2, XP_033139240.1, XP_033131993.1, XP_033134311.1, XP_033138233.1, XP_033143404.1, XP_033148539.1, XP_033134272.1, XP_033129427.1, XP_033139241.1, XP_033129412.1, XP_033131764.1, XP_033148531.1, XP_033131195.1, XP_033139143.1, XP_033131918.1, XP_033131462.1, XP_033134234.1, XP_033134349.1, XP_033130753.1, XP_033145221.1, XP_033141098.1, XP_033139492.1, XP_033137200.1, XP_033134400.1, XP_033139188.1, XP_033148815.1, XP_033131068.1, XP_033132741.1, XP_033141134.1, XP_033146849.1, XP_033131067.1, XP_033136880.1, XP_033148558.1, XP_009150325.2, XP_033133377.1	Aa_G527390.h1.t1
OG0000060	XP_009103711.2	Aa_G33920.h6.t1
OG0000060	XP_009140937.1	Aa_G550780.h3.t1
OG0000060	XP_009150050.2	Aa_G33920.h5.t1
OG0000060	XP_009148029.2	Aa_G375890.h2.t1, Aa_G33920.h7.t1
OG0000060	XP_009141673.1	Aa_G197130.h2.t1, Aa_G197130.h8.t1, Aa_G375890.h8.t1, Aa_G33920.h3.t1
OG0000060	XP_009131981.1	Aa_G197130.h1.t1, Aa_G367650.h2.t1, Aa_G448310.h4.t1
OG0000060	XP_009110918.2	Aa_G550780.h2.t1, Aa_G257700.h5.t1
OG0000060	XP_033128652.1	Aa_G33920.h8.t1, Aa_G318860.h1.t1, Aa_G257700.h4.t1
OG0000060	XP_009143480.1	Aa_G375890.h3.t1
OG0000060	XP_009116068.1, XP_009126676.2	Aa_G367650.h7.t1
OG0000060	XP_009133191.2	Aa_G367650.h1.t1
OG0000062	XP_009106514.2, XP_033138783.1	Aa_G8040.h1.t1
OG0000063	XP_033129771.1, XP_033147108.1	Aa_G367140.h1.t1
OG0000063	XP_033134130.1	Aa_G186650.h1.t1
OG0000065	XP_033134366.1, XP_009125066.1	Aa_G369740.h1.t1
OG0000065	XP_009127504.1, XP_018509397.2, XP_009127499.1, XP_009105243.1, XP_018512198.1, XP_009127512.1, XP_009127507.1	Aa_G756440.h1.t1, Aa_G190950.h1.t1
OG0000065	XP_009125065.1	Aa_G439610.h1.t1
OG0000065	XP_009140168.2	Aa_G574220.h1.t1
OG0000065	XP_009140101.2, XP_009151130.2	Aa_G120780.h1.t1, Aa_G120790.h1.t1, Aa_G508110.h1.t1
OG0000066	XP_009129719.2	Aa_G37430.h4.t1, Aa_G159180.h4.t1, Aa_G19080.h2.t1, Aa_G159190.h3.t1, Aa_G159180.h2.t1, Aa_G37410.h4.t1, Aa_G37430.h3.t1, Aa_G159180.h5.t1, Aa_G159180.h3.t1, Aa_G159190.h4.t1, Aa_G37410.h2.t1, Aa_G159190.h2.t1, Aa_G159190.h5.t1, Aa_G19080.h3.t1, Aa_G37430.h2.t1, Aa_G37430.h5.t1, Aa_G37410.h3.t1, Aa_G19080.h4.t1
OG0000066	XP_009131154.1	Aa_G19080.h1.t1
OG0000066	XP_009131189.1	Aa_G64790.h4.t1, Aa_G64790.h1.t1, Aa_G503380.h2.t1, Aa_G432280.h2.t1, Aa_G503390.h4.t1, Aa_G64790.h2.t1, Aa_G64790.h3.t1, Aa_G432280.h3.t1, Aa_G503390.h1.t1, Aa_G503380.h4.t1, Aa_G432280.h4.t1, Aa_G503390.h2.t1, Aa_G503380.h3.t1, Aa_G432280.h1.t1, Aa_G503380.h1.t1, Aa_G503390.h3.t1, Aa_G486090.h1.t1
OG0000068	XP_033137765.1, XP_009122279.3, XP_033144949.1, XP_033144954.1	Aa_G484940.h1.t1, Aa_G389030.h1.t1
OG0000068	XP_009141809.2, XP_033145607.1, XP_033145605.1, XP_033145608.1, XP_009106287.1, XP_009106290.2, XP_033144956.1, XP_009131006.1, XP_033136756.1, XP_009130957.1, XP_009130959.2, XP_033144664.1	Aa_G176470.h1.t1, Aa_G602860.h1.t1, Aa_G602850.h1.t1
OG0000069	XP_018512413.1, XP_009105410.1	Aa_G20960.h1.t1
OG0000069	XP_033146576.1	Aa_G396900.h1.t1
OG0000069	XP_009142475.1	Aa_G524570.h1.t1, Aa_G826060.h1.t1, Aa_G500310.h1.t1, Aa_G4440.h1.t1
OG0000070	XP_009123589.1, XP_033136464.1	Aa_G349430.h1.t1, Aa_G171980.h1.t1, Aa_G171960.h1.t1, Aa_G171970.h1.t1, Aa_G171940.h1.t1, Aa_G171950.h1.t1
OG0000070	XP_033131964.1, XP_009149503.1	Aa_G433160.h1.t1, Aa_G266320.h1.t1
OG0000070	XP_009104691.1, XP_009106248.2, XP_009128146.1	Aa_G410840.h1.t1
OG0000070	XP_033128831.1, XP_009147939.1, XP_033133669.1	Aa_G273730.h1.t1
OG0000072	XP_009102269.1	Aa_G652160.h1.t1, Aa_G44560.h1.t1, Aa_G531310.h1.t1, Aa_G227280.h1.t1, Aa_G160160.h1.t1
OG0000072	XP_033133398.1, XP_009140527.1, XP_009115740.1	Aa_G243550.h1.t1
OG0000072	XP_009119460.3, XP_033138069.1, XP_009111623.2	Aa_G880340.h1.t1, Aa_G204510.h1.t1, Aa_G233100.h1.t1, Aa_G9790.h1.t1
OG0000075	XP_009101861.1, XP_033141207.1, XP_009124954.2, XP_009127369.1	Aa_G374860.h1.t1, Aa_G374850.h1.t1
OG0000076	XP_009101919.1	Aa_G137810.h1.t1
OG0000077	XP_033141183.1	Aa_G683270.h1.t1
OG0000077	XP_009148269.1	Aa_G161010.h1.t1
OG0000079	XP_033139099.1, XP_033129128.1, XP_033129127.1, XP_033147269.1, XP_033136406.1, XP_033148881.1, XP_033133874.1, XP_033130432.1, XP_033131180.1, XP_033147836.1, XP_009121263.2, XP_033146531.1, XP_009122926.1	Aa_G160120.h1.t1
OG0000083	XP_033133218.1	Aa_G871750.h1.t1
OG0000086	XP_009140166.1	Aa_G220980.h1.t1, Aa_G221010.h1.t1, Aa_G483980.h1.t1, Aa_G221000.h1.t1
OG0000086	XP_009139752.1, XP_033147599.1, XP_009132807.1, XP_033130821.1	Aa_G703520.h1.t1
OG0000089	XP_009150907.1	Aa_G630880.h1.t1
OG0000089	XP_009150568.2, XP_009149954.2	Aa_G409550.h1.t1, Aa_G88860.h1.t1
OG0000089	XP_009144365.1, XP_009141007.2	Aa_G199760.h1.t1
OG0000089	XP_009121863.1	Aa_G256660.h1.t1
OG0000089	XP_009113926.1, XP_009101721.2	Aa_G103150.h1.t1
OG0000089	XP_009123590.1	Aa_G580380.h1.t1
OG0000089	XP_018514901.1	Aa_G562810.h1.t1
OG0000089	XP_009106234.1	Aa_G656110.h1.t1
OG0000090	XP_033128016.1, XP_033136189.1	Aa_G663410.h1.t1, Aa_G84800.h1.t1, Aa_G329020.h1.t1
OG0000091	XP_009119422.1	Aa_G363940.h1.t1
OG0000091	XP_009131797.1, XP_009120802.1	Aa_G15590.h1.t1
OG0000091	XP_009143939.1, XP_033147614.1	Aa_G15570.h1.t1
OG0000091	XP_018508112.1	Aa_G89050.h1.t1
OG0000095	XP_009134223.1, XP_009140586.1	Aa_G54460.h1.t1
OG0000095	XP_033146353.1, XP_033146352.1	Aa_G271110.h1.t1
OG0000095	XP_009151921.1, XP_009133951.1	Aa_G155650.h1.t1
OG0000100	XP_018509586.1	Aa_G65750.h1.t1, Aa_G65880.h1.t1, Aa_G65780.h1.t1, Aa_G65770.h1.t1, Aa_G65760.h1.t1
OG0000102	XP_009121666.1	Aa_G132920.h1.t1
OG0000102	XP_009110937.1, XP_033135887.1	Aa_G42050.h1.t1
OG0000105	XP_033134179.1	Aa_G616120.h1.t1
OG0000107	XP_033147102.1	Aa_G115060.h1.t1
OG0000107	XP_009145683.1	Aa_G323970.h1.t1
OG0000107	XP_009136238.1, XP_009145675.1, XP_009111243.1	Aa_G323960.h1.t1
OG0000107	XP_009107347.1, XP_009117328.1	Aa_G641990.h1.t1, Aa_G247880.h1.t1, Aa_G323940.h1.t1, Aa_G341070.h1.t1
OG0000108	XP_009133195.1, XP_009141678.2	Aa_G367680.h1.t1, Aa_G576740.h1.t1
OG0000108	XP_009120445.1	Aa_G27970.h1.t1
OG0000108	XP_009146646.1	Aa_G5290.h1.t1
OG0000108	XP_033138402.1, XP_009131124.2, XP_009125344.2	Aa_G152880.h1.t1
OG0000108	XP_009135599.1	Aa_G429520.h1.t1
OG0000110	XP_009135134.2, XP_009151027.2, XP_033142705.1, XP_033129379.1, XP_033134264.1, XP_033148525.1, XP_033147962.1, XP_018511583.2, XP_018512883.1, XP_033145191.1, XP_033134317.1, XP_033147814.1	Aa_G32020.h1.t1
OG0000113	XP_033134292.1, XP_033148544.1	Aa_G35860.h1.t1
OG0000114	XP_033145921.1	Aa_G361230.h1.t1, Aa_G861160.h1.t1, Aa_G122790.h1.t1
OG0000114	XP_033146920.1, XP_033138821.1, XP_033144705.1, XP_033136660.1, XP_033148327.1, XP_033148341.1	Aa_G327480.h1.t1, Aa_G743610.h1.t1, Aa_G305670.h1.t1, Aa_G152040.h1.t1, Aa_G300900.h1.t1, Aa_G718680.h1.t1
OG0000115	XP_009133161.1	Aa_G264010.h1.t1
OG0000116	XP_033143201.1, XP_009115039.1, XP_009137034.2, XP_033132498.1, XP_033135118.1, XP_033134167.1, XP_009134460.2, XP_009122979.1, XP_033135204.1, XP_033137857.1, XP_018510163.1, XP_018509848.2, XP_018511518.1, XP_018512844.2, XP_033134594.1	Aa_G31310.h1.t1
OG0000117	XP_009115511.1	Aa_G349950.h1.t1
OG0000117	XP_033135734.1, XP_009115048.1, XP_009115516.1	Aa_G62330.h1.t1
OG0000117	XP_033132544.1, XP_033132543.1, XP_009110093.1, XP_033132540.1, XP_009112003.1	Aa_G436170.h1.t1, Aa_G187350.h1.t1
OG0000119	XP_033139673.1	Aa_G251660.h1.t1
OG0000120	XP_009101979.1	Aa_G248300.h1.t1
OG0000121	XP_033141060.1	Aa_G527420.h1.t1, Aa_G180200.h1.t1
OG0000122	XP_033139826.1, XP_033139827.1	Aa_G551010.h1.t1, Aa_G550960.h1.t1
OG0000122	XP_033142107.1	Aa_G247680.h1.t1, Aa_G379610.h1.t1, Aa_G625770.h1.t1
OG0000122	XP_033137394.1	Aa_G379620.h1.t1
OG0000122	XP_033142009.1, XP_018512820.2	Aa_G5880.h1.t1
OG0000122	XP_033139821.1	Aa_G592740.h1.t1
OG0000125	XP_009118428.1	Aa_G257560.h1.t1
OG0000125	XP_033146903.1	Aa_G166390.h1.t1
OG0000127	XP_009120626.1, XP_009131894.1	Aa_G552180.h1.t1
OG0000127	XP_009103877.2	Aa_G311330.h1.t1
OG0000127	XP_009120513.1	Aa_G33880.h1.t1
OG0000127	XP_009140934.1, XP_009103710.2	Aa_G69270.h1.t1
OG0000128	XP_009104190.1	Aa_G271300.h1.t1
OG0000128	XP_009116586.2, XP_033134415.1	Aa_G319030.h1.t1
OG0000128	XP_009116587.1, XP_018508692.1	Aa_G784880.h1.t1
OG0000128	XP_009104193.2	Aa_G271260.h1.t1
OG0000129	XP_033146831.1, XP_033146830.1	Aa_G323510.h1.t1
OG0000129	XP_009130179.2, XP_009130183.1	Aa_G61470.h1.t1, Aa_G716440.h1.t1, Aa_G61530.h1.t1
OG0000130	XP_009107043.1, XP_033130441.1	Aa_G198530.h1.t1, Aa_G9780.h1.t1, Aa_G10940.h1.t1
OG0000132	XP_009116244.2, XP_009116245.1, XP_009116184.2, XP_033137144.1, XP_018510613.1	Aa_G482030.h1.t1, Aa_G359110.h1.t1
OG0000132	XP_033136550.1	Aa_G75240.h1.t1
OG0000134	XP_018508210.2	Aa_G339800.h1.t1, Aa_G339780.h1.t1, Aa_G217290.h1.t1, Aa_G146320.h1.t1, Aa_G146330.h1.t1, Aa_G339770.h1.t1
OG0000134	XP_033142785.1, XP_033142547.1, XP_009113973.2, XP_033142504.1	Aa_G84490.h1.t1
OG0000137	XP_009111746.1, XP_009127005.1	Aa_G59090.h1.t1
OG0000137	XP_009127057.1	Aa_G925390.h1.t1
OG0000137	XP_033138715.1	Aa_G732190.h1.t1, Aa_G643460.h1.t1
OG0000137	XP_009132642.1	Aa_G643480.h1.t1
OG0000138	XP_009140021.1	Aa_G612840.h1.t1, Aa_G612830.h1.t1
OG0000138	XP_018514555.2	Aa_G175690.h1.t1
OG0000138	XP_018514807.1	Aa_G244940.h1.t1
OG0000140	XP_018512005.1	Aa_G394930.h1.t1
OG0000140	XP_009145081.1	Aa_G292460.h1.t1, Aa_G151720.h1.t1, Aa_G688150.h1.t1, Aa_G520870.h1.t1, Aa_G786940.h1.t1, Aa_G108880.h1.t1
OG0000140	XP_009114858.1	Aa_G752660.h1.t1, Aa_G17020.h1.t1, Aa_G217680.h1.t1, Aa_G112920.h1.t1, Aa_G370590.h1.t1, Aa_G234310.h1.t1, Aa_G908230.h1.t1, Aa_G650540.h1.t1, Aa_G341600.h1.t1, Aa_G365880.h1.t1, Aa_G84650.h1.t1, Aa_G110710.h1.t1, Aa_G91010.h1.t1, Aa_G242710.h1.t1, Aa_G472600.h1.t1, Aa_G41930.h1.t1, Aa_G708810.h1.t1, Aa_G445230.h1.t1, Aa_G650260.h1.t1, Aa_G555610.h1.t1, Aa_G206620.h1.t1
OG0000141	XP_009118104.3	Aa_G193730.h1.t1
OG0000141	XP_018510931.2	Aa_G366140.h1.t1
OG0000141	XP_009118092.2, XP_033134902.1	Aa_G521440.h1.t1, Aa_G193720.h1.t1
OG0000150	XP_033130754.1, XP_033146982.1, XP_033141929.1, XP_033139048.1, XP_033139149.1, XP_033139478.1, XP_033139494.1, XP_033139194.1, XP_033139164.1, XP_033138880.1, XP_033139010.1, XP_033139244.1, XP_033138885.1	Aa_G429650.h1.t1, Aa_G429650.h2.t1, Aa_G717270.h1.t1, Aa_G741540.h1.t1, Aa_G726870.h1.t1, Aa_G439950.h1.t1
OG0000151	XP_009116212.1, XP_009103951.1, XP_033146519.1	Aa_G329140.h1.t1, Aa_G566620.h1.t1
OG0000151	XP_009139199.2	Aa_G729400.h1.t1
OG0000151	XP_033148760.1	Aa_G351720.h1.t1
OG0000151	XP_009141649.1	Aa_G30120.h1.t1
OG0000151	XP_009121752.1	Aa_G388320.h1.t1
OG0000153	XP_033147142.1	Aa_G49000.h1.t1, Aa_G235730.h1.t1
OG0000153	XP_009123599.1, XP_009140991.1, XP_009140982.1	Aa_G358520.h1.t1
OG0000153	XP_009118438.1	Aa_G310600.h1.t1
OG0000153	XP_009140988.2, XP_009144387.2	Aa_G173900.h1.t1
OG0000154	XP_009107881.1	Aa_G507510.h1.t1, Aa_G507500.h1.t1
OG0000154	XP_018515541.1	Aa_G406970.h1.t1, Aa_G434970.h1.t1, Aa_G462070.h1.t1, Aa_G434980.h1.t1
OG0000155	XP_033145232.1, XP_018508434.1, XP_033134004.1, XP_018513877.1	Aa_G11930.h1.t1, Aa_G86920.h1.t1, Aa_G83970.h1.t1
OG0000155	XP_033148580.1	Aa_G506350.h1.t1
OG0000158	XP_009104904.1	Aa_G223250.h1.t1
OG0000158	XP_009146319.1, XP_009146299.1	Aa_G446770.h1.t1
OG0000160	XP_009112568.1, XP_009102205.2	Aa_G190130.h1.t1
OG0000160	XP_009137896.1, XP_009137895.2, XP_009128001.1, XP_009109000.1	Aa_G620370.h1.t1
OG0000160	XP_033141904.1, XP_009120261.2	Aa_G307400.h1.t1
OG0000160	XP_018513014.1	Aa_G194510.h1.t1
OG0000160	XP_009128205.1	Aa_G490420.h1.t1
OG0000160	XP_018508569.2, XP_009106729.2	Aa_G21590.h1.t1
OG0000160	XP_009117122.1	Aa_G41590.h1.t1
OG0000161	XP_033135408.1, XP_033145250.1, XP_018508038.2, XP_033137256.1, XP_033147297.1, XP_009106231.2, XP_009119135.2, XP_033137091.1, XP_033133352.1, XP_009117684.2, XP_033137116.1, XP_009138128.2, XP_018515327.2, XP_033135265.1, XP_009144129.1, XP_033138000.1, XP_033143489.1	Aa_G172360.h1.t1
OG0000162	XP_009132915.1	Aa_G851370.h1.t1
OG0000162	XP_009143883.1, XP_033129079.1, XP_009117516.1	Aa_G363640.h1.t1
OG0000164	XP_033138913.1, XP_033139398.1, XP_033139091.1, XP_033139319.1	Aa_G1007810.h1.t1, Aa_G1080960.h1.t1
