Orthogroup	Brassica_rapa	Arabidopsis_arenosa
OG0000048	XP_033137775.1, XP_033137778.1, XP_033146467.1, XP_033145502.1, XP_033148635.1, XP_033147829.1, XP_033146958.1, XP_009142442.1	jg18210, jg18207
OG0000048	XP_009141452.3, XP_009141229.2, XP_033145293.1, XP_033145288.1, XP_009141227.2, XP_009146516.2, XP_018513390.1, XP_033145756.1, XP_033145751.1, XP_033145292.1, XP_018514111.1, XP_033145356.1, XP_009141011.2, XP_033145355.1, XP_009142302.1, XP_018513876.1	jg25048
OG0000048	XP_033147664.1	jg18270
OG0000050	XP_033128725.1	jg14086
OG0000050	XP_033146215.1, XP_033146249.1, XP_033133626.1, XP_033144846.1, XP_033134003.1	jg19949, jg4268
OG0000051	XP_009119376.1, XP_009121616.2, XP_009118690.1	jg29349
OG0000051	XP_009142066.1, XP_018513039.2	jg19557
OG0000051	XP_018514205.1, XP_009113199.1	jg497, jg24823
OG0000051	XP_009142840.1, XP_033138797.1, XP_033138543.1, XP_033148410.1	jg19560
OG0000052	XP_009152006.1	jg13388, jg13390, jg13373
OG0000052	XP_033138197.1	jg13389, jg13391
OG0000052	XP_033139477.1, XP_033135650.1	jg1458, jg1459, jg1457, jg13394, jg13392, jg13393
OG0000052	XP_009115966.1, XP_033146756.1, XP_033146252.1, XP_033146757.1, XP_033145801.1	jg20913, jg15189, jg15188, jg15190
OG0000052	XP_009114878.1	jg15039
OG0000052	XP_033129401.1	jg14729
OG0000052	XP_033146405.1	jg21516
OG0000055	XP_009131379.2, XP_033144999.1, XP_009121596.1, XP_033131219.1	jg25886, jg26868
OG0000055	XP_033143242.1	jg12073
OG0000055	XP_033139674.1	jg25753
OG0000055	XP_009134817.1	jg17788, jg8147
OG0000055	XP_033128815.1	jg28057, jg28058
OG0000056	XP_009113405.2	jg743
OG0000056	XP_009112692.1, XP_009113075.1, XP_009149950.1	jg14491
OG0000058	XP_033147285.1, XP_009114424.1	jg16618
OG0000058	XP_033139240.1	jg6976, jg13931, jg17384, jg1485, jg16419, jg27812, jg17098, jg11852
OG0000059	XP_009150163.1, XP_033139086.1, XP_033134279.1, XP_033132002.1, XP_033139374.1	jg1077, jg4817, jg25268, jg5943, jg32839, jg11480, jg33384, jg28178
OG0000059	XP_009150809.1, XP_009124471.1, XP_033143409.1, XP_033134211.1, XP_033133426.1, XP_009101327.1	jg27640, jg13837
OG0000061	XP_009133988.1	jg1961, jg32859, jg32550, jg32843, jg32866, jg32855
OG0000061	XP_033137465.1	jg32841, jg32864, jg32857, jg32551
OG0000061	XP_033145280.1	jg18012
OG0000061	XP_009133838.1	jg18005
OG0000061	XP_033134438.1	jg20934
OG0000062	XP_018509055.1	jg21178
OG0000063	XP_033134130.1	jg32522
OG0000064	XP_033134282.1, XP_033134283.1, XP_033136270.1, XP_033135749.1, XP_033135748.1, XP_033135746.1, XP_033135747.1, XP_033134284.1, XP_033135687.1, XP_033136269.1, XP_033135741.1, XP_033135477.1, XP_009124650.2, XP_033136272.1, XP_033136268.1, XP_009124058.2, XP_033135744.1, XP_033136271.1, XP_009124087.2, XP_033135742.1, XP_033135743.1, XP_033135685.1, XP_033135686.1, XP_033135684.1, XP_033135688.1	jg1275, jg1269, jg1272, jg1271, jg1270, jg1273, jg1277, jg1280, jg1279, jg1274, jg1278, jg1276, jg20978, jg20976, jg20985, jg20983, jg20984, jg20981, jg20982, jg20980, jg20974, jg20975, jg20973, jg20977, jg20979
OG0000065	XP_009127504.1	jg2154
OG0000065	XP_018509397.2	jg2152
OG0000065	XP_009125065.1	jg6601
OG0000065	XP_009140044.1	jg12337
OG0000065	XP_009140168.2	jg12331
OG0000065	XP_009140101.2, XP_009151130.2	jg12464, jg12463
OG0000066	XP_009125303.1, XP_009110843.1, XP_009112178.1, XP_009129719.2, XP_009114048.1, XP_009131154.1	jg1404, jg13471, jg4871, jg4870, jg29279
OG0000066	XP_009104699.1, XP_009125263.1, XP_009131189.1, XP_009130061.1, XP_018511751.1	jg4927
OG0000067	XP_018508435.1	jg14038, jg32532
OG0000067	XP_009127952.2	jg6462, jg31439, jg5264
OG0000067	XP_018508607.1	jg14037
OG0000068	XP_033137765.1, XP_009122279.3, XP_033144949.1, XP_033144954.1	jg4186, jg4261, jg4260, jg24839, jg24838
OG0000069	XP_018512413.1, XP_009105410.1	jg16351
OG0000069	XP_033146576.1	jg15499
OG0000070	XP_009123589.1, XP_033136464.1	jg29403, jg28225, jg28226, jg13116, jg13115
OG0000070	XP_009149503.1	jg16631, jg30544, jg4483
OG0000070	XP_009104691.1, XP_009106248.2, XP_009128146.1	jg3251
OG0000072	XP_009102269.1	jg12110
OG0000072	XP_009119460.3, XP_033138069.1, XP_009111623.2	jg20178
OG0000072	XP_033146737.1	jg25787
OG0000073	XP_033131948.1, XP_033141112.1, XP_009117227.2	jg32690
OG0000073	XP_009123855.2, XP_009151176.1, XP_009146107.2, XP_009145290.1, XP_033134421.1, XP_018512867.1, XP_018509809.1, XP_009140644.2	jg7434
OG0000073	XP_033144992.1, XP_033143312.1	jg11572, jg10937, jg20466
OG0000073	XP_009108668.2, XP_009139306.1, XP_009122924.1, XP_009132645.2	jg13828
OG0000075	XP_009101861.1, XP_033141207.1, XP_009124954.2, XP_009127369.1	jg21647
OG0000075	XP_009101862.1	jg8428
OG0000075	XP_033144015.1	jg32683
OG0000076	XP_009101919.1	jg8362
OG0000077	XP_033134075.1	jg1247
OG0000077	XP_033136168.1, XP_033134192.1	jg1261
OG0000077	XP_033141183.1	jg13131
OG0000077	XP_009148269.1	jg902, jg1249
OG0000078	XP_009131641.1	jg5640
OG0000078	XP_009126231.2, XP_009131624.1, XP_009121025.2, XP_009131630.2, XP_009126229.1, XP_009131627.1	jg5641, jg5643, jg5648, jg5639
OG0000079	XP_009128331.1, XP_033137616.1, XP_033144013.1, XP_033145947.1, XP_033147003.1, XP_033133869.1, XP_033132648.1, XP_009104162.1, XP_009128728.2, XP_033145258.1, XP_033141181.1, XP_033141130.1, XP_033129223.1, XP_033139099.1, XP_033129128.1, XP_033129127.1, XP_033147269.1, XP_033136406.1, XP_033148881.1, XP_033133874.1, XP_033130432.1, XP_033131180.1, XP_033147836.1, XP_009121263.2, XP_033146531.1, XP_009122926.1, XP_033143107.1, XP_033143236.1, XP_033136497.1, XP_033134319.1, XP_033147267.1, XP_009108250.2, XP_033148205.1, XP_033131034.1, XP_033129991.1, XP_033134219.1, XP_033145242.1, XP_033131468.1, XP_033139661.1, XP_033129913.1, XP_033128795.1, XP_033130871.1, XP_033146432.1, XP_033128838.1, XP_033133429.1, XP_033146434.1, XP_033128695.1, XP_033129645.1	jg7377
OG0000081	XP_018509212.1, XP_033131829.1, XP_033133259.1	jg26776, jg302, jg5265, jg31440, jg25892, jg12998, jg14036, jg6463
OG0000086	XP_009140166.1	jg12270
OG0000086	XP_009139752.1	jg12265, jg12276
OG0000086	XP_033147599.1	jg12281
OG0000086	XP_009132807.1	jg2128, jg2129
OG0000089	XP_009150907.1	jg6235
OG0000089	XP_009150241.1, XP_009151388.1	jg23223
OG0000089	XP_009144365.1, XP_009141007.2	jg17972
OG0000089	XP_009121863.1	jg5068
OG0000089	XP_009113926.1, XP_009101721.2	jg20749
OG0000089	XP_009123590.1	jg10485
OG0000089	XP_009106234.1	jg3235
OG0000090	XP_033147238.1	jg20882, jg6910
OG0000090	XP_033128016.1, XP_033136189.1	jg17424
OG0000091	XP_009119422.1	jg14545, jg14558
OG0000091	XP_009149894.1, XP_009113892.3, XP_009131995.2, XP_033142283.1, XP_009116363.1	jg17633
OG0000091	XP_009144708.1, XP_018509698.1, XP_009140909.1, XP_009140910.1	jg14230, jg14231
OG0000091	XP_009131797.1, XP_009120802.1	jg5910
OG0000091	XP_009143939.1, XP_033147614.1	jg21695
OG0000092	XP_009145085.2	jg32487
OG0000092	XP_033131411.1, XP_033143949.1, XP_033143950.1, XP_009137270.1, XP_033140197.1	jg1461, jg26673
OG0000092	XP_033136537.1	jg26653
OG0000092	XP_033132217.1	jg21355, jg7184
OG0000095	XP_009134223.1, XP_009140586.1	jg17289
OG0000095	XP_033145266.1, XP_033145760.1	jg16989, jg17288
OG0000095	XP_033146353.1, XP_033146352.1	jg1743, jg16988, jg17290, jg17390, jg16997
OG0000095	XP_009151921.1, XP_009133951.1	jg17005, jg20640
OG0000095	XP_033145265.1	jg16996
OG0000095	XP_033145267.1, XP_033145730.1	jg16995, jg17274, jg17286, jg17001, jg16991
OG0000096	XP_009136113.1	jg26888, jg26886
OG0000096	XP_033148466.1	jg14860
OG0000097	XP_009119485.2, XP_033141126.1, XP_009137046.1	jg11451, jg27712, jg11787
OG0000097	XP_033148598.1, XP_033138770.1, XP_033134262.1, XP_009137083.1, XP_009128751.1, XP_033133953.1, XP_009136059.1, XP_009115756.1	jg11932, jg7619, jg7052, jg7054, jg27619, jg27677, jg21182, jg1858, jg13878, jg7238, jg7202
OG0000098	XP_033141220.1	jg16874
OG0000098	XP_033144223.1, XP_009137095.2, XP_033143042.1	jg2306
OG0000098	XP_009150964.1, XP_009130073.1	jg17595, jg31284, jg16872
OG0000100	XP_009113265.2	jg1001
OG0000100	XP_018509586.1	jg492
OG0000100	XP_033135340.1	jg515
OG0000100	XP_033135321.1, XP_033135318.1	jg471
OG0000101	XP_009108043.1, XP_033129024.1, XP_033129539.1, XP_033135654.1, XP_009123725.2, XP_033143361.1, XP_033133927.1, XP_033145957.1, XP_033146383.1, XP_033140589.1, XP_033145942.1, XP_033134398.1, XP_033133647.1, XP_033135195.1	jg27510
OG0000102	XP_009140229.1	jg21543, jg7817
OG0000102	XP_009121666.1	jg7818, jg11552
OG0000102	XP_009134336.2, XP_009110937.1, XP_033135887.1	jg7810
OG0000106	XP_033134365.1, XP_009106472.1, XP_033138832.1, XP_033136535.1, XP_009129265.1	jg727
OG0000107	XP_033131954.1, XP_009113964.1	jg17559, jg17556
OG0000107	XP_018514730.2	jg26161
OG0000107	XP_009140112.1, XP_033142636.1	jg26159
OG0000107	XP_033147102.1	jg26157
OG0000107	XP_009136238.1, XP_009145675.1	jg26160
OG0000107	XP_009111243.1	jg26163
OG0000108	XP_009133195.1, XP_009141678.2	jg18920, jg15311
OG0000108	XP_033138402.1, XP_009131124.2, XP_009125344.2	jg4799
OG0000109	XP_033129717.1, XP_033139404.1, XP_033133988.1, XP_033135850.1, XP_033142467.1, XP_033139430.1, XP_033138987.1, XP_033134841.1	jg16476, jg16484, jg29790, jg9963, jg2091, jg11738, jg13945
OG0000110	XP_033143194.1, XP_033144149.1, XP_033135355.1, XP_033142711.1, XP_033140785.1, XP_009119775.3, XP_033143375.1, XP_033148618.1, XP_033148616.1, XP_033147279.1, XP_018512940.2, XP_033143619.1	jg9173
OG0000110	XP_033147814.1	jg25795, jg13800, jg13799, jg25794
OG0000111	XP_009102969.1, XP_009104069.1, XP_009121559.1, XP_009119630.1, XP_009116825.1	jg13696, jg13695, jg13697
OG0000111	XP_033128640.1, XP_033129028.1, XP_033146399.1, XP_033146035.1, XP_009133886.1	jg3144
OG0000114	XP_033145921.1	jg10774, jg6734, jg12947, jg16945, jg14091, jg21201, jg6956, jg16952, jg32081, jg32308, jg21203, jg10179, jg13973
OG0000114	XP_033146920.1, XP_033138821.1, XP_033144705.1, XP_033136660.1, XP_033148327.1, XP_033148341.1	jg6733
OG0000115	XP_009133161.1	jg29546
OG0000116	XP_033143201.1, XP_009115039.1, XP_009137034.2, XP_033132498.1, XP_033135118.1, XP_033134167.1, XP_009134460.2, XP_009122979.1, XP_033135204.1, XP_033137857.1, XP_018510163.1, XP_018509848.2, XP_018511518.1, XP_018512844.2, XP_033134594.1	jg21091, jg22360, jg6813, jg6561
OG0000116	XP_009115537.1	jg16608, jg16609
OG0000117	XP_009115511.1	jg30936
OG0000117	XP_033135734.1, XP_009115048.1, XP_009115516.1	jg30922
OG0000117	XP_033130333.1	jg30938
OG0000117	XP_033132544.1, XP_033132543.1, XP_009110093.1, XP_033132540.1, XP_009112003.1	jg30929
OG0000118	XP_009113644.3, XP_009115539.2, XP_033135170.1, XP_033135169.1, XP_033135012.1, XP_009135990.1, XP_033135900.1	jg19019, jg19043, jg19023, jg19021, jg19020, jg12773
OG0000119	XP_033138803.1	jg22962
OG0000119	XP_033139673.1	jg14325
OG0000119	XP_009140726.1	jg17260, jg17259, jg17257, jg14055, jg14324, jg14331, jg4290, jg14313, jg14315, jg14316
OG0000119	XP_009102480.1	jg14330, jg14326, jg14002
OG0000119	XP_033131888.1	jg14314
OG0000122	XP_033142107.1	jg22485
OG0000122	XP_033137394.1	jg22505
OG0000122	XP_033142009.1, XP_018512820.2	jg32572
OG0000122	XP_033139821.1	jg22508
OG0000123	XP_009132628.1, XP_033142284.1	jg21770
OG0000124	XP_033145235.1	jg12674
OG0000124	XP_009145189.1	jg27681
OG0000124	XP_033139475.1, XP_009150285.1, XP_033144074.1, XP_009103633.1, XP_009139448.1, XP_009144927.1, XP_033128191.1, XP_033146613.1, XP_009144615.1	jg17603
OG0000125	XP_033145187.1, XP_033131572.1	jg17897
OG0000125	XP_009118428.1	jg29111
OG0000125	XP_033146903.1	jg33004
OG0000125	XP_009144873.1	jg33352, jg33355, jg33354
OG0000125	XP_009135746.2, XP_018514690.2	jg26323
OG0000126	XP_033134231.1	jg17369, jg17588
OG0000126	XP_033130693.1	jg754
OG0000126	XP_033148740.1	jg1156, jg1158
OG0000126	XP_033136403.1	jg27206, jg17305
OG0000126	XP_033148158.1	jg10194, jg10477
OG0000127	XP_009120626.1, XP_009131894.1	jg6123
OG0000127	XP_009139383.1, XP_009116061.1	jg15301
OG0000127	XP_009120513.1	jg22931, jg14378
OG0000127	XP_009133865.1, XP_009140934.1, XP_009103710.2	jg17851
OG0000128	XP_009104190.1	jg15969
OG0000128	XP_009116587.1, XP_018508692.1	jg15959
OG0000128	XP_009104193.2	jg15960
OG0000129	XP_033146831.1, XP_033146830.1	jg1820
OG0000129	XP_033145048.1	jg1832
OG0000129	XP_009127389.1	jg1847
OG0000129	XP_009130179.2, XP_009130183.1	jg33436, jg33435, jg23141, jg23140, jg17685, jg17683, jg17687, jg21823
OG0000130	XP_033138416.1	jg32651, jg20179
OG0000130	XP_009107043.1, XP_033130441.1	jg12111, jg17565, jg20993, jg25905, jg11327, jg9592, jg14104, jg33081
OG0000132	XP_009116244.2, XP_009116245.1, XP_009116184.2, XP_033137144.1, XP_018510613.1	jg15428
OG0000132	XP_033136550.1	jg23313
OG0000132	XP_033141227.1	jg23312
OG0000132	XP_009144883.2	jg12398, jg12389, jg12393, jg12394, jg12395
OG0000134	XP_018508210.2	jg27021, jg1329, jg1326, jg1330, jg1324, jg1320, jg1317, jg1319, jg27419, jg1248
OG0000134	XP_033130500.1	jg17682
OG0000134	XP_033142785.1, XP_033142547.1, XP_009113973.2, XP_033142504.1	jg4953
OG0000137	XP_009127057.1	jg22358
OG0000137	XP_033138715.1	jg22366, jg22365
OG0000137	XP_009132393.1	jg22364
OG0000137	XP_009132642.1, XP_009120051.1	jg22363
OG0000138	XP_018514807.1	jg15939, jg15937
OG0000138	XP_033146362.1	jg15932
OG0000140	XP_018512005.1	jg6686
OG0000140	XP_009145081.1	jg12153, jg832
OG0000140	XP_009114858.1	jg13730, jg32189, jg11305, jg33822, jg13897, jg21116, jg17372, jg8836
OG0000140	XP_018513794.1, XP_009111975.1, XP_033143251.1, XP_033133624.1, XP_033142267.1	jg14412, jg13729
OG0000141	XP_009148793.2	jg29677
OG0000141	XP_033135443.1	jg29672
OG0000141	XP_018510931.2	jg29671
OG0000141	XP_009110666.1	jg29664, jg11302
OG0000141	XP_009118092.2, XP_033134902.1	jg12025
OG0000142	XP_033148576.1, XP_033134363.1, XP_033131825.1, XP_033148562.1, XP_033146245.1, XP_009113854.2, XP_009117188.2, XP_033136287.1, XP_033148575.1, XP_009105348.2, XP_033131790.1, XP_009150095.3, XP_033131028.1, XP_033134318.1, XP_033132285.1, XP_033133998.1, XP_033138784.1	jg14912
OG0000148	XP_033136081.1, XP_009145753.1, XP_009113058.1, XP_009124318.1	jg32820, jg24959
OG0000148	XP_033135481.1, XP_033133852.1	jg5636
OG0000148	XP_033129846.1	jg33224
OG0000151	XP_009116212.1, XP_009103951.1, XP_033146519.1	jg15449
OG0000151	XP_009139199.2	jg15448
OG0000151	XP_033148760.1	jg19118
OG0000151	XP_009139200.1	jg15447
OG0000151	XP_009141649.1	jg18884
OG0000151	XP_009121752.1	jg5170
OG0000153	XP_033147142.1	jg17928, jg17934, jg17935
OG0000153	XP_009140992.3, XP_009140985.1, XP_033147950.1, XP_018514500.2	jg18114
OG0000153	XP_033145172.1	jg17940
OG0000153	XP_009133859.1, XP_009123599.1, XP_009140991.1, XP_009140982.1	jg17932
OG0000153	XP_009118438.1	jg29098
OG0000154	XP_009107881.1	jg11063
OG0000154	XP_018515541.1	jg33219, jg33312
OG0000154	XP_033128714.1	jg33213
OG0000155	XP_009106792.1	jg11573, jg32701, jg22135, jg26608
OG0000157	XP_033130702.1, XP_033139818.1, XP_009140642.2, XP_009129819.1, XP_009129831.2	jg12097
OG0000158	XP_033136525.1	jg8688
OG0000158	XP_009104904.1	jg8653
OG0000158	XP_033134979.1	jg28264
OG0000159	XP_033136624.1, XP_033148101.1, XP_009144918.2, XP_033131816.1, XP_033133914.1, XP_033129350.1	jg6891
OG0000160	XP_009112568.1, XP_009102205.2	jg28078
OG0000160	XP_009137896.1, XP_009137895.2, XP_009128001.1, XP_009109000.1	jg9392
OG0000160	XP_033141904.1, XP_009120261.2	jg22635
OG0000160	XP_018513014.1	jg27288
OG0000160	XP_009128205.1	jg13954
OG0000160	XP_018508569.2, XP_009106729.2	jg3697
OG0000160	XP_009117122.1	jg16942
OG0000161	XP_033133352.1, XP_009117684.2, XP_033137116.1, XP_009138128.2, XP_018515327.2, XP_033135265.1, XP_009144129.1, XP_033138000.1, XP_033143489.1	jg12949, jg10772, jg12951
OG0000162	XP_009132915.1	jg18405, jg20943
OG0000162	XP_009143883.1	jg18404
OG0000164	XP_033139081.1, XP_033145169.1	jg6848, jg11792, jg7487, jg11793
OG0000164	XP_033134250.1, XP_033131895.1, XP_033133921.1, XP_033138766.1, XP_033138936.1	jg27251, jg26448, jg6518, jg6519, jg27250
OG0000164	XP_033138913.1, XP_033139398.1, XP_033139091.1, XP_033139319.1, XP_033139082.1	jg6850
OG0000165	XP_009134335.1, XP_009135150.1	jg12066
OG0000166	XP_009140600.1	jg17125
OG0000166	XP_033131489.1, XP_033141680.1	jg3072, jg21554
OG0000166	XP_033141673.1	jg3073
OG0000167	XP_033131842.1	jg26576, jg26577
OG0000169	XP_033132763.1	jg11594, jg11592, jg27660, jg27597, jg27661, jg27598, jg16530, jg13088, jg13092, jg13087, jg13090, jg16527, jg27591, jg16764
OG0000170	XP_009116769.1	jg16152
OG0000170	XP_033146706.1	jg16151
OG0000170	XP_009142347.1	jg19951
OG0000171	XP_009119874.1	jg22050
OG0000171	XP_009121200.1	jg27769
OG0000171	XP_018512593.2	jg22463
OG0000171	XP_009123804.1, XP_009146989.1, XP_009135093.1	jg24782
OG0000173	XP_009109432.1	jg8491
OG0000173	XP_033143325.1	jg8629
OG0000174	XP_009139373.1, XP_009111365.1, XP_009123003.1	jg20878
OG0000174	XP_009130013.1	jg12954
OG0000175	XP_033137829.1	jg5289
OG0000175	XP_009133804.2, XP_009118871.2, XP_009142560.1	jg20125
OG0000175	XP_033146739.1	jg16299
OG0000176	XP_009124082.1	jg24440
OG0000176	XP_009104914.1, XP_009127868.1	jg2769
OG0000177	XP_033132885.1	jg26900, jg30833
OG0000177	XP_009124585.1, XP_033147925.1	jg30663, jg8064, jg3362
OG0000178	XP_033136390.1	jg7702
OG0000178	XP_009134310.1	jg7704
OG0000178	XP_009134313.1	jg7703
OG0000178	XP_009114346.2, XP_009134304.1, XP_033142043.1, XP_033142131.1, XP_033136829.1, XP_009134308.2	jg7707
OG0000178	XP_033141427.1, XP_009144510.1	jg7705
OG0000178	XP_009114566.2, XP_009144506.1, XP_009144502.1	jg32186
OG0000179	XP_033143525.1	jg1022
OG0000182	XP_009116717.1	jg31826, jg16158, jg16157
