Orthogroup	Brassica_rapa	Arabidopsis_lyrata_Rawat
OG0000025	XP_033131820.1, XP_033134321.1, XP_033134331.1, XP_033135247.1, XP_009150041.2, XP_018513355.1, XP_033128551.1, XP_018515043.1, XP_009149632.2, XP_033129389.1, XP_033133949.1, XP_009113566.2, XP_033141177.1, XP_033133947.1, XP_033131885.1, XP_033143428.1, XP_033139107.1, XP_009115887.2, XP_033134459.1, XP_033130671.1, XP_033136819.1, XP_009108648.2, XP_033129312.1	AL460U10010
OG0000027	XP_033142038.1	AL6G45970
OG0000027	XP_033142132.1	AL6G46000
OG0000027	XP_033132923.1	AL7G30160
OG0000027	XP_009108600.1	AL7G30170
OG0000027	XP_033144191.1	AL7G30270
OG0000027	XP_009108162.1	AL1G66280
OG0000027	XP_009136791.2	AL7G30260
OG0000028	XP_033136215.1	AL6G19150
OG0000028	XP_033140818.1, XP_009127105.2, XP_009127106.1, XP_033140823.1	AL8G29780
OG0000028	XP_033138713.1	nbis-gene-2112, nbis-gene-2113
OG0000028	XP_033140827.1, XP_033140822.1	AL8G29950
OG0000029	XP_033141711.1, XP_033144745.1, XP_009137703.2, XP_009144174.1, XP_009132264.1, XP_009123077.2, XP_009121319.1, XP_009145179.2, XP_033138742.1, XP_009150817.2, XP_009138126.1, XP_009151013.1, XP_033141106.1, XP_009145551.2, XP_009115654.1	AL1G65750
OG0000030	XP_033144643.1, XP_033142641.1	AL3G33700, AL275U10020, AL3G33320, AL3G33690
OG0000030	XP_033138328.1, XP_033137984.1, XP_009141814.1	AL3G33370
OG0000030	XP_033129474.1, XP_033128828.1, XP_033131947.1	AL1G39630, AL1G35700, AL1G40180, AL1G40160, AL1G40170, AL3G27510
OG0000030	XP_009108389.1	AL7G39300
OG0000030	XP_033148474.1	AL5G29320, AL5G29310, AL5G29340
OG0000030	XP_033143643.1	AL2G23050
OG0000030	XP_018510426.1	AL3G24770
OG0000030	XP_033130762.1, XP_033145302.1, XP_033146117.1, XP_009123103.2, XP_009141585.2	AL3G25930, AL3G25710, AL3G25690
OG0000031	XP_009144745.1	AL3G43240
OG0000031	XP_009150829.1	AL1G56200
OG0000031	XP_033128785.1, XP_033134480.1, XP_009103830.2, XP_033141110.1, XP_009114691.2, XP_009151526.1, XP_033131640.1, XP_009128527.1, XP_009128535.1	AL1G41870
OG0000031	XP_018513795.1, XP_033141100.1, XP_009112384.1, XP_009144965.1, XP_009150353.1, XP_009124884.2, XP_033139364.1, XP_033139558.1, XP_009123947.1, XP_009120275.1, XP_009118918.2, XP_009138594.2, XP_009145102.2, XP_033138741.1, XP_009150108.2, XP_009124343.1, XP_009111088.1, XP_009113173.1, XP_009126345.2, XP_033131133.1, XP_009124322.1, XP_009121360.1, XP_033129314.1, XP_033143295.1, XP_033144628.1	AL5G21210
OG0000032	XP_033134901.1, XP_033128608.1	AL4G17980
OG0000032	XP_033143202.1, XP_033142724.1	AL8G28430
OG0000034	XP_009137321.1, XP_009136929.1	AL7G30290
OG0000034	XP_009137188.1	AL7G32680
OG0000034	XP_009134716.1	AL7G32670
OG0000034	XP_009137317.1	AL7G30310
OG0000034	XP_009108599.1	AL7G30350
OG0000035	XP_033148603.1, XP_033129319.1, XP_033129317.1, XP_018515237.2, XP_033129460.1	AL3G42660, AL4G33750, AL7G46520, AL6G43970
OG0000038	XP_033136961.1	AL2G17230, AL4G20860
OG0000038	XP_033133837.1	AL109U10030
OG0000038	XP_018509951.1, XP_009102769.1	AL2G20150, AL1G38790, AL3G17400
OG0000040	XP_033148631.1	AL2G11290
OG0000040	XP_033131826.1, XP_009107588.1, XP_033134026.1, XP_009148789.1	AL677U10010
OG0000040	XP_018513078.1	AL6G48140
OG0000041	XP_033138682.1, XP_009120440.2	AL6G28140, AL2G16540, AL6G37950
OG0000041	XP_033147559.1	AL3G47410, AL3G42990
OG0000042	XP_033136099.1, XP_009120611.1, XP_033129992.1	AL1G54660
OG0000042	XP_009108258.2	AL2G36380, AL7G36770, AL6G22280, AL6G40680, AL8G39990, AL3G35100, AL4G45380, AL3G44120, AL9U11580, AL2G38670, AL103U10010, AL8G23430, AL4G17850
OG0000042	XP_033145843.1, XP_033143238.1, XP_033148584.1, XP_018515301.2, XP_033136651.1, XP_033130759.1, XP_033132456.1	AL8G14180
OG0000043	XP_033134364.1	AL1G50370
OG0000044	XP_009105239.1	AL8G11950
OG0000044	XP_018512047.1, XP_009134864.2	AL8G12190, AL8G11920
OG0000044	XP_009128863.1	AL8G11900
OG0000044	XP_009123255.2	AL3G20910, AL2G19370
OG0000048	XP_009123149.2	AL4G27770, AL4G27390
OG0000049	XP_033141114.1	AL6G39930, AL5G16120, AL5G16140
OG0000049	XP_033139739.1	AL1G56420, AL5G15730, AL1G55420
OG0000050	XP_009142124.1	AL4G27890
OG0000051	XP_009119376.1, XP_009121616.2, XP_009118690.1	AL1G20340
OG0000051	XP_018514205.1, XP_009113199.1	nbis-gene-988, AL2G11470, AL3G20080
OG0000052	XP_009152006.1	AL5G15900
OG0000052	XP_033138197.1	AL5G15910
OG0000052	XP_033139477.1, XP_033135650.1	AL1G65610
OG0000052	XP_009114878.1	AL5G31970
OG0000052	XP_033129401.1	AL5G28540
OG0000055	XP_009131379.2, XP_033144999.1, XP_009121596.1, XP_033131219.1	nbis-gene-725, AL3G41130
OG0000055	XP_033143242.1	AL3G38080, AL769U10010
OG0000055	XP_033139674.1	AL3G29740
OG0000055	XP_009134817.1	AL4G21820, AL6G52510
OG0000055	XP_033128815.1	AL3G53160, AL3G53140
OG0000056	XP_033135545.1	AL2G13790, AL2G14110
OG0000056	XP_009113405.2	AL2G14050
OG0000056	XP_033135114.1, XP_009113108.1	AL2G13900
OG0000056	XP_009112692.1, XP_009113075.1, XP_009149950.1	AL5G26170
OG0000058	XP_033147285.1, XP_009114424.1, XP_033140560.1, XP_033135648.1, XP_033130698.1, XP_033141279.1, XP_033138465.1, XP_033131792.1	AL5G26550, AL920U10010
OG0000058	XP_033131068.1, XP_033132741.1, XP_033141134.1, XP_033146849.1	AL3G40670
OG0000059	XP_009150163.1, XP_033139086.1, XP_033134279.1, XP_033132002.1, XP_033139374.1	AL8G40920, AL7G34190, AL2G10380, AL1G59190
OG0000059	XP_009150809.1, XP_009124471.1, XP_033143409.1, XP_033134211.1, XP_033133426.1, XP_009101327.1	AL5G34630
OG0000061	XP_009133988.1	AL1G54400
OG0000061	XP_033137465.1	nbis-gene-1510
OG0000061	XP_033145824.1, XP_009140814.1	AL1G53180
OG0000061	XP_033145280.1	AL4G24650
OG0000062	XP_009106514.2, XP_033138783.1, XP_033134230.1, XP_033129421.1	AL8G40700, AL8G15100
OG0000063	XP_033129771.1	AL3G53440
OG0000063	XP_033147108.1	AL236U10030
OG0000063	XP_033134130.1	AL7G44340, AL7G43200
OG0000064	XP_033134282.1, XP_033134283.1, XP_033136270.1, XP_033135749.1, XP_033135748.1, XP_033135746.1, XP_033135747.1, XP_033134284.1, XP_033135687.1, XP_033136269.1, XP_033135741.1, XP_033135477.1, XP_009124650.2, XP_033136272.1, XP_033136268.1, XP_009124058.2, XP_033135744.1, XP_033136271.1, XP_009124087.2, XP_033135742.1, XP_033135743.1, XP_033135685.1, XP_033135686.1, XP_033135684.1, XP_033135688.1	nbis-gene-343, nbis-gene-349, nbis-gene-344, nbis-gene-348, nbis-gene-347, nbis-gene-1421, AL2G18870, nbis-gene-342, nbis-gene-435, nbis-gene-439, nbis-gene-434, nbis-gene-1420, nbis-gene-436, nbis-gene-440, nbis-gene-437, nbis-gene-1419, nbis-gene-438, nbis-gene-1176, nbis-gene-2026, nbis-gene-926, nbis-gene-1175, nbis-gene-2028, nbis-gene-2027, nbis-gene-2044, nbis-gene-1, nbis-gene-2024, nbis-gene-2025, nbis-gene-2023, nbis-gene-346, nbis-gene-345, nbis-gene-441
OG0000065	XP_009140044.1	AL7G52590
OG0000065	XP_009140101.2, XP_009151130.2	AL7G51420
OG0000066	XP_009125303.1, XP_009110843.1, XP_009112178.1, XP_009129719.2, XP_009114048.1, XP_009131154.1	AL6G20900, AL5G16700, AL1G66190, AL1G19680, AL6G20890
OG0000066	XP_009104699.1, XP_009125263.1, XP_009131189.1, XP_009130061.1, XP_018511751.1	AL6G21580
OG0000067	XP_018508435.1	AL3G45170
OG0000067	XP_009127952.2	AL1G31430
OG0000068	XP_033137765.1, XP_009122279.3, XP_033144949.1, XP_033144954.1	AL6G15310, AL6G14890, AL3G20260, AL3G20250, AL3G20240
OG0000069	XP_018512413.1, XP_009105410.1	AL3G40410, AL8G35170, AL5G45620
OG0000069	XP_033146576.1	AL5G36780
OG0000069	XP_033128537.1, XP_009102077.1, XP_018511249.1	AL8G26350
OG0000069	XP_009142475.1	AL3G38360
OG0000070	XP_009123589.1, XP_033136464.1	AL1G20940, AL3G47920, AL5G12840, AL5G12830
OG0000070	XP_009149503.1	AL4G11370, AL1G32980, AL2G24470
OG0000070	XP_009104691.1, XP_009106248.2, XP_009128146.1	AL2G35960
OG0000072	XP_033146737.1	AL8G11190
OG0000073	XP_033144992.1, XP_033143312.1, XP_009108668.2, XP_009139306.1, XP_009122924.1, XP_009132645.2	AL5G31050
OG0000075	XP_009101861.1, XP_033141207.1, XP_009124954.2, XP_009127369.1	AL8G23920
OG0000075	XP_009101862.1	nbis-gene-1691
OG0000076	XP_009101919.1	AL7G10840
OG0000076	XP_009134123.2, XP_033134012.1, XP_009126890.1, XP_033147785.1, XP_009134127.2, XP_018514362.2, XP_009134129.2, XP_009134122.2	AL3G53220
OG0000077	XP_033139970.1	AL8G13900, AL8G13920
OG0000077	XP_033136168.1, XP_033134192.1	AL2G18750
OG0000077	XP_033141183.1	AL5G12960
OG0000077	XP_009148269.1	AL2G15700, nbis-gene-2073, AL8G20320
OG0000078	XP_009126231.2, XP_009131624.1, XP_009121025.2, XP_009131630.2, XP_009126229.1, XP_009131627.1	AL6G29270, AL6G29210, AL6G29240, AL6G29180, AL6G29190
OG0000079	XP_009128331.1, XP_033137616.1, XP_033144013.1, XP_033145947.1, XP_033147003.1, XP_033133869.1, XP_033132648.1, XP_009104162.1, XP_009128728.2, XP_033145258.1, XP_033141181.1, XP_033141130.1, XP_033129223.1, XP_033139099.1, XP_033129128.1, XP_033129127.1, XP_033147269.1, XP_033136406.1, XP_033148881.1, XP_033133874.1, XP_033130432.1, XP_033131180.1, XP_033147836.1, XP_009121263.2, XP_033146531.1, XP_009122926.1, XP_033143107.1, XP_033143236.1, XP_033136497.1, XP_033134319.1, XP_033147267.1, XP_009108250.2, XP_033148205.1, XP_033131034.1, XP_033129991.1, XP_033134219.1, XP_033145242.1, XP_033131468.1, XP_033139661.1, XP_033129913.1, XP_033128795.1, XP_033130871.1, XP_033146432.1, XP_033128838.1, XP_033133429.1, XP_033146434.1, XP_033128695.1, XP_033129645.1	AL3G51940, AL1G57050, AL5G16890, AL1G58560, AL1G58670, AL4G20020, AL1G30000, AL5G27080, AL8G14210
OG0000081	XP_018509212.1, XP_033131829.1, XP_033133259.1	AL1G31420, AL8G29100, AL8G26420, AL6G33330
OG0000083	XP_033133218.1	AL6G26020, AL3G43160, AL645U10010, AL5G31070
OG0000083	XP_033145473.1, XP_033144422.1	AL6G37350, AL6G45940, AL1G47930, AL4G15250, AL4G15260
OG0000086	XP_009140166.1	nbis-gene-1913, AL7G53060
OG0000086	XP_009139752.1	AL7G49470, AL7G47450
OG0000086	XP_009132807.1	AL2G24590, AL2G24600
OG0000089	XP_009150907.1	AL6G35120
OG0000089	XP_009150241.1, XP_009151388.1	AL8G39670
OG0000089	XP_009150568.2, XP_009149954.2	AL5G25960
OG0000089	XP_009144365.1, XP_009141007.2	AL4G24260
OG0000089	XP_009121863.1	AL6G23060
OG0000089	XP_009113926.1, XP_009101721.2	AL8G15560
OG0000089	XP_009123590.1	AL7G33260
OG0000089	XP_009106234.1	AL2G35770
OG0000090	XP_033128016.1, XP_033136189.1	AL1G50070, AL4G12030
OG0000091	XP_009119422.1	AL5G26810
OG0000091	XP_009144708.1, XP_018509698.1, XP_009140909.1, XP_009140910.1	AL5G23250
OG0000091	XP_009131797.1, XP_009120802.1	AL6G32010
OG0000091	XP_009143939.1, XP_033147614.1	AL8G24400
OG0000091	XP_018508112.1	AL5G26370
OG0000092	XP_033131411.1, XP_033143949.1, XP_033143950.1, XP_009137270.1, XP_033140197.1	AL3G40330
OG0000092	XP_033136537.1	AL8G24810
OG0000095	XP_009134223.1, XP_009140586.1	AL4G18560
OG0000095	XP_033145266.1, XP_033145760.1	AL4G18550
OG0000095	XP_033146353.1, XP_033146352.1	AL4G15530, nbis-gene-975, nbis-gene-1002, AL4G15600
OG0000095	XP_033145265.1	AL4G14530, AL4G18570, AL4G15550
OG0000095	XP_033145267.1, XP_033145730.1	AL4G18510, AL4G15660
OG0000096	XP_009136113.1	AL3G41350, AL3G41330, AL3G41320, AL3G41340
OG0000096	XP_033130152.1	nbis-gene-1973
OG0000097	XP_033148598.1, XP_033138770.1, XP_033134262.1, XP_009137083.1, XP_009128751.1, XP_033133953.1, XP_009136059.1, XP_009115756.1	AL4G16170
OG0000097	XP_009137116.1	AL5G25560
OG0000098	XP_033144223.1, XP_009137095.2, XP_033143042.1	AL2G26330
OG0000098	XP_009150964.1, XP_009130073.1	AL1G41020, AL1G41000, AL1G41010, AL1G40990, AL4G14170
OG0000099	XP_009145091.1, XP_033134313.1, XP_033136251.1, XP_009123717.2, XP_033147969.1, XP_033147959.1, XP_009120038.1, XP_033143946.1, XP_033148542.1, XP_033139457.1, XP_009124404.2	AL4G17790, AL4G17810
OG0000100	XP_009113265.2	AL2G16740
OG0000100	XP_009140612.2	AL7G51590
OG0000100	XP_018509586.1	AL2G11390, AL2G11380
OG0000100	XP_018513710.2	AL2G11220
OG0000100	XP_033135318.1	AL2G11260
OG0000101	XP_009108043.1, XP_033129024.1, XP_033129539.1, XP_033135654.1, XP_009123725.2, XP_033143361.1, XP_033133927.1, XP_033145957.1, XP_033146383.1, XP_033140589.1, XP_033145942.1, XP_033134398.1, XP_033133647.1, XP_033135195.1	AL26U10050, AL3G41030
OG0000102	XP_009140229.1	AL6G49120
OG0000102	XP_009121666.1	AL9U10550, AL9U10540
OG0000102	XP_009134336.2, XP_009110937.1, XP_033135887.1	AL6G49050
OG0000106	XP_033134365.1, XP_009106472.1, XP_033138832.1, XP_033136535.1, XP_009129265.1	AL2G13830
OG0000106	XP_033141352.1, XP_033135598.1, XP_033135708.1, XP_033132990.1, XP_009119936.1, XP_009138559.1, XP_033134634.1	AL6G40690
OG0000107	XP_018514730.2	AL3G33810
OG0000107	XP_009140112.1, XP_033142636.1	AL3G33780
OG0000107	XP_033147102.1	AL3G33760
OG0000107	XP_009111243.1	AL3G34900, AL3G33830, AL3G42780, nbis-gene-1853
OG0000108	XP_009133195.1, XP_009141678.2	AL4G34190, AL4G34130, AL5G34730
OG0000108	XP_009146646.1	AL3G23740
OG0000108	XP_033138402.1, XP_009131124.2, XP_009125344.2	AL6G20220
OG0000108	XP_009145858.2, XP_018513774.1	AL3G32160, AL1G56110
OG0000109	XP_033129717.1, XP_033139404.1, XP_033133988.1, XP_033135850.1, XP_033142467.1, XP_033139430.1, XP_033138987.1, XP_033134841.1	AL7G48370, AL4G13100, AL5G17500, AL8G26200, AL3G45860, AL1G49480, AL3G47220, AL5G17870, AL8G24560, AL7G45510, AL6G38840, AL6G52460, AL6G40590, AL1G47050, AL2G22030, AL8G22080, AL2G35490, AL5G20740, AL1G54140, AL2G22170, AL3G44280, AL7G53070, AL5G17840, AL7G34330, AL8G17600, AL170U10010, AL3G46660, AL8G20850, AL4G12360, AL5G10400, AL3G43610, AL4G17930, AL5G17970, AL9U10780
OG0000110	XP_033147814.1	AL1G55630, AL7G11640, AL1G50710, AL4G20710, AL6G41920, AL8G21920, AL9U11500, AL2G19920, AL2G22250, AL5G12710
OG0000111	XP_009102969.1, XP_009104069.1, XP_009121559.1, XP_009119630.1, XP_009116825.1	AL5G18800
OG0000111	XP_033128640.1, XP_033129028.1, XP_033146399.1, XP_033146035.1, XP_009133886.1	AL2G34810
OG0000114	XP_033145921.1	AL2G19090, AL2G20370, AL1G46930, AL8G13990, AL5G18470, AL5G18060, AL3G42080, AL4G18650, AL3G44910, nbis-gene-1272, nbis-gene-1271, AL1G50940
OG0000115	XP_009133161.1, XP_033143891.1	AL7G53080
OG0000116	XP_033143201.1, XP_009115039.1, XP_009137034.2, XP_033132498.1, XP_033135118.1, XP_033134167.1, XP_009134460.2, XP_009122979.1, XP_033135204.1, XP_033137857.1, XP_018510163.1, XP_018509848.2, XP_018511518.1, XP_018512844.2, XP_033134594.1	nbis-gene-997, AL1G35450, nbis-gene-1953, AL1G39460
OG0000116	XP_009115537.1	AL614U10020
OG0000117	XP_009115511.1	AL1G37420
OG0000117	XP_033135734.1, XP_009115048.1, XP_009115516.1	AL1G37270
OG0000117	XP_033130333.1	AL1G37440, AL1G37390
OG0000117	XP_033132544.1, XP_033132543.1, XP_009110093.1, XP_033132540.1, XP_009112003.1	AL1G37330, AL1G37340
OG0000118	XP_009113644.3, XP_009115539.2, XP_033135170.1, XP_033135169.1, XP_033135012.1, XP_009135990.1, XP_033135900.1	AL4G35640, AL4G35680, AL4G35660, AL4G35650, AL7G47920
OG0000119	XP_033138816.1	AL5G25370
OG0000119	XP_009140726.1	AL4G18370, AL4G18360, AL4G18340, AL5G21720, AL5G21730, AL5G24120, AL6G15230, AL5G24030, AL5G24100, AL5G24190
OG0000119	XP_033131888.1	nbis-gene-1302, nbis-gene-1304
OG0000122	XP_033142107.1	AL8G31960
OG0000123	XP_009132628.1, XP_033142284.1	AL8G25360
OG0000125	XP_009118428.1	AL1G17740
OG0000125	XP_033146903.1	AL1G55940
OG0000125	XP_009144873.1	AL1G59870
OG0000126	XP_033134231.1	AL4G20870
OG0000127	XP_009120626.1, XP_009131894.1	AL6G34020
OG0000127	XP_009120513.1	AL189U10030, AL8G36480, AL5G24690
OG0000127	XP_009133865.1, XP_009140934.1, XP_009103710.2	AL4G23250
OG0000128	XP_009104190.1	AL5G41150
OG0000128	XP_009116587.1, XP_018508692.1	AL5G41080
OG0000128	XP_009104193.2	AL5G41090
OG0000129	XP_033146831.1, XP_033146830.1	AL2G19870
OG0000129	XP_009127389.1	AL2G20180
OG0000129	XP_009130179.2, XP_009130183.1	AL1G60690, AL8G38710, AL8G38700, AL4G22760, AL4G22720, AL8G25830
OG0000130	XP_009124883.1	nbis-gene-1897
OG0000130	XP_033132477.1	nbis-gene-1725
OG0000130	XP_033138416.1	AL3G43990
OG0000130	XP_009107043.1, XP_033130441.1	AL3G23800, nbis-gene-2009
OG0000132	XP_009116244.2, XP_009116245.1, XP_009116184.2, XP_033137144.1, XP_018510613.1	AL5G36020
OG0000132	XP_033136550.1	AL8G40480
OG0000132	XP_009144883.2	AL315U10010, AL7G51940, AL7G52020, AL7G52000
OG0000134	XP_018508210.2	AL1G67280, AL1G67230, AL1G67210
OG0000134	XP_033130500.1	AL4G22780
OG0000134	XP_033142785.1, XP_033142547.1, XP_009113973.2, XP_033142504.1	AL6G21880
OG0000137	XP_009111746.1, XP_009127005.1	AL8G30930
OG0000137	XP_009127057.1	AL8G30910
OG0000137	XP_033138715.1	AL8G30920
OG0000137	XP_009132393.1	AL8G30900
OG0000137	XP_009132642.1, XP_009120051.1	AL8G30890
OG0000138	XP_018514807.1	AL5G40870, AL5G40860
OG0000138	XP_033146362.1	AL5G40850
OG0000140	XP_009145081.1	AL8G35610, AL1G29430, AL2G32620
OG0000140	XP_009114858.1	AL5G19190
OG0000141	XP_033135443.1	AL1G23600
OG0000141	XP_018510931.2	AL1G23590
OG0000141	XP_009110666.1	AL1G23500, AL7G41510
OG0000141	XP_009118092.2, XP_033134902.1	AL1G23480
OG0000143	XP_033131813.1, XP_009123559.2, XP_033148484.1, XP_033134220.1, XP_033138760.1, XP_009124167.1, XP_033134274.1, XP_033135796.1	AL3G54050
OG0000148	XP_033144403.1, XP_009132885.2	nbis-gene-250
OG0000148	XP_033129328.1	AL3G17170
OG0000148	XP_033135481.1, XP_033133852.1	nbis-gene-1537
