Orthogroup	Brassica_rapa	Eutrema_salsugineum
OG0000008	XP_033147955.1	XP_024004796.1, XP_024004794.1, XP_024014490.1
OG0000008	XP_033145226.1	XP_024013171.1, XP_024010288.1, XP_024007970.1
OG0000008	XP_033131033.1, XP_033133054.1, XP_033128088.1, XP_033137451.1	XP_024011354.1
OG0000008	XP_009115858.3	XP_024013173.1
OG0000009	XP_033141077.1	XP_006391314.1
OG0000009	XP_009112590.1, XP_018510720.2, XP_009148188.2, XP_009105597.2, XP_033130816.1, XP_009140970.1, XP_033133437.1, XP_033134456.1, XP_033146265.1	XP_024013918.1, XP_024007904.1
OG0000009	XP_009127063.3, XP_033131915.1, XP_009135908.2, XP_033138834.1, XP_009121250.1, XP_033145276.1, XP_033128722.1, XP_033141202.1, XP_009102787.1, XP_033131910.1	XP_024015914.1
OG0000009	XP_009109961.2, XP_033148561.1, XP_009139324.1	XP_024007257.1, XP_024009950.1
OG0000009	XP_009142128.2, XP_009147176.2, XP_009152175.2, XP_018513613.1	XP_024011403.1, XP_024016212.1
OG0000011	XP_033144009.1	XP_024003642.1
OG0000011	XP_033128807.1	XP_024003759.1, XP_024004876.1, XP_024016548.1
OG0000011	XP_018511928.1	XP_024007764.1
OG0000011	XP_033143559.1, XP_033143864.1, XP_033136826.1	XP_024014025.1, XP_024013301.1, XP_024010379.1, XP_024013975.1, XP_024006589.1, XP_024006532.1, XP_024010647.1, XP_024011223.1, XP_024013321.1
OG0000011	XP_033128834.1, XP_033130890.1	XP_024010115.1
OG0000011	XP_009119519.1	XP_024004159.1, XP_024015297.1, XP_024014196.1
OG0000011	XP_009152174.1	XP_024014814.1, XP_024011246.1
OG0000011	XP_033131097.1, XP_033133861.1, XP_018512770.1, XP_033128536.1	XP_024013228.1
OG0000011	XP_033134218.1, XP_033140102.1, XP_018515142.1, XP_033129402.1	XP_024006275.1
OG0000012	XP_009107541.1	XP_024010663.1
OG0000012	XP_033131678.1	XP_024004111.1, XP_024013978.1
OG0000012	XP_033136153.1, XP_033143315.1, XP_018515508.1, XP_033148485.1, XP_033129464.1, XP_033142991.1, XP_033143244.1, XP_018512230.2, XP_033145320.1, XP_009130444.2	XP_024006880.1, XP_024004313.1, XP_024007964.1, XP_024013590.1, XP_024004088.1, XP_024013911.1, XP_024004169.1, XP_024005329.1, XP_024014256.1, XP_024004751.1, XP_024015027.1, XP_024011205.1, XP_024007772.1, XP_024013764.1, XP_024008044.1, XP_024010049.1, XP_024004131.1, XP_024006429.1
OG0000012	XP_009139681.1	XP_024010680.1, XP_024007768.1, XP_024004173.1
OG0000012	XP_033134396.1, XP_009140434.1, XP_009124217.1	XP_024004410.1, XP_024006093.1, XP_024006552.1, XP_024009931.1, XP_024005940.1, XP_024013859.1, XP_024006835.1, XP_024013409.1, XP_024007930.1, XP_024006802.1, XP_024014194.1, XP_024013917.1, XP_024008814.1, XP_024010254.1, XP_024009382.1, XP_024009379.1, XP_024004817.1, XP_024016208.1, XP_024013308.1, XP_024006882.1, XP_024015930.1, XP_024014989.1, XP_024006092.1, XP_024013538.1, XP_024013984.1, XP_024013319.1, XP_024007927.1, XP_024006840.1, XP_024006606.1, XP_024009011.1, XP_024010250.1, XP_024014667.1, XP_024007778.1, XP_024013297.1, XP_024004787.1, XP_024009476.1, XP_024014518.1, XP_024009301.1, XP_024004077.1, XP_024011119.1, XP_024009973.1, XP_024016528.1, XP_024010312.1, XP_024006271.1, XP_024011218.1, XP_024016237.1, XP_024016855.1, XP_024007215.1, XP_024011231.1
OG0000012	XP_033131635.1	XP_024014463.1, XP_024013982.1, XP_024007975.1, XP_024004037.1, XP_024016238.1
OG0000014	XP_033136253.1	XP_024013115.1, XP_024014009.1, XP_024005602.1, XP_024005000.1, XP_024015955.1
OG0000014	XP_033134222.1	XP_024013164.1, XP_024015893.1, XP_024007899.1, XP_024010463.1
OG0000014	XP_033138986.1	XP_024013196.1, XP_024005930.1, XP_024011382.1, XP_024011409.1
OG0000015	XP_033143451.1	XP_024009420.1
OG0000016	XP_033138989.1, XP_033129378.1, XP_033129363.1, XP_033139530.1	XP_024010588.1
OG0000016	XP_033136169.1, XP_033145488.1	XP_024013310.1
OG0000016	XP_033139447.1	XP_024011334.1, XP_024013809.1
OG0000018	XP_033147468.1	XP_024010601.1
OG0000020	XP_033128598.1, XP_033128603.1, XP_033141176.1, XP_033131231.1, XP_033144078.1, XP_033148833.1, XP_033139110.1, XP_033136846.1, XP_009128749.2, XP_033133948.1, XP_009138630.2, XP_009119107.3, XP_033146804.1, XP_033148581.1, XP_033133950.1, XP_033139108.1, XP_033144661.1	XP_024013981.1, XP_024007902.1, XP_024010205.1, XP_024010440.1, XP_024014746.1
OG0000020	XP_033146803.1, XP_033138241.1, XP_033134460.1, XP_033147772.1	XP_024015881.1, XP_024014745.1
OG0000021	XP_033143299.1, XP_033131754.1, XP_009113298.1, XP_033135948.1, XP_033145970.1, XP_009108738.3, XP_033145198.1, XP_033128732.1, XP_033141182.1, XP_033129326.1	XP_024013384.1
OG0000022	XP_009142868.1	XP_006413138.1
OG0000022	XP_009121467.1	XP_006400202.2
OG0000022	XP_009112698.1	XP_006391833.2
OG0000022	XP_009112701.1	XP_006391829.2
OG0000022	XP_033134453.1, XP_033133748.1	XP_006417237.2
OG0000022	XP_009118036.2, XP_009118081.1, XP_009110632.1, XP_033135466.1, XP_033138678.1	XP_006417199.1, XP_006417205.1, XP_006417216.1
OG0000022	XP_009118532.1	XP_024008093.1
OG0000022	XP_009112843.1	XP_006391605.2
OG0000022	XP_009140073.1	XP_024014798.1
OG0000022	XP_009114567.1	XP_024015415.1
OG0000023	XP_033134273.1	XP_024004018.1, XP_024010417.1
OG0000023	XP_009139567.2, XP_018513679.2	XP_024016113.1
OG0000023	XP_018509908.2	XP_024007959.1
OG0000023	XP_009150011.2	XP_024005009.1
OG0000023	XP_033148526.1	XP_024006560.1
OG0000024	XP_018512901.1	XP_006393242.1, XP_006393240.1, XP_006393292.2, XP_006393291.1, XP_006393290.1, XP_006393293.1, XP_006393224.2
OG0000024	XP_018510040.1, XP_009109039.2	XP_006415371.1, XP_024007955.1, XP_024010028.1, XP_006415204.1, XP_024009297.1, XP_006415203.1, XP_006415205.2, XP_024007920.1
OG0000024	XP_009116539.1	XP_006402766.1
OG0000025	XP_033129969.1	XP_024007336.1
OG0000025	XP_033141177.1	XP_024010439.1
OG0000027	XP_009134240.1	XP_006396898.1
OG0000027	XP_033142038.1	XP_006396896.1
OG0000027	XP_033142132.1	XP_024010236.1
OG0000027	XP_009136778.1, XP_009136797.2	XP_006413565.1
OG0000027	XP_009108600.1	XP_024013896.1
OG0000027	XP_033144191.1	XP_006413569.1
OG0000027	XP_009108162.1	XP_006396890.1
OG0000027	XP_009108168.1	XP_006396908.2
OG0000028	XP_018509211.2	XP_006411607.2
OG0000029	XP_009103430.1, XP_009103792.1, XP_033136629.1	XP_024015838.1, XP_024010450.1, XP_024014056.1, XP_024014403.1, XP_024004857.1, XP_024016540.1, XP_024013162.1, XP_024013053.1, XP_024009819.1, XP_024010241.1, XP_024014715.1
OG0000029	XP_009119478.1	XP_024016120.1
OG0000029	XP_033141711.1, XP_033144745.1, XP_009137703.2, XP_009144174.1, XP_009132264.1, XP_009123077.2, XP_009121319.1, XP_009145179.2, XP_033138742.1, XP_009150817.2, XP_009138126.1, XP_009151013.1, XP_033141106.1, XP_009145551.2, XP_009115654.1	XP_024007219.1, XP_024004754.1, XP_024004102.1
OG0000029	XP_009150036.1	XP_024013922.1
OG0000030	XP_033144643.1, XP_033142641.1	XP_006391637.1
OG0000030	XP_033129474.1, XP_033128828.1, XP_033131947.1	XP_024008003.1
OG0000030	XP_033148474.1	XP_024016186.1
OG0000030	XP_033143643.1	XP_024010547.1, XP_024015244.1
OG0000031	XP_033148609.1	XP_024016318.1
OG0000031	XP_033134208.1	XP_024006123.1, XP_024006531.1, XP_024015844.1, XP_024010635.1, XP_024009411.1, XP_024011373.1
OG0000031	XP_033148599.1	XP_024011171.1
OG0000031	XP_009144745.1	XP_024013167.1, XP_024016245.1, XP_024012481.1
OG0000031	XP_009150829.1	XP_024014349.1, XP_024006862.1, XP_024006618.1, XP_024016129.1
OG0000031	XP_033129467.1, XP_009111364.2, XP_009109995.2	XP_024011268.1
OG0000031	XP_033128785.1, XP_033134480.1, XP_009103830.2, XP_033141110.1, XP_009114691.2, XP_009151526.1, XP_033131640.1, XP_009128527.1, XP_009128535.1	XP_024008010.1, XP_024009300.1, XP_024006120.1
OG0000031	XP_009121360.1, XP_033129314.1, XP_033143295.1, XP_033144628.1	XP_024011224.1
OG0000032	XP_033134901.1, XP_033128608.1	XP_024004841.1, XP_024010402.1
OG0000032	XP_033143202.1, XP_033142724.1	XP_024009276.1, XP_024004049.1
OG0000034	XP_009137321.1	XP_006413571.1
OG0000034	XP_009136929.1	XP_024010975.1
OG0000034	XP_009137324.1, XP_033135404.1	XP_006413574.2
OG0000034	XP_009137188.1, XP_009134716.1	XP_024005104.1
OG0000034	XP_033143973.1, XP_033137152.1	XP_006413566.2
OG0000034	XP_033143970.1	XP_024004626.1
OG0000034	XP_009137317.1	XP_006413576.1
OG0000035	XP_033148603.1, XP_033129319.1, XP_033129317.1, XP_018515237.2, XP_033129460.1	XP_024010425.1, XP_024007977.1
OG0000035	XP_033134429.1, XP_018508195.2, XP_009116357.1	XP_024008048.1, XP_024009273.1, XP_006391890.2, XP_024010301.1, XP_024016312.1, XP_024014902.1, XP_024016657.1, XP_024013938.1
OG0000035	XP_009144181.2, XP_009107908.2, XP_009130015.1, XP_033131299.1, XP_033138421.1, XP_033142140.1, XP_033138747.1, XP_033131849.1, XP_009145711.2, XP_009123716.1, XP_033145213.1, XP_033133960.1, XP_033138807.1, XP_033129339.1, XP_033136536.1, XP_033129338.1, XP_009120701.1, XP_033138808.1, XP_033145214.1, XP_009108653.1, XP_009111034.2, XP_033133919.1, XP_009108652.2, XP_033129264.1, XP_033130356.1, XP_033142926.1, XP_033142234.1, XP_033144985.1, XP_033139815.1, XP_033139776.1, XP_009145180.1, XP_033138759.1	XP_024004785.1, XP_024005785.1, XP_024004877.1, XP_024016694.1, XP_024016229.1, XP_024011093.1, XP_024010243.1, XP_024006613.1, XP_006409421.2, XP_024009313.1, XP_024006556.1, XP_024015936.1
OG0000038	XP_018509951.1, XP_009102769.1	XP_024006448.1
OG0000039	XP_033138939.1, XP_033138878.1, XP_033143373.1	XP_024006661.1
OG0000040	XP_018512880.1	XP_024014479.1
OG0000040	XP_009128563.1, XP_009150818.1	XP_024009299.1
OG0000040	XP_009126331.2	XP_024007926.1
OG0000040	XP_009106788.1, XP_009113229.1, XP_009118147.1, XP_033139875.1, XP_009145177.1, XP_009102190.1, XP_033135130.1, XP_033133628.1, XP_009125764.1, XP_009111367.1, XP_009109986.2, XP_009124648.1, XP_033146213.1	XP_024004988.1
OG0000040	XP_018513078.1	XP_024013326.1
OG0000041	XP_033138682.1, XP_009120440.2, XP_033136843.1	XP_024011200.1
OG0000041	XP_018511312.1	XP_024004768.1
OG0000042	XP_033129992.1	XP_024009659.1
OG0000042	XP_033129573.1	XP_024009944.1
OG0000044	XP_018512047.1, XP_009134864.2	XP_024013343.1
OG0000044	XP_009128863.1, XP_009128859.1	XP_006398345.1
OG0000047	XP_033134290.1	XP_024014421.1
OG0000048	XP_009125775.1	XP_024005913.1
OG0000048	XP_009127532.1, XP_033139568.1	XP_006391498.1
OG0000048	XP_009123149.2	XP_006410338.1
OG0000049	XP_009123417.1	XP_024006537.1
OG0000049	XP_033139739.1	XP_024009363.1
OG0000050	XP_018509860.1, XP_009144631.1, XP_033148671.1, XP_009125369.1, XP_033136840.1, XP_009133671.1	XP_024013613.1, XP_024009750.1
OG0000050	XP_009105612.1	XP_024004962.1, XP_024006598.1
OG0000051	XP_009119376.1, XP_009121616.2, XP_009118690.1	XP_024009195.1, XP_006418389.2, XP_024008111.1
OG0000051	XP_009142066.1, XP_018513039.2	XP_006411503.1
OG0000051	XP_018514205.1, XP_009113199.1	XP_006392148.1, XP_024013725.1, XP_024013699.1
OG0000051	XP_033148413.1, XP_033147570.1, XP_033148423.1	XP_024004231.1
OG0000051	XP_009142840.1, XP_033138797.1, XP_033138543.1, XP_033148410.1	XP_024004184.1
OG0000052	XP_033139477.1, XP_033135650.1	XP_024007553.1
OG0000052	XP_009114878.1	XP_024008507.1
OG0000052	XP_033129401.1	XP_006404188.1, XP_024010967.1
OG0000054	XP_033142356.1	XP_024009364.1
OG0000054	XP_033138743.1	XP_024010734.1, XP_024013111.1
OG0000054	XP_033134275.1	XP_024014519.1, XP_024010262.1, XP_024010407.1, XP_024014875.1, XP_024016371.1, XP_024010475.1, XP_024014634.1
OG0000054	XP_033141137.1, XP_033148483.1, XP_033133347.1	XP_024013069.1, XP_024009580.1, XP_024007298.1, XP_024007316.1
OG0000054	XP_033143415.1	XP_024010349.1
OG0000055	XP_033143242.1	XP_006398121.1, XP_006406735.1
OG0000056	XP_009113105.1	XP_006391935.1
OG0000056	XP_033135114.1, XP_009113108.1	XP_024016867.1
OG0000056	XP_009105823.1	XP_024015483.1
OG0000058	XP_033147285.1, XP_009114424.1, XP_033140560.1, XP_033135648.1, XP_033130698.1, XP_033141279.1, XP_033138465.1, XP_033131792.1	XP_024013600.1
OG0000058	XP_033143352.1, XP_033141140.1, XP_033131591.1, XP_009145099.2, XP_033139240.1, XP_033131993.1, XP_033134311.1, XP_033138233.1, XP_033143404.1, XP_033148539.1, XP_033134272.1, XP_033129427.1, XP_033139241.1, XP_033129412.1, XP_033131764.1, XP_033148531.1, XP_033131195.1, XP_033139143.1, XP_033131918.1, XP_033131462.1, XP_033134234.1, XP_033134349.1, XP_033130753.1, XP_033145221.1, XP_033141098.1, XP_033139492.1, XP_033137200.1, XP_033134400.1, XP_033139188.1, XP_033148815.1, XP_033131068.1, XP_033132741.1, XP_033141134.1, XP_033146849.1	XP_024015982.1, XP_024013356.1, XP_024006629.1, XP_024016554.1, XP_024011207.1, XP_024014435.1, XP_024009368.1, XP_024014237.1, XP_024016380.1, XP_024011251.1, XP_024003653.1, XP_024009607.1, XP_024016240.1, XP_024016319.1, XP_024013206.1, XP_024011314.1, XP_024011360.1, XP_024010368.1, XP_024012295.1, XP_024009971.1, XP_024006803.1, XP_024006792.1, XP_024011140.1, XP_024013156.1
OG0000058	XP_033131067.1, XP_033136880.1, XP_033148558.1, XP_009150325.2, XP_033133377.1	XP_024009371.1, XP_024012609.1
OG0000059	XP_009150809.1, XP_009124471.1, XP_033143409.1, XP_033134211.1, XP_033133426.1, XP_009101327.1	XP_024006590.1, XP_024012732.1, XP_024004843.1, XP_024004842.1, XP_024004831.1, XP_024004845.1, XP_024014239.1, XP_024013302.1, XP_024010380.1, XP_024013968.1, XP_024014568.1
OG0000059	XP_009145037.2, XP_009111372.1, XP_009117179.1, XP_009103786.3	XP_024016529.1, XP_024007942.1, XP_024010231.1, XP_024005865.1
OG0000060	XP_009148029.2	XP_006417762.1
OG0000060	XP_009110918.2	XP_006400894.1
OG0000060	XP_009133191.2	XP_006409907.1
OG0000061	XP_009120970.2	XP_006400395.1
OG0000061	XP_009141021.1, XP_009144344.2	XP_006410039.1
OG0000062	XP_033141501.1, XP_009101873.2	XP_024014903.1, XP_024011317.1
OG0000062	XP_009106514.2, XP_033138783.1, XP_033134230.1, XP_033129421.1	XP_024004129.1, XP_024013428.1, XP_024010363.1, XP_024010298.1, XP_024010297.1, XP_024008041.1, XP_024010226.1, XP_024010620.1, XP_024016291.1, XP_024011215.1, XP_024013963.1, XP_024009617.1, XP_024010321.1, XP_024009248.1
OG0000064	XP_033134282.1, XP_033134283.1, XP_033136270.1, XP_033135749.1, XP_033135748.1, XP_033135746.1, XP_033135747.1, XP_033134284.1, XP_033135687.1, XP_033136269.1, XP_033135741.1, XP_033135477.1, XP_009124650.2, XP_033136272.1, XP_033136268.1, XP_009124058.2, XP_033135744.1, XP_033136271.1, XP_009124087.2, XP_033135742.1, XP_033135743.1, XP_033135685.1, XP_033135686.1, XP_033135684.1, XP_033135688.1, XP_033134285.1	XP_006408758.1, XP_006408757.1, XP_024015891.1, XP_006408777.1, XP_006408781.1, XP_006408759.1, XP_006408773.1, XP_006408774.1, XP_006408775.1, XP_006408779.2, XP_024016075.1, XP_006408769.1, XP_006408766.1, XP_006408780.1, XP_006408763.1, XP_006408768.1, XP_006408778.1, XP_006408765.1, XP_006408761.1, XP_006408760.1
OG0000065	XP_009105243.1	XP_024014567.1
OG0000065	XP_009140044.1	XP_024014561.1
OG0000065	XP_009140101.2, XP_009151130.2	XP_024014419.1
OG0000066	XP_009129719.2	XP_024012002.1
OG0000066	XP_009125263.1, XP_009131189.1, XP_009130061.1	XP_006399597.1, XP_006390289.1
OG0000067	XP_033148589.1, XP_033138226.1	XP_024010589.1
OG0000067	XP_018508435.1	XP_024013907.1
OG0000067	XP_018508607.1	XP_024014292.1
OG0000067	XP_033129459.1, XP_033131134.1, XP_033131135.1, XP_009113960.2, XP_033131178.1	XP_024011136.1
OG0000068	XP_033137765.1, XP_009122279.3, XP_033144949.1, XP_033144954.1	XP_024014925.1
OG0000068	XP_009141809.2, XP_033145607.1, XP_033145605.1, XP_033145608.1, XP_009106287.1, XP_009106290.2, XP_033144956.1, XP_009131006.1, XP_033136756.1, XP_009130957.1, XP_009130959.2, XP_033144664.1	XP_024012324.1
OG0000068	XP_009118007.2, XP_009117917.2, XP_033134926.1, XP_033134927.1, XP_009117999.2	XP_006413393.1
OG0000069	XP_018512413.1, XP_009105410.1	XP_006402374.1, XP_006404944.1
OG0000069	XP_009142475.1	XP_024016442.1, XP_006390571.2
OG0000070	XP_009123589.1, XP_033136464.1	XP_006395735.1
OG0000070	XP_033131964.1, XP_009149503.1	XP_006416426.1
OG0000070	XP_009104691.1, XP_009106248.2, XP_009128146.1	XP_006390250.1
OG0000072	XP_009102269.1	XP_024009686.1
OG0000072	XP_033133398.1, XP_009140527.1, XP_009115740.1	XP_024012933.1, XP_024014312.1
OG0000072	XP_009119460.3, XP_033138069.1, XP_009111623.2	XP_024014710.1
OG0000073	XP_033144992.1, XP_033143312.1	XP_024009769.1, XP_024016097.1
OG0000073	XP_009108668.2, XP_009139306.1, XP_009122924.1, XP_009132645.2	XP_024007936.1
OG0000074	XP_009150337.1, XP_033143354.1, XP_033139002.1, XP_033145286.1, XP_033138837.1	XP_024016279.1, XP_024013158.1
OG0000074	XP_009119511.1, XP_033131958.1	XP_024016228.1
OG0000074	XP_009150440.1, XP_009117211.1	XP_024004022.1, XP_024009402.1
OG0000074	XP_009150341.1	XP_024006141.1, XP_024010303.1, XP_024004054.1
OG0000075	XP_009101861.1, XP_033141207.1, XP_009124954.2, XP_009127369.1	XP_024009720.1, XP_024009721.1
OG0000076	XP_009101919.1	XP_006411683.1
OG0000076	XP_009141037.3	XP_006410067.1, XP_024004059.1
OG0000076	XP_009132713.2, XP_009132712.2, XP_009141118.1, XP_033146437.1, XP_018512826.1, XP_009132724.1, XP_009141423.1, XP_009141039.2, XP_009141424.2	XP_024004093.1, XP_024004091.1, XP_006410069.1, XP_006410074.2, XP_006410076.1, XP_006410126.2, XP_024004081.1, XP_006410042.2, XP_006410043.2, XP_006410041.1
OG0000076	XP_009134123.2, XP_033134012.1, XP_009126890.1, XP_033147785.1, XP_009134127.2, XP_018514362.2, XP_009134129.2, XP_009134122.2	XP_006397224.1, XP_006397217.1, XP_024010292.1, XP_006397043.1
OG0000077	XP_033139970.1	XP_006398175.2
OG0000077	XP_033141183.1	XP_006395717.2, XP_006395727.1
OG0000077	XP_009148269.1	XP_006392390.2
OG0000078	XP_009126237.2	XP_006400345.1
OG0000078	XP_009121020.1, XP_009121026.2, XP_009121024.1, XP_009121021.2	XP_006400348.1
OG0000079	XP_033139099.1, XP_033129128.1, XP_033129127.1, XP_033147269.1, XP_033136406.1, XP_033148881.1, XP_033133874.1, XP_033130432.1, XP_033131180.1, XP_033147836.1, XP_009121263.2, XP_033146531.1, XP_009122926.1, XP_033143107.1, XP_033143236.1, XP_033136497.1, XP_033134319.1, XP_033147267.1, XP_009108250.2, XP_033148205.1, XP_033131034.1, XP_033129991.1, XP_033134219.1, XP_033145242.1, XP_033131468.1, XP_033139661.1, XP_033129913.1, XP_033128795.1, XP_033130871.1, XP_033146432.1, XP_033128838.1, XP_033133429.1, XP_033146434.1, XP_033128695.1, XP_033129645.1	XP_006405230.2, XP_024010130.1
OG0000081	XP_018509212.1, XP_033131829.1, XP_033133259.1	XP_024014942.1, XP_024013908.1
OG0000083	XP_033134381.1, XP_033147924.1, XP_033133989.1	XP_024016110.1, XP_024003644.1
OG0000083	XP_033133218.1	XP_024004864.1
OG0000083	XP_033145473.1, XP_033144422.1	XP_024009339.1, XP_024014050.1
OG0000083	XP_033141175.1	XP_006392748.2
OG0000086	XP_009135925.1, XP_009139756.1	XP_024014611.1, XP_006405827.1, XP_006405828.1, XP_006405825.1, XP_006405877.2
OG0000086	XP_033147599.1	XP_024014475.1, XP_006405815.1
OG0000086	XP_009132807.1	XP_006390991.1
OG0000086	XP_033130821.1	XP_006391405.1
OG0000089	XP_009150907.1	XP_006394642.1
OG0000089	XP_009150568.2, XP_009149954.2	XP_006404433.1, XP_006404432.1
OG0000089	XP_009144365.1, XP_009141007.2	XP_006410012.1
OG0000089	XP_009121863.1	XP_006399740.1
OG0000089	XP_009113926.1, XP_009101721.2	XP_006403108.1
OG0000089	XP_009123590.1	XP_006413842.1
OG0000089	XP_018514901.1	XP_006410628.1
OG0000089	XP_009106234.1	XP_006390273.1
OG0000090	XP_033147238.1	XP_024004922.1, XP_024014456.1
OG0000090	XP_033128016.1, XP_033136189.1	XP_024014096.1, XP_024009890.1
OG0000090	XP_033147237.1	XP_024004593.1
OG0000091	XP_009119422.1	XP_024011698.1
