Orthogroup	Brassica_oleracea	Cardamine_glauca
OG0000013	XP_013624890.1, XP_013614189.1	Cg007G257070, Cg005G184830
OG0000014	XP_013623548.1, XP_013627369.1, XP_013607767.1, XP_013608123.1, XP_013594361.1, XP_013633074.1	Cg008G312030
OG0000014	XP_013633013.1, XP_013623877.1, XP_013615619.1, XP_013615430.1, XP_013639472.1, XP_013614662.1, XP_013617027.1, XP_013601324.1, XP_013639691.1, XP_013589050.1, XP_013594820.1, XP_013634577.1, XP_013624113.1, XP_013594433.1, XP_013594604.1	Cg007G266660
OG0000015	XP_013624517.1, XP_013617189.1, XP_013615586.1, XP_013603434.1	Cg008G310160
OG0000015	XP_013613389.1, XP_013594602.1	Cg004G140320
OG0000015	XP_013639615.1	Cg007G254560
OG0000015	XP_013594858.1	Cg001G025880
OG0000015	XP_013633118.1	Cg007G249020
OG0000018	XP_013608093.1, XP_013624295.1, XP_013615260.1, XP_013639781.1, XP_013624942.1, XP_013635359.1, XP_013632716.1, XP_013625589.1, XP_013624309.1, XP_013583343.1, XP_013617328.1, XP_013633276.1, XP_013633321.1, XP_013632330.1, XP_013632740.1, XP_013631302.1, XP_013594507.1, XP_013624087.1, XP_013594600.1, XP_013624037.1, XP_013616795.1, XP_013607721.1, XP_013639694.1, XP_013616959.1, XP_013592110.1, XP_013595678.1, XP_013589433.1	Cg003G089030, Cg003G095110
OG0000019	XP_013617429.1, XP_013619335.1, XP_013627832.1	Cg008G308170
OG0000019	XP_013639582.1	Cg003G084410, Cg008G317890
OG0000019	XP_013594896.1	Cg004G134340
OG0000020	XP_013601359.1	Cg007G257890, Cg007G257790
OG0000021	XP_013616875.1, XP_013594483.1, XP_013632484.1, XP_013595187.1, XP_013589405.1	Cg006G208570
OG0000021	XP_013624336.1, XP_013624294.1, XP_013607730.1, XP_013595127.1	Cg003G100100
OG0000021	XP_013601139.1	Cg006G215630
OG0000021	XP_013589283.1	Cg003G080250
OG0000023	XP_013598807.1	Cg001G017560
OG0000023	XP_013595250.1, XP_013626677.1	Cg001G017610, Cg001G017600
OG0000023	XP_013608009.1	Cg003G082330
OG0000023	XP_013608654.1	Cg003G082320
OG0000023	XP_013595244.1	Cg001G017650
OG0000023	XP_013617506.1	Cg003G082240
OG0000023	XP_013588839.1	Cg001G017690
OG0000025	XP_013614695.1, XP_013624780.1, XP_013624779.1, XP_013614694.1, XP_013624781.1, XP_013626875.1, XP_013589427.1, XP_013625541.1, XP_013589429.1, XP_013615643.1, XP_013614785.1, XP_013626289.1	Cg001G005300
OG0000025	XP_013636546.1	Cg003G102540
OG0000027	XP_013592438.1	Cg007G250820
OG0000027	XP_013624897.1	Cg002G070600
OG0000027	XP_013632478.1	Cg006G215350, Cg006G215360
OG0000027	XP_013605203.1	Cg002G048550, Cg002G048720
OG0000028	XP_013639720.1	Cg001G041970
OG0000029	XP_013610927.1, XP_013583311.1, XP_013632868.1, XP_013624005.1, XP_013589271.1, XP_013624507.1, XP_013589176.1, XP_013617829.1, XP_013624934.1, XP_013632493.1	Cg007G253930
OG0000029	XP_013624853.1, XP_013624881.1	Cg005G177650
OG0000029	XP_013619135.1	Cg005G177640
OG0000030	XP_013633216.1	Cg007G253140
OG0000030	XP_013639811.1, XP_013617264.1, XP_013624086.1	Cg013G330360
OG0000031	XP_013606456.1	Cg007G247710
OG0000031	XP_013635968.1	Cg001G042060
OG0000031	XP_013609571.1	Cg004G133170
OG0000031	XP_013603447.1	Cg007G245660
OG0000033	XP_013603110.1, XP_013598717.1, XP_013595252.1, XP_013595253.1	Cg001G017700
OG0000033	XP_013595249.1, XP_013595246.1	Cg001G017780
OG0000033	XP_013594180.1, XP_013598071.1	Cg001G019630
OG0000033	XP_013598971.1	Cg001G017580
OG0000033	XP_013607897.1	Cg003G079950, Cg003G094060
OG0000034	XP_013589352.1	Cg002G066600
OG0000036	XP_013639282.1	Cg008G323260
OG0000036	XP_013617146.1, XP_013639508.1, XP_013589295.1, XP_013617228.1, XP_013611257.1, XP_013589048.1, XP_013617878.1, XP_013623959.1, XP_013595076.1	Cg005G180340, Cg002G065870, Cg008G312450, Cg005G190140, Cg004G144710, Cg001G036700, Cg002G070690
OG0000038	XP_013600951.1, XP_013597125.1	Cg001G007650
OG0000038	XP_013633415.1, XP_013633416.1	Cg006G216960
OG0000038	XP_013633414.1	Cg002G052970
OG0000039	XP_013588982.1, XP_013617440.1, XP_013632928.1, XP_013589052.1	Cg005G180100, Cg002G062370, Cg002G062340
OG0000040	XP_013589717.1, XP_013593712.1, XP_013589720.1	Cg006G217350
OG0000040	XP_013608319.1, XP_013628311.1, XP_013628312.1	Cg004G137150
OG0000040	XP_013615042.1	Cg004G136640
OG0000042	XP_013607732.1, XP_013608326.1	Cg006G198550, Cg003G083590
OG0000042	XP_013585161.1	Cg002G059980
OG0000042	XP_013639418.1	Cg008G311300, Cg008G309470
OG0000042	XP_013617799.1	Cg005G183270
OG0000042	XP_013639460.1	Cg002G072070
OG0000044	XP_013620262.1, XP_013632482.1, XP_013611258.1, XP_013589049.1, XP_013617512.1, XP_013633382.1, XP_013596464.1, XP_013617808.1, XP_013617807.1, XP_013594734.1, XP_013594735.1, XP_013589296.1, XP_013617147.1, XP_013591267.1	Cg001G029670
OG0000044	XP_013623958.1, XP_013589222.1, XP_013632674.1, XP_013639308.1	Cg003G096230
OG0000045	XP_013632408.1, XP_013632387.1, XP_013594397.1, XP_013624130.1, XP_013583445.1, XP_013608007.1, XP_013608008.1, XP_013601571.1, XP_013624059.1, XP_013594684.1, XP_013613695.1, XP_013617600.1, XP_013601662.1, XP_013632375.1, XP_013594519.1, XP_013614308.1, XP_013595024.1, XP_013613933.1, XP_013614917.1, XP_013633236.1, XP_013624165.1, XP_013616776.1, XP_013583385.1, XP_013624050.1, XP_013588971.1, XP_013594915.1	Cg003G091810
OG0000045	XP_013631555.1, XP_013632793.1, XP_013623955.1, XP_013632732.1, XP_013615610.1, XP_013628576.1	Cg002G064420
OG0000046	XP_013611234.1	Cg001G022610
OG0000046	XP_013635840.1, XP_013620632.1	Cg001G037990
OG0000046	XP_013613580.1	Cg007G266760
OG0000046	XP_013591996.1	Cg007G266630
OG0000046	XP_013591997.1	Cg007G266640
OG0000048	XP_013608599.1, XP_013621007.1, XP_013609935.1, XP_013626973.1	Cg008G298370
OG0000049	XP_013591364.1, XP_013639502.1, XP_013626063.1	Cg007G255960
OG0000052	XP_013609148.1, XP_013623987.1, XP_013601904.1	Cg006G242960
OG0000052	XP_013635331.1, XP_013635332.1, XP_013635943.1, XP_013615889.1	Cg003G083820
OG0000053	XP_013597073.1, XP_013627758.1, XP_013610732.1	Cg001G027560, Cg008G306580, Cg001G031950, Cg007G254370, Cg004G134350
OG0000053	XP_013601178.1, XP_013605214.1, XP_013604150.1, XP_013585552.1, XP_013585426.1, XP_013597521.1, XP_013628178.1, XP_013585461.1, XP_013615848.1	Cg003G084420
OG0000054	XP_013615014.1	Cg001G018970
OG0000054	XP_013595519.1, XP_013611049.1, XP_013601286.1, XP_013624334.1, XP_013639439.1, XP_013614791.1, XP_013632822.1, XP_013594394.1, XP_013616991.1, XP_013633023.1, XP_013624734.1, XP_013607784.1, XP_013615049.1, XP_013583362.1, XP_013601872.1, XP_013617699.1, XP_013624222.1, XP_013617275.1, XP_013630519.1, XP_013594611.1, XP_013632848.1, XP_013632535.1, XP_013584583.1, XP_013633042.1, XP_013594482.1, XP_013632540.1, XP_013607882.1, XP_013589054.1, XP_013622630.1, XP_013589345.1, XP_013601557.1, XP_013588894.1, XP_013624520.1, XP_013632879.1, XP_013589117.1, XP_013617269.1, XP_013624513.1, XP_013623603.1, XP_013632398.1, XP_013639705.1, XP_013606514.1	Cg005G189800, Cg005G189790
OG0000055	XP_013628196.1	Cg002G060080
OG0000055	XP_013634799.1	Cg007G248410
OG0000056	XP_013639732.1, XP_013626954.1, XP_013638947.1, XP_013617766.1, XP_013627136.1, XP_013632954.1, XP_013629486.1, XP_013601558.1, XP_013607606.1, XP_013607741.1, XP_013633059.1, XP_013632733.1, XP_013623893.1, XP_013617628.1, XP_013607578.1, XP_013589124.1	Cg007G262570, Cg007G263580, Cg007G265440, Cg006G204190
OG0000056	XP_013614874.1, XP_013596572.1	Cg004G146250, Cg006G204780, Cg003G097370, Cg005G181880, Cg005G186560, Cg005G187160, Cg003G100780, Cg005G180320, Cg001G029590, Cg003G086110, Cg003G090290
OG0000057	XP_013589549.1	Cg004G139300, Cg004G139380, Cg004G139340, Cg004G139360, Cg004G139320, Cg004G139330, Cg004G139250
OG0000058	XP_013617740.1	Cg005G185820
OG0000058	XP_013595062.1, XP_013614222.1, XP_013594879.1, XP_013601570.1, XP_013616885.1, XP_013624858.1, XP_013624811.1	Cg005G189250
OG0000058	XP_013607678.1	Cg005G185810
OG0000061	XP_013628529.1	Cg003G083990, Cg008G318200
OG0000061	XP_013585220.1, XP_013616683.1, XP_013635812.1	Cg007G263690, Cg007G267630
OG0000062	XP_013591442.1, XP_013594277.1, XP_013623728.1, XP_013624643.1, XP_013615594.1, XP_013624395.1, XP_013626489.1, XP_013632865.1, XP_013583449.1	Cg007G260660, Cg005G180090
OG0000062	XP_013584961.1, XP_013591028.1, XP_013583246.1, XP_013624305.1, XP_013594953.1, XP_013583409.1, XP_013639827.1, XP_013588116.1, XP_013617685.1, XP_013617194.1, XP_013617550.1, XP_013639436.1, XP_013614606.1, XP_013589590.1, XP_013594276.1, XP_013623727.1, XP_013617780.1, XP_013633220.1, XP_013607786.1, XP_013608501.1, XP_013624109.1, XP_013634828.1	Cg010G326150
OG0000064	XP_013598018.1	Cg001G000750
OG0000064	XP_013623638.1, XP_013625555.1, XP_013626117.1, XP_013625990.1, XP_013601953.1, XP_013619488.1, XP_013587128.1, XP_013587126.1, XP_013627762.1, XP_013627931.1, XP_013602531.1, XP_013632671.1, XP_013632670.1, XP_013628026.1, XP_013615674.1, XP_013632642.1, XP_013635116.1, XP_013627588.1	Cg008G325030
OG0000065	XP_013617482.1, XP_013617341.1	Cg001G020190
OG0000066	XP_013599938.1, XP_013618388.1, XP_013621521.1, XP_013606481.1, XP_013631332.1, XP_013627996.1, XP_013637372.1, XP_013609086.1	Cg003G113360
OG0000067	XP_013623793.1, XP_013626885.1, XP_013606907.1, XP_013611652.1, XP_013610551.1	Cg004G154470
OG0000067	XP_013623517.1, XP_013623813.1, XP_013627886.1, XP_013602672.1, XP_013629845.1, XP_013626915.1, XP_013623762.1	Cg008G318950
OG0000070	XP_013615472.1	Cg002G063700
OG0000070	XP_013639478.1, XP_013614061.1, XP_013601287.1, XP_013617545.1	Cg005G186370
OG0000071	XP_013601126.1, XP_013601850.1, XP_013614231.1	Cg005G184980
OG0000071	XP_013601278.1	Cg007G264730, Cg003G105600
OG0000071	XP_013639677.1, XP_013589425.1, XP_013601846.1, XP_013617814.1, XP_013608108.1, XP_013601356.1, XP_013601674.1, XP_013639850.1, XP_013623769.1	Cg006G240460
OG0000073	XP_013628000.1, XP_013620412.1	Cg003G080870
OG0000073	XP_013608422.1	Cg008G302430
OG0000074	XP_013586913.1	Cg006G222190
OG0000074	XP_013603462.1, XP_013584900.1, XP_013586910.1	Cg006G222350
OG0000075	XP_013584290.1	Cg003G083750, Cg005G174740, Cg008G291500, Cg008G290800, Cg008G290770, Cg006G214290
OG0000075	XP_013611358.1, XP_013615461.1	Cg001G042020, Cg008G318380, Cg001G041980, Cg007G251300
OG0000075	XP_013594256.1	Cg001G033430, Cg006G221290, Cg008G323300
OG0000075	XP_013597375.1	Cg008G301210
OG0000076	XP_013630964.1, XP_013615703.1	Cg002G054100
OG0000076	XP_013610604.1	Cg007G272900
OG0000076	XP_013599445.1, XP_013594267.1, XP_013594927.1	Cg002G071650
OG0000078	XP_013621386.1, XP_013617746.1, XP_013632635.1, XP_013632608.1, XP_013594937.1, XP_013624880.1, XP_013591282.1, XP_013615431.1, XP_013632718.1, XP_013617720.1, XP_013629722.1, XP_013624329.1	Cg002G071190
OG0000079	XP_013632057.1	Cg004G118210
OG0000079	XP_013622466.1, XP_013604174.1, XP_013634926.1	Cg002G047470
OG0000079	XP_013604627.1	Cg005G185620
OG0000079	XP_013604629.1	Cg007G249140
OG0000079	XP_013614702.1, XP_013614700.1	Cg008G310600, Cg008G310560, Cg008G308930
OG0000080	XP_013637545.1	Cg004G150150
OG0000080	XP_013633314.1	Cg005G177060
OG0000082	XP_013618832.1	Cg003G082510, Cg003G083500
OG0000083	XP_013639459.1	Cg005G178780
OG0000083	XP_013612566.1	Cg004G140440
OG0000083	XP_013593181.1	Cg005G190480
OG0000085	XP_013615286.1	Cg007G270000
OG0000087	XP_013598457.1	Cg008G303510
OG0000087	XP_013637001.1, XP_013636732.1	Cg005G177380
OG0000087	XP_013629087.1, XP_013629292.1, XP_013629400.1	Cg003G110470
OG0000087	XP_013611442.1	Cg008G292710
OG0000087	XP_013636563.1	Cg005G171830
OG0000087	XP_013612217.1, XP_013620476.1, XP_013598244.1	Cg008G320640
OG0000087	XP_013598013.1, XP_013621920.1, XP_013598364.1	Cg001G020160
OG0000087	XP_013592047.1	Cg007G276340
OG0000088	XP_013629613.1, XP_013613460.1, XP_013612884.1, XP_013626980.1, XP_013626981.1, XP_013626984.1, XP_013610320.1, XP_013626983.1, XP_013626986.1, XP_013630073.1	Cg005G181240
OG0000088	XP_013593337.1	Cg002G059930
OG0000088	XP_013612192.1	Cg002G059530
OG0000088	XP_013627653.1, XP_013607358.1	Cg001G039390, Cg008G300920
OG0000088	XP_013631070.1	Cg003G090240, Cg003G095710
OG0000089	XP_013629368.1, XP_013611822.1, XP_013620685.1	Cg008G290150
OG0000089	XP_013587485.1	Cg004G127880
OG0000089	XP_013623319.1	Cg002G060740, Cg003G107020
OG0000090	XP_013628560.1	Cg006G225800
OG0000090	XP_013591920.1, XP_013588434.1, XP_013616229.1	Cg007G276570, Cg001G034690, Cg001G034670, Cg001G034700
OG0000090	XP_013590802.1, XP_013590715.1	Cg006G200830, Cg006G200820, Cg006G200840, Cg006G200440, Cg006G200850
OG0000090	XP_013610618.1	Cg002G074060
OG0000090	XP_013620477.1	Cg006G235770
OG0000093	XP_013632132.1, XP_013632130.1, XP_013591322.1	Cg002G047960
OG0000093	XP_013603307.1, XP_013600272.1, XP_013604009.1	Cg002G047940
OG0000093	XP_013588854.1	Cg002G048030
OG0000093	XP_013609262.1	Cg002G048080, Cg002G048040
OG0000096	XP_013630204.1	Cg007G252880
OG0000096	XP_013594901.1	Cg002G073910
OG0000097	XP_013599827.1, XP_013584794.1	Cg003G079780, Cg003G094240
OG0000098	XP_013593751.1	Cg007G253040, Cg007G249450
OG0000099	XP_013624375.1	Cg007G246280, Cg007G246260, Cg007G246270
OG0000099	XP_013610735.1	Cg007G249510
OG0000100	XP_013607800.1	Cg006G202960, Cg007G265000
OG0000102	XP_013624680.1, XP_013639776.1, XP_013612628.1, XP_013589440.1	Cg001G040220
OG0000104	XP_013605923.1	Cg006G238510
OG0000104	XP_013590329.1	Cg006G200560
OG0000104	XP_013625710.1	Cg004G138340
OG0000104	XP_013634622.1	Cg005G178050
OG0000104	XP_013634487.1	Cg005G178070
OG0000105	XP_013607815.1	Cg003G084510
OG0000106	XP_013627644.1	Cg001G042030
OG0000107	XP_013586700.1	Cg004G136880
OG0000107	XP_013635068.1, XP_013624257.1	Cg004G136910
OG0000107	XP_013623726.1	Cg004G136890, Cg004G136900
OG0000108	XP_013617934.1	Cg008G306430
OG0000108	XP_013614188.1, XP_013615334.1	Cg007G245680, Cg007G245670
OG0000110	XP_013592532.1	Cg002G047270
OG0000110	XP_013590480.1	Cg002G047280
OG0000110	XP_013591144.1, XP_013591210.1	Cg002G047240
OG0000110	XP_013589380.1	Cg007G269260
OG0000111	XP_013603252.1, XP_013605672.1, XP_013602151.1, XP_013605673.1, XP_013602872.1, XP_013603171.1, XP_013603836.1, XP_013603745.1	Cg002G051630
OG0000113	XP_013607642.1	Cg007G253910
OG0000114	XP_013612354.1	Cg008G318090
OG0000117	XP_013598962.1	Cg006G208080
OG0000117	XP_013637133.1	Cg007G257800
OG0000119	XP_013612859.1	Cg007G255080, Cg002G068550, Cg003G107770, Cg002G060400, Cg001G039470, Cg001G029640, Cg007G255680
OG0000120	XP_013610889.1, XP_013607713.1	Cg007G250010, Cg007G249930
OG0000120	XP_013601021.1, XP_013601023.1, XP_013588993.1, XP_013588958.1, XP_013588961.1	Cg008G308250, Cg008G308040, Cg008G308890, Cg008G310540
OG0000120	XP_013608535.1	Cg008G285500
OG0000122	XP_013620024.1	Cg003G086890
OG0000122	XP_013610314.1	Cg003G103770
OG0000123	XP_013627145.1	Cg006G218510, Cg006G218490
OG0000123	XP_013597957.1, XP_013589486.1	Cg001G014420
OG0000123	XP_013590229.1	Cg001G029000, Cg001G029020
OG0000125	XP_013605053.1, XP_013636203.1, XP_013589314.1	Cg002G052860
OG0000125	XP_013625682.1, XP_013606602.1	Cg008G302630
OG0000125	XP_013606787.1	Cg003G107610
OG0000125	XP_013631988.1, XP_013622502.1, XP_013631825.1	Cg005G178390
OG0000126	XP_013601019.1, XP_013613934.1, XP_013633096.1, XP_013617967.1	Cg001G027760, Cg001G028690, Cg002G060390, Cg007G271870, Cg008G305740, Cg007G255150
OG0000127	XP_013634983.1	Cg008G282750
OG0000127	XP_013610053.1	Cg007G262300, Cg007G263860
OG0000127	XP_013583436.1	Cg004G124780
OG0000127	XP_013595164.1, XP_013639264.1	Cg007G262280
OG0000128	XP_013632707.1	Cg001G020220
OG0000128	XP_013639126.1, XP_013624127.1, XP_013639757.1	Cg008G318340
OG0000133	XP_013626943.1	Cg007G269340
OG0000133	XP_013601903.1, XP_013639346.1, XP_013608115.1, XP_013601604.1, XP_013583259.1	Cg003G084500, Cg005G185150, Cg004G141220
OG0000135	XP_013607521.1, XP_013601177.1, XP_013617672.1, XP_013583468.1, XP_013588936.1, XP_013639841.1, XP_013616949.1, XP_013594852.1, XP_013624041.1, XP_013622487.1, XP_013613664.1, XP_013607776.1, XP_013614674.1, XP_013601395.1, XP_013624697.1, XP_013635412.1, XP_013608297.1, XP_013617980.1, XP_013589603.1, XP_013589096.1, XP_013632860.1, XP_013617212.1, XP_013622608.1, XP_013616864.1, XP_013608253.1	Cg004G138210
OG0000136	XP_013589268.1	Cg001G037040
OG0000137	XP_013633165.1	Cg001G041290
OG0000138	XP_013634787.1	Cg008G324060
OG0000138	XP_013615083.1	Cg002G067580, Cg002G067290
OG0000140	XP_013626670.1	Cg003G106800
OG0000140	XP_013620395.1, XP_013620391.1, XP_013618644.1, XP_013620392.1, XP_013620394.1	Cg003G106450
OG0000140	XP_013609630.1	Cg003G106810, Cg008G324860, Cg003G096950
OG0000142	XP_013634388.1	Cg005G176030
OG0000144	XP_013632920.1, XP_013633062.1, XP_013617587.1, XP_013597156.1, XP_013615036.1, XP_013622528.1, XP_013590672.1, XP_013612034.1, XP_013635059.1, XP_013633248.1, XP_013632628.1, XP_013589498.1	Cg005G182040
OG0000146	XP_013627427.1, XP_013619494.1	Cg003G102630
OG0000146	XP_013619272.1, XP_013606365.1	Cg003G102640
OG0000146	XP_013608191.1	Cg003G102600
OG0000146	XP_013618766.1, XP_013610172.1, XP_013610274.1	Cg003G102620
OG0000146	XP_013626781.1	Cg003G102610
OG0000147	XP_013597841.1, XP_013611416.1, XP_013623586.1	Cg004G155250
OG0000147	XP_013620594.1	Cg003G104960
OG0000147	XP_013588689.1	Cg007G280860
OG0000147	XP_013623185.1	Cg004G146670
OG0000147	XP_013605622.1	Cg005G189880
OG0000149	XP_013591815.1, XP_013624654.1	Cg002G060880
OG0000149	XP_013628381.1, XP_013620734.1	Cg003G107300, Cg003G107310
OG0000149	XP_013618276.1	Cg003G107320
OG0000149	XP_013615353.1	Cg003G107280
OG0000150	XP_013633270.1	Cg002G061900
OG0000151	XP_013613316.1	Cg003G100170
OG0000151	XP_013639325.1, XP_013600456.1	Cg001G012710
OG0000151	XP_013622635.1, XP_013617767.1, XP_013638468.1	Cg004G124340
OG0000151	XP_013625767.1, XP_013599341.1	Cg004G152640
OG0000151	XP_013621604.1, XP_013606619.1, XP_013622226.1	Cg003G103430
OG0000151	XP_013608966.1, XP_013606344.1	Cg007G246070
OG0000152	XP_013619992.1, XP_013633090.1	Cg006G206580
OG0000152	XP_013594572.1, XP_013589287.1, XP_013594961.1, XP_013632593.1, XP_013616911.1, XP_013624658.1, XP_013591103.1, XP_013634271.1, XP_013589388.1, XP_013632999.1, XP_013633457.1, XP_013626333.1, XP_013583325.1, XP_013617114.1, XP_013628023.1	Cg002G069910, Cg006G216840, Cg002G069290, Cg005G182640, Cg004G145620, Cg002G063800, Cg003G096260, Cg001G034420, Cg007G260590, Cg004G146430, Cg002G067820, Cg005G182630, Cg007G251500, Cg003G082490, Cg008G288890, Cg007G251240, Cg006G195780
OG0000154	XP_013603183.1, XP_013586550.1	Cg006G229860
OG0000154	XP_013611399.1	Cg004G128290
OG0000154	XP_013616125.1	Cg004G125060
OG0000154	XP_013586681.1, XP_013628594.1	Cg008G283240
OG0000154	XP_013610798.1, XP_013636193.1	Cg008G283230
OG0000155	XP_013604992.1, XP_013598493.1	Cg001G013440
OG0000155	XP_013595378.1	Cg001G019660
OG0000155	XP_013598049.1	Cg001G019650
OG0000155	XP_013628486.1	Cg004G127780
OG0000156	XP_013634565.1	Cg002G045690
OG0000156	XP_013635993.1	Cg005G160240
OG0000158	XP_013584343.1, XP_013603971.1	Cg005G184100
OG0000160	XP_013639450.1, XP_013593469.1	Cg003G091850
OG0000161	XP_013618060.1, XP_013620235.1	Cg003G098030, Cg005G179900, Cg005G180000, Cg005G179820
OG0000161	XP_013617087.1	Cg007G261320
OG0000161	XP_013584094.1	Cg007G257190
OG0000162	XP_013636352.1	Cg008G314630, Cg002G046130
OG0000162	XP_013603186.1	Cg005G178220
OG0000162	XP_013589389.1	Cg002G046140
OG0000162	XP_013632427.1	Cg005G160860
OG0000165	XP_013607591.1, XP_013613668.1, XP_013632544.1, XP_013634863.1, XP_013632582.1, XP_013614460.1, XP_013601725.1, XP_013617614.1, XP_013615290.1, XP_013601806.1	Cg009G325660
OG0000165	XP_013624270.1, XP_013633228.1	Cg001G034730, Cg004G147530
OG0000167	XP_013597471.1	Cg003G099980, Cg003G099950, Cg003G099970, Cg003G100000, Cg003G085600, Cg003G085540, Cg005G187960, Cg005G187970, Cg005G188000, Cg005G188050, Cg005G187980, Cg001G021130
OG0000167	XP_013591070.1	Cg001G021160
OG0000168	XP_013624671.1, XP_013613644.1	Cg001G034720
OG0000171	XP_013591469.1, XP_013598255.1, XP_013615623.1, XP_013638007.1	Cg006G222370, Cg007G270890
OG0000171	XP_013606531.1	Cg008G294880
OG0000172	XP_013627674.1	Cg002G060680, Cg002G060150
OG0000173	XP_013633246.1, XP_013594390.1, XP_013607846.1, XP_013632624.1, XP_013632688.1, XP_013632752.1, XP_013628198.1, XP_013601272.1, XP_013639569.1, XP_013589338.1	Cg003G091670
OG0000174	XP_013632966.1, XP_013639350.1, XP_013628317.1, XP_013613857.1, XP_013633174.1, XP_013614970.1, XP_013615628.1, XP_013594966.1, XP_013632040.1, XP_013639489.1, XP_013624703.1, XP_013632910.1, XP_013608335.1, XP_013632486.1, XP_013624014.1, XP_013633240.1, XP_013614762.1, XP_013633176.1, XP_013617509.1, XP_013628376.1, XP_013615485.1, XP_013617782.1, XP_013613471.1, XP_013617851.1	Cg009G325780, Cg006G205480
OG0000175	XP_013584461.1, XP_013594142.1, XP_013604425.1	Cg002G055540
OG0000175	XP_013611367.1	Cg001G005230
OG0000175	XP_013629002.1	Cg001G004130
OG0000177	XP_013624281.1, XP_013639360.1, XP_013632637.1	Cg007G253550, Cg005G182360, Cg007G250370, Cg006G214000
