Orthogroup	Brassica_oleracea	Alyssum_gmelinii
OG0000025	XP_013608214.1, XP_013597573.1, XP_013621193.1, XP_013597575.1, XP_013596721.1, XP_013608141.1, XP_013618838.1, XP_013617013.1, XP_013617012.1, XP_013617023.1, XP_013619638.1, XP_013620896.1, XP_013615558.1, XP_013619743.1, XP_013619793.1	Ag003G230310
OG0000027	XP_013592438.1	Ag007G580660
OG0000028	XP_013600972.1, XP_013600973.1, XP_013633388.1, XP_013617164.1, XP_013617163.1, XP_013601217.1, XP_013632483.1, XP_013624878.1, XP_013633078.1, XP_013632925.1, XP_013607906.1, XP_013613525.1, XP_013624131.1, XP_013615203.1, XP_013594529.1, XP_013607940.1, XP_013632897.1, XP_013589092.1, XP_013639354.1, XP_013601446.1, XP_013607781.1, XP_013614462.1, XP_013597550.1, XP_013617618.1, XP_013617349.1, XP_013589355.1, XP_013617982.1, XP_013595192.1, XP_013639568.1, XP_013639826.1, XP_013607525.1, XP_013588999.1, XP_013607550.1, XP_013608305.1, XP_013594365.1, XP_013639097.1, XP_013625078.1, XP_013608166.1, XP_013607990.1, XP_013594294.1, XP_013608053.1, XP_013624401.1, XP_013617760.1, XP_013639737.1, XP_013594720.1, XP_013614958.1, XP_013615262.1	Ag005G466640, Ag009G736690, Ag001G053260, Ag004G352900, Ag006G577790, Ag003G259760, Ag002G132790, Ag005G466920, Ag005G466830, Ag005G466750
OG0000029	XP_013632493.1	Ag006G523440, Ag006G532500, Ag004G401820
OG0000029	XP_013624554.1	Ag002G168100, Ag004G354120
OG0000029	XP_013593417.1, XP_013585256.1, XP_013625516.1, XP_013624823.1	Ag002G175390
OG0000029	XP_013613615.1, XP_013624184.1, XP_013617674.1, XP_013624641.1, XP_013594545.1	Ag005G441680, Ag006G519730
OG0000029	XP_013608320.1, XP_013617812.1, XP_013633217.1, XP_013589208.1, XP_013632998.1, XP_013624505.1, XP_013607798.1, XP_013633393.1, XP_013624245.1, XP_013639602.1	Ag002G186330, Ag006G491400
OG0000029	XP_013619135.1	Ag003G216290, Ag003G216300
OG0000030	XP_013633216.1	Ag007G611240
OG0000030	XP_013584806.1	Ag002G133450, Ag002G134890, Ag001G003750, Ag007G608580, Ag005G416870, Ag005G452160, Ag002G188880, Ag007G608590, Ag004G348700, Ag001G096020
OG0000030	XP_013589285.1	Ag004G380470
OG0000030	XP_013594894.1	Ag001G021090, Ag003G292130, Ag005G430740
OG0000030	XP_013589127.1, XP_013624490.1	Ag003G292140
OG0000031	XP_013601047.1	Ag004G316410, Ag004G316200, Ag004G317440, Ag004G317450, Ag004G315780, Ag004G316420
OG0000031	XP_013635968.1	Ag002G111150, Ag002G107580
OG0000031	XP_013606166.1, XP_013603447.1	Ag004G401670
OG0000033	XP_013603110.1, XP_013598717.1, XP_013595252.1, XP_013595253.1	Ag006G547230, Ag006G549390
OG0000033	XP_013595249.1, XP_013595246.1	Ag006G543630, Ag006G543880
OG0000033	XP_013594180.1, XP_013598071.1	Ag006G564890, Ag003G210460
OG0000033	XP_013598971.1	Ag006G548990
OG0000033	XP_013593131.1, XP_013626222.1	Ag006G547380, Ag006G549570
OG0000033	XP_013607897.1	Ag002G130680, Ag002G130760
OG0000034	XP_013589352.1	Ag002G147590, Ag004G329060
OG0000034	XP_013632842.1	Ag005G434950
OG0000034	XP_013624836.1, XP_013588806.1, XP_013615625.1, XP_013617484.1, XP_013600966.1, XP_013615775.1	Ag002G167050, Ag004G351590, Ag002G161710, Ag008G677580, Ag005G428870
OG0000034	XP_013594484.1	Ag007G644830, Ag007G637970, Ag004G364410, Ag001G055210
OG0000034	XP_013600967.1	Ag005G424470
OG0000034	XP_013611041.1	Ag004G354480
OG0000034	XP_013594785.1, XP_013638563.1	Ag002G144820, Ag004G317550, Ag002G142920, Ag003G264010, Ag001G058120, Ag005G440470, Ag005G463260, Ag002G205240
OG0000035	XP_013634025.1	Ag007G589380
OG0000035	XP_013610681.1, XP_013633508.1, XP_013633506.1, XP_013634597.1, XP_013634026.1	Ag004G307250, Ag007G591050, Ag002G132200, Ag007G593340, Ag007G591090, Ag007G591040
OG0000035	XP_013634382.1	Ag005G405240, Ag002G183820
OG0000035	XP_013589584.1, XP_013619895.1	Ag003G212430, Ag007G589940, Ag007G589950, Ag007G590070, Ag007G590080, Ag007G590100
OG0000036	XP_013639282.1	Ag004G310880
OG0000036	XP_013617146.1, XP_013639508.1, XP_013589295.1, XP_013617228.1, XP_013611257.1, XP_013589048.1, XP_013617878.1	Ag006G551100, Ag001G036210
OG0000037	XP_013617009.1	Ag001G053350
OG0000037	XP_013589183.1	Ag008G688330
OG0000037	XP_013594420.1, XP_013608456.1	Ag004G388700
OG0000038	XP_013594672.1	Ag003G226390, Ag003G216540, Ag004G301790, Ag004G301770, Ag003G211230, Ag003G211160, Ag003G211040
OG0000038	XP_013601641.1, XP_013613512.1	Ag001G056400
OG0000038	XP_013600951.1, XP_013597125.1	Ag003G279120
OG0000038	XP_013633415.1, XP_013633416.1	Ag002G200370, Ag002G200380, Ag002G200390, Ag002G200460, Ag002G200420
OG0000038	XP_013633414.1	Ag001G083350, Ag007G621230, Ag004G335820, Ag005G471060, Ag004G312700, Ag004G348120
OG0000038	XP_013583416.1, XP_013583423.1, XP_013586481.1	Ag005G474640, Ag005G474620, Ag004G393210, Ag004G388210, Ag004G388220, Ag004G388090, Ag005G471010, Ag007G610580, Ag005G471020, Ag005G471040, Ag005G471080, Ag005G474650, Ag002G141090
OG0000039	XP_013588982.1, XP_013617440.1, XP_013632928.1, XP_013589052.1	Ag004G347330, Ag007G622120
OG0000039	XP_013584965.1	Ag001G029450, Ag001G027390
OG0000040	XP_013589717.1, XP_013593712.1, XP_013589720.1, XP_013594890.1, XP_013594892.1	Ag005G468330, Ag005G409970, Ag005G409830, Ag005G409790, Ag005G470150, Ag005G469490, Ag005G470890, Ag005G470920, Ag005G470910
OG0000040	XP_013632678.1	Ag005G483190
OG0000040	XP_013614569.1, XP_013634175.1, XP_013633602.1, XP_013584822.1	Ag002G192690, Ag002G188830
OG0000040	XP_013615698.1, XP_013593493.1	Ag007G626240, Ag005G483200, Ag002G109870
OG0000040	XP_013624262.1	Ag005G441920, Ag005G467750, Ag005G452660
OG0000040	XP_013608319.1, XP_013628311.1, XP_013628312.1	Ag005G446880, Ag005G447100, Ag005G447140
OG0000042	XP_013607732.1, XP_013608326.1	Ag007G610350, Ag001G022920
OG0000044	XP_013620262.1, XP_013632482.1, XP_013611258.1, XP_013589049.1, XP_013617512.1	Ag008G702570
OG0000044	XP_013623958.1, XP_013589222.1, XP_013632674.1, XP_013639308.1	Ag006G512870, Ag001G054960
OG0000045	XP_013632408.1, XP_013632387.1	Ag005G474590, Ag005G450900, Ag005G424570
OG0000045	XP_013631555.1, XP_013632793.1, XP_013623955.1, XP_013632732.1, XP_013615610.1, XP_013628576.1, XP_013633468.1, XP_013624104.1, XP_013616791.1, XP_013633480.1, XP_013639518.1, XP_013607585.1, XP_013614124.1, XP_013639552.1	Ag002G197550, Ag008G703200
OG0000046	XP_013611234.1, XP_013611253.1, XP_013596238.1	Ag006G575430
OG0000046	XP_013607196.1	Ag007G619200, Ag007G619210
OG0000046	XP_013632687.1	Ag002G197360
OG0000046	XP_013613580.1	Ag002G129690, Ag002G129740
OG0000046	XP_013617106.1	Ag002G129710
OG0000047	XP_013624947.1	Ag005G457670
OG0000047	XP_013632721.1	Ag003G283670
OG0000047	XP_013628824.1	Ag001G046570
OG0000048	XP_013595132.1	Ag005G486480
OG0000049	XP_013591364.1, XP_013639502.1, XP_013626063.1	Ag003G236810
OG0000050	XP_013639544.1	Ag007G641850
OG0000050	XP_013608129.1, XP_013614135.1, XP_013589201.1, XP_013616946.1, XP_013628127.1	Ag002G123120, Ag004G303450, Ag008G721720, Ag004G400620, Ag002G193630
OG0000050	XP_013633305.1	Ag001G062310
OG0000050	XP_013594854.1, XP_013639490.1, XP_013608122.1, XP_013617126.1, XP_013607791.1, XP_013631291.1, XP_013589554.1, XP_013607856.1, XP_013613729.1, XP_013614159.1, XP_013614157.1	Ag007G656820, Ag001G040590, Ag001G089640, Ag008G665420
OG0000050	XP_013607943.1	Ag006G561100
OG0000052	XP_013609148.1, XP_013623987.1, XP_013601904.1	Ag004G301370, Ag004G301320
OG0000052	XP_013635946.1, XP_013623985.1	Ag002G195160, Ag002G194240, Ag002G194190
OG0000052	XP_013610546.1	Ag002G194410, Ag002G194400, Ag002G194390
OG0000053	XP_013597073.1, XP_013627758.1, XP_013610732.1	Ag003G279130
OG0000054	XP_013595519.1, XP_013611049.1, XP_013601286.1, XP_013624334.1, XP_013639439.1, XP_013614791.1, XP_013632822.1, XP_013594394.1, XP_013616991.1, XP_013633023.1, XP_013624734.1, XP_013607784.1, XP_013615049.1, XP_013583362.1, XP_013601872.1, XP_013617699.1, XP_013624222.1, XP_013617275.1, XP_013630519.1, XP_013594611.1	Ag007G634740, Ag006G513370
OG0000055	XP_013615259.1, XP_013588767.1, XP_013611134.1	Ag004G334400, Ag004G379910
OG0000055	XP_013607317.1	Ag004G377140
OG0000055	XP_013631517.1, XP_013616526.1	Ag002G180760, Ag003G281400, Ag003G282390
OG0000056	XP_013632615.1	Ag003G260670, Ag001G057120, Ag001G056190, Ag002G182200, Ag002G173290, Ag004G362510, Ag004G358070, Ag006G495710, Ag008G686470, Ag003G254900, Ag003G270180, Ag001G008210, Ag006G553330
OG0000056	XP_013639732.1, XP_013626954.1, XP_013638947.1, XP_013617766.1, XP_013627136.1, XP_013632954.1, XP_013629486.1, XP_013601558.1, XP_013607606.1, XP_013607741.1, XP_013633059.1, XP_013632733.1, XP_013623893.1, XP_013617628.1, XP_013607578.1, XP_013589124.1	Ag001G076880, Ag002G181330, Ag008G680730
OG0000056	XP_013608083.1, XP_013608184.1, XP_013614874.1, XP_013596572.1	Ag002G121000, Ag006G542770
OG0000057	XP_013614020.1	Ag005G459490
OG0000057	XP_013606594.1, XP_013593729.1	Ag003G289060
OG0000058	XP_013613937.1	Ag004G388900
OG0000058	XP_013595062.1, XP_013614222.1, XP_013594879.1, XP_013601570.1, XP_013616885.1, XP_013624858.1, XP_013624811.1	Ag004G332280, Ag001G061500, Ag003G293700, Ag008G700500, Ag005G463800, Ag004G321970, Ag001G027690, Ag007G619950, Ag004G386790
OG0000058	XP_013624813.1	Ag006G508740, Ag007G614810, Ag005G435910, Ag002G139460, Ag001G013190
OG0000058	XP_013617130.1, XP_013633275.1, XP_013607553.1, XP_013615054.1, XP_013639112.1, XP_013608470.1, XP_013624461.1, XP_013589499.1, XP_013615086.1, XP_013588991.1, XP_013624860.1, XP_013594936.1, XP_013617208.1, XP_013624311.1, XP_013627137.1, XP_013633665.1, XP_013601380.1	Ag006G516660
OG0000058	XP_013632813.1, XP_013624123.1, XP_013607678.1	Ag003G229160
OG0000059	XP_013583424.1, XP_013627293.1, XP_013639645.1, XP_013616902.1	Ag004G391520
OG0000059	XP_013632789.1, XP_013623805.1, XP_013624054.1, XP_013639497.1, XP_013601566.1, XP_013617595.1, XP_013617494.1, XP_013594697.1, XP_013624636.1, XP_013614100.1	Ag004G350080, Ag005G474580, Ag006G490820, Ag002G134210
OG0000059	XP_013617405.1	Ag002G103440, Ag002G122810
OG0000059	XP_013617138.1, XP_013607918.1	Ag006G522950
OG0000061	XP_013628529.1	Ag007G618360, Ag004G337800, Ag001G100570, Ag002G180780, Ag004G339650
OG0000061	XP_013585220.1, XP_013616683.1, XP_013635812.1	Ag003G281740, Ag004G369480, Ag007G641000, Ag005G463130, Ag003G220980, Ag002G137260, Ag006G514860, Ag004G329090, Ag006G566820, Ag002G142080, Ag006G573690, Ag006G525790, Ag006G562400, Ag003G279160, Ag007G603910, Ag001G084230, Ag008G700010, Ag004G317040, Ag003G230430, Ag001G038510, Ag002G170370, Ag001G089330, Ag005G461020, Ag003G283680, Ag002G182710, Ag007G637720
OG0000064	XP_013598018.1	Ag003G295980
OG0000065	XP_013617482.1, XP_013617341.1	Ag009G735570
OG0000066	XP_013587978.1, XP_013612488.1, XP_013607869.1, XP_013612748.1, XP_013629194.1	Ag003G225470
OG0000066	XP_013599938.1, XP_013618388.1, XP_013621521.1, XP_013606481.1, XP_013631332.1, XP_013627996.1, XP_013637372.1, XP_013609086.1	Ag002G125900
OG0000067	XP_013623793.1, XP_013626885.1, XP_013606907.1, XP_013611652.1, XP_013610551.1	Ag003G291740, Ag003G293500, Ag005G466230, Ag003G291820, Ag005G407040, Ag005G407080, Ag005G407050
OG0000067	XP_013623517.1, XP_013623813.1, XP_013627886.1, XP_013602672.1, XP_013629845.1, XP_013626915.1, XP_013623762.1	Ag003G227540
OG0000068	XP_013610013.1, XP_013609967.1, XP_013608076.1, XP_013591294.1, XP_013589634.1	Ag006G534800
OG0000069	XP_013624269.1, XP_013632609.1	Ag003G208920
OG0000069	XP_013624740.1	Ag003G258860
OG0000069	XP_013624080.1, XP_013623944.1, XP_013617425.1, XP_013633239.1	Ag002G200250
OG0000070	XP_013639541.1, XP_013589195.1, XP_013601237.1, XP_013588937.1, XP_013615067.1	Ag007G655750
OG0000071	XP_013601126.1, XP_013601850.1, XP_013614231.1	Ag006G563870, Ag005G485090, Ag002G107730, Ag002G139550, Ag005G451770, Ag005G451710
OG0000071	XP_013617293.1, XP_013607816.1	Ag003G234950, Ag003G217580
OG0000071	XP_013639159.1, XP_013584692.1, XP_013638696.1, XP_013632067.1, XP_013627752.1, XP_013607453.1, XP_013639189.1, XP_013639293.1, XP_013607538.1, XP_013623464.1	Ag004G328070, Ag006G558850, Ag008G714970, Ag005G471910, Ag002G114540, Ag064G744880, Ag001G015270, Ag002G107710, Ag002G178100, Ag008G660740, Ag004G389850, Ag002G173990, Ag001G029400
OG0000072	XP_013607861.1, XP_013583419.1, XP_013639649.1, XP_013594521.1, XP_013633807.1, XP_013594821.1, XP_013615002.1, XP_013595200.1, XP_013597172.1	Ag005G487550, Ag005G428140, Ag004G338760, Ag004G343840, Ag004G379550, Ag010G739530, Ag004G328310, Ag004G366340, Ag002G206610, Ag001G061570, Ag005G425640, Ag004G328300, Ag007G617420, Ag004G389340, Ag004G394320
OG0000073	XP_013599363.1, XP_013616640.1, XP_013620201.1	Ag003G212540
OG0000073	XP_013624330.1	Ag002G118960, Ag002G118950
OG0000073	XP_013606145.1	Ag002G138580, Ag002G137520
OG0000073	XP_013619061.1, XP_013611210.1	Ag002G117280
OG0000074	XP_013596256.1	Ag003G273880, Ag003G236930, Ag003G236940
OG0000074	XP_013600045.1	Ag003G242350, Ag003G242390
OG0000074	XP_013600539.1, XP_013600042.1, XP_013600043.1, XP_013600044.1, XP_013600879.1, XP_013610363.1	Ag006G500560
OG0000074	XP_013596253.1, XP_013596633.1	Ag004G378820
OG0000074	XP_013586913.1	Ag006G514000
OG0000075	XP_013584290.1	Ag006G502200, Ag006G502100, Ag006G501950, Ag006G502230, Ag006G501990, Ag006G502110, Ag006G502180, Ag007G604630, Ag007G604580, Ag007G604560, Ag007G604640
OG0000075	XP_013611358.1, XP_013615461.1	Ag006G510790
OG0000075	XP_013615023.1	Ag007G599000, Ag007G598990, Ag003G269710
OG0000075	XP_013594256.1	Ag004G319650, Ag004G319660, Ag004G320140, Ag004G319070, Ag004G319080, Ag004G320150, Ag003G276440, Ag004G320110, Ag002G111120, Ag002G107550, Ag001G078420
OG0000075	XP_013597375.1	Ag002G191710, Ag002G191700, Ag002G191680
OG0000076	XP_013610604.1	Ag008G717410, Ag008G717440, Ag008G717430, Ag008G717330, Ag008G717300
OG0000076	XP_013599445.1, XP_013594267.1, XP_013594927.1	Ag001G002030
OG0000077	XP_013602439.1	Ag001G010260, Ag001G010280, Ag001G010290, Ag004G315120
OG0000077	XP_013602527.1, XP_013622394.1, XP_013618964.1, XP_013596173.1	Ag003G222960, Ag003G281310, Ag003G281290, Ag003G281350, Ag003G281360, Ag003G281330, Ag003G281340, Ag003G281320, Ag003G281370, Ag003G281300
OG0000077	XP_013596175.1	Ag002G148310
OG0000079	XP_013622466.1, XP_013604174.1, XP_013634926.1	Ag006G550580, Ag003G233720
OG0000079	XP_013604629.1	Ag001G071340
OG0000079	XP_013614702.1, XP_013614700.1	Ag001G089510, Ag001G089390, Ag001G071210, Ag001G071240, Ag001G089380, Ag001G089370
OG0000080	XP_013600421.1	Ag001G020610
OG0000080	XP_013615702.1	Ag001G028300
OG0000080	XP_013637545.1	Ag007G610550, Ag007G610520
OG0000080	XP_013633314.1	Ag007G593170, Ag007G596330, Ag007G593310, Ag007G593270, Ag007G593210
OG0000081	XP_013624720.1	Ag007G593730
OG0000081	XP_013627255.1, XP_013615338.1	Ag005G451860, Ag005G452050
OG0000082	XP_013608417.1	Ag004G385590
OG0000082	XP_013639258.1	Ag004G351970
OG0000082	XP_013617421.1, XP_013594652.1, XP_013617490.1, XP_013607528.1, XP_013622886.1	Ag007G632630, Ag005G475310
OG0000082	XP_013594607.1	Ag005G428520
OG0000082	XP_013594797.1	Ag004G340020
OG0000083	XP_013627621.1	Ag005G483940, Ag005G483970, Ag005G483980
OG0000083	XP_013639459.1	Ag005G483950, Ag005G483960
OG0000083	XP_013626417.1	Ag005G485040, Ag005G485120, Ag005G485110, Ag005G485150, Ag005G485130, Ag005G485070
OG0000084	XP_013631674.1	Ag002G128280, Ag002G119860, Ag006G542390, Ag002G119500, Ag002G176420, Ag002G119390, Ag002G119370, Ag002G119740, Ag002G119780, Ag002G119750, Ag002G119670, Ag002G119890, Ag002G119900, Ag002G119710, Ag002G111650, Ag004G391010, Ag002G111880, Ag002G108390
OG0000086	XP_013589571.1, XP_013610622.1, XP_013610543.1, XP_013610576.1, XP_013610675.1, XP_013610335.1, XP_013607248.1, XP_013607956.1, XP_013607251.1, XP_013607249.1, XP_013610623.1, XP_013607250.1, XP_013610669.1	Ag008G709530
OG0000087	XP_013598457.1	Ag008G723440
OG0000087	XP_013637001.1, XP_013636732.1	Ag007G593840
OG0000087	XP_013611442.1	Ag007G609260
OG0000087	XP_013636563.1	Ag002G161340
OG0000087	XP_013612217.1, XP_013620476.1, XP_013598244.1	Ag002G127940
OG0000087	XP_013598013.1, XP_013621920.1, XP_013598364.1	Ag006G562620
OG0000087	XP_013592047.1	Ag003G224140
OG0000088	XP_013629613.1, XP_013613460.1, XP_013612884.1, XP_013626980.1, XP_013626981.1, XP_013626984.1, XP_013610320.1, XP_013626983.1, XP_013626986.1, XP_013630073.1	Ag007G581970
OG0000088	XP_013629254.1	Ag005G450330, Ag005G450360
OG0000088	XP_013627653.1, XP_013607358.1	Ag008G717820
OG0000089	XP_013629368.1, XP_013611822.1, XP_013620685.1	Ag007G603320
OG0000089	XP_013591456.1	Ag006G540580
OG0000089	XP_013629201.1	Ag001G021310
OG0000089	XP_013587485.1	Ag005G471710
OG0000089	XP_013616445.1, XP_013621124.1, XP_013623319.1, XP_013623141.1, XP_013607279.1, XP_013622031.1	Ag008G712440, Ag008G708620
OG0000090	XP_013628560.1	Ag004G333760
OG0000090	XP_013591920.1, XP_013588434.1, XP_013616229.1	Ag003G223190
OG0000090	XP_013590802.1, XP_013590715.1	Ag001G023950, Ag001G024020, Ag001G023830, Ag001G020200, Ag001G020270, Ag001G020040, Ag001G021760, Ag001G021770, Ag001G024010, Ag001G023940
OG0000090	XP_013610618.1	Ag002G185460
OG0000093	XP_013632132.1, XP_013632130.1, XP_013591322.1	Ag001G087540
OG0000093	XP_013589366.1	Ag001G087060, Ag020G743300
OG0000093	XP_013615611.1, XP_013589367.1, XP_013589365.1	Ag001G087470
OG0000093	XP_013588854.1	Ag001G083700, Ag001G087310
OG0000093	XP_013609262.1	Ag001G086770, Ag001G086780, Ag001G086760, Ag001G086540, Ag001G086510, Ag001G086700, Ag001G086880, Ag001G086860, Ag001G086840
OG0000096	XP_013594901.1	Ag001G024200, Ag001G016650, Ag005G460360
OG0000096	XP_013613462.1	Ag002G102560
OG0000096	XP_013623925.1, XP_013617650.1	Ag006G559170
OG0000096	XP_013586946.1	Ag004G310490
OG0000097	XP_013599827.1, XP_013584794.1	Ag002G129480
OG0000097	XP_013619912.1	Ag002G129120, Ag002G130340, Ag002G130310, Ag002G129030
OG0000097	XP_013631333.1	Ag002G128810, Ag002G129430, Ag002G129130, Ag002G129340
OG0000098	XP_013638907.1	Ag004G315550
OG0000098	XP_013600631.1	Ag006G506280, Ag004G316800, Ag004G315620
OG0000099	XP_013624375.1	Ag004G395880
OG0000099	XP_013610227.1, XP_013610529.1	Ag004G398340, Ag004G398430, Ag004G391240, Ag004G395750
OG0000100	XP_013607800.1	Ag004G376980, Ag002G156660
OG0000100	XP_013607749.1	Ag002G169920, Ag007G628580
OG0000101	XP_013608606.1, XP_013613878.1	Ag004G389930, Ag004G393600, Ag004G388590, Ag004G390060
OG0000101	XP_013611226.1, XP_013611228.1, XP_013608605.1	Ag004G394110
OG0000102	XP_013594553.1	Ag008G662610
OG0000102	XP_013624680.1, XP_013639776.1, XP_013612628.1, XP_013589440.1	Ag004G328280
OG0000104	XP_013605923.1	Ag004G307220
OG0000104	XP_013590329.1	Ag001G010320
OG0000104	XP_013625710.1	Ag005G441940
OG0000107	XP_013635068.1, XP_013624257.1	Ag005G446760
OG0000107	XP_013602900.1	Ag003G213880
