Orthogroup	Brassica_oleracea	Odontarrhena_muralis
OG0000004	XP_013617255.1, XP_013624915.1, XP_013595166.1, XP_013617747.1, XP_013583433.1, XP_013608467.1, XP_013633135.1, XP_013633487.1, XP_013639278.1, XP_013608309.1, XP_013633016.1, XP_013607729.1, XP_013607977.1, XP_013589266.1, XP_013629442.1, XP_013589255.1, XP_013608111.1, XP_013594674.1, XP_013594666.1, XP_013594588.1, XP_013608239.1, XP_013601232.1, XP_013617485.1, XP_013624981.1, XP_013632943.1, XP_013589029.1, XP_013628140.1, XP_013614584.1, XP_013594791.1, XP_013639579.1, XP_013594673.1, XP_013632803.1, XP_013639401.1, XP_013607959.1, XP_013624943.1, XP_013624834.1	Om004G159780
OG0000005	XP_013633213.1	Om001G005070
OG0000005	XP_013616789.1, XP_013607654.1	Om007G300980, Om001G001060, Om006G273080
OG0000005	XP_013617979.1	Om005G208940
OG0000005	XP_013589709.1	Om006G275350
OG0000005	XP_013614431.1	Om007G300990, Om008G339980
OG0000005	XP_013594815.1, XP_013613616.1	Om007G299590
OG0000005	XP_013615193.1, XP_013624812.1, XP_013617492.1	Om005G225270, Om004G159630, Om007G288000, Om007G313780, Om003G127510
OG0000005	XP_013624887.1, XP_013608346.1, XP_013583336.1, XP_013624321.1, XP_013601519.1, XP_013616941.1, XP_013639093.1, XP_013589256.1, XP_013583274.1	Om002G076060
OG0000005	XP_013594364.1, XP_013633351.1	Om004G151870, Om002G089170, Om004G141530
OG0000007	XP_013616974.1	Om004G138310, Om002G075780, Om007G295140, Om006G263650, Om006G268070, Om002G088480, Om002G062480
OG0000007	XP_013594922.1	Om006G268350
OG0000007	XP_013624723.1, XP_013632833.1, XP_013594838.1, XP_013639528.1, XP_013617764.1, XP_013628112.1, XP_013639285.1, XP_013617205.1, XP_013607556.1, XP_013594455.1, XP_013608296.1, XP_013595003.1, XP_013623967.1, XP_013594889.1, XP_013594406.1, XP_013601638.1	Om007G297600
OG0000007	XP_013600971.1	Om008G348570, Om007G299940, Om006G268360, Om002G076040
OG0000007	XP_013615253.1	Om007G308670, Om005G224350, Om003G091350
OG0000007	XP_013631219.1	Om006G248820, Om006G248770
OG0000008	XP_013639786.1	Om007G307170
OG0000008	XP_013639785.1, XP_013624621.1, XP_013601568.1, XP_013594960.1	Om009G364060
OG0000008	XP_013608259.1, XP_013614821.1, XP_013584735.1, XP_013639639.1	Om007G284450, Om008G361640, Om007G313430
OG0000008	XP_013594437.1, XP_013615258.1, XP_013615301.1	Om009G364160, Om009G364180
OG0000008	XP_013639167.1, XP_013633438.1, XP_013594703.1, XP_013639704.1, XP_013583429.1, XP_013612199.1, XP_013594705.1, XP_013615146.1	Om001G012780, Om004G176570, Om001G012870, Om001G012790, Om002G085300, Om002G081720, Om001G023520, Om006G274880
OG0000010	XP_013613442.1, XP_013608075.1	Om008G341420
OG0000010	XP_013614685.1, XP_013594427.1	Om003G108840
OG0000010	XP_013624744.1	Om002G089070
OG0000011	XP_013632980.1, XP_013632658.1, XP_013601976.1, XP_013615145.1, XP_013639263.1, XP_013623879.1, XP_013617543.1, XP_013614955.1, XP_013607737.1	Om005G184900
OG0000012	XP_013617060.1	Om004G146180
OG0000012	XP_013624598.1	Om008G343540
OG0000013	XP_013624890.1, XP_013614189.1	Om002G088760, Om001G031100, Om003G113450, Om006G258780
OG0000013	XP_013617899.1, XP_013607980.1, XP_013632794.1, XP_013601234.1, XP_013614771.1, XP_013601158.1, XP_013617635.1, XP_013639688.1, XP_013589021.1, XP_013601393.1, XP_013594422.1, XP_013624521.1, XP_013624704.1, XP_013601173.1, XP_013617542.1, XP_013601236.1, XP_013607981.1, XP_013608045.1, XP_013589309.1, XP_013589158.1, XP_013607890.1, XP_013588879.1, XP_013632947.1, XP_013608133.1, XP_013626749.1, XP_013617567.1, XP_013594663.1, XP_013617570.1, XP_013632726.1, XP_013624548.1, XP_013624518.1, XP_013617541.1, XP_013594840.1, XP_013607976.1, XP_013617554.1, XP_013624555.1, XP_013624648.1	Om002G089030
OG0000013	XP_013632810.1, XP_013617907.1, XP_013613388.1	Om003G108850, Om006G268640
OG0000014	XP_013601549.1	Om004G169570
OG0000014	XP_013633013.1, XP_013623877.1, XP_013615619.1	Om007G309000
OG0000014	XP_013601583.1	Om008G343710
OG0000014	XP_013617684.1	Om005G227750
OG0000015	XP_013614071.1	Om008G350280
OG0000015	XP_013594602.1	Om003G098660
OG0000015	XP_013639615.1, XP_013607754.1, XP_013632959.1, XP_013639368.1, XP_013608444.1, XP_013594858.1	Om003G105790, Om004G154560
OG0000015	XP_013632449.1	Om006G270800
OG0000017	XP_013632836.1, XP_013585421.1	Om003G101880, Om004G153720
OG0000018	XP_013608094.1, XP_013632801.1, XP_013599600.1, XP_013583415.1, XP_013639394.1, XP_013624628.1, XP_013601657.1, XP_013615573.1, XP_013608056.1, XP_013589650.1, XP_013633047.1, XP_013594522.1, XP_013608090.1, XP_013608306.1, XP_013613761.1, XP_013608093.1, XP_013624295.1, XP_013615260.1, XP_013639781.1, XP_013624942.1, XP_013635359.1, XP_013632716.1, XP_013625589.1, XP_013624309.1, XP_013583343.1, XP_013617328.1, XP_013633276.1, XP_013633321.1, XP_013632330.1, XP_013632740.1, XP_013631302.1, XP_013594507.1, XP_013624087.1, XP_013594600.1, XP_013624037.1, XP_013616795.1, XP_013607721.1, XP_013639694.1, XP_013616959.1, XP_013592110.1, XP_013595678.1, XP_013589433.1	Om008G335480, Om007G284460, Om008G361630
OG0000020	XP_013638158.1	Om007G308530, Om007G308500
OG0000020	XP_013594377.1, XP_013608349.1, XP_013624599.1, XP_013624292.1	Om008G361920
OG0000021	XP_013616875.1, XP_013594483.1, XP_013632484.1, XP_013595187.1, XP_013589405.1	Om005G226540, Om001G020790
OG0000021	XP_013607730.1, XP_013595127.1	Om001G038730
OG0000021	XP_013589254.1, XP_013601688.1	Om005G225300
OG0000021	XP_013624393.1, XP_013617068.1, XP_013624738.1, XP_013589283.1, XP_013608037.1, XP_013624679.1, XP_013589306.1, XP_013639486.1, XP_013624949.1, XP_013617230.1, XP_013601547.1, XP_013588986.1, XP_013595068.1, XP_013608302.1, XP_013617855.1, XP_013589622.1, XP_013608127.1, XP_013589269.1, XP_013608157.1, XP_013639673.1, XP_013595077.1	Om001G020780, Om001G006810, Om002G059070
OG0000023	XP_013598807.1	Om001G010400
OG0000023	XP_013634493.1, XP_013626010.1, XP_013631155.1, XP_013595250.1, XP_013626677.1	Om001G010360, Om001G009290
OG0000023	XP_013608654.1	Om008G351580
OG0000023	XP_013617506.1	Om008G351620, Om008G351630
OG0000023	XP_013595103.1	Om001G010350
OG0000023	XP_013623158.1, XP_013599965.1, XP_013599945.1, XP_013588839.1, XP_013595104.1	Om001G010250
OG0000024	XP_013632467.1	Om008G342080, Om001G017150
OG0000024	XP_013639775.1	Om001G030080, Om007G305000
OG0000027	XP_013592438.1	Om005G224020
OG0000028	XP_013639720.1	Om001G022770, Om007G314890
OG0000028	XP_013600972.1, XP_013600973.1, XP_013633388.1, XP_013617164.1, XP_013617163.1, XP_013601217.1, XP_013632483.1, XP_013624878.1, XP_013633078.1, XP_013632925.1, XP_013607906.1, XP_013613525.1, XP_013624131.1, XP_013615203.1	Om003G104120
OG0000028	XP_013639354.1, XP_013601446.1, XP_013607781.1, XP_013614462.1	Om007G318240
OG0000029	XP_013632493.1	Om008G343780
OG0000029	XP_013624554.1	Om005G216790
OG0000029	XP_013585256.1, XP_013625516.1, XP_013624823.1	Om005G225700, Om001G013080
OG0000029	XP_013624184.1	Om001G020560, Om002G078670, Om007G309080, Om007G298320
OG0000029	XP_013633217.1	Om006G262550, Om004G151510
OG0000030	XP_013639621.1	Om004G153710
OG0000030	XP_013633216.1	Om011G364950, Om004G165220
OG0000030	XP_013632400.1	Om001G038800, Om006G253510, Om004G148440, Om006G271430, Om006G263330
OG0000030	XP_013589285.1	Om004G165210
OG0000030	XP_013632940.1	Om008G355010
OG0000030	XP_013594894.1, XP_013589127.1, XP_013624490.1	Om005G226380
OG0000031	XP_013601047.1	Om005G191840, Om005G192090, Om005G192080, Om005G192190, Om005G191850
OG0000031	XP_013611057.1	Om006G252510
OG0000031	XP_013635968.1	Om007G317990
OG0000031	XP_013609571.1	Om002G063040
OG0000031	XP_013590021.1	Om001G018890
OG0000032	XP_013613572.1, XP_013624575.1	Om008G348910
OG0000032	XP_013639711.1, XP_013624577.1, XP_013601163.1, XP_013624607.1, XP_013594469.1, XP_013594345.1, XP_013594494.1, XP_013632837.1	Om008G348890
OG0000033	XP_013603110.1, XP_013598717.1, XP_013595252.1, XP_013595253.1	Om001G010240
OG0000033	XP_013595249.1, XP_013595246.1	Om001G011550
OG0000033	XP_013594180.1, XP_013598071.1	Om001G007120
OG0000033	XP_013593131.1, XP_013626222.1	Om001G010110
OG0000034	XP_013589352.1	Om003G107450
OG0000034	XP_013632842.1	Om008G350440, Om004G148920
OG0000034	XP_013624836.1, XP_013588806.1, XP_013615625.1, XP_013617484.1, XP_013600966.1, XP_013615775.1	Om003G111610
OG0000034	XP_013594484.1	Om007G308590, Om008G343530
OG0000034	XP_013589341.1, XP_013617400.1	Om006G267380
OG0000034	XP_013611041.1	Om008G349540
OG0000034	XP_013601011.1, XP_013594785.1, XP_013638563.1	Om002G079430
OG0000034	XP_013624560.1	Om002G074540, Om005G222580, Om009G363250, Om008G344620
OG0000035	XP_013610681.1, XP_013633508.1, XP_013633506.1, XP_013634597.1, XP_013634026.1	Om007G280400, Om005G227290, Om004G176320, Om007G280390
OG0000035	XP_013635393.1, XP_013635413.1, XP_013635714.1, XP_013585248.1, XP_013632139.1, XP_013635377.1, XP_013635430.1, XP_013635523.1, XP_013635414.1, XP_013635604.1, XP_013633670.1, XP_013634956.1	Om006G273920, Om002G042810
OG0000035	XP_013634382.1	Om007G280220, Om007G279280, Om006G269650, Om008G331040
OG0000035	XP_013589584.1, XP_013619895.1	Om004G132400, Om008G334460, Om007G279790
OG0000036	XP_013617146.1, XP_013639508.1, XP_013589295.1, XP_013617228.1, XP_013611257.1, XP_013589048.1, XP_013617878.1	Om007G312960
OG0000037	XP_013633425.1, XP_013595002.1	Om001G018180
OG0000037	XP_013608021.1, XP_013632693.1, XP_013601587.1, XP_013588964.1, XP_013633223.1	Om005G188070
OG0000037	XP_013617872.1	Om003G121840
OG0000037	XP_013617009.1	Om001G014920, Om002G074010
OG0000037	XP_013589183.1, XP_013607807.1, XP_013633424.1, XP_013594357.1, XP_013589081.1, XP_013628097.1	Om006G267090
OG0000038	XP_013594672.1	Om005G196570, Om004G131590
OG0000038	XP_013601641.1, XP_013613512.1	Om006G262290
OG0000038	XP_013600951.1, XP_013597125.1	Om001G029210
OG0000038	XP_013633414.1	Om001G023300
OG0000038	XP_013583416.1, XP_013583423.1, XP_013586481.1	Om002G053860, Om001G005520
OG0000039	XP_013588982.1, XP_013617440.1, XP_013632928.1, XP_013589052.1	Om008G321840
OG0000039	XP_013615357.1, XP_013639437.1, XP_013625681.1, XP_013633131.1, XP_013624284.1, XP_013596733.1, XP_013591286.1, XP_013611275.1, XP_013627215.1, XP_013589591.1, XP_013607289.1, XP_013635064.1, XP_013611304.1, XP_013607787.1, XP_013608500.1, XP_013633219.1, XP_013639420.1, XP_013624304.1, XP_013601560.1, XP_013624108.1, XP_013594954.1, XP_013624396.1, XP_013614255.1, XP_013583248.1, XP_013632923.1, XP_013631875.1, XP_013583322.1, XP_013594549.1, XP_013624977.1, XP_013594884.1, XP_013594744.1, XP_013631314.1, XP_013624408.1, XP_013583288.1, XP_013583348.1, XP_013632584.1, XP_013632419.1, XP_013631887.1, XP_013601137.1, XP_013608143.1, XP_013589206.1, XP_013607999.1	Om006G250590, Om002G057780
OG0000040	XP_013589717.1, XP_013593712.1, XP_013589720.1, XP_013594890.1, XP_013594892.1	Om002G084710, Om002G084780, Om002G084740, Om002G084670
OG0000040	XP_013615698.1, XP_013593493.1	Om007G309130
OG0000040	XP_013615042.1	Om002G067320, Om008G332860
OG0000042	XP_013607732.1, XP_013608326.1	Om007G298450
OG0000042	XP_013617799.1	Om004G177160
OG0000043	XP_013607944.1	Om007G304750
OG0000043	XP_013614489.1	Om002G089060
OG0000044	XP_013623958.1, XP_013589222.1, XP_013632674.1, XP_013639308.1	Om007G314900, Om007G312940, Om006G264420, Om002G069520, Om005G221680, Om005G221660
OG0000045	XP_013632408.1, XP_013632387.1	Om003G112290
OG0000045	XP_013631555.1, XP_013632793.1, XP_013623955.1, XP_013632732.1, XP_013615610.1, XP_013628576.1, XP_013633468.1, XP_013624104.1, XP_013616791.1, XP_013633480.1, XP_013639518.1, XP_013607585.1, XP_013614124.1, XP_013639552.1	Om001G031280
OG0000046	XP_013635767.1	Om006G241220
OG0000046	XP_013611234.1, XP_013611253.1	Om001G001860
OG0000046	XP_013596238.1	Om001G001870
OG0000046	XP_013635840.1, XP_013620632.1	Om006G253990
OG0000046	XP_013613580.1	Om005G206750
OG0000046	XP_013615935.1	Om005G213160
OG0000047	XP_013625005.1	Om006G268590, Om001G028180
OG0000047	XP_013624947.1	Om002G077780
OG0000047	XP_013639226.1	Om005G225040
OG0000047	XP_013628824.1	Om003G111370
OG0000047	XP_013632725.1	Om007G295670, Om002G084660, Om008G332290, Om006G263590
OG0000048	XP_013595132.1	Om002G045400
OG0000048	XP_013621464.1, XP_013616580.1, XP_013608597.1, XP_013608598.1, XP_013609522.1	Om007G296190, Om007G296250
OG0000048	XP_013621005.1, XP_013626189.1, XP_013618244.1, XP_013621004.1, XP_013621006.1, XP_013621465.1	Om007G296260
OG0000049	XP_013632342.1, XP_013617666.1	Om002G080850
OG0000050	XP_013639544.1	Om007G308990
OG0000050	XP_013633305.1	Om002G080890, Om003G112360
OG0000050	XP_013594854.1, XP_013639490.1, XP_013608122.1, XP_013617126.1, XP_013607791.1, XP_013631291.1, XP_013589554.1, XP_013607856.1, XP_013613729.1, XP_013614159.1, XP_013614157.1	Om008G323460, Om006G268120
OG0000050	XP_013607943.1	Om002G077490
OG0000050	XP_013589102.1, XP_013616821.1	Om006G268560, Om006G266210, Om002G080140
OG0000052	XP_013609148.1, XP_013623987.1, XP_013601904.1	Om005G179650, Om008G361390, Om005G180640
OG0000052	XP_013632325.1, XP_013632324.1, XP_013632327.1	Om008G326540
OG0000054	XP_013595519.1, XP_013611049.1, XP_013601286.1, XP_013624334.1, XP_013639439.1, XP_013614791.1, XP_013632822.1, XP_013594394.1, XP_013616991.1, XP_013633023.1, XP_013624734.1, XP_013607784.1, XP_013615049.1, XP_013583362.1, XP_013601872.1, XP_013617699.1, XP_013624222.1, XP_013617275.1, XP_013630519.1, XP_013594611.1	Om002G043200, Om007G279110, Om006G263890
OG0000055	XP_013615259.1, XP_013588767.1, XP_013611134.1	Om005G202820, Om005G227820, Om005G224840
OG0000055	XP_013634799.1	Om005G224080
OG0000055	XP_013607317.1	Om008G333680
OG0000055	XP_013631517.1, XP_013616526.1	Om008G361740, Om008G332920, Om003G120530, Om005G198120
OG0000056	XP_013632615.1	Om007G293600, Om007G317020, Om002G062780, Om004G164880, Om007G309970
OG0000056	XP_013639732.1, XP_013626954.1, XP_013638947.1, XP_013617766.1, XP_013627136.1, XP_013632954.1, XP_013629486.1, XP_013601558.1, XP_013607606.1, XP_013607741.1, XP_013633059.1, XP_013632733.1, XP_013623893.1, XP_013617628.1, XP_013607578.1, XP_013589124.1	Om008G340700, Om005G220800, Om001G027140
OG0000056	XP_013614874.1, XP_013596572.1	Om005G209160, Om002G073230, Om001G006930, Om005G212260
OG0000058	XP_013595062.1, XP_013614222.1, XP_013594879.1, XP_013601570.1, XP_013616885.1, XP_013624858.1, XP_013624811.1	Om007G299580, Om006G274770, Om007G313880, Om002G087980, Om002G068450, Om005G190360, Om005G223220, Om005G204610, Om007G304500, Om003G125380, Om008G357860, Om004G129440, Om001G015300, Om002G087130, Om002G075560, Om002G076070, Om003G097800, Om001G033280, Om005G201820, Om002G084100, Om001G039990, Om002G084960, Om008G357700, Om003G090300, Om006G269060, Om006G268940, Om004G141540
OG0000058	XP_013624813.1	Om006G251390, Om004G159610, Om008G340000, Om005G225280, Om006G268750, Om004G160530
OG0000058	XP_013617130.1, XP_013633275.1, XP_013607553.1, XP_013615054.1, XP_013639112.1, XP_013608470.1, XP_013624461.1, XP_013589499.1, XP_013615086.1, XP_013588991.1, XP_013624860.1, XP_013594936.1, XP_013617208.1, XP_013624311.1, XP_013627137.1, XP_013633665.1, XP_013601380.1	Om008G335110, Om007G318000, Om007G289630, Om007G296230
OG0000058	XP_013632813.1, XP_013624123.1	Om002G075570
OG0000059	XP_013632789.1, XP_013623805.1, XP_013624054.1, XP_013639497.1, XP_013601566.1, XP_013617595.1, XP_013617494.1, XP_013594697.1, XP_013624636.1, XP_013614100.1	Om003G092270, Om002G088980
OG0000061	XP_013628529.1	Om003G100910, Om006G238480
OG0000061	XP_013607674.1	Om006G263600
OG0000061	XP_013585220.1, XP_013616683.1, XP_013635812.1	Om005G223660, Om006G249810, Om002G076700, Om003G106600, Om008G345470, Om008G347220, Om006G268200, Om007G301100, Om002G047100, Om002G043890, Om005G177780, Om008G328920, Om003G114550, Om005G191460, Om007G312950, Om003G111810, Om008G353280, Om006G242410, Om001G020570, Om005G225030, Om004G146510, Om001G027660
OG0000062	XP_013591442.1, XP_013594277.1, XP_013623728.1, XP_013624643.1, XP_013615594.1, XP_013624395.1, XP_013626489.1, XP_013632865.1, XP_013583449.1	Om002G089260, Om019G374190, Om019G374330, Om019G374380, Om002G089220, Om005G205060, Om005G204090, Om003G124440, Om002G089320
OG0000062	XP_013624452.1, XP_013632428.1, XP_013633115.1	Om003G109490
OG0000064	XP_013598018.1	Om001G041080
OG0000065	XP_013617482.1, XP_013617341.1	Om005G217710
OG0000065	XP_013617922.1, XP_013607898.1	Om006G263980
OG0000065	XP_013614546.1	Om007G310120
OG0000066	XP_013587978.1, XP_013612488.1, XP_013607869.1, XP_013612748.1, XP_013629194.1	Om004G164550
OG0000066	XP_013599938.1, XP_013618388.1, XP_013621521.1, XP_013606481.1, XP_013631332.1, XP_013627996.1, XP_013637372.1, XP_013609086.1	Om004G165570
OG0000067	XP_013623793.1, XP_013626885.1, XP_013606907.1, XP_013611652.1, XP_013610551.1	Om001G023220, Om004G137760
OG0000068	XP_013595099.1, XP_013624058.1, XP_013632481.1, XP_013639600.1, XP_013618966.1	Om003G109360, Om001G015230, Om008G350760, Om006G263810, Om008G342030, Om002G073940
OG0000068	XP_013610013.1, XP_013609967.1, XP_013608076.1, XP_013591294.1, XP_013589634.1	Om006G266160
OG0000069	XP_013632987.1, XP_013607595.1, XP_013617021.1, XP_013632443.1	Om005G223000
OG0000069	XP_013624740.1	Om005G212160
OG0000070	XP_013601273.1	Om008G344650
OG0000070	XP_013615472.1	Om007G311790
OG0000070	XP_013617545.1	Om005G215790
OG0000070	XP_013624264.1	Om007G307520, Om004G146520
OG0000071	XP_013601126.1, XP_013601850.1, XP_013614231.1	Om001G016290, Om004G163830
OG0000071	XP_013601278.1, XP_013639677.1, XP_013589425.1, XP_013601846.1, XP_013617814.1, XP_013608108.1, XP_013601356.1, XP_013601674.1, XP_013639850.1, XP_013623769.1, XP_013633210.1, XP_013614876.1, XP_013617293.1, XP_013607816.1	Om008G360280, Om004G166900
OG0000071	XP_013633356.1, XP_013626361.1	Om007G316830, Om001G007220
OG0000071	XP_013639159.1, XP_013584692.1, XP_013638696.1, XP_013632067.1, XP_013627752.1, XP_013607453.1, XP_013639189.1, XP_013639293.1, XP_013607538.1, XP_013623464.1	Om005G207500, Om005G187680, Om002G068810, Om002G068800, Om003G110690
OG0000072	XP_013607861.1, XP_013583419.1, XP_013639649.1, XP_013594521.1, XP_013633807.1, XP_013594821.1, XP_013615002.1, XP_013595200.1, XP_013597172.1	Om006G262700, Om007G309250, Om011G365680, Om001G001700
OG0000072	XP_013623052.1, XP_013638689.1	Om007G308740, Om006G246100, Om002G077420, Om005G220330, Om010G364650, Om003G106210, Om003G102400, Om010G364730, Om001G017210, Om008G353090, Om003G109200
OG0000073	XP_013608422.1	Om002G052330
OG0000073	XP_013619061.1, XP_013611210.1	Om008G360660, Om008G360260
OG0000074	XP_013596256.1	Om004G144080, Om004G144240, Om004G144070, Om004G144330, Om004G144320
OG0000074	XP_013600045.1	Om004G144060
OG0000074	XP_013600539.1, XP_013600042.1, XP_013600043.1, XP_013600044.1, XP_013600879.1, XP_013610363.1	Om004G144020, Om001G027970, Om004G144050, Om004G171550
OG0000074	XP_013596253.1, XP_013596633.1	Om004G144100
OG0000074	XP_013586913.1	Om004G144220
OG0000074	XP_013603462.1, XP_013584900.1, XP_013586910.1	Om004G143840
OG0000075	XP_013611358.1, XP_013615461.1	Om005G191180
OG0000075	XP_013615023.1	Om004G132620, Om001G003590, Om001G003700
OG0000075	XP_013594256.1	Om005G194550
OG0000076	XP_013635389.1	Om002G087760
OG0000076	XP_013610604.1	Om006G242520
OG0000076	XP_013599445.1, XP_013594267.1, XP_013594927.1	Om003G090370
OG0000077	XP_013602527.1, XP_013622394.1, XP_013618964.1, XP_013596173.1	Om001G036960, Om001G036970, Om001G036980, Om001G036990, Om001G037020, Om001G037000, Om001G033540, Om001G032490
OG0000079	XP_013622466.1, XP_013604174.1, XP_013634926.1	Om003G122890, Om003G122910, Om003G122930, Om003G122940
OG0000079	XP_013604627.1	Om003G122800, Om003G122790
OG0000079	XP_013614702.1, XP_013614700.1	Om003G122880, Om003G122870
OG0000080	XP_013622240.1, XP_013635264.1, XP_013637545.1, XP_013633314.1	Om003G125630, Om008G347380, Om008G343390, Om008G346000
OG0000081	XP_013624720.1	Om005G184670, Om005G184660
OG0000082	XP_013598864.1	Om008G349260
OG0000082	XP_013618832.1	Om007G305200, Om007G305330
OG0000082	XP_013633229.1	Om004G130570
OG0000082	XP_013613884.1	Om003G121830, Om002G084590
OG0000083	XP_013639459.1	Om005G206370
OG0000083	XP_013626417.1	Om008G340620, Om002G046520
OG0000084	XP_013631674.1	Om001G014490, Om008G359620, Om008G359610, Om001G014520, Om008G359580
OG0000085	XP_013624504.1	Om005G217190
OG0000086	XP_013610622.1, XP_013610543.1, XP_013610576.1, XP_013610675.1, XP_013610335.1, XP_013607248.1, XP_013607956.1, XP_013607251.1, XP_013607249.1, XP_013610623.1, XP_013607250.1, XP_013610669.1	Om004G163220
OG0000087	XP_013598457.1	Om006G238380
OG0000087	XP_013637001.1, XP_013636732.1	Om007G282390
OG0000087	XP_013629087.1, XP_013629292.1, XP_013629400.1	Om006G235110
OG0000087	XP_013611442.1	Om004G162490
OG0000087	XP_013636563.1	Om008G339690
OG0000087	XP_013612217.1, XP_013620476.1, XP_013598244.1	Om008G355890
OG0000087	XP_013598013.1, XP_013621920.1, XP_013598364.1	Om001G006430
OG0000087	XP_013592047.1	Om004G137360
OG0000088	XP_013603553.1, XP_013630830.1, XP_013634451.1, XP_013629613.1, XP_013613460.1, XP_013612884.1, XP_013626980.1, XP_013626981.1, XP_013626984.1, XP_013610320.1, XP_013626983.1, XP_013626986.1, XP_013630073.1, XP_013593337.1, XP_013612192.1	Om003G119630
OG0000088	XP_013627653.1, XP_013607358.1	Om006G242180
OG0000089	XP_013629368.1, XP_013611822.1, XP_013620685.1	Om004G166350
OG0000089	XP_013591456.1	Om001G012030
OG0000089	XP_013629201.1	Om003G098490
OG0000089	XP_013587485.1	Om002G055730
OG0000089	XP_013623319.1	Om006G246310, Om006G246300
OG0000090	XP_013628560.1	Om005G202290, Om005G179690
OG0000090	XP_013591920.1, XP_013588434.1, XP_013616229.1	Om004G136810
OG0000090	XP_013590802.1, XP_013590715.1	Om003G098630, Om003G099040
OG0000090	XP_013610618.1	Om006G274160
OG0000093	XP_013632132.1, XP_013632130.1, XP_013591322.1	Om003G122050
OG0000093	XP_013589366.1	Om001G033140
OG0000093	XP_013615611.1, XP_013589367.1, XP_013589365.1	Om003G122020
OG0000093	XP_013588854.1	Om003G121950
OG0000093	XP_013609262.1	Om003G121760, Om003G121730, Om003G121770, Om003G121750
OG0000096	XP_013594901.1	Om007G301150, Om003G093070, Om006G274060
OG0000096	XP_013623925.1, XP_013617650.1	Om004G143550, Om008G360980
OG0000097	XP_013599827.1, XP_013584794.1	Om008G355560
OG0000097	XP_013631333.1	Om008G355680, Om008G355600, Om004G133820
OG0000098	XP_013613822.1	Om001G001780
OG0000098	XP_013638907.1	Om005G191670
OG0000098	XP_013600631.1	Om005G191920, Om005G192380
OG0000099	XP_013610227.1, XP_013610529.1	Om005G227450
OG0000099	XP_013610735.1	Om005G227550
OG0000104	XP_013605923.1	Om005G185360
OG0000104	XP_013590329.1	Om003G095420
OG0000104	XP_013625710.1	Om002G069400
OG0000104	XP_013634487.1	Om007G283060
OG0000107	XP_013602900.1	Om004G133090, Om001G020080
OG0000107	XP_013639727.1, XP_013583762.1, XP_013615032.1	Om002G067770
OG0000107	XP_013638671.1, XP_013622483.1	Om002G067720, Om007G309010
OG0000108	XP_013617934.1	Om006G239250, Om003G100270, Om003G100260
OG0000108	XP_013614188.1, XP_013615334.1	Om006G273840, Om006G273820
OG0000110	XP_013592532.1	Om003G123410
OG0000110	XP_013590480.1	Om003G123400
OG0000112	XP_013623898.1, XP_013623897.1	Om005G189180
OG0000114	XP_013622761.1	Om001G008300
OG0000117	XP_013598962.1, XP_013607493.1	Om002G088690
OG0000117	XP_013637133.1	Om001G014560
OG0000118	XP_013597065.1, XP_013591106.1, XP_013610702.1, XP_013585759.1, XP_013624096.1, XP_013603466.1	Om008G333780
