HOG	OG	Gene Tree Parent Clade	Alyssum_gmelinii	Arabidopsis_arenosa	Arabidopsis_lyrata_NCBI	Arabidopsis_lyrata_Rawat	Arabidopsis_thaliana	Arabis_alpina	Brassica_oleracea	Brassica_rapa	Camelina_sativa	Capsella_rubella	Cardamine_glauca	Cardamine_hirsuta	Cochlearia_excelsa	Conringia_planisiliqua	Euclidium_syriacum	Eutrema_salsugineum	Noccaea_praecox	Raphanus_sativus	Rorippa_islandica
N9.HOG0000041	OG0000007	n74												CARHR180980, CARHR287750							
N9.HOG0000042	OG0000007	n77												CARHR115290, CARHR256390, CARHR262640							
N9.HOG0000043	OG0000007	n83											Cg008G2911000	CARHR058800, CARHR052910, CARHR152010, CARHR154010							
N9.HOG0000044	OG0000007	n92											Cg001G0210800								
N9.HOG0000045	OG0000007	n95											Cg002G0590800								
N9.HOG0000046	OG0000007	n105												CARHR144660, CARHR100290							
N9.HOG0000047	OG0000007	n149											Cg006G1891100	CARHR060230, CARHR133710, CARHR271640, CARHR058320							
N9.HOG0000048	OG0000007	n155												CARHR054400, CARHR257440							
N9.HOG0000049	OG0000007	n162												CARHR216050							
N9.HOG0000050	OG0000007	n163											Cg004G1331500	CARHR266890							
N9.HOG0000051	OG0000007	n172												CARHR096020							
N9.HOG0000052	OG0000007	n177												CARHR029260, CARHR156010, CARHR051850							
N9.HOG0000053	OG0000007	n188												CARHR151410							
N9.HOG0000054	OG0000007	n419												CARHR150730							
N9.HOG0000055	OG0000007	n516												CARHR052510, CARHR024460							
N9.HOG0000056	OG0000007	n533												CARHR060220							
N9.HOG0000057	OG0000007	n534												CARHR271650							
N9.HOG0000058	OG0000007	n538												CARHR286510							
N9.HOG0000059	OG0000007	n545												CARHR054390							
N9.HOG0000060	OG0000007	n549												CARHR099640, CARHR266880, CARHR029270, CARHR156020							
N9.HOG0000061	OG0000007	n562												CARHR055800							
N9.HOG0000062	OG0000007	n563												CARHR216040							
N9.HOG0000063	OG0000007	n567												CARHR051840							
N9.HOG0000064	OG0000007	n594												CARHR032440, CARHR057030							
N9.HOG0000065	OG0000008	n31												CARHR046080, CARHR116420							
N9.HOG0000066	OG0000008	n39												CARHR288670							
N9.HOG0000067	OG0000008	n40												CARHR257900, CARHR038360, CARHR181300, CARHR104250, CARHR286450, CARHR035440, CARHR117390, CARHR218770, CARHR031010							
N9.HOG0000068	OG0000008	n54												CARHR101910							
N9.HOG0000069	OG0000008	n63												CARHR159360							
N9.HOG0000070	OG0000008	n74												CARHR217630							
N9.HOG0000071	OG0000008	n80												CARHR102600							
N9.HOG0000072	OG0000008	n82												CARHR114980							
N9.HOG0000073	OG0000008	n85											Cg002G0653500, Cg002G0593800	CARHR258310, CARHR217850							
N9.HOG0000074	OG0000008	n92												CARHR034850, CARHR181140, CARHR215020							
N9.HOG0000075	OG0000008	n176												CARHR183140							
N9.HOG0000076	OG0000008	n328												CARHR056560, CARHR114970, CARHR150550							
N9.HOG0000077	OG0000008	n370												CARHR293430							
N9.HOG0000078	OG0000008	n382												CARHR035430, CARHR217860							
N9.HOG0000079	OG0000008	n410												CARHR215010							
N9.HOG0000080	OG0000008	n426											Cg007G2406600, Cg002G0593900	CARHR103540							
N9.HOG0000081	OG0000008	n429												CARHR118900							
N9.HOG0000082	OG0000008	n458												CARHR115010							
N9.HOG0000083	OG0000008	n476												CARHR291920, CARHR221030, CARHR117380							
N9.HOG0000084	OG0000008	n491											Cg002G0512100	CARHR161310, CARHR161290, CARHR161300							
N9.HOG0000085	OG0000008	n496											Cg002G0565700	CARHR161340							
N9.HOG0000086	OG0000008	n509												CARHR161350							
N9.HOG0000087	OG0000008	n527												CARHR051890, CARHR217020, CARHR131120, CARHR164530, CARHR288680							
N9.HOG0000088	OG0000008	n534												CARHR103530							
N9.HOG0000089	OG0000008	n547												CARHR257810, CARHR218380							
N9.HOG0000090	OG0000008	n550												CARHR259120							
N9.HOG0000091	OG0000008	n557												CARHR119350, CARHR214330							
N9.HOG0000092	OG0000008	n561												CARHR286130, CARHR178960							
N9.HOG0000093	OG0000008	n572												CARHR118910, CARHR216990, CARHR111800							
N9.HOG0000094	OG0000009	n7											Cg003G0834900								
N9.HOG0000095	OG0000009	n47												CARHR145720							
N9.HOG0000096	OG0000009	n61											Cg007G2452800	CARHR034640, CARHR017910							
N9.HOG0000097	OG0000009	n113												CARHR217600							
N9.HOG0000098	OG0000009	n114												CARHR160220							
N9.HOG0000099	OG0000009	n130												CARHR077050, CARHR056420, CARHR034120							
N9.HOG0000100	OG0000009	n142												CARHR091740							
N9.HOG0000101	OG0000009	n145												CARHR059740							
N9.HOG0000102	OG0000009	n200											Cg005G1728900								
N9.HOG0000103	OG0000009	n218											Cg001G0215900								
N9.HOG0000104	OG0000009	n268											Cg008G2714900								
N9.HOG0000105	OG0000009	n368											Cg005G1711000								
N9.HOG0000106	OG0000009	n397											Cg003G0797000								
N9.HOG0000107	OG0000009	n400											Cg005G1737500								
N9.HOG0000108	OG0000009	n417											Cg005G1717900, Cg003G0717800, Cg005G1769300								
N9.HOG0000109	OG0000009	n491											Cg008G2845600	CARHR114650							
N9.HOG0000110	OG0000009	n563												CARHR153540							
N9.HOG0000111	OG0000009	n568												CARHR055780							
N9.HOG0000112	OG0000011	n2												CARHR218510							
N9.HOG0000113	OG0000011	n26											Cg008G2919200, Cg002G0664700, Cg003G0778000	CARHR259400							
N9.HOG0000114	OG0000011	n503											Cg005G1679100								
N9.HOG0000115	OG0000012	n7												CARHR130420							
N9.HOG0000116	OG0000012	n13												CARHR032720							
N9.HOG0000117	OG0000012	n17												CARHR190160, CARHR032710							
N9.HOG0000118	OG0000012	n296												CARHR256470							
N9.HOG0000119	OG0000012	n525											Cg004G1402400								
N9.HOG0000120	OG0000012	n538												CARHR032700							
N9.HOG0000121	OG0000015	n122											Cg001G0251200								
N9.HOG0000122	OG0000015	n181												CARHR258200, CARHR258330							
N9.HOG0000123	OG0000015	n425											Cg007G2289100								
N9.HOG0000124	OG0000015	n469											Cg004G1297400								
N9.HOG0000125	OG0000015	n479											Cg008G2857400								
N9.HOG0000126	OG0000016	n247											Cg005G1715500								
N9.HOG0000127	OG0000020	n163												CARHR113350, CARHR034150, CARHR049310							
N9.HOG0000128	OG0000020	n384												CARHR213120							
N9.HOG0000129	OG0000020	n433											Cg008G2915200, Cg003G0729100								
N9.HOG0000130	OG0000021	n177												CARHR146600							
N9.HOG0000131	OG0000021	n220											Cg003G0793000, Cg001G0263700, Cg003G0871900, Cg005G1666000								
N9.HOG0000132	OG0000021	n365											Cg006G1912000, Cg004G1333000								
N9.HOG0000133	OG0000022	n2											Cg001G0134600	CARHR234420							
N9.HOG0000134	OG0000022	n18												CARHR196550							
N9.HOG0000135	OG0000022	n51												CARHR048190							
N9.HOG0000136	OG0000022	n79												CARHR051050, CARHR048810							
N9.HOG0000137	OG0000022	n93												CARHR047980							
N9.HOG0000138	OG0000022	n94											Cg007G2277400	CARHR049170							
N9.HOG0000139	OG0000022	n127												CARHR048480, CARHR048800							
N9.HOG0000140	OG0000022	n141												CARHR048840							
N9.HOG0000141	OG0000022	n148												CARHR055270							
N9.HOG0000142	OG0000022	n154											Cg007G2272800, Cg007G2270400, Cg007G2272900, Cg007G2273000	CARHR048440, CARHR047970							
N9.HOG0000143	OG0000022	n182												CARHR048820							
N9.HOG0000144	OG0000022	n183												CARHR051020, CARHR048770							
N9.HOG0000145	OG0000022	n203												CARHR045470, CARHR051030							
N9.HOG0000146	OG0000022	n212												CARHR049120							
N9.HOG0000147	OG0000022	n237												CARHR013000							
N9.HOG0000148	OG0000022	n331												CARHR012910							
N9.HOG0000149	OG0000022	n347											Cg007G2258400	CARHR046360							
N9.HOG0000150	OG0000022	n357												CARHR046370							
N9.HOG0000151	OG0000022	n369											Cg001G0385000	CARHR213210							
N9.HOG0000152	OG0000022	n386											Cg004G1232100	CARHR091960							
N9.HOG0000153	OG0000023	n26											Cg003G0814800, Cg002G0614300								
N9.HOG0000154	OG0000023	n31											Cg003G0880200								
N9.HOG0000155	OG0000023	n35											Cg007G2371000								
N9.HOG0000156	OG0000023	n102											Cg003G0882200								
N9.HOG0000157	OG0000023	n106											Cg006G1902200								
N9.HOG0000158	OG0000023	n152											Cg003G1048300, Cg006G1990600, Cg003G0860500, Cg007G2541200, Cg014G3040300								
N9.HOG0000159	OG0000023	n340											Cg001G0296000								
N9.HOG0000160	OG0000023	n382											Cg006G2067800								
N9.HOG0000161	OG0000024	n46												CARHR030400							
N9.HOG0000162	OG0000024	n59												CARHR030450							
N9.HOG0000163	OG0000024	n71												CARHR030420							
N9.HOG0000164	OG0000024	n82												CARHR031230, CARHR030890							
N9.HOG0000165	OG0000024	n86												CARHR126510, CARHR030870							
N9.HOG0000166	OG0000024	n92												CARHR116780							
N9.HOG0000167	OG0000024	n174											Cg006G1959100, Cg006G1958900, Cg006G1959600, Cg006G1959000, Cg006G1959800, Cg006G1959300								
N9.HOG0000168	OG0000024	n201												CARHR174240							
N9.HOG0000169	OG0000024	n246												CARHR113190							
N9.HOG0000170	OG0000024	n264											Cg001G0380300	CARHR213730							
N9.HOG0000171	OG0000024	n271												CARHR112760							
N9.HOG0000172	OG0000024	n276												CARHR031540							
N9.HOG0000173	OG0000024	n281											Cg002G0647900								
N9.HOG0000174	OG0000024	n306											Cg006G1963900, Cg006G1963800	CARHR062310							
N9.HOG0000175	OG0000024	n333											Cg002G0447000, Cg002G0448700								
N9.HOG0000176	OG0000024	n366												CARHR168020							
N9.HOG0000177	OG0000024	n367												CARHR167830							
N9.HOG0000178	OG0000024	n378												CARHR148710							
N9.HOG0000179	OG0000024	n379												CARHR030440							
N9.HOG0000180	OG0000024	n380												CARHR030410, CARHR045190							
N9.HOG0000181	OG0000025	n77											Cg007G2444400								
N9.HOG0000182	OG0000025	n91												CARHR288360							
N9.HOG0000183	OG0000025	n223											Cg005G1690200, Cg004G1264500								
N9.HOG0000184	OG0000027	n17											Cg003G0758800	CARHR264010, CARHR255080							
N9.HOG0000185	OG0000027	n25												CARHR255070							
N9.HOG0000186	OG0000027	n37												CARHR255050							
N9.HOG0000187	OG0000027	n42											Cg003G0758500	CARHR255040							
N9.HOG0000188	OG0000027	n59											Cg003G0758700								
N9.HOG0000189	OG0000027	n70												CARHR255010							
N9.HOG0000190	OG0000027	n74												CARHR263990, CARHR255060							
N9.HOG0000191	OG0000027	n76												CARHR254990							
N9.HOG0000192	OG0000027	n89											Cg001G0170600	CARHR057450							
N9.HOG0000193	OG0000027	n103												CARHR230660							
N9.HOG0000194	OG0000027	n111												CARHR230630							
N9.HOG0000195	OG0000027	n117												CARHR230470, CARHR230480							
N9.HOG0000196	OG0000027	n125												CARHR230460							
N9.HOG0000197	OG0000027	n127												CARHR230450							
N9.HOG0000198	OG0000027	n136											Cg003G0758900								
N9.HOG0000199	OG0000027	n156												CARHR230510							
N9.HOG0000200	OG0000027	n176											Cg001G0171100	CARHR230500							
N9.HOG0000201	OG0000027	n208											Cg001G0171400	CARHR230410							
N9.HOG0000202	OG0000027	n223											Cg001G0172400								
N9.HOG0000203	OG0000027	n232												CARHR230400, CARHR230390							
N9.HOG0000204	OG0000027	n247											Cg003G0757800	CARHR254870							
N9.HOG0000205	OG0000027	n262												CARHR254910, CARHR254920							
N9.HOG0000206	OG0000027	n270												CARHR254880							
N9.HOG0000207	OG0000027	n281												CARHR230560, CARHR254930, CARHR254960							
N9.HOG0000208	OG0000027	n289											Cg001G0171900	CARHR230300							
N9.HOG0000209	OG0000027	n328												CARHR230280, CARHR230310							
N9.HOG0000210	OG0000027	n331												CARHR055330							
N9.HOG0000211	OG0000027	n338												CARHR230350							
N9.HOG0000212	OG0000027	n349												CARHR230440							
N9.HOG0000213	OG0000027	n360												CARHR230330, CARHR230640							
N9.HOG0000214	OG0000027	n368											Cg001G0171600								
N9.HOG0000215	OG0000027	n372												CARHR230580							
N9.HOG0000216	OG0000028	n7												CARHR242960							
N9.HOG0000217	OG0000028	n8												CARHR104940							
N9.HOG0000218	OG0000028	n9												CARHR028790							
N9.HOG0000219	OG0000028	n19											Cg003G0981300	CARHR285330							
N9.HOG0000220	OG0000028	n49												CARHR220000							
N9.HOG0000221	OG0000028	n53												CARHR100780							
N9.HOG0000222	OG0000028	n85												CARHR030090							
N9.HOG0000223	OG0000028	n91												CARHR289310							
N9.HOG0000224	OG0000028	n96												CARHR242640, CARHR242590							
N9.HOG0000225	OG0000028	n104												CARHR030080							
N9.HOG0000226	OG0000028	n118												CARHR269260							
N9.HOG0000227	OG0000028	n126												CARHR269250							
N9.HOG0000228	OG0000028	n134												CARHR268630							
N9.HOG0000229	OG0000028	n147												CARHR289300							
N9.HOG0000230	OG0000028	n152												CARHR267520							
N9.HOG0000231	OG0000028	n159												CARHR267660							
N9.HOG0000232	OG0000028	n211												CARHR267690							
N9.HOG0000233	OG0000028	n237											Cg007G2581000	CARHR242050							
N9.HOG0000234	OG0000028	n249												CARHR244240							
N9.HOG0000235	OG0000028	n283												CARHR242060							
N9.HOG0000236	OG0000028	n296											Cg006G2183100								
N9.HOG0000237	OG0000028	n305											Cg003G0941300	CARHR028780, CARHR203520							
N9.HOG0000238	OG0000028	n319												CARHR281120, CARHR030060, CARHR267830							
N9.HOG0000239	OG0000028	n340												CARHR267840							
N9.HOG0000240	OG0000028	n348												CARHR267700							
N9.HOG0000241	OG0000029	n120											Cg007G2405400, Cg007G2364600								
N9.HOG0000242	OG0000029	n125											Cg001G0384100								
N9.HOG0000243	OG0000029	n249												CARHR056480, CARHR153130							
N9.HOG0000244	OG0000029	n334												CARHR116610, CARHR153140							
N9.HOG0000245	OG0000030	n17											Cg004G1270000								
N9.HOG0000246	OG0000030	n51											Cg004G1261500	CARHR060010, CARHR059990							
N9.HOG0000247	OG0000030	n61											Cg004G1264800	CARHR134370							
N9.HOG0000248	OG0000030	n103												CARHR025790							
N9.HOG0000249	OG0000030	n110												CARHR162370							
N9.HOG0000250	OG0000030	n140											Cg001G0286900	CARHR260760, CARHR260790							
N9.HOG0000251	OG0000030	n178											Cg002G0532900	CARHR158520, CARHR158510, CARHR158530							
N9.HOG0000252	OG0000030	n224												CARHR088150							
N9.HOG0000253	OG0000030	n227												CARHR223800							
N9.HOG0000254	OG0000030	n233											Cg006G2154000								
N9.HOG0000255	OG0000030	n265												CARHR223790							
N9.HOG0000256	OG0000030	n267												CARHR088850							
N9.HOG0000257	OG0000030	n278											Cg005G1472200								
N9.HOG0000258	OG0000030	n295												CARHR095910, CARHR026350							
N9.HOG0000259	OG0000030	n339												CARHR154640							
N9.HOG0000260	OG0000030	n346												CARHR088870							
N9.HOG0000261	OG0000032	n11												CARHR116050, CARHR284910, CARHR106310, CARHR182600							
N9.HOG0000262	OG0000032	n15												CARHR114460							
N9.HOG0000263	OG0000032	n18												CARHR159330							
N9.HOG0000264	OG0000032	n25												CARHR158150, CARHR057520, CARHR108030, CARHR217640							
N9.HOG0000265	OG0000032	n60												CARHR284230							
N9.HOG0000266	OG0000032	n63												CARHR289940							
N9.HOG0000267	OG0000032	n82											Cg008G2902300								
N9.HOG0000268	OG0000032	n85												CARHR284240							
N9.HOG0000269	OG0000032	n141												CARHR159350							
N9.HOG0000270	OG0000032	n142											Cg001G0339700	CARHR287070, CARHR115000, CARHR258320, CARHR152520, CARHR154280, CARHR217870, CARHR103550, CARHR183020, CARHR149880							
N9.HOG0000271	OG0000032	n174												CARHR108040, CARHR035020, CARHR158140							
N9.HOG0000272	OG0000032	n180												CARHR287680, CARHR287700							
N9.HOG0000273	OG0000032	n182											Cg007G2361600	CARHR266450							
N9.HOG0000274	OG0000032	n226												CARHR266460							
N9.HOG0000275	OG0000034	n2											Cg001G0172000	CARHR230270, CARHR230290							
N9.HOG0000276	OG0000034	n35											Cg001G0172200, Cg001G0172300								
N9.HOG0000277	OG0000034	n61												CARHR055320							
N9.HOG0000278	OG0000034	n64												CARHR230240							
N9.HOG0000279	OG0000034	n98												CARHR228000							
N9.HOG0000280	OG0000034	n113												CARHR228050							
N9.HOG0000281	OG0000034	n115												CARHR228010, CARHR228060, CARHR228080, CARHR228070							
N9.HOG0000282	OG0000034	n127											Cg001G0190500	CARHR289950							
N9.HOG0000283	OG0000034	n150												CARHR106160							
N9.HOG0000284	OG0000034	n161												CARHR255000							
N9.HOG0000285	OG0000034	n165												CARHR230360							
N9.HOG0000286	OG0000034	n168											Cg001G0172600								
N9.HOG0000287	OG0000034	n181												CARHR230320							
N9.HOG0000288	OG0000034	n210											Cg001G0222900								
N9.HOG0000289	OG0000034	n226											Cg001G0170800								
N9.HOG0000290	OG0000034	n287											Cg001G0172700	CARHR230230, CARHR230200							
N9.HOG0000291	OG0000034	n311												CARHR230540, CARHR230590, CARHR230570, CARHR230620, CARHR230650							
N9.HOG0000292	OG0000035	n15												CARHR034500							
N9.HOG0000293	OG0000035	n16												CARHR120350							
N9.HOG0000294	OG0000035	n80												CARHR034790							
N9.HOG0000295	OG0000035	n92												CARHR216710							
N9.HOG0000296	OG0000035	n104												CARHR153260, CARHR182390							
N9.HOG0000297	OG0000038	n102											Cg007G2341500								
N9.HOG0000298	OG0000038	n112											Cg007G2278200								
N9.HOG0000299	OG0000039	n3											Cg001G0195900	CARHR184170							
N9.HOG0000300	OG0000039	n146												CARHR117850							
N9.HOG0000301	OG0000040	n27											Cg008G2847500, Cg008G2862000								
N9.HOG0000302	OG0000040	n37											Cg003G0811000, Cg001G0330900								
N9.HOG0000303	OG0000040	n50											Cg001G0375200								
N9.HOG0000304	OG0000040	n56											Cg007G2426000, Cg008G2852000, Cg008G2867800								
N9.HOG0000305	OG0000040	n76											Cg005G1448100								
N9.HOG0000306	OG0000040	n127											Cg003G0810800, Cg002G0661400								
N9.HOG0000307	OG0000040	n242											Cg003G0770800, Cg006G1822500, Cg003G0954000								
N9.HOG0000308	OG0000040	n270											Cg005G1689300								
N9.HOG0000309	OG0000040	n296											Cg008G2847400, Cg008G2861900								
N9.HOG0000310	OG0000040	n298											Cg002G0556700								
N9.HOG0000311	OG0000041	n79											Cg007G2434700								
N9.HOG0000312	OG0000041	n90											Cg007G2348600								
N9.HOG0000313	OG0000042	n83												CARHR258550							
N9.HOG0000314	OG0000042	n87												CARHR154720							
N9.HOG0000315	OG0000042	n117												CARHR116060							
N9.HOG0000316	OG0000042	n121												CARHR260310							
N9.HOG0000317	OG0000042	n139												CARHR285900							
N9.HOG0000318	OG0000042	n182											Cg013G3025700								
N9.HOG0000319	OG0000042	n263												CARHR181500							
N9.HOG0000320	OG0000043	n7											Cg014G3034000	CARHR220690							
N9.HOG0000321	OG0000043	n13												CARHR104870							
N9.HOG0000322	OG0000043	n35												CARHR145030							
N9.HOG0000323	OG0000043	n50											Cg002G0640800	CARHR098760							
N9.HOG0000324	OG0000043	n61												CARHR124520							
N9.HOG0000325	OG0000043	n119											Cg003G0842100								
N9.HOG0000326	OG0000043	n145												CARHR288090							
N9.HOG0000327	OG0000043	n194											Cg007G2421300, Cg006G1860500								
N9.HOG0000328	OG0000043	n240												CARHR105380, CARHR035340							
N9.HOG0000329	OG0000043	n244												CARHR181910, CARHR111550, CARHR213150							
N9.HOG0000330	OG0000043	n257												CARHR118730							
N9.HOG0000331	OG0000043	n262												CARHR216370							
N9.HOG0000332	OG0000043	n270												CARHR121910							
N9.HOG0000333	OG0000043	n272											Cg008G2905100								
N9.HOG0000334	OG0000044	n8												CARHR116340, CARHR036550							
N9.HOG0000335	OG0000044	n19											Cg001G0233900	CARHR223510							
N9.HOG0000336	OG0000044	n26												CARHR102310							
N9.HOG0000337	OG0000044	n28											Cg008G2891700	CARHR031690							
N9.HOG0000338	OG0000044	n29											Cg004G1386600	CARHR175160							
N9.HOG0000339	OG0000044	n36												CARHR289560, CARHR289640, CARHR175800, CARHR175810							
N9.HOG0000340	OG0000044	n40												CARHR175170, CARHR175250							
N9.HOG0000341	OG0000044	n49											Cg008G2973600	CARHR175090							
N9.HOG0000342	OG0000044	n55												CARHR175840, CARHR175230							
N9.HOG0000343	OG0000044	n60												CARHR175070							
N9.HOG0000344	OG0000044	n65												CARHR292230							
N9.HOG0000345	OG0000044	n78											Cg008G2973700								
N9.HOG0000346	OG0000044	n85												CARHR175060							
N9.HOG0000347	OG0000044	n92											Cg008G2897600	CARHR175260							
N9.HOG0000348	OG0000044	n142												CARHR174840							
N9.HOG0000349	OG0000044	n156												CARHR116350							
N9.HOG0000350	OG0000044	n168											Cg008G2973900								
N9.HOG0000351	OG0000044	n183											Cg003G0745700								
N9.HOG0000352	OG0000044	n188											Cg004G1380900								
N9.HOG0000353	OG0000044	n206											Cg013G3024300	CARHR116330							
N9.HOG0000354	OG0000044	n216												CARHR195110							
N9.HOG0000355	OG0000044	n230												CARHR223530							
N9.HOG0000356	OG0000044	n239												CARHR222980, CARHR290490							
N9.HOG0000357	OG0000044	n241												CARHR223500							
N9.HOG0000358	OG0000044	n261												CARHR290500, CARHR222990, CARHR223540							
N9.HOG0000359	OG0000044	n267												CARHR222470							
N9.HOG0000360	OG0000046	n7											Cg003G0881700								
N9.HOG0000361	OG0000046	n24											Cg001G0284200								
N9.HOG0000362	OG0000046	n54												CARHR159300, CARHR215510, CARHR037550, CARHR118760							
N9.HOG0000363	OG0000046	n58												CARHR104690, CARHR258020							
N9.HOG0000364	OG0000046	n60												CARHR116100, CARHR183570, CARHR057390, CARHR107370							
N9.HOG0000365	OG0000046	n139												CARHR159290							
N9.HOG0000366	OG0000046	n190												CARHR150320							
N9.HOG0000367	OG0000046	n269												CARHR286710							
N9.HOG0000368	OG0000046	n270												CARHR217190							
N9.HOG0000369	OG0000048	n38												CARHR054750							
N9.HOG0000370	OG0000048	n107												CARHR261660							
N9.HOG0000371	OG0000048	n109												CARHR042940							
N9.HOG0000372	OG0000048	n119												CARHR125110							
N9.HOG0000373	OG0000048	n230												CARHR125800							
N9.HOG0000374	OG0000048	n249												CARHR207670							
N9.HOG0000375	OG0000048	n257												CARHR126120							
N9.HOG0000376	OG0000048	n262												CARHR126110							
N9.HOG0000377	OG0000050	n14											Cg005G1710800								
N9.HOG0000378	OG0000050	n38											Cg007G2389100, Cg006G1872200	CARHR154060							
N9.HOG0000379	OG0000050	n107											Cg002G0525300, Cg008G2715000								
N9.HOG0000380	OG0000050	n110											Cg001G0215700								
N9.HOG0000381	OG0000050	n143											Cg006G1961200, Cg003G0717600	CARHR071180, CARHR153550							
N9.HOG0000382	OG0000050	n201											Cg005G1737200								
N9.HOG0000383	OG0000051	n4											Cg006G2232100	CARHR002800							
N9.HOG0000384	OG0000051	n55											Cg005G1506300	CARHR137510							
N9.HOG0000385	OG0000051	n96												CARHR109310							
N9.HOG0000386	OG0000051	n133												CARHR137530							
N9.HOG0000387	OG0000051	n149											Cg013G3025800, Cg005G1600400	CARHR127280							
N9.HOG0000388	OG0000051	n197												CARHR256260							
N9.HOG0000389	OG0000051	n221												CARHR137550							
N9.HOG0000390	OG0000051	n223												CARHR137540							
N9.HOG0000391	OG0000051	n242											Cg003G0782100	CARHR260850							
N9.HOG0000392	OG0000052	n6												CARHR148030							
N9.HOG0000393	OG0000052	n11												CARHR148020							
N9.HOG0000394	OG0000052	n12											Cg002G0657800	CARHR148060							
N9.HOG0000395	OG0000052	n56												CARHR065210							
N9.HOG0000396	OG0000052	n57												CARHR065340							
N9.HOG0000397	OG0000052	n68												CARHR278910, CARHR148040							
N9.HOG0000398	OG0000052	n77												CARHR150860							
N9.HOG0000399	OG0000052	n98											Cg002G0501500	CARHR162490							
N9.HOG0000400	OG0000052	n110												CARHR162550							
N9.HOG0000401	OG0000052	n136												CARHR162560							
N9.HOG0000402	OG0000052	n152												CARHR162540							
N9.HOG0000403	OG0000052	n153												CARHR162510							
N9.HOG0000404	OG0000052	n157												CARHR162500							
N9.HOG0000405	OG0000052	n159												CARHR162570							
N9.HOG0000406	OG0000052	n182											Cg002G0537500	CARHR157840							
N9.HOG0000407	OG0000052	n250												CARHR148050, CARHR278920, CARHR148010, CARHR065350							
