HOG	OG	Gene Tree Parent Clade	Alyssum_gmelinii	Arabidopsis_arenosa	Arabidopsis_lyrata_NCBI	Arabidopsis_lyrata_Rawat	Arabidopsis_thaliana	Arabis_alpina	Brassica_oleracea	Brassica_rapa	Camelina_sativa	Capsella_rubella	Cardamine_glauca	Cardamine_hirsuta	Cochlearia_excelsa	Conringia_planisiliqua	Euclidium_syriacum	Eutrema_salsugineum	Noccaea_praecox	Raphanus_sativus	Rorippa_islandica
N15.HOG0000105	OG0000004	n342			XP_020866272.1, XP_020871264.1, XP_020886308.1, XP_020882759.1, XP_020875043.1, XP_020881970.1, XP_020889966.1, XP_020875528.1, XP_020871434.1, XP_020869121.1, XP_020871489.1, XP_020869697.1																
N15.HOG0000106	OG0000004	n470			XP_020880754.1, XP_020873125.1, XP_020887737.1																
N15.HOG0000107	OG0000004	n514				AL1G57270															
N15.HOG0000108	OG0000004	n520			XP_020889539.1	AL8G19530															
N15.HOG0000109	OG0000004	n630			XP_020886399.1																
N15.HOG0000110	OG0000004	n665			XP_020881080.1, XP_020874109.1	AL70U10050															
N15.HOG0000111	OG0000004	n676				AL1G65560															
N15.HOG0000112	OG0000004	n710				AL4G11460															
N15.HOG0000113	OG0000004	n719				AL2G17020															
N15.HOG0000114	OG0000004	n723			XP_020866323.1, XP_020871267.1, XP_020874412.1	AL7G51790, AL1G64940															
N15.HOG0000115	OG0000004	n728			XP_020878681.1	AL6G45170															
N15.HOG0000116	OG0000004	n779			XP_020865758.1																
N15.HOG0000117	OG0000005	n19				AL1G36970															
N15.HOG0000118	OG0000005	n42			XP_020877200.1	AL63U10040															
N15.HOG0000119	OG0000005	n70			XP_020872641.1, XP_020866154.1, XP_020872381.1, XP_020877193.1	AL7G13490															
N15.HOG0000120	OG0000005	n92			XP_020871957.1, XP_020866342.1, XP_020887113.1	AL97U10030, AL8G11290															
N15.HOG0000121	OG0000005	n164				AL4G38100															
N15.HOG0000122	OG0000005	n170			XP_020880760.1, XP_020877199.1	AL6G48210, AL2G19230															
N15.HOG0000123	OG0000005	n182				AL2G18790															
N15.HOG0000124	OG0000005	n337				AL7G43820, AL7G43690															
N15.HOG0000125	OG0000005	n360				AL8G29360															
N15.HOG0000126	OG0000005	n441			XP_020874036.1																
N15.HOG0000127	OG0000005	n642				AL3G45600															
N15.HOG0000128	OG0000005	n644				AL1G65770															
N15.HOG0000129	OG0000007	n43				AL8G24640															
N15.HOG0000130	OG0000007	n81			XP_020870157.1, XP_020870555.1	AL1G53130															
N15.HOG0000131	OG0000007	n158				AL4G23810															
N15.HOG0000132	OG0000007	n163			XP_020882643.1																
N15.HOG0000133	OG0000007	n188				AL4G24120															
N15.HOG0000134	OG0000007	n254			XP_020873755.1	AL8G18310															
N15.HOG0000135	OG0000007	n256			XP_020876409.1, XP_020866331.1	AL1G37680															
N15.HOG0000136	OG0000007	n258			XP_020872053.1, XP_020879940.1, XP_020872382.1	AL3G20440															
N15.HOG0000137	OG0000007	n425				AL2G22610															
N15.HOG0000138	OG0000007	n455			XP_020880934.1	AL5G31160															
N15.HOG0000139	OG0000007	n558			XP_020866419.1																
N15.HOG0000140	OG0000007	n587			XP_002893144.2	AL1G34010															
N15.HOG0000141	OG0000007	n588			XP_020870776.1, XP_020871034.1	AL8G16470															
N15.HOG0000142	OG0000007	n590			XP_002875947.2	AL1G61810, AL6G29050, AL5G28660															
N15.HOG0000143	OG0000007	n593			XP_002868379.2	AL7G43440															
N15.HOG0000144	OG0000007	n597			XP_020879876.1, XP_020883895.1, XP_020866620.1, XP_020873499.1	AL5G42560															
N15.HOG0000145	OG0000007	n601			XP_020887609.1, XP_020874852.1	AL4G15130, AL1G41850, AL7G40730, AL6G17970															
N15.HOG0000146	OG0000008	n146				AL8G22780															
N15.HOG0000147	OG0000008	n193			XP_020871586.1	AL6G25540, AL39U10050, AL6G49380, AL226U10010, AL8G21160, AL8G41980															
N15.HOG0000148	OG0000008	n200				AL66U10030, AL7G10810, AL747U10010, AL8G17730, AL7G48840, AL4G21710, AL5G16170, AL1G29200, AL1G65090, AL7G51050, AL1G63180, AL7G50980, AL8G11530															
N15.HOG0000149	OG0000008	n214				AL2G17460, AL6G27010, AL5G18950, AL7G45220															
N15.HOG0000150	OG0000008	n265				AL8G21520, AL3G44870, AL6G46960, AL2G19610, AL5G20410, AL4G18090, AL1G45690, AL3G40710, AL5G24310, AL2G22310, AL4G13380, AL3G52160															
N15.HOG0000151	OG0000008	n288				AL4G20310, AL4G18790, AL4G37240, AL3G44010, AL7G44440, AL2G20270, AL9U11800, AL298U10010, AL4G19160															
N15.HOG0000152	OG0000008	n370			XP_020881833.1																
N15.HOG0000153	OG0000008	n396			XP_020881734.1																
N15.HOG0000154	OG0000008	n419			XP_020882642.1, XP_020879664.1	AL5G20470															
N15.HOG0000155	OG0000008	n429			XP_020882276.1																
N15.HOG0000156	OG0000008	n458				AL3G23450															
N15.HOG0000157	OG0000008	n463			XP_020876690.1, XP_020867861.1	AL877U10020, AL6G44830															
N15.HOG0000158	OG0000008	n496			XP_020881885.1, XP_020881611.1	AL5G32180															
N15.HOG0000159	OG0000008	n511			XP_020881699.1	AL5G32140															
N15.HOG0000160	OG0000008	n516			XP_020881700.1	AL5G32150															
N15.HOG0000161	OG0000008	n534			XP_020879836.1																
N15.HOG0000162	OG0000008	n576			XP_020879665.1, XP_020882645.1																
N15.HOG0000163	OG0000008	n584			XP_020879646.1, XP_020872716.1																
N15.HOG0000164	OG0000008	n589			XP_020874196.1																
N15.HOG0000165	OG0000009	n7				AL251U10020, AL3G32130															
N15.HOG0000166	OG0000009	n38				AL1G49730															
N15.HOG0000167	OG0000009	n47				AL6G36520															
N15.HOG0000168	OG0000009	n57				AL8G14080															
N15.HOG0000169	OG0000009	n61			XP_020889795.1																
N15.HOG0000170	OG0000009	n85				AL5G15340															
N15.HOG0000171	OG0000009	n94			XP_020884776.1	AL6G10570															
N15.HOG0000172	OG0000009	n114				AL5G14390, AL5G21470															
N15.HOG0000173	OG0000009	n142				AL3G41770															
N15.HOG0000174	OG0000009	n145				AL8G42570															
N15.HOG0000175	OG0000009	n176			XP_020883429.1																
N15.HOG0000176	OG0000009	n192				AL2G12600															
N15.HOG0000177	OG0000009	n200				AL4G10690															
N15.HOG0000178	OG0000009	n261				AL3G38620, AL3G49760, AL4G40870, AL5G22670, AL1G55360															
N15.HOG0000179	OG0000009	n268				AL8G14160															
N15.HOG0000180	OG0000009	n296				AL7G37950															
N15.HOG0000181	OG0000009	n321				AL4G34770															
N15.HOG0000182	OG0000009	n414			XP_020877155.1, XP_020876055.1																
N15.HOG0000183	OG0000009	n481			XP_020876464.1	AL9U10020															
N15.HOG0000184	OG0000009	n491			XP_020881689.1																
N15.HOG0000185	OG0000009	n513			XP_020882780.1	AL4G46120, AL8G23160															
N15.HOG0000186	OG0000009	n563			XP_020867197.1	AL1G62100															
N15.HOG0000187	OG0000011	n14			XP_020881814.1																
N15.HOG0000188	OG0000011	n15			XP_020878850.1	AL6G32670															
N15.HOG0000189	OG0000011	n26			XP_020873638.1																
N15.HOG0000190	OG0000011	n57			XP_020878589.1, XP_020869090.1	AL8G22980															
N15.HOG0000191	OG0000011	n91			XP_020876758.1, XP_020889800.1, XP_020881514.1																
N15.HOG0000192	OG0000011	n115			XP_020891537.1																
N15.HOG0000193	OG0000011	n151			XP_020869856.1																
N15.HOG0000194	OG0000011	n153			XP_020885569.1, XP_020890688.1																
N15.HOG0000195	OG0000011	n158			XP_020890706.1	AL2G13960															
N15.HOG0000196	OG0000011	n159			XP_020866192.1, XP_020877161.1																
N15.HOG0000197	OG0000011	n165			XP_020877831.1																
N15.HOG0000198	OG0000011	n166			XP_020886056.1, XP_020881816.1, XP_020874677.1	AL7G34180															
N15.HOG0000199	OG0000011	n171			XP_020887011.1	AL8G40930															
N15.HOG0000200	OG0000011	n236				AL7G52850															
N15.HOG0000201	OG0000011	n246			XP_020872379.1, XP_020877201.1, XP_020879405.1	AL1G50520															
N15.HOG0000202	OG0000011	n252			XP_020871455.1	AL5G34620, AL5G17780															
N15.HOG0000203	OG0000011	n298			XP_020881858.1																
N15.HOG0000204	OG0000011	n310			XP_020888576.1																
N15.HOG0000205	OG0000011	n312			XP_020887134.1																
N15.HOG0000206	OG0000011	n316			XP_020887782.1																
N15.HOG0000207	OG0000011	n326			XP_020889569.1																
N15.HOG0000208	OG0000011	n336				AL2G26450															
N15.HOG0000209	OG0000011	n426			XP_020885819.1, XP_020866216.1																
N15.HOG0000210	OG0000011	n468			XP_020885594.1, XP_020870692.1																
N15.HOG0000211	OG0000011	n491			XP_020889856.1	AL8G24370															
N15.HOG0000212	OG0000011	n494			XP_020872445.1, XP_020875855.1																
N15.HOG0000213	OG0000011	n500			XP_020877678.1	AL6G47490															
N15.HOG0000214	OG0000011	n503			XP_020875848.1	AL2G23260															
N15.HOG0000215	OG0000011	n528			XP_020881813.1																
N15.HOG0000216	OG0000011	n529			XP_020866193.1, XP_020870462.1																
N15.HOG0000217	OG0000011	n532			XP_020875471.1, XP_020876980.1, XP_002888416.2	AL2G22330															
N15.HOG0000218	OG0000012	n417			XP_020871500.1	AL8G15640, AL3G37530															
N15.HOG0000219	OG0000012	n420				AL6G20560															
N15.HOG0000220	OG0000012	n467			XP_020891087.1	AL2G23040, AL5G42550, AL1G61200, AL3G31820, AL5G24930, AL4G33280															
N15.HOG0000221	OG0000012	n479				AL7G32640, AL2G22620															
N15.HOG0000222	OG0000012	n482				AL1G46320															
N15.HOG0000223	OG0000012	n483				AL5G10860, AL5G20750, AL3G52610, AL4G29050															
N15.HOG0000224	OG0000012	n493				AL7G40740, AL6G17980															
N15.HOG0000225	OG0000012	n497				AL4G10450															
N15.HOG0000226	OG0000012	n499				AL3G45980, AL4G24110															
N15.HOG0000227	OG0000012	n501			XP_020889836.1	AL2G22540															
N15.HOG0000228	OG0000012	n508				AL5G20450															
N15.HOG0000229	OG0000012	n523				AL971U10010															
N15.HOG0000230	OG0000012	n525				AL5G12390															
N15.HOG0000231	OG0000014	n126				AL4G20510															
N15.HOG0000232	OG0000014	n147				AL8G19810, AL2G20440															
N15.HOG0000233	OG0000014	n277				AL9U11460															
N15.HOG0000234	OG0000014	n434			XP_020871367.1	AL8G23060															
N15.HOG0000235	OG0000014	n509			XP_020871369.1																
N15.HOG0000236	OG0000015	n17			XP_020870556.1	AL7G47990, AL2G21990, AL5G11720, AL615U10010, AL1G54160															
N15.HOG0000237	OG0000015	n23				AL1G65620															
N15.HOG0000238	OG0000015	n29				AL5G11190															
N15.HOG0000239	OG0000015	n122			XP_020865814.1	AL25U10010, AL6G22310, AL7G26200															
N15.HOG0000240	OG0000015	n271				AL3G46060															
N15.HOG0000241	OG0000015	n309				AL8G27740, AL429U10010, AL792U10020, AL1G20970															
N15.HOG0000242	OG0000015	n321			XP_020890755.1, XP_020889910.1	AL8G24680, AL1G15850															
N15.HOG0000243	OG0000015	n375				AL3G46050															
N15.HOG0000244	OG0000015	n399				AL2G24310															
N15.HOG0000245	OG0000015	n425				AL1G29330, AL6G27260															
N15.HOG0000246	OG0000016	n34				AL5G24080															
N15.HOG0000247	OG0000016	n36				AL5G18180															
N15.HOG0000248	OG0000016	n56				AL2G23610															
N15.HOG0000249	OG0000016	n70				AL5G12380, AL5G12270															
N15.HOG0000250	OG0000016	n292				AL1G50200															
N15.HOG0000251	OG0000018	n49			XP_020876240.1																
N15.HOG0000252	OG0000020	n7			XP_020887777.1																
N15.HOG0000253	OG0000020	n120			XP_002862745.2	AL189U10010, AL189U10020															
N15.HOG0000254	OG0000020	n122			XP_020874187.1	AL3G44820, AL7G51100															
N15.HOG0000255	OG0000020	n294			XP_020879010.1	AL6G40580															
N15.HOG0000256	OG0000020	n297			XP_020874114.1	AL7G44020															
N15.HOG0000257	OG0000020	n298			XP_002883754.2	AL3G44050, AL460U10020															
N15.HOG0000258	OG0000020	n348				AL5G20560															
N15.HOG0000259	OG0000020	n371			XP_020873825.1, XP_020878844.1																
N15.HOG0000260	OG0000020	n398			XP_020877054.1	AL6G44350															
N15.HOG0000261	OG0000020	n402				AL5G20700, AL4G18270, AL4G19490, AL5G11530															
N15.HOG0000262	OG0000020	n406				AL6G46630															
N15.HOG0000263	OG0000020	n410			XP_020872420.1, XP_020884768.1	AL7G16690, AL7G11240, AL4G42290															
N15.HOG0000264	OG0000020	n433				AL4G19770															
N15.HOG0000265	OG0000021	n179			XP_020872563.1, XP_020870832.1																
N15.HOG0000266	OG0000021	n197			XP_020872717.1, XP_020874922.1, XP_020879645.1																
N15.HOG0000267	OG0000021	n208				AL39U10070															
N15.HOG0000268	OG0000021	n226			XP_020889705.1, XP_020876177.1, XP_020889912.1, XP_020882641.1, XP_020879663.1, XP_020876808.1, XP_020879537.1, XP_020888861.1	AL8G31610, AL7G45200, AL2G25080, AL5G20460															
N15.HOG0000269	OG0000021	n238			XP_020872277.1, XP_020871456.1, XP_020872555.1, XP_020886835.1	AL4G19440															
N15.HOG0000270	OG0000021	n242			XP_020867207.1, XP_020876809.1																
N15.HOG0000271	OG0000021	n296			XP_020887754.1	AL3G43480															
N15.HOG0000272	OG0000021	n297			XP_020885800.1, XP_020871592.1, XP_020879735.1	AL5G24330															
N15.HOG0000273	OG0000021	n300			XP_020879721.1, XP_020887591.1	AL3G37170, AL6G47300															
N15.HOG0000274	OG0000021	n303				AL5G41490, AL3G52170, AL2G40700, AL8G33160, AL4G18100, AL8G23170, AL4G13400															
N15.HOG0000275	OG0000021	n323			XP_020885208.1	AL4G20340															
N15.HOG0000276	OG0000021	n329				AL5G22660, AL3G44000															
N15.HOG0000277	OG0000021	n331			XP_020885137.1	AL4G18810															
N15.HOG0000278	OG0000021	n332			XP_020886953.1	AL564U10010															
N15.HOG0000279	OG0000021	n335			XP_020886960.1, XP_020890910.1	AL8G21810, AL2G20290, AL3G16850															
N15.HOG0000280	OG0000021	n339			XP_020885657.1	AL9U11790, AL4G19170															
N15.HOG0000281	OG0000021	n363				AL7G47350, AL7G51150															
N15.HOG0000282	OG0000021	n375			XP_020879723.1																
N15.HOG0000283	OG0000021	n382			XP_020874134.1																
N15.HOG0000284	OG0000021	n388			XP_020871964.1, XP_020874896.1, XP_020872412.1																
N15.HOG0000285	OG0000022	n2			XP_020873422.1																
N15.HOG0000286	OG0000022	n18			XP_020878202.1	AL6G27650															
N15.HOG0000287	OG0000022	n56				AL2G18840															
N15.HOG0000288	OG0000022	n60			XP_020865991.1	AL2G12810															
N15.HOG0000289	OG0000022	n62			XP_020890510.1	AL2G13140															
N15.HOG0000290	OG0000022	n64			XP_020865986.1	AL2G12820															
N15.HOG0000291	OG0000022	n68			XP_002886463.2	AL2G13170															
N15.HOG0000292	OG0000022	n70			XP_020865982.1	AL2G12830															
N15.HOG0000293	OG0000022	n83			XP_020889844.1	AL2G12470															
N15.HOG0000294	OG0000022	n92			XP_002886462.1	AL2G13120															
N15.HOG0000295	OG0000022	n110			XP_020891718.1	AL2G13280															
N15.HOG0000296	OG0000022	n118			XP_020891198.1																
N15.HOG0000297	OG0000022	n124			XP_020865792.1	AL2G11830															
N15.HOG0000298	OG0000022	n129			XP_020865844.1	AL2G13150															
N15.HOG0000299	OG0000022	n132			XP_020890513.1	AL2G13130															
N15.HOG0000300	OG0000022	n161				AL2G12460															
N15.HOG0000301	OG0000022	n162				AL2G12500															
N15.HOG0000302	OG0000022	n163			XP_020865987.1	AL2G12780															
N15.HOG0000303	OG0000022	n168			XP_020865810.1	AL2G11490															
N15.HOG0000304	OG0000022	n212			XP_020890773.1	AL2G13070															
N15.HOG0000305	OG0000022	n223			XP_020869316.1	AL1G24070															
N15.HOG0000306	OG0000022	n228			XP_002885504.2	AL3G36780															
N15.HOG0000307	OG0000022	n237			XP_020869509.1	AL1G24190															
N15.HOG0000308	OG0000022	n248				AL1G24380															
N15.HOG0000309	OG0000022	n264			XP_020868327.1	AL1G23970															
N15.HOG0000310	OG0000022	n267			XP_020870640.1, XP_020868325.1	AL1G24080															
N15.HOG0000311	OG0000022	n309			XP_020869508.1	AL1G23630, AL1G24180															
N15.HOG0000312	OG0000022	n313			XP_020870927.1	AL1G23620															
N15.HOG0000313	OG0000022	n336			XP_020869233.1	AL1G16610															
N15.HOG0000314	OG0000022	n347			XP_020865918.1	AL2G10190															
N15.HOG0000315	OG0000022	n357			XP_020890021.1	AL2G10200															
N15.HOG0000316	OG0000022	n369			XP_002868609.1	AL7G48260															
N15.HOG0000317	OG0000022	n386			XP_002883021.2	AL3G29640															
N15.HOG0000318	OG0000023	n21			XP_020885333.1	AL5G19710, AL8G19910, AL1G56220															
N15.HOG0000319	OG0000023	n35			XP_020870611.1																
N15.HOG0000320	OG0000023	n63				AL4G20380															
N15.HOG0000321	OG0000023	n88				AL7G45280, AL8G19630															
N15.HOG0000322	OG0000023	n102			XP_020875036.1	AL1G65660															
N15.HOG0000323	OG0000023	n106			XP_020871051.1	AL2G18620															
N15.HOG0000324	OG0000023	n118			XP_020885189.1																
N15.HOG0000325	OG0000023	n139			XP_020874097.1	AL8G19620															
N15.HOG0000326	OG0000023	n152				AL5G17960, AL7G43020, AL136U10040, AL8G18120, AL1G51450															
N15.HOG0000327	OG0000023	n177			XP_020876901.1																
N15.HOG0000328	OG0000023	n181			XP_020872176.1																
N15.HOG0000329	OG0000023	n184				AL6G40750															
N15.HOG0000330	OG0000023	n203				AL7G44260															
N15.HOG0000331	OG0000023	n250				AL5G21700, AL7G45880															
N15.HOG0000332	OG0000023	n261			XP_020881510.1, XP_020874804.1, XP_020872198.1																
N15.HOG0000333	OG0000023	n288				AL1G51090, AL1G55700, AL5G28690, AL7G32690, AL3G37740															
N15.HOG0000334	OG0000023	n296			XP_020865779.1																
N15.HOG0000335	OG0000023	n305			XP_020888558.1																
N15.HOG0000336	OG0000023	n308			XP_020874042.1																
N15.HOG0000337	OG0000023	n309			XP_020875073.1																
N15.HOG0000338	OG0000023	n313			XP_020873405.1																
N15.HOG0000339	OG0000023	n333			XP_020890011.1	AL2G19210															
N15.HOG0000340	OG0000023	n340			XP_020888454.1																
N15.HOG0000341	OG0000023	n353				AL8G29520															
N15.HOG0000342	OG0000023	n366				AL5G18610															
N15.HOG0000343	OG0000023	n370			XP_020866256.1	AL1G66070															
N15.HOG0000344	OG0000023	n387				AL2G22450															
N15.HOG0000345	OG0000024	n3				AL4G16470															
N15.HOG0000346	OG0000024	n82			XP_020866667.1																
N15.HOG0000347	OG0000024	n92			XP_002891475.2																
N15.HOG0000348	OG0000024	n103			XP_020869784.1	AL1G45240															
N15.HOG0000349	OG0000024	n106			XP_020870297.1	AL1G45470															
N15.HOG0000350	OG0000024	n110			XP_020870502.1	AL1G45480															
N15.HOG0000351	OG0000024	n112			XP_020866340.1	AL1G45490															
N15.HOG0000352	OG0000024	n116				AL1G45350															
N15.HOG0000353	OG0000024	n117			XP_002890925.2	AL1G45520															
N15.HOG0000354	OG0000024	n126			XP_020869389.1																
N15.HOG0000355	OG0000024	n127			XP_020869783.1																
N15.HOG0000356	OG0000024	n130			XP_020866486.1	AL1G45280															
N15.HOG0000357	OG0000024	n134			XP_020866487.1	AL1G45290															
N15.HOG0000358	OG0000024	n135			XP_002893661.2	AL1G45300															
N15.HOG0000359	OG0000024	n136			XP_020869388.1	AL1G45270															
N15.HOG0000360	OG0000024	n190				AL1G45340															
N15.HOG0000361	OG0000024	n198			XP_020866666.1	AL1G45540															
N15.HOG0000362	OG0000024	n204			XP_002890932.2	AL1G45590															
N15.HOG0000363	OG0000024	n205			XP_002890929.1	nbis-gene-188															
N15.HOG0000364	OG0000024	n207			XP_020866416.1	AL1G45230															
N15.HOG0000365	OG0000024	n208				AL1G45550															
N15.HOG0000366	OG0000024	n211			XP_002890930.2, XP_002890933.2	AL1G45570, AL1G45600															
N15.HOG0000367	OG0000024	n225			XP_002888578.2	nbis-gene-553															
N15.HOG0000368	OG0000024	n230			XP_020883507.1	AL4G14930															
