HOG	OG	Gene Tree Parent Clade	Alyssum_gmelinii	Arabidopsis_arenosa	Arabidopsis_lyrata_NCBI	Arabidopsis_lyrata_Rawat	Arabidopsis_thaliana	Arabis_alpina	Brassica_oleracea	Brassica_rapa	Camelina_sativa	Capsella_rubella	Cardamine_glauca	Cardamine_hirsuta	Cochlearia_excelsa	Conringia_planisiliqua	Euclidium_syriacum	Eutrema_salsugineum	Noccaea_praecox	Raphanus_sativus	Rorippa_islandica
N6.HOG0000039	OG0000002	n606																			Roisl.0204s0005.1.p
N6.HOG0000040	OG0000002	n608																			Roisl.0188s0060.1.p, Roisl.0040s0101.1.p
N6.HOG0000041	OG0000002	n621																			Roisl.0012s0044.1.p, Roisl.0200s0037.1.p, Roisl.0210s2181.1.p, Roisl.0014s0020.1.p, Roisl.0111s0033.1.p, Roisl.0022s0019.1.p, Roisl.0076s0006.1.p, Roisl.0214s0254.1.p, Roisl.0066s0414.1.p, Roisl.0006s0156.1.p, Roisl.0014s0086.1.p, Roisl.0083s0030.1.p, Roisl.0032s0054.1.p, Roisl.0041s0032.1.p
N6.HOG0000042	OG0000002	n863																			Roisl.0047s0024.1.p
N6.HOG0000043	OG0000003	n2											Cg008G2696300, Cg007G2280100								
N6.HOG0000044	OG0000003	n19											Cg006G1905700								
N6.HOG0000045	OG0000003	n52											Cg003G0916000								
N6.HOG0000046	OG0000003	n89																			Roisl.0075s0224.1.p, Roisl.0011s0302.1.p, Roisl.0210s0002.1.p, Roisl.0053s0016.1.p
N6.HOG0000047	OG0000003	n93											Cg004G1341600, Cg005G1702400								
N6.HOG0000048	OG0000003	n172											Cg001G0274200, Cg002G0686800								
N6.HOG0000049	OG0000003	n228																			Roisl.0005s0321.1.p, Roisl.0020s0174.1.p
N6.HOG0000050	OG0000003	n233																			Roisl.0083s0012.1.p, Roisl.0213s0877.1.p
N6.HOG0000051	OG0000003	n236																			Roisl.0058s0089.1.p
N6.HOG0000052	OG0000003	n255																			Roisl.0058s0052.1.p
N6.HOG0000053	OG0000003	n268																			Roisl.0189s0151.1.p, Roisl.0214s0907.1.p
N6.HOG0000054	OG0000003	n270																			Roisl.0047s0023.1.p, Roisl.0213s0678.1.p, Roisl.0005s0145.1.p, Roisl.0214s0184.1.p, Roisl.0188s0028.1.p, Roisl.0004s0406.1.p, Roisl.0053s0433.1.p, Roisl.0037s0060.1.p, Roisl.0184s0058.1.p
N6.HOG0000055	OG0000003	n295																			Roisl.0053s0045.1.p
N6.HOG0000056	OG0000003	n297																			Roisl.0189s0026.1.p
N6.HOG0000057	OG0000003	n299																			Roisl.0193s0022.1.p, Roisl.0020s0023.1.p, Roisl.0047s0047.1.p, Roisl.0213s0702.1.p, Roisl.0185s0035.1.p, Roisl.0179s0027.1.p
N6.HOG0000058	OG0000003	n308																			Roisl.0046s0266.1.p, Roisl.0013s0148.1.p, Roisl.0184s0125.1.p, Roisl.0191s0324.1.p, Roisl.0184s0019.1.p, Roisl.0041s0045.1.p, Roisl.0209s0112.1.p, Roisl.0111s0003.1.p
N6.HOG0000059	OG0000003	n320																			Roisl.0056s0038.1.p, Roisl.0213s0675.1.p
N6.HOG0000060	OG0000003	n323																			Roisl.0058s0002.1.p, Roisl.0012s0115.1.p
N6.HOG0000061	OG0000003	n325																			Roisl.0213s0710.1.p, Roisl.0213s0711.1.p, Roisl.0014s0059.1.p
N6.HOG0000062	OG0000003	n328																			Roisl.0213s0758.1.p
N6.HOG0000063	OG0000003	n465																			Roisl.0015s0133.1.p, Roisl.0017s0491.1.p, Roisl.0179s0077.1.p, Roisl.0058s0001.1.p
N6.HOG0000064	OG0000003	n517																			Roisl.0210s2108.1.p, Roisl.0193s0004.1.p, Roisl.0189s0031.1.p
N6.HOG0000065	OG0000003	n520																			Roisl.0124s0003.1.p, Roisl.0185s0057.1.p, Roisl.0210s2127.1.p, Roisl.0188s0002.1.p
N6.HOG0000066	OG0000003	n530																			Roisl.0061s0013.1.p, Roisl.0066s0222.1.p, Roisl.0023s0114.1.p, Roisl.0214s0241.1.p
N6.HOG0000067	OG0000003	n567																			Roisl.0194s0028.1.p, Roisl.0209s0038.1.p
N6.HOG0000068	OG0000003	n568																			Roisl.0046s0674.1.p, Roisl.0006s0559.1.p, Roisl.0029s0052.1.p, Roisl.0075s0146.1.p, Roisl.0047s0078.1.p, Roisl.0047s0014.1.p, Roisl.0215s0019.1.p, Roisl.0043s0035.1.p, Roisl.0045s0105.1.p, Roisl.0017s0492.1.p, Roisl.0064s0040.1.p, Roisl.0214s0079.1.p, Roisl.0108s0001.1.p, Roisl.0014s0079.1.p, Roisl.0014s0078.1.p, Roisl.0047s0051.1.p, Roisl.0046s0045.1.p, Roisl.0020s0030.1.p, Roisl.0047s0005.1.p
N6.HOG0000069	OG0000003	n588																			Roisl.0041s0053.1.p, Roisl.0008s0063.1.p, Roisl.0040s0026.1.p, Roisl.0015s0146.1.p, Roisl.0083s0007.1.p, Roisl.0066s0424.1.p
N6.HOG0000070	OG0000003	n594																			Roisl.0038s0064.1.p, Roisl.0210s2225.1.p
N6.HOG0000071	OG0000003	n715											Cg001G0323400, Cg008G2981700								
N6.HOG0000072	OG0000003	n755																			Roisl.0198s0065.1.p
N6.HOG0000073	OG0000003	n759																			Roisl.0179s0091.1.p, Roisl.0214s0894.1.p
N6.HOG0000074	OG0000004	n10											Cg008G2652500								
N6.HOG0000075	OG0000004	n16											Cg014G3042600								
N6.HOG0000076	OG0000004	n195											Cg005G1712500								
N6.HOG0000077	OG0000004	n222											Cg005G1670400, Cg002G0621600, Cg001G0187300, Cg004G1344800, Cg008G2898200, Cg004G1359700, Cg004G1347000, Cg003G0835900, Cg006G1875200, Cg006G1877400								
N6.HOG0000078	OG0000004	n235											Cg007G2356200, Cg005G1738500, Cg005G1738100, Cg005G1737900								
N6.HOG0000079	OG0000004	n249											Cg002G0566400, Cg004G1175600, Cg008G2960200, Cg001G0254800, Cg008G2671600, Cg008G2922100, Cg007G2351100, Cg005G1719500, Cg004G1384700, Cg002G0576600, Cg002G0577700								
N6.HOG0000080	OG0000004	n279																			Roisl.0022s0436.1.p
N6.HOG0000081	OG0000004	n620																			Roisl.0213s0732.1.p
N6.HOG0000082	OG0000004	n719											Cg005G1717800, Cg002G0635300, Cg007G2539100, Cg002G0579000								
N6.HOG0000083	OG0000004	n773											Cg011G3014900, Cg001G0291700, Cg002G0631600, Cg001G0232800, Cg005G1551600								
N6.HOG0000084	OG0000005	n24																			Roisl.0040s0022.1.p, Roisl.0036s0006.1.p
N6.HOG0000085	OG0000005	n26																			Roisl.0006s0578.1.p
N6.HOG0000086	OG0000005	n58																			Roisl.0046s0518.1.p
N6.HOG0000087	OG0000005	n146											Cg006G1917400								
N6.HOG0000088	OG0000005	n182																			Roisl.0195s0004.1.p, Roisl.0071s0013.1.p, Roisl.0041s0022.1.p
N6.HOG0000089	OG0000005	n222																			Roisl.0188s0017.1.p, Roisl.0040s0010.1.p, Roisl.0062s0027.1.p
N6.HOG0000090	OG0000005	n253											Cg005G1502300								
N6.HOG0000091	OG0000005	n280											Cg008G2853000, Cg008G2868800, Cg006G1917300								
N6.HOG0000092	OG0000005	n304																			Roisl.0194s0060.1.p
N6.HOG0000093	OG0000005	n314																			Roisl.0214s0118.1.p, Roisl.0214s0138.1.p
N6.HOG0000094	OG0000005	n317																			Roisl.0025s0107.1.p
N6.HOG0000095	OG0000005	n321																			Roisl.0015s0193.1.p
N6.HOG0000096	OG0000005	n337											Cg004G1316700, Cg001G0326200, Cg001G0340800								
N6.HOG0000097	OG0000005	n350																			Roisl.0027s0145.1.p
N6.HOG0000098	OG0000005	n370																			Roisl.0189s0112.1.p
N6.HOG0000099	OG0000005	n381																			Roisl.0083s0019.1.p
N6.HOG0000100	OG0000005	n382																			Roisl.0048s0032.1.p
N6.HOG0000101	OG0000005	n383																			Roisl.0015s0171.1.p, Roisl.0185s0098.1.p, Roisl.0040s0024.1.p, Roisl.0082s0029.1.p, Roisl.0210s2094.1.p, Roisl.0210s2173.1.p
N6.HOG0000102	OG0000005	n388																			Roisl.0023s0063.1.p, Roisl.0075s0018.1.p
N6.HOG0000103	OG0000005	n541																			Roisl.0082s0003.1.p
N6.HOG0000104	OG0000005	n542																			Roisl.0194s0063.1.p
N6.HOG0000105	OG0000005	n614																			Roisl.0201s0014.1.p, Roisl.0087s0005.1.p, Roisl.0014s0007.1.p, Roisl.0087s0007.1.p
N6.HOG0000106	OG0000005	n620																			Roisl.0195s0029.1.p
N6.HOG0000107	OG0000005	n657																			Roisl.0010s0028.1.p
N6.HOG0000108	OG0000005	n678																			Roisl.0211s0001.1.p, Roisl.0010s0029.1.p, Roisl.0082s0007.1.p, Roisl.0209s0534.1.p, Roisl.0213s0012.1.p
N6.HOG0000109	OG0000005	n684																			Roisl.0210s2163.1.p, Roisl.0083s0041.1.p
N6.HOG0000110	OG0000005	n686																			Roisl.0206s0002.1.p
N6.HOG0000111	OG0000005	n695																			Roisl.0075s0007.1.p
N6.HOG0000112	OG0000005	n696																			Roisl.0185s0041.1.p
N6.HOG0000113	OG0000005	n704																			Roisl.0061s0001.1.p, Roisl.0077s0002.1.p, Roisl.0087s0026.1.p, Roisl.0184s0028.1.p
N6.HOG0000114	OG0000005	n709																			Roisl.0061s0007.1.p
N6.HOG0000115	OG0000005	n718											Cg006G1917000, Cg006G1876300								Roisl.0033s0009.1.p
N6.HOG0000116	OG0000007	n4												CARHR128840, CARHR216900, CARHR184100, CARHR117490, CARHR293410							
N6.HOG0000117	OG0000007	n33											Cg006G1865000								
N6.HOG0000118	OG0000007	n35											Cg001G0098100								
N6.HOG0000119	OG0000007	n36												CARHR258710							
N6.HOG0000120	OG0000007	n44												CARHR180780, CARHR182530							
N6.HOG0000121	OG0000007	n48												CARHR182520							
N6.HOG0000122	OG0000007	n58												CARHR183200, CARHR262650							
N6.HOG0000123	OG0000007	n74												CARHR180980, CARHR287750							
N6.HOG0000124	OG0000007	n77												CARHR115290, CARHR256390, CARHR262640							
N6.HOG0000125	OG0000007	n83											Cg008G2911000	CARHR058800, CARHR052910, CARHR152010, CARHR154010							
N6.HOG0000126	OG0000007	n92											Cg001G0210800								
N6.HOG0000127	OG0000007	n95											Cg002G0590800								
N6.HOG0000128	OG0000007	n105												CARHR144660, CARHR100290							
N6.HOG0000129	OG0000007	n149											Cg006G1891100	CARHR060230, CARHR133710, CARHR271640, CARHR058320							
N6.HOG0000130	OG0000007	n155												CARHR054400, CARHR257440							
N6.HOG0000131	OG0000007	n162												CARHR216050							
N6.HOG0000132	OG0000007	n163											Cg004G1331500	CARHR266890							
N6.HOG0000133	OG0000007	n172												CARHR096020							
N6.HOG0000134	OG0000007	n177												CARHR029260, CARHR156010, CARHR051850							
N6.HOG0000135	OG0000007	n188												CARHR151410							
N6.HOG0000136	OG0000007	n419												CARHR150730							
N6.HOG0000137	OG0000007	n516												CARHR052510, CARHR024460							
N6.HOG0000138	OG0000007	n533												CARHR060220							
N6.HOG0000139	OG0000007	n534												CARHR271650							
N6.HOG0000140	OG0000007	n538												CARHR286510							
N6.HOG0000141	OG0000007	n545												CARHR054390							
N6.HOG0000142	OG0000007	n549												CARHR099640, CARHR266880, CARHR029270, CARHR156020							
N6.HOG0000143	OG0000007	n562												CARHR055800							
N6.HOG0000144	OG0000007	n563												CARHR216040							
N6.HOG0000145	OG0000007	n567												CARHR051840							Roisl.0064s0008.1.p
N6.HOG0000146	OG0000007	n594												CARHR032440, CARHR057030							
N6.HOG0000147	OG0000008	n29																			Roisl.0179s0023.1.p
N6.HOG0000148	OG0000008	n31												CARHR046080, CARHR116420							
N6.HOG0000149	OG0000008	n39												CARHR288670							Roisl.0006s0140.1.p
N6.HOG0000150	OG0000008	n40												CARHR257900, CARHR038360, CARHR181300, CARHR104250, CARHR286450, CARHR035440, CARHR117390, CARHR218770, CARHR031010							Roisl.0008s0117.1.p
N6.HOG0000151	OG0000008	n54												CARHR101910							
N6.HOG0000152	OG0000008	n63												CARHR159360							Roisl.0082s0661.1.p
N6.HOG0000153	OG0000008	n74												CARHR217630							Roisl.0036s0059.1.p
N6.HOG0000154	OG0000008	n80												CARHR102600							
N6.HOG0000155	OG0000008	n82												CARHR114980							
N6.HOG0000156	OG0000008	n85											Cg002G0653500, Cg002G0593800	CARHR258310, CARHR217850							Roisl.0029s0057.1.p, Roisl.0043s0001.1.p
N6.HOG0000157	OG0000008	n92												CARHR034850, CARHR181140, CARHR215020							
N6.HOG0000158	OG0000008	n144																			Roisl.0075s0191.1.p
N6.HOG0000159	OG0000008	n176												CARHR183140							Roisl.0025s0028.1.p
N6.HOG0000160	OG0000008	n179																			Roisl.0072s0014.1.p
N6.HOG0000161	OG0000008	n183																			Roisl.0053s0439.1.p
N6.HOG0000162	OG0000008	n265																			Roisl.0091s0691.1.p, Roisl.0058s0017.1.p, Roisl.0066s0187.1.p, Roisl.0066s0390.1.p, Roisl.0050s0011.1.p
N6.HOG0000163	OG0000008	n328												CARHR056560, CARHR114970, CARHR150550							
N6.HOG0000164	OG0000008	n370												CARHR293430							Roisl.0213s0742.1.p, Roisl.0188s0051.1.p
N6.HOG0000165	OG0000008	n382												CARHR035430, CARHR217860							Roisl.0066s0428.1.p, Roisl.0066s0426.1.p, Roisl.0008s0018.1.p
N6.HOG0000166	OG0000008	n398																			Roisl.0210s2153.1.p
N6.HOG0000167	OG0000008	n410												CARHR215010							Roisl.0082s0006.1.p
N6.HOG0000168	OG0000008	n416																			Roisl.0014s0141.1.p
N6.HOG0000169	OG0000008	n426											Cg007G2406600, Cg002G0593900	CARHR103540							Roisl.0214s0198.1.p
N6.HOG0000170	OG0000008	n429												CARHR118900							Roisl.0189s0008.1.p
N6.HOG0000171	OG0000008	n442																			Roisl.0036s0056.1.p, Roisl.0053s0438.1.p
N6.HOG0000172	OG0000008	n458												CARHR115010							Roisl.0037s0001.1.p, Roisl.0041s0027.1.p, Roisl.0213s0638.1.p
N6.HOG0000173	OG0000008	n476												CARHR291920, CARHR221030, CARHR117380							Roisl.0208s0049.1.p, Roisl.0065s0019.1.p, Roisl.0209s0203.1.p
N6.HOG0000174	OG0000008	n491											Cg002G0512100	CARHR161310, CARHR161290, CARHR161300							Roisl.0046s1128.1.p
N6.HOG0000175	OG0000008	n496											Cg002G0565700	CARHR161340							Roisl.0046s1132.1.p, Roisl.0046s1119.1.p
N6.HOG0000176	OG0000008	n509												CARHR161350							
N6.HOG0000177	OG0000008	n527												CARHR051890, CARHR217020, CARHR131120, CARHR164530, CARHR288680							
N6.HOG0000178	OG0000008	n534												CARHR103530							Roisl.0027s0062.1.p, Roisl.0058s0016.1.p
N6.HOG0000179	OG0000008	n547												CARHR257810, CARHR218380							
N6.HOG0000180	OG0000008	n550												CARHR259120							
N6.HOG0000181	OG0000008	n557												CARHR119350, CARHR214330							Roisl.0053s0125.1.p
N6.HOG0000182	OG0000008	n561												CARHR286130, CARHR178960							
N6.HOG0000183	OG0000008	n572												CARHR118910, CARHR216990, CARHR111800							
N6.HOG0000184	OG0000008	n576																			Roisl.0014s0136.1.p, Roisl.0214s0127.1.p, Roisl.0179s0096.1.p
N6.HOG0000185	OG0000008	n584																			Roisl.0033s0081.1.p, Roisl.0005s0371.1.p, Roisl.0020s0039.1.p
N6.HOG0000186	OG0000008	n589																			Roisl.0189s0101.1.p
N6.HOG0000187	OG0000009	n7											Cg003G0834900								
N6.HOG0000188	OG0000009	n47												CARHR145720							
N6.HOG0000189	OG0000009	n61											Cg007G2452800	CARHR034640, CARHR017910							
N6.HOG0000190	OG0000009	n85																			Roisl.0075s0043.1.p
N6.HOG0000191	OG0000009	n113												CARHR217600							
N6.HOG0000192	OG0000009	n114												CARHR160220							
N6.HOG0000193	OG0000009	n130												CARHR077050, CARHR056420, CARHR034120							
N6.HOG0000194	OG0000009	n142												CARHR091740							
N6.HOG0000195	OG0000009	n145												CARHR059740							
N6.HOG0000196	OG0000009	n200											Cg005G1728900								
N6.HOG0000197	OG0000009	n218											Cg001G0215900								
N6.HOG0000198	OG0000009	n268											Cg008G2714900								
N6.HOG0000199	OG0000009	n368											Cg005G1711000								
N6.HOG0000200	OG0000009	n397											Cg003G0797000								
N6.HOG0000201	OG0000009	n400											Cg005G1737500								Roisl.0008s0348.1.p
N6.HOG0000202	OG0000009	n417											Cg005G1717900, Cg003G0717800, Cg005G1769300								
N6.HOG0000203	OG0000009	n491											Cg008G2845600	CARHR114650							
N6.HOG0000204	OG0000009	n552																			Roisl.0066s0412.1.p
N6.HOG0000205	OG0000009	n563												CARHR153540							
N6.HOG0000206	OG0000009	n568												CARHR055780							
N6.HOG0000207	OG0000011	n2												CARHR218510							Roisl.0008s0052.1.p
N6.HOG0000208	OG0000011	n26											Cg008G2919200, Cg002G0664700, Cg003G0778000	CARHR259400							
N6.HOG0000209	OG0000011	n115																			Roisl.0201s0003.1.p
N6.HOG0000210	OG0000011	n125																			Roisl.0204s0130.1.p
N6.HOG0000211	OG0000011	n428																			Roisl.0019s0018.1.p
N6.HOG0000212	OG0000011	n503											Cg005G1679100								
N6.HOG0000213	OG0000012	n7												CARHR130420							Roisl.0031s0101.1.p, Roisl.0213s0834.1.p
N6.HOG0000214	OG0000012	n13												CARHR032720							
N6.HOG0000215	OG0000012	n17												CARHR190160, CARHR032710							Roisl.0013s0173.1.p, Roisl.0046s1019.1.p
N6.HOG0000216	OG0000012	n224																			Roisl.0007s0348.1.p, Roisl.0005s0302.1.p, Roisl.0074s0629.1.p, Roisl.0080s0608.1.p, Roisl.0115s0531.1.p, Roisl.0032s0103.1.p, Roisl.0006s0203.1.p, Roisl.0020s0178.1.p
N6.HOG0000217	OG0000012	n237																			Roisl.0024s0027.1.p, Roisl.0091s0798.1.p, Roisl.0189s0072.1.p, Roisl.0027s0111.1.p, Roisl.0028s0041.1.p, Roisl.0210s1889.1.p, Roisl.0091s0194.1.p, Roisl.0204s0043.1.p, Roisl.0056s0007.1.p
N6.HOG0000218	OG0000012	n296												CARHR256470							Roisl.0214s0631.1.p
N6.HOG0000219	OG0000012	n317																			Roisl.0209s0518.1.p
N6.HOG0000220	OG0000012	n345																			Roisl.0053s0082.1.p, Roisl.0012s0308.1.p, Roisl.0214s0226.1.p, Roisl.0046s0274.1.p, Roisl.0189s0022.1.p, Roisl.0189s0021.1.p, Roisl.0053s0277.1.p, Roisl.0012s0313.1.p
N6.HOG0000221	OG0000012	n402																			Roisl.0011s0567.1.p
N6.HOG0000222	OG0000012	n415																			Roisl.0198s0021.1.p, Roisl.0082s0083.1.p
N6.HOG0000223	OG0000012	n525											Cg004G1402400								
N6.HOG0000224	OG0000012	n538												CARHR032700							
N6.HOG0000225	OG0000014	n10																			Roisl.0071s0016.1.p, Roisl.0036s0113.1.p, Roisl.0214s0188.1.p, Roisl.0012s0102.1.p
N6.HOG0000226	OG0000014	n15																			Roisl.0053s0340.1.p, Roisl.0209s0503.1.p, Roisl.0194s0016.1.p
N6.HOG0000227	OG0000014	n89																			Roisl.0185s0037.1.p, Roisl.0066s0434.1.p
N6.HOG0000228	OG0000014	n126																			Roisl.0082s0067.1.p
N6.HOG0000229	OG0000014	n137																			Roisl.0055s0030.1.p
N6.HOG0000230	OG0000014	n138																			Roisl.0021s0586.1.p
N6.HOG0000231	OG0000014	n139																			Roisl.0191s0716.1.p
N6.HOG0000232	OG0000014	n150																			Roisl.0214s0221.1.p
N6.HOG0000233	OG0000014	n152																			Roisl.0066s0054.1.p, Roisl.0028s0694.1.p, Roisl.0082s0210.1.p, Roisl.0020s0166.1.p
N6.HOG0000234	OG0000014	n168																			Roisl.0204s0102.1.p
N6.HOG0000235	OG0000014	n177																			Roisl.0111s0029.1.p
N6.HOG0000236	OG0000014	n179																			Roisl.0050s0113.1.p, Roisl.0050s0122.1.p, Roisl.0209s0681.1.p, Roisl.0184s0043.1.p, Roisl.0066s0348.1.p, Roisl.0202s0002.1.p, Roisl.0066s0452.1.p, Roisl.0087s0027.1.p, Roisl.0075s0232.1.p, Roisl.0204s0101.1.p, Roisl.0179s0033.1.p, Roisl.0045s0064.1.p, Roisl.0040s0043.1.p, Roisl.0184s0044.1.p, Roisl.0184s0162.1.p, Roisl.0056s0049.1.p, Roisl.0191s0708.1.p, Roisl.0188s0121.1.p, Roisl.0075s0002.1.p
N6.HOG0000237	OG0000014	n206																			Roisl.0071s0004.1.p
N6.HOG0000238	OG0000014	n215																			Roisl.0184s0094.1.p, Roisl.0029s0055.1.p, Roisl.0009s0284.1.p, Roisl.0053s0435.1.p
N6.HOG0000239	OG0000014	n232																			Roisl.0061s0004.1.p
N6.HOG0000240	OG0000014	n235																			Roisl.0214s0420.1.p, Roisl.0058s0048.1.p, Roisl.0020s0183.1.p, Roisl.0012s0051.1.p, Roisl.0214s0915.1.p, Roisl.0179s0062.1.p, Roisl.0082s0454.1.p, Roisl.0064s0002.1.p, Roisl.0185s0078.1.p, Roisl.0213s0587.1.p, Roisl.0066s0172.1.p, Roisl.0082s0607.1.p, Roisl.0009s0256.1.p, Roisl.0019s0087.1.p, Roisl.0053s0039.1.p, Roisl.0009s0006.1.p, Roisl.0209s0538.1.p, Roisl.0058s0116.1.p, Roisl.0051s0028.1.p, Roisl.0213s0759.1.p, Roisl.0188s0034.1.p, Roisl.0214s0180.1.p, Roisl.0023s0031.1.p, Roisl.0184s0053.1.p, Roisl.0053s0422.1.p, Roisl.0189s0189.1.p, Roisl.0210s2165.1.p, Roisl.0038s0010.1.p, Roisl.0214s0038.1.p
N6.HOG0000241	OG0000014	n277																			Roisl.0023s0108.1.p
N6.HOG0000242	OG0000014	n434																			Roisl.0041s0069.1.p
N6.HOG0000243	OG0000014	n494																			Roisl.0214s0137.1.p
N6.HOG0000244	OG0000014	n503																			Roisl.0002s0076.1.p, Roisl.0029s0003.1.p, Roisl.0040s0055.1.p, Roisl.0055s0017.1.p, Roisl.0194s0041.1.p
N6.HOG0000245	OG0000015	n7																			Roisl.0209s0111.1.p, Roisl.0066s0288.1.p
N6.HOG0000246	OG0000015	n91																			Roisl.0214s0222.1.p, Roisl.0209s0283.1.p
N6.HOG0000247	OG0000015	n122											Cg001G0251200								
N6.HOG0000248	OG0000015	n181												CARHR258200, CARHR258330							
N6.HOG0000249	OG0000015	n218																			Roisl.0209s0284.1.p
N6.HOG0000250	OG0000015	n271																			Roisl.0010s0007.1.p
N6.HOG0000251	OG0000015	n292																			Roisl.0006s0026.1.p
N6.HOG0000252	OG0000015	n309																			Roisl.0214s0740.1.p
N6.HOG0000253	OG0000015	n364																			Roisl.0082s0057.1.p
N6.HOG0000254	OG0000015	n425											Cg007G2289100								
N6.HOG0000255	OG0000015	n441																			Roisl.0006s0132.1.p
N6.HOG0000256	OG0000015	n469											Cg004G1297400								
N6.HOG0000257	OG0000015	n479											Cg008G2857400								Roisl.0053s0047.1.p
N6.HOG0000258	OG0000015	n491																			Roisl.0032s0105.1.p
N6.HOG0000259	OG0000016	n2																			Roisl.0053s0071.1.p
N6.HOG0000260	OG0000016	n5																			Roisl.0061s0009.1.p
N6.HOG0000261	OG0000016	n7																			Roisl.0082s0482.1.p, Roisl.0005s0333.1.p, Roisl.0214s0474.1.p, Roisl.0082s0667.1.p, Roisl.0213s0724.1.p, Roisl.0214s0914.1.p, Roisl.0010s0009.1.p
N6.HOG0000262	OG0000016	n14																			Roisl.0092s0004.1.p, Roisl.0032s0061.1.p
