"Cardamine_amara"	"Arabidopsis_thaliana"	"single_Arabidopsis_thaliana"	"OL_Arabidopsis_thaliana"	"N0_HOG"	"N0_Arabidopsis_thaliana"	"OG_Orthogroup"	"OG_Arabidopsis_thaliana"	"RBH_B_id"	"RBH_A_length"	"RBH_B_length"	"RBH_A_qcovhsp"	"RBH_B_qcovhsp"	"RBH_length"	"RBH_pident"	"RBH_bitscore"	"BLAST_saccver"	"BLAST_pident"	"BLAST_length"	"BLAST_mismatch"	"BLAST_gapopen"	"BLAST_qstart"	"BLAST_qend"	"BLAST_sstart"	"BLAST_send"	"BLAST_evalue"	"BLAST_bitscore"	"BLAST_qcovhsp"	"BLAST_qlen"	"BLAST_slen"
"evm.model.RL_1.101"	"AT3G01220.1"	"AT3G01220.1"	"AT3G01220.1"	"N0.HOG0004732"	"AT3G01220.1"	"OG0001365"	"AT3G01220.1, AT5G15150.1"	"AT3G01220.1"	284	286	96	97	278	88.849	513	"AT3G01220.1"	88.849	278	25	2	1	274	1	276	0	514	96	284	286
"evm.model.RL_1.1010"	"AT3G10980.1"	"AT3G10980.1"	"AT3G10980.1"	"N0.HOG0006689"	"AT3G10980.1"	"OG0002372"	"AT3G10980.1, AT5G05350.1"	"AT3G10980.1"	556	563	99	100	563	91.119	1006	"AT3G10980.1"	91.474	563	40	4	1	555	1	563	0	1006	99	556	563
"evm.model.RL_1.1011"	"AT3G10985.1"	"AT3G10985.1"	"AT3G10985.1"	"N0.HOG0011754"	"AT3G10985.1"	"OG0005899"	"AT3G10985.1"	"AT3G10985.1"	108	110	99	100	110	90.909	189	"AT3G10985.1"	90.909	110	7	2	1	107	1	110	3.1e-64	189	99	108	110
"evm.model.RL_1.1012"	"AT3G10986.1"	"AT3G10986.1"	"AT3G10986.1"	"N0.HOG0023371"	"AT3G10986.1"	"OG0016762"	"AT3G10986.1"	"AT3G10986.1"	166	197	94	79	156	84.615	271	"AT3G10986.1"	84.615	156	24	0	1	156	1	156	1.56e-94	271	94	166	197
"evm.model.RL_1.1013"	"AT3G11000.2"	"AT3G11000.2"	"AT3G11000.2"	"N0.HOG0012643"	"AT3G11000.2"	"OG0006658"	"AT3G11000.2"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G11000.2"	69.091	495	82	6	24	454	120	607	0	655	95	455	607
"evm.model.RL_1.1014"	"AT3G11020.1"	"AT3G11020.1"	"AT3G11020.1"	"N0.HOG0012642"	"AT3G11020.1"	"OG0006657"	"AT3G11020.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G11020.1"	68.263	334	92	5	1	324	1	330	1.04e-140	400	99	325	330
"evm.model.RL_1.1015"	"AT3G61010.1, AT3G11040.3"	"AT3G11040.3"	"AT3G61010.1, AT3G11040.3"	"N0.HOG0017071"	"AT3G61010.1, AT3G11040.3"	"OG0010773"	"AT3G11040.3, AT3G61010.1"	"AT3G11040.3"	721	738	99	99	738	83.333	1271	"AT3G11040.3"	83.333	738	97	4	1	716	1	734	0	1271	99	721	738
"evm.model.RL_1.1016"	"AT3G11050.1"	"AT3G11050.1"	"AT3G11050.1"	"N0.HOG0021445"	"AT3G11050.1"	"OG0014884"	"AT3G11050.1"	"AT3G11050.1"	256	253	99	99	254	90.157	462	"AT3G11050.1"	90.157	254	22	1	1	254	1	251	1.56e-167	462	99	256	253
"evm.model.RL_1.1017"	"AT4G31660.1"	"AT4G31660.1"	NA	NA	NA	"OG0000187"	"AT4G31660.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G31680.1"	42.061	359	190	7	1	351	1	349	6.11e-91	279	99	353	462
"evm.model.RL_1.1018"	"AT3G11070.1"	"AT3G11070.1"	"AT3G11070.1"	"N0.HOG0005294"	"AT3G11070.1"	"OG0001655"	"AT3G11070.1, AT5G05520.1"	"AT3G11070.1"	518	520	99	100	524	84.351	853	"AT3G11070.1"	85.115	524	67	2	1	517	1	520	0	875	99	518	520
"evm.model.RL_1.1019"	"AT3G11090.1"	"AT3G11090.1"	"AT3G11090.1"	"N0.HOG0021447"	"AT3G11090.1"	"OG0014886"	"AT3G11090.1"	"AT3G11090.1"	164	165	99	100	165	95.758	316	"AT3G11090.1"	95.758	165	5	2	1	163	1	165	9.66e-113	316	99	164	165
"evm.model.RL_1.102"	"AT3G01210.1"	"AT3G01210.1"	"AT3G01210.1"	"N0.HOG0022127"	"AT3G01210.1"	"OG0015557"	"AT3G01210.1"	"AT3G01210.1"	251	249	99	100	250	88.8	404	"AT3G01210.1"	88.8	250	27	1	1	250	1	249	8.55e-145	404	99	251	249
"evm.model.RL_1.1020"	"AT3G11100.1"	"AT3G11100.1"	"AT3G11100.1"	"N0.HOG0006975"	"AT3G11100.1, AT5G05550.2"	"OG0002514"	"AT3G11100.1, AT5G05550.2"	"AT3G11100.1"	254	249	99	100	257	86.381	393	"AT3G11100.1"	88.327	257	18	3	1	253	1	249	9.87e-147	409	99	254	249
"evm.model.RL_1.1021"	"AT3G11110.1"	"AT3G11110.1"	"AT3G11110.1"	"N0.HOG0015985"	"AT3G11110.1"	"OG0009761"	"AT3G11110.1"	"AT3G11110.1"	157	158	99	99	157	84.076	242	"AT3G11110.1"	84.076	157	23	2	1	155	1	157	1.22e-83	242	99	157	158
"evm.model.RL_1.1022"	"AT3G11130.1"	"AT3G11130.1"	"AT3G11130.1"	NA	NA	"OG0000931"	"AT3G08530.1, AT3G11130.1"	"AT3G11130.1"	1706	1705	99	100	1705	99.003	3501	"AT3G11130.1"	99.003	1705	17	0	1	1705	1	1705	0	3501	99	1706	1705
"evm.model.RL_1.1023"	"AT3G11150.1"	"AT3G11150.1"	"AT3G11150.1"	"N0.HOG0021448"	"AT3G11150.1"	"OG0014887"	"AT3G11150.1"	"AT3G11150.1"	376	371	99	99	376	80.053	538	"AT3G11150.1"	80.585	376	64	3	1	375	1	368	0	560	99	376	371
"evm.model.RL_1.1024"	"AT3G11170.1"	"AT3G11170.1"	"AT3G11170.1"	"N0.HOG0014608"	"AT3G11170.1"	"OG0008468"	"AT3G11170.1"	"AT3G11170.1"	445	446	99	100	449	88.47	814	"AT3G11170.1"	88.47	451	40	5	1	444	1	446	0	814	99	445	446
"evm.model.RL_1.1025"	"AT3G11180.2"	"AT3G11180.2"	"AT3G11180.2"	"N0.HOG0005627"	"AT3G11180.2"	"OG0001817"	"AT3G11180.2, AT5G05600.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G11180.2"	87.023	262	34	0	1	262	136	397	1.45e-173	484	98	266	403
"evm.model.RL_1.1026"	"AT3G11200.1"	"AT3G11200.1"	NA	"N0.HOG0005705"	"AT5G05610.1, AT3G11200.1"	"OG0001860"	"AT3G11200.1, AT5G05610.1"	"AT3G11200.1"	246	246	99	99	244	96.311	493	"AT3G11200.1"	96.311	244	9	0	2	245	3	246	7.89e-180	493	99	246	246
"evm.model.RL_1.1027"	"AT3G11210.1"	"AT3G11210.1"	"AT3G11210.1"	"N0.HOG0013629"	"AT3G11210.1"	"OG0007555"	"AT3G11210.1"	"AT3G11210.1"	257	256	99	100	256	92.188	499	"AT3G11210.1"	92.188	256	20	0	1	256	1	256	0	499	99	257	256
"evm.model.RL_1.1028"	"AT3G11220.1"	"AT3G11220.1"	"AT3G11220.1"	"N0.HOG0019548"	"AT3G11220.1"	"OG0013057"	"AT3G11220.1"	"AT3G11220.1"	357	355	99	100	357	94.958	690	"AT3G11220.1"	94.958	357	15	2	1	356	1	355	0	690	99	357	355
"evm.model.RL_1.1029"	"AT3G11230.2"	"AT3G11230.2"	"AT3G11230.2"	"N0.HOG0009842"	"AT3G11230.2"	"OG0004297"	"AT3G11230.2"	"AT3G11230.2"	131	162	99	80	130	90	244	"AT3G11230.2"	90	130	12	1	1	130	34	162	8.53e-85	244	99	131	162
"evm.model.RL_1.103"	"AT3G01200.1"	"AT3G01200.1"	"AT3G01200.1"	"N0.HOG0014018"	"AT3G01200.1"	"OG0007916"	"AT3G01200.1"	"AT3G01200.1"	380	377	99	100	379	86.28	644	"AT3G01200.1"	86.28	379	50	1	1	379	1	377	0	671	99	380	377
"evm.model.RL_1.1030"	"AT3G11240.1"	"AT3G11240.1"	"AT3G11240.1"	"N0.HOG0026158"	"AT3G11240.1"	"OG0019402"	"AT3G11240.1"	"AT3G11240.1"	604	605	99	100	609	82.102	965	"AT3G11240.1"	82.102	609	99	5	1	603	1	605	0	965	99	604	605
"evm.model.RL_1.1031"	"AT3G11250.1"	"AT3G11250.1"	"AT3G11250.1"	"N0.HOG0003393"	"AT3G11250.1, AT3G09200.1"	"OG0000776"	"AT2G40010.1, AT3G09200.1, AT3G11250.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G11250.1"	92.57	323	24	0	1	323	1	323	0	560	99	324	323
"evm.model.RL_1.1032"	"AT3G11260.1"	"AT3G11260.1"	"AT3G11260.1"	"N0.HOG0024283"	"AT3G11260.1"	"OG0017651"	"AT3G11260.1"	"AT3G11260.1"	189	182	99	100	188	94.149	360	"AT3G11260.1"	94.149	188	5	3	1	188	1	182	3.04e-129	360	99	189	182
"evm.model.RL_1.1033"	"AT3G11270.1"	"AT3G11270.1"	"AT3G11270.1"	"N0.HOG0005955"	"AT3G11270.1"	"OG0001988"	"AT3G11270.1, AT5G05780.1"	"AT3G11270.1"	311	310	99	99	308	97.403	607	"AT3G11270.1"	97.403	308	8	0	1	308	1	308	0	607	99	311	310
"evm.model.RL_1.1034.1.687c87ec"	"AT3G11280.1"	"AT3G11280.1"	"AT3G11280.1"	"N0.HOG0013630"	"AT3G11280.1"	"OG0007556"	"AT3G11280.1"	"AT3G11280.1"	302	263	99	100	305	78.033	469	"AT3G11280.1"	78.033	305	21	2	1	301	1	263	3.93e-169	469	99	302	263
"evm.model.RL_1.1035"	"AT2G19220.1, AT3G11310.1, AT3G11300.1, AT3G11290.1"	"AT3G11290.1"	"AT2G19220.1, AT3G11310.1, AT3G11300.1, AT3G11290.1"	"N0.HOG0003938"	"AT5G05800.1, AT2G19220.1, AT3G11310.1, AT3G11300.1, AT3G11290.1"	"OG0000988"	"AT2G19220.1, AT3G11290.1, AT3G11300.1, AT3G11310.1, AT5G05800.1"	"AT3G11290.1"	451	460	99	99	455	72.308	692	"AT3G11290.1"	72.308	455	120	3	1	450	1	454	0	692	99	451	460
"evm.model.RL_1.1036"	"AT3G11320.1"	"AT3G11320.1"	"AT3G11320.1"	"N0.HOG0005706"	"AT3G11320.1"	"OG0001861"	"AT3G11320.1, AT5G05820.1"	"AT3G11320.1"	309	308	99	100	308	98.377	609	"AT3G11320.1"	98.377	308	5	0	1	308	1	308	0	609	99	309	308
"evm.model.RL_1.1037"	"AT3G11325.2"	"AT3G11325.2"	NA	NA	NA	NA	NA	"AT3G11325.2"	406	393	95	98	393	70.992	541	"AT3G11430.1"	59.841	503	103	5	1	405	1	502	0	570	99	406	502
"evm.model.RL_1.1038"	"AT3G11330.1"	"AT3G11330.1"	"AT3G11330.1"	"N0.HOG0015986"	"AT3G11330.1"	"OG0009762"	"AT3G11330.1"	"AT3G11330.1"	498	499	99	100	503	88.072	841	"AT3G11330.1"	88.668	503	47	3	1	497	1	499	0	845	99	498	499
"evm.model.RL_1.1039"	"AT3G11340.1"	"AT3G11340.1"	"AT3G11340.1"	"N0.HOG0021449"	"AT3G11340.1"	"OG0014888"	"AT3G11340.1"	"AT3G11340.1"	449	447	99	100	448	89.955	813	"AT3G11340.1"	89.955	448	44	1	1	448	1	447	0	813	99	449	447
"evm.model.RL_1.104"	"AT3G01190.1"	"AT3G01190.1"	"AT3G01190.1"	"N0.HOG0012199"	"AT3G01190.1"	"OG0006283"	"AT3G01190.1"	"AT3G01190.1"	322	321	99	100	321	86.604	581	"AT3G01190.1"	86.604	321	43	0	1	321	1	321	0	581	99	322	321
"evm.model.RL_1.1040"	"AT3G11350.1, AT3G11380.1, AT1G28020.1"	"AT3G11380.1"	NA	"N0.HOG0002057"	"AT3G11350.1, AT3G11380.1, AT1G28020.1"	"OG0000335"	"AT1G05005.1, AT1G28020.1, AT1G43010.1, AT3G11350.1, AT3G11380.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G11380.1"	59.331	568	158	6	1	523	1	540	0	573	74	708	541
"evm.model.RL_1.1041"	"AT3G11350.1"	"AT3G11350.1"	"AT3G11350.1"	"N0.HOG0002057"	"AT3G11350.1, AT3G11380.1, AT1G28020.1"	"OG0000335"	"AT1G05005.1, AT1G28020.1, AT1G43010.1, AT3G11350.1, AT3G11380.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G11380.1"	56.977	344	113	6	1	339	3	316	7.22e-105	317	99	340	541
"evm.model.RL_1.1042"	"AT2G20710.1"	"AT2G20710.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G20710.1"	46.512	43	22	1	10	52	340	381	9e-05	38.5	52	82	490
"evm.model.RL_1.1043"	"AT3G11390.1, AT3G11385.1, AT3G11370.1, AT3G11402.1"	"AT3G11390.1"	"AT3G11390.1, AT3G11385.1, AT3G11370.1, AT3G11402.1"	"N0.HOG0003123"	"AT3G59120.1, AT1G35610.1, AT3G13760.1, AT5G17960.1, AT2G17590.1, AT2G17600.1, AT3G59130.1, AT3G11390.1, AT3G11385.1, AT3G11370.1, AT3G11402.1"	"OG0000664"	"AT1G35610.1, AT2G17590.1, AT2G17600.1, AT3G11370.1, AT3G11385.1, AT3G11390.1, AT3G11402.1, AT3G13760.1, AT3G59120.1, AT3G59130.1, AT5G17960.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G11390.1"	68.152	606	168	10	89	678	110	706	0	813	85	696	710
"evm.model.RL_1.1044"	"AT3G11397.1"	"AT3G11397.1"	"AT3G11397.1"	"N0.HOG0006356"	"AT3G11397.1"	"OG0002189"	"AT3G11397.1, AT5G05987.1"	"AT3G11397.1"	210	209	99	100	209	94.258	381	"AT3G11397.1"	94.258	209	12	0	1	209	1	209	2.93e-145	402	99	210	209
"evm.model.RL_1.1045"	"AT3G11400.2"	"AT3G11400.2"	"AT3G11400.2"	"N0.HOG0005091"	"AT3G11400.2, AT5G06000.1"	"OG0001550"	"AT3G11400.2, AT5G06000.1"	"AT3G11400.2"	294	321	99	100	321	87.227	567	"AT3G11400.2"	87.227	321	13	2	1	293	1	321	0	567	99	294	321
"evm.model.RL_1.1046"	"AT3G11405.1"	"AT3G11405.1"	"AT3G11405.1"	"N0.HOG0019280"	"AT3G11405.1"	"OG0012798"	"AT3G11405.1"	"AT3G11405.1"	153	154	99	99	153	71.242	194	"AT3G11405.1"	71.242	153	42	1	1	151	1	153	8.46e-65	194	99	153	154
"evm.model.RL_1.1047"	"AT3G11410.1"	"AT3G11410.1"	"AT3G11410.1"	"N0.HOG0013631"	"AT3G11410.1"	"OG0007557"	"AT3G11410.1"	"AT3G11410.1"	407	399	99	100	407	89.189	666	"AT3G11410.1"	89.189	407	35	6	1	406	1	399	0	666	99	407	399
"evm.model.RL_1.1048"	"AT3G11420.1"	"AT3G11420.1"	"AT3G11420.1"	"N0.HOG0009382"	"AT3G11420.1"	"OG0003962"	"AT3G11420.1"	"AT3G11420.1"	503	505	99	100	505	89.109	931	"AT3G11420.1"	89.109	505	52	2	1	502	1	505	0	931	99	503	505
"evm.model.RL_1.1049"	"AT3G11430.1"	"AT3G11430.1"	"AT3G11430.1"	"N0.HOG0010441"	"AT3G11430.1"	"OG0004782"	"AT3G11430.1"	"AT3G11430.1"	503	502	99	100	502	92.829	957	"AT3G11430.1"	92.829	502	36	0	1	502	1	502	0	957	99	503	502
"evm.model.RL_1.105"	"AT3G01180.1"	"AT3G01180.1"	"AT3G01180.1"	"N0.HOG0018605"	"AT3G01180.1"	"OG0012172"	"AT3G01180.1"	"AT3G01180.1"	803	792	99	100	805	88.571	1449	"AT3G01180.1"	88.571	805	76	4	1	802	1	792	0	1452	99	803	792
"evm.model.RL_1.1050"	"AT3G11440.1"	"AT3G11440.1"	"AT3G11440.1"	"N0.HOG0012644"	"AT3G11440.1"	"OG0006659"	"AT3G11440.1"	"AT3G11440.1"	547	553	99	100	555	84.324	948	"AT3G11440.1"	84.324	555	76	6	1	546	1	553	0	948	99	547	553
"evm.model.RL_1.1051"	"AT3G11450.1"	"AT3G11450.1"	"AT3G11450.1"	"N0.HOG0005958"	"AT3G11450.1"	"OG0001989"	"AT3G11450.1, AT5G06110.1"	"AT3G11450.1"	647	647	99	100	647	92.89	1055	"AT3G11450.1"	92.89	647	45	1	1	646	1	647	0	1105	99	647	647
"evm.model.RL_1.1052"	"AT3G11460.1"	"AT3G11460.1"	"AT3G11460.1"	"N0.HOG0023373"	"AT3G11460.1"	"OG0016764"	"AT3G11460.1"	"AT3G11460.1"	624	623	99	100	623	88.764	1166	"AT3G11460.1"	88.764	623	70	0	1	623	1	623	0	1166	99	624	623
"evm.model.RL_1.1053"	"AT3G11470.1"	"AT3G11470.1"	"AT3G11470.1"	"N0.HOG0008813"	"AT2G02765.1, AT3G11470.1"	"OG0003600"	"AT2G02765.1, AT3G11470.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G11470.1"	83.721	301	42	3	1	295	1	300	0	516	99	296	300
"evm.model.RL_1.1054"	"AT3G11480.1"	"AT3G11480.1"	"AT3G11480.1"	"N0.HOG0002147"	"AT3G11480.1"	"OG0000361"	"AT3G11480.1, AT5G04370.2, AT5G04380.3, AT5G66430.1"	"AT3G11480.1"	378	379	99	100	379	82.85	657	"AT3G11480.1"	82.85	379	63	1	1	377	1	379	0	657	99	378	379
"evm.model.RL_1.1055"	"AT3G11490.1"	"AT3G11490.1"	"AT3G11490.1"	"N0.HOG0014779"	"AT3G11490.1"	"OG0008632"	"AT3G11490.1"	"AT3G11490.1"	441	435	99	100	442	89.593	712	"AT3G11490.1"	89.593	442	37	5	1	440	1	435	0	712	99	441	435
"evm.model.RL_1.1056"	"AT2G23930.1, AT3G11500.1"	"AT2G23930.1"	NA	NA	NA	"OG0002058"	"AT2G23930.1, AT3G11500.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G23930.1, AT3G11500.1"	94.937	79	4	0	1	79	1	79	6.73e-51	153	99	80	80
"evm.model.RL_1.1057"	"AT2G36160.1, AT3G11510.1, AT3G52580.1"	"AT3G52580.1"	NA	NA	NA	"OG0000404"	"AT2G36160.1, AT3G11510.1, AT3G52580.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G52580.1"	95.973	149	6	0	3	151	2	150	8.06e-104	293	98	152	150
"evm.model.RL_1.1058"	"AT3G11520.1"	"AT3G11520.1"	"AT3G11520.1"	"N0.HOG0017073"	"AT3G11520.1"	"OG0010775"	"AT3G11520.1"	"AT3G11520.1"	415	414	99	99	415	86.747	737	"AT3G11520.1"	86.747	415	50	3	1	413	1	412	0	737	99	415	414
"evm.model.RL_1.1059"	"AT3G11530.1"	"AT3G11530.1"	"AT3G11530.1"	"N0.HOG0013632"	"AT3G11530.1"	"OG0007558"	"AT3G11530.1"	"AT3G11530.1"	114	113	99	100	113	96.46	225	"AT3G11530.1"	96.46	113	4	0	1	113	1	113	2.52e-78	225	99	114	113
"evm.model.RL_1.106"	"AT3G01175.1"	"AT3G01175.1"	"AT3G01175.1"	"N0.HOG0023168"	"AT3G01175.1"	"OG0016576"	"AT3G01175.1"	"AT3G01175.1"	563	577	99	100	582	74.57	800	"AT3G01175.1"	74.742	582	122	9	1	562	1	577	0	800	99	563	577
"evm.model.RL_1.1060"	"AT3G11540.1"	"AT3G11540.1"	"AT3G11540.1"	"N0.HOG0014780"	"AT3G11540.1"	"OG0008633"	"AT3G11540.1"	"AT3G11540.1"	914	914	99	100	914	95.733	1833	"AT3G11540.1"	95.733	914	38	1	1	913	1	914	0	1833	99	914	914
"evm.model.RL_1.1061"	"AT3G11550.1"	"AT3G11550.1"	"AT3G11550.1"	"N0.HOG0005056"	"AT3G11550.1"	"OG0001531"	"AT3G11550.1, AT5G06200.1"	"AT3G11550.1"	205	204	99	99	203	91.133	293	"AT3G11550.1"	91.133	203	18	0	1	203	1	203	2.17e-108	308	99	205	204
"evm.model.RL_1.1062"	"AT3G11560.2"	"AT3G11560.2"	"AT3G11560.2"	"N0.HOG0019549"	"AT3G11560.2"	"OG0013058"	"AT3G11560.2"	"AT3G11560.2"	881	872	99	99	868	89.784	1598	"AT3G11560.2"	89.784	881	80	2	1	880	1	872	0	1599	99	881	872
"evm.model.RL_1.1063"	"AT3G11570.1"	"AT3G11570.1"	"AT3G11570.1"	"N0.HOG0005864"	"AT3G11570.1"	"OG0001944"	"AT3G11570.1, AT5G06230.1"	"AT3G11570.1"	428	427	99	100	428	92.523	784	"AT3G11570.1"	92.523	428	30	2	1	427	1	427	0	784	99	428	427
"evm.model.RL_1.1064.2.687c87ec.1.687c9a66"	"AT3G11580.3"	"AT3G11580.3"	"AT3G11580.3"	"N0.HOG0010512"	"AT3G11580.3"	"OG0004848"	"AT3G11580.3"	"AT3G11580.3"	280	371	95	69	271	84.502	427	"AT3G11580.3"	84.502	271	21	6	1	266	1	255	2.07e-151	427	95	280	371
"evm.model.RL_1.1065"	"AT3G11590.1"	"AT3G11590.1"	"AT3G11590.1"	"N0.HOG0019550"	"AT3G11590.1"	"OG0013059"	"AT3G11590.1"	"AT3G11590.1"	618	622	99	100	627	93.939	1129	"AT3G11590.1"	93.939	627	23	7	1	617	1	622	0	1129	99	618	622
"evm.model.RL_1.1066"	"AT3G11591.1"	"AT3G11591.1"	"AT3G11591.1"	"N0.HOG0017451"	"AT3G11591.1"	"OG0011116"	"AT3G11591.1"	"AT3G11591.1"	70	63	90	100	63	90.476	121	"AT3G11591.1"	90.476	63	6	0	7	69	1	63	1.17e-38	121	90	70	63
"evm.model.RL_1.1067"	"AT3G11600.1"	"AT3G11600.1"	"AT3G11600.1"	"N0.HOG0011872"	"AT3G11600.1"	"OG0005997"	"AT3G11600.1"	"AT3G11600.1"	111	117	99	100	117	84.615	185	"AT3G11600.1"	84.615	117	11	1	1	110	1	117	1.79e-62	185	99	111	117
"evm.model.RL_1.1068"	"AT3G11620.1"	"AT3G11620.1"	"AT3G11620.1"	"N0.HOG0013633"	"AT3G11620.1"	"OG0007559"	"AT3G11620.1"	"AT3G11620.1"	363	312	85	99	310	88.387	569	"AT3G11620.1"	88.387	310	36	0	53	362	3	312	0	570	85	363	312
"evm.model.RL_1.1069"	"AT3G11630.1"	"AT3G11630.1"	"AT3G11630.1"	"N0.HOG0006977"	"AT3G11630.1"	"OG0002515"	"AT3G11630.1, AT5G06290.1"	"AT3G11630.1"	266	266	99	100	266	95.489	515	"AT3G11630.1"	95.489	266	11	1	1	265	1	266	0	515	99	266	266
