"Euclidium_syriacum"	"prot_length"	"Arabidopsis_thaliana"	"single_Arabidopsis_thaliana"	"homologue_type"	"OL_Arabidopsis_thaliana"	"N0_HOG"	"N0_Arabidopsis_thaliana"	"OG_Orthogroup"	"OG_Arabidopsis_thaliana"	"RBH_B_id"	"RBH_A_length"	"RBH_B_length"	"RBH_A_qcovhsp"	"RBH_B_qcovhsp"	"RBH_length"	"RBH_pident"	"RBH_bitscore"	"BLAST_saccver"	"BLAST_pident"	"BLAST_length"	"BLAST_mismatch"	"BLAST_gapopen"	"BLAST_qstart"	"BLAST_qend"	"BLAST_sstart"	"BLAST_send"	"BLAST_evalue"	"BLAST_bitscore"	"BLAST_qcovhsp"	"BLAST_qlen"	"BLAST_slen"
"ESY10_g13757_DN3_SP0_c0.t1"	264	"AT3G27210.1"	"AT3G27210.1"	"orthologue"	"AT3G27210.1"	"N0.HOG0013566"	"AT3G27210.1"	"OG0007502"	"AT3G27210.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G27210.1"	"69.922"	"256"	"40"	"9"	"12"	"264"	"13"	"234"	"8.09e-87"	"258"	"95"	"265"	"234"
"ESY10_g13758_DN3_SP3_c0.t1"	174	"AT3G27200.1"	"AT3G27200.1"	"orthologue"	"AT3G27200.1"	"N0.HOG0013565"	"AT3G27200.1"	"OG0007501"	"AT3G27200.1"	"AT3G27200.1"	175	174	99	100	174	81.034	252	"AT3G27200.1"	"81.034"	"174"	"33"	"0"	"1"	"174"	"1"	"174"	"4.16e-87"	"252"	"99"	"175"	"174"
"ESY10_g13759_DN3_SP8_c0.t1"	483	"AT3G27190.1"	"AT3G27190.1"	"orthologue"	"AT3G27190.1"	"N0.HOG0005942"	"AT3G27190.1"	"OG0001983"	"AT3G27190.1, AT5G40870.1"	"AT3G27190.1"	484	483	99	100	483	95.238	951	"AT3G27190.1"	"95.238"	"483"	"23"	"0"	"1"	"483"	"1"	"483"	"0"	"951"	"99"	"484"	"483"
"ESY10_g13761_DN3_SP8_c0.t1"	521	"AT3G27180.1"	"AT3G27180.1"	"orthologue"	"AT3G27180.1"	"N0.HOG0019455"	"AT3G27180.1"	"OG0012964"	"AT3G27180.1"	"AT3G27180.1"	522	518	94	94	490	90.816	894	"AT3G27180.1"	"91.02"	"490"	"40"	"3"	"1"	"489"	"2"	"488"	"0"	"915"	"94"	"522"	"518"
"ESY10_g13762_DN3_SP8_c0.t1"	772	"AT3G27170.1"	"AT3G27170.1"	"orthologue"	"AT3G27170.1"	"N0.HOG0005279"	"AT3G27170.1"	"OG0001647"	"AT3G27170.1, AT5G40890.1"	"AT3G27170.1"	773	780	99	99	779	92.041	1455	"AT3G27170.1"	"92.041"	"779"	"55"	"2"	"1"	"772"	"2"	"780"	"0"	"1455"	"99"	"773"	"780"
"ESY10_g13763_DN3_SP7_c0.t1"	181	"AT3G27160.2"	"AT3G27160.2"	"orthologue"	"AT3G27160.2"	"N0.HOG0014741"	"AT3G27160.2"	"OG0008594"	"AT3G27160.2"	"AT3G27160.2"	181	218	98	83	183	82.514	257	"AT3G27160.2"	"82.514"	"183"	"24"	"3"	"1"	"178"	"1"	"180"	"8.92e-90"	"261"	"98"	"181"	"218"
"ESY10_g13767_DN3_SP0_c0.t1"	408	"AT3G27150.1"	"AT3G27150.1"	"orthologue"	"AT3G27150.1"	"N0.HOG0019454"	"AT3G27150.1"	"OG0012963"	"AT3G27150.1"	"AT3G27150.1"	409	422	99	100	422	77.725	653	"AT3G27150.1"	"77.725"	"422"	"80"	"5"	"1"	"408"	"1"	"422"	"0"	"653"	"99"	"409"	"422"
"ESY10_g13768_DN3_SP4_c0.t1"	650	"AT3G27120.1"	"AT3G27120.1"	"orthologue"	"AT3G27120.1"	"N0.HOG0019453"	"AT3G27120.1"	"OG0012962"	"AT3G27120.1"	"AT3G27120.1"	651	680	99	96	651	89.094	1127	"AT3G27120.1"	"89.555"	"651"	"66"	"2"	"1"	"650"	"31"	"680"	"0"	"1157"	"99"	"651"	"680"
"ESY10_g13769_DN3_SP8_c0.t1"	342	"AT3G27110.1"	"AT3G27110.1"	"orthologue"	"AT3G27110.1"	"N0.HOG0021345"	"AT3G27110.1"	"OG0014786"	"AT3G27110.1"	"AT3G27110.1"	342	344	100	100	344	91.86	642	"AT3G27110.1"	"91.86"	"344"	"26"	"1"	"1"	"342"	"1"	"344"	"0"	"642"	"100"	"342"	"344"
"ESY10_g13770_DN3_SP8_c0.t1"	131	"AT3G27100.1"	"AT3G27100.1"	"orthologue"	"AT3G27100.1"	"N0.HOG0018080"	"AT3G27100.1"	"OG0011684"	"AT3G27100.1"	"AT3G27100.1"	132	115	86	99	114	93.86	216	"AT3G27100.1"	"93.86"	"114"	"6"	"1"	"19"	"131"	"2"	"115"	"3.58e-74"	"216"	"86"	"132"	"115"
"ESY10_g13771_DN3_SP8_c0.t1"	291	"AT3G27090.1"	"AT3G27090.1"	"orthologue"	"AT3G27090.1"	"N0.HOG0011433"	"AT3G27090.1"	"OG0005624"	"AT3G27090.1"	"AT3G27090.1"	292	296	99	100	297	87.205	518	"AT3G27090.1"	"88.889"	"297"	"26"	"2"	"1"	"291"	"1"	"296"	"0"	"521"	"99"	"292"	"296"
"ESY10_g13775_DN2_SP0_c0.t1"	145	"AT3G27080.1"	"AT3G27080.1"	"orthologue"	"AT3G27080.1"	"N0.HOG0005685"	"AT3G27080.1"	"OG0001850"	"AT3G27080.1, AT5G40930.1"	"AT3G27080.1"	146	202	99	72	146	75.342	220	"AT3G27080.1"	"76.027"	"146"	"33"	"1"	"1"	"144"	"56"	"201"	"7.05e-79"	"231"	"99"	"146"	"202"
"ESY10_g13776_DN3_SP0_c0.t1"	331	"AT3G27060.1"	"AT3G27060.1"	"orthologue"	"AT3G27060.1"	NA	NA	"OG0006057"	"AT3G27060.1"	"AT3G27060.1"	332	332	99	100	332	96.988	672	"AT3G27060.1"	"96.988"	"332"	"9"	"1"	"1"	"331"	"1"	"332"	"0"	"672"	"99"	"332"	"332"
"ESY10_g13777_DN3_SP7_c0.t1"	181	"AT3G27050.1"	"AT3G27050.1"	"orthologue"	"AT3G27050.1"	"N0.HOG0021344"	"AT3G27050.1"	"OG0014785"	"AT3G27050.1"	"AT3G27050.1"	182	182	99	99	180	91.667	310	"AT3G27050.1"	"91.667"	"180"	"15"	"0"	"2"	"181"	"3"	"182"	"7.65e-110"	"310"	"99"	"182"	"182"
"ESY10_g13778_DN2_SP0_c0.t1"	69	"AT5G08391.1"	"AT5G08391.1"	"other"	NA	NA	NA	"OG0002765"	"AT5G08391.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G27030.1"	"89.394"	"66"	"7"	"0"	"1"	"66"	"1"	"66"	"3.29e-37"	"120"	"94"	"70"	"142"
"ESY10_g13779_DN3_SP0_c0.t1"	69	"AT3G27030.1"	"AT3G27030.1"	"orthologue"	"AT3G27030.1"	"N0.HOG0013564"	"AT3G27030.1"	"OG0007500"	"AT3G27030.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G27030.1"	"91.304"	"69"	"6"	"0"	"1"	"69"	"74"	"142"	"7.95e-41"	"129"	"99"	"70"	"142"
"ESY10_g13780_DN1_SP0_c0.t1"	69	"AT3G27027.1"	"AT3G27027.1"	"orthologue"	"AT3G27027.1"	"N0.HOG0009149"	"AT3G27027.1"	"OG0003813"	"AT3G27027.1, AT5G40980.1"	"AT3G27027.1"	70	69	99	100	69	98.551	134	"AT3G27027.1"	"98.551"	"69"	"1"	"0"	"1"	"69"	"1"	"69"	"1.51e-43"	"134"	"99"	"70"	"69"
"ESY10_g13781_DN3_SP0_c0.t1"	297	"AT3G27025.1"	"AT3G27025.1"	"orthologue"	"AT3G27025.1"	"N0.HOG0012608"	"AT3G27025.1"	"OG0006628"	"AT3G27025.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G27025.1"	"57.931"	"290"	"103"	"6"	"10"	"287"	"1"	"283"	"1.35e-96"	"286"	"93"	"298"	"289"
"ESY10_g13783_DN3_SP8_c11.t1"	677	"AT3G27020.1"	"AT3G27020.1"	"orthologue"	"AT3G27020.1"	"N0.HOG0008105"	"AT3G27020.1"	"OG0003147"	"AT3G27020.1, AT5G41000.1"	"AT3G27020.1"	678	676	99	100	678	94.248	1297	"AT3G27020.1"	"94.248"	"678"	"36"	"2"	"1"	"677"	"1"	"676"	"0"	"1297"	"99"	"678"	"676"
"ESY10_g13793_DN2_SP0_c0.t1"	277	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G35440.1"	"32.558"	"86"	"57"	"1"	"56"	"141"	"106"	"190"	"0.004"	"37.7"	"31"	"277"	"247"
"ESY10_g13795_DN3_SP0_c0.t1"	298	"AT3G27010.1"	"AT3G27010.1"	"orthologue"	"AT3G27010.1"	"N0.HOG0019452"	"AT3G27010.1"	"OG0012961"	"AT3G27010.1"	"AT3G27010.1"	299	314	99	100	324	72.393	372	"AT3G27010.1"	"74.074"	"324"	"48"	"11"	"1"	"298"	"1"	"314"	"1.15e-134"	"383"	"99"	"299"	"314"
"ESY10_g13796_DN3_SP0_c0.t1"	177	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ESY10_g13797_DN1_SP0_c0.t1"	93	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G48060.1"	"34.211"	"38"	"25"	"0"	"54"	"91"	"463"	"500"	"0.048"	"31.6"	"40"	"94"	"1036"
"ESY10_g13799_DN3_SP8_c5.t1"	368	"AT3G27000.1"	"AT3G27000.1"	"orthologue"	"AT3G27000.1"	"N0.HOG0013562"	"AT3G27000.1"	"OG0007499"	"AT3G27000.1"	"AT3G27000.1"	369	389	98	94	365	90.685	682	"AT3G27000.1"	"90.685"	"365"	"30"	"1"	"8"	"368"	"25"	"389"	"0"	"682"	"98"	"369"	"389"
"ESY10_g13800_DN3_SP0_c0.t1"	121	"AT1G43810.1"	"AT1G43810.1"	"orthologue"	"AT1G43810.1"	"N0.HOG0026839"	"AT1G43810.1"	"OG0020003"	"AT1G43810.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G43810.1"	"46.61"	"118"	"56"	"3"	"2"	"118"	"4"	"115"	"2.55e-26"	"94.4"	"96"	"122"	"117"
"ESY10_g13801_DN1_SP0_c0.t1"	100	"AT3G44760.1"	"AT3G44760.1"	"orthologue"	"AT3G44760.1"	"N0.HOG0017877"	"AT3G44760.1"	"OG0011506"	"AT3G44760.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G44770.1"	"34.746"	"118"	"34"	"4"	"13"	"91"	"362"	"475"	"3.52e-11"	"57.8"	"78"	"101"	"505"
"ESY10_g13802_DN2_SP0_c0.t1"	104	"AT1G43790.1"	"AT1G43790.1"	"other"	NA	NA	NA	"OG0010870"	"AT1G43790.1"	"AT1G43790.1"	105	116	90	82	95	72.632	111	"AT1G43790.1"	"72.632"	"95"	"26"	"0"	"5"	"99"	"16"	"110"	"1.97e-39"	"127"	"90"	"105"	"116"
"ESY10_g13803_DN3_SP0_c0.t1"	56	"AT1G06220.1"	"AT1G06220.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G06220.1"	"76.596"	"47"	"7"	"1"	"1"	"43"	"728"	"774"	"8.16e-20"	"80.1"	"75"	"57"	"987"
"ESY10_g13804_DN3_SP0_c0.t1"	252	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G11730.1"	"81.333"	"75"	"14"	"0"	"106"	"180"	"78"	"152"	"2.87e-34"	"126"	"30"	"253"	"384"
"ESY10_g13805_DN1_SP0_c0.t1"	63	"AT5G20510.1"	"AT5G20510.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G20510.1"	"80.556"	"36"	"6"	"1"	"28"	"63"	"226"	"260"	"1.51e-15"	"67.4"	"56"	"64"	"260"
"ESY10_g13806_DN2_SP0_c0.t1"	140	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G11620.1"	"25.954"	"131"	"87"	"3"	"3"	"133"	"314"	"434"	"1.1e-06"	"46.2"	"93"	"141"	"491"
"ESY10_g13807_DN3_SP0_c0.t1"	134	"AT3G26960.1"	"AT3G26960.1"	"orthologue"	"AT3G26960.1"	"N0.HOG0005479"	"AT3G26960.1"	"OG0001744"	"AT3G26960.1, AT5G41050.1"	"AT3G26960.1"	134	174	100	78	136	77.941	221	"AT3G26960.1"	"77.941"	"136"	"27"	"2"	"1"	"134"	"40"	"174"	"2.43e-75"	"221"	"100"	"134"	"174"
"ESY10_g13808_DN3_SP7_c0.t1"	137	"AT3G26980.1"	"AT3G26980.1"	"orthologue"	"AT3G26980.1"	"N0.HOG0012607"	"AT3G26980.1"	"OG0006627"	"AT3G26980.1"	"AT3G26980.1"	137	120	100	100	137	80.292	203	"AT3G26980.1"	"81.022"	"137"	"9"	"1"	"1"	"137"	"1"	"120"	"2.91e-75"	"219"	"100"	"137"	"120"
"ESY10_g13809_DN3_SP0_c0.t1"	485	"AT3G26990.1"	"AT3G26990.1"	"orthologue"	"AT3G26990.1"	"N0.HOG0019451"	"AT3G26990.1"	"OG0012960"	"AT3G26990.1"	"AT3G26990.1"	486	513	99	100	522	77.011	678	"AT3G26990.1"	"77.969"	"522"	"69"	"10"	"1"	"485"	"1"	"513"	"0"	"678"	"99"	"486"	"513"
"ESY10_g13810_DN3_SP7_c0.t1"	552	"AT3G26950.1"	"AT3G26950.1"	"orthologue"	"AT3G26950.1"	"N0.HOG0021343"	"AT3G26950.1"	"OG0014784"	"AT3G26950.1"	"AT3G26950.1"	553	548	99	100	552	88.768	998	"AT3G26950.1"	"88.768"	"552"	"58"	"1"	"1"	"552"	"1"	"548"	"0"	"998"	"99"	"553"	"548"
