"Noccaea_praecox"	"prot_length"	"Arabidopsis_thaliana"	"single_Arabidopsis_thaliana"	"homologue_type"	"OL_Arabidopsis_thaliana"	"N0_HOG"	"N0_Arabidopsis_thaliana"	"OG_Orthogroup"	"OG_Arabidopsis_thaliana"	"RBH_B_id"	"RBH_A_length"	"RBH_B_length"	"RBH_A_qcovhsp"	"RBH_B_qcovhsp"	"RBH_length"	"RBH_pident"	"RBH_bitscore"	"BLAST_saccver"	"BLAST_pident"	"BLAST_length"	"BLAST_mismatch"	"BLAST_gapopen"	"BLAST_qstart"	"BLAST_qend"	"BLAST_sstart"	"BLAST_send"	"BLAST_evalue"	"BLAST_bitscore"	"BLAST_qcovhsp"	"BLAST_qlen"	"BLAST_slen"
"Np001G000200"	222	"AT5G66070.2"	"AT5G66070.2"	"orthologue"	"AT5G66070.2"	"N0.HOG0017380"	"AT5G66070.2"	"OG0011055"	"AT5G66070.2"	"AT5G66070.2"	223	245	99	100	246	82.114	376	"AT5G66070.2"	"82.114"	"246"	"19"	"2"	"1"	"222"	"1"	"245"	"7.72e-141"	"393"	"99"	"223"	"245"
"Np001G000210"	388	"AT5G66080.1"	"AT5G66080.1"	"orthologue"	"AT5G66080.1"	"N0.HOG0008869"	"AT5G66080.1"	"OG0003635"	"AT3G51370.1, AT5G66080.1"	"AT5G66080.1"	389	385	99	100	389	88.946	696	"AT5G66080.1"	"88.946"	"389"	"38"	"3"	"1"	"388"	"1"	"385"	"0"	"696"	"99"	"389"	"385"
"Np001G000220"	204	"AT5G66090.1"	"AT5G66090.1"	"orthologue"	"AT5G66090.1"	"N0.HOG0020121"	"AT5G66090.1"	"OG0013606"	"AT5G66090.1"	"AT5G66090.1"	205	210	99	96	203	79.717	267	"AT5G66090.1"	"79.717"	"212"	"33"	"4"	"1"	"204"	"1"	"210"	"1.2e-106"	"305"	"99"	"205"	"210"
"Np001G000230"	438	"AT5G66100.1"	"AT5G66100.1"	"orthologue"	"AT5G66100.1"	"N0.HOG0024584"	"AT5G66100.1"	"OG0017935"	"AT5G66100.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G66100.1"	"64.84"	"438"	"113"	"12"	"26"	"438"	"29"	"450"	"1.95e-168"	"480"	"94"	"439"	"453"
"Np001G000240"	148	"AT5G66110.1"	"AT5G66110.1"	"orthologue"	"AT5G66110.1"	"N0.HOG0023654"	"AT5G66110.1"	"OG0017042"	"AT5G66110.1"	"AT5G66110.1"	149	147	99	100	148	92.568	283	"AT5G66110.1"	"92.568"	"148"	"10"	"1"	"1"	"148"	"1"	"147"	"4.37e-100"	"283"	"99"	"149"	"147"
"Np001G000250"	85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Np001G000260"	442	"AT5G66120.2"	"AT5G66120.2"	"orthologue"	"AT5G66120.2"	"N0.HOG0018507"	"AT5G66120.2"	"OG0012083"	"AT5G66120.2"	"AT5G66120.2"	443	442	99	100	445	90.787	818	"AT5G66120.2"	"90.787"	"445"	"35"	"2"	"1"	"442"	"1"	"442"	"0"	"818"	"99"	"443"	"442"
"Np001G000270"	596	"AT5G66130.1"	"AT5G66130.1"	"orthologue"	"AT5G66130.1"	"N0.HOG0020120"	"AT5G66130.1"	"OG0013605"	"AT5G66130.1"	"AT5G66130.1"	597	599	98	99	596	84.06	1001	"AT5G66130.1"	"84.06"	"596"	"86"	"4"	"9"	"596"	"5"	"599"	"0"	"1003"	"98"	"597"	"599"
"Np001G000280"	250	"AT5G66140.1"	"AT5G66140.1"	"orthologue"	"AT5G66140.1"	"N0.HOG0007997"	"AT5G66140.1"	"OG0003078"	"AT3G51260.1, AT5G66140.1"	"AT5G66140.1"	251	250	99	100	250	97.6	502	"AT5G66140.1"	"97.6"	"250"	"6"	"0"	"1"	"250"	"1"	"250"	"0"	"502"	"99"	"251"	"250"
"Np001G000290"	1028	"AT5G66150.1"	"AT5G66150.1"	"orthologue"	"AT5G66150.1"	"N0.HOG0025098"	"AT5G66150.1"	"OG0018427"	"AT5G66150.1"	"AT5G66150.1"	1029	1047	99	99	1042	81.382	1738	"AT5G66150.1"	"81.382"	"1042"	"171"	"5"	"5"	"1028"	"11"	"1047"	"0"	"1738"	"99"	"1029"	"1047"
"Np001G000300"	328	"AT5G66160.1"	"AT5G66160.1"	"orthologue"	"AT5G66160.1"	"N0.HOG0022018"	"AT5G66160.1"	"OG0015450"	"AT5G66160.1"	"AT5G66160.1"	329	310	94	99	309	83.172	533	"AT5G66160.1"	"83.172"	"309"	"51"	"1"	"20"	"327"	"1"	"309"	"0"	"533"	"94"	"329"	"310"
"Np001G000310"	135	"AT5G66170.2"	"AT5G66170.2"	"orthologue"	"AT5G66170.2"	"N0.HOG0015101"	"AT5G66170.2"	"OG0008945"	"AT5G66170.2"	"AT5G66170.2"	136	138	99	99	138	76.812	217	"AT5G66170.2"	"76.812"	"138"	"27"	"3"	"1"	"134"	"1"	"137"	"3.19e-74"	"217"	"99"	"136"	"138"
"Np001G000320"	394	"AT5G66180.1"	"AT5G66180.1"	"orthologue"	"AT5G66180.1"	"N0.HOG0018506"	"AT5G66180.1"	"OG0012082"	"AT5G66180.1"	"AT5G66180.1"	395	395	99	100	395	86.329	705	"AT5G66180.1"	"86.329"	"395"	"53"	"1"	"1"	"394"	"1"	"395"	"0"	"705"	"99"	"395"	"395"
"Np001G000330"	362	"AT5G66190.1"	"AT5G66190.1"	"orthologue"	"AT5G66190.1"	"N0.HOG0020119"	"AT5G66190.1"	"OG0013604"	"AT5G66190.1"	"AT5G66190.1"	363	360	99	100	366	91.803	648	"AT5G66190.1"	"91.803"	"366"	"20"	"2"	"1"	"362"	"1"	"360"	"0"	"648"	"99"	"363"	"360"
"Np001G000340"	652	"AT5G66200.1"	"AT5G66200.1"	"orthologue"	"AT5G66200.1"	"N0.HOG0022017"	"AT5G66200.1"	"OG0015449"	"AT5G66200.1"	"AT5G66200.1"	653	651	99	100	656	93.14	1235	"AT5G66200.1"	"93.14"	"656"	"36"	"5"	"1"	"652"	"1"	"651"	"0"	"1235"	"99"	"653"	"651"
"Np001G000350"	531	"AT5G66210.1"	"AT5G66210.1"	"orthologue"	"AT5G66210.1"	"N0.HOG0017379"	"AT5G66210.1"	"OG0011054"	"AT5G66210.1"	"AT5G66210.1"	532	523	99	100	531	91.525	990	"AT5G66210.1"	"92.844"	"531"	"30"	"3"	"1"	"531"	"1"	"523"	"0"	"999"	"99"	"532"	"523"
"Np001G000380"	171	"AT5G66230.2"	"AT5G66230.2"	"orthologue"	"AT5G66230.2"	"N0.HOG0024583"	"AT5G66230.2"	"OG0017934"	"AT5G66230.2"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G66230.2"	"64.878"	"205"	"33"	"7"	"1"	"171"	"217"	"416"	"7.65e-66"	"209"	"99"	"172"	"545"
"Np001G000390"	88	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Np001G000400"	332	"AT5G66240.2"	"AT5G66240.2"	"orthologue"	"AT5G66240.2"	"N0.HOG0022016"	"AT5G66240.2"	"OG0015448"	"AT5G66240.2"	"AT5G66240.2"	333	331	98	99	327	93.272	634	"AT5G66240.2"	"93.272"	"327"	"22"	"0"	"6"	"332"	"5"	"331"	"0"	"634"	"98"	"333"	"331"
"Np001G000420"	264	"AT5G66250.4"	"AT5G66250.4"	"orthologue"	"AT5G66250.4"	"N0.HOG0025097"	"AT5G66250.4"	"OG0018426"	"AT5G66250.4"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G66250.4"	"68.836"	"292"	"54"	"3"	"9"	"263"	"35"	"326"	"2.86e-127"	"363"	"96"	"265"	"326"
"Np001G000430"	103	"AT5G66260.1"	"AT5G66260.1"	"orthologue"	"AT5G66260.1"	"N0.HOG0020118"	"AT5G66260.1"	"OG0013603"	"AT5G66260.1"	"AT5G66260.1"	104	99	97	99	101	91.089	177	"AT5G66260.1"	"91.089"	"101"	"6"	"2"	"1"	"101"	"1"	"98"	"1.21e-59"	"177"	"97"	"104"	"99"
"Np001G000460"	175	"AT5G66400.1"	"AT5G66400.1"	"orthologue"	"AT5G66400.1"	"N0.HOG0012904"	"AT5G66400.1"	"OG0006899"	"AT5G66400.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G66400.1"	"81.132"	"106"	"13"	"2"	"68"	"173"	"87"	"185"	"2.59e-40"	"134"	"60"	"176"	"186"
"Np001G000490"	336	"AT5G66390.1"	"AT5G66390.1"	"orthologue"	"AT5G66390.1"	"N0.HOG0016328"	"AT5G66390.1"	"OG0010084"	"AT5G66390.1"	"AT5G66390.1"	337	336	99	100	336	91.667	654	"AT5G66390.1"	"91.667"	"336"	"28"	"0"	"1"	"336"	"1"	"336"	"0"	"654"	"99"	"337"	"336"
"Np001G000500"	309	"AT5G66380.1"	"AT5G66380.1"	"orthologue"	"AT5G66380.1"	"N0.HOG0011122"	"AT5G66380.1"	"OG0005359"	"AT5G66380.1"	"AT5G66380.1"	310	308	99	100	309	93.204	592	"AT5G66380.1"	"93.204"	"309"	"20"	"1"	"1"	"309"	"1"	"308"	"0"	"592"	"99"	"310"	"308"
"Np001G000510"	132	"AT5G66370.1"	"AT5G66370.1"	"orthologue"	"AT5G66370.1"	"N0.HOG0008910"	"AT5G66370.1"	"OG0003661"	"AT3G51020.1, AT5G66370.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G66370.1"	"64.901"	"151"	"31"	"2"	"1"	"130"	"1"	"150"	"3.31e-65"	"194"	"98"	"133"	"150"
"Np001G000520"	374	"AT5G66360.2"	"AT5G66360.2"	"orthologue"	"AT5G66360.2"	"N0.HOG0024582"	"AT5G66360.2"	"OG0017933"	"AT5G66360.2"	"AT5G66360.2"	375	380	99	99	385	78.701	578	"AT5G66360.2"	"78.701"	"385"	"64"	"7"	"2"	"374"	"1"	"379"	"0"	"578"	"99"	"375"	"380"
"Np001G000530"	362	"AT3G53210.1"	"AT3G53210.1"	"orthologue"	"AT3G53210.1"	"N0.HOG0024840"	"AT3G53210.1"	"OG0018188"	"AT3G53210.1"	"AT3G53210.1"	363	369	99	100	370	81.081	604	"AT3G53210.1"	"81.081"	"370"	"61"	"3"	"1"	"362"	"1"	"369"	"0"	"604"	"99"	"363"	"369"
"Np001G000540"	342	"AT5G66350.1"	"AT5G66350.1"	"orthologue"	"AT5G66350.1"	"N0.HOG0020117"	"AT5G66350.1"	"OG0013602"	"AT5G66350.1"	"AT5G66350.1"	343	331	99	99	347	75.504	473	"AT5G66350.1"	"75.504"	"347"	"58"	"9"	"1"	"339"	"1"	"328"	"3.42e-169"	"473"	"99"	"343"	"331"
"Np001G000550"	133	"AT1G77370.2"	"AT1G77370.2"	"orthologue"	"AT1G77370.2"	"N0.HOG0023653"	"AT1G77370.2"	"OG0017041"	"AT1G77370.2"	"AT1G77370.2"	134	156	99	100	159	72.956	219	"AT1G77370.2"	"72.956"	"159"	"14"	"2"	"1"	"133"	"1"	"156"	"8.44e-75"	"219"	"99"	"134"	"156"
"Np001G000560"	421	"AT5G66330.1"	"AT5G66330.1"	"other"	NA	"N0.HOG0012164"	"AT5G66330.1"	"OG0006252"	"AT5G66330.1"	"AT5G66330.1"	422	418	95	97	401	86.386	696	"AT5G66330.1"	"86.534"	"401"	"54"	"0"	"21"	"421"	"18"	"418"	"0"	"712"	"95"	"422"	"418"
"Np001G000580"	335	"AT5G66320.1"	"AT5G66320.1"	"orthologue"	"AT5G66320.1"	"N0.HOG0012906"	"AT5G66320.1"	"OG0006901"	"AT5G66320.1"	"AT5G66320.1"	336	339	99	99	339	81.416	451	"AT5G66320.1"	"81.711"	"339"	"52"	"4"	"5"	"335"	"3"	"339"	"1.13e-180"	"503"	"99"	"336"	"339"
"Np001G000590"	1094	"AT5G66310.1"	"AT5G66310.1"	"orthologue"	"AT5G66310.1"	"N0.HOG0015100"	"AT5G66310.1"	"OG0008944"	"AT5G66310.1"	"AT5G66310.1"	1095	1063	99	58	614	80.545	1056	"AT5G66310.1"	"80.545"	"1100"	"171"	"9"	"1"	"1094"	"1"	"1063"	"0"	"1735"	"99"	"1095"	"1063"
"Np001G000600"	293	"AT5G66300.1"	"AT5G66300.1"	"orthologue"	"AT5G66300.1"	"N0.HOG0022015"	"AT5G66300.1"	"OG0015447"	"AT5G66300.1"	"AT5G66300.1"	294	292	99	100	301	83.389	502	"AT5G66300.1"	"83.389"	"301"	"33"	"6"	"1"	"293"	"1"	"292"	"0"	"502"	"99"	"294"	"292"
"Np001G000610"	198	"AT5G66290.2"	"AT5G66290.2"	"orthologue"	"AT5G66290.2"	"N0.HOG0013956"	"AT5G66290.2"	"OG0007859"	"AT5G66290.2"	"AT5G66290.2"	199	298	99	66	197	87.31	350	"AT5G66290.2"	"87.31"	"197"	"24"	"1"	"1"	"197"	"1"	"196"	"1.36e-123"	"350"	"99"	"199"	"298"
"Np001G000620"	364	"AT5G66280.1"	"AT5G66280.1"	"orthologue"	"AT5G66280.1"	"N0.HOG0004279"	"AT5G66280.1"	"OG0001149"	"AT3G51160.1, AT5G66280.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G66280.1"	"90.191"	"367"	"27"	"2"	"1"	"364"	"1"	"361"	"0"	"686"	"99"	"365"	"361"
"Np001G000630"	398	"AT5G66270.1"	"AT5G66270.1"	"orthologue"	"AT5G66270.1"	"N0.HOG0008044"	"AT5G66270.1"	"OG0003106"	"AT3G51180.1, AT5G66270.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G66270.1"	"50.545"	"459"	"155"	"16"	"1"	"398"	"2"	"449"	"1.26e-123"	"364"	"99"	"399"	"449"
"Np001G000640"	756	"AT5G66420.2"	"AT5G66420.2"	"orthologue"	"AT5G66420.2"	"N0.HOG0022014"	"AT5G66420.2"	"OG0015446"	"AT5G66420.2"	"AT5G66420.2"	757	754	99	100	758	89.71	1291	"AT5G66420.2"	"89.71"	"758"	"72"	"3"	"1"	"756"	"1"	"754"	"0"	"1291"	"99"	"757"	"754"
"Np001G000650"	396	"AT5G66430.1"	"AT5G66430.1"	"orthologue"	"AT5G66430.1"	"N0.HOG0002149"	"AT5G66430.1"	"OG0000361"	"AT3G11480.1, AT5G04370.2, AT5G04380.3, AT5G66430.1"	"AT5G66430.1"	397	354	89	100	354	84.463	594	"AT5G66430.1"	"84.463"	"354"	"53"	"1"	"45"	"396"	"1"	"354"	"0"	"617"	"89"	"397"	"354"
"Np001G000670"	235	"AT5G66440.1"	"AT5G66440.1"	"orthologue"	"AT5G66440.1"	"N0.HOG0015099"	"AT5G66440.1"	"OG0008943"	"AT5G66440.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G66440.1"	"68.924"	"251"	"53"	"7"	"2"	"232"	"5"	"250"	"1.18e-109"	"315"	"98"	"236"	"252"
"Np001G000690"	282	"AT5G66450.3"	"AT5G66450.3"	"orthologue"	"AT5G66450.3"	"N0.HOG0004498"	"AT5G66450.3"	"OG0001245"	"AT3G50920.1, AT5G66450.3"	"AT5G66450.3"	283	308	80	77	229	79.832	353	"AT5G66450.3"	"81.223"	"229"	"38"	"3"	"11"	"235"	"12"	"239"	"6.67e-123"	"353"	"80"	"283"	"308"
"Np001G000700"	706	"AT3G47840.1"	"AT3G47840.1"	"orthologue"	"AT3G47840.1"	"N0.HOG0016327"	"AT3G47840.1"	"OG0010083"	"AT3G47840.1"	"AT3G47840.1"	707	706	99	99	699	76.538	1093	"AT3G47840.1"	"76.538"	"699"	"162"	"2"	"4"	"700"	"4"	"702"	"0"	"1093"	"99"	"707"	"706"
"Np001G000710"	432	"AT5G66460.1"	"AT5G66460.1"	"orthologue"	"AT5G66460.1"	"N0.HOG0015098"	"AT5G66460.1"	"OG0008942"	"AT5G66460.1"	"AT5G66460.1"	433	431	99	100	432	89.583	789	"AT5G66460.1"	"89.583"	"432"	"44"	"1"	"1"	"432"	"1"	"431"	"0"	"789"	"99"	"433"	"431"
"Np001G000720"	427	"AT5G66470.1"	"AT5G66470.1"	"orthologue"	"AT5G66470.1"	"N0.HOG0013954"	"AT5G66470.1"	"OG0007857"	"AT5G66470.1"	"AT5G66470.1"	428	427	99	100	427	93.677	811	"AT5G66470.1"	"93.677"	"427"	"27"	"0"	"1"	"427"	"1"	"427"	"0"	"838"	"99"	"428"	"427"
"Np001G000730"	390	"AT5G66480.1"	"AT5G66480.1"	"orthologue"	"AT5G66480.1"	"N0.HOG0005630"	"AT5G66480.1"	"OG0001819"	"AT3G50910.1, AT5G66480.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G66480.1"	"63.636"	"440"	"102"	"8"	"1"	"385"	"1"	"437"	"1.54e-169"	"481"	"98"	"391"	"444"
"Np001G000740"	525	"AT5G66500.1"	"AT5G66500.1"	"orthologue"	"AT5G66500.1"	"N0.HOG0024581"	"AT5G66500.1"	"OG0017932"	"AT5G66500.1"	"AT5G66500.1"	526	532	99	100	532	88.158	942	"AT5G66500.1"	"88.158"	"532"	"55"	"1"	"1"	"524"	"1"	"532"	"0"	"942"	"99"	"526"	"532"
"Np001G000750"	258	"AT5G66510.2"	"AT5G66510.2"	"orthologue"	"AT5G66510.2"	"N0.HOG0017378"	"AT5G66510.2"	"OG0011053"	"AT5G66510.2"	"AT5G66510.2"	259	269	99	100	269	86.245	481	"AT5G66510.2"	"86.245"	"269"	"26"	"1"	"1"	"258"	"1"	"269"	"8.81e-175"	"481"	"99"	"259"	"269"
"Np001G000760"	308	"AT5G66530.1"	"AT5G66530.1"	"orthologue"	"AT5G66530.1"	"N0.HOG0022013"	"AT5G66530.1"	"OG0015445"	"AT5G66530.1"	"AT5G66530.1"	309	307	99	100	308	93.506	600	"AT5G66530.1"	"93.506"	"308"	"19"	"1"	"1"	"308"	"1"	"307"	"0"	"600"	"99"	"309"	"307"
"Np001G000770"	531	"AT5G66540.1"	"AT5G66540.1"	"orthologue"	"AT5G66540.1"	"N0.HOG0015097"	"AT5G66540.1"	"OG0008941"	"AT5G66540.1"	"AT5G66540.1"	532	524	99	99	531	77.213	674	"AT5G66540.1"	"77.213"	"531"	"108"	"5"	"1"	"528"	"1"	"521"	"0"	"674"	"99"	"532"	"524"
"Np001G000780"	184	"AT3G50870.1"	"AT3G50870.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G50870.1"	"50.543"	"184"	"58"	"6"	"2"	"158"	"10"	"187"	"1.63e-42"	"143"	"85"	"185"	"295"
"Np001G000790"	239	"AT5G66550.2"	"AT5G66550.2"	"orthologue"	"AT5G66550.2"	"N0.HOG0011121"	"AT5G66550.2"	"OG0005358"	"AT5G66550.2"	"AT5G66550.2"	240	238	95	95	227	87.225	404	"AT5G66550.2"	"87.225"	"227"	"27"	"1"	"13"	"239"	"13"	"237"	"5.01e-145"	"404"	"95"	"240"	"238"
"Np001G000800"	278	"AT5G49560.1"	"AT5G49560.1"	"orthologue"	"AT5G49560.1"	"N0.HOG0008341"	"AT5G49560.1"	"OG0003296"	"AT3G50850.1, AT5G49560.1"	"AT5G49560.1"	279	274	99	99	281	79.359	422	"AT5G49560.1"	"79.359"	"281"	"46"	"4"	"1"	"278"	"1"	"272"	"8.13e-158"	"439"	"99"	"279"	"274"
"Np001G000810"	680	"AT5G66560.1"	"AT5G66560.1"	"orthologue"	"AT5G66560.1"	"N0.HOG0007789"	"AT5G66560.1"	"OG0002961"	"AT3G50840.1, AT5G66560.1"	"AT5G66560.1"	681	668	99	100	681	86.49	1161	"AT5G66560.1"	"86.49"	"681"	"78"	"5"	"1"	"680"	"1"	"668"	"0"	"1161"	"99"	"681"	"668"
"Np001G000840"	332	"AT5G66570.1"	"AT5G66570.1"	"orthologue"	"AT5G66570.1"	"N0.HOG0005344"	"AT5G66570.1"	"OG0001681"	"AT3G50820.1, AT5G66570.1"	"AT5G66570.1"	333	332	99	100	332	96.084	648	"AT5G66570.1"	"96.084"	"332"	"13"	"0"	"1"	"332"	"1"	"332"	"0"	"648"	"99"	"333"	"332"
"Np001G000850"	153	"AT5G66580.1"	"AT5G66580.1"	"orthologue"	"AT5G66580.1"	"N0.HOG0011584"	"AT5G66580.1"	"OG0005758"	"AT5G66580.1"	"AT5G66580.1"	154	156	99	100	156	90.385	259	"AT5G66580.1"	"90.385"	"156"	"12"	"1"	"1"	"153"	"1"	"156"	"2.09e-90"	"259"	"99"	"154"	"156"
