"Erysimum_linariifolium"	"Arabidopsis_thaliana"	"single_Arabidopsis_thaliana"	"OL_Arabidopsis_thaliana"	"N0_HOG"	"N0_Arabidopsis_thaliana"	"OG_Orthogroup"	"OG_Arabidopsis_thaliana"	"RBH_B_id"	"RBH_A_length"	"RBH_B_length"	"RBH_A_qcovhsp"	"RBH_B_qcovhsp"	"RBH_length"	"RBH_pident"	"RBH_bitscore"	"BLAST_saccver"	"BLAST_pident"	"BLAST_length"	"BLAST_mismatch"	"BLAST_gapopen"	"BLAST_qstart"	"BLAST_qend"	"BLAST_sstart"	"BLAST_send"	"BLAST_evalue"	"BLAST_bitscore"	"BLAST_qcovhsp"	"BLAST_qlen"	"BLAST_slen"
"El001G000290"	"AT1G01355.1, AT5G35640.1"	"AT5G35640.1"	NA	NA	NA	"OG0008481"	"AT1G01355.1, AT5G35640.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G35640.1"	35.915	142	73	5	5	139	29	159	7.57e-21	85.9	59	227	192
"El001G000300"	"AT4G36000.1"	"AT4G36000.1"	NA	"N0.HOG0007996"	"AT4G36000.1"	"OG0003077"	"AT4G24180.3, AT4G36000.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G24180.3"	48.387	186	67	4	6	162	12	197	2.63e-50	164	93	168	327
"El001G000320"	"AT4G00230.1"	"AT4G00230.1"	"AT4G00230.1"	"N0.HOG0012908"	"AT4G00230.1"	"OG0006903"	"AT4G00230.1"	"AT4G00230.1"	748	749	99	100	749	91.722	1373	"AT4G00230.1"	91.722	749	60	2	1	747	1	749	0	1373	99	748	749
"El001G000330"	"AT4G00231.1"	"AT4G00231.1"	"AT4G00231.1"	"N0.HOG0012319"	"AT4G00231.1"	"OG0006385"	"AT4G00231.1"	"AT4G00231.1"	483	475	99	100	482	86.722	799	"AT4G00231.1"	86.929	482	56	2	1	482	1	475	0	803	99	483	475
"El001G000340"	"AT4G00240.1"	"AT4G00240.1"	"AT4G00240.1"	"N0.HOG0025695"	"AT4G00240.1"	"OG0018977"	"AT4G00240.1"	"AT4G00240.1"	1011	927	85	93	862	93.155	1674	"AT4G00240.1"	93.735	862	53	1	149	1010	67	927	0	1694	85	1011	927
"El001G000350"	"AT4G00290.1, AT4G00234.1"	"AT4G00290.1"	"AT4G00290.1, AT4G00234.1"	"N0.HOG0017385"	"AT4G00290.1, AT4G00234.1"	"OG0011060"	"AT4G00234.1, AT4G00290.1"	"AT4G00290.1"	539	497	99	100	541	79.298	830	"AT4G00290.1"	79.298	541	65	6	1	538	1	497	0	830	99	539	497
"El001G000360"	"AT4G00295.1"	"AT4G00295.1"	"AT4G00295.1"	"N0.HOG0015107"	"AT4G00295.1"	"OG0008951"	"AT4G00295.1"	"AT4G00295.1"	512	467	91	99	470	88.085	848	"AT4G00295.1"	88.511	470	47	3	8	475	3	467	0	850	91	512	467
"El001G000370"	"AT4G00300.1"	"AT4G00300.1"	"AT4G00300.1"	"N0.HOG0009653"	"AT4G00300.1"	"OG0004153"	"AT4G00300.1"	"AT4G00300.1"	482	478	99	100	482	83.817	811	"AT4G00300.1"	84.647	482	69	3	1	481	1	478	0	811	99	482	478
"El001G000380"	"AT1G01580.2"	"AT1G01580.2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G01580.2"	71.983	721	189	9	9	721	88	803	0	1040	99	722	803
"El001G000390"	"AT3G28216.1"	"AT3G28216.1"	"AT3G28216.1"	"N0.HOG0013446"	"AT3G28216.1"	"OG0007397"	"AT3G28216.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"El001G000400"	"AT4G00305.1"	"AT4G00305.1"	"AT4G00305.1"	"N0.HOG0015106"	"AT4G00305.1"	"OG0008950"	"AT4G00305.1"	"AT4G00305.1"	127	126	99	100	128	81.25	204	"AT4G00305.1"	81.25	128	20	3	1	126	1	126	1.01e-69	204	99	127	126
"El001G000410"	"AT4G00310.1"	"AT4G00310.1"	"AT4G00310.1"	"N0.HOG0020131"	"AT4G00310.1"	"OG0013616"	"AT4G00310.1"	"AT4G00310.1"	300	302	99	100	304	75.329	382	"AT4G00310.1"	75.329	304	68	5	1	299	1	302	1.63e-134	382	99	300	302
"El001G000430"	"AT4G00330.1"	"AT4G00330.1"	"AT4G00330.1"	"N0.HOG0020130"	"AT4G00330.1"	"OG0013615"	"AT4G00330.1"	"AT4G00330.1"	407	411	99	100	412	85.922	711	"AT4G00330.1"	86.893	412	47	3	1	406	1	411	0	711	99	407	411
"El001G000440"	"AT4G00335.1"	"AT4G00335.1"	"AT4G00335.1"	"N0.HOG0022026"	"AT4G00335.1"	"OG0015456"	"AT4G00335.1"	"AT4G00335.1"	191	190	99	100	190	87.368	337	"AT4G00335.1"	87.368	190	24	0	1	190	1	190	3.01e-120	337	99	191	190
"El001G000450"	"AT4G00340.1"	"AT4G00340.1"	"AT4G00340.1"	"N0.HOG0020129"	"AT4G00340.1"	"OG0013614"	"AT4G00340.1"	"AT4G00340.1"	822	818	97	98	798	91.103	1468	"AT4G00340.1"	91.103	798	71	0	24	821	21	818	0	1468	97	822	818
"El001G000460"	"AT4G00350.1"	"AT4G00350.1"	"AT4G00350.1"	"N0.HOG0023660"	"AT4G00350.1"	"OG0017045"	"AT4G00350.1"	"AT4G00350.1"	542	542	99	100	542	97.048	1067	"AT4G00350.1"	97.048	542	15	1	1	541	1	542	0	1067	99	542	542
"El001G000470"	"AT4G00355.1"	"AT4G00355.1"	"AT4G00355.1"	"N0.HOG0017384"	"AT4G00355.1"	"OG0011059"	"AT4G00355.1"	"AT4G00355.1"	284	266	99	99	287	75.958	403	"AT4G00355.1"	75.958	287	42	10	1	282	1	265	2.55e-143	403	99	284	266
"El001G000490"	"AT4G00360.1"	"AT4G00360.1"	"AT4G00360.1"	"N0.HOG0006776"	"AT4G00360.1, AT1G01600.1"	"OG0002413"	"AT1G01600.1, AT4G00360.1"	"AT4G00360.1"	555	553	99	100	554	96.209	1097	"AT4G00360.1"	96.209	554	20	1	1	554	1	553	0	1097	99	555	553
"El001G000500"	"AT4G00370.1"	"AT4G00370.1"	"AT4G00370.1"	"N0.HOG0015105"	"AT4G00370.1"	"OG0008949"	"AT4G00370.1"	"AT4G00370.1"	557	541	99	100	558	93.548	1035	"AT4G00370.1"	93.548	558	17	6	1	556	1	541	0	1035	99	557	541
"El001G000510"	"AT4G00400.1"	"AT4G00400.1"	"AT4G00400.1"	"N0.HOG0005560"	"AT4G00400.1, AT1G01610.1"	"OG0001785"	"AT1G01610.1, AT4G00400.1"	"AT4G00400.1"	501	500	99	100	500	97.2	992	"AT4G00400.1"	97.2	500	14	0	1	500	1	500	0	992	99	501	500
"El001G000520"	"AT4G00430.1"	"AT4G00430.1"	"AT4G00430.1"	"N0.HOG0002065"	"AT4G00430.1"	"OG0000339"	"AT1G01620.1, AT3G61430.1, AT4G00430.1, AT4G23400.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G00430.1"	98.258	287	5	0	1	287	1	287	0	572	99	288	287
"El001G000530"	"AT2G17905.1, AT5G36225.1"	"AT2G17905.1"	NA	NA	NA	"OG0000028"	"AT2G17905.1, AT5G36225.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G17905.1"	50	174	84	1	1	174	1	171	1.04e-54	180	36	490	172
"El001G000540"	"AT5G45330.1"	"AT5G45330.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G45330.1"	74.074	54	14	0	8	61	400	453	1.41e-21	86.7	59	91	571
"El001G000550"	"AT4G00440.2"	"AT4G00440.2"	"AT4G00440.2"	"N0.HOG0011586"	"AT4G00440.2"	"OG0005760"	"AT4G00440.2"	"AT4G00440.2"	833	835	99	99	832	88.822	1443	"AT4G00440.2"	88.822	832	89	1	1	832	1	828	0	1443	99	833	835
"El001G000560"	"AT4G00450.1"	"AT4G00450.1"	"AT4G00450.1"	"N0.HOG0012910"	"AT4G00450.1"	"OG0006905"	"AT4G00450.1"	"AT4G00450.1"	2235	2235	99	100	2235	93.512	4196	"AT4G00450.1"	93.512	2235	144	1	1	2234	1	2235	0	4202	99	2235	2235
"El001G000570"	"AT4G00460.2"	"AT4G00460.2"	"AT4G00460.2"	"N0.HOG0007312"	"AT4G00460.2"	"OG0002692"	"AT1G01700.4, AT4G00460.2"	"AT4G00460.2"	480	473	99	100	479	95.407	939	"AT4G00460.2"	95.407	479	16	2	1	479	1	473	0	939	99	480	473
"El001G000580"	"AT4G00480.2"	"AT4G00480.2"	NA	NA	NA	"OG0004260"	"AT4G00480.2"	"AT4G00480.2"	705	580	76	90	540	86.667	920	"AT4G00480.2"	87.037	540	50	5	1	538	1	522	0	926	76	705	580
"El001G000590"	"AT4G00490.1"	"AT4G00490.1"	"AT4G00490.1"	"N0.HOG0022025"	"AT4G00490.1"	"OG0015455"	"AT4G00490.1"	"AT4G00490.1"	534	542	99	100	542	91.697	1031	"AT4G00490.1"	91.697	542	36	3	1	533	1	542	0	1031	99	534	542
"El001G000600"	"AT4G00500.1"	"AT4G00500.1"	"AT4G00500.1"	"N0.HOG0018511"	"AT4G00500.1"	"OG0012087"	"AT4G00500.1"	"AT4G00500.1"	461	460	99	100	460	92.826	864	"AT4G00500.1"	92.826	460	33	0	1	460	1	460	0	864	99	461	460
"El001G000610"	"AT4G00520.2"	"AT4G00520.2"	"AT4G00520.2"	"N0.HOG0006291"	"AT4G00520.2"	"OG0002153"	"AT1G01710.1, AT4G00520.2"	"AT4G00520.2"	430	440	99	97	429	85.548	765	"AT4G00520.2"	85.548	429	59	1	1	429	15	440	0	765	99	430	440
"El001G000620"	"AT4G00525.1"	"AT4G00525.1"	"AT4G00525.1"	"N0.HOG0020128"	"AT4G00525.1"	"OG0013613"	"AT4G00525.1"	"AT4G00525.1"	143	140	99	100	142	88.732	251	"AT4G00525.1"	88.732	142	14	1	1	142	1	140	7.23e-88	251	99	143	140
"El001G000630"	"AT4G00530.1"	"AT4G00530.1"	"AT4G00530.1"	"N0.HOG0015394"	"AT4G00530.1, AT1G01725.1"	"OG0009229"	"AT1G01725.1, AT4G00530.1"	"AT4G00530.1"	73	71	99	100	72	87.5	125	"AT4G00530.1"	87.5	72	8	1	1	72	1	71	6.84e-40	125	99	73	71
"El001G000640"	"AT2G45760.1"	"AT2G45760.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G45760.1"	41.667	144	77	3	3	144	8	146	1.34e-31	111	95	150	207
"El001G000650"	"AT4G00540.1"	"AT4G00540.1"	"AT4G00540.1"	"N0.HOG0023243"	"AT1G43330.1, AT4G00540.1"	"OG0016636"	"AT1G43330.1, AT4G00540.1"	"AT4G00540.1"	403	437	99	91	405	71.852	525	"AT4G00540.1"	71.852	405	103	9	2	402	4	401	0	525	99	403	437
"El001G000660"	"AT4G00550.1"	"AT4G00550.1"	"AT4G00550.1"	"N0.HOG0017383"	"AT4G00550.1"	"OG0011058"	"AT4G00550.1"	"AT4G00550.1"	474	473	99	100	473	94.503	937	"AT4G00550.1"	94.503	473	26	0	1	473	1	473	0	937	99	474	473
"El001G000670"	"AT4G00560.4"	"AT4G00560.4"	"AT4G00560.4"	"N0.HOG0017382"	"AT4G00560.4"	"OG0011057"	"AT4G00560.4"	"AT4G00560.4"	326	331	99	99	330	88.788	568	"AT4G00560.4"	88.788	330	30	3	2	325	3	331	0	592	99	326	331
"El001G000680"	"AT4G00570.1"	"AT4G00570.1"	"AT4G00570.1"	"N0.HOG0013958"	"AT4G00570.1"	"OG0007861"	"AT4G00570.1"	"AT4G00570.1"	608	607	99	100	607	95.387	1200	"AT4G00570.1"	95.387	607	28	0	1	607	1	607	0	1200	99	608	607
"El001G000690"	"AT4G00585.1"	"AT4G00585.1"	"AT4G00585.1"	"N0.HOG0009918"	"AT4G00585.1"	"OG0004361"	"AT4G00585.1"	"AT4G00585.1"	89	88	99	85	75	93.182	156	"AT4G00585.1"	93.182	88	6	0	1	88	1	88	5.36e-60	177	99	89	88
"El001G000700"	"AT4G00590.1"	"AT4G00590.1"	"AT4G00590.1"	"N0.HOG0016333"	"AT4G00590.1"	"OG0010089"	"AT4G00590.1"	"AT4G00590.1"	409	408	99	100	408	89.706	743	"AT4G00590.1"	89.706	408	42	0	1	408	1	408	0	743	99	409	408
"El001G000710"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G10890.1"	70.33	91	27	0	14	104	71	161	1.44e-39	140	47	193	527
"El001G000720"	"AT4G00600.1"	"AT4G00600.1"	"AT4G00600.1"	"N0.HOG0009238"	"AT4G00620.1, AT4G00600.1"	"OG0003872"	"AT4G00600.1, AT4G00620.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G00620.1"	75.562	356	75	2	1	344	1	356	0	533	99	347	360
"El001G000730"	"AT4G00620.1"	"AT4G00620.1"	"AT4G00620.1"	"N0.HOG0009238"	"AT4G00620.1, AT4G00600.1"	"OG0003872"	"AT4G00600.1, AT4G00620.1"	"AT4G00620.1"	364	360	99	100	363	91.736	670	"AT4G00620.1"	91.736	363	27	1	1	363	1	360	0	670	99	364	360
"El001G000740"	"AT4G00630.2"	"AT4G00630.2"	"AT4G00630.2"	"N0.HOG0006289"	"AT4G00630.2, AT1G01790.1"	"OG0002152"	"AT1G01790.1, AT4G00630.2"	"AT4G00630.2"	1189	1185	99	100	1201	90.591	2036	"AT4G00630.2"	90.674	1201	83	6	1	1188	1	1185	0	2059	99	1189	1185
"El001G000750"	"AT4G00660.1"	"AT4G00660.1"	"AT4G00660.1"	"N0.HOG0015103"	"AT4G00660.1"	"OG0008947"	"AT4G00660.1"	"AT4G00660.1"	505	505	99	100	505	98.02	1023	"AT4G00660.1"	98.02	505	9	1	1	504	1	505	0	1023	99	505	505
"El001G000760"	"AT4G00670.1"	"AT4G00670.1"	"AT4G00670.1"	"N0.HOG0016332"	"AT4G00670.1"	"OG0010088"	"AT4G00670.1"	"AT4G00670.1"	124	123	99	100	123	84.553	207	"AT4G00670.1"	84.553	123	19	0	1	123	1	123	6.23e-71	207	99	124	123
"El001G000770"	"AT4G00680.2"	"AT4G00680.2"	"AT4G00680.2"	"N0.HOG0007999"	"AT4G00680.2"	"OG0003079"	"AT1G01750.2, AT4G00680.2"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G01750.2"	93.431	137	9	0	2	138	7	143	4.44e-95	270	96	142	145
"El001G000790"	"AT4G00700.1"	"AT4G00700.1"	"AT4G00700.1"	"N0.HOG0012909"	"AT4G00700.1"	"OG0006904"	"AT4G00700.1"	"AT4G00700.1"	1007	1006	99	100	1006	87.972	1801	"AT4G00700.1"	87.972	1006	121	0	1	1006	1	1006	0	1803	99	1007	1006
"El001G000800"	"AT4G00710.1"	"AT4G00710.1"	"AT4G00710.1"	"N0.HOG0006775"	"AT4G00710.1"	"OG0002412"	"AT1G01740.1, AT4G00710.1"	"AT4G00710.1"	491	489	99	100	490	95.306	969	"AT4G00710.1"	95.306	490	22	1	1	490	1	489	0	969	99	491	489
"El001G000810"	"AT4G00720.1"	"AT4G00720.1"	"AT4G00720.1"	"N0.HOG0013957"	"AT4G00720.1"	"OG0007860"	"AT4G00720.1"	"AT4G00720.1"	474	472	99	100	473	96.406	961	"AT4G00720.1"	96.406	473	16	1	1	473	1	472	0	961	99	474	472
"El001G000820"	"AT4G00730.1"	"AT4G00730.1"	"AT4G00730.1"	"N0.HOG0011585"	"AT4G00730.1"	"OG0005759"	"AT4G00730.1"	"AT4G00730.1"	798	802	99	100	802	96.135	1587	"AT4G00730.1"	96.135	802	26	3	1	797	1	802	0	1587	99	798	802
"El001G000830"	"AT4G00740.1"	"AT4G00740.1"	"AT4G00740.1"	"N0.HOG0015611"	"AT4G00740.1"	"OG0009433"	"AT4G00740.1"	"AT4G00740.1"	600	600	99	100	600	97.167	1216	"AT4G00740.1"	97.167	600	16	1	1	599	1	600	0	1216	99	600	600
"El001G000840"	"AT4G00750.1"	"AT4G00750.1"	"AT4G00750.1"	"N0.HOG0022024"	"AT4G00750.1"	"OG0015454"	"AT4G00750.1"	"AT4G00750.1"	641	633	99	99	634	90.852	1189	"AT4G00750.1"	90.852	634	56	2	1	634	1	632	0	1205	99	641	633
"El001G000850"	"AT4G00752.1"	"AT4G00752.1"	"AT4G00752.1"	"N0.HOG0020127"	"AT4G00752.1"	"OG0013612"	"AT4G00752.1"	"AT4G00752.1"	470	469	99	100	474	86.287	808	"AT4G00752.1"	86.287	474	55	2	1	469	1	469	0	826	99	470	469
"El001G000860"	"AT4G00755.1"	"AT4G00755.1"	"AT4G00755.1"	"N0.HOG0011125"	"AT4G00755.1"	"OG0005362"	"AT4G00755.1"	"AT4G00755.1"	370	377	99	99	375	82.133	619	"AT4G00755.1"	82.133	375	61	2	1	369	1	375	0	619	99	370	377
"El001G000870"	"AT4G00760.1"	"AT4G00760.1"	"AT4G00760.1"	"N0.HOG0026685"	"AT4G00760.1"	"OG0019864"	"AT4G00760.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G00760.1"	69.437	373	76	5	1	372	1	336	2.99e-172	483	99	373	336
"El001G000880"	"AT4G00770.1"	"AT4G00770.1"	"AT4G00770.1"	"N0.HOG0018509"	"AT4G00770.1"	"OG0012085"	"AT4G00770.1"	"AT4G00770.1"	426	440	99	95	422	84.834	677	"AT4G00770.1"	84.834	422	61	1	1	422	1	419	0	694	99	426	440
"El001G000890"	"AT1G45063.1"	"AT1G45063.1"	NA	"N0.HOG0000994"	"AT4G01380.1, AT1G45063.1"	"OG0000118"	"AT1G45063.1, AT3G53330.1, AT4G01380.1"	"AT1G45063.1"	274	369	96	71	262	71.374	368	"AT1G45063.1"	71.374	262	74	1	2	263	4	264	5.13e-130	372	96	274	369
"El001G000900"	"AT4G01370.1"	"AT4G01370.1"	"AT4G01370.1"	"N0.HOG0008870"	"AT1G01560.2, AT4G01370.1"	"OG0003636"	"AT1G01560.2, AT4G01370.1"	"AT4G01370.1"	374	376	99	99	374	98.663	768	"AT4G01370.1"	98.663	374	4	1	1	373	1	374	0	768	99	374	376
"El001G000910"	"AT4G01360.1"	"AT4G01360.1"	"AT4G01360.1"	"N0.HOG0019315"	"AT4G01360.1"	"OG0012827"	"AT4G01360.1"	"AT4G01360.1"	363	348	95	97	344	80.233	499	"AT4G01360.1"	80.58	345	57	5	15	358	7	342	0	540	95	363	348
"El001G000920"	"AT1G42615.1, AT2G02955.1"	"AT2G02955.1"	NA	"N0.HOG0008447"	"AT1G42615.1, AT2G02955.1"	"OG0003368"	"AT1G42615.1, AT2G02955.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G02955.1"	60.555	649	189	8	1	586	1	645	0	742	96	609	666
"El001G000930"	"AT4G01245.1"	"AT4G01245.1"	"AT4G01245.1"	"N0.HOG0011587"	"AT4G01270.1, AT4G01245.1"	"OG0005761"	"AT4G01245.1, AT4G01270.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G01270.1"	80.488	205	31	1	60	255	122	326	1.24e-104	312	76	257	506
"El001G000950"	"AT4G01320.1"	"AT4G01320.1"	"AT4G01320.1"	"N0.HOG0013959"	"AT4G01320.1"	"OG0007862"	"AT4G01320.1"	"AT4G01320.1"	425	424	99	100	424	97.406	845	"AT4G01320.1"	97.406	424	11	0	1	424	1	424	0	845	99	425	424
"El001G000960"	"AT4G01310.1"	"AT4G01310.1"	"AT4G01310.1"	"N0.HOG0015108"	"AT4G01310.1"	"OG0008952"	"AT4G01310.1"	"AT4G01310.1"	265	262	98	99	261	95.402	510	"AT4G01310.1"	95.402	261	12	0	1	261	1	261	0	510	98	265	262
"El001G000970"	"AT4G01290.1"	"AT4G01290.1"	"AT4G01290.1"	"N0.HOG0012166"	"AT4G01290.1"	"OG0006254"	"AT4G01290.1"	"AT4G01290.1"	997	991	99	99	996	86.847	1693	"AT4G01290.1"	86.847	996	113	4	1	984	2	991	0	1695	99	997	991
