"Arabis_alpina"	"Arabidopsis_thaliana"	"single_Arabidopsis_thaliana"	"OL_Arabidopsis_thaliana"	"N0_HOG"	"N0_Arabidopsis_thaliana"	"OG_Orthogroup"	"OG_Arabidopsis_thaliana"	"RBH_B_id"	"RBH_A_length"	"RBH_B_length"	"RBH_A_qcovhsp"	"RBH_B_qcovhsp"	"RBH_length"	"RBH_pident"	"RBH_bitscore"	"BLAST_saccver"	"BLAST_pident"	"BLAST_length"	"BLAST_mismatch"	"BLAST_gapopen"	"BLAST_qstart"	"BLAST_qend"	"BLAST_sstart"	"BLAST_send"	"BLAST_evalue"	"BLAST_bitscore"	"BLAST_qcovhsp"	"BLAST_qlen"	"BLAST_slen"
"Aa_G100050.h1.t1"	"AT3G52760.1"	"AT3G52760.1"	"AT3G52760.1"	"N0.HOG0007829"	"AT3G52760.1"	"OG0002982"	"AT2G36300.1, AT3G52760.1"	"AT3G52760.1"	254	257	100	100	257	91.051	439	"AT3G52760.1"	91.44	257	19	3	1	254	1	257	1.44e-167	462	100	254	257
"Aa_G100060.h1.t1"	"AT3G52750.1"	"AT3G52750.1"	"AT3G52750.1"	"N0.HOG0007549"	"AT3G52750.1, AT2G36250.1"	"OG0002823"	"AT2G36250.1, AT3G52750.1"	"AT3G52750.1"	471	473	100	100	473	90.275	805	"AT3G52750.1"	90.275	473	44	1	1	471	1	473	0	821	100	471	473
"Aa_G1000770.h1.t1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G31910.1, AT5G45570.1"	32.609	92	50	3	1	80	232	323	0.001	37.4	63	127	399
"Aa_G100190.h1.t1"	"AT2G22140.1"	"AT2G22140.1"	"AT2G22140.1"	"N0.HOG0008187"	"AT2G22140.1"	"OG0003195"	"AT2G21800.2, AT2G22140.1"	"AT2G22140.1"	607	551	99	99	604	74.338	832	"AT2G22140.1"	74.338	604	97	5	1	602	1	548	0	832	99	607	551
"Aa_G100200.h1.t1"	"AT2G22125.1"	"AT2G22125.1"	"AT2G22125.1"	"N0.HOG0012773"	"AT2G22125.1"	"OG0006774"	"AT2G22125.1"	"AT2G22125.1"	2154	2150	100	100	2154	97.493	4236	"AT2G22125.1"	97.493	2154	50	1	1	2154	1	2150	0	4236	100	2154	2150
"Aa_G1002090.h1.t1"	"AT5G40260.1"	"AT5G40260.1"	NA	"N0.HOG0007493"	"AT5G40260.1"	"OG0002792"	"AT5G40260.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G40260.1"	62.353	85	32	0	1	85	16	100	9.88e-35	118	98	87	239
"Aa_G100210.h1.t1"	"AT2G22122.1"	"AT2G22122.1"	"AT2G22122.1"	"N0.HOG0018740"	"AT2G22122.1"	"OG0012297"	"AT2G22122.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G22122.1"	68.852	61	18	1	1	61	1	60	3.64e-07	42	88	69	60
"Aa_G100230.h1.t1"	"AT2G22120.2"	"AT2G22120.2"	"AT2G22120.2"	"N0.HOG0017536"	"AT2G22120.2"	"OG0011195"	"AT2G22120.2"	"AT2G22120.2"	323	363	100	89	324	96.914	648	"AT2G22120.2"	96.914	324	9	1	1	323	1	324	0	648	100	323	363
"Aa_G100240.h1.t1"	"AT2G22100.1"	"AT2G22100.1"	"AT2G22100.1"	"N0.HOG0018741"	"AT2G22100.1"	"OG0012298"	"AT2G22100.1"	"AT2G22100.1"	373	382	76	75	296	72.297	403	"AT2G22100.1"	72.297	296	57	9	92	373	98	382	2.73e-140	403	76	373	382
"Aa_G100250.h1.t1"	"AT2G22090.2"	"AT2G22090.2"	"AT2G22090.2"	"N0.HOG0018742"	"AT2G22090.2"	"OG0012299"	"AT2G22090.2"	"AT2G22090.2"	331	347	100	99	343	78.426	444	"AT2G22090.2"	78.717	343	61	7	1	331	1	343	1.19e-157	444	100	331	347
"Aa_G1002530.h1.t1"	"AT5G16210.1"	"AT5G16210.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G16210.1"	86.207	29	4	0	2	30	703	731	9.98e-10	50.8	67	43	1180
"Aa_G1002530.h2.t1"	"AT5G16210.1"	"AT5G16210.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G16210.1"	86.207	29	4	0	2	30	703	731	9.98e-10	50.8	67	43	1180
"Aa_G100260.h1.t1"	"AT2G22080.1"	"AT2G22080.1"	"AT2G22080.1"	"N0.HOG0022338"	"AT2G22080.1"	"OG0015766"	"AT2G22080.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G22080.1"	61.667	180	61	5	1	175	1	177	4.2e-29	105	100	175	177
"Aa_G1002640.h1.t1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G01410.1"	36.8	125	75	3	12	133	157	280	4.57e-13	67.8	42	289	294
"Aa_G100270.h1.t1"	"AT2G22070.1"	"AT2G22070.1"	"AT2G22070.1"	"N0.HOG0023825"	"AT2G22070.1"	"OG0017210"	"AT2G22070.1"	"AT2G22070.1"	559	786	100	71	559	91.95	1057	"AT2G22070.1"	91.95	559	45	0	1	559	228	786	0	1057	100	559	786
"Aa_G100280.h1.t1"	"AT2G22050.1"	"AT2G22050.1"	"AT2G22050.1"	"N0.HOG0003008"	"AT2G22050.1"	"OG0000622"	"AT2G22050.1, AT2G22060.1, AT2G41360.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G22050.1"	61.472	231	80	4	32	255	27	255	6.97e-87	262	64	351	259
"Aa_G1002970.h1.t1"	"AT1G08830.1"	"AT1G08830.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G08830.1"	90.909	55	5	0	1	55	93	147	3.34e-30	102	87	63	152
"Aa_G100300.h1.t1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G32010.1"	25.179	560	346	20	1	535	174	685	7.86e-20	94	77	693	835
"Aa_G100310.h1.t1"	"AT2G22010.2"	"AT2G22010.2"	"AT2G22010.2"	"N0.HOG0020435"	"AT2G22010.2"	"OG0013907"	"AT2G22010.2"	"AT2G22010.2"	1280	1283	99	99	1282	92.98	2434	"AT2G22010.2"	92.98	1282	87	1	1	1279	1	1282	0	2435	99	1280	1283
"Aa_G100320.h1.t1"	"AT2G22000.1"	"AT2G22000.1"	"AT2G22000.1"	"N0.HOG0014162"	"AT2G22000.1"	"OG0008052"	"AT2G22000.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G22000.1"	64.762	105	35	2	1	104	1	104	9.71e-22	81.6	100	104	104
"Aa_G100330.h1.t1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G14067.1"	57.377	61	10	2	20	65	84	143	1.24e-10	56.6	40	115	777
"Aa_G100340.h1.t1"	"AT2G21990.1"	"AT2G21990.1"	"AT2G21990.1"	"N0.HOG0020436"	"AT2G21990.1"	"OG0013908"	"AT2G21990.1"	"AT2G21990.1"	258	252	100	100	258	90.698	429	"AT2G21990.1"	91.085	258	17	2	1	258	1	252	1.59e-154	429	100	258	252
"Aa_G100350.h1.t1"	"AT2G21970.1"	"AT2G21970.1"	"AT2G21970.1"	"N0.HOG0022339"	"AT2G21970.1"	"OG0015767"	"AT2G21970.1"	"AT2G21970.1"	196	202	100	100	202	86.634	337	"AT2G21970.1"	86.634	202	21	2	1	196	1	202	1.41e-119	337	100	196	202
"Aa_G100360.h1.t1"	"AT2G21960.1"	"AT2G21960.1"	"AT2G21960.1"	"N0.HOG0022340"	"AT2G21960.1"	"OG0015768"	"AT2G21960.1"	"AT2G21960.1"	333	332	100	100	333	90.691	572	"AT2G21960.1"	90.691	333	30	1	1	333	1	332	0	572	100	333	332
"Aa_G100370.h1.t1"	"AT3G16940.1"	"AT3G16940.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G16940.1"	84.746	59	9	0	1	59	1	59	3.41e-30	111	60	98	845
"Aa_G10040.h1.t1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G15420.1"	33.333	84	56	0	186	269	390	473	3.13e-08	56.6	14	588	957
"Aa_G1004620.h1.t1"	"AT5G22350.1"	"AT5G22350.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G22350.1"	66.129	62	20	1	1	62	128	188	1.07e-20	83.2	85	73	427
"Aa_G100480.h1.t1"	"AT2G44080.1"	"AT2G44080.1"	"AT2G44080.1"	"N0.HOG0005144"	"AT2G44080.1"	"OG0001582"	"AT2G44080.1, AT3G59900.1"	"AT2G44080.1"	93	135	96	73	89	77	65.1	"AT2G44080.1"	82.022	89	15	1	5	93	48	135	5.26e-15	65.1	96	93	135
"Aa_G1004840.h1.t1"	"AT5G17410.2"	"AT5G17410.2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G17410.2"	93.617	47	3	0	1	47	200	246	3.78e-23	90.9	59	80	679
"Aa_G1004840.h2.t1"	"AT5G17410.2"	"AT5G17410.2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G17410.2"	93.617	47	3	0	1	47	200	246	3.78e-23	90.9	59	80	679
"Aa_G100490.h1.t1"	"AT2G44090.1"	"AT2G44090.1"	"AT2G44090.1"	"N0.HOG0023595"	"AT2G44090.1"	"OG0016983"	"AT2G44090.1"	"AT2G44090.1"	588	582	99	98	584	84.76	993	"AT2G44090.1"	84.76	584	75	5	4	586	10	580	0	993	99	588	582
"Aa_G100500.h1.t1"	"AT2G44100.1"	"AT2G44100.1"	"AT2G44100.1"	NA	NA	"OG0001503"	"AT2G44100.1, AT3G59920.1"	"AT2G44100.1"	445	445	100	100	445	97.528	902	"AT2G44100.1"	97.528	445	11	0	1	445	1	445	0	902	100	445	445
"Aa_G100510.h1.t1"	"AT2G44110.2"	"AT2G44110.2"	"AT2G44110.2"	"N0.HOG0021893"	"AT2G44110.2"	"OG0015328"	"AT2G44110.2"	"AT2G44110.2"	507	497	100	100	508	81.299	854	"AT2G44110.2"	81.299	508	83	3	1	507	1	497	0	854	100	507	497
"Aa_G1005170.h1.t1"	"AT1G55870.1"	"AT1G55870.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G55870.1"	46.154	91	20	2	29	90	444	534	2.25e-16	72.4	63	98	689
"Aa_G100520.h1.t1"	"AT2G44120.2"	"AT2G44120.2"	"AT2G44120.2"	"N0.HOG0003132"	"AT2G44120.2"	"OG0000669"	"AT2G01250.1, AT2G44120.2, AT3G13580.1"	"AT2G44120.2"	242	247	100	98	242	95.868	469	"AT2G44120.2"	95.868	242	10	0	1	242	6	247	1.91e-170	469	100	242	247
"Aa_G1005280.h1.t1"	"AT1G59890.2"	"AT1G59890.2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G59890.2"	68.075	213	55	2	1	210	684	886	7.95e-84	269	98	214	1167
"Aa_G100530.h1.t1"	"AT2G44130.1"	"AT2G44130.1"	"AT2G44130.1"	"N0.HOG0013880"	"AT2G44130.1"	"OG0007789"	"AT2G44130.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G44130.1"	69.118	408	102	8	1	385	3	409	0	563	100	385	409
"Aa_G100540.h1.t1"	"AT2G44140.1"	"AT2G44140.1"	"AT2G44140.1"	"N0.HOG0006505"	"AT2G44140.1"	"OG0002276"	"AT2G44140.1, AT3G59950.1"	"AT2G44140.1"	386	467	100	82	386	87.824	685	"AT2G44140.1"	87.824	386	45	2	1	386	84	467	0	685	100	386	467
"Aa_G100550.h1.t1"	"AT2G44150.1"	"AT2G44150.1"	"AT2G44150.1"	"N0.HOG0006503"	"AT2G44150.1"	"OG0002275"	"AT2G44150.1, AT3G59960.1"	"AT2G44150.1"	387	363	99	100	386	80.829	599	"AT2G44150.1"	80.829	386	50	2	1	385	1	363	0	599	99	387	363
"Aa_G100560.h1.t1"	"AT2G44160.1"	"AT2G44160.1"	"AT2G44160.1"	"N0.HOG0004477"	"AT2G44160.1"	"OG0001239"	"AT2G44160.1, AT3G59970.3"	"AT2G44160.1"	594	594	100	100	594	95.286	1194	"AT2G44160.1"	95.286	594	28	0	1	594	1	594	0	1194	100	594	594
"Aa_G100570.h1.t1"	"AT5G18000.1, AT5G18090.1"	"AT5G18000.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G18000.1, AT5G18090.1"	41.118	304	155	5	1	280	1	304	1.17e-68	214	98	286	307
"Aa_G1005720.h1.t1"	"AT1G62600.1, AT1G62620.1, AT1G63370.1"	"AT1G62620.1"	NA	NA	NA	"OG0003704"	"AT1G62600.1, AT1G62620.1, AT1G63370.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G62620.1"	81.818	198	31	2	1	197	16	209	1.79e-112	328	100	197	450
"Aa_G100580.h1.t1"	"AT2G44180.1"	"AT2G44180.1"	"AT2G44180.1"	"N0.HOG0005786"	"AT2G44180.1"	"OG0001905"	"AT2G44180.1, AT3G59990.1"	"AT2G44180.1"	434	441	98	99	435	86.897	770	"AT2G44180.1"	86.897	435	48	2	9	434	7	441	0	770	98	434	441
"Aa_G100590.h1.t1"	"AT2G44190.1"	"AT2G44190.1"	"AT2G44190.1"	"N0.HOG0015016"	"AT2G44190.1"	"OG0008860"	"AT2G44190.1"	"AT2G44190.1"	424	474	100	98	465	72.043	584	"AT2G44190.1"	73.82	466	78	9	1	424	1	464	0	610	100	424	474
"Aa_G100600.h1.t1"	"AT2G44200.1"	"AT2G44200.1"	"AT2G44200.1"	"N0.HOG0009637"	"AT2G44200.1"	"OG0004142"	"AT2G44195.1, AT2G44200.1"	"AT2G44200.1"	494	493	100	100	501	79.242	719	"AT2G44200.1"	79.441	501	88	7	1	494	1	493	0	720	100	494	493
"Aa_G100610.h1.t1"	"AT2G44210.2"	"AT2G44210.2"	"AT2G44210.2"	"N0.HOG0011072"	"AT2G44210.2"	"OG0005313"	"AT2G44210.2"	"AT2G44210.2"	401	445	100	97	435	84.138	724	"AT2G44210.2"	84.138	435	33	3	1	401	13	445	0	749	100	401	445
"Aa_G1006160.h1.t1"	"AT5G07270.1"	"AT5G07270.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G07270.1"	100	59	0	0	1	59	1	59	8.55e-36	124	100	59	513
"Aa_G100620.h1.t1"	"AT2G44230.1"	"AT2G44230.1"	"AT2G44230.1"	"N0.HOG0024560"	"AT2G44230.1"	"OG0017911"	"AT2G44230.1"	"AT2G44230.1"	546	542	99	99	542	89.483	1004	"AT2G44230.1"	89.483	542	54	1	4	545	3	541	0	1004	99	546	542
"Aa_G100630.h1.t1"	"AT2G44240.1"	"AT2G44240.1"	"AT2G44240.1"	"N0.HOG0002882"	"AT2G44240.1"	"OG0000580"	"AT2G44220.1, AT2G44240.1"	"AT2G44240.1"	401	402	99	99	403	73.697	614	"AT2G44240.1"	73.697	403	100	5	1	400	2	401	0	614	99	401	402
"Aa_G100640.h1.t1"	"AT2G44240.1"	"AT2G44240.1"	"AT2G44240.1"	"N0.HOG0002882"	"AT2G44240.1"	"OG0000580"	"AT2G44220.1, AT2G44240.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G44240.1"	73.734	316	80	2	1	314	2	316	8.16e-173	485	93	336	402
"Aa_G1006490.h1.t1"	"AT1G33860.2"	"AT1G33860.2"	"AT1G33860.2"	"N0.HOG0024644"	"AT1G33860.2"	"OG0017992"	"AT1G33860.2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Aa_G100650.h1.t1"	"AT2G44260.2"	"AT2G44260.2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G44260.2"	70.213	47	14	0	1	47	1	47	1.13e-16	72.4	57	82	583
"Aa_G100670.h1.t1"	"AT2G44280.1"	"AT2G44280.1"	"AT2G44280.1"	"N0.HOG0006501"	"AT2G44280.1"	"OG0002274"	"AT2G44280.1, AT3G60070.1"	"AT2G44280.1"	461	462	100	100	462	91.342	872	"AT2G44280.1"	91.342	462	39	1	1	461	1	462	0	872	100	461	462
"Aa_G1006710.h1.t1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G45570.1"	37.019	208	128	3	1	208	692	896	1.16e-41	150	87	238	921
"Aa_G10070.h1.t1"	"AT2G21210.2"	"AT2G21210.2"	"AT2G21210.2"	"N0.HOG0027436"	"AT2G21210.2"	"OG0020542"	"AT2G21210.2"	"AT2G21210.2"	96	165	100	58	96	80.208	165	"AT2G21210.2"	80.208	96	19	0	1	96	68	163	4.98e-54	165	100	96	165
"Aa_G1007590.h1.t1"	"AT4G16765.1"	"AT4G16765.1"	"AT4G16765.1"	"N0.HOG0005681"	"AT4G16765.1"	"OG0001847"	"AT4G16765.1, AT4G16770.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G16765.1"	71.97	132	32	1	1	127	83	214	1.17e-67	204	100	127	247
"Aa_G1007700.h1.t1"	"AT4G12620.1, AT4G14700.1"	"AT4G12620.1"	NA	"N0.HOG0013824"	"AT4G12620.1, AT4G14700.1"	"OG0007736"	"AT4G12620.1, AT4G14700.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G12620.1"	95.547	247	11	0	1	247	567	813	1.53e-172	495	100	247	813
"Aa_G1007700.h2.t1"	"AT4G12620.1, AT4G14700.1"	"AT4G12620.1"	NA	"N0.HOG0013824"	"AT4G12620.1, AT4G14700.1"	"OG0007736"	"AT4G12620.1, AT4G14700.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G12620.1"	95.547	247	11	0	1	247	567	813	1.53e-172	495	100	247	813
"Aa_G1007810.h1.t1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G36020.1"	31.081	74	44	2	82	150	157	228	3.28e-05	42.7	38	180	299
"Aa_G10080.h1.t1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G22180.1"	71.053	38	11	0	139	176	105	142	6.45e-11	60.1	19	198	402
"Aa_G100800.h1.t1"	"AT1G58180.2"	"AT1G58180.2"	"AT1G58180.2"	"N0.HOG0023303"	"AT1G58180.2"	"OG0016694"	"AT1G58180.2"	"AT1G58180.2"	288	290	100	100	290	86.552	523	"AT1G58180.2"	86.552	290	37	1	1	288	1	290	0	523	100	288	290
"Aa_G1008030.h1.t1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G21000.1"	25.862	116	78	2	29	139	70	182	0.007	37.4	41	273	405
"Aa_G100810.h1.t1"	"AT1G58170.1"	"AT1G58170.1"	"AT1G58170.1"	"N0.HOG0024883"	"AT1G58170.1"	"OG0018228"	"AT1G58170.1"	"AT1G58170.1"	185	185	100	100	185	82.703	303	"AT1G58170.1"	82.703	185	32	0	1	185	1	185	1.53e-114	323	100	185	185
"Aa_G1008250.h1.t1"	"AT5G28823.1"	"AT5G28823.1"	NA	"N0.HOG0000656"	"AT5G28823.1"	"OG0000071"	"AT2G07760.1, AT5G28823.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G07760.1"	62.5	160	55	2	42	201	183	337	3.12e-63	207	57	281	530
"Aa_G1008250.h2.t1"	"AT5G28823.1"	"AT5G28823.1"	NA	"N0.HOG0000656"	"AT5G28823.1"	"OG0000071"	"AT2G07760.1, AT5G28823.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G07760.1"	62.5	160	55	2	42	201	183	337	3.12e-63	207	57	281	530
"Aa_G100830.h1.t1"	"AT1G58120.1"	"AT1G58120.1"	"AT1G58120.1"	"N0.HOG0010957"	"AT1G58120.1"	"OG0005218"	"AT1G58120.1"	"AT1G58120.1"	420	420	100	100	420	87.857	727	"AT1G58120.1"	87.857	420	51	0	1	420	1	420	0	734	100	420	420
"Aa_G100840.h1.t1"	"AT1G58110.1"	"AT1G58110.1"	"AT1G58110.1"	"N0.HOG0011926"	"AT1G58110.1"	"OG0006041"	"AT1G58110.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G58110.1"	80	375	49	6	1	350	1	374	0	562	100	350	374
"Aa_G1008580.h1.t1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G52380.1"	41.86	43	25	0	27	69	73	115	0.001	38.9	21	201	268
"Aa_G100870.h1.t1"	"AT1G58110.1"	"AT1G58110.1"	"AT1G58110.1"	"N0.HOG0011926"	"AT1G58110.1"	"OG0006041"	"AT1G58110.1"	"AT1G58110.1"	368	374	100	100	375	82.933	604	"AT1G58110.1"	82.933	375	56	5	1	368	1	374	0	604	100	368	374
"Aa_G100890.h1.t1"	"AT1G58100.1"	"AT1G58100.1"	"AT1G58100.1"	"N0.HOG0021301"	"AT1G58100.1"	"OG0014742"	"AT1G58100.1"	"AT1G58100.1"	405	401	100	99	425	76	522	"AT1G58100.1"	76.235	425	56	13	1	405	1	400	0	522	100	405	401
"Aa_G1008910.h1.t1"	"AT4G02460.1"	"AT4G02460.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G02460.1"	68.817	93	29	0	1	93	529	621	5.55e-35	125	100	93	923
"Aa_G1008910.h2.t1"	"AT4G02460.1"	"AT4G02460.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G02460.1"	68.817	93	29	0	1	93	529	621	5.55e-35	125	100	93	923
"Aa_G10090.h1.t1"	"AT2G21195.4"	"AT2G21195.4"	"AT2G21195.4"	"N0.HOG0023830"	"AT2G21195.4"	"OG0017215"	"AT2G21195.4"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G21195.4"	60.577	104	11	3	1	74	1	104	4.37e-37	120	81	91	116
"Aa_G100900.h1.t1"	"AT3G47110.1, AT5G20480.1, AT5G39390.1"	"AT3G47110.1"	NA	"N0.HOG0000790"	"AT3G47110.1, AT5G20480.1, AT5G39390.1"	"OG0000088"	"AT3G47090.1, AT3G47110.1, AT3G47570.1, AT3G47580.1, AT5G20480.1, AT5G39390.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G47090.1"	73.75	80	21	0	1	80	913	992	3.35e-37	130	100	80	1009
"Aa_G100900.h2.t1"	"AT3G47110.1, AT5G20480.1, AT5G39390.1"	"AT3G47110.1"	NA	"N0.HOG0000790"	"AT3G47110.1, AT5G20480.1, AT5G39390.1"	"OG0000088"	"AT3G47090.1, AT3G47110.1, AT3G47570.1, AT3G47580.1, AT5G20480.1, AT5G39390.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G47090.1"	73.75	80	21	0	1	80	913	992	3.35e-37	130	100	80	1009
"Aa_G100910.h1.t1"	"AT3G47110.1, AT5G20480.1, AT5G39390.1"	"AT3G47110.1"	NA	"N0.HOG0000790"	"AT3G47110.1, AT5G20480.1, AT5G39390.1"	"OG0000088"	"AT3G47090.1, AT3G47110.1, AT3G47570.1, AT3G47580.1, AT5G20480.1, AT5G39390.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G47570.1"	85.263	95	14	0	12	106	730	824	1.33e-51	173	83	114	1010
