"Aethionema_saxatile"	"prot_length"	"Arabidopsis_thaliana"	"single_Arabidopsis_thaliana"	"homologue_type"	"OL_Arabidopsis_thaliana"	"N0_HOG"	"N0_Arabidopsis_thaliana"	"OG_Orthogroup"	"OG_Arabidopsis_thaliana"	"RBH_B_id"	"RBH_A_length"	"RBH_B_length"	"RBH_A_qcovhsp"	"RBH_B_qcovhsp"	"RBH_length"	"RBH_pident"	"RBH_bitscore"	"BLAST_saccver"	"BLAST_pident"	"BLAST_length"	"BLAST_mismatch"	"BLAST_gapopen"	"BLAST_qstart"	"BLAST_qend"	"BLAST_sstart"	"BLAST_send"	"BLAST_evalue"	"BLAST_bitscore"	"BLAST_qcovhsp"	"BLAST_qlen"	"BLAST_slen"
"As001G000200"	200	"AT4G28310.1, AT1G52270.1"	"AT4G28310.1"	"orthologue"	"AT4G28310.1, AT1G52270.1"	"N0.HOG0010463"	"AT4G28310.1, AT1G52270.1"	"OG0004802"	"AT1G52270.1, AT4G28310.1"	"AT4G28310.1"	201	202	99	100	204	71.078	278	"AT4G28310.1"	"71.078"	"204"	"53"	"3"	"1"	"200"	"1"	"202"	"2.27e-96"	"278"	"99"	"201"	"202"
"As001G000210"	430	"AT4G28320.1"	"AT4G28320.1"	"orthologue"	"AT4G28320.1"	"N0.HOG0007431"	"AT4G28320.1"	"OG0002753"	"AT2G20680.1, AT4G28320.1"	"AT4G28320.1"	431	431	99	99	426	85.211	772	"AT4G28320.1"	"85.211"	"426"	"63"	"0"	"5"	"430"	"6"	"431"	"0"	"772"	"99"	"431"	"431"
"As001G000220"	149	"AT4G28340.1, AT4G28330.1"	"AT4G28330.1"	"orthologue"	"AT4G28340.1, AT4G28330.1"	"N0.HOG0016946"	"AT4G28340.1, AT4G28330.1"	"OG0010661"	"AT4G28330.1, AT4G28340.1"	"AT4G28330.1"	150	158	98	94	148	87.162	209	"AT4G28330.1"	"87.162"	"148"	"18"	"1"	"3"	"149"	"8"	"155"	"8.45e-72"	"212"	"98"	"150"	"158"
"As001G000230"	686	"AT4G28350.1"	"AT4G28350.1"	"orthologue"	"AT4G28350.1"	"N0.HOG0019326"	"AT4G28350.1"	"OG0012838"	"AT4G28350.1"	"AT4G28350.1"	687	681	99	100	691	73.951	984	"AT4G28350.1"	"73.951"	"691"	"165"	"8"	"1"	"686"	"1"	"681"	"0"	"984"	"99"	"687"	"681"
"As001G000240"	291	"AT4G32480.1"	"AT4G32480.1"	"orthologue"	"AT4G32480.1"	"N0.HOG0010464"	"AT4G32480.1"	"OG0004803"	"AT4G32480.1"	"AT4G32480.1"	292	287	99	100	294	78.231	461	"AT4G32480.1"	"78.231"	"294"	"54"	"6"	"1"	"291"	"1"	"287"	"5.52e-166"	"461"	"99"	"292"	"287"
"As001G000250"	106	"AT2G20660.1"	"AT2G20660.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G20660.1"	"51.402"	"107"	"39"	"5"	"5"	"105"	"1"	"100"	"5.97e-27"	"95.1"	"94"	"107"	"101"
"As001G000260"	213	"AT4G32490.1, AT4G28365.1"	"AT4G28365.1"	"orthologue"	"AT4G32490.1, AT4G28365.1"	"N0.HOG0008965"	"AT4G32490.1, AT4G28365.1"	"OG0003695"	"AT4G28365.1, AT4G32490.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G28365.1"	"63.81"	"210"	"59"	"7"	"1"	"208"	"1"	"195"	"8.91e-86"	"251"	"97"	"214"	"199"
"As001G000270"	568	"AT4G28370.1"	"AT4G28370.1"	"orthologue"	"AT4G28370.1"	"N0.HOG0007673"	"AT4G28370.1"	"OG0002890"	"AT2G20650.1, AT4G28370.1"	"AT4G28370.1"	569	562	99	100	569	86.819	1013	"AT4G28370.1"	"86.819"	"569"	"67"	"3"	"1"	"568"	"1"	"562"	"0"	"1013"	"99"	"569"	"562"
"As001G000280"	404	"AT4G28380.1"	"AT4G28380.1"	"orthologue"	"AT4G28380.1"	"N0.HOG0021196"	"AT4G28380.1"	"OG0014637"	"AT4G28380.1"	"AT4G28380.1"	405	391	99	100	404	82.673	641	"AT4G28380.1"	"82.921"	"404"	"56"	"1"	"1"	"404"	"1"	"391"	"0"	"641"	"99"	"405"	"391"
"As001G000290"	283	"AT2G20630.2, AT4G28400.1"	"AT4G28400.1"	"orthologue"	"AT2G20630.2, AT4G28400.1"	"N0.HOG0006638"	"AT2G20630.2, AT4G28400.1"	"OG0002348"	"AT2G20630.2, AT4G28400.1"	"AT4G28400.1"	284	283	99	100	283	89.753	526	"AT4G28400.1"	"89.753"	"283"	"29"	"0"	"1"	"283"	"1"	"283"	"0"	"526"	"99"	"284"	"283"
"As001G000300"	120	"AT4G28405.1, AT1G52415.1"	"AT1G52415.1"	"orthologue"	"AT4G28405.1, AT1G52415.1"	"N0.HOG0023267"	"AT4G28405.1, AT1G52415.1"	"OG0016658"	"AT1G52415.1, AT4G28405.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G52415.1"	"51.327"	"113"	"48"	"4"	"8"	"119"	"9"	"115"	"5.28e-35"	"116"	"93"	"120"	"116"
"As001G000310"	75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"As001G000320"	460	"AT4G28430.1"	"AT4G28430.1"	"orthologue"	"AT4G28430.1"	"N0.HOG0023268"	"AT4G28430.1"	"OG0016659"	"AT4G28430.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G28430.1"	"61.987"	"463"	"155"	"10"	"3"	"457"	"5"	"454"	"4.14e-164"	"470"	"99"	"461"	"457"
"As001G000330"	152	"AT4G28440.1"	"AT4G28440.1"	"orthologue"	"AT4G28440.1"	"N0.HOG0010465"	"AT4G28440.1"	"OG0004804"	"AT4G28440.1"	"AT4G28440.1"	153	153	91	100	140	88.235	256	"AT4G28440.1"	"88.571"	"140"	"15"	"1"	"14"	"152"	"14"	"153"	"3.82e-89"	"256"	"91"	"153"	"153"
"As001G000340"	452	"AT4G28450.1"	"AT4G28450.1"	"orthologue"	"AT4G28450.1"	"N0.HOG0023269"	"AT4G28450.1"	"OG0016660"	"AT4G28450.1"	"AT4G28450.1"	453	452	99	100	452	92.699	897	"AT4G28450.1"	"92.699"	"452"	"33"	"0"	"1"	"452"	"1"	"452"	"0"	"897"	"99"	"453"	"452"
"As001G000350"	889	"AT2G20580.1, AT4G28470.1"	"AT2G20580.1"	"orthologue"	"AT2G20580.1, AT4G28470.1"	NA	NA	"OG0001549"	"AT2G20580.1, AT4G28470.1"	"AT2G20580.1"	890	891	99	100	891	93.603	1651	"AT2G20580.1"	"93.603"	"891"	"55"	"1"	"1"	"889"	"1"	"891"	"0"	"1653"	"99"	"890"	"891"
"As001G000360"	340	"AT4G28480.1"	"AT4G28480.1"	"orthologue"	"AT4G28480.1"	"N0.HOG0004144"	"AT4G28480.1"	"OG0001084"	"AT2G20550.1, AT2G20560.1, AT4G28480.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G20560.1"	"85.63"	"341"	"44"	"3"	"1"	"340"	"1"	"337"	"0"	"569"	"99"	"341"	"337"
"As001G000370"	204	"AT4G28485.2"	"AT4G28485.2"	"orthologue"	"AT4G28485.2"	"N0.HOG0013473"	"AT4G28485.2"	"OG0007414"	"AT4G28485.2"	"AT4G28485.2"	205	200	96	98	196	79.592	313	"AT4G28485.2"	"79.592"	"196"	"40"	"0"	"9"	"204"	"5"	"200"	"3.11e-110"	"313"	"96"	"205"	"200"
"As001G000380"	997	"AT4G28490.1"	"AT4G28490.1"	"orthologue"	"AT4G28490.1"	"N0.HOG0023270"	"AT4G28490.1"	"OG0016661"	"AT4G28490.1"	"AT4G28490.1"	998	999	99	99	989	78.858	1517	"AT4G28490.1"	"78.868"	"989"	"204"	"5"	"13"	"997"	"12"	"999"	"0"	"1517"	"99"	"998"	"999"
"As001G000390"	275	"AT4G28500.1"	"AT4G28500.1"	"orthologue"	"AT4G28500.1"	"N0.HOG0013474"	"AT4G28500.1"	"OG0007415"	"AT4G28500.1"	"AT4G28500.1"	276	305	99	100	305	75.082	417	"AT4G28500.1"	"75.082"	"305"	"46"	"4"	"1"	"275"	"1"	"305"	"1.85e-158"	"442"	"99"	"276"	"305"
"As001G000400"	288	"AT4G28510.1, AT2G20530.1"	"AT4G28510.1"	"orthologue"	"AT4G28510.1, AT2G20530.1"	"N0.HOG0002905"	"AT4G28510.1, AT2G20530.1"	"OG0000584"	"AT1G03860.1, AT2G20530.1, AT4G28510.1, AT5G44140.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G03860.1"	"89.236"	"288"	"29"	"1"	"1"	"288"	"1"	"286"	"0"	"506"	"99"	"289"	"286"
"As001G000410"	469	"AT4G28520.1"	"AT4G28520.1"	"orthologue"	"AT4G28520.1"	NA	NA	"OG0006570"	"AT4G28520.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G28520.1"	"65.406"	"529"	"118"	"4"	"1"	"469"	"1"	"524"	"0"	"618"	"99"	"470"	"524"
"As001G000420"	311	"AT4G28530.1"	"AT4G28530.1"	"orthologue"	"AT4G28530.1"	"N0.HOG0010098"	"AT4G28530.1"	"OG0004499"	"AT4G28530.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G28530.1"	"63.712"	"361"	"72"	"10"	"1"	"311"	"1"	"352"	"4.68e-144"	"409"	"99"	"312"	"352"
"As001G000430"	1187	"AT2G18760.3"	"AT2G18760.3"	"orthologue"	"AT2G18760.3"	"N0.HOG0021197"	"AT2G18760.3"	"OG0014638"	"AT2G18760.3"	"AT2G18760.3"	1188	1246	99	100	1256	75.159	1800	"AT2G18760.3"	"76.33"	"1259"	"213"	"13"	"1"	"1187"	"1"	"1246"	"0"	"1843"	"99"	"1188"	"1246"
"As001G000440"	844	"AT1G69770.1"	"AT1G69770.1"	"orthologue"	"AT1G69770.1"	"N0.HOG0025656"	"AT1G69770.1"	"OG0018940"	"AT1G69770.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G69770.1"	"66.152"	"842"	"276"	"5"	"1"	"838"	"1"	"837"	"0"	"1130"	"99"	"845"	"839"
"As001G000450"	484	"AT4G28540.1"	"AT4G28540.1"	"orthologue"	"AT4G28540.1"	"N0.HOG0010927"	"AT4G28540.1"	"OG0005193"	"AT4G28540.1"	"AT4G28540.1"	485	479	99	100	484	89.876	871	"AT4G28540.1"	"89.876"	"484"	"44"	"3"	"1"	"484"	"1"	"479"	"0"	"891"	"99"	"485"	"479"
"As001G000460"	134	"AT4G27090.1"	"AT4G27090.1"	"orthologue"	"AT4G27090.1"	"N0.HOG0004228"	"AT4G27090.1"	"OG0001124"	"AT2G20450.1, AT4G27090.1"	"AT4G27090.1"	135	134	99	100	134	93.284	249	"AT4G27090.1"	"93.284"	"134"	"9"	"0"	"1"	"134"	"1"	"134"	"4.37e-87"	"249"	"99"	"135"	"134"
"As001G000470"	425	"AT4G28550.1"	"AT4G28550.1"	"orthologue"	"AT4G28550.1"	"N0.HOG0006639"	"AT4G28550.1, AT2G20440.1"	"OG0002349"	"AT2G20440.1, AT4G28550.1"	"AT4G28550.1"	426	424	99	100	424	89.151	801	"AT4G28550.1"	"89.151"	"424"	"46"	"0"	"1"	"424"	"1"	"424"	"0"	"801"	"99"	"426"	"424"
"As001G000480"	204	"AT4G28556.1"	"AT4G28556.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G28556.1"	"62.838"	"148"	"46"	"4"	"1"	"141"	"1"	"146"	"1.05e-51"	"165"	"69"	"205"	"216"
"As001G000490"	452	"AT4G28560.1"	"AT4G28560.1"	"orthologue"	"AT4G28560.1"	"N0.HOG0021198"	"AT4G28560.1"	"OG0014639"	"AT4G28560.1"	"AT4G28560.1"	453	450	93	93	422	70.283	595	"AT4G28560.1"	"70.379"	"422"	"118"	"3"	"19"	"438"	"20"	"436"	"0"	"596"	"93"	"453"	"450"
"As001G000500"	747	"AT4G28570.1"	"AT4G28570.1"	"orthologue"	"AT4G28570.1"	"N0.HOG0019327"	"AT4G28570.1"	"OG0012839"	"AT4G28570.1"	"AT4G28570.1"	748	748	99	99	756	77.513	1135	"AT4G28570.1"	"78.071"	"757"	"146"	"7"	"1"	"747"	"1"	"747"	"0"	"1183"	"99"	"748"	"748"
"As001G000510"	329	"AT4G28590.1"	"AT4G28590.1"	"orthologue"	"AT4G28590.1"	"N0.HOG0021199"	"AT4G28590.1"	"OG0014640"	"AT4G28590.1"	"AT4G28590.1"	330	331	99	100	338	77.515	491	"AT4G28590.1"	"77.515"	"338"	"60"	"5"	"1"	"329"	"1"	"331"	"1.13e-176"	"492"	"99"	"330"	"331"
"As001G000520"	149	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G44060.1"	"36.646"	"161"	"79"	"7"	"1"	"149"	"1"	"150"	"9.35e-23"	"87.4"	"99"	"150"	"150"
"As001G000530"	745	"AT4G28600.3"	"AT4G28600.3"	"orthologue"	"AT4G28600.3"	"N0.HOG0016947"	"AT4G28600.3"	"OG0010662"	"AT4G28600.3"	"AT4G28600.3"	746	744	99	100	749	79.306	1142	"AT4G28600.3"	"79.306"	"749"	"144"	"5"	"1"	"743"	"1"	"744"	"0"	"1156"	"99"	"746"	"744"
"As001G000540"	407	"AT4G28610.1"	"AT4G28610.1"	"orthologue"	"AT4G28610.1"	"N0.HOG0012547"	"AT4G28610.1"	"OG0006571"	"AT4G28610.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G28610.1"	"66.587"	"419"	"94"	"16"	"23"	"406"	"1"	"408"	"4.35e-169"	"479"	"94"	"408"	"409"
"As001G000550"	232	"AT4G28640.2"	"AT4G28640.2"	"orthologue"	"AT4G28640.2"	"N0.HOG0014647"	"AT4G28640.2"	"OG0008505"	"AT4G28640.2"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G28640.2"	"63.223"	"242"	"61"	"9"	"9"	"231"	"13"	"245"	"1.08e-86"	"258"	"96"	"233"	"302"
"As001G000560"	1008	"AT4G28650.1"	"AT4G28650.1"	"orthologue"	"AT4G28650.1"	"N0.HOG0021200"	"AT4G28650.1"	"OG0014641"	"AT4G28650.1"	"AT4G28650.1"	1009	1013	99	100	1016	87.106	1746	"AT4G28650.1"	"87.106"	"1016"	"120"	"4"	"1"	"1008"	"1"	"1013"	"0"	"1773"	"99"	"1009"	"1013"
"As001G000570"	184	"AT4G28660.2"	"AT4G28660.2"	"orthologue"	"AT4G28660.2"	"N0.HOG0013475"	"AT4G28660.2"	"OG0007416"	"AT4G28660.2"	"AT4G28660.2"	185	198	99	99	198	75.253	290	"AT4G28660.2"	"75.253"	"198"	"33"	"2"	"1"	"183"	"1"	"197"	"1.46e-101"	"290"	"99"	"185"	"198"
"As001G000580"	614	"AT4G28670.1"	"AT4G28670.1"	"orthologue"	"AT4G28670.1"	"N0.HOG0024397"	"AT4G28670.1"	"OG0017751"	"AT4G28670.1"	"AT4G28670.1"	615	625	99	99	630	73.333	920	"AT4G28670.1"	"73.651"	"630"	"143"	"3"	"1"	"613"	"1"	"624"	"0"	"949"	"99"	"615"	"625"
"As001G000590"	487	"AT4G28680.5"	"AT4G28680.5"	"orthologue"	"AT4G28680.5"	"N0.HOG0021201"	"AT4G28680.5"	"OG0014642"	"AT4G28680.5"	"AT4G28680.5"	488	566	99	90	512	77.539	831	"AT4G28680.5"	"77.539"	"512"	"85"	"2"	"5"	"486"	"49"	"560"	"0"	"832"	"99"	"488"	"566"
"As001G000600"	503	"AT4G28700.1"	"AT4G28700.1"	"orthologue"	"AT4G28700.1"	"N0.HOG0012548"	"AT4G28700.1"	"OG0006572"	"AT4G28700.1"	"AT4G28700.1"	504	504	99	99	499	87.976	863	"AT4G28700.1"	"87.976"	"499"	"60"	"0"	"1"	"499"	"1"	"499"	"0"	"863"	"99"	"504"	"504"
"As001G000610"	127	"AT4G28703.1"	"AT4G28703.1"	"orthologue"	"AT4G28703.1"	"N0.HOG0024398"	"AT4G28703.1"	"OG0017752"	"AT4G28703.1"	"AT4G28703.1"	128	107	99	99	127	70.866	169	"AT4G28703.1"	"70.866"	"127"	"16"	"2"	"1"	"127"	"1"	"106"	"1.06e-55"	"169"	"99"	"128"	"107"
"As001G000620"	401	"AT4G28706.4"	"AT4G28706.4"	"orthologue"	"AT4G28706.4"	"N0.HOG0017994"	"AT4G28706.4"	"OG0011603"	"AT4G28706.4"	"AT4G28706.4"	402	440	99	92	404	81.188	634	"AT4G28706.4"	"81.188"	"404"	"71"	"4"	"1"	"400"	"1"	"403"	"0"	"650"	"99"	"402"	"440"
"As001G000640"	1500	"AT4G28710.1"	"AT4G28710.1"	"orthologue"	"AT4G28710.1"	"N0.HOG0017995"	"AT4G28710.1"	"OG0011604"	"AT4G28710.1"	"AT4G28710.1"	1501	1516	99	100	1523	83.388	2588	"AT4G28710.1"	"83.388"	"1523"	"223"	"6"	"1"	"1500"	"1"	"1516"	"0"	"2588"	"99"	"1501"	"1516"
"As001G000650"	433	"AT4G28720.1"	"AT4G28720.1"	"orthologue"	"AT4G28720.1"	"N0.HOG0013476"	"AT4G28720.1"	"OG0007417"	"AT4G28720.1"	"AT4G28720.1"	434	426	99	100	433	84.988	769	"AT4G28720.1"	"84.988"	"433"	"58"	"2"	"1"	"433"	"1"	"426"	"0"	"773"	"99"	"434"	"426"
"As001G000660"	178	"AT4G28730.1"	"AT4G28730.1"	"orthologue"	"AT4G28730.1"	"N0.HOG0012549"	"AT4G28730.1"	"OG0006573"	"AT4G28730.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G28730.1"	"65.761"	"184"	"47"	"3"	"1"	"178"	"1"	"174"	"1.28e-71"	"213"	"99"	"179"	"174"
"As001G000670"	333	"AT4G28740.1"	"AT4G28740.1"	"orthologue"	"AT4G28740.1"	"N0.HOG0021202"	"AT4G28740.1"	"OG0014643"	"AT4G28740.1"	"AT4G28740.1"	334	347	99	95	337	77.448	515	"AT4G28740.1"	"77.448"	"337"	"66"	"4"	"1"	"333"	"17"	"347"	"0"	"515"	"99"	"334"	"347"
"As001G000680"	139	"AT4G28750.1"	"AT4G28750.1"	"orthologue"	"AT4G28750.1"	"N0.HOG0007197"	"AT4G28750.1"	"OG0002622"	"AT2G20260.1, AT4G28750.1"	"AT2G20260.1"	140	145	99	100	145	77.241	180	"AT2G20260.1"	"77.241"	"145"	"26"	"2"	"1"	"138"	"1"	"145"	"1.59e-59"	"180"	"99"	"140"	"145"
"As001G000690"	922	"AT4G28760.1"	"AT4G28760.1"	"orthologue"	"AT4G28760.1"	"N0.HOG0019328"	"AT4G28760.1"	"OG0012840"	"AT4G28760.1"	"AT4G28760.1"	923	924	99	100	942	71.868	1236	"AT4G28760.1"	"72.187"	"942"	"220"	"17"	"5"	"922"	"1"	"924"	"0"	"1276"	"99"	"923"	"924"
"As001G000700"	269	"AT4G28770.2"	"AT4G28770.2"	"orthologue"	"AT4G28770.2"	"N0.HOG0007920"	"AT4G28770.2"	"OG0003033"	"AT2G20230.1, AT4G28770.2"	"AT4G28770.2"	270	325	99	86	280	81.071	369	"AT4G28770.2"	"81.071"	"280"	"41"	"4"	"1"	"269"	"45"	"323"	"2.64e-129"	"369"	"99"	"270"	"325"
"As001G000710"	361	"AT4G28780.1"	"AT4G28780.1"	"orthologue"	"AT4G28780.1"	"N0.HOG0023271"	"AT4G28780.1"	"OG0016662"	"AT4G28780.1"	"AT4G28780.1"	362	367	99	99	362	81.768	624	"AT4G28780.1"	"81.768"	"362"	"65"	"1"	"1"	"361"	"6"	"367"	"0"	"624"	"99"	"362"	"367"
"As001G000720"	537	"AT4G28800.2, AT4G28815.1, AT4G28811.1, AT4G28790.1"	"AT4G28800.2"	"orthologue"	"AT4G28800.2, AT4G28815.1, AT4G28811.1, AT4G28790.1"	"N0.HOG0006939"	"AT4G28800.2, AT4G28815.1, AT4G28811.1, AT4G28790.1"	"OG0002495"	"AT4G28790.1, AT4G28800.2, AT4G28811.1, AT4G28815.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G20180.2"	"51.404"	"463"	"151"	"20"	"1"	"436"	"40"	"455"	"3.47e-117"	"354"	"81"	"538"	"478"
"As001G000730"	169	"AT4G28820.3"	"AT4G28820.3"	"orthologue"	"AT4G28820.3"	"N0.HOG0013477"	"AT4G28820.3"	"OG0007418"	"AT4G28820.3"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G28820.3"	"68.571"	"175"	"47"	"3"	"1"	"169"	"1"	"173"	"7.02e-76"	"224"	"99"	"170"	"181"
"As001G000740"	208	"AT4G28830.1"	"AT4G28830.1"	"orthologue"	"AT4G28830.1"	"N0.HOG0014648"	"AT4G28830.1"	"OG0008506"	"AT4G28830.1"	"AT4G28830.1"	209	208	99	100	208	90.865	379	"AT4G28830.1"	"90.865"	"208"	"19"	"0"	"1"	"208"	"1"	"208"	"7.26e-136"	"379"	"99"	"209"	"208"
