"Cochlearia_excelsa"	"Arabidopsis_thaliana"	"single_Arabidopsis_thaliana"	"OL_Arabidopsis_thaliana"	"N0_HOG"	"N0_Arabidopsis_thaliana"	"OG_Orthogroup"	"OG_Arabidopsis_thaliana"	"RBH_B_id"	"RBH_A_length"	"RBH_B_length"	"RBH_A_qcovhsp"	"RBH_B_qcovhsp"	"RBH_length"	"RBH_pident"	"RBH_bitscore"	"BLAST_saccver"	"BLAST_pident"	"BLAST_length"	"BLAST_mismatch"	"BLAST_gapopen"	"BLAST_qstart"	"BLAST_qend"	"BLAST_sstart"	"BLAST_send"	"BLAST_evalue"	"BLAST_bitscore"	"BLAST_qcovhsp"	"BLAST_qlen"	"BLAST_slen"
"g10013"	"AT5G24400.1"	"AT5G24400.1"	"AT5G24400.1"	"N0.HOG0015460"	"AT5G24400.1"	"OG0009293"	"AT5G24400.1"	"AT5G24400.1"	334	325	99	100	334	81.138	521	"AT5G24400.1"	81.437	334	52	5	1	333	1	325	0	529	99	334	325
"g10014"	"AT5G24450.1"	"AT5G24450.1"	"AT5G24450.1"	"N0.HOG0007594"	"AT5G24450.1"	"OG0002848"	"AT3G49410.1, AT5G24450.1"	"AT5G24450.1"	557	554	97	99	549	78.324	837	"AT5G24450.1"	78.324	549	109	4	1	542	1	546	0	872	97	557	554
"g10015"	"AT5G24460.1"	"AT5G24460.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G24460.1"	85.507	69	8	1	1	67	1	69	1.07e-33	117	74	90	300
"g10016"	"AT5G24400.1"	"AT5G24400.1"	"AT5G24400.1"	"N0.HOG0015460"	"AT5G24400.1"	"OG0009293"	"AT5G24400.1"	"AT5G24400.1"	334	325	99	100	334	81.138	521	"AT5G24400.1"	81.437	334	52	5	1	333	1	325	0	529	99	334	325
"g10017"	"AT5G24460.1"	"AT5G24460.1"	"AT5G24460.1"	"N0.HOG0016594"	"AT5G24460.1"	"OG0010334"	"AT5G24460.1"	"AT5G24460.1"	479	300	61	99	299	83.946	470	"AT5G24460.1"	83.946	299	38	6	1	290	1	298	3.74e-166	470	61	479	300
"g10019"	"AT5G24560.1"	"AT5G24560.1"	NA	"N0.HOG0025290"	"AT5G24560.1"	"OG0018608"	"AT5G24560.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G24560.1"	64.113	248	30	3	1	245	1	192	3.53e-102	294	99	246	195
"g1002"	"AT5G55180.2"	"AT5G55180.2"	"AT5G55180.2"	"N0.HOG0005299"	"AT5G55180.2"	"OG0001658"	"AT4G26830.2, AT5G55180.2"	"AT5G55180.2"	463	465	97	97	451	89.8	808	"AT5G55180.2"	89.8	451	44	2	1	451	1	449	0	808	97	463	465
"g10021"	"AT5G24600.1"	"AT5G24600.1"	"AT5G24600.1"	"N0.HOG0014303"	"AT5G24600.1"	"OG0008188"	"AT5G24600.1"	"AT5G24600.1"	249	248	99	100	248	89.919	455	"AT5G24600.1"	89.919	248	25	0	1	248	1	248	7.39e-165	455	99	249	248
"g10022"	"AT5G24610.1, AT3G49550.1"	"AT5G24610.1"	"AT5G24610.1, AT3G49550.1"	"N0.HOG0005866"	"AT5G24610.1, AT3G49550.1"	"OG0001945"	"AT3G49550.1, AT5G24610.1"	"AT5G24610.1"	238	146	62	99	149	89.933	270	"AT5G24610.1"	89.933	149	9	3	1	147	1	145	1.87e-93	270	62	238	146
"g10023"	"AT5G24690.1"	"AT5G24690.1"	"AT5G24690.1"	"N0.HOG0014301"	"AT5G24690.1"	"OG0008186"	"AT5G24690.1"	"AT5G24690.1"	523	521	99	100	526	87.262	832	"AT5G24690.1"	87.262	526	58	4	1	522	1	521	0	843	99	523	521
"g10024"	"AT5G24710.1"	"AT5G24710.1"	"AT5G24710.1"	"N0.HOG0015456"	"AT5G24710.1"	"OG0009289"	"AT5G24710.1"	"AT5G24710.1"	1374	1377	99	99	1391	90.726	2437	"AT5G24710.1"	90.726	1391	94	9	1	1373	1	1374	0	2437	99	1374	1377
"g10025"	"AT5G24740.3"	"AT5G24740.3"	"AT5G24740.3"	"N0.HOG0023924"	"AT5G24740.3"	"OG0017309"	"AT5G24740.3"	"AT5G24740.3"	3459	3521	99	99	3526	80.034	5654	"AT5G24740.3"	80.147	3526	625	17	1	3457	1	3520	0	5669	99	3459	3521
"g10026"	"AT5G24840.1"	"AT5G24840.1"	"AT5G24840.1"	"N0.HOG0023923"	"AT5G24840.1"	"OG0017308"	"AT5G24840.1"	"AT5G24840.1"	260	251	96	100	251	93.227	485	"AT5G24840.1"	93.227	251	16	1	10	259	1	251	2.23e-176	485	96	260	251
"g10027"	"AT5G24880.1"	"AT5G24880.1"	"AT5G24880.1"	"N0.HOG0004960"	"AT5G24880.1"	"OG0001483"	"AT5G10660.2, AT5G24880.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G24880.1"	64	325	99	9	1	313	1	319	4.99e-92	285	72	435	443
"g10028"	"AT5G24890.1"	"AT5G24890.1"	"AT5G24890.1"	"N0.HOG0011737"	"AT5G24890.1"	"OG0005887"	"AT5G24890.1"	"AT5G24890.1"	242	240	90	93	231	74.569	256	"AT5G24890.1"	74.569	232	38	8	8	226	7	230	1.07e-91	269	90	242	240
"g10029"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G23160.2"	35.821	134	82	1	2	131	206	339	3.57e-24	102	45	289	1043
"g1003"	"AT5G55200.1"	"AT5G55200.1"	NA	NA	NA	NA	NA	"AT5G55200.1"	483	302	59	95	291	75.945	405	"AT5G55200.1"	75.945	291	62	6	196	482	14	300	1.74e-147	423	59	483	302
"g10030"	"AT4G23160.2"	"AT4G23160.2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G23160.2"	48.148	81	42	0	8	88	105	185	2.53e-25	97.8	84	96	1043
"g10031"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ATMG00710.1"	40	75	45	0	262	336	2	76	3.61e-15	71.2	17	451	120
"g10032"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G26420.1"	27.103	107	61	4	117	213	36	135	0.005	37	38	253	245
"g10033"	"AT5G24930.1"	"AT5G24930.1"	"AT5G24930.1"	"N0.HOG0015455"	"AT5G24930.1"	"OG0009288"	"AT5G24930.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G24930.1"	84.615	364	40	6	1	350	1	362	0	581	99	351	362
"g10034"	"AT5G24940.1"	"AT5G24940.1"	"AT5G24940.1"	"N0.HOG0006224"	"AT5G10740.1, AT5G24940.1"	"OG0002119"	"AT5G10740.1, AT5G24940.1"	"AT5G24940.1"	480	447	94	98	456	76.754	672	"AT5G24940.1"	76.754	456	84	5	20	472	6	442	0	672	94	480	447
"g10035"	"AT5G25040.2, AT5G25050.1"	"AT5G25050.1"	"AT5G25040.2, AT5G25050.1"	"N0.HOG0013179"	"AT5G25040.2, AT5G25050.1"	"OG0007152"	"AT5G25040.2, AT5G25050.1"	"AT5G25050.1"	503	499	99	100	502	90.438	918	"AT5G25050.1"	90.837	502	43	1	1	502	1	499	0	939	99	503	499
"g10036"	"AT5G25080.1"	"AT5G25080.1"	"AT5G25080.1"	"N0.HOG0014300"	"AT5G25080.1"	"OG0008185"	"AT5G25080.1"	"AT5G25080.1"	220	217	92	94	205	77.561	325	"AT5G25080.1"	77.561	205	42	2	17	219	15	217	1.77e-114	325	92	220	217
"g10038"	"AT5G25090.1"	"AT5G25090.1"	"AT5G25090.1"	"N0.HOG0013178"	"AT5G25090.1"	"OG0007151"	"AT5G25090.1"	"AT5G25090.1"	185	186	93	89	165	77.401	238	"AT5G25090.1"	77.401	177	35	3	13	184	10	186	5.47e-81	238	93	185	186
"g1004"	"AT5G55210.1"	"AT5G55210.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G55210.1"	71.098	173	32	7	1	160	1	168	2.39e-67	201	99	161	168
"g10040"	"AT5G25110.1"	"AT5G25110.1"	"AT5G25110.1"	"N0.HOG0007243"	"AT5G25110.1"	"OG0002653"	"AT5G10930.1, AT5G25110.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G10930.1"	80.09	442	75	3	1	436	1	435	0	734	96	454	445
"g10041"	"AT5G25180.1, AT5G25130.1, AT5G25120.1, AT5G25140.1"	"AT5G25120.1"	"AT5G25180.1, AT5G25130.1, AT5G25120.1, AT5G25140.1"	"N0.HOG0002655"	"AT5G25180.1, AT5G25130.1, AT5G25120.1, AT5G25140.1"	"OG0000505"	"AT5G25120.1, AT5G25130.1, AT5G25140.1, AT5G25180.1"	"AT5G25120.1"	476	496	99	96	474	82.7	844	"AT5G25120.1"	82.7	474	82	0	2	475	23	496	0	844	99	476	496
"g10042"	"AT5G25120.1, AT5G25130.1, AT5G25140.1, AT5G25180.1"	"AT5G25120.1"	NA	NA	NA	"OG0000505"	"AT5G25120.1, AT5G25130.1, AT5G25140.1, AT5G25180.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G25120.1"	76.613	496	116	0	1	496	1	496	0	832	99	497	496
"g10044"	"AT1G18740.1"	"AT1G18740.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G18740.1"	53.968	126	33	5	4	119	94	204	1.21e-29	109	88	132	382
"g10046"	"AT5G25190.1"	"AT5G25190.1"	"AT5G25190.1"	"N0.HOG0010336"	"AT5G25190.1"	"OG0004693"	"AT5G25190.1"	"AT5G25190.1"	174	181	99	99	179	75.978	258	"AT5G25190.1"	75.978	179	37	1	1	173	1	179	3.82e-89	258	99	174	181
"g10047"	"AT5G25210.2"	"AT5G25210.2"	"AT5G25210.2"	"N0.HOG0022566"	"AT5G25210.2"	"OG0015991"	"AT5G25210.2"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G25210.2"	55.249	181	53	7	1	176	1	158	1.9e-44	145	99	177	218
"g10048"	"AT5G25240.1"	"AT5G25240.1"	"AT5G25240.1"	"N0.HOG0017647"	"AT5G25240.1"	"OG0011291"	"AT5G25240.1"	"AT5G25240.1"	122	131	99	100	132	75	190	"AT5G25240.1"	75	132	21	3	1	121	1	131	5.88e-64	190	99	122	131
"g10049"	"AT5G25265.1"	"AT5G25265.1"	"AT5G25265.1"	"N0.HOG0015452"	"AT5G25265.1"	"OG0009285"	"AT5G25265.1"	"AT5G25265.1"	370	366	99	100	369	88.347	671	"AT5G25265.1"	88.618	369	39	1	1	369	1	366	0	671	99	370	366
"g1005"	"AT5G55220.1"	"AT5G55220.1"	"AT5G55220.1"	"N0.HOG0019604"	"AT5G55220.1"	"OG0013113"	"AT5G55220.1"	"AT5G55220.1"	538	547	99	99	550	84.909	925	"AT5G55220.1"	85.273	550	63	6	1	536	1	546	0	933	99	538	547
"g10050"	"AT2G47840.1"	"AT2G47840.1"	"AT2G47840.1"	"N0.HOG0023585"	"AT2G47840.1"	"OG0016973"	"AT2G47840.1"	"AT2G47840.1"	206	208	99	100	210	83.81	343	"AT2G47840.1"	83.81	210	27	2	1	205	1	208	8.5e-122	343	99	206	208
"g10051"	"AT5G25270.1"	"AT5G25270.1"	"AT5G25270.1"	"N0.HOG0018886"	"AT5G25270.1"	"OG0012432"	"AT5G25270.1"	"AT5G25270.1"	634	642	94	93	603	77.612	887	"AT5G25270.1"	77.686	605	124	7	5	603	11	610	0	889	94	634	642
"g10052"	"AT5G11090.1, AT5G25280.1"	"AT5G25280.1"	NA	"N0.HOG0003993"	"AT5G11090.1, AT5G25280.1"	"OG0001016"	"AT5G11090.1, AT5G25280.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G25280.1"	80.09	221	32	6	1	210	1	220	2.78e-96	279	99	211	220
"g10054"	"ATMG00860.1"	"ATMG00860.1"	NA	NA	NA	"OG0000015"	"ATMG00860.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"g10055"	"AT5G11110.1"	"AT5G11110.1"	NA	NA	NA	"OG0004542"	"AT5G11110.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G11110.1"	83.507	1055	155	9	1	1048	1	1043	0	1746	99	1050	1047
"g10056"	"AT2G30360.1"	"AT2G30360.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G30360.1"	60.851	235	53	3	1	196	1	235	1.38e-87	263	99	197	435
"g10057"	"AT5G25310.1"	"AT5G25310.1"	NA	"N0.HOG0020624"	"AT5G25310.1"	"OG0014087"	"AT5G25310.1"	"AT5G25310.1"	493	480	99	98	486	76.543	741	"AT5G25310.1"	77.576	495	93	6	1	492	1	480	0	778	99	493	480
"g10058"	"AT5G25340.1"	"AT5G25340.1"	"AT5G25340.1"	"N0.HOG0015451"	"AT5G25340.1"	"OG0009284"	"AT5G25340.1"	"AT5G25340.1"	212	208	99	100	212	81.604	343	"AT5G25340.1"	81.604	212	34	5	1	211	1	208	6.38e-122	343	99	212	208
"g10059"	"AT5G25350.1"	"AT5G25350.1"	"AT5G25350.1"	"N0.HOG0012321"	"AT5G25350.1"	"OG0006387"	"AT5G25350.1"	"AT5G25350.1"	633	623	97	98	610	90.777	1103	"AT5G25350.1"	90.777	618	55	2	1	616	1	618	0	1103	97	633	623
"g1006"	"AT5G55230.2"	"AT5G55230.2"	"AT5G55230.2"	"N0.HOG0004571"	"AT5G55230.2"	"OG0001287"	"AT4G26760.1, AT5G55230.2"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G55230.2"	85.99	621	52	5	1	591	1	616	0	1020	99	592	616
"g10060"	"AT4G32342.2"	"AT4G32342.2"	"AT4G32342.2"	"N0.HOG0008203"	"AT4G32342.2"	"OG0003206"	"AT4G32342.2, AT5G25360.3"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G25360.3"	81.579	152	26	2	3	154	67	216	1.87e-87	254	98	155	216
"g10062"	"AT5G25370.1"	"AT5G25370.1"	"AT5G25370.1"	"N0.HOG0014299"	"AT5G25370.1"	"OG0008184"	"AT5G25370.1"	"AT5G25370.1"	829	820	98	99	815	86.748	1494	"AT5G25370.1"	86.748	815	108	0	1	815	1	815	0	1494	98	829	820
"g10063"	"AT2G39320.1"	"AT2G39320.1"	"AT2G39320.1"	"N0.HOG0008076"	"AT2G39320.1"	"OG0003126"	"AT2G39320.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G03330.1"	47.799	159	77	3	15	173	198	350	1.47e-43	148	82	195	356
"g10064"	"AT5G25610.1"	"AT5G25610.1"	"AT5G25610.1"	"N0.HOG0009987"	"AT5G25610.1"	"OG0004416"	"AT5G25610.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G25610.1"	78.571	392	55	3	1	363	1	392	0	560	99	364	392
"g10065"	"AT5G25590.1"	"AT5G25590.1"	"AT5G25590.1"	"N0.HOG0017645"	"AT5G25590.1"	"OG0011289"	"AT5G25590.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G25590.1"	81.014	769	115	12	1	741	1	766	0	1105	99	747	775
"g10066"	"AT5G25570.3"	"AT5G25570.3"	"AT5G25570.3"	"N0.HOG0020623"	"AT5G25570.3"	"OG0014086"	"AT5G25570.3"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G25570.3"	65.116	129	12	2	1	97	1	128	2.54e-49	152	99	98	131
"g10067"	"AT5G25550.1"	"AT5G25550.1"	"AT5G25550.1"	"N0.HOG0023920"	"AT5G25550.1"	"OG0017305"	"AT5G25550.1"	"AT5G25550.1"	459	433	84	89	386	83.969	667	"AT5G25550.1"	84.456	386	53	3	1	386	1	379	0	667	84	459	433
"g10068"	"AT5G25540.1"	"AT5G25540.1"	"AT5G25540.1"	"N0.HOG0015816"	"AT5G25540.1"	"OG0009612"	"AT5G25540.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G25540.1"	63.871	155	47	5	62	210	1	152	6.92e-55	173	62	239	175
"g10069"	"AT5G25510.1"	"AT5G25510.1"	"AT5G25510.1"	"N0.HOG0012320"	"AT5G25510.1"	"OG0006386"	"AT5G25510.1"	"AT5G25510.1"	500	500	99	100	500	90.8	923	"AT5G25510.1"	90.8	500	45	1	1	499	1	500	0	923	99	500	500
"g1007"	"AT5G55240.1"	"AT5G55240.1"	"AT5G55240.1"	"N0.HOG0025870"	"AT5G55240.1"	"OG0019136"	"AT5G55240.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G55240.1"	97.436	39	1	0	32	70	150	188	8.04e-24	89.7	49	79	243
"g10070"	"AT5G25500.1"	"AT5G25500.1"	"AT5G25500.1"	"N0.HOG0025154"	"AT5G25500.1"	"OG0018483"	"AT5G25500.1"	"AT5G25500.1"	421	420	99	99	415	86.747	737	"AT5G25500.1"	86.747	415	54	1	6	420	7	420	0	737	99	421	420
"g10071"	"AT5G25490.1"	"AT5G25490.1"	"AT5G25490.1"	"N0.HOG0015448"	"AT5G25490.1"	"OG0009281"	"AT5G25490.1"	"AT5G25490.1"	166	170	98	96	166	72.289	214	"AT5G25490.1"	74.096	166	37	4	1	163	1	163	2.87e-72	214	98	166	170
"g10072"	"AT5G25640.1"	"AT5G25640.1"	"AT5G25640.1"	"N0.HOG0011254"	"AT5G25640.1"	"OG0005470"	"AT5G25640.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G25640.1"	62.595	262	77	5	27	272	31	287	1.26e-98	290	87	282	287
"g10073"	"AT5G25410.1, AT5G25415.1, AT5G60380.1"	"AT5G25410.1"	NA	NA	NA	"OG0000476"	"AT5G25410.1, AT5G25415.1, AT5G60380.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G25410.1"	61.993	271	96	2	1	271	106	369	2.03e-122	353	99	272	369
"g10074"	"AT5G25757.1, AT5G25754.1"	"AT5G25757.1"	"AT5G25757.1, AT5G25754.1"	"N0.HOG0009282"	"AT5G25757.1, AT5G25754.1"	"OG0003899"	"AT5G25754.1, AT5G25757.1"	"AT5G25754.1, AT5G25757.1"	524	514	99	100	524	90.458	969	"AT5G25757.1, AT5G25754.1"	90.458	524	39	4	1	523	1	514	0	969	99	524	514
"g10075"	"AT5G25760.1"	"AT5G25760.1"	"AT5G25760.1"	"N0.HOG0014420"	"AT5G25760.1"	"OG0008300"	"AT5G25760.1"	"AT5G25760.1"	158	157	99	100	157	97.452	325	"AT5G25760.1"	97.452	157	4	0	1	157	1	157	1.56e-116	325	99	158	157
"g10076"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G25790.2"	37.405	262	128	12	93	327	134	386	1.07e-31	124	68	345	504
"g10077"	"AT5G25800.2"	"AT5G25800.2"	"AT5G25800.2"	"N0.HOG0013177"	"AT5G25800.2"	"OG0007150"	"AT5G25800.2"	"AT5G25800.2"	573	569	99	99	578	83.564	967	"AT5G25800.2"	83.564	578	78	6	1	571	1	568	0	967	99	573	569
"g10078"	"AT5G25810.1"	"AT5G25810.1"	"AT5G25810.1"	"N0.HOG0013176"	"AT5G25810.1"	"OG0007149"	"AT5G25810.1"	"AT5G25810.1"	211	218	98	92	208	70.192	263	"AT5G25810.1"	70.192	208	53	5	5	210	18	218	1.48e-90	264	98	211	218
"g1008"	"AT5G55300.2"	"AT5G55300.2"	"AT5G55300.2"	NA	NA	"OG0003379"	"AT5G55300.2"	"AT5G55300.2"	908	933	98	96	898	80.512	1310	"AT5G55300.2"	80.512	898	160	8	13	904	22	910	0	1310	98	908	933
"g10080"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ATMG00750.1"	76.786	56	13	0	215	270	35	90	3.44e-26	102	10	535	119
"g10081"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ATMG00860.1"	40.351	57	33	1	91	147	43	98	1.39e-08	50.8	35	165	158
"g10082"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G59990.1"	31.481	108	57	6	140	236	105	206	0.053	34.7	36	272	439
"g10085"	"AT5G25820.1"	"AT5G25820.1"	"AT5G25820.1"	"N0.HOG0011736"	"AT5G25820.1"	"OG0005886"	"AT5G25820.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G25820.1"	69.552	670	112	6	1	595	1	653	0	937	99	597	654
"g10086"	"AT5G25900.1"	"AT5G25900.1"	"AT5G25900.1"	"N0.HOG0018885"	"AT5G25900.1"	"OG0012431"	"AT5G25900.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G25900.1"	82.376	505	88	1	3	506	5	509	0	857	99	507	509
"g10087"	"AT5G25930.1"	"AT5G25930.1"	"AT5G25930.1"	"N0.HOG0009712"	"AT5G25930.1"	"OG0004198"	"AT5G25930.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G25930.1"	81.992	994	174	3	18	1011	17	1005	0	1637	98	1012	1005
"g10088"	"AT1G74090.1"	"AT1G74090.1"	NA	"N0.HOG0003194"	"AT1G74090.1"	"OG0000695"	"AT1G74090.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G74090.1"	82.675	329	56	1	10	338	23	350	0	550	97	340	350
"g10089"	"AT5G26000.1"	"AT5G26000.1"	"AT5G26000.1"	"N0.HOG0002092"	"AT5G26000.1, AT5G25980.2, AT5G48375.1"	"OG0000344"	"AT5G25980.2, AT5G26000.1, AT5G48375.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G26000.1"	62.909	275	89	5	1	270	275	541	2.42e-115	341	99	271	541
"g1009"	"AT1G34490.1, AT1G34520.1, AT5G55320.1, AT1G34500.1, AT5G55330.1"	"AT5G55320.1"	NA	"N0.HOG0001197"	"AT1G34490.1, AT1G34520.1, AT5G55320.1, AT1G34500.1, AT5G55330.1"	"OG0000146"	"AT1G34490.1, AT1G34500.1, AT1G34520.1, AT5G51420.1, AT5G55320.1, AT5G55330.1, AT5G55340.1, AT5G55350.1, AT5G55360.1, AT5G55370.1, AT5G55380.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G55350.1"	78	50	11	0	13	62	279	328	5.41e-20	82.4	46	108	345
