"Odontarrhena_muralis"	"Arabidopsis_thaliana"	"single_Arabidopsis_thaliana"	"OL_Arabidopsis_thaliana"	"N0_HOG"	"N0_Arabidopsis_thaliana"	"OG_Orthogroup"	"OG_Arabidopsis_thaliana"	"RBH_B_id"	"RBH_A_length"	"RBH_B_length"	"RBH_A_qcovhsp"	"RBH_B_qcovhsp"	"RBH_length"	"RBH_pident"	"RBH_bitscore"	"BLAST_saccver"	"BLAST_pident"	"BLAST_length"	"BLAST_mismatch"	"BLAST_gapopen"	"BLAST_qstart"	"BLAST_qend"	"BLAST_sstart"	"BLAST_send"	"BLAST_evalue"	"BLAST_bitscore"	"BLAST_qcovhsp"	"BLAST_qlen"	"BLAST_slen"
"Om001G000180"	"AT4G17380.1"	"AT4G17380.1"	"AT4G17380.1"	"N0.HOG0021558"	"AT4G17380.1"	"OG0014995"	"AT4G17380.1"	"AT4G17380.1"	793	792	99	100	792	94.571	1576	"AT4G17380.1"	94.571	792	43	0	1	792	1	792	0	1576	99	793	792
"Om001G000190"	"AT4G16720.1"	"AT4G16720.1"	"AT4G16720.1"	"N0.HOG0003452"	"AT4G16720.1"	"OG0000798"	"AT4G16720.1, AT4G17390.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G16720.1"	97.549	204	5	0	1	204	1	204	1.07e-146	405	99	205	204
"Om001G000200"	"AT4G17410.2"	"AT4G17410.2"	"AT4G17410.2"	"N0.HOG0021559"	"AT4G17410.2"	"OG0014996"	"AT4G17410.2"	"AT4G17410.2"	780	827	99	100	846	71.143	1089	"AT4G17410.2"	71.143	849	153	17	1	779	1	827	0	1089	99	780	827
"Om001G000210"	"AT4G17420.1"	"AT4G17420.1"	"AT4G17420.1"	"N0.HOG0006990"	"AT4G17420.1, AT5G47420.1"	"OG0002523"	"AT4G17420.1, AT5G47420.1"	"AT4G17420.1"	286	285	99	100	285	91.93	541	"AT4G17420.1"	91.93	285	23	0	1	285	1	285	0	541	99	286	285
"Om001G000220"	"AT4G17430.1"	"AT4G17430.1"	"AT4G17430.1"	NA	NA	"OG0007631"	"AT4G17430.1"	"AT4G17430.1"	508	507	99	99	512	78.125	777	"AT4G17430.1"	78.125	512	101	6	1	507	1	506	0	777	99	508	507
"Om001G000230"	"AT5G47390.1"	"AT5G47390.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G47390.1"	54.753	263	63	11	1	209	105	365	7.12e-74	227	99	210	365
"Om001G000240"	"AT5G47390.1"	"AT5G47390.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G47390.1"	69.608	102	10	3	1	82	1	101	6.88e-41	137	85	96	365
"Om001G000250"	"AT4G17440.3"	"AT4G17440.3"	"AT4G17440.3"	"N0.HOG0011482"	"AT4G17440.3"	"OG0005667"	"AT4G17440.3"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G17440.3"	60.731	219	50	6	19	205	1	215	2.41e-75	226	90	207	234
"Om001G000260"	"AT2G36410.1"	"AT2G36410.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G36410.1"	69.149	94	21	2	2	87	4	97	2.31e-32	110	98	88	195
"Om001G000270"	"AT4G17460.1"	"AT4G17460.1"	"AT4G17460.1"	"N0.HOG0016891"	"AT4G17460.1"	"OG0010615"	"AT4G17460.1"	"AT4G17460.1"	275	282	99	97	278	89.568	487	"AT4G17460.1"	89.568	278	19	6	1	272	1	274	1.25e-176	487	99	275	282
"Om001G000280"	"AT4G17480.1"	"AT4G17480.1"	"AT4G17480.1"	"N0.HOG0005667"	"AT4G17480.1, AT4G17470.1"	"OG0001838"	"AT4G17470.1, AT4G17480.1"	"AT4G17480.1"	307	304	97	98	298	79.195	496	"AT4G17480.1"	79.195	298	61	1	3	300	2	298	5.34e-179	496	97	307	304
"Om001G000290"	"AT4G17480.1"	"AT4G17480.1"	"AT4G17480.1"	"N0.HOG0005667"	"AT4G17480.1, AT4G17470.1"	"OG0001838"	"AT4G17470.1, AT4G17480.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G17480.1"	79.933	299	58	2	1	299	1	297	0	509	96	310	304
"Om001G000300"	"AT4G17483.1"	"AT4G17483.1"	"AT4G17483.1"	"N0.HOG0015795"	"AT4G17483.1"	"OG0009595"	"AT4G17483.1"	"AT4G17483.1"	305	300	97	90	271	73.49	454	"AT4G17483.1"	73.49	298	77	1	1	296	1	298	1.5e-169	471	97	305	300
"Om001G000310"	"AT4G17486.1"	"AT4G17486.1"	"AT4G17486.1"	"N0.HOG0005737"	"AT4G17486.1"	"OG0001878"	"AT4G17486.1, AT5G47310.1"	"AT4G17486.1"	215	224	97	100	208	87.054	374	"AT4G17486.1"	91.346	208	18	0	7	214	17	224	7.98e-146	404	97	215	224
"Om001G000320"	"AT4G17490.1"	"AT4G17490.1"	"AT4G17490.1"	"N0.HOG0004574"	"AT4G17490.1"	"OG0001289"	"AT4G17490.1, AT5G47230.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G17490.1"	56.856	299	55	12	1	242	1	282	2.34e-89	265	99	243	282
"Om001G000330"	"AT4G17500.1"	"AT4G17500.1"	"AT4G17500.1"	"N0.HOG0016082"	"AT4G17500.1"	"OG0009846"	"AT4G17500.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G17500.1"	66.667	252	47	6	3	219	7	256	5.63e-103	298	96	225	268
"Om001G000360"	"AT4G17505.1"	"AT4G17505.1"	"AT4G17505.1"	"N0.HOG0027619"	"AT4G17505.1"	"OG0020717"	"AT4G17505.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G17505.1"	65.644	326	104	5	1	323	1	321	8.31e-149	421	99	325	322
"Om001G000370"	"AT4G17510.1"	"AT4G17510.1"	"AT4G17510.1"	"N0.HOG0008989"	"AT4G17510.1"	"OG0003711"	"AT4G17510.1"	"AT4G17510.1"	235	234	99	99	233	89.27	441	"AT4G17510.1"	89.27	233	25	0	1	233	1	233	6.66e-160	441	99	235	234
"Om001G000380"	"AT4G17520.1"	"AT4G17520.1"	"AT4G17520.1"	"N0.HOG0003540"	"AT4G17520.1"	"OG0000823"	"AT4G17520.1, AT5G47210.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G17520.1"	73.973	365	73	7	1	348	1	360	6.8e-169	474	99	349	360
"Om001G000390"	"AT5G47200.1"	"AT5G47200.1"	"AT5G47200.1"	"N0.HOG0003650"	"AT5G47200.1"	"OG0000869"	"AT4G17530.1, AT5G47200.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G47200.1"	99.01	202	2	0	1	202	1	202	4.26e-151	416	99	203	202
"Om001G000400"	"AT4G17540.1"	"AT4G17540.1"	"AT4G17540.1"	"N0.HOG0019678"	"AT4G17540.1"	"OG0013183"	"AT4G17540.1"	"AT4G17540.1"	291	294	97	96	284	82.746	430	"AT4G17540.1"	82.746	284	45	3	1	282	1	282	1.2e-153	430	97	291	294
"Om001G000410"	"AT4G17550.1"	"AT4G17550.1"	"AT4G17550.1"	"N0.HOG0010539"	"AT4G17550.1"	"OG0004873"	"AT4G17550.1"	"AT4G17550.1"	535	544	99	100	547	85.923	895	"AT4G17550.1"	85.923	547	61	7	1	534	1	544	0	904	99	535	544
"Om001G000420"	"AT4G17560.1"	"AT4G17560.1"	NA	"N0.HOG0007481"	"AT4G17560.1, AT5G47190.1"	"OG0002784"	"AT4G17560.1, AT5G47190.1"	"AT4G17560.1"	228	225	99	100	231	80.952	338	"AT4G17560.1"	80.952	231	34	5	1	227	1	225	1.12e-119	339	99	228	225
"Om001G000430"	"AT4G17565.1"	"AT4G17565.1"	"AT4G17565.1"	"N0.HOG0004067"	"AT4G17565.1"	"OG0001047"	"AT2G05970.1, AT4G17565.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G17565.1"	47.668	386	164	9	8	364	2	378	5.52e-111	328	98	365	378
"Om001G000440"	"AT4G17570.2"	"AT4G17570.2"	"AT4G17570.2"	"N0.HOG0012012"	"AT4G17570.2"	"OG0006119"	"AT4G17570.2"	"AT4G17570.2"	515	526	97	95	505	85.149	805	"AT4G17570.2"	85.149	505	65	3	15	514	27	526	0	805	97	515	526
"Om001G000450"	"AT4G17750.1"	"AT4G17750.1"	"AT4G17750.1"	"N0.HOG0017146"	"AT4G17750.1"	"OG0010842"	"AT4G17750.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G17750.1"	67.422	353	86	5	1	325	16	367	9.34e-164	471	71	456	495
"Om001G000490"	"AT4G17740.1"	"AT4G17740.1"	"AT4G17740.1"	"N0.HOG0019681"	"AT4G17740.1"	"OG0013186"	"AT4G17740.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G17740.1"	92.075	429	33	1	1	428	87	515	0	809	99	429	515
"Om001G000500"	"AT4G17750.1"	"AT4G17750.1"	"AT4G17750.1"	"N0.HOG0017146"	"AT4G17750.1"	"OG0010842"	"AT4G17750.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G17750.1"	67.077	325	83	4	1	302	16	339	1.41e-150	434	81	374	495
"Om001G000540"	"AT2G31290.1"	"AT2G31290.1"	"AT2G31290.1"	"N0.HOG0018833"	"AT2G31290.1"	"OG0012385"	"AT2G31290.1"	"AT2G31290.1"	419	415	97	97	405	87.16	730	"AT2G31290.1"	87.16	405	50	2	14	418	13	415	0	730	97	419	415
"Om001G000550"	"AT1G28060.1"	"AT1G28060.1"	"AT1G28060.1"	"N0.HOG0008306"	"AT1G28060.1"	"OG0003271"	"AT1G28060.1, AT3G55930.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G28060.1"	76.286	797	147	12	1	766	1	786	0	1092	99	767	786
"Om001G000560"	"AT4G17610.1"	"AT4G17610.1"	"AT4G17610.1"	"N0.HOG0018209"	"AT4G17610.1"	"OG0011804"	"AT4G17610.1"	"AT4G17610.1"	1809	1828	99	99	1816	86.597	3194	"AT4G17610.1"	86.597	1828	223	5	1	1806	1	1828	0	3194	99	1809	1828
"Om001G000570"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G11060.1"	30.811	185	107	7	48	211	5	189	6.58e-10	57.4	58	285	213
"Om001G000580"	"AT4G17615.3"	"AT4G17615.3"	"AT4G17615.3"	"N0.HOG0004970"	"AT4G17615.3"	"OG0001488"	"AT4G17615.3, AT5G47100.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G47100.1"	90.141	213	21	0	1	213	1	213	6.67e-143	397	99	214	213
"Om001G000590"	"AT4G17616.1"	"AT4G17616.1"	"AT4G17616.1"	"N0.HOG0019679"	"AT4G17616.1"	"OG0013184"	"AT4G17616.1"	"AT4G17616.1"	676	674	99	99	674	82.493	1142	"AT4G17616.1"	82.493	674	111	4	1	668	1	673	0	1142	99	676	674
"Om001G000600"	"AT4G17620.1"	"AT4G17620.1"	"AT4G17620.1"	"N0.HOG0012701"	"AT4G17620.1"	"OG0006710"	"AT4G17620.1"	"AT4G17620.1"	546	544	84	98	461	84.045	772	"AT4G17620.1"	86.117	461	61	3	82	540	79	538	0	772	84	546	544
"Om001G000610"	"AT4G17640.1"	"AT4G17640.1"	"AT4G17640.1"	"N0.HOG0003996"	"AT4G17640.1"	"OG0001019"	"AT4G17640.1, AT5G47080.1"	"AT4G17640.1"	282	282	98	99	280	90.714	532	"AT4G17640.1"	90.714	280	22	2	4	280	3	281	0	532	98	282	282
"Om001G000620"	"AT4G17650.1"	"AT4G17650.1"	"AT4G17650.1"	"N0.HOG0014864"	"AT4G17650.1"	"OG0008716"	"AT4G17650.1"	"AT4G17650.1"	252	256	99	100	262	80.916	379	"AT4G17650.1"	81.679	262	31	5	1	251	1	256	1.96e-139	391	99	252	256
"Om001G000630"	"AT4G17660.1"	"AT4G17660.1"	"AT4G17660.1"	"N0.HOG0024472"	"AT4G17660.1"	"OG0017823"	"AT4G17660.1"	"AT4G17660.1"	389	388	98	97	387	76.744	595	"AT4G17660.1"	76.744	387	73	5	1	380	1	377	0	595	98	389	388
"Om001G000640"	"AT4G17670.1"	"AT4G17670.1"	"AT4G17670.1"	"N0.HOG0012702"	"AT4G17670.1"	"OG0006711"	"AT4G17670.1"	"AT4G17670.1"	144	159	99	100	162	71.605	171	"AT4G17670.1"	72.222	162	23	7	1	143	1	159	1.76e-55	171	99	144	159
"Om001G000650"	"AT4G17690.1"	"AT4G17690.1"	"AT4G17690.1"	"N0.HOG0004688"	"AT4G17690.1"	"OG0001344"	"AT4G17690.1, AT5G47000.1"	"AT4G17690.1"	329	326	99	100	328	83.537	555	"AT4G17690.1"	83.537	328	52	2	1	328	1	326	0	555	99	329	326
"Om001G000660"	"AT4G17695.1"	"AT4G17695.1"	"AT4G17695.1"	"N0.HOG0014865"	"AT4G17695.1"	"OG0008717"	"AT4G17695.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G17695.1"	69.018	326	70	9	1	299	1	322	1.52e-140	399	99	300	322
"Om001G000670"	"AT4G17710.1"	"AT4G17710.1"	"AT4G17710.1"	"N0.HOG0021131"	"AT4G17710.1"	"OG0014581"	"AT4G17710.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G17710.1"	60.959	730	219	18	15	710	6	703	0	819	97	714	709
"Om001G000680"	"AT4G17720.1, AT5G46870.1"	"AT4G17720.1"	"AT4G17720.1, AT5G46870.1"	"N0.HOG0007728"	"AT4G17720.1, AT5G46870.1"	"OG0002922"	"AT4G17720.1, AT5G46870.1"	"AT4G17720.1"	314	313	96	96	302	91.722	550	"AT4G17720.1"	91.722	302	23	1	1	302	1	300	0	550	96	314	313
"Om001G000690"	"AT4G17730.2"	"AT4G17730.2"	"AT4G17730.2"	"N0.HOG0019680"	"AT4G17730.2"	"OG0013185"	"AT4G17730.2"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G46860.1"	80.224	268	41	3	1	268	1	256	1.02e-151	424	95	281	268
"Om001G000700"	"AT4G17740.1"	"AT4G17740.1"	"AT4G17740.1"	"N0.HOG0019681"	"AT4G17740.1"	"OG0013186"	"AT4G17740.1"	"AT4G17740.1"	513	515	99	100	515	90.485	908	"AT4G17740.1"	90.485	515	46	3	1	512	1	515	0	944	99	513	515
"Om001G000710"	"AT4G17750.1"	"AT4G17750.1"	"AT4G17750.1"	"N0.HOG0017146"	"AT4G17750.1"	"OG0010842"	"AT4G17750.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G17750.1"	61.297	478	125	7	1	419	16	492	0	550	99	425	495
"Om001G000720"	"AT4G17760.1"	"AT4G17760.1"	"AT4G17760.1"	"N0.HOG0021560"	"AT4G17760.1"	"OG0014997"	"AT4G17760.1"	"AT4G17760.1"	299	300	99	98	295	94.915	583	"AT4G17760.1"	94.915	295	14	1	2	296	4	297	0	583	99	299	300
"Om001G000780"	"AT4G17730.2"	"AT4G17730.2"	"AT4G17730.2"	"N0.HOG0019680"	"AT4G17730.2"	"OG0013185"	"AT4G17730.2"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G46860.1"	80.524	267	41	4	1	267	1	256	4.49e-150	420	95	280	268
"Om001G000800"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G18080.1"	32.919	161	78	7	156	300	32	178	2.27e-05	45.1	40	366	241
"Om001G000810"	"AT4G17770.1"	"AT4G17770.1"	"AT4G17770.1"	"N0.HOG0021561"	"AT4G17770.1"	"OG0014998"	"AT4G17770.1"	"AT4G17770.1"	859	862	99	100	862	96.288	1730	"AT4G17770.1"	96.288	862	28	1	1	858	1	862	0	1730	99	859	862
"Om001G000820"	"AT3G25550.1"	"AT3G25550.1"	NA	"N0.HOG0009550"	"AT3G25550.1"	"OG0004080"	"AT3G25550.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G02030.1"	34.713	314	152	13	9	283	28	327	1.89e-42	151	70	391	334
"Om001G000830"	"AT4G17770.1"	"AT4G17770.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G17770.1"	81.915	94	13	1	1	90	769	862	9.76e-45	152	99	91	862
"Om001G000870"	"AT5G22800.2"	"AT5G22800.2"	NA	"N0.HOG0015872"	"AT5G22800.2"	"OG0009662"	"AT5G22800.2"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G22800.2"	50.862	116	20	2	42	147	65	153	3.92e-25	99.8	69	153	1003
"Om001G000880"	"AT5G22800.2"	"AT5G22800.2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G22800.2"	64.615	130	32	2	6	121	176	305	2.21e-48	164	95	122	1003
"Om001G000890"	"AT4G17785.1"	"AT4G17785.1"	"AT4G17785.1"	"N0.HOG0014866"	"AT4G17785.1"	"OG0008718"	"AT4G17785.1"	"AT4G17785.1"	362	360	99	100	364	77.473	562	"AT4G17785.1"	77.473	364	75	3	1	361	1	360	0	563	99	362	360
"Om001G000910"	"AT4G17790.1"	"AT4G17790.1"	"AT4G17790.1"	"N0.HOG0016083"	"AT4G17790.1"	"OG0009847"	"AT4G17790.1"	"AT4G17790.1"	262	264	96	99	253	90.909	464	"AT4G17790.1"	91.7	253	18	2	10	260	12	263	7.2e-168	464	96	262	264
"Om001G000920"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G06667.1"	29.412	51	35	1	12	62	5	54	1.46e-05	41.2	25	204	62
"Om001G000930"	"AT4G17800.1"	"AT4G17800.1"	"AT4G17800.1"	"N0.HOG0014867"	"AT4G17800.1"	"OG0008719"	"AT4G17800.1"	"AT4G17800.1"	304	292	99	100	304	87.171	398	"AT4G17800.1"	87.171	304	26	4	1	303	1	292	1.55e-148	418	99	304	292
"Om001G000940"	"AT4G17810.1"	"AT4G17810.1"	"AT4G17810.1"	"N0.HOG0014868"	"AT4G17810.1"	"OG0008720"	"AT4G17810.1"	"AT4G17810.1"	195	204	98	97	200	76.5	295	"AT4G17810.1"	76.5	200	37	5	3	194	7	204	4.69e-103	295	98	195	204
"Om001G000950"	"AT4G17830.2"	"AT4G17830.2"	"AT4G17830.2"	"N0.HOG0018210"	"AT4G17830.2"	"OG0011805"	"AT4G17830.2"	"AT4G17830.2"	439	445	99	99	444	87.838	813	"AT4G17830.2"	87.838	444	47	2	1	437	1	444	0	813	99	439	445
"Om001G000960"	"AT4G17840.1"	"AT4G17840.1"	"AT4G17840.1"	"N0.HOG0013715"	"AT4G17840.1"	"OG0007632"	"AT4G17840.1"	"AT4G17840.1"	416	422	99	94	399	85.211	636	"AT4G17840.1"	85.211	426	48	6	1	415	1	422	0	636	99	416	422
"Om001G000970"	"AT4G17860.1"	"AT4G17860.1"	"AT4G17860.1"	"N0.HOG0007173"	"AT4G17860.1"	"OG0002610"	"AT4G17860.1, AT5G46200.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G17860.1"	67.127	362	113	4	1	362	1	356	0	505	99	363	356
"Om001G000980"	"AT4G17870.1"	"AT4G17870.1"	"AT4G17870.1"	"N0.HOG0004248"	"AT4G17870.1"	"OG0001136"	"AT4G17870.1, AT5G46790.1"	"AT4G17870.1"	200	191	99	93	178	86.802	343	"AT4G17870.1"	86.802	197	20	1	1	197	1	191	2.31e-127	356	99	200	191
"Om001G001010"	"AT4G17880.1"	"AT4G17880.1"	"AT4G17880.1"	"N0.HOG0005982"	"AT4G17880.1"	"OG0002001"	"AT4G17880.1, AT5G46760.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G17880.1"	70.549	601	109	16	1	546	1	588	0	759	99	548	589
"Om001G001020"	"AT4G17890.1"	"AT4G17890.1"	"AT4G17890.1"	"N0.HOG0004819"	"AT4G17890.1"	"OG0001410"	"AT4G17890.1, AT5G46750.1"	"AT4G17890.1"	417	413	99	100	418	86.364	721	"AT4G17890.1"	86.364	418	50	2	1	416	1	413	0	730	99	417	413
"Om001G001030"	"AT4G17895.1"	"AT4G17895.1"	"AT4G17895.1"	"N0.HOG0012013"	"AT4G17895.1"	"OG0006120"	"AT4G17895.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G46740.1"	47.283	552	244	17	6	540	52	573	2.29e-138	419	91	589	732
"Om001G001040"	"AT4G17900.1"	"AT4G17900.1"	"AT4G17900.1"	"N0.HOG0003998"	"AT4G17900.1"	"OG0001020"	"AT4G17900.1, AT5G46710.1"	"AT4G17900.1"	228	227	99	100	227	95.595	457	"AT4G17900.1"	95.595	227	10	0	1	227	1	227	2.14e-166	457	99	228	227
"Om001G001050"	"AT4G17905.2"	"AT4G17905.2"	"AT4G17905.2"	"N0.HOG0024473"	"AT4G17905.2"	"OG0017824"	"AT4G17905.2"	"AT4G17905.2"	302	336	99	92	311	77.814	485	"AT4G17905.2"	77.814	311	58	4	1	301	27	336	3.32e-178	494	99	302	336
"Om001G001060"	"AT1G10000.1, AT2G06845.1, AT3G26855.1, AT3G27495.1, AT3G29791.1, AT4G09490.1, ATMG01250.1"	"AT1G10000.1"	NA	NA	NA	"OG0000005"	"AT1G10000.1, AT2G06845.1, AT3G26855.1, AT3G27495.1, AT3G29791.1, AT4G09490.1, ATMG01250.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G10000.1"	38.87	301	176	6	106	400	3	301	9.06e-60	196	74	401	303
"Om001G001070"	"AT4G17910.4"	"AT4G17910.4"	"AT4G17910.4"	"N0.HOG0015843"	"AT4G17910.4"	"OG0009636"	"AT4G17910.4"	"AT4G17910.4"	469	466	99	100	469	88.486	816	"AT4G17910.4"	88.486	469	50	2	1	468	1	466	0	823	99	469	466
"Om001G001080"	"AT5G46680.1"	"AT5G46680.1"	NA	NA	NA	"OG0001879"	"AT5G46680.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G46680.1"	70.306	458	135	1	1	457	1	458	0	685	98	464	468
