"Arabidopsis_lyrata_Rawat"	"prot_length"	"Arabidopsis_thaliana"	"single_Arabidopsis_thaliana"	"homologue_type"	"OL_Arabidopsis_thaliana"	"N0_HOG"	"N0_Arabidopsis_thaliana"	"OG_Orthogroup"	"OG_Arabidopsis_thaliana"	"RBH_B_id"	"RBH_A_length"	"RBH_B_length"	"RBH_A_qcovhsp"	"RBH_B_qcovhsp"	"RBH_length"	"RBH_pident"	"RBH_bitscore"	"BLAST_saccver"	"BLAST_pident"	"BLAST_length"	"BLAST_mismatch"	"BLAST_gapopen"	"BLAST_qstart"	"BLAST_qend"	"BLAST_sstart"	"BLAST_send"	"BLAST_evalue"	"BLAST_bitscore"	"BLAST_qcovhsp"	"BLAST_qlen"	"BLAST_slen"
"AL1031U10020"	188	"AT5G66990.1"	"AT5G66990.1"	"orthologue"	"AT5G66990.1"	"N0.HOG0011119"	"AT5G66990.1"	"OG0005357"	"AT5G66990.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G66990.1"	"92.513"	"187"	"13"	"1"	"2"	"188"	"92"	"277"	"3.71e-118"	"335"	"99"	"189"	"277"
"AL1032U10010"	156	"AT1G80340.1"	"AT1G80340.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G80340.1"	"94.839"	"155"	"8"	"0"	"1"	"155"	"1"	"155"	"7.93e-104"	"300"	"99"	"156"	"347"
"AL1033U10020"	237	"AT1G78480.1"	"AT1G78480.1"	"other"	NA	"N0.HOG0016840"	"AT1G78480.1"	"OG0010573"	"AT1G78480.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G78970.1"	"93.277"	"238"	"15"	"1"	"1"	"237"	"1"	"238"	"3.37e-163"	"469"	"100"	"237"	"757"
"AL103U10010"	694	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G42170.1"	"25.71"	"669"	"400"	"20"	"39"	"658"	"54"	"674"	"4.57e-61"	"216"	"89"	"695"	"696"
"AL103U10020"	563	"AT2G32120.1"	"AT2G32120.1"	"orthologue"	"AT2G32120.1"	"N0.HOG0020177"	"AT2G32120.1"	"OG0013662"	"AT2G32120.1"	"AT2G32120.1"	564	563	99	100	563	96.803	1129	"AT2G32120.1"	"96.803"	"563"	"18"	"0"	"1"	"563"	"1"	"563"	"0"	"1129"	"99"	"564"	"563"
"AL103U10030"	274	"AT2G32100.1"	"AT2G32100.1"	"orthologue"	"AT2G32100.1"	"N0.HOG0017416"	"AT2G32100.1"	"OG0011084"	"AT2G32100.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G32100.1"	"92.414"	"145"	"10"	"1"	"131"	"274"	"100"	"244"	"6.82e-86"	"256"	"52"	"275"	"244"
"AL103U10040"	135	"AT2G32090.1"	"AT2G32090.1"	"orthologue"	"AT2G32090.1"	"N0.HOG0022056"	"AT2G32090.1"	"OG0015486"	"AT2G32090.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G32090.1"	"94.815"	"135"	"7"	"0"	"1"	"135"	"1"	"135"	"8.39e-94"	"266"	"99"	"136"	"135"
"AL103U10050"	286	"AT2G32080.1"	"AT2G32080.1"	"orthologue"	"AT2G32080.1"	"N0.HOG0018553"	"AT2G32080.1"	"OG0012126"	"AT2G32080.1"	"AT2G32080.1"	287	296	99	100	296	95.27	555	"AT2G32080.1"	"95.27"	"296"	"4"	"4"	"1"	"286"	"1"	"296"	"0"	"555"	"99"	"287"	"296"
"AL103U10060"	252	"AT2G32070.1"	"AT2G32070.1"	"orthologue"	"AT2G32070.1"	"N0.HOG0003355"	"AT2G32070.1"	"OG0000758"	"AT1G15920.1, AT1G80780.3, AT2G32070.1"	"AT2G32070.1"	253	275	99	92	252	98.81	520	"AT2G32070.1"	"98.81"	"252"	"3"	"0"	"1"	"252"	"24"	"275"	"0"	"520"	"99"	"253"	"275"
"AL1040U10010"	114	"AT1G80620.1"	"AT1G80620.1"	"other"	NA	"N0.HOG0011296"	"AT1G80620.1"	"OG0005506"	"AT1G80620.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G80620.1"	"99.123"	"114"	"1"	"0"	"1"	"114"	"301"	"414"	"5.54e-79"	"237"	"99"	"115"	"414"
"AL1041U10010"	69	"AT5G61590.1"	"AT5G61590.1"	"orthologue"	"AT5G61590.1"	"N0.HOG0015817"	"AT5G61590.1"	"OG0009613"	"AT5G61590.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G61590.1"	"91.429"	"70"	"4"	"1"	"1"	"68"	"1"	"70"	"2.53e-39"	"127"	"99"	"69"	"201"
"AL1046U10010"	143	"AT3G53690.1"	"AT3G53690.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G53690.1"	"86.139"	"101"	"14"	"0"	"1"	"101"	"195"	"295"	"2.9e-61"	"191"	"70"	"144"	"320"
"AL1048U10010"	655	"AT1G72270.1"	"AT1G72270.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G72270.1"	"74.067"	"509"	"115"	"4"	"1"	"503"	"764"	"1261"	"0"	"727"	"77"	"655"	"2401"
"AL1058U10010"	190	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G15290.1"	"95.263"	"190"	"9"	"0"	"1"	"190"	"1"	"190"	"5.81e-129"	"363"	"100"	"190"	"294"
"AL1061U10010"	338	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G13120.1"	"92.857"	"126"	"9"	"0"	"213"	"338"	"66"	"191"	"5.7e-76"	"231"	"37"	"339"	"191"
"AL1069U10010"	409	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G09570.1"	"99.174"	"121"	"1"	"0"	"289"	"409"	"319"	"439"	"3.4e-78"	"248"	"30"	"410"	"439"
"AL106U10010"	511	"AT1G71890.1"	"AT1G71890.1"	"orthologue"	"AT1G71890.1"	"N0.HOG0002658"	"AT5G43610.1, AT2G14670.1, AT1G66570.1, AT5G06170.1, AT1G71890.1, AT1G71880.1"	"OG0000506"	"AT1G66570.1, AT1G71880.1, AT1G71890.1, AT2G14670.1, AT5G06170.1, AT5G43610.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G71890.1"	"93.75"	"512"	"31"	"1"	"1"	"511"	"1"	"512"	"0"	"981"	"99"	"512"	"512"
"AL106U10020"	258	"AT1G71900.2"	"AT1G71900.2"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G71900.2"	"93.413"	"167"	"11"	"0"	"1"	"167"	"1"	"167"	"2.07e-107"	"314"	"64"	"259"	"347"
"AL106U10030"	115	"AT1G71910.1"	"AT1G71910.1"	"orthologue"	"AT1G71910.1"	"N0.HOG0010000"	"AT1G71910.1"	"OG0004426"	"AT1G71910.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G71910.1"	"93.043"	"115"	"8"	"0"	"1"	"115"	"1"	"115"	"2.09e-75"	"220"	"100"	"115"	"173"
"AL1072U10010"	357	"AT5G54190.1"	"AT5G54190.1"	"orthologue"	"AT5G54190.1"	"N0.HOG0006705"	"AT5G54190.1"	"OG0002377"	"AT4G27440.1, AT5G54190.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G54190.1"	"98.017"	"353"	"6"	"1"	"1"	"352"	"20"	"372"	"0"	"718"	"98"	"358"	"405"
"AL1084U10010"	142	"AT4G02740.2"	"AT4G02740.2"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G02740.2"	"60.684"	"117"	"45"	"1"	"2"	"117"	"339"	"455"	"5.69e-38"	"134"	"81"	"143"	"516"
"AL1089U10010"	113	"AT4G01100.2"	"AT4G01100.2"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G01100.2"	"89.888"	"89"	"9"	"0"	"25"	"113"	"278"	"366"	"1.29e-51"	"166"	"78"	"114"	"366"
"AL108U10010"	243	"AT2G40200.1"	"AT2G40200.1"	"orthologue"	"AT2G40200.1"	"N0.HOG0013010"	"AT2G40200.1"	"OG0006989"	"AT2G40200.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G40200.1"	"92.593"	"243"	"17"	"1"	"1"	"242"	"1"	"243"	"1.63e-156"	"434"	"99"	"243"	"254"
"AL108U10020"	728	"AT2G40190.1"	"AT2G40190.1"	"orthologue"	"AT2G40190.1"	"N0.HOG0018640"	"AT2G40190.1"	"OG0012206"	"AT2G40190.1"	"AT2G40190.1"	729	463	64	100	463	96.544	941	"AT2G40190.1"	"96.544"	"463"	"16"	"0"	"266"	"728"	"1"	"463"	"0"	"941"	"64"	"729"	"463"
"AL108U10030"	315	"AT1G02770.1, AT1G19060.1, AT1G23950.2, AT1G23960.1, AT1G23970.2, AT1G27860.1, AT1G28500.1, AT3G19520.3"	"AT1G23950.2"	"other"	NA	NA	NA	"OG0000226"	"AT1G02770.1, AT1G19060.1, AT1G23950.2, AT1G23960.1, AT1G23970.2, AT1G27860.1, AT1G28500.1, AT3G19520.3"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G23950.2"	"41.449"	"345"	"138"	"7"	"1"	"281"	"1"	"345"	"1.85e-72"	"228"	"89"	"316"	"373"
"AL109U10010"	87	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G23570.1"	"64.103"	"39"	"11"	"2"	"30"	"68"	"45"	"80"	"7.72e-08"	"47.4"	"44"	"88"	"239"
"AL109U10020"	130	"AT2G29000.1"	"AT2G29000.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G29000.1"	"48.819"	"127"	"62"	"1"	"3"	"129"	"239"	"362"	"1.95e-33"	"122"	"97"	"131"	"872"
"AL109U10030"	1526	"AT4G23160.2"	"AT4G23160.2"	"other"	NA	"N0.HOG0000777"	"AT4G23160.2"	"OG0000085"	"AT4G23160.2"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G23160.2"	"61.236"	"534"	"205"	"2"	"723"	"1256"	"25"	"556"	"0"	"699"	"35"	"1527"	"1043"
"AL1105U10010"	198	"AT5G66970.1"	"AT5G66970.1"	"other"	NA	NA	NA	"OG0006683"	"AT5G66970.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G48900.1"	"40.097"	"207"	"83"	"5"	"1"	"166"	"221"	"427"	"1.76e-34"	"127"	"83"	"199"	"495"
"AL110U10010"	1871	"AT2G22440.1"	"AT2G22440.1"	"other"	NA	"N0.HOG0000027"	"AT2G22440.1"	"OG0000004"	"AT2G22440.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G29090.1"	"34.622"	"569"	"325"	"9"	"1311"	"1851"	"2"	"551"	"4.4e-101"	"337"	"29"	"1872"	"575"
"AL110U10020"	184	"AT2G36026.1"	"AT2G36026.1"	"orthologue"	"AT2G36026.1"	"N0.HOG0013024"	"AT2G36026.1"	"OG0007003"	"AT2G36026.1"	"AT2G36026.1"	185	183	99	100	184	97.283	367	"AT2G36026.1"	"97.283"	"184"	"4"	"1"	"1"	"184"	"1"	"183"	"2.73e-132"	"367"	"99"	"185"	"183"
"AL112U10010"	268	"AT5G65600.1, AT5G10530.1"	"AT5G65600.1"	"other"	NA	"N0.HOG0003994"	"AT5G65600.1, AT5G10530.1"	"OG0001017"	"AT5G10530.1, AT5G65600.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G65600.1"	"93.676"	"253"	"15"	"1"	"17"	"268"	"32"	"284"	"7.3e-160"	"459"	"94"	"268"	"675"
"AL112U10040"	524	"AT5G65620.2"	"AT5G65620.2"	"orthologue"	"AT5G65620.2"	"N0.HOG0005721"	"AT5G65620.2"	"OG0001869"	"AT5G10540.1, AT5G65620.2"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G65620.2"	"96.641"	"387"	"8"	"1"	"1"	"387"	"92"	"473"	"0"	"751"	"74"	"525"	"805"
"AL112U10050"	547	"AT5G65630.1"	"AT5G65630.1"	"orthologue"	"AT5G65630.1"	"N0.HOG0007244"	"AT5G65630.1"	"OG0002654"	"AT5G10550.1, AT5G65630.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G65630.1"	"84.38"	"589"	"50"	"4"	"1"	"547"	"1"	"589"	"0"	"789"	"99"	"548"	"590"
"AL113U10010"	808	"AT4G27290.2, AT1G65800.1, AT1G65790.1, AT4G21380.1"	"AT4G21380.1"	"other"	NA	"N0.HOG0001247"	"AT4G27290.2, AT1G65800.1, AT1G65790.1, AT4G21380.1"	"OG0000155"	"AT1G65790.1, AT1G65800.1, AT3G12000.1, AT4G21380.1, AT4G27290.2"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G21380.1"	"46.786"	"840"	"395"	"16"	"1"	"808"	"31"	"850"	"0"	"699"	"99"	"809"	"850"
"AL113U10020"	531	"AT3G50930.1"	"AT3G50930.1"	"orthologue"	"AT3G50930.1"	"N0.HOG0007363"	"AT3G50930.1"	"OG0002720"	"AT3G50930.1"	"AT3G50930.1"	532	576	98	90	519	94.605	999	"AT3G50930.1"	"94.605"	"519"	"25"	"1"	"12"	"530"	"54"	"569"	"0"	"1000"	"98"	"532"	"576"
"AL113U10030"	603	"AT4G27290.2, AT1G65800.1, AT1G65790.1, AT4G21380.1"	"AT4G21380.1"	"other"	NA	"N0.HOG0001247"	"AT4G27290.2, AT1G65800.1, AT1G65790.1, AT4G21380.1"	"OG0000155"	"AT1G65790.1, AT1G65800.1, AT3G12000.1, AT4G21380.1, AT4G27290.2"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G21380.1"	"45.14"	"607"	"285"	"14"	"24"	"602"	"26"	"612"	"5.78e-162"	"484"	"96"	"604"	"850"
"AL117U10010"	133	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G43350.1"	"96.241"	"133"	"5"	"0"	"1"	"133"	"1"	"133"	"1.51e-88"	"266"	"100"	"133"	"524"
"AL117U10020"	387	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G21520.1"	"78.571"	"126"	"24"	"2"	"1"	"123"	"1"	"126"	"5.25e-60"	"199"	"32"	"388"	"425"
"AL117U10040"	473	"AT5G43360.1"	"AT5G43360.1"	"orthologue"	"AT5G43360.1"	"N0.HOG0001869"	"AT5G43360.1"	"OG0000283"	"AT5G43350.1, AT5G43360.1, AT5G43370.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G43360.1"	"86.948"	"521"	"20"	"2"	"1"	"473"	"1"	"521"	"0"	"902"	"99"	"474"	"521"
"AL120U10010"	907	"AT2G32990.1"	"AT2G32990.1"	"orthologue"	"AT2G32990.1"	"N0.HOG0017411"	"AT2G32990.1"	"OG0011079"	"AT2G32990.1"	"AT2G32990.1"	908	525	58	100	527	95.636	1058	"AT2G32990.1"	"95.636"	"527"	"21"	"1"	"1"	"527"	"1"	"525"	"0"	"1058"	"58"	"908"	"525"
"AL120U10020"	294	"AT2G32980.1"	"AT2G32980.1"	"orthologue"	"AT2G32980.1"	"N0.HOG0009032"	"AT2G32980.1"	"OG0003737"	"AT2G32980.1"	"AT2G32980.1"	295	296	99	100	298	92.282	527	"AT2G32980.1"	"92.282"	"298"	"17"	"2"	"1"	"294"	"1"	"296"	"0"	"527"	"99"	"295"	"296"
"AL122U10010"	296	"AT1G78490.1"	"AT1G78490.1"	"other"	NA	"N0.HOG0001930"	"AT1G78490.1"	"OG0000299"	"AT1G55940.2, AT1G78490.1, AT3G44970.1, AT5G48000.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G78490.1"	"58.841"	"328"	"101"	"2"	"1"	"294"	"149"	"476"	"2.99e-136"	"393"	"99"	"297"	"479"
"AL122U10020"	2410	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G78490.1"	"84.236"	"406"	"62"	"1"	"1"	"404"	"68"	"473"	"0"	"705"	"17"	"2411"	"479"
"AL123U10010"	315	"AT3G25180.1"	"AT3G25180.1"	"orthologue"	"AT3G25180.1"	"N0.HOG0015639"	"AT3G25180.1"	"OG0009458"	"AT3G25180.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G25180.1"	"92.282"	"298"	"23"	"0"	"18"	"315"	"218"	"515"	"0"	"576"	"94"	"316"	"515"
"AL123U10020"	474	"AT4G05360.1"	"AT4G05360.1"	"other"	NA	"N0.HOG0006611"	"AT4G05360.1"	"OG0002332"	"AT4G05360.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G05360.1"	"58.056"	"360"	"93"	"6"	"134"	"458"	"369"	"705"	"2.3e-110"	"342"	"68"	"475"	"735"
"AL123U10030"	219	"AT3G25180.1"	"AT3G25180.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G25180.1"	"85.294"	"204"	"28"	"2"	"9"	"212"	"301"	"502"	"4.7e-121"	"353"	"93"	"220"	"515"
"AL123U10040"	129	"AT1G71110.1"	"AT1G71110.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G71110.1"	"74.419"	"86"	"9"	"2"	"5"	"77"	"47"	"132"	"2.12e-40"	"140"	"56"	"130"	"557"
"AL125U10010"	123	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G32370.1"	"71.774"	"124"	"34"	"1"	"1"	"123"	"1"	"124"	"2.92e-46"	"158"	"100"	"123"	"725"
"AL125U10020"	182	"AT2G32360.1"	"AT2G32360.1"	"orthologue"	"AT2G32360.1"	"N0.HOG0013984"	"AT2G32360.1"	"OG0007884"	"AT2G32360.1"	"AT2G32360.1"	183	175	99	99	181	80.663	245	"AT2G32360.1"	"82.873"	"181"	"24"	"2"	"1"	"181"	"1"	"174"	"5.91e-84"	"245"	"99"	"183"	"175"
"AL125U10030"	598	"AT2G32350.1"	"AT2G32350.1"	"orthologue"	"AT2G32350.1"	"N0.HOG0018551"	"AT2G32350.1"	"OG0012124"	"AT2G32350.1"	"AT2G32340.1"	599	356	60	99	368	79.62	578	"AT2G32340.1"	"79.62"	"368"	"53"	"2"	"1"	"359"	"1"	"355"	"0"	"578"	"60"	"599"	"356"
"AL125U10040"	714	"AT2G32320.2"	"AT2G32320.2"	"orthologue"	"AT2G32320.2"	"N0.HOG0009245"	"AT2G32320.2"	"OG0003876"	"AT2G31580.1, AT2G32320.2"	"AT2G32320.2"	715	537	73	100	537	93.855	1053	"AT2G32320.2"	"93.855"	"537"	"21"	"1"	"190"	"714"	"1"	"537"	"0"	"1053"	"73"	"715"	"537"
"AL126U10010"	722	"AT3G20520.1"	"AT3G20520.1"	"orthologue"	"AT3G20520.1"	"N0.HOG0020862"	"AT3G20520.1"	"OG0014318"	"AT3G20520.1"	"AT3G20520.1"	722	729	99	99	719	91.655	1352	"AT3G20520.1"	"91.655"	"719"	"60"	"0"	"1"	"719"	"1"	"719"	"0"	"1352"	"99"	"722"	"729"
"AL126U10020"	542	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G20510.1"	"98.077"	"52"	"1"	"0"	"491"	"542"	"68"	"119"	"1.93e-28"	"109"	"10"	"543"	"119"
"AL126U10040"	360	"AT3G20555.1"	"AT3G20555.1"	"orthologue"	"AT3G20555.1"	"N0.HOG0007185"	"AT3G44770.1, AT3G20555.1"	"OG0002616"	"AT3G20555.1, AT3G44770.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G44770.1"	"46.637"	"223"	"92"	"10"	"107"	"315"	"149"	"358"	"5.73e-46"	"163"	"58"	"361"	"505"
"AL126U10050"	276	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G06500.1"	"65.217"	"69"	"11"	"2"	"135"	"191"	"313"	"380"	"7.49e-18"	"82.8"	"21"	"277"	"664"
"AL126U10060"	363	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G17520.1"	"31.579"	"304"	"179"	"8"	"49"	"346"	"545"	"825"	"7.41e-42"	"155"	"82"	"364"	"841"
"AL128U10010"	695	"AT2G09388.1"	"AT2G09388.1"	"other"	NA	"N0.HOG0000224"	"AT2G09388.1"	"OG0000024"	"AT2G09388.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G39775.1"	"29.381"	"194"	"72"	"2"	"202"	"352"	"1"	"172"	"4.82e-19"	"85.1"	"22"	"696"	"178"
"AL128U10020"	115	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G13105.1"	"38.71"	"62"	"38"	"0"	"19"	"80"	"1"	"62"	"2.04e-08"	"48.9"	"53"	"116"	"136"
"AL128U10030"	161	"AT2G27350.3"	"AT2G27350.3"	"orthologue"	"AT2G27350.3"	"N0.HOG0016371"	"AT2G27350.3"	"OG0010127"	"AT2G27350.3"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G27350.3"	"85.542"	"166"	"19"	"1"	"1"	"161"	"1"	"166"	"7.32e-69"	"216"	"100"	"161"	"506"
"AL130U10010"	54	"AT5G51590.1"	"AT5G51590.1"	"other"	NA	"N0.HOG0009847"	"AT5G51590.1"	"OG0004302"	"AT5G51590.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G51590.1"	"88.889"	"54"	"6"	"0"	"1"	"54"	"366"	"419"	"1.32e-13"	"62.4"	"98"	"55"	"419"
"AL130U10020"	261	"AT5G51585.1"	"AT5G51585.1"	"orthologue"	"AT5G51585.1"	"N0.HOG0024061"	"AT5G51585.1"	"OG0017446"	"AT5G51585.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G51585.1"	"68.273"	"249"	"57"	"4"	"1"	"244"	"1"	"232"	"1.82e-94"	"277"	"93"	"262"	"236"
"AL132U10010"	260	"AT4G08730.1"	"AT4G08730.1"	"other"	NA	"N0.HOG0001844"	"AT4G08730.1"	"OG0000278"	"AT1G73490.2, AT4G08730.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G73490.2"	"37.603"	"242"	"120"	"6"	"6"	"245"	"3"	"215"	"5.99e-39"	"136"	"92"	"261"	"260"
"AL132U10020"	271	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G13825.1"	"27.778"	"108"	"69"	"3"	"161"	"268"	"23"	"121"	"1.84e-06"	"45.8"	"40"	"272"	"121"
"AL132U10030"	245	"AT3G46490.1"	"AT3G46490.1"	"orthologue"	"AT3G46490.1"	"N0.HOG0002645"	"AT3G46490.1"	"OG0000501"	"AT1G35190.1, AT3G46480.1, AT3G46490.1, AT3G46500.5"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G46490.1"	"94.286"	"245"	"13"	"1"	"1"	"245"	"1"	"244"	"1.96e-173"	"480"	"100"	"245"	"330"
"AL133U10010"	80	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"AL133U10020"	60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"AL133U10030"	199	"AT3G28223.1, AT3G28280.1, AT3G28330.1, AT3G48220.1"	"AT3G48220.1"	"other"	NA	NA	NA	"OG0000400"	"AT3G28223.1, AT3G28280.1, AT3G28330.1, AT3G48220.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G48220.1"	"54.375"	"160"	"65"	"5"	"41"	"199"	"26"	"178"	"2.84e-46"	"151"	"80"	"200"	"214"
