"Arabidopsis_lyrata_NCBI"	"prot_length"	"Arabidopsis_thaliana"	"single_Arabidopsis_thaliana"	"homologue_type"	"OL_Arabidopsis_thaliana"	"N0_HOG"	"N0_Arabidopsis_thaliana"	"OG_Orthogroup"	"OG_Arabidopsis_thaliana"	"RBH_B_id"	"RBH_A_length"	"RBH_B_length"	"RBH_A_qcovhsp"	"RBH_B_qcovhsp"	"RBH_length"	"RBH_pident"	"RBH_bitscore"	"BLAST_saccver"	"BLAST_pident"	"BLAST_length"	"BLAST_mismatch"	"BLAST_gapopen"	"BLAST_qstart"	"BLAST_qend"	"BLAST_sstart"	"BLAST_send"	"BLAST_evalue"	"BLAST_bitscore"	"BLAST_qcovhsp"	"BLAST_qlen"	"BLAST_slen"
"XP_002862235.1"	168	"AT3G22530.1"	"AT3G22530.1"	"orthologue"	"AT3G22530.1"	"N0.HOG0006898"	"AT3G22530.1"	"OG0002474"	"AT3G22530.1, AT4G14830.1"	"AT3G22530.1"	168	198	100	84	168	96.429	327	"AT3G22530.1"	"96.429"	"168"	"5"	"1"	"1"	"168"	"32"	"198"	"1.49e-116"	"327"	"100"	"168"	"198"
"XP_002862238.2"	190	"AT1G50325.1, AT1G50340.1"	"AT1G50325.1"	"orthologue"	"AT1G50325.1, AT1G50340.1"	"N0.HOG0004766"	"AT3G27999.1, AT1G11593.1, AT4G03945.1, AT1G50325.1, AT1G50340.1, AT1G11362.1, AT1G48010.1"	"OG0001381"	"AT1G11362.1, AT1G11593.1, AT1G48010.1, AT1G50325.1, AT1G50340.1, AT3G27999.1, AT4G03945.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G50325.1"	"75.789"	"190"	"45"	"1"	"1"	"190"	"1"	"189"	"8.57e-89"	"258"	"100"	"190"	"197"
"XP_002862239.2"	114	"AT1G50320.1"	"AT1G50320.1"	"orthologue"	"AT1G50320.1"	"N0.HOG0016778"	"AT1G50320.1"	"OG0010511"	"AT1G50320.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G50320.1"	"89.474"	"114"	"12"	"0"	"1"	"114"	"1"	"114"	"2.11e-67"	"200"	"100"	"114"	"182"
"XP_002862240.2"	123	"AT5G55570.1"	"AT5G55570.1"	"orthologue"	"AT5G55570.1"	"N0.HOG0018169"	"AT5G55570.1"	"OG0011765"	"AT5G55570.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G55570.1"	"88.71"	"124"	"12"	"1"	"2"	"123"	"20"	"143"	"1.78e-69"	"204"	"99"	"123"	"143"
"XP_002862243.2"	255	"AT1G07190.1"	"AT1G07190.1"	"other"	NA	NA	NA	"OG0002488"	"AT1G07190.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G05790.1"	"93.852"	"244"	"12"	"1"	"15"	"255"	"699"	"942"	"9.96e-160"	"466"	"95"	"255"	"942"
"XP_002862245.1"	124	"AT5G63250.1"	"AT5G63250.1"	"orthologue"	"AT5G63250.1"	"N0.HOG0011392"	"AT5G63240.1, AT5G63250.1"	"OG0005584"	"AT5G63240.1, AT5G63250.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G63250.1"	"91.129"	"124"	"11"	"0"	"1"	"124"	"8"	"131"	"6.91e-75"	"218"	"100"	"124"	"132"
"XP_002862246.1"	129	"AT5G63240.1"	"AT5G63240.1"	"orthologue"	"AT5G63240.1"	"N0.HOG0011392"	"AT5G63240.1, AT5G63250.1"	"OG0005584"	"AT5G63240.1, AT5G63250.1"	"AT5G63240.1"	129	129	100	100	129	88.372	243	"AT5G63240.1"	"88.372"	"129"	"15"	"0"	"1"	"129"	"1"	"129"	"1.12e-84"	"243"	"100"	"129"	"129"
"XP_002862247.1"	111	"AT5G63230.1"	"AT5G63230.1"	"orthologue"	"AT5G63230.1"	"N0.HOG0001575"	"AT5G63230.1, AT5G63225.1, AT5G53600.1, AT5G53610.1"	"OG0000219"	"AT1G66852.1, AT1G66855.1, AT1G66870.2, AT2G29735.1, AT4G09090.1, AT4G09462.1, AT4G09464.1, AT4G09465.1, AT4G09466.1, AT4G09467.1, AT4G16165.1, AT5G53600.1, AT5G53610.1, AT5G63225.1, AT5G63230.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G63230.1"	"82.883"	"111"	"19"	"0"	"1"	"111"	"1"	"111"	"2.22e-62"	"185"	"100"	"111"	"111"
"XP_002862253.2"	236	"AT2G45740.1"	"AT2G45740.1"	"orthologue"	"AT2G45740.1"	"N0.HOG0010607"	"AT2G45740.1"	"OG0004928"	"AT2G45740.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G45740.1"	"97.458"	"236"	"6"	"0"	"1"	"236"	"1"	"236"	"1.49e-170"	"468"	"100"	"236"	"236"
"XP_002862254.2"	126	"AT2G45730.1"	"AT2G45730.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G45730.1"	"91.057"	"123"	"11"	"0"	"1"	"123"	"1"	"123"	"1.09e-76"	"233"	"98"	"126"	"446"
"XP_002862257.1"	226	"AT5G60190.1"	"AT5G60190.1"	"orthologue"	"AT5G60190.1"	"N0.HOG0013923"	"AT5G60190.1"	"OG0007829"	"AT5G60190.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G60190.1"	"91.593"	"226"	"19"	"0"	"1"	"226"	"1"	"226"	"1.6e-156"	"432"	"100"	"226"	"226"
"XP_002862261.2"	226	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G34260.1"	"91.15"	"226"	"19"	"1"	"1"	"226"	"129"	"353"	"1.62e-137"	"389"	"100"	"226"	"353"
"XP_002862263.1"	353	"AT2G38240.1"	"AT2G38240.1"	"orthologue"	"AT2G38240.1"	"N0.HOG0014579"	"AT2G38240.1"	"OG0008447"	"AT2G38240.1"	"AT2G38240.1"	353	353	100	100	353	94.051	694	"AT2G38240.1"	"94.051"	"353"	"21"	"0"	"1"	"353"	"1"	"353"	"0"	"694"	"100"	"353"	"353"
"XP_002862268.1"	76	"AT3G20997.1"	"AT3G20997.1"	"orthologue"	"AT3G20997.1"	"N0.HOG0003048"	"AT3G20997.1, AT3G20993.1, AT3G61177.1, AT3G61175.1, AT3G43505.1"	"OG0000637"	"AT1G49435.1, AT3G20993.1, AT3G20997.1, AT3G43505.1, AT3G61172.1, AT3G61175.1, AT3G61177.1, AT3G61182.1, AT5G42797.1, AT5G47075.1, AT5G47077.1, AT5G47175.1"	"AT3G20997.1"	76	76	100	100	76	88.158	142	"AT3G20997.1"	"88.158"	"76"	"9"	"0"	"1"	"76"	"1"	"76"	"9.83e-47"	"142"	"100"	"76"	"76"
"XP_002862270.2"	144	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G45610.1"	"92.361"	"144"	"11"	"0"	"1"	"144"	"503"	"646"	"1e-87"	"268"	"100"	"144"	"646"
"XP_002862271.2"	145	"AT5G45600.1"	"AT5G45600.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G45600.1"	"94.326"	"141"	"8"	"0"	"1"	"141"	"122"	"262"	"3.16e-98"	"283"	"97"	"145"	"268"
"XP_002862272.2"	231	"AT5G43175.1"	"AT5G43175.1"	"orthologue"	"AT5G43175.1"	"N0.HOG0026692"	"AT5G43175.1"	"OG0019871"	"AT5G43175.1"	"AT5G43175.1"	231	223	97	100	224	91.071	416	"AT5G43175.1"	"91.071"	"224"	"19"	"1"	"8"	"231"	"1"	"223"	"2.68e-150"	"416"	"97"	"231"	"223"
"XP_002862273.1"	219	"AT3G13950.1"	"AT3G13950.1"	"orthologue"	"AT3G13950.1"	"N0.HOG0005856"	"AT4G13266.1, AT3G13950.1"	"OG0001942"	"AT3G13950.1, AT4G13266.1"	"AT3G13950.1"	219	207	89	94	195	94.872	377	"AT3G13950.1"	"94.872"	"195"	"10"	"0"	"1"	"195"	"1"	"195"	"2.72e-135"	"377"	"89"	"219"	"207"
"XP_002862277.2"	182	"AT3G25510.1"	"AT3G25510.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G25510.1"	"67.956"	"181"	"58"	"0"	"1"	"181"	"297"	"477"	"2.31e-76"	"247"	"99"	"182"	"1325"
"XP_002862281.2"	362	"AT5G59960.1"	"AT5G59960.1"	"other"	NA	"N0.HOG0015066"	"AT5G59960.1"	"OG0008910"	"AT5G59960.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G59960.1"	"95.64"	"344"	"15"	"0"	"19"	"362"	"16"	"359"	"0"	"676"	"95"	"362"	"359"
"XP_002862282.2"	103	"AT1G07660.1"	"AT1G07660.1"	"orthologue"	"AT1G07660.1"	"N0.HOG0000595"	"AT1G07660.1, AT5G59690.1, AT3G53730.1, AT2G28740.1, AT3G46320.1, AT1G07820.1, AT5G59970.1, AT3G45930.1"	"OG0000063"	"AT1G07660.1, AT1G07820.1, AT2G28740.1, AT3G45930.1, AT3G46320.1, AT3G53730.1, AT5G59690.1, AT5G59970.1"	"AT1G07660.1, AT1G07820.1, AT2G28740.1, AT3G45930.1, AT3G46320.1, AT3G53730.1, AT5G59690.1, AT5G59970.1"	103	103	100	100	103	100	199	"AT5G59970.1, AT5G59690.1, AT3G53730.1, AT3G46320.1, AT3G45930.1, AT2G28740.1, AT1G07820.1, AT1G07660.1"	"100"	"103"	"0"	"0"	"1"	"103"	"1"	"103"	"1.61e-68"	"199"	"100"	"103"	"103"
"XP_002862283.1"	144	"AT3G02280.1"	"AT3G02280.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G02280.1"	"95.07"	"142"	"6"	"1"	"1"	"141"	"1"	"142"	"9.99e-92"	"277"	"98"	"144"	"623"
"XP_002862287.1"	250	"AT2G39795.1"	"AT2G39795.1"	"orthologue"	"AT2G39795.1"	"N0.HOG0006062"	"AT2G39795.1"	"OG0002039"	"AT2G39795.1, AT3G55605.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G39795.1"	"91.6"	"250"	"21"	"0"	"1"	"250"	"1"	"250"	"2.01e-168"	"464"	"100"	"250"	"250"
"XP_002862288.2"	280	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"XP_002862289.1"	198	"AT3G18120.1"	"AT3G18120.1"	"orthologue"	"AT3G18120.1"	NA	NA	"OG0000057"	"AT2G17830.1, AT2G18780.1, AT3G16740.1, AT3G16820.1, AT3G17320.1, AT3G17400.1, AT3G17620.1, AT3G18120.1, AT3G19470.1, AT3G22770.1, AT3G23420.1, AT3G24580.1, AT5G36200.1, AT5G36730.1, AT5G36820.1, AT5G42460.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G16810.1"	"87.864"	"206"	"15"	"3"	"1"	"196"	"1"	"206"	"3.09e-120"	"353"	"99"	"198"	"641"
"XP_002862291.2"	105	"AT2G44740.1"	"AT2G44740.1"	"orthologue"	"AT2G44740.1"	"N0.HOG0010608"	"AT2G44740.1"	"OG0004929"	"AT2G44740.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G44740.1"	"97.143"	"105"	"3"	"0"	"1"	"105"	"1"	"105"	"1.41e-71"	"211"	"100"	"105"	"202"
"XP_002862292.1"	169	"AT2G31570.1"	"AT2G31570.1"	"orthologue"	"AT2G31570.1"	"N0.HOG0012942"	"AT2G31570.1"	"OG0006931"	"AT2G31570.1"	"AT2G31570.1"	169	169	100	100	169	98.225	342	"AT2G31570.1"	"98.225"	"169"	"3"	"0"	"1"	"169"	"1"	"169"	"1.04e-122"	"342"	"100"	"169"	"169"
"XP_002862294.2"	293	"AT3G07255.1"	"AT3G07255.1"	"orthologue"	"AT3G07255.1"	"N0.HOG0012211"	"AT3G07255.1"	"OG0006294"	"AT3G07255.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G07255.1"	"83.446"	"296"	"43"	"3"	"1"	"293"	"1"	"293"	"8.72e-153"	"428"	"100"	"293"	"293"
"XP_002862297.1"	166	"AT5G26130.1"	"AT5G26130.1"	"orthologue"	"AT5G26130.1"	"N0.HOG0008443"	"AT4G33710.1, AT5G26130.1"	"OG0003365"	"AT4G33710.1, AT5G26130.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G33710.1"	"88.554"	"166"	"19"	"0"	"1"	"166"	"1"	"166"	"2.43e-97"	"278"	"100"	"166"	"166"
"XP_002862298.1"	103	"AT4G27060.1"	"AT4G27060.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G27060.1"	"54.128"	"109"	"40"	"2"	"2"	"102"	"753"	"859"	"1.13e-32"	"119"	"98"	"103"	"864"
"XP_002862299.1"	166	"AT4G33710.1"	"AT4G33710.1"	"orthologue"	"AT4G33710.1"	"N0.HOG0008443"	"AT4G33710.1, AT5G26130.1"	"OG0003365"	"AT4G33710.1, AT5G26130.1"	"AT4G33710.1"	166	166	100	100	166	93.373	293	"AT4G33710.1"	"93.373"	"166"	"11"	"0"	"1"	"166"	"1"	"166"	"1.86e-103"	"293"	"100"	"166"	"166"
"XP_002862301.1"	238	"AT5G65670.1"	"AT5G65670.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G65670.1"	"99.01"	"202"	"2"	"0"	"1"	"202"	"1"	"202"	"2.43e-143"	"404"	"85"	"238"	"338"
"XP_002862304.1"	176	"AT2G34700.1"	"AT2G34700.1"	"orthologue"	"AT2G34700.1"	"N0.HOG0024479"	"AT2G34700.1"	"OG0017830"	"AT2G34700.1"	"AT2G34700.1"	176	175	99	99	174	95.977	338	"AT2G34700.1"	"95.977"	"174"	"6"	"1"	"1"	"174"	"1"	"173"	"6.24e-121"	"338"	"99"	"176"	"175"
"XP_002862305.2"	181	"AT2G39060.1"	"AT2G39060.1"	"orthologue"	"AT2G39060.1"	"N0.HOG0018644"	"AT2G39060.1"	"OG0012210"	"AT2G39060.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G39060.1"	"98.343"	"181"	"3"	"0"	"1"	"181"	"78"	"258"	"2.39e-129"	"363"	"100"	"181"	"258"
