Orthogroup	Alyssum_gmelinii	Arabidopsis_arenosa	Arabidopsis_lyrata_NCBI	Arabidopsis_lyrata_Rawat	Arabidopsis_thaliana	Arabis_alpina	Brassica_oleracea	Brassica_rapa	Camelina_sativa	Capsella_rubella	Cardamine_glauca	Cardamine_hirsuta	Cochlearia_excelsa	Conringia_planisiliqua	Euclidium_syriacum	Eutrema_salsugineum	Noccaea_praecox	Raphanus_sativus	Rorippa_islandica
OG0034844	Ag013G1616200																		
OG0034845	Ag013G1616500																		
OG0034846	Ag013G1618300																		
OG0034847	Ag013G1622300																		
OG0034848	Ag013G1629900																		
OG0034849	Ag013G1641900																		
OG0034850	Ag013G1642200																		
OG0034851	Ag013G1644800																		
OG0034852	Ag013G1650800																		
OG0034853	Ag013G1663200																		
OG0034854	Ag013G1676400																		
OG0034855	Ag013G1679400																		
OG0034856	Ag013G1680200																		
OG0034857	Ag013G1687200																		
OG0034858	Ag013G1688000																		
OG0034859	Ag013G1700700																		
OG0034860	Ag013G1701400																		
OG0034861	Ag013G1702500																		
OG0034862	Ag013G1706800																		
OG0034863	Ag013G1708300																		
OG0034864	Ag013G1709500																		
OG0034865	Ag013G1712900																		
OG0034866	Ag013G1721100																		
OG0034867	Ag013G1726800																		
OG0034868	Ag013G1726900																		
OG0034869	Ag013G1733500																		
OG0034870	Ag013G1743300																		
OG0034871	Ag013G1751300																		
OG0034872	Ag013G1756300																		
OG0034873	Ag062G5053200																		
OG0034874	Ag062G5053900																		
OG0034875	Ag062G5056400																		
OG0034876	Ag062G5056900																		
OG0034877	Ag062G5060200																		
OG0034878	Ag062G5064500																		
OG0034879	Ag091G5456300																		
OG0034880	Ag004G0417000																		
OG0034881	Ag004G0421700																		
OG0034882	Ag004G0427800																		
OG0034883	Ag004G0427900																		
OG0034884	Ag004G0431800																		
OG0034885	Ag004G0442700																		
OG0034886	Ag004G0445800																		
OG0034887	Ag004G0451700																		
OG0034888	Ag004G0452000																		
OG0034889	Ag004G0455700																		
OG0034890	Ag004G0457300																		
OG0034891	Ag004G0457600																		
OG0034892	Ag004G0466400																		
OG0034893	Ag004G0470400																		
OG0034894	Ag004G0491700																		
OG0034895	Ag004G0500300																		
OG0034896	Ag004G0508300																		
OG0034897	Ag004G0508500																		
OG0034898	Ag004G0509200																		
OG0034899	Ag004G0509400																		
OG0034900	Ag004G0513400																		
OG0034901	Ag004G0514300																		
OG0034902	Ag004G0516100																		
OG0034903	Ag004G0516700																		
OG0034904	Ag004G0526100																		
OG0034905	Ag004G0536600																		
OG0034906	Ag004G0539800																		
OG0034907	Ag004G0541100																		
OG0034908	Ag004G0549300																		
OG0034909	Ag004G0550300																		
OG0034910	Ag004G0555800																		
OG0034911	Ag004G0563100																		
OG0034912	Ag004G0569100																		
OG0034913	Ag004G0569200																		
OG0034914	Ag004G0569300																		
OG0034915	Ag004G0588400																		
OG0034916	Ag004G0588900																		
OG0034917	Ag004G0603500																		
OG0034918	Ag004G0610600																		
OG0034919	Ag004G0615400																		
OG0034920	Ag004G0618400																		
OG0034921	Ag004G0625300																		
OG0034922	Ag004G0625400																		
OG0034923	Ag004G0630900																		
OG0034924	Ag004G0639500																		
OG0034925	Ag004G0646600																		
OG0034926	Ag004G0658700																		
OG0034927	Ag004G0668400																		
OG0034928	Ag004G0668500																		
OG0034929	Ag004G0670400																		
OG0034930	Ag004G0673400																		
OG0034931	Ag004G0680100																		
OG0034932	Ag004G0686800																		
OG0034933	Ag004G0687800																		
OG0034934	Ag004G0707400																		
OG0034935	Ag004G0712400																		
OG0034936	Ag004G0712700																		
OG0034937	Ag004G0713800																		
OG0034938	Ag004G0715400																		
OG0034939	Ag004G0718900																		
OG0034940	Ag004G0733400																		
OG0034941	Ag004G0737900																		
OG0034942	Ag004G0752900																		
OG0034943	Ag004G0757800																		
OG0034944	Ag004G0757900																		
OG0034945	Ag004G0763900																		
OG0034946	Ag004G0764000																		
OG0034947	Ag004G0765300																		
OG0034948	Ag004G0769500																		
OG0034949	Ag004G0773000																		
OG0034950	Ag004G0780200																		
OG0034951	Ag004G0782900																		
OG0034952	Ag022G2643100																		
OG0034953	Ag022G2649200																		
OG0034954	Ag022G2653600																		
OG0034955	Ag022G2656200																		
OG0034956	Ag022G2656300																		
OG0034957	Ag022G2656500																		
OG0034958	Ag022G2660000																		
OG0034959	Ag022G2660200																		
OG0034960	Ag022G2660400																		
OG0034961	Ag022G2668500																		
OG0034962	Ag022G2671600																		
OG0034963	Ag022G2691400																		
OG0034964	Ag022G2692700																		
OG0034965	Ag022G2701700																		
OG0034966	Ag022G2702700																		
OG0034967	Ag022G2706300																		
OG0034968	Ag022G2710400																		
OG0034969	Ag022G2716900																		
OG0034970	Ag022G2723800																		
OG0034971	Ag022G2727700																		
OG0034972	Ag022G2728500																		
OG0034973	Ag022G2735600																		
OG0034974	Ag022G2735800																		
OG0034975	Ag022G2736000																		
OG0034976	Ag022G2736400																		
OG0034977	Ag022G2740700																		
OG0034978	Ag022G2750000																		
OG0034979	Ag022G2762200																		
OG0034980	Ag022G2769700																		
OG0034981	Ag022G2771000																		
OG0034982	Ag022G2774600																		
OG0034983	Ag022G2775100																		
OG0034984	Ag022G2775200																		
OG0034985	Ag022G2782000																		
OG0034986	Ag022G2786000																		
OG0034987	Ag022G2788200																		
OG0034988	Ag022G2796100																		
OG0034989	Ag075G5278500																		
OG0034990	Ag075G5283800																		
OG0034991	Ag075G5288400																		
OG0034992	Ag075G5288500																		
OG0034993	Ag075G5291100																		
OG0034994	Ag075G5293900																		
OG0034995	Ag075G5296000																		
OG0034996	Ag075G5296700																		
OG0034997	Ag075G5302800																		
OG0034998	Ag048G4571300																		
OG0034999	Ag048G4573300																		
OG0035000	Ag048G4573600																		
OG0035001	Ag048G4577300																		
OG0035002	Ag048G4577500																		
OG0035003	Ag048G4579400																		
OG0035004	Ag048G4582000																		
OG0035005	Ag048G4583300																		
OG0035006	Ag048G4585000																		
OG0035007	Ag048G4602200																		
OG0035008	Ag048G4613600																		
OG0035009	Ag048G4627400																		
OG0035010	Ag048G4627700																		
OG0035011	Ag048G4632300																		
OG0035012	Ag048G4632700																		
OG0035013	Ag048G4638600																		
OG0035014	Ag048G4648900																		
OG0035015	Ag048G4654400																		
OG0035016	Ag048G4654500																		
OG0035017	Ag048G4671400																		
OG0035018	Ag048G4676200																		
OG0035019	Ag048G4692600																		
OG0035020	Ag048G4698600																		
OG0035021	Ag048G4704400																		
OG0035022	Ag048G4706300																		
OG0035023	Ag048G4719700																		
OG0035024	Ag048G4722200																		
OG0035025	Ag048G4722300																		
OG0035026	Ag040G4335200																		
OG0035027	Ag040G4344600																		
OG0035028	Ag040G4347900																		
OG0035029	Ag040G4352800																		
OG0035030	Ag049G4724500																		
OG0035031	Ag049G4724600																		
OG0035032	Ag049G4726900																		
OG0035033	Ag049G4728100																		
OG0035034	Ag049G4728200																		
OG0035035	Ag049G4730000																		
OG0035036	Ag049G4730100																		
OG0035037	Ag049G4730400																		
OG0035038	Ag032G3420500																		
OG0035039	Ag032G3422900																		
OG0035040	Ag032G3424700																		
OG0035041	Ag032G3433700																		
OG0035042	Ag032G3434000																		
OG0035043	Ag032G3434400																		
OG0035044	Ag032G3435100																		
OG0035045	Ag032G3436500																		
OG0035046	Ag032G3441300																		
OG0035047	Ag032G3441800																		
OG0035048	Ag032G3444400																		
OG0035049	Ag032G3445400																		
OG0035050	Ag032G3452400																		
OG0035051	Ag032G3453100																		
OG0035052	Ag032G3453300																		
OG0035053	Ag032G3457900																		
OG0035054	Ag032G3458700																		
OG0035055	Ag032G3460400																		
OG0035056	Ag032G3462200																		
OG0035057	Ag032G3464300																		
OG0035058	Ag032G3472500																		
OG0035059	Ag054G4887500																		
OG0035060	Ag054G4890300																		
OG0035061	Ag054G4890700																		
OG0035062	Ag054G4893800																		
OG0035063	Ag054G4900100																		
OG0035064	Ag041G4356500																		
OG0035065	Ag041G4362100																		
OG0035066	Ag041G4362200																		
OG0035067	Ag041G4377000																		
OG0035068	Ag082G5406900																		
OG0035069	Ag082G5407500																		
OG0035070	Ag070G5235800																		
OG0035071	Ag007G0847900																		
OG0035072	Ag007G0849100																		
OG0035073	Ag007G0851000																		
OG0035074	Ag007G0863100																		
OG0035075	Ag007G0864400																		
OG0035076	Ag007G0874400																		
OG0035077	Ag007G0890500																		
OG0035078	Ag007G0891500																		
OG0035079	Ag007G0891600																		
OG0035080	Ag007G0901700																		
OG0035081	Ag007G0901800																		
OG0035082	Ag007G0901900																		
OG0035083	Ag007G0903200																		
OG0035084	Ag007G0903300																		
OG0035085	Ag007G0908200																		
OG0035086	Ag007G0913300																		
OG0035087	Ag007G0916300																		
OG0035088	Ag007G0916400																		
OG0035089	Ag007G0917900																		
OG0035090	Ag007G0920100																		
OG0035091	Ag007G0925700																		
OG0035092	Ag007G0931200																		
OG0035093	Ag078G5328200																		
OG0035094	Ag078G5328300																		
OG0035095	Ag078G5331800																		
OG0035096	Ag078G5336800																		
OG0035097	Ag078G5342400																		
OG0035098	Ag078G5344900																		
OG0035099	Ag078G5345500																		
OG0035100	Ag078G5348400																		
OG0035101	Ag078G5353000																		
OG0035102	Ag078G5354500																		
OG0035103	Ag078G5364300																		
OG0035104	Ag078G5368500																		
OG0035105	Ag078G5368900																		
OG0035106	Ag078G5369000																		
OG0035107	Ag078G5374600																		
OG0035108	Ag078G5382200																		
OG0035109	Ag078G5382300																		
OG0035110	Ag078G5382400																		
OG0035111	Ag078G5386400																		
OG0035112	Ag078G5387600																		
OG0035113	Ag078G5396900																		
OG0035114	Ag056G4936200																		
OG0035115	Ag056G4939000																		
OG0035116	Ag045G4509700																		
OG0035117	Ag045G4512400																		
OG0035118	Ag045G4524300																		
OG0035119	Ag063G5068000																		
OG0035120	Ag063G5072400																		
OG0035121	Ag063G5076000																		
OG0035122	Ag063G5082600																		
OG0035123	Ag071G5237200																		
OG0035124	Ag071G5238100																		
OG0035125	Ag071G5243700																		
OG0035126	Ag012G1272500																		
OG0035127	Ag012G1276800																		
OG0035128	Ag012G1281300																		
OG0035129	Ag012G1282300																		
OG0035130	Ag012G1285100																		
OG0035131	Ag012G1285600																		
OG0035132	Ag012G1289600																		
OG0035133	Ag012G1294700																		
OG0035134	Ag012G1299000																		
OG0035135	Ag012G1302800																		
OG0035136	Ag012G1310000																		
OG0035137	Ag012G1312300																		
OG0035138	Ag012G1315300																		
OG0035139	Ag012G1319600																		
OG0035140	Ag012G1323100																		
OG0035141	Ag012G1327100																		
OG0035142	Ag012G1336200																		
OG0035143	Ag057G4951100																		
OG0035144	Ag057G4954300																		
OG0035145	Ag057G4966300																		
OG0035146	Ag006G0796000																		
OG0035147	Ag006G0797700																		
OG0035148	Ag006G0799400																		
OG0035149	Ag006G0799500																		
OG0035150	Ag006G0818200																		
OG0035151	Ag006G0822400																		
OG0035152	Ag006G0829600																		
OG0035153	Ag006G0830300																		
OG0035154	Ag006G0834100																		
OG0035155	Ag001G0008600																		
OG0035156	Ag001G0012700																		
OG0035157	Ag001G0013000																		
OG0035158	Ag001G0013400																		
OG0035159	Ag001G0014100																		
OG0035160	Ag001G0020500																		
OG0035161	Ag001G0037000																		
OG0035162	Ag001G0039400																		
OG0035163	Ag001G0043400																		
OG0035164	Ag001G0043600																		
OG0035165	Ag001G0048000																		
OG0035166	Ag001G0054000																		
OG0035167	Ag001G0062900																		
OG0035168	Ag001G0063200																		
OG0035169	Ag001G0087600																		
OG0035170	Ag001G0088600																		
OG0035171	Ag001G0089900																		
OG0035172	Ag023G2799900																		
OG0035173	Ag023G2800000																		
OG0035174	Ag023G2802500																		
OG0035175	Ag023G2803000																		
OG0035176	Ag023G2804200																		
OG0035177	Ag023G2807100																		
OG0035178	Ag023G2809800																		
OG0035179	Ag023G2812900																		
OG0035180	Ag023G2815300																		
OG0035181	Ag023G2823900																		
OG0035182	Ag023G2829500																		
OG0035183	Ag023G2836200																		
OG0035184	Ag023G2849300																		
OG0035185	Ag023G2849400																		
OG0035186	Ag050G4739500																		
OG0035187	Ag050G4741100																		
OG0035188	Ag050G4748900																		
OG0035189	Ag050G4762600																		
OG0035190	Ag050G4769400																		
OG0035191	Ag050G4771200																		
OG0035192	Ag050G4781000																		
OG0035193	Ag050G4787300																		
OG0035194	Ag050G4794900																		
OG0035195	Ag050G4798600																		
OG0035196	Ag050G4799200																		
OG0035197	Ag076G5309800																		
OG0035198	Ag076G5311600																		
OG0035199	Ag427G5499500																		
OG0035200	Ag058G4985900																		
OG0035201	Ag058G4992900																		
OG0035202	Ag058G4993500																		
OG0035203	Ag009G0972700																		
OG0035204	Ag009G0979100																		
OG0035205	Ag083G5410700																		
OG0035206	Ag008G0943700																		
OG0035207	Ag008G0943800																		
OG0035208	Ag008G0944000																		
OG0035209	Ag008G0952300																		
OG0035210	Ag008G0952400																		
OG0035211	Ag008G0956100																		
OG0035212	Ag008G0959200																		
OG0035213	Ag008G0960000																		
OG0035214	Ag008G0961000																		
OG0035215	Ag008G0961800																		
OG0035216	Ag051G4806800																		
OG0035217	Ag051G4806900																		
OG0035218	Ag051G4815900																		
OG0035219	Ag051G4824800																		
OG0035220	Ag051G4829900																		
OG0035221	Ag044G4474700																		
OG0035222	Ag044G4475000																		
OG0035223	Ag044G4476700																		
OG0035224	Ag044G4476800																		
OG0035225	Ag044G4482100																		
OG0035226	Ag044G4490800																		
OG0035227	Ag044G4491500																		
OG0035228	Ag044G4493800																		
OG0035229	Ag044G4494200																		
OG0035230	Ag044G4494900																		
OG0035231	Ag033G3479000																		
OG0035232	Ag033G3480800																		
OG0035233	Ag033G3506100																		
OG0035234	Ag033G3513400																		
OG0035235	Ag033G3519600																		
OG0035236	Ag033G3520700																		
OG0035237	Ag033G3524600																		
OG0035238	Ag033G3527900																		
OG0035239	Ag033G3529500																		
OG0035240	Ag033G3530000																		
OG0035241	Ag033G3531800																		
OG0035242	Ag033G3531900																		
OG0035243	Ag033G3538500																		
OG0035244	Ag033G3556500																		
OG0035245	Ag033G3561200																		
OG0035246	Ag033G3561400																		
OG0035247	Ag033G3568700																		
OG0035248	Ag033G3574800																		
OG0035249	Ag033G3576800																		
OG0035250	Ag033G3582900																		
OG0035251	Ag033G3583500																		
OG0035252	Ag033G3587100																		
OG0035253	Ag033G3601700																		
OG0035254	Ag033G3601900																		
OG0035255	Ag033G3605000																		
OG0035256	Ag033G3607900																		
OG0035257	Ag033G3609600																		
OG0035258	Ag033G3610700																		
OG0035259	Ag033G3618200																		
OG0035260	Ag033G3626000																		
OG0035261	Ag033G3627000																		
OG0035262	Ag033G3633200																		
OG0035263	Ag033G3636800																		
OG0035264	Ag033G3649600																		
OG0035265	Ag028G3084800																		
OG0035266	Ag031G3148000																		
OG0035267	Ag031G3161400																		
OG0035268	Ag031G3161600																		
OG0035269	Ag031G3165300																		
OG0035270	Ag031G3172500																		
OG0035271	Ag031G3179000																		
OG0035272	Ag031G3181100																		
OG0035273	Ag031G3181800																		
OG0035274	Ag031G3184400																		
OG0035275	Ag031G3185000																		
OG0035276	Ag031G3185400																		
OG0035277	Ag031G3187300																		
OG0035278	Ag031G3189300																		
OG0035279	Ag031G3192600																		
OG0035280	Ag031G3198500																		
OG0035281	Ag031G3207200																		
OG0035282	Ag031G3207600																		
OG0035283	Ag031G3207700																		
OG0035284	Ag031G3209700																		
OG0035285	Ag031G3219200																		
OG0035286	Ag031G3219500																		
OG0035287	Ag031G3229300																		
OG0035288	Ag031G3229500																		
OG0035289	Ag031G3230700																		
OG0035290	Ag031G3232500																		
OG0035291	Ag031G3233300																		
OG0035292	Ag031G3237000																		
OG0035293	Ag031G3241800																		
OG0035294	Ag031G3242200																		
OG0035295	Ag031G3243500																		
OG0035296	Ag031G3246400																		
OG0035297	Ag031G3255700																		
OG0035298	Ag031G3263600																		
OG0035299	Ag031G3268500																		
OG0035300	Ag031G3275700																		
OG0035301	Ag031G3276000																		
OG0035302	Ag031G3276200																		
OG0035303	Ag031G3276800																		
OG0035304	Ag031G3278400																		
OG0035305	Ag031G3279200																		
OG0035306	Ag031G3280000																		
OG0035307	Ag031G3281900																		
OG0035308	Ag031G3283900																		
OG0035309	Ag031G3294000																		
OG0035310	Ag031G3295000																		
OG0035311	Ag031G3299200																		
OG0035312	Ag031G3300000																		
OG0035313	Ag031G3301600																		
OG0035314	Ag031G3302800																		
OG0035315	Ag031G3305700																		
OG0035316	Ag031G3306200																		
OG0035317	Ag031G3310300																		
OG0035318	Ag031G3315900																		
OG0035319	Ag031G3316000																		
OG0035320	Ag031G3322300																		
OG0035321	Ag031G3323800																		
OG0035322	Ag031G3325200																		
OG0035323	Ag031G3329300																		
OG0035324	Ag031G3335100																		
OG0035325	Ag031G3344600																		
OG0035326	Ag031G3344700																		
OG0035327	Ag031G3346200																		
OG0035328	Ag031G3357200																		
OG0035329	Ag031G3357300																		
OG0035330	Ag031G3367400																		
OG0035331	Ag031G3367800																		
OG0035332	Ag031G3371000																		
OG0035333	Ag031G3374800																		
OG0035334	Ag031G3375700																		
OG0035335	Ag031G3378700																		
OG0035336	Ag031G3394400																		
OG0035337	Ag031G3397100																		
OG0035338	Ag031G3399200																		
OG0035339	Ag031G3399300																		
OG0035340	Ag031G3402500																		
OG0035341	Ag031G3403400																		
OG0035342	Ag031G3418000																		
OG0035343	Ag020G2555600																		
OG0035344	Ag020G2565100																		
OG0035345	Ag020G2568900																		
OG0035346	Ag020G2571200																		
OG0035347	Ag029G3097200																		
OG0035348	Ag029G3103400																		
OG0035349	Ag029G3104300																		
OG0035350	Ag029G3104800																		
OG0035351	Ag029G3109300																		
OG0035352	Ag029G3111400																		
OG0035353	Ag029G3111500																		
OG0035354	Ag067G5171600																		
OG0035355	Ag067G5174500																		
OG0035356	Ag067G5187400																		
OG0035357	Ag067G5187900																		
OG0035358	Ag067G5189300																		
OG0035359	Ag067G5196900																		
OG0035360	Ag067G5199900																		
OG0035361	Ag067G5202600																		
OG0035362	Ag067G5204200																		
OG0035363	Ag067G5206700																		
OG0035364	Ag081G5400400																		
OG0035365	Ag042G4377900																		
OG0035366	Ag042G4392300																		
OG0035367	Ag042G4393900																		
OG0035368	Ag042G4403300																		
OG0035369	Ag042G4407500																		
OG0035370	Ag042G4409700																		
OG0035371	Ag042G4410100																		
OG0035372	Ag042G4412000																		
OG0035373	Ag042G4412700																		
OG0035374	Ag042G4413200																		
OG0035375	Ag042G4416800																		
OG0035376	Ag042G4418900																		
OG0035377	Ag042G4426000																		
OG0035378	Ag042G4426600																		
OG0035379	Ag042G4426800																		
OG0035380	Ag042G4431100																		
OG0035381	Ag039G4189500																		
OG0035382	Ag039G4200600																		
OG0035383	Ag039G4205600																		
OG0035384	Ag039G4216100																		
OG0035385	Ag039G4216300																		
OG0035386	Ag039G4216400																		
OG0035387	Ag039G4219600																		
OG0035388	Ag039G4232100																		
OG0035389	Ag039G4233900																		
OG0035390	Ag039G4236200																		
OG0035391	Ag039G4246300																		
OG0035392	Ag039G4254300																		
OG0035393	Ag039G4256900																		
OG0035394	Ag039G4260800																		
OG0035395	Ag039G4261100																		
OG0035396	Ag039G4265100																		
OG0035397	Ag039G4265500																		
OG0035398	Ag039G4268900																		
OG0035399	Ag039G4273300																		
OG0035400	Ag039G4277800																		
OG0035401	Ag039G4278000																		
OG0035402	Ag039G4278800																		
OG0035403	Ag039G4279200																		
OG0035404	Ag039G4280900																		
OG0035405	Ag039G4283000																		
OG0035406	Ag039G4283600																		
OG0035407	Ag039G4286200																		
OG0035408	Ag039G4286500																		
OG0035409	Ag039G4287900																		
OG0035410	Ag039G4289200																		
OG0035411	Ag039G4290600																		
OG0035412	Ag039G4294000																		
OG0035413	Ag039G4294700																		
OG0035414	Ag039G4301600																		
OG0035415	Ag039G4305300																		
OG0035416	Ag039G4305400																		
OG0035417	Ag039G4306800																		
OG0035418	Ag039G4310000																		
OG0035419	Ag039G4314600																		
OG0035420	Ag039G4317700																		
OG0035421	Ag039G4321800																		
OG0035422	Ag039G4323200																		
OG0035423	Ag039G4326600																		
OG0035424	Ag066G5129700																		
OG0035425	Ag066G5130900																		
OG0035426	Ag066G5131400																		
OG0035427	Ag066G5132400																		
OG0035428	Ag066G5137000																		
OG0035429	Ag066G5149800																		
OG0035430	Ag066G5157500																		
OG0035431	Ag066G5163400																		
OG0035432	Ag066G5164600																		
OG0035433	Ag066G5164900																		
OG0035434	Ag066G5169800																		
OG0035435	Ag066G5169900																		
OG0035436	Ag015G2183800																		
OG0035437	Ag015G2189000																		
OG0035438	Ag015G2195500																		
OG0035439	Ag015G2195600																		
OG0035440	Ag015G2196600																		
OG0035441	Ag015G2201000																		
OG0035442	Ag015G2206000																		
OG0035443	Ag015G2214000																		
OG0035444	Ag015G2218200																		
OG0035445	Ag015G2218500																		
OG0035446	Ag015G2218600																		
OG0035447	Ag015G2233500																		
OG0035448	Ag015G2241000																		
OG0035449	Ag015G2241200																		
OG0035450	Ag015G2243500																		
OG0035451	Ag015G2243700																		
OG0035452	Ag015G2265600																		
OG0035453	Ag015G2269100																		
OG0035454	Ag015G2272900																		
OG0035455	Ag015G2276400																		
OG0035456	Ag021G2580400																		
OG0035457	Ag021G2584500																		
OG0035458	Ag021G2600600																		
OG0035459	Ag021G2601200																		
OG0035460	Ag021G2601900																		
OG0035461	Ag021G2602800																		
OG0035462	Ag021G2604700																		
OG0035463	Ag021G2606900																		
OG0035464	Ag021G2612100																		
OG0035465	Ag021G2614700																		
OG0035466	Ag021G2616900																		
OG0035467	Ag021G2617400																		
OG0035468	Ag021G2618900																		
OG0035469	Ag021G2620300																		
OG0035470	Ag021G2620400																		
OG0035471	Ag021G2624800																		
OG0035472	Ag021G2624900																		
OG0035473	Ag038G4146000																		
OG0035474	Ag038G4148500																		
OG0035475	Ag038G4151200																		
OG0035476	Ag038G4156500																		
OG0035477	Ag038G4163200																		
OG0035478	Ag038G4164000																		
OG0035479	Ag038G4164800																		
OG0035480	Ag088G5428000																		
OG0035481	Ag088G5428600																		
OG0035482	Ag088G5428700																		
OG0035483	Ag088G5428800																		
OG0035484	Ag088G5432300																		
OG0035485	Ag003G0277700																		
OG0035486	Ag003G0291700																		
OG0035487	Ag003G0292900																		
OG0035488	Ag003G0297000																		
OG0035489	Ag003G0316000																		
OG0035490	Ag003G0331700																		
OG0035491	Ag003G0332800																		
OG0035492	Ag003G0344700																		
OG0035493	Ag003G0351000																		
OG0035494	Ag003G0352100																		
OG0035495	Ag003G0359300																		
OG0035496	Ag003G0364600																		
OG0035497	Ag003G0369500																		
OG0035498	Ag003G0371000																		
OG0035499	Ag003G0375900																		
OG0035500	Ag003G0377800																		
OG0035501	Ag003G0379800																		
OG0035502	Ag003G0386900																		
OG0035503	Ag003G0388400																		
OG0035504	Ag003G0390600																		
OG0035505	Ag003G0393000																		
OG0035506	Ag003G0395000																		
OG0035507	Ag003G0398900																		
OG0035508	Ag003G0399000																		
OG0035509	Ag003G0406200																		
OG0035510	Ag003G0406800																		
OG0035511	Ag003G0410200																		
OG0035512	Ag003G0415100																		
OG0035513	Ag003G0416800																		
OG0035514	Ag037G4134000																		
OG0035515	Ag037G4136100																		
OG0035516	Ag014G1779500																		
OG0035517	Ag014G1779600																		
OG0035518	Ag014G1779700																		
OG0035519	Ag014G1779800																		
OG0035520	Ag014G1780800																		
OG0035521	Ag014G1782500																		
OG0035522	Ag014G1783300																		
OG0035523	Ag014G1785600																		
OG0035524	Ag014G1785800																		
OG0035525	Ag014G1786100																		
OG0035526	Ag014G1787600																		
OG0035527	Ag014G1789700																		
OG0035528	Ag014G1793700																		
OG0035529	Ag014G1802300																		
OG0035530	Ag014G1803700																		
OG0035531	Ag014G1807600																		
OG0035532	Ag014G1811200																		
OG0035533	Ag014G1812900																		
OG0035534	Ag014G1816500																		
OG0035535	Ag014G1820400																		
OG0035536	Ag014G1820700																		
OG0035537	Ag014G1832300																		
OG0035538	Ag014G1835400																		
OG0035539	Ag014G1838500																		
OG0035540	Ag014G1850700																		
OG0035541	Ag014G1862600																		
OG0035542	Ag014G1864500																		
OG0035543	Ag014G1886300																		
OG0035544	Ag014G1891100																		
OG0035545	Ag014G1895400																		
OG0035546	Ag014G1895500																		
OG0035547	Ag014G1895800																		
OG0035548	Ag014G1901100																		
OG0035549	Ag014G1908400																		
OG0035550	Ag014G1911900																		
OG0035551	Ag014G1912800																		
OG0035552	Ag014G1914000																		
OG0035553	Ag014G1920200																		
OG0035554	Ag014G1928700																		
OG0035555	Ag014G1929100																		
OG0035556	Ag014G1933500																		
OG0035557	Ag014G1936700																		
OG0035558	Ag014G1942700																		
OG0035559	Ag014G1945500																		
