Orthogroup	Arabidopsis_lyrata_Rawat	Cardamine_glauca
OG0000007	AL9U10810	Cg006G1865000, Cg001G0098100, Cg005G1765200
OG0000007	AL1G53130	Cg008G2926400
OG0000008	AL8G22780, AL6G25540, AL39U10050, AL6G49380, AL226U10010, AL8G21160, AL8G41980, AL66U10030, AL7G10810, AL747U10010, AL8G17730, AL7G48840, AL4G21710, AL5G16170, AL1G29200, AL1G65090, AL7G51050, AL1G63180, AL7G50980, AL8G11530, AL2G17460, AL6G27010, AL5G18950, AL7G45220, AL8G21520, AL3G44870, AL6G46960, AL2G19610, AL5G20410, AL4G18090, AL1G45690, AL3G40710, AL5G24310, AL2G22310, AL4G13380, AL3G52160, AL4G20310, AL4G18790, AL4G37240, AL3G44010, AL7G44440, AL2G20270, AL9U11800, AL298U10010, AL4G19160	Cg002G0653600
OG0000008	AL5G32180	Cg002G0565700
OG0000009	AL251U10020, AL3G32130	Cg003G0834900
OG0000009	AL4G10690	Cg005G1728900
OG0000009	AL8G14160	Cg008G2714900
OG0000009	AL2G39630	Cg005G1717900, Cg003G0717800, Cg005G1769300
OG0000011	AL8G24370, AL6G47490	Cg005G1679200
OG0000011	AL2G23260	Cg005G1679100
OG0000012	AL5G12390	Cg004G1402400
OG0000015	AL25U10010, AL6G22310, AL7G26200	Cg001G0251200
OG0000015	AL1G29330, AL6G27260	Cg007G2289100
OG0000016	AL2G23610, AL5G12380, AL5G12270	Cg002G0591300
OG0000020	AL189U10010, AL189U10020, AL3G44820, AL7G51100	Cg004G1313600
OG0000020	AL4G19770	Cg008G2915200, Cg003G0729100
OG0000021	AL39U10070	Cg006G1871200
OG0000021	AL7G47350, AL7G51150	Cg006G1912000, Cg004G1333000
OG0000022	AL2G13120	Cg007G2277400
OG0000022	AL2G11490	Cg007G2272800, Cg007G2270400, Cg007G2272900, Cg007G2273000
OG0000022	AL2G10190	Cg007G2258400
OG0000022	AL7G48260	Cg001G0385000
OG0000022	AL3G29640	Cg004G1232100
OG0000023	AL1G65660	Cg003G0882200
OG0000023	AL2G18620	Cg006G1902200
OG0000023	AL5G17960, AL7G43020, AL136U10040, AL8G18120, AL1G51450	Cg003G1048300, Cg006G1990600, Cg003G0860500, Cg007G2541200, Cg014G3040300
OG0000024	AL1G45340, AL1G45540, AL1G45590, nbis-gene-188, AL1G45230, AL1G45550, AL1G45570, AL1G45600, nbis-gene-553, AL4G14930, nbis-gene-966, AL1G45610, AL1G45580, AL1G45510	Cg006G1959100, Cg006G1958900, Cg006G1959600, Cg006G1959000, Cg006G1959800, Cg006G1959300
OG0000024	AL1G46280	Cg002G0647900
OG0000024	AL3G45420, AL4G35160	Cg006G1963900, Cg006G1963800
OG0000024	AL5G38280, AL5G39160, AL5G39170, AL5G23680	Cg002G0447000, Cg002G0448700
OG0000025	AL6G41860	Cg007G2444400
OG0000025	AL9U11280, AL5G16730, AL2G12870	Cg005G1690200, Cg004G1264500
OG0000027	AL6G45930	Cg003G0758600
OG0000027	AL6G45970	Cg003G0758500
OG0000027	AL6G45910	Cg003G0758900
OG0000027	AL7G30170	Cg001G0171100
OG0000027	AL1G66280	Cg003G0757800
OG0000027	AL7G30280	Cg001G0171900
OG0000027	AL7G30260	Cg001G0171700
OG0000028	AL7G42840	Cg003G0981300
OG0000030	AL3G33700, AL275U10020, AL3G33320, AL3G33690	Cg004G1270000
OG0000030	AL3G33370	Cg004G1264800
OG0000030	AL1G35700, AL1G40180, AL1G40160, AL1G40170	Cg006G1982700
OG0000030	AL3G27510	Cg001G0286900
OG0000030	AL5G29320, AL5G29310, AL5G29340	Cg002G0532900
OG0000030	AL1G21870	Cg006G2154000
OG0000031	AL3G43240, AL2G29770, AL1G56200, AL1G41870	Cg003G0842000
OG0000034	AL7G30290	Cg001G0172000
OG0000034	AL7G32680	Cg001G0190400
OG0000034	AL7G32670	Cg001G0190500
OG0000034	AL7G30340	Cg001G0172600
OG0000034	AL7G30310, AL7G30350	Cg001G0172700
OG0000040	AL677U10010	Cg003G0770800, Cg006G1822500, Cg003G0954000
OG0000040	AL364U10020	Cg008G2847400, Cg008G2861900
OG0000040	AL8G11480	Cg002G0556700
OG0000041	AL3G41190, AL6G35400, AL1G24610, AL5G28630, AL1G18250, AL6G32660	Cg006G2127000
OG0000042	AL1G42210	Cg007G2325300
OG0000043	AL4G22400	Cg014G3034000
OG0000043	AL1G50770	Cg002G0640800
OG0000044	AL8G11930	Cg008G2973700
OG0000044	AL8G11840, AL8G11900	Cg008G2973900
OG0000044	AL3G20910, AL2G19370, AL8G18470	Cg004G1380900
OG0000046	AL4G10770, AL5G16920, AL7G43910, AL3G42580	Cg001G0284200
OG0000050	AL1G24220	Cg005G1710800
OG0000051	AL1G20340	Cg006G2232100
OG0000051	AL4G40940	Cg005G1506300
OG0000051	AL4G40920, AL4G40910, AL2G15770, AL4G40930	Cg013G3025800, Cg005G1600400
OG0000051	AL4G41000, AL4G41010, AL4G41020	Cg003G0782100
OG0000052	AL1G65610	Cg007G2494300
OG0000052	AL5G28950	Cg002G0537500
OG0000055	AL3G30470	Cg004G1239300
OG0000055	AL3G29670	Cg004G1232400
OG0000056	AL2G14100	Cg007G2285200
OG0000056	AL2G13770	Cg007G2283300
OG0000056	AL2G13820	Cg007G2283500
OG0000056	AL2G14070	Cg007G2284900, Cg007G2285100
OG0000056	AL5G26170	Cg002G0557700
OG0000058	AL3G40670	Cg005G1665800, Cg002G0608700, Cg004G1336800, Cg005G1744500, Cg008G2877000, Cg001G0339300
OG0000058	AL3G30200, AL1G60100	Cg002G0648900
OG0000059	AL8G40920, AL7G34190, AL2G10380, AL1G59190	Cg008G2824900, Cg001G0300100, Cg001G0266200, Cg004G1243400, Cg007G2336400
OG0000059	AL5G34630	Cg003G0778100
OG0000060	AL5G34700	Cg005G1558200
OG0000061	AL1G55000, AL1G55020, AL1G54370, AL1G25040, AL1G25030	Cg004G1379900
OG0000061	AL1G53180	Cg004G1382400, Cg004G1390200
OG0000061	AL3G24690, AL1G35400, AL4G24650	Cg005G1634900
OG0000064	nbis-gene-343, nbis-gene-349, nbis-gene-344, nbis-gene-348, nbis-gene-347, nbis-gene-1421, AL2G18870, nbis-gene-342, nbis-gene-435, nbis-gene-439, nbis-gene-434, nbis-gene-1420, nbis-gene-436, nbis-gene-440, nbis-gene-437, nbis-gene-1419, nbis-gene-438, nbis-gene-1176, nbis-gene-2026, nbis-gene-926, nbis-gene-1175, nbis-gene-2028, nbis-gene-2027, nbis-gene-2044, nbis-gene-1, nbis-gene-2024, nbis-gene-2025, nbis-gene-2023, nbis-gene-346, nbis-gene-345, nbis-gene-441	Cg003G0987600
OG0000065	AL2G25320, AL2G25210	Cg007G2435800
OG0000066	AL6G20900	Cg006G2172200, Cg008G2671100, Cg003G1045600
OG0000066	AL6G20890	Cg008G2671000
OG0000066	AL2G35590, AL6G41640	Cg003G0715700, Cg002G0598000, Cg002G0598300, Cg014G3039900, Cg007G2340900
OG0000066	AL6G21580	Cg008G2677200, Cg001G0018800
OG0000066	AL1G32620	Cg006G2066700
OG0000067	AL1G31430	Cg004G1439200
OG0000068	AL6G15310, AL6G14890	Cg008G2596900
OG0000068	AL3G20260, AL3G20250, AL3G20240	Cg004G1419400
OG0000068	AL6G12890, AL3G38420, AL6G12880, AL6G12910, AL6G12860, AL5G24850, AL6G12550	Cg008G2602600, Cg008G2600100
OG0000069	AL5G45620	Cg001G0395000
OG0000069	AL3G48630, AL1G45330, AL1G16270	Cg006G2225100
OG0000069	AL4G13470	Cg004G1201400
OG0000070	AL1G20940	Cg006G2161100
OG0000070	AL3G47920, AL5G12840, AL5G12830	Cg002G0680500
OG0000070	AL4G11370, AL1G32980, AL2G24470	Cg006G2064200
OG0000070	AL2G35960	Cg001G0322900, Cg001G0323200, Cg007G2530800
OG0000070	AL8G19640	Cg008G2918500, Cg011G3015900
OG0000070	AL7G16760	Cg001G0056200
OG0000072	AL3G47230	Cg002G0615600, Cg003G0921700, Cg005G1721600, Cg006G1875000, Cg003G0891300, Cg006G1857400, Cg005G1716800, Cg005G1678100, Cg003G0771500, Cg003G0829500, Cg003G0793600, Cg004G1350300, Cg001G0334100
OG0000072	AL8G11190	Cg005G1665600
OG0000075	AL7G11690	Cg001G0013800
OG0000076	AL7G10840	Cg001G0007600
OG0000076	AL4G29500	Cg005G1594800
OG0000076	AL3G53220	Cg008G2983800
OG0000077	AL8G13920	Cg005G1775900
OG0000077	AL5G12970, AL5G12940	Cg002G0679200, Cg002G0679300
OG0000077	AL1G20220	Cg006G2167500
OG0000078	AL6G29190	Cg008G2744900, Cg008G2744200, Cg008G2744500
OG0000079	AL3G51940, AL1G57050, AL5G16890, AL1G58560, AL1G58670, AL4G20020, AL1G30000, AL5G27080, AL8G14210	Cg004G1172300, Cg002G0672800, Cg002G0570600, Cg010G2993500
OG0000080	nbis-gene-244	Cg002G0578600, Cg002G0578900, Cg005G1663800
OG0000083	AL6G26020, AL3G43160, AL645U10010, AL5G31070, AL8G41960, AL1G25560, AL2G11510, AL6G37350, AL6G45940, AL1G47930, AL4G15250, AL4G15260	Cg002G0678700
OG0000086	AL7G53090	Cg001G0342500
OG0000089	AL6G35120	Cg008G2794800
OG0000089	AL8G39670	Cg003G1017300
OG0000089	AL5G25960	Cg002G0558400
OG0000089	AL4G24260	Cg005G1638200
OG0000089	AL6G23060	Cg008G2689500
OG0000089	AL8G15560	Cg008G2943700
OG0000089	AL7G33260	Cg001G0195600
OG0000089	AL4G30750	Cg005G1585200
OG0000089	AL1G32740	Cg006G2065500
OG0000089	AL2G35770	Cg007G2528700
OG0000091	AL5G26820	Cg002G0552600
OG0000091	AL6G32010	Cg001G0362300, Cg008G2769400
OG0000091	AL8G24400	Cg003G0829200, Cg003G0877100
OG0000095	AL4G18550	Cg005G1739100
OG0000095	AL4G14530, AL4G18570, AL4G15550	Cg005G1739400
OG0000096	AL3G41350, AL3G41330, AL3G41320, AL3G41340	Cg001G0384700
OG0000096	AL3G31600, AL3G31620, AL3G31610, AL439U10010, AL3G32310, AL3G32820, AL3G50560	Cg004G1249200, Cg004G1257700, Cg004G1249300
OG0000096	AL3G31580	Cg004G1260000
OG0000098	AL3G44020, AL3G44030, AL3G43980, AL3G44060, nbis-gene-805	Cg004G1351900
OG0000098	AL2G26330	Cg007G2258600, Cg007G2258500
OG0000098	AL1G41020, AL1G41000, AL1G41010, AL1G40990	Cg008G2823500
OG0000100	AL1G66260	Cg007G2332300
OG0000101	AL26U10050, AL3G41030	Cg007G2332400
OG0000102	AL6G49150	Cg003G0864200, Cg003G0734200
OG0000102	AL6G49090, AL320U10020	Cg003G0864100, Cg003G0734300, Cg003G0734500
OG0000102	AL9U10550	Cg003G0863700, Cg003G0734700
OG0000102	AL6G49140	Cg003G0734600, Cg003G0863800
OG0000102	AL6G49050	Cg003G0863600, Cg003G0734800
OG0000106	AL6G40690	Cg007G2419200, Cg008G2833600
OG0000107	AL3G33810	Cg004G1267700
OG0000107	AL3G33780	Cg004G1267500
OG0000107	AL3G33760	Cg004G1267200
OG0000107	AL3G33790	Cg004G1267600
OG0000108	AL4G34190, AL4G34130, AL5G34730	Cg005G1557400
OG0000108	AL5G25390, AL8G35810	Cg003G0983900
OG0000108	AL3G23740	Cg004G1180800
OG0000108	AL6G20220	Cg008G2664600
OG0000108	AL1G56110	Cg004G1253800
OG0000111	AL5G34240, AL3G50380	Cg003G0769600, Cg003G0769200, Cg003G0769000, Cg003G0769100, Cg003G0768800, Cg003G0768700, Cg003G0768900, Cg003G0768500, Cg003G0768100, Cg003G0769400, Cg003G0768000, Cg003G0767700, Cg006G1873400, Cg006G1939000, Cg006G1938900, Cg006G1938700, Cg013G3026300, Cg002G0596600
OG0000115	AL7G53080	Cg001G0196200, Cg006G1927900, Cg008G2910800
OG0000117	AL1G37420	Cg006G2029700
OG0000117	AL1G37280	Cg006G2031100
OG0000117	AL1G37400	Cg006G2029800
OG0000117	AL1G37430	Cg006G2029600
OG0000117	AL1G37350	Cg006G2030500
OG0000117	AL1G37410	Cg006G2029900
OG0000117	AL1G37440	Cg006G2029400
OG0000117	AL1G37330, AL1G37340	Cg006G2030600
OG0000119	AL4G18370, AL4G18360, AL4G18340	Cg005G1714200
OG0000119	AL5G21720, AL5G21730	Cg002G0596700
OG0000119	AL6G15230	Cg001G0041500
OG0000119	AL5G24100	Cg002G0574700
OG0000125	AL1G17740	Cg006G2188500
OG0000125	AL1G55940	Cg006G1841400
OG0000125	AL1G59870	Cg006G1816500
OG0000127	AL1G18070	Cg006G2186100
OG0000127	AL6G34020	Cg008G2786000
OG0000127	AL6G11840	Cg008G2597500
OG0000127	AL189U10030, AL8G36480	Cg003G0989900
OG0000127	AL5G24750	Cg002G0569500, Cg002G0569100
OG0000127	AL4G23250	Cg005G1647800
OG0000128	AL5G41150	Cg007G2459200
OG0000128	AL5G41080	Cg002G0434700
OG0000128	AL5G41090	Cg002G0434600
OG0000129	AL2G19870	Cg007G2357000
OG0000129	AL2G20180	Cg007G2390100
OG0000129	AL1G60690, AL8G38710, AL8G38700	Cg003G1010100, Cg003G1010200, Cg003G1010000
OG0000129	AL4G22760, AL4G22720	Cg005G1662800, Cg005G1661800, Cg005G1660700, Cg005G1661700
OG0000129	AL8G25830	Cg003G0897000
OG0000129	AL2G19840	Cg008G2880200, Cg007G2357100
OG0000130	AL1G41300, AL3G31830	Cg008G2849000
OG0000130	AL3G43990	Cg003G0796500, Cg002G0592800
OG0000132	AL5G36020	Cg002G0477500
OG0000134	AL8G17970, AL8G17980, AL20U10060, AL20U10050, AL20U10040, AL20U10020	Cg008G2920900
OG0000137	AL8G30930	Cg003G0942300
OG0000137	AL8G30920	Cg003G0942100
OG0000137	AL8G30900	Cg003G0942000
OG0000137	AL8G30890	Cg003G0941900
OG0000138	AL5G40850	Cg002G0558300, Cg002G0563500
OG0000138	AL2G23440, AL5G45250, AL5G35200	Cg002G0485200
OG0000140	AL8G35610, AL1G29430, AL2G32620	Cg003G0904200
OG0000140	AL5G19190	Cg006G1824700
OG0000140	AL6G10840	Cg003G0810900
OG0000143	AL3G54050	Cg001G0285100, Cg002G0608200
OG0000148	nbis-gene-277	Cg006G1825800
OG0000151	AL5G36230	Cg002G0475200
OG0000151	AL5G36220	Cg002G0475300
OG0000151	AL4G36690	Cg005G1538800
OG0000151	AL5G36210	Cg002G0475400
OG0000151	AL5G34430	Cg002G0491600
OG0000151	AL4G33730	Cg005G1560100
OG0000151	AL6G24190	Cg008G2699500
OG0000153	AL4G25560	Cg005G1625900
OG0000153	AL4G23900	Cg005G1641100
OG0000154	AL1G58520	Cg006G1826100
OG0000154	AL1G58510	Cg006G1826400
OG0000157	AL1G44920, AL1G44890	Cg006G1966200, Cg006G1965500
OG0000157	AL1G44860	Cg006G1966900
OG0000158	AL7G32560, AL7G30180, AL7G33450	Cg008G2596700
OG0000158	AL6G46400	Cg005G1695800
OG0000160	AL3G52950	Cg004G1426700
OG0000160	AL7G22000	Cg001G0100800
OG0000160	AL8G33330	Cg003G0963700
OG0000160	AL3G44180	Cg004G1353700
OG0000160	AL2G40780	Cg007G2573400
OG0000160	AL4G15040	Cg005G1742100
OG0000162	AL4G28780	Cg005G1601500
OG0000162	nbis-gene-1071	Cg005G1601600
OG0000162	AL5G13350	Cg002G0675900, Cg002G0676200, Cg002G0676100
OG0000162	AL3G42400, AL3G42420	Cg004G1334900
OG0000162	AL4G28810, AL4G28800	Cg005G1601400
OG0000165	AL7G45500	Cg006G1858300
OG0000166	AL1G64890, AL4G16880	Cg036G3082400
OG0000167	nbis-gene-789	Cg004G1301000
OG0000170	AL4G44750	Cg005G1473800
OG0000170	AL5G43250	Cg002G0419600
OG0000170	AL4G44740	Cg005G1474000
OG0000171	AL8G28000	Cg003G0916500
OG0000171	AL7G47650, AL2G10770	Cg007G2262400
OG0000171	AL3G49460	Cg004G1402700
OG0000171	AL8G31780	Cg003G0949800
OG0000171	AL3G19690	Cg004G1146700
OG0000171	AL7G24680	Cg001G0123300
OG0000173	AL7G11730	Cg001G0078900
OG0000173	AL7G12140	Cg008G2861400, Cg008G2846800
OG0000173	AL7G13810	Cg001G0073600
OG0000173	AL7G12790	Cg001G0022300, Cg001G0022400
OG0000174	AL5G24470, AL6G38890, AL3G40990, AL6G49470, AL2G19320, AL4G18060, AL1G56990	Cg007G2342000, Cg002G0629800, Cg002G0560800, Cg001G0362900, Cg003G0991500, Cg001G0283900, Cg007G2346200
OG0000175	AL1G37260	Cg006G2031400, Cg007G2474600
OG0000175	AL1G21480	Cg007G2303300, Cg006G2157000
OG0000175	AL6G25440	Cg008G2710700
OG0000175	AL5G45050, AL2G23510	Cg002G0406800, Cg005G1457900
OG0000176	AL2G31050	Cg008G2964200
OG0000177	AL1G34270, AL1G34310	Cg006G2054600
OG0000177	AL1G34360	Cg006G2054500
OG0000178	AL6G47960	Cg003G0742900, Cg003G0743000
OG0000178	AL6G47980	Cg006G1925200
OG0000178	AL6G47970	Cg006G1925100
OG0000178	AL1G49990	Cg003G0802700, Cg003G0803500
OG0000179	AL2G17250	Cg007G2311400
OG0000182	AL5G39260	Cg002G0498500
OG0000183	AL2G24200, AL7G46650	Cg001G0339800
OG0000183	AL5G38180	Cg002G0456600
OG0000183	AL5G21780	Cg008G2776300
OG0000183	AL4G20560	Cg005G1681400
OG0000185	AL1G11240, AL1G49370, AL1G49350, AL1G49380, AL108U10030	Cg004G1440400
OG0000185	AL8G40780	Cg003G1044200
OG0000185	AL1G37710, AL1G37720, AL1G37670	Cg004G1189300
OG0000185	AL1G42110, AL1G41350	Cg006G1989500
OG0000187	nbis-gene-932, AL4G10910	Cg005G1772000
OG0000187	AL1G32210	Cg006G2070900
OG0000187	AL4G24590, AL4G24560, AL4G24330, AL4G24610, AL4G24350, AL4G24620, AL4G24340, AL4G24320	Cg005G1635300, Cg005G1635400, Cg005G1634600, Cg005G1634500, Cg005G1635600, Cg005G1635200, Cg005G1635700, Cg005G1635500
OG0000188	nbis-gene-688	Cg002G0576300, Cg004G1168000, Cg004G1167400, Cg004G1167900
OG0000188	AL3G14700	Cg004G1107000
OG0000189	AL5G31720	Cg002G0515600
OG0000189	AL7G15090	Cg001G0040600
OG0000189	AL3G50830	Cg004G1414100
OG0000189	AL2G35850	Cg007G2529500
OG0000189	AL1G32900	Cg006G2064800
OG0000192	AL2G13220	Cg006G1993900
OG0000193	AL3G46410, AL3G46450, AL8G22710, AL3G29470	Cg004G1230500
OG0000193	AL1G53610	Cg006G1859600, Cg006G1859800, Cg006G1859900, Cg006G1859400
OG0000193	AL1G46640, AL1G46660, AL1G46620	Cg006G1948300
OG0000195	AL3G48600	Cg004G1434800, Cg004G1435000, Cg004G1433700, Cg004G1435100, Cg004G1434700
OG0000195	AL8G36490	Cg003G0787700
OG0000196	AL7G47590, AL7G47570, AL7G47600, AL4G22240, AL7G47850	Cg001G0388500
OG0000196	AL7G47540	Cg001G0388000, Cg001G0388200
OG0000196	AL7G47550	Cg001G0387900, Cg001G0387800, Cg001G0388400
OG0000197	AL7G34530	Cg001G0205400
OG0000197	AL7G34490	Cg001G0205200
OG0000198	AL5G13150, AL5G10520	Cg002G0692800
OG0000198	AL1G26980, AL1G27000	Cg006G2114000
OG0000198	AL1G27010	Cg006G2113800, Cg006G2113700
OG0000198	AL5G15240	Cg002G0664200
OG0000199	AL1G59580, AL1G61110, AL1G54760	Cg007G2470500, Cg007G2472200, Cg007G2392400, Cg002G0549200
OG0000199	AL7G22480	Cg014G3034400, Cg008G2903900
OG0000199	AL6G29250, AL6G29230	Cg014G3034300, Cg003G0721100, Cg003G0721200, Cg014G3034200
OG0000200	AL1G15400	Cg006G2210500
OG0000200	AL1G15390	Cg006G2210600
OG0000200	AL1G44070	Cg006G1857600
OG0000200	AL1G44060, AL1G44080	Cg006G1857700
OG0000201	AL8G34590	Cg005G1716200
OG0000202	AL6G50950	Cg003G0719400
OG0000203	AL5G39980, AL5G40000	Cg002G0442000
OG0000203	AL5G40120	Cg002G0441200
OG0000203	AL5G40110	Cg002G0441400
OG0000203	AL5G40140	Cg002G0441100
OG0000203	AL5G40100	Cg002G0441500
OG0000205	AL6G41080, AL6G41170, AL7G33750, AL2G20320, AL2G20330, AL3G54100, AL3G45590	Cg006G1892500
OG0000206	AL4G21300	Cg003G0826800, Cg003G0827100
OG0000208	AL4G19750, AL1G65550, AL6G38580, AL7G43560, AL7G51990, AL8G15360, AL3G41540, AL4G19070, AL2G18810, AL3G43060, AL4G18690, AL6G42480, AL8G21750, AL25U10040, AL9U12130, AL6G41070, AL8G20340, AL2G15790, AL3G39650, AL8G19240, AL4G14050	Cg005G1738400, Cg007G2356100, Cg005G1738000
OG0000209	AL1G20200	Cg006G2154400, Cg006G2158500, Cg006G1924600, Cg006G2158400
OG0000209	AL5G25310	Cg008G2968000
OG0000209	AL6G20830	Cg008G2670300, Cg008G2670600, Cg008G2677700
OG0000209	AL4G30220	Cg005G1613100, Cg003G0772300
OG0000209	AL1G43860	Cg006G1996300
OG0000210	AL4G44040	Cg005G1480200
OG0000216	AL6G47240	Cg003G0750100
OG0000216	AL6G47230	Cg003G0750300, Cg003G0750200
OG0000216	AL6G43900, AL6G44750	Cg003G0750000
OG0000216	AL2G18850	Cg007G2323800
OG0000216	AL5G37800	Cg001G0324000
OG0000219	AL7G49120, AL7G43790	Cg001G0279900
OG0000222	AL6G40720	Cg004G1331800, Cg005G1684300, Cg005G1700400
OG0000225	AL2G39130	Cg007G2558500
OG0000226	AL6G44610	Cg003G0770400
OG0000227	AL3G16300	Cg004G1118500
OG0000227	AL3G46870	Cg004G1376700, Cg004G1376500, Cg004G1376400, Cg004G1385200, Cg004G1377200
OG0000229	AL4G17660, AL4G17920, AL4G17900	Cg001G0315200
OG0000230	AL5G40610, AL5G40780	Cg008G2846600, Cg008G2861200, Cg008G2861500
OG0000230	AL7G52220	Cg001G0350800
OG0000232	AL3G48740	Cg006G1824400, Cg004G1119800
OG0000232	AL1G53480	Cg005G1715100, Cg005G1758600
OG0000233	AL6G17860	Cg008G2647600
OG0000233	AL6G17870	Cg008G2647700, Cg008G2647900, Cg008G2647800
OG0000233	AL6G17850	Cg008G2647500
OG0000233	AL6G17810, AL6G17910, AL6G17830	Cg008G2647300
OG0000234	AL6G12300	Cg008G2601400
OG0000235	AL4G35970, AL463U10040, AL4G36830	Cg005G1544000
OG0000236	AL2G28820	Cg007G2466600
OG0000236	AL2G23070	Cg001G0272600, Cg004G1311000, Cg004G1287200, Cg004G1333500
OG0000237	AL5G33670	Cg006G1842500
OG0000237	AL3G35490	Cg001G0099500, Cg004G1282100
OG0000238	AL2G30310	Cg007G2478900
OG0000238	AL6G40180	Cg008G2832400
OG0000238	AL6G40330	Cg006G2034900, Cg006G2035000
OG0000238	AL2G30370	Cg007G2478700
OG0000241	AL7G32050	Cg001G0185400
OG0000241	AL7G32060	Cg001G0185500
OG0000241	AL6G48290	Cg003G0857500, Cg003G0740200
OG0000244	AL6G49330, AL6G48870	Cg003G0862300, Cg003G0736100, Cg003G0862100, Cg003G0861900, Cg003G0736300, Cg003G0736000, Cg003G0862400, Cg003G0735900
OG0000244	AL6G48830	Cg003G0869800, Cg003G0728000, Cg003G0861800, Cg003G0736400
OG0000244	AL6G49970, AL6G49560	Cg003G0728100, Cg003G0869700
OG0000246	AL4G32990	Cg005G1566300
OG0000247	AL7G52080	Cg001G0351600, Cg001G0351800
OG0000247	AL3G40220, AL3G40940, AL3G40610	Cg003G0782000, Cg004G1322200, Cg004G1322700
OG0000248	AL2G29310	Cg007G2470700
OG0000248	AL2G29280, AL5G35460	Cg007G2470600
OG0000248	nbis-gene-575	Cg007G2471500
OG0000249	AL1G48110	Cg006G1934400
OG0000249	AL2G10350	Cg004G1366500, Cg002G0640600
OG0000250	AL7G44880	Cg003G0862700
OG0000250	AL6G48930	Cg003G0735700
OG0000251	AL5G15050, AL5G15060, AL5G15070	Cg002G0664000
OG0000251	AL5G15090	Cg002G0663800
OG0000251	AL8G33230	Cg003G0962700
OG0000251	AL5G15010	Cg002G0664100
OG0000252	AL7G20350	Cg001G0086600
OG0000252	AL2G12370, AL2G12360	Cg007G2272200
OG0000252	AL2G37720	Cg007G2546100
OG0000252	AL2G37740	Cg007G2546300, Cg007G2546200
OG0000253	AL3G24230	Cg004G1184700
OG0000253	AL3G20620	Cg004G1154100
OG0000253	AL6G11740	Cg008G2596600
OG0000254	AL7G39760	Cg001G0250300, Cg001G0250200
OG0000254	AL7G39740	Cg001G0249500
OG0000254	AL7G39730	Cg001G0249400, Cg001G0249700
OG0000256	AL3G30180	Cg004G1236700
OG0000257	AL2G35830	Cg008G2969000
OG0000258	AL5G20640, AL6G41050	Cg002G0627900
OG0000259	AL3G41860, AL3G31320	Cg004G1246900
OG0000262	AL2G11060	Cg007G2293500
OG0000268	AL5G24090	Cg006G1966300, Cg006G1965600
OG0000269	AL8G36240	Cg003G0987700
OG0000269	AL5G25090, AL5G25020	Cg002G0567300
OG0000269	AL2G16910	Cg007G2309100
OG0000269	AL4G24200	Cg005G1638700
OG0000275	AL7G11970	Cg003G1065200
OG0000275	nbis-gene-421, AL2G17720, AL6G40420, AL6G40440, AL6G40430, AL2G17690	Cg008G2833500
OG0000276	AL8G19610	Cg005G1682300
OG0000276	AL8G16120	Cg002G0614200
OG0000277	AL3G49100, AL7G10820	Cg001G0007500
OG0000277	AL1G32640	Cg006G2066500
OG0000278	AL7G46030	Cg001G0332400
OG0000278	AL7G46410	Cg001G0336600
OG0000278	AL7G46160, AL7G46150	Cg001G0333000, Cg001G0333100, Cg001G0332700
OG0000278	AL7G46040, AL7G38390, AL7G38360, AL7G46130, AL7G46050	Cg001G0332500, Cg001G0337400
