Orthogroup	Arabidopsis_lyrata_Rawat	Euclidium_syriacum
OG0000021	AL39U10070, AL8G31610, AL7G45200, AL2G25080, AL5G20460, AL4G19440, AL6G42400, AL3G43480, AL5G24330, AL3G37170, AL6G47300, AL5G41490, AL3G52170, AL2G40700, AL8G33160, AL4G18100, AL8G23170, AL4G13400, AL4G20340, AL5G22660, AL3G44000, AL4G18810, AL564U10010, AL8G21810, AL2G20290, AL3G16850, AL9U11790, AL4G19170	ESY2_g36897_DN3_SP0_c0.t1, ESY1_g8553_DN3_SP0_c0.t1, ESY2_g36889_DN2_SP0_c0.t1, ESY5_g1040_DN3_SP0_c0.t1, ESY4_g26006_DN3_SP0_c0.t1, ESY7_g17537_DN3_SP0_c0.t1, ESY1_g9704_DN3_SP0_c0.t1, ESY6_g48613_DN3_SP0_c0.t1, ESY6_g47610_DN3_SP0_c0.t1, ESY4_g25933_DN3_SP0_c0.t1, ESY9_g43848_DN3_SP0_c0.t1, ESY10_g15845_DN3_SP0_c0.t1, ESY1_g8552_DN3_SP0_c0.t1, ESY3_g30023_DN2_SP0_c0.t1, ESY19_g41697_DN3_SP0_c0.t1, ESY6_g45922_DN3_SP0_c0.t1, ESY5_g1354_DN3_SP0_c0.t1, ESY6_g47609_DN3_SP0_c0.t1, ESY6_g48612_DN3_SP0_c0.t1, ESY11_g54587_DN3_SP0_c0.t1, ESY6_g47608_DN3_SP0_c0.t1, ESY9_g43847_DN3_SP0_c0.t1, ESY15_g65477_DN3_SP0_c0.t1
OG0000021	AL7G47350, AL7G51150	ESY9_g43840_DN2_SP0_c0.t1, ESY9_g43986_DN3_SP0_c0.t1, ESY10_g14065_DN3_SP0_c0.t1, ESY14_g21238_DN3_SP0_c0.t1
OG0000023	AL5G19710, AL8G19910, AL1G56220, AL4G20380, AL7G45280, AL8G19630, AL1G65660, AL2G18620, AL8G19620, AL5G17960, AL7G43020, AL136U10040, AL8G18120, AL1G51450, AL6G40750, AL7G44260, AL5G21700, AL7G45880, AL1G51090, AL1G55700, AL5G28690, AL7G32690, AL3G37740, AL2G19210, AL8G29520	ESY11_g53222_DN2_SP0_c100.t1
OG0000023	AL5G18610	ESY8_g61320_DN3_SP0_c0.t1
OG0000024	AL4G16470	ESY7_g16494_DN2_SP0_c0.t1, ESY1_g12041_DN3_SP0_c0.t1, ESY8_g58334_DN1_SP0_c0.t1, ESY2_g33352_DN2_SP0_c0.t1, ESY2_g33350_DN2_SP0_c0.t1, ESY7_g19344_DN3_SP0_c0.t1, ESY1_g11290_DN3_SP0_c0.t1, ESY12_g51910_DN2_SP0_c0.t1, ESY12_g51907_DN2_SP0_c40.t1, ESY12_g51878_DN2_SP0_c0.t1
OG0000024	AL1G45610, AL1G45580	ESY4_g26407_DN2_SP0_c0.t1, ESY4_g26408_DN1_SP0_c0.t1, ESY4_g26390_DN2_SP0_c0.t1
OG0000027	AL6G46000	ESY9_g42764_DN3_SP0_c0.t1
OG0000027	AL7G30260	ESY9_g42607_DN2_SP0_c68.t1
OG0000028	AL594U10010, AL7G42840	ESY3_g32269_DN2_SP0_c54.t1
OG0000029	AL5G20350, AL3G41570	ESY1_g6329_DN2_SP0_c0.t1
OG0000029	nbis-gene-1243	ESY10_g14733_DN2_SP0_c0.t1
OG0000030	AL3G33370	ESY3_g29344_DN3_SP0_c0.t1
OG0000030	AL1G40180, AL1G40160, AL1G40170	ESY4_g24700_DN2_SP0_c0.t1, ESY16_g62047_DN2_SP0_c0.t1, ESY5_g3539_DN1_SP0_c0.t1
OG0000030	AL3G27510	ESY9_g43210_DN3_SP0_c0.t1, ESY5_g4903_DN2_SP0_c0.t1, ESY1_g12127_DN1_SP0_c0.t1, ESY11_g54038_DN2_SP0_c0.t1, ESY10_g15292_DN3_SP0_c0.t1, ESY9_g42993_DN2_SP0_c0.t1
OG0000030	AL5G29320, AL5G29310, AL5G29340	ESY3_g29392_DN3_SP0_c0.t1
OG0000030	AL2G23050	ESY11_g54853_DN3_SP0_c0.t1
OG0000030	AL3G24770	ESY9_g42498_DN1_SP0_c0.t1, ESY9_g42515_DN2_SP0_c0.t1
OG0000031	AL3G43240	ESY23_g31_DN2_SP0_c0.t1
OG0000035	AL3G42660, AL4G33750, AL7G46520, AL6G43970	ESY1_g11366_DN3_SP0_c0.t1, ESY1_g8356_DN1_SP0_c0.t1, ESY2_g36091_DN2_SP0_c0.t1, ESY14_g20662_DN3_SP0_c0.t1
OG0000035	AL6G50990	ESY3_g27680_DN2_SP0_c0.t1
OG0000035	AL4G18470, AL8G13010, AL8G34850, AL7G40470, AL7G45660, AL2G19470	ESY1_g8357_DN3_SP0_c0.t1, ESY1_g11367_DN3_SP0_c0.t1, ESY9_g44160_DN2_SP0_c0.t1, ESY2_g36093_DN3_SP0_c0.t1
OG0000038	AL2G17230, AL4G20860	ESY15_g65319_DN1_SP0_c38.t1, ESY6_g47063_DN3_SP0_c100.t1, ESY8_g60522_DN1_SP0_c100.t1
OG0000040	AL2G11290, AL3G43050	ESY5_g2557_DN3_SP0_c0.t1
OG0000040	AL364U10020	ESY7_g16531_DN2_SP0_c0.t1
OG0000040	AL1G40050	ESY4_g25086_DN1_SP0_c0.t1
OG0000041	AL3G41190, AL6G35400, AL1G24610, AL5G28630, AL1G18250, AL6G32660, AL4G15280, AL6G28140, AL2G16540, AL6G37950, AL3G38730, AL6G15330, AL5G12980, AL4G11230, AL6G41090, AL1G48490, AL3G47410, AL3G42990	ESY1_g6062_DN3_SP0_c100.t1
OG0000042	AL1G54660	ESY18_g63717_DN3_SP0_c55.t1, ESY17_g39786_DN2_SP0_c77.t1, ESY1_g9008_DN2_SP0_c16.t1, ESY3_g28214_DN2_SP0_c7.t1, ESY19_g41790_DN1_SP0_c0.t1, ESY4_g25239_DN1_SP0_c95.t1
OG0000043	AL2G18800, AL4G22400, AL3G52960, AL5G13930, AL3G46620, AL5G24790, AL1G50770, AL5G13730, AL6G45600, AL1G34760, AL8G18020, AL6G41190, AL5G16300, AL8G34940, AL1G48950, AL5G15500, AL7G45030, AL983U10010, AL9U11830, AL8G31450, AL236U10040, AL2G30330, AL2G18720, AL4G18980, AL1G50370, AL8G19930	ESY4_g23863_DN2_SP0_c100.t1
OG0000046	AL4G10770	ESY14_g21426_DN1_SP0_c0.t1
OG0000046	AL6G43460, AL8G24550, AL3G45110, AL3G45080, AL6G44180, AL8G21960, AL3G43290, AL1G51180, AL4G17640, AL3G40680, AL1G60090, AL7G41120, AL6G41380, AL1G53510, AL4G20190, AL3G44690, AL6G40760	ESY15_g65758_DN2_SP0_c100.t1
OG0000048	AL8G43560	ESY5_g4613_DN3_SP0_c0.t1
OG0000048	AL1G62520	ESY7_g16211_DN2_SP0_c0.t1, ESY1_g11291_DN3_SP0_c0.t1
OG0000050	AL1G24220	ESY7_g16182_DN3_SP0_c92.t1
OG0000051	AL1G20340	ESY5_g5128_DN3_SP0_c0.t1
OG0000051	AL4G40940	ESY5_g5127_DN3_SP0_c0.t1
OG0000051	AL4G40920, AL4G40910, AL2G15770, AL4G40930	ESY12_g51336_DN3_SP0_c0.t1
OG0000051	AL4G41000, AL4G41010, AL4G41020	ESY12_g51338_DN3_SP0_c0.t1
OG0000055	nbis-gene-725, AL3G41130	ESY2_g35826_DN2_SP0_c0.t1
OG0000055	AL3G38080	ESY8_g59290_DN2_SP0_c0.t1
OG0000055	AL769U10010	ESY16_g61649_DN2_SP0_c0.t1
OG0000055	AL3G29740	ESY9_g43255_DN3_SP0_c0.t1, ESY10_g15079_DN3_SP0_c0.t1
OG0000055	AL4G21820	ESY2_g35556_DN3_SP0_c0.t1
OG0000056	AL2G14100	ESY2_g33771_DN2_SP0_c0.t1
OG0000056	AL2G13790, AL2G14110	ESY2_g33766_DN3_SP0_c0.t1
OG0000056	AL2G14050	ESY2_g33762_DN3_SP0_c0.t1
OG0000056	AL2G13900	ESY2_g33767_DN3_SP0_c0.t1, ESY2_g33769_DN3_SP0_c0.t1, ESY2_g33764_DN2_SP0_c0.t1, ESY2_g33770_DN3_SP0_c0.t1, ESY2_g33763_DN2_SP0_c0.t1, ESY2_g33774_DN3_SP0_c0.t1
OG0000056	AL2G14090, AL2G14060, AL2G14070, AL2G14080	ESY2_g33775_DN1_SP0_c0.t1
OG0000056	AL5G26170	ESY3_g31686_DN3_SP0_c0.t1, ESY2_g33671_DN2_SP0_c0.t1
OG0000058	AL5G26550, AL920U10010	ESY15_g65727_DN2_SP0_c85.t1
OG0000058	AL3G40670, AL6G37450, AL6G45120, AL4G17610, AL3G30200, AL1G60100, AL2G27390	ESY13_g56710_DN1_SP0_c0.t1
OG0000060	AL1G18100	ESY1_g11061_DN3_SP0_c0.t1
OG0000060	AL781U10020	ESY8_g58877_DN3_SP0_c0.t1
OG0000060	AL4G23280	ESY3_g31636_DN3_SP0_c0.t1
OG0000060	AL5G25220	ESY5_g4491_DN3_SP0_c0.t1
OG0000060	AL5G34700	ESY6_g48808_DN3_SP0_c0.t1
OG0000061	AL6G23310, nbis-gene-1510	ESY3_g29585_DN1_SP0_c98.t1
OG0000062	AL8G40700, AL8G15100	ESY11_g52398_DN3_SP0_c0.t1, ESY9_g43856_DN2_SP0_c0.t1
OG0000062	AL7G40460, AL2G19460, AL8G34860, AL8G13000	ESY14_g20663_DN3_SP0_c36.t1
OG0000063	AL5G31380, AL1G67270, AL8G13680, AL60U10040, AL6G43960, AL6G44310, AL3G53440, AL236U10030, AL2G36550, AL169U10010, AL7G44340, AL7G43200, AL1G44840, AL6G34160, AL7G22190	ESY17_g40075_DN1_SP0_c10.t1
OG0000064	nbis-gene-343, nbis-gene-349, nbis-gene-344, nbis-gene-348, nbis-gene-347, nbis-gene-1421, AL2G18870, nbis-gene-342, nbis-gene-435, nbis-gene-439, nbis-gene-434, nbis-gene-1420, nbis-gene-436, nbis-gene-440, nbis-gene-437, nbis-gene-1419, nbis-gene-438, nbis-gene-1176, nbis-gene-2026, nbis-gene-926, nbis-gene-1175, nbis-gene-2028, nbis-gene-2027, nbis-gene-2044, nbis-gene-1, nbis-gene-2024, nbis-gene-2025, nbis-gene-2023, nbis-gene-346, nbis-gene-345, nbis-gene-441	ESY16_g62560_DN2_SP0_c0.t1
OG0000065	AL7G52590	ESY4_g26383_DN3_SP0_c53.t1
OG0000066	AL6G20900	ESY23_g163_DN2_SP0_c0.t1
OG0000066	AL6G20890	ESY7_g18023_DN3_SP0_c0.t1, ESY11_g54349_DN3_SP0_c0.t1
OG0000066	AL3G43470	ESY2_g34934_DN2_SP0_c58.t1
OG0000066	AL7G12340, AL6G21580	ESY2_g36068_DN3_SP8_c0.t1
OG0000066	AL1G32620	ESY18_g62954_DN3_SP0_c77.t1
OG0000067	AL3G45170, AL1G31430, AL5G32340	ESY3_g28898_DN3_SP0_c0.t1
OG0000068	AL6G15310, AL6G14890, AL3G20260, AL3G20250, AL3G20240	ESY9_g42540_DN3_SP0_c0.t1, ESY10_g14312_DN3_SP0_c0.t1, ESY10_g14570_DN3_SP0_c0.t1, ESY10_g14619_DN3_SP0_c0.t1, ESY10_g14569_DN3_SP0_c0.t1, ESY2_g38376_DN3_SP0_c0.t1
OG0000068	AL1G25630, AL1G48230, AL3G11550, AL8G28020, AL8G27750, AL6G12890, AL3G38420, AL6G12880, AL6G12910, AL6G12860, AL5G24850, AL6G12550	ESY6_g50195_DN3_SP0_c0.t1
OG0000069	AL1G10300, nbis-gene-18	ESY6_g49560_DN2_SP0_c0.t1
OG0000069	AL1G11090	ESY8_g58271_DN2_SP0_c9.t1
OG0000069	AL5G21850, AL5G23770	ESY1_g11580_DN3_SP0_c0.t1
OG0000069	AL5G36780	ESY4_g22200_DN2_SP0_c0.t1, ESY3_g31688_DN3_SP0_c0.t1
OG0000069	AL8G26350	ESY20_g13229_DN3_SP0_c0.t1
OG0000069	AL4G13470	ESY10_g15831_DN1_SP0_c0.t1
OG0000069	AL3G38360	ESY6_g49138_DN1_SP0_c0.t1
OG0000070	AL1G20940	ESY10_g14297_DN3_SP0_c35.t1
OG0000070	AL3G47920, AL5G12840, AL5G12830	ESY3_g32095_DN2_SP0_c41.t1
OG0000072	AL3G47230	ESY9_g44874_DN3_SP0_c0.t1, ESY6_g47138_DN1_SP0_c0.t1, ESY21_g55397_DN2_SP0_c0.t1, ESY9_g44731_DN3_SP0_c0.t1
OG0000072	AL8G11190	ESY15_g64467_DN1_SP0_c0.t1, ESY4_g23383_DN2_SP0_c0.t1
OG0000073	nbis-gene-12	ESY8_g60414_DN2_SP0_c0.t1, ESY4_g22224_DN1_SP0_c0.t1
OG0000073	AL4G12860, AL5G31050, AL1G60290, AL5G25100	ESY4_g22225_DN3_SP0_c0.t1, ESY3_g28765_DN1_SP0_c0.t1
OG0000075	AL1G52760, AL1G52750, AL1G52780	ESY12_g52268_DN2_SP0_c19.t1
OG0000075	AL34U10110, AL34U10130, AL8G22350	ESY4_g26264_DN2_SP0_c18.t1, ESY4_g26270_DN3_SP0_c11.t1
OG0000075	AL2G16730, AL2G16030	ESY4_g26060_DN2_SP0_c0.t1, ESY4_g26061_DN3_SP0_c0.t1
OG0000076	AL7G10840	ESY4_g26855_DN3_SP0_c0.t1, ESY4_g26853_DN2_SP0_c0.t1
OG0000076	AL3G53220	ESY4_g26296_DN3_SP0_c0.t1, ESY6_g50580_DN1_SP0_c0.t1
OG0000076	AL8G13050	ESY4_g25261_DN2_SP0_c0.t1
OG0000077	AL2G25710	ESY16_g61756_DN3_SP0_c0.t1
OG0000079	AL3G51940, AL1G57050, AL5G16890, AL1G58560, AL1G58670, AL4G20020, AL1G30000, AL5G27080, AL8G14210	ESY8_g59723_DN2_SP0_c0.t1
OG0000081	AL1G31420, AL8G29100, AL8G26420, AL6G33330	ESY9_g44119_DN3_SP0_c0.t1, ESY7_g18625_DN3_SP0_c96.t1
OG0000083	AL9U10620	ESY1_g7742_DN2_SP0_c0.t1
OG0000086	AL7G46850, AL7G46860	ESY10_g14581_DN2_SP0_c0.t1, ESY12_g50856_DN3_SP0_c0.t1
OG0000086	nbis-gene-1913, AL7G53060	ESY10_g14582_DN1_SP0_c0.t1
OG0000086	AL2G24590, AL2G24600	ESY2_g35232_DN2_SP0_c0.t1
OG0000089	AL6G35120	ESY6_g50131_DN3_SP8_c0.t1
OG0000089	AL4G24260	ESY8_g58764_DN3_SP8_c0.t1, ESY8_g58767_DN3_SP0_c0.t1, ESY8_g58770_DN3_SP0_c0.t1
OG0000089	AL6G23060	ESY7_g18326_DN3_SP8_c0.t1
OG0000089	AL8G15560	ESY7_g16559_DN3_SP8_c0.t1
OG0000089	AL7G33260	ESY9_g43361_DN3_SP8_c0.t1
OG0000089	AL1G32740	ESY5_g3995_DN3_SP3_c0.t1
OG0000089	AL2G35770	ESY2_g34829_DN3_SP8_c0.t1
OG0000095	AL4G18500	ESY7_g19280_DN2_SP0_c0.t1, ESY7_g17327_DN3_SP0_c0.t1, ESY7_g19279_DN2_SP0_c34.t1, ESY7_g19285_DN2_SP0_c0.t1, ESY7_g19282_DN3_SP0_c38.t1, ESY7_g18924_DN3_SP0_c58.t1, ESY7_g19283_DN2_SP0_c13.t1, ESY7_g19278_DN2_SP0_c40.t1
OG0000095	AL4G18560	ESY3_g31037_DN3_SP0_c0.t1, ESY3_g31041_DN2_SP0_c0.t1
OG0000095	AL4G15620	ESY7_g17177_DN3_SP0_c0.t1
OG0000095	nbis-gene-1002	ESY3_g31038_DN1_SP0_c0.t1
OG0000096	nbis-gene-1973	ESY3_g31121_DN3_SP0_c0.t1
OG0000096	AL3G31580	ESY6_g49250_DN3_SP0_c0.t1
OG0000096	AL3G22030	ESY6_g49252_DN1_SP0_c0.t1, ESY11_g54414_DN1_SP0_c0.t1
OG0000097	AL5G25560	ESY5_g2179_DN2_SP0_c0.t1, ESY4_g23717_DN1_SP0_c0.t1, ESY10_g15554_DN1_SP0_c0.t1
OG0000098	nbis-gene-805	ESY7_g16092_DN2_SP0_c0.t1, ESY7_g16160_DN2_SP0_c0.t1, ESY6_g50064_DN2_SP0_c0.t1, ESY5_g5060_DN3_SP0_c0.t1
OG0000098	AL2G26330	ESY11_g53834_DN2_SP0_c0.t1
OG0000098	nbis-gene-844	ESY8_g58377_DN1_SP0_c0.t1, ESY8_g58376_DN2_SP0_c0.t1, ESY16_g62256_DN3_SP0_c0.t1, ESY8_g58375_DN1_SP0_c0.t1
OG0000098	AL1G41020, AL1G41000, AL1G41010, AL1G40990	ESY9_g43933_DN2_SP0_c0.t1, ESY1_g10333_DN2_SP0_c0.t1, ESY7_g17569_DN3_SP0_c0.t1
OG0000098	AL4G14150	ESY11_g53833_DN2_SP0_c0.t1
OG0000100	AL2G11210, AL2G11240, AL1G66260, AL1G66350, AL2G16740, AL7G51590, AL2G11390, AL2G11380, AL2G11220, AL2G14410, AL1G66330, AL3G49580, AL1G65640, AL2G11260, AL2G11200	ESY1_g11939_DN1_SP0_c0.t1
OG0000101	AL26U10050, AL3G41030, AL6G10700, AL1G60890	ESY13_g57677_DN1_SP0_c0.t1
OG0000102	AL6G49150	ESY7_g16540_DN3_SP0_c0.t1, ESY7_g16444_DN3_SP0_c0.t1, ESY7_g16443_DN3_SP0_c0.t1
OG0000102	AL6G49090, AL320U10020	ESY7_g16539_DN1_SP0_c0.t1, ESY7_g16475_DN3_SP0_c0.t1, ESY7_g16538_DN2_SP0_c0.t1, ESY6_g49637_DN2_SP0_c0.t1
OG0000102	AL9U10550, AL9U10540	ESY7_g16536_DN3_SP0_c0.t1
OG0000105	nbis-gene-1539	ESY3_g32007_DN1_SP0_c0.t1, ESY7_g17046_DN1_SP0_c0.t1
OG0000107	AL8G20150, AL7G40290, AL3G33810, AL3G33780, AL3G33770, AL3G33760, AL3G34900, AL3G33830, AL3G42780, nbis-gene-1853, AL3G33790, AL3G33800	ESY4_g23035_DN3_SP0_c29.t1
OG0000109	AL1G47060, AL4G15980	ESY9_g44457_DN2_SP0_c0.t1
OG0000109	AL2G19590, AL6G46480, AL7G48370, AL4G13100, AL5G17500, AL8G26200, AL3G45860, AL1G49480, AL3G47220, AL5G17870, AL8G24560, AL7G45510, AL6G38840, AL6G52460, AL6G40590, AL1G47050, AL2G22030, AL8G22080, AL2G35490, AL5G20740, AL1G54140, AL2G22170, AL3G44280, AL7G53070, AL5G17840, AL7G34330, AL8G17600, AL170U10010, AL3G46660, AL8G20850, AL4G12360, AL5G10400, AL3G43610, AL4G17930, AL5G17970, AL9U10780	ESY26_g42254_DN3_SP0_c0.t1, ESY15_g65580_DN3_SP0_c0.t1
OG0000110	AL1G55630, AL7G11640, AL1G50710, AL4G20710, AL6G41920, AL8G21920, AL9U11500, AL2G19920, AL2G22250, AL5G12710	ESY6_g47757_DN3_SP0_c0.t1, ESY22_g40729_DN3_SP0_c0.t1
OG0000111	AL6G41670, AL6G41680	ESY20_g12840_DN2_SP0_c0.t1, ESY8_g60792_DN2_SP0_c0.t1
OG0000111	AL5G32600	ESY1_g10823_DN3_SP0_c0.t1
OG0000114	AL2G19090, AL2G20370, AL1G46930, AL8G13990, AL5G18470, AL5G18060, AL3G42080, AL4G18650, AL3G44910, nbis-gene-1272, nbis-gene-1271, AL1G50940	ESY1_g8019_DN3_SP0_c0.t1, ESY1_g9122_DN3_SP0_c0.t1, ESY3_g29866_DN2_SP0_c0.t1, ESY1_g6559_DN2_SP0_c10.t1, ESY1_g8020_DN3_SP0_c0.t1, ESY12_g51930_DN3_SP0_c0.t1, ESY1_g11590_DN2_SP0_c0.t1, ESY2_g38712_DN2_SP0_c0.t1
OG0000116	AL1G35450, nbis-gene-1953	ESY13_g57384_DN2_SP0_c0.t1, ESY9_g43004_DN2_SP0_c0.t1
OG0000116	AL1G39460	ESY2_g38543_DN3_SP0_c0.t1, ESY17_g39177_DN3_SP0_c0.t1
OG0000116	AL614U10020	ESY11_g52731_DN3_SP0_c0.t1, ESY21_g55783_DN3_SP0_c0.t1, ESY17_g39178_DN3_SP0_c0.t1, ESY17_g40097_DN3_SP0_c0.t1, ESY3_g28062_DN3_SP0_c0.t1
OG0000116	AL6G43140	ESY6_g46511_DN2_SP0_c13.t1, ESY8_g59869_DN2_SP0_c0.t1
OG0000117	AL1G37420	ESY11_g54277_DN1_SP0_c0.t1
OG0000117	AL1G37270, AL1G37280	ESY5_g2024_DN3_SP0_c0.t1
OG0000117	AL1G37330, AL1G37340	ESY5_g2017_DN3_SP0_c0.t1, ESY5_g2014_DN3_SP0_c0.t1, ESY5_g5207_DN3_SP0_c0.t1, ESY5_g5208_DN3_SP0_c0.t1, ESY5_g5162_DN3_SP0_c0.t1
OG0000118	AL2G23590, AL2G23540, AL2G23600, AL6G44790	ESY3_g32358_DN3_SP0_c0.t1
OG0000118	nbis-gene-757, AL3G37210	ESY5_g4943_DN1_SP0_c0.t1, ESY5_g4942_DN3_SP0_c0.t1, ESY11_g54074_DN3_SP0_c0.t1
OG0000119	AL5G25370	ESY1_g12226_DN2_SP0_c73.t1, ESY3_g32436_DN2_SP0_c0.t1
OG0000119	AL5G24170	ESY1_g9438_DN3_SP0_c57.t1, ESY4_g24785_DN3_SP0_c0.t1
OG0000122	AL8G32120, nbis-gene-2149	ESY3_g30973_DN3_SP0_c0.t1, ESY10_g14968_DN3_SP0_c0.t1, ESY20_g12804_DN3_SP0_c0.t1
OG0000122	AL8G32110	ESY6_g48225_DN3_SP0_c0.t1, ESY5_g1857_DN3_SP0_c0.t1
OG0000122	AL8G31960	ESY6_g48203_DN3_SP0_c0.t1, ESY2_g33718_DN3_SP0_c0.t1
OG0000123	AL8G25360, nbis-gene-2004, AL4G19230, nbis-gene-1177, nbis-gene-1178, nbis-gene-2005, nbis-gene-64, nbis-gene-1017, AL8G37620	ESY1_g10062_DN3_SP0_c100.t1, ESY1_g10061_DN3_SP0_c100.t1, ESY6_g49574_DN2_SP0_c100.t1
OG0000125	AL1G55940	ESY2_g37202_DN3_SP0_c14.t1
OG0000127	AL1G18070	ESY5_g4488_DN3_SP0_c0.t1
OG0000127	AL6G34020	ESY6_g48978_DN3_SP0_c0.t1, ESY6_g48979_DN3_SP0_c0.t1
OG0000127	AL6G11840, AL3G20660	ESY1_g11079_DN3_SP0_c0.t1
OG0000127	AL189U10030, AL8G36480, AL5G24690	ESY6_g48851_DN3_SP0_c0.t1
OG0000127	AL4G23250	ESY8_g58880_DN2_SP0_c0.t1
OG0000128	AL5G41150, AL8G16450, AL5G41120, AL5G41130, AL5G16810, AL164U10020, AL5G41080, AL5G41090, AL2G18450, AL7G42310, AL5G41050	ESY1_g11245_DN1_SP0_c0.t1
OG0000129	AL2G19870	ESY2_g34340_DN2_SP0_c0.t1, ESY7_g18677_DN3_SP0_c0.t1, ESY9_g43047_DN3_SP0_c0.t1, ESY9_g43049_DN3_SP0_c0.t1
OG0000129	AL2G20130	ESY2_g34369_DN3_SP0_c0.t1
OG0000129	AL1G60690, AL8G38710, AL8G38700, AL4G22760, AL4G22720, AL8G25830	ESY6_g49428_DN3_SP0_c0.t1
OG0000129	AL2G19840	ESY2_g34341_DN3_SP0_c0.t1
OG0000130	nbis-gene-1897, AL6G41390, AL3G51120, AL7G52490, AL8G32360, AL1G41300, AL3G31830, nbis-gene-1516, nbis-gene-2162	ESY1_g9827_DN1_SP0_c0.t1
OG0000130	AL3G43990, AL3G23800, nbis-gene-2009	ESY23_g219_DN2_SP0_c0.t1
