Orthogroup	Arabidopsis_lyrata_Rawat	Alyssum_gmelinii
OG0000069	AL1G10300, nbis-gene-18	Ag048G4643600
OG0000069	AL8G26350	Ag031G3335200, Ag031G3335500, Ag031G3335400
OG0000070	AL1G20940, AL3G47920, AL5G12840, AL5G12830	Ag039G4215000
OG0000070	AL4G11370, AL1G32980, AL2G24470	Ag034G3976800
OG0000070	AL2G35960	Ag048G4685000
OG0000070	AL5G42190	Ag025G2960200, Ag025G2959800, Ag025G2962600, Ag025G2962700, Ag025G2947000, Ag025G2946300, Ag025G2959700, Ag025G2959400, Ag025G2974100, Ag025G2973400, Ag025G2973600, Ag025G2946200, Ag025G2946900
OG0000072	AL8G19360, AL8G19010, AL6G44140, AL3G47230	Ag039G4320700
OG0000072	AL8G11190	Ag002G0206800
OG0000075	AL7G11590	Ag011G1157100, Ag011G1157200, Ag011G1157900, Ag011G1158100, Ag011G1157500, Ag011G1157400, Ag011G1157700, Ag011G1157800, Ag011G1157600, Ag048G4682200, Ag011G1050300, Ag011G1158000
OG0000075	AL1G52760, AL1G52750, AL1G52780	Ag011G1133100, Ag022G2654400
OG0000075	AL7G11690	Ag011G1119800, Ag011G1120100, Ag011G1120000
OG0000076	AL7G10840	Ag011G1037000
OG0000076	AL3G53220	Ag031G3285200, Ag031G3285100, Ag031G3285000, Ag011G1144200, Ag011G1144100, Ag006G0793600, Ag011G1036500, Ag011G1036300, Ag006G0792700, Ag034G3899200, Ag034G3899100
OG0000076	AL8G13050	Ag013G1400700
OG0000077	AL8G13900, AL8G13920	Ag033G3566700
OG0000077	AL5G12960	Ag034G3937600, Ag034G3937000, Ag001G0019700, Ag025G2944900
OG0000077	AL2G15700	Ag002G0173900
OG0000078	AL3G13680	Ag014G1810600
OG0000078	AL3G13710	Ag014G1809300, Ag014G1810300
OG0000078	AL3G13720	Ag014G1810400
OG0000079	AL3G51940, AL1G57050, AL5G16890, AL1G58560, AL1G58670, AL4G20020, AL1G30000, AL5G27080, AL8G14210	Ag013G1457500, Ag048G4621400, Ag034G3932500, Ag057G4952600, Ag031G3220200, Ag096G5473600, Ag004G0591700, Ag013G1365900, Ag011G1219700, Ag013G1389800, Ag004G0767900, Ag066G5147300, Ag018G2444300, Ag022G2658800
OG0000081	AL1G31420, AL8G29100, AL8G26420, AL6G33330	Ag019G2512100, Ag066G5159500, Ag002G0249600, Ag043G4447600, Ag014G2017300
OG0000084	AL3G40390	Ag087G5426100
OG0000084	AL8G20470	Ag058G4994100, Ag004G0561600
OG0000086	nbis-gene-1913, AL7G53060	Ag039G4314100, Ag014G2067200, Ag014G2064700, Ag012G1307900, Ag014G2067300
OG0000086	AL7G49470	Ag025G2922800
OG0000086	AL2G24590, AL2G24600	Ag036G4084000
OG0000089	AL6G35120	Ag004G0519800
OG0000089	AL5G25960	Ag055G4906500, Ag004G0479400
OG0000089	AL4G24260	Ag013G1621300
OG0000089	AL6G23060	Ag013G1488000
OG0000089	AL8G15560	Ag016G2360800
OG0000089	AL7G33260	Ag033G3591100
OG0000089	AL4G30750	Ag023G2824600
OG0000089	AL2G35770	Ag048G4693300
OG0000091	AL6G32010	Ag004G0570300
OG0000091	AL5G26370	Ag014G2119500, Ag014G2119400, Ag014G2119100
OG0000095	AL4G18560	Ag016G2362700, Ag016G2305100, Ag024G2851600, Ag006G0800000, Ag016G2308200, Ag006G0799900
OG0000095	AL4G14530, AL4G18570, AL4G15550	Ag039G4205200
OG0000096	nbis-gene-1025, AL4G22680, AL4G22640, AL3G41350, AL3G41330, AL3G41320, AL3G41340, nbis-gene-1973	Ag002G0154900
OG0000096	AL3G32300	Ag044G4496300
OG0000096	AL3G22030	Ag002G0165500
OG0000098	AL3G44020, AL3G44030, AL3G43980, AL3G44060, nbis-gene-805	Ag011G1254000, Ag011G1253500
OG0000098	AL2G26330	Ag040G4345100
OG0000098	AL1G41020, AL1G41000, AL1G41010, AL1G40990	Ag004G0482500, Ag004G0482700, Ag014G2044400
OG0000099	AL4G17790, AL4G17810	Ag056G4934400
OG0000100	AL2G11210	Ag002G0106500
OG0000100	AL2G11380	Ag002G0112700, Ag063G5079400
OG0000101	AL26U10050, AL3G41030	Ag037G4126400, Ag017G2433300, Ag013G1679700
OG0000102	AL6G49150	Ag016G2365600
OG0000102	AL6G49120	Ag016G2365900, Ag016G2370500, Ag016G2369900
OG0000102	AL6G49140	Ag016G2370600
OG0000102	AL6G49050	Ag016G2392700, Ag016G2377000, Ag016G2370800
OG0000105	nbis-gene-1539	Ag048G4614100
OG0000106	AL6G40690	Ag014G1942900, Ag862G5518700, Ag001G0029000, Ag013G1729500, Ag034G3929600, Ag033G3563600, Ag006G0804600, Ag078G5342100, Ag006G0794900
OG0000107	AL3G33810	Ag014G2149500
OG0000107	AL3G33780	Ag014G2149100
OG0000107	AL3G34900, AL3G33830, AL3G42780, nbis-gene-1853	Ag014G2150100
OG0000107	AL3G33790	Ag014G2149200
OG0000108	AL5G34730	Ag031G3385800, Ag039G4307100
OG0000108	AL5G25390, AL8G35810	Ag004G0614200, Ag004G0644200
OG0000108	AL3G23740	Ag014G1944700
OG0000108	AL6G20220	Ag052G4856100, Ag013G1537900
OG0000108	AL1G56110	Ag014G2095200
OG0000108	AL4G40470, AL4G40460	Ag003G0396500
OG0000109	AL2G19590, AL6G46480, AL7G48370, AL4G13100, AL5G17500, AL8G26200, AL3G45860, AL1G49480, AL3G47220, AL5G17870, AL8G24560, AL7G45510, AL6G38840, AL6G52460, AL6G40590, AL1G47050, AL2G22030, AL8G22080, AL2G35490, AL5G20740, AL1G54140, AL2G22170, AL3G44280, AL7G53070, AL5G17840, AL7G34330, AL8G17600, AL170U10010, AL3G46660, AL8G20850, AL4G12360, AL5G10400, AL3G43610, AL4G17930, AL5G17970, AL9U10780	Ag029G3099600
OG0000115	AL7G53080	Ag032G3465800
OG0000117	AL1G37420	Ag019G2506600, Ag018G2460700
OG0000117	AL1G37400	Ag018G2454400, Ag018G2459300
OG0000117	AL1G37430	Ag018G2459400
OG0000117	AL1G37440	Ag088G5431700
OG0000117	AL1G37330, AL1G37340	Ag022G2713800, Ag018G2459500, Ag018G2459700, Ag078G5340800, Ag011G1218200, Ag033G3621900, Ag078G5340900
OG0000118	AL4G35640, AL4G35680, AL4G35660, AL4G35650, AL7G47920	Ag078G5395500, Ag034G4070400, Ag002G0250500
OG0000118	AL2G23590, AL2G23540, AL2G23600, AL6G44790	Ag072G5253200
OG0000119	AL5G25370	Ag048G4660700, Ag013G1597500
OG0000119	AL5G21720, AL5G21730	Ag019G2548800, Ag013G1361500
OG0000119	AL6G15230	Ag031G3224900
OG0000121	AL2G20140, AL8G14910	Ag039G4328200
OG0000122	AL8G31960	Ag011G1267200
OG0000125	AL1G17740	Ag034G3743800
OG0000125	AL1G55940	Ag001G0065100
OG0000125	AL1G59870	Ag001G0066100
OG0000127	AL1G18070	Ag034G3746600
OG0000127	AL6G34020	Ag004G0605400
OG0000127	AL189U10030, AL8G36480, AL5G24690, AL5G24750, AL4G23250	Ag013G1609800
OG0000128	AL8G16450	Ag031G3351100
OG0000128	AL5G41080	Ag031G3246800, Ag031G3247000, Ag031G3246900
OG0000128	AL5G41090	Ag031G3246700
OG0000128	AL2G18450, AL7G42310, AL5G41050	Ag031G3249200, Ag031G3249100, Ag031G3248800, Ag031G3351900, Ag031G3350800, Ag031G3350000, Ag031G3350700, Ag002G0204500, Ag031G3349900
OG0000129	AL2G19870	Ag013G1553100, Ag013G1550500, Ag013G1552900, Ag016G2401500, Ag013G1550300
OG0000130	AL3G43990	Ag074G5269900
OG0000132	AL8G40480	Ag004G0468600, Ag004G0468500
OG0000132	AL315U10010, AL7G51940, AL7G52020, AL7G52000	Ag039G4243000, Ag039G4243200, Ag039G4241900
OG0000134	AL6G21880	Ag013G1506600
OG0000137	AL8G30920	Ag004G0742000
OG0000137	AL8G30900	Ag004G0742300
OG0000137	AL8G30890	Ag004G0742500, Ag004G0742600
OG0000138	AL5G40800	Ag031G3253900
OG0000138	AL5G40760	Ag033G3506400, Ag078G5363200
OG0000138	AL5G40860	Ag031G3319900, Ag031G3319600, Ag031G3253400, Ag031G3253300, Ag003G0293800
OG0000138	AL5G40850	Ag031G3253700, Ag031G3403500
OG0000138	AL5G44820	Ag031G3182800
OG0000138	AL2G23440, AL5G45250, AL5G35200	Ag031G3182200, Ag031G3182000, Ag039G4256800
OG0000140	nbis-gene-927	Ag027G3064900
OG0000140	AL6G10840	Ag038G4173300, Ag022G2672800, Ag033G3478700
OG0000148	nbis-gene-1537	Ag013G1622400, Ag034G3735700
OG0000150	AL4G25960, AL4G15810	Ag002G0131000, Ag068G5224900, Ag025G2934900
OG0000151	AL5G36230	Ag031G3356400
OG0000151	AL5G36220	Ag031G3356700
OG0000151	AL4G36690	Ag039G4248200
OG0000151	AL5G36210	Ag031G3356800
OG0000151	AL5G34430	Ag031G3389200
OG0000151	AL4G33730	Ag039G4314300
OG0000151	AL6G24190	Ag013G1463800
OG0000152	AL1G65830	Ag048G4576400
OG0000153	AL4G23880	Ag013G1617600, Ag013G1618100
OG0000153	AL4G25560	Ag013G1616400
OG0000154	AL1G58520, AL6G29770, AL6G29780	Ag001G0045800
OG0000154	AL1G58510, AL1G66290, AL1G58490	Ag001G0045400, Ag001G0045500, Ag001G0045200, Ag001G0045100, Ag001G0045300, Ag001G0049100, Ag002G0262200
OG0000155	AL481U10020	Ag083G5410000, Ag013G1376100, Ag034G3868600, Ag022G2729400, Ag031G3154900, Ag013G1368700, Ag016G2361100, Ag067G5183100
OG0000157	AL1G44860	Ag013G1573100, Ag013G1573300, Ag013G1572900, Ag013G1573200, Ag013G1510300, Ag013G1510500, Ag013G1510800, Ag013G1510100, Ag013G1750400, Ag013G1750900, Ag013G1750300, Ag013G1751200, Ag013G1750800, Ag013G1744300, Ag007G0933400, Ag022G2711500, Ag022G2708900, Ag013G1473500
OG0000158	nbis-gene-1710, AL2G28170	Ag011G1191200
OG0000158	AL7G32560, AL7G30180, AL7G33450	Ag014G2168100, Ag027G3073200, Ag027G3072400
OG0000158	AL4G29520, AL4G12250, AL6G25220, AL6G46400, AL1G67080, AL7G42520	Ag014G1900800
OG0000160	AL3G52950	Ag042G4405700
OG0000160	AL7G22000	Ag068G5221600
OG0000160	AL8G33330	Ag004G0692900
OG0000160	AL2G40780	Ag048G4572800
OG0000161	AL1G16160, AL2G19110	Ag015G2193300, Ag055G4906800
OG0000162	AL8G17590	Ag013G1672500
OG0000162	nbis-gene-1198, AL6G22950, AL5G13340, nbis-gene-1199, AL5G13350, AL7G52550, AL7G52570	Ag011G1165200, Ag011G1165400, Ag011G1163300, Ag011G1163400, Ag011G1167300, Ag011G1167100, Ag011G1166900, Ag011G1222300
OG0000162	AL3G42400, AL3G42420	Ag014G2098100
OG0000162	AL4G28810, AL4G28800	Ag013G1672600
OG0000165	AL3G46810	Ag014G1928400
OG0000167	nbis-gene-744, AL3G35120, nbis-gene-789	Ag003G0383500, Ag003G0383700
OG0000169	AL9U10990	Ag031G3259300, Ag031G3259700, Ag031G3259400, Ag027G3044600, Ag013G1504100, Ag013G1503900
OG0000170	AL5G43250	Ag031G3214600
OG0000170	AL4G44730	Ag003G0320000
OG0000171	AL8G28000	Ag020G2575200
OG0000171	AL2G10770	Ag024G2869500
OG0000171	AL3G49460	Ag044G4495800
OG0000171	AL8G31780	Ag004G0721800
OG0000171	AL3G19690	Ag014G1883300
OG0000171	AL7G24680	Ag010G1018000
OG0000173	AL7G12140	Ag011G1059500
OG0000173	AL7G13810	Ag060G4997300, Ag060G4996700, Ag060G4997500, Ag060G4997700, Ag060G4996200, Ag060G4997100, Ag022G2648900, Ag022G2648400, Ag022G2648200, Ag067G5186700, Ag011G1085300
OG0000173	AL3G40190	Ag014G1845700, Ag014G1846300, Ag014G1846000
OG0000173	AL7G12760	Ag068G5224200, Ag068G5224000, Ag011G1085700
OG0000173	AL7G13600, AL7G12790	Ag033G3597600
OG0000174	AL5G24470, AL6G38890, AL3G40990, AL6G49470, AL2G19320, AL4G18060, AL1G56990	Ag064G5095900, Ag013G1514400, Ag004G0425200, Ag042G4401700, Ag072G5254600, Ag039G4257400, Ag014G1813500, Ag011G1172800
OG0000174	AL1G41050	Ag043G4452900
OG0000175	AL1G37260	Ag034G4063600
OG0000175	AL6G25440	Ag013G1441100
OG0000175	AL2G23510	Ag003G0294400
OG0000176	AL3G15890	Ag014G1823200, Ag014G1822800, Ag014G1822900, Ag014G1823300, Ag014G1822700
OG0000176	AL3G15860	Ag014G1833000
OG0000176	AL4G14280, AL57U10030	Ag014G1833200
OG0000177	AL1G34320, AL1G34330, AL1G34340, AL1G34270, AL1G34310	Ag034G3998900, Ag034G3998500, Ag034G3998600
OG0000177	AL1G34280	Ag004G0483700
OG0000178	AL6G47960	Ag066G5142800
OG0000178	AL6G47980	Ag016G2366900, Ag016G2366600
OG0000178	AL6G47970	Ag016G2366000, Ag016G2366700
OG0000178	AL6G48020, AL6G47990, AL1G49990	Ag066G5144100, Ag066G5143400
OG0000182	AL7G51710, AL5G39240, AL1G52920, AL5G39230, AL5G39260	Ag013G1406700
OG0000183	AL2G24200, AL7G46650	Ag061G5037800
OG0000183	AL5G38180	Ag031G3311200
OG0000183	AL6G32820, AL4G20560	Ag013G1588300
OG0000184	AL3G36200, AL3G36210	Ag027G3048100
OG0000184	nbis-gene-767	Ag027G3047200, Ag027G3046800
OG0000185	AL1G52850	Ag032G3424500, Ag032G3425100, Ag032G3424800, Ag034G4009900, Ag032G3424200, Ag029G3091400, Ag032G3424300, Ag029G3092200, Ag032G3424400, Ag029G3091800, Ag032G3424900, Ag032G3424600
OG0000185	AL1G37710, AL1G37720, AL1G37670, AL1G42110, AL1G41350	Ag032G3420100
OG0000186	AL2G14230	Ag039G4226500
OG0000187	AL4G24590, AL4G24560, AL4G24330, AL4G24610, AL4G24350, AL4G24620, AL4G24340, AL4G24320	Ag034G3783000
OG0000188	AL7G22270	Ag042G4412300
OG0000188	AL6G22480, AL6G22490, AL6G22600, AL3G14200	Ag063G5067000, Ag002G0125500, Ag014G1815800
OG0000188	AL3G14700	Ag014G1820500, Ag014G1820600, Ag011G1195700
OG0000188	AL3G14720, AL3G14710	Ag042G4428600, Ag042G4412400, Ag014G1989600
OG0000189	AL3G50830	Ag011G1112900
OG0000189	AL7G16200	Ag044G4495700
OG0000189	AL2G35850, AL1G32900	Ag048G4687900
OG0000193	AL1G53620, AL3G29460	Ag014G2033900
