Orthogroup	Arabidopsis_lyrata_Rawat	Cochlearia_excelsa
OG0000004	AL1G57270	g3356, g49005, g48658, g4299, g19817, g52410
OG0000004	AL8G19530	g42564
OG0000004	AL70U10050	g15980, g52602, g15019
OG0000004	AL4G11460	g32855
OG0000004	AL6G45170	g15895, g33141, g34291, g3426, g6262
OG0000004	AL1G65200	g53542
OG0000005	AL4G12740	g14824, g15574, g43589, g4576, g20561, g20558
OG0000005	AL1G36970	g39267
OG0000005	AL8G18430	g41974, g49126, g35025, g4314, g3006, g14436, g25221, g43590, g6104, g22734, g24732, g6791
OG0000005	AL7G13490	g3007
OG0000005	AL97U10030, AL8G11290	g52866, g10483, g26067, g34544, g15875, g33596, g14065, g35068, g53526, g19913, g53525, g15922, g34539, g43208, g6103, g1720, g25223, g41973
OG0000005	AL4G38100	g16692, g43737, g50218, g54200
OG0000005	AL6G48210, AL2G19230	g36376, g3918, g46047, g53689
OG0000005	AL2G18790	g21085, g8878, g21778, g22562, g21750, g53237, g33681, g48434, g38758, g15439, g48097, g30184, g21769, g38943, g38685, g15405, g21658, g21626, g15483, g9357, g8861, g22053, g42458, g42535, g48454, g20472, g21554, g16181, g20634, g3529
OG0000005	AL7G43820, AL7G43690	g22475, g21100, g15220
OG0000005	AL8G29360	g21595, g21712
OG0000005	AL3G54340	g15274, g3525, g33153, g15339, g49854, g21989, g20095, g15381
OG0000005	AL3G45600	g17328, g35826
OG0000005	AL1G65770	g35008, g30488, g34187, g20543, g52364, g36810
OG0000005	AL3G44970	g20023, g9605, g38749, g30982, g52986, g15294, g38775, g42420, g20721, g39054, g25312, g15593, g33983, g20377, g9593, g42395, g34569, g22532, g39129, g8465, g21266, g22559, g42483, g48250, g20618, g15722, g33484, g7968, g53646, g21207, g38606, g24932, g6068, g49093, g4528, g9435, g21333, g20416, g38961, g15299, g9433
OG0000007	AL9U10810, AL8G24640	g4635
OG0000007	AL4G24120	g9677
OG0000007	AL5G15300	g4033, g40546, g42738, g47006, g45886, g50470
OG0000008	AL8G22780	g35255, g34273, g25872
OG0000008	AL8G21520, AL3G44870, AL6G46960, AL2G19610, AL5G20410, AL4G18090, AL1G45690, AL3G40710, AL5G24310, AL2G22310, AL4G13380, AL3G52160	g29630, g27680, g4391, g43762, g33124
OG0000008	AL877U10020, AL6G44830	g25873
OG0000009	AL251U10020, AL3G32130	g1267, g50707, g54239, g22012, g2983, g47996, g6090, g43671, g9847, g53582
OG0000009	AL8G14080	g44250
OG0000009	AL6G10570	g2982
OG0000009	AL8G42570	g35969
OG0000009	AL2G12600	g43889, g48006
OG0000009	AL4G10690	g23664
OG0000009	AL3G38620, AL3G49760, AL4G40870, AL5G22670, AL1G55360	g42166
OG0000009	AL8G14160	g38135, g4, g54233, g32288, g9848, g3832, g54192, g31394, g30358, g44061, g36068, g44251
OG0000009	AL7G37950	g39670, g22668, g25460, g181, g49313
OG0000009	AL2G39630	g11275, g53238, g41488, g4401, g4394, g44957
OG0000009	AL1G62100	g23979, g28647, g29131, g1512
OG0000011	AL6G32670	g6794, g51199, g2482, g2714, g11450, g46138, g50714
OG0000011	AL8G22980	g16592, g1020
OG0000011	AL7G52850	g48, g50936
OG0000011	AL1G17050	g24216, g17795
OG0000011	AL2G26450	g16517, g46209, g52302, g50725, g9756, g40322, g40680, g46208, g46628, g28265, g45606, g286, g36844, g27603
OG0000011	AL8G24370	g450, g26627, g32634
OG0000011	AL2G23260	g24975
OG0000014	AL4G20510	g21528, g48055, g34423, g3243
OG0000014	AL8G19810, AL2G20440	g3040, g14220, g34324, g32793, g24981, g53174
OG0000014	AL9U11460	g52403, g16010, g15648, g3344, g15533, g22676, g53459, g25144, g49032, g52662, g35616, g50919, g33646, g12078, g52545, g35669, g14831, g24737, g46898, g25054, g45988, g53995, g27320, g24931, g24782, g1434, g42927, g51017, g13624, g47253, g45228, g14612, g43201, g43093, g53227, g6177, g4257, g35984, g2095, g18595, g15004, g12644, g53953, g25610, g41826, g14315, g1435, g44036, g3444, g18386, g3924, g43038, g24783, g17330, g10083, g17957, g20318, g43877, g52305, g16685, g26742, g25224, g30068, g14080, g18103, g11525, g41336, g53461, g3729, g3878, g27931, g21347, g33516, g21561, g43841, g4698, g24841, g19968, g35457, g4281, g36237, g44064, g30053, g15860, g25878, g50939, g3050, g24630, g27919, g25736, g49808, g40898, g44711, g46753, g17634, g18274, g13740, g37170, g42723, g50987, g11187, g34943, g32917, g16004, g14815, g35744, g35846, g14356, g16078, g16306, g53882, g35355, g4138, g22487, g22288, g42653, g21439, g21148, g30713, g42688, g52575, g35661, g1379, g18846, g18000, g50963, g6129, g24133, g5069, g47267, g30755, g43741, g37171, g21529, g19673, g30054, g35755, g41485, g35087, g18651, g52427, g4943, g26611
OG0000014	AL8G23060	g36351, g14316, g41825, g44037, g25611, g18847, g24842, g45989, g27951, g4696, g41767, g15819, g19859, g30542, g32573, g14586, g26651, g3784, g17508, g35072, g19854, g17344, g52328, g4565, g8823
OG0000015	AL1G65620	g36777, g35814, g10206, g17194, g42100
OG0000015	AL5G11190	g16594, g16764, g25817, g36021, g36346
OG0000015	AL25U10010, AL6G22310, AL7G26200	g35711, g1865, g12584, g7633, g12284, g26669, g5447, g48096, g4042, g4014, g39164, g21912, g30179, g14948, g12283, g35471, g16154, g26107, g17276, g2986, g25292, g34684, g35217, g7329, g39702
OG0000015	AL8G27740, AL429U10010, AL792U10020, AL1G20970	g53814, g952, g32985, g12170, g24863, g14880
OG0000015	AL8G24680, AL1G15850	g26256, g5557, g43592, g35813, g36776
OG0000015	AL2G24310	g43580, g47633, g11559, g47481, g16302, g12630, g40592, g47122
OG0000015	AL1G29330, AL6G27260	g6105, g38798, g8683, g11560
OG0000016	AL2G23610	g26414, g33049, g43980, g16018, g33075, g33082, g6383, g33103, g41983, g4182, g14664
OG0000016	AL5G12380, AL5G12270	g20467, g34722, g30434, g30429, g21277, g25157
OG0000020	AL189U10010, AL189U10020, AL3G44820, AL7G51100	g32689, g14805
OG0000020	AL5G20560	g3669
OG0000020	AL6G44340, AL6G44350, AL1G18490, AL5G20700, AL4G18270, AL4G19490, AL5G11530, AL6G46630, AL7G16690, AL7G11240, AL4G42290	g4186
OG0000020	AL4G19770	g41994
OG0000021	AL6G42400, AL3G43480, AL5G24330, AL3G37170, AL6G47300, AL5G41490, AL3G52170, AL2G40700, AL8G33160, AL4G18100, AL8G23170, AL4G13400	g43760, g4386, g34956, g53077, g43442, g33130, g45148, g29629, g14568, g25751, g49590, g27681, g2213, g37069, g2331
OG0000021	AL7G47350, AL7G51150	g33125, g14567, g25750, g33471
OG0000022	AL6G27650	g5030
OG0000022	AL2G12470, AL2G13120	g40889
OG0000022	AL2G13070	g40888
OG0000022	AL2G10190	g40751
OG0000022	AL2G10200	g40752
OG0000022	AL7G48260, AL3G29640	g13269
OG0000023	AL4G20380	g15076
OG0000023	AL7G45280, AL8G19630	g42233, g26587
OG0000023	AL1G65660	g42217
OG0000023	AL2G18620	g52731, g52732
OG0000023	AL7G44260	g53561, g9298
OG0000023	AL5G21700, AL7G45880	g15121, g32788, g15663, g15066, g14800
OG0000023	AL1G51090, AL1G55700, AL5G28690, AL7G32690, AL3G37740	g3441
OG0000023	AL2G19210	g3443, g34449, g34444
OG0000023	AL2G22450	g34729
OG0000024	AL4G16470	g43450
OG0000024	AL5G38280, AL5G39160, AL5G39170, AL5G23680	g2269
OG0000024	AL1G45210	g28294
OG0000025	AL6G41860	g17280, g46637, g25246, g50791
OG0000025	AL460U10010	g14806, g32688
OG0000027	AL6G45970	g25723
OG0000027	AL6G46000	g25717, g25713, g48941, g48949
OG0000027	AL1G66280	g40374
OG0000030	AL1G39630, AL1G35700, AL1G40180, AL1G40160, AL1G40170, AL3G27510	g38367, g38376, g38372, g38380
OG0000030	AL5G29320, AL5G29310, AL5G29340	g13799, g13797
OG0000030	AL2G23050	g13193, g13194
OG0000030	AL1G21870	g44631
OG0000031	AL3G43240, AL2G29770, AL1G56200, AL1G41870, AL5G21210	g39351, g7244, g17718, g41293
OG0000032	AL4G17980	g15953, g5354, g4129, g3254, g35284
OG0000032	AL8G28430	g4751, g15963, g26227, g35298, g34338, g27173, g8228, g4384, g32773, g27855, g31991, g16029, g32780, g16316, g32772, g4383, g14852, g3939, g41695, g1941, g27176, g14853, g35021, g16600, g4006
OG0000034	AL7G30290	g23911
OG0000034	AL7G32680, AL7G32670	g24014
OG0000034	AL7G30310	g23912
OG0000035	AL1G64690	g42055
OG0000038	AL7G52690	g52808, g4079
OG0000038	AL3G42270, AL1G47700, AL6G40850, AL2G24190, AL2G32540, AL3G37700, AL7G41350	g45065
OG0000038	AL6G51820, AL6G35520, AL1G48000	g646, g17068, g32641, g23586
OG0000038	AL4G27640	g32660, g28845, g7031, g2312
OG0000038	AL4G12180, AL2G24020, AL5G19730, AL2G18440	g28846, g47102
OG0000038	AL2G20150	g25615, g24420, g4774, g23626, g25696, g39882, g12326, g11412, g40957, g32434
OG0000038	AL1G38790	g28612, g6446
OG0000038	AL3G17400	g6725, g47748, g41947
OG0000038	AL3G48900, AL9U10400	g17792, g36174, g23490, g16728, g27674, g23073, g13751, g22731, g33053, g2447, g33047, g45986, g32349
OG0000038	AL7G34140, AL7G50840, AL5G16610, AL8G26890, AL8G33470, AL6G34380	g28998
OG0000038	AL7G52520	g22798
OG0000038	AL6G30230, AL3G51220	g37935
OG0000040	AL2G11290, AL3G43050	g49152
OG0000040	AL1G59470, AL5G30010	g32821, g17388
OG0000040	AL1G40050	g26735
OG0000041	AL3G47420	g6205
OG0000041	AL1G48060	g19447
OG0000041	AL1G24610, AL5G28630, AL1G18250	g37529, g2399, g11002, g36193, g23611
OG0000041	AL6G32660	g45305, g17752, g35246, g25631, g52028
OG0000041	AL6G28140, AL2G16540	g44112, g376, g47861, g12095, g19466, g36505, g6602, g22934, g32343, g7174, g919, g27324, g24163, g3137, g46399, g49352, g50524, g46729, g28511, g1087, g47181, g54100, g829
OG0000041	AL6G37950	g18721, g29231, g45388, g14428, g28413, g13757, g46775, g3861, g44857, g32168, g43896, g24458, g6376, g12068, g19448, g4749, g6871, g36846, g47037, g23483, g11656, g27986, g5166, g12226, g50226, g46640, g41551, g45877, g11828
OG0000041	AL4G11230	g12227
OG0000041	AL6G41090	g45435
OG0000041	AL1G48490	g7668, g53419, g39804, g44227
OG0000041	AL3G47410	g49353, g43914, g11652
OG0000041	nbis-gene-1560	g26642
OG0000042	AL1G54660	g8825, g41465, g35926, g44522, g52187, g7355, g38829, g20859, g48552, g53555, g47921, g40103, g31187, g8527, g6175, g31170
OG0000042	AL3G44120, AL9U11580, AL2G38670, AL103U10010, AL8G23430, AL4G17850	g44909, g43791
OG0000042	AL8G14180, AL1G42210	g40104, g13786, g31186, g8826, g30544
OG0000043	AL4G22400	g32581, g25935, g6093
OG0000043	AL3G52960	g50828
OG0000043	AL3G46620	g38190
OG0000043	AL5G24790	g50147, g54117
OG0000043	AL1G50770	g53495, g823, g9695, g7844, g12264
OG0000043	AL5G13730	g16363, g43554
OG0000043	AL5G16300	g16434
OG0000043	AL8G34940	g34290, g36380, g26266
OG0000043	AL1G48950, AL5G15500	g6284, g36271, g16303, g14499, g52886, g31367, g38501, g7845, g6015, g50701
OG0000043	AL7G45030	g45898, g27089, g2884, g36624, g31230
OG0000043	AL983U10010	g25655, g25290, g45657
OG0000043	AL8G31450, AL236U10040	g53399, g13162, g50196, g46746, g14780
OG0000043	AL2G30330	g23535, g12602, g6014, g44990
OG0000043	AL4G18980	g52052, g38502, g20449
OG0000043	AL1G50370	g13019, g18797
OG0000043	AL8G19930	g41214, g17678
OG0000044	AL8G18480	g10944
OG0000044	AL8G11840, AL8G11900	g18482
OG0000044	AL3G20910, AL2G19370, AL8G18470, AL7G37760	g28154
OG0000046	AL4G10770	g3382, g2931
OG0000046	AL4G20190, AL3G44690, AL6G40760	g26196, g11589
OG0000048	AL2G14000, AL2G14020	g29294, g52069, g52073, g52064
OG0000049	AL3G43320	g28165, g5623, g29089
OG0000049	AL4G20550	g7125, g42059, g19431, g24864, g39276, g51171, g7126
OG0000049	AL6G28120, AL3G49490	g20917, g29939, g20308, g28559, g25198, g14254, g2520
OG0000049	AL6G39930	g19076, g35468, g5625
OG0000049	AL5G16120, AL5G16140	g10538
OG0000049	AL1G54600, AL7G49500, AL2G19430	g25569
OG0000049	AL6G41720, AL8G13730	g2899
OG0000049	AL5G26070	g53518, g52242, g24468, g36593, g41271, g17503, g18187, g32897, g36595, g17180
OG0000049	AL53U10030	g39408
OG0000049	AL1G56420, AL5G15730, AL1G55420	g10090
OG0000049	AL1G21830	g14278, g52663, g38089, g54294
OG0000049	AL27U10010	g50424, g6550, g19935, g291, g27200, g12230
OG0000049	AL3G45700	g54168
OG0000049	AL1G47310	g7127
OG0000050	AL1G24220	g32289
OG0000050	AL4G27890	g19665
OG0000052	AL5G15910	g1602, g3195
OG0000052	AL5G31970	g2410
OG0000054	AL5G20230	g30442, g52428
OG0000054	AL2G17290	g14381, g4607, g48037, g52357, g16667
OG0000055	nbis-gene-725, AL3G41130	g27361
OG0000055	AL3G30730, AL3G30470	g700
OG0000055	AL4G21820, AL6G52510	g50182, g50184, g50186
OG0000056	AL2G14050	g40991, g44205
OG0000056	AL5G26170	g44206, g40901
OG0000058	AL5G26550, AL920U10010	g3196
OG0000060	AL1G18100, AL781U10020, AL4G23280, AL5G25220, AL5G34700, AL8G36210, AL5G24600, AL8G36540, AL1G17860	g37221, g2918, g28784, g49595, g27015, g1296, g28756, g31080, g39226, g51647
OG0000061	AL7G44920	g23668
OG0000061	AL7G25770	g13471
OG0000061	AL4G24650	g50013
OG0000063	AL5G31380	g42271
OG0000063	AL60U10040	g19531, g26056, g44457, g37180
OG0000063	AL6G44310	g14674, g14670, g3225, g25089, g23755, g37179
OG0000063	AL3G53440	g45814
OG0000063	AL236U10030	g2810
OG0000063	AL2G36550	g53169, g14689, g12637, g17169, g30940, g52993, g53005, g39776, g7327, g45038
OG0000063	AL169U10010	g3107
OG0000063	AL7G44340	g18404, g25742, g50268, g46262, g45401, g3397, g46693
OG0000063	AL7G43200	g52815, g32214, g16019, g49776
OG0000063	AL1G44840	g34414, g40702
OG0000063	AL6G34160	g19357
OG0000063	AL7G22190	g2701, g43502, g42120, g25862
OG0000065	AL2G25320, AL2G25210	g18042
OG0000065	AL7G51420	g46717
OG0000066	AL6G20900	g31166, g49660, g5416, g9719
OG0000066	AL6G20890	g29501, g45535
OG0000066	AL7G12340, AL6G21580, AL7G12350	g5393
OG0000067	AL5G32340	g51242, g33370, g49161, g33482, g53764, g27953, g24768, g45363, g3853, g51127, g41217, g37480, g4319, g10848, g26115, g14016, g28468, g43700, g18660, g44830, g11964, g42772, g51326, g11374
OG0000068	AL6G15310, AL6G14890, AL3G20260, AL3G20250, AL3G20240, AL1G25630, AL1G48230, AL3G11550, AL8G28020, AL8G27750, AL6G12890, AL3G38420, AL6G12880, AL6G12910, AL6G12860, AL5G24850, AL6G12550, AL6G18740	g27956, g25385, g25390, g46783
OG0000069	AL3G40410, AL8G35170, AL5G45620	g13531
OG0000069	AL1G10300, nbis-gene-18	g34297
OG0000069	AL5G36780	g39973
OG0000070	AL1G20940, AL3G47920, AL5G12840, AL5G12830	g10675
OG0000070	AL4G11370, AL1G32980, AL2G24470	g50123
OG0000070	AL2G35960	g46242
OG0000070	AL8G19640	g44417
OG0000073	nbis-gene-12	g7180, g13794
OG0000074	AL8G11830	g1489
OG0000075	AL8G23920	g1450
OG0000075	nbis-gene-1691	g25975, g22716
OG0000077	AL8G13900, AL8G13920	g18408
OG0000077	AL2G18750, AL5G12960, AL5G12970, AL5G12940	g1538, g1535
OG0000077	AL2G15700	g44008, g44007, g44009
OG0000078	AL3G13680, AL3G13710, AL3G13720	g4945
OG0000078	AL6G29220, AL6G29120	g4940, g4946, g29028, g29029
OG0000079	AL3G51940, AL1G57050, AL5G16890, AL1G58560, AL1G58670, AL4G20020, AL1G30000, AL5G27080, AL8G14210	g53126
OG0000081	AL2G21910	g45295, g49162, g32135, g50796, g11094, g25177
OG0000081	AL1G31420, AL8G29100, AL8G26420, AL6G33330	g33350, g4665
OG0000083	AL9U10620	g41345
OG0000083	AL6G26020	g188, g44332
OG0000083	AL3G43160	g11012, g10577, g10469, g41776, g400, g35186, g10139, g6497
OG0000083	AL645U10010	g28232, g45392, g2408
OG0000083	AL5G31070	g135
OG0000083	AL2G11510	g35239, g42930, g6323
OG0000083	AL6G37350, AL6G45940, AL1G47930, AL4G15250, AL4G15260	g26027, g52571, g17747, g25833, g42932, g6324
OG0000084	AL3G40390	g25746, g4175, g24845, g45402, g3396, g51983, g46692, g16507
OG0000084	AL347U10020	g53168
OG0000084	AL6G44320	g32908
OG0000086	AL7G53090	g14687
OG0000086	nbis-gene-1912	g25067, g25040
OG0000086	AL7G49470	g22657, g15074
OG0000089	AL6G35120	g9991
OG0000089	AL8G39670	g339, g2817, g9845
OG0000089	AL6G23060	g5316
OG0000089	AL8G15560	g11055, g40485
OG0000089	AL7G33260	g24042
OG0000089	AL1G32740, AL2G35770	g46232
OG0000091	AL5G26810	g46886
OG0000091	AL6G32010	g28934, g28933
OG0000092	AL3G43310	g32983
OG0000092	AL3G40330	g50635, g37373, g41537, g52822, g25282
OG0000092	AL8G24810	g26535
OG0000095	AL4G18500, AL4G15500, AL4G18540, AL4G18560, AL4G18550, nbis-gene-1001, AL4G15620, AL4G15530, nbis-gene-975, nbis-gene-1002, AL4G15600, AL4G14530, AL4G18570, AL4G15550, AL4G18510, AL4G15660, AL4G14510, AL4G14520	g51024
OG0000096	AL3G41350, AL3G41330, AL3G41320, AL3G41340	g6393
OG0000096	AL3G31590	g49764
OG0000097	AL5G25560	g42819
OG0000098	nbis-gene-805	g11756
OG0000100	AL2G11380	g40795
OG0000100	AL2G11200	g13563
OG0000101	AL26U10050, AL3G41030	g36823, g16178, g8998, g29945, g30548, g38806, g8608, g26310, g9084, g48831, g29967, g8634, g9122, g30668, g30701, g13421, g43704, g4261, g4265, g27334, g26222, g26225, g35797, g4324, g3304, g41853, g48266, g6083, g12208, g35531, g53490, g35534, g11876, g17776, g52104, g1671, g31822, g37851, g37850, g28202, g42101, g45349, g35511, g17818
OG0000101	AL6G10700	g13419
OG0000101	AL1G60890	g10196, g13591, g29817
OG0000102	AL6G49090, AL320U10020	g40477, g40479, g40476, g40480, g1561
OG0000102	AL6G49050	g45186
OG0000103	AL5G15430	g52896, g26137, g52968, g16605
OG0000103	AL8G17400, AL1G30370, AL8G10040, AL265U10010	g4502, g33381, g30245, g53429, g35312, g35871, g24384, g11713, g11490, g627, g53857, g677, g11792, g4065, g18812, g4974, g1724, g36868, g22947, g53385, g35585, g53961, g25074, g41391, g174, g51854, g35452, g53324, g53804, g33380, g34405, g16452, g32834, g53191, g30244, g22182, g41865, g14562, g53428, g28957
OG0000103	AL2G18280, AL6G36380	g52805
OG0000106	AL6G40690	g36881, g4591, g47125, g36375, g27012
OG0000107	AL3G33810	g6757
OG0000107	AL3G33780	g11936
OG0000108	AL4G34190, AL4G34130, AL5G34730	g37225, g38077, g2333, g51658
OG0000108	AL6G20220	g29544, g45521, g5448
OG0000108	AL3G32160, AL1G56110	g13323
OG0000108	AL4G40470, AL4G40460	g11989
OG0000111	AL5G32600	g14348, g14347, g14394, g45247, g45220, g37032, g50081
OG0000111	AL5G34240, AL3G50380	g11628, g45028, g45096, g45031, g36890, g45092, g45097, g11625, g45033, g17566, g17551, g17567, g17750, g24578
OG0000114	AL2G19090, AL2G20370, AL1G46930, AL8G13990, AL5G18470, AL5G18060, AL3G42080, AL4G18650, AL3G44910, nbis-gene-1272, nbis-gene-1271, AL1G50940	g50797, g32639, g15993, g24938, g6351, g14468, g28182, g27531
OG0000114	AL6G40550	g15992
OG0000115	AL7G53080	g5236, g5604, g16651, g17473, g31783, g22741, g3371
OG0000115	AL6G51530	g53276
OG0000116	nbis-gene-997, AL1G35450, nbis-gene-1953, AL1G39460	g27853
OG0000116	AL614U10020	g26228
OG0000116	nbis-gene-1246	g37724, g5356, g4750, g32775, g32782, g18438
OG0000116	AL6G43140	g43452
OG0000117	AL1G37420	g27550, g27549
OG0000117	AL1G37350	g50301
OG0000118	AL4G35640, AL4G35680, AL4G35660, AL4G35650, AL7G47920	g35294, g50762, g6146, g12640
OG0000118	AL685U10010, nbis-gene-652, AL3G38540, AL3G38550	g12809
OG0000121	AL2G20140	g32974
OG0000121	AL8G14910	g38499
OG0000122	AL8G31960	g1066
OG0000123	AL8G25360	g1342
OG0000125	AL1G17740	g31072
OG0000125	AL1G59870	g18497
OG0000125	AL1G59850	g54244, g54237, g54238
OG0000127	AL6G34020	g41348
OG0000127	AL189U10030, AL8G36480, AL5G24690, AL5G24750	g2919, g1294, g28781
OG0000127	AL4G23250	g39998
OG0000128	AL5G16810, AL164U10020, AL5G41080, AL5G41090	g2009
OG0000128	AL7G42310	g50627
OG0000129	AL2G19870	g45131
OG0000129	AL2G20180	g45103, g45101
OG0000129	AL1G60690, AL8G38710, AL8G38700, AL4G22760, AL4G22720, AL8G25830	g9880
OG0000132	AL6G44370, AL6G44360, AL6G44330	g51066
OG0000134	AL8G15310	g4924
OG0000134	AL8G17970, AL8G17980, AL20U10060, AL20U10050, AL20U10040, AL20U10020, AL6G21880	g18420
OG0000137	AL8G30930	g1011
OG0000137	AL8G30910	g1009
OG0000140	nbis-gene-927	g47161
OG0000143	AL3G54050	g24947, g35918, g41958, g24857, g24997, g42790, g48961, g14200, g52356, g52620, g4139, g16474
OG0000148	AL2G11100	g36469
OG0000148	AL3G17170, nbis-gene-1537	g6399
OG0000150	AL4G25960, AL4G15810	g34628
OG0000151	AL5G36230	g19127
OG0000151	AL5G36220	g19128
OG0000151	AL4G36690	g51765
OG0000151	AL5G36210	g2235
OG0000151	AL5G34430	g2346
OG0000151	AL4G33730	g51633
OG0000151	AL6G24190	g29346
OG0000152	AL4G16410, AL1G54360, AL3G43620	g17907, g40836, g15958
OG0000152	AL7G43390, AL5G12070	g44091, g17905, g11529
OG0000152	AL7G43490	g14500, g48935, g14510, g14521, g36332, g14542
OG0000152	AL5G19160	g14543, g14512
OG0000152	AL5G15080	g52916, g14334
OG0000152	AL6G46360, AL6G32700, AL1G56800	g40584, g34322, g34333, g14397, g37855, g8931, g20629, g1371, g9158, g24560, g46859
OG0000152	AL2G22110	g44992
OG0000152	AL1G65830	g4677, g16585, g46635, g52312, g572, g39544, g37857, g1370
OG0000152	AL1G66640	g37414, g25624, g44199, g50733, g573
OG0000152	AL279U10030	g50570
OG0000152	AL4G22930, AL177U10010	g14551, g36331, g48933, g14532, g42973, g23244, g43142, g48937, g53052
OG0000152	AL5G21970	g44050, g4521, g17734, g32003, g4816, g16697, g10565, g1970, g40835, g10634, g10249, g1568, g51668, g28378, g27276, g40834, g10566, g40838, g17906, g28379, g10636, g16864, g1567, g39722, g40837, g27277, g10250, g10635, g28380, g5857, g12182, g6703, g11042, g1971, g17733, g4522, g16696, g44051, g32004, g5946, g28381, g10251, g4817
OG0000152	AL5G39430, AL5G16500, AL5G42740, AL527U10010, AL3G15110, AL178U10020	g48283
OG0000153	AL4G25560	g51155, g51154, g51130, g51156
