Orthogroup	Arabidopsis_lyrata_Rawat	Rorippa_islandica
OG0000021	AL6G42400, AL3G43480, AL5G24330, AL3G37170, AL6G47300, AL5G41490, AL3G52170, AL2G40700, AL8G33160, AL4G18100, AL8G23170, AL4G13400	Roisl.0213s0355.1.p, Roisl.0006s0361.1.p, Roisl.0046s0769.1.p
OG0000021	AL4G20340, AL5G22660, AL3G44000, AL4G18810, AL564U10010, AL8G21810, AL2G20290, AL3G16850, AL9U11790, AL4G19170	Roisl.0066s0388.1.p
OG0000021	AL7G47350, AL7G51150	Roisl.0014s0139.1.p, Roisl.0066s0257.1.p
OG0000022	AL6G27650	Roisl.0210s1365.1.p
OG0000022	AL2G18840, AL2G12810, AL2G13140, AL2G12820, AL2G13170, AL2G12830	Roisl.0010s0089.1.p, Roisl.0010s0086.1.p
OG0000022	AL2G12470	Roisl.0010s0095.1.p
OG0000022	AL2G13120	Roisl.0010s0065.1.p
OG0000022	AL2G13150, AL2G13130	Roisl.0010s0092.1.p
OG0000022	AL2G12460, AL2G12500, AL2G12780, AL2G11490	Roisl.0008s0013.1.p
OG0000022	AL2G13070	Roisl.0010s0069.1.p
OG0000022	AL1G24070	Roisl.0021s0368.1.p
OG0000022	AL1G24190	Roisl.0021s0361.1.p
OG0000022	AL1G16610	Roisl.0091s0926.1.p
OG0000022	AL2G10190	Roisl.0050s0030.1.p
OG0000022	AL2G10200	Roisl.0050s0031.1.p
OG0000022	AL7G48260	Roisl.0009s0109.1.p
OG0000022	AL3G29640	Roisl.0074s0275.1.p
OG0000024	AL4G16470	Roisl.0015s0178.1.p
OG0000024	AL1G45550	Roisl.0066s0178.1.p
OG0000024	AL1G45510	Roisl.0213s0369.1.p
OG0000024	AL1G46270, AL1G46260	Roisl.0213s0506.1.p
OG0000024	AL1G45530	Roisl.0213s0508.1.p, Roisl.0213s0507.1.p
OG0000024	AL3G45420, AL4G35160	Roisl.0213s0365.1.p, Roisl.0213s0382.1.p, Roisl.0213s0370.1.p, Roisl.0213s0366.1.p
OG0000024	AL5G23680	Roisl.0026s0135.1.p
OG0000024	AL1G45210	Roisl.0011s0535.1.p, Roisl.0011s0534.1.p, Roisl.0006s0183.1.p
OG0000025	AL6G41860	Roisl.0002s0230.1.p, Roisl.0062s0001.1.p, Roisl.0020s0076.1.p
OG0000025	AL9U11280, AL5G16730, AL2G12870	Roisl.0213s0858.1.p, Roisl.0022s0006.1.p
OG0000027	AL6G45930	Roisl.0213s0582.1.p
OG0000027	AL6G46000	Roisl.0213s0590.1.p, Roisl.0213s0588.1.p, Roisl.0213s0583.1.p
OG0000027	AL7G30170	Roisl.0184s0126.1.p
OG0000027	AL7G30270	Roisl.0008s0079.1.p
OG0000027	AL7G30280	Roisl.0008s0069.1.p
OG0000028	AL7G42840	Roisl.0080s0376.1.p
OG0000028	AL8G29750	Roisl.0080s0746.1.p, Roisl.0080s0747.1.p
OG0000028	AL5G44140	Roisl.0053s0334.1.p
OG0000029	AL5G20350, AL3G41570	Roisl.0046s0705.1.p
OG0000030	AL3G33700, AL275U10020, AL3G33320, AL3G33690	Roisl.0115s0348.1.p, Roisl.0115s0350.1.p, Roisl.0115s0351.1.p
OG0000030	AL3G33370	Roisl.0115s0300.1.p
OG0000030	AL1G35700	Roisl.0056s0019.1.p, Roisl.0046s0733.1.p
OG0000030	AL1G40180, AL1G40160, AL1G40170	Roisl.0213s0186.1.p
OG0000030	AL3G27510	Roisl.0053s0027.1.p, Roisl.0060s0006.1.p
OG0000030	AL5G29320, AL5G29310, AL5G29340	Roisl.0046s0887.1.p
OG0000030	AL2G23050	Roisl.0042s0059.1.p
OG0000030	AL1G21870	Roisl.0021s0166.1.p
OG0000030	AL3G24770	Roisl.0046s0886.1.p
OG0000030	AL3G25930, AL3G25710, AL3G25690	Roisl.0074s0618.1.p
OG0000030	AL5G24990	Roisl.0209s0322.1.p, Roisl.0209s0320.1.p, Roisl.0209s0318.1.p
OG0000031	AL6G36560	Roisl.0023s0119.1.p
OG0000031	AL2G19770	Roisl.0055s0036.1.p
OG0000031	AL3G43240	Roisl.0020s0186.1.p
OG0000031	AL1G41870	Roisl.0188s0032.1.p, Roisl.0036s0104.1.p
OG0000032	AL4G17980	Roisl.0029s0063.1.p
OG0000032	AL8G28430	Roisl.0188s0018.1.p
OG0000034	AL7G30290	Roisl.0008s0068.1.p
OG0000034	AL7G32680	Roisl.0091s0192.1.p, Roisl.0091s0193.1.p, Roisl.0091s0191.1.p
OG0000034	AL7G32670	Roisl.0091s0190.1.p
OG0000034	AL6G46030	Roisl.0213s0592.1.p
OG0000034	AL7G30340	Roisl.0214s0897.1.p, Roisl.0214s0900.1.p, Roisl.0214s0898.1.p
OG0000034	AL7G30310, AL7G30350	Roisl.0214s0905.1.p
OG0000035	AL3G42660, AL4G33750, AL7G46520, AL6G43970	Roisl.0213s0218.1.p
OG0000035	AL4G18470, AL8G13010, AL8G34850, AL7G40470, AL7G45660, AL2G19470	Roisl.0213s0025.1.p
OG0000035	AL1G64690	Roisl.0214s0147.1.p
OG0000038	AL2G17230, AL4G20860	Roisl.0046s1475.1.p, Roisl.0209s0432.1.p
OG0000040	AL2G11290	Roisl.0066s0406.1.p, Roisl.0184s0161.1.p
OG0000040	AL3G43050	Roisl.0012s0376.1.p
OG0000040	AL1G59470, AL5G30010, AL677U10010	Roisl.0209s0055.1.p
OG0000040	AL6G48140	Roisl.0008s0099.1.p, Roisl.0188s0108.1.p
OG0000040	AL364U10020	Roisl.0012s0087.1.p
OG0000041	AL3G41190, AL6G35400, AL1G24610, AL5G28630, AL1G18250, AL6G32660, AL4G15280, AL6G28140, AL2G16540, AL6G37950, AL3G38730, AL6G15330, AL5G12980, AL4G11230, AL6G41090, AL1G48490, AL3G47410, AL3G42990	Roisl.0046s0022.1.p
OG0000042	AL1G54660	Roisl.0204s0126.1.p, Roisl.0012s0194.1.p, Roisl.0032s0094.1.p, Roisl.0009s0193.1.p, Roisl.0025s0036.1.p, Roisl.0022s0501.1.p, Roisl.0058s0030.1.p, Roisl.0214s0122.1.p
OG0000042	AL3G44120, AL9U11580, AL2G38670, AL103U10010, AL8G23430, AL4G17850	Roisl.0035s0107.1.p, Roisl.0012s0035.1.p
OG0000043	AL8G31450, AL236U10040	Roisl.0080s0178.1.p
OG0000043	AL4G18980	Roisl.0023s0085.1.p
OG0000044	AL8G11940	Roisl.0005s0130.1.p, Roisl.0005s0269.1.p
OG0000044	AL6G42230	Roisl.0214s0309.1.p
OG0000044	AL8G11910	Roisl.0005s0268.1.p
OG0000044	AL5G18720	Roisl.0210s2195.1.p
OG0000044	AL8G11920	Roisl.0005s0157.1.p, Roisl.0005s0158.1.p, Roisl.0005s0160.1.p
OG0000044	AL8G11900	Roisl.0005s0150.1.p
OG0000044	AL3G20910	Roisl.0079s0325.1.p
OG0000046	AL4G10770, AL5G16920, AL7G43910, AL3G42580	Roisl.0200s0033.1.p, Roisl.0006s0046.1.p, Roisl.0082s0471.1.p, Roisl.0213s0356.1.p, Roisl.0209s0778.1.p, Roisl.0210s2175.1.p, Roisl.0029s0020.1.p, Roisl.0082s0470.1.p, Roisl.0189s0032.1.p, Roisl.0028s0924.1.p, Roisl.0184s0183.1.p, Roisl.0202s0007.1.p, Roisl.0200s0032.1.p, Roisl.0184s0227.1.p, Roisl.0029s0021.1.p, Roisl.0210s2176.1.p, Roisl.0213s0357.1.p, Roisl.0209s0777.1.p, Roisl.0189s0033.1.p
OG0000046	AL6G43460, AL8G24550, AL3G45110, AL3G45080, AL6G44180, AL8G21960, AL3G43290, AL1G51180, AL4G17640, AL3G40680, AL1G60090, AL7G41120, AL6G41380	Roisl.0029s0014.1.p
OG0000046	AL4G20190, AL3G44690, AL6G40760	Roisl.0005s0079.1.p, Roisl.0056s0010.1.p, Roisl.0208s0028.1.p, Roisl.0008s0152.1.p, Roisl.0045s0045.1.p, Roisl.0062s0016.1.p, Roisl.0198s0056.1.p, Roisl.0209s0245.1.p, Roisl.0005s0329.1.p, Roisl.0015s0173.1.p
OG0000048	AL4G27770, AL4G27390	Roisl.0028s0624.1.p, Roisl.0211s0012.1.p
OG0000048	AL1G62520	Roisl.0006s0337.1.p
OG0000048	AL2G14000, AL2G14020	Roisl.0028s0615.1.p
OG0000050	AL1G24220, AL4G27890	Roisl.0008s0345.1.p, Roisl.0025s0047.1.p
OG0000051	AL2G11470	Roisl.0082s0147.1.p
OG0000051	AL4G40920, AL4G40910, AL2G15770, AL4G40930	Roisl.0028s0722.1.p
OG0000052	AL1G65610	Roisl.0019s0256.1.p, Roisl.0019s0270.1.p
OG0000052	AL5G28950	Roisl.0046s0692.1.p
OG0000054	AL6G40400	Roisl.0075s0230.1.p
OG0000055	nbis-gene-725, AL3G41130	Roisl.0053s0213.1.p, Roisl.0001s0543.1.p, Roisl.0210s1750.1.p, Roisl.0210s1827.1.p
OG0000055	AL3G30470	Roisl.0074s0202.1.p
OG0000055	AL769U10010	Roisl.0053s0284.1.p
OG0000055	AL3G29670	Roisl.0074s0270.1.p
OG0000055	AL3G50860	Roisl.0066s0141.1.p, Roisl.0066s0140.1.p, Roisl.0028s0608.1.p
OG0000055	AL3G30370	Roisl.0074s0210.1.p
OG0000056	AL2G14100	Roisl.0209s0766.1.p
OG0000056	AL2G13770	Roisl.0209s0593.1.p
OG0000056	AL2G13820	Roisl.0019s0013.1.p, Roisl.0209s0606.1.p, Roisl.0209s0600.1.p
OG0000056	AL2G13900	Roisl.0209s0603.1.p, Roisl.0209s0629.1.p
OG0000056	AL2G14070	Roisl.0209s0615.1.p, Roisl.0209s0596.1.p, Roisl.0209s0605.1.p
OG0000056	AL5G26170	Roisl.0209s0402.1.p
OG0000059	AL8G40920, AL7G34190, AL2G10380, AL1G59190	Roisl.0209s0123.1.p, Roisl.0214s0002.1.p
OG0000059	AL5G34630	Roisl.0019s0008.1.p, Roisl.0027s0012.1.p, Roisl.0214s0427.1.p, Roisl.0018s0107.1.p, Roisl.0010s0148.1.p, Roisl.0214s0190.1.p
OG0000060	AL781U10020	Roisl.0209s0337.1.p
OG0000060	AL5G25220	Roisl.0080s0305.1.p
OG0000060	AL5G24600	Roisl.0091s1062.1.p
OG0000061	AL1G55000, AL1G55020, AL1G54370, AL1G25040, AL1G25030	Roisl.0045s0092.1.p
OG0000064	nbis-gene-1176, nbis-gene-2026, nbis-gene-926, nbis-gene-1175, nbis-gene-2028, nbis-gene-2027, nbis-gene-2044, nbis-gene-1, nbis-gene-2024, nbis-gene-2025, nbis-gene-2023	Roisl.0214s0881.1.p, Roisl.0214s0876.1.p, Roisl.0214s0874.1.p, Roisl.0214s0875.1.p, Roisl.0214s0873.1.p, Roisl.0214s0877.1.p, Roisl.0214s0880.1.p, Roisl.0214s0867.1.p, Roisl.0214s0869.1.p, Roisl.0214s0872.1.p, Roisl.0214s0870.1.p, Roisl.0214s0868.1.p, Roisl.0214s0871.1.p, Roisl.0214s0879.1.p, Roisl.0214s0878.1.p, Roisl.0214s0820.1.p, Roisl.0214s0819.1.p, Roisl.0214s0817.1.p, Roisl.0214s0816.1.p, Roisl.0214s0823.1.p, Roisl.0214s0812.1.p, Roisl.0214s0814.1.p, Roisl.0214s0818.1.p, Roisl.0214s0822.1.p
OG0000064	nbis-gene-346, nbis-gene-345, nbis-gene-441	Roisl.0214s0815.1.p
OG0000065	AL2G25320, AL2G25210	Roisl.0024s0073.1.p
OG0000065	AL2G25180, AL2G25200	Roisl.0024s0063.1.p
OG0000065	AL7G52590	Roisl.0046s0029.1.p, Roisl.0046s0026.1.p
OG0000066	AL6G20900	Roisl.0210s0757.1.p
OG0000066	AL5G16700	Roisl.0091s1203.1.p
OG0000066	AL6G20890	Roisl.0210s0756.1.p, Roisl.0024s0428.1.p
OG0000066	AL3G43470	Roisl.0214s0604.1.p, Roisl.0214s0606.1.p
OG0000066	AL6G21580	Roisl.0001s0457.1.p
OG0000066	AL1G32620	Roisl.0007s0395.1.p
OG0000067	AL3G45170	Roisl.0214s0162.1.p
OG0000068	AL6G15310, AL6G14890, AL3G20260, AL3G20250, AL3G20240	Roisl.0034s0163.1.p
OG0000068	AL1G48230, AL3G11550	Roisl.0191s0458.1.p
OG0000068	AL8G28020, AL8G27750	Roisl.0011s0041.1.p
OG0000068	AL6G12890, AL3G38420, AL6G12880, AL6G12910, AL6G12860, AL5G24850, AL6G12550	Roisl.0030s0031.1.p, Roisl.0030s0062.1.p, Roisl.0030s0114.1.p, Roisl.0046s0004.1.p, Roisl.0030s0024.1.p, Roisl.0030s0025.1.p
OG0000069	AL3G40410, AL8G35170	Roisl.0209s0754.1.p
OG0000069	AL5G45620	Roisl.0115s0002.1.p
OG0000069	AL1G45330	Roisl.0213s0875.1.p
OG0000069	AL1G11090	Roisl.0210s0292.1.p, Roisl.0188s0098.1.p
OG0000069	AL5G21850, AL5G23770	Roisl.0013s0226.1.p
OG0000069	AL5G36780	Roisl.0046s1591.1.p
OG0000069	AL8G26350	Roisl.0019s0342.1.p
OG0000069	AL4G13470	Roisl.0074s0568.1.p
OG0000069	AL3G38360	Roisl.0055s0038.1.p
OG0000070	AL1G20940	Roisl.0021s0078.1.p
OG0000070	AL3G47920, AL5G12840, AL5G12830	Roisl.0011s0203.1.p, Roisl.0011s0205.1.p
OG0000070	AL4G11370, AL1G32980, AL2G24470	Roisl.0007s0115.1.p
OG0000070	AL2G35960	Roisl.0004s0297.1.p
OG0000070	AL8G19640	Roisl.0075s0011.1.p
OG0000073	nbis-gene-12	Roisl.0210s1691.1.p, Roisl.0046s0358.1.p
OG0000074	AL8G11830	Roisl.0054s0034.1.p
OG0000075	AL8G23920	Roisl.0214s0076.1.p
OG0000075	nbis-gene-1691	Roisl.0001s0513.1.p
OG0000075	AL7G11690	Roisl.0001s0516.1.p
OG0000075	AL34U10100, AL8G22340, AL34U10110, AL34U10130, AL8G22350	Roisl.0006s0180.1.p
OG0000076	AL7G10840	Roisl.0115s0707.1.p
OG0000076	AL4G29500	Roisl.0028s0782.1.p
OG0000076	AL8G13050	Roisl.0005s0285.1.p
OG0000077	AL2G25710	Roisl.0024s0105.1.p
OG0000077	AL8G13900	Roisl.0005s0356.1.p
OG0000077	AL8G13920	Roisl.0005s0357.1.p, Roisl.0005s0358.1.p, Roisl.0005s0330.1.p
OG0000077	AL1G67300	Roisl.0214s0841.1.p, Roisl.0214s0839.1.p
OG0000077	AL5G12970, AL5G12940	Roisl.0214s0216.1.p, Roisl.0011s0228.1.p, Roisl.0011s0225.1.p, Roisl.0011s0220.1.p, Roisl.0011s0216.1.p, Roisl.0011s0221.1.p, Roisl.0011s0226.1.p, Roisl.0011s0219.1.p
OG0000077	AL1G20220	Roisl.0021s0004.1.p
OG0000077	AL2G15700	Roisl.0214s0806.1.p
OG0000078	AL3G13680	Roisl.0016s0321.1.p
OG0000078	AL6G29270, AL6G29210, AL6G29240	Roisl.0210s1509.1.p, Roisl.0210s1512.1.p, Roisl.0210s1510.1.p
OG0000078	AL6G29180	Roisl.0210s1507.1.p, Roisl.0210s1503.1.p, Roisl.0210s1513.1.p
OG0000079	AL3G51940, AL1G57050, AL5G16890, AL1G58560, AL1G58670, AL4G20020, AL1G30000, AL5G27080, AL8G14210	Roisl.0115s0280.1.p, Roisl.0075s0090.1.p, Roisl.0001s0523.1.p, Roisl.0115s0647.1.p, Roisl.0006s0142.1.p, Roisl.0214s0213.1.p, Roisl.0211s0009.1.p
OG0000081	AL1G31420, AL8G29100, AL8G26420, AL6G33330	Roisl.0206s0028.1.p, Roisl.0036s0071.1.p, Roisl.0209s0160.1.p, Roisl.0038s0020.1.p, Roisl.0020s0165.1.p
OG0000083	AL6G26020, AL3G43160, AL645U10010, AL5G31070, AL8G41960, AL1G25560, AL2G11510, AL6G37350, AL6G45940, AL1G47930, AL4G15250, AL4G15260	Roisl.0209s0532.1.p
OG0000086	AL7G53090	Roisl.0032s0023.1.p, Roisl.0032s0021.1.p, Roisl.0032s0018.1.p, Roisl.0032s0016.1.p
OG0000086	AL8G39760	Roisl.0024s0148.1.p
OG0000086	nbis-gene-1912	Roisl.0032s0025.1.p
OG0000086	AL7G46850, AL7G46860	Roisl.0214s0709.1.p
OG0000086	AL7G53100	Roisl.0032s0024.1.p
OG0000086	AL2G24580	Roisl.0024s0029.1.p
OG0000089	AL6G35120	Roisl.0210s2052.1.p
OG0000089	AL8G39670	Roisl.0024s0139.1.p
OG0000089	AL5G25960	Roisl.0209s0395.1.p
OG0000089	AL4G24260	Roisl.0082s0748.1.p
OG0000089	AL6G23060	Roisl.0210s0950.1.p
OG0000089	AL8G15560	Roisl.0012s0263.1.p
OG0000089	AL7G33260	Roisl.0091s0246.1.p
OG0000089	AL4G30750	Roisl.0028s0886.1.p
OG0000089	AL1G32740	Roisl.0007s0134.1.p
OG0000089	AL2G35770	Roisl.0004s0314.1.p
OG0000090	AL1G50070	Roisl.0204s0185.1.p, Roisl.0188s0033.1.p
OG0000090	AL4G12030	Roisl.0185s0066.1.p
OG0000091	AL5G26350	Roisl.0214s0805.1.p
OG0000091	AL5G26810	Roisl.0209s0467.1.p
OG0000091	AL5G26820	Roisl.0209s0469.1.p
OG0000091	AL5G26340, AL5G26330	Roisl.0209s0418.1.p, Roisl.0209s0473.1.p
OG0000091	AL6G32010	Roisl.0070s0019.1.p, Roisl.0210s1772.1.p, Roisl.0210s1773.1.p
OG0000091	AL8G24400	Roisl.0214s0193.1.p
OG0000091	AL5G26370	Roisl.0209s0428.1.p
OG0000091	AL3G46650	Roisl.0209s0421.1.p
OG0000092	AL3G40330	Roisl.0210s0404.1.p
OG0000092	AL8G24810	Roisl.0056s0047.1.p, Roisl.0056s0055.1.p, Roisl.0115s0570.1.p
OG0000095	AL4G18550	Roisl.0214s0042.1.p
OG0000095	nbis-gene-1002	Roisl.0214s0031.1.p
OG0000095	AL4G15600	Roisl.0214s0037.1.p
OG0000095	AL4G18510, AL4G15660	Roisl.0053s0054.1.p, Roisl.0214s0035.1.p
OG0000095	AL4G14510, AL4G14520	Roisl.0004s0005.1.p
OG0000096	AL3G41350, AL3G41330, AL3G41320, AL3G41340	Roisl.0001s0531.1.p, Roisl.0074s0979.1.p
OG0000096	AL3G31600, AL3G31620, AL3G31610, AL439U10010, AL3G32310, AL3G32820, AL3G50560	Roisl.0074s0097.1.p, Roisl.0074s0096.1.p, Roisl.0021s0565.1.p
OG0000096	AL3G31580	Roisl.0028s0009.1.p, Roisl.0028s0010.1.p
OG0000096	AL3G22030	Roisl.0074s0977.1.p, Roisl.0204s0040.1.p
OG0000097	AL4G16170	Roisl.0041s0023.1.p, Roisl.0020s0014.1.p
OG0000097	AL5G25560	Roisl.0048s0023.1.p, Roisl.0064s0013.1.p, Roisl.0083s0006.1.p, Roisl.0045s0012.1.p, Roisl.0081s0001.1.p, Roisl.0009s0238.1.p, Roisl.0058s0097.1.p, Roisl.0032s0058.1.p, Roisl.0014s0090.1.p, Roisl.0014s0029.1.p, Roisl.0014s0042.1.p, Roisl.0017s0490.1.p, Roisl.0200s0005.1.p, Roisl.0043s0036.1.p, Roisl.0012s0401.1.p, Roisl.0058s0018.1.p, Roisl.0027s0116.1.p, Roisl.0195s0007.1.p, Roisl.0185s0061.1.p
OG0000098	AL2G26330	Roisl.0050s0022.1.p, Roisl.0050s0026.1.p, Roisl.0050s0027.1.p
OG0000098	nbis-gene-844	Roisl.0040s0006.1.p
OG0000098	AL1G41020, AL1G41000, AL1G41010, AL1G40990	Roisl.0006s0130.1.p
OG0000098	AL4G14170	Roisl.0066s0082.1.p
OG0000098	AL4G14150	Roisl.0038s0015.1.p, Roisl.0038s0016.1.p
OG0000100	AL1G66260	Roisl.0008s0042.1.p, Roisl.0008s0041.1.p, Roisl.0008s0048.1.p
OG0000100	AL1G66350	Roisl.0214s0561.1.p
OG0000100	AL2G16740	Roisl.0214s0639.1.p
OG0000100	AL2G11380	Roisl.0214s0220.1.p
OG0000102	AL6G49090, AL320U10020	Roisl.0082s0311.1.p, Roisl.0082s0312.1.p
OG0000102	AL9U10550	Roisl.0082s0310.1.p
OG0000102	AL9U10540	Roisl.0214s0910.1.p
OG0000102	AL6G49140	Roisl.0082s0308.1.p
OG0000102	AL6G49050	Roisl.0082s0306.1.p
OG0000105	nbis-gene-1539	Roisl.0006s0566.1.p
OG0000106	AL2G13830	Roisl.0046s0419.1.p
OG0000106	AL6G40690	Roisl.0021s0082.1.p, Roisl.0046s1283.1.p, Roisl.0082s0473.1.p
OG0000107	AL3G33810	Roisl.0115s0327.1.p
OG0000107	AL3G33770	Roisl.0115s0324.1.p
OG0000107	AL3G34900	Roisl.0115s0429.1.p
OG0000107	AL3G33790	Roisl.0115s0326.1.p
OG0000108	AL4G34190, AL4G34130, AL5G34730	Roisl.0017s0109.1.p
OG0000108	AL5G25390, AL8G35810	Roisl.0209s0353.1.p
OG0000108	AL3G23740	Roisl.0074s0792.1.p
OG0000108	AL6G20220	Roisl.0210s0691.1.p, Roisl.0037s0052.1.p, Roisl.0209s0106.1.p
