Orthogroup	Arabidopsis_lyrata_Rawat	Capsella_rubella
OG0000024	AL1G45570, AL1G45600	XP_023644421.1, XP_023644420.1, XP_023632644.1, XP_023632643.1, XP_023644419.1
OG0000024	AL1G46280	XP_023633039.1
OG0000024	AL5G38280, AL5G39160	XP_023633004.1, XP_023639207.1
OG0000025	AL5G11540	XP_023644235.1, XP_023636040.1, XP_023641958.1, XP_023644550.1, XP_023644451.1, XP_023634078.1
OG0000025	AL6G41860	XP_023636962.1
OG0000025	AL9U11280, AL5G16730, AL2G12870	XP_023636110.1
OG0000025	AL460U10010	XP_023641784.1, XP_023644446.1, XP_023636071.1
OG0000027	nbis-gene-1639	XP_023635857.1
OG0000027	AL6G45930	XP_023635858.1, XP_006289355.2
OG0000027	AL6G45970	XP_006287218.1
OG0000027	AL6G46000	XP_023635866.1
OG0000027	AL7G30160	XP_023634683.1
OG0000027	AL7G30170	XP_006283253.1
OG0000027	AL6G46070	XP_006289052.2
OG0000027	AL7G30260	XP_023634685.1
OG0000028	AL594U10010, AL7G42840	XP_023634475.1
OG0000028	AL5G44140	XP_006292343.1
OG0000029	AL1G65750	XP_023640390.1, XP_023635785.1, XP_023637682.1
OG0000030	AL3G33700, AL275U10020, AL3G33320, AL3G33690	XP_006296044.1
OG0000030	AL3G33370	XP_006297884.1
OG0000030	AL1G40180	XP_006303634.1
OG0000030	AL1G40160, AL1G40170	XP_023632886.1, XP_023632793.1
OG0000030	AL5G29320, AL5G29310, AL5G29340	XP_006293126.1
OG0000030	AL1G21870	XP_006305030.1
OG0000030	AL3G24770	XP_006297854.1, XP_006297862.1, XP_006300177.2
OG0000030	AL3G25930	XP_006298407.2
OG0000031	AL6G36560	XP_023633361.1
OG0000031	AL2G29770	XP_023635342.1
OG0000034	AL7G32670	XP_023634856.1
OG0000034	AL7G30340	XP_023634693.1, XP_023634678.1
OG0000034	AL7G30350	XP_023635576.1
OG0000035	AL3G42660, AL4G33750, AL7G46520, AL6G43970	XP_023633542.1, XP_023633652.1, XP_023639706.1
OG0000035	AL4G18470, AL8G13010, AL8G34850, AL7G40470, AL7G45660, AL2G19470	XP_023640381.1, XP_023634177.1
OG0000040	AL677U10010	XP_023634840.1, XP_023636105.1, XP_023633811.1
OG0000040	AL364U10020	XP_023640353.1
OG0000042	AL1G54660, AL2G36380, AL7G36770, AL6G22280, AL6G40680, AL8G39990, AL3G35100, AL4G45380, AL3G44120, AL9U11580, AL2G38670, AL103U10010, AL8G23430, AL4G17850	XP_023634283.1
OG0000043	AL8G34940, AL1G48950, AL5G15500, AL7G45030, AL983U10010, AL9U11830	XP_006299187.2
OG0000044	AL8G11930	XP_023638545.1
OG0000044	AL8G11910	XP_023634755.1
OG0000044	AL8G12190	XP_006281533.1
OG0000044	AL8G18470	XP_023634969.1
OG0000044	AL7G37760	XP_006282434.2
OG0000046	AL4G20190, AL3G44690, AL6G40760	XP_023641942.1, XP_023640348.1, XP_023636067.1, XP_006289233.2, XP_023638196.1
OG0000048	AL4G27390	XP_023640514.1
OG0000048	AL2G14000, AL2G14020	XP_023643230.1, XP_023643229.1, XP_023636083.1, XP_006289868.2
OG0000049	AL5G16120, AL5G16140	XP_023634626.1
OG0000051	AL1G20340	XP_006304062.1
OG0000051	AL4G40940	XP_023640868.1
OG0000051	AL4G41010	XP_023639525.1
OG0000051	AL4G41020	XP_023640425.1, XP_023640455.1, XP_023640454.1
OG0000052	AL5G15900	XP_023639245.1
OG0000052	AL5G15910	XP_023638292.1
OG0000052	AL1G65610	XP_006301891.2, XP_006301896.2
OG0000052	AL5G31970	XP_006291090.1
OG0000052	AL5G28950	XP_006291102.1
OG0000052	AL5G28550, AL5G28540	XP_023638561.1, XP_006293221.1
OG0000055	nbis-gene-725, AL3G41130	XP_006299228.1, XP_006300113.1
OG0000055	nbis-gene-248, AL3G40140, AL3G40130	XP_006300080.1, XP_023641394.1, XP_006299259.1, XP_006301327.2
OG0000055	AL3G30470	XP_023641570.1
OG0000055	AL3G38080	XP_023642764.1
OG0000055	AL4G21820	XP_006286657.2
OG0000055	AL3G50860	XP_023641561.1
OG0000055	AL3G30370	XP_006299379.1
OG0000056	AL2G13390	XP_006301460.1
OG0000056	AL2G14100	XP_006302241.1
OG0000056	AL2G13770	XP_006302237.1
OG0000056	AL2G13820	XP_006300465.1, XP_006302243.1
OG0000056	AL2G13790, AL2G14110	XP_006301237.2
OG0000056	AL2G14050	XP_023643438.1
OG0000056	AL2G14090	XP_006301411.1
OG0000056	AL2G14070	XP_006301193.1
OG0000056	AL2G14080	XP_006301052.1
OG0000056	AL5G26170	XP_006292456.1
OG0000061	AL1G55000	XP_023645797.1
OG0000061	AL6G23340	XP_006287607.1
OG0000061	AL7G44920	XP_006286287.2
OG0000061	AL7G25770	XP_023633781.1
OG0000061	AL6G16510	XP_006290130.1
OG0000062	AL7G40460, AL2G19460, AL8G34860, AL8G13000	XP_023634169.1
OG0000064	nbis-gene-1176, nbis-gene-2026, nbis-gene-926, nbis-gene-1175, nbis-gene-2028, nbis-gene-2027, nbis-gene-2044, nbis-gene-1, nbis-gene-2024, nbis-gene-2025, nbis-gene-2023	XP_006301177.1, XP_006279224.1, XP_006279222.1, XP_006301148.1, XP_006300412.1, XP_006279227.1, XP_006301373.1, XP_006301746.1, XP_006301302.1, XP_006279223.1, XP_006301675.1, XP_006301967.1, XP_006281741.1
OG0000065	AL2G25210	XP_023643067.1
OG0000065	AL2G25250, AL2G25260	XP_023643778.1
OG0000065	AL2G25200	XP_006300887.1
OG0000065	AL7G52590	XP_023638915.1
OG0000066	AL6G20900, AL5G16700, AL1G66190, AL1G19680, AL6G20890	XP_006301260.2, XP_006304637.1, XP_006292533.1
OG0000066	AL6G21580	XP_006284727.1, XP_006288773.2, XP_006284722.1, XP_006302978.1
OG0000066	AL1G32620	XP_006304375.1
OG0000068	AL6G15310, AL6G14890	XP_006289556.2, XP_023637280.1
OG0000068	AL1G48230, AL3G11550	XP_023642606.1
OG0000068	AL8G28020, AL8G27750	XP_023633398.1
OG0000068	AL6G12890	XP_006289558.2, XP_023637635.1
OG0000068	AL3G38420, AL6G12880, AL6G12910, AL6G12860	XP_006286541.1
OG0000069	AL3G40410, AL8G35170	XP_023642292.1
OG0000069	AL1G11090	XP_006304155.1
OG0000069	AL4G13470	XP_023645826.1
OG0000069	AL3G38360	XP_006288439.1
OG0000070	AL1G20940	XP_006305612.2
OG0000070	AL3G47920, AL5G12840, AL5G12830	XP_006292236.1, XP_006292951.2, XP_006290298.1, XP_006292400.1, XP_006291986.1, XP_006292823.1, XP_006292249.1, XP_006292597.1, XP_006291940.1
OG0000070	AL4G11370, AL1G32980, AL2G24470	XP_006304273.1
OG0000070	AL2G35960	XP_006302938.1
OG0000070	AL8G19640	XP_023637791.1
OG0000070	AL5G42190	XP_023637735.1
OG0000070	AL7G16760	XP_006286731.1, XP_006289176.1, XP_006285109.1
OG0000072	AL8G19360, AL8G19010	XP_006282913.2, XP_023638967.1
OG0000074	AL8G11830	XP_023636039.1
OG0000075	AL7G11590	XP_006285279.1
OG0000075	AL1G52760, AL1G52750, AL1G52780	XP_023635517.1
OG0000075	nbis-gene-1691	XP_023635518.1
OG0000075	AL7G11600, AL6G47540, AL6G47530	XP_006286716.1
OG0000075	AL7G11690	XP_023634488.1
OG0000075	AL34U10100, AL8G22340	XP_023633364.1, XP_006281030.1, XP_006280653.1
OG0000075	AL2G16730, AL2G16030	XP_006301199.1
OG0000076	AL7G10840	XP_023634774.1
OG0000076	AL4G29500	XP_006295567.2
OG0000076	AL3G53220	XP_006286831.1
OG0000076	AL8G13050	XP_006281621.1
OG0000077	AL8G13900	XP_006280897.2
OG0000077	AL5G12960	XP_006292755.1
OG0000077	AL5G12970, AL5G12940	XP_006292790.1, XP_006293218.1
OG0000078	AL3G13680	XP_006300074.1
OG0000078	AL3G13710	XP_006298876.1
OG0000078	AL3G13720	XP_006300092.1
OG0000078	AL6G29190	XP_023636207.1
OG0000079	AL3G51940, AL1G57050, AL5G16890, AL1G58560, AL1G58670, AL4G20020, AL1G30000, AL5G27080, AL8G14210	XP_023644218.1, XP_023645325.1
OG0000081	AL2G21910	XP_023638026.1, XP_023634808.1
OG0000081	AL1G31420, AL8G29100, AL8G26420, AL6G33330	XP_023634311.1
OG0000086	AL7G53090	XP_006285515.2, XP_006291706.2
OG0000086	AL8G39760	XP_023633444.1
OG0000086	nbis-gene-1912	XP_006284296.1
OG0000086	AL7G46870	XP_006285302.1, XP_006285318.2, XP_006284306.1, XP_023634328.1, XP_006285250.1
OG0000086	AL7G46850, AL7G46860	XP_006284253.1
OG0000086	AL7G53100	XP_006301558.1
OG0000086	AL7G53110	XP_006286814.1
OG0000086	AL2G24580	XP_006302255.2
OG0000086	AL2G24590	XP_023644277.1
OG0000086	AL2G24600	XP_006302616.1
OG0000089	AL6G35120	XP_006287738.1
OG0000089	AL8G39670, AL5G25960	XP_006292748.1, XP_006291122.1
OG0000089	AL4G24260	XP_006294210.1
OG0000089	AL6G23060	XP_006289933.1
OG0000089	AL8G15560	XP_006281513.1
OG0000089	AL7G33260	XP_006283733.1
OG0000089	AL1G32740	XP_006307490.1
OG0000089	AL2G35770	XP_006302256.1
OG0000091	AL5G26810	XP_023637739.1
OG0000091	AL5G26870	XP_023639002.1
OG0000091	AL5G23250	XP_006296540.2
OG0000091	AL6G32010	XP_023636467.1
OG0000091	AL8G24400	XP_023644362.1
OG0000092	AL8G24810	XP_023633335.1
OG0000095	AL4G18500	XP_006294389.1
OG0000095	AL4G15500, AL4G18540	XP_006295399.1
OG0000095	AL4G18560	XP_006294228.1
OG0000095	AL4G15620	XP_006294375.1, XP_006294370.2
OG0000095	AL4G15530	XP_006294323.1
OG0000095	AL4G18510, AL4G15660	XP_006296376.2
OG0000095	AL4G14510, AL4G14520	XP_006295861.1
OG0000096	nbis-gene-1025, AL4G22680, AL4G22640	XP_023640363.1, XP_006296370.1, XP_006296007.1
OG0000096	AL3G31600, AL3G31620, AL3G31610, AL439U10010	XP_006297893.1
OG0000096	AL3G50560	XP_006299978.1
OG0000096	AL3G31580	XP_006297929.1
OG0000098	nbis-gene-805	XP_023641898.1, XP_006297881.1
OG0000098	AL2G26330	XP_006292655.1
OG0000098	AL1G41020, AL1G41000, AL1G41010, AL1G40990	XP_006305026.1
OG0000098	AL6G37130	XP_006289986.1, XP_006289767.1
OG0000100	AL2G11210	XP_023641940.1
OG0000100	AL2G11240	XP_006301994.2
OG0000100	AL1G66260	XP_023643315.1
OG0000100	AL1G66350	XP_023644343.1
OG0000100	AL2G16740	XP_006301998.2
OG0000100	AL2G11390	XP_023643545.1
OG0000100	AL1G65640	XP_023643838.1
OG0000100	AL2G11200	XP_023642309.1
OG0000102	AL6G49150	XP_006288400.1
OG0000102	AL6G45160, AL6G49080, AL320U10010	XP_006289764.1, XP_006289669.1, XP_023644271.1, XP_006301748.2, XP_006301379.1
OG0000102	AL6G49090, AL320U10020	XP_006285555.2
OG0000102	AL6G49120	XP_006288542.1
OG0000102	AL9U10550	XP_023634256.1
OG0000102	AL9U10540	XP_006288348.1
OG0000102	AL6G49050	XP_006288252.1
OG0000103	AL1G52720	XP_023638897.1
OG0000103	AL8G17400, AL1G30370, AL8G10040, AL265U10010	XP_023632588.1
OG0000106	AL6G40690	XP_023646042.1, XP_023644298.1, XP_006301047.2, XP_023643263.1
OG0000107	AL3G33810	XP_006299861.1
OG0000107	AL3G33780	XP_006297457.1
OG0000107	AL3G33830, AL3G42780	XP_006289895.1
OG0000107	AL3G33790	XP_006299064.2
OG0000107	AL3G33800	XP_023642039.1
OG0000108	AL5G34730	XP_006291303.1, XP_006294425.1
OG0000108	AL5G25390, AL8G35810	XP_006282193.1, XP_006291307.1
OG0000108	AL3G23740	XP_006297921.1
OG0000108	AL6G20220	XP_006287952.1
OG0000108	AL3G32160, AL1G56110	XP_006297920.1
OG0000108	AL4G40470	XP_006295441.1
OG0000108	AL4G40460	XP_006295821.1
OG0000109	AL1G47060	XP_023644486.1
OG0000109	AL6G46480	XP_023641886.1, XP_023633619.1
OG0000109	AL7G48370, AL4G13100, AL5G17500, AL8G26200, AL3G45860, AL1G49480, AL3G47220, AL5G17870, AL8G24560, AL7G45510, AL6G38840, AL6G52460, AL6G40590, AL1G47050, AL2G22030, AL8G22080, AL2G35490, AL5G20740, AL1G54140, AL2G22170, AL3G44280, AL7G53070, AL5G17840, AL7G34330, AL8G17600, AL170U10010, AL3G46660, AL8G20850, AL4G12360, AL5G10400, AL3G43610, AL4G17930, AL5G17970, AL9U10780	XP_023633613.1
OG0000110	AL1G55630, AL7G11640, AL1G50710, AL4G20710, AL6G41920, AL8G21920, AL9U11500, AL2G19920, AL2G22250, AL5G12710	XP_023644523.1, XP_023640339.1, XP_023633349.1, XP_023633346.1, XP_023644458.1, XP_023642819.1
OG0000111	AL5G34240, AL3G50380	XP_023638950.1, XP_023644251.1, XP_023643207.1, XP_006301030.1, XP_023634314.1, XP_006289239.1, XP_006289948.1, XP_006289559.1, XP_006285378.1
OG0000111	AL5G18800	XP_006289226.1, XP_006289953.1, XP_006289914.1
OG0000114	AL2G19090, AL2G20370, AL1G46930, AL8G13990, AL5G18470, AL5G18060, AL3G42080, AL4G18650, AL3G44910, nbis-gene-1272, nbis-gene-1271, AL1G50940	XP_006301152.1
OG0000114	AL6G40550	XP_023640326.1
OG0000115	AL6G51530	XP_023644425.1
OG0000117	AL1G37420	XP_006306513.2
OG0000117	AL1G37270	XP_006303770.1
OG0000117	AL1G37280	XP_006304583.1
OG0000117	AL1G37400	XP_006304377.2
OG0000117	AL1G37430	XP_023632777.1
OG0000117	AL1G37410	XP_023644784.1
OG0000117	AL1G37440	XP_023632781.1
OG0000117	AL1G37330	XP_006304618.2
OG0000117	AL1G37340	XP_023644792.1
OG0000118	AL4G35680	XP_006290039.1
OG0000118	AL4G35660, AL4G35650	XP_023640365.1
OG0000118	AL2G23540	XP_006300909.1, XP_006301359.2
OG0000118	AL6G44790	XP_006290202.1
OG0000118	AL3G38540, AL3G38550	XP_023642688.1
OG0000119	AL4G18370	XP_006296419.2
OG0000119	AL4G18360, AL4G18340	XP_006295986.2
OG0000119	AL5G21720, AL5G21730	XP_006292836.2, XP_006292499.2, XP_023638877.1
OG0000119	AL6G15230	XP_023638900.1
OG0000119	AL5G24100	XP_006293090.1
OG0000119	nbis-gene-1302, nbis-gene-1304	XP_006292851.1, XP_006292857.1
OG0000121	AL8G34500	XP_023634298.1
OG0000121	AL8G14910	XP_023636052.1
OG0000122	nbis-gene-2149	XP_006281577.2
OG0000122	AL8G32110	XP_023645912.1, XP_023633493.1
OG0000122	AL8G31960	XP_023633416.1
OG0000123	AL8G25360	XP_006282356.1, XP_006289168.1
OG0000123	nbis-gene-64	XP_006303711.1
OG0000125	AL4G23510	XP_023639964.1
OG0000125	AL1G17740	XP_023645280.1
OG0000125	AL1G55940	XP_023645616.1
OG0000126	AL4G20870	XP_023640354.1
OG0000127	AL6G34020	XP_006289049.1
OG0000127	AL6G11840	XP_006286660.1
OG0000127	AL3G20660	XP_006298831.2
OG0000127	AL189U10030	XP_006281264.1
OG0000127	AL5G24690	XP_006292858.1
OG0000127	AL5G24750	XP_006292010.1
OG0000128	AL5G41150	XP_023639092.1
OG0000128	AL5G41130	XP_006291073.1
OG0000128	AL5G16810, AL164U10020	XP_006291250.1
OG0000128	AL5G41080	XP_006290900.1
OG0000128	AL5G41090	XP_006291045.1
OG0000128	AL2G18450	XP_006302146.1
OG0000128	AL7G42310	XP_006282595.1
OG0000129	AL2G19870, nbis-gene-452	XP_023644190.1
OG0000129	AL2G20180	XP_023644191.1
OG0000129	AL1G60690	XP_023645120.1
OG0000129	AL8G38710, AL8G38700	XP_023635333.1
OG0000129	AL4G22760	XP_023640860.1
OG0000129	AL4G22720	XP_023640089.1
OG0000129	AL2G19840	XP_023644193.1
OG0000130	AL1G41300, AL3G31830	XP_006285982.2
OG0000132	AL5G36020	XP_006291215.1
OG0000132	AL6G44370, AL6G44360, AL6G44330	XP_023637355.1
OG0000132	AL315U10010, AL7G51940	XP_006283852.1
OG0000132	AL7G52020, AL7G52000	XP_023634364.1
OG0000134	AL1G67280	XP_023643303.1, XP_023643420.1
OG0000134	AL5G19550	XP_023638531.1
OG0000134	AL7G52360, AL7G52440, AL7G52310, AL7G52380, AL7G52410	XP_023634083.1
OG0000134	AL7G52290, AL686U10020	XP_023634084.1
OG0000134	AL5G22740	XP_023641389.1
OG0000134	AL4G22780	XP_023640358.1
OG0000134	AL8G17970, AL8G17980, AL20U10060, AL20U10050, AL20U10040, AL20U10020	XP_023640588.1, XP_006282379.2, XP_006279879.2, XP_023640573.1
OG0000137	AL8G30930	XP_006280742.1
OG0000137	AL8G30920	XP_023637930.1, XP_006281726.2
OG0000137	AL8G30900	XP_006281991.1
OG0000137	AL8G30890	XP_006281729.1
OG0000138	AL5G40800	XP_023639085.1
OG0000138	AL5G40760	XP_006292673.2
OG0000138	AL5G40850	XP_023639081.1
OG0000138	AL5G44820	XP_006291171.1
OG0000138	AL2G23440, AL5G45250	XP_006304853.2
OG0000138	AL5G35200	XP_006292487.1
OG0000141	AL1G23600	XP_023644396.1
OG0000141	AL1G23590	XP_006306386.2
OG0000141	AL2G13240	XP_006300715.1, XP_006301151.1, XP_006301217.1, XP_023644089.1, XP_006286837.2
OG0000143	AL3G54050	XP_023638853.1, XP_023638858.1, XP_023644225.1
OG0000144	AL4G41700, AL7G40530, AL1G52400	XP_023644221.1
OG0000148	nbis-gene-250	XP_023632976.1, XP_023632977.1
OG0000148	AL2G11100	XP_023644303.1
OG0000148	AL1G54580	XP_023633110.1
OG0000151	AL5G36230	XP_006290668.1
OG0000151	AL5G36220	XP_006292545.1
OG0000151	AL4G36690	XP_006295608.1
OG0000151	AL5G36210	XP_006292248.1
OG0000151	AL5G34430	XP_006290640.1
OG0000151	AL4G33730	XP_006295587.1
OG0000151	AL6G24190	XP_006287124.2
OG0000153	AL4G23840	XP_023639932.1
OG0000153	AL4G25560	XP_006294819.1
OG0000153	AL4G23900	XP_023640128.1
OG0000153	AL4G23860	XP_023639767.1, XP_023639968.1, XP_023639834.1, XP_023639909.1, XP_023640029.1
OG0000153	AL1G17600	XP_023639879.1
OG0000154	AL1G58520	XP_006306278.1
OG0000154	AL6G29770, AL6G29780	XP_023644539.1, XP_023635872.1
OG0000154	AL1G58510	XP_023645184.1
OG0000157	AL1G44470	XP_023645847.1
OG0000157	AL1G44400	XP_006304647.1
OG0000157	AL8G27960, AL1G29270	XP_023634266.1, XP_006304655.2
OG0000157	AL1G49450	XP_023644416.1
OG0000158	nbis-gene-1710, AL2G28170	XP_023635458.1
OG0000158	AL7G14590	XP_006279441.2
OG0000158	AL4G12250, AL6G25220	XP_006289701.2, XP_006289843.2
OG0000158	AL1G67080, AL7G42520	XP_006286216.2
OG0000160	AL3G52950	XP_006296920.1
OG0000160	AL7G22000	XP_006282542.1
OG0000160	AL8G33330	XP_006282289.1
OG0000160	AL3G44180	XP_006279406.1
OG0000160	AL5G20850	XP_006279360.1
OG0000160	AL2G40780	XP_023643729.1
OG0000160	AL4G15040	XP_006293643.2
OG0000161	AL1G16160	XP_023634397.1
OG0000161	AL2G19110	XP_023636868.1, XP_023636056.1, XP_023635040.1, XP_023632737.1, XP_023642374.1, XP_023645930.1, XP_023639647.1
OG0000162	AL4G28780	XP_006294455.1
OG0000162	nbis-gene-1071	XP_006296229.1
OG0000162	AL5G13340	XP_023638032.1
OG0000162	nbis-gene-1199	XP_006292794.1
OG0000162	AL3G42400, AL3G42420	XP_006299665.1
OG0000162	AL4G28810	XP_006295600.1
OG0000162	AL4G28800	XP_006296378.1
OG0000165	AL3G46810	XP_006284720.1
OG0000165	AL7G45500	XP_006292033.1, XP_023633900.1, XP_023633896.1, XP_023633895.1, XP_006304794.1
OG0000166	AL1G64890	XP_023640242.1
OG0000166	AL4G16880	XP_023639378.1
OG0000167	AL3G41620, AL3G41610, nbis-gene-792	XP_006300127.2
OG0000167	nbis-gene-1622	XP_006286703.2
OG0000167	AL3G35160, AL3G35150	XP_006299157.1
OG0000167	AL3G35070	XP_006299826.1
OG0000169	AL3G52280	XP_006293234.2, XP_023638052.1, XP_023641929.1
OG0000169	AL4G13020	XP_023641928.1, XP_023641931.1
OG0000169	AL1G53540, AL1G53520	XP_023644508.1, XP_023644509.1
OG0000170	AL4G44750	XP_023640533.1
OG0000170	AL4G44740	XP_023640714.1
OG0000170	AL4G44730	XP_023639945.1
OG0000171	AL8G28000	XP_006281266.1
OG0000171	AL7G47650	XP_006284706.1
OG0000171	AL3G49460	XP_006298751.1
OG0000171	AL8G31780	XP_006281239.2
OG0000171	AL3G19690	XP_006298742.1
OG0000171	AL7G24680	XP_006284700.1
OG0000172	AL6G39210	XP_023634595.1, XP_023634294.1, XP_023639036.1, XP_023637511.1
OG0000173	AL7G11730	XP_006282189.2
OG0000173	AL7G12140	XP_006284898.2, XP_023644326.1
OG0000173	AL3G40190	XP_023641380.1
OG0000173	AL7G12760	XP_023634627.1, XP_006289268.1
OG0000173	AL7G13600	XP_023637961.1
OG0000175	AL2G16210	XP_006302886.1
OG0000175	AL1G21480	XP_006305640.2
OG0000175	AL6G25440	XP_023635842.1
OG0000176	AL3G15860	XP_006299638.1
