Orthogroup	Arabidopsis_lyrata_Rawat	Conringia_planisiliqua
OG0000003	AL4G18120	CP15_g36037_DN2_SP0_c.t1
OG0000003	AL433U10010	CP15_g34583_DN2_SP0_c.t1, CP15_g34567_DN1_SP0_c.t1, CP15_g34636_DN1_SP0_c.t1, CP15_g34623_DN2_SP0_c.t1, CP3_g16075_DN1_SP0_c.t1, CP6_g8581_DN1_SP0_c.t1
OG0000003	AL4G19540	CP14_g22797_DN2_SP0_c.t1
OG0000003	AL6G19270	CP26_g51312_DN2_SP0_c.t1, CP50_g6564_DN3_SP0_c.t1
OG0000003	AL3G36170	CP5_g3316_DN2_SP0_c.t1
OG0000003	AL1G51710	CP26_g51324_DN2_SP0_c.t1
OG0000003	AL1G50760	CP14_g22798_DN1_SP0_c.t1
OG0000003	AL3G42620	CP3_g16060_DN1_SP0_c.t1
OG0000003	AL481U10010	CP10_g43762_DN2_SP0_c.t1, CP2_g50353_DN1_SP0_c.t1
OG0000003	AL3G46190	CP13_g20572_DN1_SP0_c.t1
OG0000003	AL96U10010, AL5G25470, AL5G10040, AL1G46090	CP29_g22111_DN2_SP0_c.t1, CP17_g5059_DN2_SP0_c.t1
OG0000003	AL7G34100, AL3G40240, AL2G10360	CP18_g12232_DN3_SP0_c.t1
OG0000004	AL7G43300	CP18_g11724_DN3_SP0_c.t1, CP17_g5889_DN1_SP0_c.t1, CP1_g39400_DN3_SP0_c.t1, CP1_g39844_DN3_SP0_c.t1
OG0000007	AL9U10810, AL8G24640	CP8_g52162_DN2_SP0_c.t1
OG0000009	AL6G10570	CP18_g12171_DN2_SP0_c.t1
OG0000009	AL8G14160	CP3_g16492_DN1_SP0_c.t1
OG0000009	AL4G34770	CP15_g34443_DN2_SP0_c.t1
OG0000009	AL2G39630	CP12_g31672_DN2_SP0_c.t1
OG0000009	AL9U10020	CP8_g52568_DN1_SP0_c.t1
OG0000011	AL6G32670	CP9_g27503_DN1_SP0_c.t1, CP14_g23601_DN2_SP0_c.t1
OG0000011	AL8G24370	CP17_g5859_DN2_SP0_c.t1
OG0000011	AL2G23260	CP15_g35899_DN2_SP0_c.t1
OG0000015	AL25U10010, AL6G22310, AL7G26200	CP12_g31767_DN3_SP0_c.t1
OG0000015	AL3G46050	CP6_g9737_DN2_SP0_c.t1
OG0000015	AL2G24310	CP44_g20942_DN1_SP0_c.t1, CP26_g51311_DN3_SP0_c.t1, CP4_g26055_DN1_SP0_c.t1, CP15_g34881_DN2_SP0_c.t1, CP7_g44360_DN2_SP0_c.t1, CP1_g38946_DN3_SP0_c.t1, CP15_g34909_DN3_SP0_c.t1, CP27_g41956_DN2_SP0_c.t1, CP27_g41954_DN2_SP0_c.t1, CP7_g44359_DN2_SP0_c.t1, CP22_g17112_DN1_SP0_c.t1
OG0000020	AL189U10010, AL189U10020, AL3G44820, AL7G51100	CP17_g5482_DN2_SP0_c.t1, CP27_g41901_DN3_SP0_c.t1
OG0000021	AL39U10070, AL8G31610, AL7G45200, AL2G25080, AL5G20460, AL4G19440, AL6G42400, AL3G43480, AL5G24330, AL3G37170, AL6G47300, AL5G41490, AL3G52170, AL2G40700, AL8G33160, AL4G18100, AL8G23170, AL4G13400, AL4G20340, AL5G22660, AL3G44000, AL4G18810, AL564U10010, AL8G21810, AL2G20290, AL3G16850, AL9U11790, AL4G19170, AL7G47350, AL7G51150	CP7_g44363_DN3_SP0_c.t1, CP14_g23481_DN3_SP0_c.t1
OG0000023	AL5G19710, AL8G19910, AL1G56220, AL4G20380, AL7G45280, AL8G19630, AL1G65660, AL2G18620, AL8G19620, AL5G17960, AL7G43020, AL136U10040, AL8G18120, AL1G51450, AL6G40750, AL7G44260, AL5G21700, AL7G45880, AL1G51090, AL1G55700, AL5G28690, AL7G32690, AL3G37740, AL2G19210, AL8G29520, AL5G18610, AL1G66070, AL2G22450	CP35_g52033_DN3_SP0_c.t1
OG0000024	AL4G16470	CP2_g48829_DN3_SP0_c.t1
OG0000024	AL1G46280	CP6_g7457_DN2_SP0_c.t1, CP1_g39929_DN2_SP0_c.t1
OG0000024	AL5G23680	CP3_g13494_DN2_SP0_c.t1
OG0000029	AL5G20350, AL3G41570	CP4_g26313_DN1_SP0_c.t1, CP6_g8507_DN1_SP0_c.t1, CP15_g35521_DN1_SP0_c.t1, CP3_g15880_DN1_SP0_c.t1
OG0000029	AL1G65750	CP4_g26295_DN2_SP0_c.t1
OG0000029	nbis-gene-1243	CP4_g26137_DN1_SP0_c.t1
OG0000030	AL1G39630, AL1G35700, AL1G40180, AL1G40160, AL1G40170, AL3G27510	CP11_g31940_DN3_SP0_c.t1
OG0000030	AL5G29320, AL5G29310, AL5G29340	CP10_g43630_DN1_SP0_c.t1, CP2_g49394_DN2_SP0_c.t1
OG0000031	AL2G19770	CP12_g30554_DN2_SP0_c.t1, CP2_g49958_DN1_SP0_c.t1
OG0000031	AL3G43240	CP3_g15426_DN2_SP0_c.t1, CP12_g30550_DN3_SP0_c.t1, CP14_g22799_DN1_SP0_c.t1
OG0000031	AL2G29770	CP2_g49348_DN2_SP0_c.t1, CP26_g51323_DN1_SP0_c.t1
OG0000031	AL1G56200	CP15_g34657_DN1_SP0_c.t1, CP15_g34638_DN1_SP0_c.t1, CP15_g34584_DN1_SP0_c.t1, CP15_g34568_DN1_SP0_c.t1
OG0000031	AL5G21210	CP1_g38484_DN3_SP0_c.t1
OG0000032	AL4G17980	CP14_g22577_DN2_SP0_c.t1, CP25_g55995_DN1_SP0_c.t1, CP5_g3358_DN2_SP0_c.t1, CP64_g21088_DN3_SP0_c.t1
OG0000035	AL3G42660, AL4G33750, AL7G46520, AL6G43970	CP14_g23646_DN2_SP0_c.t1, CP14_g23679_DN2_SP0_c.t1, CP117_g56225_DN2_SP0_c.t1, CP103_g21003_DN2_SP0_c.t1, CP63_g12714_DN2_SP0_c.t1
OG0000035	AL6G50990	CP8_g52211_DN2_SP0_c.t1
OG0000035	AL1G64690	CP4_g26190_DN3_SP0_c.t1
OG0000035	AL7G52740, nbis-gene-1381, AL2G19330, AL4G18050, AL1G57000, AL6G38880, AL6G49460, AL782U10010, AL7G30300	CP7_g44169_DN2_SP0_c.t1, CP4_g26175_DN2_SP0_c.t1
OG0000038	AL3G42270, AL1G47700, AL6G40850, AL2G24190, AL2G32540, AL3G37700, AL7G41350	CP14_g22980_DN1_SP0_c.t1
OG0000038	AL6G51820, AL6G35520, AL1G48000	CP29_g22118_DN1_SP0_c.t1
OG0000038	AL2G20150, AL1G38790, AL3G17400	CP15_g35533_DN1_SP0_c.t1
OG0000038	AL3G48900, AL9U10400, AL7G34140, AL7G50840, AL5G16610, AL8G26890, AL8G33470, AL6G34380, AL6G16840, AL7G52520, AL6G30230, AL3G51220	CP29_g22117_DN1_SP0_c.t1
OG0000038	AL9U11250, AL3G29600, AL1G64180	CP8_g52351_DN2_SP0_c.t1
OG0000040	AL364U10020	CP13_g20255_DN1_SP0_c.t1
OG0000041	AL3G47420	CP2_g50310_DN2_SP0_c.t1
OG0000041	AL1G48060	CP6_g9686_DN3_SP0_c.t1, CP12_g31463_DN1_SP0_c.t1, CP15_g34935_DN3_SP0_c.t1
OG0000041	AL6G37950	CP14_g23587_DN3_SP0_c.t1, CP14_g22620_DN1_SP0_c.t1, CP1_g39917_DN2_SP0_c.t1, CP2_g50284_DN2_SP0_c.t1
OG0000041	AL4G11230	CP34_g51569_DN2_SP0_c.t1, CP1_g39385_DN3_SP0_c.t1, CP1_g41374_DN2_SP0_c.t1
OG0000042	AL1G54660	CP8_g52167_DN3_SP0_c.t1, CP5_g3067_DN2_SP0_c.t1, CP37_g11368_DN3_SP0_c.t1, CP37_g11369_DN1_SP0_c.t1, CP6_g9833_DN1_SP0_c.t1
OG0000043	AL4G22400	CP15_g35837_DN2_SP0_c.t1
OG0000043	AL1G50370	CP1_g41084_DN2_SP0_c.t1
OG0000043	AL8G19930	CP5_g1995_DN2_SP0_c.t1, CP14_g22990_DN1_SP0_c.t1
OG0000046	AL4G10770	CP15_g34716_DN3_SP0_c.t1
OG0000046	AL4G20190, AL3G44690, AL6G40760	CP8_g52809_DN3_SP0_c.t1
OG0000048	AL4G27770, AL4G27390	CP4_g25547_DN2_SP0_c.t1
OG0000048	AL1G62520	CP3_g14428_DN3_SP0_c.t1, CP12_g30253_DN2_SP0_c.t1, CP12_g30252_DN1_SP0_c.t1
OG0000048	AL2G14000, AL2G14020	CP9_g29505_DN2_SP0_c.t1
OG0000049	AL4G20550	CP3_g15633_DN2_SP0_c.t1
OG0000049	AL7G52580	CP21_g11009_DN3_SP0_c.t1
OG0000049	AL6G39930	CP17_g4884_DN2_SP0_c.t1, CP17_g4930_DN2_SP0_c.t1
OG0000049	AL5G16120, AL5G16140	CP1_g38897_DN1_SP0_c.t1, CP13_g20574_DN2_SP0_c.t1
OG0000049	AL1G47310	CP1_g38898_DN1_SP0_c.t1, CP3_g16790_DN1_SP0_c.t1, CP1_g41262_DN3_SP0_c.t1
OG0000050	AL1G24220	CP9_g27575_DN2_SP0_c.t1
OG0000050	AL4G27890	CP3_g15240_DN2_SP0_c.t1, CP5_g3337_DN1_SP0_c.t1
OG0000051	nbis-gene-988	CP2_g49248_DN2_SP0_c.t1
OG0000052	AL5G15900, AL5G15910, AL1G65610	CP13_g19766_DN3_SP0_c.t1
OG0000055	nbis-gene-725, AL3G41130	CP12_g30730_DN2_SP0_c.t1
OG0000055	AL3G33990, AL3G34120	CP12_g30848_DN3_SP0_c.t1
OG0000055	AL4G21820	CP10_g42516_DN3_SP0_c.t1
OG0000055	AL3G50860	CP10_g43729_DN2_SP0_c.t1
OG0000056	AL2G13790, AL2G14110	CP2_g49032_DN3_SP0_c.t1, CP2_g49030_DN3_SP0_c.t1
OG0000056	AL2G14050	CP2_g49077_DN3_SP0_c.t1
OG0000056	AL2G13900	CP11_g31796_DN3_SP0_c.t1
OG0000056	AL2G14090, AL2G14060, AL2G14070, AL2G14080	CP2_g49067_DN3_SP0_c.t1
OG0000056	AL5G26170	CP2_g49031_DN3_SP0_c.t1
OG0000058	AL5G26550, AL920U10010	CP17_g5406_DN1_SP0_c.t1
OG0000058	AL3G40670	CP13_g20701_DN3_SP0_c.t1
OG0000059	AL8G40920, AL7G34190, AL2G10380, AL1G59190	CP1_g38971_DN3_SP0_c.t1, CP20_g3949_DN2_SP0_c.t1
OG0000059	AL5G34630	CP22_g17654_DN3_SP0_c.t1, CP4_g26576_DN3_SP0_c.t1
OG0000060	AL8G36210	CP3_g14842_DN3_SP0_c.t1
OG0000060	AL5G24600	CP3_g14841_DN3_SP0_c.t1
OG0000060	AL8G36540	CP8_g53991_DN3_SP0_c.t1
OG0000060	AL1G17860	CP4_g25867_DN3_SP0_c.t1
OG0000062	AL5G20430	CP18_g12167_DN3_SP0_c.t1
OG0000062	AL8G40700, AL8G15100	CP12_g31035_DN3_SP0_c.t1, CP36_g50953_DN2_SP0_c.t1, CP20_g4061_DN2_SP0_c.t1, CP27_g41852_DN3_SP0_c.t1, CP3_g15593_DN3_SP0_c.t1, CP5_g2505_DN3_SP0_c.t1, CP20_g4062_DN3_SP0_c.t1
OG0000062	AL7G40460, AL2G19460, AL8G34860, AL8G13000	CP1_g40964_DN3_SP0_c.t1
OG0000063	AL5G31380	CP1_g41013_DN1_SP0_c.t1
OG0000063	AL1G67270	CP13_g20642_DN2_SP0_c.t1
OG0000063	AL60U10040	CP17_g5203_DN1_SP0_c.t1
OG0000063	AL6G44310	CP14_g23889_DN2_SP0_c.t1
OG0000063	AL2G36550	CP3_g16300_DN1_SP0_c.t1, CP4_g26798_DN1_SP0_c.t1, CP4_g26225_DN1_SP0_c.t1, CP3_g15486_DN2_SP0_c.t1, CP21_g10523_DN3_SP0_c.t1
OG0000063	AL7G44340, AL7G43200	CP21_g10524_DN1_SP0_c.t1
OG0000063	AL1G44840	CP12_g31118_DN1_SP0_c.t1
OG0000063	AL6G34160	CP3_g15363_DN1_SP0_c.t1
OG0000063	AL7G22190	CP6_g9672_DN2_SP0_c.t1, CP4_g26224_DN1_SP0_c.t1
OG0000064	nbis-gene-343, nbis-gene-349, nbis-gene-344, nbis-gene-348, nbis-gene-347, nbis-gene-1421, AL2G18870, nbis-gene-342, nbis-gene-435, nbis-gene-439, nbis-gene-434, nbis-gene-1420, nbis-gene-436, nbis-gene-440, nbis-gene-437, nbis-gene-1419, nbis-gene-438, nbis-gene-1176, nbis-gene-2026, nbis-gene-926, nbis-gene-1175, nbis-gene-2028, nbis-gene-2027, nbis-gene-2044, nbis-gene-1, nbis-gene-2024, nbis-gene-2025, nbis-gene-2023, nbis-gene-346, nbis-gene-345, nbis-gene-441	CP18_g12051_DN1_SP0_c.t1
OG0000065	AL7G51420	CP5_g1580_DN2_SP0_c.t1
OG0000066	AL6G20900	CP4_g25642_DN3_SP0_c.t1
OG0000066	AL1G19680, AL6G20890	CP2_g49425_DN3_SP0_c.t1
OG0000067	AL3G45170, AL1G31430	CP17_g5644_DN3_SP0_c.t1, CP17_g5532_DN2_SP0_c.t1
OG0000068	AL6G15310, AL6G14890, AL3G20260, AL3G20250, AL3G20240	CP12_g31237_DN3_SP0_c.t1
OG0000070	AL1G20940, AL3G47920, AL5G12840, AL5G12830	CP17_g5790_DN3_SP0_c.t1
OG0000070	AL4G11370, AL1G32980, AL2G24470	CP7_g45746_DN3_SP0_c.t1
OG0000072	AL6G44140	CP6_g8612_DN2_SP0_c.t1, CP3_g16600_DN2_SP0_c.t1, CP35_g52086_DN1_SP0_c.t1, CP14_g22893_DN2_SP0_c.t1
OG0000072	AL8G11190	CP22_g17290_DN2_SP0_c.t1, CP3_g16601_DN1_SP0_c.t1, CP12_g31150_DN2_SP0_c.t1, CP17_g5883_DN3_SP0_c.t1, CP6_g9758_DN1_SP0_c.t1
OG0000073	nbis-gene-12	CP13_g20431_DN2_SP0_c.t1
OG0000073	AL4G12860	CP15_g34957_DN1_SP0_c.t1
OG0000073	AL5G31050	CP6_g9730_DN1_SP0_c.t1
OG0000073	AL1G60290, AL5G25100	CP18_g12305_DN2_SP0_c.t1
OG0000075	AL8G23920	CP8_g52237_DN3_SP0_c.t1
OG0000076	AL7G10840	CP5_g77_DN1_SP0_c.t1
OG0000076	AL4G29500	CP4_g25364_DN3_SP0_c.t1
OG0000076	AL3G53220	CP8_g53270_DN3_SP0_c.t1, CP20_g3903_DN2_SP0_c.t1
OG0000077	AL8G13900, AL8G13920	CP13_g20036_DN3_SP0_c.t1, CP13_g20034_DN3_SP0_c.t1
OG0000077	AL5G12970, AL5G12940	CP13_g19516_DN3_SP0_c.t1
OG0000077	AL2G15700	CP2_g49677_DN1_SP0_c.t1
OG0000078	AL3G13710	CP10_g42379_DN1_SP0_c.t1
OG0000078	AL3G13720	CP10_g42380_DN2_SP0_c.t1
OG0000078	AL6G29220, AL6G29120	CP11_g32173_DN2_SP0_c.t1, CP11_g32163_DN2_SP0_c.t1
OG0000081	AL1G31420, AL8G29100, AL8G26420, AL6G33330	CP1_g40914_DN2_SP0_c.t1
OG0000083	AL9U10620	CP1_g38603_DN3_SP0_c.t1
OG0000083	AL6G26020	CP14_g23210_DN2_SP0_c.t1
OG0000083	AL3G43160	CP23_g21373_DN1_SP0_c.t1
OG0000083	AL8G41960, AL1G25560, AL2G11510, AL6G37350, AL6G45940, AL1G47930, AL4G15250, AL4G15260	CP14_g23271_DN2_SP0_c.t1
OG0000084	AL4G40730	CP17_g5202_DN3_SP0_c.t1
OG0000084	AL347U10020	CP6_g8210_DN1_SP0_c.t1
OG0000084	AL8G20470	CP6_g7639_DN2_SP0_c.t1
OG0000086	AL7G49470, AL7G47450	CP29_g21947_DN3_SP0_c.t1
OG0000089	AL6G35120	CP2_g48308_DN3_SP8_c.t1
OG0000089	AL8G39670	CP2_g48035_DN3_SP7_c.t1
OG0000089	AL5G25960	CP3_g14713_DN3_SP4_c.t1
OG0000089	AL4G24260	CP4_g25793_DN3_SP8_c.t1
OG0000089	AL6G23060	CP11_g32707_DN3_SP8_c.t1
OG0000089	AL8G15560	CP13_g20168_DN3_SP8_c.t1
OG0000089	AL7G33260	CP6_g6768_DN3_SP8_c.t1
OG0000089	AL4G30750	CP4_g25265_DN3_SP6_c.t1
OG0000089	AL2G35770	CP9_g29223_DN3_SP8_c.t1
OG0000091	AL5G26340, AL5G26330	CP8_g52786_DN3_SP0_c.t1
OG0000095	AL4G18500	CP16_g55159_DN2_SP0_c.t1
OG0000095	AL4G15530, nbis-gene-975, nbis-gene-1002, AL4G15600	CP16_g55090_DN3_SP0_c.t1, CP16_g55089_DN3_SP0_c.t1
OG0000095	AL4G15550	CP16_g55163_DN2_SP0_c.t1
OG0000096	AL3G41350, AL3G41330, AL3G41320, AL3G41340	CP12_g30984_DN3_SP0_c.t1, CP12_g30986_DN3_SP0_c.t1, CP12_g30930_DN3_SP0_c.t1
OG0000096	AL3G31590	CP6_g7572_DN1_SP0_c.t1
OG0000097	AL5G25560	CP29_g22155_DN1_SP0_c.t1, CP1_g40642_DN2_SP0_c.t1
OG0000098	AL3G43980	CP17_g5784_DN1_SP0_c.t1
OG0000098	AL4G14150	CP2_g48438_DN1_SP0_c.t1
OG0000099	AL4G17790, AL4G17810	CP18_g11891_DN2_SP0_c.t1, CP6_g9312_DN3_SP0_c.t1
OG0000100	AL2G16740	CP2_g49326_DN3_SP0_c.t1
OG0000100	AL7G51590, AL2G11390, AL2G11380, AL2G11220, AL2G14410, AL1G66330, AL3G49580, AL1G65640	CP2_g48891_DN3_SP0_c.t1
OG0000101	AL26U10050, AL3G41030, AL6G10700, AL1G60890	CP22_g17341_DN3_SP0_c.t1
OG0000102	AL6G49120	CP5_g1424_DN3_SP0_c.t1
OG0000111	AL6G41700, AL6G41690, AL496U10010, AL6G51840, AL496U10020, AL6G51870, AL6G41670, AL6G41680	CP6_g7513_DN2_SP0_c.t1, CP3_g14874_DN2_SP0_c.t1
OG0000111	AL5G18800	CP5_g1915_DN1_SP0_c.t1, CP5_g1912_DN2_SP0_c.t1, CP5_g1908_DN2_SP0_c.t1, CP5_g1919_DN2_SP0_c.t1, CP5_g1886_DN2_SP0_c.t1, CP5_g1935_DN3_SP0_c.t1, CP94_g6400_DN3_SP0_c.t1, CP5_g1897_DN2_SP0_c.t1, CP5_g1895_DN2_SP0_c.t1, CP5_g1905_DN3_SP0_c.t1
OG0000114	AL2G19090, AL2G20370, AL1G46930, AL8G13990, AL5G18470, AL5G18060, AL3G42080, AL4G18650, AL3G44910, nbis-gene-1272, nbis-gene-1271, AL1G50940	CP1_g39948_DN1_SP0_c.t1, CP1_g40795_DN2_SP0_c.t1, CP9_g27816_DN2_SP0_c.t1, CP17_g5831_DN3_SP0_c.t1, CP3_g15173_DN3_SP0_c.t1, CP13_g20753_DN3_SP0_c.t1, CP22_g17669_DN1_SP0_c.t1, CP3_g14115_DN3_SP0_c.t1, CP74_g56236_DN3_SP0_c.t1, CP95_g12691_DN3_SP0_c.t1, CP3_g14116_DN1_SP0_c.t1, CP22_g17668_DN1_SP0_c.t1, CP8_g52209_DN3_SP0_c.t1, CP18_g12092_DN3_SP0_c.t1, CP12_g30982_DN3_SP0_c.t1, CP7_g44473_DN2_SP0_c.t1, CP8_g52212_DN3_SP0_c.t1, CP17_g6028_DN3_SP0_c.t1, CP20_g4238_DN3_SP0_c.t1, CP7_g44474_DN2_SP0_c.t1, CP9_g27817_DN2_SP0_c.t1
OG0000115	AL7G53080	CP25_g55879_DN1_SP0_c.t1, CP29_g22137_DN2_SP0_c.t1, CP6_g9543_DN2_SP0_c.t1, CP4_g26131_DN2_SP0_c.t1
OG0000115	AL6G51530	CP25_g55878_DN2_SP0_c.t1
OG0000116	nbis-gene-997, AL1G35450, nbis-gene-1953, AL1G39460	CP59_g6663_DN3_SP0_c.t1, CP44_g20908_DN3_SP0_c.t1, CP18_g12569_DN3_SP0_c.t1
OG0000116	AL614U10020	CP14_g23531_DN3_SP0_c.t1, CP27_g41691_DN3_SP0_c.t1
OG0000116	AL6G43140	CP20_g3900_DN1_SP0_c.t1, CP2_g49406_DN2_SP0_c.t1
OG0000117	AL1G37270	CP7_g45432_DN3_SP0_c.t1
OG0000117	AL1G37280	CP7_g45431_DN3_SP0_c.t1
OG0000117	AL1G37400	CP7_g45420_DN3_SP0_c.t1
OG0000117	AL1G37440, AL1G37390	CP7_g45419_DN3_SP0_c.t1
OG0000117	AL1G37330, AL1G37340	CP7_g45418_DN3_SP0_c.t1
OG0000124	AL6G45480	CP5_g3062_DN1_SP0_c.t1
OG0000126	AL4G20870	CP4_g26270_DN2_SP0_c.t1
OG0000127	AL6G34020	CP8_g54114_DN3_SP0_c.t1
OG0000127	AL3G20660	CP11_g33621_DN2_SP0_c.t1
OG0000127	AL189U10030, AL8G36480	CP8_g54018_DN3_SP0_c.t1
OG0000127	AL5G24750	CP3_g14833_DN3_SP0_c.t1
OG0000127	AL4G23250	CP4_g25869_DN3_SP0_c.t1
OG0000128	AL5G41090	CP3_g13458_DN3_SP0_c.t1
OG0000129	AL2G19870	CP10_g42426_DN3_SP0_c.t1, CP14_g22722_DN3_SP0_c.t1
OG0000129	AL2G20180	CP9_g27597_DN3_SP0_c.t1, CP10_g43808_DN3_SP0_c.t1
OG0000129	AL1G60690, AL8G38710, AL8G38700, AL4G22760, AL4G22720, AL8G25830	CP2_g48114_DN3_SP0_c.t1
OG0000130	nbis-gene-1897	CP6_g7368_DN1_SP0_c.t1, CP6_g9750_DN1_SP0_c.t1, CP1_g38598_DN2_SP0_c.t1
OG0000130	AL6G41390, AL3G51120, AL7G52490	CP24_g47153_DN1_SP0_c.t1
OG0000130	AL8G32360	CP13_g20268_DN3_SP0_c.t1, CP2_g50524_DN2_SP0_c.t1
OG0000130	AL1G41300, AL3G31830	CP22_g17175_DN1_SP0_c.t1, CP8_g54204_DN2_SP0_c.t1
OG0000130	nbis-gene-1516	CP1_g39867_DN1_SP0_c.t1
OG0000130	nbis-gene-2162	CP3_g15569_DN2_SP0_c.t1, CP8_g54335_DN2_SP0_c.t1
OG0000130	AL3G43990	CP2_g49700_DN3_SP0_c.t1
OG0000134	AL1G67280, AL1G67230, AL1G67210	CP12_g31654_DN3_SP0_c.t1
OG0000134	AL4G22770	CP12_g31633_DN3_SP0_c.t1
OG0000137	AL8G30910	CP29_g22095_DN2_SP0_c.t1
OG0000138	AL5G45240	CP4_g26545_DN2_SP0_c.t1
OG0000140	AL1G44310, AL6G40950, nbis-gene-927	CP12_g31007_DN2_SP0_c.t1
OG0000140	AL8G35610, AL1G29430, AL2G32620	CP2_g49134_DN3_SP0_c.t1, CP14_g23074_DN2_SP0_c.t1
OG0000141	AL1G23600	CP1_g37531_DN2_SP0_c.t1
OG0000141	AL1G23590	CP1_g37530_DN3_SP0_c.t1
OG0000143	AL3G54050	CP33_g3610_DN1_SP0_c.t1, CP3_g15651_DN3_SP0_c.t1
OG0000148	nbis-gene-250	CP1_g38394_DN3_SP0_c.t1
OG0000148	AL2G11100	CP8_g53130_DN2_SP0_c.t1
OG0000148	AL1G54580, AL1G54620	CP1_g38017_DN2_SP0_c.t1
OG0000148	AL3G17170	CP16_g55147_DN3_SP0_c.t1, CP7_g44768_DN1_SP0_c.t1
OG0000148	nbis-gene-1537	CP7_g45047_DN1_SP0_c.t1
OG0000150	AL4G25960, AL4G15810	CP15_g34449_DN2_SP0_c.t1
OG0000154	AL6G29770, AL6G29780	CP1_g38036_DN1_SP0_c.t1, CP1_g38035_DN2_SP0_c.t1
OG0000155	AL481U10020	CP10_g43760_DN1_SP0_c.t1
OG0000157	AL8G27960, AL1G29270	CP3_g13734_DN3_SP0_c.t1
OG0000160	AL3G52950	CP10_g43624_DN3_SP8_c.t1
OG0000160	AL7G22000	CP5_g984_DN3_SP8_c.t1
OG0000160	AL8G33330	CP8_g53733_DN3_SP8_c.t1
OG0000160	AL3G44180	CP17_g5850_DN3_SP8_c.t1
OG0000160	AL2G40780	CP9_g29643_DN3_SP8_c.t1
OG0000160	AL4G15040	CP16_g55126_DN3_SP8_c.t1
OG0000161	AL1G16160, AL2G19110	CP2_g49800_DN1_SP0_c.t1
OG0000162	AL4G28780, AL8G17590	CP4_g25433_DN2_SP0_c.t1
OG0000162	nbis-gene-1071	CP4_g25434_DN2_SP0_c.t1
OG0000163	AL3G45620	CP26_g51269_DN2_SP0_c.t1
OG0000167	nbis-gene-789	CP12_g30688_DN2_SP0_c.t1
OG0000171	AL8G28000	CP8_g53294_DN3_SP8_c.t1
OG0000171	AL7G47650	CP19_g17855_DN3_SP6_c.t1
OG0000171	AL2G10770	CP13_g19098_DN3_SP8_c.t1
OG0000171	AL3G49460	CP10_g43893_DN3_SP8_c.t1
OG0000171	AL8G31780	CP8_g53599_DN3_SP8_c.t1
OG0000171	AL3G19690	CP10_g42832_DN3_SP8_c.t1
OG0000171	AL7G24680	CP5_g1205_DN3_SP7_c.t1
OG0000173	AL7G12140	CP5_g175_DN2_SP0_c.t1
OG0000175	AL1G37260	CP9_g28660_DN3_SP6_c.t1, CP7_g45435_DN3_SP8_c.t1
OG0000175	AL2G29860	CP2_g47507_DN3_SP0_c.t1
OG0000175	AL6G25440	CP11_g32500_DN3_SP8_c.t1
OG0000175	AL2G23510	CP4_g24004_DN3_SP6_c.t1, CP3_g13159_DN3_SP8_c.t1
OG0000177	AL6G51590, AL1G34280	CP9_g29342_DN3_SP0_c.t1
OG0000178	AL6G48020	CP11_g31843_DN3_SP0_c.t1
