Orthogroup	Arabidopsis_lyrata_Rawat	Cardamine_hirsuta
OG0000108	AL6G20220	CARHR203590
OG0000108	AL1G56110	CARHR094190
OG0000111	AL6G41670, AL6G41680	CARHR161700, CARHR161720
OG0000111	AL5G32600, AL5G34240, AL3G50380, AL5G18800, AL2G34810	CARHR148290
OG0000114	AL2G19090, AL2G20370, AL1G46930, AL8G13990, AL5G18470, AL5G18060, AL3G42080, AL4G18650, AL3G44910, nbis-gene-1272, nbis-gene-1271, AL1G50940	CARHR258830, CARHR283860
OG0000114	AL6G40550	CARHR118270
OG0000115	AL7G53080	CARHR155450
OG0000116	AL6G43140	CARHR101930
OG0000117	AL1G37280	CARHR023950
OG0000117	AL1G37410	CARHR024070
OG0000117	AL1G37440	CARHR024100
OG0000118	AL4G35680, AL4G35660, AL4G35650	CARHR133050
OG0000118	AL7G47920	CARHR133070, CARHR133060
OG0000118	AL3G38540, AL3G38550	CARHR099660
OG0000119	AL5G25370	CARHR150070, CARHR118170
OG0000119	AL4G18370, AL4G18360, AL4G18340	CARHR114860
OG0000119	AL5G21720, AL5G21730	CARHR256190, CARHR263010
OG0000119	AL6G15230	CARHR143200, CARHR207890
OG0000119	AL5G24100	CARHR150200
OG0000122	AL8G32110	CARHR269730
OG0000122	AL8G31960	CARHR129080, CARHR031770, CARHR269910, CARHR269890
OG0000125	AL1G17740	CARHR007350
OG0000125	AL1G55940	CARHR039100
OG0000125	AL1G59870	CARHR041970
OG0000125	AL3G41990	CARHR102140
OG0000126	AL4G20870	CARHR103200
OG0000126	nbis-gene-676, nbis-gene-264	CARHR256860
OG0000127	AL1G18070	CARHR007600
OG0000127	AL6G34020	CARHR190650
OG0000127	AL6G11840	CARHR210790
OG0000127	AL189U10030, AL8G36480	CARHR273520
OG0000127	AL5G24750	CARHR154390
OG0000127	AL4G23250	CARHR121850
OG0000128	AL5G41150	CARHR061850
OG0000128	AL8G16450	CARHR061820
OG0000128	AL5G41130	CARHR123020, CARHR061840
OG0000128	AL5G41080	CARHR169580
OG0000128	AL5G41090	CARHR169600
OG0000128	AL5G41050	CARHR169570
OG0000129	AL2G19870	CARHR038520, CARHR038560, CARHR056630
OG0000129	AL2G19970	CARHR056640
OG0000129	AL1G60690, AL8G38710, AL8G38700	CARHR275720, CARHR275710
OG0000129	AL4G22760, AL4G22720	CARHR120250, CARHR120240, CARHR120610
OG0000129	AL2G19840	CARHR038530, CARHR038540, CARHR056610
OG0000130	AL6G41390, AL3G51120, AL7G52490	CARHR158410, CARHR153220, CARHR117340, CARHR057000
OG0000130	AL8G32360, AL1G41300, AL3G31830	CARHR038370, CARHR217450
OG0000130	nbis-gene-1516	CARHR056860
OG0000130	nbis-gene-2009	CARHR183650
OG0000130	AL2G19800	CARHR183660
OG0000132	AL5G36020	CARHR164880
OG0000132	AL6G44370	CARHR256230
OG0000132	AL8G40480	CARHR277270
OG0000132	AL315U10010, AL7G51940, AL7G52020, AL7G52000	CARHR214020
OG0000134	AL1G67280, AL1G67230, AL1G67210	CARHR054550, CARHR054640, CARHR054580
OG0000134	AL2G23230	CARHR106050
OG0000134	AL1G52710	CARHR202010
OG0000134	AL8G17970, AL8G17980, AL20U10060, AL20U10050, AL20U10040, AL20U10020, AL6G21880	CARHR202050
OG0000137	AL8G30930	CARHR268720
OG0000137	AL8G30920	CARHR268700
OG0000137	AL8G30900	CARHR268690
OG0000137	AL8G30890	CARHR268680
OG0000138	AL5G40800	CARHR169360
OG0000138	AL5G40760	CARHR169320
OG0000138	AL5G40850	CARHR169390
OG0000140	AL6G10840	CARHR146770
OG0000141	AL1G23600	CARHR012600
OG0000141	AL1G23590	CARHR012590
OG0000141	AL1G23500	CARHR012520
OG0000141	AL7G41510	CARHR220850
OG0000141	AL1G23480	CARHR013070
OG0000143	AL3G54050	CARHR287550, CARHR116230, CARHR285000, CARHR181670, CARHR183500
OG0000148	nbis-gene-250	CARHR037410
OG0000148	nbis-gene-277	CARHR040900
OG0000148	AL2G11100	CARHR040920
OG0000148	AL1G54580, AL1G54620	CARHR037710, CARHR037720, CARHR037850
OG0000150	AL4G25960, AL4G15810	CARHR217380, CARHR294480
OG0000151	AL5G36230	CARHR165130
OG0000151	AL5G36220	CARHR165120
OG0000151	AL4G36690	CARHR134140
OG0000151	AL5G36210	CARHR165110
OG0000151	AL5G34430	CARHR163410
OG0000151	AL4G33730	CARHR132240
OG0000151	AL6G24190	CARHR199860
OG0000153	AL4G25560	CARHR124170, CARHR124160
OG0000153	AL4G23900	CARHR122600, CARHR122610
OG0000153	AL4G23860	CARHR122560
OG0000153	AL1G17600	CARHR007190
OG0000154	AL1G58520	CARHR040870
OG0000154	AL6G29770, AL6G29780	CARHR121480
OG0000154	AL1G58510	CARHR041490, CARHR040850
OG0000154	AL1G66290, AL1G58490	CARHR040760, CARHR040790, CARHR041510
OG0000157	AL1G44400	CARHR144020
OG0000157	AL8G27960, AL1G29270	CARHR029970
OG0000158	nbis-gene-1710, AL2G28170	CARHR113640
OG0000158	AL7G32560, AL7G30180, AL7G33450	CARHR210870
OG0000160	AL3G52950	CARHR109500
OG0000160	AL7G22000	CARHR238090
OG0000160	AL8G33330	CARHR271150
OG0000160	AL3G44180	CARHR104060
OG0000160	AL5G20850	CARHR153650
OG0000160	AL2G40780	CARHR073860
OG0000160	AL4G15040	CARHR117520
OG0000161	AL1G16160	CARHR059960, CARHR284490
OG0000162	nbis-gene-1071	CARHR127170
OG0000162	nbis-gene-1199	CARHR145900
OG0000162	AL5G13350	CARHR145910, CARHR145930
OG0000162	AL3G42410	CARHR102790, CARHR102800, CARHR102820
OG0000162	AL3G42400, AL3G42420	CARHR102810, CARHR103310
OG0000162	AL4G28810, AL4G28800	CARHR127190
OG0000163	AL3G45620	CARHR058120, CARHR218430
OG0000165	AL3G46810	CARHR085710, CARHR085700, CARHR085180
OG0000167	AL3G41660	CARHR096990
OG0000167	AL3G35160, AL3G35150	CARHR097030
OG0000167	AL5G24180	CARHR150060
OG0000167	nbis-gene-789	CARHR099220
OG0000169	AL3G52290	CARHR043210
OG0000169	AL1G53540, AL1G53520	CARHR219990
OG0000170	AL4G44750	CARHR140800
OG0000170	AL4G44740	CARHR186310, CARHR140760
OG0000170	AL4G44730	CARHR140780, CARHR140790, CARHR140740
OG0000171	AL8G28000	CARHR266340
OG0000171	AL7G47650, AL2G10770	CARHR046700
OG0000171	AL3G49460	CARHR107000
OG0000171	AL8G31780	CARHR269520
OG0000171	AL3G19690	CARHR082990
OG0000171	AL7G24680	CARHR235660
OG0000173	AL7G12140	CARHR246590
OG0000173	AL7G12760	CARHR246290, CARHR146050
OG0000174	AL5G24470, AL6G38890, AL3G40990, AL6G49470, AL2G19320, AL4G18060, AL1G56990	CARHR292260, CARHR102990
OG0000174	AL1G41050	CARHR115250
OG0000175	AL1G37260	CARHR023910
OG0000175	AL2G29860	CARHR063650
OG0000175	AL1G21480	CARHR010800
OG0000175	AL6G25440	CARHR198650
OG0000175	AL2G23510	CARHR142560
OG0000176	AL57U10030	CARHR291360, CARHR291330
OG0000176	AL2G31050	CARHR176300
OG0000176	AL2G31060, AL158U10020, AL158U10030	CARHR291350, CARHR291370
OG0000177	AL1G34300	CARHR021660
OG0000177	AL1G34280	CARHR181970
OG0000177	AL1G34360	CARHR059110
OG0000178	AL6G47960	CARHR253020
OG0000178	AL6G47980	CARHR250370
OG0000178	AL6G47970	CARHR250360
OG0000178	AL6G48020	CARHR252970, CARHR263930
OG0000178	AL6G47990	CARHR252960
OG0000179	AL1G65670	CARHR284060, CARHR284130, CARHR283910, CARHR284020, CARHR283760, CARHR284100, CARHR283900, CARHR053500, CARHR284050, CARHR284010
OG0000179	AL2G17810	CARHR284070
OG0000179	AL2G17250	CARHR283730
OG0000179	AL2G16980	CARHR053290, CARHR283710, CARHR053930
OG0000182	AL7G51710, AL5G39240, AL1G52920, AL5G39230	CARHR167770
OG0000182	nbis-gene-1319	CARHR265190
OG0000182	AL1G58420	CARHR166230
OG0000183	AL2G24200, AL7G46650	CARHR215030
OG0000183	AL5G38180	CARHR136200
OG0000183	AL5G21780	CARHR191680, CARHR114540
OG0000183	AL4G20560	CARHR119300
OG0000184	AL3G36220	CARHR097900
OG0000185	AL5G14060	CARHR279920
OG0000185	AL1G37710, AL1G37720, AL1G37670	CARHR087540, CARHR087530
OG0000185	AL1G42110, AL1G41350	CARHR028040
OG0000186	AL8G31350	CARHR147550, CARHR269160
OG0000186	AL5G11890	CARHR145130
OG0000187	nbis-gene-932, AL4G10910	CARHR112670, CARHR112680
OG0000187	AL1G32210	CARHR020040
OG0000188	AL7G22270	CARHR078890
OG0000188	AL6G22480, AL6G22490, AL6G22600	CARHR201470
OG0000189	AL5G31720	CARHR160880
OG0000189	AL7G15090	CARHR244350
OG0000189	AL3G50830	CARHR108220
OG0000189	AL2G35850	CARHR069390
OG0000189	AL1G32900	CARHR020570
OG0000192	AL2G13220	CARHR233830
OG0000193	AL3G29460	CARHR031320, CARHR091800, CARHR036940
OG0000193	AL3G46410, AL3G46450, AL8G22710, AL3G29470	CARHR091790
OG0000193	AL1G53610	CARHR036380, CARHR036970
OG0000193	AL1G46640, AL1G46660, AL1G46620	CARHR031880
OG0000195	AL3G48600	CARHR155390
OG0000195	AL3G48580	CARHR175700
OG0000195	AL8G36490	CARHR273570
OG0000196	AL7G47590, AL7G47570, AL7G47600, AL4G22240, AL7G47850	CARHR272910, CARHR213580, CARHR272900, CARHR287600, CARHR287570, CARHR212840, CARHR289150
OG0000196	AL7G47540	CARHR288390, CARHR291930, CARHR212850, CARHR212830, CARHR285160, CARHR291950, CARHR288120, CARHR287580, CARHR213590
OG0000196	AL7G47550	CARHR288130, CARHR291940, CARHR213880
OG0000196	AL7G47890	CARHR262360
OG0000197	AL7G34550	CARHR215070, CARHR051370
OG0000197	AL7G34520	CARHR226280, CARHR226370
OG0000198	AL5G13150, AL5G10520	CARHR144080
OG0000198	AL1G26980, AL1G27000	CARHR015470
OG0000198	AL1G27010	CARHR015480
OG0000198	AL5G15240	CARHR147290
OG0000199	AL1G59580, AL1G61110, AL1G54760	CARHR063270, CARHR063300, CARHR163030, CARHR063260, CARHR063690, CARHR063700, CARHR263650
OG0000199	AL7G22480	CARHR251110, CARHR215270
OG0000200	AL1G42930	CARHR203250
OG0000200	AL1G44070	CARHR028750, CARHR037140
OG0000200	AL1G44060	CARHR037150
OG0000202	AL6G50950	CARHR250390, CARHR248840, CARHR250050, CARHR250400
OG0000203	AL5G39980, AL5G40000	CARHR168640
OG0000203	AL5G40120	CARHR168590, CARHR259860
OG0000203	AL5G40110	CARHR168740
OG0000203	AL5G40140	CARHR168770
OG0000203	AL5G40100	CARHR168690
OG0000205	AL6G41080	CARHR286250
OG0000208	AL4G14050	CARHR183230
OG0000209	AL5G25310	CARHR014740, CARHR010320
OG0000209	AL6G20830	CARHR202500
OG0000209	AL4G30220	CARHR125670, CARHR125660, CARHR124000
OG0000209	AL1G43860	CARHR008650
OG0000210	AL4G44040	CARHR140170
OG0000210	AL2G25640	CARHR059620
OG0000210	AL2G23580	CARHR057970
OG0000215	AL22U10020, AL4G18700, AL6G38570, AL4G16420, AL2G18820	CARHR284710
OG0000216	AL6G47240	CARHR253820, CARHR253860, CARHR253850
OG0000216	AL6G47230	CARHR253870
OG0000216	AL6G44750	CARHR253840
OG0000216	AL2G18850	CARHR054340
OG0000216	AL5G37800	CARHR166590
OG0000219	AL7G46090, AL7G49700, AL7G49110, AL7G49680	CARHR065380
OG0000219	AL7G49130, AL7G46120	CARHR123890
OG0000225	AL2G39120	CARHR072290
OG0000225	AL2G28790	CARHR072270, CARHR141370
OG0000225	AL2G39130	CARHR201930, CARHR072280
OG0000226	AL5G23490	CARHR118070, CARHR209970
OG0000226	AL6G44610	CARHR256020
OG0000227	AL3G16300	CARHR080100
OG0000227	AL6G37850	CARHR039350
OG0000227	AL3G46870	CARHR105540
OG0000229	AL4G17660, AL4G17920, AL4G17900	CARHR062190
OG0000229	AL8G38260, AL1G56710, AL1G65810, AL5G20810	CARHR004570
OG0000230	AL5G40610, AL5G40780	CARHR186450, CARHR286030
OG0000230	AL5G40710	CARHR169400
OG0000232	AL3G48740	CARHR122740
OG0000232	AL1G53480	CARHR110940
OG0000232	AL8G13400	CARHR174010, CARHR102280
OG0000233	AL6G17860	CARHR205610
OG0000233	AL6G17870	CARHR205600, CARHR205590, CARHR205580
OG0000234	AL6G12270	CARHR095190
OG0000234	AL6G12280, AL6G12310, AL3G47640, AL1G59710, AL1G59720, AL6G12290	CARHR100580, CARHR100650, CARHR100570
OG0000234	AL6G12300	CARHR210300
OG0000235	AL4G35970, AL463U10040, AL4G36830	CARHR133380
OG0000235	AL7G47200	CARHR170750
OG0000236	AL2G28820	CARHR062600
OG0000236	AL2G23070	CARHR000080, CARHR100230, CARHR102630
OG0000237	AL5G33670	CARHR043980, CARHR044120
OG0000237	AL3G35490	CARHR238210, CARHR097380
OG0000238	AL2G30310	CARHR064140
OG0000238	AL6G40180	CARHR185670
OG0000238	AL6G40330	CARHR023530, CARHR023500, CARHR023520, CARHR023510
OG0000238	AL2G30370	CARHR064120
OG0000241	AL7G32050	CARHR228610
OG0000241	AL6G48290	CARHR252730
OG0000241	AL6G48310	CARHR107520
OG0000242	AL3G16620	CARHR102150, CARHR119540, CARHR119080, CARHR180810, CARHR264270, CARHR101660, CARHR102130, CARHR102230, CARHR102520, CARHR183240
OG0000243	AL1G43260	CARHR028880, CARHR028810
OG0000244	AL6G49330, AL6G48870	CARHR252260, CARHR252270, CARHR252310, CARHR252320, CARHR252280
OG0000244	AL6G48830	CARHR251320, CARHR252330, CARHR252290
OG0000244	AL6G49970, AL6G49560	CARHR251330
OG0000246	AL4G32990	CARHR131170, CARHR131180
OG0000246	AL4G32970	CARHR131110
OG0000246	AL4G32980	CARHR131140, CARHR131130, CARHR131150, CARHR131160
OG0000247	AL7G52080	CARHR291820
OG0000247	AL7G25460	CARHR217360
OG0000247	AL8G22470, AL5G29460	CARHR263700
OG0000247	AL3G40220, AL3G40940, AL3G40610	CARHR101580, CARHR101880, CARHR101530
OG0000248	AL2G29310	CARHR063140
OG0000248	AL2G29280	CARHR063150
OG0000248	AL5G35460	CARHR063130
OG0000250	AL6G48650	CARHR252250
OG0000251	AL5G15050, AL5G15060, AL5G15070	CARHR147300
OG0000251	AL5G15090	CARHR147330
OG0000251	AL5G15100	CARHR147340
OG0000251	AL8G33230	CARHR271060
OG0000252	AL7G20350	CARHR230420
OG0000252	AL2G12370, AL2G12360	CARHR048360, CARHR048350, CARHR048370
OG0000252	AL2G37720	CARHR071040
OG0000252	AL2G37740	CARHR071060, CARHR071050
OG0000253	AL3G24230	CARHR087080
OG0000253	AL3G20620	CARHR083850
OG0000253	AL1G19520	CARHR000060, CARHR229590
OG0000253	AL6G11740	CARHR210880
OG0000254	AL7G39720	CARHR290080
OG0000254	AL7G39760	CARHR290060, CARHR290070
OG0000254	AL7G39740	CARHR290100
OG0000256	AL3G42640	CARHR024770
OG0000256	AL3G37010, AL3G37000	CARHR099690
OG0000257	AL2G35830	CARHR069250, CARHR069290, CARHR069270
OG0000260	AL7G11510	CARHR247220
OG0000260	AL7G51580	CARHR260330
OG0000260	AL8G26210, AL311U10010	CARHR264830
