Orthogroup	Arabidopsis_lyrata_Rawat	Arabidopsis_thaliana
OG0000046	AL6G43460, AL8G24550, AL3G45110, AL3G45080, AL6G44180, AL8G21960, AL3G43290, AL1G51180, AL4G17640	AT3G31910.1, AT5G28810.1, AT2G10260.1
OG0000046	AL3G40680	AT1G37020.1
OG0000046	AL1G60090, AL7G41120, AL6G41380	AT5G45570.1, AT4G08430.1
OG0000048	AL8G43560	AT5G65850.1
OG0000051	AL4G40940	AT2G42460.1
OG0000051	AL4G40960	AT2G42470.1
OG0000051	AL2G15770	AT2G42455.1
OG0000052	AL5G15900	AT3G26930.2
OG0000052	AL5G15910	AT3G26922.1
OG0000052	AL1G65610	AT1G55030.2
OG0000052	AL5G31970	AT3G51530.1
OG0000052	AL5G28950	AT2G04230.1
OG0000052	AL5G28540	AT3G49020.1
OG0000055	nbis-gene-725	AT3G19470.1
OG0000055	AL3G41130	AT3G22770.1
OG0000055	nbis-gene-248, AL3G40140, AL3G40130	AT3G24580.1
OG0000055	AL3G33990, AL3G34120	AT3G23420.1
OG0000055	AL3G30730, AL3G30470	AT3G17620.1
OG0000055	AL3G38080	AT3G18120.1
OG0000055	AL3G29740	AT3G16820.1
OG0000055	AL3G29670	AT3G16740.1
OG0000055	AL3G53160, AL3G53140	AT2G18780.1
OG0000055	AL3G50860	AT2G17830.1, AT5G42460.1
OG0000055	AL3G30370	AT3G17320.1
OG0000056	AL2G14100	AT1G61960.1
OG0000056	AL2G13770	AT1G62150.1
OG0000056	AL2G13820	AT1G62110.1, AT1G62085.1
OG0000056	AL2G13790, AL2G14110	AT1G62120.1
OG0000056	AL2G14050	AT1G61990.1
OG0000056	AL2G14070	AT1G61980.1
OG0000056	AL2G14080	AT1G61970.1
OG0000056	AL5G26170	AT3G46950.1
OG0000060	AL1G18100	AT3G46320.1
OG0000060	AL8G36210	AT3G53730.1
OG0000060	AL8G36540, AL1G17860	AT2G28740.1
OG0000061	AL1G55020	AT1G48390.1
OG0000061	AL1G54400	AT1G48400.1
OG0000061	nbis-gene-1510	AT5G12450.1
OG0000061	AL7G25770	AT4G27050.1
OG0000061	AL1G53180	AT1G21990.1
OG0000064	nbis-gene-343, nbis-gene-349, nbis-gene-344, nbis-gene-348	AT4G07515.1
OG0000064	nbis-gene-347, nbis-gene-1421, AL2G18870, nbis-gene-342, nbis-gene-435, nbis-gene-439, nbis-gene-434, nbis-gene-1420, nbis-gene-436, nbis-gene-440, nbis-gene-437, nbis-gene-1419, nbis-gene-438	AT4G08025.1
OG0000064	nbis-gene-1176, nbis-gene-2026, nbis-gene-926, nbis-gene-1175, nbis-gene-2028, nbis-gene-2027, nbis-gene-2044, nbis-gene-1, nbis-gene-2024, nbis-gene-2025, nbis-gene-2023	AT5G42567.1, AT5G34883.1, AT5G34885.1, AT5G34905.1, AT5G34881.1, AT5G34887.1, AT5G42955.1, AT5G42957.1, AT5G34882.1, AT3G30383.1, AT3G30385.1, AT3G30387.1
OG0000064	nbis-gene-346, nbis-gene-345, nbis-gene-441	AT5G34908.1
OG0000065	AL2G25320	AT1G67000.1
OG0000065	AL2G25210	AT1G66930.2
OG0000065	AL2G25200	AT1G66920.2
OG0000065	AL7G52590	AT5G38260.1
OG0000065	AL7G51420	AT5G39020.1
OG0000066	AL6G20900	AT5G10390.1, AT3G27360.1
OG0000066	AL6G20890	AT1G09200.1
OG0000066	AL2G35590, AL6G41640	AT1G13370.1
OG0000066	AL2G35580	AT1G75600.1
OG0000066	AL7G12340, AL6G21580, AL7G12350	AT5G10980.1
OG0000066	AL1G32620	AT1G19890.1
OG0000068	AL3G20250, AL3G20240	AT3G09160.1
OG0000068	AL8G28020, AL8G27750	AT5G53700.1
OG0000068	AL6G12890	AT5G03495.1
OG0000068	AL6G12860	AT5G03480.1
OG0000069	AL5G45620	AT3G62850.1
OG0000069	AL1G11090	AT5G35640.1, AT1G01355.1
OG0000069	AL5G36780	AT5G39640.1
OG0000070	AL1G20940	AT1G10230.1
OG0000070	AL3G47920	AT2G20160.1
OG0000070	AL5G12840	AT2G03190.1
OG0000070	AL5G12830	AT3G25650.1, AT2G03170.1
OG0000070	AL4G11370, AL1G32980	AT1G20140.1, AT2G25700.1
OG0000070	AL2G35960	AT1G75950.1
OG0000070	AL8G19640	AT5G42190.1
OG0000070	AL5G42190	AT3G60010.1
OG0000070	AL7G16760	AT4G34210.1
OG0000072	AL8G19360, AL8G19010	AT3G42140.1
OG0000075	AL7G11590	AT4G39550.1
OG0000075	nbis-gene-1691	AT4G39580.1
OG0000075	AL7G11690	AT4G39560.1
OG0000075	AL34U10100, AL8G22340	AT5G49000.2
OG0000075	AL2G16030	AT1G60570.1
OG0000076	AL7G10840	AT4G38940.1
OG0000077	AL8G13900	AT5G45220.1
OG0000077	AL1G67300	AT1G57670.1
OG0000077	AL2G18750	AT1G47370.1
OG0000077	AL5G12970, AL5G12940	AT2G03030.1, AT2G03300.1
OG0000077	AL1G20220	AT1G09665.1
OG0000077	AL2G15700	AT1G60320.1
OG0000078	AL3G13680	AT3G03820.1
OG0000078	AL3G13710	AT3G03830.1
OG0000078	AL3G13720	AT3G03840.1
OG0000078	AL6G29210, AL6G29240	AT5G18050.1, AT5G18060.1
OG0000078	AL6G29180	AT5G18020.1
OG0000078	AL6G29190	AT5G18080.1, AT5G18010.1
OG0000079	AL3G51940, AL1G57050, AL5G16890, AL1G58560, AL1G58670, AL4G20020, AL1G30000, AL5G27080, AL8G14210	AT2G07190.1
OG0000081	AL1G31420, AL8G29100, AL8G26420, AL6G33330	AT3G30165.1
OG0000086	AL8G39760	AT5G62800.1
OG0000086	AL7G46850, AL7G46860	AT5G37890.1
OG0000086	nbis-gene-1913	AT5G37870.1
OG0000086	AL7G53060	AT5G37900.1, AT5G37910.1
OG0000086	AL2G24580	AT1G66610.1
OG0000086	AL2G24590	AT1G66620.1
OG0000086	AL2G24600	AT1G66630.1
OG0000089	AL6G35120	AT5G23860.1
OG0000089	AL8G39670	AT5G62700.1, AT5G62690.1
OG0000089	AL4G24260	AT2G29550.1
OG0000089	AL6G23060	AT5G12250.1
OG0000089	AL8G15560	AT5G44340.1
OG0000089	AL7G33260	AT4G20890.1
OG0000089	AL1G32740	AT1G20010.1
OG0000089	AL2G35770	AT1G75780.1
OG0000091	AL5G26360	AT3G47090.1
OG0000091	AL5G26350	AT3G47580.1
OG0000091	AL5G26810	AT3G47570.1
OG0000091	AL6G32010	AT5G20480.1
OG0000091	AL8G24400	AT5G39390.1
OG0000091	AL5G26370	AT3G47110.1
OG0000092	AL3G43310	AT3G29765.1
OG0000092	AL8G24810	AT1G19260.1, AT4G09660.1
OG0000095	AL4G15530, nbis-gene-975, nbis-gene-1002, AL4G15600	AT1G64840.1
OG0000095	AL4G14510, AL4G14520	AT2G24250.1
OG0000096	AL3G41350	AT3G25460.1
OG0000096	nbis-gene-1973	AT5G47300.1
OG0000096	AL3G31600	AT3G18320.1
OG0000096	AL3G31620, AL3G31610	AT3G18330.1
OG0000096	AL3G32310	AT3G18910.1
OG0000096	AL3G32820, AL3G50560	AT3G19410.1
OG0000096	AL3G32300	AT3G18905.1
OG0000096	AL3G22030	AT1G25141.1
OG0000096	AL3G31590	AT4G09870.1
OG0000098	AL1G41020, AL1G41000, AL1G41010	AT1G27550.1
OG0000098	AL4G14170	AT2G24080.1
OG0000098	AL6G44880	AT4G10820.1
OG0000098	AL6G37020	AT5G25300.1
OG0000098	AL6G37130	AT5G25290.1
OG0000100	AL1G66260	AT1G56510.1
OG0000100	AL1G66350	AT1G56540.1
OG0000100	AL7G51590	AT5G38850.1
OG0000100	AL2G11390	AT1G63730.1
OG0000100	AL2G11380	AT1G63740.2
OG0000100	AL3G49580	AT2G16870.1
OG0000100	AL2G11260	AT1G63860.1
OG0000102	AL6G49150	AT4G03635.1
OG0000102	AL6G45160, AL6G49080, AL320U10010	AT4G05470.1, AT4G05475.1
OG0000102	AL6G49120	AT4G05497.1
OG0000102	AL9U10550, AL9U10540	AT5G52480.1
OG0000102	AL6G49050	AT4G05460.1
OG0000106	AL6G40690	AT2G07760.1
OG0000106	AL4G15570	AT5G28823.1
OG0000107	AL8G20150	AT5G47990.1
OG0000107	AL7G40290	AT4G15350.1
OG0000107	AL3G33810	AT3G20140.1
OG0000107	AL3G33780	AT3G20080.1
OG0000107	AL3G33760	AT3G20100.1
OG0000107	AL3G34900	AT3G20960.2
OG0000107	AL3G33830, AL3G42780	AT3G20090.2
OG0000107	nbis-gene-1853	AT4G15360.1
OG0000107	AL3G33790	AT3G20110.1
OG0000107	AL3G33800	AT3G20120.4
OG0000108	AL4G34190, AL4G34130, AL5G34730	AT3G53750.1, AT2G37620.1
OG0000108	AL5G25390, AL8G35810	AT3G46520.1
OG0000108	AL3G23740	AT3G12110.1
OG0000108	AL6G20220	AT5G09810.1
OG0000108	AL3G32160, AL1G56110	AT3G18780.2
OG0000108	AL4G40470	AT2G42100.1
OG0000110	AL1G55630, AL7G11640, AL1G50710, AL4G20710, AL6G41920, AL8G21920, AL9U11500, AL2G19920, AL2G22250, AL5G12710	AT1G36510.1, AT3G32260.1
OG0000111	AL6G41700, AL6G41690, AL496U10010, AL6G51840, AL496U10020, AL6G51870	AT1G45063.1
OG0000111	AL5G34240, AL3G50380	AT3G53330.1
OG0000111	AL5G18800	AT4G01380.1
OG0000114	AL2G19090, AL2G20370, AL1G46930, AL8G13990, AL5G18470, AL5G18060, AL3G42080, AL4G18650, AL3G44910, nbis-gene-1272, nbis-gene-1271, AL1G50940	AT1G36970.1, AT4G05555.1, AT3G31560.1, AT1G36230.1, AT2G07280.1
OG0000116	AL1G39460	AT1G14800.1
OG0000117	AL1G37420	AT1G23670.2
OG0000117	AL1G37280	AT1G23520.1
OG0000117	AL1G37400	AT1G23640.1
OG0000117	AL1G37350	AT1G23590.1
OG0000117	AL1G37410	AT1G23645.1
OG0000117	AL1G37440	AT1G23690.1
OG0000117	AL1G37330	AT1G23570.2
OG0000118	AL7G47920	AT5G41490.1
OG0000118	AL2G23590	AT1G65990.1
OG0000118	AL6G44790	AT4G10740.1
OG0000118	nbis-gene-757	AT3G22940.1, AT3G22421.1
OG0000118	AL3G37210	AT3G22870.1
OG0000118	AL685U10010, nbis-gene-652	AT3G04250.1
OG0000118	AL3G38540	AT3G23685.1
OG0000119	AL5G25370	AT3G43180.1
OG0000119	AL4G18370	AT2G26135.1
OG0000119	AL4G18360, AL4G18340	AT2G26130.1
OG0000119	AL5G21730	AT3G43750.1
OG0000119	AL6G15230	AT2G16520.1
OG0000119	AL5G24030	AT3G45460.1
OG0000119	AL5G24100	AT3G45480.1
OG0000119	AL5G24190	AT3G45570.1, AT3G45580.1
OG0000121	AL8G34500, AL2G20140, AL8G14910	AT2G01050.1
OG0000122	nbis-gene-2149	AT5G56325.1
OG0000123	AL8G25360	AT5G51105.1
OG0000123	nbis-gene-2004, AL4G19230, nbis-gene-1177, nbis-gene-1178, nbis-gene-2005	AT5G44495.1
OG0000123	AL8G37620	AT5G42895.1, AT4G09545.1
OG0000125	AL4G23510	AT2G28960.2
OG0000125	AL1G17740	AT1G07560.1
OG0000125	AL1G55940	AT1G49100.1
OG0000125	AL1G59870	AT1G51830.2
OG0000125	AL1G59850	AT1G51805.1
OG0000125	AL3G41990	AT2G04300.2
OG0000127	AL6G34020	AT5G22880.1
OG0000127	AL6G11840	AT5G02570.1
OG0000127	AL3G20660	AT3G09480.1
OG0000127	AL189U10030, AL8G36480	AT5G59910.1
OG0000127	AL5G24690	AT3G45980.1
OG0000127	AL5G24750	AT3G46030.1
OG0000127	AL4G23250	AT2G28720.1
OG0000128	AL5G41150	AT3G59270.1
OG0000128	AL5G41120	AT3G59230.1
OG0000128	AL5G41130	AT3G59240.1
OG0000128	AL5G41080	AT3G59200.1
OG0000128	AL5G41090	AT3G59210.1
OG0000128	AL2G18450	AT1G58310.1
OG0000128	AL7G42310	AT4G14103.2
OG0000128	AL5G41050	AT4G14096.1
OG0000129	AL2G19870	AT1G65120.2
OG0000129	AL2G19970	AT1G65130.1
OG0000129	AL2G20180	AT1G65200.1
OG0000129	AL1G60690	AT1G52450.1, AT1G52430.1
OG0000129	AL8G38710	AT5G61950.1
OG0000129	AL8G38700	AT5G61940.2
OG0000129	AL4G22760	AT2G27630.1
OG0000129	AL4G22720	AT2G27650.1
OG0000129	AL8G25830	AT5G51530.1
OG0000129	AL2G19840	AT1G65110.2
OG0000130	nbis-gene-1897	AT4G03292.1, AT2G02650.1
OG0000130	AL7G52490	AT5G26617.1
OG0000130	AL3G31830	AT3G23320.1, AT5G52115.1, AT5G65005.1, AT1G52990.1
OG0000130	AL3G43990	AT3G25270.1, AT2G04420.1, AT1G50160.1
OG0000130	AL3G23800	AT1G04625.1
OG0000132	AL5G36020	AT3G54910.1
OG0000132	AL6G44370	AT4G09920.1, AT4G10410.1
OG0000132	AL6G44360, AL6G44330	AT4G10420.1
OG0000132	AL315U10010, AL7G51940	AT5G38590.2
OG0000132	AL7G52020, AL7G52000	AT5G38570.1
OG0000134	AL1G67280	AT1G57650.1
OG0000134	AL2G23230	AT1G65850.2
OG0000134	AL7G52290, AL686U10020	AT5G38340.1, AT5G38350.1
OG0000134	AL5G22740	AT3G25505.1
OG0000134	AL8G15310	AT5G44510.1
OG0000137	AL8G30930	AT5G55380.1
OG0000137	AL1G49040	AT1G34490.1, AT1G34520.1
OG0000137	AL8G30920	AT5G55360.1
OG0000137	AL8G30900	AT5G55350.1
OG0000137	AL8G30890	AT5G55340.1
OG0000138	AL5G40800	AT3G58980.1
OG0000138	AL5G40760	AT3G58960.1
OG0000138	AL2G23440, AL5G45250	AT3G62430.1
OG0000138	AL5G35200	AT3G54160.1
OG0000141	AL1G23600	AT1G12290.1
OG0000141	AL1G23590	AT1G12280.1
OG0000141	AL1G23500	AT1G12220.1
OG0000141	AL1G23480	AT1G12210.1
OG0000141	AL2G13240	AT1G62630.1, AT1G63360.1
OG0000148	nbis-gene-277	AT1G50870.1
OG0000151	AL5G36250	AT3G55130.1
OG0000151	AL5G36230	AT3G55110.1
OG0000151	AL5G36220	AT3G55100.1
OG0000151	AL4G36690	AT2G39350.1
OG0000151	AL5G36210	AT3G55090.1
OG0000151	AL5G34430	AT3G53510.1
OG0000151	AL4G33730	AT2G37360.1
OG0000151	AL6G24190	AT5G13580.1
OG0000153	AL4G23880	AT2G29330.1
OG0000153	AL4G25560	AT2G30670.1
OG0000153	AL4G23890	AT2G29340.1
OG0000153	AL4G23860	AT2G29310.1
OG0000153	AL1G17600	AT1G07450.1
OG0000154	AL1G58520	AT1G50830.1
OG0000154	AL6G29770, AL6G29780	AT5G18510.1
OG0000154	AL1G58510	AT1G50790.1
OG0000157	AL1G44920, AL1G44890	AT1G30790.1
OG0000157	AL1G44860, AL1G49450	AT1G32660.1
OG0000158	nbis-gene-1710, AL2G28170	AT4G36840.1
OG0000160	AL3G52950	AT2G18960.1
OG0000160	AL7G22000	AT4G30190.2
OG0000160	AL8G33330	AT5G57350.1
OG0000160	AL3G44180	AT2G07560.1
OG0000160	AL5G20850	AT3G42640.1
OG0000160	AL2G40780	AT1G80660.1
OG0000160	AL4G15040	AT2G24520.2
OG0000162	AL4G28780	AT2G33200.1
OG0000162	nbis-gene-1071	AT2G33190.1
OG0000162	nbis-gene-1198	AT2G03560.1
OG0000162	AL7G52550, AL7G52570	AT5G38270.1
OG0000162	AL3G42410	AT2G04830.1
OG0000162	AL3G42400	AT2G04810.1
OG0000162	AL3G42420	AT2G04840.1
OG0000163	AL3G45620	AT2G06105.1
OG0000165	AL3G46810	AT2G15010.1
OG0000165	AL7G45500	AT5G36910.1
OG0000166	AL4G16880	AT2G25470.3
OG0000167	nbis-gene-1622	AT4G10190.1
OG0000167	AL3G35160, AL3G35150	AT3G21170.1
OG0000167	AL5G24180	AT3G21120.1
OG0000167	nbis-gene-789	AT3G23260.1
OG0000169	AL3G47440, AL3G52270	AT2G16450.1, AT2G15640.1
OG0000169	AL5G12470, AL5G12490, AL5G12460, AL5G12480	AT2G02660.1, AT2G02890.1
OG0000169	AL4G13020	AT2G23160.1
OG0000169	AL1G53540	AT1G47340.1
OG0000169	AL9U11000	AT1G47300.1
OG0000170	AL4G44750	AT2G45580.1
OG0000170	AL4G44740	AT2G45570.1
OG0000170	AL4G44730	AT2G45560.1
OG0000171	AL8G28000	AT5G53300.1
OG0000171	AL7G47650	AT5G41700.4
OG0000171	AL2G10770	AT1G64230.4
OG0000171	AL3G49460	AT2G16740.1
OG0000171	AL8G31780	AT5G56150.1
OG0000171	AL3G19690	AT3G08690.1
OG0000171	AL7G24680	AT4G27960.2
OG0000172	AL6G39210	AT5G28615.1, AT4G04650.1, AT1G43730.1
OG0000173	AL3G40190	AT3G24610.1
OG0000174	AL1G41050	AT1G67235.1
OG0000175	AL1G37260	AT1G23490.1, AT1G70490.1
OG0000175	AL6G25440	AT5G14670.1
OG0000175	AL4G46720	AT3G62290.1
OG0000176	AL3G15890	AT3G05370.1
OG0000176	AL3G15860	AT3G05360.1
OG0000176	AL2G31050	AT1G71390.2
OG0000176	AL2G31060, AL158U10020	AT1G71400.1
OG0000177	AL1G34320, AL1G34330	AT1G21240.1
OG0000177	AL1G34340	AT1G21250.1
OG0000177	AL1G34270, AL1G34310	AT1G21230.1
OG0000177	AL3G41650	AT3G25490.1
OG0000177	AL1G34360	AT1G21270.1
OG0000178	AL6G47960	AT4G04490.1
OG0000178	AL6G47980	AT4G04510.2
OG0000178	AL6G47970	AT4G04500.1
OG0000178	AL6G48020	AT4G04570.1
OG0000178	AL6G47990	AT4G04540.1
OG0000179	AL2G17830	AT1G58390.1
OG0000179	AL2G17650	AT1G59124.2, AT1G58807.1, AT1G59218.1, AT1G58848.1, AT1G58602.1
OG0000182	AL5G43310	AT3G61100.1
OG0000182	AL5G43300	AT3G61090.1
OG0000182	nbis-gene-1319	AT2G38365.1
OG0000183	AL2G24200, AL7G46650	AT1G66410.2, AT5G37780.3
OG0000183	AL5G38180	AT3G56800.1
OG0000183	AL6G32820	AT5G21274.1
OG0000183	AL4G20560	AT2G27030.3
OG0000184	AL3G36200	AT3G21980.1
OG0000184	nbis-gene-767	AT3G22040.1
OG0000185	AL3G32940, AL3G32930	AT3G19520.3
OG0000185	AL1G11240	AT1G19060.1
OG0000185	AL1G49370, AL1G49350, AL1G49380	AT1G02770.1
OG0000185	AL1G37710, AL1G37720, AL1G37670	AT1G23970.2, AT1G23950.2
OG0000185	AL1G42110	AT1G27860.1, AT1G28500.1
OG0000186	AL6G11580	AT1G53340.2
OG0000186	AL77U10060	AT1G44050.1
OG0000186	AL8G31350	AT5G46660.1
OG0000186	AL5G15330	AT3G26550.1
OG0000186	AL5G11890	AT2G02690.1, AT2G02700.1, AT2G02680.1
OG0000186	AL2G14230	AT1G61840.1
OG0000187	nbis-gene-932	AT2G21680.1
OG0000187	AL1G32210	AT1G19460.1, AT1G19470.1
OG0000187	AL4G24590	AT2G29780.1
OG0000187	AL4G24560	AT2G29770.1
OG0000187	AL4G24330	AT2G29600.1
OG0000187	AL4G24610, AL4G24350	AT2G29800.1
OG0000187	AL4G24620, AL4G24340	AT2G29830.1, AT2G29820.1
OG0000187	AL4G24320	AT2G29860.1
OG0000188	nbis-gene-688	AT3G10790.1
OG0000188	AL3G14700	AT3G04660.1
OG0000189	AL5G31720	AT3G51300.1
OG0000189	AL7G15090	AT4G35950.1
OG0000189	AL3G50830	AT2G17800.1
OG0000189	AL7G16200	AT4G35020.1
OG0000189	AL2G35850	AT1G75840.1
OG0000189	AL1G32900	AT1G20090.1
OG0000192	AL2G13220	AT3G51210.1
OG0000192	AL1G25180	AT1G13420.1
OG0000192	AL1G25190	AT2G14920.1, AT1G13430.1
OG0000192	AL7G26670	AT4G26280.1
OG0000193	AL3G46450	AT2G14710.1
OG0000193	AL3G29470	AT3G16580.1
OG0000193	AL1G53610	AT1G47390.1
OG0000193	AL1G46640, AL1G46660, AL1G46620	AT1G32430.1
OG0000195	AL5G25820	AT3G46810.1
OG0000195	AL7G46380	AT2G04680.1, AT5G37620.1
OG0000195	AL3G48580	AT2G19660.2
OG0000195	AL8G36490	AT4G01340.1, AT5G59920.1, AT4G01350.1
OG0000196	AL7G48650, AL7G48660	AT5G40910.1
OG0000196	AL7G47590, AL7G47570, AL7G47600, AL4G22240	AT5G41750.1, AT5G41740.2
OG0000197	AL7G34530	AT4G19570.1
OG0000197	AL7G34500, AL7G34510	AT4G19580.1
OG0000198	AL5G13150, AL5G10520	AT2G01520.1
OG0000198	AL7G42370	AT4G14060.1
OG0000198	AL5G10550	AT2G01530.1
OG0000198	AL1G27020	AT1G14960.1
OG0000198	AL1G45410	AT1G30990.1
OG0000198	AL1G26980	AT1G14930.1
OG0000198	AL1G27000	AT1G14940.1
OG0000198	AL1G27010	AT1G14950.1
OG0000198	AL5G15240	AT3G26450.1, AT3G26460.1
OG0000199	AL1G59580	AT1G51670.1
OG0000199	AL1G54760	AT1G48180.1
OG0000199	AL7G22480	AT4G29770.2
OG0000199	AL6G29250	AT5G18065.1
OG0000199	AL6G29230	AT5G18040.1
OG0000199	AL7G22490, AL7G22500	AT4G29760.1
OG0000200	AL1G15400	AT1G05550.3
OG0000200	AL1G15390	AT1G05540.1
OG0000200	AL1G44070	AT1G30170.1
OG0000200	AL1G44060	AT1G30160.2
OG0000202	AL6G50960	AT4G02180.1
OG0000202	AL6G50950	AT4G02190.1, AT4G01910.1, AT4G01930.1, AT4G01740.1, AT4G01920.1
OG0000202	AL6G47610	AT4G11390.2
OG0000202	AL2G28240	AT1G69150.1, AT3G43890.1
OG0000202	AL6G51540	AT4G09690.1, AT4G11547.1
OG0000203	AL5G39960	AT3G58250.1
OG0000203	AL5G39980, AL5G40000	AT3G58270.1
OG0000203	AL5G40120	AT3G58370.1
OG0000203	AL5G40110	AT3G58360.1
OG0000203	AL5G40140	AT3G58400.1
OG0000203	AL5G40100	AT3G58350.1
OG0000208	AL4G14050	AT5G34581.1
OG0000209	AL1G20200	AT1G09650.1
OG0000209	AL6G20830	AT5G10340.1
OG0000209	AL4G30220	AT4G01640.1, AT2G34280.1
OG0000210	AL4G23070	AT2G28580.2
OG0000210	AL4G44040	AT2G44930.1
OG0000210	AL2G25640	AT1G67150.2
OG0000215	AL1G49470, AL9U10420	AT2G06265.1, AT2G07505.1
OG0000216	AL6G47240	AT4G00893.1
OG0000216	AL6G47230	AT4G12370.1
OG0000216	AL6G44750	AT4G10695.1
OG0000216	AL2G18850	AT1G57790.1
OG0000216	AL5G37800	AT3G56470.1
OG0000219	AL5G28190	AT3G48835.1
OG0000219	AL7G49120, AL7G43790	AT3G48840.1
OG0000219	AL7G47660	AT5G41690.1
OG0000219	AL7G48800, AL7G49150	AT3G10845.1
OG0000219	AL7G19770	AT1G45100.1
OG0000225	AL2G39150	AT1G78760.1
OG0000225	AL4G20460	AT1G66320.1, AT1G66640.1
