Orthogroup	Arabidopsis_lyrata_Rawat	Eutrema_salsugineum
OG0000003	AL1G57700, AL8G16600	XP_024009435.1
OG0000003	AL5G39250	XP_024010650.1
OG0000003	AL5G19450, AL2G17040	XP_024014297.1
OG0000003	AL6G19270	XP_024009942.1
OG0000003	AL1G51710, AL1G50760	XP_024014231.1
OG0000003	AL3G46190	XP_024007996.1
OG0000003	AL7G34100, AL3G40240, AL2G10360	XP_024004030.1
OG0000004	AL5G28990	XP_024013103.1, XP_024009926.1
OG0000004	AL2G22640, AL7G43300	XP_024007302.1
OG0000004	AL1G65560	XP_024014847.1, XP_024016570.1
OG0000005	AL4G12740	XP_024003648.1
OG0000005	AL7G13490	XP_006404995.2, XP_024013903.1
OG0000005	AL97U10030, AL8G11290	XP_006402217.2, XP_024013358.1, XP_024016125.1, XP_024013775.1
OG0000005	AL2G18790	XP_024016833.1
OG0000005	AL7G43820, AL7G43690	XP_024009771.1, XP_024007306.1
OG0000005	AL3G44970	XP_024010905.1, XP_024015845.1
OG0000007	AL9U10810	XP_024009204.1, XP_024014376.1, XP_024006867.1, XP_024007289.1
OG0000007	AL4G24120	XP_024014636.1, XP_024004080.1, XP_024013187.1
OG0000007	AL8G18310, AL1G37680, AL3G20440	XP_024007990.1
OG0000007	AL2G22610	XP_024007956.1, XP_024014249.1
OG0000007	AL5G31160	XP_024004167.1, XP_024004498.1, XP_024016181.1, XP_024013999.1, XP_024004407.1, XP_024006094.1, XP_024004777.1, XP_024013813.1, XP_024012279.1, XP_024010251.1, XP_024008087.1, XP_024007934.1, XP_024013544.1, XP_024008877.1, XP_024004851.1, XP_024009378.1, XP_024009383.1, XP_024015931.1, XP_024004816.1, XP_024014990.1
OG0000007	AL5G15300	XP_024013959.1, XP_024008092.1, XP_024004051.1, XP_024016262.1, XP_024004096.1, XP_024006097.1, XP_024011350.1, XP_024004963.1, XP_024013926.1, XP_024004117.1, XP_024013935.1, XP_024016848.1, XP_024013889.1, XP_024007769.1
OG0000007	AL1G34010, AL8G16470, AL1G61810, AL6G29050, AL5G28660, AL7G43440, AL4G23130	XP_024014247.1
OG0000008	AL4G20310, AL4G18790, AL4G37240, AL3G44010, AL7G44440, AL2G20270, AL9U11800, AL298U10010, AL4G19160	XP_024013997.1, XP_024010682.1, XP_024009322.1, XP_024015209.1, XP_024009407.1, XP_024014486.1, XP_024013969.1, XP_024004792.1, XP_024006454.1, XP_024009495.1, XP_024009967.1, XP_024013989.1, XP_024014489.1
OG0000008	AL5G32180, AL5G32140, AL5G32150	XP_024013173.1
OG0000009	AL1G49730	XP_006391314.1
OG0000009	AL5G15340	XP_024006395.1
OG0000009	AL3G38620, AL3G49760, AL4G40870, AL5G22670, AL1G55360, AL8G14160	XP_024013918.1, XP_024007904.1
OG0000009	AL9U10020	XP_006404467.1, XP_024014738.1, XP_024010667.1, XP_024015832.1, XP_024006416.1
OG0000009	AL1G62100	XP_024011403.1, XP_024016212.1
OG0000011	AL1G50520, AL5G34620, AL5G17780	XP_024014025.1, XP_024013301.1, XP_024010379.1, XP_024013975.1, XP_024006589.1, XP_024006532.1, XP_024010647.1, XP_024011223.1, XP_024013321.1
OG0000011	AL2G23260	XP_024013228.1
OG0000011	AL2G22330	XP_024012731.1, XP_024004844.1, XP_024004832.1
OG0000012	AL8G15640, AL3G37530, AL6G20560	XP_024010254.1, XP_024009382.1, XP_024009379.1, XP_024004817.1, XP_024016208.1, XP_024013308.1, XP_024006882.1, XP_024015930.1, XP_024014989.1, XP_024006092.1, XP_024013538.1, XP_024013984.1, XP_024013319.1, XP_024007927.1, XP_024006840.1, XP_024006606.1, XP_024009011.1, XP_024010250.1, XP_024014667.1, XP_024007778.1, XP_024013297.1, XP_024004787.1, XP_024009476.1, XP_024014518.1, XP_024009301.1, XP_024004077.1, XP_024011119.1, XP_024009973.1, XP_024016528.1, XP_024010312.1, XP_024006271.1, XP_024011218.1, XP_024016237.1, XP_024016855.1, XP_024007215.1, XP_024011231.1
OG0000012	AL7G40740, AL6G17980, AL4G10450, AL3G45980, AL4G24110, AL2G22540	XP_024006310.1, XP_024010246.1, XP_024010847.1, XP_024006789.1, XP_024013645.1
OG0000012	AL5G20450	XP_024009752.1, XP_024004034.1
OG0000014	AL4G20510	XP_024006535.1
OG0000015	AL25U10010, AL6G22310, AL7G26200	XP_024006143.1
OG0000015	AL3G46060	XP_024009420.1
OG0000015	AL8G27740, AL429U10010, AL792U10020, AL1G20970	XP_024012449.1
OG0000015	AL2G24310	XP_024013064.1
OG0000016	AL5G12380, AL5G12270	XP_024010588.1
OG0000020	AL189U10010, AL189U10020, AL3G44820, AL7G51100	XP_024013981.1, XP_024007902.1, XP_024010205.1, XP_024010440.1, XP_024014746.1
OG0000020	AL5G20560	XP_024016132.1
OG0000021	AL39U10070	XP_024013384.1
OG0000021	AL7G47350, AL7G51150	XP_024008232.1
OG0000022	AL6G27650	XP_006400202.2
OG0000022	AL2G12470, AL2G13120	XP_006391833.2
OG0000022	AL2G13070	XP_006391829.2
OG0000022	AL3G36780	XP_006406159.2, XP_006418847.2
OG0000022	AL1G24190, AL1G24380, AL1G23970, AL1G24080	XP_006417237.2
OG0000022	AL1G23630, AL1G24180, AL1G23620	XP_006417199.1, XP_006417205.1, XP_006417216.1
OG0000022	AL1G16610	XP_024008093.1
OG0000022	AL2G10200	XP_006391605.2
OG0000022	AL7G48260	XP_024014798.1
OG0000022	AL3G29640	XP_024015415.1
OG0000023	AL7G45280, AL8G19630	XP_024004018.1, XP_024010417.1
OG0000023	AL2G18620	XP_024009473.1
OG0000023	AL8G19620	XP_024016113.1
OG0000023	AL5G21700, AL7G45880	XP_024009593.1, XP_024011315.1, XP_024016362.1, XP_024013416.1
OG0000023	AL2G22450	XP_024016167.1
OG0000024	AL4G16470	XP_006393242.1, XP_006393240.1, XP_006393292.2, XP_006393291.1, XP_006393290.1, XP_006393293.1, XP_006393224.2
OG0000024	AL1G46280	XP_024006555.1
OG0000024	AL5G38280, AL5G39160, AL5G39170	XP_024004275.1
OG0000024	AL5G23680	XP_006402766.1
OG0000025	AL6G41860	XP_024007336.1
OG0000025	AL9U11280, AL5G16730, AL2G12870	XP_024006403.1, XP_024014257.1, XP_024015953.1, XP_024011323.1, XP_024014480.1, XP_024007296.1, XP_024013049.1, XP_024004954.1, XP_024012916.1, XP_024010763.1, XP_024014390.1, XP_024013392.1, XP_024014398.1, XP_024010323.1, XP_024011260.1, XP_024004142.1, XP_024015028.1, XP_024004413.1, XP_024014090.1, XP_024010651.1, XP_024009163.1, XP_024014222.1, XP_024015865.1, XP_024014393.1, XP_024004761.1, XP_024014962.1, XP_024010657.1, XP_024004987.1, XP_024006404.1, XP_024015864.1, XP_024007297.1, XP_024014500.1, XP_024012918.1
OG0000025	AL460U10010	XP_024013403.1, XP_024013306.1, XP_024009983.1, XP_024006433.1, XP_024014732.1, XP_024014743.1, XP_024007900.1, XP_024013980.1, XP_024010438.1, XP_024010204.1, XP_024015304.1, XP_024009430.1, XP_024010439.1, XP_024009325.1, XP_024006530.1, XP_024011284.1, XP_024013992.1
OG0000027	AL6G45930	XP_024009838.1, XP_006396897.2
OG0000027	AL6G45970	XP_006396896.1
OG0000027	AL6G46000	XP_024010236.1
OG0000027	AL6G45910	XP_024009837.1
OG0000027	AL7G30170	XP_024013896.1
OG0000027	AL7G30270	XP_006413569.1
OG0000027	AL1G66280	XP_006396890.1
OG0000027	AL7G30280	XP_024004623.1
OG0000029	AL5G20350, AL3G41570	XP_024004858.1
OG0000029	AL1G65750	XP_024007219.1, XP_024004754.1, XP_024004102.1
OG0000030	AL3G33700, AL275U10020, AL3G33320, AL3G33690	XP_006391637.1
OG0000030	AL1G39630, AL1G35700, AL1G40180, AL1G40160, AL1G40170, AL3G27510	XP_024008003.1
OG0000030	AL5G29320, AL5G29310, AL5G29340	XP_024016186.1
OG0000030	AL2G23050	XP_024010547.1, XP_024015244.1
OG0000031	AL6G36560	XP_024014022.1
OG0000031	AL2G19770	XP_024010150.1
OG0000031	AL3G43240	XP_024013167.1, XP_024016245.1, XP_024012481.1
OG0000031	AL2G29770	XP_024009588.1, XP_024010453.1, XP_024006101.1, XP_024007284.1
OG0000031	AL1G56200	XP_024008024.1, XP_024014349.1, XP_024006862.1, XP_024006618.1, XP_024016129.1
OG0000031	AL1G41870	XP_024008010.1, XP_024009300.1, XP_024006120.1
OG0000031	AL5G21210	XP_024011224.1
OG0000032	AL2G14450	XP_024005014.1
OG0000032	AL4G17980	XP_024007954.1, XP_024004841.1, XP_024010402.1
OG0000032	AL8G28430	XP_024009276.1, XP_024004049.1
OG0000034	AL7G30290	XP_006413571.1, XP_024010975.1
OG0000034	AL7G32680, AL7G32670	XP_024005104.1
OG0000034	AL7G30310	XP_006413576.1
OG0000035	AL3G42660, AL4G33750, AL7G46520, AL6G43970	XP_024010425.1, XP_024007977.1
OG0000035	AL4G18470, AL8G13010, AL8G34850, AL7G40470, AL7G45660, AL2G19470	XP_024007976.1, XP_024016141.1
OG0000038	AL3G42270, AL1G47700, AL6G40850, AL2G24190, AL2G32540, AL3G37700, AL7G41350	XP_024013061.1
OG0000038	AL2G20150, AL1G38790, AL3G17400	XP_024006448.1
OG0000040	AL3G43050	XP_024006069.1
OG0000040	AL6G48140	XP_024013326.1
OG0000041	AL3G41190, AL6G35400, AL1G24610, AL5G28630, AL1G18250, AL6G32660, AL4G15280, AL6G28140, AL2G16540, AL6G37950, AL3G38730, AL6G15330, AL5G12980, AL4G11230	XP_024011200.1
OG0000041	AL6G41090	XP_024011348.1
OG0000041	AL1G48490	XP_024013542.1
OG0000042	AL1G54660	XP_024009659.1
OG0000042	AL1G42210	XP_024006466.1
OG0000043	AL5G16300	XP_024014240.1
OG0000044	AL8G11910	XP_006398339.2
OG0000044	AL8G12190, AL8G11920	XP_024013343.1
OG0000044	AL8G18480	XP_024009991.1
OG0000044	AL8G11840, AL8G11900	XP_006398345.1
OG0000046	AL4G10770, AL5G16920, AL7G43910, AL3G42580	XP_024015030.1
OG0000048	AL4G27770, AL4G27390	XP_006410338.1
OG0000048	AL1G62520	XP_006406533.1
OG0000048	AL2G14000, AL2G14020	XP_006407903.2
OG0000049	AL3G43320, AL4G20550, AL5G11300, AL6G28120, AL3G49490	XP_024006537.1
OG0000049	AL1G56420, AL5G15730, AL1G55420	XP_024009363.1
OG0000051	AL1G20340	XP_006418389.2, XP_024008111.1
OG0000051	nbis-gene-988, AL2G11470, AL3G20080	XP_006392148.1, XP_024013725.1, XP_024013699.1
OG0000052	AL1G65610	XP_024007553.1
OG0000052	AL5G31970	XP_024008507.1
OG0000052	AL5G28540	XP_006404188.1, XP_024010967.1
OG0000054	AL5G21640	XP_024010625.1, XP_024009457.1, XP_024015906.1, XP_024016866.1, XP_024009118.1
OG0000054	AL5G20230	XP_024014412.1
OG0000054	AL2G17290	XP_024010469.1
OG0000055	AL3G33990, AL3G34120	XP_024012536.1
OG0000055	AL3G30730, AL3G30470, AL3G38080, AL769U10010	XP_006398121.1, XP_006406735.1
OG0000055	AL3G50860	XP_024016535.1
OG0000056	AL2G13900	XP_024016867.1
OG0000056	AL5G26170	XP_006405761.2
OG0000058	AL5G26550, AL920U10010	XP_024016128.1, XP_024013600.1
OG0000058	AL3G40670	XP_024015982.1, XP_024013356.1, XP_024006629.1, XP_024016554.1, XP_024011207.1, XP_024014435.1, XP_024009368.1, XP_024014237.1, XP_024016380.1, XP_024011251.1, XP_024003653.1, XP_024009607.1, XP_024016240.1, XP_024016319.1, XP_024013206.1, XP_024011314.1, XP_024011360.1, XP_024010368.1, XP_024012295.1, XP_024009971.1, XP_024006803.1, XP_024006792.1, XP_024011140.1, XP_024013156.1
OG0000059	AL5G34630	XP_024010626.1, XP_024006533.1, XP_024013675.1, XP_024009487.1, XP_024006590.1, XP_024012732.1, XP_024004843.1, XP_024004842.1, XP_024004831.1, XP_024004845.1, XP_024014239.1, XP_024013302.1, XP_024010380.1, XP_024013968.1, XP_024014568.1, XP_024004801.1, XP_024016568.1, XP_024013967.1, XP_024006276.1
OG0000061	AL6G23340	XP_024006504.1, XP_024006267.1
OG0000061	AL7G25770	XP_006413201.2, XP_006413190.1
OG0000061	AL6G16510	XP_006405882.1
OG0000062	AL5G20430	XP_024013032.1
OG0000062	AL9U10060	XP_024016230.1, XP_024010222.1, XP_024006614.1, XP_024010315.1, XP_024006463.1, XP_024009419.1, XP_024011092.1, XP_024016359.1
OG0000062	AL8G40700, AL8G15100	XP_024004129.1, XP_024013428.1, XP_024010363.1, XP_024010298.1, XP_024010297.1, XP_024008041.1, XP_024010226.1, XP_024010620.1, XP_024016291.1, XP_024011215.1, XP_024013963.1, XP_024009617.1, XP_024010321.1, XP_024009248.1
OG0000062	AL7G40460, AL2G19460, AL8G34860, AL8G13000	XP_024010366.1, XP_024011367.1, XP_024010144.1, XP_024010551.1, XP_024009344.1, XP_024010927.1, XP_024007910.1
OG0000063	AL6G34160	XP_024009242.1
OG0000064	nbis-gene-343, nbis-gene-349, nbis-gene-344, nbis-gene-348, nbis-gene-347, nbis-gene-1421, AL2G18870, nbis-gene-342, nbis-gene-435, nbis-gene-439, nbis-gene-434, nbis-gene-1420, nbis-gene-436, nbis-gene-440, nbis-gene-437, nbis-gene-1419, nbis-gene-438, nbis-gene-1176, nbis-gene-2026, nbis-gene-926, nbis-gene-1175, nbis-gene-2028, nbis-gene-2027, nbis-gene-2044, nbis-gene-1, nbis-gene-2024, nbis-gene-2025, nbis-gene-2023, nbis-gene-346, nbis-gene-345, nbis-gene-441	XP_006408758.1, XP_006408757.1, XP_024015891.1, XP_006408777.1, XP_006408781.1, XP_006408759.1, XP_006408773.1, XP_006408774.1, XP_006408775.1, XP_006408779.2, XP_024016075.1, XP_006408769.1, XP_006408766.1, XP_006408780.1, XP_006408763.1, XP_006408768.1, XP_006408778.1, XP_006408765.1, XP_006408761.1, XP_006408760.1
OG0000065	AL2G25320, AL2G25210	XP_006391458.1
OG0000065	AL7G52590	XP_024014561.1
OG0000065	AL7G51420	XP_024014419.1
OG0000066	AL6G20900, AL5G16700, AL1G66190, AL1G19680, AL6G20890	XP_006396911.1, XP_024012002.1, XP_006394194.1, XP_006394044.1
OG0000066	AL6G21580	XP_024005718.1, XP_006399597.1, XP_006390289.1, XP_024005720.1
OG0000067	AL3G45170	XP_024013907.1
OG0000068	AL6G15310, AL6G14890, AL3G20260, AL3G20250, AL3G20240	XP_024014925.1
OG0000068	AL6G18740	XP_006406656.1
OG0000069	AL5G45620	XP_006404944.1
OG0000069	AL3G38360	XP_024016442.1, XP_006390571.2
OG0000070	AL3G47920, AL5G12840, AL5G12830	XP_006395735.1
OG0000070	AL4G11370, AL1G32980, AL2G24470	XP_006416426.1
OG0000070	AL2G35960	XP_006390250.1
OG0000072	AL3G47230	XP_024004060.1, XP_024006592.1
OG0000073	AL4G12860	XP_024009376.1
OG0000073	AL5G31050	XP_024009769.1, XP_024016097.1, XP_024007936.1
OG0000074	AL8G11830	XP_024007928.1, XP_024006149.1
OG0000075	AL8G23920	XP_024009720.1, XP_024009721.1
OG0000075	AL1G52760, AL1G52750, AL1G52780	XP_006396818.1, XP_006396813.1
OG0000076	AL7G10840	XP_006411683.1
OG0000076	AL4G29500	XP_006410525.1
OG0000076	AL3G53220	XP_006397224.1, XP_006397217.1, XP_024010292.1, XP_006397043.1
OG0000077	AL8G13900, AL8G13920	XP_006398175.2
OG0000077	AL5G12960	XP_006395717.2, XP_006395727.1
OG0000077	AL5G12970, AL5G12940	XP_006395720.2
OG0000077	AL2G15700	XP_006392390.2
OG0000078	AL3G13680	XP_006408254.2, XP_006408256.1
OG0000078	AL6G29220, AL6G29120	XP_006400347.1, XP_006400352.1, XP_006400344.1
OG0000079	AL3G51940, AL1G57050, AL5G16890, AL1G58560, AL1G58670, AL4G20020, AL1G30000, AL5G27080, AL8G14210	XP_006405230.2, XP_024010130.1
OG0000081	AL2G21910	XP_024014389.1, XP_024004223.1
OG0000081	AL1G31420, AL8G29100, AL8G26420, AL6G33330	XP_024014942.1, XP_024013908.1
OG0000083	AL6G26020	XP_024004864.1
OG0000083	AL2G11510	XP_024004079.1
OG0000083	AL6G37350, AL6G45940, AL1G47930, AL4G15250, AL4G15260	XP_024009339.1, XP_024014050.1
OG0000086	AL7G53090	XP_024014367.1
OG0000086	nbis-gene-1912	XP_006405821.2
OG0000086	AL2G24590, AL2G24600	XP_006390991.1
OG0000089	AL6G35120	XP_006394642.1
OG0000089	AL5G25960	XP_006404433.1, XP_006404432.1
OG0000089	AL4G24260	XP_006410012.1
OG0000089	AL6G23060	XP_006399740.1
OG0000089	AL8G15560	XP_006403108.1
OG0000089	AL7G33260	XP_006413842.1
OG0000089	AL4G30750	XP_006410628.1
OG0000089	AL2G35770	XP_006390273.1
OG0000091	AL5G26810	XP_024011698.1
OG0000091	AL5G26820	XP_024013782.1
OG0000091	AL6G32010	XP_024011446.1
OG0000091	AL5G26370	XP_006404412.1
OG0000095	AL4G18560	XP_006405019.2
OG0000096	AL3G41350, AL3G41330, AL3G41320, AL3G41340	XP_024009294.1, XP_006418661.2, XP_006418628.2
OG0000096	AL3G31580	XP_006408882.1, XP_024014982.1
OG0000096	AL3G31590	XP_024004907.1, XP_024007223.1
OG0000097	AL3G45200, AL1G53250, AL1G56270	XP_024011316.1
OG0000098	nbis-gene-805	XP_024009712.1, XP_006403292.2
OG0000098	AL2G26330	XP_006395726.1
OG0000098	AL1G41020, AL1G41000, AL1G41010, AL1G40990, AL4G14170	XP_006404383.1, XP_006394690.1, XP_006414046.1
OG0000099	AL4G17790, AL4G17810	XP_024010271.1, XP_024014024.1, XP_024010538.1, XP_024006512.1, XP_024009358.1, XP_024013236.1, XP_024005030.1, XP_024016364.1, XP_024010352.1, XP_024014533.1, XP_024015961.1, XP_024013956.1, XP_024014381.1, XP_024007256.1, XP_024010470.1, XP_024015875.1, XP_024014509.1, XP_024014232.1, XP_024013986.1, XP_024009252.1, XP_024010607.1, XP_024010395.1, XP_024010031.1, XP_024014629.1, XP_024013325.1, XP_024014548.1, XP_024010434.1, XP_024016114.1, XP_024010345.1, XP_024004944.1, XP_024010356.1, XP_024010388.1, XP_024004833.1, XP_024006477.1, XP_024013110.1, XP_024007293.1, XP_024015161.1, XP_024010460.1, XP_024011257.1, XP_024014290.1, XP_024006660.1, XP_024015857.1, XP_024016277.1, XP_024015873.1, XP_024009413.1, XP_024014523.1, XP_024014504.1, XP_024013395.1, XP_024005028.1, XP_024007270.1, XP_024014471.1, XP_024013048.1, XP_024010308.1, XP_024014886.1, XP_024009257.1, XP_024013208.1, XP_024004978.1, XP_024010416.1, XP_024009483.1, XP_024004023.1, XP_024009903.1, XP_024009316.1, XP_024013380.1, XP_024010296.1, XP_024015036.1, XP_024013216.1, XP_024015868.1, XP_024010240.1, XP_024016315.1, XP_024013219.1, XP_024016266.1, XP_024016259.1, XP_024009296.1, XP_024016381.1, XP_024010576.1, XP_024015890.1, XP_024009360.1, XP_024009340.1, XP_024015948.1, XP_024016194.1, XP_024015840.1, XP_024011325.1, XP_024015053.1, XP_024010351.1, XP_024014578.1, XP_024010433.1, XP_024004997.1, XP_024004921.1, XP_024016561.1, XP_024009463.1, XP_024007273.1, XP_024006550.1, XP_024007285.1, XP_024007317.1, XP_024013191.1, XP_024006645.1
OG0000100	AL1G66260	XP_024014529.1
OG0000100	AL1G66350	XP_006404831.1
OG0000100	AL2G11260	XP_024014029.1, XP_024004369.1
OG0000101	AL26U10050, AL3G41030	XP_024007307.1, XP_024013940.1, XP_024010678.1, XP_024008063.1, XP_024004951.1
OG0000102	AL6G49120	XP_006405546.1
OG0000102	AL9U10550, AL9U10540	XP_006396592.1
OG0000102	AL6G49050	XP_006417793.2
OG0000103	AL8G17400, AL1G30370, AL8G10040, AL265U10010	XP_024014319.1, XP_024006500.1, XP_024004132.1
OG0000106	AL5G27290, AL1G43970, nbis-gene-561	XP_024004087.1
OG0000106	AL6G40690	XP_024009972.1, XP_024010849.1, XP_024013941.1, XP_024004736.1, XP_024012932.1, XP_024005999.1
OG0000107	AL3G33810	XP_024015177.1
OG0000107	nbis-gene-1853	XP_006406420.1
OG0000108	AL5G34730	XP_006410952.1, XP_006403657.1
OG0000108	AL5G25390, AL8G35810	XP_006400969.1, XP_006418890.1
OG0000108	AL3G23740	XP_006407369.1
OG0000108	AL6G20220	XP_006399464.1
OG0000108	AL3G32160, AL1G56110	XP_006406564.1
OG0000108	AL4G40470, AL4G40460	XP_006405819.1
OG0000109	AL1G47060, AL4G15980	XP_024016626.1, XP_006414991.2
OG0000109	AL2G19590, AL6G46480, AL7G48370, AL4G13100, AL5G17500, AL8G26200, AL3G45860, AL1G49480, AL3G47220, AL5G17870, AL8G24560, AL7G45510, AL6G38840, AL6G52460, AL6G40590, AL1G47050, AL2G22030, AL8G22080, AL2G35490, AL5G20740, AL1G54140, AL2G22170, AL3G44280, AL7G53070, AL5G17840, AL7G34330, AL8G17600, AL170U10010, AL3G46660, AL8G20850, AL4G12360, AL5G10400, AL3G43610, AL4G17930, AL5G17970, AL9U10780	XP_024009711.1, XP_024010384.1, XP_024009792.1, XP_024009380.1, XP_024010244.1, XP_024014026.1, XP_024006561.1, XP_024013107.1, XP_024015896.1, XP_024009348.1, XP_024013914.1, XP_024009952.1, XP_024006596.1
OG0000110	AL1G55630, AL7G11640, AL1G50710, AL4G20710, AL6G41920, AL8G21920, AL9U11500, AL2G19920, AL2G22250, AL5G12710	XP_024004909.1, XP_024011414.1, XP_024009421.1, XP_024007906.1, XP_024004952.1, XP_024010478.1, XP_024006501.1, XP_024010281.1, XP_024010375.1, XP_024006421.1
OG0000111	AL6G41700, AL6G41690, AL496U10010, AL6G51840, AL496U10020, AL6G51870	XP_006405203.2, XP_006405200.2
OG0000111	AL2G34810	XP_006391257.1, XP_006409739.1, XP_006409738.2, XP_006409778.1
OG0000114	AL2G19090, AL2G20370, AL1G46930, AL8G13990, AL5G18470, AL5G18060, AL3G42080, AL4G18650, AL3G44910, nbis-gene-1272, nbis-gene-1271, AL1G50940	XP_024013163.1, XP_024014535.1
OG0000114	AL6G40550	XP_024009390.1, XP_024014516.1, XP_024009469.1, XP_024011379.1, XP_024006494.1, XP_024006892.1, XP_024013367.1
OG0000116	AL1G35450, nbis-gene-1953, AL1G39460	XP_006404698.2, XP_006415357.2
OG0000117	AL1G37270	XP_024008618.1
OG0000117	AL1G37280	XP_024008035.1
OG0000117	AL1G37400	XP_024008031.1
OG0000117	AL1G37440, AL1G37390	XP_024008246.1
OG0000117	AL1G37330, AL1G37340	XP_024008029.1, XP_024008030.1, XP_006416071.1, XP_006416064.2
OG0000118	AL4G35640, AL4G35680, AL4G35660, AL4G35650, AL7G47920	XP_006416096.1
OG0000118	nbis-gene-757, AL3G37210	XP_024010220.1, XP_024009977.1, XP_006410257.2
OG0000118	AL685U10010, nbis-gene-652, AL3G38540, AL3G38550	XP_006408206.1
OG0000120	AL3G44880, AL4G19050	XP_024016282.1
OG0000121	AL2G20140, AL8G14910	XP_024013152.1
OG0000122	AL8G32110	XP_024012350.1
OG0000123	AL8G25360	XP_024012107.1
OG0000125	AL1G55940	XP_024006051.1
OG0000125	AL1G59870	XP_006392987.1
OG0000125	AL1G59850	XP_024006272.1
OG0000126	AL4G20870	XP_024016126.1
OG0000126	nbis-gene-676, nbis-gene-264	XP_024009117.1, XP_024009113.1
OG0000127	AL6G34020	XP_006400797.1
OG0000127	AL189U10030, AL8G36480	XP_006400898.1
OG0000127	AL4G23250	XP_006409905.1
OG0000128	AL5G41150	XP_024012970.1
OG0000128	AL5G41130	XP_024012967.1
OG0000128	AL5G16810, AL164U10020	XP_006412145.2
OG0000128	AL5G41080	XP_006402712.2
OG0000128	AL5G41090	XP_006402710.1
OG0000128	AL2G18450, AL7G42310, AL5G41050	XP_006402715.1
OG0000129	AL2G19870	XP_006408194.2
OG0000129	AL1G60690, AL8G38710, AL8G38700, AL4G22760, AL4G22720, AL8G25830	XP_024006771.1, XP_006394457.2, XP_024007354.1
OG0000130	AL7G52490	XP_024006636.1
OG0000132	AL5G36020	XP_006403516.1
OG0000132	AL6G44370, AL6G44360, AL6G44330	XP_006405758.2, XP_024014449.1
OG0000132	AL8G40480	XP_006396648.1, XP_006391408.1, XP_006391409.1
