Orthogroup	Arabidopsis_lyrata_Rawat	Camelina_sativa
OG0000000	AL8G13780, AL5G13370, AL3G47190, AL8G30500, AL1G48610, AL7G43930, AL4G15390, AL5G12120, AL5G12320, AL5G21300, AL2G19780, AL6G42260, AL4G14060, AL7G38790, AL5G30910, AL5G11100, AL8G22530, AL6G50660, AL110U10010	XP_010480989.1, XP_010513536.1, XP_019094536.1, XP_010445465.1, XP_010418809.1, XP_010468748.2, XP_010445461.1, XP_010424753.1, XP_010446022.1, XP_019101856.1
OG0000000	AL2G18100	XP_010412448.1, XP_019094471.1, XP_010506884.1, XP_010430691.1, XP_019089246.1, XP_010468536.1, XP_019091159.1, XP_019096517.1, XP_010513001.1, XP_010484944.1, XP_010507233.1, XP_019099624.1, XP_010424289.1, XP_010468779.1, XP_010513530.1, XP_019094514.1, XP_010495329.1, XP_010495217.1
OG0000000	AL7G52320, AL7G41970, AL7G39420, AL9U11110, AL5G16040, AL6G34180	XP_010473903.1, XP_010512944.1, XP_019099570.1
OG0000000	AL7G47010	XP_010419021.1, XP_010490159.1, XP_010474601.1
OG0000000	AL6G44150, AL5G22440	XP_010513002.1
OG0000000	AL1G56670	XP_019100869.1
OG0000000	AL8G17990, AL4G17570	XP_010495165.1, XP_010495244.1
OG0000000	AL8G16780, AL1G59080, AL5G14470	XP_019099765.1
OG0000000	AL7G39190, AL5G26100, AL3G22550, AL3G46930, AL2G10670	XP_010468701.1
OG0000002	AL7G45780, AL7G43430, AL5G25580, AL2G27160, AL1G53170, AL9U10140, AL5G30280, AL3G49840, AL3G15910	XP_010495428.1, XP_010518553.1, XP_010481019.1, XP_010474084.2
OG0000002	AL8G20200	XP_010431341.1, XP_019092262.1, XP_010468482.1, XP_010419143.1, XP_010424375.1, XP_010430672.1, XP_010506877.1, XP_010424742.1, XP_010495565.1, XP_019096313.1, XP_010413056.1, XP_010501936.1, XP_019082648.1, XP_010445318.1, XP_019096392.1, XP_010462569.1, XP_010412811.1, XP_010495640.1, XP_019086824.1
OG0000003	AL7G30150, AL5G20380, AL488U10010, AL4G29570	XP_010418986.1, XP_010424688.1, XP_019085419.1
OG0000003	AL6G17120	XP_010430863.1
OG0000003	AL1G46060, AL4G47110, AL6G10850	XP_010436564.1
OG0000003	AL8G41490, AL4G39950, AL363U10020	XP_019082654.1, XP_010489852.1
OG0000003	AL7G48880	XP_010419362.1, XP_019094392.1
OG0000003	AL4G18120	XP_019094476.1
OG0000003	AL3G36810	XP_010430973.1
OG0000003	AL433U10010	XP_019087498.1, XP_010473996.1, XP_010513199.1, XP_019087344.1, XP_010507014.1, XP_019091090.1, XP_019089122.1, XP_010436801.1, XP_010424388.1, XP_010445682.1, XP_010422568.1, XP_010445926.1, XP_019090166.1, XP_010424222.1, XP_019097041.1, XP_010451419.2, XP_010474264.1, XP_010475217.1
OG0000003	AL4G19540	XP_010418675.1
OG0000003	AL7G45130	XP_010467312.1, XP_019082547.1
OG0000003	AL9U11720, AL4G19380	XP_019085605.1
OG0000003	AL5G12450	XP_010412544.1, XP_010446110.1, XP_010474049.1
OG0000003	AL1G66530	XP_010462974.1
OG0000003	AL3G39680	XP_019085582.1, XP_010495255.1, XP_010451229.1, XP_010445454.1, XP_010430851.1
OG0000003	AL5G39250	XP_010425414.1, XP_010430719.1
OG0000003	AL5G19450	XP_010495605.1, XP_010474252.1, XP_010423438.1
OG0000003	AL2G17040	XP_019087502.1, XP_010462838.1
OG0000003	AL6G19270	XP_019100972.1
OG0000003	AL3G36170	XP_010463164.1, XP_019090146.1, XP_010473202.1
OG0000003	AL1G51710	XP_019092278.1
OG0000003	AL3G46190	XP_019089220.1, XP_010473894.1, XP_010431475.1, XP_019095868.1, XP_010495447.1
OG0000003	AL96U10010	XP_010424837.2
OG0000003	AL7G34100, AL3G40240, AL2G10360	XP_010495645.1
OG0000004	AL4G19570	XP_010445863.1, XP_010495482.1
OG0000004	AL1G59120	XP_010484959.1, XP_019098112.1, XP_010451376.1, XP_010468186.1, XP_010501684.1
OG0000004	AL2G22640	XP_019096716.1
OG0000004	AL7G43300	XP_010488713.1, XP_019098283.1, XP_019097715.1, XP_010479590.1, XP_019094707.1, XP_019096757.1, XP_019096480.1, XP_010424301.1
OG0000004	AL1G57270, AL8G19530	XP_010518611.1
OG0000004	AL70U10050	XP_010508146.1, XP_019097313.1, XP_010451681.1, XP_019085476.1, XP_019091276.1
OG0000004	AL1G65560	XP_010480743.1, XP_010474178.1, XP_010468397.1, XP_010430704.1, XP_010495973.1, XP_010507007.1, XP_010418888.1, XP_010507177.1, XP_010424969.1, XP_019100923.1, XP_010470702.1, XP_010456912.1, XP_010451293.2, XP_019082581.1, XP_019094576.1, XP_010481112.1, XP_010468418.1, XP_010495146.1, XP_019089063.1
OG0000004	AL6G45170	XP_010445376.1
OG0000004	AL1G65200	XP_019095344.1, XP_019085777.1, XP_019094874.1, XP_019088092.1
OG0000005	AL4G12740	XP_019098106.1, XP_010468824.1
OG0000005	AL97U10030, AL8G11290	XP_019085415.1, XP_010450321.1, XP_010445703.1, XP_010497063.1
OG0000005	AL6G48210, AL2G19230	XP_010490329.1
OG0000005	AL7G43820, AL7G43690	XP_019082606.1, XP_019086332.1
OG0000005	AL3G54340	XP_019082698.1, XP_019086296.1, XP_010468621.1
OG0000007	AL9U10810	XP_010431016.1, XP_010431602.1, XP_010495651.1
OG0000007	AL1G53130	XP_019086691.1, XP_019100941.1
OG0000007	AL4G24120	XP_010485281.1
OG0000007	AL8G18310, AL1G37680, AL3G20440	XP_010468495.1, XP_010445987.1, XP_010463082.1, XP_010507576.1, XP_010436436.1, XP_019091129.1, XP_019094477.1, XP_019097408.1, XP_019094446.1, XP_010480912.1
OG0000007	AL2G22610	XP_019082601.1, XP_019090940.1, XP_019094917.1, XP_019093341.1, XP_019087695.1, XP_010470530.1, XP_019089183.1
OG0000007	AL5G15300	XP_019083796.1, XP_010469173.1, XP_010444914.1, XP_010489639.1, XP_010501823.1, XP_010428435.1, XP_019099816.1, XP_010463256.1
OG0000008	AL8G22780	XP_010451903.1, XP_019085491.1
OG0000008	AL6G25540, AL39U10050, AL6G49380, AL226U10010, AL8G21160, AL8G41980	XP_010445484.1
OG0000008	AL66U10030, AL7G10810, AL747U10010, AL8G17730, AL7G48840, AL4G21710, AL5G16170, AL1G29200, AL1G65090, AL7G51050, AL1G63180, AL7G50980, AL8G11530	XP_019100889.1
OG0000008	AL2G17460, AL6G27010, AL5G18950, AL7G45220	XP_010469634.1, XP_010468583.2
OG0000008	AL8G21520, AL3G44870, AL6G46960, AL2G19610, AL5G20410, AL4G18090, AL1G45690, AL3G40710, AL5G24310, AL2G22310, AL4G13380, AL3G52160	XP_010462780.1
OG0000008	AL4G20310, AL4G18790, AL4G37240, AL3G44010, AL7G44440, AL2G20270, AL9U11800, AL298U10010, AL4G19160	XP_010490304.1, XP_010468439.1, XP_019096470.1, XP_010451611.1, XP_019092291.1, XP_010451476.1, XP_010484870.1, XP_019092275.1, XP_010496514.1, XP_010490409.1, XP_019085184.1, XP_010507505.1, XP_010445057.1, XP_010495644.1, XP_010424378.1, XP_010496603.1, XP_010480905.1
OG0000008	AL5G20470	XP_019098037.1, XP_010507054.1
OG0000008	AL877U10020, AL6G44830	XP_019085490.1, XP_010451904.1
OG0000008	AL5G32180	XP_010431254.1, XP_010507402.1
OG0000008	AL5G32140	XP_010507400.1, XP_019101905.1, XP_010431252.2
OG0000009	AL251U10020, AL3G32130	XP_019101780.1, XP_010446224.1, XP_010424733.1
OG0000009	AL5G14390, AL5G21470	XP_019096542.1
OG0000009	AL3G41770	XP_019090183.1
OG0000009	AL3G38620, AL3G49760, AL4G40870, AL5G22670, AL1G55360, AL8G14160	XP_019097316.1
OG0000009	AL4G34770	XP_019089129.1
OG0000009	AL2G39630	XP_010474388.1, XP_010445324.1, XP_010418625.1, XP_010419080.1, XP_010506918.1, XP_019092367.1, XP_010412434.1, XP_019082570.1, XP_019093323.1, XP_010490288.1, XP_010473858.1, XP_019091186.1, XP_010512831.1, XP_010436807.1, XP_010423650.1, XP_010457037.1, XP_019086349.1, XP_019096504.1, XP_019092384.1, XP_010485041.1, XP_010436406.1, XP_010468814.1, XP_010495742.1, XP_010431090.1, XP_010468349.1
OG0000009	AL9U10020	XP_010445906.1, XP_010473781.1
OG0000009	AL1G62100	XP_019089031.1
OG0000011	AL8G40930	XP_010419507.1, XP_010424482.1, XP_010436780.1, XP_019082511.1, XP_010436492.1, XP_010451471.1, XP_010480806.1, XP_010424296.1, XP_019095651.1, XP_010471617.2, XP_019093372.1, XP_010474558.1, XP_019094504.1, XP_019084280.1, XP_010412776.1, XP_010501674.1, XP_010507749.1, XP_010418236.1, XP_010419113.1, XP_019090188.1, XP_010424237.1, XP_010418869.1
OG0000011	AL1G50520	XP_010496928.1, XP_010501572.1
OG0000011	AL1G17050	XP_019085445.1, XP_019087271.1, XP_010424212.1, XP_010504520.2, XP_010502002.1, XP_010489152.1, XP_010513273.2, XP_010484802.1, XP_010484982.1, XP_010445478.1, XP_019087287.1
OG0000011	AL2G26450	XP_010436576.1
OG0000011	AL2G23260	XP_019086294.1, XP_019087453.1, XP_010471647.1
OG0000012	AL8G15640, AL3G37530, AL6G20560	XP_010467672.1
OG0000014	AL8G19810, AL2G20440	XP_019097536.1
OG0000015	AL7G47990, AL2G21990, AL5G11720, AL615U10010, AL1G54160	XP_010491426.2
OG0000015	AL1G65620	XP_010445386.1
OG0000015	AL5G11190	XP_010424225.1, XP_010418799.1, XP_010507136.1, XP_019084362.1, XP_010430636.1, XP_019092477.1, XP_010470588.1, XP_010513588.1, XP_010495514.1, XP_010497078.1, XP_010418845.1, XP_010484947.1
OG0000015	AL25U10010, AL6G22310, AL7G26200	XP_010507453.1
OG0000015	AL3G46060	XP_010451702.1, XP_010497067.1, XP_010495723.1, XP_010430713.1, XP_010424221.1, XP_010497070.1, XP_019101930.1, XP_010481012.1, XP_010513208.1
OG0000015	AL8G27740, AL429U10010, AL792U10020, AL1G20970	XP_010427798.1
OG0000015	AL8G24680, AL1G15850	XP_010450099.1
OG0000015	AL3G46050	XP_010412816.1, XP_010470614.1
OG0000015	AL2G24310	XP_010474544.1
OG0000016	AL2G23610	XP_019097501.1
OG0000020	AL189U10010, AL189U10020, AL3G44820, AL7G51100	XP_019084343.1
OG0000020	AL5G20560, AL6G44340, AL6G44350, AL1G18490, AL5G20700, AL4G18270, AL4G19490, AL5G11530, AL6G46630, AL7G16690, AL7G11240, AL4G42290	XP_019082585.1
OG0000020	AL4G19770	XP_010511936.1
OG0000021	AL39U10070	XP_010484789.1, XP_010431203.2, XP_019096510.1, XP_019100928.1
OG0000021	AL8G31610, AL7G45200, AL2G25080, AL5G20460, AL4G19440	XP_010424409.1, XP_010425747.1
OG0000021	AL6G42400, AL3G43480, AL5G24330, AL3G37170, AL6G47300	XP_010446058.1, XP_010451363.1
OG0000021	AL5G41490, AL3G52170, AL2G40700, AL8G33160, AL4G18100, AL8G23170, AL4G13400	XP_010431070.1, XP_019091017.1, XP_010445717.1, XP_010474695.1, XP_010507197.1, XP_010484803.1, XP_010456729.1
OG0000021	AL4G20340, AL5G22660, AL3G44000, AL4G18810, AL564U10010, AL8G21810, AL2G20290, AL3G16850, AL9U11790, AL4G19170	XP_010484820.1, XP_010496602.2
OG0000021	AL7G47350, AL7G51150	XP_019091495.1, XP_010471217.1, XP_010434877.1, XP_019088976.1, XP_010482610.1, XP_010445118.1, XP_019086509.1, XP_010445483.1, XP_010451671.1, XP_019096477.1, XP_010511144.1, XP_010439761.1, XP_019089680.1
OG0000022	AL6G27650	XP_010453827.1, XP_019084725.1, XP_010492576.1
OG0000022	AL2G12470	XP_019082759.1
OG0000022	AL2G13120	XP_010473491.1, XP_010418269.1, XP_010430336.1
OG0000022	AL2G13280	XP_010430428.1, XP_010484817.1, XP_019096365.1, XP_010418422.1
OG0000022	AL2G13130	XP_010419464.1
OG0000022	AL2G12460, AL2G12500, AL2G12780	XP_010431725.1, XP_010431724.1, XP_010419467.1, XP_010418350.1
OG0000022	AL2G11490	XP_019082755.1, XP_019087757.1, XP_010419472.1, XP_010430432.1
OG0000022	AL2G13070	XP_010474584.1, XP_019085228.1, XP_010419465.1
OG0000022	AL1G24070	XP_010501563.1
OG0000022	AL1G24190	XP_010458700.1
OG0000022	AL1G23970, AL1G24080	XP_010458689.1, XP_019090833.1, XP_019095236.1, XP_010458718.1, XP_010476232.1, XP_010456672.1
OG0000022	AL1G23630, AL1G24180, AL1G23620	XP_019091381.1, XP_010476184.1, XP_010476252.1, XP_019094809.1, XP_019098970.1, XP_019090986.1, XP_010458712.1, XP_010462662.1, XP_010493846.1, XP_010494656.1
OG0000022	AL2G10190	XP_010418533.1, XP_019085324.1
OG0000022	AL2G10200	XP_010418529.1, XP_010430597.1
OG0000022	AL7G48260	XP_010447152.1, XP_010436064.1
OG0000022	AL3G29640	XP_019096254.1, XP_010504570.1, XP_010465692.1
OG0000023	AL7G45280, AL8G19630	XP_010431119.1, XP_010425465.1, XP_010490322.1, XP_010436664.1
OG0000023	AL1G65660	XP_010422803.1
OG0000023	AL8G19620	XP_010489845.1, XP_010473334.1, XP_010412528.1
OG0000023	AL5G17960, AL7G43020, AL136U10040, AL8G18120, AL1G51450	XP_010419111.1, XP_010484854.1, XP_010475417.1
OG0000023	AL7G44260	XP_019092345.1, XP_010490056.1, XP_010495372.1, XP_010512916.1
OG0000023	AL5G21700, AL7G45880	XP_010445644.1, XP_010495590.1, XP_010468561.1, XP_010463429.1, XP_010436656.1, XP_010451895.1, XP_010418679.1, XP_010451825.1, XP_010468629.1, XP_019082669.1, XP_010474311.1
OG0000023	AL1G51090, AL1G55700, AL5G28690, AL7G32690, AL3G37740	XP_010495350.1, XP_019100920.1, XP_010513512.1
OG0000023	AL1G66070	XP_010451510.1
OG0000024	AL1G45240, AL1G45470, AL1G45480, AL1G45490, AL1G45350, AL1G45520	XP_019095769.1, XP_010480790.1
OG0000024	AL1G45280, AL1G45290, AL1G45300, AL1G45270	XP_010460917.1, XP_010478547.1
OG0000024	AL1G45340	XP_010478550.1
OG0000024	AL1G45540, AL1G45590, nbis-gene-188, AL1G45230, AL1G45550	XP_010478551.1
OG0000024	AL1G45570, AL1G45600	XP_019091095.1, XP_010480880.1, XP_019094490.1, XP_019091554.1
OG0000024	AL1G47320, AL1G46270, AL1G46260	XP_010480848.1, XP_010478732.1, XP_010463094.1
OG0000024	AL1G46280	XP_010480824.1
OG0000024	AL5G38280, AL5G39160	XP_010431261.1, XP_010515603.1, XP_010504688.1, XP_010427639.1, XP_010427857.1, XP_010431427.1, XP_010427640.1, XP_010504689.1
OG0000024	AL5G39170	XP_010427641.1, XP_019100391.1
OG0000025	AL6G41860	XP_010438543.1, XP_010496538.1
OG0000025	AL9U11280, AL5G16730, AL2G12870	XP_010495239.1, XP_010495240.1, XP_010507228.1
OG0000025	AL460U10010	XP_010474036.1, XP_010424602.1, XP_010496134.1, XP_010490452.1, XP_010474526.1, XP_010424785.1, XP_010474094.1, XP_010419434.1, XP_019084250.1, XP_010445859.1, XP_010501852.1, XP_010445838.1
OG0000027	nbis-gene-1639	XP_010434889.1
OG0000027	AL6G45930	XP_010434897.1, XP_010455557.1
OG0000027	AL6G45970	XP_019089721.1
OG0000027	AL7G30160	XP_019089325.1, XP_010433927.1
OG0000027	AL7G30170	XP_019086460.1
OG0000027	AL6G46070	XP_019090217.1, XP_019084079.1
OG0000027	AL7G30280	XP_010439208.1, XP_010433929.1, XP_010448752.1
OG0000027	AL7G30260	XP_010451236.1
OG0000028	AL7G42840	XP_019087714.1, XP_010436629.2, XP_010451562.1, XP_019089771.1
OG0000028	AL8G29760	XP_010450245.1
OG0000028	AL8G30820	XP_010449339.1
OG0000028	AL236U10020	XP_010450257.1, XP_010450330.1, XP_010485150.2
OG0000028	AL8G29780	XP_010443019.1
OG0000028	nbis-gene-2112, nbis-gene-2113	XP_019088142.1
OG0000028	AL8G28780	XP_010446112.1
OG0000028	AL8G29950	XP_019088072.1, XP_010475515.1, XP_010475493.1, XP_010446106.1, XP_019095829.1, XP_010446107.1, XP_010475504.1, XP_010448142.1, XP_010446108.1
OG0000029	AL1G65750	XP_010515282.1
OG0000029	nbis-gene-1243	XP_019090727.1
OG0000030	AL3G33700, AL275U10020, AL3G33320, AL3G33690	XP_010463131.1, XP_010481059.1
OG0000030	AL3G33370	XP_010489955.2
OG0000030	AL1G35700	XP_010462898.1
OG0000030	AL1G40180	XP_010462936.2, XP_010462910.2
OG0000030	AL1G40160, AL1G40170	XP_010477981.2, XP_019091238.1, XP_010499061.1
OG0000030	AL3G27510	XP_010506941.1, XP_010481243.1
OG0000030	AL5G29320, AL5G29310, AL5G29340	XP_019099946.1, XP_019099931.1, XP_010431180.1
OG0000030	AL2G23050	XP_019096352.1
OG0000030	AL1G21870	XP_010480422.1
OG0000030	AL3G24770	XP_010419025.2, XP_010489797.1, XP_019096559.1, XP_010468083.1
OG0000030	AL3G25930	XP_010501254.1, XP_019096650.1
OG0000030	AL3G25710	XP_010465220.1, XP_019096368.1
OG0000031	AL6G36560	XP_019082588.1
OG0000032	AL4G17980	XP_010480897.2, XP_010445680.1, XP_010473999.1, XP_010425095.1, XP_010484862.1, XP_010436751.1, XP_010497251.1, XP_010412531.1, XP_019097480.1, XP_010484906.1, XP_010473639.1, XP_010446027.1, XP_010418918.1, XP_010436558.1, XP_010421223.1, XP_010497271.1
OG0000034	AL7G30290	XP_010433941.1, XP_010439209.1
OG0000034	AL7G32680	XP_019089519.1, XP_010434185.1
OG0000034	AL7G32670	XP_019088150.1, XP_019089518.1
OG0000034	AL7G30340	XP_019087864.1, XP_010448760.1, XP_010448759.1, XP_010433935.1
OG0000034	AL5G24540	XP_019099660.1, XP_019101865.1, XP_010426013.1
OG0000034	AL7G30350	XP_010433930.1, XP_019087874.1, XP_010448768.1
OG0000038	AL2G17230, AL4G20860	XP_010424680.1, XP_019087591.1, XP_010495210.1, XP_010474098.1, XP_010468682.1, XP_010463087.1, XP_019087298.1, XP_010507572.1, XP_010424302.1
OG0000038	AL6G51820, AL6G35520, AL1G48000	XP_010419217.1, XP_010419216.1
OG0000038	AL5G23080	XP_010501746.1
OG0000038	AL5G12950	XP_019099665.1
OG0000038	AL2G20150, AL1G38790, AL3G17400	XP_019090156.1, XP_019096519.1
OG0000038	AL7G52520, AL6G30230, AL3G51220	XP_010513551.1
OG0000040	AL2G11290	XP_010474284.1
OG0000040	AL3G43050	XP_010490455.1
OG0000040	AL1G59470	XP_019082992.1
OG0000040	AL364U10020	XP_019083342.1, XP_019094451.1
OG0000041	AL3G47420	XP_019087596.1, XP_010497180.1
OG0000041	AL1G48060	XP_010466315.1
OG0000041	AL4G11230	XP_019099748.1, XP_019086118.1, XP_019086485.1, XP_019086302.1, XP_019096323.1, XP_010436786.1, XP_019087653.1, XP_019099719.1, XP_019099720.1
OG0000041	AL1G48490	XP_019099649.1, XP_019096533.1, XP_019097420.1
OG0000041	AL3G47410	XP_019086528.1
OG0000041	AL3G42990	XP_019095528.1
OG0000041	nbis-gene-1560	XP_019084800.1, XP_010490177.1
OG0000042	AL1G54660	XP_010445645.1, XP_010462855.1, XP_010460219.1, XP_010415464.1, XP_010456305.1, XP_010424457.1
OG0000042	AL3G44120, AL9U11580, AL2G38670, AL103U10010	XP_010513423.1, XP_010473769.1
OG0000042	AL8G23430	XP_010513486.1
OG0000042	AL8G14180	XP_010412790.1, XP_019084298.1, XP_019091192.1, XP_010463184.1, XP_010507036.1, XP_019093234.1
OG0000042	AL1G42210	XP_010463124.1
OG0000043	AL3G46620	XP_019089219.1
OG0000043	AL5G16300	XP_010424324.1
OG0000043	AL1G48950, AL5G15500	XP_010471448.1
OG0000043	AL9U11830	XP_019094473.1
OG0000043	AL8G19930	XP_019097453.1
OG0000044	AL3G46070	XP_010468576.2
OG0000044	AL8G11930	XP_019082617.1, XP_010445862.2
OG0000044	AL8G11910	XP_010494828.1
OG0000044	AL8G12190	XP_010441602.1, XP_010496016.1
OG0000044	AL8G18480	XP_019095933.1
OG0000044	AL8G11840, AL8G11900	XP_019096918.1
OG0000044	AL7G37760	XP_019087254.1, XP_019088788.1
OG0000046	AL6G43460, AL8G24550, AL3G45110, AL3G45080, AL6G44180, AL8G21960, AL3G43290, AL1G51180, AL4G17640	XP_010461751.1, XP_010502950.1, XP_010518653.2, XP_010412583.2, XP_010474317.1, XP_010490459.2, XP_010412458.2, XP_010495393.2, XP_019094411.1, XP_010507554.1, XP_010507003.1, XP_010451886.2, XP_019086303.1, XP_019097866.1, XP_019089513.1, XP_010435128.1, XP_019096471.1
OG0000046	AL4G20190, AL3G44690, AL6G40760	XP_019094579.1, XP_010458616.1
OG0000048	AL8G43560	XP_010444605.1, XP_010485320.1
OG0000048	AL4G27770	XP_010418692.1
OG0000048	AL4G27390	XP_010513136.1, XP_019082534.1, XP_010510111.2, XP_019099592.1, XP_010430751.1
OG0000048	AL1G62520	XP_019087514.1
OG0000048	AL2G14000, AL2G14020	XP_010431681.1, XP_019082751.1, XP_010431684.1, XP_010431683.1, XP_010419453.1
OG0000049	AL4G33780, AL2G10930	XP_019092352.1, XP_010420040.1, XP_010463099.1
OG0000049	AL3G43320	XP_010424622.1
OG0000049	AL4G20550	XP_010436765.1
OG0000049	AL5G11300	XP_010420948.1
OG0000049	AL6G28120, AL3G49490	XP_010490134.1, XP_010484894.1
OG0000049	AL7G52580	XP_019092233.1, XP_019095479.1, XP_019100829.1, XP_019086446.1, XP_019090068.1
OG0000049	AL6G39930	XP_019089269.1
OG0000049	AL5G16120, AL5G16140	XP_019087412.1, XP_019098132.1, XP_019099318.1, XP_019101870.1
OG0000049	AL1G54600, AL7G49500, AL2G19430	XP_019098392.1, XP_019085514.1, XP_019095820.1, XP_019090182.1
OG0000049	AL6G41720	XP_019087409.1, XP_019096549.1, XP_019091158.1, XP_019096462.1, XP_019091083.1
OG0000049	AL53U10030	XP_019087549.1
OG0000049	AL1G47310	XP_019085574.1, XP_019087633.1, XP_019099682.1, XP_019085817.1, XP_019085550.1, XP_019095478.1
OG0000049	AL9U11060	XP_019099751.1, XP_010518640.1
OG0000049	AL5G25180	XP_010412990.1
OG0000049	AL1G24730, AL1G48300, AL1G50060	XP_019092365.1
OG0000050	AL1G24220	XP_010412420.1
OG0000051	AL1G20340	XP_010475218.1, XP_019098849.1, XP_019094361.1, XP_019094954.1, XP_010457379.1
OG0000051	AL4G40940	XP_010508568.1, XP_019101977.1, XP_010506074.1
OG0000051	AL2G11470	XP_010419487.1, XP_010474608.1, XP_019085682.1
OG0000051	AL4G40920, AL4G40910	XP_010508571.1, XP_019099792.1, XP_019099930.1, XP_019102077.1
OG0000051	AL2G15770	XP_010489918.2, XP_019092650.1
OG0000051	AL4G41000	XP_019100717.1, XP_019101979.1, XP_019099795.1, XP_019101978.1
OG0000051	AL4G41010	XP_019100716.1, XP_019099796.1, XP_019100715.1
OG0000051	AL4G41020	XP_019099797.1, XP_019100714.1, XP_019100713.1, XP_019099798.1, XP_019099883.1, XP_019101012.1, XP_010413016.2, XP_010413017.1
OG0000052	AL5G15900	XP_010502638.1
OG0000052	AL1G65610	XP_019100897.1, XP_010418932.1, XP_010418929.2
OG0000052	AL5G31970	XP_010515571.1, XP_010426725.1, XP_010503847.2
OG0000052	AL5G28950	XP_010515239.1, XP_010503551.1, XP_010426408.1
OG0000052	AL5G28550	XP_010507323.1, XP_019085543.1, XP_019085541.1, XP_010412647.1, XP_010426406.1
OG0000052	AL5G28540	XP_010471335.1, XP_010416064.1, XP_010428193.1, XP_019085547.1, XP_019099693.1, XP_019085544.1, XP_010507328.1
OG0000054	AL2G17290	XP_019089207.1
OG0000055	AL3G41130	XP_019092356.1
OG0000055	AL3G33990, AL3G34120	XP_010487026.1, XP_019099114.1, XP_019092423.1, XP_019096980.1
OG0000055	AL3G30470	XP_019092636.1
OG0000055	AL3G38080, AL769U10010	XP_010456592.1
OG0000055	AL3G53160, AL3G53140	XP_010489359.1, XP_010515149.1
OG0000055	AL3G50860	XP_019092372.1, XP_019089014.1, XP_019092647.1, XP_010490397.2, XP_010449648.2
OG0000055	AL3G30370	XP_010468236.2, XP_010489892.2
OG0000056	AL2G13390	XP_010430303.1
OG0000056	AL2G14100	XP_010473413.1, XP_019085277.1
OG0000056	AL2G13770	XP_010473426.1, XP_010430251.1
OG0000056	AL2G13820	XP_010430227.1, XP_010418186.1, XP_010473423.1, XP_010418174.1
OG0000056	AL2G14110	XP_010430221.1
OG0000056	AL2G14050	XP_010473417.1, XP_010419451.1
OG0000056	AL2G14090	XP_010430223.1, XP_010418172.1, XP_010473414.1
OG0000056	AL2G14070	XP_019082750.1, XP_010430231.1, XP_010473416.1
OG0000056	AL2G14080	XP_010418173.1, XP_010430224.1, XP_010473415.1
OG0000056	AL5G26170	XP_010426146.1, XP_010503309.1, XP_019084785.1, XP_010515018.1
OG0000058	AL5G26550, AL920U10010	XP_019086887.1, XP_010493433.1, XP_010496594.1
OG0000058	AL3G40670	XP_010412459.1, XP_019098310.1, XP_019096550.1, XP_019086270.1, XP_019101868.1, XP_019100846.1, XP_019101359.1, XP_019093349.1, XP_010507005.2, XP_019090153.1, XP_019099752.1, XP_010495718.2, XP_010457035.1, XP_010472188.1, XP_010441848.1, XP_010445492.1, XP_010430898.2, XP_019093221.1
OG0000058	AL6G45120	XP_010513622.1
OG0000058	AL3G30200	XP_010507131.1
OG0000058	AL1G60100	XP_019084347.1, XP_019082584.1, XP_019093348.1
OG0000059	AL8G40920, AL7G34190, AL2G10380, AL1G59190	XP_019082768.1, XP_010424297.1, XP_010492076.1, XP_010480864.1, XP_010480807.1, XP_010421928.1, XP_019086245.1, XP_010454794.1, XP_010474415.1, XP_019093613.1, XP_019087039.1, XP_010445534.1, XP_019093612.1, XP_010483128.1, XP_010495455.1, XP_010467664.1, XP_019094598.1, XP_010513527.1, XP_010513525.1, XP_010436683.1, XP_010501879.1, XP_010444952.1
OG0000059	AL5G34630	XP_010424196.1, XP_019102427.1, XP_010456828.1, XP_010424751.1
