Orthogroup	Arabidopsis_lyrata_Rawat	Noccaea_praecox
OG0000046	AL6G43460, AL8G24550, AL3G45110, AL3G45080, AL6G44180, AL8G21960, AL3G43290, AL1G51180, AL4G17640, AL3G40680, AL1G60090, AL7G41120, AL6G41380, AL1G53510, AL4G20190, AL3G44690, AL6G40760	Np002G0812000, Np006G3271700, Np002G0901300, Np007G3942200, Np006G3533700, Np004G2173800, Np007G4037000, Np003G1635500, Np004G2079600, Np005G3093000, Np006G3271600, Np007G4080200, Np005G3032100, Np004G2183100, Np004G2290100, Np002G1005100, Np004G2334400
OG0000049	AL5G38410	Np001G0102300
OG0000049	AL53U10030	Np002G0881800
OG0000049	AL1G56420, AL5G15730, AL1G55420, AL1G21830, AL9U10850, AL27U10010	Np005G3022000
OG0000049	AL3G45700, AL1G47310, AL9U11060, AL5G25180, AL1G24730, AL1G48300, AL1G50060	Np002G1103100
OG0000051	AL1G20340	Np004G2552100, Np007G3843500, Np007G3849300, Np004G2593300, Np003G1312800, Np003G1313100, Np003G1316200, Np004G2360300
OG0000051	nbis-gene-988	Np002G1168200
OG0000051	AL2G11470	Np002G1229200
OG0000051	AL3G20080	Np002G1168000, Np002G1055900, Np002G1071800
OG0000051	AL4G40920, AL4G40910, AL2G15770, AL4G40930	Np006G3285800, Np006G3285900, Np006G3286000
OG0000051	AL4G41000, AL4G41010, AL4G41020	Np006G3284800, Np006G3284200, Np006G3284000
OG0000052	AL5G15900	Np001G0218600
OG0000052	AL5G15910	Np002G0839600
OG0000055	nbis-gene-725, AL3G41130	Np006G3336100, Np006G3338700, Np003G1875300
OG0000055	AL3G30730, AL3G30470, AL3G38080, AL769U10010	Np007G3923100, Np007G3922500
OG0000055	AL4G21820	Np005G2851900
OG0000055	AL3G50860	Np007G3753300
OG0000056	AL2G13790, AL2G14110	Np002G1201900, Np002G1202000, Np002G1202100
OG0000056	AL2G14090, AL2G14060, AL2G14070, AL2G14080	Np002G1191800, Np002G1192300, Np002G1195300
OG0000056	AL5G26170	Np005G3136000, Np001G0467300
OG0000058	AL5G26550, AL920U10010	Np004G2334500, Np006G3421900
OG0000058	AL3G40670	Np006G3423100, Np006G3422500, Np004G2183000, Np007G3942100
OG0000059	AL8G40920, AL7G34190, AL2G10380, AL1G59190	Np006G3486400, Np005G2888900, Np005G3047300, Np007G3954600, Np003G1666900, Np003G1673900, Np005G2877500
OG0000059	AL5G34630	Np003G1667800, Np001G0392300, Np001G0082700
OG0000060	AL781U10020	Np004G2515700, Np006G3598500
OG0000060	AL8G36210	Np003G1526800
OG0000060	AL5G24600	Np001G0456200
OG0000061	nbis-gene-1510	Np003G1795500
OG0000061	AL7G25770	Np005G2786700
OG0000061	AL6G16510, AL7G46170	Np006G3342300
OG0000061	AL4G24650	Np006G3280900
OG0000062	AL704U10010	Np002G0949000
OG0000062	AL9U10060	Np002G0953400
OG0000062	AL8G40700, AL8G15100	Np002G0935900, Np001G0402000, Np007G4021600
OG0000063	AL60U10040	Np001G0224800
OG0000065	AL7G51420	Np005G3146600
OG0000066	AL6G20890	Np003G1367100, Np001G0031500, Np004G2500100, Np003G1367200
OG0000066	AL6G21580	Np007G3771600
OG0000068	AL6G15310, AL6G14890, AL3G20260, AL3G20250, AL3G20240	Np005G3153500, Np005G3160300, Np005G3160400, Np005G3152300, Np005G3152600
OG0000068	AL6G18740	Np006G3221500, Np006G3241700, Np006G3215500, Np005G2816600, Np006G3215800
OG0000069	AL5G45620	Np006G3706900, Np006G3707500
OG0000069	AL1G10300, nbis-gene-18	Np006G3704200, Np006G3697500
OG0000069	AL3G48630, AL1G45330, AL1G16270	Np007G3833600
OG0000069	AL1G11090	Np004G2374300, Np004G2572500, Np004G2541100, Np004G2541500
OG0000069	AL4G13470	Np004G2313200, Np001G0593200, Np001G0592800, Np001G0596200, Np001G0586900, Np001G0599500
OG0000069	AL3G38360	Np005G2913000, Np005G2913300, Np005G2926900, Np005G2926800
OG0000070	AL1G20940, AL3G47920, AL5G12840, AL5G12830	Np007G3899300, Np001G0248800
OG0000070	AL4G11370, AL1G32980, AL2G24470	Np004G2353400
OG0000070	AL2G35960	Np001G0364300, Np001G0366000, Np001G0526100, Np001G0525900, Np002G0771400
OG0000070	AL5G42190	Np004G1988500
OG0000072	AL3G47230	Np007G4034300, Np001G0214400, Np004G2135500, Np006G3592300, Np006G3546700, Np006G3482700
OG0000072	AL8G11190	Np003G1588900, Np007G4122700, Np005G2824400
OG0000073	AL4G12860	Np005G2938000, Np001G0249200
OG0000073	AL5G31050, AL1G60290, AL5G25100	Np003G1524100
OG0000074	AL8G11830	Np001G0425700, Np002G0733000
OG0000075	AL8G23920	Np006G3607400, Np003G1743500, Np003G1743600, Np003G1743200
OG0000075	nbis-gene-1691	Np005G2617300
OG0000076	AL7G10840	Np005G2608900
OG0000077	AL2G25710	Np002G0927000
OG0000077	AL8G13900, AL8G13920	Np001G0381300
OG0000077	AL1G67300	Np002G1125900
OG0000077	AL5G12960	Np001G0247700
OG0000078	AL3G13710	Np007G4214700
OG0000078	AL6G29220, AL6G29120	Np003G1454400
OG0000079	AL3G51940, AL1G57050, AL5G16890, AL1G58560, AL1G58670, AL4G20020, AL1G30000, AL5G27080, AL8G14210	Np004G2051400, Np004G2152100, Np004G2296400, Np004G2253500
OG0000080	nbis-gene-244	Np002G1104300
OG0000081	AL2G21910	Np004G2188400, Np004G2195900, Np004G2188800, Np007G3988300
OG0000081	AL1G31420, AL8G29100, AL8G26420, AL6G33330	Np005G2602400
OG0000084	AL4G40730, AL347U10020, AL60U10030, AL6G44320, AL8G20470	Np007G3915500
OG0000086	AL7G53090	Np005G3126500
OG0000086	nbis-gene-1912	Np002G0950000
OG0000086	AL7G46850, AL7G46860	Np005G3126400, Np005G3126800, Np005G3126700, Np005G3127000
OG0000086	AL2G24590, AL2G24600	Np002G0867100
OG0000089	AL6G35120	Np001G0109800
OG0000089	AL8G39670	Np005G2870600
OG0000089	AL5G25960	Np001G0070200
OG0000089	AL4G24260	Np006G3501600, Np008G4281600
OG0000089	AL6G23060	Np003G1391100
OG0000089	AL8G15560	Np001G0399300
OG0000089	AL7G33260	Np005G2871200
OG0000089	AL2G35770	Np002G0774400
OG0000091	AL6G32010	Np003G1487100
OG0000091	AL8G24400	Np001G0528700
OG0000095	AL4G18560	Np006G3650500, Np006G3650700
OG0000095	AL4G18550	Np006G3649600
OG0000095	AL4G15530, nbis-gene-975, nbis-gene-1002, AL4G15600	Np006G3660300
OG0000095	AL4G14530, AL4G18570, AL4G15550	Np006G3650300
OG0000095	AL4G18510, AL4G15660, AL4G14510, AL4G14520	Np006G3650400, Np006G3654500, Np006G3650200, Np006G3660600
OG0000096	AL3G31580	Np007G3952900, Np002G0789300, Np002G0783300, Np007G3906500, Np007G3813600, Np007G3828000, Np007G3827900, Np007G3802100, Np007G3815700, Np007G3816700, Np004G1968900, Np002G1192600, Np004G1989000, Np004G1955200, Np004G1945900, Np004G1963100, Np004G1955300
OG0000096	AL3G22030	Np007G3726500
OG0000098	AL3G44020, AL3G44030, AL3G43980, AL3G44060, nbis-gene-805	Np007G3899100
OG0000098	AL2G26330	Np004G2594800
OG0000098	nbis-gene-844	Np007G3793600
OG0000098	AL1G41020, AL1G41000, AL1G41010, AL1G40990, AL4G14170	Np001G0116500, Np001G0115500
OG0000098	AL4G14150	Np002G0990300, Np002G0990900, Np002G0990400
OG0000099	AL4G17790, AL4G17810	Np005G2972700, Np006G3467800, Np004G2293200, Np002G0982400, Np002G0982300, Np004G2293300, Np006G3467900, Np001G0434000, Np008G4260400, Np003G1785300, Np002G1057600, Np009G4292900, Np007G4054500, Np002G0965600
OG0000100	AL2G11210	Np002G1237300
OG0000100	AL2G11240	Np002G1233700
OG0000100	AL2G16740	Np004G2064500
OG0000100	AL7G51590, AL2G11390, AL2G11380, AL2G11220, AL2G14410, AL1G66330, AL3G49580, AL1G65640	Np002G1231900
OG0000101	AL26U10050, AL3G41030	Np002G0736300, Np001G0306500, Np001G0036300, Np004G2254300, Np001G0349600, Np004G2428000, Np003G1266900, Np001G0589500, Np003G1682200, Np003G1683300, Np007G3942800
OG0000102	AL6G49150	Np003G1716100
OG0000102	AL6G49090, AL320U10020	Np003G1850400
OG0000102	AL9U10550, AL9U10540	Np003G1850200
OG0000102	AL6G49140	Np003G1795300
OG0000102	AL6G49050	Np003G1849500, Np003G1850000
OG0000103	AL5G15430, AL8G17400, AL1G30370, AL8G10040, AL265U10010, AL2G18280, AL6G36380	Np007G4123200
OG0000105	nbis-gene-1539	Np003G1459200
OG0000106	AL5G27290, AL1G43970, nbis-gene-561	Np007G3948900, Np006G3602200, Np004G2072600, Np004G2045400, Np003G1306400
OG0000106	AL2G13830	Np001G0133000
OG0000106	AL6G40690	Np006G3556500, Np005G2719900, Np001G0513300, Np003G1588100, Np005G2609700, Np005G2802400, Np003G1396400, Np005G3054500, Np006G3285100, Np004G1932400, Np002G1206600, Np002G0931500, Np004G2006800, Np006G3285600, Np006G3356100, Np002G0934000, Np001G0450200, Np001G0254300, Np001G0468300, Np003G1838400, Np002G1216700, Np001G0108100, Np004G2551200, Np004G1924900, Np003G1364100, Np004G1973500, Np001G0080600
OG0000107	AL8G20150, AL7G40290	Np005G3056200
OG0000107	AL3G33780, AL3G33770	Np007G3984300
OG0000108	AL4G34130	Np006G3369500
OG0000108	AL5G34730	Np001G0565800
OG0000108	AL5G25390, AL8G35810	Np001G0462100
OG0000108	AL3G23740	Np007G4093400
OG0000108	AL6G20220	Np003G1360400
OG0000108	AL1G56110	Np007G3950400
OG0000109	AL1G47060, AL4G15980	Np001G0341500
OG0000109	AL2G19590, AL6G46480, AL7G48370, AL4G13100, AL5G17500, AL8G26200, AL3G45860, AL1G49480, AL3G47220, AL5G17870, AL8G24560, AL7G45510, AL6G38840, AL6G52460, AL6G40590, AL1G47050, AL2G22030, AL8G22080, AL2G35490, AL5G20740, AL1G54140, AL2G22170, AL3G44280, AL7G53070, AL5G17840, AL7G34330, AL8G17600, AL170U10010, AL3G46660, AL8G20850, AL4G12360, AL5G10400, AL3G43610, AL4G17930, AL5G17970, AL9U10780	Np002G1184600, Np005G2935200, Np007G4014300, Np005G2978600, Np006G3449000, Np003G1723900, Np003G1723300, Np003G1723600, Np011G4357100, Np002G1174400, Np008G4281000, Np002G1033400
OG0000110	AL1G55630, AL7G11640, AL1G50710, AL4G20710, AL6G41920, AL8G21920, AL9U11500, AL2G19920, AL2G22250, AL5G12710	Np002G1086700, Np005G2909800, Np002G1161200, Np004G2113400, Np005G3033600, Np002G0891500, Np007G4015500, Np008G4289300
OG0000111	AL5G18800	Np005G3154700
OG0000111	AL2G34810	Np005G3138900, Np001G0444800
OG0000114	AL2G19090, AL2G20370, AL1G46930, AL8G13990, AL5G18470, AL5G18060, AL3G42080, AL4G18650, AL3G44910, nbis-gene-1272, nbis-gene-1271, AL1G50940	Np002G1018000
OG0000116	nbis-gene-997, AL1G35450, nbis-gene-1953, AL1G39460	Np002G1124800
OG0000116	AL6G43140	Np004G1921200, Np001G0237100
OG0000117	AL1G37400	Np004G2300400
OG0000117	AL1G37350	Np004G2299300
OG0000117	AL1G37440, AL1G37390	Np004G2300300
OG0000117	AL1G37330, AL1G37340	Np004G2300200
OG0000118	AL2G23590, AL2G23540, AL2G23600, AL6G44790	Np002G0786200
OG0000118	nbis-gene-757, AL3G37210	Np004G1992500, Np006G3383100
OG0000119	AL6G15230	Np001G0493200
OG0000120	AL3G44880, AL4G19050	Np003G1769900, Np005G2602500
OG0000121	AL2G20140, AL8G14910	Np005G2604800, Np006G3604300
OG0000123	AL8G25360	Np003G1843300
OG0000125	AL4G23510	Np006G3600700
OG0000125	AL1G17740	Np004G2519400
OG0000125	AL1G55940	Np004G1951700
OG0000125	AL1G59870	Np004G1951500
OG0000125	AL1G59850	Np004G1951600
OG0000126	AL4G20870	Np006G3613200
OG0000127	AL6G34020	Np003G1510700
OG0000127	AL189U10030, AL8G36480, AL5G24690	Np003G1523500
OG0000127	AL4G23250	Np006G3598300
OG0000128	AL5G41080	Np001G0644700
OG0000128	AL5G41090	Np001G0644900
OG0000128	AL2G18450, AL7G42310, AL5G41050	Np001G0644500
OG0000129	AL2G19870, nbis-gene-452	Np002G0866100
OG0000129	AL2G20180	Np005G3118200
OG0000130	AL3G43990	Np006G3485400
OG0000132	AL5G36020	Np001G0583700
OG0000132	AL315U10010, AL7G51940, AL7G52020, AL7G52000	Np005G3117900, Np005G3137200, Np005G3137300, Np005G3137400
OG0000134	AL8G17970, AL8G17980, AL20U10060, AL20U10050, AL20U10040, AL20U10020, AL6G21880	Np003G1378400
OG0000137	AL8G30930	Np003G1600500
OG0000137	AL8G30910	Np003G1602300, Np003G1829600
OG0000137	AL1G49040	Np003G1596700
OG0000137	AL8G30920	Np003G1602000, Np003G1601500, Np003G1600700
OG0000137	AL8G30900	Np003G1602100
OG0000137	AL8G30890	Np003G1602400
OG0000140	AL6G10840	Np001G0509300, Np001G0524900
OG0000141	AL2G13240	Np002G1165900
OG0000143	AL3G54050	Np004G2289300
OG0000148	AL1G54580, AL1G54620	Np004G1960900, Np004G1960800
OG0000148	AL3G17170	Np001G0107700
OG0000150	AL4G25960, AL4G15810	Np002G1102100, Np006G3465100, Np005G2952600
OG0000151	AL5G36220	Np001G0586800
OG0000151	AL4G36690	Np006G3339200
OG0000151	AL5G36210	Np001G0586700
OG0000151	AL5G34430	Np001G0563500
OG0000151	AL4G33730	Np006G3374700
OG0000151	AL6G24190	Np003G1404000
OG0000152	AL1G65830	Np011G4358800
OG0000152	AL1G66640	Np003G1873800
OG0000152	AL4G22930, AL177U10010	Np002G0970200
OG0000153	AL1G17600	Np004G2521100
OG0000154	AL6G29770, AL6G29780	Np004G1998200
OG0000154	AL1G58510	Np004G1963300
OG0000157	AL8G27960, AL1G29270	Np006G3350500, Np003G1450700
OG0000157	AL1G44860	Np005G3104600, Np005G3104800, Np005G3107600
OG0000158	nbis-gene-1710, AL2G28170	Np002G0811900
OG0000158	AL7G14590	Np005G2867000, Np005G2866500
OG0000158	AL7G32560, AL7G30180, AL7G33450	Np003G1292700
OG0000158	AL6G25220	Np005G2956600
OG0000158	AL6G46400	Np001G0283500, Np001G0283800, Np001G0282900, Np007G4061200
OG0000158	AL1G67080, AL7G42520	Np004G2036800, Np004G2174600, Np004G1934200
OG0000160	AL3G52950	Np007G3739600
OG0000160	AL7G22000	Np005G2740000
OG0000160	AL8G33330	Np003G1560700
OG0000160	AL3G44180	Np007G3899700
OG0000160	AL5G20850	Np001G0430500
OG0000160	AL2G40780	Np002G0711700
OG0000162	AL8G17590	Np006G3577700
OG0000162	AL3G42410	Np007G3727700
OG0000162	AL3G42400, AL3G42420	Np001G0244800
OG0000162	AL4G28810, AL4G28800	Np006G3578300
OG0000165	AL3G46810	Np002G1201100, Np002G1201400, Np002G1201300, Np002G1201200
OG0000165	AL7G45500	Np003G1813000, Np003G1781700, Np003G1822600, Np003G1800900, Np003G1781600, Np003G1801300, Np003G1801500, Np007G4108400
OG0000167	AL3G35160, AL3G35150	Np007G3808900
OG0000167	AL5G24180, AL3G35070	Np007G3810100, Np007G3810500
OG0000169	AL9U10990	Np004G2522900
OG0000169	AL1G53540, AL1G53520	Np004G2006300, Np004G2270200, Np001G0564500
OG0000169	AL9U11000	Np004G2270300
OG0000170	AL5G43250	Np001G0667900
OG0000171	AL8G28000	Np003G1641800
OG0000171	AL2G10770	Np002G1239200
OG0000171	AL3G49460	Np007G3768900
OG0000171	AL8G31780	Np003G1582900
OG0000171	AL7G24680	Np005G2770300
OG0000173	AL7G12140	Np005G2621400
OG0000173	AL7G12760, AL7G13600, AL7G12790	Np001G0199900
OG0000174	AL5G24470, AL6G38890, AL3G40990, AL6G49470, AL2G19320, AL4G18060, AL1G56990	Np002G1029900
OG0000175	AL6G25440	Np003G1416000
OG0000175	AL5G45050, AL2G23510	Np001G0685700
OG0000176	AL4G14280, AL57U10030	Np006G3654200
OG0000176	AL2G31040	Np002G0837300, Np002G0837100
OG0000177	AL6G51590, AL1G34280	Np002G0868200, Np007G3897800, Np002G0760200
OG0000178	AL6G47960	Np003G1833700
OG0000178	AL6G47980	Np003G1835100
OG0000178	AL6G47970	Np003G1835200
OG0000178	AL6G47990	Np003G1834900, Np003G1834200
OG0000182	AL5G43310, AL5G43300	Np001G0465800, Np003G1776200
OG0000182	AL1G58410	Np002G0821500
OG0000183	AL7G46650	Np005G3124900
OG0000183	AL6G32820, AL4G20560	Np006G3615500
OG0000184	AL3G36200, AL3G36210	Np007G3824400, Np007G3829200
OG0000184	nbis-gene-767	Np007G3795700
OG0000185	AL2G22820	Np001G0633400, Np001G0633500, Np004G2438100, Np004G2439800, Np004G2439100
OG0000185	AL1G11240, AL1G49370, AL1G49350, AL1G49380, AL108U10030, AL5G14060, AL8G40780	Np001G0026600, Np001G0030000, Np001G0688200
OG0000188	AL7G22270	Np007G4202700
OG0000188	AL3G14200	Np007G4208500
OG0000188	AL3G14700	Np007G4202800, Np004G1955500
OG0000188	AL3G14720, AL3G14710	Np001G0338100
OG0000189	AL7G15090	Np005G2675300
OG0000189	AL7G16200	Np007G3769000
OG0000189	AL2G35850	Np002G0772800
OG0000189	AL1G32900	Np004G2354100
OG0000192	AL2G13220	Np003G1311400
OG0000192	AL7G26670	Np005G2794900
OG0000193	AL3G29460	Np007G3913400
OG0000195	AL7G46380	Np007G3730700
OG0000196	AL7G47540	Np005G2929400
OG0000196	AL7G47550	Np005G3188800
OG0000197	AL7G34540, AL7G34550	Np004G2439300, Np002G1112700
OG0000197	AL7G34520	Np005G2896400, Np001G0033100
OG0000197	AL7G34530	Np004G2022400
OG0000198	AL7G42370, AL5G10550	Np001G0273200, Np001G0273100
OG0000198	AL1G27020, AL1G45410	Np006G3633600, Np003G1742600
OG0000198	AL1G26980, AL1G27000	Np004G2415000
OG0000198	AL1G27010	Np004G2414700
OG0000198	AL5G15240	Np005G2833600
OG0000199	AL1G61110	Np007G3776000, Np007G3775100, Np006G3307800
OG0000199	AL7G22480, AL6G29250, AL6G29230, AL7G22490, AL7G22500	Np004G2471000, Np004G2469700, Np004G2471600, Np004G2469900, Np004G2460000
OG0000200	AL1G15400	Np004G2544000
OG0000200	AL1G15390	Np004G2543900
OG0000200	AL1G44070	Np004G2143200, Np004G2141700, Np003G1654700
OG0000200	AL1G44060, AL1G44080	Np004G2141600, Np004G2143500
OG0000202	AL6G50950, AL6G45800, AL2G21130, AL6G42990, AL6G47610	Np007G3890500
OG0000202	AL2G28240	Np007G3758700
OG0000202	AL6G51540	Np007G3791900
OG0000203	AL5G40120	Np005G3179800
OG0000203	AL5G40110	Np001G0632300
OG0000203	AL5G40100	Np001G0631800
OG0000205	AL6G41080, AL6G41170, AL7G33750, AL2G20320, AL2G20330, AL3G54100, AL3G45590	Np009G4305400, Np002G1035400, Np010G4327900, Np004G2209100
OG0000206	AL4G21300	Np003G1786800
OG0000209	AL6G20830	Np003G1366500
OG0000210	AL4G23070, AL4G44040	Np006G3250000
OG0000210	AL2G23580	Np002G1162900
OG0000210	AL4G20750	Np006G3639200
OG0000211	AL7G52630	Np007G4123300
OG0000215	AL1G49470, AL9U10420	Np007G4021500, Np002G1038000
OG0000216	AL2G18850	Np002G1121800
OG0000216	AL5G37800	Np001G0606300, Np001G0606400
OG0000218	AL4G42280	Np001G0082600, Np005G2949200, Np005G2921000, Np002G0962900, Np002G0922800
OG0000219	AL7G49130, AL7G46120	Np001G0161000
OG0000219	AL3G52780	Np002G0871700
OG0000222	AL6G40720	Np003G1707700, Np003G1700600, Np009G4299200
OG0000225	AL2G39120	Np002G0730800
OG0000225	AL2G28790	Np002G0730400
OG0000227	AL3G16300, AL3G16310, AL3G22620, AL6G37850	Np006G3524200, Np006G3524300
OG0000229	AL1G65810, AL5G20810	Np002G1043000
OG0000230	AL5G40710	Np001G0641400
OG0000230	AL7G52220	Np001G0642200
