Orthogroup	Arabidopsis_lyrata_Rawat	Brassica_oleracea
OG0000011	AL8G22980	XP_013627832.1, XP_013615711.1
OG0000011	AL7G52850	XP_013607551.1
OG0000011	AL1G50520, AL5G34620, AL5G17780	XP_013601186.1, XP_013594913.1, XP_013639515.1, XP_013601179.1
OG0000011	AL1G17050	XP_013615397.1
OG0000011	AL2G26450	XP_013610312.1, XP_013624126.1, XP_013624406.1, XP_013608203.1
OG0000011	AL2G23260	XP_013589498.1, XP_013632628.1, XP_013633248.1
OG0000012	AL8G15640, AL3G37530, AL6G20560	XP_013639372.1, XP_013624793.1, XP_013613506.1, XP_013623455.1, XP_013626439.1, XP_013611088.1, XP_013612972.1, XP_013594278.1, XP_013608173.1, XP_013617074.1, XP_013632853.1, XP_013632664.1, XP_013583440.1, XP_013608356.1, XP_013594808.1, XP_013632621.1, XP_013624069.1, XP_013589134.1, XP_013617725.1, XP_013617879.1, XP_013632620.1, XP_013589147.1, XP_013594932.1, XP_013607434.1, XP_013632771.1, XP_013632776.1, XP_013633419.1, XP_013584775.1, XP_013608370.1, XP_013589462.1, XP_013631748.1, XP_013601625.1, XP_013624348.1, XP_013639143.1, XP_013608057.1, XP_013624389.1, XP_013617337.1, XP_013623757.1, XP_013617763.1, XP_013632469.1, XP_013617104.1, XP_013624952.1
OG0000012	AL5G12390	XP_013595041.1, XP_013589318.1
OG0000014	AL8G19810, AL2G20440	XP_013634434.1, XP_013613796.1
OG0000015	AL3G46060	XP_013613391.1, XP_013614315.1, XP_013634793.1, XP_013594601.1, XP_013615211.1, XP_013615599.1, XP_013615204.1
OG0000015	AL3G46050	XP_013594602.1
OG0000015	AL2G24310	XP_013633310.1, XP_013617465.1, XP_013613387.1
OG0000015	AL1G29330, AL6G27260	XP_013601199.1, XP_013633118.1
OG0000016	AL2G23610	XP_013633483.1
OG0000020	AL6G44340, AL6G44350, AL1G18490, AL5G20700, AL4G18270, AL4G19490, AL5G11530, AL6G46630, AL7G16690, AL7G11240, AL4G42290	XP_013624038.1, XP_013608147.1
OG0000021	AL39U10070, AL8G31610, AL7G45200, AL2G25080, AL5G20460, AL4G19440, AL6G42400, AL3G43480, AL5G24330, AL3G37170, AL6G47300, AL5G41490, AL3G52170, AL2G40700, AL8G33160, AL4G18100, AL8G23170, AL4G13400, AL4G20340, AL5G22660, AL3G44000, AL4G18810, AL564U10010, AL8G21810, AL2G20290, AL3G16850, AL9U11790, AL4G19170	XP_013608094.1, XP_013632801.1, XP_013599600.1, XP_013589650.1, XP_013633047.1, XP_013613761.1, XP_013639394.1, XP_013601657.1, XP_013615573.1, XP_013608056.1, XP_013583415.1, XP_013624628.1
OG0000021	AL7G47350, AL7G51150	XP_013594507.1, XP_013631302.1
OG0000022	AL6G27650	XP_013611057.1
OG0000022	AL2G13120	XP_013606456.1
OG0000022	AL2G13070	XP_013606166.1
OG0000022	AL1G24190	XP_013601047.1
OG0000022	AL1G23630, AL1G24180, AL1G23620	XP_013601836.1, XP_013605059.1, XP_013600826.1, XP_013605038.1, XP_013605927.1, XP_013600508.1, XP_013601046.1, XP_013599992.1
OG0000022	AL1G16610	XP_013603447.1
OG0000022	AL7G48260	XP_013635968.1
OG0000022	AL3G29640	XP_013609571.1
OG0000023	AL7G45280, AL8G19630	XP_013613579.1, XP_013639689.1
OG0000023	AL2G18620	XP_013624598.1
OG0000023	AL8G19620	XP_013589397.1, XP_013632474.1
OG0000023	AL5G17960, AL7G43020, AL136U10040, AL8G18120, AL1G51450	XP_013630371.1
OG0000023	AL7G44260	XP_013632550.1, XP_013607989.1, XP_013589200.1
OG0000023	AL5G21700, AL7G45880	XP_013608042.1, XP_013608012.1, XP_013594286.1, XP_013614920.1, XP_013632806.1, XP_013601010.1, XP_013598954.1, XP_013617098.1
OG0000024	AL4G16470	XP_013597425.1
OG0000024	AL3G45420, AL4G35160	XP_013632478.1
OG0000024	AL5G23680	XP_013605203.1
OG0000024	AL1G45210	XP_013624897.1
OG0000025	AL6G41860	XP_013617956.1
OG0000025	AL460U10010	XP_013613890.1, XP_013615021.1, XP_013631055.1, XP_013639470.1, XP_013624796.1, XP_013608134.1, XP_013633125.1, XP_013622540.1, XP_013607923.1, XP_013617624.1, XP_013623937.1, XP_013589161.1, XP_013589474.1, XP_013624039.1, XP_013625401.1, XP_013633137.1, XP_013617519.1, XP_013589471.1, XP_013624655.1, XP_013624950.1, XP_013617179.1, XP_013594903.1, XP_013626805.1, XP_013632787.1, XP_013617500.1, XP_013633014.1, XP_013589304.1, XP_013589043.1, XP_013607489.1, XP_013601110.1, XP_013630835.1, XP_013607866.1, XP_013633381.1, XP_013617480.1, XP_013615038.1, XP_013639661.1
OG0000027	AL6G45970	XP_013608654.1
OG0000027	AL6G46000	XP_013624060.1
OG0000027	AL7G30160	XP_013626010.1
OG0000027	AL7G30170	XP_013626677.1
OG0000027	AL7G30270	XP_013625142.1
OG0000027	AL1G66280	XP_013617506.1
OG0000027	AL7G30260	XP_013598637.1
OG0000028	AL8G29780	XP_013619743.1, XP_013619793.1, XP_013617023.1, XP_013636546.1, XP_013618838.1, XP_013617013.1, XP_013617012.1, XP_013619638.1, XP_013620896.1, XP_013615558.1
OG0000028	AL8G29950	XP_013617015.1, XP_013617014.1
OG0000029	AL3G41570	XP_013617135.1
OG0000029	AL1G65750	XP_013617760.1, XP_013624401.1, XP_013607990.1, XP_013608166.1, XP_013594294.1, XP_013608053.1, XP_013625078.1, XP_013594326.1, XP_013601174.1, XP_013589221.1
OG0000029	nbis-gene-1243	XP_013617097.1
OG0000030	AL3G33700, AL275U10020, AL3G33320, AL3G33690	XP_013608319.1, XP_013628311.1, XP_013628312.1
OG0000030	AL3G33370	XP_013615042.1
OG0000030	AL1G39630, AL1G35700, AL1G40180, AL1G40160, AL1G40170, AL3G27510	XP_013594890.1, XP_013594892.1, XP_013593712.1, XP_013589720.1, XP_013589717.1
OG0000030	AL2G23050	XP_013624262.1
OG0000030	AL3G24770	XP_013634175.1, XP_013615698.1, XP_013593493.1
OG0000030	AL3G25930, AL3G25710, AL3G25690	XP_013633602.1
OG0000031	AL6G36560	XP_013632387.1, XP_013632408.1, XP_013623671.1
OG0000031	AL1G56200	XP_013624050.1
OG0000031	AL1G41870	XP_013616776.1, XP_013614852.1, XP_013607758.1, XP_013583385.1
OG0000031	AL5G21210	XP_013639523.1, XP_013617600.1, XP_013613695.1, XP_013613933.1, XP_013634348.1, XP_013614917.1, XP_013633236.1, XP_013624976.1, XP_013624480.1, XP_013624130.1, XP_013594397.1, XP_013624165.1, XP_013624059.1, XP_013601571.1, XP_013594684.1, XP_013623894.1, XP_013616943.1, XP_013607912.1, XP_013607913.1, XP_013639448.1, XP_013632732.1, XP_013628576.1, XP_013615610.1, XP_013595052.1, XP_013623848.1, XP_013632735.1
OG0000032	AL2G14450	XP_013627760.1, XP_013633361.1, XP_013601359.1
OG0000032	AL4G17980	XP_013629542.1, XP_013607685.1
OG0000032	AL8G28430	XP_013617329.1, XP_013624292.1, XP_013624599.1, XP_013608349.1, XP_013594377.1
OG0000034	AL7G30290	XP_013595252.1, XP_013595253.1, XP_013598717.1
OG0000034	AL7G32680	XP_013594180.1
OG0000034	AL7G32670	XP_013598071.1
OG0000034	AL5G24540	XP_013624956.1
OG0000034	AL7G30310	XP_013593131.1
OG0000034	AL7G30350	XP_013626222.1
OG0000035	AL3G42660, AL4G33750, AL7G46520, AL6G43970	XP_013636991.1, XP_013607885.1, XP_013618965.1
OG0000038	AL7G52690	XP_013607891.1, XP_013617372.1
OG0000038	AL2G17230, AL4G20860	XP_013632932.1, XP_013617219.1
OG0000038	AL3G42270, AL1G47700, AL6G40850, AL2G24190, AL2G32540, AL3G37700, AL7G41350	XP_013639484.1, XP_013594584.1, XP_013617588.1, XP_013589056.1
OG0000038	AL2G20150, AL1G38790, AL3G17400	XP_013608254.1
OG0000038	AL6G16840	XP_013617268.1
OG0000038	AL9U11250, AL3G29600, AL1G64180	XP_013617395.1
OG0000040	AL2G11290, AL3G43050	XP_013601552.1, XP_013616916.1, XP_013601670.1
OG0000040	AL1G59470, AL5G30010	XP_013639460.1
OG0000040	AL677U10010	XP_013589643.1, XP_013607732.1, XP_013608326.1
OG0000041	AL4G11230	XP_013623756.1, XP_013639341.1
OG0000041	AL6G41090	XP_013624430.1
OG0000042	AL1G54660	XP_013624485.1, XP_013584641.1, XP_013629200.1, XP_013594415.1, XP_013589285.1, XP_013632940.1, XP_013639621.1, XP_013630837.1
OG0000042	AL2G36380, AL7G36770, AL6G22280, AL6G40680, AL8G39990, AL3G35100, AL4G45380, AL3G44120, AL9U11580, AL2G38670, AL103U10010, AL8G23430, AL4G17850	XP_013589127.1, XP_013624490.1
OG0000042	AL8G14180	XP_013632400.1, XP_013584806.1
OG0000042	AL1G42210	XP_013598956.1
OG0000044	AL8G12190, AL8G11920	XP_013628727.1
OG0000044	AL8G18480	XP_013624330.1
OG0000044	AL8G11900	XP_013611210.1
OG0000044	AL3G20910, AL2G19370	XP_013608422.1
OG0000046	AL6G43460, AL8G24550, AL3G45110, AL3G45080, AL6G44180, AL8G21960, AL3G43290, AL1G51180, AL4G17640, AL3G40680, AL1G60090, AL7G41120, AL6G41380, AL1G53510, AL4G20190, AL3G44690, AL6G40760	XP_013633177.1
OG0000049	AL4G33780, AL2G10930	XP_013589183.1
OG0000049	AL4G20550, AL5G11300, AL6G28120, AL3G49490	XP_013594567.1, XP_013614092.1, XP_013608021.1
OG0000049	AL7G52580	XP_013588948.1
OG0000049	AL6G39930	XP_013617009.1
OG0000049	AL1G54600, AL7G49500, AL2G19430	XP_013601341.1, XP_013632843.1
OG0000049	AL6G41720	XP_013608010.1
OG0000049	AL1G56420, AL5G15730, AL1G55420	XP_013633223.1, XP_013639258.1, XP_013588964.1, XP_013601587.1, XP_013632693.1
OG0000049	AL1G47310	XP_013628097.1, XP_013589081.1, XP_013594357.1, XP_013633424.1, XP_013617620.1
OG0000050	AL1G24220	XP_013607678.1
OG0000050	AL4G27890	XP_013617131.1
OG0000051	AL1G20340	XP_013609148.1, XP_013623987.1, XP_013601904.1
OG0000051	nbis-gene-988, AL2G11470, AL3G20080	XP_013589464.1, XP_013610001.1
OG0000051	AL2G15770	XP_013623984.1
OG0000052	AL5G15900	XP_013594927.1, XP_013594267.1
OG0000052	AL1G65610	XP_013610604.1
OG0000052	AL8G17190	XP_013607524.1
OG0000054	AL5G20230	XP_013632708.1
OG0000054	AL2G17290	XP_013615283.1, XP_013614144.1
OG0000055	nbis-gene-725, AL3G41130	XP_013623695.1, XP_013623796.1, XP_013628424.1, XP_013606594.1, XP_013593729.1
OG0000055	AL4G21820, AL6G52510	XP_013627468.1
OG0000055	AL3G53160, AL3G53140	XP_013609840.1
OG0000056	AL2G14050	XP_013631517.1
OG0000056	AL2G13900	XP_013607317.1
OG0000056	AL5G26170	XP_013615259.1, XP_013588767.1, XP_013611134.1, XP_013628196.1
OG0000058	AL5G26550, AL920U10010	XP_013595076.1, XP_013611257.1, XP_013589048.1, XP_013617878.1
OG0000058	AL3G40670	XP_013617146.1, XP_013639508.1, XP_013617228.1, XP_013589295.1
OG0000059	AL8G40920, AL7G34190, AL2G10380, AL1G59190	XP_013610732.1, XP_013627758.1, XP_013597073.1
OG0000059	AL5G34630	XP_013601178.1, XP_013585552.1, XP_013585426.1, XP_013597521.1, XP_013605214.1, XP_013604150.1, XP_013628178.1, XP_013615848.1, XP_013585461.1
OG0000061	AL1G54400	XP_013615973.1
OG0000061	AL6G23310, nbis-gene-1510	XP_013615702.1
OG0000061	AL1G53180	XP_013637545.1
OG0000061	AL4G24650	XP_013633314.1
OG0000062	AL9U10060	XP_013639544.1
OG0000062	AL8G40700, AL8G15100	XP_013614135.1, XP_013608129.1, XP_013589201.1, XP_013628127.1, XP_013616946.1
OG0000063	AL2G36550	XP_013624346.1, XP_013589240.1, XP_013617918.1, XP_013639565.1
OG0000063	AL169U10010	XP_013617128.1
OG0000063	AL7G43200	XP_013594756.1
OG0000064	nbis-gene-343, nbis-gene-349, nbis-gene-344, nbis-gene-348, nbis-gene-347, nbis-gene-1421, AL2G18870, nbis-gene-342, nbis-gene-435, nbis-gene-439, nbis-gene-434, nbis-gene-1420, nbis-gene-436, nbis-gene-440, nbis-gene-437, nbis-gene-1419, nbis-gene-438, nbis-gene-1176, nbis-gene-2026, nbis-gene-926, nbis-gene-1175, nbis-gene-2028, nbis-gene-2027, nbis-gene-2044, nbis-gene-1, nbis-gene-2024, nbis-gene-2025, nbis-gene-2023, nbis-gene-346, nbis-gene-345, nbis-gene-441	XP_013610623.1, XP_013607250.1, XP_013610669.1, XP_013607249.1, XP_013607956.1, XP_013607248.1, XP_013607251.1, XP_013610335.1, XP_013610576.1, XP_013610543.1, XP_013610675.1, XP_013610622.1
OG0000065	AL7G52590	XP_013636750.1
OG0000065	AL7G51420	XP_013635767.1
OG0000066	AL6G20900, AL5G16700, AL1G66190, AL1G19680, AL6G20890	XP_013606481.1, XP_013621521.1, XP_013609086.1, XP_013631332.1, XP_013599938.1, XP_013637372.1, XP_013618388.1
OG0000066	AL6G21580	XP_013587978.1, XP_013629194.1, XP_013612748.1, XP_013612488.1, XP_013607869.1
OG0000066	AL1G32620	XP_013627996.1
OG0000067	AL3G45170	XP_013617582.1
OG0000068	AL6G15310, AL6G14890, AL3G20260, AL3G20250, AL3G20240	XP_013610551.1, XP_013611652.1, XP_013606907.1, XP_013623793.1, XP_013626885.1
OG0000069	AL3G40410, AL8G35170, AL5G45620	XP_013617969.1, XP_013590488.1, XP_013609088.1
OG0000069	AL8G26350	XP_013594576.1
OG0000069	AL3G38360	XP_013615731.1, XP_013634820.1
OG0000070	AL1G20940, AL3G47920, AL5G12840, AL5G12830	XP_013620477.1, XP_013596659.1, XP_013610618.1
OG0000070	AL4G11370, AL1G32980, AL2G24470	XP_013628560.1
OG0000070	AL2G35960	XP_013591920.1, XP_013588434.1, XP_013616229.1
OG0000072	AL3G47230	XP_013596572.1, XP_013614874.1
OG0000072	AL8G11190	XP_013624988.1
OG0000073	nbis-gene-12	XP_013624740.1
OG0000073	AL4G12860	XP_013633239.1
OG0000073	AL5G31050	XP_013624080.1, XP_013623944.1
OG0000073	AL1G60290, AL5G25100	XP_013617425.1
OG0000074	AL8G11830	XP_013631241.1, XP_013624893.1, XP_013633311.1, XP_013639745.1, XP_013601329.1
OG0000075	AL8G23920	XP_013596173.1, XP_013602527.1, XP_013622394.1, XP_013618964.1, XP_013619645.1
OG0000075	nbis-gene-1691	XP_013596175.1
OG0000076	AL7G10840	XP_013598018.1
OG0000076	AL3G53220	XP_013625990.1, XP_013601953.1, XP_013619488.1, XP_013587128.1, XP_013587126.1, XP_013627762.1, XP_013627931.1, XP_013625555.1, XP_013623638.1, XP_013626117.1
OG0000077	AL8G13900, AL8G13920	XP_013623925.1, XP_013617650.1
OG0000077	AL5G12960	XP_013619910.1
OG0000077	AL5G12970, AL5G12940	XP_013594901.1
OG0000077	AL2G15700, nbis-gene-2073, AL8G20320	XP_013586946.1
OG0000078	AL3G13680	XP_013595132.1
OG0000078	AL6G29220, AL6G29120	XP_013621464.1, XP_013616580.1
OG0000078	AL6G29270, AL6G29210, AL6G29240, AL6G29180, AL6G29190	XP_013621006.1, XP_013626763.1, XP_013621468.1, XP_013621008.1, XP_013616647.1, XP_013627003.1
OG0000079	AL3G51940, AL1G57050, AL5G16890, AL1G58560, AL1G58670, AL4G20020, AL1G30000, AL5G27080, AL8G14210	XP_013624970.1, XP_013594646.1, XP_013614132.1, XP_013616960.1, XP_013617303.1, XP_013624135.1, XP_013633128.1, XP_013589234.1, XP_013617072.1, XP_013628163.1, XP_013607582.1, XP_013633006.1, XP_013624630.1, XP_013639297.1, XP_013634828.1, XP_013583409.1, XP_013639827.1, XP_013588116.1, XP_013594953.1, XP_013624305.1, XP_013614606.1, XP_013617685.1, XP_013617550.1, XP_013617194.1, XP_013639436.1, XP_013623727.1, XP_013594276.1, XP_013589590.1, XP_013583246.1, XP_013617780.1, XP_013633220.1, XP_013607786.1, XP_013608501.1, XP_013624109.1, XP_013594551.1, XP_013639155.1, XP_013624409.1, XP_013583323.1, XP_013594743.1, XP_013601442.1, XP_013631864.1, XP_013589277.1, XP_013639764.1, XP_013583349.1, XP_013589235.1, XP_013624731.1, XP_013591028.1, XP_013584961.1, XP_013624775.1, XP_013594486.1
OG0000080	nbis-gene-244	XP_013588982.1, XP_013617440.1, XP_013589052.1, XP_013632928.1
OG0000081	AL2G21910	XP_013628529.1
OG0000081	AL1G31420, AL8G29100, AL8G26420, AL6G33330	XP_013607575.1
OG0000083	AL6G37350, AL6G45940, AL1G47930, AL4G15250, AL4G15260	XP_013639771.1
OG0000084	AL3G40390	XP_013607493.1
OG0000084	AL4G40730	XP_013614439.1
OG0000084	AL60U10030	XP_013624725.1, XP_013594835.1
OG0000086	AL7G46850, AL7G46860	XP_013634315.1
OG0000086	nbis-gene-1913, AL7G53060	XP_013633763.1
OG0000086	AL2G24590, AL2G24600	XP_013588679.1
OG0000089	AL6G35120	XP_013598457.1
OG0000089	AL8G39670	XP_013629292.1, XP_013629087.1, XP_013629400.1
OG0000089	AL4G24260	XP_013637001.1, XP_013636732.1
OG0000089	AL6G23060	XP_013611442.1
OG0000089	AL8G15560	XP_013620476.1, XP_013612217.1, XP_013598244.1
OG0000089	AL2G35770	XP_013592047.1
OG0000091	AL5G23250	XP_013603553.1
OG0000091	AL5G26340, AL5G26330	XP_013612192.1
OG0000091	AL6G32010	XP_013627653.1, XP_013607358.1
OG0000091	AL8G24400	XP_013631070.1
OG0000091	AL5G26370	XP_013629254.1
OG0000092	AL3G40330	XP_013607846.1
OG0000095	AL4G18560	XP_013631674.1
OG0000095	AL4G18550	XP_013633256.1, XP_013635632.1, XP_013632293.1, XP_013633255.1
OG0000095	AL4G15530, nbis-gene-975, nbis-gene-1002, AL4G15600	XP_013635569.1, XP_013637583.1
OG0000096	AL3G41350, AL3G41330, AL3G41320, AL3G41340	XP_013627644.1
OG0000096	AL3G31590	XP_013627729.1
OG0000097	AL4G16170	XP_013617536.1, XP_013624772.1, XP_013607854.1, XP_013617063.1, XP_013594282.1, XP_013624545.1, XP_013633159.1, XP_013624287.1, XP_013623812.1, XP_013600961.1, XP_013607963.1, XP_013617668.1, XP_013589437.1, XP_013594358.1, XP_013633439.1, XP_013594631.1
OG0000097	AL5G25560	XP_013607815.1, XP_013624040.1, XP_013624466.1, XP_013631439.1, XP_013617557.1, XP_013624596.1, XP_013639752.1, XP_013607814.1, XP_013616934.1, XP_013594384.1
OG0000098	AL2G26330	XP_013614188.1, XP_013615334.1
OG0000098	AL1G41020, AL1G41000, AL1G41010, AL1G40990, AL4G14170	XP_013617934.1
OG0000099	AL4G17790, AL4G17810	XP_013624605.1, XP_013589188.1, XP_013624640.1, XP_013639733.1, XP_013624550.1, XP_013633136.1, XP_013589159.1, XP_013624957.1, XP_013617602.1, XP_013628120.1, XP_013601189.1, XP_013628043.1, XP_013601156.1, XP_013607931.1, XP_013624572.1, XP_013624756.1, XP_013594505.1, XP_013632767.1, XP_013624664.1, XP_013639419.1, XP_013607932.1, XP_013639664.1, XP_013632697.1, XP_013614834.1, XP_013632774.1, XP_013594489.1, XP_013629178.1, XP_013624573.1, XP_013614287.1, XP_013617664.1, XP_013589108.1, XP_013608029.1, XP_013617493.1, XP_013632832.1, XP_013613470.1, XP_013639678.1, XP_013624588.1, XP_013624533.1, XP_013594608.1, XP_013617562.1, XP_013624582.1, XP_013608365.1, XP_013589197.1, XP_013589154.1, XP_013608238.1, XP_013601413.1, XP_013617498.1, XP_013594847.1, XP_013608031.1, XP_013613938.1
OG0000100	AL2G16740	XP_013606369.1
OG0000100	AL2G11390, AL2G11380	XP_013611228.1, XP_013611226.1, XP_013608605.1
OG0000100	AL2G11260	XP_013607667.1
OG0000101	AL26U10050, AL3G41030	XP_013589271.1, XP_013624507.1, XP_013617829.1, XP_013624934.1, XP_013610927.1, XP_013583311.1, XP_013632868.1, XP_013617801.1, XP_013610406.1, XP_013624005.1, XP_013619420.1, XP_013583402.1, XP_013589621.1, XP_013623791.1, XP_013589094.1, XP_013628656.1, XP_013617674.1, XP_013624184.1, XP_013613615.1, XP_013594545.1, XP_013624641.1, XP_013619135.1, XP_013589292.1, XP_013604948.1, XP_013632998.1, XP_013639602.1, XP_013617812.1, XP_013589208.1, XP_013633393.1, XP_013624245.1, XP_013608320.1, XP_013607798.1, XP_013624505.1
OG0000101	AL6G10700	XP_013632493.1
OG0000102	AL6G49120	XP_013631333.1
OG0000102	AL6G49050	XP_013623936.1, XP_013623935.1, XP_013599827.1, XP_013584794.1
OG0000103	AL8G17400, AL1G30370, AL8G10040, AL265U10010	XP_013624832.1, XP_013595026.1, XP_013608190.1, XP_013589407.1, XP_013632911.1, XP_013601398.1
OG0000105	nbis-gene-1539	XP_013610280.1
OG0000106	AL5G27290, AL1G43970, nbis-gene-561	XP_013607816.1
OG0000106	AL2G13830	XP_013632067.1, XP_013583432.1, XP_013601660.1, XP_013627752.1, XP_013623769.1, XP_013639850.1, XP_013601846.1, XP_013589425.1, XP_013608108.1, XP_013617814.1, XP_013601674.1, XP_013601356.1, XP_013639677.1, XP_013614231.1, XP_013633210.1, XP_013614876.1
