Orthogroup	Arabidopsis_lyrata_Rawat	Arabidopsis_arenosa
OG0000022	AL2G12830	jg613
OG0000022	AL2G12470	jg645, jg586, jg583
OG0000022	AL2G13120	jg642
OG0000022	AL2G13280	jg663
OG0000022	AL2G11830	jg538
OG0000022	AL2G13150	jg612
OG0000022	AL2G13130	jg610
OG0000022	AL2G12460	jg582
OG0000022	AL2G12500	jg588
OG0000022	AL2G12780	jg611
OG0000022	AL2G13070	jg638
OG0000022	AL3G36780	jg26478
OG0000022	AL1G24190	jg29724
OG0000022	AL1G23970	jg29708, jg29704
OG0000022	AL1G24080	jg29712
OG0000022	AL1G23630, AL1G24180	jg29722, jg29734
OG0000022	AL1G23620	jg29678, jg29676
OG0000022	AL2G10190	jg372
OG0000022	AL7G48260	jg12744
OG0000022	AL3G29640	jg25741
OG0000023	AL2G19210	jg1550, jg27237, jg27744
OG0000023	AL8G29520	jg32109
OG0000023	AL5G18610	jg32331
OG0000023	AL1G66070	jg12319
OG0000023	AL2G22450	jg12454
OG0000024	AL4G16470	jg17071
OG0000024	AL1G45470	jg31700
OG0000024	AL1G45480	jg31701
OG0000024	AL1G45490	jg31702, jg31695
OG0000024	AL1G45350	jg31682
OG0000024	AL1G45520	jg31706
OG0000024	AL1G45280	jg31678
OG0000024	AL1G45290, AL1G45300	jg31679
OG0000024	AL1G45270	jg31677
OG0000024	AL1G45340	jg31696, jg31707, jg31681
OG0000024	AL1G45540	jg31709
OG0000024	AL1G45590, nbis-gene-188	jg31713
OG0000024	AL1G45550	jg31710
OG0000024	AL1G45570, AL1G45600	jg31714
OG0000024	nbis-gene-553	jg2233
OG0000024	AL4G14930	jg16933
OG0000024	nbis-gene-966	jg16932
OG0000024	AL1G45610	jg31715
OG0000024	AL1G45510	jg31705
OG0000024	AL1G47320	jg31953, jg31952
OG0000024	AL1G46270	jg31856
OG0000024	AL1G46260	jg31855
OG0000024	AL1G45530	jg31708
OG0000024	AL1G46280	jg31857
OG0000024	AL3G45420	jg27402
OG0000024	AL4G35160	jg18984
OG0000024	AL5G38280	jg15696
OG0000024	AL5G39160	jg15770
OG0000024	AL5G39170	jg15771
OG0000024	AL5G23680	jg14278
OG0000025	AL5G11540	jg7349, jg6966, jg1482, jg14688, jg1903, jg6980
OG0000025	AL9U11280, AL5G16730, AL2G12870	jg21506, jg20543, jg32153, jg27936, jg1637, jg14016, jg1257
OG0000025	AL460U10010	jg27352
OG0000027	nbis-gene-1639	jg7518, jg7519
OG0000027	AL6G45930	jg7517
OG0000027	AL6G45970	jg7521
OG0000027	AL6G46000	jg7523
OG0000027	AL6G45910	jg7515
OG0000027	AL7G30160	jg10181
OG0000027	AL7G30270	jg10191
OG0000027	AL1G66280	jg7537, jg7533, jg7530
OG0000027	AL7G30280	jg10192
OG0000027	AL7G30260	jg10190
OG0000028	AL594U10010	jg22446
OG0000028	AL8G29750	jg22236
OG0000028	AL8G29760	jg22237
OG0000028	AL236U10020	jg22427, jg22428
OG0000028	AL8G29780	jg22250, jg22247
OG0000028	AL5G44140	jg23430
OG0000028	nbis-gene-2112	jg22006
OG0000028	nbis-gene-2113	jg22007
OG0000028	AL8G29920	jg22259
OG0000028	AL8G29950	jg22270, jg22279, jg22262
OG0000029	nbis-gene-1243	jg1778
OG0000030	AL3G33700	jg26153
OG0000030	AL275U10020, AL3G33320, AL3G33690	jg26152
OG0000030	AL1G35700	jg30787
OG0000030	AL1G40180	jg31203
OG0000030	AL1G40160, AL1G40170	jg31202
OG0000030	AL3G27510	jg25536
OG0000030	AL7G39300	jg11086
OG0000030	AL5G29320	jg14799
OG0000030	AL5G29310	jg17824
OG0000030	AL5G29340	jg14802
OG0000030	AL2G23050	jg2112
OG0000030	AL1G21870	jg29499
OG0000030	AL3G24770	jg25272
OG0000030	AL3G25710	jg738
OG0000030	AL3G25690	jg25360
OG0000031	AL6G36560	jg21124
OG0000034	AL7G30290	jg10193
OG0000034	AL7G30330	jg10206
OG0000034	AL7G32680	jg10426
OG0000034	AL7G32670	jg10425
OG0000034	AL7G30340	jg10207
OG0000034	AL7G30310	jg10202, jg10195
OG0000034	AL7G30350	jg10208
OG0000035	AL8G13010, AL8G34850, AL7G40470, AL7G45660, AL2G19470	jg7027
OG0000035	AL1G64690	jg1581
OG0000035	AL7G52740	jg11910
OG0000035	nbis-gene-1381	jg27526
OG0000035	AL2G19330, AL4G18050, AL1G57000	jg13724
OG0000035	AL6G38880	jg27973
OG0000035	AL6G49460	jg27423, jg13741, jg10108, jg1332, jg28701, jg17048, jg13502
OG0000035	AL782U10010	jg1081, jg11470, jg12280
OG0000038	AL2G17230, AL4G20860	jg27503
OG0000038	AL3G40380, AL3G29370	jg21532
OG0000038	AL3G42270, AL1G47700, AL6G40850, AL2G24190, AL2G32540, AL3G37700, AL7G41350	jg17779
OG0000041	AL6G37950	jg28661
OG0000042	AL1G54660	jg11609, jg33373, jg12236, jg6978
OG0000042	AL2G36380, AL7G36770, AL6G22280, AL6G40680	jg26487, jg900
OG0000042	AL8G23430	jg2222
OG0000042	AL1G42210	jg33374, jg32294
OG0000043	AL1G50370	jg33537, jg17159
OG0000044	AL8G11940	jg20418
OG0000044	AL6G42230	jg7084, jg7157
OG0000044	AL8G11930	jg20417
OG0000044	AL5G18720	jg13687, jg20423
OG0000044	AL8G11950	jg20419
OG0000044	AL8G12190	jg20443
OG0000044	AL8G11920	jg20416
OG0000044	AL8G11840	jg20412
OG0000044	AL8G11900	jg20415
OG0000044	AL2G19370	jg1752
OG0000044	AL8G18470	jg21037
OG0000044	AL7G37760	jg10924
OG0000046	AL5G16920	jg13501
OG0000046	AL7G43910, AL3G42580	jg20886
OG0000046	AL8G24550, AL3G45110, AL3G45080	jg29315
OG0000046	AL6G44180	jg17523
OG0000046	AL1G51180, AL4G17640	jg14196
OG0000046	AL4G20190, AL3G44690, AL6G40760	jg1035
OG0000048	AL8G43560	jg23606
OG0000048	AL4G27770	jg18309
OG0000048	AL4G27390	jg18271
OG0000048	AL1G62520	jg33607
OG0000048	AL2G14000, AL2G14020	jg740
OG0000050	AL1G24220	jg11604
OG0000051	AL1G20340	jg29349
OG0000051	AL4G40940	jg19555
OG0000051	AL2G11470	jg497
OG0000051	AL3G20080	jg24823
OG0000051	AL4G40960	jg19558
OG0000051	AL4G40920	jg19551
OG0000051	AL4G40910	jg19550
OG0000051	AL2G15770	jg907
OG0000051	AL4G40930	jg19554
OG0000051	AL4G41000	jg19561
OG0000051	AL4G41010	jg19562
OG0000051	AL4G41020	jg19564
OG0000052	AL5G15900	jg13388
OG0000052	AL5G15910	jg13389
OG0000052	AL1G65610	jg1458, jg1459
OG0000052	AL8G17190	jg20912
OG0000052	AL5G31970	jg15039
OG0000052	AL5G28950	jg14762
OG0000052	AL5G28550	jg14731, jg14730
OG0000052	AL5G28540	jg14729
OG0000055	nbis-gene-725	jg25886
OG0000055	AL3G41130	jg26868
OG0000055	nbis-gene-248	jg32786
OG0000055	AL3G40140	jg26785
OG0000055	AL3G33990, AL3G34120	jg26196, jg26181
OG0000055	AL769U10010	jg12073
OG0000055	AL3G29740	jg25753
OG0000055	AL3G29670	jg25759, jg25744
OG0000055	AL4G21820	jg17788
OG0000055	AL6G52510	jg8147
OG0000055	AL3G53160	jg28057
OG0000055	AL3G53140	jg28058
OG0000055	AL3G50860	jg27919
OG0000055	AL3G30370	jg25830
OG0000056	AL2G13390	jg674
OG0000056	AL2G13990	jg739
OG0000056	AL2G14100	jg748
OG0000056	AL2G13770	jg721
OG0000056	AL2G13820	jg726
OG0000056	AL2G14050	jg743
OG0000056	AL2G14090	jg747
OG0000056	AL2G14060	jg744
OG0000056	AL2G14070	jg745
OG0000056	AL2G14080	jg746
OG0000056	AL5G26170	jg14491
OG0000058	AL5G26550, AL920U10010	jg16618
OG0000058	AL6G37450	jg299, jg32415, jg1839
OG0000058	AL6G45120	jg11724, jg1567
OG0000058	AL4G17610	jg17278, jg1046
OG0000058	AL3G30200	jg17522
OG0000058	AL1G60100	jg31083, jg21000
OG0000059	AL8G40920	jg1077
OG0000059	AL7G34190	jg4817, jg25268, jg5943, jg32839, jg11480, jg33384
OG0000059	AL2G10380, AL1G59190	jg28178
OG0000059	AL5G34630	jg27640, jg13837
OG0000060	AL1G18100	jg22905, jg29120
OG0000060	AL4G23280	jg14371
OG0000060	AL5G25220	jg22936
OG0000060	AL5G34700	jg15309
OG0000061	AL1G55000	jg32915
OG0000061	AL1G55020	jg32919
OG0000061	AL1G54370	jg32548, jg32845, jg32861
OG0000061	AL1G25040, AL1G25030	jg32993
OG0000061	AL1G54400	jg32859, jg32550, jg32843, jg32866, jg32855
OG0000061	AL6G23340	jg5088
OG0000061	AL6G23310, nbis-gene-1510	jg32841, jg32864, jg32857, jg32551
OG0000061	AL7G46170	jg12190
OG0000061	AL3G24690	jg25262
OG0000061	AL4G24650	jg18012
OG0000062	AL7G40460, AL2G19460, AL8G34860, AL8G13000	jg7029
OG0000063	AL7G44340	jg32522
OG0000064	nbis-gene-343, nbis-gene-349, nbis-gene-344, nbis-gene-348, nbis-gene-347, nbis-gene-1421, AL2G18870, nbis-gene-342, nbis-gene-435, nbis-gene-439, nbis-gene-434, nbis-gene-1420, nbis-gene-436, nbis-gene-440, nbis-gene-437, nbis-gene-1419, nbis-gene-438	jg1275, jg1269, jg1272, jg1271, jg1270, jg1273, jg1277, jg1280, jg1279, jg1274, jg1278, jg1276
OG0000064	nbis-gene-1176, nbis-gene-2026, nbis-gene-926, nbis-gene-1175, nbis-gene-2028, nbis-gene-2027	jg20985
OG0000064	nbis-gene-2044	jg20983
OG0000064	nbis-gene-1, nbis-gene-2024, nbis-gene-2025, nbis-gene-2023	jg20980, jg20974, jg20975, jg20973
OG0000065	AL2G25320	jg2209, jg2212
OG0000065	AL2G25210	jg2195
OG0000065	AL2G25180	jg2188
OG0000065	AL2G25200	jg2193
OG0000065	AL7G52590	jg12337
OG0000065	AL7G51420	jg12463
OG0000066	AL6G20900	jg1404, jg13471, jg4871
OG0000066	AL6G20890	jg4870, jg29279
OG0000066	AL2G35590, AL6G41640	jg3219, jg3220
OG0000066	AL2G35580	jg27126
OG0000066	AL7G12340, AL6G21580, AL7G12350	jg4927
OG0000066	AL1G32620	jg30515
OG0000067	AL3G45170	jg14038
OG0000067	AL1G31430	jg5264
OG0000068	AL6G15310, AL6G14890	jg4261, jg4260
OG0000068	AL3G20260	jg24839
OG0000068	AL3G20250, AL3G20240	jg24838
OG0000068	AL1G48230	jg32039
OG0000068	AL3G11550	jg24037, jg24035
OG0000068	AL8G28020	jg22052
OG0000068	AL8G27750	jg22033, jg22034
OG0000068	AL6G12890	jg4088
OG0000068	AL6G12860	jg4089
OG0000068	AL5G24850	jg14390, jg14389
OG0000068	AL6G12550	jg14204, jg4055
OG0000068	AL6G18740	jg4679
OG0000069	AL5G45620	jg16351
OG0000069	AL3G48630	jg28153, jg28151
OG0000069	AL1G45330	jg15319
OG0000069	AL1G16270	jg28979
OG0000069	AL1G11090	jg28492
OG0000069	AL5G21850	jg14067
OG0000069	AL5G36780	jg15499
OG0000069	AL4G13470	jg16809
OG0000070	AL1G20940	jg29403
OG0000070	AL3G47920	jg28225, jg28226
OG0000070	AL5G12840	jg13116
OG0000070	AL5G12830	jg13115
OG0000070	AL4G11370	jg16631, jg30544
OG0000070	AL2G24470	jg4483
OG0000070	AL2G35960	jg3251
OG0000070	AL8G19640	jg21183
OG0000070	AL5G42190	jg16054
OG0000070	AL7G16760	jg8905
OG0000072	AL8G19360	jg12160
OG0000072	AL8G19010	jg21424, jg13720, jg16912
OG0000072	AL6G44140	jg6475, jg20956
OG0000072	AL3G47230	jg7332, jg11849
OG0000072	AL8G11190	jg25787
OG0000073	AL5G31050	jg32034, jg11572, jg10937, jg20466, jg13828
OG0000073	AL1G60290	jg30444
OG0000073	AL5G25100	jg1433, jg11779, jg26607
OG0000075	AL7G11590	jg8424, jg8422
OG0000075	AL8G23920	jg21647
OG0000075	AL1G52760	jg32685
OG0000075	AL1G52750	jg32682
OG0000075	AL1G52780	jg32692
OG0000075	nbis-gene-1691	jg8428
OG0000075	AL7G11600	jg8425
OG0000075	AL6G47540	jg7662
OG0000075	AL6G47530	jg7663
OG0000075	AL7G11690	jg8426
OG0000075	AL34U10100, AL8G22340	jg21500
OG0000075	AL34U10110	jg21503
OG0000075	AL2G16730	jg1000
OG0000075	AL2G16030	jg934
OG0000076	AL7G10840	jg8362
OG0000076	AL4G29500	jg18482
OG0000077	AL2G25710	jg2240
OG0000077	AL1G67300	jg1310
OG0000077	AL2G18750	jg1261
OG0000077	AL5G12970, AL5G12940	jg13128
OG0000077	AL1G20220	jg29337
OG0000077	AL2G15700	jg902
OG0000078	AL3G13710	jg24236
OG0000078	AL3G13720	jg24237
OG0000078	AL6G29220	jg5644
OG0000078	AL6G29120	jg5634
OG0000078	AL6G29210, AL6G29240	jg5643
OG0000078	AL6G29180	jg5648
OG0000078	AL6G29190	jg5639
OG0000079	AL3G51940, AL1G57050, AL5G16890, AL1G58560, AL1G58670, AL4G20020, AL1G30000, AL5G27080, AL8G14210	jg7377
OG0000080	nbis-gene-244	jg6819
OG0000081	AL2G21910	jg17678
OG0000081	AL1G31420, AL8G29100	jg5265
OG0000081	AL8G26420	jg31440
OG0000081	AL6G33330	jg25892, jg12998
OG0000086	AL8G39760	jg23234
OG0000086	nbis-gene-1912	jg12259
OG0000086	AL7G46870	jg12273, jg12262
OG0000086	AL7G46850, AL7G46860	jg12260
OG0000086	nbis-gene-1913, AL7G53060	jg12270
OG0000086	AL7G49470, AL7G47450	jg12265, jg12276
OG0000086	AL7G53110	jg12266, jg12277
OG0000086	AL2G24580	jg2126, jg2127
OG0000086	AL2G24590	jg2128
OG0000086	AL2G24600	jg2129
OG0000089	AL6G35120	jg6235
OG0000089	AL8G39670	jg23223
OG0000089	AL4G24260	jg17972
OG0000089	AL6G23060	jg5068
OG0000089	AL8G15560	jg20749
OG0000089	AL7G33260	jg10485
OG0000089	AL4G30750	jg18593
OG0000089	AL1G32740	jg30528
OG0000089	AL2G35770	jg3235
OG0000090	AL1G50070	jg17424
OG0000091	AL5G26360, AL5G26350	jg14507
OG0000091	AL5G26810	jg14558
OG0000091	AL5G26870	jg14563
OG0000091	AL5G23250	jg14230, jg14231
OG0000091	AL6G32010	jg5910
OG0000091	AL8G24400	jg21695
OG0000091	AL5G26840, AL5G26860	jg14562
OG0000091	AL3G46650	jg27525
OG0000092	AL3G40330	jg1461, jg26673
OG0000092	AL8G24810	jg26653
OG0000095	AL4G18500	jg17272
OG0000095	AL4G15500	jg16984
OG0000095	AL4G18560	jg17289
OG0000095	AL4G18550	jg16989, jg17288
OG0000095	AL4G15620	jg17270, jg17392, jg16998, jg17271
OG0000095	AL4G15530	jg16988
OG0000095	nbis-gene-975	jg17390
OG0000095	AL4G15600	jg16997
OG0000095	AL4G14530, AL4G18570, AL4G15550	jg16996
OG0000095	AL4G18510	jg16995, jg17274
OG0000095	AL4G15660	jg17286, jg17001, jg16991
OG0000095	AL4G14510	jg16897
OG0000095	AL4G14520	jg16899
OG0000096	nbis-gene-1025	jg17690
OG0000096	AL4G22680	jg17691
OG0000096	AL4G22640	jg17695
OG0000096	AL3G41350	jg26888
OG0000096	AL3G41340	jg26886
OG0000096	AL3G31600	jg25959, jg6741
OG0000096	AL3G31620	jg26029, jg25961, jg6747
OG0000096	AL3G31610	jg25960, jg6746
OG0000096	AL439U10010	jg25966, jg12059, jg25964, jg25967
OG0000096	AL3G32310	jg26027, jg26030
OG0000096	AL3G32820	jg26079
OG0000096	AL3G50560	jg27891
OG0000096	AL3G31580	jg25957
OG0000096	AL3G22030	jg27435
OG0000096	AL3G31590	jg6740, jg25958
OG0000097	AL4G16170	jg11932, jg7619, jg7052, jg7054, jg27619, jg27677, jg21182, jg1858, jg13878, jg7238, jg7202
OG0000097	AL5G25560	jg11589, jg21181, jg2302
OG0000097	AL3G45200, AL1G53250, AL1G56270	jg17571
OG0000098	AL3G44020	jg27221
OG0000098	AL3G44030	jg27229
OG0000098	AL3G43980	jg27223
OG0000098	AL3G44060	jg27264
OG0000098	nbis-gene-805	jg27107
OG0000098	AL2G26330	jg2306
OG0000098	nbis-gene-844	jg27471
OG0000098	AL1G41020, AL1G41000, AL1G41010	jg17595
OG0000098	AL1G40990	jg31284
OG0000098	AL4G14170	jg16872
OG0000098	AL6G44880	jg7433
OG0000098	AL6G37020	jg6403
OG0000098	AL4G14150	jg16875
OG0000098	AL6G37130	jg6402, jg6418
OG0000100	AL2G11210	jg472
OG0000100	AL1G66260	jg1396
OG0000100	AL1G66350	jg1380, jg1381
OG0000100	AL2G16740	jg1001
OG0000100	AL2G11380	jg492
OG0000100	AL2G14410	jg777
OG0000100	AL3G49580	jg27782
OG0000100	AL2G11260, AL2G11200	jg471
OG0000101	AL26U10050, AL3G41030, AL6G10700, AL1G60890	jg27510
OG0000102	AL6G49150	jg7820
OG0000102	AL6G45160, AL6G49080, AL320U10010	jg7814
OG0000102	AL6G49090	jg7815
OG0000102	AL320U10020	jg7812, jg7813
OG0000102	AL6G49120	jg7817
OG0000102	AL9U10540	jg11552
OG0000102	AL6G49140	jg7819
OG0000102	AL6G49050	jg7810
OG0000105	nbis-gene-1539	jg12094
OG0000106	AL5G27290, AL1G43970, nbis-gene-561	jg15329
OG0000106	AL2G13830	jg727
OG0000106	AL6G40690	jg17558, jg25723
OG0000106	AL4G15570	jg28233
OG0000107	AL3G33810	jg26161
OG0000107	AL3G33780	jg26159
OG0000107	AL3G33770	jg26158
OG0000107	AL3G33760	jg26157
OG0000107	AL3G33830, AL3G42780	jg26163
OG0000108	AL5G34730	jg15311
OG0000108	AL5G25390, AL8G35810	jg14433, jg22870
OG0000108	AL6G20220	jg4799
OG0000108	AL4G40470	jg19509
OG0000108	AL4G40460	jg19508
OG0000109	AL2G19590, AL6G46480	jg17478
OG0000109	AL7G48370, AL4G13100, AL5G17500, AL8G26200, AL3G45860, AL1G49480, AL3G47220, AL5G17870, AL8G24560	jg16476, jg16484, jg29790, jg9963, jg2091, jg11738, jg13945
OG0000110	AL7G11640, AL1G50710, AL4G20710, AL6G41920, AL8G21920, AL9U11500, AL2G19920, AL2G22250, AL5G12710	jg13799, jg25794
OG0000111	AL6G41700, AL6G41690	jg7195, jg7197, jg7196
OG0000111	AL496U10010, AL6G51840, AL496U10020, AL6G51870	jg7198
OG0000111	AL5G34240	jg26895
OG0000111	AL3G50380	jg27877
OG0000111	AL5G18800	jg13696, jg13695, jg13697
OG0000111	AL2G34810	jg3144
OG0000114	AL2G19090	jg10774, jg6734, jg12947
OG0000114	AL2G20370, AL1G46930, AL8G13990, AL5G18470, AL5G18060, AL3G42080, AL4G18650	jg16945, jg14091
OG0000114	AL3G44910, nbis-gene-1272, nbis-gene-1271	jg21201, jg6956, jg16952, jg32081, jg32308
OG0000114	AL1G50940	jg21203
OG0000114	AL6G40550	jg6733
OG0000115	AL7G53080	jg32874, jg29546
OG0000116	nbis-gene-997	jg21091, jg22360
OG0000116	AL1G35450, nbis-gene-1953	jg6813, jg6561
OG0000116	AL614U10020	jg16608, jg16609
OG0000116	nbis-gene-1246	jg17285, jg32306, jg32304, jg2010
OG0000116	AL6G43140	jg27190
OG0000117	AL1G37420	jg30936
OG0000117	AL1G37270	jg30922
OG0000117	AL1G37280	jg30923, jg30924
OG0000117	AL1G37400	jg30934
OG0000117	AL1G37430	jg30937
OG0000117	AL1G37350	jg30930
OG0000117	AL1G37410	jg30935
OG0000117	AL1G37440	jg30938
OG0000117	AL1G37340	jg30929
OG0000118	AL4G35640	jg19019
OG0000118	AL4G35680	jg19023
OG0000118	AL4G35660	jg19021
OG0000118	AL4G35650	jg19020
OG0000118	AL7G47920	jg12773
OG0000118	AL2G23540	jg2031
OG0000118	AL2G23600	jg2038
OG0000118	AL6G44790	jg7426
OG0000118	AL3G37210	jg26523
OG0000118	AL685U10010, nbis-gene-652	jg24305
OG0000118	AL3G38540	jg26627
OG0000118	AL3G38550	jg26631
OG0000119	AL5G24110	jg14319
OG0000119	AL4G18370	jg17260
OG0000119	AL4G18360	jg17259
OG0000119	AL4G18340	jg17257
OG0000119	AL5G21720, AL5G21730	jg14055
OG0000119	AL5G24120	jg14324
OG0000119	AL6G15230	jg4290
OG0000119	AL5G24030	jg14313
OG0000119	AL5G24100	jg14316
OG0000119	AL5G24170	jg14327
OG0000119	nbis-gene-1302	jg14314
OG0000120	AL3G44880	jg32086, jg21202, jg10180
OG0000120	AL4G19050	jg12955, jg6735, jg10767
OG0000122	nbis-gene-2149	jg22488
OG0000122	AL8G32110	jg22486
OG0000122	AL8G31960	jg22485
OG0000123	AL8G25360	jg21770
OG0000123	AL4G19230	jg20712
OG0000123	nbis-gene-64	jg29450
OG0000123	nbis-gene-1017	jg17599
OG0000123	AL8G37620	jg27950, jg23041
OG0000125	AL4G23510	jg17884, jg17877
OG0000125	AL1G17740	jg29111
OG0000125	AL1G55940	jg33004
OG0000125	AL1G59850	jg33347
OG0000126	AL4G20870	jg17588
OG0000127	AL1G18070	jg29136
OG0000127	AL6G34020	jg6123
OG0000127	AL6G11840	jg3993
OG0000127	AL3G20660	jg24874
OG0000127	AL189U10030, AL8G36480	jg22931
OG0000127	AL5G24690	jg14378
OG0000127	AL5G24750	jg14383
OG0000127	AL4G23250	jg17851
OG0000128	AL8G16450	jg20835
OG0000128	AL5G41120	jg15964
OG0000128	AL5G41130	jg15965
OG0000128	AL5G16810, AL164U10020	jg13485
OG0000128	AL5G41080	jg15959
OG0000128	AL5G41090	jg15960
OG0000128	AL2G18450	jg1161
OG0000128	AL7G42310	jg11381
OG0000129	AL2G19870	jg1820
OG0000129	AL2G19970	jg1822, jg1705, jg1715
OG0000129	AL2G20180	jg1847
OG0000129	AL1G60690	jg33436, jg33435
OG0000129	AL8G38710	jg23141
OG0000129	AL8G38700	jg23140
OG0000129	AL4G22760	jg17685, jg17683
OG0000129	AL4G22720	jg17687
OG0000129	AL8G25830	jg21823
OG0000129	AL2G19840	jg1819
OG0000130	nbis-gene-2162	jg33171
OG0000130	AL3G43990	jg32651
OG0000130	nbis-gene-2009	jg12111
OG0000130	AL2G19800	jg27977
OG0000132	AL5G36020	jg15428
OG0000132	AL6G44360, AL6G44330	jg7387
OG0000132	AL8G40480	jg23313
OG0000132	AL315U10010, AL7G51940	jg12398
OG0000132	AL7G52020	jg12389
OG0000132	AL7G52000	jg12393
OG0000134	AL1G67280	jg1329, jg1326, jg1330, jg1324, jg1320, jg1317, jg1319
OG0000134	AL2G23230	jg2013
OG0000134	AL7G52360, AL7G52440, AL7G52310, AL7G52380, AL7G52410	jg12354
OG0000134	AL7G52290, AL686U10020	jg12353
OG0000134	AL5G22740	jg14178
OG0000134	AL4G22770	jg1323
OG0000134	AL1G52710	jg7114
OG0000134	AL4G22780	jg17682
OG0000134	AL8G15310	jg20706
OG0000134	AL8G17980, AL20U10060, AL20U10050	jg20995
OG0000134	AL20U10040	jg20998
OG0000134	AL20U10020	jg20997, jg20999
OG0000134	AL6G21880	jg4953
OG0000137	AL8G30910	jg22358
OG0000137	AL8G30880	jg22362
OG0000137	AL1G49040	jg32125, jg32130
OG0000137	AL8G30920	jg22366, jg22365
OG0000137	AL8G30900	jg22364
OG0000137	AL8G30890	jg22363
OG0000138	AL5G45240	jg16315
OG0000138	AL5G40800	jg15930
OG0000138	AL5G40760	jg15926
OG0000138	AL5G40870	jg15939
OG0000138	AL5G40860	jg15937
OG0000138	AL5G40850	jg15932
OG0000138	AL5G44820	jg16316
OG0000138	AL5G35200	jg15356
OG0000140	AL1G44310, AL6G40950	jg16992
OG0000140	nbis-gene-927	jg1149
OG0000140	AL8G35610, AL1G29430, AL2G32620	jg12153
OG0000140	AL5G19190	jg21116
OG0000140	AL6G10840	jg14078, jg1761, jg1441
OG0000141	AL1G23600	jg29672
OG0000141	AL1G23590	jg29671
OG0000141	AL1G23500	jg29664
OG0000141	AL7G41510	jg11302
OG0000141	AL1G23480	jg12025
OG0000141	AL2G13240	jg654, jg658, jg651, jg653
OG0000143	AL3G54050	jg11978, jg20945
OG0000148	nbis-gene-277	jg33221
OG0000148	AL2G11100	jg461
OG0000148	AL1G54580	jg32881
OG0000148	AL1G54620	jg32883
OG0000148	nbis-gene-1537	jg5636
OG0000151	AL5G36250	jg15451
OG0000151	AL5G36230	jg15449
OG0000151	AL5G36220	jg15448
