Orthogroup	Arabidopsis_lyrata_Rawat	Brassica_rapa
OG0000007	AL8G24640	XP_033128538.1
OG0000007	AL8G18310, AL1G37680, AL3G20440	XP_033134391.1, XP_009103805.2, XP_009129528.2, XP_033133945.1
OG0000007	AL2G22610	XP_033133985.1, XP_033143316.1, XP_033138798.1, XP_033141235.1, XP_033133974.1, XP_033141172.1, XP_033145248.1, XP_033143243.1
OG0000007	AL5G31160	XP_033132046.1, XP_018509717.2, XP_033143434.1, XP_033144206.1, XP_009107562.2, XP_033134788.1, XP_033131027.1, XP_033132428.1, XP_033133980.1, XP_033134568.1, XP_009120419.2, XP_033138143.1, XP_009113464.2, XP_009130602.2, XP_033133922.1, XP_009110769.2, XP_033148269.1, XP_033135997.1, XP_033135405.1
OG0000007	AL5G15300	XP_033131629.1, XP_033142256.1, XP_033131850.1, XP_033132443.1, XP_033141204.1, XP_033141185.1, XP_033143314.1, XP_033128723.1
OG0000008	AL8G22780	XP_033147243.1
OG0000008	AL2G17460, AL6G27010, AL5G18950, AL7G45220	XP_033139890.1, XP_033129084.1, XP_033145197.1, XP_018513989.2, XP_033129879.1, XP_033140569.1, XP_033140184.1
OG0000008	AL5G20470	XP_033139686.1, XP_033140769.1
OG0000008	AL5G32180, AL5G32140, AL5G32150	XP_009115858.3
OG0000009	AL251U10020, AL3G32130	XP_033139461.1
OG0000009	AL1G49730	XP_033141077.1
OG0000009	AL8G14160	XP_033134456.1, XP_033146265.1
OG0000009	AL7G37950	XP_033128715.1, XP_018515150.1
OG0000009	AL4G34770	XP_009107743.1
OG0000009	AL2G39630	XP_009117702.1, XP_009147334.1, XP_009135550.2, XP_033134013.1, XP_009113005.2, XP_033131870.1, XP_009102722.2, XP_009129720.1, XP_009124848.1, XP_009140864.1, XP_009139318.2, XP_018509100.1, XP_009146774.1
OG0000009	AL4G46120, AL8G23160	XP_009139341.2, XP_009103764.1, XP_009152173.2, XP_009117699.2, XP_033144437.1
OG0000009	AL1G62100	XP_009142128.2, XP_009147176.2, XP_009152175.2, XP_018513613.1
OG0000011	AL8G22980	XP_018509279.1, XP_033141867.1
OG0000011	AL7G52850	XP_033139088.1, XP_033131994.1, XP_033139376.1
OG0000011	AL1G50520, AL5G34620, AL5G17780	XP_033143559.1, XP_033143864.1, XP_033136826.1
OG0000011	AL2G26450	XP_033143497.1, XP_033129499.1, XP_018513221.2, XP_033148218.1, XP_018514420.1
OG0000011	AL8G24370	XP_033132530.1
OG0000011	AL2G23260	XP_033131097.1, XP_033133861.1, XP_018512770.1, XP_033128536.1
OG0000012	AL8G15640, AL3G37530, AL6G20560	XP_033134396.1, XP_009140434.1, XP_009124217.1
OG0000015	AL7G47990, AL2G21990, AL5G11720, AL615U10010, AL1G54160, AL1G65620	XP_033148829.1
OG0000015	AL3G46060	XP_033143451.1
OG0000015	AL3G46050	XP_018509062.1, XP_009118914.1
OG0000015	AL1G29330, AL6G27260	XP_033143221.1
OG0000016	AL2G23610	XP_033140973.1
OG0000016	AL5G12380, AL5G12270	XP_033138989.1, XP_033129378.1, XP_033129363.1, XP_033139530.1
OG0000021	AL39U10070, AL8G31610, AL7G45200, AL2G25080, AL5G20460, AL4G19440, AL6G42400, AL3G43480, AL5G24330, AL3G37170, AL6G47300, AL5G41490, AL3G52170, AL2G40700, AL8G33160, AL4G18100, AL8G23170, AL4G13400, AL4G20340, AL5G22660, AL3G44000, AL4G18810, AL564U10010, AL8G21810, AL2G20290, AL3G16850, AL9U11790, AL4G19170	XP_033143299.1, XP_033131754.1, XP_009113298.1, XP_033135948.1, XP_033145970.1, XP_009108738.3, XP_033145198.1, XP_033128732.1, XP_033141182.1, XP_033129326.1
OG0000022	AL6G27650	XP_009121467.1
OG0000022	AL2G13120	XP_009112698.1
OG0000022	AL2G13070	XP_009112701.1
OG0000022	AL1G24190	XP_033134453.1
OG0000022	AL1G23970, AL1G24080	XP_033133748.1
OG0000022	AL1G23630, AL1G24180, AL1G23620	XP_009118036.2, XP_009118081.1, XP_009110632.1, XP_033135466.1, XP_033138678.1
OG0000022	AL1G16610	XP_009118532.1
OG0000022	AL2G10190, AL2G10200	XP_009112843.1
OG0000022	AL7G48260	XP_009140073.1
OG0000022	AL3G29640	XP_009114567.1
OG0000023	AL7G45280, AL8G19630	XP_033134273.1
OG0000023	AL8G19620	XP_009139567.2, XP_018513679.2
OG0000023	AL5G17960, AL7G43020, AL136U10040, AL8G18120, AL1G51450	XP_033139160.1, XP_033139271.1
OG0000023	AL6G40750	XP_033144175.1, XP_033139020.1, XP_033139451.1
OG0000023	AL7G44260	XP_033134299.1, XP_033130737.1
OG0000024	AL4G16470	XP_018512901.1
OG0000024	AL3G45420, AL4G35160	XP_009144063.2, XP_018514372.2, XP_033148397.1
OG0000024	AL5G23680	XP_009116539.1
OG0000024	AL1G45210	XP_033132209.1
OG0000025	AL6G41860	XP_033129969.1
OG0000025	AL460U10010	XP_033131820.1, XP_033134321.1, XP_033134331.1, XP_033135247.1, XP_009150041.2, XP_018513355.1, XP_033128551.1, XP_018515043.1, XP_009149632.2, XP_033129389.1, XP_033133949.1, XP_009113566.2, XP_033141177.1, XP_033133947.1, XP_033131885.1, XP_033143428.1, XP_033139107.1, XP_009115887.2, XP_033134459.1, XP_033130671.1, XP_033136819.1, XP_009108648.2, XP_033129312.1
OG0000027	AL6G45970	XP_033142038.1
OG0000027	AL6G46000	XP_033142132.1
OG0000027	AL7G30160	XP_033132923.1
OG0000027	AL7G30170	XP_009108600.1
OG0000027	AL7G30270	XP_033144191.1
OG0000027	AL1G66280	XP_009108162.1
OG0000027	AL7G30260	XP_009136791.2
OG0000028	AL6G19150	XP_033136215.1
OG0000028	AL8G29780	XP_033140818.1, XP_009127105.2, XP_009127106.1, XP_033140823.1
OG0000028	nbis-gene-2112, nbis-gene-2113	XP_033138713.1
OG0000028	AL8G29950	XP_033140827.1, XP_033140822.1
OG0000029	AL1G65750	XP_033141711.1, XP_033144745.1, XP_009137703.2, XP_009144174.1, XP_009132264.1, XP_009123077.2, XP_009121319.1, XP_009145179.2, XP_033138742.1, XP_009150817.2, XP_009138126.1, XP_009151013.1, XP_033141106.1, XP_009145551.2, XP_009115654.1
OG0000030	AL3G33700, AL275U10020, AL3G33320, AL3G33690	XP_033144643.1, XP_033142641.1
OG0000030	AL3G33370	XP_033138328.1, XP_033137984.1, XP_009141814.1
OG0000030	AL1G39630, AL1G35700, AL1G40180, AL1G40160, AL1G40170, AL3G27510	XP_033129474.1, XP_033128828.1, XP_033131947.1
OG0000030	AL7G39300	XP_009108389.1
OG0000030	AL5G29320, AL5G29310, AL5G29340	XP_033148474.1
OG0000030	AL2G23050	XP_033143643.1
OG0000030	AL3G24770	XP_018510426.1
OG0000030	AL3G25930, AL3G25710, AL3G25690	XP_033130762.1, XP_033145302.1, XP_033146117.1, XP_009123103.2, XP_009141585.2
OG0000031	AL3G43240	XP_009144745.1
OG0000031	AL1G56200	XP_009150829.1
OG0000031	AL1G41870	XP_033128785.1, XP_033134480.1, XP_009103830.2, XP_033141110.1, XP_009114691.2, XP_009151526.1, XP_033131640.1, XP_009128527.1, XP_009128535.1
OG0000031	AL5G21210	XP_018513795.1, XP_033141100.1, XP_009112384.1, XP_009144965.1, XP_009150353.1, XP_009124884.2, XP_033139364.1, XP_033139558.1, XP_009123947.1, XP_009120275.1, XP_009118918.2, XP_009138594.2, XP_009145102.2, XP_033138741.1, XP_009150108.2, XP_009124343.1, XP_009111088.1, XP_009113173.1, XP_009126345.2, XP_033131133.1, XP_009124322.1, XP_009121360.1, XP_033129314.1, XP_033143295.1, XP_033144628.1
OG0000032	AL4G17980	XP_033134901.1, XP_033128608.1
OG0000032	AL8G28430	XP_033143202.1, XP_033142724.1
OG0000034	AL7G30290	XP_009137321.1, XP_009136929.1
OG0000034	AL7G32680	XP_009137188.1
OG0000034	AL7G32670	XP_009134716.1
OG0000034	AL7G30310	XP_009137317.1
OG0000034	AL7G30350	XP_009108599.1
OG0000035	AL3G42660, AL4G33750, AL7G46520, AL6G43970	XP_033148603.1, XP_033129319.1, XP_033129317.1, XP_018515237.2, XP_033129460.1
OG0000038	AL2G17230, AL4G20860	XP_033136961.1
OG0000038	AL109U10030	XP_033133837.1
OG0000038	AL2G20150, AL1G38790, AL3G17400	XP_018509951.1, XP_009102769.1
OG0000040	AL2G11290	XP_033148631.1
OG0000040	AL677U10010	XP_033131826.1, XP_009107588.1, XP_033134026.1, XP_009148789.1
OG0000040	AL6G48140	XP_018513078.1
OG0000041	AL6G28140, AL2G16540, AL6G37950	XP_033138682.1, XP_009120440.2
OG0000041	AL3G47410, AL3G42990	XP_033147559.1
OG0000042	AL1G54660	XP_033136099.1, XP_009120611.1, XP_033129992.1
OG0000042	AL2G36380, AL7G36770, AL6G22280, AL6G40680, AL8G39990, AL3G35100, AL4G45380, AL3G44120, AL9U11580, AL2G38670, AL103U10010, AL8G23430, AL4G17850	XP_009108258.2
OG0000042	AL8G14180	XP_033145843.1, XP_033143238.1, XP_033148584.1, XP_018515301.2, XP_033136651.1, XP_033130759.1, XP_033132456.1
OG0000043	AL1G50370	XP_033134364.1
OG0000044	AL8G11950	XP_009105239.1
OG0000044	AL8G12190, AL8G11920	XP_018512047.1, XP_009134864.2
OG0000044	AL8G11900	XP_009128863.1
OG0000044	AL3G20910, AL2G19370	XP_009123255.2
OG0000048	AL4G27770, AL4G27390	XP_009123149.2
OG0000049	AL6G39930, AL5G16120, AL5G16140	XP_033141114.1
OG0000049	AL1G56420, AL5G15730, AL1G55420	XP_033139739.1
OG0000050	AL4G27890	XP_009142124.1
OG0000051	AL1G20340	XP_009119376.1, XP_009121616.2, XP_009118690.1
OG0000051	nbis-gene-988, AL2G11470, AL3G20080	XP_018514205.1, XP_009113199.1
OG0000052	AL5G15900	XP_009152006.1
OG0000052	AL5G15910	XP_033138197.1
OG0000052	AL1G65610	XP_033139477.1, XP_033135650.1
OG0000052	AL5G31970	XP_009114878.1
OG0000052	AL5G28540	XP_033129401.1
OG0000055	nbis-gene-725, AL3G41130	XP_009131379.2, XP_033144999.1, XP_009121596.1, XP_033131219.1
OG0000055	AL3G38080, AL769U10010	XP_033143242.1
OG0000055	AL3G29740	XP_033139674.1
OG0000055	AL4G21820, AL6G52510	XP_009134817.1
OG0000055	AL3G53160, AL3G53140	XP_033128815.1
OG0000056	AL2G13790, AL2G14110	XP_033135545.1
OG0000056	AL2G14050	XP_009113405.2
OG0000056	AL2G13900	XP_033135114.1, XP_009113108.1
OG0000056	AL5G26170	XP_009112692.1, XP_009113075.1, XP_009149950.1
OG0000058	AL5G26550, AL920U10010	XP_033147285.1, XP_009114424.1, XP_033140560.1, XP_033135648.1, XP_033130698.1, XP_033141279.1, XP_033138465.1, XP_033131792.1
OG0000058	AL3G40670	XP_033131068.1, XP_033132741.1, XP_033141134.1, XP_033146849.1
OG0000059	AL8G40920, AL7G34190, AL2G10380, AL1G59190	XP_009150163.1, XP_033139086.1, XP_033134279.1, XP_033132002.1, XP_033139374.1
OG0000059	AL5G34630	XP_009150809.1, XP_009124471.1, XP_033143409.1, XP_033134211.1, XP_033133426.1, XP_009101327.1
OG0000061	AL1G54400	XP_009133988.1
OG0000061	nbis-gene-1510	XP_033137465.1
OG0000061	AL1G53180	XP_033145824.1, XP_009140814.1
OG0000061	AL4G24650	XP_033145280.1
OG0000062	AL8G40700, AL8G15100	XP_009106514.2, XP_033138783.1, XP_033134230.1, XP_033129421.1
OG0000063	AL3G53440	XP_033129771.1
OG0000063	AL236U10030	XP_033147108.1
OG0000063	AL7G44340, AL7G43200	XP_033134130.1
OG0000064	nbis-gene-343, nbis-gene-349, nbis-gene-344, nbis-gene-348, nbis-gene-347, nbis-gene-1421, AL2G18870, nbis-gene-342, nbis-gene-435, nbis-gene-439, nbis-gene-434, nbis-gene-1420, nbis-gene-436, nbis-gene-440, nbis-gene-437, nbis-gene-1419, nbis-gene-438, nbis-gene-1176, nbis-gene-2026, nbis-gene-926, nbis-gene-1175, nbis-gene-2028, nbis-gene-2027, nbis-gene-2044, nbis-gene-1, nbis-gene-2024, nbis-gene-2025, nbis-gene-2023, nbis-gene-346, nbis-gene-345, nbis-gene-441	XP_033134282.1, XP_033134283.1, XP_033136270.1, XP_033135749.1, XP_033135748.1, XP_033135746.1, XP_033135747.1, XP_033134284.1, XP_033135687.1, XP_033136269.1, XP_033135741.1, XP_033135477.1, XP_009124650.2, XP_033136272.1, XP_033136268.1, XP_009124058.2, XP_033135744.1, XP_033136271.1, XP_009124087.2, XP_033135742.1, XP_033135743.1, XP_033135685.1, XP_033135686.1, XP_033135684.1, XP_033135688.1
OG0000065	AL7G52590	XP_009140044.1
OG0000065	AL7G51420	XP_009140101.2, XP_009151130.2
OG0000066	AL6G20900, AL5G16700, AL1G66190, AL1G19680, AL6G20890	XP_009125303.1, XP_009110843.1, XP_009112178.1, XP_009129719.2, XP_009114048.1, XP_009131154.1
OG0000066	AL6G21580	XP_009104699.1, XP_009125263.1, XP_009131189.1, XP_009130061.1, XP_018511751.1
OG0000067	AL3G45170	XP_018508435.1
OG0000067	AL1G31430	XP_009127952.2
OG0000068	AL6G15310, AL6G14890, AL3G20260, AL3G20250, AL3G20240	XP_033137765.1, XP_009122279.3, XP_033144949.1, XP_033144954.1
OG0000069	AL3G40410, AL8G35170, AL5G45620	XP_018512413.1, XP_009105410.1
OG0000069	AL5G36780	XP_033146576.1
OG0000069	AL8G26350	XP_033128537.1, XP_009102077.1, XP_018511249.1
OG0000069	AL3G38360	XP_009142475.1
OG0000070	AL1G20940, AL3G47920, AL5G12840, AL5G12830	XP_009123589.1, XP_033136464.1
OG0000070	AL4G11370, AL1G32980, AL2G24470	XP_009149503.1
OG0000070	AL2G35960	XP_009104691.1, XP_009106248.2, XP_009128146.1
OG0000072	AL8G11190	XP_033146737.1
OG0000073	AL5G31050	XP_033144992.1, XP_033143312.1, XP_009108668.2, XP_009139306.1, XP_009122924.1, XP_009132645.2
OG0000075	AL8G23920	XP_009101861.1, XP_033141207.1, XP_009124954.2, XP_009127369.1
OG0000075	nbis-gene-1691	XP_009101862.1
OG0000076	AL7G10840	XP_009101919.1
OG0000076	AL3G53220	XP_009134123.2, XP_033134012.1, XP_009126890.1, XP_033147785.1, XP_009134127.2, XP_018514362.2, XP_009134129.2, XP_009134122.2
OG0000077	AL8G13900, AL8G13920	XP_033139970.1
OG0000077	AL2G18750	XP_033136168.1, XP_033134192.1
OG0000077	AL5G12960	XP_033141183.1
OG0000077	AL2G15700, nbis-gene-2073, AL8G20320	XP_009148269.1
OG0000078	AL6G29270, AL6G29210, AL6G29240, AL6G29180, AL6G29190	XP_009126231.2, XP_009131624.1, XP_009121025.2, XP_009131630.2, XP_009126229.1, XP_009131627.1
OG0000079	AL3G51940, AL1G57050, AL5G16890, AL1G58560, AL1G58670, AL4G20020, AL1G30000, AL5G27080, AL8G14210	XP_009128331.1, XP_033137616.1, XP_033144013.1, XP_033145947.1, XP_033147003.1, XP_033133869.1, XP_033132648.1, XP_009104162.1, XP_009128728.2, XP_033145258.1, XP_033141181.1, XP_033141130.1, XP_033129223.1, XP_033139099.1, XP_033129128.1, XP_033129127.1, XP_033147269.1, XP_033136406.1, XP_033148881.1, XP_033133874.1, XP_033130432.1, XP_033131180.1, XP_033147836.1, XP_009121263.2, XP_033146531.1, XP_009122926.1, XP_033143107.1, XP_033143236.1, XP_033136497.1, XP_033134319.1, XP_033147267.1, XP_009108250.2, XP_033148205.1, XP_033131034.1, XP_033129991.1, XP_033134219.1, XP_033145242.1, XP_033131468.1, XP_033139661.1, XP_033129913.1, XP_033128795.1, XP_033130871.1, XP_033146432.1, XP_033128838.1, XP_033133429.1, XP_033146434.1, XP_033128695.1, XP_033129645.1
OG0000081	AL1G31420, AL8G29100, AL8G26420, AL6G33330	XP_018509212.1, XP_033131829.1, XP_033133259.1
OG0000083	AL6G26020, AL3G43160, AL645U10010, AL5G31070	XP_033133218.1
OG0000083	AL6G37350, AL6G45940, AL1G47930, AL4G15250, AL4G15260	XP_033145473.1, XP_033144422.1
OG0000086	nbis-gene-1913, AL7G53060	XP_009140166.1
OG0000086	AL7G49470, AL7G47450	XP_009139752.1
OG0000086	AL2G24590, AL2G24600	XP_009132807.1
OG0000089	AL6G35120	XP_009150907.1
OG0000089	AL8G39670	XP_009150241.1, XP_009151388.1
OG0000089	AL5G25960	XP_009150568.2, XP_009149954.2
OG0000089	AL4G24260	XP_009144365.1, XP_009141007.2
OG0000089	AL6G23060	XP_009121863.1
OG0000089	AL8G15560	XP_009113926.1, XP_009101721.2
OG0000089	AL7G33260	XP_009123590.1
OG0000089	AL2G35770	XP_009106234.1
OG0000090	AL1G50070, AL4G12030	XP_033128016.1, XP_033136189.1
OG0000091	AL5G26810	XP_009119422.1
OG0000091	AL5G23250	XP_009144708.1, XP_018509698.1, XP_009140909.1, XP_009140910.1
OG0000091	AL6G32010	XP_009131797.1, XP_009120802.1
OG0000091	AL8G24400	XP_009143939.1, XP_033147614.1
OG0000091	AL5G26370	XP_018508112.1
OG0000092	AL3G40330	XP_033131411.1, XP_033143949.1, XP_033143950.1, XP_009137270.1, XP_033140197.1
OG0000092	AL8G24810	XP_033136537.1
OG0000095	AL4G18560	XP_009134223.1, XP_009140586.1
OG0000095	AL4G18550	XP_033145266.1, XP_033145760.1
OG0000095	AL4G15530, nbis-gene-975, nbis-gene-1002, AL4G15600	XP_033146353.1, XP_033146352.1
OG0000095	AL4G14530, AL4G18570, AL4G15550	XP_033145265.1
OG0000095	AL4G18510, AL4G15660	XP_033145267.1, XP_033145730.1
OG0000096	AL3G41350, AL3G41330, AL3G41320, AL3G41340	XP_009136113.1
OG0000096	nbis-gene-1973	XP_033130152.1
OG0000097	AL4G16170	XP_033148598.1, XP_033138770.1, XP_033134262.1, XP_009137083.1, XP_009128751.1, XP_033133953.1, XP_009136059.1, XP_009115756.1
OG0000097	AL5G25560	XP_009137116.1
OG0000098	AL2G26330	XP_033144223.1, XP_009137095.2, XP_033143042.1
OG0000098	AL1G41020, AL1G41000, AL1G41010, AL1G40990, AL4G14170	XP_009150964.1, XP_009130073.1
OG0000099	AL4G17790, AL4G17810	XP_009145091.1, XP_033134313.1, XP_033136251.1, XP_009123717.2, XP_033147969.1, XP_033147959.1, XP_009120038.1, XP_033143946.1, XP_033148542.1, XP_033139457.1, XP_009124404.2
OG0000100	AL2G16740	XP_009113265.2
OG0000100	AL7G51590	XP_009140612.2
OG0000100	AL2G11390, AL2G11380	XP_018509586.1
OG0000100	AL2G11220	XP_018513710.2
OG0000100	AL2G11260	XP_033135318.1
OG0000101	AL26U10050, AL3G41030	XP_009108043.1, XP_033129024.1, XP_033129539.1, XP_033135654.1, XP_009123725.2, XP_033143361.1, XP_033133927.1, XP_033145957.1, XP_033146383.1, XP_033140589.1, XP_033145942.1, XP_033134398.1, XP_033133647.1, XP_033135195.1
OG0000102	AL6G49120	XP_009140229.1
OG0000102	AL9U10550, AL9U10540	XP_009121666.1
OG0000102	AL6G49050	XP_009134336.2, XP_009110937.1, XP_033135887.1
OG0000106	AL2G13830	XP_033134365.1, XP_009106472.1, XP_033138832.1, XP_033136535.1, XP_009129265.1
OG0000106	AL6G40690	XP_033141352.1, XP_033135598.1, XP_033135708.1, XP_033132990.1, XP_009119936.1, XP_009138559.1, XP_033134634.1
OG0000107	AL3G33810	XP_018514730.2
OG0000107	AL3G33780	XP_009140112.1, XP_033142636.1
OG0000107	AL3G33760	XP_033147102.1
OG0000107	AL3G34900, AL3G33830, AL3G42780, nbis-gene-1853	XP_009111243.1
OG0000108	AL4G34190, AL4G34130, AL5G34730	XP_009133195.1, XP_009141678.2
OG0000108	AL3G23740	XP_009146646.1
OG0000108	AL6G20220	XP_033138402.1, XP_009131124.2, XP_009125344.2
OG0000108	AL3G32160, AL1G56110	XP_009145858.2, XP_018513774.1
OG0000109	AL7G48370, AL4G13100, AL5G17500, AL8G26200, AL3G45860, AL1G49480, AL3G47220, AL5G17870, AL8G24560, AL7G45510, AL6G38840, AL6G52460, AL6G40590, AL1G47050, AL2G22030, AL8G22080, AL2G35490, AL5G20740, AL1G54140, AL2G22170, AL3G44280, AL7G53070, AL5G17840, AL7G34330, AL8G17600, AL170U10010, AL3G46660, AL8G20850, AL4G12360, AL5G10400, AL3G43610, AL4G17930, AL5G17970, AL9U10780	XP_033129717.1, XP_033139404.1, XP_033133988.1, XP_033135850.1, XP_033142467.1, XP_033139430.1, XP_033138987.1, XP_033134841.1
OG0000110	AL1G55630, AL7G11640, AL1G50710, AL4G20710, AL6G41920, AL8G21920, AL9U11500, AL2G19920, AL2G22250, AL5G12710	XP_033147814.1
OG0000111	AL5G18800	XP_009102969.1, XP_009104069.1, XP_009121559.1, XP_009119630.1, XP_009116825.1
OG0000111	AL2G34810	XP_033128640.1, XP_033129028.1, XP_033146399.1, XP_033146035.1, XP_009133886.1
OG0000114	AL2G19090, AL2G20370, AL1G46930, AL8G13990, AL5G18470, AL5G18060, AL3G42080, AL4G18650, AL3G44910, nbis-gene-1272, nbis-gene-1271, AL1G50940	XP_033145921.1
OG0000115	AL7G53080	XP_009133161.1, XP_033143891.1
OG0000116	nbis-gene-997, AL1G35450, nbis-gene-1953, AL1G39460	XP_033143201.1, XP_009115039.1, XP_009137034.2, XP_033132498.1, XP_033135118.1, XP_033134167.1, XP_009134460.2, XP_009122979.1, XP_033135204.1, XP_033137857.1, XP_018510163.1, XP_018509848.2, XP_018511518.1, XP_018512844.2, XP_033134594.1
OG0000116	AL614U10020	XP_009115537.1
OG0000117	AL1G37420	XP_009115511.1
OG0000117	AL1G37270	XP_033135734.1, XP_009115048.1, XP_009115516.1
OG0000117	AL1G37440, AL1G37390	XP_033130333.1
OG0000117	AL1G37330, AL1G37340	XP_033132544.1, XP_033132543.1, XP_009110093.1, XP_033132540.1, XP_009112003.1
OG0000118	AL4G35640, AL4G35680, AL4G35660, AL4G35650, AL7G47920	XP_009113644.3, XP_009115539.2, XP_033135170.1, XP_033135169.1, XP_033135012.1, XP_009135990.1, XP_033135900.1
OG0000119	AL5G25370	XP_033138816.1
OG0000119	AL4G18370, AL4G18360, AL4G18340, AL5G21720, AL5G21730, AL5G24120, AL6G15230, AL5G24030, AL5G24100, AL5G24190	XP_009140726.1
OG0000119	nbis-gene-1302, nbis-gene-1304	XP_033131888.1
OG0000122	AL8G31960	XP_033142107.1
OG0000123	AL8G25360	XP_009132628.1, XP_033142284.1
OG0000125	AL1G17740	XP_009118428.1
OG0000125	AL1G55940	XP_033146903.1
OG0000125	AL1G59870	XP_009144873.1
OG0000126	AL4G20870	XP_033134231.1
OG0000127	AL6G34020	XP_009120626.1, XP_009131894.1
OG0000127	AL189U10030, AL8G36480, AL5G24690	XP_009120513.1
OG0000127	AL4G23250	XP_009133865.1, XP_009140934.1, XP_009103710.2
OG0000128	AL5G41150	XP_009104190.1
OG0000128	AL5G41080	XP_009116587.1, XP_018508692.1
OG0000128	AL5G41090	XP_009104193.2
OG0000129	AL2G19870	XP_033146831.1, XP_033146830.1
OG0000129	AL2G20180	XP_009127389.1
OG0000129	AL1G60690, AL8G38710, AL8G38700, AL4G22760, AL4G22720, AL8G25830	XP_009130179.2, XP_009130183.1
OG0000130	nbis-gene-1897	XP_009124883.1
OG0000130	nbis-gene-1725	XP_033132477.1
OG0000130	AL3G43990	XP_033138416.1
OG0000130	AL3G23800, nbis-gene-2009	XP_009107043.1, XP_033130441.1
OG0000132	AL5G36020	XP_009116244.2, XP_009116245.1, XP_009116184.2, XP_033137144.1, XP_018510613.1
OG0000132	AL8G40480	XP_033136550.1
OG0000132	AL315U10010, AL7G51940, AL7G52020, AL7G52000	XP_009144883.2
OG0000134	AL1G67280, AL1G67230, AL1G67210	XP_018508210.2
OG0000134	AL4G22780	XP_033130500.1
OG0000134	AL6G21880	XP_033142785.1, XP_033142547.1, XP_009113973.2, XP_033142504.1
OG0000137	AL8G30930	XP_009111746.1, XP_009127005.1
OG0000137	AL8G30910	XP_009127057.1
OG0000137	AL8G30920	XP_033138715.1
OG0000137	AL8G30900	XP_009132393.1
OG0000137	AL8G30890	XP_009132642.1, XP_009120051.1
OG0000138	AL5G40870, AL5G40860	XP_018514807.1
OG0000138	AL5G40850	XP_033146362.1
OG0000140	AL8G35610, AL1G29430, AL2G32620	XP_009145081.1
OG0000140	AL5G19190	XP_009114858.1
OG0000141	AL1G23600	XP_033135443.1
OG0000141	AL1G23590	XP_018510931.2
OG0000141	AL1G23500, AL7G41510	XP_009110666.1
OG0000141	AL1G23480	XP_009118092.2, XP_033134902.1
OG0000143	AL3G54050	XP_033131813.1, XP_009123559.2, XP_033148484.1, XP_033134220.1, XP_033138760.1, XP_009124167.1, XP_033134274.1, XP_033135796.1
OG0000148	nbis-gene-250	XP_033144403.1, XP_009132885.2
OG0000148	AL3G17170	XP_033129328.1
OG0000148	nbis-gene-1537	XP_033135481.1, XP_033133852.1
