Orthogroup	Camelina_sativa	Arabidopsis_lyrata_NCBI
OG0000011	XP_010502002.1, XP_010489152.1	XP_020887782.1
OG0000011	XP_019087287.1	XP_020889569.1
OG0000011	XP_010451589.1, XP_019094549.1, XP_010496057.1, XP_010495781.2, XP_010501777.1, XP_010436526.1, XP_019087679.1, XP_010431020.1	XP_020885819.1, XP_020866216.1
OG0000011	XP_019082656.1, XP_010424386.1, XP_010463179.1	XP_020885594.1, XP_020870692.1
OG0000011	XP_010453170.1, XP_010497231.1	XP_020872445.1, XP_020875855.1
OG0000011	XP_019086294.1, XP_019087453.1, XP_010471647.1	XP_020875848.1
OG0000011	XP_010485259.1	XP_020881813.1
OG0000011	XP_010412777.1	XP_020866193.1, XP_020870462.1
OG0000012	XP_010467672.1	XP_020871500.1
OG0000014	XP_019098328.1, XP_019098389.1, XP_019096593.1, XP_019098329.1	XP_020871369.1
OG0000015	XP_010491426.2	XP_020870556.1
OG0000015	XP_010507453.1	XP_020865814.1
OG0000015	XP_010450099.1	XP_020890755.1, XP_020889910.1
OG0000020	XP_019087487.1, XP_010473965.2, XP_010496135.2, XP_010417447.2, XP_010506998.1, XP_010419513.2, XP_010485084.1, XP_019093393.1, XP_010490144.2, XP_010445327.2	XP_020887777.1
OG0000020	XP_019084343.1	XP_002862745.2, XP_020874187.1
OG0000020	XP_019082585.1	XP_020873825.1, XP_020878844.1, XP_020877054.1, XP_020869021.1, XP_020872420.1, XP_020884768.1
OG0000021	XP_010513446.2, XP_019086267.1, XP_010423747.1	XP_020872563.1, XP_020870832.1
OG0000021	XP_010484789.1	XP_020872717.1, XP_020874922.1, XP_020879645.1
OG0000021	XP_010424409.1, XP_010425747.1	XP_020889705.1, XP_020876177.1, XP_020889912.1, XP_020882641.1, XP_020879663.1, XP_020876808.1, XP_020879537.1, XP_020888861.1, XP_020872277.1, XP_020871456.1, XP_020872555.1, XP_020886835.1, XP_020867207.1, XP_020876809.1
OG0000021	XP_010446058.1, XP_010451363.1	XP_020887754.1, XP_020885800.1, XP_020871592.1, XP_020879735.1, XP_020879721.1, XP_020887591.1
OG0000021	XP_010484820.1, XP_010496602.2	XP_020885208.1, XP_020885137.1, XP_020886953.1, XP_020886960.1, XP_020890910.1, XP_020885657.1
OG0000021	XP_019091495.1	XP_020879723.1
OG0000021	XP_010471217.1, XP_010434877.1, XP_019088976.1, XP_010482610.1	XP_020874134.1
OG0000021	XP_010445118.1, XP_019086509.1, XP_010445483.1, XP_010451671.1, XP_019096477.1, XP_010511144.1, XP_010439761.1, XP_019089680.1	XP_020871964.1, XP_020874896.1, XP_020872412.1
OG0000022	XP_010438694.1, XP_010448208.1, XP_010433436.1	XP_020873422.1
OG0000022	XP_010453827.1, XP_019084725.1, XP_010492576.1	XP_020878202.1
OG0000022	XP_019082759.1	XP_020889844.1
OG0000022	XP_010473491.1, XP_010418269.1, XP_010430336.1	XP_002886462.1
OG0000022	XP_010430428.1, XP_010484817.1, XP_019096365.1, XP_010418422.1	XP_020891718.1
OG0000022	XP_019093579.1, XP_010419492.2, XP_010430431.1	XP_020891198.1
OG0000022	XP_010419464.1	XP_020890513.1
OG0000022	XP_010431725.1, XP_010431724.1, XP_010419467.1, XP_010418350.1	XP_020865987.1
OG0000022	XP_019082755.1, XP_019087757.1, XP_010419472.1, XP_010430432.1	XP_020865810.1
OG0000022	XP_010474584.1, XP_019085228.1, XP_010419465.1	XP_020890773.1
OG0000022	XP_010501563.1	XP_020869316.1
OG0000022	XP_010458700.1	XP_020869509.1
OG0000022	XP_010458689.1, XP_019090833.1, XP_019095236.1, XP_010458718.1, XP_010476232.1, XP_010456672.1	XP_020868327.1, XP_020870640.1, XP_020868325.1
OG0000022	XP_019091381.1, XP_010476184.1, XP_010476252.1, XP_019094809.1, XP_019098970.1, XP_019090986.1, XP_010458712.1, XP_010462662.1, XP_010493846.1, XP_010494656.1	XP_020869508.1, XP_020870927.1
OG0000022	XP_010418533.1, XP_019085324.1	XP_020865918.1
OG0000022	XP_010418529.1, XP_010430597.1	XP_020890021.1
OG0000022	XP_010447152.1, XP_010436064.1	XP_002868609.1
OG0000022	XP_019096254.1, XP_010504570.1, XP_010465692.1	XP_002883021.2
OG0000023	XP_019083197.1, XP_010506933.1	XP_020870611.1
OG0000023	XP_010422803.1	XP_020875036.1
OG0000023	XP_010431149.1, XP_019092394.1	XP_020885189.1
OG0000023	XP_010489845.1, XP_010473334.1, XP_010412528.1	XP_020874097.1
OG0000023	XP_010424360.1	XP_020872176.1
OG0000023	XP_010495590.1	XP_020881510.1, XP_020874804.1, XP_020872198.1
OG0000023	XP_010495582.1	XP_020888558.1
OG0000023	XP_019095592.1	XP_020875073.1
OG0000023	XP_010490347.1, XP_010472048.1	XP_020873405.1
OG0000023	XP_010451510.1	XP_020866256.1
OG0000024	XP_010480482.1, XP_010480750.1	XP_020866667.1
OG0000024	XP_019094488.1	XP_002891475.2
OG0000024	XP_019095769.1, XP_010480790.1	XP_020869784.1, XP_020870297.1, XP_020870502.1, XP_020866340.1, XP_002890925.2
OG0000024	XP_010460917.1, XP_010478547.1	XP_020869389.1, XP_020869783.1, XP_020866486.1, XP_020866487.1, XP_002893661.2, XP_020869388.1
OG0000024	XP_010478551.1	XP_020866666.1, XP_002890932.2, XP_002890929.1, XP_020866416.1
OG0000024	XP_019091095.1, XP_010480880.1, XP_019094490.1, XP_019091554.1	XP_002890930.2, XP_002890933.2
OG0000024	XP_010480848.1, XP_010478732.1, XP_010463094.1	XP_020866613.1, XP_002893705.2, XP_002893704.2
OG0000024	XP_010480824.1	XP_002893706.2
OG0000024	XP_010431261.1, XP_010515603.1, XP_010504688.1, XP_010427639.1, XP_010427857.1, XP_010431427.1, XP_010427640.1, XP_010504689.1	XP_020881113.1, XP_020879759.1
OG0000024	XP_010427641.1, XP_019100391.1	XP_020879758.1
OG0000025	XP_010438543.1, XP_010496538.1	XP_020877486.1
OG0000025	XP_010424792.1	XP_020889652.1
OG0000025	XP_010496134.1, XP_010490452.1, XP_010474526.1, XP_010424785.1, XP_010474094.1, XP_010419434.1, XP_019084250.1, XP_010445859.1, XP_010501852.1	XP_020876192.1
OG0000027	XP_010434889.1	XP_020878446.1
OG0000027	XP_010434897.1, XP_010455557.1	XP_020878445.1
OG0000027	XP_019089721.1	XP_002872592.1
OG0000027	XP_010433921.1, XP_010448734.2, XP_019087877.1, XP_019087876.1	XP_020873345.1
OG0000027	XP_019089325.1, XP_010433927.1	XP_020873367.1
OG0000027	XP_019086460.1	XP_020873341.1
OG0000027	XP_019087866.1, XP_010448736.1, XP_019097923.1	XP_020873363.1
OG0000027	XP_019090217.1, XP_019084079.1	XP_002872599.2
OG0000027	XP_010439208.1, XP_010433929.1, XP_010448752.1	XP_002867727.1
OG0000027	XP_010451236.1	XP_020873349.1
OG0000028	XP_010450001.1, XP_010436592.1, XP_010440401.1	XP_020874777.1
OG0000028	XP_019087714.1, XP_010436629.2, XP_010451562.1, XP_019089771.1	XP_020874778.1
OG0000028	XP_019095667.1	XP_020871166.1, XP_020886436.1
OG0000028	XP_010450245.1	XP_002864331.1
OG0000028	XP_010449339.1	XP_002864388.2
OG0000028	XP_010450257.1, XP_010450330.1, XP_010485150.2	XP_020872014.1
OG0000028	XP_010443019.1	XP_020877991.1
OG0000028	XP_010446868.1	XP_020875061.1
OG0000028	XP_019088142.1	XP_020865869.1, XP_020865879.1
OG0000028	XP_010446112.1	XP_020878007.1
OG0000028	XP_019088072.1, XP_010475515.1, XP_010475493.1, XP_010446106.1, XP_019095829.1, XP_010446107.1, XP_010475504.1, XP_010448142.1, XP_010446108.1	XP_020880460.1, XP_020880469.1, XP_020880478.1
OG0000029	XP_019085353.1, XP_019083999.1, XP_019095330.1, XP_019088516.1, XP_019092964.1, XP_019097126.1	XP_020869142.1, XP_020881896.1
OG0000029	XP_010501650.1	XP_020874317.1
OG0000029	XP_019097927.1, XP_019092098.1, XP_019098406.1	XP_020879925.1
OG0000029	XP_019093987.1	XP_020871888.1
OG0000029	XP_019090727.1	XP_020874443.1
OG0000030	XP_010463131.1, XP_010481059.1	XP_020871692.1, XP_020871677.1, XP_020888510.1
OG0000030	XP_010489955.2	XP_002885337.1
OG0000030	XP_010462898.1	XP_002890504.1
OG0000030	XP_010477981.2, XP_019091238.1, XP_010499061.1	XP_002893432.1, XP_020866580.1
OG0000030	XP_019099946.1, XP_019099931.1, XP_010431180.1	XP_020879678.1, XP_020881930.1, XP_020880910.1
OG0000030	XP_019096352.1	XP_020889857.1
OG0000030	XP_010480422.1	XP_020869589.1
OG0000030	XP_019096260.1	XP_020885911.1
OG0000030	XP_010419025.2, XP_010489797.1, XP_019096559.1, XP_010468083.1	XP_020888486.1
OG0000030	XP_010501254.1, XP_019096650.1	XP_002884990.1
OG0000030	XP_010465220.1, XP_019096368.1	XP_002884981.1
OG0000034	XP_010433941.1, XP_010439209.1	XP_002869784.2
OG0000034	XP_019089519.1, XP_010434185.1	XP_020873360.1
OG0000034	XP_019088150.1, XP_019089518.1	XP_002867849.1
OG0000034	XP_019087864.1, XP_010448760.1, XP_010448759.1, XP_010433935.1	XP_020873368.1
OG0000034	XP_010439201.1, XP_019089065.1, XP_010448744.1	XP_020873845.1
OG0000034	XP_019099660.1, XP_019101865.1, XP_010426013.1	XP_002877439.2
OG0000034	XP_010433930.1, XP_019087874.1, XP_010448768.1	XP_020873366.1
OG0000038	XP_010495210.1, XP_010474098.1, XP_010468682.1, XP_010463087.1, XP_019087298.1	XP_020873505.1
OG0000038	XP_010501746.1	XP_020879598.1
OG0000038	XP_019089825.1	XP_020876468.1
OG0000038	XP_019087515.1, XP_019093356.1, XP_019100930.1, XP_019094577.1, XP_019097481.1, XP_019101903.1, XP_019097441.1, XP_019085229.1, XP_019085226.1, XP_019099619.1, XP_019086837.1, XP_019101577.1	XP_020880729.1
OG0000040	XP_010474284.1	XP_020891386.1
OG0000040	XP_019090150.1, XP_019089979.1	XP_020888726.1
OG0000040	XP_019082992.1	XP_020872994.1
OG0000040	XP_019084027.1, XP_019100690.1, XP_019099950.1, XP_019088174.1, XP_019094516.1, XP_019095793.1, XP_019102288.1, XP_019101895.1	XP_020870158.1
OG0000040	XP_010445623.1	XP_020871402.1
OG0000040	XP_019083342.1	XP_020884682.1, XP_020887780.1
OG0000041	XP_019097475.1, XP_010507608.1, XP_019090114.1, XP_010495533.1, XP_010424251.1, XP_010474502.1, XP_010456904.1	XP_020876966.1
OG0000042	XP_010424457.1	XP_020872945.1
OG0000042	XP_010424173.1, XP_010501749.1, XP_019084211.1, XP_010507568.1, XP_010468592.1, XP_019098046.1, XP_010431219.1, XP_010470910.1, XP_010490052.1, XP_010481147.1, XP_019099771.1, XP_010513423.1, XP_010473769.1, XP_010513486.1, XP_010501571.1, XP_010480984.1, XP_019092230.1	XP_020876174.1
OG0000044	XP_019089124.1	XP_020868157.1
OG0000044	XP_010468576.2	XP_002885921.1
OG0000044	XP_019082617.1, XP_010445862.2	XP_002865187.1
OG0000044	XP_010494828.1	XP_002865185.1
OG0000044	XP_010441602.1, XP_010496016.1	XP_020878609.1
OG0000044	XP_019095933.1	XP_020886914.1
OG0000044	XP_019096918.1	XP_020880043.1, XP_020867167.1
OG0000044	XP_019087254.1, XP_019088788.1	XP_020875361.1
OG0000046	XP_019091484.1	XP_020871374.1, XP_020877131.1
OG0000046	XP_010461751.1, XP_010502950.1, XP_010518653.2, XP_010412583.2, XP_010474317.1, XP_010490459.2, XP_010412458.2, XP_010495393.2, XP_019094411.1, XP_010507554.1, XP_010507003.1, XP_010451886.2, XP_019086303.1, XP_019097866.1, XP_019089513.1, XP_010435128.1, XP_019096471.1	XP_020877167.1, XP_020871406.1, XP_002883785.1, XP_020880655.1, XP_020876919.1, XP_020882740.1, XP_002893924.2, XP_020870337.1
OG0000046	XP_019094579.1, XP_010458616.1	XP_020872615.1, XP_020878672.1, XP_020882823.1, XP_020877149.1, XP_020879796.1, XP_020872313.1
OG0000046	XP_010495787.1	XP_020883604.1, XP_020876127.1
OG0000047	XP_010462614.1, XP_010430681.1, XP_010489839.1	XP_020883415.1
OG0000048	XP_010444605.1, XP_010485320.1	XP_002864982.2
OG0000048	XP_010418692.1	XP_002881223.2
OG0000048	XP_010513136.1, XP_019082534.1, XP_010510111.2, XP_019099592.1, XP_010430751.1	XP_002879361.2
OG0000048	XP_019087514.1	XP_002894465.2
OG0000048	XP_019082535.1	XP_020886243.1
OG0000048	XP_010431681.1, XP_019082751.1, XP_010431684.1, XP_010431683.1, XP_010419453.1	XP_002886496.1, XP_002886498.2
OG0000049	XP_019098392.1, XP_019085514.1, XP_019095820.1, XP_019090182.1	XP_020866728.1
OG0000049	XP_019084398.1, XP_019093242.1	XP_020870708.1
OG0000049	XP_019085817.1	XP_020887816.1
OG0000051	XP_010475218.1, XP_019098849.1, XP_019094361.1, XP_019094954.1, XP_010457379.1	XP_020868191.1
OG0000051	XP_010508568.1, XP_019101977.1, XP_010506074.1	XP_002881850.2
OG0000051	XP_010419487.1, XP_010474608.1, XP_019085682.1	XP_002886390.1
OG0000051	XP_010508571.1, XP_019099792.1, XP_019099930.1, XP_019102077.1	XP_020884766.1, XP_020885237.1
OG0000051	XP_010489918.2, XP_019092650.1	XP_020890130.1
OG0000051	XP_019100718.1, XP_019102056.1	XP_020883307.1
OG0000051	XP_019100717.1, XP_019101979.1, XP_019099795.1, XP_019101978.1	XP_002881853.1
OG0000051	XP_019100716.1, XP_019099796.1, XP_019100715.1	XP_020883310.1, XP_020883308.1
OG0000051	XP_019099797.1, XP_019100714.1, XP_019100713.1, XP_019099798.1, XP_019099883.1, XP_019101012.1, XP_010413016.2, XP_010413017.1	XP_020883311.1
OG0000052	XP_010502638.1	XP_020882518.1
OG0000052	XP_019100897.1, XP_010418932.1, XP_010418929.2	XP_002894621.2
OG0000052	XP_010502644.1, XP_019101817.1	XP_020881195.1
OG0000052	XP_010440300.1, XP_019085462.1, XP_019085408.1	XP_020881409.1
OG0000052	XP_019085576.1, XP_010431289.1, XP_019100300.1	XP_020881215.1
OG0000052	XP_010431290.2, XP_019082473.1, XP_019085577.1, XP_010431293.1, XP_019101910.1, XP_019099715.1, XP_019085580.1, XP_010431296.1	XP_020881212.1
OG0000052	XP_019085912.1	XP_020881214.1
OG0000052	XP_010515571.1, XP_010426725.1, XP_010503847.2	XP_020880077.1
OG0000052	XP_010515239.1, XP_010503551.1, XP_010426408.1	XP_020882208.1
OG0000052	XP_019099940.1	XP_020879883.1, XP_020879991.1
OG0000052	XP_010507323.1, XP_019085543.1, XP_019085541.1, XP_010412647.1, XP_010426406.1	XP_020879878.1
OG0000052	XP_010471335.1, XP_010416064.1, XP_010428193.1, XP_019085547.1, XP_019099693.1, XP_019085544.1, XP_010507328.1	XP_020876149.1, XP_020879879.1
OG0000052	XP_010418931.1	XP_020886942.1
OG0000052	XP_019102115.1, XP_019102114.1, XP_019085861.1, XP_019083963.1	XP_020879992.1
OG0000055	XP_010487026.1, XP_019099114.1, XP_019092423.1, XP_019096980.1	XP_020886775.1, XP_020888382.1, XP_020888884.1
OG0000055	XP_019092636.1	XP_020889148.1
OG0000055	XP_010456592.1	XP_002862289.1
OG0000055	XP_010489359.1, XP_010515149.1	XP_020886503.1, XP_020887842.1
OG0000055	XP_019092372.1, XP_019089014.1, XP_019092647.1, XP_010490397.2, XP_010449648.2	XP_020886512.1
OG0000055	XP_010468236.2, XP_010489892.2	XP_020889170.1
OG0000056	XP_010430303.1	XP_002886466.1
OG0000056	XP_010473426.1, XP_010430251.1	XP_002886488.1
OG0000056	XP_010430227.1, XP_010418186.1, XP_010473423.1, XP_010418174.1	XP_020865627.1
OG0000056	XP_010430221.1	XP_002888056.1
OG0000056	XP_010430223.1, XP_010418172.1, XP_010473414.1	XP_020891225.1
OG0000056	XP_019082750.1, XP_010430231.1, XP_010473416.1	XP_002888053.1
OG0000056	XP_010418173.1, XP_010430224.1, XP_010473415.1	XP_020891223.1
OG0000056	XP_010426146.1, XP_010503309.1, XP_019084785.1, XP_010515018.1	XP_020880767.1
OG0000058	XP_019086887.1, XP_010493433.1	XP_020868066.1
OG0000058	XP_019085657.1, XP_010445597.1	XP_020883504.1
OG0000058	XP_010507131.1, XP_019084347.1, XP_019082584.1, XP_019093348.1	XP_020877514.1
OG0000059	XP_010445837.1, XP_010495452.1	XP_020889554.1, XP_020890752.1, XP_020876125.1
OG0000059	XP_019082768.1, XP_010424297.1, XP_010492076.1, XP_010480864.1, XP_010480807.1, XP_010421928.1, XP_019086245.1, XP_010454794.1, XP_010474415.1, XP_019093613.1, XP_019087039.1, XP_010445534.1, XP_019093612.1, XP_010483128.1, XP_010495455.1, XP_010467664.1, XP_019094598.1, XP_010513527.1, XP_010513525.1, XP_010436683.1, XP_010501879.1, XP_010444952.1	XP_020879890.1, XP_020878851.1, XP_020866756.1, XP_020881512.1, XP_020875242.1, XP_020886057.1, XP_020876759.1, XP_020874679.1
OG0000059	XP_010419243.1, XP_010445432.1, XP_010451388.1, XP_010451387.1, XP_010480860.1, XP_010418226.1, XP_010507751.1, XP_010418870.1, XP_010424397.1, XP_010485261.1, XP_010507491.1, XP_010501675.1, XP_010436657.1, XP_010474557.1, XP_010412778.1, XP_010501678.1, XP_010457038.1	XP_020870695.1
OG0000059	XP_010424196.1, XP_019102427.1, XP_010456828.1, XP_010424751.1	XP_020875483.1
OG0000059	XP_010456785.1	XP_020876486.1
OG0000060	XP_010475557.1	XP_020868758.1
OG0000060	XP_010457987.1	XP_002866359.2
OG0000060	XP_010426021.1	XP_020879701.1
OG0000060	XP_010443785.1	XP_020884530.1
OG0000060	XP_010483643.1, XP_010427032.1	XP_002864647.1, XP_020880298.1
OG0000060	XP_010457960.1	XP_002862282.2
OG0000060	XP_010504143.1, XP_010475534.1	XP_020868710.1
OG0000060	XP_010503204.1	XP_020880172.1
OG0000061	XP_019101969.1, XP_019083787.1	XP_020879494.1
OG0000061	XP_010433411.2, XP_010445103.2, XP_010451164.1	XP_020873461.1
OG0000061	XP_019084383.1, XP_010452572.1	XP_020877006.1
OG0000061	XP_019091030.1	XP_020870702.1
OG0000061	XP_010480591.2	XP_020870001.1
OG0000061	XP_010414309.1	XP_020885088.1
OG0000061	XP_010430593.1	XP_020891333.1, XP_020888256.1
OG0000062	XP_019096831.1	XP_020871528.1
OG0000062	XP_010430727.1	XP_020886023.1, XP_020874814.1, XP_020871169.1, XP_020878799.1
OG0000065	XP_019100936.1	XP_020865823.1
OG0000065	XP_019083220.1	XP_020865819.1
OG0000065	XP_010470571.1, XP_010415233.1	XP_020865822.1, XP_020865825.1
OG0000065	XP_010440921.1	XP_020876931.1
OG0000065	XP_010450947.1, XP_019086129.1	XP_020873883.1
OG0000065	XP_010441031.1, XP_019089248.1, XP_010435808.1	XP_020872917.1
OG0000066	XP_010514443.1, XP_010502711.1	XP_002894648.1
OG0000066	XP_010428586.1, XP_010466628.1, XP_010447175.1, XP_010488359.1, XP_010471674.1, XP_010480248.1	XP_020891413.1, XP_020877536.1
OG0000066	XP_010419651.1, XP_010491788.1, XP_010431986.1, XP_010453132.1, XP_010437129.1, XP_010431988.1	XP_020875248.1
OG0000066	XP_010477215.1, XP_019091470.1	XP_020869687.1
OG0000067	XP_010462847.1, XP_010501825.1	XP_020891542.1
OG0000067	XP_010507263.1	XP_020876559.1
OG0000067	XP_010445762.1, XP_010497305.1, XP_010507063.1, XP_010418611.1	XP_020886169.1
OG0000067	XP_010506977.1	XP_020865924.1
OG0000068	XP_010490972.1, XP_010424780.1, XP_010452237.1, XP_019084545.1, XP_019097292.1	XP_020876030.1, XP_020876026.1
OG0000068	XP_010485475.1, XP_010463635.1	XP_020868524.1, XP_020877300.1, XP_020886482.1
OG0000068	XP_010441868.1	XP_020871868.1, XP_002864221.1
OG0000068	XP_010423608.1, XP_010490827.1	XP_002883446.1, XP_002873094.1, XP_002871038.2, XP_020879355.1
OG0000068	XP_019084672.1, XP_010491460.1	XP_002871317.2
OG0000069	XP_010424996.1, XP_019101786.1	XP_020886063.1, XP_020871771.1
OG0000069	XP_010457739.1, XP_010485812.1, XP_010475324.1	XP_020880445.1
OG0000069	XP_019094910.1, XP_010457094.2	XP_020870187.1
OG0000069	XP_010507199.1, XP_019101860.1	XP_002877300.2, XP_020881960.1
OG0000069	XP_010474878.2	XP_020882733.1
OG0000070	XP_010458359.1, XP_010475885.1, XP_010490823.1	XP_020867590.1
OG0000070	XP_010425101.1, XP_010502325.1, XP_010514084.1, XP_010425103.1, XP_010506934.1, XP_010502326.1, XP_010514085.1	XP_002883942.1, XP_002875195.1, XP_002875194.1
OG0000070	XP_010459699.1, XP_010477249.1, XP_010448526.1, XP_010438976.1, XP_010433736.1	XP_020885789.1, XP_002890373.1, XP_002887052.2
OG0000070	XP_010494151.1	XP_002863814.1
OG0000070	XP_010413610.1, XP_019093586.1, XP_010512295.1	XP_002878309.1
OG0000070	XP_010450797.1, XP_010441003.1, XP_010435879.1, XP_010441072.1, XP_010437611.1, XP_010432410.1, XP_010447075.1, XP_010447073.1	XP_002867118.1
OG0000072	XP_010446292.1	XP_020876164.1, XP_020889278.1
OG0000074	XP_019097678.1	XP_020874556.1
OG0000075	XP_010431928.1, XP_010446504.1	XP_002868913.1
OG0000075	XP_010446508.1, XP_019087113.1, XP_010431932.1	XP_002891313.1, XP_002891316.2, XP_020875509.1
OG0000075	XP_010437077.1, XP_019086095.1, XP_010446510.1	XP_002868917.2
OG0000075	XP_010437076.1, XP_010446506.1, XP_019088991.1	XP_002868914.1, XP_002874784.1
OG0000075	XP_019086927.1	XP_020874617.1
