Orthogroup	Camelina_sativa	Brassica_rapa
OG0000009	XP_019097316.1	XP_009112590.1, XP_018510720.2, XP_009148188.2, XP_009105597.2, XP_033130816.1, XP_009140970.1, XP_033133437.1, XP_033134456.1, XP_033146265.1
OG0000009	XP_019089129.1	XP_009107743.1
OG0000009	XP_010474388.1, XP_010445324.1, XP_010418625.1, XP_010419080.1, XP_010506918.1, XP_019092367.1, XP_010412434.1, XP_019082570.1, XP_019093323.1, XP_010490288.1, XP_010473858.1, XP_019091186.1, XP_010512831.1, XP_010436807.1, XP_010423650.1, XP_010457037.1, XP_019086349.1, XP_019096504.1, XP_019092384.1, XP_010485041.1, XP_010436406.1, XP_010468814.1, XP_010495742.1, XP_010431090.1, XP_010468349.1	XP_009117702.1, XP_009147334.1, XP_009135550.2, XP_033134013.1, XP_009113005.2, XP_033131870.1, XP_009102722.2, XP_009129720.1, XP_009124848.1, XP_009140864.1, XP_009139318.2, XP_018509100.1, XP_009146774.1
OG0000009	XP_010506896.1, XP_010507310.1, XP_019093287.1, XP_010495420.1, XP_010456726.1	XP_009109961.2, XP_033148561.1, XP_009139324.1
OG0000009	XP_019089031.1	XP_009142128.2, XP_009147176.2, XP_009152175.2, XP_018513613.1
OG0000011	XP_010506471.1, XP_010420141.1, XP_010423040.1, XP_019095544.1, XP_010481212.1, XP_010507282.1, XP_010415695.1	XP_033144010.1
OG0000011	XP_010496928.1, XP_010501572.1, XP_019084218.1, XP_010497051.1, XP_010496929.1, XP_010456825.1, XP_010496981.1, XP_010480376.1, XP_010451291.1	XP_033143559.1, XP_033143864.1, XP_033136826.1
OG0000011	XP_010436576.1	XP_033143497.1, XP_033129499.1, XP_018513221.2, XP_033148218.1, XP_018514420.1
OG0000011	XP_010451589.1, XP_019094549.1, XP_010496057.1, XP_010495781.2, XP_010501777.1, XP_010436526.1, XP_019087679.1, XP_010431020.1, XP_010441447.2, XP_010461380.2, XP_010472684.2, XP_010489801.1, XP_019082513.1, XP_019090446.1	XP_009119519.1
OG0000011	XP_010463347.1, XP_010436569.1, XP_010445159.1, XP_010463024.1	XP_009152174.1
OG0000011	XP_019090975.1	XP_033146667.1
OG0000011	XP_010453170.1, XP_010497231.1	XP_033132530.1
OG0000011	XP_019086294.1, XP_019087453.1, XP_010471647.1	XP_033131097.1, XP_033133861.1, XP_018512770.1, XP_033128536.1
OG0000012	XP_010456918.1, XP_010489976.1, XP_019087426.1, XP_019097606.1, XP_010507182.1, XP_019094134.1, XP_010473919.1, XP_010462803.1, XP_019100981.1, XP_010513730.1, XP_010467672.1	XP_033134396.1, XP_009140434.1, XP_009124217.1
OG0000014	XP_010470900.1	XP_033136253.1
OG0000014	XP_019089243.1, XP_019085515.1, XP_019089188.1, XP_019085407.1, XP_019084314.1	XP_033134222.1
OG0000014	XP_019090131.1	XP_033137204.1
OG0000014	XP_019086291.1	XP_033138986.1
OG0000015	XP_010491426.2, XP_010445386.1	XP_033148829.1
OG0000015	XP_010412881.1, XP_010463160.1	XP_033130405.1
OG0000015	XP_010480818.1, XP_010497195.1, XP_010456599.1	XP_009113103.2, XP_033138269.1, XP_033136397.1, XP_033137014.1
OG0000015	XP_010418862.1, XP_019084456.1, XP_019090265.1, XP_010497072.1, XP_010501828.1, XP_010496259.1	XP_033139829.1, XP_033146229.1
OG0000015	XP_010451702.1, XP_010497067.1, XP_010495723.1, XP_010430713.1, XP_010424221.1, XP_010497070.1, XP_019101930.1, XP_010481012.1, XP_010513208.1	XP_033143451.1
OG0000015	XP_010412816.1, XP_010470614.1	XP_018509062.1, XP_009118914.1
OG0000016	XP_019097501.1	XP_033140973.1
OG0000016	XP_010418804.1	XP_033139529.1
OG0000016	XP_019101859.1, XP_010412662.1, XP_010412664.1, XP_010462765.1, XP_010496096.1, XP_019089253.1, XP_019092323.1, XP_019097462.1, XP_019089247.1	XP_033139447.1
OG0000016	XP_010463195.1	XP_033139193.1, XP_033134304.1, XP_033139069.1, XP_033139019.1
OG0000018	XP_010461832.1	XP_033147468.1
OG0000020	XP_019084343.1	XP_033128598.1, XP_033128603.1, XP_033141176.1, XP_033131231.1, XP_033144078.1, XP_033148833.1, XP_033139110.1, XP_033136846.1, XP_009128749.2, XP_033133948.1, XP_009138630.2, XP_009119107.3, XP_033146804.1, XP_033148581.1, XP_033133950.1, XP_033139108.1, XP_033144661.1
OG0000020	XP_010513440.1, XP_019085424.1, XP_019094593.1, XP_019085440.1, XP_010495727.1, XP_019085626.1, XP_019101996.1, XP_019086627.1	XP_033132628.1, XP_033134397.1, XP_009144112.2, XP_018510172.2, XP_033137868.1, XP_033139322.1, XP_033137097.1, XP_033131911.1, XP_033144538.1, XP_033131263.1, XP_033128364.1, XP_018511251.2, XP_033129018.1
OG0000020	XP_019082585.1	XP_033146803.1, XP_033138241.1, XP_033134460.1, XP_033147772.1
OG0000021	XP_010513446.2, XP_019086267.1, XP_010423747.1, XP_010436809.1, XP_010424537.1, XP_010506965.1, XP_010503779.1, XP_010484789.1, XP_010431203.2, XP_019096510.1, XP_019100928.1, XP_010424409.1, XP_010425747.1, XP_019097391.1, XP_019099607.1, XP_019097512.1, XP_010426045.1, XP_010490194.1, XP_010419328.1, XP_010425255.1, XP_010425129.1, XP_010518556.1, XP_010456610.1, XP_010446058.1, XP_010451363.1, XP_010431070.1, XP_019091017.1, XP_010445717.1, XP_010474695.1, XP_010507197.1, XP_010484803.1, XP_010456729.1, XP_010484820.1, XP_010496602.2	XP_033143299.1, XP_033131754.1, XP_009113298.1, XP_033135948.1, XP_033145970.1, XP_009108738.3, XP_033145198.1, XP_033128732.1, XP_033141182.1, XP_033129326.1
OG0000022	XP_010438694.1, XP_010448208.1, XP_010433436.1	XP_009142868.1
OG0000022	XP_010453827.1, XP_019084725.1, XP_010492576.1	XP_009121467.1
OG0000022	XP_010473491.1, XP_010418269.1, XP_010430336.1	XP_009112698.1
OG0000022	XP_019093419.1, XP_010462675.2, XP_010474584.1, XP_019085228.1, XP_010419465.1	XP_009112701.1
OG0000022	XP_010458700.1	XP_033134453.1
OG0000022	XP_010458689.1, XP_019090833.1, XP_019095236.1, XP_010458718.1, XP_010476232.1, XP_010456672.1	XP_033133748.1
OG0000022	XP_019091381.1, XP_010476184.1, XP_010476252.1, XP_019094809.1, XP_019098970.1, XP_019090986.1, XP_010458712.1, XP_010462662.1, XP_010493846.1, XP_010494656.1	XP_009118036.2, XP_009118081.1, XP_009110632.1, XP_033135466.1, XP_033138678.1
OG0000022	XP_010418533.1, XP_019085324.1, XP_010418529.1, XP_010430597.1	XP_009112843.1
OG0000022	XP_010447152.1, XP_010436064.1	XP_009140073.1
OG0000022	XP_019096254.1, XP_010504570.1, XP_010465692.1	XP_009114567.1
OG0000023	XP_010425465.1, XP_010490322.1	XP_033134273.1
OG0000023	XP_010431149.1, XP_019092394.1	XP_033128492.1
OG0000023	XP_010489845.1, XP_010473334.1, XP_010412528.1	XP_009139567.2, XP_018513679.2
OG0000023	XP_010419111.1, XP_010484854.1, XP_010475417.1	XP_033139160.1, XP_033139271.1
OG0000023	XP_010424360.1	XP_009150011.2
OG0000023	XP_019092345.1, XP_010490056.1, XP_010495372.1, XP_010512916.1	XP_033134299.1, XP_033130737.1
OG0000023	XP_010480840.1, XP_010513121.1	XP_033148526.1
OG0000023	XP_010495582.1	XP_033131417.1
OG0000023	XP_019095592.1	XP_033140796.1, XP_033147063.1
OG0000023	XP_010490347.1, XP_010472048.1	XP_033132665.1
OG0000024	XP_019082533.1	XP_033133295.1
OG0000024	XP_010501685.1	XP_009144063.2, XP_018514372.2, XP_033148397.1
OG0000025	XP_010438543.1, XP_010496538.1	XP_033129969.1
OG0000025	XP_010474036.1, XP_010424602.1, XP_010496134.1, XP_010490452.1, XP_010474526.1, XP_010424785.1, XP_010474094.1, XP_010419434.1, XP_019084250.1, XP_010445859.1, XP_010501852.1	XP_033131820.1, XP_033134321.1, XP_033134331.1, XP_033135247.1, XP_009150041.2, XP_018513355.1, XP_033128551.1, XP_018515043.1, XP_009149632.2, XP_033129389.1, XP_033133949.1, XP_009113566.2, XP_033141177.1, XP_033133947.1, XP_033131885.1, XP_033143428.1, XP_033139107.1, XP_009115887.2, XP_033134459.1, XP_033130671.1, XP_033136819.1, XP_009108648.2, XP_033129312.1
OG0000027	XP_019089721.1	XP_033142038.1
OG0000027	XP_010439188.2, XP_010433919.1	XP_009136778.1, XP_009136797.2
OG0000027	XP_010445177.2	XP_009137329.1
OG0000027	XP_019089325.1, XP_010433927.1	XP_033132923.1
OG0000027	XP_019086460.1	XP_009108600.1
OG0000027	XP_019086469.1, XP_010439191.1	XP_009137325.1
OG0000027	XP_010418084.1, XP_010439216.1, XP_019087866.1, XP_010448736.1, XP_019097923.1	XP_033144191.1
OG0000027	XP_010451236.1	XP_009136791.2
OG0000028	XP_019095667.1	XP_009101849.2, XP_033129787.1, XP_033138374.1
OG0000028	XP_010478410.1, XP_010480737.1, XP_019094483.1, XP_019094842.1, XP_010456475.1	XP_033132412.1, XP_033132404.1, XP_009107001.1
OG0000028	XP_010485121.1, XP_010446111.1, XP_019086647.1, XP_010482860.1, XP_010485122.1, XP_010485123.1, XP_010443019.1	XP_033140818.1, XP_009127105.2, XP_009127106.1, XP_033140823.1
OG0000028	XP_010446868.1	XP_009148196.2
OG0000028	XP_010444978.1	XP_009133872.1, XP_009102308.1, XP_009105560.1
OG0000028	XP_019088142.1	XP_033138713.1
OG0000028	XP_019088072.1, XP_010475515.1, XP_010475493.1, XP_010446106.1, XP_019095829.1, XP_010446107.1, XP_010475504.1, XP_010448142.1, XP_010446108.1	XP_033140827.1, XP_033140822.1
OG0000029	XP_019085353.1, XP_019083999.1, XP_019095330.1, XP_019088516.1, XP_019092964.1, XP_019097126.1, XP_010501650.1, XP_010484850.2, XP_019097927.1, XP_019092098.1, XP_019098406.1, XP_019093987.1, XP_010431039.1	XP_009103430.1, XP_009103792.1, XP_033136629.1, XP_009105534.2, XP_033129358.1, XP_009128619.2, XP_009102786.1, XP_009111952.1, XP_009106480.1, XP_009118510.1
OG0000029	XP_010436410.1, XP_010451660.1	XP_009130032.1, XP_033147848.1, XP_009127426.1, XP_009101982.1, XP_033133924.1, XP_009124763.2, XP_009113849.2, XP_009146105.1, XP_033129930.1, XP_009107501.2, XP_009115704.1
OG0000029	XP_010515282.1	XP_033141711.1, XP_033144745.1, XP_009137703.2, XP_009144174.1, XP_009132264.1, XP_009123077.2, XP_009121319.1, XP_009145179.2, XP_033138742.1, XP_009150817.2, XP_009138126.1, XP_009151013.1, XP_033141106.1, XP_009145551.2, XP_009115654.1
OG0000030	XP_010424523.1, XP_010487966.1, XP_019092251.1, XP_010463131.1, XP_010481059.1	XP_033144643.1, XP_033142641.1
OG0000030	XP_019100742.1, XP_010489955.2	XP_033138328.1, XP_033137984.1, XP_009141814.1
OG0000030	XP_010462901.2, XP_010462898.1, XP_010462936.2, XP_010462910.2, XP_010477981.2, XP_019091238.1, XP_010499061.1, XP_010506941.1, XP_010481243.1	XP_033129474.1, XP_033128828.1, XP_033131947.1
OG0000030	XP_019099946.1, XP_019099931.1, XP_010431180.1	XP_033148474.1
OG0000030	XP_019096352.1	XP_033143643.1
OG0000030	XP_010412587.1	XP_033131797.1
OG0000030	XP_010419025.2, XP_010489797.1, XP_019096559.1, XP_010468083.1	XP_018510426.1
OG0000030	XP_010501254.1, XP_019096650.1, XP_010465220.1, XP_019096368.1	XP_033130762.1, XP_033145302.1, XP_033146117.1, XP_009123103.2, XP_009141585.2
OG0000031	XP_010444656.1, XP_010424185.1	XP_033148599.1
OG0000032	XP_010446026.1	XP_033134461.1
OG0000032	XP_019097480.1, XP_010484906.1, XP_010473639.1, XP_010446027.1	XP_033134901.1, XP_033128608.1
OG0000034	XP_010433941.1, XP_010439209.1, XP_010448753.1	XP_009137321.1, XP_009136929.1
OG0000034	XP_010418085.1, XP_010439218.1, XP_010448756.1	XP_009136747.2
OG0000034	XP_019089519.1, XP_010434185.1	XP_009137188.1
OG0000034	XP_019088150.1, XP_019089518.1	XP_009134716.1
OG0000034	XP_010467326.1	XP_009128507.1
OG0000034	XP_010448301.1	XP_009137319.1
OG0000034	XP_010418758.2	XP_009124034.1
OG0000034	XP_010439220.1, XP_010448755.1, XP_010433938.1	XP_033143970.1
OG0000034	XP_010433930.1, XP_019087874.1, XP_010448768.1	XP_009108599.1
OG0000037	XP_010490399.1, XP_010496968.1	XP_018511578.1, XP_009123662.2, XP_033134281.1, XP_033134309.1, XP_033143381.1, XP_033138071.1, XP_018511626.2
OG0000038	XP_010424680.1, XP_019087591.1, XP_010495210.1, XP_010474098.1, XP_010468682.1, XP_010463087.1, XP_019087298.1, XP_010507572.1, XP_010424302.1	XP_033136961.1
OG0000038	XP_019084390.1, XP_019096545.1, XP_019091034.1, XP_019095603.1, XP_019085897.1, XP_019087357.1, XP_019095607.1, XP_019101803.1, XP_019087390.1, XP_019087389.1, XP_019101919.1	XP_018510911.1
OG0000038	XP_019093290.1, XP_019087432.1, XP_019084251.1, XP_019098425.1	XP_018509044.1
OG0000038	XP_019090156.1, XP_019096519.1, XP_019089825.1	XP_018509951.1, XP_009102769.1
OG0000039	XP_019098311.1, XP_019101966.1, XP_019082856.1, XP_019087510.1	XP_033138939.1
OG0000040	XP_010474284.1	XP_033148631.1
OG0000040	XP_010480899.1	XP_009126331.2
OG0000040	XP_010490346.1, XP_010445623.1	XP_033131826.1, XP_009107588.1, XP_033134026.1, XP_009148789.1
OG0000041	XP_010497182.1, XP_010493723.1	XP_033142750.1, XP_018509814.1, XP_033143560.1
OG0000041	XP_019099586.1, XP_019097449.1, XP_019099623.1, XP_019082639.1, XP_019093253.1, XP_019094507.1, XP_019086255.1, XP_019085066.1, XP_019086308.1, XP_019090126.1, XP_019097488.1, XP_019100800.1, XP_019086528.1, XP_019095528.1	XP_033147559.1
OG0000041	XP_019084189.1	XP_018511953.2
OG0000042	XP_010460219.1	XP_033136099.1
OG0000042	XP_010415464.1, XP_010456305.1, XP_010424457.1	XP_033129992.1
OG0000042	XP_010501749.1, XP_019084211.1, XP_010507568.1, XP_010468592.1, XP_019098046.1, XP_010431219.1, XP_010470910.1, XP_010490052.1, XP_010481147.1, XP_019099771.1, XP_010513423.1, XP_010473769.1, XP_010513486.1	XP_009108258.2
OG0000042	XP_010506954.1, XP_010412394.1, XP_010506956.1, XP_010484797.1	XP_009138234.2, XP_033131226.1
OG0000042	XP_019101232.1, XP_010468709.1	XP_033129573.1
OG0000042	XP_010412790.1, XP_019084298.1, XP_019091192.1, XP_010463184.1, XP_010507036.1, XP_019093234.1	XP_033145843.1, XP_033143238.1, XP_033148584.1, XP_018515301.2, XP_033136651.1, XP_033130759.1, XP_033132456.1
OG0000042	XP_019098840.1, XP_010412406.1	XP_033135352.1
OG0000044	XP_019090872.1	XP_033128241.1
OG0000044	XP_010441602.1, XP_010496016.1, XP_010481473.1, XP_010496021.1	XP_018512047.1, XP_009134864.2
OG0000044	XP_019096918.1	XP_009128863.1, XP_009128859.1
OG0000044	XP_010434749.1	XP_018513381.1
OG0000047	XP_010462614.1, XP_010430681.1, XP_010489839.1	XP_033134290.1
OG0000048	XP_010418688.1, XP_010473891.1, XP_010473899.1, XP_010510053.1, XP_010510047.1	XP_009141214.1, XP_033145357.1
OG0000048	XP_010480341.1	XP_009125775.1
OG0000048	XP_010418692.1, XP_010513136.1, XP_019082534.1, XP_010510111.2, XP_019099592.1, XP_010430751.1	XP_009123149.2
OG0000048	XP_019083013.1, XP_019083016.1, XP_019093684.1, XP_019100809.1, XP_010513158.1, XP_019082540.1, XP_010414120.1, XP_019098434.1, XP_010507693.2, XP_010512904.1, XP_019101431.1	XP_033137775.1, XP_033137778.1, XP_033146467.1, XP_033145502.1, XP_033148635.1, XP_033147829.1, XP_033146958.1, XP_009142442.1
OG0000048	XP_019082535.1, XP_010421893.1	XP_009141452.3, XP_009141229.2, XP_033145293.1, XP_033145288.1, XP_009141227.2, XP_009146516.2, XP_018513390.1, XP_033145756.1, XP_033145751.1, XP_033145292.1, XP_018514111.1, XP_033145356.1, XP_009141011.2, XP_033145355.1, XP_009142302.1, XP_018513876.1
OG0000049	XP_010485132.1, XP_019101779.1, XP_010490450.1	XP_009123417.1
OG0000049	XP_019089269.1, XP_019096539.1, XP_019087412.1, XP_019098132.1, XP_019099318.1, XP_019101870.1	XP_033141114.1
OG0000049	XP_019091173.1, XP_019091032.1, XP_019092331.1, XP_019090098.1, XP_019095621.1, XP_019100812.1	XP_033131392.1
OG0000050	XP_010495728.1, XP_019097515.1	XP_033128725.1
OG0000050	XP_010430899.1	XP_009138627.1
OG0000051	XP_010475218.1, XP_019098849.1, XP_019094361.1, XP_019094954.1, XP_010457379.1	XP_009119376.1, XP_009121616.2, XP_009118690.1
OG0000051	XP_010419487.1, XP_010474608.1, XP_019085682.1	XP_018514205.1, XP_009113199.1
OG0000051	XP_019100718.1, XP_019102056.1	XP_009142840.1, XP_033138797.1, XP_033138543.1, XP_033148410.1
OG0000052	XP_010502638.1	XP_009152006.1
OG0000052	XP_019100897.1, XP_010418932.1, XP_010418929.2, XP_010507020.2, XP_010502644.1, XP_019101817.1, XP_010425426.1, XP_010502642.1, XP_010514366.1, XP_010430778.1, XP_010440300.1, XP_019085462.1, XP_019085408.1	XP_033139477.1, XP_033135650.1
OG0000052	XP_019099853.1, XP_010431292.1, XP_019085576.1, XP_010431289.1, XP_019100300.1	XP_009115966.1, XP_033146756.1, XP_033146252.1, XP_033146757.1, XP_033145801.1
OG0000052	XP_010515571.1, XP_010426725.1, XP_010503847.2	XP_009114878.1
OG0000052	XP_010471335.1, XP_010416064.1, XP_010428193.1, XP_019085547.1, XP_019099693.1, XP_019085544.1, XP_010507328.1	XP_033129401.1
OG0000052	XP_019102115.1, XP_019102114.1, XP_019085861.1, XP_019083963.1	XP_033146405.1
OG0000054	XP_010451852.2, XP_010490378.1, XP_010507049.1, XP_010506879.1, XP_019098175.1, XP_010463155.1, XP_010424414.1	XP_033141137.1, XP_033148483.1, XP_033133347.1
OG0000054	XP_019093255.1	XP_033143415.1
OG0000055	XP_019092356.1	XP_009131379.2, XP_033144999.1, XP_009121596.1, XP_033131219.1
OG0000055	XP_010456592.1	XP_033143242.1
OG0000055	XP_010489359.1, XP_010515149.1	XP_033128815.1
OG0000056	XP_010430221.1	XP_033135545.1
OG0000056	XP_010473417.1, XP_010419451.1	XP_009113405.2
OG0000056	XP_010426146.1, XP_010503309.1, XP_019084785.1, XP_010515018.1	XP_009112692.1, XP_009113075.1, XP_009149950.1
OG0000058	XP_019086887.1, XP_010493433.1, XP_010496594.1	XP_033147285.1, XP_009114424.1
OG0000058	XP_010484891.1	XP_033139240.1
OG0000058	XP_010468544.1, XP_010485044.1	XP_033131195.1, XP_033139143.1, XP_033131918.1, XP_033131462.1, XP_033134234.1, XP_033134349.1, XP_033130753.1, XP_033145221.1, XP_033141098.1, XP_033139492.1, XP_033137200.1, XP_033134400.1, XP_033139188.1, XP_033148815.1
OG0000058	XP_010412459.1, XP_019098310.1, XP_019096550.1, XP_019086270.1, XP_019101868.1, XP_019100846.1, XP_019101359.1, XP_019093349.1, XP_010507005.2, XP_019090153.1, XP_019099752.1, XP_010495718.2, XP_010457035.1, XP_010472188.1, XP_010441848.1, XP_010445492.1, XP_010430898.2, XP_019093221.1	XP_033131068.1, XP_033132741.1, XP_033141134.1, XP_033146849.1
OG0000058	XP_019085657.1, XP_010445597.1, XP_010495691.1, XP_010456723.1, XP_010501541.1	XP_033131067.1, XP_033136880.1, XP_033148558.1, XP_009150325.2, XP_033133377.1
OG0000059	XP_010415481.1	XP_033134217.1
OG0000059	XP_010445837.1, XP_010495452.1	XP_033143368.1, XP_033129455.1, XP_033134209.1, XP_033128794.1, XP_033131162.1, XP_033139340.1, XP_009139344.2
OG0000059	XP_019082768.1, XP_010424297.1, XP_010492076.1, XP_010480864.1, XP_010480807.1, XP_010421928.1, XP_019086245.1, XP_010454794.1, XP_010474415.1, XP_019093613.1, XP_019087039.1, XP_010445534.1, XP_019093612.1, XP_010483128.1, XP_010495455.1, XP_010467664.1, XP_019094598.1, XP_010513527.1, XP_010513525.1, XP_010436683.1, XP_010501879.1, XP_010444952.1, XP_010419243.1, XP_010445432.1, XP_010451388.1, XP_010451387.1, XP_010480860.1, XP_010418226.1, XP_010507751.1, XP_010418870.1, XP_010424397.1, XP_010485261.1, XP_010507491.1, XP_010501675.1, XP_010436657.1, XP_010474557.1, XP_010412778.1, XP_010501678.1, XP_010457038.1	XP_009150163.1, XP_033139086.1, XP_033134279.1, XP_033132002.1, XP_033139374.1
OG0000059	XP_010424196.1, XP_019102427.1, XP_010456828.1, XP_010424751.1, XP_010456785.1	XP_009150809.1, XP_009124471.1, XP_033143409.1, XP_033134211.1, XP_033133426.1, XP_009101327.1
OG0000060	XP_010503249.1, XP_010455780.1	XP_009103711.2
OG0000060	XP_010483612.1	XP_009150050.2
OG0000060	XP_010443785.1	XP_009148029.2
OG0000060	XP_010483643.1, XP_010427032.1	XP_009131981.1
OG0000060	XP_010457960.1	XP_009110918.2
OG0000060	XP_010443740.1	XP_033128652.1
OG0000060	XP_010455395.1	XP_009143480.1
OG0000061	XP_010434141.1, XP_010481076.1, XP_010495296.1, XP_010448996.1, XP_010451304.1	XP_009133988.1
