Orthogroup	Camelina_sativa	Arabidopsis_arenosa
OG0000034	XP_019084421.1, XP_010456187.1	jg8138
OG0000034	XP_010448759.1, XP_010433935.1	jg10207
OG0000034	XP_010439201.1, XP_019089065.1, XP_010448744.1	jg10186
OG0000034	XP_019089061.1, XP_019086461.1, XP_019087860.1	jg10175
OG0000034	XP_010451231.2, XP_010448725.1	jg10176
OG0000034	XP_010439220.1, XP_010448755.1, XP_010433938.1	jg10198
OG0000034	XP_010433930.1, XP_019087874.1, XP_010448768.1	jg10208
OG0000038	XP_010424680.1, XP_019087591.1, XP_010495210.1, XP_010474098.1, XP_010468682.1, XP_010463087.1, XP_019087298.1, XP_010507572.1, XP_010424302.1	jg27503
OG0000040	XP_019090150.1, XP_019089979.1, XP_010473876.1, XP_019084354.1, XP_010473794.1, XP_019095172.1, XP_019099587.1	jg17939
OG0000041	XP_019093231.1, XP_019096492.1, XP_010412906.1	jg10344
OG0000042	XP_010445645.1, XP_010462855.1	jg11609
OG0000042	XP_010415464.1, XP_010456305.1	jg33373
OG0000042	XP_010513486.1	jg2222
OG0000042	XP_010506954.1, XP_010412394.1, XP_010506956.1, XP_010484797.1	jg17129
OG0000042	XP_010468709.1	jg6977
OG0000042	XP_010463124.1	jg33374, jg32294, jg32380
OG0000044	XP_019089124.1	jg21834
OG0000044	XP_019082617.1, XP_010445862.2	jg20417
OG0000044	XP_010441602.1, XP_010496016.1	jg20443
OG0000044	XP_010481473.1	jg20442
OG0000044	XP_019096918.1	jg20412, jg20415
OG0000044	XP_019087254.1, XP_019088788.1	jg10924
OG0000046	XP_010461751.1, XP_010502950.1, XP_010518653.2, XP_010412583.2, XP_010474317.1, XP_010490459.2, XP_010412458.2, XP_010495393.2, XP_019094411.1, XP_010507554.1, XP_010507003.1, XP_010451886.2, XP_019086303.1, XP_019097866.1, XP_019089513.1, XP_010435128.1, XP_019096471.1	jg29315, jg17523, jg14196
OG0000046	XP_019094579.1, XP_010458616.1	jg1035, jg17283, jg1573
OG0000046	XP_010495787.1	jg1834, jg309, jg32416
OG0000046	XP_010502335.1	jg1572
OG0000048	XP_010444605.1, XP_010485320.1	jg23606
OG0000048	XP_010480341.1, XP_010513134.1, XP_010418702.1	jg20748, jg20747
OG0000048	XP_010418692.1	jg18309
OG0000048	XP_010513136.1, XP_019082534.1, XP_010510111.2, XP_019099592.1, XP_010430751.1	jg18271
OG0000048	XP_019087514.1	jg33607
OG0000048	XP_019083013.1, XP_019083016.1, XP_019093684.1, XP_019100809.1, XP_010513158.1, XP_019082540.1, XP_010414120.1, XP_019098434.1, XP_010507693.2, XP_010512904.1, XP_019101431.1	jg18210, jg18207
OG0000048	XP_019082535.1	jg25048
OG0000048	XP_010431681.1, XP_019082751.1, XP_010431684.1, XP_010431683.1, XP_010419453.1	jg740
OG0000050	XP_010412420.1	jg11604
OG0000050	XP_010495728.1, XP_019097515.1	jg14086
OG0000050	XP_010463383.1	jg7250, jg20411, jg7021, jg12231, jg18866, jg13112
OG0000051	XP_010475218.1, XP_019098849.1, XP_019094361.1, XP_019094954.1, XP_010457379.1	jg29349
OG0000051	XP_010508568.1, XP_019101977.1, XP_010506074.1	jg19555
OG0000051	XP_010419487.1, XP_010474608.1, XP_019085682.1	jg497
OG0000051	XP_019101976.1, XP_019100719.1, XP_010507704.1	jg19553
OG0000051	XP_010508571.1, XP_019099792.1, XP_019099930.1, XP_019102077.1	jg19551, jg19550
OG0000051	XP_010489918.2, XP_019092650.1	jg907
OG0000051	XP_019100718.1, XP_019102056.1	jg19560
OG0000051	XP_019100717.1, XP_019101979.1, XP_019099795.1, XP_019101978.1	jg19561
OG0000051	XP_019100716.1, XP_019099796.1, XP_019100715.1	jg19562, jg19563
OG0000051	XP_019099797.1, XP_019100714.1, XP_019100713.1, XP_019099798.1, XP_019099883.1, XP_019101012.1, XP_010413016.2, XP_010413017.1	jg19564
OG0000052	XP_010502638.1	jg13388
OG0000052	XP_019100897.1, XP_010418932.1, XP_010418929.2	jg1458, jg1459, jg1457
OG0000052	XP_010502644.1, XP_019101817.1	jg13394
OG0000052	XP_010425426.1, XP_010502642.1, XP_010514366.1, XP_010430778.1	jg13392
OG0000052	XP_010440300.1, XP_019085462.1, XP_019085408.1	jg13393
OG0000052	XP_019099853.1, XP_010431292.1	jg20913, jg15189
OG0000052	XP_019085576.1, XP_010431289.1, XP_019100300.1	jg15188
OG0000052	XP_010431290.2, XP_019082473.1, XP_019085577.1, XP_010431293.1, XP_019101910.1, XP_019099715.1, XP_019085580.1, XP_010431296.1	jg15192
OG0000052	XP_019085912.1	jg15191
OG0000052	XP_010515571.1, XP_010426725.1, XP_010503847.2	jg15039
OG0000052	XP_010515239.1, XP_010503551.1, XP_010426408.1	jg14762
OG0000052	XP_019099940.1	jg14734, jg14739
OG0000052	XP_010507323.1, XP_019085543.1, XP_019085541.1, XP_010412647.1, XP_010426406.1	jg14731, jg14730
OG0000052	XP_010471335.1, XP_010416064.1, XP_010428193.1, XP_019085547.1, XP_019099693.1, XP_019085544.1, XP_010507328.1	jg14729
OG0000052	XP_010418931.1	jg20319
OG0000052	XP_019102115.1, XP_019102114.1, XP_019085861.1, XP_019083963.1	jg21516
OG0000055	XP_019092356.1	jg26868
OG0000055	XP_019092293.1	jg26780
OG0000055	XP_010487026.1, XP_019099114.1, XP_019092423.1, XP_019096980.1	jg26196, jg26181
OG0000055	XP_010468237.1, XP_010466015.1, XP_010419774.1, XP_010468273.1, XP_010489926.1, XP_010507202.1, XP_010487805.1, XP_010465999.1	jg26019
OG0000055	XP_010456592.1	jg12073
OG0000055	XP_010440797.1, XP_019086313.1, XP_010451673.1	jg12035
OG0000055	XP_010489359.1, XP_010515149.1	jg28057, jg28058
OG0000055	XP_010489901.1, XP_019096397.1, XP_010465850.1, XP_010487685.1, XP_010465849.1	jg25908
OG0000055	XP_019092372.1, XP_019089014.1, XP_019092647.1, XP_010490397.2, XP_010449648.2	jg27919
OG0000055	XP_010468236.2, XP_010489892.2	jg25830
OG0000056	XP_010430303.1	jg674
OG0000056	XP_010473413.1, XP_019085277.1	jg748
OG0000056	XP_010473426.1, XP_010430251.1	jg721
OG0000056	XP_010430227.1, XP_010418186.1, XP_010473423.1, XP_010418174.1	jg726
OG0000056	XP_010473417.1, XP_010419451.1	jg743
OG0000056	XP_010430223.1, XP_010418172.1, XP_010473414.1	jg747
OG0000056	XP_019082750.1, XP_010430231.1, XP_010473416.1	jg745
OG0000056	XP_010418173.1, XP_010430224.1, XP_010473415.1	jg746
OG0000056	XP_010426146.1, XP_010503309.1, XP_019084785.1, XP_010515018.1	jg14491
OG0000058	XP_019086887.1, XP_010493433.1	jg16618
OG0000058	XP_010484891.1	jg6976, jg13931, jg17384, jg1485, jg16419, jg27812, jg17098, jg11852
OG0000058	XP_010513622.1	jg11724, jg1567
OG0000058	XP_010507131.1	jg17522
OG0000058	XP_019084347.1, XP_019082584.1, XP_019093348.1	jg31083, jg21000
OG0000059	XP_010451490.1, XP_010506938.1	jg31675, jg32414
OG0000059	XP_019082768.1, XP_010424297.1, XP_010492076.1, XP_010480864.1, XP_010480807.1, XP_010421928.1, XP_019086245.1, XP_010454794.1, XP_010474415.1, XP_019093613.1, XP_019087039.1, XP_010445534.1, XP_019093612.1, XP_010483128.1, XP_010495455.1, XP_010467664.1, XP_019094598.1, XP_010513527.1, XP_010513525.1, XP_010436683.1, XP_010501879.1, XP_010444952.1	jg1077, jg4817, jg25268, jg5943, jg32839, jg11480, jg33384, jg28178
OG0000059	XP_010424196.1, XP_019102427.1, XP_010456828.1, XP_010424751.1	jg27640, jg13837
OG0000061	XP_010434141.1, XP_010481076.1, XP_010495296.1, XP_010448996.1, XP_010451304.1	jg1961
OG0000061	XP_010448995.1, XP_010497387.1, XP_019101969.1, XP_019083787.1	jg32841, jg32864, jg32857, jg32551
OG0000061	XP_019100817.1, XP_010491240.1	jg18012
OG0000061	XP_010414309.1	jg18016, jg18020
OG0000061	XP_010510427.1	jg18005
OG0000061	XP_010430593.1	jg375, jg20934
OG0000061	XP_010441286.1, XP_010436072.1	jg12023
OG0000062	XP_010430727.1	jg32622
OG0000062	XP_010430776.1, XP_010497024.1	jg13871
OG0000062	XP_019085507.1	jg7029
OG0000065	XP_010415232.1	jg2189
OG0000065	XP_010470591.2, XP_019100937.1, XP_010415241.1, XP_010415242.1	jg2206
OG0000065	XP_019100936.1	jg2209, jg2212
OG0000065	XP_019083220.1	jg2195
OG0000065	XP_010470571.1, XP_010415233.1	jg2188, jg2193
OG0000065	XP_010440921.1	jg6601
OG0000065	XP_010450947.1, XP_019086129.1	jg12337
OG0000065	XP_019088287.1	jg12333, jg12335
OG0000065	XP_010441031.1, XP_019089248.1, XP_010435808.1	jg12464
OG0000066	XP_010489841.1, XP_010475747.1, XP_010484375.1, XP_010514443.1, XP_010502711.1, XP_010444536.1, XP_010425488.1, XP_010458200.1, XP_010463183.1	jg1404, jg13471, jg4871, jg4870, jg29279
OG0000066	XP_010428586.1, XP_010466628.1, XP_010447175.1, XP_010488359.1, XP_010471674.1, XP_010480248.1	jg3219, jg3220
OG0000066	XP_010419651.1, XP_010491788.1, XP_010431986.1, XP_010453132.1, XP_010437129.1, XP_010431988.1	jg4927
OG0000066	XP_010477215.1, XP_019091470.1	jg30515
OG0000067	XP_010462847.1, XP_010501825.1	jg20815, jg24929, jg28031, jg1126, jg17679
OG0000067	XP_010468532.1, XP_019085178.1, XP_010445366.1	jg14038
OG0000067	XP_010507263.1	jg6462, jg31439, jg5264
OG0000067	XP_010462653.1, XP_010495193.1, XP_010424660.1, XP_010474442.1, XP_010506977.1	jg14037
OG0000068	XP_010423843.1, XP_019090686.1, XP_010423328.1, XP_010423367.1, XP_010452589.1, XP_019097301.1	jg4186
OG0000068	XP_010490972.1, XP_010424780.1, XP_010452237.1, XP_019084545.1, XP_019097292.1	jg4261, jg4260
OG0000068	XP_010485475.1, XP_010463635.1	jg32039, jg24042, jg24037, jg24035
OG0000068	XP_010441868.1	jg22052, jg22033, jg22034
OG0000068	XP_010423706.1, XP_010490829.1	jg4088
OG0000068	XP_010423608.1, XP_010490827.1	jg4089
OG0000068	XP_019092519.1	jg30520
OG0000068	XP_019084672.1, XP_010491460.1	jg4679
OG0000069	XP_010457739.1, XP_010485812.1, XP_010475324.1	jg16351
OG0000069	XP_019094910.1, XP_010457094.2	jg28492
OG0000069	XP_010507199.1, XP_019101860.1	jg14067
OG0000069	XP_019102373.1	jg26489
OG0000069	XP_010502444.1	jg13227
OG0000069	XP_010474878.2	jg16809
OG0000070	XP_010458359.1, XP_010475885.1, XP_010490823.1	jg29403
OG0000070	XP_010425101.1, XP_010502325.1, XP_010514084.1, XP_010425103.1, XP_010506934.1, XP_010502326.1, XP_010514085.1	jg28225, jg28226, jg13116, jg13115
OG0000070	XP_010459699.1, XP_010477249.1, XP_010448526.1, XP_010438976.1, XP_010433736.1	jg16631, jg30544, jg4483
OG0000070	XP_010494151.1	jg21183
OG0000070	XP_010413610.1, XP_019093586.1, XP_010512295.1	jg16054
OG0000070	XP_010450797.1, XP_010441003.1, XP_010435879.1, XP_010441072.1, XP_010437611.1, XP_010432410.1, XP_010447075.1, XP_010447073.1	jg8905
OG0000072	XP_019086564.1	jg6475, jg20956
OG0000072	XP_010446292.1	jg7100, jg12084, jg27349, jg7332, jg11849
OG0000073	XP_019089848.1, XP_010456900.1	jg13268
OG0000073	XP_019095488.1, XP_010424522.1	jg7033
OG0000073	XP_019087245.1	jg30444
OG0000074	XP_010413036.1	jg16959
OG0000075	XP_010431928.1, XP_010446504.1	jg8424, jg8422
OG0000075	XP_010446508.1, XP_019087113.1, XP_010431932.1	jg26472, jg32685, jg32682, jg32692, jg8427
OG0000075	XP_010437077.1, XP_019086095.1, XP_010446510.1	jg8428
OG0000075	XP_010437076.1, XP_010446506.1, XP_019088991.1	jg8425, jg7662, jg7663
OG0000075	XP_019086927.1	jg8426
OG0000075	XP_010471669.1, XP_010442351.1, XP_010439941.1, XP_010482185.1	jg21500
OG0000075	XP_019088263.1, XP_010471717.1, XP_010439953.1	jg21501
OG0000075	XP_019100856.1	jg1000, jg934
OG0000076	XP_019086777.1, XP_019088762.1, XP_010446406.1	jg8362
OG0000076	XP_010413809.1, XP_019093848.1	jg18482
OG0000077	XP_010445847.1, XP_010494541.1, XP_010431250.1	jg20644
OG0000077	XP_019101057.1	jg1247
OG0000077	XP_019099582.1, XP_010430699.1, XP_010518589.1	jg13131
OG0000077	XP_010514095.1, XP_019099908.1	jg13128
OG0000078	XP_010485744.1, XP_010463847.1, XP_010514943.1	jg24239
OG0000078	XP_019092533.1, XP_010485741.1	jg24236
OG0000078	XP_010514843.1, XP_010485743.1, XP_010463846.1	jg24237
OG0000078	XP_019083866.1, XP_019097998.1	jg5644, jg5634
OG0000078	XP_010492794.1, XP_010492795.1	jg5640
OG0000078	XP_019090250.1, XP_019090249.1, XP_019083862.1, XP_019097999.1	jg5641
OG0000078	XP_019098000.1	jg5643
OG0000078	XP_019098087.1	jg5639
OG0000079	XP_010512845.1, XP_010415622.1, XP_019095296.1, XP_019090335.1, XP_019091163.1, XP_019082564.1, XP_019087463.1, XP_019093257.1, XP_010512724.1, XP_019100739.1, XP_019085561.1, XP_019099825.1, XP_019082800.1, XP_010455272.1, XP_010441029.1, XP_019092609.1, XP_010494915.2, XP_010495453.2, XP_010511426.1, XP_010494414.1	jg7377
OG0000080	XP_010456792.1, XP_010481168.1	jg6819
OG0000080	XP_019097426.1, XP_010424316.1, XP_010495798.1, XP_010436889.1, XP_010451634.1	jg32205
OG0000080	XP_010445813.1, XP_010419363.1, XP_010467673.1, XP_019096217.1, XP_019097482.1	jg21120
OG0000081	XP_010462790.1, XP_010480815.1, XP_019089329.1, XP_010456870.1, XP_010436473.1	jg20814
OG0000081	XP_019092479.1, XP_019096239.1, XP_019091169.1, XP_019095788.1, XP_010501907.1, XP_019087541.1, XP_019091550.1	jg32127
OG0000081	XP_019099635.1, XP_019086243.1, XP_019095567.1, XP_010495603.1, XP_019101952.1, XP_010436697.1, XP_019097457.1, XP_010474285.1, XP_010436886.1, XP_010474078.1, XP_019092366.1, XP_019086241.1	jg1799
OG0000081	XP_019082651.1, XP_019085368.1, XP_019086362.1, XP_010424661.1, XP_019091072.1, XP_019084275.1, XP_019096344.1, XP_019096335.1, XP_019082519.1, XP_019098295.1, XP_019099672.1, XP_019082727.1	jg5265, jg31440, jg25892, jg12998, jg14036, jg6463
OG0000086	XP_010444133.1, XP_010485290.1, XP_019095679.1, XP_019086987.1, XP_010459144.1	jg23234
OG0000086	XP_010436165.1, XP_019086484.1	jg12259
OG0000086	XP_019087535.1, XP_010447989.1, XP_019086368.1	jg12273, jg12262
OG0000086	XP_010451724.1, XP_010445575.1	jg12260
OG0000086	XP_010435701.1	jg12270
OG0000086	XP_019097446.1	jg12266, jg12277
OG0000086	XP_010445581.1, XP_010451914.1	jg12281
OG0000086	XP_010513640.1, XP_010470534.1	jg2126
OG0000086	XP_019100921.1	jg2127
OG0000086	XP_019093553.1	jg2128
OG0000086	XP_010511492.1, XP_010415205.1, XP_010496730.1	jg2129
OG0000089	XP_010421190.1, XP_010454670.1	jg6235
OG0000089	NP_001289924.1, XP_010444122.1, XP_010515012.1	jg23223
OG0000089	XP_010469941.1, XP_010414372.1, XP_010510475.1	jg17972
OG0000089	XP_010419814.1, XP_010491982.1, XP_010453291.1	jg5068
OG0000089	XP_010494444.1	jg20749
OG0000089	XP_010434259.1, XP_010439552.1, XP_010449142.1	jg10485
OG0000089	XP_010509706.1	jg18593
OG0000089	XP_010459680.1, XP_010498429.1, XP_010477226.1	jg30528
OG0000089	XP_010416482.1, XP_010471708.1	jg3235
OG0000090	XP_019085398.1, XP_010480749.1	jg20882, jg6910
OG0000091	XP_010503325.1, XP_010426163.1	jg14507
OG0000091	XP_010426203.1, XP_010503360.1	jg14545, jg14558
OG0000091	XP_019085904.1, XP_019102250.1, XP_019100157.1, XP_010511816.1	jg14230, jg14231
OG0000091	XP_010454350.1, XP_010493153.1, XP_010493149.1, XP_010420883.1	jg5910
OG0000091	XP_010441974.1, XP_010482344.1	jg21695
OG0000092	XP_019097706.1	jg1807
