Orthogroup	Camelina_sativa	Cochlearia_excelsa
OG0000005	XP_010445703.1, XP_010497063.1	g25223, g41973
OG0000005	XP_010490329.1	g36376, g3918, g46047, g53689
OG0000005	XP_010445304.1	g4552, g14576
OG0000005	XP_010484739.1	g41900, g41972
OG0000005	XP_010501919.1	g18936, g17827
OG0000005	XP_010419138.1	g50217
OG0000005	XP_010412462.1, XP_010451773.2	g21883
OG0000005	XP_019082606.1, XP_019086332.1	g22475, g21100, g15220
OG0000005	XP_010485073.1	g15073
OG0000005	XP_019082698.1	g15274, g3525
OG0000005	XP_019086296.1, XP_010468621.1	g20095, g15381
OG0000005	XP_019098316.1, XP_019094600.1, XP_019097484.1, XP_019086811.1, XP_019091104.1, XP_019089272.1, XP_019085539.1	g8684, g42471, g30075, g8186
OG0000005	XP_019089029.1	g34553, g33523, g19890, g30141
OG0000005	XP_010445897.1	g35853
OG0000005	XP_010484749.1	g34379, g25150
OG0000005	XP_010470568.1	g33923, g37457, g8422, g20735
OG0000005	XP_010412456.1	g51377, g36656, g52100, g46847, g12379, g32106
OG0000007	XP_010431016.1, XP_010431602.1, XP_010495651.1	g4635
OG0000007	XP_010456919.1, XP_019096427.1	g40547, g4032, g24749, g15595
OG0000007	XP_010451880.1	g1504, g5172, g25855
OG0000007	XP_010485281.1	g9677
OG0000007	XP_010421049.1	g32471
OG0000007	XP_010468811.1	g52712
OG0000007	XP_010489639.1	g40546, g42738
OG0000007	XP_019099816.1, XP_010463256.1	g47006, g45886, g50470
OG0000007	XP_010436672.1, XP_010478058.1, XP_010507227.1	g48115, g32111, g42023
OG0000007	XP_010485068.1	g24823, g23855
OG0000008	XP_010451669.1	g36794
OG0000008	XP_010484914.2	g49591
OG0000008	XP_019085413.1	g5353, g35020, g27856, g27175, g1942
OG0000008	XP_010489748.1, XP_010445056.1, XP_010481083.1, XP_010480985.1, XP_010474114.1, XP_010484992.1, XP_010424520.1, XP_010419764.1, XP_010481160.1, XP_010463507.1	g15060, g7761, g14796, g33453, g33467
OG0000008	XP_010451903.1, XP_019085491.1	g25872
OG0000008	XP_019100927.1, XP_010480868.1, XP_010497028.1, XP_010445013.1, XP_010507052.1, XP_010490195.1, XP_019089099.1, XP_010497042.1, XP_010419054.1, XP_019093233.1, XP_010490230.2, XP_010468775.1, XP_019095563.1, XP_010419092.1	g26783
OG0000008	XP_010462780.1	g29630, g27680, g4391, g43762, g33124
OG0000008	XP_010468434.1, XP_019086304.1, XP_010496023.1, XP_010484923.1, XP_010474067.1, XP_019094615.1, XP_010484960.1, XP_010473823.2, XP_010506903.1	g36094, g12608, g25554, g19408
OG0000008	XP_010451894.1	g27995
OG0000008	XP_010423670.1, XP_010507012.1	g37068, g26784, g43729
OG0000008	XP_019087817.1, XP_010495527.1	g4483
OG0000008	XP_019085490.1, XP_010451904.1	g25873
OG0000008	XP_010456996.1	g4392
OG0000008	XP_019102002.1, XP_010468441.1, XP_010451612.1, XP_010456943.1, XP_010424377.2	g11343
OG0000008	XP_019087202.1	g33123
OG0000008	XP_019097389.1, XP_019092334.1, XP_010480870.1, XP_019084336.1	g39484, g13991
OG0000009	XP_019101780.1, XP_010446224.1, XP_010424733.1	g1267, g50707, g54239, g22012, g2983, g47996, g6090, g43671, g9847, g53582
OG0000009	XP_019097316.1	g42166, g38135, g4, g54233, g32288, g9848, g3832, g54192, g31394, g30358, g44061, g36068, g44251
OG0000009	XP_010424774.1, XP_019085342.1	g10580, g39986, g32058
OG0000009	XP_010463404.1, XP_019097511.1, XP_010419203.2, XP_019096054.1, XP_010419407.1	g43567
OG0000009	XP_010474388.1, XP_010445324.1, XP_010418625.1, XP_010419080.1, XP_010506918.1, XP_019092367.1, XP_010412434.1, XP_019082570.1, XP_019093323.1, XP_010490288.1, XP_010473858.1, XP_019091186.1, XP_010512831.1, XP_010436807.1, XP_010423650.1, XP_010457037.1, XP_019086349.1, XP_019096504.1, XP_019092384.1, XP_010485041.1, XP_010436406.1, XP_010468814.1, XP_010495742.1, XP_010431090.1, XP_010468349.1	g11275, g53238, g41488, g4401, g4394, g44957
OG0000009	XP_019089031.1	g23979, g28647, g29131, g1512
OG0000011	XP_010506471.1, XP_010420141.1, XP_010423040.1, XP_019095544.1, XP_010481212.1, XP_010507282.1, XP_010415695.1	g41576
OG0000011	XP_019087271.1	g24216, g17795
OG0000011	XP_010436576.1	g16517, g46209, g52302, g50725, g9756, g40322, g40680, g46208, g46628, g28265, g45606, g286, g36844, g27603
OG0000011	XP_010453170.1, XP_010497231.1	g450, g26627, g32634
OG0000011	XP_019086294.1, XP_019087453.1, XP_010471647.1	g24975
OG0000011	XP_010485259.1, XP_010412777.1	g2713, g18942
OG0000012	XP_010420789.1	g24724
OG0000014	XP_019097536.1	g3040, g14220, g34324, g32793, g24981, g53174
OG0000014	XP_010470900.1	g45670
OG0000014	XP_019096531.1, XP_019095899.1, XP_010496850.1, XP_010507594.1	g2094
OG0000014	XP_019089243.1, XP_019085515.1, XP_019089188.1, XP_019085407.1	g30067
OG0000014	XP_019084314.1	g16305, g42652
OG0000014	XP_019090131.1	g18001, g43148, g43743
OG0000014	XP_019086291.1	g48054
OG0000014	XP_019098328.1, XP_019098389.1, XP_019096593.1, XP_019098329.1	g19840
OG0000015	XP_010445386.1	g36777, g35814, g10206, g17194, g42100
OG0000015	XP_010424225.1, XP_010418799.1, XP_010507136.1, XP_019084362.1, XP_010430636.1, XP_019092477.1, XP_010470588.1, XP_010513588.1, XP_010495514.1, XP_010497078.1, XP_010418845.1, XP_010484947.1	g16594, g16764, g25817, g36021, g36346
OG0000015	XP_010412881.1, XP_010463160.1	g35685, g35700, g28764, g6769, g3173, g23222, g16378
OG0000015	XP_010507453.1	g25292, g34684, g35217, g7329, g39702
OG0000015	XP_019098184.1, XP_010412474.1	g36461, g634, g23355
OG0000015	XP_010480818.1, XP_010497195.1, XP_010456599.1	g42908, g43716, g41967, g26998, g24843, g14643, g12672, g5446, g48095, g26670
OG0000015	XP_010420917.1, XP_019089071.1, XP_010462823.1, XP_019101915.1, XP_010490066.1, XP_010472228.1, XP_010490468.1, XP_010445504.1, XP_010481162.1	g53567
OG0000015	XP_010418862.1, XP_019084456.1, XP_019090265.1, XP_010497072.1, XP_010501828.1, XP_010496259.1	g31975, g2748, g23354, g15603
OG0000015	XP_010427798.1	g53814, g952, g32985, g12170, g24863, g14880
OG0000015	XP_010450099.1	g26256, g5557, g43592, g35813, g36776
OG0000015	XP_010445653.1	g47632
OG0000015	XP_019101582.1, XP_010517126.1	g43089
OG0000015	XP_010488852.1	g38797
OG0000015	XP_010474544.1	g43580, g47633, g11559, g47481, g16302
OG0000015	XP_010484774.1	g12631
OG0000016	XP_019097501.1	g26414, g33049, g43980, g16018, g33075, g33082, g6383, g33103, g41983, g4182, g14664
OG0000016	XP_010424453.1	g33102
OG0000016	XP_019096474.1	g26416, g24990
OG0000016	XP_019097363.1, XP_019085865.1, XP_010469984.1, XP_010513482.1, XP_010468558.1, XP_010474070.1, XP_010513601.1, XP_019085545.1, XP_010497062.1, XP_010507110.1, XP_010451811.1, XP_019091133.1, XP_010463173.1, XP_019085455.1, XP_010495970.1, XP_019082522.1, XP_010451699.1, XP_010456761.1, XP_010430902.1, XP_019092388.1	g34721, g20468, g34715, g30435
OG0000016	XP_019084262.1	g15856, g15924, g26036
OG0000016	XP_019097509.1, XP_010424427.1, XP_010445609.1, XP_010445482.1	g14663
OG0000016	XP_010484717.1	g43402, g14661, g3657
OG0000017	XP_010440487.1	g15800, g11839, g2876, g12540, g36242, g9174, g52595, g41878, g35110, g48194, g42689, g42347, g53204, g20863, g4155, g20849, g4455, g34790, g48690, g3109, g44393, g8743, g34287, g35003, g15049, g14874, g48862, g5522, g20924, g41613, g41916, g25740, g52747, g4063, g49054, g21139, g42870, g25755, g16360, g34364, g15503, g35762, g30532, g3491, g21449, g2849, g29899, g3598, g25204, g33171, g35392, g46522, g14395, g21383, g32786, g9618, g33920, g39065, g2950, g20855, g33109, g32944, g32778, g32771, g48374, g15588, g9141, g14959, g26354, g33306, g35165, g34724, g42386, g30070, g52442, g3667, g14699, g24854, g26315, g38901, g27843, g47571, g33276, g33244, g3286, g28777, g52516, g33697, g41874, g11205, g2208, g53605, g42881, g41307, g8570, g38796, g30485, g3300, g30526, g25714, g9054, g15981, g14768, g51747, g8816, g54407, g45122, g34733, g15636, g33430, g53244, g35268, g24479, g25277, g8530, g24915, g44528, g48863, g22159, g43815, g15892, g4587, g37887, g3898, g53022, g25954, g25295, g4545, g52924, g9294, g34838, g52708, g34286, g8523, g43543, g38830, g20860, g16257, g48685, g53187, g43293, g33534, g33487, g21482, g21478, g33539, g16163, g15656, g53032, g35594, g33067, g33079, g33072, g7961, g21146, g38615, g52359, g34458, g35414, g26114, g34328, g25211, g43861, g33446, g36555, g26733, g41486, g16726, g21428, g30523, g30511, g21473, g1442, g30395, g34205, g16979, g32941, g32947, g15757, g33698, g8586, g3353, g53048, g50777, g33606, g33094, g1288, g4317, g9055, g25205, g2204, g48256, g26455, g26341, g47309, g26412, g49144, g15619, g26353, g42001, g17672, g16211, g26604, g26146, g35597, g41682, g22503, g11697, g16361, g4450, g14941, g49058, g15841, g20850, g33543, g33491, g43544, g52320, g38825, g19803, g8525, g3272, g11583, g26012, g53076, g20925, g25811, g35599, g33201, g46523, g8249, g15507, g48894, g6562, g30520, g21898, g15920, g34453, g8997, g25315, g4772, g53671, g53831, g26391, g42472, g42465, g37773, g25267, g37886, g26326, g21944, g26376, g25754, g53672, g48548, g53023, g42869, g36556, g2832, g20871, g20359, g2816, g42657, g4156, g8948, g16241, g35598, g26605, g41681, g30039, g33088, g22162, g15504, g34206, g53001, g43209, g43621, g26426, g1537, g20923, g22284, g48698, g15559, g5413, g44529, g48550, g20857, g38827, g42737, g8996, g33066, g19974, g48555, g16222, g29900, g3425, g38673, g48686, g14715, g35630, g35753, g35767, g21951, g3421, g3599, g8662, g21890, g11840, g6641, g3619, g34345, g42666, g42525, g3608, g43265, g42150, g4549, g43526, g22581, g42495, g35406, g35604, g8669, g52721, g25994, g35766, g16212, g3420, g8663, g35513, g15585, g43171, g22554, g42197, g22504, g35418, g35417, g20864, g8655, g22619, g42169, g30197, g35272, g16121, g16358, g33818, g15928, g25328, g8657, g48065, g48699, g34559, g42521, g15515, g21522, g14330, g41871, g30074, g30230, g9198, g8467, g52687, g38567, g42728, g15657, g52634, g35563, g35631, g7966, g17339, g41717, g34844, g22375, g2739, g6056, g20360, g48848, g34712, g35269, g33781, g22160, g8524, g12539, g52013, g42143, g15799, g22283, g37266, g16980, g1536, g49252, g8897, g43170, g41856, g21145, g16725, g45121, g33509, g53236, g52593, g43395, g15265, g42195, g8858, g22556, g15850, g16198, g15873, g15891
OG0000018	XP_010462935.1, XP_010474081.1	g35494, g53447, g42604
OG0000018	XP_010506881.1	g15742, g16751, g34866, g35060, g48247, g27553, g3558, g48244, g34442, g30195, g42250, g52934, g48669, g26576, g4468, g22464, g30032, g30047, g52647, g6407, g26316, g53069, g8943, g53755, g49089, g19964, g3536, g26493, g26492, g3678, g26578, g43385
OG0000018	XP_010461832.1	g22151, g4429, g25015, g53118, g3760, g25775, g17839
OG0000020	XP_019084343.1	g32689, g14805
OG0000020	XP_010513440.1, XP_019085424.1, XP_019094593.1, XP_019085440.1, XP_010495727.1, XP_019085626.1, XP_019101996.1, XP_019086627.1	g33390, g4583, g39315, g14557, g17020, g24610, g21115, g9914, g35675, g23910, g6802, g46328, g31759, g51013, g17279, g1555, g19143, g35267, g34284, g46224, g6170, g31341, g4158, g25001, g4232, g46949, g53154, g2974, g49408, g25430, g25192, g31804, g43284, g49587, g36899, g2975, g3672, g27829, g32994, g1556, g34853, g4345, g51012, g19142, g14558, g53153, g29187, g49407, g42003, g43352, g14036, g52007, g15607, g14750, g7898, g33120, g4343, g3057, g52970, g51052, g47797, g32655, g44074, g50650, g43479, g2953, g41998, g23595, g2979, g33121, g41997, g6214, g3359, g14581
OG0000020	XP_010499860.1, XP_019084688.1, XP_019086950.1, XP_019092339.1, XP_019090999.1	g34543
OG0000020	XP_019082585.1	g48346, g48867, g3669, g4186, g8266, g4346, g43594, g39831, g18079, g34285, g41999, g23596, g2978, g27048, g42255, g42252, g11710, g15029, g14580
OG0000020	XP_010511936.1	g41994
OG0000021	XP_010518556.1, XP_010456610.1, XP_010446058.1, XP_010451363.1, XP_010431070.1, XP_019091017.1, XP_010445717.1, XP_010474695.1, XP_010507197.1, XP_010484803.1, XP_010456729.1	g43760, g4386, g34956, g53077, g43442, g33130, g45148, g29629, g14568, g25751, g49590, g27681, g2213, g37069, g2331
OG0000021	XP_019091495.1, XP_010471217.1, XP_010434877.1, XP_019088976.1, XP_010482610.1, XP_010445118.1, XP_019086509.1, XP_010445483.1, XP_010451671.1, XP_019096477.1, XP_010511144.1, XP_010439761.1, XP_019089680.1	g33125, g14567, g25750
OG0000022	XP_010438694.1, XP_010448208.1, XP_010433436.1	g17118
OG0000022	XP_010453827.1, XP_019084725.1, XP_010492576.1	g5030
OG0000022	XP_010419482.1	g40881, g40949, g40951, g40859, g40857, g6403, g40794
OG0000022	XP_019082759.1, XP_019087557.1, XP_010473491.1, XP_010418269.1, XP_010430336.1	g40889
OG0000022	XP_019082760.1, XP_019085675.1	g45205, g45149, g24844
OG0000022	XP_010474584.1, XP_019085228.1, XP_010419465.1	g40888
OG0000022	XP_010418533.1, XP_019085324.1	g40751
OG0000022	XP_010418529.1, XP_010430597.1	g40752
OG0000022	XP_010447152.1, XP_010436064.1, XP_019096254.1, XP_010504570.1, XP_010465692.1	g13269
OG0000023	XP_019090144.1	g15662, g32787
OG0000023	XP_019083197.1, XP_010506933.1	g14801, g15067
OG0000023	XP_010422813.1	g42216
OG0000023	XP_010431119.1, XP_010425465.1, XP_010490322.1, XP_010436664.1	g42233, g26587
OG0000023	XP_010422803.1	g42217
OG0000023	XP_019092345.1, XP_010490056.1, XP_010495372.1, XP_010512916.1	g53561, g9298
OG0000023	XP_010495590.1	g15121
OG0000023	XP_010474311.1	g15066, g14800
OG0000023	XP_010495350.1, XP_019100920.1, XP_010513512.1	g3441
OG0000023	XP_010424636.1	g6328
OG0000024	XP_019082533.1	g22601
OG0000024	XP_010431261.1, XP_010515603.1, XP_010504688.1, XP_010427639.1, XP_010427857.1, XP_010431427.1, XP_010427640.1, XP_010504689.1, XP_010427641.1, XP_019100391.1	g2269
OG0000025	XP_019083352.1, XP_010445918.1	g14578, g6312
OG0000025	XP_010438543.1, XP_010496538.1, XP_010424792.1	g17280, g46637, g25246, g50791
OG0000025	XP_010468591.1, XP_019095109.1	g4347, g33392, g34282, g46330, g15615, g19145, g14034, g6168, g23908, g35673, g4585
OG0000025	XP_010474036.1, XP_010424602.1	g14806, g32688
OG0000027	XP_019089721.1	g25723
OG0000027	XP_010445185.2	g23101
OG0000030	XP_010462901.2, XP_010462898.1, XP_010462936.2, XP_010462910.2, XP_010477981.2, XP_019091238.1, XP_010499061.1, XP_010506941.1, XP_010481243.1	g38367, g38376, g38372, g38380
OG0000030	XP_019099946.1, XP_019099931.1, XP_010431180.1	g13799, g13797
OG0000030	XP_019096352.1	g13193, g13194
OG0000030	XP_010480422.1, XP_010419250.2, XP_010501558.2, XP_010412587.1, XP_019096260.1, XP_019096643.1	g44631
OG0000031	XP_019092186.1, XP_019097493.1, XP_010444656.1, XP_010424185.1, XP_010513198.1, XP_010421785.1	g39351, g7244, g17718, g41293
OG0000032	XP_010419309.1	g8719, g35299
OG0000032	XP_010446026.1	g29531
OG0000032	XP_010457003.2, XP_010412532.1, XP_010451598.1, XP_010494552.1	g25263, g35283, g34310
OG0000032	XP_010445680.1, XP_010473999.1, XP_010425095.1	g15953, g5354
OG0000032	XP_010484862.1, XP_010436751.1, XP_010497251.1, XP_010412531.1, XP_019097480.1, XP_010484906.1, XP_010473639.1, XP_010446027.1, XP_010418918.1, XP_010436558.1, XP_010421223.1, XP_010497271.1	g4129, g3254, g35284
OG0000034	XP_010433941.1, XP_010439209.1, XP_010448753.1	g23911
OG0000034	XP_019086474.1, XP_019089519.1, XP_010434185.1, XP_019088150.1, XP_019089518.1	g24014
OG0000034	XP_019085069.1, XP_019088752.1, XP_019084421.1, XP_010456187.1, XP_010467326.1	g50699
OG0000036	XP_019082497.1	g54128, g24109, g4103, g22579, g8579, g30480, g20846, g33290, g33253, g25308, g32832, g53230, g35113, g20845, g32828, g3518, g10962, g23261, g30474, g34226, g22545, g42388, g53094, g53667, g43025, g15493, g26494, g52468, g30175, g4601, g21499, g20704, g36781, g3789, g43272, g52632, g30035, g14982, g35819, g43735, g25768, g37998, g8470, g48265, g16429, g21124, g19889, g21848, g43096, g14799, g15775, g33195, g52331, g8571, g15508, g51041, g8557, g40028, g36925, g16880, g22186, g21447, g39194, g16046, g20639, g33192, g44883, g26279, g42486, g22322, g15579, g20568, g9184, g53403, g30370, g48086, g30042, g36305, g16721, g34235, g34240, g30365, g21386, g48199, g4453, g38610, g42983, g32805, g23934, g44461, g42451, g48833, g42011, g3481, g14595, g40873, g4722, g19432, g26148, g35495, g26444, g48197, g43275, g52414, g35408, g30006, g3590, g52630, g24606, g8537, g15797, g15471, g33826, g5036, g9019, g52454, g49241, g34829, g21441, g3781, g48817, g8596, g3594, g9041, g22566, g22571, g48063, g39212, g41988, g48890, g42991, g43566, g20895, g20282, g15739, g25183, g53205, g49049, g26398, g53256, g53454, g44995, g47596, g32764, g52871, g9211, g13928, g35134, g34889, g53147, g21534, g30502, g42837, g42850, g42879, g54401, g54408, g8791, g8796, g52453, g3593, g52629, g32829, g15494, g38627, g33772
OG0000037	XP_010490399.1, XP_010496968.1	g42748, g17441, g28209, g51004, g41625, g3475, g46296, g32570, g32923, g29248, g13034, g49048, g27900, g53507, g53251, g53372, g53825, g40616, g44163, g23370, g6963, g16462, g53870, g24200, g24965, g16461, g51001, g39411, g13540, g43596, g19402, g36948, g4291, g43017, g48252, g20821, g53826, g52824, g3307, g35301, g29249, g17252, g53371, g26776, g25798, g25230, g52392, g43515, g52377, g23942, g15985, g41626, g3123, g26177, g10877, g13033, g52376, g22173, g43506, g52701, g43016, g46996, g4541, g53470, g18760, g32511, g33283, g24772, g32718, g14955, g53292, g3626, g33019, g43485, g22373, g32752, g43504, g53626, g41597, g3340, g33105, g32819, g42446, g52956, g4029, g8172, g26680, g41919, g7214, g4226, g53621, g32712, g1498, g42745, g30238, g9202, g53876, g33025, g28223, g45161, g32925, g53506, g43598, g4290, g53623, g26098, g52826, g3339, g15807, g33280, g29253, g51892, g17442, g40615, g44945, g17253, g3180, g32922, g24199, g13885, g26768, g40614, g19403, g36207, g2577, g23371, g42782, g53291, g31365, g6962, g4621, g53869, g24198, g22174, g3474, g36947, g51893, g45164, g3740, g32978, g53250, g43236, g39940, g28210, g53508, g36730, g41618, g27901, g13541, g42746, g53293, g7213, g53871, g3476, g35300, g36731, g39939, g43484, g3122, g42447, g53622, g33284, g26681, g3179, g52391, g52375, g52825, g16753, g36949, g24773, g13887, g26097, g33248, g35717, g35710, g34927, g53609, g34775, g32512, g24202, g6964, g36359, g1499, g32979, g13035, g22172, g26775, g32950, g53608, g26171, g31364, g20822, g31928, g4622, g36205, g29254, g3739, g33360, g22372, g17838, g42784, g33016, g16590, g17254, g53875, g3121, g24774, g43015, g4224, g33249, g33279, g33285, g32818, g53252, g8173, g16463, g3308, g52954, g14055, g3338, g52703, g53469, g46295, g44944, g41921, g24967, g44164, g18759, g41600, g3309, g45163, g23369, g53294, g41703, g43503, g40617, g27899, g7212, g4030, g36952, g53823, g43233, g35716, g33106, g30236, g25799, g3178, g32754, g26769, g17790, g32713, g43517, g7012, g43234, g47417, g22008, g9203, g41620, g53872, g51890, g26683, g14440, g52702, g24201, g51891, g53824, g10875, g26682, g13888, g2576, g43597, g41598, g42747
OG0000038	XP_010419217.1, XP_010419216.1	g646, g17068, g32641, g23586
OG0000038	XP_019084390.1, XP_019096545.1, XP_019091034.1, XP_019095603.1, XP_019085897.1, XP_019087357.1, XP_019095607.1, XP_019101803.1, XP_019087390.1, XP_019087389.1, XP_019101919.1	g2497
OG0000038	XP_019095590.1, XP_019093290.1, XP_019087432.1, XP_019084251.1, XP_019098425.1	g15804, g27140, g23925, g51223, g44428, g9976, g51224, g38104
OG0000038	XP_019090156.1, XP_019096519.1	g14210, g42047, g25209, g47747, g6734, g25615, g24420, g4774, g23626, g25696, g39882, g12326, g11412, g40957, g32434, g14573, g41376, g31882, g40136, g45253, g37419, g28612, g6446, g6725, g47748, g41947, g41005, g50686, g35996, g4260, g4263, g41786, g23625
OG0000038	XP_019089825.1	g41377, g32262, g25866
OG0000038	XP_019100874.1, XP_019091076.1, XP_019082567.1	g23926
OG0000038	XP_019086837.1	g16819
OG0000038	XP_019101577.1	g41305
OG0000038	XP_010513551.1	g22798, g37935
OG0000038	XP_019099760.1	g41306
OG0000038	XP_019101911.1, XP_019094528.1, XP_019099653.1	g11811, g6225
OG0000039	XP_019097465.1	g34002, g33956
OG0000039	XP_019097412.1	g21740, g33876, g20120, g34152, g33727, g33838, g34031, g38975, g39098, g38955, g38688, g33899, g33968, g21746, g49214, g9168, g8928, g33853, g21580, g21835, g33794, g34108, g48467, g9412, g21180, g20963, g29864
OG0000039	XP_019098312.1, XP_019095577.1, XP_019085510.1, XP_019089232.1, XP_019090134.1	g34128
OG0000039	XP_019094562.1, XP_019094561.1, XP_019097448.1, XP_019098351.1, XP_019098390.1, XP_019098326.1, XP_019099627.1, XP_019097476.1, XP_019100901.1, XP_019099563.1, XP_019089054.1, XP_019098388.1, XP_019098337.1, XP_019098135.1, XP_019085563.1, XP_019098366.1	g42509, g20355, g20323, g33964, g8497
OG0000039	XP_019098360.1, XP_019096026.1	g34589
OG0000039	XP_019098311.1	g9477, g21185
OG0000039	XP_019101966.1	g26485, g26483, g26490, g42473
OG0000039	XP_019082856.1	g21581, g42500, g33728, g21834, g21908, g30648, g9167, g30662, g34030, g33969, g33880, g33754
OG0000039	XP_019087510.1	g8937
