Orthogroup	Camelina_sativa	Raphanus_sativus
OG0000007	XP_010431602.1, XP_010495651.1	XP_018462223.1
OG0000007	XP_019084626.1, XP_010479585.2, XP_019086691.1, XP_019100941.1, XP_010436667.1, XP_010435400.1, XP_010496706.1	XP_018448723.1, XP_018448724.1
OG0000007	XP_010481225.1	XP_018480139.1
OG0000007	XP_010456919.1, XP_019096427.1	XP_018489358.1, XP_018462149.1, XP_018462910.1, XP_018443719.1, XP_018463971.1, XP_018453920.1, XP_018453600.1, XP_018453608.1, XP_018464726.1, XP_018465240.1, XP_018435826.1
OG0000007	XP_010485281.1	XP_018479518.1, XP_018479614.1
OG0000007	XP_010468811.1	XP_018468724.1
OG0000007	XP_019087471.1	XP_018466154.1, XP_018479922.1, XP_018482702.1
OG0000007	XP_010468495.1, XP_010445987.1, XP_010463082.1, XP_010507576.1, XP_010436436.1, XP_019091129.1, XP_019094477.1, XP_019097408.1, XP_019094446.1, XP_010480912.1	XP_018454081.1, XP_018453629.1
OG0000007	XP_010501923.1	XP_018473323.1, XP_018436427.1, XP_018478071.1, XP_018478058.1, XP_018487797.1, XP_018462285.1, XP_018460028.1, XP_018443641.1, XP_018458760.1, XP_018487899.1, XP_018487674.1, XP_018479784.1, XP_018459734.1, XP_018436126.1, XP_018461127.1, XP_018465497.1, XP_018487572.1, XP_018443685.1, XP_018474163.1, XP_018488171.1, XP_018461527.1, XP_018474045.1, XP_018487746.1
OG0000007	XP_019099816.1, XP_010463256.1	XP_018459130.1, XP_018458777.1
OG0000008	XP_010451669.1	XP_018464359.1, XP_018463808.1, XP_018464542.1, XP_018460436.1, XP_018467327.1, XP_018436091.1, XP_018459493.1, XP_018458167.1
OG0000008	XP_010418963.1, XP_010494551.1, XP_019090719.1	XP_018487720.1
OG0000008	XP_010451903.1, XP_019085491.1	XP_018462957.1
OG0000008	XP_019089099.1	XP_018454207.1
OG0000008	XP_010497042.1	XP_018462648.1
OG0000008	XP_010419054.1, XP_019093233.1, XP_010490230.2, XP_010468775.1, XP_019095563.1, XP_010419092.1	XP_018465341.1
OG0000008	XP_010456611.1, XP_010469634.1, XP_010468583.2	XP_018435390.1, XP_018435386.1, XP_018454008.1, XP_018459643.1, XP_018463424.1, XP_018487499.1, XP_018435369.1, XP_018475693.1, XP_018488090.1, XP_018458139.1, XP_018489767.1, XP_018444644.1, XP_018448882.1, XP_018448884.1, XP_018464317.1, XP_018448605.1, XP_018463041.1, XP_018455757.1, XP_018458111.1, XP_018463415.1, XP_018453388.1, XP_018479750.1, XP_018464703.1, XP_018488222.1, XP_018482699.1, XP_018473907.1, XP_018459798.1, XP_018490599.1, XP_018489331.1, XP_018469961.1, XP_018460935.1
OG0000008	XP_010423670.1, XP_010507012.1	XP_018487527.1, XP_018467072.1
OG0000008	XP_010424538.1, XP_019096484.1	XP_018467440.1, XP_018464167.1, XP_018487483.1
OG0000008	XP_019087530.1, XP_010419093.1, XP_019096488.1, XP_010419095.1	XP_018436131.1
OG0000008	XP_019085490.1, XP_010451904.1	XP_018462956.1
OG0000008	XP_010431254.1, XP_010507402.1, XP_010507400.1, XP_019101905.1, XP_010431252.2	XP_018438736.1
OG0000008	XP_019102002.1, XP_010468441.1, XP_010451612.1, XP_010456943.1, XP_010424377.2	XP_018473385.1
OG0000008	XP_010445494.1	XP_018448604.1
OG0000008	XP_019097389.1, XP_019092334.1, XP_010480870.1, XP_019084336.1	XP_018435526.1
OG0000009	XP_019101780.1, XP_010446224.1, XP_010424733.1	XP_018463485.1, XP_018435713.1
OG0000009	XP_019085473.1	XP_018458816.1
OG0000009	XP_019096542.1	XP_018473642.1
OG0000009	XP_010481118.1	XP_018435786.1, XP_018461258.1
OG0000009	XP_019097316.1	XP_018463652.1, XP_018479189.1, XP_018479190.1, XP_018436049.1, XP_018479971.1, XP_018453423.1, XP_018487838.1, XP_018479007.1, XP_018479482.1, XP_018448691.1, XP_018458174.1, XP_018474243.1, XP_018435561.1, XP_018473658.1
OG0000009	XP_019089129.1	XP_018479430.1
OG0000009	XP_010424774.1, XP_019085342.1	XP_018463676.1, XP_018474023.1
OG0000009	XP_010474388.1, XP_010445324.1, XP_010418625.1, XP_010419080.1, XP_010506918.1, XP_019092367.1, XP_010412434.1, XP_019082570.1, XP_019093323.1, XP_010490288.1, XP_010473858.1, XP_019091186.1, XP_010512831.1, XP_010436807.1, XP_010423650.1, XP_010457037.1, XP_019086349.1, XP_019096504.1, XP_019092384.1, XP_010485041.1, XP_010436406.1, XP_010468814.1, XP_010495742.1, XP_010431090.1, XP_010468349.1	XP_018467418.1, XP_018443533.1, XP_018481184.1
OG0000009	XP_019089031.1	XP_018459193.1
OG0000011	XP_010496928.1, XP_010501572.1, XP_019084218.1, XP_010497051.1, XP_010496929.1, XP_010456825.1, XP_010496981.1, XP_010480376.1, XP_010451291.1	XP_018436176.1, XP_018465398.1, XP_018435783.1
OG0000011	XP_010436576.1	XP_018463028.1, XP_018463180.1, XP_018448497.1, XP_018479701.1, XP_018482968.1
OG0000011	XP_010451589.1, XP_019094549.1, XP_010496057.1, XP_010495781.2, XP_010501777.1	XP_018450169.1
OG0000011	XP_019082656.1, XP_010424386.1, XP_010463179.1	XP_018448270.1, XP_018448446.1
OG0000011	XP_010453170.1, XP_010497231.1	XP_018444097.1
OG0000011	XP_019086294.1, XP_019087453.1, XP_010471647.1	XP_018448643.1, XP_018436024.1
OG0000014	XP_019090131.1, XP_010495824.1, XP_019100932.1	XP_018461000.1
OG0000014	XP_019087584.1	XP_018458906.1
OG0000015	XP_010412881.1, XP_010463160.1	XP_018435929.1
OG0000015	XP_010507453.1	XP_018475313.1
OG0000015	XP_010445653.1, XP_019101582.1, XP_010517126.1, XP_010488852.1	XP_018459146.1
OG0000016	XP_019097468.1, XP_019089192.1	XP_018466545.1, XP_018464905.1, XP_018465409.1, XP_018443351.1
OG0000016	XP_010424453.1	XP_018467500.1
OG0000016	XP_019096116.1, XP_019092317.1	XP_018463982.1
OG0000016	XP_019101859.1, XP_010412662.1, XP_010412664.1, XP_010462765.1, XP_010496096.1, XP_019089253.1, XP_019092323.1, XP_019097462.1, XP_019089247.1	XP_018459313.1
OG0000016	XP_010463195.1	XP_018473920.1, XP_018473934.1, XP_018487853.1
OG0000018	XP_010461832.1	XP_018458644.1, XP_018474819.1
OG0000020	XP_019084343.1	XP_018487868.1, XP_018435883.1, XP_018466125.1, XP_018461261.1, XP_018467394.1, XP_018463332.1, XP_018458674.1, XP_018479532.1, XP_018459067.1, XP_018471648.1, XP_018473772.1, XP_018476168.1, XP_018461992.1, XP_018435266.1, XP_018436016.1, XP_018439110.1
OG0000020	XP_010513440.1, XP_019085424.1, XP_019094593.1, XP_019085440.1, XP_010495727.1, XP_019085626.1, XP_019101996.1, XP_019086627.1	XP_018463663.1, XP_018481037.1, XP_018464215.1, XP_018448670.1, XP_018448669.1
OG0000020	XP_019082585.1	XP_018460984.1, XP_018460983.1, XP_018463453.1
OG0000021	XP_010513446.2, XP_019086267.1, XP_010423747.1, XP_010436809.1, XP_010424537.1, XP_010506965.1, XP_010503779.1, XP_010484789.1, XP_010431203.2, XP_019096510.1, XP_019100928.1, XP_010424409.1, XP_010425747.1, XP_019097391.1, XP_019099607.1, XP_019097512.1, XP_010426045.1, XP_010490194.1, XP_010419328.1, XP_010425255.1, XP_010425129.1, XP_010518556.1, XP_010456610.1, XP_010446058.1, XP_010451363.1, XP_010431070.1, XP_019091017.1, XP_010445717.1, XP_010474695.1, XP_010507197.1, XP_010484803.1, XP_010456729.1, XP_010484820.1, XP_010496602.2	XP_018454009.1, XP_018435368.1, XP_018462063.1, XP_018473966.1, XP_018462293.1, XP_018435614.1, XP_018469340.1, XP_018470860.1, XP_018437387.1, XP_018463883.1, XP_018443708.1, XP_018462647.1, XP_018460228.1, XP_018463561.1, XP_018444645.1, XP_018443745.1, XP_018443744.1, XP_018479594.1, XP_018486634.1, XP_018463665.1, XP_018463095.1, XP_018479103.1, XP_018435392.1
OG0000022	XP_010438694.1, XP_010448208.1, XP_010433436.1	XP_018467852.1
OG0000022	XP_010453827.1, XP_019084725.1, XP_010492576.1	XP_018446660.1
OG0000022	XP_010473491.1, XP_010418269.1, XP_010430336.1	XP_018452507.1
OG0000022	XP_019093419.1, XP_010462675.2, XP_010474584.1, XP_019085228.1, XP_010419465.1	XP_018456914.1, XP_018456330.1
OG0000022	XP_010458700.1	XP_018439379.1
OG0000022	XP_019091381.1, XP_010476184.1, XP_010476252.1, XP_019094809.1, XP_019098970.1, XP_019090986.1, XP_010458712.1, XP_010462662.1, XP_010493846.1, XP_010494656.1	XP_018490861.1, XP_018490862.1, XP_018439418.1, XP_018436026.1, XP_018438506.1, XP_018438505.1, XP_018435012.1, XP_018491224.1, XP_018491225.1, XP_018485652.1, XP_018440869.1, XP_018451491.1, XP_018438507.1, XP_018440496.1, XP_018463937.1, XP_018451058.1, XP_018448229.1
OG0000022	XP_010447152.1, XP_010436064.1	XP_018478989.1
OG0000022	XP_019096254.1, XP_010504570.1, XP_010465692.1	XP_018437843.1
OG0000023	XP_010445979.1	XP_018466303.1, XP_018473973.1, XP_018460255.1
OG0000023	XP_010425465.1, XP_010490322.1	XP_018458661.1, XP_018448717.1
OG0000023	XP_010436664.1	XP_018458592.1
OG0000023	XP_010419027.1	XP_018460988.1
OG0000023	XP_010422803.1	XP_018459711.1
OG0000023	XP_010489845.1, XP_010473334.1, XP_010412528.1, XP_019086325.1, XP_010495686.1	XP_018459712.1, XP_018466264.1
OG0000023	XP_010419111.1, XP_010484854.1, XP_010475417.1	XP_018443761.1
OG0000023	XP_010490106.1	XP_018435326.1, XP_018463391.1
OG0000023	XP_019092345.1, XP_010490056.1, XP_010495372.1, XP_010512916.1	XP_018443767.1, XP_018458912.1
OG0000023	XP_010480840.1, XP_010513121.1	XP_018453504.1
OG0000023	XP_010468561.1, XP_010463429.1	XP_018466175.1
OG0000023	XP_010451895.1	XP_018435325.1
OG0000023	XP_010418679.1, XP_010451825.1, XP_010468629.1, XP_019082669.1	XP_018459973.1, XP_018465360.1
OG0000023	XP_010490347.1, XP_010472048.1	XP_018473834.1, XP_018464886.1, XP_018479565.1
OG0000023	XP_010424636.1	XP_018480111.1
OG0000024	XP_019091876.1, XP_010501690.1, XP_010478534.1	XP_018467644.1
OG0000024	XP_010501685.1	XP_018436387.1
OG0000025	XP_019083352.1, XP_010445918.1	XP_018464148.1, XP_018488093.1, XP_018487713.1
OG0000025	XP_010438543.1, XP_010496538.1	XP_018487947.1
OG0000025	XP_010423392.1	XP_018487730.1, XP_018458793.1, XP_018460661.1, XP_018464311.1
OG0000025	XP_010474036.1, XP_010424602.1, XP_010496134.1, XP_010490452.1, XP_010474526.1, XP_010424785.1, XP_010474094.1, XP_010419434.1, XP_019084250.1, XP_010445859.1, XP_010501852.1	XP_018435935.1, XP_018448760.1, XP_018471288.1, XP_018462638.1, XP_018443466.1, XP_018487867.1, XP_018463331.1, XP_018480029.1, XP_018487802.1, XP_018476186.1, XP_018475505.1, XP_018475511.1, XP_018435267.1
OG0000025	XP_010445838.1	XP_018479341.1
OG0000027	XP_019089721.1	XP_018476504.1, XP_018476512.1, XP_018454315.1
OG0000027	XP_010439188.2, XP_010433919.1	XP_018468520.1, XP_018468522.1
OG0000027	XP_019089325.1, XP_010433927.1	XP_018451933.1, XP_018448914.1
OG0000027	XP_019086460.1	XP_018451939.1, XP_018448955.1
OG0000027	XP_019086469.1, XP_010439191.1	XP_018468502.1
OG0000027	XP_010427119.1, XP_010514748.1, XP_010503063.1	XP_018458837.1, XP_018459041.1
OG0000027	XP_010418084.1, XP_010439216.1	XP_018448923.1, XP_018448922.1
OG0000027	XP_019090217.1, XP_019084079.1	XP_018453781.1
OG0000027	XP_010422102.1	XP_018455630.1
OG0000027	XP_010451236.1	XP_018463400.1, XP_018480408.1
OG0000028	XP_010450001.1, XP_010436592.1, XP_010440401.1, XP_019087714.1, XP_010436629.2, XP_010451562.1, XP_019089771.1, XP_010446183.1, XP_019095667.1	XP_018467289.1, XP_018480012.1
OG0000028	XP_010478410.1, XP_010480737.1, XP_019094483.1, XP_019094842.1, XP_010456475.1	XP_018474154.1, XP_018475339.1
OG0000028	XP_010450245.1	XP_018474185.1, XP_018475245.1, XP_018465891.1, XP_018474187.1
OG0000028	XP_010449339.1, XP_010450257.1, XP_010450330.1, XP_010485150.2	XP_018475306.1, XP_018475278.1
OG0000028	XP_010485121.1, XP_010446111.1, XP_019086647.1, XP_010482860.1, XP_010485122.1, XP_010485123.1, XP_010443019.1	XP_018474189.1, XP_018474190.1, XP_018466632.1, XP_018466593.1, XP_018466641.1, XP_018466603.1, XP_018469501.1, XP_018466579.1, XP_018466613.1, XP_018469209.1, XP_018469254.1, XP_018440554.1, XP_018440555.1, XP_018469276.1, XP_018469113.1, XP_018466902.1, XP_018466824.1, XP_018469469.1
OG0000028	XP_010446868.1	XP_018465681.1, XP_018448362.1
OG0000028	XP_010444978.1	XP_018475375.1, XP_018475377.1
OG0000028	XP_019088142.1	XP_018455496.1, XP_018454205.1
OG0000029	XP_019085353.1, XP_019083999.1, XP_019095330.1, XP_019088516.1, XP_019092964.1, XP_019097126.1, XP_010501650.1, XP_010484850.2, XP_019097927.1, XP_019092098.1, XP_019098406.1, XP_019093987.1, XP_010431039.1	XP_018462178.1, XP_018479617.1, XP_018480098.1, XP_018453783.1, XP_018479504.1, XP_018453703.1, XP_018435876.1, XP_018478239.1, XP_018461350.1, XP_018473938.1, XP_018479503.1, XP_018453702.1, XP_018435877.1, XP_018463848.1, XP_018463679.1, XP_018479419.1, XP_018462971.1, XP_018459455.1, XP_018479546.1, XP_018443548.1, XP_018473650.1, XP_018435416.1, XP_018473647.1, XP_018436157.1, XP_018464649.1, XP_018464671.1, XP_018475894.1, XP_018478725.1, XP_018460863.1, XP_018479047.1, XP_018472293.1, XP_018448729.1, XP_018459873.1, XP_018488169.1
OG0000029	XP_010436410.1, XP_010451660.1	XP_018435280.1, XP_018435285.1, XP_018460173.1, XP_018478153.1, XP_018462845.1, XP_018462844.1, XP_018473604.1, XP_018443706.1, XP_018443735.1, XP_018480110.1, XP_018480109.1, XP_018443476.1, XP_018443474.1, XP_018448537.1, XP_018443698.1, XP_018475867.1, XP_018448453.1, XP_018433508.1, XP_018488082.1, XP_018487624.1, XP_018443715.1, XP_018464762.1, XP_018453707.1, XP_018454030.1, XP_018473621.1, XP_018466148.1, XP_018466182.1, XP_018474041.1, XP_018448515.1, XP_018436232.1
OG0000029	XP_010515282.1	XP_018463125.1, XP_018463535.1, XP_018474042.1, XP_018453813.1, XP_018460266.1, XP_018463492.1, XP_018487478.1, XP_018460550.1, XP_018464271.1, XP_018465399.1, XP_018473758.1, XP_018463556.1
OG0000029	XP_019090727.1	XP_018477751.1, XP_018453628.1, XP_018438621.1
OG0000030	XP_010424523.1, XP_010487966.1, XP_019092251.1, XP_010463131.1, XP_010481059.1	XP_018435466.1, XP_018464547.1, XP_018443694.1
OG0000030	XP_019100742.1, XP_010489955.2	XP_018481995.1, XP_018492454.1
OG0000030	XP_010462901.2, XP_010462898.1, XP_010462936.2, XP_010462910.2, XP_010477981.2, XP_019091238.1, XP_010499061.1, XP_010506941.1, XP_010481243.1	XP_018479424.1, XP_018466469.1, XP_018462013.1
OG0000030	XP_019099946.1, XP_019099931.1, XP_010431180.1	XP_018453970.1
OG0000030	XP_019096352.1	XP_018488225.1
OG0000030	XP_010412587.1	XP_018454017.1
OG0000030	XP_010419025.2, XP_010489797.1, XP_019096559.1, XP_010468083.1	XP_018435374.1, XP_018435377.1, XP_018435375.1, XP_018435378.1
OG0000030	XP_010501254.1, XP_019096650.1, XP_010465220.1, XP_019096368.1	XP_018482202.1, XP_018471303.1, XP_018481495.1, XP_018480537.1, XP_018481681.1, XP_018479916.1
OG0000031	XP_019082588.1	XP_018462035.1, XP_018463620.1, XP_018467340.1, XP_018435482.1, XP_018443707.1, XP_018487726.1
OG0000031	XP_019092186.1, XP_019097493.1	XP_018478951.1, XP_018466108.1, XP_018448402.1
OG0000031	XP_010444656.1, XP_010424185.1	XP_018479461.1, XP_018466777.1, XP_018473377.1, XP_018436087.1, XP_018453832.1, XP_018467329.1, XP_018435496.1
OG0000031	XP_010421785.1	XP_018453981.1
OG0000032	XP_010490026.1, XP_010446026.1	XP_018487719.1
OG0000032	XP_010445680.1, XP_010473999.1, XP_010425095.1	XP_018453806.1
OG0000032	XP_010484862.1	XP_018487698.1
OG0000032	XP_010412531.1	XP_018487412.1
OG0000034	XP_010433941.1, XP_010439209.1, XP_010448753.1	XP_018483350.1, XP_018468503.1
OG0000034	XP_010418085.1, XP_010439218.1, XP_010448756.1	XP_018468506.1, XP_018468517.1
OG0000034	XP_019086474.1	XP_018460842.1, XP_018460841.1
OG0000034	XP_019089519.1, XP_010434185.1	XP_018484117.1, XP_018484118.1
OG0000034	XP_019085069.1, XP_019088752.1, XP_019084421.1, XP_010456187.1	XP_018465156.1, XP_018456565.1
OG0000034	XP_010467326.1	XP_018460473.1
OG0000034	XP_010448301.1	XP_018449405.1, XP_018478765.1
OG0000034	XP_010418758.2	XP_018483529.1
OG0000034	XP_010427120.1, XP_010514747.1, XP_010503062.2	XP_018459753.1, XP_018486703.1
OG0000034	XP_010439190.1	XP_018463089.1, XP_018468501.1
OG0000034	XP_010439220.1, XP_010448755.1, XP_010433938.1	XP_018483344.1
OG0000034	XP_010433930.1, XP_019087874.1, XP_010448768.1	XP_018448921.1, XP_018448031.1
OG0000037	XP_010490399.1, XP_010496968.1	XP_018479626.1
OG0000038	XP_019087591.1	XP_018450137.1
OG0000038	XP_010495210.1, XP_010474098.1, XP_010468682.1, XP_010463087.1, XP_019087298.1	XP_018467413.1
OG0000038	XP_010507572.1, XP_010424302.1	XP_018459367.1
OG0000038	XP_019096545.1, XP_019091034.1, XP_019095603.1, XP_019085897.1	XP_018461383.1
OG0000038	XP_019093290.1, XP_019087432.1, XP_019084251.1, XP_019098425.1	XP_018460335.1
OG0000038	XP_019082574.1, XP_019100874.1, XP_019091076.1, XP_019082567.1, XP_019087515.1, XP_019093356.1, XP_019100930.1, XP_019094577.1, XP_019097481.1, XP_019101903.1, XP_019097441.1, XP_019085229.1, XP_019085226.1, XP_019099619.1, XP_019086837.1, XP_019101577.1	XP_018487887.1
OG0000038	XP_019093331.1, XP_010513551.1, XP_019099760.1, XP_019101814.1, XP_019092402.1, XP_019086449.1, XP_019087580.1, XP_019101789.1, XP_019101883.1, XP_019095636.1, XP_019095571.1, XP_019084237.1	XP_018435407.1
OG0000038	XP_019086048.1	XP_018467793.1, XP_018467795.1
OG0000039	XP_019097412.1	XP_018463371.1
OG0000039	XP_019086329.1	XP_018462025.1
OG0000040	XP_010474284.1, XP_010490455.1	XP_018467584.1
OG0000040	XP_019082992.1, XP_019084027.1, XP_019100690.1, XP_019099950.1, XP_019088174.1, XP_019094516.1, XP_019095793.1, XP_019102288.1, XP_019101895.1	XP_018460803.1, XP_018487809.1
OG0000040	XP_010490346.1, XP_010445623.1	XP_018436297.1, XP_018448764.1, XP_018454006.1
OG0000041	XP_019097475.1	XP_018457107.1, XP_018457108.1
OG0000041	XP_010466315.1	XP_018479944.1, XP_018479945.1
OG0000041	XP_019087653.1, XP_019099719.1, XP_019099720.1	XP_018464686.1
OG0000042	XP_010460219.1	XP_018467507.1
OG0000042	XP_010424457.1	XP_018459378.1
OG0000042	XP_019092230.1	XP_018459876.1
OG0000042	XP_019101232.1, XP_010468709.1	XP_018467598.1, XP_018463824.1
OG0000042	XP_019089035.1, XP_010480915.1	XP_018462833.1
OG0000042	XP_010412790.1, XP_019084298.1, XP_019091192.1, XP_010463184.1, XP_010507036.1, XP_019093234.1	XP_018436185.1, XP_018436037.1, XP_018487653.1, XP_018436040.1, XP_018475164.1
OG0000042	XP_010463124.1	XP_018435669.1
OG0000042	XP_019098840.1, XP_010412406.1	XP_018467317.1
OG0000043	XP_019086326.1, XP_019082700.1, XP_010463327.1, XP_010423930.1, XP_010424468.1, XP_010463046.1, XP_010497241.1, XP_010501876.1, XP_019099585.1, XP_010445958.1, XP_010422854.1, XP_010490075.1, XP_019098185.1, XP_010451890.1, XP_010468194.1, XP_010462654.1, XP_019087448.1, XP_010424030.1, XP_010424324.1	XP_018465687.1
OG0000043	XP_010471448.1, XP_010473926.1, XP_010445335.1, XP_019091097.1, XP_010513759.1, XP_019087314.1, XP_019094473.1, XP_010507068.1, XP_010484806.1	XP_018460645.1, XP_018474025.1, XP_018435759.1
OG0000044	XP_019089124.1	XP_018466419.1
OG0000044	XP_010441602.1, XP_010496016.1, XP_010481473.1, XP_010496021.1	XP_018440461.1, XP_018440462.1
OG0000044	XP_019095933.1	XP_018448890.1
OG0000044	XP_019096918.1	XP_018441634.1
OG0000044	XP_019086125.1	XP_018449076.1
OG0000046	XP_019091484.1	XP_018472630.1
OG0000046	XP_010461751.1, XP_010502950.1, XP_010518653.2, XP_010412583.2, XP_010474317.1, XP_010490459.2, XP_010412458.2, XP_010495393.2, XP_019094411.1, XP_010507554.1, XP_010507003.1, XP_010451886.2, XP_019086303.1, XP_019097866.1, XP_019089513.1, XP_010435128.1, XP_019096471.1, XP_019094579.1, XP_010458616.1, XP_010495787.1, XP_019087961.1, XP_010502335.1	XP_018453758.1, XP_018453757.1, XP_018473919.1, XP_018463059.1
OG0000047	XP_010462614.1, XP_010430681.1, XP_010489839.1	XP_018479492.1, XP_018458501.1
OG0000048	XP_010418688.1, XP_010473891.1, XP_010473899.1, XP_010510053.1, XP_010510047.1	XP_018479865.1, XP_018482211.1, XP_018482223.1, XP_018481628.1
OG0000048	XP_010480341.1	XP_018436807.1
OG0000048	XP_019083013.1, XP_019083016.1, XP_019093684.1, XP_019100809.1, XP_010513158.1, XP_019082540.1, XP_010414120.1, XP_019098434.1, XP_010507693.2, XP_010512904.1, XP_019101431.1	XP_018467221.1, XP_018487960.1, XP_018443410.1, XP_018444815.1, XP_018442224.1, XP_018463243.1, XP_018479860.1, XP_018463443.1, XP_018436316.1, XP_018436315.1, XP_018434883.1
OG0000048	XP_019082535.1, XP_010421893.1	XP_018482068.1, XP_018479796.1, XP_018479876.1, XP_018481878.1, XP_018484946.1, XP_018481942.1, XP_018490100.1, XP_018484944.1, XP_018465213.1, XP_018477245.1, XP_018484943.1, XP_018484945.1, XP_018484942.1, XP_018477397.1, XP_018479871.1, XP_018477265.1, XP_018483420.1, XP_018478113.1, XP_018479866.1
OG0000048	XP_010468111.1, XP_019094365.1	XP_018436322.1
OG0000048	XP_010431681.1, XP_019082751.1, XP_010431684.1, XP_010431683.1, XP_010419453.1	XP_018453414.1
OG0000049	XP_010485132.1, XP_019101779.1, XP_010490450.1	XP_018479287.1
OG0000049	XP_010451390.1	XP_018453617.1, XP_018453786.1
