Orthogroup	Camelina_sativa	Cardamine_hirsuta
OG0000046	XP_019094579.1, XP_010458616.1, XP_010495787.1, XP_019087961.1	CARHR273180, CARHR286710, CARHR217190
OG0000046	XP_010502335.1	CARHR117470
OG0000047	XP_010462614.1, XP_010430681.1, XP_010489839.1, XP_010424166.1, XP_010424066.1, XP_010445555.1, XP_010445888.1, XP_010490400.1, XP_010474460.1, XP_010513510.1, XP_010513511.1, XP_010474540.1, XP_010430682.1, XP_010468710.1	CARHR257880
OG0000048	XP_010480341.1	CARHR054750
OG0000048	XP_019087514.1	CARHR261660
OG0000048	XP_010513158.1, XP_019082540.1, XP_010414120.1, XP_019098434.1	CARHR125110
OG0000048	XP_010431681.1, XP_019082751.1, XP_010431684.1, XP_010431683.1, XP_010419453.1	CARHR126110
OG0000049	XP_019085550.1, XP_019095478.1	CARHR220930
OG0000050	XP_010495728.1, XP_019097515.1	CARHR154060
OG0000051	XP_010475218.1, XP_019098849.1, XP_019094361.1, XP_019094954.1, XP_010457379.1	CARHR002800
OG0000051	XP_010508568.1, XP_019101977.1, XP_010506074.1	CARHR137510
OG0000051	XP_010508571.1, XP_019099792.1, XP_019099930.1, XP_019102077.1, XP_010489918.2, XP_019092650.1, XP_019101975.1, XP_019101079.1	CARHR127280
OG0000051	XP_019100718.1, XP_019102056.1	CARHR137550, CARHR137540
OG0000051	XP_019100713.1, XP_019099798.1, XP_019099883.1, XP_019101012.1, XP_010413016.2, XP_010413017.1	CARHR260850
OG0000052	XP_010425425.1, XP_019100094.1	CARHR148030
OG0000052	XP_019100897.1, XP_010418932.1, XP_010418929.2	CARHR065210, CARHR065340
OG0000052	XP_010507020.2	CARHR278910, CARHR148040
OG0000052	XP_010502644.1, XP_019101817.1, XP_010425426.1, XP_010502642.1, XP_010514366.1, XP_010430778.1, XP_010440300.1, XP_019085462.1, XP_019085408.1	CARHR150860
OG0000052	XP_019099853.1, XP_010431292.1	CARHR162490
OG0000052	XP_019085576.1, XP_010431289.1, XP_019100300.1	CARHR162550
OG0000052	XP_010431290.2, XP_019082473.1, XP_019085577.1, XP_010431293.1	CARHR162560
OG0000052	XP_019085579.1	CARHR162540
OG0000052	XP_019085912.1	CARHR162510
OG0000052	XP_010515239.1, XP_010503551.1, XP_010426408.1	CARHR157840
OG0000052	XP_010418931.1	CARHR148050, CARHR278920, CARHR148010, CARHR065350
OG0000054	XP_019087483.1, XP_010419074.1, XP_019087585.1, XP_019091106.1, XP_010513461.1, XP_010474092.1, XP_019098333.1, XP_019085464.1, XP_010501846.1	CARHR218450
OG0000054	XP_019085386.1	CARHR218070, CARHR104410, CARHR182000, CARHR219040, CARHR221160, CARHR284340, CARHR057830, CARHR034710
OG0000054	XP_010468617.1, XP_019100879.1, XP_019086339.1, XP_010507141.1, XP_010496997.1, XP_010451813.1, XP_019098254.1, XP_010473115.1, XP_019089207.1, XP_019085558.1, XP_010473939.1, XP_010468547.1, XP_010451735.1	CARHR153240
OG0000054	XP_010496446.1, XP_010480724.1	CARHR105040, CARHR056220
OG0000054	XP_019089204.1	CARHR149820
OG0000054	XP_019093255.1	CARHR288230
OG0000055	XP_019092356.1	CARHR100810, CARHR107470, CARHR177430, CARHR192030
OG0000055	XP_019092293.1	CARHR100840
OG0000055	XP_019092631.1	CARHR222490, CARHR100820
OG0000055	XP_010468422.1	CARHR096180, CARHR096160
OG0000055	XP_019092636.1	CARHR092560, CARHR092720
OG0000055	XP_010456592.1	CARHR094260, CARHR107830, CARHR149830, CARHR108270
OG0000055	XP_010489359.1, XP_010515149.1	CARHR111010
OG0000055	XP_019092372.1, XP_019089014.1, XP_019092647.1, XP_010490397.2, XP_010449648.2	CARHR108730, CARHR108330, CARHR108320, CARHR107820, CARHR108260, CARHR135370
OG0000055	XP_010468236.2, XP_010489892.2	CARHR092630, CARHR092620, CARHR213520
OG0000056	XP_010473413.1, XP_019085277.1	CARHR050320
OG0000056	XP_010473426.1, XP_010430251.1	CARHR049970
OG0000056	XP_010430227.1, XP_010418186.1, XP_010473423.1, XP_010418174.1	CARHR049990, CARHR050000
OG0000056	XP_019082750.1, XP_010430231.1, XP_010473416.1	CARHR050280, CARHR049980, CARHR050290
OG0000056	XP_010418173.1, XP_010430224.1, XP_010473415.1	CARHR050160
OG0000056	XP_010426146.1, XP_010503309.1, XP_019084785.1, XP_010515018.1	CARHR155600
OG0000059	XP_010415481.1	CARHR044830
OG0000059	XP_010445837.1, XP_010495452.1	CARHR293330, CARHR148640, CARHR151940, CARHR118340
OG0000059	XP_010451490.1, XP_010506938.1	CARHR104020
OG0000059	XP_019082768.1, XP_010424297.1, XP_010492076.1, XP_010480864.1, XP_010480807.1, XP_010421928.1, XP_019086245.1, XP_010454794.1, XP_010474415.1, XP_019093613.1, XP_019087039.1, XP_010445534.1, XP_019093612.1, XP_010483128.1, XP_010495455.1, XP_010467664.1, XP_019094598.1, XP_010513527.1, XP_010513525.1, XP_010436683.1, XP_010501879.1, XP_010444952.1, XP_010419243.1, XP_010445432.1, XP_010451388.1, XP_010451387.1, XP_010480860.1, XP_010418226.1, XP_010507751.1, XP_010418870.1, XP_010424397.1, XP_010485261.1, XP_010507491.1, XP_010501675.1, XP_010436657.1, XP_010474557.1, XP_010412778.1, XP_010501678.1, XP_010457038.1	CARHR286550, CARHR102470, CARHR152130
OG0000060	XP_010414487.1, XP_010414486.1	CARHR273610
OG0000061	XP_010479194.1, XP_019090915.1, XP_010479193.1, XP_010479197.1, XP_010479195.1, XP_010479119.1	CARHR228580
OG0000061	XP_010434141.1, XP_010481076.1, XP_010495296.1, XP_010448996.1, XP_010451304.1	CARHR270010
OG0000061	XP_019101969.1, XP_019083787.1	CARHR039590
OG0000061	XP_010436712.1	CARHR215660
OG0000061	XP_010480591.2, XP_019100817.1, XP_010491240.1	CARHR123140
OG0000061	XP_010510427.1	CARHR123070, CARHR123150
OG0000061	XP_010430593.1, XP_010441286.1, XP_010436072.1	CARHR151510, CARHR219570
OG0000065	XP_010470574.1	CARHR059260, CARHR059160
OG0000065	XP_010470573.1, XP_010511598.1, XP_019083199.1, XP_019100931.1	CARHR059130, CARHR059070, CARHR059140
OG0000065	XP_019100936.1, XP_019083220.1	CARHR059270, CARHR059250
OG0000065	XP_010470571.1, XP_010415233.1	CARHR059080
OG0000065	XP_010496110.1	CARHR059200
OG0000065	XP_010440921.1	CARHR214430
OG0000065	XP_010440922.2, XP_010450949.1	CARHR214400
OG0000065	XP_019088287.1	CARHR214340, CARHR214350
OG0000065	XP_010441031.1, XP_019089248.1, XP_010435808.1	CARHR263400
OG0000066	XP_010489841.1, XP_010475747.1, XP_010484375.1, XP_010514443.1, XP_010502711.1, XP_010444536.1, XP_010425488.1, XP_010458200.1, XP_010463183.1	CARHR202910, CARHR279310, CARHR279320, CARHR202900, CARHR009160
OG0000066	XP_010428586.1, XP_010466628.1, XP_010447175.1, XP_010488359.1, XP_010471674.1, XP_010480248.1	CARHR068990
OG0000066	XP_010419651.1, XP_010491788.1, XP_010431986.1, XP_010453132.1, XP_010437129.1, XP_010431988.1	CARHR202310
OG0000068	XP_010423843.1, XP_019090686.1, XP_010423328.1, XP_010423367.1, XP_010452589.1, XP_019097301.1	CARHR210960
OG0000068	XP_010423706.1, XP_010490829.1, XP_010423608.1, XP_010490827.1	CARHR210190
OG0000068	XP_019084672.1, XP_010491460.1	CARHR064230
OG0000069	XP_019100969.1	CARHR264470
OG0000069	XP_019087685.1, XP_010478135.1, XP_010444227.1, XP_010444236.1, XP_010484077.1, XP_019093841.1, XP_019093843.1, XP_010460670.1, XP_010444261.1, XP_019095680.1	CARHR264460
OG0000070	XP_010458359.1, XP_010475885.1, XP_010490823.1	CARHR010350
OG0000070	XP_010425101.1, XP_010502325.1, XP_010514084.1, XP_010425103.1, XP_010506934.1, XP_010502326.1, XP_010514085.1	CARHR145510, CARHR145520, CARHR286680, CARHR145480, CARHR145500
OG0000070	XP_010459699.1, XP_010477249.1, XP_010448526.1, XP_010438976.1, XP_010433736.1	CARHR020650
OG0000070	XP_010494151.1	CARHR284690
OG0000070	XP_010450797.1, XP_010441003.1, XP_010435879.1, XP_010441072.1, XP_010437611.1, XP_010432410.1, XP_010447075.1, XP_010447073.1	CARHR052170, CARHR288810
OG0000072	XP_010446292.1	CARHR049910, CARHR219260, CARHR119870, CARHR260200
OG0000075	XP_010431928.1, XP_010446504.1	CARHR247180
OG0000075	XP_010437077.1, XP_019086095.1, XP_010446510.1	CARHR247140
OG0000075	XP_019086927.1	CARHR247160
OG0000075	XP_010471669.1, XP_010442351.1, XP_010439941.1, XP_010482185.1, XP_019088263.1, XP_010471717.1, XP_010439953.1	CARHR286190, CARHR286200, CARHR286160
OG0000075	XP_010507443.1, XP_010431362.2, XP_010431361.1, XP_010516012.1, XP_010427182.1	CARHR105240
OG0000076	XP_019086777.1, XP_019088762.1, XP_010446406.1	CARHR247830
OG0000076	XP_010413809.1, XP_019093848.1	CARHR127180
OG0000077	XP_010481626.1	CARHR176910, CARHR176920, CARHR177280, CARHR112190
OG0000077	XP_019097508.1, XP_010417196.1	CARHR112200
OG0000077	XP_019099582.1, XP_010430699.1, XP_010518589.1	CARHR288740
OG0000077	XP_010514095.1, XP_019099908.1	CARHR145640
OG0000078	XP_010514749.1, XP_010485737.1, XP_010463845.1	CARHR077950
OG0000078	XP_010485744.1, XP_010463847.1, XP_010514943.1	CARHR077940
OG0000078	XP_019090250.1, XP_019090249.1, XP_019083862.1, XP_019097999.1, XP_019098000.1, XP_019089956.1, XP_019083864.1, XP_019089955.1, XP_019083868.1, XP_019089957.1, XP_019090652.1, XP_019083867.1, XP_019083863.1, XP_019090034.1, XP_019098001.1, XP_019090033.1, XP_019097860.1, XP_019098095.1, XP_010420540.1, XP_019098087.1, XP_019098096.1, XP_019098094.1, XP_019090301.1, XP_019083860.1	CARHR194990, CARHR195030, CARHR195060, CARHR195010
OG0000079	XP_010495654.1	CARHR254750
OG0000079	XP_010512724.1, XP_019100739.1, XP_019085561.1, XP_019099825.1, XP_019082800.1, XP_010455272.1, XP_010441029.1, XP_019092609.1, XP_010494915.2, XP_010495453.2, XP_010511426.1, XP_010494414.1	CARHR151670, CARHR119610
OG0000081	XP_010462790.1, XP_010480815.1, XP_019089329.1, XP_010456870.1, XP_010436473.1, XP_019092479.1, XP_019096239.1, XP_019091169.1, XP_019095788.1, XP_010501907.1, XP_019087541.1, XP_019091550.1, XP_019099635.1, XP_019086243.1, XP_019095567.1, XP_010495603.1, XP_019101952.1, XP_010436697.1, XP_019097457.1, XP_010474285.1, XP_010436886.1, XP_010474078.1, XP_019092366.1, XP_019086241.1	CARHR217030
OG0000081	XP_010440978.1	CARHR117010
OG0000081	XP_019082651.1, XP_019085368.1, XP_019086362.1, XP_010424661.1, XP_019091072.1, XP_019084275.1, XP_019096344.1, XP_019096335.1, XP_019082519.1, XP_019098295.1, XP_019099672.1, XP_019082727.1	CARHR264280
OG0000082	XP_010510051.1, XP_010441532.1	CARHR184640
OG0000086	XP_010450967.1, XP_010440900.1	CARHR214810
OG0000086	XP_010444133.1, XP_010485290.1, XP_019095679.1, XP_019086987.1, XP_010459144.1	CARHR276580
OG0000086	XP_010436165.1, XP_019086484.1	CARHR272990
OG0000086	XP_010451724.1, XP_010445575.1, XP_010454972.1, XP_010456725.1, XP_010493885.1, XP_010424345.1, XP_010454973.2	CARHR214830
OG0000086	XP_010445578.1	CARHR214840
OG0000086	XP_010445581.1, XP_010451914.1	CARHR214790, CARHR214760
OG0000086	XP_010513640.1, XP_010470534.1, XP_019100921.1	CARHR058600
OG0000086	XP_019093672.1	CARHR058660, CARHR058640
OG0000086	XP_019095324.1	CARHR058680
OG0000089	XP_010421190.1, XP_010454670.1	CARHR189700
OG0000089	XP_010503303.1	CARHR155480
OG0000089	XP_010469941.1, XP_010414372.1, XP_010510475.1	CARHR122890
OG0000089	XP_010419814.1, XP_010491982.1, XP_010453291.1	CARHR200860
OG0000089	XP_010494444.1	CARHR178800
OG0000089	XP_010434259.1, XP_010439552.1, XP_010449142.1	CARHR227450
OG0000089	XP_010516638.1, XP_010504960.1, XP_010509706.1	CARHR128920
OG0000089	XP_010459680.1, XP_010498429.1, XP_010477226.1	CARHR020480
OG0000089	XP_010416482.1, XP_010471708.1	CARHR069200
OG0000091	XP_019085518.1	CARHR156270
OG0000091	XP_010515061.1	CARHR155710, CARHR155700
OG0000091	XP_010503358.1	CARHR156220
OG0000091	XP_010515035.1	CARHR156240
OG0000091	XP_019082456.1	CARHR155720
OG0000091	XP_010454350.1, XP_010493153.1, XP_010493149.1, XP_010420883.1	CARHR192340, CARHR192330
OG0000091	XP_010441974.1, XP_010482344.1	CARHR262970
OG0000092	XP_019086317.1	CARHR216170
OG0000092	XP_019089257.1, XP_010431167.1	CARHR180960, CARHR036310
OG0000092	XP_019097706.1	CARHR225740
OG0000092	XP_010463305.1	CARHR292670, CARHR261170, CARHR286110
OG0000092	XP_019087365.1	CARHR150900
OG0000092	XP_019087433.1	CARHR257050
OG0000092	XP_019101840.1	CARHR216160
OG0000092	XP_010431369.1, XP_019092338.1	CARHR225750
OG0000092	XP_019085803.1	CARHR035160
OG0000092	XP_019097489.1, XP_010495672.1	CARHR286120
OG0000092	XP_019089181.1, XP_019094589.1, XP_010468080.1	CARHR152920, CARHR180590, CARHR261190
OG0000092	XP_019093410.1	CARHR293270
OG0000095	XP_010472489.1	CARHR116960, CARHR117230, CARHR116990
OG0000095	XP_010417235.1, XP_019092450.1, XP_010431604.1, XP_010429470.1, XP_019093874.1	CARHR116870
OG0000095	XP_010417173.1, XP_019098401.1, XP_010429391.1, XP_010429395.1, XP_010429390.1, XP_010431591.1	CARHR117860
OG0000096	XP_019100837.1, XP_010513303.1	CARHR266870
OG0000096	XP_019092478.1	CARHR084920
OG0000096	XP_019093414.1, XP_010431687.1	CARHR248580
OG0000096	XP_010465923.1, XP_019092874.1, XP_019082383.1, XP_010467954.2, XP_019096848.1, XP_010468288.1, XP_010419966.1, XP_010489939.1	CARHR093690
OG0000096	XP_019099139.1	CARHR159080
OG0000098	XP_010499627.1, XP_010499629.1, XP_010501676.1, XP_010478514.2, XP_010480772.1, XP_010497135.2	CARHR103960
OG0000098	XP_010431735.1	CARHR046250
OG0000098	XP_010460514.1, XP_010478092.1, XP_019091057.1, XP_010499238.1	CARHR174970
OG0000098	XP_010499626.1, XP_010499628.1	CARHR253270
OG0000100	XP_019082762.1	CARHR047460, CARHR047540
OG0000100	XP_010511292.1, XP_010480259.1	CARHR055030
OG0000100	XP_010430481.1	CARHR047580, CARHR047440, CARHR261260, CARHR047450
OG0000100	XP_010418223.1	CARHR048000, CARHR048030, CARHR048060, CARHR048070, CARHR048510
OG0000100	XP_010430284.1	CARHR047100
OG0000100	XP_010473633.2	CARHR047140
OG0000101	XP_010435359.1	CARHR154270
OG0000101	XP_010513534.1	CARHR287350
OG0000101	XP_010513568.1, XP_010484883.1, XP_019092299.1, XP_019096514.1	CARHR183060
OG0000101	XP_019087592.1, XP_010496858.1, XP_010425229.1	CARHR099970, CARHR036950
OG0000102	XP_010451732.1	CARHR252050
OG0000102	XP_010431256.1, XP_010422442.1	CARHR252060
OG0000102	XP_019084229.1, XP_019090199.1, XP_019090267.1	CARHR252130
OG0000105	XP_019089588.1	CARHR181190, CARHR228760
OG0000105	XP_019090875.1	CARHR175310, CARHR289490
OG0000105	XP_010434743.1	CARHR222460
OG0000105	XP_010441345.1	CARHR288500
OG0000105	XP_010414997.1	CARHR215710
OG0000105	XP_010484861.1	CARHR153990
OG0000106	XP_019083108.1, XP_010450226.1, XP_010426617.1, XP_019087671.1, XP_019086014.1, XP_010514363.1, XP_010499810.1	CARHR055550
OG0000107	XP_019093535.1, XP_010417843.1, XP_010473089.1	CARHR119260, CARHR119250
OG0000107	XP_010508531.1, XP_010466194.1	CARHR095660
OG0000107	XP_010468313.1, XP_019096413.1, XP_010487979.1, XP_010508519.1, XP_010466192.1	CARHR095650
OG0000107	XP_010487974.1, XP_010466183.1, XP_010508469.1	CARHR095640
OG0000107	XP_010468312.1	CARHR095620, CARHR055760
OG0000107	XP_010466304.1	CARHR096820, CARHR096830
OG0000107	XP_010422712.1, XP_010456149.1	CARHR095690, CARHR095670
OG0000108	XP_010514974.1, XP_010503262.1, XP_010483556.1, XP_010426084.1, XP_010483559.1, XP_010483560.1	CARHR285740
OG0000108	XP_010454923.1	CARHR155270
OG0000108	XP_010464961.1, XP_010498525.1, XP_010486900.1	CARHR086670
OG0000108	XP_010422938.1, XP_010491624.1, XP_010452982.1	CARHR203590
OG0000108	NP_001289901.1, XP_010507140.1, NP_001289904.1	CARHR094190
OG0000110	XP_019089268.1, XP_010484962.1, XP_019093274.1, XP_019098180.1, XP_019098181.1, XP_010424382.1, XP_010490057.1, XP_019084293.1, XP_019096534.1, XP_019094551.1, XP_010430690.1, XP_010451255.1, XP_010436550.1, XP_019085480.1, XP_019086281.1, XP_010431092.1, XP_019084311.1, XP_010463167.1	CARHR151660
