Orthogroup	Odontarrhena_muralis	Arabidopsis_lyrata_NCBI
OG0000042	Om004G177160	XP_020884682.1, XP_020887780.1
OG0000044	Om007G314900	XP_020885942.1
OG0000045	Om003G112290, Om002G088970, Om006G255110	XP_020890956.1, XP_020882438.1
OG0000045	Om001G031280	XP_020870253.1, XP_020872075.1
OG0000046	Om006G241220	XP_020872918.1, XP_020872917.1
OG0000046	Om001G001860	XP_020874378.1
OG0000046	Om006G253990	XP_020874589.1
OG0000046	Om005G206750	XP_020865819.1, XP_020865823.1
OG0000047	Om006G238470	XP_020891542.1
OG0000047	Om007G295630	XP_020865924.1
OG0000048	Om002G045390	XP_020887050.1
OG0000048	Om002G045400	XP_002884413.1
OG0000048	Om007G296190, Om007G296250	XP_020877807.1, XP_020877805.1
OG0000049	Om002G080850	XP_020876966.1
OG0000050	Om007G308390, Om004G154670, Om004G146360, Om002G076710, Om007G299220, Om002G077490, Om006G268560, Om006G266210, Om002G080140, Om002G080880	XP_020871212.1, XP_020876453.1
OG0000050	Om008G341390, Om005G201890, Om005G219290	XP_020886023.1, XP_020874814.1, XP_020871169.1, XP_020878799.1
OG0000052	Om005G179650, Om008G361390, Om005G180640	XP_020868191.1
OG0000052	Om008G354070, Om008G326640	XP_002881850.2
OG0000052	Om008G326600	XP_020883312.1
OG0000052	Om008G326590	XP_020883307.1
OG0000052	Om008G326580	XP_020883308.1, XP_020883310.1, XP_002881853.1
OG0000054	Om008G359460, Om008G361290	XP_020884558.1
OG0000055	Om005G224080	XP_020889965.1
OG0000055	Om001G019570	XP_020868319.1
OG0000055	Om008G361740, Om008G332920, Om003G120530, Om005G198120	XP_002888053.1, XP_020891223.1, XP_020891225.1
OG0000057	Om004G172320, Om008G335030, Om004G172300	XP_020886503.1, XP_020887842.1
OG0000061	Om006G238480	XP_020870247.1
OG0000061	Om003G106600, Om008G345470, Om008G347220	XP_020879148.1, XP_020889237.1, XP_020865942.1, XP_002874062.1, XP_020882894.1
OG0000062	Om002G089260, Om019G374190, Om019G374330, Om019G374380, Om002G089220, Om005G205060, Om005G204090, Om003G124440, Om002G089320	XP_020866308.1, XP_020879729.1
OG0000064	Om001G041080	XP_020872718.1
OG0000065	Om010G364610	XP_020877132.1
OG0000066	Om004G164550	XP_020876760.1, XP_020875249.1, XP_020875248.1, XP_020891414.1, XP_020886001.1, XP_020877536.1, XP_020891413.1
OG0000066	Om004G165570	XP_002877046.2, XP_002873454.1, XP_020876762.1, XP_020867896.1, XP_002894648.1
OG0000067	Om001G023220	XP_020889441.1, XP_020889396.1
OG0000067	Om004G137760	XP_020876026.1, XP_020876030.1
OG0000067	Om004G163960, Om004G163910, Om001G022040, Om004G163900	XP_002871317.2
OG0000068	Om006G264170, Om007G304230, Om004G149200, Om004G147110, Om002G079150, Om007G308160, Om005G212100	XP_020886028.1
OG0000071	Om001G016290, Om004G163830	XP_020871478.1
OG0000072	Om006G262700, Om007G309250, Om011G365680, Om001G001700	XP_020866785.1, XP_020884945.1, XP_020877184.1, XP_020882660.1, XP_020875736.1, XP_020882612.1, XP_020877271.1, XP_020890904.1, XP_020885842.1, XP_020888645.1, XP_020871279.1, XP_020881978.1, XP_020885342.1, XP_020865755.1, XP_002877246.2, XP_020872649.1
OG0000072	Om007G308740, Om006G246100, Om002G077420, Om005G220330, Om010G364650, Om003G106210, Om003G102400, Om010G364730, Om001G017210, Om008G353090, Om003G109200	XP_020882760.1
OG0000073	Om002G052330	XP_002884747.1
OG0000073	Om008G360660	XP_020880050.1
OG0000074	Om004G144350	XP_002893302.1
OG0000074	Om004G143980	XP_002893298.1
OG0000074	Om004G144100	XP_020882929.1, XP_020870137.1
OG0000074	Om004G144220, Om004G144230	XP_020866886.1
OG0000074	Om004G143840	XP_020870031.1
OG0000075	Om008G356700, Om004G132620, Om001G003590, Om001G003700	XP_020869549.1
OG0000076	Om006G242520	XP_002894621.2, XP_020881409.1, XP_020881195.1
OG0000076	Om003G090370	XP_020882518.1, XP_020882260.1
OG0000077	Om001G035000	XP_020874617.1
OG0000077	Om001G033890	XP_002891316.2, XP_002891313.1, XP_020875509.1
OG0000077	Om001G036960, Om001G036970, Om001G036980, Om001G036990, Om001G037020, Om001G037000, Om001G033540, Om001G032490	XP_002868913.1
OG0000077	Om005G195310	XP_020890734.1, XP_020865611.1
OG0000078	Om007G305480, Om008G337420	XP_002879052.1, XP_020866137.1, XP_002872380.1, XP_020876048.1, XP_002876861.2, XP_002886930.1, XP_002886934.1, XP_002865673.1, XP_002894139.1, XP_002886812.1, XP_002866863.2
OG0000078	Om004G148580	XP_020870662.1
OG0000079	Om003G122890, Om003G122910, Om003G122930, Om003G122940	XP_020880521.1
OG0000079	Om003G122800, Om003G122790	XP_020884444.1
OG0000079	Om003G122810	XP_020880534.1
OG0000079	Om003G122880, Om003G122870	XP_020880546.1, XP_020880539.1
OG0000080	Om004G135430	XP_020877006.1, XP_020874913.1
OG0000080	Om001G013570	XP_020867733.1
OG0000080	Om003G125630, Om008G347380, Om008G343390, Om008G346000	XP_020870702.1, XP_020884191.1, XP_020885088.1, XP_020870001.1, XP_020874135.1, XP_020886448.1
OG0000081	Om001G032270	XP_002894068.1
OG0000081	Om006G269790, Om006G269770, Om006G266480, Om003G092590, Om003G096470	XP_020868378.1, XP_020868376.1
OG0000081	Om003G118960, Om005G227240	XP_020889929.1
OG0000081	Om003G096460	XP_020866202.1
OG0000081	Om005G184670, Om005G184660	XP_020877791.1
OG0000082	Om004G130570	XP_020875863.1, XP_020875624.1, XP_020887797.1
OG0000084	Om001G014490, Om008G359620, Om008G359610, Om001G014520, Om008G359580	XP_020884025.1
OG0000086	Om004G163220	XP_002894696.1, XP_002862362.1, XP_002886750.1, XP_020865905.1, XP_020865795.1, XP_020869663.1, XP_002886752.2, XP_002886746.1, XP_020891241.1, XP_002886744.1, XP_002862361.1, XP_002886749.1, XP_002886745.1, XP_020891452.1, XP_002886747.1, XP_002862360.1, XP_002886748.1, XP_002862386.1, XP_002863710.1, XP_002862438.1, XP_002862385.1, XP_002863711.1, XP_020879695.1, XP_002863799.1, XP_020885190.1, XP_002863709.1, XP_002863708.1, XP_002863707.1, XP_002863706.1, XP_002865487.1
OG0000087	Om006G238380	XP_020879374.1
OG0000087	Om007G282390	XP_020883550.1
OG0000087	Om006G235110	XP_020871804.1
OG0000087	Om004G162490	XP_002873559.1
OG0000087	Om008G339690	XP_002881356.1
OG0000087	Om008G355890	XP_002863588.1
OG0000087	Om001G006430	XP_020872103.1
OG0000087	Om004G137360	XP_020890671.1
OG0000088	Om003G119630	XP_020881827.1, XP_002880903.1, XP_020880709.1, XP_020886823.1, XP_002875847.2, XP_020880186.1, XP_002875849.2, XP_002877545.1
OG0000088	Om006G242180	XP_020878730.1
OG0000089	Om007G292110, Om004G166350	XP_020876820.1
OG0000089	Om003G098490	XP_020867828.1
OG0000089	Om002G055730	XP_020888275.1
OG0000090	Om005G202290, Om005G179690	XP_002887052.2, XP_020885789.1, XP_002890373.1
OG0000090	Om004G136810	XP_020891141.1
OG0000090	Om002G055690, Om003G124430	XP_002867118.1
OG0000093	Om003G122050	XP_020880586.1
OG0000093	Om003G122010	XP_020880584.1
OG0000093	Om003G121870	XP_002878201.2
OG0000093	Om003G121950	XP_002878203.1, XP_020880570.1
OG0000096	Om007G301150, Om003G093070, Om006G274060	XP_020881188.1, XP_020881582.1, XP_020880678.1
OG0000096	Om004G143550, Om008G360980	XP_020869035.1, XP_020891534.1
OG0000097	Om008G355550, Om008G355560	XP_002874842.1
OG0000097	Om008G355570	XP_002874852.1
OG0000097	Om008G355700	XP_020876465.1
OG0000097	Om008G355610, Om008G355650, Om008G354170, Om008G354150	XP_002874844.1, XP_020877173.1, XP_020876443.1, XP_002874669.1, XP_002862572.1
OG0000097	Om008G355680, Om008G355600, Om004G133820	XP_002863972.2, XP_002874850.1
OG0000098	Om001G001780	XP_020891049.1, XP_020888466.1, XP_020891221.1
OG0000098	Om005G191670, Om008G342380	XP_020884692.1
OG0000098	Om005G191920, Om005G192380	XP_002889921.2
OG0000099	Om005G227480	XP_020891031.1
OG0000099	Om005G227360, Om005G227350, Om005G227310, Om005G227370, Om005G227320	XP_002872472.2, XP_002886369.2
OG0000099	Om005G227510	XP_020890360.1, XP_020890361.1, XP_020890692.1
OG0000101	Om005G227120	XP_020891540.1
OG0000101	Om005G227680, Om005G227700, Om005G227110	XP_020890843.1
OG0000101	Om005G226820	XP_002887938.1
OG0000104	Om005G185360	XP_020870885.1
OG0000104	Om003G095420	XP_020866497.1
OG0000104	Om002G069400	XP_020886058.1
OG0000104	Om003G095400	XP_020870266.1
OG0000104	Om003G095360	XP_020870268.1
OG0000106	Om005G222030	XP_020871755.1
OG0000107	Om002G067740	XP_020887921.1
OG0000107	Om002G067770	XP_020888430.1, XP_020886789.1, XP_002870246.2
OG0000108	Om003G100270, Om003G100260	XP_002893476.1, XP_020869068.1, XP_020885549.1
OG0000108	Om003G104790, Om003G104780, Om003G103800, Om003G124630, Om008G338810	XP_020889445.1, XP_020887764.1, XP_002883751.1, XP_002883752.1
OG0000108	Om006G273840, Om006G273820	XP_020865728.1
OG0000110	Om003G123410	XP_020880525.1
OG0000110	Om003G123400	XP_020880511.1
OG0000112	Om005G189180	XP_002864096.1
OG0000113	Om001G034170	XP_020875322.1
OG0000117	Om002G088690	XP_020886073.1, XP_020886029.1, XP_020876858.1
OG0000118	Om008G333780	XP_002875482.1
OG0000119	Om007G284090	XP_020876483.1
OG0000119	Om004G167610, Om008G327080, Om056G377050, Om007G284890, Om002G047880, Om002G045610, Om008G336570, Om004G165930, Om006G268600, Om006G246170, Om005G185730	XP_020866195.1, XP_002877435.1, XP_020876203.1, XP_002885691.1, XP_020877212.1
OG0000120	Om005G221860	XP_002888121.2, XP_002886576.1
OG0000120	Om004G161410, Om004G161280, Om002G075940, Om007G301890, Om001G024520	XP_020871775.1, XP_020872669.1, XP_020877424.1, XP_020890208.1, XP_020877244.1, XP_020881008.1, XP_020890264.1
OG0000120	Om007G296760, Om007G296900, Om004G172660	XP_020879779.1, XP_020879307.1, XP_020891752.1, XP_020880012.1
OG0000122	Om003G118900, Om003G118890	XP_002864448.2
OG0000122	Om003G118720, Om003G118730	XP_020879776.1
OG0000123	Om005G193640	XP_002877382.2
OG0000123	Om005G193280, Om005G193230, Om005G193260	XP_020869616.1, XP_020867729.1
OG0000124	Om005G227380, Om001G036630, Om003G104490, Om003G111030, Om003G110990, Om003G111110, Om003G111130	XP_020881817.1, XP_020873128.1
OG0000124	Om008G318760, Om007G317440	XP_002878891.2
OG0000124	Om003G103030	XP_020870431.1, XP_020881874.1, XP_020866430.1, XP_020875826.1, XP_020888401.1, XP_020890790.1
OG0000125	Om002G052080	XP_020887259.1, XP_002873061.1
OG0000125	Om006G244360	XP_002874101.1
OG0000125	Om005G185630	XP_020868538.1
OG0000125	Om006G245540	XP_020880863.1, XP_002864658.2, XP_020872447.1
OG0000125	Om007G283300	XP_002879182.1
OG0000127	Om004G176280	XP_002873028.1
OG0000127	Om005G189950	XP_020869187.1
OG0000127	Om005G189960	XP_020869185.1, XP_020869194.1, XP_020870924.1, XP_002862359.2
OG0000128	Om004G154610	XP_020865764.1
OG0000128	Om005G217280	XP_020866238.1
OG0000130	Om004G149990	XP_020889313.1
OG0000131	Om007G307190	XP_020886207.1
OG0000132	Om008G361300	XP_020887015.1
OG0000133	Om008G345870, Om008G349240	XP_020877519.1
OG0000136	Om003G099850	XP_002864819.1
OG0000136	Om002G064560	XP_020872358.1, XP_002868822.1, XP_002868821.2
OG0000138	Om002G065910	XP_020880774.1
OG0000138	Om001G037700	XP_002877196.1
OG0000138	Om001G026370	XP_020882530.1, XP_002875524.1
OG0000140	Om006G246590	XP_002864617.1
OG0000140	Om006G247230, Om006G247200	XP_020879394.1, XP_020870866.1, XP_020871535.1
OG0000140	Om006G246640	XP_020874639.1, XP_002864614.1
OG0000142	Om007G282660	XP_020885473.1, XP_020885474.1
OG0000144	Om007G317180	XP_020891498.1, XP_020875848.1
OG0000146	Om003G117350	XP_020872008.1
OG0000146	Om003G097230	XP_020871354.1
OG0000146	Om003G117400, Om003G117360	XP_020870474.1
OG0000146	Om003G117320	XP_020881826.1
OG0000147	Om002G086500	XP_020888881.1
OG0000147	Om001G025660	XP_020872380.1
OG0000147	Om007G285990, Om006G249440	XP_020870964.1
OG0000147	Om004G130850	XP_020890865.1
OG0000147	Om006G268290	XP_020882578.1
OG0000147	Om002G078960	XP_020889051.1
OG0000149	Om006G245840	XP_020871259.1
OG0000149	Om006G256850	XP_020885175.1
OG0000150	Om008G323560	XP_020886449.1
OG0000150	Om007G296930	XP_002875622.2
OG0000150	Om001G010460	XP_020881834.1
OG0000150	Om005G201710	XP_020881724.1
OG0000150	Om003G096700	XP_020881732.1
OG0000151	Om003G114720	XP_002865968.1
OG0000151	Om001G021860	XP_002867477.1
OG0000151	Om002G051120	XP_020888570.1
OG0000151	Om002G082850	XP_020888018.1
OG0000151	Om003G118410	XP_020891046.1
OG0000154	Om002G065770, Om004G147300, Om004G147290, Om002G052020, Om002G052040, Om001G020420	XP_002891955.2
OG0000154	Om005G196960	XP_020867554.1
OG0000154	Om002G056330	XP_002884912.1
OG0000154	Om004G175620	XP_002873056.1
OG0000154	Om004G175630	XP_002873055.1
OG0000155	Om001G020030	XP_020873274.1
OG0000155	Om001G007090	XP_002869890.1
OG0000155	Om001G007100	XP_002886975.2, XP_020889997.1, XP_002867852.2
OG0000155	Om002G055620	XP_020888268.1
OG0000155	Om005G221310	XP_020882926.1
OG0000156	Om008G321950, Om008G321940	XP_002882020.2
OG0000157	Om001G032790, Om001G032520, Om008G334520, Om008G334530, Om002G083660	XP_020888665.1
OG0000157	Om008G326040, Om008G355750	XP_020869283.1, XP_020875172.1, XP_020882847.1, XP_020885096.1, XP_020882845.1, XP_020882923.1, XP_002881592.1
OG0000158	Om001G012390, Om001G033100, Om001G033130	XP_020872404.1
OG0000161	Om006G236100, Om006G236170	XP_020871006.1, XP_002864761.1, XP_020867988.1, XP_020889363.1, XP_020884859.1, XP_020885823.1, XP_002879145.1
OG0000161	Om007G278440	XP_020890883.1
OG0000161	Om004G167210, Om006G249300	XP_020890885.1, XP_020890882.1
OG0000162	Om003G125400, Om003G125370	XP_020879924.1
OG0000162	Om003G125340	XP_020884667.1
OG0000162	Om003G125240, Om003G125350, Om003G125220, Om003G125200, Om003G125180, Om003G125210	XP_020881913.1
OG0000162	Om008G322780, Om008G322790	XP_020884580.1
OG0000164	Om001G024320	XP_002869435.1
OG0000164	Om001G039840	XP_020872234.1
OG0000164	Om001G039830	XP_020872235.1
OG0000166	Om006G255610, Om002G081240, Om002G060790	XP_020890626.1
OG0000167	Om001G004410	XP_020872090.1
OG0000167	Om001G004360	XP_002869981.2
OG0000167	Om001G004340	XP_020872359.1
OG0000169	Om003G127060	XP_020866560.1
OG0000171	Om005G207720	XP_020890687.1, XP_020870037.1
OG0000171	Om005G220880	XP_002892585.1
OG0000171	Om007G301020	XP_002871626.1
OG0000172	Om003G122950	XP_020880529.1
OG0000172	Om003G123010, Om006G260870	XP_020880551.1
OG0000172	Om003G123000	XP_020881910.1, XP_020880545.1
OG0000172	Om003G122820, Om006G274300	XP_020880550.1
OG0000175	Om006G257450	XP_002876081.1
OG0000175	Om004G137100	XP_002887616.1
OG0000175	Om002G082840	XP_002869113.1
OG0000176	Om001G007740, Om001G007770, Om001G007760, Om004G147890, Om004G147900, Om004G142560, Om007G292150	XP_020866682.1
OG0000176	Om007G291450	XP_020869575.1, XP_020870755.1
OG0000176	Om008G352670, Om008G352700, Om008G352660, Om008G352690, Om007G291500	XP_020869751.1, XP_020866091.1
OG0000178	Om004G134680, Om004G134670, Om003G110440, Om002G077640, Om005G199540, Om007G276140, Om004G164470, Om002G068680	XP_020871723.1
OG0000180	Om008G336650	XP_020887402.1
OG0000180	Om006G256410, Om003G119900	XP_020880445.1
OG0000183	Om008G341930	XP_020887788.1
OG0000185	Om001G041450, Om008G356330, Om008G319330	XP_020890722.1
OG0000185	Om008G337930	XP_020890690.1
OG0000186	Om007G285030	XP_020885553.1
OG0000186	Om004G150540	XP_020871413.1
OG0000187	Om004G145860, Om004G145950	XP_020875226.1
OG0000187	Om001G028260, Om001G028280	XP_002867283.1
OG0000187	Om002G054360, Om002G054350	XP_020888292.1
OG0000189	Om006G250870	XP_002868934.1
OG0000189	Om001G038960	XP_002866926.1
OG0000190	Om008G353940	XP_002874799.1
OG0000190	Om008G355670	XP_020877648.1
OG0000191	Om005G197150	XP_002885155.2
OG0000191	Om002G064270	XP_020888360.1
OG0000192	Om005G203480	XP_020869473.1
OG0000192	Om005G203440	XP_020869475.1
OG0000192	Om005G203410	XP_002890432.1, XP_020869364.1, XP_020869469.1, XP_020869470.1, XP_020869472.1
OG0000193	Om002G071740, Om002G071690	XP_020889511.1
OG0000193	Om008G326490	XP_020886745.1
OG0000193	Om005G206290	XP_020886753.1, XP_020888465.1, XP_020886358.1, XP_020886948.1, XP_020886949.1
OG0000195	Om003G119760	XP_002879909.1
OG0000195	Om007G285150	XP_002870564.1, XP_002888498.1, XP_020877395.1, XP_020880310.1
OG0000196	Om005G185020	XP_020867608.1
OG0000197	Om004G163020	XP_020887839.1
OG0000200	Om005G182720	XP_002877687.1, XP_020871709.1
OG0000201	Om002G070200	XP_020886141.1, XP_020885996.1
OG0000201	Om002G070290	XP_002885573.2
OG0000202	Om002G064090	XP_002885224.2
OG0000202	Om020G374490, Om011G365230	XP_002885791.1, XP_002885792.1, XP_020886222.1, XP_002883357.2, XP_020886708.1, XP_002885520.2, XP_020886710.1, XP_020886139.1, XP_002872691.1, XP_020886707.1, XP_020886709.1
OG0000203	Om003G095370, Om002G055150	XP_002882369.2, XP_002882368.1, XP_020888830.1
OG0000203	Om002G046450, Om002G046460	XP_020885974.1, XP_002884435.1, XP_002873533.1, XP_020879451.1, XP_020879478.1
OG0000207	Om008G331300	XP_020889768.1
OG0000207	Om004G136280	XP_002889207.2, XP_020891517.1, XP_020891568.1, XP_020891546.1, XP_020885070.1, XP_020891565.1, XP_020889907.1
OG0000207	Om005G197960, Om005G197970	XP_020867452.1
OG0000208	Om001G040250	XP_020881315.1, XP_002862576.1
OG0000209	Om002G062100	XP_020890823.1
OG0000209	Om005G228040, Om005G227980	XP_020890821.1
OG0000209	Om005G228080	XP_020890824.1, XP_020866701.1, XP_020878865.1
OG0000210	Om001G032060, Om001G032100	XP_002875217.1, XP_020881771.1, XP_020874590.1, XP_020875337.1, XP_002893105.1, XP_002873553.1, XP_020880682.1
OG0000210	Om007G278540	XP_002879439.1, XP_002879438.1
OG0000210	Om007G278560	XP_002879436.2, XP_002863691.1
OG0000213	Om004G141230, Om005G208800	XP_020890374.1
OG0000213	Om002G053370	XP_020887377.1
OG0000213	Om001G036460, Om001G036440, Om001G036450	XP_020884044.1, XP_020884040.1, XP_020884041.1, XP_002878651.1, XP_020884047.1, XP_020883070.1
OG0000214	Om007G281030	XP_020891504.1
OG0000214	Om004G145430	XP_020877218.1
OG0000216	Om001G007580	XP_002869836.1
OG0000216	Om003G116290, Om001G008720, Om006G250260	XP_002869835.1, XP_020873528.1
OG0000217	Om001G001730	XP_020868284.1
OG0000217	Om001G001710, Om001G001540, Om001G001620, Om001G001600	XP_020890332.1, XP_020872357.1, XP_020890282.1
OG0000218	Om005G195550	XP_002892838.1, XP_020869981.1, XP_020869449.1
OG0000218	Om005G195570, Om005G195580	XP_020869542.1
OG0000218	Om001G010890, Om001G010900, Om001G010920	XP_020882067.1
OG0000218	Om004G138180	XP_002870338.1
OG0000218	Om006G241660	XP_020881007.1, XP_002875203.1, XP_002875076.1
OG0000219	Om005G213260	XP_002888551.1, XP_002888554.1, XP_002888553.1, XP_002887077.1, XP_020891385.1
OG0000219	Om007G282230	XP_002881067.1, XP_002862634.2
OG0000219	Om008G350180, Om006G237850, Om006G237870	XP_002864257.1, XP_002864258.1
OG0000220	Om007G276730, Om007G315520	XP_020891309.1
OG0000224	Om004G134640, Om004G134630	XP_020891652.1, XP_002887689.1
OG0000224	Om005G225780	XP_002887975.1, XP_002887974.1
OG0000225	Om007G289790	XP_020867501.1, XP_020867503.1, XP_020867504.1
OG0000226	Om003G089750	XP_020871016.1, XP_020867770.1, XP_020866285.1, XP_002890779.1
OG0000228	Om005G207040	XP_020891767.1
